event_name,event_period,event_year,study_focus,iso_country_code,cb_region,event_type,classification,summary_statement,publication_year,citation,source,rapid_study,link
Western US 'exceptionally low' snowpack,2015,2015,Event,USA,Northern America,Drought,More severe or more likely to occur,"""[B]oth human influence and sea surface temperature (SST) anomalies contributed strongly to the risk of snow drought in Oregon and Washington: the contribution of SST anomalies was about twice that of human influence.""",2016,"Mote et al., 2016: Perspectives on the causes of exceptionally low 2015 snowpack in the western United States. Geophysical Research Letters, 43 (20), 10,980–10,988",Geophysical Research Letters,No,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1002/2016GL069965
Washington snowpack drought,2014-2015,2014-2015,Event,USA,Northern America,Drought,More severe or more likely to occur,"""The 2014/15 snowpack drought resulted from exceedingly high temperatures notwithstanding normal precipitation—a drought type that may reoccur due to accelerated anthropogenic warming and aggravated by naturally driven low precipitation.""",2016,"Fosu, B. et al., 2016: The 2014/15 Snowpack Drought in Washington State and its Climate Forcing [in “Explaining Extremes of 2015 from a Climate Perspective”] Bull. Amer. Meteor. Soc., 97 (12), S19-S24, doi:10.1175/BAMS-D-16-0154.1.",Bulletin of the American Meteorological Society,No,http://www.ametsoc.net/eee/2015/5_us_fire_drought.pdf
New Zealand drought,January-March 2013,2013,Event,NZL,Australia and New Zealand,Drought,More severe or more likely to occur,"""Our results demonstrate robust (>99% confidence) increases in the likelihood of observing circulation patterns like those of the 2013 drought in the recent‐climate simulations when compared with the early‐climate simulations.""",2016,"Harrington, L. J. et al., 2016: Investigating event-specific drought attribution using self‐organizing maps, JGR Atmospheres, DOI:10.1002/2016JD025602",Journal of Geophysical Research: Atmospheres,No,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1002/2016JD025602
Southeast China extreme rainfall,May 2015,2015,Event,CHN,Eastern and south-eastern Asia,Rain & flooding,More severe or more likely to occur,"""Anthropogenic climate change increased the probability that a short-duration, intense rainfall events and associated flooding, like the one that occurred in May, would occur in parts of southeast China.""",2016,"Burke, C. et al., 2016: Attribution of Extreme Rainfall in Southeast China During May 2015 [in “Explaining Extremes of 2015 from a Climate Perspective”] Bull. Amer. Meteor. Soc., 97 (12), S93-S96, doi:10.1175/BAMS-D-16-0144.1.",Bulletin of the American Meteorological Society,No,http://www.ametsoc.net/eee/2015/18_china_precip.pdf
Flooding in Boulder,September 2013,2013,Event,USA,Northern America,Rain & flooding,More severe or more likely to occur,"""[W]e deduce an increase in the likelihood of extreme one-day precipitation but of a smaller magnitude than what would be expected in a warming world according to the Clausius–Clapeyron relation. For five-day extremes, we are unable to detect a change in likelihood.""",2016,"Eden, J. et al., 2016: Multi-method attribution analysis of extreme precipitation in Boulder, Colorado. Environmental Research Letters, 11 (12)",Environmental Research Letters,No,http://iopscience.iop.org/article/10.1088/1748-9326/11/12/124009/meta
Southern England floods,winter 2013-2014,2013-2014,Event,GBR,Europe,Rain & flooding,More severe or more likely to occur,"""In a large ensemble of climate model simulations, we find that, as well as increasing the amount of moisture the atmosphere can hold, anthropogenic warming caused a small but significant increase in the number of January days with westerly flow, both of which increased extreme precipitation.""",2016,"Schaller, N et al., 2016: Human influence on climate in the 2014 southern England winter floods and their impacts. Nature Climate Change, 6,  627–634",Nature Climate Change,No,http://www.nature.com/nclimate/journal/v6/n6/full/nclimate2927.html
Louisiana floods,August 2016,2016,Event,USA,Northern America,Rain & flooding,More severe or more likely to occur,"""These simulations suggest that ~20% of the 4 day precipitation that fell on Louisiana (average of detrend and double trend) could have been augmented by climate warming trends.""",2016,"Wang, S-Y. et al., 2016: Synoptic and quantitative attributions of the extreme precipitation leading to the August 2016 Louisiana flood. Geophys. Res. Lett, 44 (23), 805-11,814, DOI: 10.1002/2016GL071460",Geophysical Research Letters,No,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1002/2016GL071460
Europe heavy rainfall,1951-2005,NA,Trend,NA,Europe,Rain & flooding,More severe or more likely to occur,"""These results show that an anthropogenic contribution to the heavy precipitation component over Europe is found for a majority of models analyzed.""",2016,"Dittus, A. & Karoly, D., 2017: A Multiregion Model Evaluation and Attribution Study of Historical Changes in the Area Affected by Temperature and Precipitation Extremes. J. Climate, DOI: 10.1175/JCLI-D-16-0164.1",Journal of Climate,No,https://journals.ametsoc.org/doi/full/10.1175/JCLI-D-16-0164.1
North America heavy rainfall,1951-2005,NA,Trend,NA,Northern America,Rain & flooding,More severe or more likely to occur,"""[T]here is a clear difference emerging between the different scenarios, indicating a likely anthropogenic influence on this component that is underestimated in the models.""",2016,"Dittus, A. & Karoly, D., 2017: A Multiregion Model Evaluation and Attribution Study of Historical Changes in the Area Affected by Temperature and Precipitation Extremes. J. Climate, DOI: 10.1175/JCLI-D-16-0164.1",Journal of Climate,No,https://journals.ametsoc.org/doi/full/10.1175/JCLI-D-16-0164.1
Asia heavy rainfall,1951-2005,NA,Trend,NA,Central and southern Asia,Rain & flooding,More severe or more likely to occur,"""These results indicate that [greenhouse gas] forcing is needed to explain the observed trends.""",2016,"Dittus, A. & Karoly, D., 2017: A Multiregion Model Evaluation and Attribution Study of Historical Changes in the Area Affected by Temperature and Precipitation Extremes. J. Climate, DOI: 10.1175/JCLI-D-16-0164.1",Journal of Climate,No,https://journals.ametsoc.org/doi/full/10.1175/JCLI-D-16-0164.1
Northern hemisphere heavy rainfall,1951-2005,NA,Trend,NA,Northern hemisphere,Rain & flooding,More severe or more likely to occur,"""[C]limate models are at least partially able to replicate the observed increase in the areas experiencing “much above average” contribution of heavy precipitation to total precipitation across the Northern hemisphere, and that part of this increase in area is due to anthropogenic effects.""",2016,"Dittus, A. & Karoly, D., 2017: A Multiregion Model Evaluation and Attribution Study of Historical Changes in the Area Affected by Temperature and Precipitation Extremes. J. Climate, DOI: 10.1175/JCLI-D-16-0164.1",Journal of Climate,No,https://journals.ametsoc.org/doi/full/10.1175/JCLI-D-16-0164.1
Australia heavy rainfall,1951-2005,NA,Trend,AUS,Australia and New Zealand,Rain & flooding,No discernible human influence,"""Over Australia, the simulations do not exhibit any trend, consistent with no trend in the observations.""",2016,"Dittus, A. & Karoly, D., 2017: A Multiregion Model Evaluation and Attribution Study of Historical Changes in the Area Affected by Temperature and Precipitation Extremes. J. Climate, DOI: 10.1175/JCLI-D-16-0164.1",Journal of Climate,No,https://journals.ametsoc.org/doi/full/10.1175/JCLI-D-16-0164.1
Late onset of Nigeria wet season,2015,2015,Event,NGA,Sub-Saharan Africa,Rain & flooding,No discernible human influence,"""We find no evidence that the delayed onset of the wet season over Nigeria during April–May 2015 was made more likely by anthropogenic influences or anomalous sea surface temperatures. """,2016,"Lawal, K. et al., 2016: The Late Onset of the 2015 Wet Season in Nigeria [in “Explaining Extremes of 2015 from a Climate Perspective”] Bull. Amer. Meteor. Soc., 97 (12), S63-S69, doi:10.1175/BAMS-D-16-0131.1.",Bulletin of the American Meteorological Society,No,http://www.ametsoc.net/eee/2015/13_nigeria_precip.pdf
Chennai heavy rainfall event,December 2015,2015,Event,IND,Central and southern Asia,Rain & flooding,No discernible human influence,"""Extreme one-day rainfall caused widespread flooding in Chennai, India, in December 2015. No effect of global warming was detected, likely caused by aerosols counteracting greenhouse gases up to now.""",2016,"van Oldenborgh, G. J. et al., 2016: The Heavy Precipitation Event of December 2015 in Chennai, India [in “Explaining Extremes of 2015 from a Climate Perspective”] Bull. Amer. Meteor. Soc., 97 (12), S87-S91, doi:10.1175/BAMS-D-16-0129.1",Bulletin of the American Meteorological Society,No,http://www.ametsoc.net/eee/2015/17_india_precip.pdf
Rainstorms in Germany,May 2016,2016,Event,DEU,Europe,Rain & flooding,Insufficient data/inconclusive,"""The results for this region are inconclusive and no attribution statement can be made at this time.""",2016,"van Oldenborgh, G. J. et al. 2016: Rainstorms in France and Germany, May 2016, World Weather Attribution",World Weather Attribution (rapid study),Yes,https://www.worldweatherattribution.org/european-rainstorms-may-2016/
Record low Arctic sea ice,March 2015,2015,Event,NA,Arctic,"Cold, snow & ice","Decrease, less severe or less likely to occur","""The record low Northern hemisphere (NH) winter sea ice maximum stemmed from a strong interannual surface anomaly in the Pacific sector, but it would not have been reached without long-term climate change.""",2016,"Fučkar, N. et al., 2016: Record Low Northern hemisphere Sea Ice Extent in March 2015 [in “Explaining Extremes of 2015 from a Climate Perspective”] Bull. Amer. Meteor. Soc., 97 (12), S136-140, doi:10.1175/BAMS-D-16-0153.1.",Bulletin of the American Meteorological Society,No,https://journals.ametsoc.org/doi/pdf/10.1175/BAMS-D-16-0153.1
Eastern US extreme winter,2015,2015,Event,USA,Northern America,"Cold, snow & ice","Decrease, less severe or less likely to occur","""Despite severe cold waves and record-breaking extreme cold-day occurrences during 2015, no long-term increase in winter daily temperature extremes has occurred in the eastern United States — winters have become warmer and less variable.""",2016,"Trenary, L. et al., 2016: Extreme Eastern U.S. Winter of 2015 Not Symptomatic of Climate Change [in “Explaining Extremes of 2015 from a Climate Perspective”] Bull. Amer. Meteor. Soc., 97 (12), S31-S35, doi:10.1175/BAMS-D-16-0156.1.",Bulletin of the American Meteorological Society,No,http://www.ametsoc.net/eee/2015/7_us_winter.pdf
Arctic sea ice record low,2012,2012,Event,NA,Arctic,"Cold, snow & ice","Decrease, less severe or less likely to occur","""Using several different metrics to define the events in question, it is shown that an extreme SIE minimum of the magnitude seen in 2012 is consistent with a scenario including anthropogenic influence and is extremely unlikely in a scenario excluding anthropogenic influence.""",2016,"Kirchmeier-Young, M., 2016: Attribution of Extreme Events in Arctic Sea Ice Extent. Journal of Climate, DOI: 10.1175/JCLI-D-16-0412.1",Journal of Climate,No,https://journals.ametsoc.org/doi/full/10.1175/JCLI-D-16-0412.1
North America winter temperature dipole,1980-2015,NA,Trend,NA,Northern America,"Cold, snow & ice","Decrease, less severe or less likely to occur","""Using a large single‐model ensemble of climate simulations, we show that the observed positive trend in the warm‐West/cool‐East events is attributable to historical anthropogenic emissions including greenhouse gases, but that the co‐occurrence of extreme western warmth and eastern cold will likely decrease in the future.""",2016,"Singh, D. et al., 2016: Recent amplification of the North American winter temperature dipole. JGR Atmos., 121 (17), 9911-9928, DOI: 10.1002/2016JD025116",Journal of Geophysical Research: Atmospheres,No,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1002/2016JD025116
US record low temperatures,December 2016,2016,Event,USA,Northern America,"Cold, snow & ice",No discernible human influence,"""The cold air outbreak of the next few days is nothing unusual, and neither inconsistent with an overall picture of a warming world, nor evidence that global warming is making cold weather more extreme.""",2016,"van Oldenborgh, G. J. et al. 2016: Deep freeze in the US, December 2016, World Weather Attribution",World Weather Attribution (rapid study),Yes,https://www.worldweatherattribution.org/u-s-deep-freeze-december-2016/
Eastern US extreme winter,2015,2015,Event,USA,Northern America,"Cold, snow & ice",No discernible human influence,"""There is no systematic trend in the number of extremely cold days, thus no evidence to suggest that the frequency or persistence of cold events is systematically changing""",2016,"Trenary, L. et al., 2016: Extreme Eastern U.S. Winter of 2015 Not Symptomatic of Climate Change [in “Explaining Extremes of 2015 from a Climate Perspective”] Bull. Amer. Meteor. Soc., 97 (12), S31-S35, doi:10.1175/BAMS-D-16-0156.1.",Bulletin of the American Meteorological Society,No,http://www.ametsoc.net/eee/2015/7_us_winter.pdf
North America cold spell,February 2015,2015,Event,NA,Northern America,"Cold, snow & ice",Insufficient data/inconclusive,"""The cold spell of February 2015 in North America was predominantly internally generated; reduced Arctic sea ice and anomalous sea surface temperatures may have contributed in establishing and sustaining the anomalous flow.""",2016,"Bellprat, O. et al., 2016: The Role of Arctic Sea Ice and Sea Surface Temperatures on the Cold 2015 February Over North America [in “Explaining Extremes of 2015 from a Climate Perspective”] Bull. Amer. Meteor. Soc., 97 (12), S36-S41, doi:10.1175/BAMS-D-16-0159.1",Bulletin of the American Meteorological Society,No,http://www.ametsoc.net/eee/2015/8_us_cold_na.pdf
Extreme accumulated cyclone energy in western North Pacific,2015,2015,Event,NA,Oceania,Storm,More severe or more likely to occur,"""The extreme value of the 2015 western North Pacific (WNP) accumulated cyclone energy (ACE) was mainly caused by the sea surface warming in the eastern and central Pacific, with the anthropogenic forcing largely increasing the odds of the occurrence of this event.""",2016,"Zhang, W. et al., 2016: Influences of Natural Variability and Anthropogenic Forcing on the Extreme 2015 Accumulated Cyclone Energy in the Western North Pacific [in “Explaining Extremes of 2015 from a Climate Perspective”] Bull. Amer. Meteor. Soc., 97 (12), S131-135, doi:10.1175/BAMS-D-16-0146.1.",Bulletin of the American Meteorological Society,No,http://www.ametsoc.net/eee/2015/26_wnp_ace.pdf
Hurricane Sandy-like floods,1800-2100,NA,Trend,USA,Northern America,Storm,More severe or more likely to occur,"""Due to the effect of sea level rise, the return period of Hurricane Sandy’s flood height decreased by a factor of ∼3× from year 1800 to 2000 and is estimated to decrease by a further ∼4.4× from 2000 to 2100 under a moderate-emissions pathway.""",2016,"Lin, N. et al., 2016: Hurricane Sandy’s flood frequency increasing from year 1800 to 2100. PNAS, DOI: 10.1073/pnas.1604386113",Proceedings of the National Academy of Sciences,No,https://www.pnas.org/content/early/2016/10/06/1604386113.abstract
Alaska fire season,2015,2015,Event,USA,Northern America,Wildfire,More severe or more likely to occur,"""The 2015 Alaska fire season burned the second largest number of acres since records began in 1940. Human-induced climate change may have increased the risk of a fire season of this severity by 34%–60%.""",2016,"Partain, J. et al. 2016: An Assessment of the Role of Anthropogenic Climate Change in the Alaska Fire Season of 2015 [in “Explaining Extremes of 2015 from a Climate Perspective”] Bull. Amer. Meteor. Soc., 97 (12), S14-S18, doi::10.1175/BAMS-D-16-0149.1.",Bulletin of the American Meteorological Society,No,http://www.ametsoc.net/eee/2015/4_ak_fire.pdf
Western US wildfires,1979-2015,NA,Trend,USA,Northern America,Wildfire,More severe or more likely to occur,"""We estimate that human-caused climate change contributed to an additional 4.2 million ha of forest fire area during 1984–2015, nearly doubling the forest fire area expected in its absence.""",2016,"Abatzoglou, J. & Park Williams, A., 2016: Impact of anthropogenic climate change on wildfire across western US forests. DOI:10.1073/pnas.1607171113",Proceedings of the National Academy of Sciences,No,https://www.pnas.org/content/113/42/11770
California wildfire activity,1975-2050,NA,Trend,USA,Northern America,Wildfire,More severe or more likely to occur,"""Historically, we find that anthropogenic influences account for up to fifty percent of explanatory power in the model.""",2016,"Mann, M. et al., 2016: Incorporating Anthropogenic Influences into Fire Probability Models: Effects of Human Activity and Climate Change on Fire Activity in California. PLOS One, DOI:10.1371/journal.pone.0153589",PLOS One,No,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0153589
Florida's 'sunny-day flood',September 2015,2015,Event,USA,Northern America,Oceans,More severe or more likely to occur,"""The probability of a 0.57-m tidal flood within the Miami region has increased by >500% since 1994 from a 10.9-cm sea level rise (SLR)-related trend in monthly highest tides.""",2016,"Sweet, W. et al., 2016: In Tide’s Way: Southeast Florida’s September 2015 Sunny-day Flood [in “Explaining Extremes of 2015 from a Climate Perspective”] Bull. Amer. Meteor. Soc., 97 (12), S25-S30, doi:10.1175/BAMS-D-16-0117.1.",Bulletin of the American Meteorological Society,No,http://www.ametsoc.net/eee/2015/6_tidal_flood.pdf
Record warmth in the central Pacific,2015,2015,Event,NA,Oceania,Oceans,Insufficient data/inconclusive,"""In 2015, record warm surface temperatures were observed for the global mean, India, and the equatorial central Pacific. CMIP5 simulations suggest that for the globe and India, anthropogenic warming was largely to blame.""",2016,"Kam, J. et al., 2016: Multimodel Assessment of Anthropogenic Influence on Record Global and Regional Warmth During 2015 [in “Explaining Extremes of 2015 from a Climate Perspective”] Bull. Amer. Meteor. Soc., 97 (12), S4-S8, doi:10.1175/BAMS-D-16-0138.1.",Bulletin of the American Meteorological Society,No,http://www.ametsoc.net/eee/2015/2_gc_heat.pdf
Great Barrier Reef mass bleaching,2016,2016,Event,AUS,Australia and New Zealand,Impact,More severe or more likely to occur,"""We found that climate change has dramatically increased the likelihood of very hot March months like that of 2016 in the Coral Sea. We estimate that there is at least a 175 times increase in likelihood of hot March months because of the human influence on the climate.""",2016,"World Weather Attribution. 2016. Great Barrier reef bleaching, 2016",World Weather Attribution (rapid study),Yes,https://www.worldweatherattribution.org/great-barrier-reef-bleaching-march-2016/
Paris summer heatwave deaths,2003,2003,Event,FRA,Europe,Impact,More severe or more likely to occur,"""Out of the estimated ~315 and ~735 summer deaths attributed to the heatwave event in Greater London and Central Paris, respectively, 64 (±3) deaths were attributable to anthropogenic climate change in London, and 506 (±51) in Paris.""",2016,"Mitchell, d. et al., 2016: Attributing human mortality during extreme heat waves to anthropogenic climate change, Environ. Res. Lett. 11 074006",Environmental Research Letters,No,https://iopscience.iop.org/article/10.1088/1748-9326/11/7/074006
London summer heatwave deaths,2003,2003,Event,GBR,Europe,Impact,More severe or more likely to occur,"""Out of the estimated ~315 and ~735 summer deaths attributed to the heatwave event in Greater London and Central Paris, respectively, 64 (±3) deaths were attributable to anthropogenic climate change in London, and 506 (±51) in Paris.""",2016,"Mitchell, d. et al., 2016: Attributing human mortality during extreme heat waves to anthropogenic climate change, Environ. Res. Lett. 11 074006",Environmental Research Letters,No,https://iopscience.iop.org/article/10.1088/1748-9326/11/7/074006
Global extreme events,1931-2016,NA,Trend,NA,Global,Heat,More severe or more likely to occur,"""We find that historical warming has increased the severity and probability of the hottest month and hottest day of the year at >80% of the available observational area.""",2017,"Diffenbaugh, N. et al., 2017: Quantifying the influence of global warming on unprecedented extreme climate events. PNAS, 114 (19), 4881–4886",Proceedings of the National Academy of Sciences,No,http://www.pnas.org/content/114/19/4881.abstract
Global record temperature streak,2014-2016,2014-2016,Event,NA,Global,Heat,More severe or more likely to occur,"""We find that this sequence of record‐breaking temperatures had a negligible (<0.03%) likelihood of occurrence in the absence of anthropogenic warming.""",2017,"Mann, M. et al., 2017: Record temperature streak bears anthropogenic fingerprint. Geophys. Res. Lett., 44 (15), 7936-7944, DOI:10.1002/2017GL074056",Geophysical Research Letters,No,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1002/2017GL074056
Global temperature record,2016,2016,Event,NA,Global,Heat,More severe or more likely to occur,"The findings indicate a ""29‐fold increase in the likelihood of setting a record for a hot year in global temperatures in 2016 due to anthropogenic forcings"".",2017,"King, A., 2017: Attributing Changing Rates of Temperature Record Breaking to Anthropogenic Influences, Earth's Future, 5 (11) 1156-1168, DOI: 10.1002/2017EF000611",Earth's Future,No,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1002/2017EF000611
Central England temperature record,2014,2014,Event,GBR,Europe,Heat,More severe or more likely to occur,"""Human‐induced climate change increased the chance of setting a new heat record in the CET [Central England Temperature] in 2014 by at least a factor 35.""",2017,"King, A., 2017: Attributing Changing Rates of Temperature Record Breaking to Anthropogenic Influences, Earth's Future, 5 (11) 1156-1168, DOI: 10.1002/2017EF000611",Earth's Future,No,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1002/2017EF000611
New South Wales hottest summer,2017,2017,Event,AUS,Australia and New Zealand,Heat,More severe or more likely to occur,"""Average summer temperatures like those seen [in New South Wales] during 2016-2017 are now at least 50 times more likely in the current climate than in the past, before global warming began.""",2017,"King, A. et al.  2017: Extreme heat in southeast Australia, February 2017, World Weather Attribution",World Weather Attribution (rapid study),Yes,https://www.worldweatherattribution.org/extreme-heat-australia-february-2017/
Eastern US 'exceedingly warm' Feburary,2017,2017,Event,USA,Northern America,Heat,More severe or more likely to occur,"""Overall, we find that the chances of seeing a February as warm as the one experienced across the Lower 48 has increased more than threefold because of human-caused climate change.""",2017,"van Oldenborgh, G. J. 2017. Warm Februaries becoming much more common in the US, World Weather Attribution",World Weather Attribution (rapid study),Yes,https://www.worldweatherattribution.org/u-s-heat-february-2017/
Europe heatwave,June 2017,2017,Event,BEL,Europe,Heat,More severe or more likely to occur,"""The team found that climate change made the intensity and frequency of such extreme heat at least twice as likely in Belgium, at least four times as likely in France, Switzerland, the Netherlands, and central England and at least 10 times as likely in Portugal and Spain"".",2017,"Otto, F. et al. 2017: Record June temperatures in western Europe, World Weather Attribution",World Weather Attribution (rapid study),Yes,https://www.worldweatherattribution.org/european-heat-june-2017/
Europe heatwave,June 2017,2017,Event,FRA,Europe,Heat,More severe or more likely to occur,"""The team found that climate change made the intensity and frequency of such extreme heat at least twice as likely in Belgium, at least four times as likely in France, Switzerland, the Netherlands, and central England and at least 10 times as likely in Portugal and Spain"".",2017,"Otto, F. et al. 2017: Record June temperatures in western Europe, World Weather Attribution",World Weather Attribution (rapid study),Yes,https://www.worldweatherattribution.org/european-heat-june-2017/
Europe heatwave,June 2017,2017,Event,NLD,Europe,Heat,More severe or more likely to occur,"""The team found that climate change made the intensity and frequency of such extreme heat at least twice as likely in Belgium, at least four times as likely in France, Switzerland, the Netherlands, and central England and at least 10 times as likely in Portugal and Spain"".",2017,"Otto, F. et al. 2017: Record June temperatures in western Europe, World Weather Attribution",World Weather Attribution (rapid study),Yes,https://www.worldweatherattribution.org/european-heat-june-2017/
Europe heatwave,June 2017,2017,Event,PRT,Europe,Heat,More severe or more likely to occur,"""The team found that climate change made the intensity and frequency of such extreme heat at least twice as likely in Belgium, at least four times as likely in France, Switzerland, the Netherlands, and central England and at least 10 times as likely in Portugal and Spain"".",2017,"Otto, F. et al. 2017: Record June temperatures in western Europe, World Weather Attribution",World Weather Attribution (rapid study),Yes,https://www.worldweatherattribution.org/european-heat-june-2017/
Europe heatwave,June 2017,2017,Event,ESP,Europe,Heat,More severe or more likely to occur,"""The team found that climate change made the intensity and frequency of such extreme heat at least twice as likely in Belgium, at least four times as likely in France, Switzerland, the Netherlands, and central England and at least 10 times as likely in Portugal and Spain"".",2017,"Otto, F. et al. 2017: Record June temperatures in western Europe, World Weather Attribution",World Weather Attribution (rapid study),Yes,https://www.worldweatherattribution.org/european-heat-june-2017/
Europe heatwave,June 2017,2017,Event,CHE,Europe,Heat,More severe or more likely to occur,"""The team found that climate change made the intensity and frequency of such extreme heat at least twice as likely in Belgium, at least four times as likely in France, Switzerland, the Netherlands, and central England and at least 10 times as likely in Portugal and Spain"".",2017,"Otto, F. et al. 2017: Record June temperatures in western Europe, World Weather Attribution",World Weather Attribution (rapid study),Yes,https://www.worldweatherattribution.org/european-heat-june-2017/
Europe heatwave,June 2017,2017,Event,GBR,Europe,Heat,More severe or more likely to occur,"""The team found that climate change made the intensity and frequency of such extreme heat at least twice as likely in Belgium, at least four times as likely in France, Switzerland, the Netherlands, and central England and at least 10 times as likely in Portugal and Spain"".",2017,"Otto, F. et al. 2017: Record June temperatures in western Europe, World Weather Attribution",World Weather Attribution (rapid study),Yes,https://www.worldweatherattribution.org/european-heat-june-2017/
Euro-Mediterannean heat,summer 2017,2017,Event,NA,Europe,Heat,More severe or more likely to occur,"""The team found that climate change increased the chances of seeing a summer as hot as 2017 by at least a factor of 10 and a heat wave like Lucifer by at least a factor of four since 1900.""",2017,"World Weather Attribution. 2017: Euro-Mediterranean heat, summer 2017",World Weather Attribution (rapid study),Yes,https://www.worldweatherattribution.org/euro-mediterranean-heat-summer-2017/
Tibetan Plateua severe drought,autumn 2009,2009,Event,CHN,Eastern and south-eastern Asia,Drought,More severe or more likely to occur,"""Ensemble simulations of climate models demonstrate a robust increase in the dry and warm meteorological conditions seen during the 2009 SEPTP autumn drought due to anthropogenic global warming.""",2017,"Ma, S. 2017: Increased Chances of Drought in Southeastern Periphery of the Tibetan Plateau Induced by Anthropogenic Warming. J Clim, 30 (16), 6543–6560",Journal of Climate,No,http://journals.ametsoc.org/doi/abs/10.1175/JCLI-D-16-0636.1
Central US severe drought,2012,2012,Event,USA,Northern America,Drought,More severe or more likely to occur,"""An anthropogenic impact on precipitation was detectable in the simulations, doubling the likelihood of what would have been a rainfall deficit with a 2% exceedance probability under preindustrial-level forcings.""",2017,"Rupp, D. et al., 2017: Influence of the Ocean and Greenhouse Gases on Severe Drought Likelihood in the Central United States in 2012, J. Clim. DOI:10.1175/JCLI-D-16-0294.1",Journal of Climate,No,https://journals.ametsoc.org/doi/full/10.1175/JCLI-D-16-0294.1
Northeast Brazil drought,2012-2016,2012-2016,Event,BRA,Latin America and the Caribbean,Drought,No discernible human influence,"""Northeast Brazil experienced profound water shortages in 2016 due to a five-year drought. Using multiple methods, we could not find sufficient evidence that anthropogenic climate change increased drought risk.""",2017,"Martins, E. et al., 2017:  A Multimethod Attribution Analysis of the Prolonged Northeast Brazil Hydrometeorological Drought (2012–16) [in “Explaining Extreme Events of 2016 from a Climate Perspective”]. Bull. Amer. Meteor. Soc., 99 (1), S65-S69, doi:10.1175/BAMS-D-17-0102.1.",Bulletin of the American Meteorological Society,No,https://journals.ametsoc.org/doi/abs/10.1175/BAMS-D-17-0102.1
Kenya drought,2016,2016,Event,KEN,Sub-Saharan Africa,Drought,No discernible human influence,"""Analysing precipitation data for the South East and North West of Kenya we found no consistent signal from human‐induced climate change and thus conclude that it has not greatly affected the likelihood of low rainfall such as in 2016.""",2017,"Uhe, P. et al., 2017: Attributing drivers of the 2016 Kenyan drought, International Journal of Climatology, 38(51): 554-568, doi: 10.1002/joc.5389",International Journal of Climatology,No,https://rmets.onlinelibrary.wiley.com/doi/full/10.1002/joc.5389
Ethiopia drought,2015,2015,Event,ETH,Sub-Saharan Africa,Drought,Insufficient data/inconclusive,"""Taking the model spread into account we again cannot attribute the drought to anthropogenic climate change.""",2017,"Philip, S. et al., 2017: Attribution Analysis of the Ethiopian Drought of 2015, J. Clim, doi:10.1175/JCLI-D-17-0274.1",Journal of Climate,No,http://journals.ametsoc.org/doi/abs/10.1175/JCLI-D-17-0274.1?af=R
California drought trends,1979-2005,NA,Trend,USA,Northern America,Drought,Insufficient data/inconclusive,"""These results allow a tenuous case for human-driven climate change driving increased gradients and favoring the west coast ridge, but observational data are not sufficiently accurate to confirm or reject this case.""",2017,"Seager, R. et al., 2017: Is There a Role for Human-Induced Climate Change in the Precipitation Decline that Drove the California Drought? DOI: 10.1175/JCLI-D-17-0192.1",Journal of Climate,No,https://journals.ametsoc.org/doi/full/10.1175/JCLI-D-17-0192.1
Somalia drought,2016,2016,Event,SOM,Sub-Saharan Africa,Drought,Insufficient data/inconclusive,"""Taking all the evidence together we therefore conclude that the effect of climate change on dry extremes in Somalia and Somaliland in the autumn (Deyr) rains is small compared to natural variability. We cannot show that climate change influenced the probability of drought.""",2017,"van Oldenborgh, G. J. et al. 2017: Rapid analysis of drought in Somalia, 2016, World Weather Attribution",World Weather Attribution (rapid study),Yes,https://www.worldweatherattribution.org/somalia-drought-2016-2017/
European drought,2015,2015,Event,NA,Europe,Drought,Insufficient data/inconclusive,"""Assessments using the maximum number of models and counterfactual climates with pre‐industrial greenhouse gas concentrations point to an enhanced drought risk in Europe. However, other evaluations show contradictory evidence.""",2017,"Hauser, M. et al. 2017: Methods and Model Dependency of Extreme Event Attribution: The 2015 European Drought, Earth's Future, 5(10): 1034-1043, doi:10.1002/2017EF000612",Earth's Future,No,https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1002/2017EF000612
South Louisiana flooding,August 2016,2016,Event,USA,Northern America,Rain & flooding,More severe or more likely to occur,"""Taking into account all modeling results, the probability of an event like the one in south Louisiana in 2016 has increased at least by a factor of 1.4 due to radiative forcing.""",2017,"van de Wiel, K. et al., 2017: Rapid attribution of the August 2016 flood-inducing extreme precipitation in south Louisiana to climate change. Hydrology and Earth System Sciences, 21, 897-921",Hydrology and Earth System Sciences,No,https://www.hydrol-earth-syst-sci.net/21/897/2017/hess-21-897-2017.html
