season|number|production_code|episode_title|guest_star|role
10|209–1006|AABF02|D'oh-in in the Wind|Yo La Tengo|Play the end credits
10|210–1007|AABF03|Lisa Gets an "A"|Marcia Wallace|Edna Krabappel
10|212–1009|AABF05|Mayored to the Mob|Mark Hamill|Himself; Leavelle; Theater owner
10|212–1009|AABF05|Mayored to the Mob|Joe Mantegna|Fat Tony
10|212–1009|AABF05|Mayored to the Mob|Dick Tufeld|Robot B-9
10|212–1009|AABF05|Mayored to the Mob|Marcia Wallace|Edna Krabappel
10|213–1010|AABF06|Viva Ned Flanders|The Moody Blues|Themselves
10|213–1010|AABF06|Viva Ned Flanders|Marcia Wallace|Edna Krabappel
10|214–1011|AABF07|Wild Barts Can't Be Broken|Cyndi Lauper|Herself
10|214–1011|AABF07|Wild Barts Can't Be Broken|Franklin D. Roosevelt (archival)|Himself
10|214–1011|AABF07|Wild Barts Can't Be Broken|Marcia Wallace|Edna Krabappel
10|215–1012|AABF08|Sunday, Cruddy Sunday|Troy Aikman|Himself
10|215–1012|AABF08|Sunday, Cruddy Sunday|Rosey Grier|Himself
10|215–1012|AABF08|Sunday, Cruddy Sunday|John Madden|Himself
10|215–1012|AABF08|Sunday, Cruddy Sunday|Dan Marino|Himself
10|215–1012|AABF08|Sunday, Cruddy Sunday|Rupert Murdoch|Himself
10|215–1012|AABF08|Sunday, Cruddy Sunday|Dolly Parton|Herself
10|215–1012|AABF08|Sunday, Cruddy Sunday|Pat Summerall|Himself
10|215–1012|AABF08|Sunday, Cruddy Sunday|Fred Willard|Wally Kogen
10|216–1013|AABF09|Homer to the Max|Ed Begley, Jr.|Himself
10|217–1014|AABF11|I'm with Cupid|Jan Hooks|Manjula Nahasapeemapetilon
10|217–1014|AABF11|I'm with Cupid|Elton John|Himself
10|217–1014|AABF11|I'm with Cupid|Marcia Wallace|Edna Krabappel
10|218–1015|AABF10|Marge Simpson in: "Screaming Yellow Honkers"|John Kassir|Possum
10|218–1015|AABF10|Marge Simpson in: "Screaming Yellow Honkers"|Marcia Wallace|Edna Krabappel
10|218–1015|AABF10|Marge Simpson in: "Screaming Yellow Honkers"|Hank Williams, Jr.|Sings "Canyonero!"
10|221–1018|AABF14|Simpsons Bible Stories|Marcia Wallace|Mrs. Krabapatra
10|222–1019|AABF15|Mom and Pop Art|Michael Dees|Sings "Arrivederci Roma"
10|222–1019|AABF15|Mom and Pop Art|Jasper Johns|Himself
10|222–1019|AABF15|Mom and Pop Art|Isabella Rossellini|Astrid Weller
10|222–1019|AABF15|Mom and Pop Art|Marcia Wallace|Edna Krabappel
10|223–1020|AABF16|The Old Man and the "C" Student|Jack LaLanne|Himself
10|223–1020|AABF16|The Old Man and the "C" Student|NRBQ|Sing "Can't Buy Me Love"
10|224–1021|AABF17|Monty Can't Buy Me Love|Michael McKean|Jerry Rude
10|225–1022|AABF18|They Saved Lisa's Brain|Stephen Hawking|Himself
10|226–1023|AABF20|Thirty Minutes over Tokyo|Denice Kumagai|Mother
10|226–1023|AABF20|Thirty Minutes over Tokyo|Karen Maruyama|Stewardess
10|226–1023|AABF20|Thirty Minutes over Tokyo|George Takei|Wink
10|226–1023|AABF20|Thirty Minutes over Tokyo|Gedde Watanabe|Waiter; Father; Toilet
10|226–1023|AABF20|Thirty Minutes over Tokyo|Keone Young|Sumo wrestler
11|227–1101|AABF23|Beyond Blunderdome|Jack Burns|Edward Christian
11|227–1101|AABF23|Beyond Blunderdome|Mel Gibson|Himself
11|227–1101|AABF23|Beyond Blunderdome|Marcia Wallace|Edna Krabappel
11|228–1102|AABF22|Brother's Little Helper|Mark McGwire|Himself
11|228–1102|AABF22|Brother's Little Helper|Marcia Wallace|Edna Krabappel
11|229–1103|AABF21|Guess Who's Coming to Criticize Dinner?|Edward Asner|Newspaper editor
11|229–1103|AABF21|Guess Who's Coming to Criticize Dinner?|Marcia Wallace|Edna Krabappel
11|230–1104|BABF01|Treehouse of Horror X|Tom Arnold|Himself
11|230–1104|BABF01|Treehouse of Horror X|Dick Clark|Himself
11|230–1104|BABF01|Treehouse of Horror X|Lucy Lawless|Herself
11|230–1104|BABF01|Treehouse of Horror X|Frank Welker|Werewolf; Werewolf Flanders
11|231–1105|AABF19|E-I-E-I-(Annoyed Grunt)|The B-52's|Sing "Glove Slap" (parody of the song Love Shack)
11|231–1105|AABF19|E-I-E-I-(Annoyed Grunt)|Marcia Wallace|Edna Krabappel
11|231–1105|AABF19|E-I-E-I-(Annoyed Grunt)|Frank Welker|Various animals
11|232–1106|BABF02|Hello Gutter, Hello Fadder|Ron Howard|Himself
11|232–1106|BABF02|Hello Gutter, Hello Fadder|Penn Jillette|Himself
11|232–1106|BABF02|Hello Gutter, Hello Fadder|Pat O'Brien|Himself
11|232–1106|BABF02|Hello Gutter, Hello Fadder|Nancy O'Dell|Herself
11|232–1106|BABF02|Hello Gutter, Hello Fadder|Teller|Himself
11|232–1106|BABF02|Hello Gutter, Hello Fadder|Marcia Wallace|Edna Krabappel
11|233–1107|BABF03|Eight Misbehavin'|Jan Hooks|Manjula Nahasapeemapetilon
11|233–1107|BABF03|Eight Misbehavin'|Garry Marshall|Larry Kidkill
11|233–1107|BABF03|Eight Misbehavin'|Butch Patrick|Himself
11|233–1107|BABF03|Eight Misbehavin'|Marcia Wallace|Edna Krabappel
11|233–1107|BABF03|Eight Misbehavin'|Frank Welker|Zoo animals
11|234–1108|BABF05|Take My Wife, Sleaze|John Goodman|Meathook
11|234–1108|BABF05|Take My Wife, Sleaze|Jan Hooks|Manjula Nahasapeemapetilon
11|234–1108|BABF05|Take My Wife, Sleaze|Jay North|Himself
11|234–1108|BABF05|Take My Wife, Sleaze|NRBQ|Perform various songs
11|234–1108|BABF05|Take My Wife, Sleaze|Marcia Wallace|Edna Krabappel
11|234–1108|BABF05|Take My Wife, Sleaze|Henry Winkler|Ramrod
11|235–1109|BABF07|Grift of the Magi|Clarence Clemons|Narrator
11|235–1109|BABF07|Grift of the Magi|Gary Coleman|Himself
11|235–1109|BABF07|Grift of the Magi|Joe Mantegna|Fat Tony
11|235–1109|BABF07|Grift of the Magi|Tim Robbins|Jim Hope
11|235–1109|BABF07|Grift of the Magi|Marcia Wallace|Edna Krabappel
11|236–1110|BABF04|Little Big Mom|Elwood Edwards|Virtual doctor
11|236–1110|BABF04|Little Big Mom|Marcia Wallace|Edna Krabappel
11|237–1111|BABF06|Faith Off|Don Cheadle|Brother Faith
11|237–1111|BABF06|Faith Off|Joe Mantegna|Fat Tony
11|237–1111|BABF06|Faith Off|Marcia Wallace|Edna Krabappel
11|238–1112|BABF08|The Mansion Family|Britney Spears|Herself
11|239–1113|BABF09|Saddlesore Galactica|Randy Bachman|Himself
11|239–1113|BABF09|Saddlesore Galactica|Jim Cummings|Duncan; Furious D
11|239–1113|BABF09|Saddlesore Galactica|Trevor Denman|Track announcer
11|239–1113|BABF09|Saddlesore Galactica|Fred Turner|Himself
11|240–1114|BABF10|Alone Again, Natura-Diddily|Shawn Colvin|Rachel Jordan
11|240–1114|BABF10|Alone Again, Natura-Diddily|Marcia Wallace|Edna Krabappel
11|240–1114|BABF10|Alone Again, Natura-Diddily|Frank Welker|Parrot
11|241–1115|BABF11|Missionary: Impossible|Betty White|Herself
11|242–1116|BABF12|Pygmoelian|Marcia Wallace|Edna Krabappel
11|244–1118|BABF14|Days of Wine and D'oh'ses|Marcia Wallace|Edna Krabappel
11|245–1119|BABF16|Kill the Alligator and Run|Diedrich Bader|Sheriff
11|245–1119|BABF16|Kill the Alligator and Run|Joe C.|Himself
11|245–1119|BABF16|Kill the Alligator and Run|Robert Evans|Himself
11|245–1119|BABF16|Kill the Alligator and Run|Kid Rock|Himself
11|245–1119|BABF16|Kill the Alligator and Run|Charlie Rose|Himself
11|246–1120|BABF15|Last Tap Dance in Springfield|Frank Welker|Lion
11|247–1121|BABF18|It's a Mad, Mad, Mad, Mad Marge|Parker Posey|Becky
11|247–1121|BABF18|It's a Mad, Mad, Mad, Mad Marge|Marcia Wallace|Edna Krabappel
11|247–1121|BABF18|It's a Mad, Mad, Mad, Mad Marge|Marc Wilmore|Dr. Wilmore
11|248–1122|BABF19|Behind the Laughter|Jim Forbes|Narrator
11|248–1122|BABF19|Behind the Laughter|Willie Nelson|Himself
11|248–1122|BABF19|Behind the Laughter|Marcia Wallace|Edna Krabappel
12|249–1201|BABF21|Treehouse of Horror XI|Frank Welker|Dolphins
12|250–1202|BABF20|A Tale of Two Springfields|Gary Coleman|Himself
12|250–1202|BABF20|A Tale of Two Springfields|Marcia Wallace|Edna Krabappel
12|250–1202|BABF20|A Tale of Two Springfields|Frank Welker|Badger; Woodpecker
12|250–1202|BABF20|A Tale of Two Springfields|The Who|Themselves
12|251–1203|BABF17|Insane Clown Poppy|Drew Barrymore|Sophie
12|251–1203|BABF17|Insane Clown Poppy|Stephen King|Himself
12|251–1203|BABF17|Insane Clown Poppy|Joe Mantegna|Fat Tony
12|251–1203|BABF17|Insane Clown Poppy|Jay Mohr|Christopher Walken
12|251–1203|BABF17|Insane Clown Poppy|Amy Tan|Herself
12|251–1203|BABF17|Insane Clown Poppy|John Updike|Himself
12|252–1204|CABF01|Lisa the Tree Hugger|Joshua Jackson|Jesse Grass
12|253–1205|CABF04|Homer vs. Dignity|Leeza Gibbons|Herself
12|253–1205|CABF04|Homer vs. Dignity|Marcia Wallace|Edna Krabappel
12|254–1206|CABF02|The Computer Wore Menace Shoes|Patrick McGoohan|Number Six
12|254–1206|CABF02|The Computer Wore Menace Shoes|Marcia Wallace|Edna Krabappel
12|255–1207|CABF03|The Great Money Caper|Edward Norton|Devon Bradley
12|256–1208|CABF06|Skinner's Sense of Snow|Marcia Wallace|Edna Krabappel
12|258–1210|CABF05|Pokey Mom|Michael Keaton|Jack Crowley
12|258–1210|CABF05|Pokey Mom|Charles Napier|Warden
12|258–1210|CABF05|Pokey Mom|Robert Schimmel|Convict
12|258–1210|CABF05|Pokey Mom|Bruce Vilanch|Himself
12|258–1210|CABF05|Pokey Mom|Marcia Wallace|Edna Krabappel
12|259–1211|CABF08|Worst Episode Ever|Neil Armstrong (archival)|Himself
12|259–1211|CABF08|Worst Episode Ever|Johnnie Cochran (archival)|Himself
12|259–1211|CABF08|Worst Episode Ever|Richard Nixon (archival)|Himself
12|259–1211|CABF08|Worst Episode Ever|Tom Savini|Himself
12|260–1212|CABF07|Tennis the Menace|Andre Agassi|Himself
12|260–1212|CABF07|Tennis the Menace|Pete Sampras|Himself
12|260–1212|CABF07|Tennis the Menace|Marcia Wallace|Edna Krabappel
12|260–1212|CABF07|Tennis the Menace|Serena Williams|Herself
12|260–1212|CABF07|Tennis the Menace|Venus Williams|Herself
12|261–1213|CABF10|Day of the Jackanapes|Gary Coleman|Himself
12|261–1213|CABF10|Day of the Jackanapes|Kelsey Grammer|Sideshow Bob
12|262–1214|CABF12|New Kids on the Blecch|'N Sync|Themselves
12|263–1215|CABF09|Hungry, Hungry Homer|Stacy Keach|Howard K. Duff VIII
12|263–1215|CABF09|Hungry, Hungry Homer|Marcia Wallace|Edna Krabappel
12|264–1216|CABF11|Bye Bye Nerdie|Kathy Griffin|Francine
12|264–1216|CABF11|Bye Bye Nerdie|Jan Hooks|Manjula Nahasapeemapetilon
12|264–1216|CABF11|Bye Bye Nerdie|Marcia Wallace|Edna Krabappel
12|265–1217|CABF13|Simpson Safari|Frank Welker|Various animals
12|266–1218|CABF14|Trilogy of Error|Joe Mantegna|Fat Tony
12|266–1218|CABF14|Trilogy of Error|Frankie Muniz|Thelonius
12|267–1219|CABF15|I'm Goin' to Praiseland|Shawn Colvin|Rachel Jordan
12|267–1219|CABF15|I'm Goin' to Praiseland|Marcia Wallace|Edna Krabappel
12|269–1221|CABF17|Simpsons Tall Tales|Marcia Wallace|Edna Krabappel
12|269–1221|CABF17|Simpsons Tall Tales|Frank Welker|Babe, the Blue Ox; Various animals
13|270–1301|CABF19|Treehouse of Horror XII|Pierce Brosnan|Ultrahouse's Pierce Brosnan voice; Himself
13|270–1301|CABF19|Treehouse of Horror XII|Matthew Perry|Ultrahouse's Matthew Perry voice
13|270–1301|CABF19|Treehouse of Horror XII|Marcia Wallace|Edna Krabappel
13|271–1302|CABF22|The Parent Rap|Jess Harnell|Various animals
13|271–1302|CABF22|The Parent Rap|Jane Kaczmarek|Judge Constance Harm
13|271–1302|CABF22|The Parent Rap|Marcia Wallace|Edna Krabappel
13|272–1303|CABF20|Homer the Moe|R.E.M.|Themselves
13|273–1304|CABF18|A Hunka Hunka Burns in Love|Julia Louis-Dreyfus|Gloria
13|273–1304|CABF18|A Hunka Hunka Burns in Love|George Takei|Waiter
13|274–1305|CABF21|The Blunder Years|Joe Mantegna|Fat Tony
13|274–1305|CABF21|The Blunder Years|Paul Newman|Himself
13|274–1305|CABF21|The Blunder Years|Judith Owen|Herself
13|275–1306|DABF02|She of Little Faith|Richard Gere|Himself
13|276–1307|DABF01|Brawl in the Family|Jane Kaczmarek|Judge Constance Harm
13|276–1307|DABF01|Brawl in the Family|Delroy Lindo|Gabriel
13|277–1308|DABF03|Sweets and Sour Marge|Ben Stiller|Garth Motherloving
13|278–1309|DABF05|Jaws Wired Shut|Dana Gould|Producer
13|278–1309|DABF05|Jaws Wired Shut|John Kassir|Various Animals
13|279–1310|DABF04|Half-Decent Proposal|Jon Lovitz|Artie Ziff
13|279–1310|DABF04|Half-Decent Proposal|Marcia Wallace|Edna Krabappel
13|280–1311|DABF06|The Bart Wants What It Wants|Wolfgang Puck|Himself
13|280–1311|DABF06|The Bart Wants What It Wants|Reese Witherspoon|Greta Wolfcastle
13|281–1312|DABF07|The Lastest Gun in the West|Dennis Weaver|Buck McCoy
13|281–1312|DABF07|The Lastest Gun in the West|Frank Welker|Dog
13|282–1313|DABF09|The Old Man and the Key|Olympia Dukakis|Zelda
13|282–1313|DABF09|The Old Man and the Key|Bill Saluga|Ray J. Johnson
13|283–1314|DABF08|Tales from the Public Domain|Sally Stevens|Sings "Island of Sirens" (parody of the song Copacabana)
13|285–1316|DABF11|Weekend at Burnsie's|Phish|Themselves
13|287–1318|DABF13|I Am Furious (Yellow)|Stan Lee|Himself
13|287–1318|DABF13|I Am Furious (Yellow)|Marcia Wallace|Edna Krabappel
13|288–1319|DABF14|The Sweetest Apu|James Lipton|Himself
13|289–1320|DABF15|Little Girl in the Big Ten|Robert Pinsky|Himself
13|290–1321|DABF16|The Frying Game|Carmen Electra|Herself
13|290–1321|DABF16|The Frying Game|Frances Sternhagen|Mrs. Bellamy
13|291–1322|DABF17|Poppa's Got a Brand New Badge|Joe Mantegna|Fat Tony
13|291–1322|DABF17|Poppa's Got a Brand New Badge|Marcia Wallace|Edna Krabappel
14|293–1402|DABF22|How I Spent My Strummer Vacation|Elvis Costello|Himself
14|293–1402|DABF22|How I Spent My Strummer Vacation|Mick Jagger|Himself
14|293–1402|DABF22|How I Spent My Strummer Vacation|Lenny Kravitz|Himself
14|293–1402|DABF22|How I Spent My Strummer Vacation|Tom Petty|Himself
14|293–1402|DABF22|How I Spent My Strummer Vacation|Keith Richards|Himself
14|293–1402|DABF22|How I Spent My Strummer Vacation|Brian Setzer|Himself
14|293–1402|DABF22|How I Spent My Strummer Vacation|Marcia Wallace|Edna Krabappel
14|294–1403|DABF20|Bart vs. Lisa vs. the Third Grade|Tony Bennett|Sings "Capital City"
14|294–1403|DABF20|Bart vs. Lisa vs. the Third Grade|Marcia Wallace|Edna Krabappel
14|295–1404|DABF18|Large Marge|Baha Men|Themselves
14|295–1404|DABF18|Large Marge|Jan Hooks|Manjula Nahasapeemapetilon
14|295–1404|DABF18|Large Marge|Marcia Wallace|Edna Krabappel
14|295–1404|DABF18|Large Marge|Burt Ward|Robin
14|295–1404|DABF18|Large Marge|Adam West|Batman
14|296–1405|DABF21|Helter Shelter|Larry Holmes|Himself
14|296–1405|DABF21|Helter Shelter|David Lander|Himself
14|297–1406|EABF01|The Great Louse Detective|Kelsey Grammer|Sideshow Bob
14|297–1406|EABF01|The Great Louse Detective|Sally Stevens|Sings "The Way We Were"
14|298–1407|EABF02|Special Edna|Little Richard|Himself
14|298–1407|EABF02|Special Edna|Marcia Wallace|Edna Krabappel
14|299–1408|EABF03|The Dad Who Knew Too Little|Elliott Gould|Himself
14|300–1409|EABF04|Strong Arms of the Ma|Pamela Reed|Ruth Powers
14|301–1410|EABF06|Pray Anything|Ken Burns|Himself
14|301–1410|EABF06|Pray Anything|Lisa Leslie|Herself
14|302–1411|EABF05|Barting Over|Blink-182|Themselves
14|302–1411|EABF05|Barting Over|Tony Hawk|Himself
14|302–1411|EABF05|Barting Over|Jane Kaczmarek|Judge Constance Harm
14|302–1411|EABF05|Barting Over|Marcia Wallace|Edna Krabappel
14|303–1412|EABF07|I'm Spelling as Fast as I Can|George Plimpton|Himself
14|304–1413|EABF08|A Star Is Born Again|James L. Brooks|Himself
14|304–1413|EABF08|A Star Is Born Again|Helen Fielding|Herself
14|304–1413|EABF08|A Star Is Born Again|Gene Merlino|Sings "Jellyfish"
14|304–1413|EABF08|A Star Is Born Again|Marisa Tomei|Sara Sloane
14|304–1413|EABF08|A Star Is Born Again|Marcia Wallace|Edna Krabappel
14|305–1414|EABF09|Mr. Spritz Goes to Washington|Joe Mantegna|Fat Tony
14|307–1416|EABF11|'Scuse Me While I Miss the Sky|Eric Idle|Declan Desmond
14|307–1416|EABF11|'Scuse Me While I Miss the Sky|Joe Mantegna|Fat Tony
14|307–1416|EABF11|'Scuse Me While I Miss the Sky|Marcia Wallace|Edna Krabappel
14|308–1417|EABF12|Three Gays of the Condo|Terry W. Greene|Large Gay Military Man
14|308–1417|EABF12|Three Gays of the Condo|Ben Schatz|Himself
14|308–1417|EABF12|Three Gays of the Condo|Scott Thompson|Grady
14|308–1417|EABF12|Three Gays of the Condo|"Weird Al" Yankovic|Himself
14|309–1418|EABF13|Dude, Where's My Ranch?|David Byrne|Himself
14|309–1418|EABF13|Dude, Where's My Ranch?|Andy Serkis|Cleanie
14|309–1418|EABF13|Dude, Where's My Ranch?|Jonathan Taylor Thomas|Luke Stetson
14|310–1419|EABF14|Old Yeller Belly|Stacy Keach|Howard K. Duff VII
14|310–1419|EABF14|Old Yeller Belly|John Kassir|Various animals
14|311–1420|EABF15|Brake My Wife, Please|Jackson Browne|Himself
14|311–1420|EABF15|Brake My Wife, Please|Steve Buscemi|Himself
14|311–1420|EABF15|Brake My Wife, Please|Jane Kaczmarek|Judge Constance Harm
14|311–1420|EABF15|Brake My Wife, Please|Marcia Wallace|Edna Krabappel
14|313–1422|EABF17|Moe Baby Blues|Joe Mantegna|Fat Tony
15|314–1501|EABF21|Treehouse of Horror XIV|Oscar De La Hoya|Himself
15|314–1501|EABF21|Treehouse of Horror XIV|Jennifer Garner|Herself
15|314–1501|EABF21|Treehouse of Horror XIV|Dudley R. Herschbach|Himself
15|314–1501|EABF21|Treehouse of Horror XIV|Jerry Lewis|Professor John Frink Sr.
15|315–1502|EABF18|My Mother the Carjacker|Glenn Close|Mona Simpson
15|316–1503|EABF20|The President Wore Pearls|Michael Moore|Himself
15|316–1503|EABF20|The President Wore Pearls|Marcia Wallace|Edna Krabappel
15|317–1504|EABF22|The Regina Monologues|Tony Blair|Himself
15|317–1504|EABF22|The Regina Monologues|Jane Leeves|Edwina
15|317–1504|EABF22|The Regina Monologues|Evan Marriott|Himself
15|317–1504|EABF22|The Regina Monologues|Ian McKellen|Himself
15|317–1504|EABF22|The Regina Monologues|J. K. Rowling|Herself
15|318–1505|EABF19|The Fat and the Furriest|Charles Napier|Grant Connor
15|319–1506|FABF01|Today I Am A Clown|Jackie Mason|Rabbi Hyman Krustofsky
15|319–1506|FABF01|Today I Am A Clown|Mr. T|Himself
15|320–1507|FABF02|'Tis the Fifteenth Season|Jim Gilstrap|Soulful Prune
15|321–1508|FABF03|Marge vs. Singles, Seniors, Childless Couples and Teens and Gays|Marcia Wallace|Edna Krabappel
15|323–1510|FABF05|Diatribe of a Mad Housewife|Tom Clancy|Himself
15|323–1510|FABF05|Diatribe of a Mad Housewife|Ashley Olsen|Herself
15|323–1510|FABF05|Diatribe of a Mad Housewife|Mary-Kate Olsen|Herself
15|323–1510|FABF05|Diatribe of a Mad Housewife|Thomas Pynchon|Himself
15|325–1512|FABF07|Milhouse Doesn't Live Here Anymore|Nick Bakay|Salem Saberhagen
15|325–1512|FABF07|Milhouse Doesn't Live Here Anymore|William Daniels|KITT
15|325–1512|FABF07|Milhouse Doesn't Live Here Anymore|Isabel Sanford|Herself
15|325–1512|FABF07|Milhouse Doesn't Live Here Anymore|Dick Tufeld|Robot B-9
15|325–1512|FABF07|Milhouse Doesn't Live Here Anymore|Marcia Wallace|Edna Krabappel
15|326–1513|FABF09|Smart and Smarter|Simon Cowell|Henry
15|327–1514|FABF08|The Ziff Who Came to Dinner|Jon Lovitz|Artie Ziff; Jay Sherman; Llewelyn Sinclair; Aristotle Amadopoulis; Professor Lombardo
15|328–1515|FABF10|Co-Dependent's Day|Brave Combo|Play the end credits
15|328–1515|FABF10|Co-Dependent's Day|Marcia Wallace|Edna Krabappel
15|329–1516|FABF11|The Wandering Juvie|Sarah Michelle Gellar|Gina Vendetti
15|329–1516|FABF11|The Wandering Juvie|Jane Kaczmarek|Judge Constance Harm
15|329–1516|FABF11|The Wandering Juvie|Charles Napier|Warden
15|329–1516|FABF11|The Wandering Juvie|Marcia Wallace|Edna Krabappel
15|330–1517|FABF12|My Big Fat Geek Wedding|Matt Groening|Himself
15|330–1517|FABF12|My Big Fat Geek Wedding|Marcia Wallace|Edna Krabappel
15|332–1519|FABF15|Simple Simpson|Mark Campbell|Country singer
15|332–1519|FABF15|Simple Simpson|Nichelle Nichols|Herself
15|334–1521|FABF17|The Bart-Mangled Banner|Marcia Wallace|Edna Krabappel
16|336–1601|FABF23|Treehouse of Horror XV|Marie Cain|Sings "I've Got You Under My Skin"
16|337–1602|FABF20|All's Fair in Oven War|James Caan|Himself
16|337–1602|FABF20|All's Fair in Oven War|Thomas Pynchon|Himself
16|337–1602|FABF20|All's Fair in Oven War|Marcia Wallace|Edna Krabappel
16|338–1603|FABF19|Sleeping with the Enemy|Marcia Wallace|Edna Krabappel
16|339–1604|FABF22|She Used to Be My Girl|Kim Cattrall|Chloe Talbot
16|339–1604|FABF22|She Used to Be My Girl|Michael Dees|Sings "Too-Ra-Loo-Ra-Loo-Ral (That's an Irish Lullaby)"
16|340–1605|FABF21|Fat Man and Little Boy|Terry W. Greene|Sgt. Activity
16|340–1605|FABF21|Fat Man and Little Boy|Eric Idle|Declan Desmond
16|343–1608|GABF02|Homer and Ned's Hail Mary Pass|Tom Brady|Himself
16|343–1608|GABF02|Homer and Ned's Hail Mary Pass|LeBron James|Himself
16|343–1608|GABF02|Homer and Ned's Hail Mary Pass|Michelle Kwan|Herself
16|343–1608|GABF02|Homer and Ned's Hail Mary Pass|Warren Sapp|Himself
16|343–1608|GABF02|Homer and Ned's Hail Mary Pass|Yao Ming|Himself
16|344–1609|GABF03|Pranksta Rap|50 Cent|Himself
16|344–1609|GABF03|Pranksta Rap|Dana Gould|Barney Fife
16|345–1610|GABF04|There's Something About Marrying|Marcia Wallace|Edna Krabappel
16|346–1611|GABF05|On a Clear Day I Can't See My Sister|Gary Busey|Himself
16|346–1611|GABF05|On a Clear Day I Can't See My Sister|Jane Kaczmarek|Judge Constance Harm
16|346–1611|GABF05|On a Clear Day I Can't See My Sister|Marcia Wallace|Edna Krabappel
16|347–1612|GABF06|Goo Goo Gai Pan|Lucy Liu|Madam Wu
16|347–1612|GABF06|Goo Goo Gai Pan|Robert Wagner|Himself
16|349–1614|GABF08|The Seven-Beer Snitch|Frank Gehry|Himself
16|349–1614|GABF08|The Seven-Beer Snitch|Joe Mantegna|Fat Tony
16|349–1614|GABF08|The Seven-Beer Snitch|Charles Napier|Officer Krackney
16|350–1615|GABF12|Future-Drama|John DiMaggio|Bender
16|350–1615|GABF12|Future-Drama|Amy Poehler|Jenda
16|350–1615|GABF12|Future-Drama|Marcia Wallace|Edna Krabappel
16|351–1616|GABF10|Don't Fear the Roofer|Stephen Hawking|Himself
16|351–1616|GABF10|Don't Fear the Roofer|Ray Romano|Ray Magini
16|352–1617|GABF11|The Heartbroke Kid|Albert Brooks|Tab Spangler; Jacques
16|352–1617|GABF11|The Heartbroke Kid|Marcia Wallace|Edna Krabappel
16|353–1618|GABF13|A Star Is Torn|Fantasia Barrino|Clarissa Wellington
16|354–1619|GABF14|Thank God, It's Doomsday|Baha Men|Sing "Who Wants a Haircut?" (parody of the song Who Let the Dogs Out?)
16|354–1619|GABF14|Thank God, It's Doomsday|Los Lobos|Play end credits
16|355–1620|GABF15|Home Away from Homer|Jason Bateman|Himself
16|356–1621|GABF09|The Father, the Son, and the Holy Guest Star|Liam Neeson|Father Sean
16|356–1621|GABF09|The Father, the Son, and the Holy Guest Star|Marcia Wallace|Edna Krabappel
17|357–1701|GABF18|Bonfire of the Manatees|Alec Baldwin|Caleb Thorn
17|357–1701|GABF18|Bonfire of the Manatees|Joe Mantegna|Fat Tony
17|360–1704|GABF17|Treehouse of Horror XVI|Terry Bradshaw|Himself
17|360–1704|GABF17|Treehouse of Horror XVI|Terry W. Greene|Lava-tron
17|360–1704|GABF17|Treehouse of Horror XVI|Dennis Rodman|Himself
17|363–1707|GABF22|The Last of the Red Hat Mamas|Lily Tomlin|Tammy
17|364–1708|HABF02|The Italian Bob|Maria Grazia Cucinotta|Francesca Terwilliger
17|364–1708|HABF02|The Italian Bob|Kelsey Grammer|Sideshow Bob
17|364–1708|HABF02|The Italian Bob|Marcia Wallace|Edna Krabappel
17|366–1710|HABF03|Homer's Paternity Coot|Joe Frazier|Himself
17|366–1710|HABF03|Homer's Paternity Coot|William H. Macy|Himself
17|366–1710|HABF03|Homer's Paternity Coot|Michael York|Mason Fairbanks
17|367–1711|HABF04|We're on the Road to D'ohwhere|Marcia Wallace|Edna Krabappel
17|368–1712|HABF05|My Fair Laddy|Marcia Wallace|Edna Krabappel
17|369–1713|HABF06|The Seemingly Never-Ending Story|Michael Dees|Sings "Fly Me to the Moon"
17|369–1713|HABF06|The Seemingly Never-Ending Story|Maurice LaMarche|Commander McBragg
17|369–1713|HABF06|The Seemingly Never-Ending Story|Marcia Wallace|Edna Krabappel
17|370–1714|HABF07|Bart Has Two Mommies|Antonio Fargas|Huggy Bear
17|370–1714|HABF07|Bart Has Two Mommies|Randy Johnson|Himself
17|370–1714|HABF07|Bart Has Two Mommies|Susan Sarandon|Herself
17|370–1714|HABF07|Bart Has Two Mommies|Dave Thomas|Bob Hope
17|371–1715|HABF08|Homer Simpson, This Is Your Wife|Ricky Gervais|Charles Heathbar
17|371–1715|HABF08|Homer Simpson, This Is Your Wife|Marcia Wallace|Edna Krabappel
17|372–1716|HABF09|Million Dollar Abie|Michael Carrington|Sports anchor #2
17|372–1716|HABF09|Million Dollar Abie|Rob Reiner|Himself
17|373–1717|HABF10|Kiss Kiss, Bang Bangalore|Richard Dean Anderson|Himself
17|373–1717|HABF10|Kiss Kiss, Bang Bangalore|Meher Tatna|Indian passenger
17|375–1719|HABF12|Girls Just Want to Have Sums|Amick Byram|Singing Itchy
17|375–1719|HABF12|Girls Just Want to Have Sums|Jim Gilstrap|Wise Old Cat singer
17|375–1719|HABF12|Girls Just Want to Have Sums|Bob Joyce|Singing Scratchy
17|375–1719|HABF12|Girls Just Want to Have Sums|Frances McDormand|Melanie Upfoot
17|375–1719|HABF12|Girls Just Want to Have Sums|Sally Stevens|Singing Female Cat
17|375–1719|HABF12|Girls Just Want to Have Sums|Marcia Wallace|Edna Krabappel
17|375–1719|HABF12|Girls Just Want to Have Sums|Oren Waters|Singing Male Cat
17|376–1720|HABF13|Regarding Margie|Sal Bando|Himself
