subcategory,rank,year,name,affiliation,title
"Wine, Spirits, and Other Beverages",Nominee,2018,Liam Baranauskas,Eater,"Drink Seltzer, Live Forever"
Personal Essay,Nominee,2018,Kim Foster Ms.,Nevada Public Radio's Desert Companion Magazine,The Meth Lunches: The Care and Feeding of a Drug Addict
Innovative Storytelling,Nominee,2018,Tim Carman,The Washington Post,America's Most Authentic Dive Bars
Dining and Travel,Winner,2018,J.M. Hirsch,Christopher Kimball's Milk Street Magazine,In Pursuit of Perfect Hummus
Innovative Storytelling,Nominee,2018,Elisheva Krupnick,Eater,Going Viral
Personal Essay,Winner,2018,Lisa Marie Donovan,Foodandwine.com,Dear Women: Own Your Stories
M.F.K. Fisher Distinguished Writing Award,Nominee,2018,Helen Rosner,Eater,Christ in the Garden of Endless Breadsticks
M.F.K. Fisher Distinguished Writing Award,Nominee,2018,Wyatt Williams,Oxford American,After Oranges: Following John McPhee to Florida
Personal Essay,Nominee,2018,Tiffany Langston,Tiffany Tastes,"Strip Clubs, Salvation and Sonic Drive-In"
Innovative Storytelling,Nominee,2018,Fritz Hahn,The Washington Post,America's Most Authentic Dive Bars
Innovative Storytelling,Winner,2018,Barbara Dewilde,The New York Times,The New Essentials of French Cooking
Columns and Newsletters,Winner,2018,Osayi Endolyn,Gravy,"Missed Cues: Get Help; Distilled Identity; and Destination, Small Town"
M.F.K. Fisher Distinguished Writing Award,Winner,2018,Shane Mitchell,The Bitter Southerner,Who Owns Uncle Ben?
M.F.K. Fisher Distinguished Writing Award,Nominee,2017,Francis Lam,Saveur,Sonoko Dreams of Soba
M.F.K. Fisher Distinguished Writing Award,Winner,2017,Calvin Godfrey,Roads & Kingdoms,The Dog Thief Killings
Personal Essay,Winner,2017,Keith Pandolfi,Serious Eats,All I Want Are Some Potato Skins
Craig Claiborne Distinguished Criticism Award,Nominee,2017,Bill Addison,Eater,"â€œDinner, Transcendingâ€; â€œThe Future of the Steakhouse Has Arrived, and It's in Chicagoâ€; â€œIs the World Ready for the Austere Beauty of GÃ¼nter Seeger?â€"
Food and Health,Nominee,2017,Michael Steed,Cured,More Than A Gut Feeling
Profile,Winner,2017,Kevin A. Alexander,Thrillist,Finding Pete Wells: A Search for America's Most Dangerous Restaurant Critic
M.F.K. Fisher Distinguished Writing Award,Nominee,2017,Carolyn Phillips,Life and Thyme,Good Graces
Home Cooking,Winner,2017,Sidney Fry,Cooking Light,"How to Cook, Smoke, Crumble, Grind, Pickle, Candy, Milk, Slow Cook, Toast, Pulverize, and Fry a Nut"
Local Impact,Winner,2017,Hanna Raskin,The Post and Courier,Free crabs!; A Significant Goodbye; Feeding the Prison System
Local Impact,Nominee,2017,Andrea Weigl,The News & Observer,Southern Season’s Woes Ripple Through State; True Story of a Chef's Chef; Pitmaster: Sam Jones Takes ’cue to the Next Level
Personal Essay,Nominee,2017,Allison Robicelli,Food52,"In Sickness, in Health, in White Castle"
Humor,Winner,2017,Francis Lam,Cooking Light,Recipes with Roots: The True Meaning of Turkey
Humor,Nominee,2017,Elizabeth Weil,Saveur,Who Really Invented the Reuben?
Home Cooking,Nominee,2017,Stella Parks,Serious Eats,"How to Make Rich, Flavorful Caramel Without Melting Sugar"
Humor,Nominee,2017,Matt Buchanan,Eater,Maybe Just Don't Drink Coffee
Home Cooking,Winner,2017,Robin Bashinsky,Cooking Light,"How to Cook, Smoke, Crumble, Grind, Pickle, Candy, Milk, Slow Cook, Toast, Pulverize, and Fry a Nut"
Local Impact,Nominee,2017,Hannah Palmer Egan,Seven Days,â€œPlates in the Airâ€; Got (Non-GMO) Milk?â€; â€œJailhouse Beetsâ€
Craig Claiborne Distinguished Criticism Award,Nominee,2017,Jonathan Gold,Los Angeles Times,"Counter Intelligence: â€œDestroyer Blows Up the Normâ€; â€œRed Sauce, Royal Treatmentâ€; â€œBubbling Cauldrons of Goodnessâ€"
Food and Health,Winner,2017,Sidney Fry,Cooking Light,Brain Food
Food and Health,Winner,2017,Peggy Knickerbocker,Cooking Light,Brain Food
Food and Health,Nominee,2017,Shaun Dreisbach,EatingWell,You Need This
Home Cooking,Nominee,2017,Becky Krystal,The Washington Post,The Amazingly Simple Path to Incredible Homemade Bagels
Food and Health,Winner,2017,Carolyn Williams,Cooking Light,Brain Food
Publication of the Year Award,Winner,2017,Roads & Kingdoms,NA,NA
Food Coverage in a General-Interest Publication,Nominee,2017,Joe Yonan,The Washington Post,Washington Post Food
Home Cooking,Nominee,2017,Alex Baldinger,The Washington Post,The Amazingly Simple Path to Incredible Homemade Bagels
Dining and Travel,Nominee,2017,Leslie Pariseau,Saveur,The France Issue
Craig Claiborne Distinguished Criticism Award,Winner,2017,Karen Brooks,Portland Monthly,â€œHigh Chairs and Hard Coreâ€; â€œThe X-Filesâ€; â€œBeyond Biscuits and Gravyâ€
Food Coverage in a General-Interest Publication,Nominee,2017,Bonnie Benwick,The Washington Post,Washington Post Food
Food Reporting,Winner,2017,Martha Mendoza,Associated Press,Exploited In Paradise series
Food Coverage in a General-Interest Publication,Nominee,2017,Nathan Thornburgh,Roads & Kingdoms,NA
Food Reporting,Winner,2017,Margie Mason,Associated Press,Exploited In Paradise series
Food Coverage in a General-Interest Publication,Winner,2017,Carolyn Kormann,The New Yorker,The New Yorker Food Issue
Food Coverage in a General-Interest Publication,Winner,2017,David Remnick,The New Yorker,The New Yorker Food Issue
Food Coverage in a General-Interest Publication,Nominee,2017,Cara Parks,Roads & Kingdoms,NA
Food Coverage in a General-Interest Publication,Nominee,2017,Matthew Goulding,Roads & Kingdoms,NA
Food Reporting,Nominee,2017,Laura Reiley,Tampa Bay Times,Farm to Fable series
Visual Storytelling,Nominee,2017,Matt Buchanan,Eater,Twilight of the Four Seasons
"Wine, Spirits, and Other Beverages",Nominee,2017,Jamie Lauren Keiles,Eater,The 24-Year-Old Coca-Cola Virgin
Food and Culture,Nominee,2017,Matthew Goulding,Roads & Kingdoms,The Barnacle Queens of the Spanish Seaside
Visual Storytelling,Winner,2017,Mariya Pylayev,Eater,Thrill Ride
Visual Storytelling,Nominee,2017,Gary He,Eater,Twilight of the Four Seasons
"Wine, Spirits, and Other Beverages",Winner,2017,Dave Infante,Thrillist,The Great Craft Beer Sellout
Food and Culture,Nominee,2017,Francis Lam,Saveur,Sonoko Dreams of Soba
Visual Storytelling,Winner,2017,Vince Dixon,Eater,Thrill Ride
Food Coverage in a General-Interest Publication,Winner,2017,Lauren Collins,The New Yorker,The New Yorker Food Issue
Food Coverage in a General-Interest Publication,Winner,2017,David Remnick,The New Yorker,The New Yorker Food Issue
Dining and Travel,Nominee,2017,Adam Sachs,Saveur,The France Issue
"Wine, Spirits, and Other Beverages",Nominee,2017,Adam Gollner,Saveur,Where Does Wine Come From?
Food and Health,Winner,2017,Hunter Lewis,Cooking Light,Brain Food
Visual Storytelling,Nominee,2017,Gary He,Eater,Twilight of the Four Seasons
Visual Storytelling,Nominee,2017,Matt Buchanan,Eater,Twilight of the Four Seasons
"Wine, Spirits, and Other Beverages",Nominee,2017,Jamie Lauren Keiles,Eater,The 24-Year-Old Coca-Cola Virgin
Columns and Newsletters,Nominee,2017,Jon Bonné,Punch,Wine
Dining and Travel,Winner,2017,Bill Addison,Eater,"I Want Crab, Pure Maryland Crab."
Dining and Travel,Nominee,2017,Peter Meehan,Lucky Peach,New York City Versus San Francisco
Columns and Newsletters,Nominee,2017,Dara A Moskowitz Grumdahl,Mpls.St.Paul,Dara in the City
Craig Claiborne Distinguished Criticism Award,Winner,2017,Karen Brooks,Portland Monthly,â€œHigh Chairs and Hard Coreâ€; â€œThe X-Filesâ€; â€œBeyond Biscuits and Gravyâ€
Visual Storytelling,Winner,2017,Mariya Pylayev,Eater,Thrill Ride
"Wine, Spirits, and Other Beverages",Winner,2017,Dave Infante,Thrillist,The Great Craft Beer Sellout
Food and Culture,Winner,2017,Shane Mitchell,Roads & Kingdoms,A Last Dinner in the Jungle
Columns and Newsletters,Winner,2017,Francis Lam,The New York Times Magazine,Eat
Food Coverage in a General-Interest Publication,Nominee,2017,Joe Yonan,The Washington Post,Washington Post Food
Craig Claiborne Distinguished Criticism Award,Nominee,2016,Ryan Patrick Sutton,Eater,"â€œFour Star Semilla Is New Yorkâ€™s Next Great Restaurant,â€ â€œHow to Navigate Shuko, New Yorkâ€™s Most Exciting New Japanese Restaurant,â€ â€œContra and Wildair Are the Anti-Elitist Icons of NYC Cuisineâ€"
Food Coverage in a General-Interest Publication,Winner,2016,Bill Esparza,Los Angeles magazine,NA
Food-Related Columns,Winner,2016,Francis Lam,New York Times Magazine,Eat
Personal Essay,Nominee,2016,Brett Martin,GQ,The Chef Who Saved My Life
Food-Related Columns,Nominee,2016,Corby Kummer,New Republic,Edible Life
Food Coverage in a General-Interest Publication,Winner,2016,Lesley Suter,Los Angeles Magazine,NA
Visual Storytelling,Winner,2016,Erin DeJesus,Eater,One Night: Kachka
Food and Health,Nominee,2016,Jon Wilde,GQ,How to Eat Healthy(ish)
Visual Storytelling,Winner,2016,Danielle Centoni,Eater,One Night: Kachka
Visual Storytelling,Nominee,2016,Andrew Jive,Epicurious,"How to Make the Worldâ€™s Best Cheeseburger, Using Magic"
Visual Storytelling,Winner,2016,Dina Avila,Eater,One Night: Kachka
Visual Storytelling,Winner,2016,Jennifer Stevenson,Eater,One Night: Kachka
Food Blog,Nominee,2016,Andrew Zimmern,NA,NA
Visual Storytelling,Nominee,2016,Joana Avillez,Lucky Peach,Smells the Same
Craig Claiborne Distinguished Criticism Award,Winner,2016,Tejal Rao,Bloomberg Pursuits,"â€œA Health Food Restaurant so Cool It Will Have You Happily Eating Seeds,â€ â€œRevisiting Momofuku Ko, After the Revolution,â€ â€œPolo Bar Review: Ralph Lauren Corrals the Fashionable Herdâ€"
Food Coverage in a General-Interest Publication,Nominee,2016,Dave DiBenedetto,Garden & Gun,NA
Profile,Winner,2016,Wendell Brock,The Bitter Southerner,Christiane Lauterbach: The Woman Who Ate Atlanta
"Wine, Spirits, and Other Beverages",Nominee,2016,Alan Richman,GQ,"Old World, New Wine"
Food-Related Columns,Nominee,2016,Todd Kliman,The Washingtonian,OtherWise
Craig Claiborne Distinguished Criticism Award,Nominee,2016,Dara A Moskowitz Grumdahl,Mpls.St.Paul Magazine,"Spoon & Stable,â€ â€œGilding the Chicken,â€ â€œA Second Act for the Forum?"
"Wine, Spirits, and Other Beverages",Winner,2016,Dave Infante,Thrillist,There Are Almost No Black People Brewing Craft Beer. Hereâ€™s Why.
Food and Health,Winner,2016,Sidney Fry,Cooking Light,The Healthy Cookâ€™s Guide to Fat
Food Reporting,Nominee,2016,Ted Genoways,New Republic,Corn Wars
Food and Health,Winner,2016,Robin Bashinsky,Cooking Light,The Healthy Cookâ€™s Guide to Fat
Visual Storytelling,Nominee,2016,Eric Gillin,Epicurious,"How to Make the Worldâ€™s Best Cheeseburger, Using Magic"
"Wine, Spirits, and Other Beverages",Nominee,2016,Courtney Balestier,Punch,Let Us Now Retire the Whiskey Woman
Visual Storytelling,Winner,2016,McGraw Wolfman,Eater,One Night: Kachka
Dining and Travel,Nominee,2016,Lauren Collins,Bon AppÃ©tit,A Modern Guide to Timeless London
Dining and Travel,Winner,2016,Tom Sietsema,The Washington Post,Americaâ€™s Best Food Cities
Profile,Nominee,2016,Francis Lam,New York Times Magazine,Edna Lewis and the Black Roots of American Cooking
Profile,Nominee,2016,Allecia Vermillion,Seattle Met magazine,"The Brief, Extraordinary Life of Cody Spafford"
Food and Culture,Winner,2016,John Birdsall,Jarry,Straight-Up Passing
Food and Culture,Nominee,2016,Matthew Goulding,Roads & Kingdoms,In Search of Ragu
M.F.K. Fisher Distinguished Writing Award,Winner,2016,Todd Kliman,Lucky Peach,Pork Life
Personal Essay,Winner,2016,Helen Rosner,Guernica,On Chicken Tenders
Publication of the Year Award,Winner,2016,Lucky Peach,NA,NA
Humor,Nominee,2016,Julia Reed,Garden & Gun,Stone-Ground Killer
Humor,Nominee,2016,Emily Wallace,Gravy,Ham to Ham Combat: The Tale of Two Smithfields
Food Coverage in a General-Interest Publication,Winner,2016,Los Angeles Magazine,Los Angeles Magazine,NA
Food and Culture,Nominee,2016,Shane Mitchell,The Bitter Southerner,Kiss My Grits
Humor,Winner,2016,Maryse Chevriere,Instagram,@Freshcutgardenhose
Personal Essay,Nominee,2016,Rien Fertel,The Local Palate,"(The New) Broadway, NOLA"
M.F.K. Fisher Distinguished Writing Award,Nominee,2016,Matthew Goulding,Roads & Kingdoms,The Second Most Famous Thing to Happen to Hiroshima
Food Reporting,Winner,2016,Robin McDowell,Associated Press,Seafood From Slaves - An AP investigation helps free slaves in the 21st century
Home Cooking,Nominee,2016,Langdon Cook,EatingWell,Into the Woods
Food Reporting,Winner,2016,Margie Mason,Associated Press,Seafood From Slaves - An AP investigation helps free slaves in the 21st century
Home Cooking,Winner,2016,Adam Rapoport,Bon AppÃ©tit,Cook Like a Pro!
Food Blog,Nominee,2016,Serious Eats,NA,NA
Food and Health,Nominee,2016,Thomas Estabrook,EatingWel,"Good Seed, Bad Seed"
Dining and Travel,Nominee,2016,Lucky Peach,Lucky Peach,Itâ€™s 8 a.m. Somewhere
Food Reporting,Nominee,2016,Nathanael Johnson,Grist,48 hours that changed the future of rainforests
Food Coverage in a General-Interest Publication,Nominee,2016,GQ Magazine,GQ,NA
Home Cooking,Nominee,2016,Brette Warshaw,Lucky Peach,Three Dishes: Gnocchi
Food Reporting,Winner,2016,Martha Mendoza,Associated Press,Seafood From Slaves - An AP investigation helps free slaves in the 21st century
M.F.K. Fisher Distinguished Writing Award,Nominee,2016,Irina Dumitrescu,The Yale Review,My Father and the Wine
Food Blog,Winner,2016,Lucky Peach,NA,NA
M.F.K. Fisher Distinguished Writing Award,Nominee,2015,Kevin Pang,Lucky Peach,Fixed Menu
Profile,Winner,2015,Dana Goodyear,The New Yorker,Elite Meat
Food and Culture,Nominee,2015,Mike Sula,Chicago Reader,What Happens When All-Star Chefs Get in Bed with Big Food?
Food and Health,Nominee,2015,Gretel H. Schueller,EatingWell,The Wild World Within
Food and Health,Nominee,2015,Ben Paynter,Wired,Bred to Perfection
Personal Essay,Winner,2015,John DeVore,Eater,Life in Chains: Finding Home at Taco Bell
Personal Essay,Nominee,2015,Rick Bragg,Garden and Gun,Requiem for a Fish Sandwich
Individual Food Blog,Nominee,2015,Aleksandra Mojsilovic,Three Little Halves,NA
Group Food Blog,Nominee,2015,Food52,Food52,NA
Visual Storytelling,Winner,2015,Gillian Duffy,New York,Make
"Food Politics, Policy, and the Environment",Nominee,2015,Krissy Clark,Slate/Marketplace,"Hungry for Savings,; Save Money. Live Better.; The Secret Life of a Food Stamp"
Craig Claiborne Distinguished Criticism Award,Nominee,2015,Craig LaBan,The Philadelphia Inquirer,"Abe Fisher,; Mole Poblano,; Volver Lays It on Thick"
Craig Claiborne Distinguished Criticism Award,Nominee,2015,Karen Brooks,Portland Monthly,"Bollywood Theater's Spicy Sequel in Southeast,; Charting the Rise of Portland's Hottest UnRestaurants,; How I Learned to Stop Worrying and Love Maurice"
Humor,Nominee,2015,Chris Stang,The Infatuation,Underfinger
Individual Food Blog,Winner,2015,Molly Wizenberg,Orangette,NA
Personal Essay,Nominee,2015,Lisa Hanawalt,Lucky Peach,Deus X-Mas China
Food and Health,Winner,2015,Dana Goodyear,The New Yorker,Against the Grain
Individual Food Blog,Nominee,2015,Elissa Altman,Poor Man's Feast,NA
Group Food Blog,Winner,2015,Grub Street New York,Grub Street,NA
Craig Claiborne Distinguished Criticism Award,Winner,2015,Ryan Patrick Sutton,Eater,"Artisanal-Everything Roberta's Defies the Stereotypes,; Once an Icon, Per Se is Showing its Age,; Six Reasons Why Cosme is One of NYC's Most Relevant New Restaurants"
Dining and Travel,Nominee,2015,Brett Martin,GQ,How the Vikings Conquered Dinner
Group Food Blog,Nominee,2015,First We Feast,First We Feast,NA
Visual Storytelling,Nominee,2015,Caitlin Riley,Dark Rye,Le Kale Project
Food Coverage in a General-Interest Publication,Nominee,2015,Nathan Thornburgh,Roads & Kingdoms,NA
"Wine, Spirits, and Other Beverages",Winner,2015,Gabrielle Hamilton,AFAR,Into the Vines
Visual Storytelling,Nominee,2015,Ryan Hamilton,Food52,Food52's Guide to Thanksgiving
"Wine, Spirits, and Other Beverages",Nominee,2015,M. Carrie Allen,The Washington Post,"In New Orleans, Terrific Cocktails Never Went out of Fashion"
Visual Storytelling,Nominee,2015,Ryan Hamilton,Food52,Food52's Guide to Thanksgiving
Home Cooking,Nominee,2015,Julia Kramer,Bon Appetit,Lunch al Desko
Humor,Winner,2015,Ben Schott,Bon Appetit,Giving and Thanking
Humor,Nominee,2015,Chris Stang,The Infatuation,Underfinger
"Food Politics, Policy, and the Environment",Nominee,2015,Tom Philpott,Mother Jones,California Goes Nuts
Profile,Nominee,2015,John Birdsall,Eater,Jeremiah Tower's Invincible Armor of Pleasure
Humor,Nominee,2015,Lisa Hanawalt,Lucky Peach,"Goodbye to All That Sugar, Spice, and Fat"
Home Cooking,Nominee,2015,Julia Bainbridge,Yahoo! Food,The Truth Behind Cookbook Recipes
Profile,Nominee,2015,Taffy Brodesser-Akner,Matter,The Leftovers: Paula Deen and the Martyrdom Industrial Complex
Visual Storytelling,Nominee,2015,Ryan Merrill,Food52,Food52's Guide to Thanksgiving
Visual Storytelling,Nominee,2015,James Ransom,Food52,Food52's Guide to Thanksgiving
M.F.K. Fisher Distinguished Writing Award,Winner,2015,John DeVore,Eater,Life in Chains: Finding Home at Taco Bell
Visual Storytelling,Nominee,2015,Timothy McSweeney,Food52,Food52's Guide to Thanksgiving
Individual Food Blog,Winner,2015,Molly Wizenberg,Orangette,NA
Visual Storytelling,Nominee,2015,Michael E. Hoffman,Food52,Food52's Guide to Thanksgiving
"Food Politics, Policy, and the Environment",Nominee,2015,Krissy Clark,Slate/Marketplace,"Hungry for Savings,; Save Money. Live Better.; The Secret Life of a Food Stamp"
Food and Culture,Nominee,2015,Rowan Jacobsen,Southern Living,The Lost Apples of the South
Food and Culture,Winner,2015,Rebecca Flint Marx,San Francisco Magazine,"The Toxic, Abusive, Addictive, Supportive, Codependent Relationship Between Chefs and Yelpers"
Dining and Travel,Winner,2015,Adam Sachs,Saveur,The India Issue
Dining and Travel,Nominee,2015,Julia O'Malley,Eater,Eating Well at the End of the Road
Group Food Blog,Nominee,2015,Food52,Food52,NA
Publication of the Year Award,Winner,2015,Tina Antolini,NA,NA
Food Coverage in a General-Interest Publication,Nominee,2015,Miriam Morgan,San Francisco Chronicle,NA
Food Coverage in a General-Interest Publication,Nominee,2015,Nathan Thornburgh,Roads & Kingdoms,NA
Food Coverage in a General-Interest Publication,Nominee,2015,Lesley Suter,Los Angeles Magazine,NA
Food-Related Columns,Nominee,2015,J. Kenji Lopez-Alt,Serious Eats,The Food Lab
Individual Food Blog,Nominee,2015,Aleksandra Mojsilovic,Three Little Halves,NA
"Food Politics, Policy, and the Environment",Winner,2015,Lisa M. Hamilton,Harper's with FERN,The Quinoa Quarrel: Who Owns the World's Greatest Superfood?
Publication of the Year Award,Winner,2015,Sara Camp Arnold Milam,NA,NA
Visual Storytelling,Nominee,2014,Allston McCrady,The Local Palate,Dinin' Down in the Delta
Profile,Nominee,2014,Alex Halberstadt,The New York Times Magazine,The Transformational Power of the Right Spice
"Cooking, Recipes, or Instruction",Nominee,2014,Ann Taylor Pittman,Cooking Light,7 Simple Ways to Become a Better Cook
Personal Essay,Winner,2014,Fuchsia Dunlop,Lucky Peach,Dick Soup
M.F.K. Fisher Distinguished Writing Award,Nominee,2014,Francis Lam,Bon Appetit,Better with Age
Food Coverage in a General-Interest Publication,Nominee,2014,Jon Bonné,San Francisco Chronicle,Food & Wine Section
Food Coverage in a General-Interest Publication,Nominee,2014,Miriam Morgan,San Francisco Chronicle,Food & Wine Section
Group Food Blog,Nominee,2014,The Braiser,NA,NA
"Cooking, Recipes, or Instruction",Nominee,2014,Scott Mowbray,Cooking Light,7 Simple Ways to Become a Better Cook
Visual Storytelling,Nominee,2014,Tim Hussey,The Local Palate,Dinin' Down in the Delta
Food-Related Columns,Nominee,2014,Tamar Haspel,The Washington Post,Unearthed
Visual Storytelling,Nominee,2014,Jeff Allen,The Local Palate,Dinin' Down in the Delta
Group Food Blog,Winner,2014,First We Feast,NA,NA
Visual Storytelling,Winner,2014,Stephen Scoble,Food & Wine,Best New Chef All Stars
"Blog Focusing on Food, Beverage, Restaurant, or Nutrition",Nominee,2014,Michael Bauer,San Francisco Chronicle,NA
Health and Well-Being,Nominee,2014,Sidney Fry,Cooking Light,Salt
"Cooking, Recipes, or Instruction",Winner,2014,Andy Ricker,Saveur,The Star of Siam
Visual Storytelling,Winner,2014,Sara Parks,Food & Wine,Best New Chef All Stars
Health and Well-Being,Winner,2014,Rachael Moeller Gorman,EatingWell,"The Whole-Grain, Reduced-Fat, Zero-Calorie, High-Fiber, Lightly Sweetened Truth about Food Labels"
Profile,Nominee,2014,Peter Meehan,Lucky Peach,"Life, and How It Happens to a Cook"
Visual Storytelling,Winner,2014,Patricia Sanchez,Food & Wine,Best New Chef All Stars
Food and Travel,Winner,2014,Nick Paumgarten,Bon Appetit,"Lunch at 8,500 Ft."
Humor,Nominee,2014,Monica Hesse,The Washington Post,"Gwyneth Paltrow: We Love to Hate Her, But We'll Buy Her Cookbook Anyway"
"Wine, Spirits, and Other Beverages",Nominee,2014,Ray Isle,Food & Wine,The Battle for America's Oldest Vines
Individual Food Blog,Nominee,2014,Michael Procopio,Food for the Thoughtless,NA
"Food Politics, Policy, and the Environment",Nominee,2014,Maryn McKenna,Food & Environment Reporting Network and Medium,Imagining the Post-Antibiotics Future
Visual Storytelling,Nominee,2014,Susan Puckett,The Local Palate,Dinin' Down in the Delta
Group Food Blog,Nominee,2014,Eater National,NA,NA
"Wine, Spirits, and Other Beverages",Winner,2014,Besha Rodell,Punch,40 Ounces to Freedom
Humor,Winner,2014,Lisa Hanawalt,Lucky Peach,On the Trail with Wylie
Food-Related Columns,Winner,2014,Adam Sachs,Bon Appetit,The Obsessivore
Food Coverage in a General-Interest Publication,Nominee,2014,Todd Kliman,Washingtonian,Taste Section
Food and Culture,Nominee,2014,Lauren Collins,The New Yorker,Fire-Eaters
Visual Storytelling,Nominee,2014,Langdon Clay,The Local Palate,Dinin' Down in the Delta
Food-Related Columns,Nominee,2014,Kristen Miglore,Food52,Genius Recipes
"Cooking, Recipes, or Instruction",Nominee,2014,Bon Appetit Magazine Lifestyle,Bon Appetit,How to Cook Right Now
Visual Storytelling,Nominee,2014,Jonathan Boncek,The Local Palate,Dinin' Down in the Delta
Individual Food Blog,Winner,2014,Lisa Fain,Homesick Texan,NA
Food and Culture,Winner,2014,John Birdsall,Lucky Peach,"America, Your Food Is So Gay"
Publication of the Year Award,Winner,2014,Civil Eats,NA,NA
Craig Claiborne Distinguished Criticism Award,Nominee,2014,Besha Rodell,L.A. Weekly,Black Hogg Down
Visual Storytelling,Nominee,2014,Jessie Kriech-Higdon,Spenser Magazine,Controlled Burn
Visual Storytelling,Nominee,2014,Jen White,Spenser Magazine,Controlled Burn
Food and Culture,Nominee,2014,Corby Kummer,Smithsonian,Can Starbucks Do for the Croissant What it Did for Coffee?
Craig Claiborne Distinguished Criticism Award,Winner,2014,Alan Richman,GQ,Alan Richman Walks Into a Jewish Deli...
Visual Storytelling,Winner,2014,James Maikowski,Food & Wine,Best New Chef All Stars
Humor,Nominee,2014,Ira Chute,Dark Rye,A Vision of Post-Apocalyptic Cuisine: Frankenchicken
Food and Travel,Nominee,2014,Greg Larson,Lucky Peach,Traveling in the North Country
Food and Travel,Nominee,2014,Gary Shteyngart,Travel + Leisure,Maximum Bombay
Visual Storytelling,Winner,2014,Fredrika Stjarne,Food & Wine,Best New Chef All Stars
Health and Well-Being,Nominee,2014,Elizabeth Gunnison Dunn,The Wall Street Journal,This is Not a Carbonara
Personal Essay,Nominee,2014,Elizabeth Gilbert,Outside,Don't Mess with Perfect
"Food Politics, Policy, and the Environment",Winner,2014,Eli Saslow,The Washington Post,Food Stamps
"Food Politics, Policy, and the Environment",Nominee,2014,Craig Welch,The Seattle Times,Sea Change: The Pacific's Perilous Turn
Individual Food Blog,Nominee,2014,Elissa Altman,Poor Man's Feast,NA
Visual Storytelling,Nominee,2014,Chris Higdon,Spenser Magazine,Controlled Burn
Profile,Winner,2014,Francis Lam,Lucky Peach,A Day on Long Island with Alex Lee
Food Coverage in a General-Interest Publication,Winner,2014,Beth Kracklauer,The Wall Street Journal,Off Duty Section
"Wine, Spirits, and Other Beverages",Nominee,2014,Josh Ozersky,The Wall Street Journal,Bourbon Mania
M.F.K. Fisher Distinguished Writing Award,Winner,2014,John Jeremiah Sullivan,Lucky Peach,I Placed a Jar in Tennessee
Craig Claiborne Distinguished Criticism Award,Nominee,2014,Alison A. Cook,Houston Chronicle,Corkscrew BBQ a New Houston Classic
M.F.K. Fisher Distinguished Writing Award,Nominee,2014,Guy Martin,Garden & Gun,A Tale of Two Kitchens
Visual Storytelling,Nominee,2014,Andrew Cebulka,The Local Palate,Dinin' Down in the Delta
Personal Essay,Nominee,2014,Gabrielle Hamilton,Bon Appetit,Guess Who's Coming to Dinner
Food-Related Columns,Nominee,2013,Lettie Teague,The Wall Street Journal,"On Wine: A Pinot a Day: Is a Little Wine Really Good for You?,; Think While You Drink: In Defense of Wine Snobs,; Men Are From Cab, Women Are From Moscato?"
Visual Storytelling,Winner,2013,Fiorella Valdesolo,Gather Journal,"Starters,; Dessert,; Smoke & Ash"
"Cooking, Recipes, or Instruction",Nominee,2013,J. Kenji Lopez-Alt,Serious Eats,The Food Lab
"Food Politics, Policy, and the Environment",Winner,2013,Tracie McMillan,The American Prospect with the Food and Environment Reporting Network,As Common As Dirt
Health and Well-Being,Nominee,2013,Aliza Green,Washington Post,"The Gloves Can Come Off, as Far as I'm Concerned"
Visual Storytelling,Winner,2013,Michele Outland,Gather Journal,"Starters,; Dessert,; Smoke & Ash"
Profile,Nominee,2013,Alex Halberstadt,The New York Times Magazine,Cooking Isn't Creative and It Isn't Easy
Craig Claiborne Distinguished Criticism Award,Nominee,2013,Alison A. Cook,Houston Chronicle,"Justin Yu and Oxheart Look Forward, Not Back,; Torchy's Tacos' Magic Gets Lost in Translation,; Why Underbelly Is Essential to Houston"
Craig Claiborne Distinguished Criticism Award,Winner,2013,Tejal Rao,The Village Voice,"Bangkok Pop, No Fetishes,; The Sweet Taste of Success,; Enter the Comfort Zone at 606 R&D"
Food and Culture,Winner,2013,Ann Taylor Pittman,Cooking Light,Mississippi Chinese Lady Goes Home to Korea
M.F.K. Fisher Distinguished Writing Award,Nominee,2013,Dara A Moskowitz Grumdahl,Mpls St.Paul Magazine,The Cheese Artist
"Wine, Spirits, and Other Beverages",Nominee,2013,Betsy Andrews,Saveur,Northern Renaissance
Profile,Winner,2013,Brett Martin,GQ,Danny and the Electric Kung Pao Pastrami Test
Personal Essay,Winner,2013,Fuchsia Dunlop,Lucky Peach,London Town
"Food Politics, Policy, and the Environment",Nominee,2013,Ben Paynter,Bloomberg Businessweek,The Carp Must Die
"Cooking, Recipes, or Instruction",Winner,2013,Tamar Adler,Men's Health,The Butcher is Back!
Food Coverage in a General-Interest Publication,Winner,2013,Adina Steiman,Men's Health,NA
Individual Food Blog,Winner,2013,Hank Shaw,Hunter Angler Gardener Cook,NA
Individual Food Blog,Nominee,2013,Arantzazu Goyoaga,Cannelle et Vanille,NA
Group Food Blog,Nominee,2013,Grub Street New York,newyork.grubstreet.com,NA
M.F.K. Fisher Distinguished Writing Award,Winner,2013,Mike Sula,Chicago Reader,Chicken of the Trees
