show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s1277,Movie,Chappie,Neill Blomkamp,"Sharlto Copley, Hugh Jackman, Sigourney Weaver, Dev Patel, Ninja, Yo-Landi Visser, Jose Pablo Cantillo, Brandon Auret, Johnny Selema, Maurice Carpede","South Africa, United States","January 1, 2019",2015,R,121 min,"Action & Adventure, Sci-Fi & Fantasy","In a futuristic society where a robot police force keeps crime at bay, a lone droid gains the power of artificial intelligence."
s1278,TV Show,Charité,,"Alicia von Rittberg, Maximilian Meyer-Bretschneider, Justus von Dohnányi, Matthias Koeberlin, Christoph Bach, Ernst Stötzner, Klara Deutschmann, Ramona Kunze-Libnow, Daniel Sträßer, Tanja Schleiff, Monika Oschek, Emilia Schüle, Matthias Brenner, Thomas Loibl",Germany,"April 19, 2018",2017,TV-MA,1 Season,"International TV Shows, TV Dramas","At Berlin's Charité hospital in 1888, Ida finds romance, a path to her dream job and an inside look into cures for tuberculosis and diphtheria."
s1279,TV Show,Charité at War,,"Mala Emde, Ulrich Noethen, Jannik Schümann, Artjom Gilz, Luise Wolfram, Jacob Matschenz, Frida-Lovisa Hamann, Lukas Miko, Susanne Böwe",,"June 15, 2019",2019,TV-MA,1 Season,"International TV Shows, TV Dramas","In 1943, the staff at Berlin's Charité hospital struggle against the effects of World War II and the Nazi regime, including eugenic medical practices."
s1280,Movie,Charlie and the Chocolate Factory,Tim Burton,"Johnny Depp, Freddie Highmore, David Kelly, Helena Bonham Carter, Noah Taylor, Missi Pyle, James Fox, Deep Roy, Christopher Lee, Adam Godley, AnnaSophia Robb, Julia Winter, Jordan Fry, Philip Wiegratz","United Kingdom, United States","January 1, 2020",2005,PG,115 min,"Children & Family Movies, Comedies",The eccentric Willy Wonka opens the doors of his candy factory to five lucky kids who learn the secrets behind his amazing confections.
s1281,Movie,Charlie's Angels,McG,"Cameron Diaz, Drew Barrymore, Lucy Liu, Bill Murray, Sam Rockwell, Kelly Lynch, Tim Curry, Crispin Glover, Matt LeBlanc, LL Cool J, Tom Green, Luke Wilson","United States, Germany","October 1, 2019",2000,PG-13,98 min,"Action & Adventure, Comedies","Three beauties use their looks, charm and martial-arts training to kick butt on the trail of stolen software in this reboot of the classic TV series."
s1282,Movie,Charlie's Angels: Full Throttle,McG,"Cameron Diaz, Drew Barrymore, Lucy Liu, Bernie Mac, Crispin Glover, Justin Theroux, Robert Patrick, Demi Moore, Rodrigo Santoro, Shia LaBeouf, Matt LeBlanc, Luke Wilson, John Cleese",United States,"October 1, 2019",2003,PG-13,106 min,"Action & Adventure, Comedies","In this reboot of the TV classic, the Angels are tasked with finding lost rings encoded with the personal information of people in witness protection."
s1283,TV Show,Charlie's Colorforms City,,"Jacob Soley, Saara Chaudry, Tyler Barish, Zoe Hatz, Julie Lemieux, Joseph Motiki, Shoshana Sperling, Adrianna Di Liello, Deann Degruijter, Stacey DePass",United States,"March 22, 2019",2019,TV-Y,1 Season,Kids' TV,"Charlie creates fun stories using different shapes, and he needs your help! Take off for adventures in outer space, the Wild West – and right at home."
s1284,Movie,Charlotte's Web,"Charles A. Nichols, Iwao Takamoto","Debbie Reynolds, Charles Nelson Reilly, Paul Lynde, Henry Gibson, Rex Allen, Danny Bonaduce, Pamelyn Ferdin, Don Messick, Agnes Moorehead, Martha Scott, John Stephenson, Herb Vigran, Dave Madden",United States,"November 23, 2019",1973,G,94 min,"Children & Family Movies, Classic Movies","Follow the adventures of Wilbur the pig, Templeton the rat and Charlotte the spider in this animated musical version of E.B. White's timeless story."
s1285,TV Show,Charmed,,"Madeleine Mantock, Sarah Jeffery, Melonie Diaz, Rupert Evans, Ser'Darius Blain, Ellen Tamaki, Charlie Gillespie",United States,"May 9, 2020",2019,TV-14,2 Seasons,"TV Dramas, TV Sci-Fi & Fantasy","After their mother’s tragic death, a trio of sisters bond over their newfound powers, vanquish demons and band together to defend their magical legacy."
s1286,Movie,Charming,Ross Venokur,"Wilmer Valderrama, Demi Lovato, Sia, Nia Vardalos, Ashley Tisdale, Avril Lavigne, G.E.M., John Cleese, Chris Harrison, Dee Bradley Baker, Carlos Alazraqui","Canada, United States, Cayman Islands","January 8, 2021",2021,TV-Y7,85 min,"Children & Family Movies, Comedies","On the eve of his 21st birthday, an adored prince must find his one, true soulmate before a spell takes away all love from his kingdom."
s1287,Movie,Chashme Baddoor,David Dhawan,"Rishi Kapoor, Ali Zafar, Taapsee Pannu, Siddharth, Divyendu Sharma, Anupam Kher, Bharati Achrekar, Lillete Dubey, Ayaz Khan",India,"July 5, 2020",2013,TV-14,121 min,"Comedies, International Movies, Music & Musicals","When pretty new neighbor Seema falls for their shy roommate Sid, jealous womanizers Omi and Jai plot to break up the new lovebirds."
s1288,Movie,Chashme Buddoor,David Dhawan,"Ali Zafar, Siddharth, Divyendu Sharma, Tapsee Pannu, Rishi Kapoor, Anupam Kher, Bharati Achrekar, Varun Dhawan, Lillete Dubey, Ayaz Khan, Ashish Verma",India,"May 1, 2017",2013,TV-PG,121 min,"Comedies, International Movies, Music & Musicals","When pretty new neighbor Seema falls for their shy roommate Sid, jealous womanizers Omi and Jai plot to break up the new lovebirds."
s1289,Movie,Chasing Amy,Kevin Smith,"Ben Affleck, Joey Lauren Adams, Jason Lee, Dwight Ewell, Jason Mewes, Kevin Smith",United States,"January 1, 2020",1997,R,113 min,"Comedies, Cult Movies, Dramas","Comic book artist Holden meets the perfect woman, only to learn that she's a lesbian. But that doesn't stop him from falling in love with her."
s1290,TV Show,Chasing Cameron,,"Cameron Dallas, Aaron Carpenter, Taylor Caniff, Willie Jones, Trey Schafer, Bart Bordelon, Blake Gray",United States,"December 27, 2016",2016,TV-14,1 Season,"Reality TV, Teen TV Shows",Go behind the scenes with social media sensation Cameron Dallas as he takes his career to the next level on an international tour.
s1291,Movie,Chasing Coral,Jeff Orlowski,,United States,"July 14, 2017",2017,TV-PG,89 min,Documentaries,"Divers, scientists and photographers around the world mount an epic underwater campaign to document the disappearance of coral reefs."
s1292,TV Show,Chasing Monsters,,Cyril Chauquet,Canada," December 15, 2017",2016,TV-PG,2 Seasons,"Docuseries, Reality TV, Science & Nature TV",Adventurer Cyril Chauquet seeks out the most colossal and dangerous underwater creatures around the world in this adrenaline-packed series.
s1293,Movie,Chasing the Dragon,"Wong Jing, Jason Kwan","Donnie Yen, Andy Lau, Philip Keung, Kent Cheng, Wilfred Lau, Ken Tong, Yu Kang","Hong Kong, China","April 19, 2018",2017,TV-MA,129 min,"Action & Adventure, Dramas, International Movies","In corrupt, British-colonized Hong Kong, a mainland Chinese immigrant rises to the top of the city's drug underworld with the help of a notorious cop."
s1294,Movie,Chasing Trane,John Scheinfeld,"Denzel Washington, Bill Clinton, Ravi Coltrane, Common, Benny Golson, Jimmy Heath, Wynton Marsalis, Sonny Rollins, Carlos Santana, Cornel West",United States,"November 13, 2017",2016,TV-PG,99 min,"Documentaries, Music & Musicals","Featuring interviews, insights and archival footage, this documentary aims to reveal how historical events shaped the music of John Coltrane."
s1295,Movie,Chatô: The King of Brazil,Guilherme Fontes,"Marco Ricca, Andrea Beltrão, Letícia Sabatella, Leandra Leal, Gabriel Braga Nunes, Paulo Betti, Marcos Oliveira, Eliane Giardini",Brazil,"October 1, 2016",2015,TV-MA,105 min,"Dramas, International Movies","The romanticized life of media mogul Assis Chateaubriand depicts him as the star of a televised trial, where his passions and achievements are judged."
s1296,Movie,Chauthi Koot,Gurvinder Singh,"Suvinder Vikky, Rajbir Kaur, Gurpreet Kaur Bhangu, Taranjit Singh, Harleen Kaur, Kanwaljeet Singh, Harnek Aulakh, Tejpal Singh, Gulshan Saggi","India, France","February 1, 2017",2015,TV-14,116 min,"Dramas, Independent Movies, International Movies",Related tales of a family seeking refuge and two men on a train to Amritsar evoke the dreadful unease surrounding Hindu-Sikh tensions in 1980s Punjab.
s1297,TV Show,Cheapest Weddings,,Melanie Vallejo,Australia,"December 1, 2017",2016,TV-14,1 Season,"International TV Shows, Reality TV",Couples on a tiny budget try to ensure that the day of their wedding turns out to be the magical experience they always dreamed it would be.
s1298,TV Show,Check The Store Next Door: The Next Chapter,,"Ernest Prakasa, Chew Kin Wah, Dion Wiyoko, Morgan Oey, Anggika Bolsterli, Arie Kriting, Yusril Fahriza, Awwe, Adjis Doaibu, Aci Resti, Bintang Emon, Jenny Zhang, Soleh Solihun, Denny Gitong",Indonesia,"December 2, 2020",2020,TV-14,2 Seasons,"International TV Shows, TV Comedies, TV Dramas","When a former shop owner grows bored of retirement, he buys a fish pond and manages the new hijinks in his life with a staff of quirky employees."
s1299,TV Show,Cheer,,,United States,"January 8, 2020",2020,TV-MA,1 Season,"Docuseries, Reality TV, Teen TV Shows",This gripping docuseries follows the ups and downs of Navarro College's competitive cheer squad as they work to win a coveted national title.
s1300,TV Show,Cheer Squad,,,United States,"March 14, 2017",2016,TV-PG,1 Season,"Reality TV, Teen TV Shows","Follow the Great White Sharks, a world-champion cheerleading squad, as they juggle the pressures of training, school, work and relationships."
s1301,TV Show,Cheers,,"Ted Danson, Rhea Perlman, George Wendt, John Ratzenberger, Shelley Long, Kirstie Alley, Woody Harrelson, Kelsey Grammer, Nicholas Colasanto",United States," July 1, 2017",1992,TV-PG,11 Seasons,"Classic & Cult TV, TV Comedies","Sam Malone, an ex-baseball player turned bar owner, operates a saloon that's always filled with quirky customers and even more eccentric staff."
s1302,TV Show,Cheese in the Trap,Lee Yoon-jung,"Park Hae-Jin, Kim Go-eun, Seo Kang-jun, Lee Sung-kyoung, Nam Joo-hyuk, Park Min-ji, Hwang Seog-jeong, Son Byung-ho, Ahn Kil-kang",South Korea,"October 1, 2019",2016,TV-14,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows","In this adaptation of a popular webtoon, a poor student trying to navigate college life gains the attention of a wealthy upperclassman with a dark side."
s1303,Movie,Chef,Jon Favreau,"Jon Favreau, Sofía Vergara, John Leguizamo, Scarlett Johansson, Dustin Hoffman, Oliver Platt, Bobby Cannavale, Amy Sedaris, Robert Downey Jr., Emjay Anthony, Russell Peters",United States,"December 1, 2020",2014,R,115 min,"Comedies, Independent Movies","After igniting a Twitter war with a well-known culinary critic, a Los Angeles chef packs his knives, heads home to Miami and opens a food truck."
s1304,TV Show,Chef & My Fridge,,"Seong-joo Kim​, Jung-hwan Ahn",South Korea," August 4, 2017",2017,TV-PG,2 Seasons,"International TV Shows, Korean TV Shows, Reality TV",The best chefs of Korea go head-to-head to create impromptu dishes that feature ingredients found inside the guest stars' very own refrigerators.
s1305,TV Show,Chef's Table,,,United States,"February 22, 2019",2019,TV-MA,6 Seasons,"Docuseries, Reality TV","In this Emmy-nominated docuseries, find out what's inside the kitchens and minds of the international culinary stars who are redefining gourmet food."
s1306,TV Show,Chef's Table: BBQ,,,United States,"September 2, 2020",2020,TV-14,1 Season,"Docuseries, Reality TV","The Emmy-nominated series delves into the juicy, smoky world of barbecue, visiting acclaimed chefs and pitmasters in the US, Australia and Mexico."
s1307,TV Show,Chef's Table: France,,,,"September 2, 2016",2016,TV-14,1 Season,Docuseries,Sample the bold new flavors of France with chefs who are pushing the boundaries of fine dining and reinventing a rich culinary tradition.
s1308,TV Show,Chelsea,,,United States,"April 14, 2017",2017,TV-MA,2 Seasons,"Stand-Up Comedy & Talk Shows, TV Comedies","It's not her first talk show, but it is a first of its kind. Ideas, people and places that fascinate her, all in her unique style."
s1309,TV Show,Chelsea Does,,Chelsea Handler,United States,"January 23, 2016",2016,TV-MA,1 Season,"Docuseries, Science & Nature TV","In a provocative documentary series, comedian Chelsea Handler confronts personal and cultural hang-ups around four topics that fascinate her."
s1310,Movie,Chelsea Handler: Uganda Be Kidding Me Live,James Yukich,Chelsea Handler,United States,"October 10, 2014",2014,TV-MA,71 min,Stand-Up Comedy,"In her first Netflix stand-up comedy special, Chelsea Handler recounts her African adventures (and provides hilarious photographic evidence)."
s1311,Movie,Chelsea Peretti: One of the Greats,Lance Bangs,Chelsea Peretti,United States,"November 14, 2014",2014,TV-MA,75 min,Stand-Up Comedy,"""Brooklyn Nine-Nine"" star Chelsea Peretti showcases her diverse talents in this dark yet silly reimagining of the comedy special."
s1312,Movie,Chennai Express,Rohit Shetty,"Shah Rukh Khan, Deepika Padukone, Nikitin Dheer, Satyaraj, Kamini Kaushal, Lekh Tandon, Mukesh Tiwari",India,"August 31, 2018",2013,TV-14,135 min,"Action & Adventure, Comedies, International Movies",What could have been a sad journey turns joyful for Rahul when he falls in love with a woman en route to submerging his grandfather's ashes.
s1313,Movie,Chernobyl Diaries,Bradley Parker,"Ingrid Bolsø Berdal, Dimitri Diatchenko, Olivia Taylor Dudley, Devin Kelley, Jesse McCartney, Nathan Phillips, Jonathan Sadowski, Alex Feldman, Kristof Konrad, Pasha D. Lychnikoff",United States,"August 1, 2018",2012,R,88 min,"Horror Movies, Thrillers","A group of kids takes an illegal tour through an abandoned city near Chernobyl, where mysterious humanoid forms begin to haunt their steps..."
s1314,TV Show,Cheuk Wan-Chi: Two Night Stand,,Cheuk Wan Chi,,"December 15, 2017",2015,TV-MA,1 Season,"International TV Shows, Stand-Up Comedy & Talk Shows, TV Comedies",Writer and stand-up comedian Cheuk Wan-chi cracks wise at the follies of single womanhood and takes on politics in Hong Kong with nuance and flair.
s1315,TV Show,Chewin' the Fat,,"Ford Kiernan, Greg Hemphill, Karen Dunbar, Mark Cox, Paul Riley",United Kingdom,"October 1, 2016",1999,TV-14,1 Season,"British TV Shows, TV Comedies","Petty criminals, dodgy decorators, full-bore Glaswegians and oddball documentary presenters converge in this sketch show that parodies Scottish life."
s1316,TV Show,Chewing Gum,,"Michaela Coel, John Macmillan, Robert Lonsdale, Danielle Walters, Kadiff Kirwan, Susan Wokoma, Shola Adewusi, Sarah Hoare, Abby Rakic-Platt, Maggie Steed, Olisa Odele",United Kingdom," April 4, 2017",2017,TV-MA,2 Seasons,"British TV Shows, International TV Shows, Romantic TV Shows","The virginal Tracey, who was raised in a strictly religious Tower Hamlets flat, is ready to realize her potential. And the first step is having sex."
s1317,TV Show,Chhota Bheem,,"Vatsal Dubey, Julie Tejwani, Rupa Bhimani, Jigna Bhardwaj, Rajesh Kava, Mousam, Swapnil",India,"July 11, 2019",2019,TV-Y,1 Season,Kids' TV,"A brave, energetic little boy with superhuman powers leads his friends on exciting adventures to guard their fellow Dholakpur villagers from evil."
s1318,Movie,Chhota Bheem and the Curse of Damyaan,Rajiv Chilaka,"Kaustav Ghosh, Jigna Bhardwaj, Chutki, Rajesh Kava, Mausam, Guru Shambu, Arun Shekar, Julie Tejwani, Anamaya Verma",India,"April 1, 2020",2012,TV-Y7,87 min,Children & Family Movies,An evil demon who traded his freedom for immortality lures Chhota Bheem and his friends to the city of Sonapur with tales of hidden treasure.
s1319,Movie,Chhota Bheem Aur Kaala Yodha,"Sidheswar Shukla, Asit Mohapatra","Julie Tejwani, SABINA MALIK, Jigna Bharadhwaj, Rupa Bhimani, Lalit Agarwal, Rajesh Shukla, Disha, Rajesh Kawa, Raju",,"May 10, 2019",2018,TV-Y7,63 min,Movies,"Finally released after being trapped in an ancient book for centuries, a wicked warrior sets out to conquer Dholakpur – but not if Bheem can help it!"
s1320,Movie,Chhota Bheem Ka Romani Adventure,"Asit Mohapatra, Shyamal Chaulia","Julie Tejwani, SABINA MALIK, Jigna Bharadhwaj, Rupa Bhimani, Lalit Agarwal, Rajesh Shukla, Disha, Rajesh Kawa, Raju",,"May 10, 2019",2018,TV-Y7,62 min,Children & Family Movies,"Bheem and King Indraverma travel to Rome for a trading venture, but when the king of a neighboring land attacks, can Bheem’s wile and wit save the day?"
s1321,Movie,Chhota Bheem Ka Troll Se Takkar,"Shyamal Chaulia, Asit Mohapatra","Julie Tejwani, SABINA MALIK, Jigna Bharadhwaj, Rupa Bhimani, Lalit Agarwal, Rajesh Shukla, Disha, Rajesh Kawa, Raju",,"May 10, 2019",2018,TV-Y7,62 min,Movies,Trolls kidnap the king's daughters and overtake the kingdom of Messina. Can Bheem track them down and bring the princesses home?
s1322,TV Show,Chhota Bheem Kung Fu Dhamaka Series,,"Pinky Pal Rajput, Sonal Kaushal, Julie Tejwani, Jigna Bharadhwaj, Shaily Dubey, Rajesh Kava, Ghanshyam Shukla, Anamaya Verma, Mohit Sinha, Vaibhav Thakkar",,"January 1, 2020",2019,TV-Y7,1 Season,Kids' TV,"From kung fu battles to run-ins with bandits, life in an empire far away from home is an endless adventure for Chhota Bheem and his buddies."
s1323,Movie,Chhota Bheem Kungfu Dhamaka,"Rajiv Chilaka, Binayak Das","Sonal Kaushal, Rupa Bhimani, Jigna Bharadhwaj, Sabina Malik, Julie Tejwani, Rajesh Kava, Vaibhav Thakkar, Samriddhi Shuklaa, Aditya Raj Sharma, Vinod Kulkarni",India,"August 15, 2019",2019,TV-Y7,112 min,Children & Family Movies,Chhota Bheem is in China for a martial arts competition but his real challenge: to save the emperor’s daughter from being kidnapped by the villain Zuhu!
s1324,TV Show,Chicago Typewriter,,"Yoo Ah-in, Im Soo-jung, Ko Kyoung-pyo, Kwak Si-yang, Jo Woo-jin, Yang Jin-sung, Jeon Soo-kyeong, Ji Dae-han, Chun Ho-jin",South Korea,"October 1, 2019",2017,TV-14,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows",A veterinarian and two writers have a mysterious connection to Korean independence fighters from the Japanese colonial period.
s1325,Movie,Chicken Kokkachi,Anuranjan Premji,"Anuranjan Premji, Indrans, Dharmajan Bolgatty, Sudhi Koppa, Bijukuttan, Neha Rathanakaran, Prasanth",India,"July 1, 2018",2017,TV-14,113 min,"Comedies, International Movies","In the wake of his sister's marriage, a young middle-class man leaves his village and learns that supporting one's self is easier said than done."
s1326,Movie,Chicken Little,Mark Dindal,"Zach Braff, Joan Cusack, Patrick Stewart, Steve Zahn, Catherine O'Hara, Harry Shearer, Adam West, Don Knotts, Amy Sedaris, Garry Marshall, Patrick Warburton, Fred Willard, Wallace Shawn",United States,"March 16, 2016",2005,G,82 min,"Children & Family Movies, Comedies",No one believes Chicken Little when he tries to warn of an alien invasion – so it's up to him and his misfit friends to save the world!
s1327,TV Show,Chicken Soup for the Soul's Being Dad,,,United States,"August 27, 2018",2018,TV-MA,1 Season,Docuseries,"Nine dads around America with different family structures, backgrounds and jobs navigate the joys and challenges of fatherhood."
s1328,Movie,Chico Bon Bon and the Very Berry Holiday,Darragh O'Connell,"Robbie Daymond, Dayci Brookshire, Anthony Tedesco, Andy Abbott, Emma Sloan Jacobs, Joanna Lewis, Matt Mercer, Ian Nikus",,"December 3, 2020",2020,TV-Y,25 min,Children & Family Movies,"The Fix-It Force makes a plan to hit every home as fast as they can, delivering Blunderberry Cakes before the town awakes to avoid a holiday disaster."
s1329,TV Show,Chico Bon Bon: Monkey with a Tool Belt,,"Robbie Daymond, Dayci Brookshire, Anthony Tedesco, Andy Abbott, Roberta Lemons, Cole Seaver",United States,"October 27, 2020",2020,TV-Y,4 Seasons,Kids' TV,"Armed with tools and engineering smarts, monkey mechanic Chico Bon Bon and his Fix-It Force help the people of Blunderburg solve all of their problems."
s1330,Movie,Chief Daddy,Niyi Akinmolayan,"Taiwo Obileye, Joke Silva, Falz The Bahd Guy, Dakore Akande, Funke Akindele, Zainab Balogun, Shaffy Bello, Ini Edo, Linda Ihuoma-Suleiman, Mawuli Gavor, Richard Mofe-Damijo, Rachael Oniga, Nkem Owoh, Patience Ozokwor",Nigeria,"March 15, 2019",2018,TV-MA,98 min,"Comedies, Dramas, International Movies","When a wealthy patriarch unexpectedly drops dead, his money-crazed family, friends and staff scramble for his billionaire fortune."
s1331,TV Show,Chief of Staff,,"Lee Jung-jae, Shin Mina, Lee Elijah, Kim Dong-jun, Jung Jin-young, Kim Kap-soo, Jung Woong-in, Im Won-hee, Kim Hong-pa",South Korea,"November 12, 2019",2019,TV-14,2 Seasons,"International TV Shows, Korean TV Shows, TV Dramas","As a chief of staff in the National Assembly, Jang Tae-jun influences power behind the scenes while pursuing his own ambitions to rise to the top."
s1332,Movie,Child's Play,Tom Holland,"Catherine Hicks, Alex Vincent, Brad Dourif, Chris Sarandon, Dinah Manoff, Tommy Swerdlow, Jack Colvin, Neil Giuntoli, Juan Ramírez, Alan Wilder",United States,"December 31, 2019",1988,R,87 min,"Cult Movies, Horror Movies","When a rash of murders unfolds, 6-year-old Andy knows that his toy doll Chucky is the killer, but neither his mom nor the cops believe him."
s1333,TV Show,Children of Adam,,"Maguy Bou Ghosn, Daniella Rahme, Maxim Khalil, Qays Sheikh Najib, Mohamed Yaghy, Rodney Haddad, Nada Abou Farhat",Lebanon,"December 12, 2020",2020,TV-14,1 Season,"International TV Shows, TV Dramas, TV Thrillers","Amid crime and corruption, the lives of two couples intertwine as unexpected events soon reveal their dark secrets and tainted pasts."
s1334,Movie,Children of God,John Smithson,,United Kingdom,"August 1, 2016",1994,TV-MA,63 min,Documentaries,"A former member examines the lingering effects of being raised in the Family, a cult whose disturbing practices include the sexual abuse of children."
s1335,Movie,Children of the Sea,Ayumu Watanabe,"Mana Ashida, Hiiro Ishibashi, Seishu Uragami, Win Morisaki, Goro Inagaki, Yu Aoi, Toru Watanabe, Min Tanaka, Sumiko Fuji",Japan,"September 1, 2020",2019,TV-PG,112 min,Anime Features,"Ruka spends her summer at the aquarium, where she’s drawn into an enigmatic aquatic event alongside two mysterious boys raised in the ocean."
s1336,TV Show,Children of the Whales,,"Natsuki Hanae, Manaka Iwami, Yuuichirou Umehara, Nobunaga Shimazaki, Mikako Komatsu, Daiki Yamashita, Hiroshi Kamiya",Japan,"March 13, 2018",2017,TV-14,1 Season,"Anime Series, International TV Shows","As a magic wielder, young archivist Chakuro knows his time is short, but everything changes when a girl from the outside appears on his island."
s1337,TV Show,Chill with Bob Ross,,Bob Ross,,"December 1, 2016",1994,TV-G,1 Season,TV Shows,Iconic artist and master of relaxation Bob Ross demonstrates the process of creating wintry scenes in these episodes dedicated to the season.
s1338,Movie,Chillar Party,"Vikas Bahl, Nitesh Tiwari","Irfan Khan, Raju, Sanath Menon, Rohan Grover, Naman Jain, Aarav Khanna, Vishesh Tiwari, Chinmai Chandranshuh, Vedant Desai, Shriya Sharma, Divji Handa",India,"August 2, 2018",2011,TV-PG,127 min,"Children & Family Movies, Comedies, Dramas","Eight feisty boys befriend young drifter Fatka. When a mean politician threatens Fatka's way of life, the boys band together in honor of their pal."
s1339,TV Show,Chilling Adventures of Sabrina,,"Kiernan Shipka, Ross Lynch, Miranda Otto, Lucy Davis, Chance Perdomo, Michelle Gomez, Richard Coyle, Jaz Sinclair, Lachlan Watson, Tati Gabrielle, Adeline Rudolph, Abigail Cowen, Gavin Leatherwood, Bronson Pinchot",United States,"December 31, 2020",2020,TV-14,4 Seasons,"TV Horror, TV Mysteries, TV Sci-Fi & Fantasy","Magic and mischief collide as half-human, half-witch Sabrina navigates between two worlds: mortal teen life and her family's legacy, the Church of Night."
s1340,Movie,China Salesman,Tan Bing,"Li Dong Xue, Mike Tyson, Steven Seagal, Janicke Askevold, Li Ai, Eriq Ebouaney, Clovis Fouin, Wang Zijian",China,"September 24, 2018",2017,TV-MA,111 min,"Action & Adventure, International Movies",A Chinese engineer travels to a war-torn African country to rebuild its telecommunications but instead finds massive corruption and explosive danger.
s1341,Movie,Chingo Bling: They Can't Deport Us All,Luis Lopez,Chingo Bling,,"June 1, 2017",2017,TV-MA,63 min,Stand-Up Comedy,"On point and larger than life, rapper and stand-up comic Chingo Bling gathers his funniest friends for a rambunctious take on Tex-Mex culture."
s1342,TV Show,Chip and Potato,,"Abigail Oliver, Andrea Libman, Briana Buckmaster, Brian Dobson, Chance Hurstfield, Dominic Good, Emma Jayne Maas, Evan Byarushengo, Scotia Anderson, Alessandro Juliani","United Kingdom, Canada","November 29, 2019",2019,TV-Y,2 Seasons,Kids' TV,"Lovable pug Chip starts kindergarten, makes new friends and tries new things – with a little help from Potato, her secret mouse pal."
s1343,Movie,Chippa,Safdar Rahman,"Sunny Pawar, Chandan Roy Sanyal, Gautam Sarkar, Sumeet Thakur, Mala Mukherjee, Masood Akhtar, Veer Rajwant Singh, Joyraj Bhattacharya",India,"June 1, 2020",2020,TV-14,92 min,"Comedies, Dramas, Independent Movies","At midnight on his 10th birthday, a boy scours the lesser-known Kolkata streets in search of a father he’s never met, carrying a letter he can’t read."
s1344,Movie,Chittagong,Bedabrata Pain,"Manoj Bajpayee, Barry John, Delzad Hiwale, Vega Tamotia, Nawazuddin Siddiqui, Rajkummar Rao, Jaideep Ahlawat, Vijay Varma, Dibyendu Bhattacharya","United States, India, Bangladesh","January 1, 2018",2012,NR,105 min,"Dramas, Independent Movies, International Movies","In the turbulent 1930s of British colonial India, a teenager joins a ragtag army of schoolboys determined to overthrow their foreign conquerors."
s1345,Movie,Chitty Chitty Bang Bang,Ken Hughes,"Dick Van Dyke, Sally Ann Howes, Lionel Jeffries, Gert Fröbe, Anna Quayle, Benny Hill, James Robertson Justice, Robert Helpmann, Heather Ripley, Adrian Hall, Barbara Windsor, Davy Kaye, Alexander Doré, Bernard Spear, Stanley Unwin","United Kingdom, United States","January 1, 2020",1968,G,146 min,"Children & Family Movies, Classic Movies, Comedies","Quirky inventor Caractacus Potts and his family travel in their magical flying car to Vulgaria, a kingdom strangely devoid of children."
s1346,Movie,Chloe,Atom Egoyan,"Julianne Moore, Liam Neeson, Amanda Seyfried, Max Thieriot, R.H. Thomson, Nina Dobrev, Laura de Carteret, Mishu Vellani","United States, Canada, France","January 1, 2020",2009,R,96 min,"Independent Movies, Thrillers","Suspecting her husband of infidelity, Catherine hires sexy Chloe to test his faithfulness. Soon, the relationships between all three intensify."
s1347,TV Show,Chocolate,,"Ha Ji-won, Yoon Kye-sang, Jang Seung-jo, Kang Bu-ja, Lee Jae-ryong, Min Jin-woong, Kim Won-hae, Yoo Teo",South Korea,"November 30, 2019",2019,TV-14,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows","Brought together by meaningful meals in the past and present, a doctor and a chef are reacquainted when they begin working at a hospice ward."
s1348,Movie,Chocolate City: Vegas Strip,Jean-Claude La Marre,"Robert Ri'chard, Darrin Dewitt Henson, Ginuwine, Gilbert Saldivar, Keith Carlos, Michael Bolwaire, Willie Taylor, Michael Jai White, Vivica A. Fox, Mekhi Phifer",United States,"August 12, 2017",2017,TV-MA,90 min,Dramas,"The exotic dancers from Chocolate City get back together for a trip to Las Vegas and a chance at $500,000 in prize money."
s1349,Movie,Choked: Paisa Bolta Hai,Anurag Kashyap,"Saiyami Kher, Roshan Mathew, Amruta Subhash, Upendra Limaye, Tushar Dalvi, Rajshri Deshpande, Vaisnavi RP, Uday Nene, Parthveer Shukla, Sanjay Bhatia, Aditya Kumar, Milind Pathak",India,"June 5, 2020",2020,TV-14,114 min,"Dramas, International Movies",A bank employee weighed down by her jobless husband's debts — and her own broken dreams — finds a secret source of seemingly unlimited cash in her home.
s1350,Movie,Chopsticks,Sachin Yardi,"Abhay Deol, Mithila Palkar, Vijay Raaz",India,"May 31, 2019",2019,TV-MA,101 min,"Comedies, Dramas, Independent Movies",A gifted but insecure woman embarks on a transformative journey when she enlists an enigmatic con man to recover her stolen car from an eccentric thug.
s1351,TV Show,Chosen,,"Lan Cheng-Lung, Deng JiaJia, Han Pengyi, Sam Hayden-Smith, Jenny Zhou, Paul He, Nathaniel Kelly",China,"October 17, 2019",2019,TV-14,2 Seasons,"Crime TV Shows, International TV Shows, TV Action & Adventure","When a mysterious box arrives at his door, a doctor and father is forced to participate in a twisted killing game, or risk losing everything."
s1352,Movie,Chris Brown: Welcome to My Life,Andrew Sandler,Chris Brown,United States,"October 7, 2017",2017,TV-MA,80 min,"Documentaries, Music & Musicals","Featuring interviews, concert footage and behind-the-scenes access, this documentary delivers fans an all-access look at the life of Chris Brown."
