year,title,series,anthology,format,number,novelization,setting,stardate_start,stardate_end,detailed_date,section,primary_entry_year,footnote
2269,The Way to Eden,TOS,NA,episode,NA,FALSE,primary,5832.3,NA,NA,NA,NA,NA
2269,The Quick and the Dead,TOS,SNW,story,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2269,Requiem for Methuselah,TOS,NA,episode,NA,FALSE,primary,5843.7,NA,NA,NA,NA,NA
2269,The Savage Curtain,TOS,NA,episode,NA,FALSE,primary,5906.4,NA,NA,NA,NA,NA
2269,All Our Yesterdays,TOS,NA,episode,NA,FALSE,primary,5943.7,NA,NA,NA,NA,NA
2269,Surprise!,TOS,TNV2,book,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2269,To Reign in Hell: The Exile of Khan Noonien Singh,TOS,NA,book,NA,FALSE,secondary,NA,NA,NA,Ch 16-18,2287,NA
2269,In the Maze,TOS,TNV2,story,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2269,Faces of Fire,TOS,NA,book,58,FALSE,primary,3998.6,NA,NA,NA,NA,103
2269,Turnabout Intruder,TOS,NA,episode,NA,FALSE,primary,5928.5,NA,NA,NA,NA,NA
2269,Assignment: Eternity,TOS,NA,book,84,FALSE,primary,6021.4,6021.6,NA,"Ch 2-18, 20-21; July 19-20, 1969-[Ch 1, 22]; 2293-[Prologue, Ch 19, Epilogue]",NA,104
2269,As Others See Us,TOS,CON,story,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2269,Mind Sifter,TOS,TNV,story,NA,FALSE,primary,NA,NA,NA,NA,NA,105
2269,If I Lose Thee...,TOS,SNW,book,NA,FALSE,primary,NA,NA,NA,1594-[London sections],NA,NA
2269,The Face on the Barroom Floor,TOS,TNV,story,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2269,Snake Pit!,TOS,TNV2,book,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2269,Book of Fulfillment,TOS,SNW,story,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2269,Spock Must Die!,TOS,NA,book,NA,FALSE,primary,4011.9,NA,NA,NA,NA,106
2269,"Spock, Messiah!",TOS,NA,book,NA,FALSE,primary,6720.8,NA,NA,NA,NA,NA
2269,Planet of Judgment,TOS,NA,book,NA,FALSE,primary,6132.8,NA,NA,NA,NA,NA
2269,Vulcan!,TOS,NA,book,NA,FALSE,primary,6451.3,NA,NA,NA,NA,NA
2269,The Starless World,TOS,NA,book,NA,FALSE,primary,6527.5,NA,NA,NA,NA,NA
2269,Trek to Madworld,TOS,NA,book,NA,FALSE,primary,6188.4,NA,NA,NA,NA,NA
2269,World Without End,TOS,NA,book,NA,FALSE,primary,7502.9,NA,NA,NA,NA,NA
2269,Devil World,TOS,NA,book,NA,FALSE,primary,4231.2,NA,NA,NA,NA,NA
2269,Perry's Planet,TOS,NA,book,NA,FALSE,primary,6827.3,NA,NA,NA,NA,NA
2269,Death's Angel,TOS,NA,book,NA,FALSE,primary,6914.6,NA,NA,NA,NA,NA
2269,The Trellisane Confrontation,TOS,NA,book,14,FALSE,primary,7521.6,7532.8,NA,NA,NA,NA
2269,Killing Time,TOS,NA,book,24,FALSE,primary,NA,NA,NA,"Ch 1-21, 22 Section 1-4, 24-25, Epilogue; 2161-[Ch 22 Section 5-6, 23]",NA,107
2269,The Three-Minute Universe,TOS,NA,book,41,FALSE,primary,NA,NA,NA,NA,NA,108
2269,The Cry of the Onlies,TOS,NA,book,46,FALSE,primary,6118.2,6119.2,NA,NA,NA,NA
2269,Renegade,TOS,NA,book,55,FALSE,primary,NA,NA,NA,NA,NA,109
2269,The Great Starship Race,TOS,NA,book,67,FALSE,primary,3223.1,NA,NA,Ch 1-24; 2158-[Prologue Section 1]; 2258-[Prologue Section 2],NA,110
2269,Fracture,TOS,CON,story,NA,FALSE,primary,6453.4,NA,NA,NA,NA,NA
2269,All of Me,TOS,NA,book,NA,FALSE,primary,6618.4,NA,NA,NA,NA,NA
2269,The Patrian Transgression,TOS,NA,book,69,FALSE,primary,6769.4,NA,NA,NA,NA,NA
2269,Memory Prime,TOS,NA,book,42,FALSE,primary,NA,NA,NA,NA,NA,111
2269,Prime Directive,TOS,NA,book,NA,FALSE,primary,4842.6,6987.31,NA,"- From The Star Trek Chronology, 1996 ed., editors' note (page 78): ""Although this chronology does not use material from the animated Star Trek series, Dorothy Fontana suggests that she would place those stories after the end of the third season, but prior to the end of the five-year mission."" The episode order and stardates are derived from Alan Dean Foster's novelizations.",NA,112
2269,Beyond the Farthest Star,TAS,NA,story,NA,TRUE,primary,5321.3,NA,NA,NA,NA,NA
2269,Yesteryear,TAS,NA,story,NA,TRUE,primary,5373.4,NA,NA,"Ch 6, 7 Section 1-2, 8 Section 13; 2237-[Ch 7 Section 3, 8 Section 1-12]",NA,NA
2269,One of Our Planets is Missing,TAS,NA,story,NA,TRUE,primary,5380,NA,NA,NA,NA,NA
2269,The Survivor,TAS,NA,story,NA,TRUE,primary,5402.7,NA,NA,NA,NA,113
2269,The Lorelei Signal,TAS,NA,story,NA,TRUE,primary,5483.7,NA,NA,NA,NA,NA
2270,The Infinite Vulcan,TAS,NA,story,NA,TRUE,primary,5503.1,NA,NA,NA,NA,NA
2270,Once Upon a Planet,TAS,NA,story,NA,TRUE,primary,5510.1,NA,NA,NA,NA,NA
2270,Mudd's Passion,TAS,NA,book,NA,TRUE,primary,5514,NA,NA,NA,NA,NA
2270,The Magicks of Megas-Tu,TAS,NA,book,NA,TRUE,primary,5524.5,NA,NA,NA,NA,NA
2270,The Terratin Incident,TAS,NA,story,NA,TRUE,primary,5525.3,NA,NA,NA,NA,NA
2270,The Time Trap,TAS,NA,story,NA,TRUE,primary,NA,NA,NA,NA,NA,NA
2270,Where Time Stands Still,SCE,NA,book,44,FALSE,primary,NA,NA,NA,Delta Triangle backstory,NA,114
2270,"More Tribbles, More Troubles",TAS,NA,book,NA,TRUE,primary,5526.2,NA,NA,NA,NA,NA
2270,The Ambergris Element,TAS,NA,story,NA,TRUE,primary,5527,NA,NA,NA,NA,NA
2270,The Pirates of Orion,TAS,NA,story,NA,TRUE,primary,5527.3,NA,NA,NA,NA,NA
2270,The Jihad,TAS,NA,story,NA,TRUE,primary,5527.4,NA,NA,NA,NA,NA
2270,Albatross,TAS,NA,story,NA,TRUE,primary,5532.8,NA,NA,NA,NA,NA
2270,The Practical Joker,TAS,NA,story,NA,TRUE,primary,NA,NA,NA,NA,NA,NA
2270,How Sharper Than a Serpent's Tooth,TAS,NA,book,NA,TRUE,primary,5535.2,NA,NA,NA,NA,NA
2270,The Counter-Clock Incident,TAS,NA,book,NA,TRUE,primary,5536.3,NA,NA,"Ch 1 Section 6, 2-11; 2244-[Ch 1 Section 1]; 2245-[Ch 1 Section 2-5]",NA,NA
2270,The Eye of the Beholder,TAS,NA,story,NA,TRUE,primary,5537.1,NA,NA,NA,NA,NA
2270,Bem,TAS,NA,story,NA,TRUE,primary,5537.3,NA,NA,NA,NA,NA
2270,Slaver Weapon,TAS,NA,story,NA,TRUE,primary,5538.6,NA,NA,NA,NA,NA
2270,The Patient Parasites,TOS,TNV2,story,NA,FALSE,primary,5459.4,NA,NA,NA,NA,NA
2270,Intersection Point,TOS,TNV,story,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2270,The Procrustean Petard,TOS,TNV2,story,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2270,"Mudd's Angels,",NA,NA,book,NA,FALSE,primary,6273.6,NA,NA,NA,NA,NA
2270,"The Business, as Usual, During Altercations",TOS,NA,book,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2270,Tears of the Singers,TOS,NA,book,19,FALSE,primary,3126.7,3127.1,NA,NA,NA,115
2270,From the Depths,TOS,NA,book,66,FALSE,primary,NA,NA,NA,NA,NA,116
2270,The Girl Who Controlled Gene Kelly's Feet,TOS,SNW,book,NA,FALSE,primary,NA,NA,NA,NA,NA,117
2270,Crossroad,TOS,NA,book,71,FALSE,primary,6251.1,NA,NA,NA,NA,118
2270,The Eugenics Wars: The Rise and Fall of Khan Noonien Singh Book 1,NA,NA,book,NA,FALSE,primary,7004.1,NA,NA,"Prologue, Ch 24-25, 28, 35; March 13-14, 1974-[Ch 1-2]; May 14-19, 1974-[Ch 3-23]; November 1, 1984-[Ch 26-27]; December 2-3, 1984-[Ch 29-30]; July 5, 1986-[Ch 31]; October 10, 1986-[Ch 32-33]; November 9, 1989-[Ch 34]",NA,NA
2270,The Eugenics Wars: The Rise and Fall of Khan Noonien Singh Book 2,NA,NA,book,NA,FALSE,primary,NA,NA,NA,"Prologue, Ch 7, Epilogue; June 14, 1992-[Ch 1]; July 10, 1992-[Ch 2]; November 5-6, 1992-[Ch 3-4]; March 15, 1993-[Ch 5]; June 14, 1993-[Ch 6, 8]; September 10, 1993-[Ch 9]; September 30-October 1, 1993-[Ch 10-11]; February 7, 1994-[Ch 12-13]; April 21, 1994-[Ch 14]; August 16-29, 1994-[Ch 15-17]; October 2, 1994-[Ch 18]; November 14, 1994-[Ch 19-20]; March 17, 1995-[Ch 21]; September 5-7, 1995-[Ch 22-23]; January 5 to February 2, 1996-[Ch 24-27]",NA,NA
2270,The Price of the Phoenix,TOS,NA,book,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2270,The Fate of the Phoenix,TOS,NA,book,NA,FALSE,primary,9722.4,NA,NA,NA,NA,NA
2270,Black Fire,TOS,NA,book,8,FALSE,primary,6101.1,6205.7,NA,NA,NA,119
2270,The Abode of Life,TOS,NA,book,6,FALSE,primary,5064.4,5099.5,NA,NA,NA,NA
2270,Demon,TOS,SNW,story,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2270,Corona,TOS,NA,book,15,FALSE,primary,4380.4,4997.5,NA,NA,NA,120
2270,Mindshadow,TOS,NA,book,27,FALSE,primary,7003.4,7008.4,NA,NA,NA,121
2270,Demons,TOS,NA,book,30,FALSE,primary,NA,NA,NA,2229-[Ch 1 Section 5-6],NA,122
2270,Chain of Attack,TOS,NA,book,32,FALSE,primary,NA,NA,NA,NA,NA,123
2270,Bloodthirst,TOS,NA,book,37,FALSE,primary,NA,NA,NA,NA,NA,124
2270,The Final Nexus,TOS,NA,book,43,FALSE,primary,NA,NA,NA,NA,NA,125
2270,The Entropy Effect,TOS,NA,book,2,FALSE,primary,5001.1,NA,NA,2250-[Ch 1 Section 12],NA,NA
2270,The Final Reflection,TOS,NA,book,16,FALSE,primary,8405.15,NA,NA,"Prologue, Epilogue; 2233-[Part One]; 2239-[Part Two]; 2244-[Part Three]",NA,NA
2270,Garth of Izar,TOS,NA,book,NA,FALSE,primary,NA,NA,NA,NA,NA,126
2270,Voyage to Adventure,NA,NA,book,NA,FALSE,primary,NA,NA,NA,2250-[Time travel],NA,NA
2270,Phaser Fight,NA,NA,book,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2270,Yesterday's Son,TOS,NA,book,11,FALSE,primary,6324.09,6381.7,NA,"Prologue, Ch 1-4, 7-19, Epilogue; circa 2703 BC-[Ch 5-6]",NA,127
2270,Dreadnought!,TOS,NA,book,29,FALSE,primary,7881.2,8180.2,NA,NA,NA,NA
2270,Battlestations!,TOS,NA,book,31,FALSE,primary,3301.1,4720.2,NA,2267-[Ch 6 Section 2],NA,NA
2270,... As Good as a Vacation,TOS,CON,book,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2270,The Lost Years,TOS,NA,book,NA,FALSE,secondary,6987.31,NA,NA,Ch 1-2,2271,128
2270,The End of Night,VOY,SNW,story,NA,FALSE,secondary,NA,NA,NA,first and last sections,2374,129
2270,T He Captain's Daughter,TOS,NA,book,76,FALSE,secondary,NA,NA,NA,Ch 5-12,2294,NA
2271,The Lost Years,TOS,NA,book,NA,FALSE,primary,NA,NA,Vulcan Old Date 155622,"Ch 3-23, Epilogue; AD 300-[Prologue]; 2270-[Ch 1-2]",NA,130
2271,Traitor Winds,TOS,NA,book,70,FALSE,primary,NA,NA,NA,NA,NA,131
2271,Mere Anarchy 3: Shadows of the Indignant,TOS,NA,book,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2272,Federation,NA,NA,book,NA,FALSE,secondary,NA,NA,March 19,Part Four: Ch 3,2366,132
2272,A Flag Full of Stars,TOS,NA,book,54,FALSE,primary,NA,NA,July 4-20,2246-[Ch 6 Section 5],NA,133
2272,Recovery,TOS,NA,book,73,FALSE,primary,NA,NA,NA,NA,NA,134
2273,Night Whispers,ST,EL,story,NA,FALSE,primary,NA,NA,NA,NA,NA,135
2273,Star Trek: The Motion Picture,ST,NA,book,NA,TRUE,primary,7412.3,7414.1,NA,NA,NA,136
2273,A And,ST,SNW,story,NA,FALSE,secondary,NA,NA,NA,Section 8,2385,137
2273,Ex Machina,TOS,NA,book,NA,FALSE,primary,7435.5,NA,NA,"Prologue, Ch 1-17, 19; 7954 BC-[Ch 18]",NA,138
2273,Pawns and Symbols,TOS,NA,book,26,FALSE,primary,5960.2,6100,NA,"Ch 1-4; late 2273-[Ch 5-7]; February 2274-[Ch 8]; mid-2274-[Ch 9-14, Epilogue]",NA,139
2273,The Kobayashi Maru,TOS,NA,book,47,FALSE,primary,NA,NA,NA,"Ch 1, 3, 5, 7, 9; 2244-[Ch 8]; 2254-[Ch 2]; 2259-[Ch 6]; 2266-[Ch 4]",NA,140
2273,Home is the Hunter,TOS,NA,book,52,FALSE,primary,NA,NA,NA,"Ch 2, 4, 6, 10, 13, 15, 18, 20, 22, 24, 27, 30, 32, 34, 38, 44, 51-52; 1600-[Ch 1, 7, 14, 19, 28, 33, 35, 41, 45, 48]; 1746-[Ch 3, 8, 11, 16, 21, 25, 29, 36, 39, 42, 46, 49]; 1942-[Ch 5, 9, 12, 17, 23, 26, 31, 37, 40, 43, 47, 50]",NA,141
2273,Enemy Unseen,TOS,NA,book,51,FALSE,primary,8036.2,NA,NA,NA,NA,142
2273,Pawns and Symbols,TOS,NA,book,26,FALSE,primary,NA,NA,NA,Ch 5-7,NA,NA
2273,Firestorm,TOS,NA,book,68,FALSE,primary,NA,NA,NA,NA,NA,21
2274,To Reign in Hell: The Exile of Khan Noonien Singh,TOS,NA,book,NA,FALSE,secondary,NA,NA,NA,Ch 19-21,2287,NA
2274,Pawns and Symbols,TOS,NA,book,26,FALSE,secondary,NA,NA,February 8,Ch 8,2273,144
2274,Ice Trap,TOS,NA,book,60,FALSE,primary,NA,NA,NA,NA,NA,145
2274,Shell Game,TOS,NA,book,63,FALSE,primary,NA,NA,NA,NA,NA,NA
2274,Death Count,TOS,NA,book,62,FALSE,primary,NA,NA,NA,NA,NA,146
2274,The Prometheus Design,TOS,NA,book,5,FALSE,primary,NA,NA,NA,NA,NA,NA
2274,Triangle,TOS,NA,book,9,FALSE,primary,NA,NA,NA,NA,NA,147
2274,Pawns and Symbols,TOS,NA,book,26,FALSE,secondary,NA,NA,NA,"Ch 9-14, Epilogue",2273,NA
2274,The Pandora Principle,TOS,NA,book,49,FALSE,secondary,NA,NA,NA,Ch 1,2281,148
2275,To Reign in Hell: The Exile of Khan Noonien Singh,TOS,NA,book,NA,FALSE,secondary,NA,NA,NA,Ch 22,2287,NA
2275,The Wounded Sky,TOS,NA,book,13,FALSE,primary,9250,NA,NA,NA,NA,NA
2275,"Rihannsu 1: My Enemy, My Ally",TOS,NA,book,18,FALSE,primary,NA,NA,September,NA,NA,149
2275,Doctor's Orders,TOS,NA,book,50,FALSE,primary,NA,NA,NA,NA,NA,NA
2275,Spock's World,TOS,NA,book,NA,FALSE,primary,7412.1,7468.5,NA,NA,NA,150
2275,Our Million-Year Mission,NA,SNW,book,NA,FALSE,primary,17613341.4,NA,NA,NA,NA,NA
2275,Foreword,NA,NA,book,NA,FALSE,primary,NA,NA,NA,"Prologue, Enterprise: One-Eight, Epilogue; c. 5 to 2 Billion BC-[Vulcan: One]; c. 500, 000 BC-[Vulcan: Two]; c. 10, 000 BC-[Vulcan: Three]; c. 3000 BC-[Vulcan: Four]; c. 30 BC-[Vulcan: Five]; c. AD 193 to AD 330-[Vulcan: Six]; 2191 to 2230-[Vulcan: Seven]",NA,NA
2275,The Better Man,TOS,NA,book,72,FALSE,primary,7591.4,7598.5,NA,"2236-[Ch 1 Section 4]; 2244-[Ch 1 Section 6]; 2254-[Ch 3 Section 2, 4, 5, 7 Section 4, 13 Section 3, 15 Section 3, 5-6]; 2265-[Ch 7 Section 2]",NA,NA
2276,The Covenant of the Crown,TOS,NA,book,4,FALSE,primary,7815.3,NA,NA,2258-[Ch 2 Section 2-5],NA,NA
2276,Timetrap,TOS,NA,book,40,FALSE,primary,NA,NA,NA,NA,NA,NA
2276,Rihannsu 2: The Romulan Way,TOS,NA,book,35,FALSE,primary,NA,NA,September,"Ch 1, 3, 5, 7, 9, 11, 13-15, Epilogue; 249-300-[Ch 2]; 285-300-[Ch 4]; 300-750-[Ch 6]; 750-846-[Ch 8]; 846-2153-[Ch 10]; 2153-2270-[Ch 12]",NA,151
2276,Rihannsu 3: Swordhunt,TOS,NA,book,95,FALSE,primary,NA,NA,November,NA,NA,152
2276,Rihannsu 4: Honor Blade,TOS,NA,book,96,FALSE,primary,NA,NA,NA,NA,NA,NA
2277,The Blaze of Glory,NA,NA,story,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2277,Under Twin Moons,NA,NA,story,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2277,Wild Card,NA,NA,story,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2277,The Secret Empire,NA,NA,story,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2277,Intelligence Test,NA,NA,story,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2277,To Wherever,NA,NA,story,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2277,Star Trek 2: Distress Call,TOS,NA,book,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2278,Star Trek 3: The Vulcan Treasure,TOS,NA,book,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2278,World's End,NA,NA,book,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2278,As Old as Forever,NA,NA,story,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2278,Rules of Engagement,TOS,NA,book,48,FALSE,primary,7818.1,NA,NA,NA,NA,153
2278,The Name of the Cat,TOS,SNW,story,NA,FALSE,primary,NA,NA,NA,Section 1; 2371-[ Section 2-3],NA,NA
2278,Deep Domain,TOS,NA,book,33,FALSE,primary,7823.6,7835.8,NA,NA,NA,154
2278,The Captain's Daughter,TOS,NA,book,76,FALSE,secondary,NA,NA,NA,Ch 15-17,2294,NA
2278,New Earth 1: Wagon Train to the Stars,TOS,NA,book,89,FALSE,secondary,NA,NA,NA,Three Months Earlier,2279,NA
2278,Ship of the Line,TNG,NA,book,NA,FALSE,secondary,NA,NA,NA,Ch 1-5,2372,NA
2278,Family Matters,TOS,SNW,story,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2278,New Earth 1: Wagon Train to the Stars,TOS,NA,book,89,FALSE,secondary,NA,NA,October 31,The Captains' Meeting,2279,155
2279,New Earth 1: Wagon Train to the Stars,TOS,NA,book,89,FALSE,primary,NA,NA,April,"2278-[""Three Months Earlier""]; October 31, 2278-[""The Captains' Meeting""]",NA,156
2279,New Earth 2: Belle Terre,TOS,NA,book,90,FALSE,primary,NA,NA,July,NA,NA,NA
2279,In the Name of Honor,TOS,NA,book,97,FALSE,secondary,7952.4,NA,NA,Ch 1-2,2287,NA
2279,To Reign in Hell: The Exile of Khan Noonien Singh,TOS,NA,book,NA,FALSE,secondary,NA,NA,NA,Ch 23-25,2287,NA
2279,New Earth 3: Rough Trails,TOS,NA,book,91,FALSE,primary,NA,NA,December,NA,NA,157
2280,New Earth 4: The Flaming Arrow,TOS,NA,book,92,FALSE,primary,NA,NA,NA,NA,NA,NA
2280,New Earth 5: Thin Air,TOS,NA,book,93,FALSE,primary,NA,NA,NA,NA,NA,NA
2280,New Earth 6: Challenger,TOS,NA,book,94,FALSE,primary,NA,NA,NA,NA,NA,NA
2280,Gateways 2: Chainmail,CHA,NA,book,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2280,Exodus,CHA,WLB,story,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2280,Sins of the Mother,NA,TLOD,story,NA,FALSE,primary,NA,NA,NA,"Section 1, 3-4; 2265-[ Section 2]",NA,NA
2280,A Little More Action,TOS,SNW,story,NA,FALSE,primary,NA,NA,NA,NA,NA,158
2280,Foundations Book 3,SCE,NA,book,19,FALSE,secondary,7981.3,NA,NA,Ch 2-7,2376,159
2281,The Pandora Principle,TOS,NA,book,49,FALSE,primary,NA,NA,NA,Ch 2-13; 2274-[Ch 1],NA,160
2281,Dwellers in the Crucible,TOS,NA,book,25,FALSE,primary,NA,NA,NA,NA,NA,161
2281,A Piece of the Pie,TOS,SNW,story,NA,FALSE,primary,NA,NA,NA,letters 1-4; 2282-[letter 5],NA,162
2282,A Piece of the Pie,TOS,SNW,story,NA,FALSE,secondary,NA,NA,NA,letter 5,2281,NA
2282,Just Another Little Training Cruise,TOS,EL,story,NA,FALSE,primary,NA,NA,NA,NA,NA,163
2284,Pathways,VOY,NA,book,NA,FALSE,secondary,NA,NA,NA,Ch 14 Section 1,2374,NA
2284,The Captain's Daughter,TOS,NA,book,76,FALSE,secondary,NA,NA,NA,Ch 18-19,2294,NA
2284,Future Imperfect,NA,NA,book,2,FALSE,secondary,NA,NA,NA,"Ch 1 Section 1, 2 Section 2, 3 Section 2, 5 Section 1, 6 Section 2, 7 Section 1, 8 Section 2, 9 Section 1, 3, 10 Section 2-4, 11 Section 1",2266,164
2284,Strangers from the Sky,TOS,NA,book,NA,FALSE,primary,8083.6,8097.4,NA,"Book 1: Ch 1 Section 7, 2 Section 11-12, 3 Section 6-12, 4 Section 6-16, 5 Section 13-24. Book 2: Ch 11 Section 9-10, Epilogue; 2045-[Book 1: Ch 1 Section 1-6, 2 Section 1-10, 3 Section 1-5, 4 Section 1-5, 5 Section 1-12. Book 2: Ch 3-10, 11 Section 1-7]; 2265-[Book 2: Ch 1-2, 11 Section 8]",NA,NA
2285,Time for Yesterday,TOS,NA,book,39,FALSE,primary,NA,NA,NA,"Ch 1-4, 5 Section 1-2, 11-13, Epilogue; 2683 BC-[Prologue, Ch 5 Section 3, 6-10, 14-15]",NA,165
2285,Infinity,NA,TLOD,story,NA,FALSE,primary,NA,NA,NA,NA,NA,166
2285,The Last Tribble,TOS,SNW,story,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2285,Star Trek 2: The Wrath of Khan,ST,NA,book,NA,TRUE,primary,8130.3,8141.6,NA,NA,NA,167
2285,To Reign in Hell: The Exile of Khan Noonien Singh,TOS,NA,book,NA,FALSE,secondary,NA,NA,NA,Ch 26168,2287,168
2285,Prodigal Father,TOS,SNW,story,NA,FALSE,primary,NA,NA,NA,NA,NA,169
2285,Sarek,TOS,NA,book,NA,FALSE,secondary,NA,NA,March 14,"Ch 12, second journal entry",2293,NA
2285,The Azphari Enigma,NA,NA,story,NA,FALSE,primary,NA,NA,NA,NA,NA,170
2285,Star Trek 3: The Search for Spock,ST,NA,book,NA,TRUE,primary,8201.3,NA,NA,NA,NA,NA
2285,"A Vulcan, A Klingon and an Angel",NA,NA,book,NA,FALSE,primary,NA,NA,NA,2267-[Narrated backstory],NA,171
2285,Jungles of Memory,NA,NA,story,NA,FALSE,primary,NA,NA,NA,NA,NA,172
2285,Countdown,TOS,SNW,story,NA,FALSE,primary,NA,NA,NA,NA,NA,173
2285,Trek,DS9,SNW,story,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2285,Allegro Ouroboros,NA,NA,book,NA,FALSE,primary,NA,NA,NA,IN D MINOR (TLOD SHORT STORY),NA,NA
2285,The Captain's Daughter,TOS,NA,book,76,FALSE,secondary,NA,NA,NA,Ch 20-21,2294,NA
2286,Star Trek 4: The Voyage Home,ST,NA,book,NA,TRUE,primary,8390,NA,NA,"Ch 1-4, 13, Epilogue; 1986-[Ch 5-12]",NA,NA
2286,Scotty's Song,TOS,SNW,book,NA,FALSE,primary,NA,NA,NA,NA,NA,174
2287,To Reign in Hell: The Exile of Khan Noonien Singh,TOS,NA,book,NA,FALSE,primary,8415.9,NA,NA,"Ch 1-2, Interlude, 27-28, Epilogue; 2267-[Ch 3-6]; 2267-[Ch 7-11]; 2267-[Ch 12-13]; 2268-[Ch 14-15]; 2269-[Ch 16-18]; 2274-[Ch 19-21]; 2275-[Ch 22]; 2279-[Ch 23-25]; 2285-[Ch 26]",NA,175
2287,Star Trek 5: The Final Frontier,ST,NA,book,NA,TRUE,primary,8454.1,NA,NA,"2229-[Prologue]; 2230-[Ch 14, Spock flashback]; 2254-[Ch 14, McCoy flashback]",NA,NA
2287,In the Name of Honor,TOS,NA,book,97,FALSE,primary,8461.7,NA,NA,"Ch 3-4, 5 Section 1-2, 6-38; 2267-[Ch 5 Section 3]; 2279-[Ch 1-2]",NA,NA
2287,Probe,TOS,NA,book,NA,FALSE,primary,8475.3,8501.2,NA,NA,NA,176
2287,Pathways,VOY,NA,book,NA,FALSE,secondary,NA,NA,NA,Ch 14 Section 2,2374,NA
2287,The Rift,TOS,NA,book,57,FALSE,primary,NA,NA,NA,"Ch 8-26, Epilogue; 2254-[Ch 1-7]",NA,NA
2288,Pathways,VOY,NA,book,NA,FALSE,secondary,NA,NA,NA,Ch 14 Section 3,2374,NA
2288,Legal Action,TOS,SNW,story,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2288,Starfleet Academy,ST,NA,book,NA,TRUE,primary,NA,NA,NA,NA,NA,177
2288,Day of Honor 4: Treaty's Law,TOS,NA,book,NA,FALSE,secondary,NA,NA,NA,"Prologue, Epilogue",2268,NA
2290,The Captain's Table 1: War Dragons,TOS,NA,book,NA,FALSE,secondary,NA,NA,NA,"Ch 2 Section 2, 4, 6, 8, 10, 12, 14, 16",2293,NA
2291,Jubha',NA,SNW,book,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2291,Cacophony,ST,NA,book,NA,FALSE,primary,8764.3,8774.8,NA,NA,NA,NA
2291,Envoy,ST,NA,book,NA,FALSE,primary,9029.1,9029.4,NA,NA,NA,NA
2292,Bloodline,TOS,NA,book,NA,FALSE,primary,9498.3,NA,NA,NA,NA,NA
2293,Star Trek 6: The Undiscovered Country,ST,NA,book,NA,TRUE,primary,9521.6,9529.1,NA,NA,NA,NA
2293,Flashback,VOY,NA,book,NA,TRUE,secondary,NA,NA,NA,"Ch 7 Section 2, 8-9, 11, 13 Section 1, 3, 14 Section 3, 16 Section 1, 18, 20-21",2373,178
2293,Assignment: Eternity,TOS,NA,book,84,FALSE,secondary,NA,NA,NA,"Prologue, Ch 19, Epilogue",2269,179
2293,One Last Adventure,TOS,SNW,story,NA,FALSE,primary,NA,NA,NA,Section 2-17; c. 2500-[ Section 1],NA,180
2293,All Fall Down,TOS,SNW,story,NA,FALSE,primary,NA,NA,NA,NA,NA,181
2293,Best Destiny,TOS,NA,book,NA,FALSE,primary,NA,NA,NA,"Prologue, 1, 6, 9, 16, 27, 32-36, Epilogue; 2249-[Ch 2-5, 7-8, 10-15, 17-26, 28-31, 37]",NA,182
2293,Sarek,TOS,NA,book,NA,FALSE,primary,9544.6,NA,NA,"June 14, 2229-[Ch 2, Amanda's journal entry]; September 16, 2229-[Ch 5, first and second journal entries]; November 12, 2230-[Ch 5, third journal entry]; December 7, 2237-[Ch 6, journal entry]; 2249-[Ch 7 Section 5]; April 5, 2250-[Ch 12, first journal entry]; March 14, 2285-[Ch 12, second journal entry]",NA,183
2293,Mind Meld,TOS,NA,book,82,FALSE,primary,NA,NA,NA,Ch 1-15; 2314-[Ch 16],NA,NA
