footnote,text
315,There is also a Young Adult novelization available. Note that the hardcover edition gives a differing account of Kirk's death.
316,Occurs simultaneously with Star Trek: Generations.
317,Takes place during Star Trek: Generations.
318,Takes place at the time of Kirk's death during Star Trek: Generations.
319,Occurs during and immediately following Kirk's death in Star Trek: Generations.
320,Occurs during Star Trek: Generations and offers an account of Kirk's resurrection differing from that in The Return.
321,"Takes place during Generations, with the last section occurring after ""Solemn Duty."""
322,"The month, given in the journal as November, was adjusted."
323,Story is set a month after Star Trek: Generations.
324,"Story begins prior to ""Caretaker"" (VOY) and continues through the beginning of that episode."
325,"These sections take place during ""Caretaker"" (VOY)."
326,"The month, given as March, has been adjusted."
327,The author suggests this novel takes place during the first half of the first season of Star Trek: Voyager.
328,The month has been adjusted from April.
329,References in this novel and its publication date suggest a Star Trek: Voyager first-season timeframe.
330,"The story's stardate of 48135.6 was adjusted to a time after ""Caretaker"" (VOY)."
331,"This story is set between the third-season episodes ""Life Support"" and ""Heart of Stone."""
332,"Takes place prior to the station's defensive upgrades in ""The Way of the Warrior"" (DS9), but Sisko is incorrectly addressed as ""Captain."""
333,The 43897.1 stardate given in the book was adjusted to fit a Star Trek: Voyager first-season timeframe.
334,"Story is set between ""The Adversary"" (DS9) and ""The Way of the Warrior"" (DS9)."
335,"Story is set between ""The Adversary"" (DS9) and ""The Way of the Warrior"" (DS9)."
336,"Story is set between ""The Adversary"" (DS9) and ""The Way of the Warrior"" (DS9)."
337,"Story is set after ""Learning Curve"" (VOY), roughly around the same time as Invasion! #3: Time's Enemy (DS9 #16)."
338,Story is set between the third and fourth seasons of Star Trek: Deep Space Nine.
339,Story is set between the third and fourth seasons of Star Trek: Deep Space Nine.
340,"Chapter 5 sets the story shortly after Cassidy Yates moved to the station in ""Indiscretion"" (DS9). Molly's age six in chapter 2 is incorrect."
341,Framing story is set during the second season of Star Trek: Voyager.
342,"Since the Enterprise-E must have been launched after the events of ""The Way of the Warrior"" (DS9), some of the references in this book to Klingon/Federation/Cardassian relations are problematic. We suspect that a second major Klingon invasion of Cardassia space was in the works during the events of this book. The storyline continues through September. References to Generations having occurred 4-5 months earlier have been disregarded."
343,"This story is set shortly after the fourth-season episode ""Our Man Bashir."""
344,"Story is set immediately after ""Paradise Lost"" (DS9). The historians' note placing this book in the first or second season of Star Trek: Deep Space Nine is incorrect. This story presents the first meeting between Sisko and the Temporal Investigators, Dulmer and Lucsly, even though they appear to never have met each other in ""Trials and Tribble-Ations"" (DS9)."
345,"Story is set three months after dissolution of Khitomer accords, right before Day of Honor #3: Her Klingon Soul (VOY). The story is unclear as to whether the stardate of 3962 is a colloquial shortening of a current stardate, or whether it a reference to the TOS-era stardate for Day of Honor #4: Treaty's Law (TOS)."
346,Story is set in the fourth season of Star Trek: Deep Space Nine.
347,"Set just after ""Bar Association"" (DS9)."
348,The author's notes suggest that Picard tells this story in the Captain's Table bar as the captain of the Enterprise-E though the events he describes are several years earlier aboard the Enterprise-D.
349,Takes place seventy-nine years after the launch of the Enterprise-B or about a year after Kirk's death in Generations.
350,"Story is set after ""Bar Association"" (DS9)."
351,"Story is set between ""Little Green Men"" (DS9) and ""The Ascent"" (DS9). Both this story and ""Best Tools Available"" tell of Nog taking the Kobayashi Maru test."
352,"Story takes place during the period of cooperation between the Federation and Cardassia, about six years prior to Wesley's return in A Time to Be Born."
353,"Story is set ""years after"" ""The Nth Degree"" (TNG) in late 2367, and after the launch of Voyager in early 2371."
354,Story is set six months prior to Star Trek: First Contact.
355,"Story is set after Worf joins the DS9 crew, but before the Dominion War."
356,".0 was the original stardate for the book, but aside from having too many digits, this book takes place at least a year later than 49175.0."
357,"A reference to the Dominion War is erroneous, as the war did not start until very late in 2373."
358,Story is set one year after Day of Honor #2: Armageddon Sky (DS9).
359,"Takes place about two years after ""Caretaker"" (VOY)."
360,"Story is set between ""Nor the Battle to the Strong"" (DS9) and ""the Ascent"" (DS9)."
361,"References in chapter 31 set the story shortly after ""Future's End"" (VOY)."
362,There is also a Young Adult novelization available.
363,Concurrent with the Borg invasion in Star Trek: First Contact.
364,Concurrent with the Borg invasion in Star Trek: First Contact.
365,"Data can turn off his emotion chip but apparently cannot yet remove it, and Worf is aboard. Therefore, the story must be set immediately after Star Trek: First Contact, before Worf returns to DS9."
366,"The month, given as December, has been adjusted."
367,"The 50396.2 stardate given in the story was adjusted to fit a timeframe shortly after ""Fair Trade"" (VOY)."
368,A reference to the Klingon invasion of Cardassia is inconsistent with the rest of the main story.
369,"Story is set ""just prior to the Dominion War,"" specifically, just before ""In Purgatory's Shadow."""
370,"The historian's note placing this trilogy in the fourth season is inaccurate. It takes place after ""By Inferno's Light"" but before ""Doctor Bashir, I Presume."""
371,Story is set two years after The Return.
372,"This story is set during the fifth-season episode ""Soldiers of the Empire."""
373,"Story is set after the Doctor gets his mobile emitter in ""Future's End"" (VOY) but before Seven of Nine joins the Voyager crew in ""Scorpion, Part 2"" (VOY)."
374,"Takes place after Kes learns of her possible future (s) in ""Before and After"" (VOY)."
375,"The stardate applies to later events in the book. This novelization adapts the DS9 episodes ""Call to Arms,"" ""A Time to Stand,"" ""Rocks and Shoals,"" and the first portion of ""Sons and Daughters."" The book concludes in early 2374."
376,"Set between the episodes ""Call to Arms"" and ""A Time to Stand."""
377,"This novel begins soon after the fall of DS9 to Cardassian control late in 2373, as described in The Dominion War #2: Call to Arms."
378,"This book ends in early 2374, several days after the end of ""Sacrifice of Angels"" (DS9)."
379,"This novelization adapts the second portion of DS9's ""Sons and Daughters,"" plus the episodes ""Behind the Lines,"" ""Favor the Bold"" and ""Sacrifice of Angels,"" ending shortly after ""Three Sides to Every Story"" (PAC). The 69923.2 stardate given in the book was adjusted to fit the Dominion War timeframe."
380,"Occurs simultaneously with the beginning of ""The Gift"" (VOY)."
381,"Story continues through a period ending concurrently with ""The Killing Game"" (VOY)."
382,References to Day of Honor #3: Her Klingon Soul (VOY)occuring one year ago are inaccurate.
383,"Set approximately during the episode ""Favor the Bold."""
384,"This story spans the sixth-season episodes ""Behind the Lines,"" ""Favor the Bold,"" and ""Sacrifice of Angels."""
385,The story is set sometime during the Dominion War.
386,"Set during the episode ""You Are Cordially Invited..."" (DS9)."
387,"Story is set shortly after ""You Are Cordially Invited..."" (DS9)."
388,"The 52501.6 stardate given in the story was adjusted to fit a timeframe before ""Message in a Bottle"" (VOY). Data and Doctor Crusher's uniforms in the story's picture are not indicative of the uniforms in use in the story."
389,The year was erroneously given as 2375.
390,"The date, given as October 2377, has been adjusted."
391,"The year was erroneously given as 2375. Story continues concurrently with ""Hunters"" (VOY)."
392,"The given stardate of 500146.2 was changed to fit a time shortly after ""Message in a Bottle"" (VOY)."
393,"In chapter 18, Picard reflects on the recent entry of the Romulans to the Dominion War. This is inconsistent with the fact that at the time of this trilogy Betazed has not yet fallen to the Dominion, an event which indirectly led to the Romulan entry to the war (""In the Pale Moonlight"" [DS9]). The omnibus edition of this trilogy corrects both this problem and the stardate in Q-Space."
394,Story starts after the framing sequence of The Captain's Table #5: Once Burned (NF)and ends shortly before Double Helix #5: Double or Nothing (TNG #55).
395,"Story is set shortly after ""Message in a Bottle"" (VOY)."
396,Story is a direct sequel toSpectre.
397,"Takes place concurrently with ""In the Pale Moonlight."""
398,"Story is set some time after ""The Killing Game, Part 2"" (VOY)."
399,Only the holographic recreations seen during the episode are set in this timeframe. The framing story is set roughly around the thirtieth century.
400,"This story is set after the events of the sixth-season episode ""In the Pale Moonlight,"" in the days leading up to ""Time's Orphan."""
401,The framing sequence for this book takes place a little less than a year after Seven of Nine joins the Voyager crew.
402,"The story begins forty-three days after ""Valiant"" (DS9) and continues for about ten days."
403,The timeshifts cover the period from five days before to five days after the destruction of the station in Book One.
404,"Takes place during ""Tears of the Prophets."""
405,"This story retells the same events as ""Second Star to the Right..."" (TLOD short story)."
406,"This story takes place about two months after ""Tears of the Prophets"" (DS9), a month before ""Image in the Sand"" (DS9), and a few months before Star Trek: Insurrection."
407,This story is set during the three-month period between the sixth and seventh seasons of Star Trek: Deep Space Nine.
408,"Takes place during ""Afterimage"" (DS9)."
409,"Takes place ""almost a year"" after ""The Raven"" (VOY)."
410,"This story is set between the seventh-season episodes ""Afterimage"" and ""Take Me Out to the Holosuite."""
411,"Takes place concurrently with ""The Siege at AR-558."""
412,There is also a Young Adult novelization available.
413,"Runs concurrently through ""The Changing Face of Evil"" (DS9) until two months after the Breen attack on Earth."
414,"Story is set sometime before the siege of Cardassia in ""The Changing Face of Evil"" (DS9), and immediately follows the second half of Dark Victory (TNG hardcover)."
415,"Story is set after ""Once Upon a Time"" (VOY)."
416,"Story is set after ""It's Only a Paper Moon"" (DS9) and before ""What You Leave Behind"" (DS9)."
417,"Story continues through ""Dark Frontier"" (VOY)."
418,"Takes place during ""Strange Bedfellows."""
419,"Takes place during ""When It Rains..."""
420,"Takes place during ""Tacking into the Wind."""
421,"This story spans from the middle of ""Tacking Into the Wind"" (DS9) through ""What You Leave Behind"" (DS9)."
422,"This story is set during the seventh-season episode ""The Dogs of War,"" the penultimate episode of Star Trek: Deep Space Nine."
423,"This is an apocryphal story, told by Zak Kebron to his son 150 years later."
424,Takes place concurrently with chapters 1-11 of What You Leave Behind.
425,"The month, given as September, has been adjusted."
426,"Occurs simultaneously with ""What You Leave Behind"" (DS9)."
427,"Sisko's disappearance occurs around Thanksgiving, according toCathedral (DS9)."
428,"Takes place after ""The Q and the Grey"" (VOY) but before Voyager has returned home."
429,"Gemworld #1 states Reginald Barclay is on the Enterprise, but ""Pathfinder"" (VOY), set in 2376, mentions Barclay was on Earth for almost two years."
430,"This book novelizes part 1 of the episode, which is set in late 2375, and part 2, which is set at the beginning of 2376."
431,"Takes place ten years after ""The Most Toys"" (TNG)."
432,Story is set less than three months since the end of the Dominion War.
433,"The backstory takes place much earlier than the stated twenty years, given Si Cwan's age."
434,"The story continues through ""Barge of the Dead"" (VOY)."
435,Stories span several months. The three books take place simultaneously.
436,"Takes place eight months after Naomi's first away mission in ""Bliss"" (VOY)."
437,Concurrent with the Excalibur trilogy.
438,"SCE #1-4 were collected into the printed volume Have Tech, Will Travel (SCE Book One)."
439,"The entire collection of reports was ""published"" sometime after the Bajoran celebration of Ha'mara in 2376. The Voyager-specific information was obtained following ""Message in a Bottle"" (VOY). ""Ashes, Ashes"" and ""At Times of Peril"" report events that occurred prior to the end of the Dominion War, while ""Glories of the Hebitians,"" ""A Warrior's Path"" and ""Footfalls of Tradition"" report events that occurred just after the war's end, around the cusp of 2375/76."
440,"The date, given as January 2378, has been adjusted."
441,SCE #5-8 were collected into the printed volume Miracle Workers (SCE Book Two).
442,Takes place during the events of Interphase (SCE).
443,"Story is set three months after ""What You Leave Behind"" (DS9)."
444,"Story runs parallel to DS9 stories Section 31: Abyss, Gateways #4: Demons of Air and Darkness, and the Mission: Gammamini-series."
445,"Invincible, Book One is simultaneous with Avatar;and Invincible, Book Two is simultaneous with Cold Fusion."
446,Story begins two weeks after Avatar (DS9 duology).
447,SCE #9-12 were collected into the printed volume Some Assembly Required (SCE Book Three).
448,Gateways books three through six occur simultaneously.
449,"""Horn and Ivory,"" ""Into the Queue,"" ""Death After Life,"" and ""The Other Side"" occur simultaneously."
450,SCE #13-16 were collected into the printed volume No Surrender (SCE Book Four).
451,"SCE #17-19 were collected into the printed volume Foundations (SCE Book Five), and the chapters were renumbered to run sequentially."
452,SCE #20-24 were collected into the printed volume Wildfire (SCE Book Six).
453,"The ""current day"" portions are simultaneous with Foundations andEnigma Ship."
454,Story continues concurrently to the beginning of Stone and Anvil (NF #14).
455,A reference that Sisko went missing 214 days earlier was disregarded in favor of the story's other claims that Sisko disappeared around Thanksgiving whereas the current date is in August.
456,SCE #25-28 were collected into the printed volume Breakdowns (SCE Book Seven).
457,"Home Fires, Age of Unreason, Balance of Nature,andBreakdowns take place simultaneously, during the weeks when the da Vinci is being repaired."
458,Takes place immediately before Mission: Gamma #4: Lesser Evil. SCE #29-36 were collected into the printed volume Aftermath (SCE Book Eight).
459,Continues through the beginning of Enemy Territory.
460,Both this story and Unity each tell alternate versions of Kira's reunion with Odo.
461,"Continues over the next three weeks, to the time of the primary entry."
462,Runs concurrently with chapter 2 of Security.
463,Runs concurrently with SCE #52-54.
464,Runs concurrently through the end of 2377.
465,A reference to Kai Opaka being dead is not easily reconcilable with Unity.
466,Story is set two months after Vulcan's Soul #1: Exodus.
467,Framing story is set ten years after the Battle of Wolf 359 and six months before Stardate 54902.
468,"Occurs eight years after ""The Nagus"" (DS9) and after Ro's first visit to Ferenginar in Satisfaction Is Not Guaranteed. The details of the relationship between Quark and Ro may be apocryphal."
469,"The date, given as February 2378, has been adjusted."
470,"References to ""Scorpion"" (VOY) being ""over four years ago"" are inaccurate."
471,Occurs during the events of Endgame.
472,The given date of August 2377 has been adjusted.
473,"The month, given as June, has been adjusted."
474,The given dates of September to October 2377 have been adjusted.
475,The given month of May was disregarded.
476,Story carries over into 2379.
477,Continues through the events of Nemesis.
478,Occurs during the events of Nemesis.
479,Chapters 1-6 are concurrent with The Red King.
480,"This story is set an unspecified number of years after the events of the novel A Stitch in Time and the stage play ""The Dream Box,"" both of which follow the story of Garak beyond the events of the television series."
481,Chapters 7-12 are concurrent with Orion's Hounds.
482,"Presumably this timeline is ""rebooted"" by the V'Ger/Decker/ Ilia entity in or about 12385."
483,"Story takes place when Picard is still in his eighties and Alexander has been ambassador to the Klingon Empire for at least fifteen years. Picard and Worf have known each other for thirty-eight years, so we assume they must have met during Worf's freshman year at the academy."
484,"This ""anti-time"" portion of the story must be regarded as an alternate future that is divergent from the ""mainstream"" universe."
485,These sections of the two Millennium novels take place in an alternate future.
486,"This portion of the story must be regarded as an alternate future, based on Admiral Janeway's interference."
487,"Story is set in the alternate future from ""Endgame,"" though apparently in a parallel timeline where Neelix did not leave the ship in 2377."
488,"Except for the final chapter, this portion of the novel, set forty-two years after ""The Offspring"" (TNG), takes place in an alternate future."
489,"This story takes place in an alternate version of ""The Visitor."""
490,"The date was calculated from ""Personal Log"" (SNW 4), which establishes a Kyrian year as .82 standard years."
491,"Story takes place twenty-seven years after the Emergency Medical Hologram Backup Module left Vaskan/Kyrian space, assuming his term as Surgical Chancellor was about twenty-five years. The EMH's claim that the story occurs in the middle of the thirtieth century is incorrect."
492,"Over a thousand ""fiscal cycles"" and/or forty-three generations after the timeframe of the storyteller's legend."
493,"Framing story is set 2, 000 years in an alternate future of TNG."
