rank,position,hand,player,years,total_goals,status,yr_start,season,age,team,league,season_games,goals,assists,points,plus_minus,penalty_min,goals_even,goals_power_play,goals_short_handed,goals_game_winner,headshot
32,C,Right,Stan Mikita,1958-80,541,Retired,1958,1978-79,38,CBH,NHL,65,19,36,55,3,34,15,4,0,1,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/mikitst01.jpg
32,C,Right,Stan Mikita,1958-80,541,Retired,1958,1979-80,39,CBH,NHL,17,2,5,7,2,12,2,0,0,0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/mikitst01.jpg
33,LW,Left,Keith Tkachuk,1991-10,538,Retired,1991,1991-92,19,WIN,NHL,17,3,5,8,0,28,1,2,0,0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/tkachke01.jpg
33,LW,Left,Keith Tkachuk,1991-10,538,Retired,1991,1992-93,20,WIN,NHL,83,28,23,51,-13,201,16,12,0,2,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/tkachke01.jpg
33,LW,Left,Keith Tkachuk,1991-10,538,Retired,1991,1993-94,21,WIN,NHL,84,41,40,81,-12,255,16,22,3,3,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/tkachke01.jpg
33,LW,Left,Keith Tkachuk,1991-10,538,Retired,1991,1994-95,22,WIN,NHL,48,22,29,51,-4,152,13,7,2,2,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/tkachke01.jpg
33,LW,Left,Keith Tkachuk,1991-10,538,Retired,1991,1995-96,23,WIN,NHL,76,50,48,98,11,156,28,20,2,6,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/tkachke01.jpg
33,LW,Left,Keith Tkachuk,1991-10,538,Retired,1991,1996-97,24,PHX,NHL,81,52,34,86,-1,228,41,9,2,7,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/tkachke01.jpg
33,LW,Left,Keith Tkachuk,1991-10,538,Retired,1991,1997-98,25,PHX,NHL,69,40,26,66,9,147,29,11,0,8,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/tkachke01.jpg
33,LW,Left,Keith Tkachuk,1991-10,538,Retired,1991,1998-99,26,PHX,NHL,68,36,32,68,22,151,23,11,2,7,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/tkachke01.jpg
33,LW,Left,Keith Tkachuk,1991-10,538,Retired,1991,1999-00,27,PHX,NHL,50,22,21,43,7,82,16,5,1,1,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/tkachke01.jpg
33,LW,Left,Keith Tkachuk,1991-10,538,Retired,1991,2000-01,28,TOT,NHL,76,35,44,79,3,122,18,17,0,5,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/tkachke01.jpg
33,LW,Left,Keith Tkachuk,1991-10,538,Retired,1991,2000-01,28,PHX,NHL,64,29,42,71,6,108,14,15,0,4,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/tkachke01.jpg
33,LW,Left,Keith Tkachuk,1991-10,538,Retired,1991,2000-01,28,STL,NHL,12,6,2,8,-3,14,4,2,0,1,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/tkachke01.jpg
33,LW,Left,Keith Tkachuk,1991-10,538,Retired,1991,2001-02,29,STL,NHL,73,38,37,75,21,117,25,13,0,7,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/tkachke01.jpg
33,LW,Left,Keith Tkachuk,1991-10,538,Retired,1991,2002-03,30,STL,NHL,56,31,24,55,1,139,17,14,0,5,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/tkachke01.jpg
33,LW,Left,Keith Tkachuk,1991-10,538,Retired,1991,2003-04,31,STL,NHL,75,33,38,71,8,83,15,18,0,8,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/tkachke01.jpg
33,LW,Left,Keith Tkachuk,1991-10,538,Retired,1991,2005-06,33,STL,NHL,41,15,21,36,-15,46,5,10,0,1,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/tkachke01.jpg
33,LW,Left,Keith Tkachuk,1991-10,538,Retired,1991,2006-07,34,TOT,NHL,79,27,31,58,11,126,17,10,0,4,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/tkachke01.jpg
33,LW,Left,Keith Tkachuk,1991-10,538,Retired,1991,2006-07,34,STL,NHL,61,20,23,43,3,92,12,8,0,1,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/tkachke01.jpg
33,LW,Left,Keith Tkachuk,1991-10,538,Retired,1991,2006-07,34,ATL,NHL,18,7,8,15,8,34,5,2,0,3,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/tkachke01.jpg
33,LW,Left,Keith Tkachuk,1991-10,538,Retired,1991,2007-08,35,STL,NHL,79,27,31,58,-2,69,14,12,1,1,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/tkachke01.jpg
33,LW,Left,Keith Tkachuk,1991-10,538,Retired,1991,2008-09,36,STL,NHL,79,25,24,49,-11,61,11,14,0,4,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/tkachke01.jpg
33,LW,Left,Keith Tkachuk,1991-10,538,Retired,1991,2009-10,37,STL,NHL,67,13,19,32,-2,56,8,5,0,1,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/tkachke01.jpg
34,LW,Left,Frank Mahovlich,1956-74,533,Retired,1956,1956-57,19,TOR,NHL,3,1,0,1,NA,2,0,1,0,0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/mahovfr01.jpg
34,LW,Left,Frank Mahovlich,1956-74,533,Retired,1956,1957-58,20,TOR,NHL,67,20,16,36,NA,67,15,5,0,2,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/mahovfr01.jpg
34,LW,Left,Frank Mahovlich,1956-74,533,Retired,1956,1958-59,21,TOR,NHL,63,22,27,49,NA,94,16,6,0,3,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/mahovfr01.jpg
34,LW,Left,Frank Mahovlich,1956-74,533,Retired,1956,1959-60,22,TOR,NHL,70,18,21,39,-2,61,15,3,0,2,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/mahovfr01.jpg
34,LW,Left,Frank Mahovlich,1956-74,533,Retired,1956,1960-61,23,TOR,NHL,70,48,36,84,23,131,41,7,0,10,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/mahovfr01.jpg
34,LW,Left,Frank Mahovlich,1956-74,533,Retired,1956,1961-62,24,TOR,NHL,70,33,38,71,31,87,32,1,0,9,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/mahovfr01.jpg
34,LW,Left,Frank Mahovlich,1956-74,533,Retired,1956,1962-63,25,TOR,NHL,67,36,37,73,22,56,27,9,0,8,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/mahovfr01.jpg
34,LW,Left,Frank Mahovlich,1956-74,533,Retired,1956,1963-64,26,TOR,NHL,70,26,29,55,8,66,20,6,0,4,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/mahovfr01.jpg
34,LW,Left,Frank Mahovlich,1956-74,533,Retired,1956,1964-65,27,TOR,NHL,59,23,28,51,9,76,16,7,0,4,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/mahovfr01.jpg
34,LW,Left,Frank Mahovlich,1956-74,533,Retired,1956,1965-66,28,TOR,NHL,68,32,24,56,3,68,22,10,0,6,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/mahovfr01.jpg
34,LW,Left,Frank Mahovlich,1956-74,533,Retired,1956,1966-67,29,TOR,NHL,63,18,28,46,0,42,14,4,0,3,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/mahovfr01.jpg
34,LW,Left,Frank Mahovlich,1956-74,533,Retired,1956,1967-68,30,TOT,NHL,63,26,26,52,5,32,24,2,0,5,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/mahovfr01.jpg
34,LW,Left,Frank Mahovlich,1956-74,533,Retired,1956,1967-68,30,TOR,NHL,50,19,17,36,2,30,17,2,0,4,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/mahovfr01.jpg
34,LW,Left,Frank Mahovlich,1956-74,533,Retired,1956,1967-68,30,DET,NHL,13,7,9,16,3,2,7,0,0,1,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/mahovfr01.jpg
34,LW,Left,Frank Mahovlich,1956-74,533,Retired,1956,1968-69,31,DET,NHL,76,49,29,78,44,38,42,7,0,5,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/mahovfr01.jpg
34,LW,Left,Frank Mahovlich,1956-74,533,Retired,1956,1969-70,32,DET,NHL,74,38,32,70,14,59,23,14,1,5,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/mahovfr01.jpg
34,LW,Left,Frank Mahovlich,1956-74,533,Retired,1956,1970-71,33,TOT,NHL,73,31,42,73,9,41,16,13,2,4,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/mahovfr01.jpg
34,LW,Left,Frank Mahovlich,1956-74,533,Retired,1956,1970-71,33,DET,NHL,35,14,18,32,4,30,7,6,1,2,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/mahovfr01.jpg
34,LW,Left,Frank Mahovlich,1956-74,533,Retired,1956,1970-71,33,MTL,NHL,38,17,24,41,5,11,12,4,1,2,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/mahovfr01.jpg
34,LW,Left,Frank Mahovlich,1956-74,533,Retired,1956,1971-72,34,MTL,NHL,76,43,53,96,42,36,25,14,4,4,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/mahovfr01.jpg
34,LW,Left,Frank Mahovlich,1956-74,533,Retired,1956,1972-73,35,MTL,NHL,78,38,55,93,42,51,28,8,2,5,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/mahovfr01.jpg
34,LW,Left,Frank Mahovlich,1956-74,533,Retired,1956,1973-74,36,MTL,NHL,71,31,49,80,16,47,21,8,2,3,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/mahovfr01.jpg
34,LW,Left,Frank Mahovlich,1956-74,533,Retired,1956,1974-75,37,TRT,WHA,73,38,44,82,8,27,30,8,0,NA,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/mahovfr01.jpg
34,LW,Left,Frank Mahovlich,1956-74,533,Retired,1956,1975-76,38,TRT,WHA,75,34,55,89,-16,14,27,6,1,1,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/mahovfr01.jpg
34,LW,Left,Frank Mahovlich,1956-74,533,Retired,1956,1976-77,39,BRB,WHA,17,3,20,23,-1,12,1,2,0,NA,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/mahovfr01.jpg
34,LW,Left,Frank Mahovlich,1956-74,533,Retired,1956,1977-78,40,BRB,WHA,72,14,24,38,-5,22,8,6,0,NA,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/mahovfr01.jpg
35,RW,Left,Marian Hossa,1997-17,525,Retired,1997,1997-98,19,OTT,NHL,7,0,1,1,-1,0,0,0,0,0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/hossama01-2017.jpg
35,RW,Left,Marian Hossa,1997-17,525,Retired,1997,1998-99,20,OTT,NHL,60,15,15,30,18,37,14,1,0,2,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/hossama01-2017.jpg
35,RW,Left,Marian Hossa,1997-17,525,Retired,1997,1999-00,21,OTT,NHL,78,29,27,56,5,32,24,5,0,4,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/hossama01-2017.jpg
35,RW,Left,Marian Hossa,1997-17,525,Retired,1997,2000-01,22,OTT,NHL,81,32,43,75,19,44,19,11,2,7,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/hossama01-2017.jpg
35,RW,Left,Marian Hossa,1997-17,525,Retired,1997,2001-02,23,OTT,NHL,80,31,35,66,11,50,21,9,1,4,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/hossama01-2017.jpg
35,RW,Left,Marian Hossa,1997-17,525,Retired,1997,2002-03,24,OTT,NHL,80,45,35,80,8,34,31,14,0,10,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/hossama01-2017.jpg
35,RW,Left,Marian Hossa,1997-17,525,Retired,1997,2003-04,25,OTT,NHL,81,36,46,82,4,46,21,14,1,5,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/hossama01-2017.jpg
35,RW,Left,Marian Hossa,1997-17,525,Retired,1997,2005-06,27,ATL,NHL,80,39,53,92,17,67,18,14,7,7,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/hossama01-2017.jpg
35,RW,Left,Marian Hossa,1997-17,525,Retired,1997,2006-07,28,ATL,NHL,82,43,57,100,18,49,23,17,3,5,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/hossama01-2017.jpg
35,RW,Left,Marian Hossa,1997-17,525,Retired,1997,2007-08,29,TOT,NHL,72,29,37,66,-14,36,19,8,2,4,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/hossama01-2017.jpg
35,RW,Left,Marian Hossa,1997-17,525,Retired,1997,2007-08,29,ATL,NHL,60,26,30,56,-14,30,16,8,2,4,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/hossama01-2017.jpg
35,RW,Left,Marian Hossa,1997-17,525,Retired,1997,2007-08,29,PIT,NHL,12,3,7,10,0,6,3,0,0,0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/hossama01-2017.jpg
35,RW,Left,Marian Hossa,1997-17,525,Retired,1997,2008-09,30,DET,NHL,74,40,31,71,27,63,30,10,0,8,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/hossama01-2017.jpg
35,RW,Left,Marian Hossa,1997-17,525,Retired,1997,2009-10,31,CHI,NHL,57,24,27,51,24,18,17,2,5,2,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/hossama01-2017.jpg
35,RW,Left,Marian Hossa,1997-17,525,Retired,1997,2010-11,32,CHI,NHL,65,25,32,57,9,32,15,8,2,2,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/hossama01-2017.jpg
35,RW,Left,Marian Hossa,1997-17,525,Retired,1997,2011-12,33,CHI,NHL,81,29,48,77,18,20,18,9,2,4,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/hossama01-2017.jpg
35,RW,Left,Marian Hossa,1997-17,525,Retired,1997,2012-13,34,CHI,NHL,40,17,14,31,20,16,12,4,1,6,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/hossama01-2017.jpg
35,RW,Left,Marian Hossa,1997-17,525,Retired,1997,2013-14,35,CHI,NHL,72,30,30,60,28,20,23,4,3,4,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/hossama01-2017.jpg
35,RW,Left,Marian Hossa,1997-17,525,Retired,1997,2014-15,36,CHI,NHL,82,22,39,61,17,32,15,6,1,2,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/hossama01-2017.jpg
35,RW,Left,Marian Hossa,1997-17,525,Retired,1997,2015-16,37,CHI,NHL,64,13,20,33,10,24,8,2,3,2,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/hossama01-2017.jpg
35,RW,Left,Marian Hossa,1997-17,525,Retired,1997,2016-17,38,CHI,NHL,73,26,19,45,7,8,20,5,1,7,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/hossama01-2017.jpg
36,C,Left,Bryan Trottier,1975-94,524,Retired,1975,1975-76,19,NYI,NHL,80,32,63,95,27,21,20,11,1,5,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/trottbr01.jpg
36,C,Left,Bryan Trottier,1975-94,524,Retired,1975,1976-77,20,NYI,NHL,76,30,42,72,28,34,18,11,1,6,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/trottbr01.jpg
36,C,Left,Bryan Trottier,1975-94,524,Retired,1975,1977-78,21,NYI,NHL,77,46,77,123,52,46,31,13,2,6,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/trottbr01.jpg
36,C,Left,Bryan Trottier,1975-94,524,Retired,1975,1978-79,22,NYI,NHL,76,47,87,134,76,50,32,15,0,8,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/trottbr01.jpg
36,C,Left,Bryan Trottier,1975-94,524,Retired,1975,1979-80,23,NYI,NHL,78,42,62,104,31,68,27,15,0,7,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/trottbr01.jpg
36,C,Left,Bryan Trottier,1975-94,524,Retired,1975,1980-81,24,NYI,NHL,73,31,72,103,50,74,20,9,2,5,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/trottbr01.jpg
36,C,Left,Bryan Trottier,1975-94,524,Retired,1975,1981-82,25,NYI,NHL,80,50,79,129,70,88,30,18,2,10,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/trottbr01.jpg
36,C,Left,Bryan Trottier,1975-94,524,Retired,1975,1982-83,26,NYI,NHL,80,34,55,89,36,68,21,13,0,5,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/trottbr01.jpg
36,C,Left,Bryan Trottier,1975-94,524,Retired,1975,1983-84,27,NYI,NHL,68,40,71,111,68,59,30,7,3,4,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/trottbr01.jpg
36,C,Left,Bryan Trottier,1975-94,524,Retired,1975,1984-85,28,NYI,NHL,68,28,31,59,3,47,19,4,5,3,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/trottbr01.jpg
36,C,Left,Bryan Trottier,1975-94,524,Retired,1975,1985-86,29,NYI,NHL,78,37,59,96,30,72,31,5,1,3,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/trottbr01.jpg
36,C,Left,Bryan Trottier,1975-94,524,Retired,1975,1986-87,30,NYI,NHL,80,23,64,87,4,50,10,13,0,1,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/trottbr01.jpg
36,C,Left,Bryan Trottier,1975-94,524,Retired,1975,1987-88,31,NYI,NHL,77,30,52,82,10,48,15,15,0,3,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/trottbr01.jpg
36,C,Left,Bryan Trottier,1975-94,524,Retired,1975,1988-89,32,NYI,NHL,73,17,28,45,-7,44,12,5,0,3,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/trottbr01.jpg
36,C,Left,Bryan Trottier,1975-94,524,Retired,1975,1989-90,33,NYI,NHL,59,13,11,24,-11,29,9,4,0,0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/trottbr01.jpg
36,C,Left,Bryan Trottier,1975-94,524,Retired,1975,1990-91,34,PIT,NHL,52,9,19,28,5,24,8,0,1,0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/trottbr01.jpg
36,C,Left,Bryan Trottier,1975-94,524,Retired,1975,1991-92,35,PIT,NHL,63,11,18,29,-11,54,7,3,1,0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/trottbr01.jpg
36,C,Left,Bryan Trottier,1975-94,524,Retired,1975,1993-94,37,PIT,NHL,41,4,11,15,-12,36,4,0,0,0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/trottbr01.jpg
37,NA,NA,Pat Verbeek,1982-02,522,Retired,1982,1982-83,18,NJD,NHL,6,3,2,5,-2,8,3,0,0,0,NA
37,NA,NA,Pat Verbeek,1982-02,522,Retired,1982,1983-84,19,NJD,NHL,79,20,27,47,-19,158,14,5,1,2,NA
37,NA,NA,Pat Verbeek,1982-02,522,Retired,1982,1984-85,20,NJD,NHL,78,15,18,33,-25,162,9,5,1,1,NA
37,NA,NA,Pat Verbeek,1982-02,522,Retired,1982,1985-86,21,NJD,NHL,76,25,27,52,-25,79,20,4,1,0,NA
37,NA,NA,Pat Verbeek,1982-02,522,Retired,1982,1986-87,22,NJD,NHL,74,35,24,59,-23,120,18,17,0,5,NA
37,NA,NA,Pat Verbeek,1982-02,522,Retired,1982,1987-88,23,NJD,NHL,73,46,31,77,29,227,33,13,0,8,NA
37,NA,NA,Pat Verbeek,1982-02,522,Retired,1982,1988-89,24,NJD,NHL,77,26,21,47,-18,189,17,9,0,1,NA
37,NA,NA,Pat Verbeek,1982-02,522,Retired,1982,1989-90,25,HAR,NHL,80,44,45,89,1,228,30,14,0,5,NA
37,NA,NA,Pat Verbeek,1982-02,522,Retired,1982,1990-91,26,HAR,NHL,80,43,39,82,0,246,28,15,0,5,NA
37,NA,NA,Pat Verbeek,1982-02,522,Retired,1982,1991-92,27,HAR,NHL,76,22,35,57,-16,243,12,10,0,3,NA
37,NA,NA,Pat Verbeek,1982-02,522,Retired,1982,1992-93,28,HAR,NHL,84,39,43,82,-7,197,23,16,0,6,NA
37,NA,NA,Pat Verbeek,1982-02,522,Retired,1982,1993-94,29,HAR,NHL,84,37,38,75,-15,177,21,15,1,3,NA
37,NA,NA,Pat Verbeek,1982-02,522,Retired,1982,1994-95,30,TOT,NHL,48,17,16,33,-2,71,10,7,0,2,NA
37,NA,NA,Pat Verbeek,1982-02,522,Retired,1982,1994-95,30,HAR,NHL,29,7,11,18,0,53,4,3,0,0,NA
37,NA,NA,Pat Verbeek,1982-02,522,Retired,1982,1994-95,30,NYR,NHL,19,10,5,15,-2,18,6,4,0,2,NA
37,NA,NA,Pat Verbeek,1982-02,522,Retired,1982,1995-96,31,NYR,NHL,69,41,41,82,29,129,24,17,0,6,NA
37,NA,NA,Pat Verbeek,1982-02,522,Retired,1982,1996-97,32,DAL,NHL,81,17,36,53,3,128,12,5,0,4,NA
37,NA,NA,Pat Verbeek,1982-02,522,Retired,1982,1997-98,33,DAL,NHL,82,31,26,57,15,170,22,9,0,8,NA
37,NA,NA,Pat Verbeek,1982-02,522,Retired,1982,1998-99,34,DAL,NHL,78,17,17,34,11,133,9,8,0,2,NA
37,NA,NA,Pat Verbeek,1982-02,522,Retired,1982,1999-00,35,DET,NHL,68,22,26,48,22,95,15,7,0,5,NA
37,NA,NA,Pat Verbeek,1982-02,522,Retired,1982,2000-01,36,DET,NHL,67,15,15,30,0,73,8,7,0,0,NA
37,NA,NA,Pat Verbeek,1982-02,522,Retired,1982,2001-02,37,DAL,NHL,64,7,13,20,-4,72,4,3,0,1,NA
38,C,Left,Dale Hawerchuk,1981-97,518,Retired,1981,1981-82,18,WIN,NHL,80,45,58,103,-7,47,33,12,0,2,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/hawerda01.jpg
38,C,Left,Dale Hawerchuk,1981-97,518,Retired,1981,1982-83,19,WIN,NHL,79,40,51,91,-17,31,27,13,0,3,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/hawerda01.jpg
38,C,Left,Dale Hawerchuk,1981-97,518,Retired,1981,1983-84,20,WIN,NHL,80,37,65,102,-14,73,27,10,0,4,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/hawerda01.jpg
38,C,Left,Dale Hawerchuk,1981-97,518,Retired,1981,1984-85,21,WIN,NHL,80,53,77,130,20,74,33,17,3,4,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/hawerda01.jpg
38,C,Left,Dale Hawerchuk,1981-97,518,Retired,1981,1985-86,22,WIN,NHL,80,46,59,105,-27,44,26,18,2,2,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/hawerda01.jpg
38,C,Left,Dale Hawerchuk,1981-97,518,Retired,1981,1986-87,23,WIN,NHL,80,47,53,100,2,52,37,10,0,4,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/hawerda01.jpg
38,C,Left,Dale Hawerchuk,1981-97,518,Retired,1981,1987-88,24,WIN,NHL,80,44,77,121,-9,59,21,20,3,4,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/hawerda01.jpg
38,C,Left,Dale Hawerchuk,1981-97,518,Retired,1981,1988-89,25,WIN,NHL,75,41,55,96,-30,28,24,14,3,4,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/hawerda01.jpg
38,C,Left,Dale Hawerchuk,1981-97,518,Retired,1981,1989-90,26,WIN,NHL,79,26,55,81,-11,70,18,8,0,2,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/hawerda01.jpg
38,C,Left,Dale Hawerchuk,1981-97,518,Retired,1981,1990-91,27,BUF,NHL,80,31,58,89,2,32,19,12,0,1,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/hawerda01.jpg
38,C,Left,Dale Hawerchuk,1981-97,518,Retired,1981,1991-92,28,BUF,NHL,77,23,75,98,-22,27,10,13,0,4,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/hawerda01.jpg
38,C,Left,Dale Hawerchuk,1981-97,518,Retired,1981,1992-93,29,BUF,NHL,81,16,80,96,-17,52,8,8,0,2,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/hawerda01.jpg
38,C,Left,Dale Hawerchuk,1981-97,518,Retired,1981,1993-94,30,BUF,NHL,81,35,51,86,10,91,21,13,1,7,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/hawerda01.jpg
38,C,Left,Dale Hawerchuk,1981-97,518,Retired,1981,1994-95,31,BUF,NHL,23,5,11,16,-2,2,3,2,0,2,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/hawerda01.jpg
38,C,Left,Dale Hawerchuk,1981-97,518,Retired,1981,1995-96,32,TOT,NHL,82,17,44,61,15,26,11,6,0,2,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/hawerda01.jpg
38,C,Left,Dale Hawerchuk,1981-97,518,Retired,1981,1995-96,32,STL,NHL,66,13,28,41,5,22,8,5,0,1,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/hawerda01.jpg
38,C,Left,Dale Hawerchuk,1981-97,518,Retired,1981,1995-96,32,PHI,NHL,16,4,16,20,10,4,3,1,0,1,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/hawerda01.jpg
38,C,Left,Dale Hawerchuk,1981-97,518,Retired,1981,1996-97,33,PHI,NHL,51,12,22,34,9,32,6,6,0,2,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/hawerda01.jpg
39,NA,NA,Pierre Turgeon,1987-07,515,Retired,1987,1987-88,18,BUF,NHL,76,14,28,42,-8,34,6,8,0,3,NA
39,NA,NA,Pierre Turgeon,1987-07,515,Retired,1987,1988-89,19,BUF,NHL,80,34,54,88,-2,26,15,19,0,5,NA
39,NA,NA,Pierre Turgeon,1987-07,515,Retired,1987,1989-90,20,BUF,NHL,80,40,66,106,10,29,22,17,1,10,NA
39,NA,NA,Pierre Turgeon,1987-07,515,Retired,1987,1990-91,21,BUF,NHL,78,32,47,79,14,26,17,13,2,3,NA
39,NA,NA,Pierre Turgeon,1987-07,515,Retired,1987,1991-92,22,TOT,NHL,77,40,55,95,7,20,27,13,0,6,NA
