raw_rank,player,years,total_goals,url_number,raw_link,link,active,yr_start
217,Steve Sullivan,1995-13,290,217,/players/s/sullist01.html,https://www.hockey-reference.com/players/s/sullist01.html,Retired,1995
218,Neal Broten,1980-97,289,218,/players/b/brotene01.html,https://www.hockey-reference.com/players/b/brotene01.html,Retired,1980
NA,James Neal,2008-20,289,219,/players/n/nealja01.html,https://www.hockey-reference.com/players/n/nealja01.html,Active,2008
220,Larry Murphy,1980-01,288,220,/players/m/murphla01.html,https://www.hockey-reference.com/players/m/murphla01.html,Retired,1980
NA,Pete Mahovlich,1965-81,288,221,/players/m/mahovpe01.html,https://www.hockey-reference.com/players/m/mahovpe01.html,Retired,1965
222,Patrick Sharp,2002-18,287,222,/players/s/sharppa01.html,https://www.hockey-reference.com/players/s/sharppa01.html,Retired,2002
NA,Tony Tanti,1981-92,287,223,/players/t/tantito01.html,https://www.hockey-reference.com/players/t/tantito01.html,Retired,1981
224,Brad Marchand,2009-20,286,224,/players/m/marchbr03.html,https://www.hockey-reference.com/players/m/marchbr03.html,Active,2009
225,Brent Ashton,1979-93,284,225,/players/a/ashtobr01.html,https://www.hockey-reference.com/players/a/ashtobr01.html,Retired,1979
NA,René Robert,1970-82,284,226,/players/r/roberre01.html,https://www.hockey-reference.com/players/r/roberre01.html,Retired,1970
NA,Radim Vrbata,2001-18,284,227,/players/v/vrbatra01.html,https://www.hockey-reference.com/players/v/vrbatra01.html,Retired,2001
228,Bill Goldsworthy,1964-78,283,228,/players/g/goldsbi01.html,https://www.hockey-reference.com/players/g/goldsbi01.html,Retired,1964
NA,Alex Tanguay,1999-16,283,229,/players/t/tangual01.html,https://www.hockey-reference.com/players/t/tangual01.html,Retired,1999
NA,Dick Duff,1954-72,283,230,/players/d/duffdi01.html,https://www.hockey-reference.com/players/d/duffdi01.html,Retired,1954
231,John Anderson,1977-89,282,231,/players/a/anderjo01.html,https://www.hockey-reference.com/players/a/anderjo01.html,Retired,1977
232,Bob Pulford,1956-72,281,232,/players/p/pulfobo01.html,https://www.hockey-reference.com/players/p/pulfobo01.html,Retired,1956
NA,Red Kelly,1947-67,281,233,/players/k/kellyre01.html,https://www.hockey-reference.com/players/k/kellyre01.html,Retired,1947
234,Camille Henry,1953-70,279,234,/players/h/henryca01.html,https://www.hockey-reference.com/players/h/henryca01.html,Retired,1953
235,Mike Knuble,1996-13,278,235,/players/k/knublmi01.html,https://www.hockey-reference.com/players/k/knublmi01.html,Retired,1996
NA,Doug Weight,1991-11,278,236,/players/w/weighdo01.html,https://www.hockey-reference.com/players/w/weighdo01.html,Retired,1991
NA,Mike Fisher,1999-18,278,237,/players/f/fishemi01.html,https://www.hockey-reference.com/players/f/fishemi01.html,Retired,1999
NA,Jim Pappin,1963-77,278,238,/players/p/pappiji01.html,https://www.hockey-reference.com/players/p/pappiji01.html,Retired,1963
NA,Cory Stillman,1994-11,278,239,/players/s/stillco01.html,https://www.hockey-reference.com/players/s/stillco01.html,Retired,1994
NA,Ralph Backstrom,1956-73,278,240,/players/b/backsra01.html,https://www.hockey-reference.com/players/b/backsra01.html,Retired,1956
241,Max Pacioretty,2008-20,277,241,/players/p/pacioma01.html,https://www.hockey-reference.com/players/p/pacioma01.html,Active,2008
NA,Tyler Seguin,2010-20,277,242,/players/s/seguity01.html,https://www.hockey-reference.com/players/s/seguity01.html,Active,2010
NA,Wayne Cashman,1964-83,277,243,/players/c/cashmwa01.html,https://www.hockey-reference.com/players/c/cashmwa01.html,Retired,1964
244,Ron Stewart,1952-73,276,244,/players/s/stewaro01.html,https://www.hockey-reference.com/players/s/stewaro01.html,Retired,1952
245,Jimmy Carson,1986-96,275,245,/players/c/carsoji01.html,https://www.hockey-reference.com/players/c/carsoji01.html,Retired,1986
246,Ron Duguay,1977-89,274,246,/players/d/duguaro01.html,https://www.hockey-reference.com/players/d/duguaro01.html,Retired,1977
NA,Bryan Smolinski,1992-08,274,247,/players/s/smolibr01.html,https://www.hockey-reference.com/players/s/smolibr01.html,Retired,1992
NA,Murray Oliver,1957-75,274,248,/players/o/olivemu01.html,https://www.hockey-reference.com/players/o/olivemu01.html,Retired,1957
249,Shayne Corson,1985-04,273,249,/players/c/corsosh01.html,https://www.hockey-reference.com/players/c/corsosh01.html,Retired,1985
NA,Ryan Getzlaf,2005-20,273,250,/players/g/getzlry01.html,https://www.hockey-reference.com/players/g/getzlry01.html,Active,2005
NA,Al Secord,1978-90,273,251,/players/s/secoral01.html,https://www.hockey-reference.com/players/s/secoral01.html,Retired,1978
