name,last_name,first_name,graduation_date,rank_at_graduation,class,graduated_from,pilot_type,military_hometown_of_record,state,aerial_victory_credits,number_of_aerial_victory_credits,reported_lost,reported_lost_date,reported_lost_location,web_profile
"Charlton, Terry J.",Charlton,Terry J.,1942-11-10T00:00:00Z,2nd Lt,SE-42-J,TAAF,Single engine,Beaumont,TX,NA,0,NA,NA,NA,NA
"Chatman, Richard C., Jr.",Chatman,"Richard C., Jr.",1943-10-22T00:00:00Z,2nd Lt,CL-43-2,TAAF,Liaison pilot,Chicago,IL,NA,0,NA,NA,NA,NA
"Chavis, John H.",Chavis,John H.,1944-04-15T00:00:00Z,2nd Lt,SE-44-D,TAAF,Single engine,Raleigh,NC,NA,0,NA,NA,NA,https://cafriseabove.org/john-h-chavis/
"Cheatham, Eugene C., Jr.",Cheatham,"Eugene C., Jr.",1943-12-05T00:00:00Z,2nd Lt,TE-43-K,TAAF,Twin engine,Philadelphia,PA,NA,0,NA,NA,NA,NA
"Cheek, Conrad H.",Cheek,Conrad H.,1946-06-28T00:00:00Z,2nd Lt,SE-46-C,TAAF,Single engine,Weldon,NC,NA,0,NA,NA,NA,NA
"Cheek, Quentin V.",Cheek,Quentin V.,1945-09-08T00:00:00Z,2nd Lt,TE-45-F,TAAF,Twin engine,Weldon,NC,NA,0,NA,NA,NA,NA
"Chin, Jack",Chin,Jack,1946-06-28T00:00:00Z,2nd Lt,SE-46-C,TAAF,Single engine,Chicago,IL,NA,0,NA,NA,NA,NA
"Chinchester, James R.",Chinchester,James R.,1944-10-16T00:00:00Z,2nd Lt,TE-44-I-1,TAAF,Twin engine,Santa Monica,CA,NA,0,NA,NA,NA,NA
"Chineworth, Joseph E.",Chineworth,Joseph E.,1944-05-23T00:00:00Z,Flight Officer,SE-44-E,TAAF,Single engine,Memphis,TN,NA,0,NA,NA,NA,NA
"Choisy, George B.",Choisy,George B.,1945-08-04T00:00:00Z,2nd Lt,TE-45-E,TAAF,Twin engine,Jamaica,NY,NA,0,NA,NA,NA,NA
"Cisco, Arnold W.",Cisco,Arnold W.,1943-04-29T00:00:00Z,2nd Lt,SE-43-D,TAAF,Single engine,Alton,IL,NA,0,NA,NA,NA,https://cafriseabove.org/arnold-w-cisco/
"Cisco, George E.",Cisco,George E.,1944-05-23T00:00:00Z,2nd Lt,SE-44-E,TAAF,Single engine,Alton,IL,NA,0,NA,NA,NA,https://cafriseabove.org/george-e-cisco/
"Clark, Herbert V.",Clark,Herbert V.,1942-07-03T00:00:00Z,2nd Lt,SE-42-F,TAAF,Single engine,Pine Bluff,AR,NA,0,NA,NA,NA,https://cafriseabove.org/herbert-v-clark/
"Clayter, Ralph V.",Clayter,Ralph V.,1945-05-23T00:00:00Z,2nd Lt,SE-45-C,TAAF,Single engine,Roanoke,VA,NA,0,NA,NA,NA,NA
"Clayton, Melvin A.",Clayton,Melvin A.,1945-03-11T00:00:00Z,2nd Lt,TE-45-A,TAAF,Twin engine,Salem,NJ,NA,0,NA,NA,NA,NA
"Cleage, Scott K.",Cleage,Scott K.,1943-12-07T00:00:00Z,1st Lt,CL-43-3,TAAF,Liaison pilot,Chicago,IL,NA,0,NA,NA,NA,NA
"Cleaver, Lowell H.",Cleaver,Lowell H.,1944-02-01T00:00:00Z,2nd Lt,SE-44-K,TAAF,Single engine,Prairie View,TX,NA,0,NA,NA,NA,NA
"Cleveland, William J.",Cleveland,William J.,1943-10-22T00:00:00Z,2nd Lt,CL-43-2,TAAF,Liaison pilot,Columbiana City,OH,NA,0,NA,NA,NA,NA
"Clifton, Emile G.",Clifton,Emile G.,1944-02-08T00:00:00Z,2nd Lt,SE-44-B,TAAF,Single engine,San Francisco,CA,NA,0,NA,NA,NA,NA
"Cobbs, Wilson N.",Cobbs,Wilson N.,1945-06-27T00:00:00Z,2nd Lt,SE-45-D,TAAF,Single engine,Gordonsville,VA,NA,0,NA,NA,NA,NA
"Coggs, Granville C.",Coggs,Granville C.,1945-10-16T00:00:00Z,2nd Lt,TE-45-G,TAAF,Twin engine,Little Rock,AR,NA,0,NA,NA,NA,NA
"Colbert, William A., Jr.",Colbert,"William A., Jr.",1944-02-01T00:00:00Z,Flight Officer,SE-44-K,TAAF,Single engine,Cumberland,MD,NA,0,NA,NA,NA,NA
"Cole, Robert A.",Cole,Robert A.,1944-12-28T00:00:00Z,Flight Officer,SE-44-J,TAAF,Single engine,Northfield,VT,NA,0,NA,NA,NA,NA
"Coleman, James",Coleman,James,1944-09-08T00:00:00Z,2nd Lt,SE-44-H,TAAF,Single engine,Detroit,MI,NA,0,NA,NA,NA,https://cafriseabove.org/james-coleman/
"Coleman, William C.",Coleman,William C.,1944-04-15T00:00:00Z,2nd Lt,TE-44-D,TAAF,Twin engine,Detroit,MI,NA,0,NA,NA,NA,NA
"Coleman, William J.",Coleman,William J.,1945-03-11T00:00:00Z,2nd Lt,SE-45-A,TAAF,Single engine,Columbus,GA,NA,0,NA,NA,NA,NA
"Collins, Gamaliel M.",Collins,Gamaliel M.,1944-10-16T00:00:00Z,Flight Officer,TE-44-I-1,TAAF,Twin engine,Los Angeles,CA,NA,0,NA,NA,NA,NA
"Collins, Russell L.",Collins,Russell L.,1945-08-04T00:00:00Z,Flight Officer,SE-45-E,TAAF,Single engine,Davenport,IA,NA,0,NA,NA,NA,NA
"Connell, Victor L.",Connell,Victor L.,1945-06-27T00:00:00Z,2nd Lt,SE-45-D,TAAF,Single engine,Nutley,NJ,NA,0,NA,NA,NA,NA
"Conquest, George D.",Conquest,George D.,1943-12-07T00:00:00Z,2nd Lt,CL-43-3,TAAF,Liaison pilot,New Haven,CT,NA,0,NA,NA,NA,NA
"Cook, Martin L.",Cook,Martin L.,1944-04-15T00:00:00Z,Flight Officer,TE-44-D,TAAF,Twin engine,Purcellville,VA,NA,0,NA,NA,NA,NA
"Cooper, Charles W.",Cooper,Charles W.,1944-09-08T00:00:00Z,Flight Officer,SE-44-H,TAAF,Single engine,Washington,DC,NA,0,NA,NA,NA,NA
"Cooper, Edward M.",Cooper,Edward M.,1945-09-08T00:00:00Z,2nd Lt,TE-45-F,TAAF,Twin engine,Sharon,LA,NA,0,NA,NA,NA,NA
"Corbin, Matthew J.",Corbin,Matthew J.,1945-06-27T00:00:00Z,Flight Officer,SE-45-D,TAAF,Single engine,Pittsburg,PA,NA,0,NA,NA,NA,NA
"Cousins, August, Jr.",Cousins,"August, Jr.",1944-04-15T00:00:00Z,2nd Lt,TE-44-D,TAAF,Twin engine,Toledo,OH,NA,0,NA,NA,NA,NA
"Cousins, William M.",Cousins,William M.,1944-09-08T00:00:00Z,2nd Lt,SE-44-H,TAAF,Single engine,Philadelphia,PA,NA,0,NA,NA,NA,NA
"Cowan, Edwin T.",Cowan,Edwin T.,1944-12-28T00:00:00Z,Flight Officer,TE-44-J,TAAF,Twin engine,Cleveland,OH,NA,0,NA,NA,NA,NA
"Cox, Hannibal M.",Cox,Hannibal M.,1944-04-15T00:00:00Z,2nd Lt,SE-44-D,TAAF,Single engine,Chicago,IL,NA,0,NA,NA,NA,NA
"Craig, Charles E.",Craig,Charles E.,1944-02-01T00:00:00Z,Flight Officer,SE-44-K,TAAF,Single engine,Detroit,MI,NA,0,NA,NA,NA,NA
"Craig, Lewis W.",Craig,Lewis W.,1944-04-15T00:00:00Z,2nd Lt,SE-44-D,TAAF,Single engine,Ashville,NC,NA,0,NA,NA,NA,NA
"Craig, Milford S.",Craig,Milford S.,1948-10-12T00:00:00Z,2nd Lt,NA,"Williams AFB, AZ",Single engine,Williams AFB,AZ,NA,0,NA,NA,NA,NA
"Craigwell, Ernest",Craigwell,Ernest,1948-10-12T00:00:00Z,2nd Lt,NA,"Williams AFB, AZ",Single engine,Williams AFB,AZ,NA,0,NA,NA,NA,https://cafriseabove.org/ernest-craigwell-jr/
"Criss, Leroy",Criss,Leroy,1945-04-15T00:00:00Z,Flight Officer,TE-45-B,TAAF,Twin engine,Los Angeles,CA,NA,0,NA,NA,NA,NA
"Crockett, Woodrow W.",Crockett,Woodrow W.,1943-03-25T00:00:00Z,2nd Lt,SE-43-C,TAAF,Single engine,Little Rock,AR,NA,0,NA,NA,NA,https://cafriseabove.org/woodrow-wilson-crockett/
"Cross, William, Jr.",Cross,"William, Jr.",1943-10-01T00:00:00Z,Flight Officer,SE-43-I,TAAF,Single engine,Cleveland,OH,NA,0,NA,NA,NA,NA
"Crunnbsy, Grover",Crunnbsy,Grover,1944-02-01T00:00:00Z,Flight Officer,TE-44-K,TAAF,Twin engine,Pensacola,FL,NA,0,NA,NA,NA,NA
"Cummings, Hemdon M.",Cummings,Hemdon M.,1945-03-11T00:00:00Z,2nd Lt,TE-45-A,TAAF,Twin engine,Montrose,GA,NA,0,NA,NA,NA,NA
"Cunningham, John O.",Cunningham,John O.,1943-10-22T00:00:00Z,2nd Lt,CL-43-2,TAAF,Liaison pilot,Muncie,IN,NA,0,NA,NA,NA,NA
"Curry, John C.",Curry,John C.,1945-08-04T00:00:00Z,2nd Lt,TE-45-E,TAAF,Twin engine,Indianapolis,IN,NA,0,NA,NA,NA,NA
"Curry, Walter P.",Curry,Walter P.,1945-09-08T00:00:00Z,2nd Lt,SE-45-F,TAAF,Single engine,Washington,DC,NA,0,NA,NA,NA,NA
"Curtis, John W.",Curtis,John W.,1945-04-15T00:00:00Z,2nd Lt,SE-45-B,TAAF,Single engine,Detroit,MI,NA,0,NA,NA,NA,NA
"Curtis, Samuel L.",Curtis,Samuel L.,1943-07-28T00:00:00Z,2nd Lt,SE-43-G,TAAF,Single engine,Yeadon,PA,NA,0,NA,NA,NA,NA
"Curtis, William J., Jr.",Curtis,"William J., Jr.",1945-03-11T00:00:00Z,Flight Officer,TE-45-A,TAAF,Twin engine,Pittsburg,PA,NA,0,NA,NA,NA,NA
"Custis, Lemuel R.",Custis,Lemuel R.,1942-03-06T00:00:00Z,2nd Lt,SE-42-C,TAAF,Single engine,Hartford,CT,"Downed 1 Fw-190 on January 27, 1944",1,NA,NA,NA,https://cafriseabove.org/lemuel-custis/
"Dabney, Roscoe J., Jr.",Dabney,"Roscoe J., Jr.",1945-09-08T00:00:00Z,2nd Lt,TE-45-F,TAAF,Twin engine,Lakewood,NJ,NA,0,NA,NA,NA,NA
"Daniels, Harry J.",Daniels,Harry J.,1943-08-30T00:00:00Z,2nd Lt,SE-43-H,TAAF,Single engine,Indianapolis,IN,NA,0,NA,NA,NA,NA
"Daniels, John",Daniels,John,1943-07-28T00:00:00Z,2nd Lt,SE-43-G,TAAF,Single engine,Chicago,IL,NA,0,NA,NA,NA,NA
"Daniels, Robert H. Jr.",Daniels,Robert H. Jr.,1943-12-05T00:00:00Z,2nd Lt,SE-43-K,TAAF,Single engine,Corona,NY,NA,0,NA,NA,NA,NA
"Daniels, Thomas J., III",Daniels,"Thomas J., III",1944-10-16T00:00:00Z,Flight Officer,SE-44-I-1,TAAF,Single engine,Wetumpka,AL,NA,0,NA,NA,NA,NA
"Daniels, Virgil A.",Daniels,Virgil A.,1944-01-07T00:00:00Z,Flight Officer,TE-44-A,TAAF,Twin engine,Jacksonville,FL,NA,0,NA,NA,NA,NA
"Darnell, Charles E.",Darnell,Charles E.,1944-03-12T00:00:00Z,2nd Lt,TE-44-C,TAAF,Twin engine,Dayton,OH,NA,0,NA,NA,NA,NA
"Dart, Clarence W.",Dart,Clarence W.,1943-11-03T00:00:00Z,2nd Lt,SE-43-J,TAAF,Single engine,Elmira,NY,NA,0,NA,NA,NA,https://cafriseabove.org/clarence-w-dart/
"Davenport, Harry J,. Jr.",Davenport,"Harry J,. Jr.",1944-05-23T00:00:00Z,2nd Lt,SE-44-E,TAAF,Single engine,Beaumont,TX,NA,0,NA,NA,NA,NA
"Davis, Alfonza W.",Davis,Alfonza W.,1943-03-25T00:00:00Z,2nd Lt,SE-43-C,TAAF,Single engine,Omaha,NE,"Downed 1 MA-205 on July 16, 1944",1,NA,NA,NA,https://cafriseabove.org/alfonza-w-davis/
"Davis, Benjamin O., Jr.",Davis,"Benjamin O., Jr.",1942-03-06T00:00:00Z,Capt,SE-42-C,TAAF,Single engine,Tuskegee,AL,NA,0,NA,NA,NA,https://cafriseabove.org/benjamin-o-davis-jr/
"Davis, Claude C.",Davis,Claude C.,1944-08-04T00:00:00Z,1st Lt,TE-44-G,TAAF,Twin engine,Pittsburgh,PA,NA,0,NA,NA,NA,https://cafriseabove.org/claude-c-davis/
"Davis, Clifford W.",Davis,Clifford W.,1945-09-08T00:00:00Z,Flight Officer,TE-45-F,TAAF,Twin engine,Chicago,IL,NA,0,NA,NA,NA,NA
"Davis, Donald F.",Davis,Donald F.,1945-09-08T00:00:00Z,2nd Lt,SE-45-F,TAAF,Single engine,Detroit,MI,NA,0,NA,NA,NA,NA
"Davis, Earnest J., Jr.",Davis,"Earnest J., Jr.",1945-06-04T00:00:00Z,2nd Lt,NA,"Stewart Field, NY",Single engine,Stewart Field,NY,NA,0,NA,NA,NA,NA
"Davis, John W.",Davis,John W.,1944-05-23T00:00:00Z,2nd Lt,SE-44-E,TAAF,Single engine,Kansas City,KS,"Downed 1 Me-109 on March 31, 1945",1,NA,NA,NA,NA
"Davis, Richard",Davis,Richard,1942-08-05T00:00:00Z,2nd Lt,SE-42-G,TAAF,Single engine,Ft. Valley,GA,NA,0,NA,NA,NA,NA
"Davis, Sylvester S.",Davis,Sylvester S.,1945-09-08T00:00:00Z,2nd Lt,SE-45-F,TAAF,Single engine,Cleveland,OH,NA,0,NA,NA,NA,NA
"Dean, Vincent C.",Dean,Vincent C.,1944-03-12T00:00:00Z,2nd Lt,SE-44-C,TAAF,Single engine,Corona,NY,NA,0,NA,NA,NA,NA
"DeBow, Charles",DeBow,Charles,1942-03-06T00:00:00Z,2nd Lt,SE-42-C,TAAF,Single engine,Indianapolis,IN,NA,0,NA,NA,NA,https://cafriseabove.org/charles-henry-debow-jr/
"Deiz, Robert W.",Deiz,Robert W.,1942-09-06T00:00:00Z,2nd Lt,SE-42-H,TAAF,Single engine,Portland,OR,"Downed 1 Fw-190 on January 27, 1944; Downed 1 Fw-190 on January 28, 1944",2,NA,NA,NA,https://cafriseabove.org/robert-w-deiz/
"Derricotte, Eugene Andrew",Derricotte,Eugene Andrew,1946-05-14T00:00:00Z,NA,TE-46-B,TAAF,Twin engine,Detroit,MI,NA,0,NA,NA,NA,NA
"Desvignes, Russell F.",Desvignes,Russell F.,1945-04-15T00:00:00Z,Flight Officer,TE-45-B,TAAF,Twin engine,New Orleans,LA,NA,0,NA,NA,NA,NA
"Dickerson, Charles W.",Dickerson,Charles W.,1943-11-03T00:00:00Z,2nd Lt,SE-43-J,TAAF,Single engine,New Rochelle,NY,NA,0,NA,NA,NA,NA
"Dickerson, Page L.",Dickerson,Page L.,1945-10-16T00:00:00Z,Flight Officer,SE-45-G,TAAF,Single engine,St. Louis,MO,NA,0,NA,NA,NA,NA
"Dickerson, Tamenund J., Jr.",Dickerson,"Tamenund J., Jr.",1944-11-20T00:00:00Z,Flight Officer,SE-44-I,TAAF,Single engine,Detroit,MI,NA,0,NA,NA,NA,NA
"Dickson, DeWitt",Dickson,DeWitt,1944-12-28T00:00:00Z,Flight Officer,SE-44-J,TAAF,Single engine,New York,NY,NA,0,NA,NA,NA,NA
"Dickson, Lawrence E.",Dickson,Lawrence E.,1943-03-25T00:00:00Z,2nd Lt,SE-43-C,TAAF,Single engine,Bronx,NY,NA,0,NA,NA,NA,https://cafriseabove.org/lawrence-e-dickson/
"Dickson, Othell",Dickson,Othell,1943-12-05T00:00:00Z,2nd Lt,SE-43-K,TAAF,Single engine,San Francisco,CA,NA,0,NA,NA,NA,https://cafriseabove.org/othell-dickson/
"Diggs, Charles W.",Diggs,Charles W.,1944-02-08T00:00:00Z,2nd Lt,TE-44-B,TAAF,Twin engine,Roxbury,MA,NA,0,NA,NA,NA,https://cafriseabove.org/charles-c-diggs-jr/
"Dillard, James M., Jr.",Dillard,"James M., Jr.",1946-01-29T00:00:00Z,2nd Lt,TE-45-I,TAAF,Twin engine,East Beckley,WV,NA,0,NA,NA,NA,NA
"Dillon, Oliver M.",Dillon,Oliver M.,1946-01-29T00:00:00Z,2nd Lt,TE-45-I,TAAF,Twin engine,McComb,MS,NA,0,NA,NA,NA,NA
"Dixon, Edward T.",Dixon,Edward T.,1944-08-04T00:00:00Z,2nd Lt,TE-44-G,TAAF,Twin engine,Hartford,CN,NA,0,NA,NA,NA,NA
"Doram, Edward D.",Doram,Edward D.,1944-10-16T00:00:00Z,2nd Lt,SE-44-I-1,TAAF,Single engine,Cincinnatti,OH,NA,0,NA,NA,NA,NA
"Dorkins, Charles J.",Dorkins,Charles J.,1945-03-11T00:00:00Z,2nd Lt,TE-45-A,TAAF,Twin engine,Baltimore,MD,NA,0,NA,NA,NA,NA
"Doswell, Andrew H.",Doswell,Andrew H.,1943-08-30T00:00:00Z,2nd Lt,SE-43-H,TAAF,Single engine,Cleveland,OH,NA,0,NA,NA,NA,https://cafriseabove.org/andrew-harrison-doswell/
"Doswell, Edgar A., Jr.",Doswell,"Edgar A., Jr.",1945-03-11T00:00:00Z,Flight Officer,SE-45-A,TAAF,Single engine,Lynchburg,VA,NA,0,NA,NA,NA,NA
"Dowling, Corneilus D.",Dowling,Corneilus D.,1944-10-16T00:00:00Z,2nd Lt,SE-44-I-1,TAAF,Single engine,New Rochelle,NY,NA,0,NA,NA,NA,NA
"Downs, Walter M.",Downs,Walter M.,1943-02-16T00:00:00Z,2nd Lt,SE-43-B,TAAF,Single engine,New Orleans,LA,NA,0,NA,NA,NA,NA
"Driver, Clarence N.",Driver,Clarence N.,1944-01-07T00:00:00Z,Flight Officer,SE-44-A,TAAF,Single engine,Los Angeles,CA,NA,0,NA,NA,NA,https://cafriseabove.org/clarence-nesbit-driver/
"Driver, Elwood T.",Driver,Elwood T.,1942-10-09T00:00:00Z,2nd Lt,SE-42-I,TAAF,Single engine,Trenton,NJ,"Downed 1 Fw-190 on February 5, 1944",1,NA,NA,NA,https://cafriseabove.org/elwood-woody-thomas-driver/
"Drummond, Charles H., Jr.",Drummond,"Charles H., Jr.",1944-10-16T00:00:00Z,2nd Lt,TE-44-I-1,TAAF,Twin engine,Roxbury,MA,NA,0,NA,NA,NA,NA
"Drummond, Edward P.",Drummond,Edward P.,1946-06-28T00:00:00Z,2nd Lt,SE-46-C,TAAF,Single engine,Philadelphia,PA,NA,0,NA,NA,NA,NA
"Dryden, Charles W.",Dryden,Charles W.,1942-04-29T00:00:00Z,2nd Lt,SE-42-D,TAAF,Single engine,Bronx,NY,NA,0,NA,NA,NA,https://cafriseabove.org/charles-w-dryden/
"Dudley, John B.",Dudley,John B.,1943-10-22T00:00:00Z,1st Lt,CL-43-2,TAAF,Liaison pilot,Brooklyn,NY,NA,0,NA,NA,NA,NA
"Dudley, Richard G.",Dudley,Richard G.,1945-04-15T00:00:00Z,2nd Lt,SE-45-B,TAAF,Single engine,Norristown,PA,NA,0,NA,NA,NA,NA
"Duke, Charles H.",Duke,Charles H.,1944-01-07T00:00:00Z,2nd Lt,SE-44-A,TAAF,Single engine,Portland,OR,NA,0,NA,NA,NA,NA
"Duncan, Roger B.",Duncan,Roger B.,1945-08-04T00:00:00Z,2nd Lt,SE-45-E,TAAF,Single engine,St. Louis,MO,NA,0,NA,NA,NA,NA
"Dungill, Harry W.",Dungill,Harry W.,1943-09-30T00:00:00Z,2nd Lt,CL-43-1,TAAF,Liaison pilot,Chicago,IL,NA,0,NA,NA,NA,NA
"Dunlap, Alwayne M.",Dunlap,Alwayne M.,1943-03-25T00:00:00Z,2nd Lt,SE-43-C,TAAF,Single engine,Washington,DC,NA,0,NA,NA,NA,https://cafriseabove.org/alwayne-m-dunlap/
"Dunn, Charles",Dunn,Charles,1943-09-30T00:00:00Z,2nd Lt,CL-43-1,TAAF,Liaison pilot,Dallas County,AL,NA,0,NA,NA,NA,NA
"Dunne, Charles A.",Dunne,Charles A.,1943-08-30T00:00:00Z,2nd Lt,SE-43-H,TAAF,Single engine,Atlantic City,NJ,NA,0,NA,NA,NA,NA
"Eagleson, Wilson V.",Eagleson,Wilson V.,1943-04-29T00:00:00Z,2nd Lt,SE-43-D,TAAF,Single engine,Bloomington,IL,"Downed 1 Fw-190 on January 27, 1944; Downed 1 Fw-190 on February 7, 1944",2,NA,NA,NA,https://cafriseabove.org/wilson-vash-swampy-eagleson-ii/
"Echols, Julius P.",Echols,Julius P.,1945-10-16T00:00:00Z,Flight Officer,TE-45-G,TAAF,Twin engine,Chicago,IL,NA,0,NA,NA,NA,NA
"Edwards, James E., Jr.",Edwards,"James E., Jr.",1944-12-28T00:00:00Z,Flight Officer,TE-44-J,TAAF,Twin engine,Wenatchee,WA,NA,0,NA,NA,NA,NA
"Edwards, Jerome T.",Edwards,Jerome T.,1942-11-10T00:00:00Z,2nd Lt,SE-42-J,TAAF,Single engine,Steubenville,OH,NA,0,NA,NA,NA,https://cafriseabove.org/jerome-thompson-edwards/
"Edwards, John E.",Edwards,John E.,1944-08-04T00:00:00Z,2nd Lt,SE-44-G,TAAF,Single engine,Steubenville,OH,"Downed 2 Me-109s on April 1, 1945",2,NA,NA,NA,https://cafriseabove.org/john-ellis-edwards/
"Edwards, William H.",Edwards,William H.,1944-08-04T00:00:00Z,Flight Officer,SE-44-G,TAAF,Single engine,Birmingham,AL,NA,0,NA,NA,NA,NA
"Elam, Charles B.",Elam,Charles B.,1943-12-07T00:00:00Z,2nd Lt,CL-43-3,TAAF,Liaison pilot,Washington,DC,NA,0,NA,NA,NA,NA
"Elfalan, Jose R.",Elfalan,Jose R.,1945-11-20T00:00:00Z,2nd Lt,TE-45-H,TAAF,Twin engine,Prospect,KY,NA,0,NA,NA,NA,NA
"Ellington, Spurgeon N.",Ellington,Spurgeon N.,1943-05-28T00:00:00Z,2nd Lt,SE-43-E,TAAF,Single engine,Winston-Salem,NC,NA,0,NA,NA,NA,https://cafriseabove.org/spurgeon-neal-ellington/
"Ellis, Carl F.",Ellis,Carl F.,1944-06-27T00:00:00Z,2nd Lt,SE-44-F,TAAF,Single engine,Chicago,IL,NA,0,NA,NA,NA,NA
"Ellis, Everett",Ellis,Everett,1946-01-29T00:00:00Z,2nd Lt,TE-45-I,TAAF,Twin engine,Baltimore,MD,NA,0,NA,NA,NA,NA
"Ellis, William B.",Ellis,William B.,1943-07-28T00:00:00Z,2nd Lt,SE-43-G,TAAF,Single engine,Washington,DC,NA,0,NA,NA,NA,NA
"Elsberry, Joseph D.",Elsberry,Joseph D.,1942-09-06T00:00:00Z,2nd Lt,SE-42-H,TAAF,Single engine,Langston,OK,"Downed 3 Fw-190s on July 12, 1944; Downed 1 Me-109 on July 20, 1944",4,NA,NA,NA,https://cafriseabove.org/joseph-d-elsberry/
"Eskridge, Chauncey",Eskridge,Chauncey,1943-09-30T00:00:00Z,1st Lt,CL-43-1,TAAF,Liaison pilot,Homewood,PA,NA,0,NA,NA,NA,NA
"Esters, Maurice V.",Esters,Maurice V.,1943-05-28T00:00:00Z,2nd Lt,SE-43-E,TAAF,Single engine,Webster City,IA,NA,0,NA,NA,NA,https://cafriseabove.org/maurice-v-esters/
"Ewing, James",Ewing,James,1944-06-27T00:00:00Z,Flight Officer,TE-44-F,TAAF,Twin engine,Helena,AR,NA,0,NA,NA,NA,NA
"Exum, Herven P.",Exum,Herven P.,1944-10-16T00:00:00Z,Flight Officer,TE-44-I-1,TAAF,Twin engine,Wilson,NJ,NA,0,NA,NA,NA,NA
"Farley, Gaines C.",Farley,Gaines C.,1943-10-22T00:00:00Z,1st Lt,CL-43-2,TAAF,Liaison pilot,Paducah,KY,NA,0,NA,NA,NA,NA
"Farley, William H.",Farley,William H.,1944-02-08T00:00:00Z,2nd Lt,TE-44-B,TAAF,Twin engine,Savannah,GA,NA,0,NA,NA,NA,NA
"Faulkner, William J.",Faulkner,William J.,1943-04-29T00:00:00Z,2nd Lt,SE-43-D,TAAF,Single engine,Nashville,TN,NA,0,NA,NA,NA,https://cafriseabove.org/william-john-faulkner-jr/
"Fears, Henry T.",Fears,Henry T.,1944-11-20T00:00:00Z,Flight Officer,TE-44-I,TAAF,Twin engine,Muncie,IN,NA,0,NA,NA,NA,NA
"Finley, Clarence C.",Finley,Clarence C.,1945-03-11T00:00:00Z,2nd Lt,SE-45-A,TAAF,Single engine,Chicago,IL,NA,0,NA,NA,NA,NA
"Finley, Otis E., Jr.",Finley,"Otis E., Jr.",1945-09-08T00:00:00Z,Flight Officer,TE-45-F,TAAF,Twin engine,St. Louis,MO,NA,0,NA,NA,NA,NA
"Fischer, James H.",Fischer,James H.,1944-08-04T00:00:00Z,Flight Officer,SE-44-G,TAAF,Single engine,Stoughton,MA,"Downed 1 Fw-190 on April 1, 1945",1,NA,NA,NA,NA
"Flake, Thomas M.",Flake,Thomas M.,1944-12-28T00:00:00Z,Flight Officer,TE-44-J,TAAF,Twin engine,Detroit,MI,NA,0,NA,NA,NA,NA
"Fleming, Rutledge H., Jr.",Fleming,"Rutledge H., Jr.",1945-03-11T00:00:00Z,Flight Officer,TE-45-A,TAAF,Twin engine,Nashville,TN,NA,0,NA,NA,NA,NA
"Fletcher, Henry F.",Fletcher,Henry F.,1943-11-03T00:00:00Z,2nd Lt,SE-43-J,TAAF,Single engine,San Antonio,TX,NA,0,NA,NA,NA,NA
"Ford, Harry E., Jr.",Ford,"Harry E., Jr.",1945-08-04T00:00:00Z,Flight Officer,TE-45-E,TAAF,Twin engine,Detroit,MI,NA,0,NA,NA,NA,NA
"Foreman, Samuel J.",Foreman,Samuel J.,1944-05-23T00:00:00Z,Flight Officer,SE-44-E,TAAF,Single engine,Tulsa,OK,NA,0,NA,NA,NA,NA
"Foreman, Walter T.",Foreman,Walter T.,1943-04-29T00:00:00Z,2nd Lt,SE-43-D,TAAF,Single engine,Washington,DC,NA,0,NA,NA,NA,NA
"Francis, William V.",Francis,William V.,1945-06-27T00:00:00Z,Flight Officer,SE-45-D,TAAF,Single engine,Philadelphia,PA,NA,0,NA,NA,NA,NA
"Franklin, Earl N.",Franklin,Earl N.,1945-05-23T00:00:00Z,2nd Lt,SE-45-C,TAAF,Single engine,Joliet,IL,NA,0,NA,NA,NA,NA
"Franklin, George E.",Franklin,George E.,1944-09-08T00:00:00Z,2nd Lt,SE-44-H,TAAF,Single engine,Joliet,IL,NA,0,NA,NA,NA,NA
"Franklin, John M.",Franklin,John M.,1943-10-22T00:00:00Z,2nd Lt,CL-43-2,TAAF,Liaison pilot,Toledo,OH,NA,0,NA,NA,NA,NA
"Freeman, Eldridge E.",Freeman,Eldridge E.,1945-04-15T00:00:00Z,Flight Officer,TE-45-B,TAAF,Twin engine,Chicago,IL,NA,0,NA,NA,NA,NA
"Friend, Robert J.",Friend,Robert J.,1943-12-05T00:00:00Z,2nd Lt,SE-43-K,TAAF,Single engine,New York,NY,NA,0,NA,NA,NA,NA
"Fullbright, Stewart B., Jr.",Fullbright,"Stewart B., Jr.",1943-12-05T00:00:00Z,2nd Lt,TE-43-K,TAAF,Twin engine,Springfield,MO,NA,0,NA,NA,NA,NA
"Fuller, William A., Jr.",Fuller,"William A., Jr.",1945-08-04T00:00:00Z,Flight Officer,SE-45-E,TAAF,Single engine,Detroit,MI,NA,0,NA,NA,NA,NA
"Fuller, Willie",Fuller,Willie,1942-08-05T00:00:00Z,2nd Lt,SE-42-G,TAAF,Single engine,Tarboro,NC,NA,0,NA,NA,NA,NA
"Funderburg, Fredrick D.",Funderburg,Fredrick D.,1943-12-05T00:00:00Z,2nd Lt,SE-43-K,TAAF,Single engine,Monticello,GA,"Downed 2 Me-109s on June 9, 1944",2,NA,NA,NA,NA
