row_n,id,name,gender,species,birthday,personality,song,phrase,full_id,url
229,joey,Joey,male,duck,1-3,lazy,K.K. Calypso,bleeeeeck,villager-joey,https://villagerdb.com/images/villagers/thumb/joey.95ab32e.png
231,judy,Judy,female,cub,3-10,snooty,NA,myohmy,villager-judy,https://villagerdb.com/images/villagers/thumb/judy.15d7848.png
232,julia,Julia,female,ostrich,7-31,snooty,K.K. Sonata,dahling,villager-julia,https://villagerdb.com/images/villagers/thumb/julia.8d164d6.png
233,julian,Julian,male,horse,3-15,smug,Stale Cupcakes,glitter,villager-julian,https://villagerdb.com/images/villagers/thumb/julian.f543df6.png
234,june,June,female,cub,5-21,normal,K.K. Aria,rainbow,villager-june,https://villagerdb.com/images/villagers/thumb/june.6533f6c.png
235,kabuki,Kabuki,male,cat,11-29,cranky,K.K. Folk,meooo-OH,villager-kabuki,https://villagerdb.com/images/villagers/thumb/kabuki.9a33c57.png
236,katt,Katt,female,cat,4-27,uchi,Surfin' K.K.,purrty,villager-katt,https://villagerdb.com/images/villagers/thumb/katt.5415f25.png
237,keaton,Keaton,male,eagle,6-1,smug,K.K. Moody,wingo,villager-keaton,https://villagerdb.com/images/villagers/thumb/keaton.7ac65f4.png
238,ken,Ken,male,chicken,12-23,smug,Comrade K.K.,no doubt,villager-ken,https://villagerdb.com/images/villagers/thumb/ken.b0f94f1.png
239,ketchup,Ketchup,female,duck,7-27,peppy,Neapolitan,bitty,villager-ketchup,https://villagerdb.com/images/villagers/thumb/ketchup.6a5bfd7.png
240,kevin,Kevin,male,pig,4-26,jock,K.K. Island,weeweewee,villager-kevin,https://villagerdb.com/images/villagers/thumb/kevin.66db909.png
241,kid-cat,Kid Cat,male,cat,8-1,jock,Go K.K. Rider!,psst,villager-kid-cat,https://villagerdb.com/images/villagers/thumb/kid-cat.b237735.png
242,kidd,Kidd,male,goat,6-28,smug,Comrade K.K.,wut,villager-kidd,https://villagerdb.com/images/villagers/thumb/kidd.563ba6f.png
243,kiki,Kiki,female,cat,10-8,normal,K.K. Country,kitty cat,villager-kiki,https://villagerdb.com/images/villagers/thumb/kiki.d16a153.png
245,kitt,Kitt,female,kangaroo,10-11,normal,K.K. Chorale,child,villager-kitt,https://villagerdb.com/images/villagers/thumb/kitt.7513f97.png
246,kitty,Kitty,female,cat,2-15,snooty,K.K. Etude,mrowrr,villager-kitty,https://villagerdb.com/images/villagers/thumb/kitty.31a383a.png
247,klaus,Klaus,male,bear,3-31,smug,K.K. Milonga,strudel,villager-klaus,https://villagerdb.com/images/villagers/thumb/klaus.e573b88.png
248,knox,Knox,male,chicken,11-23,cranky,K.K. Aria,cluckling,villager-knox,https://villagerdb.com/images/villagers/thumb/knox.f98c3e4.png
249,kody,Kody,male,cub,9-28,jock,K.K. Country,okey-dokey,villager-kody,https://villagerdb.com/images/villagers/thumb/kody.f432e9f.png
251,kyle,Kyle,male,wolf,12-6,smug,K.K. Adventure,alpha,villager-kyle,https://villagerdb.com/images/villagers/thumb/kyle.5b0c928.png
253,leonardo,Leonardo,male,tiger,5-15,jock,K.K. Safari,flexin,villager-leonardo,https://villagerdb.com/images/villagers/thumb/leonardo.c951fa9.png
254,leopold,Leopold,male,lion,8-14,smug,Mr. K.K.,lion cub,villager-leopold,https://villagerdb.com/images/villagers/thumb/leopold.dcfb481.png
255,lily,Lily,female,frog,2-4,normal,K.K. Salsa,toady,villager-lily,https://villagerdb.com/images/villagers/thumb/lily.f1d9d64.png
256,limberg,Limberg,male,mouse,10-17,cranky,K.K. Folk,squinky,villager-limberg,https://villagerdb.com/images/villagers/thumb/limberg.b416b19.png
257,lionel,Lionel,male,lion,7-29,smug,K.K. Moody,precisely,villager-lionel,https://villagerdb.com/images/villagers/thumb/lionel.b762c09.png
259,lobo,Lobo,male,wolf,11-5,cranky,K.K. Safari,ah-rooooo,villager-lobo,https://villagerdb.com/images/villagers/thumb/lobo.554f514.png
260,lolly,Lolly,female,cat,3-27,normal,K.K. Stroll,bonbon,villager-lolly,https://villagerdb.com/images/villagers/thumb/lolly.1e747aa.png
261,lopez,Lopez,male,deer,8-20,smug,K.K. Milonga,buckaroo,villager-lopez,https://villagerdb.com/images/villagers/thumb/lopez.23078f7.png
262,louie,Louie,male,gorilla,3-26,jock,NA,toots,villager-louie,https://villagerdb.com/images/villagers/thumb/louie.dd1948b.png
263,lucha,Lucha,male,bird,12-12,smug,K.K. Western,cacaw,villager-lucha,https://villagerdb.com/images/villagers/thumb/lucha.9438a3c.png
264,lucky,Lucky,male,dog,11-4,lazy,K.K. Dirge,rrr-owch,villager-lucky,https://villagerdb.com/images/villagers/thumb/lucky.69c97f6.png
265,lucy,Lucy,female,pig,6-2,normal,Comrade K.K.,snoooink,villager-lucy,https://villagerdb.com/images/villagers/thumb/lucy.beed29d.png
268,lyman,Lyman,male,koala,10-12,jock,K.K. Island,chips,villager-lyman,https://villagerdb.com/images/villagers/thumb/lyman.0308825.png
269,mac,Mac,male,dog,11-11,jock,My Place,woo woof,villager-mac,https://villagerdb.com/images/villagers/thumb/mac.bedbc23.png
271,maddie,Maddie,female,dog,1-11,peppy,Forest Life,yippee,villager-maddie,https://villagerdb.com/images/villagers/thumb/maddie.b131964.png
272,maelle,Maelle,female,duck,4-8,snooty,Cafe K.K.,duckling,villager-maelle,https://villagerdb.com/images/villagers/thumb/maelle.21bfc2e.png
273,maggie,Maggie,female,pig,9-3,normal,Forest Life,schep,villager-maggie,https://villagerdb.com/images/villagers/thumb/maggie.1235270.png
274,mallary,Mallary,female,duck,11-17,snooty,K.K. Bossa,quackpth,villager-mallary,https://villagerdb.com/images/villagers/thumb/mallary.e58de55.png
275,maple,Maple,female,cub,6-15,normal,I Love You,honey,villager-maple,https://villagerdb.com/images/villagers/thumb/maple.d71f5a4.png
276,marcel,Marcel,male,dog,12-31,lazy,Comrade K.K.,non,villager-marcel,https://villagerdb.com/images/villagers/thumb/marcel.1e273b7.png
277,marcie,Marcie,female,kangaroo,5-31,normal,K.K. Aria,pouches,villager-marcie,https://villagerdb.com/images/villagers/thumb/marcie.bb7b5fc.png
279,margie,Margie,female,elephant,1-28,normal,K.K. Bossa,tootie,villager-margie,https://villagerdb.com/images/villagers/thumb/margie.a27a847.png
280,marina,Marina,female,octopus,6-26,normal,Soulful K.K.,blurp,villager-marina,https://villagerdb.com/images/villagers/thumb/marina.ec5975c.png
281,marshal,Marshal,male,squirrel,9-29,smug,Space K.K.,sulky,villager-marshal,https://villagerdb.com/images/villagers/thumb/marshal.20eb375.png
284,mathilda,Mathilda,female,kangaroo,11-12,snooty,K.K. Ragtime,wee baby,villager-mathilda,https://villagerdb.com/images/villagers/thumb/mathilda.e8c1348.png
286,megan,Megan,female,bear,3-13,normal,NA,sundae,villager-megan,https://villagerdb.com/images/villagers/thumb/megan.38b7ad3.png
288,melba,Melba,female,koala,4-12,normal,K.K. Ragtime,toasty,villager-melba,https://villagerdb.com/images/villagers/thumb/melba.613e950.png
290,merengue,Merengue,female,rhino,3-19,normal,K.K. Stroll,shortcake,villager-merengue,https://villagerdb.com/images/villagers/thumb/merengue.6609ed1.png
291,merry,Merry,female,cat,6-29,peppy,DJ K.K.,mweee,villager-merry,https://villagerdb.com/images/villagers/thumb/merry.1cbdb85.png
292,midge,Midge,female,bird,3-12,normal,K.K. Lullaby,tweedledee,villager-midge,https://villagerdb.com/images/villagers/thumb/midge.037c656.png
293,mint,Mint,female,squirrel,5-2,snooty,K.K. Soul,ahhhhhh,villager-mint,https://villagerdb.com/images/villagers/thumb/mint.bcc984a.png
294,mira,Mira,female,rabbit,7-6,uchi,K.K. Tango,cottontail,villager-mira,https://villagerdb.com/images/villagers/thumb/mira.c70e26c.png
295,miranda,Miranda,female,duck,4-23,snooty,K.K. Sonata,quackulous,villager-miranda,https://villagerdb.com/images/villagers/thumb/miranda.0990387.png
296,mitzi,Mitzi,female,cat,9-25,normal,K.K. Swing,mew,villager-mitzi,https://villagerdb.com/images/villagers/thumb/mitzi.9f8d610.png
297,moe,Moe,male,cat,1-12,lazy,K.K. Ragtime,myawn,villager-moe,https://villagerdb.com/images/villagers/thumb/moe.e759f9f.png
298,molly,Molly,female,duck,3-7,normal,K.K. Ballad,quackidee,villager-molly,https://villagerdb.com/images/villagers/thumb/molly.627e58d.png
299,monique,Monique,female,cat,9-30,snooty,K.K. Swing,pffffft,villager-monique,https://villagerdb.com/images/villagers/thumb/monique.0cd6905.png
300,monty,Monty,male,monkey,12-7,cranky,Pondering,g'tang,villager-monty,https://villagerdb.com/images/villagers/thumb/monty.52ac3da.png
301,moose,Moose,male,mouse,9-13,jock,Agent K.K.,shorty,villager-moose,https://villagerdb.com/images/villagers/thumb/moose.df04678.png
302,mott,Mott,male,lion,7-10,jock,Marine Song 2001,cagey,villager-mott,https://villagerdb.com/images/villagers/thumb/mott.524604c.png
303,muffy,Muffy,female,sheep,2-14,uchi,K.K. Sonata,nightshade,villager-muffy,https://villagerdb.com/images/villagers/thumb/muffy.1497c92.png
304,murphy,Murphy,male,cub,12-29,cranky,Pondering,laddie,villager-murphy,https://villagerdb.com/images/villagers/thumb/murphy.b159459.png
305,nan,Nan,female,goat,8-24,normal,K.K. Etude,kid,villager-nan,https://villagerdb.com/images/villagers/thumb/nan.f605366.png
306,nana,Nana,female,monkey,8-23,normal,K.K. Dixie,po po,villager-nana,https://villagerdb.com/images/villagers/thumb/nana.f371d78.png
307,naomi,Naomi,female,cow,2-28,snooty,K.K. Milonga,moolah,villager-naomi,https://villagerdb.com/images/villagers/thumb/naomi.e117ad3.png
308,nate,Nate,male,bear,8-16,lazy,K.K. Lullaby,yawwwn,villager-nate,https://villagerdb.com/images/villagers/thumb/nate.24b3176.png
309,nibbles,Nibbles,female,squirrel,7-19,peppy,K.K. Technopop,niblet,villager-nibbles,https://villagerdb.com/images/villagers/thumb/nibbles.29299de.png
312,norma,Norma,female,cow,9-20,normal,Mountain Song,hoof hoo,villager-norma,https://villagerdb.com/images/villagers/thumb/norma.7543c8a.png
314,octavian,Octavian,male,octopus,9-20,cranky,K.K. D & B,sucker,villager-octavian,https://villagerdb.com/images/villagers/thumb/octavian.aadabe9.png
315,ohare,O'Hare,male,rabbit,7-24,smug,K.K. Island,amigo,villager-ohare,https://villagerdb.com/images/villagers/thumb/ohare.22607f6.png
316,olaf,Olaf,male,anteater,5-19,smug,K.K. Milonga,whiffa,villager-olaf,https://villagerdb.com/images/villagers/thumb/olaf.e6b3f3b.png
317,olive,Olive,female,cub,7-12,normal,Cafe K.K.,sweet pea,villager-olive,https://villagerdb.com/images/villagers/thumb/olive.d5fcb11.png
318,olivia,Olivia,female,cat,2-3,snooty,Two Days Ago,purrr,villager-olivia,https://villagerdb.com/images/villagers/thumb/olivia.d2469ec.png
319,opal,Opal,female,elephant,1-20,snooty,Forest Life,snoot,villager-opal,https://villagerdb.com/images/villagers/thumb/opal.789783f.png
322,ozzie,Ozzie,male,koala,5-7,lazy,Mr. K.K.,ol' bear,villager-ozzie,https://villagerdb.com/images/villagers/thumb/ozzie.9b9c0d9.png
323,pancetti,Pancetti,female,pig,11-14,snooty,K.K. Fusion,sooey,villager-pancetti,https://villagerdb.com/images/villagers/thumb/pancetti.71e43d2.png
324,pango,Pango,female,anteater,11-9,peppy,K.K. Casbah,snooooof,villager-pango,https://villagerdb.com/images/villagers/thumb/pango.f2928a2.png
325,paolo,Paolo,male,elephant,5-5,lazy,NA,pal,villager-paolo,https://villagerdb.com/images/villagers/thumb/paolo.a1d990d.png
326,papi,Papi,male,horse,1-10,lazy,Hypno K.K.,haaay,villager-papi,https://villagerdb.com/images/villagers/thumb/papi.3ab462d.png
327,pashmina,Pashmina,female,goat,12-26,uchi,K.K. Tango,kidders,villager-pashmina,https://villagerdb.com/images/villagers/thumb/pashmina.8916368.png
328,pate,Pate,female,duck,2-23,peppy,K.K. Steppe,quackle,villager-pate,https://villagerdb.com/images/villagers/thumb/pate.c60838c.png
330,patty,Patty,female,cow,5-10,peppy,K.K. Calypso,how now,villager-patty,https://villagerdb.com/images/villagers/thumb/patty.3e17f7f.png
331,paula,Paula,female,bear,3-22,uchi,K.K. Dixie,yodelay,villager-paula,https://villagerdb.com/images/villagers/thumb/paula.563ba81.png
332,peaches,Peaches,female,horse,11-28,normal,K.K. Song,neighbor,villager-peaches,https://villagerdb.com/images/villagers/thumb/peaches.15a02fe.png
333,peanut,Peanut,female,squirrel,6-8,peppy,K.K. Salsa,slacker,villager-peanut,https://villagerdb.com/images/villagers/thumb/peanut.0d566a2.png
334,pecan,Pecan,female,squirrel,9-10,snooty,Cafe K.K.,chipmunk,villager-pecan,https://villagerdb.com/images/villagers/thumb/pecan.0846a25.png
335,peck,Peck,male,bird,7-25,jock,Forest Life,crunch,villager-peck,https://villagerdb.com/images/villagers/thumb/peck.57ff822.png
336,peewee,Peewee,male,gorilla,9-11,cranky,K.K. Rally,li'l dude,villager-peewee,https://villagerdb.com/images/villagers/thumb/peewee.532d8d7.png
337,peggy,Peggy,female,pig,5-23,peppy,K.K. Bossa,shweetie,villager-peggy,https://villagerdb.com/images/villagers/thumb/peggy.20867ae.png
338,pekoe,Pekoe,female,cub,5-18,normal,Imperial K.K.,bud,villager-pekoe,https://villagerdb.com/images/villagers/thumb/pekoe.49ceeeb.png
339,penelope,Penelope,female,mouse,2-5,peppy,Bubblegum K.K.,oh bow,villager-penelope,https://villagerdb.com/images/villagers/thumb/penelope.1e4f50e.png
343,phil,Phil,male,ostrich,11-27,smug,Steep Hill,hurk,villager-phil,https://villagerdb.com/images/villagers/thumb/phil.c15f9ba.png
344,phoebe,Phoebe,female,ostrich,4-22,uchi,K.K. Flamenco,sparky,villager-phoebe,https://villagerdb.com/images/villagers/thumb/phoebe.4f6b445.png
345,pierce,Pierce,male,eagle,1-8,jock,K.K. Etude,hawkeye,villager-pierce,https://villagerdb.com/images/villagers/thumb/pierce.80c98ce.png
347,pietro,Pietro,male,sheep,4-19,smug,K.K. Parade,honk honk,villager-pietro,https://villagerdb.com/images/villagers/thumb/pietro.67bb378.png
349,pinky,Pinky,female,bear,9-9,peppy,Imperial K.K.,cubbie,villager-pinky,https://villagerdb.com/images/villagers/thumb/pinky.9d28acc.png
350,piper,Piper,female,bird,4-18,peppy,K.K. Synth,chickadee,villager-piper,https://villagerdb.com/images/villagers/thumb/piper.fdb2a00.png
351,pippy,Pippy,female,rabbit,6-14,peppy,K.K. Mambo,li'l hare,villager-pippy,https://villagerdb.com/images/villagers/thumb/pippy.d015ada.png
353,plucky,Plucky,female,chicken,10-12,uchi,K.K. Island,chicky poo,villager-plucky,https://villagerdb.com/images/villagers/thumb/plucky.bc004cf.png
355,pompom,Pompom,female,duck,2-11,peppy,K.K. Jazz,rah rah,villager-pompom,https://villagerdb.com/images/villagers/thumb/pompom.2f33190.png
356,poncho,Poncho,male,cub,1-2,jock,K.K. Condor,li'l bear,villager-poncho,https://villagerdb.com/images/villagers/thumb/poncho.ebb4258.png
357,poppy,Poppy,female,squirrel,8-5,normal,K.K. Lullaby,nutty,villager-poppy,https://villagerdb.com/images/villagers/thumb/poppy.6288fcd.png
358,portia,Portia,female,dog,10-25,snooty,Cafe K.K.,ruffian,villager-portia,https://villagerdb.com/images/villagers/thumb/portia.6028662.png
359,prince,Prince,male,frog,7-21,lazy,To the Edge,burrup,villager-prince,https://villagerdb.com/images/villagers/thumb/prince.8fd20ee.png
360,puck,Puck,male,penguin,2-21,lazy,K.K. Casbah,brrrrrrrrr,villager-puck,https://villagerdb.com/images/villagers/thumb/puck.eaefc0e.png
361,puddles,Puddles,female,frog,1-13,peppy,K.K. Ballad,splish,villager-puddles,https://villagerdb.com/images/villagers/thumb/puddles.d9849f2.png
362,pudge,Pudge,male,cub,6-11,lazy,Rockin' K.K.,pudgy,villager-pudge,https://villagerdb.com/images/villagers/thumb/pudge.874ac11.png
363,punchy,Punchy,male,cat,4-11,lazy,K.K. Love Song,mrmpht,villager-punchy,https://villagerdb.com/images/villagers/thumb/punchy.0af8574.png
364,purrl,Purrl,female,cat,5-29,snooty,K.K. Swing,kitten,villager-purrl,https://villagerdb.com/images/villagers/thumb/purrl.86e9b24.png
365,queenie,Queenie,female,ostrich,11-13,snooty,K.K. Gumbo,chicken,villager-queenie,https://villagerdb.com/images/villagers/thumb/queenie.0cb590d.png
367,quillson,Quillson,male,duck,12-22,smug,K.K. Groove,ridukulous,villager-quillson,https://villagerdb.com/images/villagers/thumb/quillson.19246b2.png
368,raddle,Raddle,male,frog,6-6,lazy,Mr. K.K.,aaach,villager-raddle,https://villagerdb.com/images/villagers/thumb/raddle.69151f4.png
369,rasher,Rasher,male,pig,4-7,cranky,K.K. Faire,swine,villager-rasher,https://villagerdb.com/images/villagers/thumb/rasher.8b931b4.png
370,raymond,Raymond,male,cat,10-1,smug,NA,crisp,villager-raymond,https://villagerdb.com/images/villagers/thumb/raymond.0346dd7.png
371,renee,Renée,female,rhino,5-28,uchi,Surfin' K.K.,yo yo yo,villager-renee,https://villagerdb.com/images/villagers/thumb/renee.95d3037.png
372,reneigh,Reneigh,female,horse,6-4,uchi,NA,ayup yup,villager-reneigh,https://villagerdb.com/images/villagers/thumb/reneigh.1e4ac2f.png
373,rex,Rex,male,lion,7-24,lazy,Wandering,cool cat,villager-rex,https://villagerdb.com/images/villagers/thumb/rex.33d6f95.png
375,rhonda,Rhonda,female,rhino,1-24,normal,K.K. Ballad,bigfoot,villager-rhonda,https://villagerdb.com/images/villagers/thumb/rhonda.37db65d.png
376,ribbot,Ribbot,male,frog,2-13,jock,Go K.K. Rider!,zzrrbbitt,villager-ribbot,https://villagerdb.com/images/villagers/thumb/ribbot.3e41b01.png
377,ricky,Ricky,male,squirrel,9-14,cranky,K.K. Western,nutcase,villager-ricky,https://villagerdb.com/images/villagers/thumb/ricky.f06d6eb.png
380,rizzo,Rizzo,male,mouse,1-17,cranky,K.K. Lament,squee,villager-rizzo,https://villagerdb.com/images/villagers/thumb/rizzo.70b6451.png
381,roald,Roald,male,penguin,1-5,jock,K.K. Parade,b-b-buddy,villager-roald,https://villagerdb.com/images/villagers/thumb/roald.9f2e8ea.png
382,robin,Robin,female,bird,12-4,snooty,K.K. Bossa,la-di-da,villager-robin,https://villagerdb.com/images/villagers/thumb/robin.e227ada.png
383,rocco,Rocco,male,hippo,8-18,cranky,K.K. Lament,hippie,villager-rocco,https://villagerdb.com/images/villagers/thumb/rocco.a5f436d.png
384,rocket,Rocket,female,gorilla,4-14,uchi,K.K. Adventure,vroom,villager-rocket,https://villagerdb.com/images/villagers/thumb/rocket.953ffae.png
385,rod,Rod,male,mouse,8-14,jock,K.K. March,ace,villager-rod,https://villagerdb.com/images/villagers/thumb/rod.12fb455.png
386,rodeo,Rodeo,male,bull,10-29,lazy,Stale Cupcakes,chaps,villager-rodeo,https://villagerdb.com/images/villagers/thumb/rodeo.9f41e8e.png
387,rodney,Rodney,male,hamster,11-10,smug,K.K. Rockabilly,le ham,villager-rodney,https://villagerdb.com/images/villagers/thumb/rodney.80895c1.png
388,rolf,Rolf,male,tiger,8-22,cranky,Spring Blossoms,grrrolf,villager-rolf,https://villagerdb.com/images/villagers/thumb/rolf.ed16f11.png
390,rooney,Rooney,male,kangaroo,12-1,cranky,K.K. Adventure,punches,villager-rooney,https://villagerdb.com/images/villagers/thumb/rooney.b1ff37f.png
391,rory,Rory,male,lion,8-7,jock,K.K. Faire,capital,villager-rory,https://villagerdb.com/images/villagers/thumb/rory.9100bc2.png
392,roscoe,Roscoe,male,horse,6-16,cranky,K.K. Dirge,nay,villager-roscoe,https://villagerdb.com/images/villagers/thumb/roscoe.8f5834d.png
393,rosie,Rosie,female,cat,2-27,peppy,Bubblegum K.K.,silly,villager-rosie,https://villagerdb.com/images/villagers/thumb/rosie.9a2d284.png
394,rowan,Rowan,male,tiger,8-26,jock,K.K. Love Song,mango,villager-rowan,https://villagerdb.com/images/villagers/thumb/rowan.2a79cf3.png
395,ruby,Ruby,female,rabbit,12-25,peppy,K.K. Ska,li'l ears,villager-ruby,https://villagerdb.com/images/villagers/thumb/ruby.e4c1b32.png
396,rudy,Rudy,male,cat,12-20,jock,The K. Funk,tokana,villager-rudy,https://villagerdb.com/images/villagers/thumb/rudy.801eac1.png
398,sally2,Sally,female,squirrel,6-19,normal,K.K. Fusion,nutmeg,villager-sally2,https://villagerdb.com/images/villagers/thumb/sally2.1a6be28.png
399,samson,Samson,male,mouse,7-5,jock,Go K.K. Rider!,pipsqueak,villager-samson,https://villagerdb.com/images/villagers/thumb/samson.4fc5d10.png
400,sandy,Sandy,female,ostrich,10-21,normal,K.K. Soul,speedy,villager-sandy,https://villagerdb.com/images/villagers/thumb/sandy.4f9d76d.png
401,savannah,Savannah,female,horse,1-25,normal,Forest Life,y'all,villager-savannah,https://villagerdb.com/images/villagers/thumb/savannah.35a330d.png
402,scoot,Scoot,male,duck,6-13,jock,Marine Song 2001,zip zoom,villager-scoot,https://villagerdb.com/images/villagers/thumb/scoot.edd4f2f.png
403,shari,Shari,female,monkey,4-10,uchi,K.K. Oasis,cheeky,villager-shari,https://villagerdb.com/images/villagers/thumb/shari.a94a2c9.png
404,sheldon,Sheldon,male,squirrel,2-26,jock,K.K. Folk,cardio,villager-sheldon,https://villagerdb.com/images/villagers/thumb/sheldon.b3d2b0b.png
405,shep,Shep,male,dog,11-24,smug,K.K. Reggae,baaa man,villager-shep,https://villagerdb.com/images/villagers/thumb/shep.1d78fc5.png
406,sherb,Sherb,male,goat,1-18,lazy,NA,bawwww,villager-sherb,https://villagerdb.com/images/villagers/thumb/sherb.484a0a7.png
409,simon,Simon,male,monkey,1-19,lazy,Forest Life,zzzook,villager-simon,https://villagerdb.com/images/villagers/thumb/simon.8037c14.png
410,skye,Skye,female,wolf,3-24,normal,Forest Life,airmail,villager-skye,https://villagerdb.com/images/villagers/thumb/skye.de505c2.png
411,sly,Sly,male,alligator,11-15,jock,K.K. Safari,hoo-rah,villager-sly,https://villagerdb.com/images/villagers/thumb/sly.f97e383.png
412,snake,Snake,male,rabbit,11-3,jock,K.K. Lullaby,bunyip,villager-snake,https://villagerdb.com/images/villagers/thumb/snake.bc75841.png
413,snooty,Snooty,female,anteater,10-24,snooty,Imperial K.K.,snifffff,villager-snooty,https://villagerdb.com/images/villagers/thumb/snooty.2cda89f.png
414,soleil,Soleil,female,hamster,8-9,snooty,K.K. Oasis,tarnation,villager-soleil,https://villagerdb.com/images/villagers/thumb/soleil.03c7862.png
415,sparro,Sparro,male,bird,11-20,jock,Steep Hill,like whoa,villager-sparro,https://villagerdb.com/images/villagers/thumb/sparro.25dc53d.png
416,spike,Spike,male,rhino,6-17,cranky,NA,punk,villager-spike,https://villagerdb.com/images/villagers/thumb/spike.de637c8.png
417,spork,Spork,male,pig,9-3,lazy,K.K. Mambo,snork,villager-spork,https://villagerdb.com/images/villagers/thumb/spork.d6a3325.png
418,sprinkle,Sprinkle,female,penguin,2-20,peppy,Cafe K.K.,frappe,villager-sprinkle,https://villagerdb.com/images/villagers/thumb/sprinkle.48e1484.png
419,sprocket,Sprocket,male,ostrich,12-1,jock,K.K. Metal,zort,villager-sprocket,https://villagerdb.com/images/villagers/thumb/sprocket.19ded4f.png
420,static,Static,male,squirrel,7-9,cranky,Surfin' K.K.,krzzt,villager-static,https://villagerdb.com/images/villagers/thumb/static.6a22c41.png
421,stella,Stella,female,sheep,4-9,normal,Only Me,baa-dabing,villager-stella,https://villagerdb.com/images/villagers/thumb/stella.5c98a2b.png
422,sterling,Sterling,male,eagle,12-11,jock,Lucky K.K.,skraaaaw,villager-sterling,https://villagerdb.com/images/villagers/thumb/sterling.fef732a.png
423,stinky,Stinky,male,cat,8-17,jock,Go K.K. Rider!,GAHHHH,villager-stinky,https://villagerdb.com/images/villagers/thumb/stinky.edeaa15.png
424,stitches,Stitches,male,cub,2-10,lazy,K.K. Lullaby,stuffin',villager-stitches,https://villagerdb.com/images/villagers/thumb/stitches.f89edfb.png
425,stu,Stu,male,bull,4-20,lazy,K.K. Rockabilly,moo-dude,villager-stu,https://villagerdb.com/images/villagers/thumb/stu.5a38b9e.png
429,sydney,Sydney,female,koala,6-21,normal,K.K. Country,sunshine,villager-sydney,https://villagerdb.com/images/villagers/thumb/sydney.c0a4570.png
430,sylvana,Sylvana,female,squirrel,10-22,normal,Spring Blossoms,hubbub,villager-sylvana,https://villagerdb.com/images/villagers/thumb/sylvana.d2191c0.png
431,sylvia,Sylvia,female,kangaroo,5-3,uchi,Rockin' K.K.,ne,villager-sylvia,https://villagerdb.com/images/villagers/thumb/sylvia.fc670df.png
432,t-bone,T-Bone,male,bull,5-20,cranky,K.K. Steppe,moocher,villager-t-bone,https://villagerdb.com/images/villagers/thumb/t-bone.9b88a71.png
433,tabby,Tabby,female,cat,8-13,peppy,To the Edge,me-WOW,villager-tabby,https://villagerdb.com/images/villagers/thumb/tabby.5b315a7.png
434,tad,Tad,male,frog,8-3,jock,Wandering,sluuuurp,villager-tad,https://villagerdb.com/images/villagers/thumb/tad.e747734.png
435,tammi,Tammi,female,monkey,4-2,peppy,Imperial K.K.,chimpy,villager-tammi,https://villagerdb.com/images/villagers/thumb/tammi.eb69d8d.png
436,tammy,Tammy,female,cub,6-23,uchi,K.K. Disco,ya heard,villager-tammy,https://villagerdb.com/images/villagers/thumb/tammy.785a9be.png
437,tangy,Tangy,female,cat,6-17,peppy,K.K. Island,reeeeOWR,villager-tangy,https://villagerdb.com/images/villagers/thumb/tangy.414df6e.png
438,tank,Tank,male,rhino,5-6,jock,K.K. Lament,kerPOW,villager-tank,https://villagerdb.com/images/villagers/thumb/tank.b6aa588.png
440,tasha,Tasha,female,squirrel,11-30,snooty,K.K. Disco,yaruwane,villager-tasha,https://villagerdb.com/images/villagers/thumb/tasha.1ad9dd3.png
441,teddy,Teddy,male,bear,9-26,jock,Mr. K.K.,grooof,villager-teddy,https://villagerdb.com/images/villagers/thumb/teddy.450e97f.png
442,tex,Tex,male,penguin,10-6,smug,K.K. Metal,picante,villager-tex,https://villagerdb.com/images/villagers/thumb/tex.eaa7fc2.png
443,tia,Tia,female,elephant,11-18,normal,K.K. Marathon,teacup,villager-tia,https://villagerdb.com/images/villagers/thumb/tia.91572fd.png
445,tiffany,Tiffany,female,rabbit,1-9,snooty,K.K. Rock,bun bun,villager-tiffany,https://villagerdb.com/images/villagers/thumb/tiffany.5a0c278.png
446,timbra,Timbra,female,sheep,10-21,snooty,K.K. Cruisin',pine nut,villager-timbra,https://villagerdb.com/images/villagers/thumb/timbra.c8f290e.png
447,tipper,Tipper,female,cow,8-25,snooty,Soulful K.K.,pushy,villager-tipper,https://villagerdb.com/images/villagers/thumb/tipper.71849cc.png
449,tom,Tom,male,cat,12-10,cranky,K.K. Rally,me-YOWZA,villager-tom,https://villagerdb.com/images/villagers/thumb/tom.4168bc1.png
450,truffles,Truffles,female,pig,7-28,peppy,Two Days Ago,snoutie,villager-truffles,https://villagerdb.com/images/villagers/thumb/truffles.a71716a.png
451,tucker,Tucker,male,elephant,9-7,lazy,K.K. Safari,fuzzers,villager-tucker,https://villagerdb.com/images/villagers/thumb/tucker.031fef0.png
452,tutu,Tutu,female,bear,9-15,peppy,K.K. Steppe,twinkles,villager-tutu,https://villagerdb.com/images/villagers/thumb/tutu.90d25cb.png
453,twiggy,Twiggy,female,bird,7-13,peppy,K.K. Calypso,cheepers,villager-twiggy,https://villagerdb.com/images/villagers/thumb/twiggy.ecce534.png
455,tybalt,Tybalt,male,tiger,8-19,jock,K.K. Salsa,grrRAH,villager-tybalt,https://villagerdb.com/images/villagers/thumb/tybalt.5786d93.png
456,ursala,Ursala,female,bear,1-16,uchi,K.K. Country,grooomph,villager-ursala,https://villagerdb.com/images/villagers/thumb/ursala.2c32065.png
