category,meta_cat,group_num,year,gross_inv_chain
Power,Total basic infrastructure,4,2014,151793.55
Power,Total basic infrastructure,4,2015,143451.547
Power,Total basic infrastructure,4,2016,145397.482
Power,Total basic infrastructure,4,2017,141926.901
Transportation,Total basic infrastructure,4,1947,32210.105000000003
Transportation,Total basic infrastructure,4,1948,34971.973
Transportation,Total basic infrastructure,4,1949,41007.674999999996
Transportation,Total basic infrastructure,4,1950,45614.369999999995
Transportation,Total basic infrastructure,4,1951,42613.880000000005
Transportation,Total basic infrastructure,4,1952,46124.40700000001
Transportation,Total basic infrastructure,4,1953,51869.899
Transportation,Total basic infrastructure,4,1954,61627.76499999999
Transportation,Total basic infrastructure,4,1955,65961.01999999999
Transportation,Total basic infrastructure,4,1956,66960.734
Transportation,Total basic infrastructure,4,1957,70418.043
Transportation,Total basic infrastructure,4,1958,78039.31999999999
Transportation,Total basic infrastructure,4,1959,81954.61800000002
Transportation,Total basic infrastructure,4,1960,81242.67199999999
Transportation,Total basic infrastructure,4,1961,86847
Transportation,Total basic infrastructure,4,1962,90185.22499999998
Transportation,Total basic infrastructure,4,1963,98080.46100000002
Transportation,Total basic infrastructure,4,1964,98273.80500000001
Transportation,Total basic infrastructure,4,1965,102688.896
Transportation,Total basic infrastructure,4,1966,109568.046
Transportation,Total basic infrastructure,4,1967,108992.032
Transportation,Total basic infrastructure,4,1968,112569.86400000002
Transportation,Total basic infrastructure,4,1969,106627.757
Transportation,Total basic infrastructure,4,1970,100967.54699999999
Transportation,Total basic infrastructure,4,1971,98497.868
Transportation,Total basic infrastructure,4,1972,95370.144
Transportation,Total basic infrastructure,4,1973,89948.881
Transportation,Total basic infrastructure,4,1974,80708.651
Transportation,Total basic infrastructure,4,1975,78631.648
Transportation,Total basic infrastructure,4,1976,78833.33499999999
Transportation,Total basic infrastructure,4,1977,79879.63699999999
Transportation,Total basic infrastructure,4,1978,90546.16000000002
Transportation,Total basic infrastructure,4,1979,99501.65699999998
Transportation,Total basic infrastructure,4,1980,93936.47200000001
Transportation,Total basic infrastructure,4,1981,81645.991
Transportation,Total basic infrastructure,4,1982,72900.86500000002
Transportation,Total basic infrastructure,4,1983,77312.82299999999
Transportation,Total basic infrastructure,4,1984,92704.59100000001
Transportation,Total basic infrastructure,4,1985,101561.35399999999
Transportation,Total basic infrastructure,4,1986,101924.831
Transportation,Total basic infrastructure,4,1987,102493.63699999999
Transportation,Total basic infrastructure,4,1988,108005.78099999999
Transportation,Total basic infrastructure,4,1989,108523.05900000001
Transportation,Total basic infrastructure,4,1990,116069.545
Transportation,Total basic infrastructure,4,1991,115416.58499999999
Transportation,Total basic infrastructure,4,1992,117516.41400000002
Transportation,Total basic infrastructure,4,1993,123648.82800000001
Transportation,Total basic infrastructure,4,1994,129841.18300000002
Transportation,Total basic infrastructure,4,1995,124398.579
Transportation,Total basic infrastructure,4,1996,126013.451
Transportation,Total basic infrastructure,4,1997,128376.318
Transportation,Total basic infrastructure,4,1998,133799.624
Transportation,Total basic infrastructure,4,1999,139566.66
Transportation,Total basic infrastructure,4,2000,147285.02300000002
Transportation,Total basic infrastructure,4,2001,154991.646
Transportation,Total basic infrastructure,4,2002,156091.042
Transportation,Total basic infrastructure,4,2003,153828.604
Transportation,Total basic infrastructure,4,2004,150703.689
Transportation,Total basic infrastructure,4,2005,142404.86800000002
Transportation,Total basic infrastructure,4,2006,140412.344
Transportation,Total basic infrastructure,4,2007,132542.927
Transportation,Total basic infrastructure,4,2008,127578.489
Transportation,Total basic infrastructure,4,2009,129582.066
Transportation,Total basic infrastructure,4,2010,128866.275
Transportation,Total basic infrastructure,4,2011,122568.69800000002
Transportation,Total basic infrastructure,4,2012,118974.99900000001
Transportation,Total basic infrastructure,4,2013,115695.3
Transportation,Total basic infrastructure,4,2014,120412.236
Transportation,Total basic infrastructure,4,2015,126876.588
Transportation,Total basic infrastructure,4,2016,128048.948
Transportation,Total basic infrastructure,4,2017,126262.12999999998
Private,Water supply,5,1947,197
Private,Water supply,5,1948,165
Private,Water supply,5,1949,201
Private,Water supply,5,1950,310
Private,Water supply,5,1951,155
Private,Water supply,5,1952,197
Private,Water supply,5,1953,280
Private,Water supply,5,1954,292
Private,Water supply,5,1955,381
Private,Water supply,5,1956,285
Private,Water supply,5,1957,421
Private,Water supply,5,1958,406
Private,Water supply,5,1959,445
Private,Water supply,5,1960,611
Private,Water supply,5,1961,543
Private,Water supply,5,1962,588
Private,Water supply,5,1963,645
Private,Water supply,5,1964,691
Private,Water supply,5,1965,830
Private,Water supply,5,1966,929
Private,Water supply,5,1967,841
Private,Water supply,5,1968,989
Private,Water supply,5,1969,1198
Private,Water supply,5,1970,1403
Private,Water supply,5,1971,1373
Private,Water supply,5,1972,1229
Private,Water supply,5,1973,1172
Private,Water supply,5,1974,1117
Private,Water supply,5,1975,1088
Private,Water supply,5,1976,1112
Private,Water supply,5,1977,1267
Private,Water supply,5,1978,1451
Private,Water supply,5,1979,1707
Private,Water supply,5,1980,1545
Private,Water supply,5,1981,1549
Private,Water supply,5,1982,1598
Private,Water supply,5,1983,1837
Private,Water supply,5,1984,2410
Private,Water supply,5,1985,3393
Private,Water supply,5,1986,2753
Private,Water supply,5,1987,3064
Private,Water supply,5,1988,2430
Private,Water supply,5,1989,2747
Private,Water supply,5,1990,3180
Private,Water supply,5,1991,3086
Private,Water supply,5,1992,3698
Private,Water supply,5,1993,3364
Private,Water supply,5,1994,2883
Private,Water supply,5,1995,3265
Private,Water supply,5,1996,2596
Private,Water supply,5,1997,2149
Private,Water supply,5,1998,2075
Private,Water supply,5,1999,1522
Private,Water supply,5,2000,2525
Private,Water supply,5,2001,1921
Private,Water supply,5,2002,1328
Private,Water supply,5,2003,1292
Private,Water supply,5,2004,1256
Private,Water supply,5,2005,927
Private,Water supply,5,2006,1260
Private,Water supply,5,2007,1281
Private,Water supply,5,2008,1023
Private,Water supply,5,2009,635
Private,Water supply,5,2010,1241
Private,Water supply,5,2011,944
Private,Water supply,5,2012,467
Private,Water supply,5,2013,729
Private,Water supply,5,2014,688
Private,Water supply,5,2015,632
Private,Water supply,5,2016,238
Private,Water supply,5,2017,209
S&L,Water supply,5,1947,2580.759
S&L,Water supply,5,1948,3243.864
S&L,Water supply,5,1949,3582.722
S&L,Water supply,5,1950,3566.751
S&L,Water supply,5,1951,4216.178
S&L,Water supply,5,1952,4146.481
S&L,Water supply,5,1953,4040.79
S&L,Water supply,5,1954,4513.771
S&L,Water supply,5,1955,5003.937
S&L,Water supply,5,1956,5682.127
S&L,Water supply,5,1957,5256.127
S&L,Water supply,5,1958,5027.298
S&L,Water supply,5,1959,5254.037
S&L,Water supply,5,1960,5545.006
S&L,Water supply,5,1961,6047.395
S&L,Water supply,5,1962,6191.103
S&L,Water supply,5,1963,7982.378
S&L,Water supply,5,1964,8752.166
S&L,Water supply,5,1965,11248.039
S&L,Water supply,5,1966,9264.273
S&L,Water supply,5,1967,10891.706
S&L,Water supply,5,1968,12446.391
S&L,Water supply,5,1969,10532.976
S&L,Water supply,5,1970,8152.656
S&L,Water supply,5,1971,6850.695
S&L,Water supply,5,1972,6899.594
S&L,Water supply,5,1973,6405.907
S&L,Water supply,5,1974,7113.801
S&L,Water supply,5,1975,8407.378
S&L,Water supply,5,1976,7738.887
S&L,Water supply,5,1977,6600.457
S&L,Water supply,5,1978,7920.651
S&L,Water supply,5,1979,8191.314
S&L,Water supply,5,1980,9392.735
S&L,Water supply,5,1981,8409.962
S&L,Water supply,5,1982,8560.41
S&L,Water supply,5,1983,7252.827
S&L,Water supply,5,1984,8529.104
S&L,Water supply,5,1985,9655.924
S&L,Water supply,5,1986,11200.219
S&L,Water supply,5,1987,12536.483
S&L,Water supply,5,1988,12191.536
S&L,Water supply,5,1989,12255.745
S&L,Water supply,5,1990,13432.616
S&L,Water supply,5,1991,13966.834
S&L,Water supply,5,1992,12257.693
S&L,Water supply,5,1993,10530.472
S&L,Water supply,5,1994,10597.503
S&L,Water supply,5,1995,10024.155
S&L,Water supply,5,1996,11996.58
S&L,Water supply,5,1997,13553.608
S&L,Water supply,5,1998,14511.344
S&L,Water supply,5,1999,15091.278
S&L,Water supply,5,2000,14633.966
S&L,Water supply,5,2001,15193.213
S&L,Water supply,5,2002,16664.153
S&L,Water supply,5,2003,17374.521
S&L,Water supply,5,2004,17182.551
S&L,Water supply,5,2005,16264.377
S&L,Water supply,5,2006,16426.402
S&L,Water supply,5,2007,16436.052
S&L,Water supply,5,2008,16297.461
S&L,Water supply,5,2009,16848.677
S&L,Water supply,5,2010,15840.227
S&L,Water supply,5,2011,14759.967
S&L,Water supply,5,2012,14254
S&L,Water supply,5,2013,14489.276
S&L,Water supply,5,2014,14182.423
S&L,Water supply,5,2015,14102.869
S&L,Water supply,5,2016,13761.904
S&L,Water supply,5,2017,13856.385
Private,Sewer and waste,6,1947,202
Private,Sewer and waste,6,1948,170
Private,Sewer and waste,6,1949,206
Private,Sewer and waste,6,1950,319
Private,Sewer and waste,6,1951,160
Private,Sewer and waste,6,1952,203
Private,Sewer and waste,6,1953,287
Private,Sewer and waste,6,1954,300
Private,Sewer and waste,6,1955,391
Private,Sewer and waste,6,1956,292
Private,Sewer and waste,6,1957,432
Private,Sewer and waste,6,1958,417
Private,Sewer and waste,6,1959,457
Private,Sewer and waste,6,1960,628
Private,Sewer and waste,6,1961,558
Private,Sewer and waste,6,1962,604
Private,Sewer and waste,6,1963,662
Private,Sewer and waste,6,1964,709
Private,Sewer and waste,6,1965,852
Private,Sewer and waste,6,1966,954
Private,Sewer and waste,6,1967,863
Private,Sewer and waste,6,1968,1016
Private,Sewer and waste,6,1969,1229
Private,Sewer and waste,6,1970,1440
Private,Sewer and waste,6,1971,1410
Private,Sewer and waste,6,1972,1261
Private,Sewer and waste,6,1973,1203
Private,Sewer and waste,6,1974,1146
Private,Sewer and waste,6,1975,1117
Private,Sewer and waste,6,1976,1141
Private,Sewer and waste,6,1977,1301
Private,Sewer and waste,6,1978,1490
Private,Sewer and waste,6,1979,1752
Private,Sewer and waste,6,1980,1586
Private,Sewer and waste,6,1981,1590
Private,Sewer and waste,6,1982,1640
Private,Sewer and waste,6,1983,1886
Private,Sewer and waste,6,1984,2475
Private,Sewer and waste,6,1985,3483
Private,Sewer and waste,6,1986,2826
Private,Sewer and waste,6,1987,3146
Private,Sewer and waste,6,1988,2495
Private,Sewer and waste,6,1989,2820
Private,Sewer and waste,6,1990,3264
Private,Sewer and waste,6,1991,3168
Private,Sewer and waste,6,1992,3796
Private,Sewer and waste,6,1993,3454
Private,Sewer and waste,6,1994,2960
Private,Sewer and waste,6,1995,3353
Private,Sewer and waste,6,1996,2665
Private,Sewer and waste,6,1997,2207
Private,Sewer and waste,6,1998,1272
Private,Sewer and waste,6,1999,1868
Private,Sewer and waste,6,2000,1769
Private,Sewer and waste,6,2001,1348
Private,Sewer and waste,6,2002,809
Private,Sewer and waste,6,2003,897
Private,Sewer and waste,6,2004,1009
Private,Sewer and waste,6,2005,672
Private,Sewer and waste,6,2006,792
Private,Sewer and waste,6,2007,993
Private,Sewer and waste,6,2008,1425
Private,Sewer and waste,6,2009,913
Private,Sewer and waste,6,2010,754
Private,Sewer and waste,6,2011,752
Private,Sewer and waste,6,2012,715
Private,Sewer and waste,6,2013,420
Private,Sewer and waste,6,2014,276
Private,Sewer and waste,6,2015,414
Private,Sewer and waste,6,2016,410
Private,Sewer and waste,6,2017,243
S&L,Sewer and waste,6,1947,3087.707
S&L,Sewer and waste,6,1948,4369.48
S&L,Sewer and waste,6,1949,5000.547
S&L,Sewer and waste,6,1950,5150.806
S&L,Sewer and waste,6,1951,5363.876
S&L,Sewer and waste,6,1952,5298.631
S&L,Sewer and waste,6,1953,6042.861
S&L,Sewer and waste,6,1954,6465.025
S&L,Sewer and waste,6,1955,6757.843
S&L,Sewer and waste,6,1956,7178.293
S&L,Sewer and waste,6,1957,7521.402
S&L,Sewer and waste,6,1958,7825.516
S&L,Sewer and waste,6,1959,9965.007
S&L,Sewer and waste,6,1960,9612.128
S&L,Sewer and waste,6,1961,9905.635
S&L,Sewer and waste,6,1962,11253.571
S&L,Sewer and waste,6,1963,9701.074
S&L,Sewer and waste,6,1964,13346.51
S&L,Sewer and waste,6,1965,11893.278
S&L,Sewer and waste,6,1966,12511.047
S&L,Sewer and waste,6,1967,9974.516
S&L,Sewer and waste,6,1968,13900.941
S&L,Sewer and waste,6,1969,11448.41
S&L,Sewer and waste,6,1970,12248.797
S&L,Sewer and waste,6,1971,13024.827
S&L,Sewer and waste,6,1972,12754.132
S&L,Sewer and waste,6,1973,14381.411
S&L,Sewer and waste,6,1974,17411.071
S&L,Sewer and waste,6,1975,16530.207
S&L,Sewer and waste,6,1976,17548.543
S&L,Sewer and waste,6,1977,15518.782
S&L,Sewer and waste,6,1978,18002.323
S&L,Sewer and waste,6,1979,17703.311
S&L,Sewer and waste,6,1980,19033.443
S&L,Sewer and waste,6,1981,15804.095
S&L,Sewer and waste,6,1982,14589.039
S&L,Sewer and waste,6,1983,12674.071
S&L,Sewer and waste,6,1984,14460.422
S&L,Sewer and waste,6,1985,14470.297
S&L,Sewer and waste,6,1986,15987.839
S&L,Sewer and waste,6,1987,18738.71
S&L,Sewer and waste,6,1988,19085.458
S&L,Sewer and waste,6,1989,18477.405
S&L,Sewer and waste,6,1990,19334.175
S&L,Sewer and waste,6,1991,19653.515
S&L,Sewer and waste,6,1992,20178.619
S&L,Sewer and waste,6,1993,18023.752
S&L,Sewer and waste,6,1994,15722.315
S&L,Sewer and waste,6,1995,15346.737
S&L,Sewer and waste,6,1996,16867.053
S&L,Sewer and waste,6,1997,16595.238
S&L,Sewer and waste,6,1998,15890.88
S&L,Sewer and waste,6,1999,15565.726
S&L,Sewer and waste,6,2000,14837.487
S&L,Sewer and waste,6,2001,15554.196
S&L,Sewer and waste,6,2002,17124.475
S&L,Sewer and waste,6,2003,18651.785
S&L,Sewer and waste,6,2004,19097.858
S&L,Sewer and waste,6,2005,18375.994
S&L,Sewer and waste,6,2006,19116.885
S&L,Sewer and waste,6,2007,19941.006
S&L,Sewer and waste,6,2008,20565.709
S&L,Sewer and waste,6,2009,22059.716
S&L,Sewer and waste,6,2010,22420.173
S&L,Sewer and waste,6,2011,20987.626
S&L,Sewer and waste,6,2012,18145
S&L,Sewer and waste,6,2013,16917.667
S&L,Sewer and waste,6,2014,16447.84
S&L,Sewer and waste,6,2015,16816.825
S&L,Sewer and waste,6,2016,16594.128
S&L,Sewer and waste,6,2017,15738.312
Private,Conservation and development,7,1947,127
Private,Conservation and development,7,1948,107
Private,Conservation and development,7,1949,129
Private,Conservation and development,7,1950,200
Private,Conservation and development,7,1951,100
Private,Conservation and development,7,1952,127
Private,Conservation and development,7,1953,180
Private,Conservation and development,7,1954,188
Private,Conservation and development,7,1955,245
Private,Conservation and development,7,1956,184
Private,Conservation and development,7,1957,271
Private,Conservation and development,7,1958,262
Private,Conservation and development,7,1959,287
Private,Conservation and development,7,1960,394
Private,Conservation and development,7,1961,350
Private,Conservation and development,7,1962,379
Private,Conservation and development,7,1963,416
Private,Conservation and development,7,1964,446
Private,Conservation and development,7,1965,535
Private,Conservation and development,7,1966,599
Private,Conservation and development,7,1967,542
Private,Conservation and development,7,1968,638
Private,Conservation and development,7,1969,772
Private,Conservation and development,7,1970,905
Private,Conservation and development,7,1971,886
Private,Conservation and development,7,1972,792
Private,Conservation and development,7,1973,756
Private,Conservation and development,7,1974,720
Private,Conservation and development,7,1975,702
Private,Conservation and development,7,1976,717
Private,Conservation and development,7,1977,817
Private,Conservation and development,7,1978,936
Private,Conservation and development,7,1979,1101
Private,Conservation and development,7,1980,997
Private,Conservation and development,7,1981,999
Private,Conservation and development,7,1982,1030
Private,Conservation and development,7,1983,1185
Private,Conservation and development,7,1984,1555
Private,Conservation and development,7,1985,2188
Private,Conservation and development,7,1986,1776
Private,Conservation and development,7,1987,1976
Private,Conservation and development,7,1988,1567
Private,Conservation and development,7,1989,1772
Private,Conservation and development,7,1990,2051
Private,Conservation and development,7,1991,1990
Private,Conservation and development,7,1992,2385
Private,Conservation and development,7,1993,2170
Private,Conservation and development,7,1994,1860
Private,Conservation and development,7,1995,2106
Private,Conservation and development,7,1996,1674
Private,Conservation and development,7,1997,1386
Private,Conservation and development,7,1998,1297
Private,Conservation and development,7,1999,853
Private,Conservation and development,7,2000,1219
Private,Conservation and development,7,2001,938
Private,Conservation and development,7,2002,807
Private,Conservation and development,7,2003,1349
Private,Conservation and development,7,2004,1569
Private,Conservation and development,7,2005,1367
Private,Conservation and development,7,2006,1739
Private,Conservation and development,7,2007,1353
Private,Conservation and development,7,2008,569
Private,Conservation and development,7,2009,280
Private,Conservation and development,7,2010,247
Private,Conservation and development,7,2011,174
Private,Conservation and development,7,2012,289
Private,Conservation and development,7,2013,139
Private,Conservation and development,7,2014,309
Private,Conservation and development,7,2015,446
Private,Conservation and development,7,2016,252
Private,Conservation and development,7,2017,252
S&L,Conservation and development,7,1947,389.996
S&L,Conservation and development,7,1948,474.288
S&L,Conservation and development,7,1949,662.244
S&L,Conservation and development,7,1950,726.308
S&L,Conservation and development,7,1951,650.64
S&L,Conservation and development,7,1952,485.279
S&L,Conservation and development,7,1953,626.324
S&L,Conservation and development,7,1954,708.69
S&L,Conservation and development,7,1955,1062.443
S&L,Conservation and development,7,1956,1470.361
S&L,Conservation and development,7,1957,1405.467
S&L,Conservation and development,7,1958,1234.524
S&L,Conservation and development,7,1959,1400.062
S&L,Conservation and development,7,1960,1607.268
S&L,Conservation and development,7,1961,1717.793
S&L,Conservation and development,7,1962,2083.327
S&L,Conservation and development,7,1963,3237.996
S&L,Conservation and development,7,1964,3222.005
S&L,Conservation and development,7,1965,4479.767
S&L,Conservation and development,7,1966,4475.91
S&L,Conservation and development,7,1967,5110.29
S&L,Conservation and development,7,1968,4763.695
S&L,Conservation and development,7,1969,4383.71
S&L,Conservation and development,7,1970,3751.664
S&L,Conservation and development,7,1971,2890.715
S&L,Conservation and development,7,1972,2445.845
S&L,Conservation and development,7,1973,1998.263
S&L,Conservation and development,7,1974,2478.536
S&L,Conservation and development,7,1975,2043.997
S&L,Conservation and development,7,1976,2040.536
S&L,Conservation and development,7,1977,1652.226
S&L,Conservation and development,7,1978,1541.212
S&L,Conservation and development,7,1979,1977.068
S&L,Conservation and development,7,1980,2045.16
S&L,Conservation and development,7,1981,1749.479
S&L,Conservation and development,7,1982,1926.655
S&L,Conservation and development,7,1983,2231.555
S&L,Conservation and development,7,1984,2592.068
S&L,Conservation and development,7,1985,2799.076
S&L,Conservation and development,7,1986,3083.983
S&L,Conservation and development,7,1987,3089.653
S&L,Conservation and development,7,1988,2754.825
S&L,Conservation and development,7,1989,3154.728
S&L,Conservation and development,7,1990,3370.967
S&L,Conservation and development,7,1991,2917.864
S&L,Conservation and development,7,1992,2655.169
S&L,Conservation and development,7,1993,2557.639
S&L,Conservation and development,7,1994,2912.314
S&L,Conservation and development,7,1995,3124.123
S&L,Conservation and development,7,1996,3150.971
S&L,Conservation and development,7,1997,3167.668
S&L,Conservation and development,7,1998,3196.868
S&L,Conservation and development,7,1999,3640.011
S&L,Conservation and development,7,2000,4285.884
S&L,Conservation and development,7,2001,3912.446
S&L,Conservation and development,7,2002,3313.335
S&L,Conservation and development,7,2003,3367.132
S&L,Conservation and development,7,2004,3524.5
S&L,Conservation and development,7,2005,3328.202
S&L,Conservation and development,7,2006,3659.292
S&L,Conservation and development,7,2007,4475.889
S&L,Conservation and development,7,2008,4328.545
S&L,Conservation and development,7,2009,3865.91
S&L,Conservation and development,7,2010,3786.143
S&L,Conservation and development,7,2011,3834.47
S&L,Conservation and development,7,2012,3564.3
S&L,Conservation and development,7,2013,3147.187
S&L,Conservation and development,7,2014,2865.714
S&L,Conservation and development,7,2015,3552.564
S&L,Conservation and development,7,2016,3634.321
S&L,Conservation and development,7,2017,3597.539
Federal,Conservation and development,7,1947,3073.653
Federal,Conservation and development,7,1948,4196.192
Federal,Conservation and development,7,1949,4109.284
Federal,Conservation and development,7,1950,4467.648
Federal,Conservation and development,7,1951,5905.014
Federal,Conservation and development,7,1952,6211.944
Federal,Conservation and development,7,1953,5959.488
Federal,Conservation and development,7,1954,5167.702
Federal,Conservation and development,7,1955,4414.354
Federal,Conservation and development,7,1956,4753.724
Federal,Conservation and development,7,1957,5393.694
Federal,Conservation and development,7,1958,6056.123
Federal,Conservation and development,7,1959,6236.268
Federal,Conservation and development,7,1960,6718.396
Federal,Conservation and development,7,1961,7526.254
Federal,Conservation and development,7,1962,8037.59
Federal,Conservation and development,7,1963,8012.503
Federal,Conservation and development,7,1964,8253.503
Federal,Conservation and development,7,1965,8548.088
Federal,Conservation and development,7,1966,8991.692
Federal,Conservation and development,7,1967,7844.702
Federal,Conservation and development,7,1968,7268.777
Federal,Conservation and development,7,1969,6325.992
Federal,Conservation and development,7,1970,6789.401
Federal,Conservation and development,7,1971,7340.055
Federal,Conservation and development,7,1972,7358.775
Federal,Conservation and development,7,1973,7412.598
Federal,Conservation and development,7,1974,7520.589
Federal,Conservation and development,7,1975,7712.201
Federal,Conservation and development,7,1976,7617.064
Federal,Conservation and development,7,1977,7917.631
Federal,Conservation and development,7,1978,9377.649
Federal,Conservation and development,7,1979,8958.229
Federal,Conservation and development,7,1980,8877.209
Federal,Conservation and development,7,1981,8728.828
Federal,Conservation and development,7,1982,7548.199
Federal,Conservation and development,7,1983,7194.279
Federal,Conservation and development,7,1984,6226.85
Federal,Conservation and development,7,1985,6810.378
Federal,Conservation and development,7,1986,5607.241
Federal,Conservation and development,7,1987,6130.094
Federal,Conservation and development,7,1988,6091.391
Federal,Conservation and development,7,1989,5965.925
Federal,Conservation and development,7,1990,5080.544
Federal,Conservation and development,7,1991,5159.351
Federal,Conservation and development,7,1992,6279.126
Federal,Conservation and development,7,1993,6221.195
Federal,Conservation and development,7,1994,5921.337
Federal,Conservation and development,7,1995,5624.232
Federal,Conservation and development,7,1996,4006.692
Federal,Conservation and development,7,1997,2962.286
Federal,Conservation and development,7,1998,2971.983
Federal,Conservation and development,7,1999,3333.721
Federal,Conservation and development,7,2000,3249.85
Federal,Conservation and development,7,2001,3548.389
Federal,Conservation and development,7,2002,3820.991
Federal,Conservation and development,7,2003,3894.043
Federal,Conservation and development,7,2004,3371.275
Federal,Conservation and development,7,2005,3461.729
Federal,Conservation and development,7,2006,3884.212
Federal,Conservation and development,7,2007,3623.412
Federal,Conservation and development,7,2008,3464.737
Federal,Conservation and development,7,2009,4267.87
Federal,Conservation and development,7,2010,5789.153
Federal,Conservation and development,7,2011,5599.096
Federal,Conservation and development,7,2012,4120
Federal,Conservation and development,7,2013,3440.739
Federal,Conservation and development,7,2014,4045.447
Federal,Conservation and development,7,2015,4436.16
Federal,Conservation and development,7,2016,4323.582
Federal,Conservation and development,7,2017,3952.992
S&L,Power,8,1947,1714.398
S&L,Power,8,1948,1751.291
S&L,Power,8,1949,1801.0059999999999
S&L,Power,8,1950,1813.837
S&L,Power,8,1951,1700.627
S&L,Power,8,1952,1465.4950000000001
S&L,Power,8,1953,1711.5439999999999
S&L,Power,8,1954,2108.555
S&L,Power,8,1955,2409.341
S&L,Power,8,1956,3250.763
S&L,Power,8,1957,3229.175
S&L,Power,8,1958,3809.003
S&L,Power,8,1959,4819.274
S&L,Power,8,1960,5187.985000000001
S&L,Power,8,1961,6603.197999999999
S&L,Power,8,1962,4880.375999999999
S&L,Power,8,1963,5742.715
S&L,Power,8,1964,7549.594
S&L,Power,8,1965,8060.283
S&L,Power,8,1966,6118.301
S&L,Power,8,1967,7401.955
S&L,Power,8,1968,7391.138999999999
S&L,Power,8,1969,7279.055
S&L,Power,8,1970,6945.0019999999995
S&L,Power,8,1971,6902.455
S&L,Power,8,1972,7205.017
S&L,Power,8,1973,7406.982999999999
S&L,Power,8,1974,7956.8009999999995
S&L,Power,8,1975,6111.896
S&L,Power,8,1976,8061.863
S&L,Power,8,1977,9576.525
S&L,Power,8,1978,13512.167000000001
S&L,Power,8,1979,13193.994
S&L,Power,8,1980,12797.666
S&L,Power,8,1981,14782.845
S&L,Power,8,1982,13176.249
S&L,Power,8,1983,12137.355
S&L,Power,8,1984,10571.109999999999
S&L,Power,8,1985,13813.117
S&L,Power,8,1986,12820.279999999999
S&L,Power,8,1987,9979.731
S&L,Power,8,1988,9072.642
S&L,Power,8,1989,7022.052
S&L,Power,8,1990,6935.164
S&L,Power,8,1991,6833.637
S&L,Power,8,1992,6471.961
S&L,Power,8,1993,6826.825
S&L,Power,8,1994,5756.2119999999995
S&L,Power,8,1995,5646.138
S&L,Power,8,1996,4935.285
S&L,Power,8,1997,5842.425
S&L,Power,8,1998,5646.087
S&L,Power,8,1999,6001.8460000000005
S&L,Power,8,2000,6859.031
S&L,Power,8,2001,8332.625
S&L,Power,8,2002,9104.571999999998
S&L,Power,8,2003,9659.836000000001
S&L,Power,8,2004,8823.216
S&L,Power,8,2005,8573.095
S&L,Power,8,2006,9172.991999999998
S&L,Power,8,2007,9607.363
S&L,Power,8,2008,10959.679
S&L,Power,8,2009,11811.433
S&L,Power,8,2010,10909.222
S&L,Power,8,2011,9930.414
S&L,Power,8,2012,9387.001
S&L,Power,8,2013,9198.122
S&L,Power,8,2014,8910.84
S&L,Power,8,2015,8520.634
S&L,Power,8,2016,8203.054
S&L,Power,8,2017,6822.078
Federal,Power,8,1947,0
Federal,Power,8,1948,56.163
Federal,Power,8,1949,399.523
Federal,Power,8,1950,352.681
Federal,Power,8,1951,218.175
Federal,Power,8,1952,94.401
Federal,Power,8,1953,94.462
Federal,Power,8,1954,90.192
Federal,Power,8,1955,44.68
Federal,Power,8,1956,78.295
Federal,Power,8,1957,75.575
Federal,Power,8,1958,122.027
Federal,Power,8,1959,159.336
Federal,Power,8,1960,159.403
Federal,Power,8,1961,151.96
Federal,Power,8,1962,161.364
Federal,Power,8,1963,199.929
Federal,Power,8,1964,273.429
Federal,Power,8,1965,301.608
Federal,Power,8,1966,243.963
Federal,Power,8,1967,144.818
Federal,Power,8,1968,101.402
Federal,Power,8,1969,97.666
Federal,Power,8,1970,61.107
Federal,Power,8,1971,55.651
Federal,Power,8,1972,52.49
Federal,Power,8,1973,72.821
Federal,Power,8,1974,61.778
Federal,Power,8,1975,21.998
Federal,Power,8,1976,66.363
Federal,Power,8,1977,46.227
Federal,Power,8,1978,43.942
Federal,Power,8,1979,39.673
Federal,Power,8,1980,36.171
Federal,Power,8,1981,44.503
Federal,Power,8,1982,31.633
Federal,Power,8,1983,51.243
Federal,Power,8,1984,64.973
Federal,Power,8,1985,93.952
Federal,Power,8,1986,112.524
Federal,Power,8,1987,162.105
Federal,Power,8,1988,93.428
Federal,Power,8,1989,78.649
Federal,Power,8,1990,120.624
Federal,Power,8,1991,132.634
Federal,Power,8,1992,116.093
Federal,Power,8,1993,41.954
Federal,Power,8,1994,80.735
Federal,Power,8,1995,100.722
Federal,Power,8,1996,124.511
Federal,Power,8,1997,118.636
Federal,Power,8,1998,107.424
Federal,Power,8,1999,99.375
Federal,Power,8,2000,119.011
Federal,Power,8,2001,328.621
Federal,Power,8,2002,489.591
Federal,Power,8,2003,1396.452
Federal,Power,8,2004,1317.616
Federal,Power,8,2005,1058.458
Federal,Power,8,2006,992.545
Federal,Power,8,2007,534.601
Federal,Power,8,2008,852.287
Federal,Power,8,2009,1029.141
Federal,Power,8,2010,1015.777
Federal,Power,8,2011,1362.751
Federal,Power,8,2012,1159
Federal,Power,8,2013,1043.444
Federal,Power,8,2014,1082.71
Federal,Power,8,2015,1530.913
Federal,Power,8,2016,1162.428
Federal,Power,8,2017,672.823
Private,Power,8,1947,29696
Private,Power,8,1948,33713
Private,Power,8,1949,38661
Private,Power,8,1950,41121
