animal_id,animal_name,animal_type,primary_color,secondary_color,sex,dob,intake_date,intake_condition,intake_type,intake_subtype,reason_for_intake,outcome_date,crossing,jurisdiction,outcome_type,outcome_subtype,latitude,longitude,outcome_is_dead,was_outcome_alive,geopoint
A642439,NA,cat,white,brown  tabby,Unknown,2020-04-21,2020-05-06,under age/weight,stray,field,NA,2020-05-06,"1800 BLK E 15TH ST, LONG BEACH, CA 90813",Long Beach,rescue,catpaws,33.7862307,-118.16981,FALSE,TRUE,"33.7862307, -118.16981"
A712415,NA,reptile,brown,green,Female,2020-12-28,2023-12-28,normal,stray,field,NA,2024-01-08,"1900 BLK LONG BEACH BLVD, LONG BEACH, CA 90806",Long Beach,rescue,other resc,33.792138,-118.188935,FALSE,TRUE,"33.792138, -118.188935"
A592943,*truffle,cat,white,orange,Female,2015-07-05,2017-07-05,normal,stray,otc,NA,2017-07-19,"1800 BLK E 1ST ST, LONG BEACH, CA 90802",Long Beach,transfer,spcala,33.7658235,-118.1699946,FALSE,TRUE,"33.7658235, -118.1699946"
A613216,*watson,rabbit,white,NA,Neutered,2017-10-27,2018-08-19,normal,stray,field,NA,2018-11-10,"1900 BLK LONG BEACH BLVD, LONG BEACH, CA 90806",Long Beach,rescue,swtpeares,33.792138,-118.188935,FALSE,TRUE,"33.792138, -118.188935"
A616341,NA,cat,seal point,NA,Male,2018-09-16,2018-10-16,under age/weight,stray,field,NA,2018-10-18,"1800 BLK E 29TH ST, SIGNAL HILL, CA 90755",Signal Hill,rescue,other resc,33.8095057,-118.1702378,FALSE,TRUE,"33.8095057, -118.1702378"
A673892,*sari,dog,tan,black,Female,2022-03-03,2022-05-03,ill moderatete,stray,field,NA,2022-05-13,"1900 BLK LONG BEACH BLVD, LONG BEACH, CA 90806",Long Beach,adoption,NA,33.792138,-118.188935,FALSE,TRUE,"33.792138, -118.188935"
A714835,roxie,dog,white,brown brindle,Spayed,2020-02-13,2024-05-24,normal,stray,otc,NA,2024-06-15,1800 BLK E 2ND STREET LONG BEACH CA 90802,Long Beach,rescue,NA,33.7669118,-118.169786,FALSE,TRUE,"33.7669118, -118.169786"
A587578,NA,wild,black,white,Unknown,2017-03-24,2017-03-25,under age/weight,wildlife,field,NA,2017-03-25,"1900 BLK MAINE AVE, LONG BEACH, CA 90806",Long Beach,euthanasia,undrage/wt,33.7916968,-118.2006218,TRUE,FALSE,"33.7916968, -118.2006218"
A734860,*hot cheeto,cat,orange tabby,NA,Neutered,2022-12-29,2024-12-29,injured  mild,stray,otc,NA,NA,1800 BLK E 3RD ST LONG BEACH CA 90802,Long Beach,NA,NA,33.7689907,-118.1691383,FALSE,TRUE,"33.7689907, -118.1691383"
A587581,NA,wild,black,white,Unknown,2017-03-24,2017-03-25,under age/weight,wildlife,field,NA,2017-03-25,"1900 BLK MAINE AVE, LONG BEACH, CA 90806",Long Beach,euthanasia,undrage/wt,33.7916968,-118.2006218,TRUE,FALSE,"33.7916968, -118.2006218"
A587539,NA,other,black,white,Unknown,NA,2017-03-25,injured  moderate,wildlife,field,NA,2017-03-25,"1900 BLK MAINE AVE, LONG BEACH, CA 90806",Long Beach,euthanasia,inj severe,33.7916968,-118.2006218,TRUE,FALSE,"33.7916968, -118.2006218"
A666568,sam,dog,tan,gray,Neutered,2013-11-10,2021-11-10,normal,stray,otc,NA,2021-11-10,"1800 BLK E 4TH ST, LONG BEACH, CA 90802",Long Beach,return to owner,walkin,33.7714446,-118.1697967,FALSE,TRUE,"33.7714446, -118.1697967"
A734588,*atticus,cat,brown  tabby,gray,Unknown,2019-12-22,2024-12-22,ill mild,stray,field,NA,2024-12-24,"1900 BLK MAINE AVE, LONG BEACH, CA 90806",Long Beach,died,in kennel,33.7916968,-118.2006218,TRUE,FALSE,"33.7916968, -118.2006218"
A590234,*fairy purrmother,cat,brown  tabby,NA,Spayed,2011-05-13,2017-05-13,normal,stray,otc,NA,2017-09-12,"1800 BLK E 4TH ST, LONG BEACH, CA 90802",Long Beach,adoption,pfe/pawshp,33.7714446,-118.1697967,FALSE,TRUE,"33.7714446, -118.1697967"
A607565,NA,cat,calico,gray tabby,Female,2018-04-15,2018-05-13,under age/weight,stray,otc,NA,2018-05-17,"1800 BLK E 53RD ST, LONG BEACH, CA 90805",Long Beach,transfer,spcala,33.852629,-118.1704684,FALSE,TRUE,"33.852629, -118.1704684"
A639624,NA,cat,tortie,NA,Female,2019-02-07,2020-02-07,ill severe,stray,field,NA,2020-02-07,"1900 BLK MAINE AVE, LONG BEACH, CA 90806",Long Beach,euthanasia,at vet,33.7916968,-118.2006218,TRUE,FALSE,"33.7916968, -118.2006218"
A607564,NA,cat,black,white,Male,2018-04-15,2018-05-13,under age/weight,stray,otc,NA,2018-05-17,"1800 BLK E 53RD ST, LONG BEACH, CA 90805",Long Beach,transfer,spcala,33.852629,-118.1704684,FALSE,TRUE,"33.852629, -118.1704684"
A675767,tobias,cat,black,white,Neutered,2022-04-25,2022-05-25,under age/weight,stray,field,NA,2022-08-17,"1900 BLK MARTIN LUTHER KING JR AVE, LONG BEACH, CA 90806",Long Beach,adoption,NA,33.7914622,-118.1803622,FALSE,TRUE,"33.7914622, -118.1803622"
A664726,NA,bird,fawn,NA,Unknown,2020-10-01,2021-10-01,injured  moderate,wildlife,field,NA,2021-10-01,"1800 BLK E 55TH ST, LONG BEACH, CA 90805",Long Beach,transfer,lbah,33.8560427,-118.1704946,FALSE,TRUE,"33.8560427, -118.1704946"
A675765,*tristan,cat,brown  tabby,white,Male,2022-04-25,2022-05-25,under age/weight,stray,field,NA,2022-06-02,"1900 BLK MARTIN LUTHER KING JR AVE, LONG BEACH, CA 90806",Long Beach,adoption,NA,33.7914622,-118.1803622,FALSE,TRUE,"33.7914622, -118.1803622"
A675049,*mimi,cat,gray,NA,Female,2022-04-21,2022-05-18,ill moderatete,stray,field,NA,2022-05-29,"1800 BLK E 56TH ST, LONG BEACH, CA 90805",Long Beach,adoption,NA,33.857605,-118.1703398,FALSE,TRUE,"33.857605, -118.1703398"
A621498,melody,dog,brown,NA,Spayed,2018-02-09,2019-02-09,normal,owner surrender,otc,NA,2019-02-10,"1800 BLK E 60TH ST, LONG BEACH, CA 90805",Long Beach,transfer,spcala,33.8642176,-118.1705588,FALSE,TRUE,"33.8642176, -118.1705588"
A617932,*mistletoe,cat,brown  tabby,white,Spayed,2016-11-24,2018-12-19,normal,stray,otc,NA,2021-02-25,"1900 BLK MONTAIR  AVE, LONG BEACH, CA 90815",Long Beach,adoption,pfe/pawshp,33.79009,-118.1259594,FALSE,TRUE,"33.79009, -118.1259594"
A702788,NA,cat,black,white,Male,2023-07-11,2023-07-13,under age/weight,stray,otc,NA,2023-07-13,1800 BLK E 61ST STREET LONG BEACH CA 90805,Long Beach,euthanasia,undrage/wt,33.8655748,-118.1705771,TRUE,FALSE,"33.8655748, -118.1705771"
A651476,*minnie oreo,cat,black,white,Neutered,2020-10-13,2020-11-13,under age/weight,stray,otc,NA,2020-11-14,"1900 BLK MYRTLE AVE, LONG BEACH, CA 90806",Long Beach,adoption,web,33.7918069,-118.181593,FALSE,TRUE,"33.7918069, -118.181593"
A712270,NA,wild,gray,NA,Male,NA,2023-12-24,injured  moderate,wildlife,field,NA,2023-12-24,"1800 BLK E 65TH ST, LONG BEACH CA, 90805",Long Beach,euthanasia,inj severe,33.8728307,-118.1708438,TRUE,FALSE,"33.8728307, -118.1708438"
A584162,NA,bird,red,NA,Female,2016-01-05,2017-01-05,normal,stray,field,NA,2017-01-07,"1800 BLK E 65TH ST, LONG BEACH, CA 90805",Long Beach,euthanasia,ill modera,33.8728307,-118.1708438,TRUE,FALSE,"33.8728307, -118.1708438"
A584163,NA,bird,red,NA,Male,2016-01-05,2017-01-05,normal,stray,field,NA,2017-01-10,"1800 BLK E 65TH ST, LONG BEACH, CA 90805",Long Beach,rescue,wardsmtn,33.8728307,-118.1708438,FALSE,TRUE,"33.8728307, -118.1708438"
A592787,roxy,dog,brown,NA,Spayed,2016-11-06,2017-07-01,normal,stray,otc,NA,2017-07-05,"1900 BLK OBISPO AVE, SIGNAL HILL, CA 90755",Signal Hill,return to owner,web,33.7917533,-118.1545749,FALSE,TRUE,"33.7917533, -118.1545749"
A652608,coco,dog,tan,NA,Spayed,2008-12-26,2020-12-26,ill mild,stray,otc,NA,2021-01-02,"1800 BLK E APPLETON ST, LONG BEACH CA 90802",Long Beach,return to owner,walkin,33.7679402,-118.169379,FALSE,TRUE,"33.7679402, -118.169379"
A696406,evee,dog,tan,NA,Female,2022-10-08,2023-04-08,normal,stray,otc,NA,2023-04-08,1900 BLK OF E 15TH ST LB CA 90813,Long Beach,return to owner,walkin,33.7862278,-118.1687299,FALSE,TRUE,"33.7862278, -118.1687299"
A608940,*jack,cat,black,NA,Male,2018-04-01,2018-06-01,normal,stray,field,NA,2018-06-08,"1800 BLK E APPLETON ST, LONG BEACH, CA 90802",Long Beach,transfer,spcala,33.7679402,-118.169379,FALSE,TRUE,"33.7679402, -118.169379"
A682655,*caramella,cat,gray,brown,Female,2022-07-27,2022-08-27,ill mild,stray,otc,NA,2022-09-05,"1900 BLK OLIVE AVE, LONG BEACH, CA 90806",Long Beach,euthanasia,ill severe,33.7916675,-118.1828537,TRUE,FALSE,"33.7916675, -118.1828537"
A717036,NA,reptile,green,yellow,Female,NA,2024-03-13,normal,wildlife,otc,NA,2024-03-15,1800 BLK E BROADWAY LONG BEACH CA 90802,Long Beach,rescue,sc reptile,33.7673356,-118.1695225,FALSE,TRUE,"33.7673356, -118.1695225"
A693873,NA,other,brown,NA,Unknown,2022-11-24,2023-02-24,under age/weight,stray,otc,NA,2023-02-24,1900 BLK OREGON AVE LB CA 90807,Long Beach,rescue,other resc,33.7916948,-118.2017381,FALSE,TRUE,"33.7916948, -118.2017381"
A392454,sela,dog,white,NA,Female,2006-04-25,2020-08-20,ill severe,stray,field,NA,2020-08-21,"1800 BLK E MCKENZIE ST, LONG BEACH, CA 9805",Long Beach,return to owner,walkin,33.8719249,-118.1708342,FALSE,TRUE,"33.8719249, -118.1708342"
A722502,*floof,cat,orange,NA,Neutered,2024-05-08,2024-06-08,ill severe,stray,field,NA,2024-07-13,1900 BLK PASADENA AVE,Long Beach,adoption,web,33.7916728,-118.1872251,FALSE,TRUE,"33.7916728, -118.1872251"
A622807,arlo,dog,brown,NA,Neutered,2016-03-06,2019-03-06,normal,stray,field,NA,2019-03-22,"1800 BLK E PACIFIC COAST HWY, LONG BEACH, CA 90806",Long Beach,adoption,walkin,33.7898583,-118.1784179,FALSE,TRUE,"33.7898583, -118.1784179"
A707190,armani,dog,brown  tiger,NA,Male,2022-03-22,2023-09-20,normal,welfare seized,owner died,NA,2023-10-04,1900 BLK PASADENA AVE,Long Beach,return to owner,walkin,33.7916728,-118.1872251,FALSE,TRUE,"33.7916728, -118.1872251"
A652015,NA,other,black,white,Unknown,NA,2020-12-02,ill severe,wildlife,field,NA,2020-12-02,"1800 BLK E PACIFIC COAST HWY, LONG BEACH, CA 90806",Long Beach,euthanasia,inj severe,33.7898583,-118.1784179,TRUE,FALSE,"33.7898583, -118.1784179"
A714413,NA,cat,gray tabby,NA,Female,2009-02-03,2024-02-03,normal,stray,otc,NA,2024-02-03,1900 BLK PASADENA AVE LONG BEACH CA 90806,Long Beach,euthanasia,ill severe,33.7916728,-118.1872251,TRUE,FALSE,"33.7916728, -118.1872251"
A728958,NA,cat,gray tabby,tricolor,Spayed,2023-09-23,2024-09-22,ill mild,stray,otc,NA,2024-09-27,1800 BLK E POINSETTIA STREET LONG BEACH CA 90805,Long Beach,community cat,commcat,33.870114,-118.1708473,FALSE,TRUE,"33.870114, -118.1708473"
A596515,nino,dog,black,tan,Neutered,2015-12-24,2017-09-04,normal,quarantine,NA,NA,2017-09-14,"1900 BLK PASADENA AVE, LONG BEACH, CA 90806",Long Beach,return to owner,walkin,33.7916728,-118.1872251,FALSE,TRUE,"33.7916728, -118.1872251"
A701875,NA,wild,gray,NA,Unknown,NA,2023-06-29,under age/weight,wildlife,field,NA,2023-06-29,1800 BLK E POPPY ST,Long Beach,euthanasia,undrage/wt,33.868301,-118.1708507,TRUE,FALSE,"33.868301, -118.1708507"
A623330,tj,dog,black,white,Spayed,2018-11-16,2024-06-26,normal,stray,otc,NA,2024-06-27,1800 BLK E ROGERS STREET LONG BEACH CA 90805,Long Beach,return to owner,fre rid hm,33.8569565,-118.1705143,FALSE,TRUE,"33.8569565, -118.1705143"
A676665,*yellow,cat,orange tabby,white,Male,2019-06-03,2022-06-03,ill moderatete,stray,field,NA,2022-06-04,"1900 BLK PASADENA AVE, LONG BEACH, CA 90806",Long Beach,euthanasia,ill severe,33.7916728,-118.1872251,TRUE,FALSE,"33.7916728, -118.1872251"
A663916,*pecan,dog,white,NA,Spayed,2017-04-05,2021-09-17,normal,stray,otc,NA,2022-11-25,"1800 BLK E WILLOW ST, SIGNAL HILL, CA 92804",Signal Hill,adoption,web,33.803731,-118.1695454,FALSE,TRUE,"33.803731, -118.1695454"
A692353,*tiny tuna,dog,black,tan,Spayed,2021-01-24,2023-01-24,normal,stray,field,NA,2023-05-28,1800 BLK ELANOR ST,Long Beach,adoption,web,33.8769207,-118.1708755,FALSE,TRUE,"33.8769207, -118.1708755"
A573530,sophie,dog,tan,NA,Female,2010-08-23,2020-08-23,normal,owner surrender,otc,abandon,2020-08-27,"1900 BLK PINE AVE, LONG BEACH, CA 90806",Long Beach,rescue,ahm4ever,33.7918307,-118.1920571,FALSE,TRUE,"33.7918307, -118.1920571"
A541374,king,dog,black,white,Neutered,2014-02-01,2021-07-07,normal,owner surrender,otc,landlord,2021-07-14,"1900 BLK PINE AVE, LONG BEACH, CA 90806",Long Beach,adoption,web,33.7918307,-118.1920571,FALSE,TRUE,"33.7918307, -118.1920571"
A646114,NA,cat,white,gray tabby,Female,2020-06-08,2020-07-23,under age/weight,stray,field,NA,2020-07-24,"1900 BLK PINE AVE, LONG BEACH, CA 90806",Long Beach,transfer,spcala,33.7918307,-118.1920571,FALSE,TRUE,"33.7918307, -118.1920571"
A631964,NA,cat,tortie,NA,Female,2019-07-12,2019-08-14,under age/weight,owner surrender,otc,landlord,2019-08-16,"1800 BLK FASHION AVE, LONG BEACH, CA 90810",Long Beach,transfer,spcala,33.790898,-118.208954,FALSE,TRUE,"33.790898, -118.208954"
A733966,NA,other,black,white,Unknown,2023-12-08,2024-12-08,injured  severe,wildlife,field,NA,2024-12-08,1900 BLK RAYMOND AVE SIGNAL HILL 90755,Signal Hill,euthanasia,inj severe,33.7918753,-118.1642211,TRUE,FALSE,"33.7918753, -118.1642211"
A631970,NA,cat,gray,white,Male,2019-07-12,2019-08-14,under age/weight,owner surrender,otc,landlord,2019-08-16,"1800 BLK FASHION AVE, LONG BEACH, CA 90810",Long Beach,transfer,spcala,33.790898,-118.208954,FALSE,TRUE,"33.790898, -118.208954"
A703920,*scoot scoot,cat,calico,NA,Spayed,2023-06-18,2023-07-29,ill moderatete,stray,otc,NA,2024-03-21,1900 BLK RAYMOND AVE SIGNAL HILL CA 90755,Signal Hill,adoption,web,33.7918753,-118.1642211,FALSE,TRUE,"33.7918753, -118.1642211"
A631957,shonchis,cat,calico dilute,NA,Spayed,2018-08-14,2019-08-14,normal,owner surrender,otc,landlord,2019-08-27,"1800 BLK FASHION AVE, LONG BEACH, CA 90810",Long Beach,died,in kennel,33.790898,-118.208954,TRUE,FALSE,"33.790898, -118.208954"
A703240,NA,cat,white,black,Unknown,2023-07-18,2023-07-21,under age/weight,stray,otc,NA,2023-07-21,1900 BLK RAYMOND AVE SIGNAL HILL CA 90755,Signal Hill,euthanasia,undrage/wt,33.7918753,-118.1642211,TRUE,FALSE,"33.7918753, -118.1642211"
A694392,*dill pickle,cat,black,NA,Neutered,2020-03-09,2023-03-09,normal,stray,otc,NA,2023-04-14,1800 BLK GARDENIA AVE LB CA 90806,Long Beach,community cat,friendly,33.7898887,-118.1687288,FALSE,TRUE,"33.7898887, -118.1687288"
A591062,NA,cat,brown  tabby,white,Male,2017-04-16,2017-05-31,under age/weight,stray,otc,NA,2017-05-31,"1900 BLK SAINT LOUIS AVE, SIGNAL HILL, CA 90755",Signal Hill,transfer,spcala,33.7916894,-118.1665616,FALSE,TRUE,"33.7916894, -118.1665616"
A699132,*gunther,cat,black,white,Neutered,2023-04-19,2023-05-19,ill moderatete,stray,otc,NA,2023-05-25,1800 BLK GARDENIA AVE LB CA 90806,Long Beach,rescue,littlepaws,33.7898887,-118.1687288,FALSE,TRUE,"33.7898887, -118.1687288"
A585167,NA,bird,brown,white,Unknown,NA,2017-01-28,injured  mild,wildlife,field,NA,2017-01-29,"1900 BLK SAN ANSELINE AVE, LONG BEACH, CA 90815",Long Beach,died,in kennel,33.7909576,-118.1215683,TRUE,FALSE,"33.7909576, -118.1215683"
A666358,sunshine bob,cat,white,orange tabby,Neutered,2015-10-20,2021-11-07,normal,stray,otc,NA,2022-01-19,"1900 BLK SHIPWAY AVE, LONG BEACH, CA 90815",Long Beach,adoption,web,33.7903574,-118.0950634,FALSE,TRUE,"33.7903574, -118.0950634"
A643931,NA,dog,tan,white,Male,2019-06-16,2020-06-16,normal,stray,otc,NA,2020-06-20,"1800 BLK GARDENIA AVE, LONG BEACH, CA 90806",Long Beach,transfer,spcala,33.7898887,-118.1687288,FALSE,TRUE,"33.7898887, -118.1687288"
A655756,zoe,cat,brown  tabby,white,Spayed,2020-03-31,2021-03-31,normal,welfare seized,hospital,NA,2021-04-01,"1800 BLK GOLDEN AVE, LONG BEACH, CA 90806",Long Beach,return to owner,walkin,33.790322,-118.2024287,FALSE,TRUE,"33.790322, -118.2024287"
A692009,boots,cat,black,white,Spayed,2013-01-19,2023-01-19,normal,welfare seized,owner died,NA,2023-02-08,"1900 BLK STANLEY AVE, SIGNAL HILL CA 90755",Signal Hill,adoption,web,33.7916727,-118.1622096,FALSE,TRUE,"33.7916727, -118.1622096"
A602848,NA,other,gray,white,Unknown,NA,2018-01-20,injured  severe,wildlife,field,NA,2018-01-20,"1900 BLK STEARNLEE AVE, LONG BEACH, CA 90815",Long Beach,transfer,lbah,33.7899771,-118.1268533,FALSE,TRUE,"33.7899771, -118.1268533"
A707479,*gregory,dog,tan,NA,Male,NA,2023-09-23,i/i report,stray,otc,NA,2023-09-28,1800 BLK HARBOR AVE LONG BEACH CA 90810,Long Beach,rescue,NA,33.7899081,-118.2104994,FALSE,TRUE,"33.7899081, -118.2104994"
A586440,kira,dog,red,white,Female,2015-03-02,2017-03-02,normal,stray,field,NA,2017-03-03,"1800 BLK HARBOR AVE, LONG BEACH, CA 90810",Long Beach,return to owner,web,33.7899081,-118.2104994,FALSE,TRUE,"33.7899081, -118.2104994"
A649137,NA,reptile,brown,NA,Unknown,2020-06-18,2020-09-18,normal,wildlife,field,NA,2020-09-18,"1900 BLK STEVELY AVE, LONG BEACH, CA 90815",Long Beach,return to wild habitat,NA,33.7897648,-118.0935401,FALSE,TRUE,"33.7897648, -118.0935401"
A701951,gary,cat,gray tabby,white,Male,2023-03-30,2023-06-30,normal,stray,otc,NA,2023-07-14,"1800 BLK HARDING ST. LONG BEACH, CA 90805",Long Beach,rescue,littlepaws,33.8671586,-118.1704594,FALSE,TRUE,"33.8671586, -118.1704594"
A693073,NA,other,gray,NA,Unknown,NA,2023-02-07,injured  severe,wildlife,field,NA,2023-02-07,"1800 BLK JOSIE AVE, LB 90815",Long Beach,euthanasia,inj severe,33.7890684,-118.1048813,TRUE,FALSE,"33.7890684, -118.1048813"
A673643,makx,dog,black,brown,Neutered,2021-04-27,2022-04-27,ill mild,owner surrender,otc,ill,2022-04-29,"1900 BLK TEMPLE AVE, SIGNAL HILL, CA 90755",Signal Hill,adoption,NA,33.7919712,-118.1586484,FALSE,TRUE,"33.7919712, -118.1586484"
A591994,NA,other,gray,black,Unknown,2016-06-16,2017-06-16,injured  severe,wildlife,field,NA,2017-06-16,"1800 BLK JOSIE AVE, LONG BEACH, CA 90815",Long Beach,euthanasia,inj severe,33.7890684,-118.1048813,TRUE,FALSE,"33.7890684, -118.1048813"
A722920,found,dog,black,white,Spayed,2023-09-12,2024-06-15,normal,stray,NA,NA,2024-07-12,1900 BLK VUELTA GRANDE AVE LONG BEACH CA 90815,Long Beach,rescue,NA,33.7907964,-118.1025611,FALSE,TRUE,"33.7907964, -118.1025611"
A607352,NA,cat,gray,NA,Male,2018-04-09,2018-05-09,under age/weight,stray,otc,NA,2018-05-10,"1800 BLK LEWIS AVE, LONG BEACH, CA 90806",Long Beach,transfer,spcala,33.7898666,-118.1796068,FALSE,TRUE,"33.7898666, -118.1796068"
A638563,ty,dog,brown,black,Neutered,2010-04-29,2020-01-15,aged,stray,field,NA,2020-01-19,"1900 BLK W ANAHEIM ST, LONG BEACH, CA 90813",Long Beach,return to owner,walkin,33.7825309,-118.2175972,FALSE,TRUE,"33.7825309, -118.2175972"
A607353,NA,cat,gray,NA,Male,2018-04-09,2018-05-09,under age/weight,stray,otc,NA,2018-05-10,"1800 BLK LEWIS AVE, LONG BEACH, CA 90806",Long Beach,transfer,spcala,33.7898666,-118.1796068,FALSE,TRUE,"33.7898666, -118.1796068"
A625350,*cameron,cat,white,NA,Neutered,2016-04-26,2019-04-26,injured  severe,stray,field,NA,2019-07-17,"1900 BLK W CAMERON ST, LONG BEACH, CA 90810",Long Beach,"shelter, neuter, return",straycatal,33.8233444,-118.2179108,FALSE,TRUE,"33.8233444, -118.2179108"
A607355,NA,cat,gray,NA,Male,2018-04-09,2018-05-09,under age/weight,stray,otc,NA,2018-05-10,"1800 BLK LEWIS AVE, LONG BEACH, CA 90806",Long Beach,transfer,spcala,33.7898666,-118.1796068,FALSE,TRUE,"33.7898666, -118.1796068"
A611397,NA,cat,brown  tabby,white,Female,2018-06-14,2018-07-20,under age/weight,stray,trap,NA,2018-07-26,"1900 BLK W LINCOLN ST, LONG BEACH, CA 90810",Long Beach,rescue,fndanifoun,33.8225273,-118.2178697,FALSE,TRUE,"33.8225273, -118.2178697"
A594538,NA,dog,brown,white,Male,2013-07-31,2017-07-31,injured  severe,stray,field,NA,2017-07-31,"1800 BLK LIME AVE, LONG BEACH, CA 90806",Long Beach,euthanasia,at vet,33.7900272,-118.1837492,TRUE,FALSE,"33.7900272, -118.1837492"
A548421,chencha,dog,yellow,NA,Spayed,2014-06-21,2018-12-23,normal,stray,otc,NA,2018-12-23,"1900 BLK W WILLOW ST, LONG BEACH, CA 90810",Long Beach,return to owner,walkin,33.804163,-118.217882,FALSE,TRUE,"33.804163, -118.217882"
A718278,*pam,cat,black,NA,Spayed,2021-04-09,2024-04-09,ill moderatete,stray,field,NA,2024-05-15,1800 BLK LOCUST AVE,Long Beach,rescue,littlelion,33.7898857,-118.1910812,FALSE,TRUE,"33.7898857, -118.1910812"
A720151,bubbles,cat,gray,NA,Spayed,2024-04-17,2024-08-15,ill moderatete,owner surrender,otc,cost,2024-09-08,1800 BLK LOCUST AVE LONG BEACH CA 90806,Long Beach,adoption,pfe/pawshp,33.7898857,-118.1910812,FALSE,TRUE,"33.7898857, -118.1910812"
A725720,*groot,cat,black,brown,Neutered,2024-06-17,2024-07-27,ill mild,stray,field,NA,2024-08-29,"1900 BLK WALNUT AVE, LONG BEACH, CA",Long Beach,adoption,web,33.7918522,-118.1717297,FALSE,TRUE,"33.7918522, -118.1717297"
A719586,*rogelio,cat,black,white,Neutered,2022-04-25,2024-04-25,ill severe,stray,field,NA,2024-05-19,"1800 BLK LOCUST AVE, B 90806",Long Beach,community cat,NA,33.7898857,-118.1910812,FALSE,TRUE,"33.7898857, -118.1910812"
A708959,*shetland,cat,gray,white,Female,2023-09-11,2023-10-18,ill mild,stray,otc,NA,2024-01-05,1900 BLKK LEMON AVE LONG BEACH CA 90806,Long Beach,transfer,other resc,33.815278,-118.1784991,FALSE,TRUE,"33.815278, -118.1784991"
A711450,NA,bird,tan,gray,Unknown,NA,2023-12-03,injured  mild,wildlife,field,NA,2023-12-03,"1800 BLK LOCUST AVE, LB 90806",Long Beach,transfer,lbah,33.7898857,-118.1910812,FALSE,TRUE,"33.7898857, -118.1910812"
A708954,*tambourine,cat,gray,white,Spayed,2022-11-01,2023-10-18,normal,stray,otc,NA,2023-12-14,1900 BLKK LEMON AVE LONG BEACH CA 90806,Long Beach,adoption,web,33.815278,-118.1784991,FALSE,TRUE,"33.815278, -118.1784991"
A718340,NA,cat,white,NA,Unknown,2024-04-10,2024-04-10,under age/weight,stray,field,NA,2024-04-13,"1800 BLK LOCUST AVE, LB 90806",Long Beach,rescue,littlelion,33.7898857,-118.1910812,FALSE,TRUE,"33.7898857, -118.1910812"
A704662,NA,cat,black,white,Neutered,2023-07-11,2023-08-11,under age/weight,stray,otc,NA,2023-08-16,"1900 BLOCK E POPPY ST, LONG BEACH",Long Beach,rescue,catpaws,33.868133,-118.1695225,FALSE,TRUE,"33.868133, -118.1695225"
A694292,*stewey,dog,black,NA,Male,2022-06-07,2023-03-06,normal,stray,field,NA,2023-03-11,"1800 BLK LOCUST AVE, LONG BEACH CA, 90806",Long Beach,adoption,NA,33.7898857,-118.1910812,FALSE,TRUE,"33.7898857, -118.1910812"
A594421,unknown,cat,black,NA,Female,2017-06-27,2017-07-27,normal,owner surrender,otc,NA,2017-08-06,"1800 BLK LOCUST AVE, LONG BEACH, CA 90806",Long Beach,died,in kennel,33.7898857,-118.1910812,TRUE,FALSE,"33.7898857, -118.1910812"
A720174,morrisey,dog,chocolate,NA,Neutered,2013-07-14,2024-05-03,normal,stray,otc,NA,2024-05-08,"1900 BLOCK LOCUST AVE, LONG BEACH CA",Long Beach,return to owner,microchip,33.7918535,-118.1907792,FALSE,TRUE,"33.7918535, -118.1907792"
A710307,NA,cat,black,white,Male,2023-10-05,2023-11-11,under age/weight,stray,otc,NA,2023-11-16,"1900 BLOCK MYRTLE AVE, LONG BEACH CA",Long Beach,rescue,littlepaws,33.7918069,-118.181593,FALSE,TRUE,"33.7918069, -118.181593"
A594296,NA,cat,black,NA,Female,2017-06-27,2017-07-27,under age/weight,owner surrender,otc,NA,2017-08-11,"1800 BLK LOCUST AVE, LONG BEACH, CA 90806",Long Beach,euthanasia,ill severe,33.7898857,-118.1910812,TRUE,FALSE,"33.7898857, -118.1910812"
A716091,*shortstack,dog,black,brown,Spayed,2020-12-02,2024-03-02,normal,stray,otc,NA,2024-03-13,"1900 BLOCK OF ANAHEIM, LONG BEACH, CA 90813",Long Beach,adoption,web,33.7844997,-118.1971031,FALSE,TRUE,"33.7844997, -118.1971031"
A594297,NA,cat,black,NA,Male,2017-06-27,2017-07-27,under age/weight,owner surrender,otc,NA,2017-08-11,"1800 BLK LOCUST AVE, LONG BEACH, CA 90806",Long Beach,euthanasia,ill severe,33.7898857,-118.1910812,TRUE,FALSE,"33.7898857, -118.1910812"
A706793,NA,dog,white,black,Male,2013-09-14,2023-09-14,ill severe,stray,otc,NA,2023-09-14,"1900 BLOCK PINE AVE, LONG BEACH",Long Beach,euthanasia,ill severe,33.7918307,-118.1920571,TRUE,FALSE,"33.7918307, -118.1920571"
A666104,*parker,cat,gray tabby,white,Neutered,2021-10-03,2021-11-03,injured  moderate,stray,otc,NA,2021-11-14,"1800 BLK LOCUST AVE, LONG BEACH, CA 90806",Long Beach,euthanasia,ill severe,33.7898857,-118.1910812,TRUE,FALSE,"33.7898857, -118.1910812"
A731577,*crayon,cat,calico,NA,Female,2024-09-01,2024-10-31,ill moderatete,stray,field,NA,2024-11-18,1800 BLK LONG BEACH BLVD,Long Beach,rescue,littlelion,33.78987600000001,-118.1892661,FALSE,TRUE,"33.78987600000001, -118.1892661"
