fiscal_year,month_grouping,month_abbv,component,land_border_region,area_of_responsibility,aor_abbv,demographic,citizenship,title_of_authority,encounter_type,encounter_count
2021,FYTD,APR,Office of Field Operations,Northern Land Border,Buffalo Field Office,Buffalo,FMUA,EL SALVADOR,Title 8,Inadmissibles,3
2021,FYTD,APR,Office of Field Operations,Northern Land Border,Buffalo Field Office,Buffalo,FMUA,INDIA,Title 8,Inadmissibles,5
2021,FYTD,APR,Office of Field Operations,Northern Land Border,Buffalo Field Office,Buffalo,FMUA,OTHER,Title 8,Inadmissibles,7
2021,FYTD,APR,Office of Field Operations,Northern Land Border,Buffalo Field Office,Buffalo,Single Adults,CANADA,Title 42,Expulsions,14
2021,FYTD,APR,Office of Field Operations,Northern Land Border,Buffalo Field Office,Buffalo,Single Adults,CANADA,Title 8,Inadmissibles,239
2021,FYTD,APR,Office of Field Operations,Northern Land Border,Buffalo Field Office,Buffalo,Single Adults,"CHINA, PEOPLES REPUBLIC OF",Title 42,Expulsions,2
2021,FYTD,APR,Office of Field Operations,Northern Land Border,Buffalo Field Office,Buffalo,Single Adults,"CHINA, PEOPLES REPUBLIC OF",Title 8,Inadmissibles,4
2021,FYTD,APR,Office of Field Operations,Northern Land Border,Buffalo Field Office,Buffalo,Single Adults,COLOMBIA,Title 42,Expulsions,2
2021,FYTD,APR,Office of Field Operations,Northern Land Border,Buffalo Field Office,Buffalo,Single Adults,COLOMBIA,Title 8,Inadmissibles,7
2021,FYTD,APR,Office of Field Operations,Northern Land Border,Buffalo Field Office,Buffalo,Single Adults,CUBA,Title 42,Expulsions,1
2021,FYTD,APR,Office of Field Operations,Northern Land Border,Buffalo Field Office,Buffalo,Single Adults,CUBA,Title 8,Inadmissibles,1
2021,FYTD,APR,Office of Field Operations,Northern Land Border,Buffalo Field Office,Buffalo,Single Adults,ECUADOR,Title 42,Expulsions,1
2021,FYTD,APR,Office of Field Operations,Northern Land Border,Buffalo Field Office,Buffalo,Single Adults,EL SALVADOR,Title 8,Inadmissibles,2
2021,FYTD,APR,Office of Field Operations,Northern Land Border,Buffalo Field Office,Buffalo,Single Adults,GUATEMALA,Title 8,Inadmissibles,4
2021,FYTD,APR,Office of Field Operations,Northern Land Border,Buffalo Field Office,Buffalo,Single Adults,HAITI,Title 42,Expulsions,3
2021,FYTD,APR,Office of Field Operations,Northern Land Border,Buffalo Field Office,Buffalo,Single Adults,HAITI,Title 8,Inadmissibles,3
2021,FYTD,APR,Office of Field Operations,Northern Land Border,Buffalo Field Office,Buffalo,Single Adults,INDIA,Title 42,Expulsions,25
2021,FYTD,APR,Office of Field Operations,Northern Land Border,Buffalo Field Office,Buffalo,Single Adults,INDIA,Title 8,Inadmissibles,14
2021,FYTD,APR,Office of Field Operations,Northern Land Border,Buffalo Field Office,Buffalo,Single Adults,MEXICO,Title 42,Expulsions,1
2021,FYTD,APR,Office of Field Operations,Northern Land Border,Buffalo Field Office,Buffalo,Single Adults,MEXICO,Title 8,Inadmissibles,1
2021,FYTD,APR,Office of Field Operations,Northern Land Border,Buffalo Field Office,Buffalo,Single Adults,OTHER,Title 42,Expulsions,54
2021,FYTD,APR,Office of Field Operations,Northern Land Border,Buffalo Field Office,Buffalo,Single Adults,OTHER,Title 8,Inadmissibles,25
2021,FYTD,APR,Office of Field Operations,Northern Land Border,Buffalo Field Office,Buffalo,Single Adults,PHILIPPINES,Title 8,Inadmissibles,1
2021,FYTD,APR,Office of Field Operations,Northern Land Border,Buffalo Field Office,Buffalo,Single Adults,TURKEY,Title 8,Inadmissibles,4
2021,FYTD,APR,Office of Field Operations,Northern Land Border,Buffalo Field Office,Buffalo,Single Adults,UKRAINE,Title 42,Expulsions,3
2021,FYTD,APR,Office of Field Operations,Northern Land Border,Buffalo Field Office,Buffalo,Single Adults,VENEZUELA,Title 8,Inadmissibles,3
2021,FYTD,APR,Office of Field Operations,Northern Land Border,Buffalo Field Office,Buffalo,UC / Single Minors,CANADA,Title 8,Inadmissibles,2
2021,FYTD,APR,Office of Field Operations,Northern Land Border,Detroit Field Office,Detroit,FMUA,CANADA,Title 8,Inadmissibles,10
2021,FYTD,APR,Office of Field Operations,Northern Land Border,Detroit Field Office,Detroit,FMUA,INDIA,Title 8,Inadmissibles,3
2021,FYTD,APR,Office of Field Operations,Northern Land Border,Detroit Field Office,Detroit,Single Adults,CANADA,Title 42,Expulsions,3
2021,FYTD,APR,Office of Field Operations,Northern Land Border,Detroit Field Office,Detroit,Single Adults,CANADA,Title 8,Inadmissibles,83
2021,FYTD,APR,Office of Field Operations,Northern Land Border,Detroit Field Office,Detroit,Single Adults,"CHINA, PEOPLES REPUBLIC OF",Title 8,Inadmissibles,1
2021,FYTD,APR,Office of Field Operations,Northern Land Border,Detroit Field Office,Detroit,Single Adults,GUATEMALA,Title 8,Inadmissibles,3
2021,FYTD,APR,Office of Field Operations,Northern Land Border,Detroit Field Office,Detroit,Single Adults,HONDURAS,Title 8,Inadmissibles,3
2021,FYTD,APR,Office of Field Operations,Northern Land Border,Detroit Field Office,Detroit,Single Adults,INDIA,Title 42,Expulsions,2
2021,FYTD,APR,Office of Field Operations,Northern Land Border,Detroit Field Office,Detroit,Single Adults,INDIA,Title 8,Inadmissibles,9
2021,FYTD,APR,Office of Field Operations,Northern Land Border,Detroit Field Office,Detroit,Single Adults,MEXICO,Title 8,Inadmissibles,2
2021,FYTD,APR,Office of Field Operations,Northern Land Border,Detroit Field Office,Detroit,Single Adults,OTHER,Title 42,Expulsions,3
2021,FYTD,APR,Office of Field Operations,Northern Land Border,Detroit Field Office,Detroit,Single Adults,OTHER,Title 8,Inadmissibles,4
2021,FYTD,APR,Office of Field Operations,Northern Land Border,Detroit Field Office,Detroit,Single Adults,UKRAINE,Title 42,Expulsions,1
2021,FYTD,APR,Office of Field Operations,Northern Land Border,Seattle Field Office,Seattle,Accompanied Minors,CANADA,Title 42,Expulsions,1
2021,FYTD,APR,Office of Field Operations,Northern Land Border,Seattle Field Office,Seattle,Accompanied Minors,CANADA,Title 8,Inadmissibles,2
2021,FYTD,APR,Office of Field Operations,Northern Land Border,Seattle Field Office,Seattle,Accompanied Minors,"CHINA, PEOPLES REPUBLIC OF",Title 8,Inadmissibles,1
2021,FYTD,APR,Office of Field Operations,Northern Land Border,Seattle Field Office,Seattle,Accompanied Minors,INDIA,Title 42,Expulsions,2
2021,FYTD,APR,Office of Field Operations,Northern Land Border,Seattle Field Office,Seattle,Accompanied Minors,MEXICO,Title 42,Expulsions,6
2021,FYTD,APR,Office of Field Operations,Northern Land Border,Seattle Field Office,Seattle,Accompanied Minors,OTHER,Title 42,Expulsions,2
2021,FYTD,APR,Office of Field Operations,Northern Land Border,Seattle Field Office,Seattle,Accompanied Minors,PHILIPPINES,Title 8,Inadmissibles,1
2021,FYTD,APR,Office of Field Operations,Northern Land Border,Seattle Field Office,Seattle,FMUA,CANADA,Title 8,Inadmissibles,6
2021,FYTD,APR,Office of Field Operations,Northern Land Border,Seattle Field Office,Seattle,FMUA,"CHINA, PEOPLES REPUBLIC OF",Title 8,Inadmissibles,22
2021,FYTD,APR,Office of Field Operations,Northern Land Border,Seattle Field Office,Seattle,FMUA,COLOMBIA,Title 8,Inadmissibles,3
2021,FYTD,APR,Office of Field Operations,Northern Land Border,Seattle Field Office,Seattle,FMUA,INDIA,Title 8,Inadmissibles,3
2021,FYTD,APR,Office of Field Operations,Northern Land Border,Seattle Field Office,Seattle,FMUA,OTHER,Title 8,Inadmissibles,17
2021,FYTD,APR,Office of Field Operations,Northern Land Border,Seattle Field Office,Seattle,FMUA,RUSSIA,Title 8,Inadmissibles,2
2021,FYTD,APR,Office of Field Operations,Northern Land Border,Seattle Field Office,Seattle,FMUA,VENEZUELA,Title 8,Inadmissibles,4
2021,FYTD,APR,Office of Field Operations,Northern Land Border,Seattle Field Office,Seattle,Single Adults,CANADA,Title 42,Expulsions,10
2021,FYTD,APR,Office of Field Operations,Northern Land Border,Seattle Field Office,Seattle,Single Adults,CANADA,Title 8,Inadmissibles,76
2021,FYTD,APR,Office of Field Operations,Northern Land Border,Seattle Field Office,Seattle,Single Adults,"CHINA, PEOPLES REPUBLIC OF",Title 42,Expulsions,1
2021,FYTD,APR,Office of Field Operations,Northern Land Border,Seattle Field Office,Seattle,Single Adults,"CHINA, PEOPLES REPUBLIC OF",Title 8,Inadmissibles,34
2021,FYTD,APR,Office of Field Operations,Northern Land Border,Seattle Field Office,Seattle,Single Adults,COLOMBIA,Title 8,Inadmissibles,6
2021,FYTD,APR,Office of Field Operations,Northern Land Border,Seattle Field Office,Seattle,Single Adults,CUBA,Title 8,Inadmissibles,1
2021,FYTD,APR,Office of Field Operations,Northern Land Border,Seattle Field Office,Seattle,Single Adults,EL SALVADOR,Title 8,Inadmissibles,1
2021,FYTD,APR,Office of Field Operations,Northern Land Border,Seattle Field Office,Seattle,Single Adults,GUATEMALA,Title 8,Inadmissibles,1
2021,FYTD,APR,Office of Field Operations,Northern Land Border,Seattle Field Office,Seattle,Single Adults,HONDURAS,Title 8,Inadmissibles,3
2021,FYTD,APR,Office of Field Operations,Northern Land Border,Seattle Field Office,Seattle,Single Adults,INDIA,Title 42,Expulsions,7
2021,FYTD,APR,Office of Field Operations,Northern Land Border,Seattle Field Office,Seattle,Single Adults,INDIA,Title 8,Inadmissibles,110
2021,FYTD,APR,Office of Field Operations,Northern Land Border,Seattle Field Office,Seattle,Single Adults,MEXICO,Title 42,Expulsions,2
2021,FYTD,APR,Office of Field Operations,Northern Land Border,Seattle Field Office,Seattle,Single Adults,MEXICO,Title 8,Inadmissibles,3
2021,FYTD,APR,Office of Field Operations,Northern Land Border,Seattle Field Office,Seattle,Single Adults,NICARAGUA,Title 8,Inadmissibles,1
2021,FYTD,APR,Office of Field Operations,Northern Land Border,Seattle Field Office,Seattle,Single Adults,OTHER,Title 42,Expulsions,24
2021,FYTD,APR,Office of Field Operations,Northern Land Border,Seattle Field Office,Seattle,Single Adults,OTHER,Title 8,Inadmissibles,62
2021,FYTD,APR,Office of Field Operations,Northern Land Border,Seattle Field Office,Seattle,Single Adults,PHILIPPINES,Title 8,Inadmissibles,17
2021,FYTD,APR,Office of Field Operations,Northern Land Border,Seattle Field Office,Seattle,Single Adults,ROMANIA,Title 8,Inadmissibles,1
2021,FYTD,APR,Office of Field Operations,Northern Land Border,Seattle Field Office,Seattle,Single Adults,TURKEY,Title 8,Inadmissibles,3
2021,FYTD,APR,Office of Field Operations,Northern Land Border,Seattle Field Office,Seattle,Single Adults,UKRAINE,Title 42,Expulsions,3
2021,FYTD,APR,Office of Field Operations,Northern Land Border,Seattle Field Office,Seattle,Single Adults,UKRAINE,Title 8,Inadmissibles,1
2021,FYTD,APR,Office of Field Operations,Northern Land Border,Seattle Field Office,Seattle,UC / Single Minors,OTHER,Title 8,Inadmissibles,2
2021,FYTD,APR,Office of Field Operations,Northern Land Border,Seattle Field Office,Seattle,UC / Single Minors,UKRAINE,Title 8,Inadmissibles,1
2021,FYTD,APR,Office of Field Operations,Other,Atlanta Field Office,Atlanta,FMUA,OTHER,Title 8,Inadmissibles,4
2021,FYTD,APR,Office of Field Operations,Other,Atlanta Field Office,Atlanta,FMUA,VENEZUELA,Title 8,Inadmissibles,4
2021,FYTD,APR,Office of Field Operations,Other,Atlanta Field Office,Atlanta,Single Adults,BRAZIL,Title 8,Inadmissibles,1
2021,FYTD,APR,Office of Field Operations,Other,Atlanta Field Office,Atlanta,Single Adults,CANADA,Title 8,Inadmissibles,10
2021,FYTD,APR,Office of Field Operations,Other,Atlanta Field Office,Atlanta,Single Adults,"CHINA, PEOPLES REPUBLIC OF",Title 8,Inadmissibles,137
2021,FYTD,APR,Office of Field Operations,Other,Atlanta Field Office,Atlanta,Single Adults,COLOMBIA,Title 8,Inadmissibles,36
2021,FYTD,APR,Office of Field Operations,Other,Atlanta Field Office,Atlanta,Single Adults,CUBA,Title 8,Inadmissibles,15
2021,FYTD,APR,Office of Field Operations,Other,Atlanta Field Office,Atlanta,Single Adults,ECUADOR,Title 8,Inadmissibles,4
2021,FYTD,APR,Office of Field Operations,Other,Atlanta Field Office,Atlanta,Single Adults,GUATEMALA,Title 8,Inadmissibles,6
2021,FYTD,APR,Office of Field Operations,Other,Atlanta Field Office,Atlanta,Single Adults,HAITI,Title 8,Inadmissibles,2
2021,FYTD,APR,Office of Field Operations,Other,Atlanta Field Office,Atlanta,Single Adults,HONDURAS,Title 8,Inadmissibles,5
2021,FYTD,APR,Office of Field Operations,Other,Atlanta Field Office,Atlanta,Single Adults,INDIA,Title 8,Inadmissibles,158
2021,FYTD,APR,Office of Field Operations,Other,Atlanta Field Office,Atlanta,Single Adults,MEXICO,Title 8,Inadmissibles,71
2021,FYTD,APR,Office of Field Operations,Other,Atlanta Field Office,Atlanta,Single Adults,MYANMAR (BURMA),Title 8,Inadmissibles,48
2021,FYTD,APR,Office of Field Operations,Other,Atlanta Field Office,Atlanta,Single Adults,OTHER,Title 8,Inadmissibles,137
2021,FYTD,APR,Office of Field Operations,Other,Atlanta Field Office,Atlanta,Single Adults,PERU,Title 8,Inadmissibles,1
2021,FYTD,APR,Office of Field Operations,Other,Atlanta Field Office,Atlanta,Single Adults,PHILIPPINES,Title 8,Inadmissibles,457
2021,FYTD,APR,Office of Field Operations,Other,Atlanta Field Office,Atlanta,Single Adults,ROMANIA,Title 8,Inadmissibles,12
2021,FYTD,APR,Office of Field Operations,Other,Atlanta Field Office,Atlanta,Single Adults,RUSSIA,Title 8,Inadmissibles,39
2021,FYTD,APR,Office of Field Operations,Other,Atlanta Field Office,Atlanta,Single Adults,TURKEY,Title 8,Inadmissibles,10
2021,FYTD,APR,Office of Field Operations,Other,Atlanta Field Office,Atlanta,Single Adults,UKRAINE,Title 8,Inadmissibles,71
2021,FYTD,APR,Office of Field Operations,Other,Atlanta Field Office,Atlanta,Single Adults,VENEZUELA,Title 8,Inadmissibles,10
2021,FYTD,APR,Office of Field Operations,Other,Baltimore Field Office,Baltimore,Single Adults,BRAZIL,Title 8,Inadmissibles,2
2021,FYTD,APR,Office of Field Operations,Other,Baltimore Field Office,Baltimore,Single Adults,"CHINA, PEOPLES REPUBLIC OF",Title 8,Inadmissibles,111
2021,FYTD,APR,Office of Field Operations,Other,Baltimore Field Office,Baltimore,Single Adults,EL SALVADOR,Title 8,Inadmissibles,6
2021,FYTD,APR,Office of Field Operations,Other,Baltimore Field Office,Baltimore,Single Adults,GUATEMALA,Title 8,Inadmissibles,3
2021,FYTD,APR,Office of Field Operations,Other,Baltimore Field Office,Baltimore,Single Adults,INDIA,Title 8,Inadmissibles,87
2021,FYTD,APR,Office of Field Operations,Other,Baltimore Field Office,Baltimore,Single Adults,MEXICO,Title 8,Inadmissibles,3
2021,FYTD,APR,Office of Field Operations,Other,Baltimore Field Office,Baltimore,Single Adults,MYANMAR (BURMA),Title 8,Inadmissibles,47
2021,FYTD,APR,Office of Field Operations,Other,Baltimore Field Office,Baltimore,Single Adults,OTHER,Title 8,Inadmissibles,127
2021,FYTD,APR,Office of Field Operations,Other,Baltimore Field Office,Baltimore,Single Adults,PHILIPPINES,Title 8,Inadmissibles,333
2021,FYTD,APR,Office of Field Operations,Other,Baltimore Field Office,Baltimore,Single Adults,ROMANIA,Title 8,Inadmissibles,7
2021,FYTD,APR,Office of Field Operations,Other,Baltimore Field Office,Baltimore,Single Adults,RUSSIA,Title 8,Inadmissibles,78
2021,FYTD,APR,Office of Field Operations,Other,Baltimore Field Office,Baltimore,Single Adults,TURKEY,Title 8,Inadmissibles,35
2021,FYTD,APR,Office of Field Operations,Other,Baltimore Field Office,Baltimore,Single Adults,UKRAINE,Title 8,Inadmissibles,114
2021,FYTD,APR,Office of Field Operations,Other,Baltimore Field Office,Baltimore,Single Adults,VENEZUELA,Title 8,Inadmissibles,2
2021,FYTD,APR,Office of Field Operations,Other,Boston Field Office,Boston,Single Adults,BRAZIL,Title 8,Inadmissibles,1
2021,FYTD,APR,Office of Field Operations,Other,Boston Field Office,Boston,Single Adults,"CHINA, PEOPLES REPUBLIC OF",Title 8,Inadmissibles,1
2021,FYTD,APR,Office of Field Operations,Other,Boston Field Office,Boston,Single Adults,HAITI,Title 8,Inadmissibles,3
2021,FYTD,APR,Office of Field Operations,Other,Boston Field Office,Boston,Single Adults,INDIA,Title 8,Inadmissibles,10
2021,FYTD,APR,Office of Field Operations,Other,Boston Field Office,Boston,Single Adults,MEXICO,Title 8,Inadmissibles,1
2021,FYTD,APR,Office of Field Operations,Other,Boston Field Office,Boston,Single Adults,OTHER,Title 8,Inadmissibles,56
2021,FYTD,APR,Office of Field Operations,Other,Boston Field Office,Boston,Single Adults,PHILIPPINES,Title 8,Inadmissibles,34
2021,FYTD,APR,Office of Field Operations,Other,Boston Field Office,Boston,Single Adults,ROMANIA,Title 8,Inadmissibles,1
2021,FYTD,APR,Office of Field Operations,Other,Boston Field Office,Boston,Single Adults,RUSSIA,Title 8,Inadmissibles,10
2021,FYTD,APR,Office of Field Operations,Other,Boston Field Office,Boston,Single Adults,TURKEY,Title 8,Inadmissibles,2
2021,FYTD,APR,Office of Field Operations,Other,Boston Field Office,Boston,Single Adults,UKRAINE,Title 8,Inadmissibles,3
2021,FYTD,APR,Office of Field Operations,Other,Boston Field Office,Boston,UC / Single Minors,OTHER,Title 8,Inadmissibles,1
2021,FYTD,APR,Office of Field Operations,Other,Chicago Field Office,Chicago,FMUA,MEXICO,Title 8,Inadmissibles,28
2021,FYTD,APR,Office of Field Operations,Other,Chicago Field Office,Chicago,FMUA,OTHER,Title 8,Inadmissibles,10
2021,FYTD,APR,Office of Field Operations,Other,Chicago Field Office,Chicago,Single Adults,BRAZIL,Title 8,Inadmissibles,1
2021,FYTD,APR,Office of Field Operations,Other,Chicago Field Office,Chicago,Single Adults,CANADA,Title 8,Inadmissibles,58
2021,FYTD,APR,Office of Field Operations,Other,Chicago Field Office,Chicago,Single Adults,"CHINA, PEOPLES REPUBLIC OF",Title 8,Inadmissibles,10
2021,FYTD,APR,Office of Field Operations,Other,Chicago Field Office,Chicago,Single Adults,GUATEMALA,Title 8,Inadmissibles,1
2021,FYTD,APR,Office of Field Operations,Other,Chicago Field Office,Chicago,Single Adults,HONDURAS,Title 8,Inadmissibles,2
2021,FYTD,APR,Office of Field Operations,Other,Chicago Field Office,Chicago,Single Adults,INDIA,Title 8,Inadmissibles,77
2021,FYTD,APR,Office of Field Operations,Other,Chicago Field Office,Chicago,Single Adults,MEXICO,Title 8,Inadmissibles,194
2021,FYTD,APR,Office of Field Operations,Other,Chicago Field Office,Chicago,Single Adults,OTHER,Title 8,Inadmissibles,83
2021,FYTD,APR,Office of Field Operations,Other,Chicago Field Office,Chicago,Single Adults,PERU,Title 8,Inadmissibles,2
2021,FYTD,APR,Office of Field Operations,Other,Chicago Field Office,Chicago,Single Adults,PHILIPPINES,Title 8,Inadmissibles,8
2021,FYTD,APR,Office of Field Operations,Other,Chicago Field Office,Chicago,Single Adults,ROMANIA,Title 8,Inadmissibles,4
2021,FYTD,APR,Office of Field Operations,Other,Chicago Field Office,Chicago,Single Adults,RUSSIA,Title 8,Inadmissibles,3
2021,FYTD,APR,Office of Field Operations,Other,Chicago Field Office,Chicago,Single Adults,TURKEY,Title 8,Inadmissibles,4
2021,FYTD,APR,Office of Field Operations,Other,Chicago Field Office,Chicago,Single Adults,UKRAINE,Title 8,Inadmissibles,25
2021,FYTD,APR,Office of Field Operations,Other,Chicago Field Office,Chicago,Single Adults,VENEZUELA,Title 8,Inadmissibles,1
2021,FYTD,APR,Office of Field Operations,Other,Chicago Field Office,Chicago,UC / Single Minors,MEXICO,Title 8,Inadmissibles,1
2021,FYTD,APR,Office of Field Operations,Other,Detroit Field Office,Detroit,Single Adults,BRAZIL,Title 8,Inadmissibles,1
2021,FYTD,APR,Office of Field Operations,Other,Detroit Field Office,Detroit,Single Adults,CANADA,Title 8,Inadmissibles,1
2021,FYTD,APR,Office of Field Operations,Other,Detroit Field Office,Detroit,Single Adults,"CHINA, PEOPLES REPUBLIC OF",Title 8,Inadmissibles,2
2021,FYTD,APR,Office of Field Operations,Other,Detroit Field Office,Detroit,Single Adults,MEXICO,Title 8,Inadmissibles,9
2021,FYTD,APR,Office of Field Operations,Other,Detroit Field Office,Detroit,Single Adults,OTHER,Title 8,Inadmissibles,15
2021,FYTD,APR,Office of Field Operations,Other,Detroit Field Office,Detroit,Single Adults,PHILIPPINES,Title 8,Inadmissibles,1
2021,FYTD,APR,Office of Field Operations,Other,Detroit Field Office,Detroit,Single Adults,UKRAINE,Title 8,Inadmissibles,1
2021,FYTD,APR,Office of Field Operations,Other,Houston Field Office,Houston,FMUA,COLOMBIA,Title 8,Inadmissibles,5
2021,FYTD,APR,Office of Field Operations,Other,Houston Field Office,Houston,FMUA,GUATEMALA,Title 8,Inadmissibles,2
2021,FYTD,APR,Office of Field Operations,Other,Houston Field Office,Houston,FMUA,MEXICO,Title 8,Inadmissibles,10
2021,FYTD,APR,Office of Field Operations,Other,Houston Field Office,Houston,FMUA,OTHER,Title 8,Inadmissibles,2
2021,FYTD,APR,Office of Field Operations,Other,Houston Field Office,Houston,Single Adults,BRAZIL,Title 8,Inadmissibles,4
2021,FYTD,APR,Office of Field Operations,Other,Houston Field Office,Houston,Single Adults,CANADA,Title 8,Inadmissibles,6
2021,FYTD,APR,Office of Field Operations,Other,Houston Field Office,Houston,Single Adults,"CHINA, PEOPLES REPUBLIC OF",Title 8,Inadmissibles,393
2021,FYTD,APR,Office of Field Operations,Other,Houston Field Office,Houston,Single Adults,COLOMBIA,Title 8,Inadmissibles,48
2021,FYTD,APR,Office of Field Operations,Other,Houston Field Office,Houston,Single Adults,ECUADOR,Title 8,Inadmissibles,5
2021,FYTD,APR,Office of Field Operations,Other,Houston Field Office,Houston,Single Adults,EL SALVADOR,Title 8,Inadmissibles,16
2021,FYTD,APR,Office of Field Operations,Other,Houston Field Office,Houston,Single Adults,GUATEMALA,Title 8,Inadmissibles,21
2021,FYTD,APR,Office of Field Operations,Other,Houston Field Office,Houston,Single Adults,HONDURAS,Title 8,Inadmissibles,37
2021,FYTD,APR,Office of Field Operations,Other,Houston Field Office,Houston,Single Adults,INDIA,Title 8,Inadmissibles,1448
2021,FYTD,APR,Office of Field Operations,Other,Houston Field Office,Houston,Single Adults,MEXICO,Title 8,Inadmissibles,340
2021,FYTD,APR,Office of Field Operations,Other,Houston Field Office,Houston,Single Adults,MYANMAR (BURMA),Title 8,Inadmissibles,17
2021,FYTD,APR,Office of Field Operations,Other,Houston Field Office,Houston,Single Adults,NICARAGUA,Title 8,Inadmissibles,1
2021,FYTD,APR,Office of Field Operations,Other,Houston Field Office,Houston,Single Adults,OTHER,Title 8,Inadmissibles,586
2021,FYTD,APR,Office of Field Operations,Other,Houston Field Office,Houston,Single Adults,PERU,Title 8,Inadmissibles,67
2021,FYTD,APR,Office of Field Operations,Other,Houston Field Office,Houston,Single Adults,PHILIPPINES,Title 8,Inadmissibles,1148
2021,FYTD,APR,Office of Field Operations,Other,Houston Field Office,Houston,Single Adults,ROMANIA,Title 8,Inadmissibles,18
2021,FYTD,APR,Office of Field Operations,Other,Houston Field Office,Houston,Single Adults,RUSSIA,Title 8,Inadmissibles,232
2021,FYTD,APR,Office of Field Operations,Other,Houston Field Office,Houston,Single Adults,TURKEY,Title 8,Inadmissibles,135
2021,FYTD,APR,Office of Field Operations,Other,Houston Field Office,Houston,Single Adults,UKRAINE,Title 8,Inadmissibles,138
2021,FYTD,APR,Office of Field Operations,Other,Houston Field Office,Houston,Single Adults,VENEZUELA,Title 8,Inadmissibles,22
2021,FYTD,APR,Office of Field Operations,Other,Houston Field Office,Houston,UC / Single Minors,MEXICO,Title 8,Inadmissibles,1
2021,FYTD,APR,Office of Field Operations,Other,Houston Field Office,Houston,UC / Single Minors,OTHER,Title 8,Inadmissibles,1
2021,FYTD,APR,Office of Field Operations,Other,Laredo Field Office,Laredo,FMUA,MEXICO,Title 8,Inadmissibles,4
2021,FYTD,APR,Office of Field Operations,Other,Laredo Field Office,Laredo,Single Adults,"CHINA, PEOPLES REPUBLIC OF",Title 8,Inadmissibles,18
2021,FYTD,APR,Office of Field Operations,Other,Laredo Field Office,Laredo,Single Adults,INDIA,Title 8,Inadmissibles,8
2021,FYTD,APR,Office of Field Operations,Other,Laredo Field Office,Laredo,Single Adults,MEXICO,Title 8,Inadmissibles,338
2021,FYTD,APR,Office of Field Operations,Other,Laredo Field Office,Laredo,Single Adults,MYANMAR (BURMA),Title 8,Inadmissibles,12
2021,FYTD,APR,Office of Field Operations,Other,Laredo Field Office,Laredo,Single Adults,OTHER,Title 8,Inadmissibles,23
2021,FYTD,APR,Office of Field Operations,Other,Laredo Field Office,Laredo,Single Adults,PHILIPPINES,Title 8,Inadmissibles,24
2021,FYTD,APR,Office of Field Operations,Other,Laredo Field Office,Laredo,Single Adults,RUSSIA,Title 8,Inadmissibles,1
2021,FYTD,APR,Office of Field Operations,Other,Laredo Field Office,Laredo,Single Adults,TURKEY,Title 8,Inadmissibles,17
2021,FYTD,APR,Office of Field Operations,Other,Laredo Field Office,Laredo,Single Adults,UKRAINE,Title 8,Inadmissibles,41
2021,FYTD,APR,Office of Field Operations,Other,Los Angeles Field Office,Los Angeles,FMUA,EL SALVADOR,Title 8,Inadmissibles,4
2021,FYTD,APR,Office of Field Operations,Other,Los Angeles Field Office,Los Angeles,FMUA,MEXICO,Title 8,Inadmissibles,15
2021,FYTD,APR,Office of Field Operations,Other,Los Angeles Field Office,Los Angeles,FMUA,OTHER,Title 8,Inadmissibles,4
2021,FYTD,APR,Office of Field Operations,Other,Los Angeles Field Office,Los Angeles,FMUA,PERU,Title 8,Inadmissibles,3
2021,FYTD,APR,Office of Field Operations,Other,Los Angeles Field Office,Los Angeles,Single Adults,BRAZIL,Title 8,Inadmissibles,5
2021,FYTD,APR,Office of Field Operations,Other,Los Angeles Field Office,Los Angeles,Single Adults,CANADA,Title 8,Inadmissibles,4
2021,FYTD,APR,Office of Field Operations,Other,Los Angeles Field Office,Los Angeles,Single Adults,"CHINA, PEOPLES REPUBLIC OF",Title 8,Inadmissibles,276
2021,FYTD,APR,Office of Field Operations,Other,Los Angeles Field Office,Los Angeles,Single Adults,COLOMBIA,Title 8,Inadmissibles,24
2021,FYTD,APR,Office of Field Operations,Other,Los Angeles Field Office,Los Angeles,Single Adults,ECUADOR,Title 8,Inadmissibles,2
2021,FYTD,APR,Office of Field Operations,Other,Los Angeles Field Office,Los Angeles,Single Adults,EL SALVADOR,Title 8,Inadmissibles,5
2021,FYTD,APR,Office of Field Operations,Other,Los Angeles Field Office,Los Angeles,Single Adults,GUATEMALA,Title 8,Inadmissibles,22
2021,FYTD,APR,Office of Field Operations,Other,Los Angeles Field Office,Los Angeles,Single Adults,HONDURAS,Title 8,Inadmissibles,3
2021,FYTD,APR,Office of Field Operations,Other,Los Angeles Field Office,Los Angeles,Single Adults,INDIA,Title 8,Inadmissibles,53
2021,FYTD,APR,Office of Field Operations,Other,Los Angeles Field Office,Los Angeles,Single Adults,MEXICO,Title 8,Inadmissibles,401
2021,FYTD,APR,Office of Field Operations,Other,Los Angeles Field Office,Los Angeles,Single Adults,MYANMAR (BURMA),Title 8,Inadmissibles,7
2021,FYTD,APR,Office of Field Operations,Other,Los Angeles Field Office,Los Angeles,Single Adults,NICARAGUA,Title 8,Inadmissibles,4
2021,FYTD,APR,Office of Field Operations,Other,Los Angeles Field Office,Los Angeles,Single Adults,OTHER,Title 8,Inadmissibles,160
2021,FYTD,APR,Office of Field Operations,Other,Los Angeles Field Office,Los Angeles,Single Adults,PERU,Title 8,Inadmissibles,8
