squad_no,country,pos,player,dob,age,caps,goals,club
17,Jamaica,DF,Allyson Swaby,1996-10-03T00:00:00Z,22,9,0,Roma
18,Jamaica,MF,Trudi Carter,1994-11-18T00:00:00Z,24,13,3,Roma
19,Jamaica,DF,Toriana Patterson,1994-02-02T00:00:00Z,25,10,0,Pink Sport Time
20,Jamaica,MF,Cheyna Matthews,1993-11-10T00:00:00Z,25,2,0,Washington Spirit
21,Jamaica,FW,Olufolasade Adamolekun,2001-02-21T00:00:00Z,18,4,0,United Soccer Alliance
22,Jamaica,FW,Kayla McCoy,1996-09-03T00:00:00Z,22,2,0,Houston Dash
23,Jamaica,GK,Yazmeen Jamieson,1998-03-17T00:00:00Z,21,3,0,Papakura City
1,Italy,GK,Laura Giuliani,1993-06-06T00:00:00Z,26,34,0,Juventus
2,Italy,MF,Valentina Bergamaschi,1997-01-22T00:00:00Z,22,14,3,Milan
3,Italy,DF,Sara Gama,1989-03-27T00:00:00Z,30,95,5,Juventus
4,Italy,MF,Aurora Galli,1996-12-13T00:00:00Z,22,22,0,Juventus
5,Italy,DF,Elena Linari,1994-04-15T00:00:00Z,25,28,0,Atlético Madrid
6,Italy,MF,Martina Rosucci,1992-05-09T00:00:00Z,27,35,1,Juventus
7,Italy,DF,Alia Guagni,1987-10-01T00:00:00Z,31,61,5,Fiorentina
8,Italy,MF,Alice Parisi,1990-12-11T00:00:00Z,28,45,5,Fiorentina
9,Italy,FW,Daniela Sabatino,1985-06-26T00:00:00Z,33,45,20,Milan
10,Italy,FW,Cristiana Girelli,1990-04-23T00:00:00Z,29,51,27,Juventus
11,Italy,MF,Barbara Bonansea,1991-06-13T00:00:00Z,27,48,17,Juventus
12,Italy,GK,Chiara Marchitelli,1985-05-04T00:00:00Z,34,40,0,Florentia
13,Italy,DF,Elisa Bartoli,1991-05-07T00:00:00Z,28,45,1,Roma
14,Italy,FW,Stefania Tarenzi ,1988-02-29T00:00:00Z,31,3,1,ChievoVerona Valpo [it]
15,Italy,MF,Annamaria Serturini ,1998-05-13T00:00:00Z,21,0,0,Roma
16,Italy,DF,Laura Fusetti,1990-10-08T00:00:00Z,28,0,0,Milan
17,Italy,DF,Lisa Boattin,1997-05-03T00:00:00Z,22,10,0,Juventus
18,Italy,FW,Ilaria Mauro,1988-05-22T00:00:00Z,31,24,8,Fiorentina
19,Italy,FW,Valentina Giacinti,1994-01-02T00:00:00Z,25,19,3,Milan
20,Italy,DF,Linda Tucceri,1991-04-04T00:00:00Z,28,8,1,Milan
21,Italy,MF,Valentina Cernoia,1991-06-22T00:00:00Z,27,30,6,Juventus
22,Italy,GK,Rosalia Pipitone ,1985-08-03T00:00:00Z,33,3,0,Roma
23,Italy,MF,Manuela Giugliano,1997-08-18T00:00:00Z,21,20,3,Milan
1,Brazil,GK,Bárbara,1988-07-04T00:00:00Z,30,41,0,Kindermann
2,Brazil,DF,Fabiana,1989-08-04T00:00:00Z,29,59,6,Internacional
3,Brazil,DF,Érika,1988-02-04T00:00:00Z,31,65,13,Corinthians
4,Brazil,DF,Tayla,1992-05-09T00:00:00Z,27,31,1,Benfica
5,Brazil,MF,Thaisa,1988-12-17T00:00:00Z,30,64,4,Milan
6,Brazil,DF,Tamires,1987-10-10T00:00:00Z,31,43,3,Fortuna Hjørring
7,Brazil,FW,Andressa Alves,1992-11-10T00:00:00Z,26,39,10,Barcelona
8,Brazil,MF,Formiga,1978-03-03T00:00:00Z,41,160,23,Paris Saint-Germain
9,Brazil,FW,Debinha,1991-10-20T00:00:00Z,27,45,14,North Carolina Courage
10,Brazil,FW,Marta,1986-02-19T00:00:00Z,33,133,110,Orlando Pride
11,Brazil,FW,Cristiane,1985-05-15T00:00:00Z,34,117,83,São Paulo
12,Brazil,GK,Aline Villares,1989-04-15T00:00:00Z,30,9,0,Granadilla
13,Brazil,DF,Letícia Santos,1994-12-02T00:00:00Z,24,19,0,SC Sand
14,Brazil,DF,Kathellen,1996-04-26T00:00:00Z,23,4,0,Bordeaux
15,Brazil,DF,Camila Martins,1994-10-10T00:00:00Z,24,18,2,Orlando Pride
16,Brazil,FW,Beatriz,1993-12-17T00:00:00Z,25,38,17,Incheon Hyundai Steel Red Angels
17,Brazil,MF,Andressinha,1995-05-01T00:00:00Z,24,43,10,Portland Thorns
18,Brazil,MF,Luana,1993-05-02T00:00:00Z,26,6,0,Hwacheon KSPO
19,Brazil,FW,Ludmila,1994-12-11T00:00:00Z,24,13,1,Atlético Madrid
20,Brazil,FW,Raquel,1991-03-21T00:00:00Z,28,40,3,Sporting Huelva
21,Brazil,DF,Mônica,1987-04-21T00:00:00Z,32,42,6,Corinthians
22,Brazil,GK,Letícia Izidoro,1994-08-13T00:00:00Z,24,3,0,Corinthians
23,Brazil,FW,Geyse,1994-05-21T00:00:00Z,25,7,0,Benfica
1,Australia,GK,Lydia Williams,1988-05-13T00:00:00Z,31,77,0,Reign FC
2,Australia,DF,Gema Simon,1990-07-19T00:00:00Z,28,11,0,Newcastle Jets
3,Australia,MF,Aivi Luik,1985-03-18T00:00:00Z,34,21,0,Levante
4,Australia,DF,Clare Polkinghorne,1989-02-01T00:00:00Z,30,116,9,Houston Dash
5,Australia,DF,Laura Alleway,1989-11-28T00:00:00Z,29,60,2,Melbourne Victory
6,Australia,MF,Chloe Logarzo,1994-12-22T00:00:00Z,24,37,6,Washington Spirit
7,Australia,DF,Steph Catley,1994-01-26T00:00:00Z,25,71,2,Reign FC
8,Australia,MF,Elise Kellond-Knight,1990-08-10T00:00:00Z,28,106,1,Reign FC
9,Australia,FW,Caitlin Foord,1994-11-11T00:00:00Z,24,71,16,Portland Thorns
10,Australia,MF,Emily van Egmond,1993-07-12T00:00:00Z,25,85,18,Orlando Pride
11,Australia,FW,Lisa De Vanna,1984-11-14T00:00:00Z,34,147,47,Sydney FC
12,Australia,GK,Teagan Micah,1997-10-20T00:00:00Z,21,0,0,UCLA Bruins
13,Australia,MF,Tameka Yallop,1991-06-16T00:00:00Z,27,78,10,Klepp
14,Australia,DF,Alanna Kennedy,1995-01-21T00:00:00Z,24,77,7,Orlando Pride
15,Australia,FW,Emily Gielnik,1992-05-13T00:00:00Z,27,28,7,Melbourne Victory
16,Australia,FW,Hayley Raso,1994-09-05T00:00:00Z,24,34,3,Portland Thorns
17,Australia,FW,Mary Fowler,2003-02-14T00:00:00Z,16,4,0,Bankstown City
18,Australia,GK,Mackenzie Arnold,1994-02-25T00:00:00Z,25,23,0,Brisbane Roar
19,Australia,MF,Katrina Gorry,1992-08-13T00:00:00Z,26,73,14,Brisbane Roar
20,Australia,FW,Sam Kerr,1993-09-10T00:00:00Z,25,76,31,Chicago Red Stars
21,Australia,DF,Ellie Carpenter,2000-04-28T00:00:00Z,19,31,1,Portland Thorns
22,Australia,MF,Amy Harrison,1996-04-21T00:00:00Z,23,10,0,Washington Spirit
23,Australia,DF,Teigen Allen,1994-02-12T00:00:00Z,25,40,0,Melbourne Victory
1,Spain,GK,Dolores Gallardo,1993-06-10T00:00:00Z,25,29,0,Atlético Madrid
2,Spain,DF,Celia Jiménez,1995-06-20T00:00:00Z,23,22,0,Reign FC
3,Spain,DF,Leila Ouahabi,1993-03-22T00:00:00Z,26,26,1,Barcelona
4,Spain,DF,Irene Paredes,1991-07-04T00:00:00Z,27,61,8,Paris Saint-Germain
5,Spain,DF,Ivana Andrés,1994-07-13T00:00:00Z,24,21,0,Levante
6,Spain,MF,Vicky Losada,1991-03-05T00:00:00Z,28,61,13,Barcelona
7,Spain,MF,Marta Corredera,1991-08-08T00:00:00Z,27,66,5,Levante
8,Spain,DF,Marta Torrejón,1990-02-27T00:00:00Z,29,85,9,Barcelona
9,Spain,FW,Mariona Caldentey,1996-03-19T00:00:00Z,23,20,2,Barcelona
10,Spain,FW,Jennifer Hermoso,1990-05-09T00:00:00Z,29,66,27,Atlético Madrid
11,Spain,MF,Alexia Putellas,1994-02-04T00:00:00Z,25,65,13,Barcelona
12,Spain,MF,Patricia Guijarro,1998-05-17T00:00:00Z,21,16,3,Barcelona
13,Spain,GK,Sandra Paños,1992-11-04T00:00:00Z,26,28,0,Barcelona
14,Spain,MF,Virginia Torrecilla,1994-09-04T00:00:00Z,24,53,6,Montpellier
15,Spain,MF,Silvia Meseguer,1989-03-12T00:00:00Z,30,64,5,Atlético Madrid
16,Spain,DF,María Pilar León,1995-06-13T00:00:00Z,23,23,0,Barcelona
17,Spain,FW,Lucía García,1998-07-14T00:00:00Z,20,13,0,Athletic Bilbao
18,Spain,MF,Aitana Bonmatí,1998-01-18T00:00:00Z,21,12,1,Barcelona
19,Spain,MF,Amanda Sampedro,1993-06-26T00:00:00Z,25,45,11,Atlético Madrid
20,Spain,DF,Andrea Pereira,1993-09-19T00:00:00Z,25,26,0,Barcelona
21,Spain,MF,Andrea Falcón,1997-02-28T00:00:00Z,22,7,1,Atlético Madrid
22,Spain,FW,Nahikari García,1997-03-10T00:00:00Z,22,7,1,Real Sociedad
23,Spain,GK,María Asunción Quiñones,1996-10-29T00:00:00Z,22,3,0,Real Sociedad
1,South Africa,GK,Mapaseka Mpuru,1998-04-09T00:00:00Z,21,0,0,University of Pretoria
2,South Africa,DF,Lebogang Ramalepe,1991-12-03T00:00:00Z,27,62,1,MaIndies
3,South Africa,DF,Nothando Vilakazi,1988-10-28T00:00:00Z,30,129,6,Gintra Universitetas
4,South Africa,DF,Noko Matlou,1985-09-30T00:00:00Z,33,152,61,MaIndies
5,South Africa,DF,Janine van Wyk,1987-04-17T00:00:00Z,32,166,11,JVW
6,South Africa,MF,Mamello Makhabane,1988-02-24T00:00:00Z,31,96,18,JVW
7,South Africa,MF,Karabo Dhlamini,2001-09-18T00:00:00Z,17,5,0,Mamelodi Sundowns
8,South Africa,FW,Ode Fulutudilu,1990-02-06T00:00:00Z,29,11,1,Málaga
9,South Africa,FW,Amanda Mthandi,1996-05-23T00:00:00Z,23,9,1,University of Johannesburg
10,South Africa,MF,Linda Motlhalo,1998-07-01T00:00:00Z,20,42,9,Beijing Phoenix
11,South Africa,FW,Thembi Kgatlana,1996-05-02T00:00:00Z,23,52,7,Beijing Phoenix
12,South Africa,FW,Jermaine Seoposenwe,1993-10-12T00:00:00Z,25,74,6,Gintra Universitetas
13,South Africa,DF,Bambanani Mbane,1990-03-12T00:00:00Z,29,43,0,Bloemfontein Celtic
14,South Africa,DF,Tiisetso Makhubela,1997-04-24T00:00:00Z,22,2,0,Mamelodi Sundowns
15,South Africa,MF,Refiloe Jane,1992-08-04T00:00:00Z,26,104,12,Unattached
16,South Africa,GK,Andile Dlamini,1992-09-02T00:00:00Z,26,37,0,Mamelodi Sundowns
17,South Africa,MF,Leandra Smeda,1989-07-22T00:00:00Z,29,95,10,Vittsjö
18,South Africa,DF,Bongeka Gamede,1999-05-22T00:00:00Z,20,0,0,University of the Western Cape
19,South Africa,MF,Kholosa Biyana,1994-04-16T00:00:00Z,25,17,0,University of KwaZulu-Natal
20,South Africa,GK,Kaylin Swart,1994-09-30T00:00:00Z,24,18,0,Golden Stars
21,South Africa,MF,Busisiwe Ndimeni,1991-06-25T00:00:00Z,27,26,0,Tshwane University of Technology
22,South Africa,FW,Rhoda Mulaudzi,1989-12-02T00:00:00Z,29,22,0,Unattached
23,South Africa,MF,Sibulele Holweni,2001-04-28T00:00:00Z,18,1,0,Sophakama Ladies/HPC
1,Germany,GK,Almuth Schult,1991-02-09T00:00:00Z,28,58,0,VfL Wolfsburg
2,Germany,DF,Carolin Simon,1992-11-24T00:00:00Z,26,15,2,Lyon
3,Germany,DF,Kathrin Hendrich,1992-04-06T00:00:00Z,27,29,4,Bayern Munich
4,Germany,DF,Leonie Maier,1992-09-29T00:00:00Z,26,69,10,Bayern Munich
5,Germany,DF,Marina Hegering ,1990-04-17T00:00:00Z,29,2,0,SGS Essen
6,Germany,MF,Lena Oberdorf ,2001-12-19T00:00:00Z,17,2,0,SGS Essen
7,Germany,MF,Lea Schüller,1997-11-12T00:00:00Z,21,12,8,SGS Essen
8,Germany,MF,Lena Goeßling,1986-03-08T00:00:00Z,33,104,8,VfL Wolfsburg
9,Germany,MF,Svenja Huth,1991-01-25T00:00:00Z,28,43,7,Turbine Potsdam
10,Germany,MF,Dzsenifer Marozsán,1992-04-18T00:00:00Z,27,89,32,Lyon
11,Germany,MF,Alexandra Popp,1991-04-06T00:00:00Z,28,95,45,VfL Wolfsburg
12,Germany,GK,Laura Benkarth,1992-10-14T00:00:00Z,26,8,0,Bayern Munich
13,Germany,MF,Sara Däbritz,1995-02-15T00:00:00Z,24,59,10,Bayern Munich
14,Germany,DF,Johanna Elsig,1992-11-01T00:00:00Z,26,12,0,Turbine Potsdam
15,Germany,DF,Giulia Gwinn,1999-07-02T00:00:00Z,19,7,1,SC Freiburg
16,Germany,MF,Linda Dallmann,1994-09-02T00:00:00Z,24,20,5,SGS Essen
17,Germany,MF,Verena Schweers,1989-05-22T00:00:00Z,30,44,3,Bayern Munich
18,Germany,FW,Melanie Leupolz,1994-04-14T00:00:00Z,25,57,8,Bayern Munich
19,Germany,FW,Klara Bühl ,2000-12-07T00:00:00Z,18,1,0,SC Freiburg
20,Germany,FW,Lina Magull,1994-08-15T00:00:00Z,24,30,7,Bayern Munich
21,Germany,GK,Merle Frohms,1995-01-28T00:00:00Z,24,4,0,SC Freiburg
22,Germany,FW,Turid Knaak,1991-01-24T00:00:00Z,28,7,1,SGS Essen
23,Germany,DF,Sara Doorsoun,1991-11-17T00:00:00Z,27,24,0,VfL Wolfsburg
1,China PR,GK,Xu Huan,1999-03-06T00:00:00Z,20,NA,NA,Beijing Phoenix
2,China PR,DF,Liu Shanshan,1992-03-16T00:00:00Z,27,58,0,Beijing Phoenix
3,China PR,DF,Lin Yuping,1992-02-28T00:00:00Z,27,NA,NA,Wuhan Jianghan University [zh]
4,China PR,MF,Lou Jiahui,1991-05-26T00:00:00Z,28,31,0,Henan Huishang
5,China PR,DF,Wu Haiyan,1993-02-26T00:00:00Z,26,69,0,Wuhan Jianghan University [zh]
6,China PR,DF,Han Peng,1989-12-20T00:00:00Z,29,86,3,Guangdong Huijun
7,China PR,MF,Wang Shuang,1995-01-23T00:00:00Z,24,93,25,Paris Saint-Germain
8,China PR,DF,Li Jiayue,1990-06-08T00:00:00Z,28,45,1,Shanghai [zh]
9,China PR,FW,Yang Li,1991-01-31T00:00:00Z,28,42,23,Jiangsu Suning [zh]
10,China PR,FW,Li Ying,1993-01-07T00:00:00Z,26,92,24,Guangdong Huijun
11,China PR,FW,Wang Shanshan,1990-01-27T00:00:00Z,29,77,10,Dalian Quanjian
12,China PR,GK,Peng Shimeng,1998-05-12T00:00:00Z,21,3,0,Jiangsu Suning [zh]
13,China PR,MF,Wang Yan,1991-08-22T00:00:00Z,27,NA,NA,Beijing Phoenix
14,China PR,DF,Wang Ying,1997-11-18T00:00:00Z,21,NA,NA,Wuhan Jianghan University [zh]
15,China PR,FW,Song Duan,1995-08-02T00:00:00Z,23,12,4,Dalian Quanjian
16,China PR,MF,Li Wen,1989-02-21T00:00:00Z,30,NA,NA,Dalian Quanjian
17,China PR,MF,Gu Yasha,1990-11-28T00:00:00Z,28,123,11,Beijing Phoenix
18,China PR,GK,Bi Xiaolin,1989-09-18T00:00:00Z,29,NA,NA,Dalian Quanjian
19,China PR,MF,Tan Ruyin,1994-07-17T00:00:00Z,24,45,1,Guangdong Huijun
20,China PR,MF,Zhang Rui,1989-01-17T00:00:00Z,30,99,17,Changchun Zhuoyue [zh]
21,China PR,MF,Yao Wei,1997-09-01T00:00:00Z,21,NA,NA,Wuhan Jianghan University [zh]
22,China PR,DF,Luo Guiping,1993-04-20T00:00:00Z,26,NA,NA,Guangdong Huijun
23,China PR,MF,Liu Yanqiu,1995-12-31T00:00:00Z,23,NA,NA,Wuhan Jianghan University [zh]
1,South Korea,GK,Kang Ga-ae,1990-12-10T00:00:00Z,28,13,0,Gumi Sportstoto
2,South Korea,DF,Lee Eun-mi,1988-08-18T00:00:00Z,30,87,14,Suwon UDC
3,South Korea,DF,Jeong Yeong-a,1990-12-09T00:00:00Z,28,12,0,Gyeongju KHNP
4,South Korea,DF,Hwang Bo-ram,1987-10-06T00:00:00Z,31,42,0,Hwacheon KSPO
5,South Korea,DF,Kim Do-yeon,1988-12-07T00:00:00Z,30,79,1,Incheon Hyundai Steel Red Angels
6,South Korea,DF,Lim Seon-joo,1990-11-27T00:00:00Z,28,76,5,Incheon Hyundai Steel Red Angels
7,South Korea,MF,Lee Min-a,1991-11-08T00:00:00Z,27,56,14,INAC Kobe Leonessa
8,South Korea,MF,Cho So-hyun,1988-06-24T00:00:00Z,30,120,20,West Ham United
9,South Korea,MF,Moon Mi-ra,1992-02-28T00:00:00Z,27,22,11,Suwon UDC
10,South Korea,FW,Ji So-yun,1991-02-21T00:00:00Z,28,115,54,Chelsea
11,South Korea,FW,Jung Seol-bin,1990-01-06T00:00:00Z,29,74,21,Incheon Hyundai Steel Red Angels
12,South Korea,MF,Kang Yu-mi,1991-10-05T00:00:00Z,27,25,8,Hwacheon KSPO
13,South Korea,FW,Yeo Min-ji,1993-04-27T00:00:00Z,26,34,12,Suwon UDC
14,South Korea,DF,Shin Dam-yeong,1993-10-02T00:00:00Z,25,37,1,Incheon Hyundai Steel Red Angels
15,South Korea,MF,Lee Young-ju,1992-04-22T00:00:00Z,27,28,2,Incheon Hyundai Steel Red Angels
16,South Korea,DF,Jang Sel-gi,1994-05-31T00:00:00Z,25,54,11,Incheon Hyundai Steel Red Angels
17,South Korea,FW,Lee Geum-min,1994-04-07T00:00:00Z,25,50,16,Gyeongju KHNP
18,South Korea,GK,Kim Min-Jeong,1996-09-12T00:00:00Z,22,2,0,Incheon Hyundai Steel Red Angels
19,South Korea,MF,Lee So-dam,1994-10-12T00:00:00Z,24,49,5,Incheon Hyundai Steel Red Angels
20,South Korea,DF,Kim Hye-ri,1990-06-25T00:00:00Z,28,80,1,Incheon Hyundai Steel Red Angels
21,South Korea,GK,Jung Bo-ram,1991-07-22T00:00:00Z,27,3,0,Hwacheon KSPO
22,South Korea,FW,Son Hwa-yeon,1997-03-15T00:00:00Z,22,20,7,Changnyeong
23,South Korea,MF,Kang Chae-rim,1998-03-23T00:00:00Z,21,1,0,Incheon Hyundai Steel Red Angels
1,Norway,GK,Ingrid Hjelmseth,1980-04-10T00:00:00Z,39,131,0,Stabæk
2,Norway,DF,Ingrid Wold,1990-01-29T00:00:00Z,29,59,3,LSK Kvinner
3,Norway,DF,Maria Thorisdottir,1993-06-05T00:00:00Z,26,32,1,Chelsea
4,Norway,DF,Stine Hovland,1991-01-31T00:00:00Z,28,6,0,Sandviken
5,Norway,MF,Synne Skinnes Hansen,1995-08-12T00:00:00Z,23,14,0,LSK Kvinner
6,Norway,DF,Maren Mjelde,1989-11-06T00:00:00Z,29,135,19,Chelsea
7,Norway,FW,Elise Thorsnes,1988-08-14T00:00:00Z,30,115,19,LSK Kvinner
8,Norway,MF,Vilde Bøe Risa,1995-07-13T00:00:00Z,23,18,1,Kopparbergs/Göteborg
9,Norway,FW,Isabell Herlovsen,1988-06-23T00:00:00Z,30,125,57,Kolbotn
10,Norway,MF,Caroline Hansen,1995-02-18T00:00:00Z,24,71,25,VfL Wolfsburg
11,Norway,FW,Lisa-Marie Utland,1992-09-19T00:00:00Z,26,40,12,Rosengård
12,Norway,GK,Cecilie Fiskerstrand,1996-03-20T00:00:00Z,23,21,0,LSK Kvinner
13,Norway,FW,Therese Åsland ,1995-08-26T00:00:00Z,23,5,1,LSK Kvinner
14,Norway,MF,Ingrid Engen,1998-04-29T00:00:00Z,21,15,2,LSK Kvinner
15,Norway,FW,Amalie Eikeland,1995-08-26T00:00:00Z,23,6,0,Sandviken
16,Norway,MF,Guro Reiten,1994-07-26T00:00:00Z,24,36,5,LSK Kvinner
17,Norway,MF,Kristine Minde,1992-08-08T00:00:00Z,26,96,9,VfL Wolfsburg
18,Norway,MF,Frida Maanum,1999-07-16T00:00:00Z,19,19,0,Linköping
19,Norway,DF,Cecilie Kvamme ,1995-11-09T00:00:00Z,23,3,0,Sandviken
20,Norway,FW,Emilie Haavi,1992-06-16T00:00:00Z,26,81,16,LSK Kvinner
21,Norway,MF,Karina Sævik,1996-03-24T00:00:00Z,23,3,1,Kolbotn
22,Norway,FW,Emilie Nautnes,1999-01-13T00:00:00Z,20,5,0,Arna-Bjørnar
23,Norway,GK,Oda Bogstad,1996-04-24T00:00:00Z,23,0,0,Arna-Bjørnar
1,Nigeria,GK,Tochukwu Oluehi,1987-05-02T00:00:00Z,32,NA,NA,Rivers Angels
2,Nigeria,MF,Amarachi Okoronkwo,1992-12-12T00:00:00Z,26,NA,NA,Nasarawa Amazons
3,Nigeria,DF,Osinachi Ohale,1991-12-21T00:00:00Z,27,26,1,Växjö
4,Nigeria,DF,Ngozi Ebere,1991-08-05T00:00:00Z,27,20,1,Arna-Bjørnar
5,Nigeria,DF,Onome Ebi,1983-05-08T00:00:00Z,36,81,0,Henan Huishang
6,Nigeria,MF,Evelyn Nwabuoku,1985-11-14T00:00:00Z,33,42,3,Rivers Angels
7,Nigeria,FW,Anam Imo,2000-11-30T00:00:00Z,18,NA,NA,Rosengård
8,Nigeria,FW,Asisat Oshoala,1994-10-09T00:00:00Z,24,17,11,Barcelona
9,Nigeria,FW,Desire Oparanozie,1993-12-17T00:00:00Z,25,35,22,Guingamp
10,Nigeria,MF,Rita Chikwelu,1988-03-06T00:00:00Z,31,33,15,Kristianstads
11,Nigeria,FW,Chinaza Uchendu,1997-12-03T00:00:00Z,21,NA,NA,Braga
12,Nigeria,FW,Uchenna Kanu,1997-06-27T00:00:00Z,21,1,0,Southeastern Fire
13,Nigeria,MF,Ngozi Okobi-Okeoghene,1993-12-14T00:00:00Z,25,27,4,Eskilstuna United
14,Nigeria,DF,Faith Michael,1987-02-28T00:00:00Z,32,53,0,Piteå
15,Nigeria,FW,Rasheedat Ajibade,1999-12-08T00:00:00Z,19,NA,NA,Avaldsnes
16,Nigeria,GK,Chiamaka Nnadozie,2000-12-08T00:00:00Z,18,NA,NA,Rivers Angels
17,Nigeria,FW,Francisca Ordega,1993-10-19T00:00:00Z,25,26,7,Shanghai [zh]
18,Nigeria,MF,Halimatu Ayinde,1995-05-16T00:00:00Z,24,12,0,Eskilstuna United
19,Nigeria,FW,Chinwendu Ihezuo,1997-04-30T00:00:00Z,22,NA,NA,Henan Huishang
20,Nigeria,DF,Chidinma Okeke,2000-08-11T00:00:00Z,18,NA,NA,Robo Queens
21,Nigeria,GK,Alaba Jonathan,1992-06-01T00:00:00Z,27,NA,NA,Bayelsa Queens
22,Nigeria,FW,Alice Ogebe,1995-03-30T00:00:00Z,24,7,0,Rivers Angels
23,Nigeria,MF,Ogonna Chukwudi,1988-09-14T00:00:00Z,30,20,3,Djurgården
1,France,GK,Solène Durand ,1994-11-20T00:00:00Z,24,0,0,Guingamp
2,France,DF,Ève Périsset,1994-12-24T00:00:00Z,24,13,0,Paris Saint-Germain
3,France,DF,Wendie Renard,1990-07-20T00:00:00Z,28,108,20,Lyon
4,France,DF,Marion Torrent,1992-04-17T00:00:00Z,27,20,0,Montpellier
5,France,DF,Aïssatou Tounkara,1995-03-16T00:00:00Z,24,11,0,Atlético Madrid
6,France,MF,Amandine Henry,1989-09-28T00:00:00Z,29,83,11,Lyon
7,France,DF,Sakina Karchaoui,1996-01-26T00:00:00Z,23,23,0,Montpellier
8,France,MF,Grace Geyoro,1997-07-02T00:00:00Z,21,20,1,Paris Saint-Germain
9,France,FW,Eugénie Le Sommer,1989-05-18T00:00:00Z,30,159,73,Lyon
10,France,DF,Amel Majri,1993-01-25T00:00:00Z,26,46,4,Lyon
11,France,FW,Kadidiatou Diani,1995-04-01T00:00:00Z,24,45,4,Paris Saint-Germain
12,France,FW,Emelyne Laurent,1998-11-04T00:00:00Z,20,3,0,Guingamp
13,France,FW,Valérie Gauvin,1996-06-01T00:00:00Z,23,17,9,Montpellier
14,France,MF,Charlotte Bilbault,1990-06-05T00:00:00Z,29,14,0,Paris FC
15,France,MF,Élise Bussaglia,1985-09-24T00:00:00Z,33,186,29,Dijon
16,France,GK,Sarah Bouhaddi,1986-10-17T00:00:00Z,32,139,0,Lyon
17,France,MF,Gaëtane Thiney,1985-10-28T00:00:00Z,33,154,58,Paris FC
18,France,FW,Viviane Asseyi,1993-11-20T00:00:00Z,25,30,4,Bordeaux
19,France,DF,Griedge Mbock Bathy,1995-02-26T00:00:00Z,24,49,4,Lyon
20,France,FW,Delphine Cascarino,1997-02-05T00:00:00Z,22,11,1,Lyon
21,France,GK,Pauline Peyraud-Magnin,1992-03-17T00:00:00Z,27,1,0,Arsenal
22,France,DF,Julie Debever ,1988-04-18T00:00:00Z,31,2,0,Guingamp
23,France,MF,Maéva Clémaron ,1992-11-10T00:00:00Z,26,3,0,Fleury
