Entity,Code,Year,"Total population (Gapminder, HYDE & UN)",Continent,"GDP per capita, PPP (constant 2011 international $)",Fixed telephone subscriptions (per 100 people)
Bangladesh,BGD,1886,26995944,,,
Bangladesh,BGD,1887,27148024,,,
Bangladesh,BGD,1888,27302824,,,
Bangladesh,BGD,1889,27458508,,,
Bangladesh,BGD,1890,27615080,,,
Bangladesh,BGD,1891,27772542,,,
Bangladesh,BGD,1892,27930904,,,
Bangladesh,BGD,1893,28090164,,,
Bangladesh,BGD,1894,28250336,,,
Bangladesh,BGD,1895,28411416,,,
Bangladesh,BGD,1896,28573416,,,
Bangladesh,BGD,1897,28736340,,,
Bangladesh,BGD,1898,28900192,,,
Bangladesh,BGD,1899,29064976,,,
Bangladesh,BGD,1900,29230700,,,
Bangladesh,BGD,1901,29397368,,,
Bangladesh,BGD,1902,29563300,,,
Bangladesh,BGD,1903,29731864,,,
Bangladesh,BGD,1904,29901388,,,
Bangladesh,BGD,1905,30071876,,,
Bangladesh,BGD,1906,30243336,,,
Bangladesh,BGD,1907,30413348,,,
Bangladesh,BGD,1908,30586752,,,
Bangladesh,BGD,1909,30761146,,,
Bangladesh,BGD,1910,30936532,,,
Bangladesh,BGD,1911,31112210,,,
Bangladesh,BGD,1912,31289596,,,
Bangladesh,BGD,1913,31458952,,,
Bangladesh,BGD,1914,31620188,,,
Bangladesh,BGD,1915,31773212,,,
Bangladesh,BGD,1916,31926978,,,
Bangladesh,BGD,1917,32081488,,,
Bangladesh,BGD,1918,32243650,,,
Bangladesh,BGD,1919,32404898,,,
Bangladesh,BGD,1920,32566952,,,
Bangladesh,BGD,1921,32729816,,,
Bangladesh,BGD,1922,32893496,,,
Bangladesh,BGD,1923,33057992,,,
Bangladesh,BGD,1924,33223312,,,
Bangladesh,BGD,1925,33389460,,,
Bangladesh,BGD,1926,33556440,,,
Bangladesh,BGD,1927,33724252,,,
Bangladesh,BGD,1928,33892904,,,
Bangladesh,BGD,1929,34103768,,,
Bangladesh,BGD,1930,34357412,,,
Bangladesh,BGD,1931,34654416,,,
Bangladesh,BGD,1932,34953984,,,
Bangladesh,BGD,1933,35256144,,,
Bangladesh,BGD,1934,35560912,,,
Bangladesh,BGD,1935,35868320,,,
Bangladesh,BGD,1936,36178380,,,
Bangladesh,BGD,1937,36491124,,,
Bangladesh,BGD,1938,36806572,,,
Bangladesh,BGD,1939,37124744,,,
Bangladesh,BGD,1940,37445668,,,
Bangladesh,BGD,1941,37642124,,,
Bangladesh,BGD,1942,37713220,,,
Bangladesh,BGD,1943,37658060,,,
Bangladesh,BGD,1944,37602984,,,
Bangladesh,BGD,1945,37547984,,,
Bangladesh,BGD,1946,37511344,,,
Bangladesh,BGD,1947,37493040,,,
Bangladesh,BGD,1948,37493040,,,
Bangladesh,BGD,1949,37493040,,,
Bangladesh,BGD,1950,37895000,,,
Bangladesh,BGD,1951,38706000,,,
Bangladesh,BGD,1952,39490000,,,
Bangladesh,BGD,1953,40292000,,,
Bangladesh,BGD,1954,41150000,,,
Bangladesh,BGD,1955,42086000,,,
Bangladesh,BGD,1956,43114000,,,
Bangladesh,BGD,1957,44233000,,,
Bangladesh,BGD,1958,45435000,,,
Bangladesh,BGD,1959,46701000,,,
Bangladesh,BGD,1960,48014000,,,
Bangladesh,BGD,1961,49363000,,,
Bangladesh,BGD,1962,50752000,,,
Bangladesh,BGD,1963,52202000,,,
Bangladesh,BGD,1964,53742000,,,
Bangladesh,BGD,1965,55385000,,,
Bangladesh,BGD,1966,57158000,,,
Bangladesh,BGD,1967,59034000,,,
Bangladesh,BGD,1968,60918000,,,
Bangladesh,BGD,1969,62680000,,,
Bangladesh,BGD,1970,64232000,,,0.0691799273057324
Bangladesh,BGD,1971,65532000,,,
Bangladesh,BGD,1972,66626000,,,
Bangladesh,BGD,1973,67638000,,,
Bangladesh,BGD,1974,68742000,,,
Bangladesh,BGD,1975,70066000,,,0.0841444826399625
Bangladesh,BGD,1976,71652000,,,0.0931517874403335
Bangladesh,BGD,1977,73464000,,,0.101433555095557
Bangladesh,BGD,1978,75450000,,,0.111639239718084
Bangladesh,BGD,1979,77529000,,,0.112321581584793
Bangladesh,BGD,1980,79639000,,,0.116606109227275
Bangladesh,BGD,1981,81768000,,,0.120638402179957
Bangladesh,BGD,1982,83932000,,,0.125570691177476
Bangladesh,BGD,1983,86142000,,,0.129705999809233
Bangladesh,BGD,1984,88417000,,,0.133469467046389
Bangladesh,BGD,1985,90764000,,,0.162446587234863
Bangladesh,BGD,1986,93188000,,,0.171188467107128
Bangladesh,BGD,1987,95671000,,,0.177337040097766
Bangladesh,BGD,1988,98186000,,,0.185292800406151
Bangladesh,BGD,1989,100695000,,,0.185329559199821
Bangladesh,BGD,1990,103172000,,1287.93366418737,0.205295025808881
Bangladesh,BGD,1991,105599000,,1301.69965941864,0.203732393863584
Bangladesh,BGD,1992,107984000,,1341.76334138033,0.209221313874247
Bangladesh,BGD,1993,110351000,,1374.41890576168,0.21632147351524
Bangladesh,BGD,1994,112738000,,1397.31861864065,0.225743572381833
Bangladesh,BGD,1995,115170000,,1437.6397305204,0.241439267656208
Bangladesh,BGD,1996,117650000,,1470.90745239521,0.260643131263392
Bangladesh,BGD,1997,120161000,,1504.87169006458,0.297136223560135
Bangladesh,BGD,1998,122683000,,1550.31803503193,0.326305765379459
Bangladesh,BGD,1999,125190000,,1590.25166657181,0.335556875820155
Bangladesh,BGD,2000,127658000,,1641.95876843278,0.373383765648117
Bangladesh,BGD,2001,130089000,,1692.82911877697,0.421215392228126
Bangladesh,BGD,2002,132478000,,1725.63200463028,0.443578361151048
Bangladesh,BGD,2003,134792000,,1775.97815407773,0.533774516190057
Bangladesh,BGD,2004,136986000,,1838.76198025346,0.588043850952585
Bangladesh,BGD,2005,139036000,,1929.93874339681,0.74600277941114
Bangladesh,BGD,2006,140920992,,2031.27129311695,0.780089131580839
Bangladesh,BGD,2007,142660000,,2148.47399345425,0.806664079048797
Bangladesh,BGD,2008,144304000,,2252.16873338547,0.903496956106836
Bangladesh,BGD,2009,145924992,,2339.86576916766,0.820775246195686
Bangladesh,BGD,2010,147575008,,2442.72888765696,0.841793992316826
Bangladesh,BGD,2011,149272992,,2570.85014525476,0.635233466913634
Bangladesh,BGD,2012,151006000,,2706.58674530986,0.617483591627461
Bangladesh,BGD,2013,152760992,,2835.76661976407,0.68689415835976
Bangladesh,BGD,2014,154516992,,2973.0415646346,0.611134716561049
Bangladesh,BGD,2015,156256000,Asia,3132.56754015214,0.536140353471754
Bangladesh,BGD,2016,157976992,,3319.35280468543,0.470190650522155
Bangladesh,BGD,2017,159684992,,3523.98385062592,0.431280788175844
Bangladesh,BGD,2018,161376992,,,
Bangladesh,BGD,2019,163046000,,,
Barbados,BRB,1800,81729,,,
Barbados,BRB,1801,81729,,,
Barbados,BRB,1802,81729,,,
Barbados,BRB,1803,81729,,,
Barbados,BRB,1804,81729,,,
Barbados,BRB,1805,81729,,,
Barbados,BRB,1806,81729,,,
Barbados,BRB,1807,81729,,,
Barbados,BRB,1808,81729,,,
Barbados,BRB,1809,81729,,,
Barbados,BRB,1810,81729,,,
Barbados,BRB,1811,81793,,,
Barbados,BRB,1812,81923,,,
Barbados,BRB,1813,82120,,,
Barbados,BRB,1814,82384,,,
Barbados,BRB,1815,82718,,,
Barbados,BRB,1816,83121,,,
Barbados,BRB,1817,83595,,,
Barbados,BRB,1818,84142,,,
Barbados,BRB,1819,84762,,,
Barbados,BRB,1820,85456,,,
Barbados,BRB,1821,86227,,,
Barbados,BRB,1822,87075,,,
Barbados,BRB,1823,88002,,,
Barbados,BRB,1824,89008,,,
Barbados,BRB,1825,90096,,,
Barbados,BRB,1826,91266,,,
Barbados,BRB,1827,92519,,,
Barbados,BRB,1828,93858,,,
Barbados,BRB,1829,95284,,,
Barbados,BRB,1830,96798,,,
Barbados,BRB,1831,98401,,,
Barbados,BRB,1832,100031,,,
Barbados,BRB,1833,101688,,,
Barbados,BRB,1834,103372,,,
Barbados,BRB,1835,105084,,,
Barbados,BRB,1836,106825,,,
Barbados,BRB,1837,108594,,,
Barbados,BRB,1838,110393,,,
Barbados,BRB,1839,112221,,,
Barbados,BRB,1840,114080,,,
Barbados,BRB,1841,115969,,,
Barbados,BRB,1842,117859,,,
Barbados,BRB,1843,119750,,,
Barbados,BRB,1844,121641,,,
Barbados,BRB,1845,123531,,,
Barbados,BRB,1846,125421,,,
Barbados,BRB,1847,127310,,,
Barbados,BRB,1848,129197,,,
Barbados,BRB,1849,131082,,,
Barbados,BRB,1850,132965,,,
Barbados,BRB,1851,134844,,,
Barbados,BRB,1852,136675,,,
Barbados,BRB,1853,138458,,,
Barbados,BRB,1854,140190,,,
Barbados,BRB,1855,141870,,,
Barbados,BRB,1856,143498,,,
Barbados,BRB,1857,145071,,,
Barbados,BRB,1858,146589,,,
Barbados,BRB,1859,148049,,,
Barbados,BRB,1860,149452,,,
Barbados,BRB,1861,150794,,,
Barbados,BRB,1862,152077,,,
Barbados,BRB,1863,153330,,,
Barbados,BRB,1864,154553,,,
Barbados,BRB,1865,155744,,,
Barbados,BRB,1866,156903,,,
Barbados,BRB,1867,158029,,,
Barbados,BRB,1868,159122,,,
Barbados,BRB,1869,160181,,,
Barbados,BRB,1870,161205,,,
Barbados,BRB,1871,162194,,,
Barbados,BRB,1872,163148,,,
Barbados,BRB,1873,164079,,,
Barbados,BRB,1874,165051,,,
Barbados,BRB,1875,166034,,,
Barbados,BRB,1876,167026,,,
Barbados,BRB,1877,167997,,,
Barbados,BRB,1878,169011,,,
Barbados,BRB,1879,170035,,,
Barbados,BRB,1880,171071,,,
Barbados,BRB,1881,172089,,,
Barbados,BRB,1882,173141,,,
Barbados,BRB,1883,174202,,,
Barbados,BRB,1884,175249,,,
Barbados,BRB,1885,176330,,,
Barbados,BRB,1886,177429,,,
Barbados,BRB,1887,178516,,,
Barbados,BRB,1888,179647,,,
Barbados,BRB,1889,180796,,,
Barbados,BRB,1890,181964,,,
Barbados,BRB,1891,183151,,,
Barbados,BRB,1892,184356,,,
Barbados,BRB,1893,185581,,,
Barbados,BRB,1894,186824,,,
Barbados,BRB,1895,188088,,,
Barbados,BRB,1896,189370,,,
Barbados,BRB,1897,190319,,,
Barbados,BRB,1898,190926,,,
Barbados,BRB,1899,191191,,,
Barbados,BRB,1900,191119,,,
Barbados,BRB,1901,190710,,,
Barbados,BRB,1902,190872,,,
Barbados,BRB,1903,189674,,,
Barbados,BRB,1904,188067,,,
Barbados,BRB,1905,186055,,,
Barbados,BRB,1906,183639,,,
Barbados,BRB,1907,181182,,,
Barbados,BRB,1908,178830,,,
Barbados,BRB,1909,176508,,,
Barbados,BRB,1910,174350,,,
Barbados,BRB,1911,172157,,,
Barbados,BRB,1912,170366,,,
Barbados,BRB,1913,168818,,,
Barbados,BRB,1914,167283,,,
Barbados,BRB,1915,165762,,,
Barbados,BRB,1916,164256,,,
Barbados,BRB,1917,162762,,,
Barbados,BRB,1918,161284,,,
Barbados,BRB,1919,159819,,,
Barbados,BRB,1920,158368,,,
Barbados,BRB,1921,157849,,,
Barbados,BRB,1922,158262,,,
Barbados,BRB,1923,159608,,,
Barbados,BRB,1924,160964,,,
Barbados,BRB,1925,162333,,,
Barbados,BRB,1926,163713,,,
Barbados,BRB,1927,165104,,,
Barbados,BRB,1928,166508,,,
Barbados,BRB,1929,167923,,,
Barbados,BRB,1930,169351,,,
Barbados,BRB,1931,170790,,,
Barbados,BRB,1932,172242,,,
Barbados,BRB,1933,173706,,,
Barbados,BRB,1934,175183,,,
Barbados,BRB,1935,176672,,,
Barbados,BRB,1936,178173,,,
Barbados,BRB,1937,179688,,,
Barbados,BRB,1938,181215,,,
Barbados,BRB,1939,182756,,,
Barbados,BRB,1940,184309,,,
Barbados,BRB,1941,185876,,,
Barbados,BRB,1942,187456,,,
Barbados,BRB,1943,189050,,,
Barbados,BRB,1944,190657,,,
Barbados,BRB,1945,192277,,,
Barbados,BRB,1946,194734,,,
Barbados,BRB,1947,198050,,,
Barbados,BRB,1948,202252,,,
Barbados,BRB,1949,206543,,,
Barbados,BRB,1950,211000,,,
Barbados,BRB,1951,216000,,,
Barbados,BRB,1952,220000,,,
Barbados,BRB,1953,223000,,,
Barbados,BRB,1954,225000,,,
Barbados,BRB,1955,227000,,,
Barbados,BRB,1956,228000,,,
Barbados,BRB,1957,229000,,,
Barbados,BRB,1958,230000,,,
Barbados,BRB,1959,230000,,,
Barbados,BRB,1960,231000,,,3.00209146138158
Barbados,BRB,1961,232000,,,
Barbados,BRB,1962,233000,,,
Barbados,BRB,1963,234000,,,
Barbados,BRB,1964,235000,,,
Barbados,BRB,1965,235000,,,4.58886707962647
Barbados,BRB,1966,236000,,,
Barbados,BRB,1967,237000,,,
Barbados,BRB,1968,237000,,,
Barbados,BRB,1969,238000,,,
Barbados,BRB,1970,239000,,,7.82171087888532
Barbados,BRB,1971,240000,,,
Barbados,BRB,1972,242000,,,
Barbados,BRB,1973,243000,,,
Barbados,BRB,1974,245000,,,
Barbados,BRB,1975,246000,,,10.9927896144435
Barbados,BRB,1976,248000,,,11.7044664651396
Barbados,BRB,1977,249000,,,12.5864203485755
Barbados,BRB,1978,250000,,,13.0139342164203
Barbados,BRB,1979,251000,,,13.442711713254
Barbados,BRB,1980,252000,,,13.6954090898277
Barbados,BRB,1981,253000,,,13.814604077762
Barbados,BRB,1982,254000,,,15.0448509106094
Barbados,BRB,1983,255000,,,16.4691691746753
Barbados,BRB,1984,255000,,,18.0451658156768
Barbados,BRB,1985,256000,,,18.9462496678701
Barbados,BRB,1986,257000,,,20.1343013835224
Barbados,BRB,1987,258000,,,21.3655472786488
Barbados,BRB,1988,259000,,,23.009975747214
Barbados,BRB,1989,260000,,,25.4811954150575
Barbados,BRB,1990,261000,,14434.3293196382,27.7066834630186
Barbados,BRB,1991,262000,,13823.5553491259,29.8447995407138
Barbados,BRB,1992,263000,,12811.3346511377,30.5491563177006
Barbados,BRB,1993,264000,,12920.4721130263,31.3608702758382
Barbados,BRB,1994,265000,,13364.411048911,32.3375565782247
Barbados,BRB,1995,266000,,13583.1320420888,34.0173385316219
Barbados,BRB,1996,267000,,14074.241774708,36.3037805235728
Barbados,BRB,1997,268000,,14680.3641586609,40.6289685141134
Barbados,BRB,1998,269000,,15166.438713626,42.1836163463333
Barbados,BRB,1999,270000,,15172.067150807,42.7633291437666
Barbados,BRB,2000,272000,,15467.8206654249,45.8897078714976
Barbados,BRB,2001,272000,,15049.8561908803,47.6406154755528
Barbados,BRB,2002,273000,,15125.9420122907,48.9910784667634
Barbados,BRB,2003,274000,,15414.4246130367,49.2180211417112
Barbados,BRB,2004,275000,,15582.550219979,49.7021139473655
Barbados,BRB,2005,276000,,16151.558492638,49.2239306008197
Barbados,BRB,2006,277000,,17008.2632546541,48.8152589269158
Barbados,BRB,2007,279000,,17244.7530697379,48.6188665580301
Barbados,BRB,2008,280000,,17189.2322515527,48.6804005495476
Barbados,BRB,2009,281000,,16433.456640994,48.7305634359177
Barbados,BRB,2010,282000,,16417.9624523108,49.1778416061867
Barbados,BRB,2011,283000,,16472.0832008577,50.130968884644
Barbados,BRB,2012,284000,,16463.7649991959,50.9110925653
Barbados,BRB,2013,284000,,16409.917090424,52.6478802445232
Barbados,BRB,2014,285000,,16359.1907380369,47.9118513682799
Barbados,BRB,2015,285000,North America,16458.1035290088,52.6119127286545
Barbados,BRB,2016,286000,,16741.3797629383,49.0234950665974
Barbados,BRB,2017,286000,,16978.0676859393,48.8749435634312
Barbados,BRB,2018,287000,,,
Barbados,BRB,2019,287000,,,
Bavaria,OWID_BAV,2015,,Europe,,
Belarus,BLR,1800,2355081,,,
Belarus,BLR,1801,2355081,,,
Belarus,BLR,1802,2355081,,,
Belarus,BLR,1803,2355081,,,
Belarus,BLR,1804,2355081,,,
Belarus,BLR,1805,2355081,,,
Belarus,BLR,1806,2355081,,,
Belarus,BLR,1807,2355081,,,
Belarus,BLR,1808,2355081,,,
Belarus,BLR,1809,2355081,,,
Belarus,BLR,1810,2355081,,,
Belarus,BLR,1811,2356113,,,
Belarus,BLR,1812,2358186,,,
Belarus,BLR,1813,2361309,,,
Belarus,BLR,1814,2365493,,,
Belarus,BLR,1815,2370748,,,
Belarus,BLR,1816,2377082,,,
Belarus,BLR,1817,2384506,,,
Belarus,BLR,1818,2393030,,,
Belarus,BLR,1819,2402665,,,
Belarus,BLR,1820,2413420,,,
Belarus,BLR,1821,2425305,,,
Belarus,BLR,1822,2438331,,,
Belarus,BLR,1823,2452509,,,
Belarus,BLR,1824,2467849,,,
Belarus,BLR,1825,2484362,,,
Belarus,BLR,1826,2502059,,,
Belarus,BLR,1827,2520950,,,
Belarus,BLR,1828,2541046,,,
Belarus,BLR,1829,2562359,,,
Belarus,BLR,1830,2584900,,,
Belarus,BLR,1831,2608680,,,
Belarus,BLR,1832,2632679,,,
Belarus,BLR,1833,2656898,,,
Belarus,BLR,1834,2681340,,,
Belarus,BLR,1835,2706008,,,
Belarus,BLR,1836,2730902,,,
Belarus,BLR,1837,2756025,,,
Belarus,BLR,1838,2781379,,,
Belarus,BLR,1839,2806966,,,
Belarus,BLR,1840,2832789,,,
Belarus,BLR,1841,2858849,,,
Belarus,BLR,1842,2885149,,,
Belarus,BLR,1843,2911691,,,
Belarus,BLR,1844,2938478,,,
Belarus,BLR,1845,2965510,,,
Belarus,BLR,1846,2992792,,,
Belarus,BLR,1847,3020324,,,
Belarus,BLR,1848,3048110,,,
Belarus,BLR,1849,3076151,,,
Belarus,BLR,1850,3104450,,,
Belarus,BLR,1851,3133208,,,
Belarus,BLR,1852,3162233,,,
Belarus,BLR,1853,3191527,,,
Belarus,BLR,1854,3221092,,,
Belarus,BLR,1855,3250931,,,
Belarus,BLR,1856,3281046,,,
Belarus,BLR,1857,3311440,,,
Belarus,BLR,1858,3342116,,,
Belarus,BLR,1859,3373076,,,
Belarus,BLR,1860,3404323,,,
Belarus,BLR,1861,3435859,,,
Belarus,BLR,1862,3467687,,,
Belarus,BLR,1863,3499811,,,
Belarus,BLR,1864,3532231,,,
Belarus,BLR,1865,3564952,,,
Belarus,BLR,1866,3597976,,,
Belarus,BLR,1867,3631306,,,
Belarus,BLR,1868,3664945,,,
Belarus,BLR,1869,3698896,,,
Belarus,BLR,1870,3733160,,,
Belarus,BLR,1871,3767743,,,
Belarus,BLR,1872,3802645,,,
Belarus,BLR,1873,3836799,,,
Belarus,BLR,1874,3872341,,,
Belarus,BLR,1875,3908213,,,
Belarus,BLR,1876,3944417,,,
Belarus,BLR,1877,3979955,,,
Belarus,BLR,1878,4016823,,,
Belarus,BLR,1879,4054033,,,
Belarus,BLR,1880,4091588,,,
Belarus,BLR,1881,4128567,,,
Belarus,BLR,1882,4166812,,,
Belarus,BLR,1883,4205411,,,
Belarus,BLR,1884,4243538,,,
Belarus,BLR,1885,4282848,,,
Belarus,BLR,1886,4322522,,,
Belarus,BLR,1887,4361832,,,
Belarus,BLR,1888,4402237,,,
Belarus,BLR,1889,4443017,,,
Belarus,BLR,1890,4484175,,,
Belarus,BLR,1891,4525714,,,
Belarus,BLR,1892,4567638,,,
Belarus,BLR,1893,4609950,,,
Belarus,BLR,1894,4652654,,,
Belarus,BLR,1895,4695753,,,
Belarus,BLR,1896,4739252,,,
Belarus,BLR,1897,4783154,,,
Belarus,BLR,1898,4827462,,,
Belarus,BLR,1899,4872181,,,
Belarus,BLR,1900,4917314,,,
Belarus,BLR,1901,4962865,,,
Belarus,BLR,1902,5008138,,,
Belarus,BLR,1903,5054531,,,
Belarus,BLR,1904,5101353,,,
Belarus,BLR,1905,5148609,,,
Belarus,BLR,1906,5196302,,,
Belarus,BLR,1907,5243412,,,
Belarus,BLR,1908,5291983,,,
Belarus,BLR,1909,5341005,,,
Belarus,BLR,1910,5390481,,,
Belarus,BLR,1911,5440111,,,
Belarus,BLR,1912,5490504,,,
Belarus,BLR,1913,5541365,,,
Belarus,BLR,1914,5592696,,,
Belarus,BLR,1915,5644504,,,
Belarus,BLR,1916,5696791,,,
Belarus,BLR,1917,5749562,,,
Belarus,BLR,1918,5802333,,,
Belarus,BLR,1919,5855712,,,
Belarus,BLR,1920,5909582,,,
Belarus,BLR,1921,5963947,,,
Belarus,BLR,1922,6018813,,,
Belarus,BLR,1923,6074183,,,
Belarus,BLR,1924,6130063,,,
Belarus,BLR,1925,6186456,,,
Belarus,BLR,1926,6243369,,,
Belarus,BLR,1927,6300805,,,
Belarus,BLR,1928,6358770,,,
Belarus,BLR,1929,6417267,,,
Belarus,BLR,1930,6476303,,,
Belarus,BLR,1931,6535882,,,
Belarus,BLR,1932,6596009,,,
Belarus,BLR,1933,6656690,,,
Belarus,BLR,1934,6717928,,,
Belarus,BLR,1935,6779730,,,
Belarus,BLR,1936,6842100,,,
Belarus,BLR,1937,6905045,,,
Belarus,BLR,1938,6968568,,,
Belarus,BLR,1939,7032675,,,
Belarus,BLR,1940,7097373,,,
Belarus,BLR,1941,7162665,,,
Belarus,BLR,1942,7228559,,,
Belarus,BLR,1943,7295058,,,
Belarus,BLR,1944,7362169,,,
Belarus,BLR,1945,7429898,,,
Belarus,BLR,1946,7498250,,,
Belarus,BLR,1947,7567230,,,
Belarus,BLR,1948,7636845,,,
Belarus,BLR,1949,7707100,,,
Belarus,BLR,1950,7745000,,,
Belarus,BLR,1951,7699000,,,
Belarus,BLR,1952,7677000,,,
Belarus,BLR,1953,7680000,,,
Belarus,BLR,1954,7704000,,,
Belarus,BLR,1955,7747000,,,
Belarus,BLR,1956,7807000,,,
Belarus,BLR,1957,7879000,,,
Belarus,BLR,1958,7959000,,,
Belarus,BLR,1959,8042000,,,
Belarus,BLR,1960,8125000,,,0.916351635156185
Belarus,BLR,1961,8204000,,,
Belarus,BLR,1962,8280000,,,
Belarus,BLR,1963,8353000,,,
Belarus,BLR,1964,8428000,,,
Belarus,BLR,1965,8506000,,,1.34096535967865
Belarus,BLR,1966,8587000,,,
Belarus,BLR,1967,8671000,,,
Belarus,BLR,1968,8754000,,,
Belarus,BLR,1969,8836000,,,
Belarus,BLR,1970,8914000,,,2.86935128489796
Belarus,BLR,1971,8987000,,,
Belarus,BLR,1972,9057000,,,
Belarus,BLR,1973,9123000,,,
Belarus,BLR,1974,9188000,,,
Belarus,BLR,1975,9253000,,,5.26137563184538
Belarus,BLR,1976,9316000,,,5.76731270518734
Belarus,BLR,1977,9379000,,,6.18765157390114
Belarus,BLR,1978,9441000,,,6.64250369156564
Belarus,BLR,1979,9505000,,,7.06352037118648
Belarus,BLR,1980,9570000,,,7.50372020102372
Belarus,BLR,1981,9636000,,,7.80083389646344
Belarus,BLR,1982,9703000,,,8.22339120695057
Belarus,BLR,1983,9770000,,,8.74784329005949
Belarus,BLR,1984,9837000,,,9.81815555832743
Belarus,BLR,1985,9901000,,,10.06305943095
Belarus,BLR,1986,9965000,,,11.1153184604531
Belarus,BLR,1987,10026000,,,12.1637003644504
Belarus,BLR,1988,10081000,,,13.2802786185603
Belarus,BLR,1989,10124000,,,14.3688255149974
Belarus,BLR,1990,10151000,,8353.90616482524,15.4074750661799
Belarus,BLR,1991,10161000,,8249.61136465517,16.363967588889
Belarus,BLR,1992,10154000,,7441.58863757614,17.0695694427294
Belarus,BLR,1993,10135000,,6860.58204419038,17.786943986134
Belarus,BLR,1994,10108000,,6065.00178875181,18.5779420849857
Belarus,BLR,1995,10078000,,5451.8332882583,19.408156407792
Belarus,BLR,1996,10045000,,5623.24004240334,21.0501221081421
Belarus,BLR,1997,10009000,,6290.91464871303,22.9582546953702
Belarus,BLR,1998,9970000,,6851.85952532995,24.8164642874194
Belarus,BLR,1999,9924000,,7114.68472265394,26.4192019712158
Belarus,BLR,2000,9872000,,7562.88399875478,27.7029728067614
Belarus,BLR,2001,9811000,,7960.98605535452,28.9920723884152
Belarus,BLR,2002,9746000,,8416.04256596209,30.2551551258819
Belarus,BLR,2003,9679000,,9072.0661853019,31.5331105967174
Belarus,BLR,2004,9617000,,10180.0029861629,32.8192431834073
Belarus,BLR,2005,9562000,,11213.2496022586,34.1345665658824
Belarus,BLR,2006,9517000,,12410.3297796792,35.1742545699273
Belarus,BLR,2007,9481000,,13539.6027721537,38.5016500182869
Belarus,BLR,2008,9453000,,14972.2694585184,39.1076528207548
Belarus,BLR,2009,9433000,,15035.6996456718,41.9890116620507
Belarus,BLR,2010,9421000,,16235.1714534334,43.6880500526176
Belarus,BLR,2011,9415000,,17166.6956434719,44.4418651317527
Belarus,BLR,2012,9417000,,17479.9293997571,46.5283533208822
Belarus,BLR,2013,9424000,,17656.1193383189,47.1425909878591
Belarus,BLR,2014,9432000,,17944.2098463253,47.595001755958
Belarus,BLR,2015,9439000,Europe,17229.5551904045,47.8682810423864
Belarus,BLR,2016,9446000,,16773.1935504926,47.630400793583
Belarus,BLR,2017,9450000,,17167.9672600246,47.5249299296244
Belarus,BLR,2018,9453000,,,
Belarus,BLR,2019,9452000,,,
Belgium,BEL,1800,3138137,,,
Belgium,BEL,1801,3152306,,,
Belgium,BEL,1802,3166538,,,
Belgium,BEL,1803,3180835,,,
Belgium,BEL,1804,3195197,,,
Belgium,BEL,1805,3209623,,,
Belgium,BEL,1806,3224114,,,
Belgium,BEL,1807,3238671,,,
Belgium,BEL,1808,3253294,,,
Belgium,BEL,1809,3267982,,,
Belgium,BEL,1810,3283959,,,
Belgium,BEL,1811,3299476,,,
Belgium,BEL,1812,3315795,,,
Belgium,BEL,1813,3332912,,,
Belgium,BEL,1814,3350824,,,
Belgium,BEL,1815,3369577,,,
Belgium,BEL,1816,3389119,,,
Belgium,BEL,1817,3409494,,,
Belgium,BEL,1818,3430748,,,
Belgium,BEL,1819,3452829,,,
Belgium,BEL,1820,3475782,,,
Belgium,BEL,1821,3499557,,,
Belgium,BEL,1822,3524149,,,
Belgium,BEL,1823,3549557,,,
Belgium,BEL,1824,3575823,,,
Belgium,BEL,1825,3602946,,,
Belgium,BEL,1826,3630921,,,
Belgium,BEL,1827,3659746,,,
Belgium,BEL,1828,3689465,,,
Belgium,BEL,1829,3720075,,,
Belgium,BEL,1830,3751571,,,
Belgium,BEL,1831,3784000,,,
Belgium,BEL,1832,3816714,,,
Belgium,BEL,1833,3849667,,,
Belgium,BEL,1834,3882857,,,
Belgium,BEL,1835,3916286,,,
Belgium,BEL,1836,3949952,,,
Belgium,BEL,1837,3983905,,,
Belgium,BEL,1838,4018143,,,
Belgium,BEL,1839,4052571,,,
Belgium,BEL,1840,4087429,,,
Belgium,BEL,1841,4122048,,,
Belgium,BEL,1842,4156524,,,
Belgium,BEL,1843,4190810,,,
Belgium,BEL,1844,4224952,,,
Belgium,BEL,1845,4258905,,,
Belgium,BEL,1846,4292667,,,
Belgium,BEL,1847,4326286,,,
Belgium,BEL,1848,4359714,,,
Belgium,BEL,1849,4392952,,,
Belgium,BEL,1850,4426000,,,
Belgium,BEL,1851,4459059,,,
Belgium,BEL,1852,4492118,,,
Belgium,BEL,1853,4525129,,,
Belgium,BEL,1854,4558093,,,
Belgium,BEL,1855,4591058,,,
Belgium,BEL,1856,4623974,,,
Belgium,BEL,1857,4656844,,,
Belgium,BEL,1858,4689713,,,
Belgium,BEL,1859,4721059,,,
Belgium,BEL,1860,4753834,,,
Belgium,BEL,1861,4786608,,,
Belgium,BEL,1862,4820002,,,
Belgium,BEL,1863,4853968,,,
Belgium,BEL,1864,4888600,,,
Belgium,BEL,1865,4923852,,,
Belgium,BEL,1866,4959723,,,
Belgium,BEL,1867,4996546,,,
Belgium,BEL,1868,5034227,,,
Belgium,BEL,1869,5072908,,,
Belgium,BEL,1870,5112495,,,
Belgium,BEL,1871,5153748,,,
Belgium,BEL,1872,5196572,,,
Belgium,BEL,1873,5235513,,,
