id,name,gender,dates,yearOfBirth,yearOfDeath,placeOfBirth,placeOfDeath,url
171,"Elmore, Alfred",Male,1815–1881,1815,1881,"Clonakilty, Éire",NA,http://www.tate.org.uk/art/artists/alfred-elmore-171
16988,"El-Salahi, Ibrahim",Male,born 1930,1930,NA,As-Sudan,NA,http://www.tate.org.uk/art/artists/ibrahim-el-salahi-16988
8145,"Eluard, Nusch",Female,1906–1945,1906,1945,"Mulhouse, France","Paris, France",http://www.tate.org.uk/art/artists/nusch-eluard-8145
8147,"Eluard, Paul",Male,1895–1952,1895,1952,"Saint Denis-de-l'Hôtel, France","Charenton-le-Pont, France",http://www.tate.org.uk/art/artists/paul-eluard-8147
1054,"Elwell, Frederick W.",Male,1870–1958,1870,1958,"Beverley, United Kingdom",NA,http://www.tate.org.uk/art/artists/frederick-w-elwell-1054
1055,"Elwyn, John",Male,1916–1997,1916,1997,"Newcastle Emlyn, United Kingdom",NA,http://www.tate.org.uk/art/artists/john-elwyn-1055
1056,"Emanuel, Frank L.",Male,1865–1948,1865,1948,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/frank-l-emanuel-1056
1057,"Emett, Rowland",Male,1906–1990,1906,1990,"London, United Kingdom","Sussex, United Kingdom",http://www.tate.org.uk/art/artists/rowland-emett-1057
1058,"Emilian, Céline",Female,1902–1981,1902,1981,"Paris, France",NA,http://www.tate.org.uk/art/artists/celine-emilian-1058
2590,"Emin, Tracey",Female,born 1963,1963,NA,"London, United Kingdom",NA,http://www.tate.org.uk/art/artists/tracey-emin-2590
14475,"Eneroth, Joakim",Male,born 1969,1969,NA,Sverige,NA,http://www.tate.org.uk/art/artists/joakim-eneroth-14475
1059,"Engelbach, Florence",Female,1872–1951,1872,1951,"Jerez de la Frontera, España",NA,http://www.tate.org.uk/art/artists/florence-engelbach-1059
12112,"English, Simon",Male,born 1959,1959,NA,NA,NA,http://www.tate.org.uk/art/artists/simon-english-12112
1060,"Ensor, James",Male,1860–1949,1860,1949,"Oostende, België","Oostende, België",http://www.tate.org.uk/art/artists/james-ensor-1060
13597,"Epstein, Mitch",Male,born 1952,1952,NA,"Holyoke, United States",NA,http://www.tate.org.uk/art/artists/mitch-epstein-13597
1061,"Epstein, Sir Jacob",Male,1880–1959,1880,1959,"New York, United States","London, United Kingdom",http://www.tate.org.uk/art/artists/sir-jacob-epstein-1061
1062,"Erlanger, Rodolphe d'",Male,1872–1932,1872,1932,"Boulogne-Billancourt, France","Tunis, Tunis",http://www.tate.org.uk/art/artists/rodolphe-derlanger-1062
1063,"Erma, Thomas",Male,1939–1964,1939,1964,"Tartu, Eesti","Paris, France",http://www.tate.org.uk/art/artists/thomas-erma-1063
1064,"Ernest, John",Male,1922–1994,1922,1994,"Philadelphia, United States","Exeter, United Kingdom",http://www.tate.org.uk/art/artists/john-ernest-1064
1065,"Ernst, Max",Male,1891–1976,1891,1976,"Brühl, Deutschland","Paris, France",http://www.tate.org.uk/art/artists/max-ernst-1065
15851,"Errazuriz, Paz",Female,born 1944,1944,NA,"Santiago, Chile",NA,http://www.tate.org.uk/art/artists/paz-errazuriz-15851
1066,Erté,Male,1892–1990,1892,1990,"Sankt-Peterburg, Rossiya",NA,http://www.tate.org.uk/art/artists/erte-romain-de-tirtoff-1066
12043,"Erwitt, Elliot",Male,born 1928,1928,NA,"Paris, France",NA,http://www.tate.org.uk/art/artists/elliot-erwitt-12043
13676,"Eskandarfar, Samira",Female,born 1980,1980,NA,"Tehran, Îran",NA,http://www.tate.org.uk/art/artists/samira-eskandarfar-13676
4831,"Espaliú, Pepe",Male,1955–1993,1955,1993,"Córdoba, España","Córdoba, España",http://www.tate.org.uk/art/artists/pepe-espaliu-4831
14308,"Espinoza, Eugenio",NA,born 1950,1950,NA,NA,NA,http://www.tate.org.uk/art/artists/eugenio-espinoza-14308
3028,"Essenhigh, Inka",Female,born 1969,1969,NA,"Pennsylvania, United States",NA,http://www.tate.org.uk/art/artists/inka-essenhigh-3028
2628,"Essex, Lord",Male,NA,NA,NA,NA,NA,http://www.tate.org.uk/art/artists/lord-essex-2628
1067,"Estes, Richard",Male,born 1936,1936,NA,"Evanston, United States",NA,http://www.tate.org.uk/art/artists/richard-estes-1067
1068,"Estève, Maurice",Male,1904–2001,1904,2001,"Cher, France",NA,http://www.tate.org.uk/art/artists/maurice-esteve-1068
1069,"Etchells, Frederick",Male,1886–1973,1886,1973,"Newcastle upon Tyne, United Kingdom",NA,http://www.tate.org.uk/art/artists/frederick-etchells-1069
7080,"Ethridge, Roe",Male,born 1969,1969,NA,"Miami, United States",NA,http://www.tate.org.uk/art/artists/roe-ethridge-7080
1070,"Etrog, Sorel",Male,born 1933,1933,NA,"Iasi, România",NA,http://www.tate.org.uk/art/artists/sorel-etrog-1070
172,"Etty, William",Male,1787–1849,1787,1849,"York, United Kingdom","York, United Kingdom",http://www.tate.org.uk/art/artists/william-etty-172
1071,"Eurich, Richard",Male,1903–1992,1903,1992,"Bradford, United Kingdom",NA,http://www.tate.org.uk/art/artists/richard-eurich-1071
1072,"Evans, Garth",Male,born 1934,1934,NA,"Cheshire, United Kingdom",NA,http://www.tate.org.uk/art/artists/garth-evans-1072
3246,"Evans, Jason",Male,born 1968,1968,NA,"Holyhead, United Kingdom",NA,http://www.tate.org.uk/art/artists/jason-evans-3246
1073,"Evans, Merlyn Oliver",Male,1910–1973,1910,1973,"Cardiff, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/merlyn-oliver-evans-1073
2224,"Evans, Sebastian",Male,1830–1909,1830,1909,NA,NA,http://www.tate.org.uk/art/artists/sebastian-evans-2224
1074,"Eves, Reginald G",Male,1876–1941,1876,1941,"London, United Kingdom","Middleton in Teesdale, United Kingdom",http://www.tate.org.uk/art/artists/reginald-g-eves-1074
12939,"Ewan, Ruth",Female,born 1980,1980,NA,"Aberdeen, United Kingdom",NA,http://www.tate.org.uk/art/artists/ruth-ewan-12939
173,"Eworth, Hans",Male,active 1540–1573,1540,1573,"Antwerpen, België",NA,http://www.tate.org.uk/art/artists/hans-eworth-173
6411,"EXPORT, VALIE",Female,born 1940,1940,NA,Österreich,NA,http://www.tate.org.uk/art/artists/valie-export-6411
1075,"Eyton, Anthony",Male,born 1923,1923,NA,"Gloucestershire, United Kingdom",NA,http://www.tate.org.uk/art/artists/anthony-eyton-1075
1076,"Fabro, Luciano",Male,1936–2007,1936,2007,"Torino, Italia","Milano, Italia",http://www.tate.org.uk/art/artists/luciano-fabro-1076
174,"Faed, Thomas",Male,1826–1900,1826,1900,"Gatehouse of Fleet, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/thomas-faed-174
175,"Fagan, Robert",Male,c.1745–1816,1745,1816,"London, United Kingdom","Roma, Italia",http://www.tate.org.uk/art/artists/robert-fagan-175
4773,"Fahlström, Öyvind",Male,1928–1976,1928,1976,"São Paulo, Brasil","Stockholm, Sverige",http://www.tate.org.uk/art/artists/oyvind-fahlstrom-4773
2591,"Fairhurst, Angus",Male,1966–2008,1966,2008,"Kent, United Kingdom","Scotland, United Kingdom",http://www.tate.org.uk/art/artists/angus-fairhurst-2591
1077,"Fairweather, Ian",Male,1891–1974,1891,1974,"Bridge of Allan, United Kingdom","Brisbane, Australia",http://www.tate.org.uk/art/artists/ian-fairweather-1077
1078,"Falkenstein, Claire",Female,1909–1997,1909,1997,"Coos Bay, United States",NA,http://www.tate.org.uk/art/artists/claire-falkenstein-1078
1079,"Fantin-Latour, Henri",Male,1836–1904,1836,1904,"Grenoble, France","Basse-Normandie, France",http://www.tate.org.uk/art/artists/henri-fantin-latour-1079
176,"Farington, Joseph",Male,1747–1821,1747,1821,"England, United Kingdom","Didsbury, Canada",http://www.tate.org.uk/art/artists/joseph-farington-176
10350,"Farmer, Geoffrey",Male,born 1967,1967,NA,"Eagle Bay, Canada",NA,http://www.tate.org.uk/art/artists/geoffrey-farmer-10350
177,"Farquharson, David",Male,1839–1907,1839,1907,Perth,"Perth and Kinross, United Kingdom",http://www.tate.org.uk/art/artists/david-farquharson-177
178,"Farquharson, Joseph",Male,1847–1935,1847,1935,"Edinburgh, United Kingdom","Edinburgh, United Kingdom",http://www.tate.org.uk/art/artists/joseph-farquharson-178
1080,"Farreras, Francisco",Male,born 1927,1927,NA,"Madrid, España",NA,http://www.tate.org.uk/art/artists/francisco-farreras-1080
10200,"Fast, Omer",Male,born 1972,1972,NA,"Yerushalayim, Yisra'el",NA,http://www.tate.org.uk/art/artists/omer-fast-10200
1081,"Fautrier, Jean",Male,1898–1964,1898,1964,"Paris, France","Châtenay-Malabry, France",http://www.tate.org.uk/art/artists/jean-fautrier-1081
1082,"Fazzini, Pericle",Male,1913–1987,1913,1987,"Grottammare, Italia","Roma, Italia",http://www.tate.org.uk/art/artists/pericle-fazzini-1082
1083,"Fearon, Hilda",Female,1878–1917,1878,1917,"Banstead, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/hilda-fearon-1083
1084,"Fedden, Mary",Female,1915 – 2012,1915,2012,"Bristol, United Kingdom",NA,http://www.tate.org.uk/art/artists/mary-fedden-1084
2677,"Federle, Helmut",Male,born 1944,1944,NA,"Solothurn, Schweiz",NA,http://www.tate.org.uk/art/artists/helmut-federle-2677
1085,"Fehr, Henry C",Male,1867–1940,1867,1940,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/henry-c-fehr-1085
1086,"Feibusch, Hans",Male,1898–1998,1898,1998,"Frankfurt an der Oder, Deutschland",NA,http://www.tate.org.uk/art/artists/hans-feibusch-1086
13198,"Feiler, Jo",Female,born 1951,1951,NA,United States,NA,http://www.tate.org.uk/art/artists/jo-allison-feiler-13198
1087,"Feiler, Paul",Male,1918–2013,1918,2013,"Frankfurt an der Oder, Deutschland",NA,http://www.tate.org.uk/art/artists/paul-feiler-1087
12632,"Feldmann, Hans-Peter",Male,born 1941,1941,NA,"Düsseldorf, Deutschland",NA,http://www.tate.org.uk/art/artists/hans-peter-feldmann-12632
1088,"Fell, Sheila",Female,1931–1979,1931,1979,"Aspatria, United Kingdom",NA,http://www.tate.org.uk/art/artists/sheila-fell-1088
179,"Ferguson, William Gow",Male,c.1633–1695,1633,1695,"Scotland, United Kingdom","Scotland, United Kingdom",http://www.tate.org.uk/art/artists/william-gow-ferguson-179
1089,"Fergusson, J.D.",Male,1874–1961,1874,1961,"Scotland, United Kingdom",Glasgow,http://www.tate.org.uk/art/artists/jd-fergusson-1089
180,"Ferneley, John, I",Male,1782–1860,1782,1860,"Leicestershire, United Kingdom",Melton Mowbray,http://www.tate.org.uk/art/artists/john-ferneley-i-180
181,"Ferneley, John, II",Male,c.1815–1862,1815,1862,"Melton Mowbray, United Kingdom","Manchester, United Kingdom",http://www.tate.org.uk/art/artists/john-ferneley-ii-181
10613,"Ferrari, León",Male,1920–2013,1920,2013,"Buenos Aires, Argentina",NA,http://www.tate.org.uk/art/artists/leon-ferrari-10613
2310,"Ferrers, Benjamin",Male,1695–1732,1695,1732,NA,NA,http://www.tate.org.uk/art/artists/benjamin-ferrers-2310
6842,"Ferris, Dee",Female,born 1973,1973,NA,"Paulton, United Kingdom",NA,http://www.tate.org.uk/art/artists/dee-ferris-6842
1090,"Few, Elsie",Female,1909–1980,1909,1980,Jamaica,NA,http://www.tate.org.uk/art/artists/elsie-few-1090
182,"Fielding, Anthony Vandyke Copley",Male,1787–1855,1787,1855,"England, United Kingdom",Worthing,http://www.tate.org.uk/art/artists/anthony-vandyke-copley-fielding-182
2607,"Fielding, Brian",Male,1933–1986,1933,1986,"Sheffield, United Kingdom",NA,http://www.tate.org.uk/art/artists/brian-fielding-2607
1091,"Fijalkowski, Stanislaw",Male,born 1922,1922,NA,Polska,NA,http://www.tate.org.uk/art/artists/stanislaw-fijalkowski-1091
183,"Fildes, Sir Luke",Male,1843–1927,1843,1927,"Liverpool, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/sir-luke-fildes-183
2425,"Finch, Francis Oliver",Male,1802–1862,1802,1862,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/francis-oliver-finch-2425
2255,"Finden, William",Male,1787–1852,1787,1852,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/william-finden-2255
1092,"Fine, Lois",Female,born 1931,1931,NA,NA,NA,http://www.tate.org.uk/art/artists/lois-fine-1092
5287,"Fini, Leonor",Female,1908–1996,1908,1996,"Buenos Aires, Argentina","Paris, France",http://www.tate.org.uk/art/artists/leonor-fini-5287
4817,"Finn, Michael",Male,1921–2002,1921,2002,"Addlestone, United Kingdom","Saint Ives, United Kingdom",http://www.tate.org.uk/art/artists/michael-finn-4817
1094,"Finnie, John",Male,born 1935,1935,NA,NA,NA,http://www.tate.org.uk/art/artists/john-finnie-1094
4745,"Finn-Kelcey, Rose",Female,1945–2014,1945,2014,"Northampton, United Kingdom",NA,http://www.tate.org.uk/art/artists/rose-finn-kelcey-4745
2757,"Fischli, Peter",Male,born 1952,1952,NA,"Zürich, Schweiz",NA,http://www.tate.org.uk/art/artists/peter-fischli-2757
1095,"Fisher, Brian",Male,born 1939,1939,NA,NA,NA,http://www.tate.org.uk/art/artists/brian-fisher-1095
1096,"Fisher, Joel",Male,born 1947,1947,NA,"Salem, United States",NA,http://www.tate.org.uk/art/artists/joel-fisher-1096
184,"Fisher, Mark",Male,1841–1923,1841,1923,"Boston, United States",NA,http://www.tate.org.uk/art/artists/mark-fisher-184
1097,"Fisher, Melton",Male,1859–1939,1859,1939,"London, United Kingdom","Camberley, United Kingdom",http://www.tate.org.uk/art/artists/melton-fisher-1097
1098,"Fisher, Roy",Male,born 1930,1930,NA,NA,NA,http://www.tate.org.uk/art/artists/roy-fisher-1098
1099,"Fitton, James",Male,1899–1982,1899,1982,"Oldham, United Kingdom",NA,http://www.tate.org.uk/art/artists/james-fitton-1099
185,"Fitzgerald, John Anster",Male,1819–1906,1819,1906,NA,NA,http://www.tate.org.uk/art/artists/john-anster-fitzgerald-185
1100,"Flanagan, Barry",Male,1941–2009,1941,2009,"Prestatyn, United Kingdom",NA,http://www.tate.org.uk/art/artists/barry-flanagan-1100
1101,"Flavin, Dan",Male,1933–1996,1933,1996,"Jamaica, United States","Riverhead, United States",http://www.tate.org.uk/art/artists/dan-flavin-1101
186,"Flaxman, John",Male,1755–1826,1755,1826,"York, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/john-flaxman-186
11826,"Fleury, Lili",Female,born 1964,1964,NA,NA,NA,http://www.tate.org.uk/art/artists/lili-fleury-11826
187,"Florence, Mary Sargant",Male,1857–1954,1857,1954,"London, United Kingdom","Twickenham, United Kingdom",http://www.tate.org.uk/art/artists/mary-sargant-florence-187
2761,"Floyer, Ceal",Female,born 1968,1968,NA,"Karachi, Pakistan",NA,http://www.tate.org.uk/art/artists/ceal-floyer-2761
188,"Foley, John Henry",Male,1818–1874,1818,1874,"Dublin, Éire","London, United Kingdom",http://www.tate.org.uk/art/artists/john-henry-foley-188
1102,"Fontana, Lucio",Male,1899–1968,1899,1968,"Rosario, Argentina",NA,http://www.tate.org.uk/art/artists/lucio-fontana-1102
1103,"Forain, Jean-Louis",Male,1852–1931,1852,1931,"Reims, France","Chesnay, Le, France",http://www.tate.org.uk/art/artists/jean-louis-forain-1103
189,"Forbes, Elizabeth",Female,1859–1912,1859,1912,"Ottawa, Canada","Newlyn, United Kingdom",http://www.tate.org.uk/art/artists/elizabeth-forbes-189
190,"Forbes, Stanhope Alexander",Male,1857–1947,1857,1947,"Dublin, Éire","Newlyn, United Kingdom",http://www.tate.org.uk/art/artists/stanhope-alexander-forbes-190
1104,"Forbes, Vivian",Female,1891–1937,1891,1937,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/vivian-forbes-1104
1105,"Forbes-Robertson, Eric",Male,1865–1935,1865,1935,"Dumfries, United Kingdom",NA,http://www.tate.org.uk/art/artists/eric-forbes-robertson-1105
191,"Ford, Edward Onslow",Male,1852–1901,1852,1901,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/edward-onslow-ford-191
2733,"Ford, Laura",Female,born 1961,1961,NA,"Cardiff, United Kingdom",NA,http://www.tate.org.uk/art/artists/laura-ford-2733
1106,"Ford, Mary",Female,born 1946,1946,NA,NA,NA,http://www.tate.org.uk/art/artists/mary-ford-1106
2260,"Förg, Günther",Male,born 1952,1952,NA,"Schwaben, Deutschland",NA,http://www.tate.org.uk/art/artists/gunther-forg-2260
1107,"Forge, Andrew",Male,1923–2002,1923,2002,"Kent, United Kingdom",NA,http://www.tate.org.uk/art/artists/andrew-forge-1107
10692,"Forsyth, Iain",Male,born 1973,1973,NA,"Manchester, United Kingdom",NA,http://www.tate.org.uk/art/artists/iain-forsyth-10692
11360,"Fosso, Samuel",Male,born 1962,1962,NA,"Kumba, Cameroun",NA,http://www.tate.org.uk/art/artists/samuel-fosso-11360
192,"Foster, Myles Birket",Male,1825–1899,1825,1899,"Tynemouth, United Kingdom","Weybridge, United Kingdom",http://www.tate.org.uk/art/artists/myles-birket-foster-192
2495,"Foster, William",Male,active 1772–1812,1772,1812,NA,NA,http://www.tate.org.uk/art/artists/william-foster-2495
2772,"Fougeron, André",Male,1913–1998,1913,1998,"Paris, France",NA,http://www.tate.org.uk/art/artists/andre-fougeron-2772
9061,"Fowler, Luke",Male,born 1978,1978,NA,"Glasgow, United Kingdom",NA,http://www.tate.org.uk/art/artists/luke-fowler-9061
1108,"Fox Pitt, Douglas",Male,1864–1922,1864,1922,"London, United Kingdom","Thorpe, United Kingdom",http://www.tate.org.uk/art/artists/douglas-fox-pitt-1108
3889,"Foxton, Simon",Male,born 1961,1961,NA,NA,NA,http://www.tate.org.uk/art/artists/simon-foxton-3889
1109,"Fraenkel, Elsa",Female,1892–1975,1892,1975,"Bensheim, Deutschland","Bangalore, Bharat",http://www.tate.org.uk/art/artists/elsa-fraenkel-1109
1110,"Frampton, Edward Reginald",Male,1872–1923,1872,1923,"London, United Kingdom","Paris, France",http://www.tate.org.uk/art/artists/edward-reginald-frampton-1110
1112,"Frampton, Meredith",Male,1894–1984,1894,1984,"London, United Kingdom",NA,http://www.tate.org.uk/art/artists/meredith-frampton-1112
1111,"Frampton, Sir George",Male,1860–1928,1860,1928,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/sir-george-frampton-1111
2565,"Francia, François Louis Thomas",Male,1772–1839,1772,1839,"Calais, France","Calais, France",http://www.tate.org.uk/art/artists/francois-louis-thomas-francia-2565
2311,"Francis, Mark",Male,born 1962,1962,NA,"Newtownards, United Kingdom",NA,http://www.tate.org.uk/art/artists/mark-francis-2311
1113,"Francis, Sam",Male,1923–1994,1923,1994,"San Mateo, United States","Santa Monica, United States",http://www.tate.org.uk/art/artists/sam-francis-1113
5275,"Frank, Robert",Male,born 1924,1924,NA,"Zürich, Schweiz",NA,http://www.tate.org.uk/art/artists/robert-frank-5275
1114,"Frankenthaler, Helen",Female,born 1928,1928,NA,"New York, United States",NA,http://www.tate.org.uk/art/artists/helen-frankenthaler-1114
193,"Fraser, Alexander",Male,1786–1865,1786,1865,"Edinburgh, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/alexander-fraser-193
9439,"Fraser, Andrea",Female,born 1965,1965,NA,"Montana, United States",NA,http://www.tate.org.uk/art/artists/andrea-fraser-9439
1115,"Fraser, Claud Lovat",Male,1890–1921,1890,1921,"London, United Kingdom",NA,http://www.tate.org.uk/art/artists/claud-lovat-fraser-1115
1116,"Freedman, Barnett",Male,1901–1958,1901,1958,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/barnett-freedman-1116
2712,"Freedman, Carl",Male,born 1965,1965,NA,NA,NA,http://www.tate.org.uk/art/artists/carl-freedman-2712
1117,"Freiles, Antonio",Male,born 1943,1943,NA,NA,NA,http://www.tate.org.uk/art/artists/antonio-freiles-1117
1118,"Frélaut, Jean",Male,1879–1954,1879,1954,"Grenoble, France","Vannes, France",http://www.tate.org.uk/art/artists/jean-frelaut-1118
2330,French School 18th century,NA,1700–1799,1700,1799,NA,NA,http://www.tate.org.uk/art/artists/french-school-18th-century-2330
2744,French School 19th century,NA,1800–1899,1800,1899,NA,NA,http://www.tate.org.uk/art/artists/french-school-19th-century-2744
1119,"Frenkel, Vera",Female,born 1938,1938,NA,"Bratislava, Slovenská Republika",NA,http://www.tate.org.uk/art/artists/vera-frenkel-1119
1120,"Freud, Lucian",Male,1922–2011,1922,2011,"Berlin, Deutschland","London, United Kingdom",http://www.tate.org.uk/art/artists/lucian-freud-1120
1121,"Friedenson, Arthur",Male,1872–1955,1872,1955,"Leeds, United Kingdom","Parkstone, United States",http://www.tate.org.uk/art/artists/arthur-friedenson-1121
5293,"Friedlander, Lee",Male,born 1934,1934,NA,"Aberdeen, United States",NA,http://www.tate.org.uk/art/artists/lee-friedlander-5293
1122,"Friend, Ian",Male,born 1951,1951,NA,"Eastbourne, United Kingdom",NA,http://www.tate.org.uk/art/artists/ian-friend-1122
1123,"Friesz, Othon",Male,1879–1949,1879,1949,"Le Havre, France","Paris, France",http://www.tate.org.uk/art/artists/othon-friesz-1123
1124,"Frink, Dame Elisabeth",Female,1930–1993,1930,1993,"Suffolk, United Kingdom","Dorset, United Kingdom",http://www.tate.org.uk/art/artists/dame-elisabeth-frink-1124
2426,"Fripp, Alfred Downing",Male,1822–1895,1822,1895,"Bristol, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/alfred-downing-fripp-2426
2427,"Fripp, George Arthur",Male,1813–1896,1813,1896,NA,NA,http://www.tate.org.uk/art/artists/george-arthur-fripp-2427
194,"Frith, William Powell",Male,1819–1909,1819,1909,"Ripon, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/william-powell-frith-194
2388,"Frize, Bernard",Male,born 1949,1949,NA,"Saint-Mandé, France",NA,http://www.tate.org.uk/art/artists/bernard-frize-2388
1125,"Frohner, Adolf",Male,1934–2007,1934,2007,"Gross Enzersdorf, Österreich","Wien, Österreich",http://www.tate.org.uk/art/artists/adolf-frohner-1125
1126,"Frost, Sir Terry",Male,1915–2003,1915,2003,"Royal Leamington Spa, United Kingdom","Hayle, United Kingdom",http://www.tate.org.uk/art/artists/sir-terry-frost-1126
195,"Frost, William Edward",Male,1810–1877,1810,1877,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/william-edward-frost-195
1127,"Froy, Martin",Male,born 1926,1926,NA,"London, United Kingdom",NA,http://www.tate.org.uk/art/artists/martin-froy-1127
1128,"Fry, Anthony",Male,born 1927,1927,NA,"Theydon Bois, United Kingdom",NA,http://www.tate.org.uk/art/artists/anthony-fry-1128
1129,"Fry, Roger",Male,1866–1934,1866,1934,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/roger-fry-1129
2265,"Frye, Thomas",Male,1710–1762,1710,1762,Éire,NA,http://www.tate.org.uk/art/artists/thomas-frye-2265
1130,"Fuchs, Emil",Male,1866–1929,1866,1929,"Wien, Österreich","New York, United States",http://www.tate.org.uk/art/artists/emil-fuchs-1130
17414,"Fukushima, Hideko",Female,1927–1997,1927,1997,NA,NA,http://www.tate.org.uk/art/artists/hideko-fukushima-17414
1131,"Fullard, George",Male,1923–1973,1923,1973,"Sheffield, United Kingdom",NA,http://www.tate.org.uk/art/artists/george-fullard-1131
196,"Fuller, Isaac",Male,c.1606–1672,1606,1672,"Greifswald, Deutschland","Dresden, Deutschland",http://www.tate.org.uk/art/artists/isaac-fuller-196
1132,"Fuller, Sue",Female,1914 – 2006,1914,2006,"Pittsburgh, United States",NA,http://www.tate.org.uk/art/artists/sue-fuller-1132
197,"Fulleylove, John",Male,1845–1908,1845,1908,"Leicester, United Kingdom",NA,http://www.tate.org.uk/art/artists/john-fulleylove-197
1133,"Fulton, Hamish",Male,born 1946,1946,NA,"London, United Kingdom",NA,http://www.tate.org.uk/art/artists/hamish-fulton-1133
13623,"Furlong, William",Male,born 1944,1944,NA,"Woking, United Kingdom",NA,http://www.tate.org.uk/art/artists/william-furlong-13623
1134,"Furse, Charles Wellington",Male,1868–1904,1868,1904,"Staines, United Kingdom","Camberley, United Kingdom",http://www.tate.org.uk/art/artists/charles-wellington-furse-1134
198,"Fuseli, Henry",Male,1741–1825,1741,1825,"Zürich, Schweiz","London, United Kingdom",http://www.tate.org.uk/art/artists/henry-fuseli-198
1135,"Fussell, Michael",Male,1927–1974,1927,1974,"Southampton, United Kingdom",NA,http://www.tate.org.uk/art/artists/michael-fussell-1135
1136,"Fyzee-Rahamin, Samuel",Male,1880–1964,1880,1964,"Pune, Bharat","Karachi, Pakistan",http://www.tate.org.uk/art/artists/samuel-fyzee-rahamin-1136
8313,"Gaba, Meschac",Male,born 1961,1961,NA,"Cotonou, Bénin",NA,http://www.tate.org.uk/art/artists/meschac-gaba-8313
2790,"Gabie, Neville",Male,born 1959,1959,NA,"Johannesburg, South Africa",NA,http://www.tate.org.uk/art/artists/neville-gabie-2790
1137,"Gabo, Naum",Male,1890–1977,1890,1977,"Klimovichi, Belarus","Waterbury, United States",http://www.tate.org.uk/art/artists/naum-gabo-1137
199,"Gainsborough, Thomas",Male,1727–1788,1727,1788,"Sudbury, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/thomas-gainsborough-199
200,"Gale, William",Male,1823–1909,1823,1909,"London, United Kingdom",NA,http://www.tate.org.uk/art/artists/william-gale-200
2658,"Gallaccio, Anya",Female,born 1963,1963,NA,"Glasgow, United Kingdom",NA,http://www.tate.org.uk/art/artists/anya-gallaccio-2658
9553,"Gallagher, Ellen",Female,born 1965,1965,NA,"Providence, United States",NA,http://www.tate.org.uk/art/artists/ellen-gallagher-9553
11460,"Gamarra, Sandra",Female,born 1972,1972,NA,"Lima, Perú",NA,http://www.tate.org.uk/art/artists/sandra-gamarra-11460
9102,"Gander, Ryan",Male,born 1976,1976,NA,"Chester, United Kingdom",NA,http://www.tate.org.uk/art/artists/ryan-gander-9102
6876,"Garaicoa, Carlos",Male,born 1967,1967,NA,"La Habana, Cuba",NA,http://www.tate.org.uk/art/artists/carlos-garaicoa-6876
1139,"Garbe, Richard",Male,1876–1957,1876,1957,"Hackney, United Kingdom","Westscott, United Kingdom",http://www.tate.org.uk/art/artists/richard-garbe-1139
10370,"Garcia Torres, Mario",Male,born 1975,1975,NA,"Monclova, México",NA,http://www.tate.org.uk/art/artists/mario-garcia-torres-10370
1140,"Gardiner, Clive",Male,1891–1960,1891,1960,"Blackburn, United Kingdom",NA,http://www.tate.org.uk/art/artists/clive-gardiner-1140
201,"Gardner, Daniel",Male,1750–1805,1750,1805,"Kendal, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/daniel-gardner-201
1141,"Garet, Jedd",Male,born 1955,1955,NA,"Los Angeles, United States",NA,http://www.tate.org.uk/art/artists/jedd-garet-1141
202,"Garrard, George",Male,1760–1826,1760,1826,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/george-garrard-202
203,"Garstin, Norman",Male,1847–1926,1847,1926,"Clare, Éire","Penzance, United Kingdom",http://www.tate.org.uk/art/artists/norman-garstin-203
1142,"Gascoyne, David",Male,1916–2001,1916,2001,"Harrow, United Kingdom","Newport, United Kingdom",http://www.tate.org.uk/art/artists/david-gascoyne-1142
2696,"Gaskell, Anna",Female,born 1969,1969,NA,"Iowa, United States",NA,http://www.tate.org.uk/art/artists/anna-gaskell-2696
204,"Gastineau, Henry",Male,1791–1876,1791,1876,NA,NA,http://www.tate.org.uk/art/artists/henry-gastineau-204
