year_ended_june,measure,value,value_unit,value_label
1988,"Rising 2 Year Old Dairy Heifers, not in Calf",56008,number,Number of cattle
1988,Total Dairy Cattle (including Bobby Calves),3199730,number,Number of cattle
1988,Rising 1 Year Old Dairy Heifers and Heifer Calves,506722,number,Number of cattle
1988,Dairy Bulls intended for Breeding,30632,number,Number of cattle
1988,"Dairy Cows and Heifers, 2 Years Old and Over, in Milk or Calf",2167141,number,Number of cattle
1988,"Beef Cows and Heifers, Bred from",1459899,number,Number of cattle
1988,"Beef Heifer Calves, under 1 Year Old",604023,number,Number of cattle
1988,Total Beef Cattle,4858168,number,Number of cattle
1988,Total Cattle,8057898,number,Number of cattle
1988,Steers and Non-breeding Bulls,2191489,number,Number of cattle
1988,Beef Breeding Bulls,78647,number,Number of cattle
1988,"Breeding Sows, over 1 Year Old",47183,number,Number of pigs
1988,Other Pigs,356124,number,Number of pigs
1988,Total Pigs,413558,number,Number of pigs
1988,Mated Gilts,5975,number,Number of pigs
1988,Breeding Ewes 2 Tooth and Over put to Ram,44040587,number,Number of sheep
1988,Breeding Ewes 2 Tooth and Over not put to Ram,1855961,number,Number of sheep
1988,Rams 2 Tooth and Over,767003,number,Number of sheep
1988,Ewe Hoggets put to Ram,1904103,number,Number of sheep
1988,Ewe Hoggets not put to Ram,10593453,number,Number of sheep
1988,Hoggets Ram,1063042,number,Number of sheep
1988,Hoggets Wether,2785844,number,Number of sheep
1988,Wethers 2 Tooth and Over,1590084,number,Number of sheep
1988,Total Sheep,64600077,number,Number of sheep
1988,Total Lambs Marked and/or Tailed,46475469,number,Number of sheep
1988,Total Ram and Wether Hoggets,3848886,number,Number of sheep
1988,Total goats,1300680,number,Number of goats
1988,Total male deer,194115,number,Number of deer
1988,Total female deer,411927,number,Number of deer
1988,Total Deer,606042,number,Number of deer
1988,Wheat (area sown),50609,number,Hectares
1988,Oats (area sown),17542,number,Hectares
1988,Barley (area sown),82961,number,Hectares
1988,Field peas (area sown),24672,number,Hectares
1988,Maize (area sown),16016,number,Hectares
1988,Wheat (yield),205984,number,Tonnes
1988,Oats (yield),64044,number,Tonnes
1988,Barley (yield),356055,number,Tonnes
1988,Seed/field peas (yield),73808,number,Tonnes
1988,Maize (yield),136944,number,Tonnes
1988,Nuts,514,number,Hectares
1988,Superphosphate,463866,number,Tonnes
1988,Lime,583789,number,Tonnes
1988,Urea,19028,number,Tonnes
1988,Ammonia Sulphate,14170,number,Tonnes
1988,Diammonium Phosphate (DAP),21121,number,Tonnes
1988,Total All Fertilisers,1723485,number,Tonnes
1988,Potatoes,9101,number,Hectares
1988,Male deer (2 yrs and over),68086,number,Number of deer
1988,Male deer (under 2 yrs),126029,number,Number of deer
1988,Female deer mated since 30 June last year,327544,number,Number of deer
1988,Other female deer,84383,number,Number of deer
1988,Asparagus,3097,number,Hectares
1988,Orchids,227886,number,Square metres
1988,Boysenberries,421,number,Hectares
1988,Blackcurrants,655,number,Hectares
1988,Blueberries,532,number,Hectares
1988,Wine grapes,4872,number,Hectares
1988,Apples,9670,number,Hectares
1988,Pears (excluding Asian Pears),798,number,Hectares
1988,Asian Pears (Nashi),758,number,Hectares
1988,Peaches,1150,number,Hectares
1988,Apricots,832,number,Hectares
1988,Plums,330,number,Hectares
1988,Nectarines,1149,number,Hectares
1988,Cherries,259,number,Hectares
1988,Kiwifruit,18905,number,Hectares
1988,Avocados,1296,number,Hectares
1988,Feijoas,283,number,Hectares
1988,Tamarillos,477,number,Hectares
1988,Passionfruit,80,number,Hectares
1988,Oranges,792,number,Hectares
1988,Grapefruit/Goldfruit,222,number,Hectares
1988,Lemons,282,number,Hectares
1988,Mandarins,358,number,Hectares
1988,Tangelos,502,number,Hectares
1988,Strawberries,246,number,Hectares
1988,Raspberries,388,number,Hectares
1989,Number of Farm Holdings,82687,number,Number of farm holdings
1989,Grassland and Lucerne,9517910,number,Hectares
1989,Tussock or Danthonia,4159315,number,Hectares
1989,"Crops, Grain, Nursery, Vegetables and Fruit",425073,number,Hectares
1989,Fodder/Other Crops,143348,number,Hectares
1989,Grain,191897,number,Hectared
1989,Land used for horticulture,89828,number,Hectares
1989,Plantations of Exotic Trees,1249154,number,Hectares
1989,Other land,2301839,number,Hectares
1989,Total Area of Farms,17653291,number,Hectares
1989,"Dairy Cows and Heifers, in Milk or Calf",2621378,number,Number of cattle
1989,"Dairy Cows and Heifers, 2 Years Old and Over, not in Milk or Calf",43733,number,Number of cattle
1989,"Rising 2 Year Old Dairy Heifers, not in Calf",51964,number,Number of cattle
1989,Total Dairy Cattle (including Bobby Calves),3302377,number,Number of cattle
1989,Rising 1 Year Old Dairy Heifers and Heifer Calves,553037,number,Number of cattle
1989,Dairy Bulls intended for Breeding,29941,number,Number of cattle
1989,"Dairy Cows and Heifers, 2 Years Old and Over, in Milk or Calf",2227837,number,Number of cattle
1989,"Beef Cows and Heifers, Bred from",1354851,number,Number of cattle
1989,"Beef Heifer Calves, under 1 Year Old",578314,number,Number of cattle
1989,Total Beef Cattle,4526056,number,Number of cattle
1989,Total Cattle,7828433,number,Number of cattle
1989,Steers and Non-breeding Bulls,2055313,number,Number of cattle
1989,Beef Breeding Bulls,68751,number,Number of cattle
1989,"Breeding Sows, over 1 Year Old",44471,number,Number of pigs
1989,Other Pigs,356120,number,Number of pigs
1989,Total Pigs,411334,number,Number of pigs
1989,Mated Gilts,6977,number,Number of pigs
1989,Breeding Ewes 2 Tooth and Over put to Ram,41414031,number,Number of sheep
1989,Breeding Ewes 2 Tooth and Over not put to Ram,2102176,number,Number of sheep
1989,Rams 2 Tooth and Over,734540,number,Number of sheep
1989,Ewe Hoggets put to Ram,1082028,number,Number of sheep
1989,Ewe Hoggets not put to Ram,10167504,number,Number of sheep
1989,Wethers 2 Tooth and Over,1834803,number,Number of sheep
1989,Total Sheep,60568653,number,Number of sheep
1989,Total Lambs Marked and/or Tailed,44775185,number,Number of sheep
1989,Total Ram and Wether Hoggets,3233571,number,Number of sheep
1989,Total goats,1222388,number,Number of goats
1989,Total male deer,258916,number,Number of deer
1989,Total female deer,521150,number,Number of deer
1989,Total Deer,780066,number,Number of deer
1989,Wheat (area sown),37836,number,Hectares
1989,Oats (area sown),18437,number,Hectares
1989,Barley (area sown),86512,number,Hectares
1989,Field peas (area sown),18531,number,Hectares
1989,Maize (area sown),14859,number,Hectares
1989,Wheat (yield),134994,number,Tonnes
1989,Oats (yield),65892,number,Tonnes
1989,Barley (yield),326850,number,Tonnes
1989,Seed/field peas (yield),47307,number,Tonnes
1989,Maize (yield),138694,number,Tonnes
1989,Nuts,439,number,Hectares
1989,Superphosphate,510177,number,Tonnes
1989,Lime,662753,number,Tonnes
1989,Urea,25694,number,Tonnes
1989,Ammonia Sulphate,15701,number,Tonnes
1989,Diammonium Phosphate (DAP),24676,number,Tonnes
1989,Total All Fertilisers,1927804,number,Tonnes
1989,Potatoes,9213,number,Hectares
1989,Male deer (2 yrs and over),92950,number,Number of deer
1989,Male deer (under 2 yrs),165966,number,Number of deer
1989,Female deer mated since 30 June last year,414723,number,Number of deer
1989,Other female deer,106427,number,Number of deer
1989,Asparagus,3216,number,Hectares
1989,Orchids,389535,number,Square metres
1989,Boysenberries,365,number,Hectares
1989,Blackcurrants,616,number,Hectares
1989,Blueberries,495,number,Hectares
1989,Wine grapes,4832,number,Hectares
1989,Apples,10252,number,Hectares
1989,Pears (excluding Asian Pears),759,number,Hectares
1989,Asian Pears (Nashi),762,number,Hectares
1989,Peaches,1132,number,Hectares
1989,Apricots,857,number,Hectares
1989,Plums,303,number,Hectares
1989,Nectarines,1058,number,Hectares
1989,Cherries,269,number,Hectares
1989,Kiwifruit,17694,number,Hectares
1989,Avocados,1314,number,Hectares
1989,Feijoas,255,number,Hectares
1989,Tamarillos,436,number,Hectares
1989,Passionfruit,75,number,Hectares
1989,Oranges,770,number,Hectares
1989,Grapefruit/Goldfruit,200,number,Hectares
1989,Lemons,277,number,Hectares
1989,Mandarins,426,number,Hectares
1989,Tangelos,493,number,Hectares
1989,Strawberries,245,number,Hectares
1989,Raspberries,340,number,Hectares
1990,Grassland,9397430,number,Hectares
1990,Lucerne,71559,number,Hectares
1990,Fallow Land,43879,number,Hectares
1990,"Grassland, Lucerne, Tussock or Danthonia",13489828,number,Hectares
1990,"Land for Grain, Fodder, Other crops and Fallow Land",2607487,number,Hectares
1990,Number of Farm Holdings,80904,number,Number of farm holdings
1990,Grassland and Lucerne,9468989,number,Hectares
1990,Tussock or Danthonia,4020839,number,Hectares
1990,"Crops, Grain, Nursery, Vegetables and Fruit",411562,number,Hectares
1990,Fodder/Other Crops,134685,number,Hectares
1990,Grain,189034,number,Hectared
1990,Land used for horticulture,87843,number,Hectares
1990,Plantations of Exotic Trees,1304240,number,Hectares
1990,Other land,2239889,number,Hectares
1990,Total Area of Farms,17489398,number,Hectares
1990,"Rising 2 Year Old Dairy Heifers, in Calf",428565,number,Number of cattle
1990,Bobby Calves Still on the Farm,2272,number,Number of cattle
1990,Dairy Cows and Heifers - not in Milk or Calf,86664,number,Number of cattle
1990,Rising 1 Year Old Dairy Heifers and Calves,600201,number,Number of cattle
1990,"Dairy Cows and Heifers, in Milk or Calf",2723082,number,Number of cattle
1990,"Dairy Cows and Heifers, 2 Years Old and Over, not in Milk or Calf",41003,number,Number of cattle
1990,"Rising 2 Year Old Dairy Heifers, not in Calf",45689,number,Number of cattle
1990,Total Dairy Cattle (including Bobby Calves),3440815,number,Number of cattle
1990,Rising 1 Year Old Dairy Heifers and Heifer Calves,597929,number,Number of cattle
1990,Dairy Bulls intended for Breeding,31174,number,Number of cattle
1990,"Dairy Cows and Heifers, 2 Years Old and Over, in Milk or Calf",2294723,number,Number of cattle
1990,Calves Born Alive to Dairy Heifers/Cows,2227884,number,Number of cattle
1990,"Beef Cows and Heifers, Bred From, 2 Years and Over",1264607,number,Number of cattle
1990,"Beef Cows and Heifers, Bred From, 1-2 Years",121811,number,Number of cattle
1990,Beef Non-breeding Bulls (all Ages),489995,number,Number of cattle
1990,Steers over 1 year,1076686,number,Number of cattle
1990,"Beef Cows and Heifers, Bred from",1386383,number,Number of cattle
1990,"Beef Heifer Calves, under 1 Year Old",536532,number,Number of cattle
1990,Total Beef Cattle,4593160,number,Number of cattle
1990,Total Cattle,8033976,number,Number of cattle
1990,Steers and Non-breeding Bulls,2094510,number,Number of cattle
1990,Beef Breeding Bulls,78965,number,Number of cattle
1990,"Steers, 2 years old and over",526399,number,Number of cattle
1990,"Steers, 1-2 years old",629252,number,Number of cattle
1990,"Steer Calves, under 1 year",527829,number,Number of cattle
1990,"Bulls, all Ages",569082,number,Number of cattle
1990,"Breeding Sows, over 1 Year Old",44665,number,Number of pigs
1990,Other Pigs,340013,number,Number of pigs
1990,Total Pigs,394701,number,Number of pigs
1990,Mated Gilts,6325,number,Number of pigs
1990,Breeding Ewes 2 Tooth and Over put to Ram,40453499,number,Number of sheep
1990,Breeding Ewes 2 Tooth and Over not put to Ram,1246661,number,Number of sheep
1990,Rams 2 Tooth and Over,684662,number,Number of sheep
1990,Ewe Hoggets put to Ram,1643103,number,Number of sheep
1990,Ewe Hoggets not put to Ram,8938057,number,Number of sheep
1990,Hoggets Ram,732058,number,Number of sheep
1990,Hoggets Wether,2393466,number,Number of sheep
1990,Wethers 2 Tooth and Over,1760686,number,Number of sheep
1990,Total Sheep,57852192,number,Number of sheep
1990,Total Lambs Marked and/or Tailed,39997294,number,Number of sheep
1990,Total Ram and Wether Hoggets,3125524,number,Number of sheep
1990,Total Sheep other than Ewes/Ewe Hoggets put to Ram,15755590,number,Number of sheep
1990,Total goats,1062900,number,Number of goats
1990,Total male deer,339836,number,Number of deer
1990,Total female deer,636454,number,Number of deer
1990,Total Deer,976290,number,Number of deer
1990,Wheat (area sown),40650,number,Hectares
1990,Oats (area sown),20656,number,Hectares
1990,Barley (area sown),96735,number,Hectares
1990,Field peas (area sown),17752,number,Hectares
1990,Maize (area sown),17556,number,Hectares
1990,Wheat (yield),188047,number,Tonnes
1990,Oats (yield),78877,number,Tonnes
1990,Barley (yield),434856,number,Tonnes
1990,Seed/field peas (yield),57379,number,Tonnes
1990,Maize (yield),161651,number,Tonnes
1990,Walnuts,102,number,Hectares
1990,Nuts,576,number,Hectares
1990,Hops,154,number,Hectares
1990,Flowers and Foliage (Outdoor),366,number,Hectares
1990,"Nursery Trees, Shrubs and Plants",3222,number,Hectares
1990,Other Outdoor Horticultural Crops,342,number,Hectares
1990,Superphosphate,1059462,number,Tonnes
1990,Lime,817127,number,Tonnes
1990,Urea,18576,number,Tonnes
1990,Ammonia Sulphate,6565,number,Tonnes
1990,Total All Fertilisers,2127980,number,Tonnes
1990,Potatoes,10171,number,Hectares
1990,Mated hinds (deer),419636,number,Number of deer
1990,Male deer (2 yrs and over),129622,number,Number of deer
1990,Male deer (under 2 yrs),210214,number,Number of deer
1990,Female deer mated since 30 June last year,500513,number,Number of deer
1990,Other female deer,135941,number,Number of deer
1990,Mean average number of broilers on the farm,5126046,number,Number of chickens
1990,Horses,93980,number,Number of horses
1990,Alpacas,1607,number,Number of alpacas
1990,Llamas,406,number,Number of llamas
1990,Hens for Egg Production,2995596,number,Number of chickens
1990,Eggs Sold,58720256,number,Number of eggs
1990,Silverbeet/Spinach,225,number,Hectares
1990,Sweetcorn,2898,number,Hectares
1990,"Tomatoes, outdoor",1098,number,Hectares
1990,Asparagus,2894,number,Hectares
1990,"Beans, Green",1000,number,Hectares
1990,"Beans, Broad",80,number,Hectares
1990,Broccoli,958,number,Hectares
1990,Brussel Sprouts,130,number,Hectares
1990,Cabbage,1019,number,Hectares
1990,Capsicum,104,number,Hectares
1990,Carrots,1245,number,Hectares
1990,Cauliflower,1073,number,Hectares
1990,Celery,143,number,Hectares
1990,Courgettes/Zucchini,219,number,Hectares
1990,Cucumber,164,number,Hectares
1990,Garlic,131,number,Hectares
1990,Kumara,778,number,Hectares
1990,Lettuce,850,number,Hectares
1990,Onions,2704,number,Hectares
1990,Parsnips,157,number,Hectares
1990,Peas,6658,number,Hectares
1990,Squash,3677,number,Hectares
1990,Pumpkin,866,number,Hectares
1990,Orchids,342600,number,Square metres
1990,"Tomatoes, indoor",938118,number,Square metres
1990,Cucumbers,71182,number,Square metres
1990,Capsicum/Peppers,89121,number,Square metres
1990,Mushrooms,53837,number,Square metres
1990,Melons (Water and Rock),334,number,Hectares
1990,Boysenberries,311,number,Hectares
1990,Blackcurrants,703,number,Hectares
1990,Blueberries,346,number,Hectares
1990,Wine grapes,5408,number,Hectares
1990,Apples,11333,number,Hectares
1990,Pears (excluding Asian Pears),903,number,Hectares
1990,Asian Pears (Nashi),739,number,Hectares
1990,Peaches,1101,number,Hectares
1990,Apricots,854,number,Hectares
1990,Plums,324,number,Hectares
1990,Nectarines,946,number,Hectares
1990,Cherries,283,number,Hectares
1990,Kiwifruit,17508,number,Hectares
1990,Avocados,1354,number,Hectares
1990,Feijoas,272,number,Hectares
1990,Tamarillos,420,number,Hectares
1990,Passionfruit,76,number,Hectares
1990,Persimmons,488,number,Hectares
1990,Oranges,833,number,Hectares
1990,Grapefruit/Goldfruit,204,number,Hectares
1990,Lemons,279,number,Hectares
1990,Mandarins,490,number,Hectares
1990,Tangelos,475,number,Hectares
1990,Strawberries,313,number,Hectares
1990,Raspberries,285,number,Hectares
1990,Blackberries/Brambles,60,number,Hectares
1991,"Grassland, Lucerne, Tussock or Danthonia",13715338,number,Hectares
1991,"Land for Grain, Fodder, Other crops and Fallow Land",2315315,number,Hectares
1991,Number of Farm Holdings,80439,number,Number of farm holdings
1991,Land used for horticulture,90614,number,Hectares
1991,Plantations of Exotic Trees,1329202,number,Hectares
1991,Total Area of Farms,17450281,number,Hectares
1991,Dairy Cows and Heifers - not in Milk or Calf,87695,number,Number of cattle
1991,Rising 1 Year Old Dairy Heifers and Calves,664705,number,Number of cattle
1991,"Dairy Cows and Heifers, in Milk or Calf",2641712,number,Number of cattle
1991,Total Dairy Cattle (including Bobby Calves),3429427,number,Number of cattle
1991,Dairy Bulls intended for Breeding,35315,number,Number of cattle
1991,Steers over 1 year,923994,number,Number of cattle
1991,"Beef Cows and Heifers, Bred from",1387987,number,Number of cattle
1991,Total Beef Cattle,4670569,number,Number of cattle
1991,"Bulls, all Ages",699055,number,Number of cattle
1991,Total Pigs,407306,number,Number of pigs
1991,Breeding Ewes 2 Tooth and Over put to Ram,36631076,number,Number of sheep
1991,Ewe Hoggets put to Ram,3201837,number,Number of sheep
1991,Total Sheep,55161643,number,Number of sheep
1991,Total Lambs Marked and/or Tailed,40616456,number,Number of sheep
1991,Total Sheep other than Ewes/Ewe Hoggets put to Ram,15328730,number,Number of sheep
1991,Total goats,792577,number,Number of goats
1991,Total Deer,1129503,number,Number of deer
1991,Wheat (area sown),37527,number,Hectares
1991,Oats (area sown),14790,number,Hectares
1991,Barley (area sown),83740,number,Hectares
1991,Field peas (area sown),19015,number,Hectares
1991,Maize (area sown),19046,number,Hectares
1991,Wheat (yield),180690,number,Tonnes
1991,Oats (yield),57187,number,Tonnes
1991,Barley (yield),382043,number,Tonnes
1991,Seed/field peas (yield),65064,number,Tonnes
1991,Maize (yield),183388,number,Tonnes
1991,Mated hinds (deer),507556,number,Number of deer
1991,Mean average number of broilers on the farm,5232479,number,Number of chickens
1992,Grassland,9528121,number,Hectares
1992,Lucerne,72063,number,Hectares
1992,Fallow Land,69893,number,Hectares
1992,"Grassland, Lucerne, Tussock or Danthonia",13517236,number,Hectares
1992,"Land for Grain, Fodder, Other crops and Fallow Land",2358377,number,Hectares
1992,Number of Farm Holdings,79666,number,Number of farm holdings
1992,Grassland and Lucerne,9600184,number,Hectares
1992,Tussock or Danthonia,3917052,number,Hectares
1992,"Crops, Grain, Nursery, Vegetables and Fruit",413100,number,Hectares
1992,Fodder/Other Crops,143228,number,Hectares
1992,Grain,180213,number,Hectared
1992,Land used for horticulture,89659,number,Hectares
1992,Plantations of Exotic Trees,1335174,number,Hectares
1992,Other land,1965043,number,Hectares
1992,Total Area of Farms,17300446,number,Hectares
1992,"Rising 2 Year Old Dairy Heifers, in Calf",444376,number,Number of cattle
1992,Bobby Calves Still on the Farm,2289,number,Number of cattle
1992,Dairy Cows and Heifers - not in Milk or Calf,92274,number,Number of cattle
1992,Rising 1 Year Old Dairy Heifers and Calves,621980,number,Number of cattle
1992,"Dairy Cows and Heifers, in Milk or Calf",2722939,number,Number of cattle
1992,"Dairy Cows and Heifers, 2 Years Old and Over, not in Milk or Calf",47635,number,Number of cattle
1992,"Rising 2 Year Old Dairy Heifers, not in Calf",44639,number,Number of cattle
1992,Total Dairy Cattle (including Bobby Calves),3467824,number,Number of cattle
1992,Rising 1 Year Old Dairy Heifers and Heifer Calves,619691,number,Number of cattle
1992,Dairy Bulls intended for Breeding,30631,number,Number of cattle
1992,"Dairy Cows and Heifers, 2 Years Old and Over, in Milk or Calf",2278563,number,Number of cattle
1992,Calves Born Alive to Dairy Heifers/Cows,2202961,number,Number of cattle
1992,"Beef Cows and Heifers, Bred From, 2 Years and Over",1294549,number,Number of cattle
1992,"Beef Cows and Heifers, Bred From, 1-2 Years",124406,number,Number of cattle
1992,Beef Non-breeding Bulls (all Ages),672023,number,Number of cattle
1992,Steers over 1 year,958657,number,Number of cattle
1992,"Beef Cows and Heifers, Bred from",1418955,number,Number of cattle
1992,"Beef Heifer Calves, under 1 Year Old",569461,number,Number of cattle
1992,Total Beef Cattle,4676497,number,Number of cattle
1992,Total Cattle,8144321,number,Number of cattle
1992,Steers and Non-breeding Bulls,2146745,number,Number of cattle
1992,Beef Breeding Bulls,76907,number,Number of cattle
1992,"Steers, 2 years old and over",374599,number,Number of cattle
1992,"Steers, 1-2 years old",584058,number,Number of cattle
1992,"Steer Calves, under 1 year",516065,number,Number of cattle
1992,"Bulls, all Ages",748930,number,Number of cattle
1992,"Breeding Sows, over 1 Year Old",45583,number,Number of pigs
1992,Other Pigs,355917,number,Number of pigs
1992,Total Pigs,411148,number,Number of pigs
1992,Mated Gilts,5741,number,Number of pigs
1992,Breeding Ewes 2 Tooth and Over put to Ram,36684469,number,Number of sheep
1992,Breeding Ewes 2 Tooth and Over not put to Ram,794574,number,Number of sheep
1992,Rams 2 Tooth and Over,640588,number,Number of sheep
1992,Ewe Hoggets put to Ram,1714532,number,Number of sheep
1992,Ewe Hoggets not put to Ram,8023500,number,Number of sheep
1992,Hoggets Ram,697784,number,Number of sheep
1992,Hoggets Wether,2324510,number,Number of sheep
1992,Wethers 2 Tooth and Over,1688436,number,Number of sheep
1992,Total Sheep,52568393,number,Number of sheep
1992,Total Lambs Marked and/or Tailed,38716291,number,Number of sheep
1992,Total Ram and Wether Hoggets,3022294,number,Number of sheep
1992,Total Sheep other than Ewes/Ewe Hoggets put to Ram,14169392,number,Number of sheep
1992,Total goats,532767,number,Number of goats
1992,Total male deer,457043,number,Number of deer
1992,Total female deer,678199,number,Number of deer
1992,Total Deer,1135242,number,Number of deer
1992,Wheat (area sown),37797,number,Hectares
1992,Oats (area sown),14033,number,Hectares
1992,Barley (area sown),67380,number,Hectares
1992,Field peas (area sown),22647,number,Hectares
1992,Maize (area sown),17966,number,Hectares
1992,Wheat (yield),191039,number,Tonnes
1992,Oats (yield),57625,number,Tonnes
1992,Barley (yield),318787,number,Tonnes
1992,Seed/field peas (yield),75290,number,Tonnes
1992,Maize (yield),163842,number,Tonnes
1992,Walnuts,122,number,Hectares
1992,Nuts,625,number,Hectares
1992,Hops,170,number,Hectares
1992,Flowers and Foliage (Outdoor),396,number,Hectares
1992,"Nursery Trees, Shrubs and Plants",1367,number,Hectares
1992,Other Outdoor Horticultural Crops,169,number,Hectares
1992,Lime,947087,number,Tonnes
1992,Urea,48463,number,Tonnes
1992,Ammonia Sulphate,27163,number,Tonnes
1992,Total All Fertilisers,2407303,number,Tonnes
1992,Potatoes,9695,number,Hectares
1992,Male deer (2 yrs and over),198955,number,Number of deer
1992,Male deer (under 2 yrs),258088,number,Number of deer
1992,Female deer mated since 30 June last year,507556,number,Number of deer
1992,Other female deer,170643,number,Number of deer
1992,Mean average number of broilers on the farm,5474400,number,Number of chickens
1992,Horses,87951,number,Number of horses
1992,Alpacas,46,number,Number of alpacas
1992,Llamas,398,number,Number of llamas
1992,Hens for Egg Production,2819439,number,Number of chickens
1992,Eggs Sold,49985024,number,Number of eggs
1992,Silverbeet/Spinach,214,number,Hectares
1992,Sweetcorn,3485,number,Hectares
1992,"Tomatoes, outdoor",1176,number,Hectares
1992,Asparagus,2453,number,Hectares
1992,"Beans, Green",794,number,Hectares
1992,"Beans, Broad",151,number,Hectares
1992,Broccoli,1113,number,Hectares
1992,Brussel Sprouts,156,number,Hectares
1992,Cabbage,1073,number,Hectares
1992,Capsicum,91,number,Hectares
1992,Carrots,1221,number,Hectares
1992,Cauliflower,1123,number,Hectares
1992,Celery,164,number,Hectares
1992,Courgettes/Zucchini,221,number,Hectares
1992,Cucumber,47,number,Hectares
1992,Garlic,147,number,Hectares
1992,Kumara,816,number,Hectares
1992,Lettuce,861,number,Hectares
1992,Onions,2925,number,Hectares
1992,Parsnips,163,number,Hectares
1992,Peas,4948,number,Hectares
1992,Squash,4396,number,Hectares
1992,Pumpkin,727,number,Hectares
1992,Orchids,306931,number,Square metres
1992,"Tomatoes, indoor",920775,number,Square metres
1992,Cucumbers,68091,number,Square metres
1992,Capsicum/Peppers,81505,number,Square metres
1992,Mushrooms,88078,number,Square metres
1992,Melons (Water and Rock),322,number,Hectares
1992,Boysenberries,251,number,Hectares
1992,Blackcurrants,778,number,Hectares
1992,Blueberries,328,number,Hectares
1992,Wine grapes,5328,number,Hectares
1992,Apples,12283,number,Hectares
1992,Pears (excluding Asian Pears),995,number,Hectares
1992,Asian Pears (Nashi),590,number,Hectares
1992,Peaches,959,number,Hectares
1992,Apricots,814,number,Hectares
1992,Plums,310,number,Hectares
1992,Nectarines,889,number,Hectares
1992,Cherries,272,number,Hectares
1992,Kiwifruit,15251,number,Hectares
1992,Avocados,1308,number,Hectares
1992,Feijoas,243,number,Hectares
1992,Tamarillos,353,number,Hectares
1992,Passionfruit,74,number,Hectares
1992,Persimmons,415,number,Hectares
1992,Oranges,826,number,Hectares
1992,Grapefruit/Goldfruit,167,number,Hectares
1992,Lemons,334,number,Hectares
1992,Mandarins,544,number,Hectares
1992,Tangelos,406,number,Hectares
1992,Strawberries,261,number,Hectares
1992,Raspberries,221,number,Hectares
1992,Blackberries/Brambles,55,number,Hectares
1993,"Grazing, Arable Crop, Fodder Crop, Fallow",13945176,number,Hectares
1993,Conservation plantings,1899989,number,Hectares
1993,Number of Farm Holdings,81196,number,Number of farm holdings
1993,Land used for horticulture,94607,number,Hectares
1993,Plantations of Exotic Trees,1395758,number,Hectares
1993,Total Area of Farms,17335531,number,Hectares
1993,"Rising 2 Year Old Dairy Heifers, in Calf",472352,number,Number of cattle
1993,Bobby Calves Still on the Farm,3955,number,Number of cattle
1993,Dairy Cows and Heifers - not in Milk or Calf,86737,number,Number of cattle
1993,Rising 1 Year Old Dairy Heifers and Calves,625731,number,Number of cattle
1993,"Dairy Cows and Heifers, in Milk or Calf",2808030,number,Number of cattle
1993,"Dairy Cows and Heifers, 2 Years Old and Over, not in Milk or Calf",46114,number,Number of cattle
1993,"Rising 2 Year Old Dairy Heifers, not in Calf",40623,number,Number of cattle
1993,Total Dairy Cattle (including Bobby Calves),3550140,number,Number of cattle
1993,Rising 1 Year Old Dairy Heifers and Heifer Calves,621776,number,Number of cattle
1993,Dairy Bulls intended for Breeding,29642,number,Number of cattle
1993,"Dairy Cows and Heifers, 2 Years Old and Over, in Milk or Calf",2335678,number,Number of cattle
1993,Calves Born Alive to Dairy Heifers/Cows,2283209,number,Number of cattle
1993,"Beef Cows and Heifers, Bred From, 2 Years and Over",1301231,number,Number of cattle
1993,"Beef Cows and Heifers, Bred From, 1-2 Years",161556,number,Number of cattle
1993,Beef Non-breeding Bulls (all Ages),667583,number,Number of cattle
1993,Steers over 1 year,945167,number,Number of cattle
1993,"Beef Cows and Heifers, Bred from",1462787,number,Number of cattle
1993,"Beef Heifer Calves, under 1 Year Old",584117,number,Number of cattle
1993,Total Beef Cattle,4757962,number,Number of cattle
1993,Total Cattle,8308102,number,Number of cattle
1993,Steers and Non-breeding Bulls,2163040,number,Number of cattle
1993,Beef Breeding Bulls,86448,number,Number of cattle
1993,"Steers, 2 years old and over",358464,number,Number of cattle
1993,"Steers, 1-2 years old",586703,number,Number of cattle
1993,"Steer Calves, under 1 year",550290,number,Number of cattle
1993,"Bulls, all Ages",754031,number,Number of cattle
1993,Total Pigs,395117,number,Number of pigs
1993,Mated Gilts,0,number,Number of pigs
1993,Breeding Ewes 2 Tooth and Over put to Ram,35374952,number,Number of sheep
1993,Breeding Ewes 2 Tooth and Over not put to Ram,706605,number,Number of sheep
1993,Rams 2 Tooth and Over,575207,number,Number of sheep
1993,Ewe Hoggets put to Ram,1262702,number,Number of sheep
1993,Ewe Hoggets not put to Ram,7966586,number,Number of sheep
1993,Hoggets Ram,667934,number,Number of sheep
1993,Hoggets Wether,2142130,number,Number of sheep
1993,Wethers 2 Tooth and Over,1602245,number,Number of sheep
1993,Total Sheep,50298361,number,Number of sheep
1993,Total Lambs Marked and/or Tailed,34990925,number,Number of sheep
1993,Total Ram and Wether Hoggets,2810064,number,Number of sheep
1993,Total Sheep other than Ewes/Ewe Hoggets put to Ram,13660707,number,Number of sheep
1993,Total goats,352858,number,Number of goats
1993,Total male deer,429240,number,Number of deer
1993,Total female deer,649239,number,Number of deer
1993,Total Deer,1078479,number,Number of deer
1993,Wheat (area sown),40861,number,Hectares
1993,Oats (area sown),14179,number,Hectares
1993,Barley (area sown),79785,number,Hectares
1993,Field peas (area sown),19663,number,Hectares
