Category: Nature,Category: Type,Category: Reporting Level,Location: Suburb,Office: Responsible Office
Animal,Attack,,MURARRIE,Enforcement Animal Attack
Animal,Attack,Not An Attack,CLAYFIELD,Enforcement Animal Attack
Animal,Dog,Wandering,MCDOWALL,City Safety (Animal Management)
Animal,Dog,Fencing Issues,ZILLMERE,City Safety (Animal Management)
Animal,Dog,Fencing Issues,BELLBOWRIE,City Safety (Animal Management)
Animal,Cat,,CLAYFIELD,City Safety (Animal Management)
Animal,Attack,Attack On A Person,SALISBURY,Enforcement Animal Attack
Animal,Dog,Odour,WYNNUM WEST,City Safety Assessments Team
Animal,Dog,Odour,WYNNUM WEST,Enforcement Animal Attack
Animal,Dog,Wandering,SANDGATE,City Safety (Animal Management)
Animal,Dog,Fencing Issues,BOONDALL,Rapid Response Group
Animal,Attack,Not An Attack,CARINA,Enforcement Animal Attack
Animal,Other Animal,Too Many Animals,KEPERRA,City Safety (Animal Management)
Animal,Dog,Fencing Issues,KEPERRA,City Safety (Animal Management)
Animal,Other Animal,Fencing Issues,CAMP HILL,Rapid Response Group
Animal,Cat Trapping,,NUDGEE,Environmental Management Team
Animal,Dog,Wandering,HEMMANT,City Safety (Animal Management)
Animal,Dog,Unregistered,UPPER MOUNT GRAVATT,City Safety (Animal Management)
Animal,Cat,Wandering,HOLLAND PARK,City Safety Assessments Team
Animal,Dog,Wandering,RED HILL,City Safety (Animal Management)
Animal,Dog,Wandering,KEDRON,Rapid Response Group
Animal,Cat Trapping,,HOLLAND PARK WEST,Environmental Management Team
Animal,Attack,,SALISBURY,Enforcement Animal Attack
Animal,Dog,Unregistered,ALGESTER,City Safety (Animal Management)
Animal,Attack,Not An Attack,FITZGIBBON,Enforcement Animal Attack
Animal,Attack,,FOREST LAKE,Enforcement Animal Attack
Animal,Dog,Wandering,HAWTHORNE,City Safety (Animal Management)
Animal,Dog,Wandering,INALA,Rapid Response Group
Animal,Dog,Wandering,WAKERLEY,Enforcement Animal Attack
Animal,Attack,Attack On A Person,WINDSOR,Enforcement Animal Attack
Animal,Dog,Wandering,FITZGIBBON,City Safety (Animal Management)
Animal,Other Animal,Wild Dog,UPPER BROOKFIELD,Environmental Management Team
Animal,Dog,Odour,SUNNYBANK HILLS,City Safety (Animal Management)
Animal,Dog,Wandering,SALISBURY,City Safety (Animal Management)
Animal,Attack,Dangerous,UPPER MOUNT GRAVATT,City Safety (Animal Management)
Animal,Dog,Wandering,ENOGGERA,City Safety (Animal Management)
Animal,Dog,Wandering,WEST END,City Safety (Animal Management)
Animal,Attack,Attack On An Animal,KEDRON,Enforcement Animal Attack
Animal,Dog,Wandering,MILTON,City Safety (Animal Management)
Animal,Cat,Wandering,EAST BRISBANE,City Safety Assessments Team
Animal,Cat,Wandering,GEEBUNG,City Safety Assessments Team
Animal,Dog,Wandering,,Scheduling and Dispatch
Animal,Other Animal,Deer,BROOKFIELD,Environmental Management Team
Animal,Dog,Fencing Issues,ANNERLEY,City Safety (Animal Management)
Animal,Attack,,BRACKEN RIDGE,Enforcement Animal Attack
Animal,Dog,Unregistered,,City Safety (Animal Management)
Animal,Attack,Not An Attack,FOREST LAKE,Enforcement Animal Attack
Animal,Attack,Attack On An Animal,CHERMSIDE WEST,Enforcement Animal Attack
Animal,Attack,Attack On An Animal,WACOL,Enforcement Animal Attack
Animal,Attack,Menacing,ROCKLEA,Enforcement Animal Attack
Animal,Dog,Odour,MORNINGSIDE,City Safety Assessments Team
Animal,Dog,Too Many Animals,NEW FARM,City Safety (Animal Management)
Animal,Other Animal,Fox,RIVERHILLS,Environmental Management Team
Animal,Dog,Defecating In Public,WAVELL HEIGHTS,Rapid Response Group
Animal,Dog,Wandering,KANGAROO POINT,City Safety (Animal Management)
Animal,Attack,,NORMAN PARK,Enforcement Animal Attack
Animal,Attack,,UPPER KEDRON,Enforcement Animal Attack
Animal,Attack,Attack On A Person,TARRAGINDI,Enforcement Animal Attack
Animal,Attack,,SUNNYBANK HILLS,Enforcement Animal Attack
Animal,Attack,Menacing,WAKERLEY,Enforcement Animal Attack
Animal,Cat Trapping,,CARSELDINE,Environmental Management Team
Animal,Attack,Attack On An Animal,GRANGE,City Safety (Animal Management)
Animal,Attack,Attack On A Person,EAST BRISBANE,Enforcement Animal Attack
Animal,Other Animal,Odour,EVERTON PARK,City Safety Assessments Team
Animal,Other Animal,Fox,HOLLAND PARK,Environmental Management Team
Animal,Attack,Not An Attack,COORPAROO,Enforcement Animal Attack
Animal,Attack,Attack On A Person,MORNINGSIDE,Enforcement Animal Attack
Animal,Attack,Menacing,HEMMANT,Enforcement Animal Attack
Animal,Cat Trapping,,FIG TREE POCKET,Environmental Management Team
Animal,Dog,Fencing Issues,KEPERRA,City Safety (Animal Management)
Animal,Dog,Fencing Issues,ROBERTSON,Rapid Response Group
Animal,Other Animal,Too Many Animals,DEAGON,Rapid Response Group
Animal,Attack,,EIGHT MILE PLAINS,Enforcement Animal Attack
Animal,Other Animal,Nuisance Animal,TARRAGINDI,City Safety (Animal Management)
Animal,Other Animal,Nuisance Animal,TARRAGINDI,City Safety (Animal Management)
Animal,Dog,Fencing Issues,NORMAN PARK,City Safety (Animal Management)
Animal,Dog,Wandering,SUNNYBANK,City Safety (Animal Management)
Animal,Dog,Fencing Issues,ELLEN GROVE,Rapid Response Group
Animal,Dog,Wandering,SINNAMON PARK,City Safety (Animal Management)
Animal,Attack,Menacing,WYNNUM,Enforcement Animal Attack
Animal,Attack,,FERNY GROVE,Enforcement Animal Attack
Animal,Dog,Wandering,WEST END,City Safety (Animal Management)
Animal,Cat,Wandering,BRACKEN RIDGE,City Safety Assessments Team
Animal,Attack,Attack On An Animal,NUNDAH,Enforcement Animal Attack
Animal,Cat,Wandering,UPPER MOUNT GRAVATT,City Safety (Animal Management)
Animal,Dog,Fencing Issues,CORINDA,Scheduling and Dispatch
Animal,Dog,Wandering,CORINDA,City Safety (Animal Management)
Animal,Dog,Fencing Issues,TINGALPA,Rapid Response Group
Animal,Other Animal,Fox,KARAWATHA,Environmental Management Team
Animal,Dog,Wandering,HAWTHORNE,Scheduling and Dispatch
Animal,Attack,,INALA,Enforcement Animal Attack
Animal,Other Animal,Fox,CHERMSIDE WEST,Environmental Management Team
Animal,Cat Trapping,,BOONDALL,Environmental Management Team
Animal,Dog,Fencing Issues,KEPERRA,Rapid Response Group
Animal,Other Animal,Fox,SALISBURY,Environmental Management Team
Animal,Dog,Wandering,ST LUCIA,City Safety (Animal Management)
Animal,Other Animal,Deer,MOGGILL,Environmental Management Team
Animal,Dog,Defecating In Public,CLAYFIELD,City Safety (Animal Management)
Animal,Dog,Wandering,MITCHELTON,City Safety (Animal Management)
Animal,Dog,Fencing Issues,MOGGILL,Rapid Response Group
Animal,Dog,Wandering,CAMP HILL,City Safety (Animal Management)
Animal,Other Animal,Fox,RIVERHILLS,Environmental Management Team
Animal,Attack,Not An Attack,UPPER MOUNT GRAVATT,Scheduling and Dispatch
Animal,Other Animal,Fox,ASPLEY,Environmental Management Team
Animal,Dog,Wandering,MOOROOKA,City Safety (Animal Management)
Animal,Dog,Wandering,SALISBURY,City Safety (Animal Management)
Animal,Cat Trapping,,BRIDGEMAN DOWNS,Environmental Management Team
Animal,Dog,Wandering,NUDGEE,Scheduling and Dispatch
Animal,Dog,Wandering,NUDGEE,City Safety (Animal Management)
Animal,Dog,Unregistered,DURACK,City Safety (Animal Management)
Animal,Cat,Wandering,TENERIFFE,City Safety Assessments Team
Animal,Dog,Wandering,ASHGROVE,City Safety (Animal Management)
Animal,Attack,,CARINA,Enforcement Animal Attack
Animal,Dog,Unregistered,ROBERTSON,City Safety (Animal Management)
Animal,Dog,Wandering,CARINA,City Safety (Animal Management)
Animal,Cat,Wandering,ALGESTER,City Safety (Animal Management)
Animal,Dog,Unregistered,,City Safety (Animal Management)
Animal,Other Animal,Fencing Issues,FERNY GROVE,City Safety (Animal Management)
Animal,Dog,Wandering,NORTHGATE,Rapid Response Group
Animal,Cat,Wandering,STAFFORD HEIGHTS,City Safety (Animal Management)
Animal,Dog,Unregistered,THE GAP,City Safety (Animal Management)
Animal,Cat Trapping,,WAVELL HEIGHTS,Environmental Management Team
Animal,Cat,Wandering,WYNNUM WEST,City Safety Assessments Team
Animal,Dog,Wandering,HAMILTON,City Safety (Animal Management)
Animal,Dog,Unregistered,KEPERRA,City Safety (Animal Management)
Animal,Cat Trapping,,INALA,Environmental Management Team
Animal,Dog,Odour,TOOWONG,City Safety Assessments Team
Animal,Dog,Odour,TOOWONG,Scheduling and Dispatch
Animal,Attack,,PALLARA,Rapid Response Group
Animal,Dog,Unregistered,SHERWOOD,City Safety (Animal Management)
Animal,Cat,,FOREST LAKE,City Safety (Animal Management)
Animal,Attack,,WISHART,Enforcement Animal Attack
Animal,Dog,,RUNCORN,City Safety (Animal Management)
Animal,Attack,,WAVELL HEIGHTS,Enforcement Animal Attack
Animal,Attack,,ALDERLEY,Enforcement Animal Attack
Animal,Dog,,FORTITUDE VALLEY,City Safety (Animal Management)
Animal,Attack,,ASPLEY,Enforcement Animal Attack
Animal,Other Animal,Nuisance Animal,JINDALEE,Rapid Response Group
Animal,Other Animal,Odour,PULLENVALE,City Safety (Animal Management)
Animal,Attack,,FERNY GROVE,Enforcement Animal Attack
Animal,Other Animal,Odour,STAFFORD HEIGHTS,City Safety (Animal Management)
Animal,Dog,Fencing Issues,BOONDALL,Rapid Response Group
Animal,Dog,,MOUNT GRAVATT EAST,City Safety (Animal Management)
Animal,Dog,Unregistered,ACACIA RIDGE,Rapid Response Group
Animal,Attack,,DURACK,Enforcement Animal Attack
Animal,Dog,,BRISBANE CITY,City Safety (Animal Management)
Animal,Dog,,ELLEN GROVE,City Safety (Animal Management)
Animal,Dog,Wandering,ASHGROVE,City Safety (Animal Management)
Animal,Attack,Not An Attack,EVERTON PARK,Enforcement Animal Attack
Animal,Attack,Attack On A Person,SUNNYBANK,Enforcement Animal Attack
Animal,Cat Trapping,,ST LUCIA,Environmental Management Team
Animal,Other Animal,Fox,RIVERHILLS,Environmental Management Team
Animal,Attack,,ALGESTER,Enforcement Animal Attack
Animal,Cat Trapping,,ALGESTER,Environmental Management Team
Animal,Dog,,WYNNUM WEST,Rapid Response Group
Animal,Dog,,CHERMSIDE WEST,City Safety (Animal Management)
Animal,Cat,,ELLEN GROVE,City Safety Assessments Team
Animal,Attack,Not An Attack,BRACKEN RIDGE,Enforcement Animal Attack
Animal,Dog,,TARRAGINDI,City Safety (Animal Management)
Animal,Cat,,HOLLAND PARK WEST,City Safety Assessments Team
Animal,Attack,Attack On A Person,FAIRFIELD,Enforcement Animal Attack
Animal,Dog,Wandering,SANDGATE,City Safety (Animal Management)
Animal,Attack,Attack On An Animal,NORTHGATE,Enforcement Animal Attack
Animal,Dog,Wandering,MORNINGSIDE,City Safety (Animal Management)
Animal,Dog,Wandering,MORNINGSIDE,Scheduling and Dispatch
Animal,Other Animal,,FOREST LAKE,City Safety (Animal Management)
Animal,Dog,Wandering,GREENSLOPES,Rapid Response Group
Animal,Attack,,RICHLANDS,Enforcement Animal Attack
Animal,Attack,,THE GAP,Enforcement Animal Attack
Animal,Dog,,CARINDALE,City Safety (Animal Management)
Animal,Attack,,BALD HILLS,Enforcement Animal Attack
Animal,Cat Trapping,,WYNNUM,Scheduling and Dispatch
Animal,Cat Trapping,,TAIGUM,Environmental Management Team
Animal,Attack,,GORDON PARK,Rapid Response Group
Animal,Dog,,NUNDAH,City Safety (Animal Management)
Animal,Other Animal,,INALA,City Safety (Animal Management)
Animal,Cat,,HOLLAND PARK WEST,Scheduling and Dispatch
Animal,Other Animal,,WACOL,Scheduling and Dispatch
Animal,Dog,,BANYO,Rapid Response Group
Animal,Cat Trapping,,INALA,Environmental Management Team
Animal,Attack,,SHERWOOD,Enforcement Animal Attack
Animal,Dog,Fencing Issues,INALA,Rapid Response Group
Animal,Dog,Defecating In Public,RIVERHILLS,Rapid Response Group
Animal,Attack,,ACACIA RIDGE,Enforcement Animal Attack
Animal,Other Animal,Fox,MOGGILL,Environmental Management Team
Animal,Attack,,BALMORAL,Enforcement Animal Attack
Animal,Attack,,NUNDAH,Rapid Response Group
Animal,Attack,,INALA,Enforcement Animal Attack
Animal,Dog,Fencing Issues,SALISBURY,Scheduling and Dispatch
Animal,Dog,Fencing Issues,SALISBURY,City Safety (Animal Management)
Animal,Dog,Fencing Issues,GREENSLOPES,Scheduling and Dispatch
Animal,Other Animal,Pest / Feral Animal,INALA,Rapid Response Group
Animal,Cat,Wandering,RUNCORN,City Safety (Animal Management)
Animal,Attack,,PINKENBA,Enforcement Animal Attack
Animal,Dog,Too Many Animals,PINKENBA,City Safety (Animal Management)
Animal,Dog,Unregistered,MORNINGSIDE,Rapid Response Group
Animal,Dog,,KEPERRA,Scheduling and Dispatch
Animal,Dog,,KEPERRA,Scheduling and Dispatch
Animal,Dog,,YERONGA,City Safety (Animal Management)
Animal,Dog,Wandering,WAVELL HEIGHTS,Rapid Response Group
Animal,Attack,,HAWTHORNE,Enforcement Animal Attack
Animal,Attack,,LUTWYCHE,Enforcement Animal Attack
Animal,Other Animal,Fencing Issues,KELVIN GROVE,Rapid Response Group
Animal,Dog,,KARANA DOWNS,City Safety (Animal Management)
Animal,Other Animal,,UPPER BROOKFIELD,Scheduling and Dispatch
Animal,Dog,,ST LUCIA,City Safety (Animal Management)
Animal,Attack,Attack On A Person,SANDGATE,Enforcement Animal Attack
Animal,Other Animal,,GREENSLOPES,City Safety (Animal Management)
Animal,Attack,,CARINA,Enforcement Animal Attack
Animal,Cat,,BURBANK,City Safety Assessments Team
Animal,Dog,Wandering,YERONGA,City Safety (Animal Management)
Animal,Dog,Wandering,YERONGA,Scheduling and Dispatch
Animal,Dog,,LOTA,Scheduling and Dispatch
Animal,Cat Trapping,,CHERMSIDE,Environmental Management Team
Animal,Cat Trapping,,NUDGEE,Environmental Management Team
Animal,Attack,,BRISBANE CITY,Rapid Response Group
Animal,Attack,,EVERTON PARK,Enforcement Animal Attack
Animal,Dog,Fencing Issues,INALA,City Safety (Animal Management)
Animal,Dog,,KARANA DOWNS,Rapid Response Group
Animal,Attack,Menacing,SUNNYBANK,Enforcement Animal Attack
Animal,Dog,Defecating In Public,RIVERHILLS,Rapid Response Group
Animal,Attack,,ASHGROVE,Enforcement Animal Attack
Animal,Attack,,INALA,Enforcement Animal Attack
Animal,Other Animal,,ROCKLEA,Environmental Management Team
Animal,Attack,,DARRA,Enforcement Animal Attack
Animal,Dog,,LOTA,Scheduling and Dispatch
Animal,Attack,Attack On An Animal,DEAGON,Enforcement Animal Attack
Animal,Other Animal,Wild Dog,UPPER BROOKFIELD,Environmental Management Team
Animal,Dog,,GRANGE,City Safety (Animal Management)
Animal,Dog,,GORDON PARK,City Safety (Animal Management)
Animal,Other Animal,,MANLY WEST,Environmental Management Team
Animal,Attack,,CALAMVALE,Enforcement Animal Attack
Animal,Attack,Dangerous,BANYO,Enforcement Animal Attack
Animal,Other Animal,,MOUNT COOT-THA,Scheduling and Dispatch
Animal,Attack,,ZILLMERE,Enforcement Animal Attack
Animal,Attack,,BALD HILLS,Rapid Response Group
Animal,Cat,,WAVELL HEIGHTS,City Safety Assessments Team
Animal,Attack,,CAMP HILL,Rapid Response Group
Animal,Attack,,BRIDGEMAN DOWNS,Enforcement Animal Attack
Animal,Dog,Wandering,HEMMANT,City Safety (Animal Management)
Animal,Cat Trapping,,BRACKEN RIDGE,Environmental Management Team
Animal,Cat,,SANDGATE,City Safety Assessments Team
Animal,Attack,,TINGALPA,Enforcement Animal Attack
Animal,Cat Trapping,,COOPERS PLAINS,Scheduling and Dispatch
Animal,Other Animal,,GEEBUNG,Scheduling and Dispatch
Animal,Cat Trapping,,CHERMSIDE WEST,Scheduling and Dispatch
Animal,Dog,,ALGESTER,Scheduling and Dispatch
Animal,Attack,,HAMILTON,Enforcement Animal Attack
Animal,Cat Trapping,,ROBERTSON,Environmental Management Team
Animal,Cat Trapping,,NEWSTEAD,Environmental Management Team
Animal,Attack,,ACACIA RIDGE,Enforcement Animal Attack
Animal,Dog,,THE GAP,Rapid Response Group
Animal,Attack,Menacing,WYNNUM,Enforcement Animal Attack
Animal,Cat,,ELLEN GROVE,City Safety (Animal Management)
Animal,Attack,,MACGREGOR,Enforcement Animal Attack
Animal,Other Animal,,HIGHGATE HILL,City Safety (Animal Management)
Animal,Attack,Menacing,MANLY WEST,Enforcement Animal Attack
Animal,Dog,Fencing Issues,DEAGON,Rapid Response Group
Animal,Dog,Wandering,BRIGHTON,City Safety (Animal Management)
Animal,Dog,Unregistered,ARCHERFIELD,City Safety (Animal Management)
Animal,Dog,Wandering,ST LUCIA,City Safety (Animal Management)
Animal,Other Animal,Fox,RUNCORN,Environmental Management Team
Animal,Dog,Wandering,INALA,City Safety (Animal Management)
Animal,Dog,,JINDALEE,City Safety (Animal Management)
Animal,Attack,Attack On A Person,CARINA HEIGHTS,Enforcement Animal Attack
Animal,Attack,Attack On An Animal,FOREST LAKE,Enforcement Animal Attack
Animal,Attack,,MOUNT GRAVATT EAST,Enforcement Animal Attack
Animal,Attack,,MIDDLE PARK,Enforcement Animal Attack
Animal,Attack,,BRACKEN RIDGE,Enforcement Animal Attack
Animal,Dog,Wandering,BARDON,City Safety (Animal Management)
Animal,Other Animal,Fox,GEEBUNG,Environmental Management Team
Animal,Dog,Unregistered,,City Safety (Animal Management)
Animal,Cat,Wandering,CARINA HEIGHTS,City Safety (Animal Management)
Animal,Dog,Wandering,WYNNUM,City Safety (Animal Management)
Animal,Other Animal,Fox,TARRAGINDI,Environmental Management Team
Animal,Dog,Fencing Issues,ROCHEDALE,City Safety (Animal Management)
Animal,Cat Trapping,,CARINA HEIGHTS,Environmental Management Team
Animal,Dog,Wandering,FIG TREE POCKET,City Safety (Animal Management)
Animal,Cat,Wandering,WYNNUM,City Safety Assessments Team
Animal,Attack,Not An Attack,KEPERRA,Enforcement Animal Attack
Animal,Attack,Attack On An Animal,INALA,Enforcement Animal Attack
Animal,Attack,Attack On An Animal,BRACKEN RIDGE,Enforcement Animal Attack
Animal,Cat,Wandering,HAWTHORNE,City Safety (Animal Management)
Animal,Attack,,CLAYFIELD,Enforcement Animal Attack
Animal,Attack,Attack On An Animal,GRACEVILLE,Enforcement Animal Attack
Animal,Dog,Wandering,CHAPEL HILL,City Safety (Animal Management)
Animal,Dog,Wandering,UPPER MOUNT GRAVATT,City Safety (Animal Management)
Animal,Attack,Attack On An Animal,NUDGEE,Enforcement Animal Attack
Animal,Other Animal,Fox,PULLENVALE,Environmental Management Team
Animal,Cat,Wandering,MOGGILL,City Safety Assessments Team
Animal,Cat,Wandering,HOLLAND PARK,City Safety Assessments Team
Animal,Attack,Attack On A Person,HEMMANT,Enforcement Animal Attack
Animal,Dog,Fencing Issues,MOUNT CROSBY,Rapid Response Group
Animal,Other Animal,Nuisance Animal,CALAMVALE,City Safety (Animal Management)
Animal,Dog,Wandering,MOUNT GRAVATT EAST,City Safety (Animal Management)
Animal,Dog,Wandering,CARINA,Enforcement Animal Attack
Animal,Cat Trapping,,SHERWOOD,Environmental Management Team
Animal,Cat Trapping,,BANYO,Environmental Management Team
Animal,Dog,Wandering,BOONDALL,City Safety (Animal Management)
Animal,Dog,Unregistered,KEPERRA,City Safety (Animal Management)
Animal,Dog,Wandering,LOTA,City Safety (Animal Management)
Animal,Dog,Fencing Issues,ACACIA RIDGE,City Safety (Animal Management)
Animal,Attack,Menacing,BOONDALL,Enforcement Animal Attack
Animal,Other Animal,Unregistered,BURBANK,City Safety (Animal Management)
Animal,Attack,Menacing,KARANA DOWNS,Enforcement Animal Attack
Animal,Dog,Too Many Animals,SUNNYBANK HILLS,City Safety (Animal Management)
Animal,Attack,Attack On A Person,INALA,Enforcement Animal Attack
Animal,Attack,Attack On An Animal,STAFFORD,Enforcement Animal Attack
Animal,Dog,,MORNINGSIDE,City Safety (Animal Management)
Animal,Attack,Attack On An Animal,FERNY GROVE,Enforcement Animal Attack
Animal,Attack,Attack On A Person,CLAYFIELD,Enforcement Animal Attack
Animal,Dog,Wandering,BRIDGEMAN DOWNS,City Safety (Animal Management)
Animal,Other Animal,Deer,UPPER BROOKFIELD,Environmental Management Team
Animal,Attack,,ALGESTER,Enforcement Animal Attack
Animal,Cat,Wandering,INALA,City Safety Assessments Team
Animal,Dog,Wandering,EIGHT MILE PLAINS,City Safety (Animal Management)
Animal,Dog,Too Many Animals,SEVENTEEN MILE ROCKS,City Safety (Animal Management)
Animal,Dog,Too Many Animals,SEVENTEEN MILE ROCKS,Scheduling and Dispatch
Animal,Attack,Not An Attack,ROCKLEA,Enforcement Animal Attack
Animal,Dog,Wandering,NEW FARM,City Safety (Animal Management)
Animal,Dog,Wandering,FOREST LAKE,Rapid Response Group
Animal,Dog,Too Many Animals,DREWVALE,City Safety (Animal Management)
Animal,Other Animal,Wild Dog,BROOKFIELD,Environmental Management Team
Animal,Other Animal,Nuisance Animal,KURABY,Rapid Response Group
Animal,Attack,Not An Attack,MOOROOKA,Enforcement Animal Attack
Animal,Other Animal,,EIGHT MILE PLAINS,City Safety (Animal Management)
Animal,Attack,Not An Attack,COOPERS PLAINS,Enforcement Animal Attack
Animal,Other Animal,Pest / Feral Animal,SHORNCLIFFE,Scheduling and Dispatch
Animal,Attack,Attack On A Person,HOLLAND PARK WEST,Enforcement Animal Attack
Animal,Dog,Wandering,WYNNUM,City Safety (Animal Management)
Animal,Dog,Wandering,INALA,City Safety (Animal Management)
Animal,Dog,Fencing Issues,MITCHELTON,City Safety (Animal Management)
Animal,Cat Trapping,,SPRING HILL,Environmental Management Team
Animal,Dog,Wandering,WEST END,City Safety (Animal Management)
Animal,Attack,Attack On An Animal,WOOLLOONGABBA,Enforcement Animal Attack
Animal,Attack,Not An Attack,WACOL,Enforcement Animal Attack
Animal,Dog,Fencing Issues,MOUNT CROSBY,City Safety (Animal Management)
Animal,Cat,,PINJARRA HILLS,City Safety (Animal Management)
Animal,Dog,Too Many Animals,ACACIA RIDGE,City Safety (Animal Management)
Animal,Dog,Odour,ROCHEDALE,City Safety (Animal Management)
Animal,Attack,Attack On An Animal,SINNAMON PARK,Enforcement Animal Attack
Animal,Dog,Wandering,KEPERRA,City Safety (Animal Management)
Animal,Dog,Wandering,KEPERRA,Rapid Response Group
Animal,Dog,Wandering,MANSFIELD,City Safety (Animal Management)
Animal,Attack,Not An Attack,DUTTON PARK,Enforcement Animal Attack
Animal,Dog,Wandering,FITZGIBBON,City Safety (Animal Management)
Animal,Dog,Wandering,RED HILL,City Safety (Animal Management)
Animal,Dog,Wandering,WOOLOOWIN,City Safety (Animal Management)
Animal,Cat Trapping,,RIVERHILLS,Environmental Management Team
Animal,Cat,Wandering,BANYO,City Safety (Animal Management)
Animal,Dog,Wandering,BARDON,City Safety (Animal Management)
Animal,Cat,Wandering,KEPERRA,City Safety Assessments Team
Animal,Dog,Unregistered,WAKERLEY,City Safety (Animal Management)
Animal,Dog,Wandering,KANGAROO POINT,City Safety (Animal Management)
Animal,Cat Trapping,,CLAYFIELD,Environmental Management Team
Animal,Attack,,CHERMSIDE,Enforcement Animal Attack
Animal,Other Animal,Too Many Animals,TARRAGINDI,City Safety (Animal Management)
Animal,Dog,Wandering,MCDOWALL,City Safety (Animal Management)
Animal,Dog,Fencing Issues,HEMMANT,Rapid Response Group
Animal,Dog,Wandering,ENOGGERA,City Safety (Animal Management)
Animal,Dog,Too Many Animals,ZILLMERE,City Safety (Animal Management)
Animal,Other Animal,Nuisance Animal,SHERWOOD,Scheduling and Dispatch
Animal,Attack,Menacing,GRACEVILLE,Enforcement Animal Attack
Animal,Cat Trapping,,ACACIA RIDGE,Environmental Management Team
Animal,Dog,Too Many Animals,SUNNYBANK HILLS,City Safety (Animal Management)
Animal,Attack,,KARANA DOWNS,Enforcement Animal Attack
Animal,Dog,Unregistered,,City Safety (Animal Management)
Animal,Other Animal,Fox,ASPLEY,Environmental Management Team
Animal,Dog,Wandering,FIG TREE POCKET,City Safety (Animal Management)
Animal,Dog,Fencing Issues,ASHGROVE,Rapid Response Group
Animal,Attack,,KELVIN GROVE,Enforcement Animal Attack
Animal,Dog,,COORPAROO,City Safety (Animal Management)
Animal,Dog,Fencing Issues,YEERONGPILLY,City Safety (Animal Management)
Animal,Dog,Wandering,CORINDA,Rapid Response Group
Animal,Dog,Wandering,MOGGILL,City Safety (Animal Management)
Animal,Cat,Wandering,ROBERTSON,City Safety Assessments Team
Animal,Dog,Wandering,HAMILTON,City Safety (Animal Management)
Animal,Attack,Attack On An Animal,CORINDA,Enforcement Animal Attack
Animal,Other Animal,Nuisance Animal,TARRAGINDI,City Safety (Animal Management)
Animal,Attack,Attack On An Animal,UPPER MOUNT GRAVATT,City Safety (Animal Management)
Animal,Dog,Wandering,NUDGEE BEACH,City Safety (Animal Management)
Animal,Cat Trapping,,INALA,Environmental Management Team
Animal,Cat,Wandering,MOUNT GRAVATT EAST,City Safety (Animal Management)
Animal,Dog,Unregistered,INALA,City Safety (Animal Management)
Animal,Dog,Fencing Issues,WEST END,Scheduling and Dispatch
Animal,Attack,Menacing,BULIMBA,Enforcement Animal Attack
Animal,Dog,Fencing Issues,HEMMANT,Rapid Response Group
Animal,Dog,Wandering,ASHGROVE,City Safety (Animal Management)
Animal,Attack,Attack On An Animal,CARINA HEIGHTS,Enforcement Animal Attack
Animal,Other Animal,Fox,MACGREGOR,Environmental Management Team
Animal,Attack,,THE GAP,Enforcement Animal Attack
Animal,Dog,Too Many Animals,SEVENTEEN MILE ROCKS,Scheduling and Dispatch
Animal,Other Animal,Fox,WILLAWONG,Environmental Management Team
Animal,Dog,Defecating In Public,,City Safety (Animal Management)
Animal,Cat,Wandering,PADDINGTON,City Safety Assessments Team
Animal,Cat,Wandering,INALA,City Safety Assessments Team
Animal,Cat Trapping,,CHERMSIDE,Environmental Management Team
Animal,Dog,Wandering,WYNNUM,City Safety (Animal Management)
Animal,Other Animal,Nuisance Animal,LOTA,Rapid Response Group
Animal,Other Animal,Fox,RUNCORN,Environmental Management Team
Animal,Cat Trapping,,DEAGON,Environmental Management Team
Animal,Dog,Too Many Animals,BALD HILLS,City Safety (Animal Management)
Animal,Dog,Wandering,INALA,Rapid Response Group
Animal,Attack,Menacing,CORINDA,Enforcement Animal Attack
Animal,Dog,Fencing Issues,ZILLMERE,City Safety (Animal Management)
Animal,Cat,Wandering,YERONGA,City Safety Assessments Team
Animal,Other Animal,Wandering,KEPERRA,City Safety (Animal Management)
Animal,Attack,Not An Attack,NEW FARM,Rapid Response Group
Animal,Dog,Wandering,MANSFIELD,City Safety (Animal Management)
Animal,Cat,Wandering,EAST BRISBANE,City Safety Assessments Team
Animal,Dog,Fencing Issues,NORTHGATE,City Safety (Animal Management)
Animal,Dog,Unregistered,WOOLOOWIN,City Safety (Animal Management)
Animal,Attack,,CORINDA,Enforcement Animal Attack
Animal,Other Animal,Fox,CHELMER,Environmental Management Team
Animal,Cat,Wandering,WESTLAKE,City Safety Assessments Team
Animal,Attack,Menacing,STRETTON,Enforcement Animal Attack
Animal,Dog,Wandering,RIVERHILLS,Scheduling and Dispatch
Animal,Attack,Attack On An Animal,BANYO,Enforcement Animal Attack
Animal,Dog,Wandering,BULIMBA,City Safety (Animal Management)
Animal,Dog,Unregistered,INDOOROOPILLY,City Safety (Animal Management)
Animal,Dog,Fencing Issues,INDOOROOPILLY,Scheduling and Dispatch
Animal,Dog,Wandering,EIGHT MILE PLAINS,City Safety (Animal Management)
Animal,Dog,Wandering,KEPERRA,City Safety (Animal Management)
Animal,Dog,Fencing Issues,ACACIA RIDGE,City Safety (Animal Management)
Animal,Dog,Fencing Issues,COORPAROO,Scheduling and Dispatch
