crl.tot,dollar,bang,money,n000,make,yesno
521,0.161,0.01,0.05,0.74,0.17,y
222,0.411,0.529,0.65,0.32,0.98,y
1295,0.103,0.309,0.21,0.35,0.07,y
895,0.216,0.278,0,1.06,0,y
312,0,0.349,0,0.38,0,y
114,0.124,0.124,0,0,0,y
163,0,0.305,0,0,0,y
92,0,1.836,0,2.7,0,y
164,0.04,0,0,0,0,y
124,0,0,0,0,0,y
158,0.056,0.224,0,0,0,y
110,0,0,0,0,0,y
482,0,0.065,0,0,0,y
204,0,0.021,0,0.27,0,y
429,0.828,0.677,0,0.24,0.24,y
1478,0.135,0.432,0.18,0.55,0,y
2,0,0,0,0,0,y
158,0.056,0.225,0,0,0,y
224,0,0.126,0,0,0.68,y
349,0,0.19,0.28,0,0,y
44,0,0.291,0,0,0,y
247,0.432,0.432,0,0.75,0,y
234,0,0.103,0.65,0,0,y
260,0.105,0.079,0.16,0,0,y
264,0.101,0.076,0.16,0,0,y
260,0.106,0.079,0.17,0,0,y
173,0.932,0.435,0,1.47,0,y
813,0.192,0.41,0.26,0.13,0.46,y
237,0,0.394,0,0,0,y
258,0.107,0.08,0.16,0,0,y
101,0,0.117,0,0,0,y
166,0,0,0,0,0,y
452,0.046,0.371,0.28,0,0,y
158,0,0,0,0,0,y
753,0.162,0.339,1.5,0.17,0.26,y
54,0,0.224,0,0,0,y
42,0.483,1.129,0,0,0,y
363,0.027,0,0,0.18,0,y
460,0.163,0.02,0.05,0.75,0.17,y
506,0,0.215,0,0,0,y
131,0,0.301,0.44,0,0,y
228,0.035,0.315,0,0,0.49,y
75,0,0.077,0,0,0,y
63,0.117,1.179,0,0,0,y
179,1.457,0.072,0,2.53,0.42,y
113,0.128,0.064,0,0,0,y
197,0,0,0,0.49,0,y
1415,0.145,0.393,0.09,0.59,0.09,y
63,0.248,0,0,0,0,y
453,0.165,0.01,0.05,0.76,0.17,y
24,0,0,0,0,0,y
528,0.031,0.253,0.09,0.36,0.09,y
305,0.124,0.035,0,0.55,0,y
55,0.345,0.921,0,0,0,y
464,0,0.267,0.47,0,0,y
306,0.118,0.033,0,0.54,0,y
542,0.031,0.252,0.09,0.36,0.09,y
542,0.031,0.252,0.09,0.36,0.09,y
53,0,0.347,0,0,0,y
141,0.173,0.288,0,0.65,0.32,y
632,0.317,0.766,1.38,0,1.18,y
507,0,0.61,0.31,0,0,y
888,0.229,0.613,1.17,0,1.01,y
532,0.056,0.056,0,0,0,y
92,0,0.134,0,0,0.72,y
530,0.031,0.237,0.09,0.36,0.09,y
298,0.188,0.235,0.27,0.82,0,y
172,0,0,0,0,0,y
96,0.238,0.238,0.68,0.68,0,y
646,0,0.189,0,0,0,y
974,0.071,0.119,0.22,0,0.07,y
1412,0.118,0.408,0.08,0.85,0.08,y
80,0,0.61,0,0,0,y
555,0,0.158,0,0,0,y
152,0,0.124,2.45,0,0,y
1331,0.105,0.898,0,0,0.34,y
61,0.665,0.221,0,0,0,y
281,1.212,0.071,0,0.51,0,y
735,0.173,1.739,0,0,0.48,y
1330,0.105,0.898,0,0,0.34,y
530,0.031,0.237,0.09,0.36,0.09,y
1412,0.118,0.408,0.08,0.85,0.08,y
131,0,0,2.32,0,0,y
80,0,0.636,0,0,0,y
253,0.184,0,0,0.78,0,y
2370,2.33,0.458,0.57,0.39,0.43,y
675,0.056,0.131,0.81,0,0.23,y
275,0,0.16,0.67,0,0,y
742,0.168,1.687,0,0,0.47,y
742,0.168,1.683,0,0,0.46,y
535,0.032,0.257,0.09,0.36,0.09,y
125,0,0.088,0,0,0,y
356,0,0.979,0,0,0,y
125,0,0.088,0,0,0,y
1514,0.254,0.418,1.07,1.9,0.71,y
52,0.109,0.875,0,0.73,0,y
132,0,1.001,0,0,0.68,y
2213,0.519,0.445,0.61,0.37,0.5,y
268,0.278,0.123,0.84,0,0.67,y
159,0,0.396,0,0,0,y
566,0.015,0.03,0.09,0.36,0.18,y
131,0.478,0.095,0,1.59,0,y
131,0.475,0.095,0,1.58,0,y
131,0.473,0.094,0,1.53,0,y
1726,0.182,0.384,0.1,0.52,0,y
54,0.138,0.138,0,0,0,y
650,0.127,1.3,0.47,0.15,0.31,y
54,0,0.455,0,0,0,y
650,0.127,1.3,0.47,0.15,0.31,y
157,0.166,0,0.32,0,0,y
60,0.215,0,0,0,0,y
1426,0.16,0.336,0.2,0.4,0.1,y
3315,0,0.016,0,0,0,y
82,0.424,0.424,0,1.12,0,y
182,0,0.421,0,0,0.59,y
18,0,0,0,0,0,y
1342,0.106,0.287,0.19,0.52,0.06,y
106,0,0.843,0,0,1.23,y
537,1.223,2.224,0,0,0,y
529,1.237,2.249,0,0,0,y
1287,0.175,0.334,0.2,1.14,0.1,y
134,0,1.235,0,0,0,y
61,0.662,0.441,0,0,0,y
274,0,0.102,0.63,0,0,y
59,0,0.174,0,0,0,y
59,0,0.173,0,0,0,y
364,0.132,0.864,0,0,0,y
35,0,0,0,0,0,y
1458,0.155,0.326,0.19,0.39,0.09,y
339,0.064,0.016,0,0.73,0.1,y
521,0.099,0.007,0.14,0.38,0.14,y
875,0.014,0.611,0.27,0.09,0.36,y
79,0.552,0.368,0.37,0,0,y
94,0.235,0.235,0,0,0,y
425,0.175,0.878,0.37,0,0,y
425,0.175,0.878,0.37,0,0,y
24,0,4.733,0,0,0,y
145,0,0,0,0.34,0.17,y
536,0.161,0.02,0.05,0.74,0.17,y
364,0.146,0.182,0,0.2,0,y
267,0.505,1.199,0,0,0,y
564,0.148,1.599,0.67,0.22,0.45,y
368,0.124,0.088,0.19,0,0,y
264,0.187,0,0,0,0,y
15,0,7.843,0,0,0,y
5,0,0,0,0,0,y
48,0,0,0,0,0,y
748,0.249,1.663,0,0,0.46,y
744,0.168,1.687,0,0,0.47,y
162,0.612,2.143,0,0,0.9,y
972,0.071,0.131,0.22,0,0.07,y
57,0.204,0,1.28,0,0,y
571,0,0.862,0,0,0,y
744,0.168,1.683,0,0,0.47,y
744,0.168,1.68,0,0,0.47,y
144,0,0,0,0,0,y
144,0,0,0,0,0,y
1334,0.105,0.899,0,0,0.34,y
73,0.389,0,0,1.08,0,y
87,0,0.572,0,0,0,y
44,0,1.326,0,0,0,y
211,0.059,0.238,0.36,0,0,y
178,0,0,0,0,0,y
2224,0.573,0.425,0.59,0.34,0.41,y
125,0.111,0.055,0.62,0,0.31,y
409,0,0.768,0,0.56,0,y
294,0.022,0,0,0.14,0,y
291,0.291,0.582,0.27,0,0,y
54,0.21,0,1.31,0,0,y
54,0.21,0,1.31,0,0,y
33,0.35,0.701,0,0,0,y
363,0,0.819,0,0,0,y
20,0,0.263,0,0,0,y
9163,0.09,0.356,0.47,0.69,0.29,y
249,0.433,0.433,0,0.76,0,y
78,0.182,0,0,0,0,y
447,0.188,0.358,0.21,0,0.31,y
508,0,0.242,0,0,0,y
52,0,1.011,0,0,0,y
2333,0.523,0.454,0.54,0.51,0.51,y
909,0.149,0.298,0.61,0,0.2,y
80,0.341,0.17,0,0,0,y
54,0.21,0,1.31,0,0,y
70,0.171,0,0,0,0,y
249,0.524,1.154,0,0,0,y
119,0.336,0.168,0,2.35,2.35,y
139,0.169,0,0.32,0,0,y
937,0.174,0.174,0,0.51,0,y
175,0,0.478,0,0,0,y
139,0.168,0,0.32,0,0,y
139,0.168,0,0.32,0,0,y
113,0.339,0.792,0,0.78,0.78,y
603,0.133,0.601,0,0.8,0,y
115,0.341,0.682,0,0.78,0.78,y
93,0.138,0.415,0,0,0,y
150,0.074,0.149,0,0,0,y
495,0,0.395,0,0,0,y
115,0.341,0.682,0,0.78,0.78,y
113,0,0.121,0,0,0,y
2227,0.524,0.36,0.38,0.46,0.38,y
134,0.218,1.021,0,1.31,0.43,y
71,0,0.234,0,0,0,y
46,0,0.371,0,0,0,y
87,0,0.559,0,0,0,y
434,0.061,0.185,0,0,0,y
102,0,0,0,0,0,y
87,0,0.565,0,0,0,y
1312,0.079,0.089,0.05,0,0.05,y
1310,0.079,0.089,0.05,0,0.05,y
55,0,0.457,0,0,0,y
55,0,0.759,0,0,0,y
1180,0.059,1.008,0,0,0.38,y
1180,0.059,1.005,0,0,0.38,y
1178,0.059,1.008,0,0,0.38,y
339,0,0.034,0,0,0,y
277,0,0.034,0,0,0,y
71,0,0.522,0.65,0,0,y
339,0,0.034,0,0,0,y
277,0,0.034,0,0,0,y
281,0,0.144,0.6,0,0,y
139,0.166,0,0.32,0,0,y
1402,0.118,0.435,0.08,0.85,0.08,y
621,0,2.077,0,0,0,y
139,0,0,0,0,0,y
139,0,0,0,0,0,y
139,0,0,0,0,0,y
139,0,0.74,0,0,0,y
57,0,0,0,0,0,y
101,0.099,0.198,0.65,0,0,y
885,0.043,0.175,0,0,0,y
44,0.118,0.355,0,0.74,0.74,y
53,0.208,0,1.29,0,0,y
3271,0.018,0.112,0,0,0,y
132,0.118,0.355,0,0,0,y
132,0.118,0.356,0,0,0,y
119,0,0,0,0,0,y
273,0.047,0.142,0,0,0,y
119,0,0,0,0,0,y
446,0.289,0.52,1.23,0.76,1.23,y
543,0.037,1.046,0,0,0,y
242,0,0.238,0.71,0,0.95,y
543,0.037,1.046,0,0,0,y
622,0.191,1.147,0,0,0,y
43,0.13,0.391,0,0.9,0.9,y
43,0.118,0.355,0,0.74,0.74,y
1038,0.107,0.134,0.81,0.16,0,y
578,0.504,0.458,0.54,0.27,0.27,y
869,0.271,0.465,0,1.28,0,y
113,0.313,0.522,0,0.64,0.64,y
70,0.171,0,0,0,0,y
103,0.073,0.367,0,0,0,y
237,0.112,0.31,0.18,0,0,y
332,0.088,0.265,0,0,0,y
53,0.213,0,1.31,0,0,y
273,0,0.587,0,0,0,y
137,0.2,1.706,0,1.36,1.36,y
556,0,0.198,0,0,0,y
276,0,0.13,0.54,0,0,y
319,0.438,0.39,0,0.94,0,y
96,0,0.371,0,0,0,y
1351,0.158,0.491,0.1,0.6,0.1,y
189,0,0.26,0,0,0,y
271,0.201,1.105,0,0,1.24,y
65,0.062,0.312,0,0,0,y
445,0,0.199,0,0,0,y
445,0,0.199,0,0,0,y
445,0,0.199,0,0,0,y
79,0,0.236,0,0,0,y
767,0.162,1.626,0,0,0.45,y
773,0.244,1.631,0,0,0.45,y
773,0.245,1.633,0,0,0.45,y
301,0.132,0.53,0.82,0,0.82,y
757,1.313,5.848,0.09,0,0.09,y
53,0.212,0,1.31,0,0,y
53,0.212,0,1.31,0,0,y
201,0.141,0.189,0.6,0,0,y
219,0.221,1.254,0,1.41,0.47,y
736,0.467,1.203,0,0,0,y
107,0.254,1.272,4.41,0,1.47,y
109,0.254,1.272,4.41,0,1.47,y
94,0,0.18,0,0,0,y
95,0,0.178,0,0,0,y
736,0.471,1.211,0,0,0,y
757,1.311,5.84,0.09,0,0.09,y
736,0.467,1.203,0,0,0,y
427,0.05,0.376,0.3,0.15,0,y
208,0,0.087,0.3,0,0.15,y
1030,0.041,0.133,0.19,0,0.12,y
75,0,0.573,0,0,0,y
1310,0.079,0.099,0.05,0,0.05,y
95,0,0.204,0,0,0,y
325,0.896,0.482,0.44,0.44,0,y
109,0.403,0.672,0,0,0,y
1622,0.342,0.045,0.28,0.84,0.28,y
1351,0.158,0.49,0.1,0.6,0.1,y
107,0,0.823,0,0,0,y
36,0.266,0.8,0,0,1.63,y
183,0,0.196,0,0,0.69,y
272,0.269,0.539,0.52,1.57,0,y
139,0.166,0,0.32,0,0,y
139,0.166,0,0.32,0,0,y
1414,0.118,0.486,0.08,0.85,0.08,y
462,0.167,0.01,0.05,0.82,0.17,y
374,0.051,0.874,0,0.27,0.27,y
442,0.132,0.663,1.32,0,0,y
110,0,1.939,0,0,0,y
28,0.606,0.606,0,3.57,0,y
82,0,0,0,0,0.54,y
87,0,0.567,0,0,0,y
95,0.063,0.381,0.35,0.35,1.06,y
89,0,1.244,0.68,0,0.68,y
1130,0,0.301,0,0,0,y
432,0.047,0.559,0,0.09,0,y
37,0,0.804,0,0,0,y
77,0.167,0,0,0,0,y
375,0,0.503,0,0,0,y
1042,0.397,0.976,0.3,0,0.1,y
124,0.36,1.562,0,0.8,0.8,y
53,0.212,0,1.31,0,0,y
170,0.169,0.508,0,0,0,y
1313,0.079,0.099,0.05,0,0.05,y
302,0.123,0,0,0,0,y
162,0.271,0,0,0,0.29,y
447,0.169,0.01,0.06,0.84,0.18,y
2510,0.011,0.029,0,0.03,0.06,y
114,0.549,0.481,0.41,0,1.24,y
2923,0.082,0.55,0.24,0.16,0.08,y
1045,0.397,0.977,0.3,0,0.1,y
1324,0.15,0.037,0,0.9,0,y
53,0.212,0,1.31,0,0,y
261,0,0.198,0,0.4,0,y
104,0,0.121,0.38,0,0,y
16,0,0.544,0,0,0,y
703,0.092,0.472,0,0.06,0,y
160,0.17,0.17,0,0,0,y
157,0.868,2.894,0,0,0,y
65,0,0.258,0,0,1.63,y
621,0.056,1.151,0.33,0,0.16,y
740,0.979,5.213,0.19,0,0.09,y
54,0,2.597,0,0,0,y
454,0.162,0.01,0.05,0.75,0.17,y
227,0.04,0.489,0.27,0,0,y
64,0,0.511,0,0,1.61,y
386,0,0.496,0,0,0,y
387,0,0.496,0,0,0,y
144,0.162,0,0.31,0,0,y
96,0.063,0.379,0.34,0.34,1.04,y
164,0.183,0,0,0,0,y
379,0,0.488,0,0,0,y
477,0,0.21,0,0,0.14,y
629,0.196,0.13,0.22,0.22,0,y
428,0.048,0.388,0.29,0.14,0,y
795,0.167,0.167,0.07,0,0.07,y
144,0.163,0,0.31,0,0,y
144,0.163,0,0.31,0,0,y
467,0.167,0.01,0.05,0.81,0.17,y
186,0.232,1.085,0,1.45,0.48,y
114,0.549,0.48,0.41,0,1.24,y
535,0.294,0.261,0.34,0.34,0.34,y
323,0,0.233,0,0,0,y
12,0,0,0,0,0,y
1140,0.014,0.092,0.08,0.34,0.17,y
1140,0.014,0.092,0.08,0.34,0.17,y
89,0.174,0.638,1.04,0,0,y
274,0,0.14,0.58,0,0,y
440,0,0.072,0,0,0,y
192,0.066,0.133,0.4,0,0,y
233,1.492,0.213,0,0,0,y
1734,0.156,0.588,0.44,0.44,0.22,y
75,0,0.292,0,0,0,y
72,0.233,0.467,0,0,0.74,y
826,0,0.13,0.42,0,0,y
253,0.189,0.882,0,0.37,0,y
62,0.514,1.799,0,0,0,y
139,0.113,0.963,0,0,0,y
181,0.261,1.218,0,1.62,0.54,y
53,0.943,0.628,0,5.45,0,y
328,0.957,0.515,0.48,0.48,0,y
59,0,0.278,0,0,0,y
11,0,0.833,0,0,0,y
1261,0,0,0.18,0,0,y
196,0.143,0.191,0.6,0,0,y
44,0,1.326,0,0,0,y
1955,0.136,0.379,0.71,0.27,0.37,y
199,0.142,0.19,0.6,0,0,y
207,0.239,0.239,1.16,0,0.58,y
313,0,0.37,0,0,0,y
185,0.211,0,0.3,0,0,y
186,0.21,0,0.3,0,0,y
161,0,0.103,0.59,0,1.19,y
4128,0.523,0.325,0.46,0.94,0.5,y
207,0.239,0.239,1.16,0,0.58,y
184,0.211,0,0.3,0,0,y
184,0.211,0,0.3,0,0,y
392,0.402,0.402,0.23,0.71,0.47,y
204,0,0,0,0.59,0,y
9,0,4.347,0,0,0,y
264,0.184,0.036,0.24,0.48,0,y
264,0.184,0.036,0.24,0.48,0,y
526,0.263,0.263,0.34,0.34,0.34,y
179,0,0.802,0.43,0,0.43,y
179,0,0.874,0.43,0,0.43,y
274,0,0.14,0.58,0,0,y
50,0,0.543,0,0,0,y
75,0.118,0.653,0.36,0,0,y
543,0.312,0.364,0,0.77,0,y
574,0.014,0.099,0.08,0.34,0.17,y
566,0,0.327,0.52,0,0.52,y
3213,0.793,0.346,0.33,1.01,0.46,y
447,0.305,0.249,0.18,0,0.18,y
574,0.014,0.099,0.08,0.34,0.17,y
67,0.475,1.9,0,0,0,y
496,0.053,0.053,0,0,0,y
998,0.197,1.248,0,0.37,0.37,y
54,0,0.107,0,0,0,y
56,0,0.411,0,0,0,y
725,1.33,5.924,0.09,0,0.09,y
99,0,0.123,0.38,0,0,y
30,0.597,0.298,0,3.17,0,y
330,0,0.424,0,0,0,y
99,0,0.123,0.38,0,0,y
766,0.073,0.25,0,0.19,0.06,y
208,0.122,0.061,0.37,0,0.74,y
118,0.211,0.705,0,0,0,y
344,5.3,0.904,0.82,0.41,1.24,y
1645,0.111,0.431,0.04,0.29,0,y
344,5.3,0.904,0.82,0.41,1.24,y
85,0,0,1.42,0,0,y
314,0,0.555,0,0,0,y
50,0.087,0.174,0,0.48,1.44,y
3160,0.858,0.328,0.34,0.99,0.47,y
170,0,1.562,0,0,0,y
189,0.259,1.208,0,1.59,0.53,y
114,0.549,0.48,0.41,0,1.24,y
200,0.345,1.208,0,0,0,y
200,0.345,1.207,0,0,0,y
1000,0.196,1.246,0,0.37,0.37,y
711,0.141,1.275,0.51,0.17,0.34,y
477,0.061,0.371,0.12,0,0,y
83,0,0.08,0,0,0,y
3059,0.78,0.329,0.34,1.02,0.47,y
122,0,0.138,0,0,0,y
40,0,1.939,0,0,0,y
40,0,1.947,0,0,0,y
40,0,1.949,0,0,0,y
477,0.189,0.586,0,0.39,0.19,y
91,0.062,0.503,0.34,0.34,1.03,y
435,0.182,0.136,0,0,0.27,y
84,0.692,0,0,0,0,y
475,0.061,0.371,0.12,0,0,y
301,0,0.331,0,0,0,y
485,0.155,1.634,0.74,0.24,0.49,y
259,0.103,0.619,0.6,0,0,y
224,0.217,0.795,0.46,0,0,y
132,0,2.362,0,0,0.67,y
288,0.147,0.294,0,0,0,y
190,0.312,0.625,0.49,0,0,y
81,0,0,0,0,0,y
114,0,1.473,0,0,0,y
194,0.349,1.135,0,0,0,y
795,0.168,0.13,0.23,0,0.23,y
70,0,0.441,0,0,0,y
249,0.248,0.496,0,0.47,0,y
70,0,0.441,0,0,0,y
255,0.184,0.036,0.24,0.48,0,y
234,0,0,0,0,0,y
132,0,2.413,0,0,0.67,y
359,0,0,0,0,0,y
359,0,0,0,0,0,y
3016,0.734,0.311,0.31,0.97,0.43,y
40,0,0.909,0,0,0,y
1351,0.158,0.49,0.1,0.6,0.1,y
286,0.147,0.294,0,0,0,y
194,0.347,1.217,0,0,0,y
20,0,0,0,0,0,y
73,0,0.434,0,0,0,y
25,0,0.462,0,0,0,y
3029,0.784,0.344,0.34,1.11,0.47,y
143,0,0.706,0,0,0,y
450,1.357,0.327,0.23,0,0,y
441,0.349,0,0,1.28,0,y
92,0,0.416,0,0,0,y
361,0,1.434,0.29,0,0,y
247,0.251,0.502,0,0.48,0,y
238,0.252,0.421,0,0.48,0,y
234,0.254,0.677,0,0.49,0,y
78,0,0.105,0,0,0.72,y
3033,0.754,0.318,0.31,1,0.45,y
59,0,0.924,0,0,1.17,y
135,0,0.093,0.64,0,0,y
135,0,0.093,0.64,0,0,y
135,0,0.093,0.64,0,0,y
418,0.044,0,0,0,0,y
426,0.345,0.345,0.2,0.62,0.41,y
79,0,0,0,0,0,y
3043,0.79,0.331,0.34,1.1,0.47,y
78,0,0.464,0,0,0,y
186,0.501,0.055,0.63,0.31,0,y
195,0.347,1.13,0,0,0,y
78,0,0.464,0,0,0,y
107,0,0.443,0,0,0,y
414,0,0,0,0,0.17,y
222,0.336,0.112,0,0,0,y
62,0,0,0,0,0,y
195,0,0.693,0.12,0,0,y
877,0.233,0.405,0.29,0.09,0.19,y
161,0.188,0.754,0,0,0,y
305,0.061,0.427,1.09,0.36,0.73,y
425,0,0,0,0,0,y
329,0.045,0.06,0.09,0,0,y
197,0.3,0.6,0,0.84,0,y
197,0.3,0.6,0,0.84,0,y
207,0.116,0.116,0,0,0,y
174,0.613,0,0,0,0,y
171,0,0.298,0,0,0,y
171,0,0.077,0,0,0,y
142,0,0,0,0,0,y
202,0.34,1.191,0,0,0,y
249,0.121,0.729,0.72,0,0,y
249,0.129,0.776,0.84,0,0,y
249,0.121,0.729,0.72,0,0,y
505,0.8,0.64,0,2.04,0,y
1107,0.186,0.13,0.34,0.17,0.34,y
103,0,1.417,0.71,0,0.71,y
51,0.103,0.515,0,0,0.65,y
84,0,0.23,0,0,0,y
166,0,0.492,0,0,0,y
25,0,0.233,0,0,0,y
135,0.064,0.645,0,0,0,y
140,0.37,0.444,0,2.2,0.44,y
281,0.116,0.701,0.69,0,0,y
140,0.37,0.444,0,2.2,0.44,y
140,0.37,0.444,0,2.2,0.44,y
142,0.37,0.444,0,2.2,0.44,y
83,0.088,0.443,0,0,0,y
1351,0.158,0.49,0.1,0.6,0.1,y
146,0,1.424,0,0,0,y
1351,0.158,0.49,0.1,0.6,0.1,y
617,0.721,0.25,0.17,0,0.17,y
138,0,0.875,0,0,0,y
98,0.729,1.276,0,0.52,0,y
458,0.163,0.02,0.05,0.75,0.17,y
336,0.716,0.342,0.17,0,0.17,y
42,0,0.415,0,0,0,y
1214,0.175,0.307,0.2,0.1,0.1,y
142,0.105,0.157,0,0.34,0,y
475,0.061,0.371,0.12,0,0,y
475,0.061,0.37,0.12,0,0,y
1689,0.207,0.569,0.68,0.58,0.29,y
1516,0.199,0.548,0.72,0.62,0.31,y
212,0,0,0,0,0,y
106,0,0,0,0,0,y
458,0.163,0.02,0.05,0.75,0.17,y
188,0.105,0.263,0,0,0,y
1514,0.199,0.548,0.72,0.62,0.31,y
993,0.548,0.174,0.39,0.19,0,y
114,0,0,0,0,0,y
724,1.334,5.942,0.1,0,0.1,y
112,0.256,0.64,0.39,1.19,0.39,y
115,0,0.392,0,0,0,y
405,0,0.463,0,0,0,y
188,0,0.471,0,0,0,y
106,0,1.492,0,0,0,y
263,0.231,0,0,0,0.44,y
201,0.08,0.484,0,0.55,0,y
229,0,0.21,0,0,0,y
123,0,0.159,0,0,0,y
42,0,0,0,0,0,y
32,0.48,0.48,0,0,0,y
81,0,0.27,0,0,0,y
81,0,0.269,0,0,0,y
504,0.233,0.155,0.83,0.47,0.59,y
1375,0.243,0.271,0.17,0.95,0.17,y
1042,0.391,0.994,0.3,0,0.1,y
215,0,0.647,0,0,0.22,y
1200,0.174,0.334,0.2,0.1,0.1,y
281,0.195,0.845,0,0,0.49,y
135,0,0.233,0,0,0,y
152,0.11,0.331,0,0.62,0,y
62,0,0.564,0.9,0,0.9,y
145,0,0.044,0,0,0,y
464,0,0.269,0.47,0,0,y
3313,0.15,0.268,0.57,1.14,0.54,y
3327,0.15,0.273,0.57,1.14,0.54,y
341,0.093,2.001,0,0,0.27,y
85,0.354,0,0,0,0,y
3220,0.065,0.013,0.17,0.1,0.1,y
667,0.191,0.271,0.41,0.16,0.49,y
164,0.128,0.085,0.54,0,0,y
632,0.316,0.765,1.38,0,1.18,y
45,0,0.203,0,0,0,y
819,0.221,0.069,0.18,0.33,0.33,y
81,0.198,0.198,0,0,0,y
222,0.094,0,0.78,0,0,y
328,0,0.222,0.34,0,0,y
45,0,0,0,0,0,y
557,0,0.594,0,0,0,y
339,0.094,1.282,0,0,0.28,y
343,0.051,0.103,0,0,0.3,y
78,0,0,1.88,0,0,y
25,0,0.537,6.66,0,0,y
78,0,0,1.88,0,0,y
25,0,0.537,6.66,0,0,y
78,0,0,1.88,0,0,y
25,0,0.537,6.66,0,0,y
381,0.066,0.016,0,0.74,0,y
74,0.347,0.486,0,1.92,0,y
157,0.242,1.089,0,1.36,0,y
217,0.149,0.373,0,0,0,y
903,0.099,0,0.17,0,0,y
69,0,0.684,0,0,0,y
328,0,0.14,0,0,0,y
75,0,3.427,0,0,0,y
535,0.032,0.257,0.09,0.36,0.09,y
478,0.229,0.104,0.98,0.49,0.73,y
478,0.229,0.104,0.98,0.49,0.73,y
81,0.352,0.176,0,0,0,y
667,0.021,0.414,1.46,0,0.66,y
566,0.014,0.029,0.09,0.36,0.18,y
272,0,0.261,0.38,0,0,y
215,0.088,0,0,0,0,y
131,0.478,0.095,0,1.59,0,y
1509,0.197,0.434,0.11,0.59,0,y
140,0.24,0.24,0,1.42,0,y
1655,0.066,0.232,0,0,0,y
1426,0.16,0.336,0.2,0.4,0.1,y
2424,0.496,0.381,0.46,0.5,0.39,y
318,0.107,1.178,0,0,0.32,y
1426,0.16,0.336,0.2,0.4,0.1,y
1407,0.117,0.403,0.08,0.85,0.08,y
753,1.31,5.836,0.09,0,0.09,y
17,0,0,0,0,0,y
1439,0.16,0.352,0.2,0.4,0.1,y
121,0,0.926,0,0,0,y
104,0,0.238,0,0,0,y
2049,0.157,0.502,0.08,0.42,0,y
2045,0.157,0.518,0.08,0.42,0,y
41,0.176,0.176,0,2.1,0,y
122,1.023,1.023,0,0,0,y
1458,0.155,0.31,0.19,0.39,0.09,y
79,0.416,0.208,0,1.11,0,y
125,0.086,0.086,0,0.55,0,y
488,0.045,0.045,0,0,0,y
595,0.231,0.925,0.49,0,0.65,y
205,0.08,0.728,0,0,0,y
38,0.086,0.26,0,0,0,y
87,0,3.79,0,1.85,0,y
235,0.057,0.057,0,0,0,y
553,0.221,0.177,0.42,0,0,y
210,0.097,0,0,0.6,0,y
292,0.165,0.563,0,0,0,y
42,0,0.164,0,0,0,y
115,0,0.178,0,0.72,0,y
65,0,0.561,0,0,0,y
2501,0.515,0.345,0.52,0.32,0.42,y
167,0,0.053,0,0,0,y
3752,1.611,0,0,0,0,y
11,0,0.872,0,0,0,y
15,0,7.333,0,0,0,y
326,0.05,0.083,0.14,0,0.29,y
479,0.224,0.102,0.96,0.72,0.6,y
226,0.067,0.941,0,0,0.43,y
135,0,0.21,0,0,0,y
234,0.046,0.42,0,0,0.29,y
254,0.042,0.042,0,0,0.12,y
113,0,0.109,0,0,0,y
155,0.218,2.295,0,0,0.62,y
241,0.402,0.443,0,0.52,0,y
40,0,0,0,0,0,y
44,0,2.695,0,0,0,y
1078,0,0.378,0,0,0,y
44,3.26,0,0,0,0,y
225,0.041,0.082,0,0,0.25,y
270,0.997,0.407,0.25,1.25,0.25,y
99,0,0.061,0.7,0,0,y
174,0,0.179,0,0,0,y
249,0.434,0.514,0,0.77,0,y
60,0,0.99,0,0,0,y
78,0.188,0,0,0,0,y
3210,0.868,0.391,0.51,1.03,0.49,y
34,0,0.769,0,0,0,y
13,0,1.647,0,0,0,y
80,0.342,0.171,0,0,0,y
148,0,0.152,0.19,0,0,y
159,0,0.156,0,0,0,y
3318,0.03,0.046,0,0.17,0,y
1351,0.157,0.488,0.1,0.6,0.1,y
288,0.885,0.797,0,0,0,y
133,0,0.936,0,0,0,y
136,0.301,2.865,0,0,0.84,y
248,0.499,0.458,0,0.76,0,y
82,0.353,0,0,0,0,y
1407,0.117,0.403,0.08,0.85,0.08,y
69,0,0.273,0,0,0,y
102,0.085,0.171,0.58,0,0,y
3084,1.05,0.678,0.77,0.56,0.74,y
319,0.106,1.174,0,0,0.32,y
753,1.31,5.836,0.09,0,0.09,y
113,0,0,0,0,0,y
118,0,0.824,0,0,0,y
50,0.154,0.464,0,0,0,y
81,0.197,0,1.14,0,0,y
79,0.34,0.51,0,0,0,y
166,0.272,0,0.4,1.62,0,y
74,0.315,0.105,0.6,0,0.6,y
578,0.161,0.161,0,0,0.25,y
1070,0.241,0.439,0.76,0.44,0.76,y
513,0.799,0.621,0,4.76,0,y
119,0.194,0.129,0.42,0,0,y
73,0.322,0.107,0.62,0,0.62,y
1161,0.06,0.06,0,0,0.33,y
116,0,0.834,0,0,0,y
380,0.206,0,0.07,1,0.14,y
479,0.205,0.102,0.96,0.72,0.6,y
851,0.406,0.53,0,0,0.2,y
30,0,1.048,0,0,0,y
2218,0.486,0.324,0.46,0.46,0.35,y
1029,0.206,0.275,0.3,0.9,0.3,y
108,0.279,0.559,0,0,0,y
872,0.232,0.402,0.29,0.09,0.19,y
138,0,0.899,0.71,0,0,y
896,0.225,1.051,0.3,0.76,0.15,y
150,0,0.05,0,0,0,y
771,0,0.591,0,0,0.09,y
