ParentCoFinal,EMPTY,HDPE,LDPE,O,PET,PP,PS,PVC,pp,ps,Grand Total,number of events,number of volunteers
Cong Ty Trach Nhiem Huu Han Thanh Long,0,0,0,1,0,0,0,0,0,0,1,4,400
Coop,0,0,0,1,0,0,0,0,0,0,1,4,400
Sannadle Company,0,0,0,0,1,0,0,0,0,0,1,4,400
Skin Food,0,0,0,0,0,1,0,0,0,0,1,4,400
Cong Ty Ld Orana Viet Nam,0,0,0,0,1,0,0,0,0,0,1,4,400
Suhan,0,0,0,0,1,0,0,0,0,0,1,4,400
Tap Doan Kirin,0,0,0,1,0,0,0,0,0,0,1,4,400
Cong Ty Nha May Biscafun,0,0,0,1,0,0,0,0,0,0,1,4,400
Cong Ty Nuoc Cham Mekong,0,0,0,0,1,0,0,0,0,0,1,4,400
Tan Ninh Binh,0,0,0,1,0,0,0,0,0,0,1,4,400
Cong Ty Saigon Ve Wong,0,0,0,0,1,0,0,0,0,0,1,4,400
Cong Ty Sca Tissue Hong Kong,0,0,0,0,1,0,0,0,0,0,1,4,400
Thien Duc,0,0,0,1,0,0,0,0,0,0,1,4,400
Cong Ty Thien Ha Kameda,0,0,0,0,0,1,0,0,0,0,1,4,400
Srinanaporn Marketing,0,0,0,0,1,0,0,0,0,0,1,4,400
Snicker,0,0,0,1,0,0,0,0,0,0,1,4,400
Cong Ty Thuc Pham Tuyen Ky,0,0,1,0,0,0,0,0,0,0,1,4,400
Sp Cua Scotlanch,0,0,0,1,0,0,0,0,0,0,1,4,400
Cong Ty Tnhh Adc,0,0,0,1,0,0,0,0,0,0,1,4,400
Cong Ty Tnhh Dooc Pham Hisamitsu Viet Nam,0,0,0,1,0,0,0,0,0,0,1,4,400
Sp Cua Anh,0,0,0,1,0,0,0,0,0,0,1,4,400
Sorento,0,0,0,0,0,0,1,0,0,0,1,4,400
Cong Ty Tnhh Lala,0,0,0,1,0,0,0,0,0,0,1,4,400
Song Duong Tissue Company,0,0,0,0,1,0,0,0,0,0,1,4,400
Cong Ty Thien An Nam,0,0,0,0,1,0,0,0,0,0,1,4,400
Thien Tien Phat,0,0,0,1,0,0,0,0,0,0,1,4,400
Cocoland,0,0,0,0,0,1,0,0,0,0,1,4,400
Vina - Bat,0,0,0,1,0,0,0,0,0,0,1,4,400
Vingroup,0,0,0,0,1,0,0,0,0,0,1,4,400
Vinconmerce,0,0,0,1,0,0,0,0,0,0,1,4,400
Arcor,0,0,0,1,0,0,0,0,0,0,1,4,400
Asean Dong Tien,0,0,0,1,0,0,0,0,0,0,1,4,400
Vinamit Jsc,0,0,0,1,0,0,0,0,0,0,1,4,400
Atasart,0,0,0,0,0,0,1,0,0,0,1,4,400
Bach Htt Ha Noi,0,0,0,1,0,0,0,0,0,0,1,4,400
Vinaa,0,0,0,1,0,0,0,0,0,0,1,4,400
Badaco,0,0,0,1,0,0,0,0,0,0,1,4,400
Bao An Toan,0,0,0,1,0,0,0,0,0,0,1,4,400
Cocoaland Industry,0,0,0,1,0,0,0,0,0,0,1,4,400
Bao Hong,0,0,0,1,0,0,0,0,0,0,1,4,400
Bao Huy,0,0,0,1,0,0,0,0,0,0,1,4,400
Bao Minh,0,0,0,1,0,0,0,0,0,0,1,4,400
Vietnam Food,0,0,0,1,0,0,0,0,0,0,1,4,400
Bao Ngoc,0,0,0,0,1,0,0,0,0,0,1,4,400
Viet Tien,0,0,0,1,0,0,0,0,0,0,1,4,400
Viet Nam,0,0,0,1,0,0,0,0,0,0,1,4,400
Bath & Body Works,0,0,1,0,0,0,0,0,0,0,1,4,400
Bauer,0,0,0,1,0,0,0,0,0,0,1,4,400
Vinh Hao,0,0,0,1,0,0,0,0,0,0,1,4,400
Anko Viet Nam,0,0,0,1,0,0,0,0,0,0,1,4,400
Vinh Thuan Phat,0,0,0,1,0,0,0,0,0,0,1,4,400
Vinika,0,0,0,1,0,0,0,0,0,0,1,4,400
A Dong,0,0,0,0,1,0,0,0,0,0,1,4,400
Zost,0,0,0,1,0,0,0,0,0,0,1,4,400
Yves Rocher,0,0,0,0,0,1,0,0,0,0,1,4,400
ABC Bakery,0,0,0,0,1,0,0,0,0,0,1,4,400
Adg,0,0,0,1,0,0,0,0,0,0,1,4,400
Agifish,0,0,1,0,0,0,0,0,0,0,1,4,400
Ajinomoto Group,0,0,0,1,0,0,0,0,0,0,1,4,400
Alfred Ritter Gmbh & Co. Kg. Company,0,0,0,1,0,0,0,0,0,0,1,4,400
Almorato,0,0,0,0,0,0,1,0,0,0,1,4,400
An Co,0,0,0,1,0,0,0,0,0,0,1,4,400
An Khanh,0,0,0,1,0,0,0,0,0,0,1,4,400
Weihua Pharmerceatial,0,0,0,0,1,0,0,0,0,0,1,4,400
Weathy Health,0,0,0,1,0,0,0,0,0,0,1,4,400
An Phu,0,0,0,1,0,0,0,0,0,0,1,4,400
Voong Minh,0,0,0,1,0,0,0,0,0,0,1,4,400
Vnb Viet Nam,0,0,0,1,0,0,0,0,0,0,1,4,400
Vissan,0,0,0,0,1,0,0,0,0,0,1,4,400
Anko,0,0,0,1,0,0,0,0,0,0,1,4,400
Vinpro,0,0,0,1,0,0,0,0,0,0,1,4,400
Vfm,0,0,0,0,1,0,0,0,0,0,1,4,400
Verong,0,0,0,0,1,0,0,0,0,0,1,4,400
Baxco Pharmecertical,0,1,0,0,0,0,0,0,0,0,1,4,400
Co Phan Rice,0,0,0,1,0,0,0,0,0,0,1,4,400
Tong Cong Ty Thuoc La Vn,0,0,0,1,0,0,0,0,0,0,1,4,400
Toan Gia Phu,0,0,0,0,1,0,0,0,0,0,1,4,400
To Hop Tac Nep Bau Tam My,0,0,0,0,1,0,0,0,0,0,1,4,400
Tni Company,0,0,0,1,0,0,0,0,0,0,1,4,400
Tnhh Thoong Mai Dooc Pham Va Bao Bi Y Te Quang Minh Mediphar,0,0,0,1,0,0,0,0,0,0,1,4,400
Tiji Company,0,0,0,0,0,1,0,0,0,0,1,4,400
Tien Bao,0,0,0,1,0,0,0,0,0,0,1,4,400
Thùy Linh,0,0,0,1,0,0,0,0,0,0,1,4,400
Thuy Vy,0,0,0,1,0,0,0,0,0,0,1,4,400
Co So Hien Ky - Hue,0,0,0,1,0,0,0,0,0,0,1,4,400
Thuc Pham Vn,0,0,0,1,0,0,0,0,0,0,1,4,400
Thuc Pham Sach Thai Binh,0,0,0,1,0,0,0,0,0,0,1,4,400
Thuc Pham A Chau,0,0,0,1,0,0,0,0,0,0,1,4,400
Thuan Phong Company,0,0,0,1,0,0,0,0,0,0,1,4,400
Co So Sx Bot Ca Phe Son Long(Py),0,0,0,1,0,0,0,0,0,0,1,4,400
Thoong Mai Xanh,0,0,0,1,0,0,0,0,0,0,1,4,400
Coop Select,0,0,0,1,0,0,0,0,0,0,1,4,400
Thien Long Group,0,1,0,0,0,0,0,0,0,0,1,4,400
Co So Sx Hat Doa Tu Hung,0,0,0,0,1,0,0,0,0,0,1,4,400
Tong Cty Thuoc La Vn,0,0,0,1,0,0,0,0,0,0,1,4,400
Claminat,0,0,0,0,0,0,1,0,0,0,1,4,400
Van Nien Giao Thuy,0,0,0,1,0,0,0,0,0,0,1,4,400
Trang An 2,0,0,0,1,0,0,0,0,0,0,1,4,400
Bich Co Company,0,0,0,1,0,0,0,0,0,0,1,4,400
Vafaco,0,0,1,0,0,0,0,0,0,0,1,4,400
V+T,0,0,0,0,1,0,0,0,0,0,1,4,400
Bioapgold,0,1,0,0,0,0,0,0,0,0,1,4,400
Urgo Heakthcare Product,0,0,0,1,0,0,0,0,0,0,1,4,400
Urec Viet Nam,0,0,0,1,0,0,0,0,0,0,1,4,400
Bitas,0,0,1,0,0,0,0,0,0,0,1,4,400
Blokit,0,0,0,1,0,0,0,0,0,0,1,4,400
Bonpas Bakery,0,0,0,1,0,0,0,0,0,0,1,4,400
Bristol,0,0,0,1,0,0,0,0,0,0,1,4,400
Chau A,0,0,0,1,0,0,0,0,0,0,1,4,400
U.S,0,0,0,1,0,0,0,0,0,0,1,4,400
Tue Loong,0,0,0,1,0,0,0,0,0,0,1,4,400
Tudung Group,0,0,0,1,0,0,0,0,0,0,1,4,400
Trung Dong,0,0,0,1,0,0,0,0,0,0,1,4,400
Troong Vinh,0,0,0,1,0,0,0,0,0,0,1,4,400
Chinsu Food,0,0,0,0,1,0,0,0,0,0,1,4,400
Trang Trai Chan Nuoi Cu Chi,0,0,0,1,0,0,0,0,0,0,1,4,400
Cj Food,0,0,0,1,0,0,0,0,0,0,1,4,400
Republic Biscuit Corporation,0,0,0,1,0,0,0,0,0,0,1,4,400
Kimbery - Crark,0,0,0,0,0,1,0,0,0,0,1,4,400
Coopmart,0,0,0,1,0,0,0,0,0,0,1,4,400
Kim Tien,0,0,0,1,0,0,0,0,0,0,1,4,400
Enterogermina,0,0,0,0,1,0,0,0,0,0,1,4,400
Euro Hitto,0,0,0,1,0,0,0,0,0,0,1,4,400
Ld Studa-Vietnam,0,0,0,1,0,0,0,0,0,0,1,4,400
Lb,0,0,0,1,0,0,0,0,0,0,1,4,400
Lavie,0,0,0,1,0,0,0,0,0,0,1,4,400
Lan Tam Huy,0,0,0,1,0,0,0,0,0,0,1,4,400
Flc,0,0,0,1,0,0,0,0,0,0,1,4,400
Lan Dung,0,0,0,0,1,0,0,0,0,0,1,4,400
Lai Sua,0,0,0,0,1,0,0,0,0,0,1,4,400
Lactor,0,0,0,1,0,0,0,0,0,0,1,4,400
Food Viet Nam,0,0,0,1,0,0,0,0,0,0,1,4,400
Ktsg,0,0,0,1,0,0,0,0,0,0,1,4,400
Kri Kri,0,0,1,0,0,0,0,0,0,0,1,4,400
Garimi,0,0,0,1,0,0,0,0,0,0,1,4,400
General Candy Co,0,0,0,1,0,0,0,0,0,0,1,4,400
Koma Food Product,0,0,0,0,1,0,0,0,0,0,1,4,400
Kirin Viet Nam,0,0,0,1,0,0,0,0,0,0,1,4,400
Gia Huyen,0,0,0,0,1,0,0,0,0,0,1,4,400
Kimberly-Clark Viet Nam,0,0,0,1,0,0,0,0,0,0,1,4,400
Lifes-Foods,0,0,0,1,0,0,0,0,0,0,1,4,400
Likado Vn,0,0,0,0,1,0,0,0,0,0,1,4,400
Duoc Vtyt Hai Duong,0,0,0,1,0,0,0,0,0,0,1,4,400
Mai Tu Hoanh,0,0,0,0,1,0,0,0,0,0,1,4,400
Doong Quang Ngai,0,0,0,1,0,0,0,0,0,0,1,4,400
Rang Dong,0,0,0,1,0,0,0,0,0,0,1,4,400
Me Linh,0,0,0,1,0,0,0,0,0,0,1,4,400
Dpt Cosmetic,0,0,0,1,0,0,0,0,0,0,1,4,400
Masan Consumer,0,0,0,1,0,0,0,0,0,0,1,4,400
Duoc 1 Gsp France,0,0,0,1,0,0,0,0,0,0,1,4,400
"Mars, Incorporated",0,0,0,1,0,0,0,0,0,0,1,4,400
Duoc Hai Phong Company,0,0,0,0,0,0,1,0,0,0,1,4,400
Made In Thailand,0,0,0,1,0,0,0,0,0,0,1,4,400
Lix,0,0,0,1,0,0,0,0,0,0,1,4,400
Duoc Hau Giang,0,0,0,1,0,0,0,0,0,0,1,4,400
Made In Germany,0,0,0,1,0,0,0,0,0,0,1,4,400
Made In China,0,0,0,1,0,0,0,0,0,0,1,4,400
Duoc Pham Khanh Hoa,0,0,0,1,0,0,0,0,0,0,1,4,400
Duoc Pham Sanofi-Synthelabo,0,0,0,1,0,0,0,0,0,0,1,4,400
Loi Hao Gia Co.Ltd,0,0,0,0,1,0,0,0,0,0,1,4,400
Lock & Lock,0,0,1,0,0,0,0,0,0,0,1,4,400
Duoc Pham Trung Uong Vidipha,0,0,0,1,0,0,0,0,0,0,1,4,400
Kimberly Clark,0,0,0,1,0,0,0,0,0,0,1,4,400
Kiko,0,0,0,1,0,0,0,0,0,0,1,4,400
Mekophar - Gmp,0,0,0,1,0,0,0,0,0,0,1,4,400
Gia Phu Faurax,0,0,0,1,0,0,0,0,0,0,1,4,400
International Herbal Company,0,0,0,1,0,0,0,0,0,0,1,4,400
Han Wha Phama Company,0,0,0,1,0,0,0,0,0,0,1,4,400
International Brand,0,0,0,0,1,0,0,0,0,0,1,4,400
Hang Nhap Khau,0,0,0,1,0,0,0,0,0,0,1,4,400
Hanida,0,0,0,1,0,0,0,0,0,0,1,4,400
Hatherine,0,0,0,1,0,0,0,0,0,0,1,4,400
Healthy Choice Vn Company,0,0,1,0,0,0,0,0,0,0,1,4,400
Highlands Coffee,0,0,0,0,0,1,0,0,0,0,1,4,400
Hisamitsu,0,0,0,1,0,0,0,0,0,0,1,4,400
Huong Giang,0,0,0,0,1,0,0,0,0,0,1,4,400
Hmac,0,0,0,1,0,0,0,0,0,0,1,4,400
Hue,0,0,0,0,1,0,0,0,0,0,1,4,400
Htx Thoong Mai Tp.Hcm,0,0,0,1,0,0,0,0,0,0,1,4,400
Hn,0,0,0,1,0,0,0,0,0,0,1,4,400
Hoong Vung Hoong,0,0,0,1,0,0,0,0,0,0,1,4,400
Hoa Sinh Ha Noi Company,0,0,0,1,0,0,0,0,0,0,1,4,400
Hong Thanh Phat,0,0,0,1,0,0,0,0,0,0,1,4,400
Hong Tham,0,0,0,1,0,0,0,0,0,0,1,4,400
Hong Phat Loc,0,0,0,1,0,0,0,0,0,0,1,4,400
"Italy Lishen (Hk) Leathes &Co, Limited",0,0,0,0,1,0,0,0,0,0,1,4,400
J & T Express,0,0,0,0,1,0,0,0,0,0,1,4,400
Jakand Jin,0,0,0,1,0,0,0,0,0,0,1,4,400
Godbawe Foood,0,0,0,0,1,0,0,0,0,0,1,4,400
Gia Thinh,0,0,0,0,1,0,0,0,0,0,1,4,400
Ginger Best,0,0,0,1,0,0,0,0,0,0,1,4,400
Khong Ghi,0,0,0,1,0,0,0,0,0,0,1,4,400
Khatoco Khah Hoa,0,0,0,1,0,0,0,0,0,0,1,4,400
Gingerbon Vn,0,0,0,1,0,0,0,0,0,0,1,4,400
Khaphaco,0,0,0,1,0,0,0,0,0,0,1,4,400
Khanh Quang,0,0,0,1,0,0,0,0,0,0,1,4,400
Glaxo Smith Kline Group,0,0,0,1,0,0,0,0,0,0,1,4,400
Groupe Bel Cua Phap,0,0,0,1,0,0,0,0,0,0,1,4,400
Jas Hennessy& Co Hay Hennessy,0,0,0,1,0,0,0,0,0,0,1,4,400
Ha Long,0,0,0,1,0,0,0,0,0,0,1,4,400
Hadiphar Company,0,0,0,0,0,0,1,0,0,0,1,4,400
KFC,0,0,1,0,0,0,0,0,0,0,1,4,400
Julie'S,0,0,0,1,0,0,0,0,0,0,1,4,400
Jp - Corelex,0,0,0,0,1,0,0,0,0,0,1,4,400
Hai,0,0,0,1,0,0,0,0,0,0,1,4,400
Jl Products Co Ltd,0,0,0,0,1,0,0,0,0,0,1,4,400
Jl Product Co.Ltd,0,0,0,0,1,0,0,0,0,0,1,4,400
Mekapar,0,1,0,0,0,0,0,0,0,0,1,4,400
Doublemint Doublemint Vn,0,0,0,1,0,0,0,0,0,0,1,4,400
Dooc Trung Oong 3,0,0,0,1,0,0,0,0,0,0,1,4,400
Cty Tnhh Saigon Ve Woug,0,0,0,0,1,0,0,0,0,0,1,4,400
Cty Tnhh Ca Phe Le Phan,0,0,0,1,0,0,0,0,0,0,1,4,400
Pema Vollkorn,0,0,0,0,1,0,0,0,0,0,1,4,400
Pei Tien Food,0,0,0,0,1,0,0,0,0,0,1,4,400
Pecsy,0,0,0,1,0,0,0,0,0,0,1,4,400
Pdaiy Pharma,0,0,0,0,0,0,1,0,0,0,1,4,400
Cty Tnhh Nara Huy Dong Thap,0,0,0,1,0,0,0,0,0,0,1,4,400
Oromvina,0,0,0,1,0,0,0,0,0,0,1,4,400
Onion Vina,0,0,0,1,0,0,0,0,0,0,1,4,400
Ong Ty Tnhh Sx Tm Giay Bao Bao,0,0,0,1,0,0,0,0,0,0,1,4,400
Cty Tnhh Thanh Long Lang Son,0,0,0,1,0,0,0,0,0,0,1,4,400
Nhat Viet,0,0,0,1,0,0,0,0,0,0,1,4,400
Ocean Group,0,0,0,1,0,0,0,0,0,0,1,4,400
Cty Tnhh Tp Nong Lam,0,0,0,1,0,0,0,0,0,0,1,4,400
Cty Tnhh Vico,0,0,0,1,0,0,0,0,0,0,1,4,400
Number1,0,0,0,0,1,0,0,0,0,0,1,4,400
Number One,0,0,0,0,1,0,0,0,0,0,1,4,400
Cty Vinamit,0,0,0,1,0,0,0,0,0,0,1,4,400
"Novartis Consumer Health Sa, Switzerland",0,0,0,0,1,0,0,0,0,0,1,4,400
Nooc Duc,0,0,0,1,0,0,0,0,0,0,1,4,400
Nhuong Quyen,0,0,0,1,0,0,0,0,0,0,1,4,400
Cty Kameda,0,0,0,1,0,0,0,0,0,0,1,4,400
Pesico,0,0,0,1,0,0,0,0,0,0,1,4,400
"Cty Glaxosmithkline, Nhat Ban",0,0,0,1,0,0,0,0,0,0,1,4,400
Phan Phu,0,0,0,0,1,0,0,0,0,0,1,4,400
R.J.Reynolds,0,0,0,1,0,0,0,0,0,0,1,4,400
Quy Thu,0,0,0,1,0,0,0,0,0,0,1,4,400
Cosy,0,0,0,1,0,0,0,0,0,0,1,4,400
Puritypy,0,0,0,1,0,0,0,0,0,0,1,4,400
Pt Kaldunabati,0,0,0,1,0,0,0,0,0,0,1,4,400
Cso San Xuat Thuoc Y Hoc Binh Dong,0,0,0,1,0,0,0,0,0,0,1,4,400
Ps Caiun,0,0,0,1,0,0,0,0,0,0,1,4,400
Product From Hoi An,0,0,0,0,1,0,0,0,0,0,1,4,400
Ponnie,0,0,0,0,1,0,0,0,0,0,1,4,400
Poca,0,0,0,1,0,0,0,0,0,0,1,4,400
Cty Cp Cafe Hoong Tay Nguyen,0,0,0,1,0,0,0,0,0,0,1,4,400
Cty Cp Giay Sai Gon,0,0,0,1,0,0,0,0,0,0,1,4,400
Phuc Hong,0,0,0,1,0,0,0,0,0,0,1,4,400
Cty Cp Nam Dooc,0,0,0,1,0,0,0,0,0,0,1,4,400
Phu Thanh,0,0,0,1,0,0,0,0,0,0,1,4,400
Phu Nong Seed,0,0,0,1,0,0,0,0,0,0,1,4,400
Phu Gia,0,0,0,0,1,0,0,0,0,0,1,4,400
Phoong Hoang,0,0,0,1,0,0,0,0,0,0,1,4,400
Pharmedic Company,0,1,0,0,0,0,0,0,0,0,1,4,400
Nho Y,0,0,0,1,0,0,0,0,0,0,1,4,400
Nouqi,0,0,0,1,0,0,0,0,0,0,1,4,400
Cty Yen Sao Khanh Hoa,0,0,0,1,0,0,0,0,0,0,1,4,400
Minh Thanh,0,0,0,1,0,0,0,0,0,0,1,4,400
Monobe,0,0,0,1,0,0,0,0,0,0,1,4,400
Mtv Nguyen Eco Company,0,0,0,0,1,0,0,0,0,0,1,4,400
Delafil,0,0,0,0,1,0,0,0,0,0,1,4,400
Diamond Food,0,0,0,1,0,0,0,0,0,0,1,4,400
Dimond Food Vn,0,0,0,0,1,0,0,0,0,0,1,4,400
Multiplex,0,0,0,0,0,0,1,0,0,0,1,4,400
My Hoa,0,0,0,1,0,0,0,0,0,0,1,4,400
Nha San Xuat 62 - Hoan Kiem - Ha Noi,0,0,0,1,0,0,0,0,0,0,1,4,400
Myanmar,0,0,0,1,0,0,0,0,0,0,1,4,400
Nabatisnack,0,0,0,1,0,0,0,0,0,0,1,4,400
Nam Ngo,0,0,0,1,0,0,0,0,0,0,1,4,400
Miwon Viet Nam,0,0,0,1,0,0,0,0,0,0,1,4,400
Darlie,0,0,0,1,0,0,0,0,0,0,1,4,400
Dhc,0,0,0,1,0,0,0,0,0,0,1,4,400
Divella Vietnam,0,0,0,1,0,0,0,0,0,0,1,4,400
Milky Way Bar,0,0,0,1,0,0,0,0,0,0,1,4,400
Dapaco,0,0,0,1,0,0,0,0,0,0,1,4,400
Nha May Tam Phong,0,0,0,1,0,0,0,0,0,0,1,4,400
Mexium,0,0,0,0,0,0,1,0,0,0,1,4,400
Da Lat Milk,0,0,0,1,0,0,0,0,0,0,1,4,400
Dai Long,0,0,0,1,0,0,0,0,0,0,1,4,400
Nguyen Huong,0,0,0,0,0,1,0,0,0,0,1,4,400
Nguyen Eto,0,0,0,0,1,0,0,0,0,0,1,4,400
Ngoc Phuc,0,0,0,1,0,0,0,0,0,0,1,4,400
Mondelez Kinh Do Viet Nam Company,0,0,0,0,1,0,0,0,0,0,1,4,400
Dong Phu - Chau Thanh,0,0,0,1,0,0,0,0,0,0,1,4,400
Dong Doong,0,0,0,1,0,0,0,0,0,0,1,4,400
Ngoc Phu,0,0,0,1,0,0,0,0,0,0,1,4,400
Ngoc Mai,0,0,0,1,0,0,0,0,0,0,1,4,400
Miliket,0,0,0,0,1,0,0,0,0,0,1,4,400
Wuongjin,0,0,0,0,0,0,0,0,0,0,0,4,400
Hkt,0,0,0,0,0,0,0,0,0,0,0,4,400
Phue Vinh,0,0,0,0,0,0,0,0,0,0,0,4,400
Co So San Xuat,0,0,0,0,0,0,0,0,0,0,0,4,400
Simple & Smart,0,0,0,0,0,0,0,0,0,0,0,4,400
Tnhh Ngoc Vi,0,0,0,0,0,0,0,0,0,0,0,4,400
Anh Thuong,0,0,0,0,0,0,0,0,0,0,0,4,400
Tomihu,0,0,0,0,0,0,0,0,0,0,0,4,400
Thanh Huy,0,0,0,0,0,0,0,0,0,0,0,4,400
Dcll,0,0,0,0,0,0,0,0,0,0,0,4,400
Chou Quy Khach Ngon Mieng,0,0,0,0,0,0,0,0,0,0,0,4,400
Than Gia Phu,0,0,0,0,0,0,0,0,0,0,0,4,400
Cong Ty Beiersdorf Global Ag Tai Hamburg,0,0,0,0,0,0,0,0,0,0,0,4,400
Otsuka,0,0,0,0,0,0,0,0,0,0,0,4,400
Khan Hoa,0,0,0,0,0,0,0,0,0,0,0,4,400
Chau Ming,0,0,0,0,0,0,0,0,0,0,0,4,400
F.I.T Beverage,0,0,0,0,0,0,0,0,0,0,0,4,400
Thach Bich,0,0,0,0,0,0,0,0,0,0,0,4,400
Th Milk Joint Stock Company,0,0,0,0,0,0,0,0,0,0,0,4,400
Thp Group,0,0,0,0,0,0,0,0,0,0,0,4,400
Hoi Ngudi Mu Tp Da Nang,0,0,0,0,0,0,0,0,0,0,0,4,400
