ParentCoFinal,HDPE,LDPE,O,PET,PP,PS,Grand Total,number of events,number of volunteers
Активіа,0,0,0,0,1,0,1,7,114
"Алазанська Долина, Виробник Дім Грузинського Вина",0,0,1,0,0,0,1,7,114
Бкк,0,0,1,0,0,0,1,7,114
Амальгама Люкс,0,0,1,0,0,0,1,7,114
"Ао ""Чумак""",0,0,1,0,0,0,1,7,114
"Ао «Молочный Альянс» (Тм ""Яготинське"")",1,0,0,0,0,0,1,7,114
Super Kontik,0,0,1,0,0,0,1,7,114
"Артемівська, Виробник Прат «Артвайнері»",0,0,1,0,0,0,1,7,114
Stimorol,0,0,1,0,0,0,1,7,114
Starokejvsky Kvas,0,0,0,1,0,0,1,7,114
Баба Шура Тов Жарго,0,0,1,0,0,0,1,7,114
Solomka,0,0,1,0,0,0,1,7,114
Sokovynka,0,0,1,0,0,0,1,7,114
Барні,0,0,1,0,0,0,1,7,114
Soco,0,0,1,0,0,0,1,7,114
"Бердичівське Лагер, Тов ""Бердичівський Пивоварний Завод""",0,0,0,1,0,0,1,7,114
"Бердичівське, Ноу Нейм",0,0,1,0,0,0,1,7,114
Квас Тарс,0,0,0,1,0,0,1,7,114
Квас Ярило,0,0,0,1,0,0,1,7,114
Rossmann,0,0,1,0,0,0,1,7,114
Орео Монделіс,0,0,1,0,0,0,1,7,114
Mon Blanc,0,0,1,0,0,0,1,7,114
Mom,0,0,1,0,0,0,1,7,114
Mollis,0,0,1,0,0,0,1,7,114
"Наш Молочник (Дп ""Старокостянтинівський Молочний Завод"")",1,0,0,0,0,0,1,7,114
Наша Марка,0,0,1,0,0,0,1,7,114
Наше Пиво Оболонь,0,0,0,1,0,0,1,7,114
Miilenium,0,0,1,0,0,0,1,7,114
Maoman,0,0,1,0,0,0,1,7,114
Mamba,0,0,1,0,0,0,1,7,114
Magic,0,0,1,0,0,0,1,7,114
Олія,0,0,1,0,0,0,1,7,114
Lvivske,0,0,0,1,0,0,1,7,114
Органік Мілк,0,0,1,0,0,0,1,7,114
"Ореандо, Виробник Нмвп Нива",0,0,1,0,0,0,1,7,114
Остречська Нептун,0,0,0,1,0,0,1,7,114
Моноліт,0,0,1,0,0,0,1,7,114
"Павлівське Живе, Виробник Павлівський Пив Завод",0,0,1,0,0,0,1,7,114
Павлівське Пиво,0,0,1,0,0,0,1,7,114
Lviv Croissantes,0,0,1,0,0,0,1,7,114
Пепсіко,0,0,1,0,0,0,1,7,114
Luxe,0,0,1,0,0,0,1,7,114
Love Is,0,0,1,0,0,0,1,7,114
Twix Mars,0,0,1,0,0,0,1,7,114
Lofthouse Of Fleetwood,0,0,1,0,0,0,1,7,114
Limo,0,0,1,0,0,0,1,7,114
"Lactel - ""Лакталь Укр""",0,0,1,0,0,0,1,7,114
La Femme Cosmetics,0,0,1,0,0,0,1,7,114
La Crema Alva,0,0,1,0,0,0,1,7,114
"Прикарпатський Коньяк, Виробник Galicia Distillery",0,0,1,0,0,0,1,7,114
Kvadrat Sushi&Pizza,0,0,1,0,0,0,1,7,114
Myrhorodska,0,0,0,1,0,0,1,7,114
Norotic,0,0,1,0,0,0,1,7,114
Rolton,0,0,1,0,0,0,1,7,114
Pryma,0,0,1,0,0,0,1,7,114
Rich,0,0,0,1,0,0,1,7,114
"Коблево, Виробник Миколаївський Коньячний Завод",0,0,1,0,0,0,1,7,114
Кожен День (Auchan),0,0,1,0,0,0,1,7,114
Кожен День Вода,0,0,0,1,0,0,1,7,114
Rgd,0,0,1,0,0,0,1,7,114
Revo,0,0,1,0,0,0,1,7,114
Red Bull,0,0,1,0,0,0,1,7,114
Контрамарка,0,0,1,0,0,0,1,7,114
Rancho,0,0,1,0,0,0,1,7,114
Кривозерьска Смакова,0,0,0,1,0,0,1,7,114
Rafaello,0,0,1,0,0,0,1,7,114
Кріоліт Д,0,0,1,0,0,0,1,7,114
Pull,0,0,1,0,0,0,1,7,114
Pshenychna,0,0,1,0,0,0,1,7,114
Pryhoshchaysia,0,0,1,0,0,0,1,7,114
Nova Pack,0,0,1,0,0,0,1,7,114
Лев Біле,0,0,0,1,0,0,1,7,114
"Левада, Тов ""Тд Левада""",0,0,1,0,0,0,1,7,114
Premialle,0,0,0,0,1,0,1,7,114
Power Pro,0,0,1,0,0,0,1,7,114
Plackers,0,0,1,0,0,0,1,7,114
Pit Bul,0,0,1,0,0,0,1,7,114
Pervachok,0,0,1,0,0,0,1,7,114
Peanuts,0,0,1,0,0,0,1,7,114
Obolon,0,0,0,1,0,0,1,7,114
Novel,0,0,1,0,0,0,1,7,114
Мендмсммарс,0,0,1,0,0,0,1,7,114
"Миколай Коперник, Виробник Прайм",0,0,1,0,0,0,1,7,114
"Микулин, Виробник Микулинецький Бровар",0,0,1,0,0,0,1,7,114
Nova Poshta,0,0,1,0,0,0,1,7,114
Інпак,0,0,1,0,0,0,1,7,114
