***ARCH130867, FRESC Study 930, "Oregon_spotted_frog_telemetry_at_Crane_Prairie_OR.csv", Michael J. Adams, archived ______***
***Published ___ at www.sciencebase.gov (___)***
Site,Subsite,HabType,SurveyDate,Ordinal,Frequency,UTME_83,UTMN_83,Interval,Female,Water,Type,Structure,Substrate,Beaver,Detection
Crane Prairie,SE Pond,Pond,10/22/2018,295,164.545,597344,4846479,4,1,Unknown water,Non-aquatic,Herbaceous veg,Organic soil,No beaver,No visual
Crane Prairie,SE Pond,Pond,10/29/2018,302,164.545,597343,4846483,5,1,Shallow water,Marsh/Pond,Open,Flocc,No beaver,No visual
Crane Prairie,SE Pond,Pond,11/5/2018,309,164.545,597341,4846474,6,1,Deep water,Marsh/Pond,Open,Unknown substrate,No beaver,No visual
Crane Prairie,SE Pond,Pond,11/13/2018,317,164.545,597343,4846477,7,1,Shallow water,Marsh/Pond,Open,Unknown substrate,No beaver,No visual
Crane Prairie,SE Pond,Pond,11/18/2018,322,164.545,597342,4846466,8,1,Deep water,Marsh/Pond,Herbaceous veg,Unknown substrate,No beaver,No visual
Crane Prairie,SE Pond,Pond,11/26/2018,330,164.545,597352,4846469,9,1,Deep water,Marsh/Pond,Herbaceous veg,Unknown substrate,No beaver,No visual
Crane Prairie,Cow Camp River,River,9/20/2018,263,164.557,598407,4851481,0,0,Shallow water,Reservoir,Open,Flocc,No beaver,Captured
Crane Prairie,Cow Camp River,River,9/28/2018,271,164.557,598393,4851439,1,0,No water,Reservoir,Herbaceous veg,Organic soil,No beaver,Visual
Crane Prairie,Cow Camp River,River,10/1/2018,274,164.557,598363,4851532,2,0,No water,Non-aquatic,Herbaceous veg,Organic soil,No beaver,Captured
Crane Prairie,Cow Camp River,River,10/4/2018,277,164.557,598302,4851605,3,0,No water,Stream/Canal,Herbaceous veg,Organic soil,No beaver,Visual
Crane Prairie,Cow Camp River,River,10/10/2018,283,164.557,598355,4851519,4,0,Unknown water,Stream/Canal,Herbaceous veg,Unknown substrate,No beaver,No visual
Crane Prairie,Cow Camp River,River,10/17/2018,290,164.557,598358,4851527,5,0,Deep water,Stream/Canal,Herbaceous veg,Unknown substrate,No beaver,No visual
Crane Prairie,Cow Camp River,River,10/23/2018,296,164.557,598357,4851519,6,0,Unknown water,Stream/Canal,Herbaceous veg,Unknown substrate,No beaver,No visual
Crane Prairie,Cow Camp River,River,10/30/2018,303,164.557,598381,4851551,7,0,Shallow water,Stream/Canal,Woody debris,Organic soil,No beaver,No visual
Crane Prairie,Cow Camp River,River,11/6/2018,310,164.557,598340,4851514,8,0,Shallow water,Stream/Canal,Open,Mineral soil,No beaver,No visual
Crane Prairie,Cow Camp River,River,11/16/2018,320,164.557,598366,4851278,9,0,Deep water,Reservoir,Open,Unknown substrate,No beaver,No visual
Crane Prairie,Cow Camp River,River,11/19/2018,323,164.557,598350,4851525,10,0,Deep water,Reservoir,Open,Unknown substrate,No beaver,No visual
Crane Prairie,Cow Camp River,River,11/28/2018,332,164.557,598324,4851466,11,0,Deep water,Stream/Canal,Open,Mineral soil,No beaver,No visual
Crane Prairie,SE Pond,Pond,9/25/2018,268,164.570,597386,4846473,0,1,Deep water,Marsh/Pond,Woody debris,Unknown substrate,No beaver,Captured
Crane Prairie,SE Pond,Pond,10/2/2018,275,164.570,597334,4846454,1,1,Unknown water,Marsh/Pond,Open,Organic soil,Channel/runway,No visual
Crane Prairie,SE Pond,Pond,10/9/2018,282,164.570,597343,4846443,2,1,Unknown water,Marsh/Pond,Woody debris,Organic soil,Channel/runway,No visual
Crane Prairie,SE Pond,Pond,10/15/2018,288,164.570,597358,4846460,3,1,Deep water,Marsh/Pond,Open,Unknown substrate,No beaver,No visual
Crane Prairie,SE Pond,Pond,10/22/2018,295,164.570,597339,4846458,4,1,Deep water,Marsh/Pond,Herbaceous veg,Unknown substrate,No beaver,No visual
Crane Prairie,SE Pond,Pond,11/1/2018,305,164.570,597374,4846484,5,1,Deep water,Marsh/Pond,Herbaceous veg,Unknown substrate,No beaver,No visual
Crane Prairie,SE Pond,Pond,11/5/2018,309,164.570,597374,4846482,6,1,Deep water,Marsh/Pond,Open,Unknown substrate,No beaver,No visual
Crane Prairie,SE Pond,Pond,11/13/2018,317,164.570,597339,4846474,7,1,Deep water,Marsh/Pond,Herbaceous veg,Unknown substrate,No beaver,No visual
Crane Prairie,SE Pond,Pond,11/15/2018,319,164.570,597346,4846468,8,1,Deep water,Marsh/Pond,Herbaceous veg,Unknown substrate,No beaver,No visual
Crane Prairie,SE Pond,Pond,11/18/2018,322,164.570,597370,4846467,9,1,Deep water,Marsh/Pond,Open,Unknown substrate,No beaver,No visual
Crane Prairie,SE Pond,Pond,11/29/2018,333,164.570,597341,4846471,10,1,Deep water,Marsh/Pond,Herbaceous veg,Unknown substrate,No beaver,No visual
Crane Prairie,W Res,Reservoir,9/13/2018,256,164.582,594842,4849435,0,1,Shallow water,Reservoir,Herbaceous veg,Flocc,No beaver,Captured
Crane Prairie,W Res,Reservoir,9/19/2018,262,164.582,594820,4849383,1,1,Shallow water,Reservoir,Herbaceous veg,Unknown substrate,No beaver,No visual
Crane Prairie,W Res,Reservoir,9/26/2018,269,164.582,594820,4849388,2,1,Shallow water,Reservoir,Herbaceous veg,Unknown substrate,No beaver,No visual
Crane Prairie,W Res,Reservoir,10/3/2018,276,164.582,594698,4849330,3,1,Shallow water,Reservoir,Herbaceous veg,Flocc,No beaver,No visual
Crane Prairie,W Res,Reservoir,10/10/2018,283,164.582,594712,4849310,4,1,Deep water,Reservoir,Herbaceous veg,Flocc,No beaver,No visual
Crane Prairie,W Res,Reservoir,10/16/2018,289,164.582,594630,4849197,5,1,Shallow water,Reservoir,Woody debris,Flocc,No beaver,No visual
Crane Prairie,W Res,Reservoir,10/23/2018,296,164.582,594601,4849208,6,1,Shallow water,Reservoir,Herbaceous veg,Flocc,No beaver,No visual
Crane Prairie,W Res,Reservoir,10/30/2018,303,164.582,594594,4849220,7,1,Shallow water,Reservoir,Herbaceous veg,Flocc,No beaver,No visual
Crane Prairie,W Res,Reservoir,11/6/2018,310,164.582,594595,4849216,8,1,Shallow water,Reservoir,Herbaceous veg,Flocc,No beaver,No visual
Crane Prairie,W Res,Reservoir,11/14/2018,318,164.582,594607,4849196,9,1,Shallow water,Reservoir,Herbaceous veg,Flocc,No beaver,No visual
Crane Prairie,W Res,Reservoir,11/20/2018,324,164.582,594607,4849198,10,1,Shallow water,Reservoir,Herbaceous veg,Flocc,No beaver,No visual
Crane Prairie,W Res,Reservoir,11/29/2018,333,164.582,594683,4849239,11,1,Shallow water,Reservoir,Woody debris,Flocc,No beaver,No visual
Crane Prairie,N Res,Reservoir,9/18/2018,261,164.595,597724,4850712,0,1,Shallow water,Reservoir,Herbaceous veg,Flocc,No beaver,Captured
Crane Prairie,N Res,Reservoir,9/27/2018,270,164.595,597753,4850711,1,1,Shallow water,Reservoir,Herbaceous veg,Flocc,No beaver,No visual
Crane Prairie,N Res,Reservoir,10/4/2018,277,164.595,597439,4850769,2,1,Deep water,Reservoir,Open,Unknown substrate,No beaver,No visual
Crane Prairie,N Res,Reservoir,10/12/2018,285,164.595,597453,4850778,3,1,Deep water,Reservoir,Woody debris,Unknown substrate,No beaver,No visual
Crane Prairie,N Res,Reservoir,10/17/2018,290,164.595,597442,4850783,4,1,Deep water,Reservoir,Woody veg,Unknown substrate,No beaver,No visual
Crane Prairie,N Res,Reservoir,10/24/2018,297,164.595,597225,4850836,5,1,Shallow water,Reservoir,Woody debris,Unknown substrate,No beaver,No visual
Crane Prairie,N Res,Reservoir,10/31/2018,304,164.595,597226,4850837,6,1,Shallow water,Reservoir,Woody debris,Flocc,No beaver,No visual
Crane Prairie,N Res,Reservoir,11/7/2018,311,164.595,597224,4850836,7,1,Shallow water,Reservoir,Woody debris,Flocc,No beaver,No visual
Crane Prairie,N Res,Reservoir,11/15/2018,319,164.595,597221,4850834,8,1,Shallow water,Reservoir,Woody debris,Flocc,No beaver,No visual
Crane Prairie,N Res,Reservoir,11/19/2018,323,164.595,597225,4850832,9,1,Shallow water,Reservoir,Woody debris,Flocc,No beaver,Visual
Crane Prairie,N Res,Reservoir,11/28/2018,332,164.595,597234,4850821,10,1,Deep water,Reservoir,Woody debris,Flocc,No beaver,No visual
Crane Prairie,SE Pond,Pond,9/28/2018,271,164.732,597352,4846484,0,1,Shallow water,Marsh/Pond,Herbaceous veg,Unknown substrate,No beaver,Captured
Crane Prairie,SE Pond,Pond,10/2/2018,275,164.732,597343,4846462,1,1,Deep water,Marsh/Pond,Woody debris,Unknown substrate,No beaver,No visual
Crane Prairie,SE Pond,Pond,10/9/2018,282,164.732,597341,4846459,2,1,Shallow water,Marsh/Pond,Herbaceous veg,Flocc,No beaver,No visual
Crane Prairie,SE Pond,Pond,10/15/2018,288,164.732,597345,4846474,3,1,Deep water,Marsh/Pond,Woody debris,Unknown substrate,No beaver,No visual
Crane Prairie,SE Pond,Pond,10/22/2018,295,164.732,597341,4846464,4,1,Deep water,Marsh/Pond,Herbaceous veg,Unknown substrate,No beaver,No visual
Crane Prairie,SE Pond,Pond,11/1/2018,305,164.732,597366,4846469,5,1,Deep water,Marsh/Pond,Herbaceous veg,Unknown substrate,No beaver,No visual
Crane Prairie,SE Pond,Pond,11/5/2018,309,164.732,597376,4846467,6,1,Deep water,Marsh/Pond,Herbaceous veg,Unknown substrate,No beaver,No visual
Crane Prairie,SE Pond,Pond,11/13/2018,317,164.732,597347,4846472,7,1,Deep water,Marsh/Pond,Herbaceous veg,Unknown substrate,No beaver,No visual
Crane Prairie,SE Pond,Pond,11/18/2018,322,164.732,597347,4846460,8,1,Deep water,Marsh/Pond,Herbaceous veg,Unknown substrate,No beaver,No visual
Crane Prairie,SE Pond,Pond,11/26/2018,330,164.732,597355,4846462,9,1,Deep water,Marsh/Pond,Herbaceous veg,Unknown substrate,No beaver,No visual
Crane Prairie,SE Pond,Pond,9/25/2018,268,164.768,597342,4846488,0,1,Shallow water,Marsh/Pond,Herbaceous veg,Unknown substrate,No beaver,Captured
Crane Prairie,SE Pond,Pond,10/2/2018,275,164.768,597351,4846488,1,1,Deep water,Marsh/Pond,Herbaceous veg,Unknown substrate,No beaver,No visual
Crane Prairie,SE Pond,Pond,10/9/2018,282,164.768,597374,4846479,2,1,Deep water,Marsh/Pond,Herbaceous veg,Unknown substrate,No beaver,No visual
Crane Prairie,SE Pond,Pond,10/15/2018,288,164.768,597345,4846483,3,1,Deep water,Marsh/Pond,Herbaceous veg,Unknown substrate,No beaver,No visual
Crane Prairie,SE Pond,Pond,10/22/2018,295,164.768,597339,4846481,4,1,Deep water,Marsh/Pond,Woody debris,Unknown substrate,No beaver,No visual
Crane Prairie,SE Pond,Pond,10/29/2018,302,164.768,597342,4846482,5,1,Shallow water,Marsh/Pond,Woody debris,Unknown substrate,No beaver,No visual
Crane Prairie,SE Pond,Pond,11/5/2018,309,164.768,597345,4846479,6,1,Shallow water,Marsh/Pond,Woody debris,Unknown substrate,No beaver,No visual
Crane Prairie,SE Pond,Pond,11/13/2018,317,164.768,597344,4846480,7,1,Shallow water,Marsh/Pond,Woody debris,Unknown substrate,No beaver,No visual
Crane Prairie,SE Pond,Pond,11/18/2018,322,164.768,597342,4846480,8,1,Shallow water,Marsh/Pond,Woody debris,Unknown substrate,No beaver,No visual
Crane Prairie,SE Pond,Pond,11/26/2018,330,164.768,597341,4846485,9,1,Deep water,Marsh/Pond,Woody debris,Unknown substrate,No beaver,No visual
Crane Prairie,Cow Camp River,River,9/18/2018,261,164.796,598392,4851848,0,1,No water,Stream/Canal,Herbaceous veg,Mineral soil,No beaver,Captured
Crane Prairie,Cow Camp River,River,9/20/2018,263,164.796,598394,4851843,1,1,Shallow water,Stream/Canal,Herbaceous veg,Mineral soil,No beaver,Visual
Crane Prairie,Cow Camp River,River,9/28/2018,271,164.796,598395,4851840,2,1,Shallow water,Stream/Canal,Herbaceous veg,Flocc,No beaver,No visual
Crane Prairie,Cow Camp River,River,10/4/2018,277,164.796,598363,4851978,3,1,Deep water,Stream/Canal,Herbaceous veg,Unknown substrate,No beaver,No visual
Crane Prairie,Cow Camp River,River,10/10/2018,283,164.796,598362,4851976,4,1,Deep water,Stream/Canal,Herbaceous veg,Unknown substrate,No beaver,No visual
Crane Prairie,Cow Camp River,River,10/16/2018,289,164.796,598362,4851974,5,1,Deep water,Stream/Canal,Herbaceous veg,Unknown substrate,No beaver,No visual
Crane Prairie,Cow Camp River,River,10/22/2018,295,164.796,598357,4851967,6,1,Shallow water,Stream/Canal,Herbaceous veg,Unknown substrate,No beaver,Visual
Crane Prairie,Cow Camp River,River,10/31/2018,304,164.796,598354,4851924,7,1,Shallow water,Stream/Canal,Herbaceous veg,Mineral soil,No beaver,No visual
Crane Prairie,Cow Camp River,River,11/6/2018,310,164.796,598360,4851930,8,1,Shallow water,Stream/Canal,Herbaceous veg,Flocc,No beaver,No visual
Crane Prairie,Cow Camp River,River,11/14/2018,318,164.796,598351,4851923,9,1,Shallow water,Stream/Canal,Herbaceous veg,Flocc,No beaver,No visual
Crane Prairie,Cow Camp River,River,11/18/2018,322,164.796,598355,4851921,10,1,Shallow water,Stream/Canal,Herbaceous veg,Flocc,No beaver,No visual
Crane Prairie,Cow Camp River,River,11/28/2018,332,164.796,598358,4851927,11,1,Shallow water,Stream/Canal,Herbaceous veg,Flocc,No beaver,Visual
Crane Prairie,NE Res,Reservoir,10/11/2018,284,164.861,599244,4851726,0,1,Shallow water,Reservoir,Herbaceous veg,Flocc,No beaver,Captured
Crane Prairie,NE Res,Reservoir,10/17/2018,290,164.861,599326,4851544,1,1,Shallow water,Reservoir,Herbaceous veg,Flocc,No beaver,Visual
Crane Prairie,NE Res,Reservoir,10/24/2018,297,164.861,599330,4851533,2,1,Shallow water,Reservoir,Herbaceous veg,Unknown substrate,No beaver,No visual
Crane Prairie,NE Res,Reservoir,10/30/2018,303,164.861,599222,4851584,3,1,Shallow water,Reservoir,Herbaceous veg,Unknown substrate,No beaver,Visual
Crane Prairie,NE Res,Reservoir,11/5/2018,309,164.861,599227,4851584,4,1,Shallow water,Reservoir,Herbaceous veg,Flocc,No beaver,No visual
Crane Prairie,NE Res,Reservoir,11/16/2018,320,164.861,599186,4851591,5,1,Shallow water,Reservoir,Herbaceous veg,Flocc,No beaver,No visual
Crane Prairie,NE Res,Reservoir,11/19/2018,323,164.861,599196,4851597,6,1,Shallow water,Reservoir,Open,Flocc,No beaver,No visual
Crane Prairie,NE Res,Reservoir,11/28/2018,332,164.861,599198,4851597,7,1,Shallow water,Reservoir,Open,Flocc,No beaver,No visual
Crane Prairie,NE Res,Reservoir,10/1/2018,274,164.941,598995,4851720,0,0,Shallow water,Reservoir,Herbaceous veg,Organic soil,No beaver,Captured
Crane Prairie,NE Res,Reservoir,10/11/2018,284,164.941,598941,4851616,1,0,Shallow water,Reservoir,Herbaceous veg,Flocc,No beaver,No visual
Crane Prairie,NE Res,Reservoir,10/17/2018,290,164.941,598943,4851621,2,0,Shallow water,Reservoir,Herbaceous veg,Unknown substrate,No beaver,No visual
Crane Prairie,NE Res,Reservoir,10/24/2018,297,164.941,598943,4851608,3,0,Shallow water,Reservoir,Herbaceous veg,Flocc,No beaver,No visual
Crane Prairie,NE Res,Reservoir,10/30/2018,303,164.941,598924,4851610,4,0,Shallow water,Reservoir,Herbaceous veg,Flocc,No beaver,No visual
Crane Prairie,NE Res,Reservoir,11/5/2018,309,164.941,598925,4851609,5,0,Shallow water,Reservoir,Herbaceous veg,Flocc,No beaver,No visual
Crane Prairie,NE Res,Reservoir,11/16/2018,320,164.941,598973,4851564,6,0,Shallow water,Reservoir,Herbaceous veg,Flocc,No beaver,No visual
Crane Prairie,NE Res,Reservoir,11/19/2018,323,164.941,599029,4851567,7,0,Shallow water,Reservoir,Herbaceous veg,Flocc,No beaver,No visual
Crane Prairie,NE Res,Reservoir,11/28/2018,332,164.941,599031,4851566,8,0,Shallow water,Reservoir,Open,Flocc,No beaver,No visual
Crane Prairie,SE Pond,Pond,9/25/2018,268,165.095,597355,4846490,0,1,Shallow water,Marsh/Pond,Woody debris,Unknown substrate,No beaver,Captured
Crane Prairie,SE Pond,Pond,10/2/2018,275,165.095,597333,4846450,1,1,Deep water,Marsh/Pond,Herbaceous veg,Unknown substrate,Channel/runway,No visual
Crane Prairie,SE Pond,Pond,10/9/2018,282,165.095,597331,4846456,2,1,Deep water,Marsh/Pond,Woody debris,Unknown substrate,Burrow,No visual
Crane Prairie,SE Pond,Pond,10/15/2018,288,165.095,597343,4846445,3,1,Deep water,Marsh/Pond,Woody debris,Unknown substrate,Burrow,No visual
Crane Prairie,SE Pond,Pond,10/22/2018,295,165.095,597335,4846452,4,1,Deep water,Marsh/Pond,Woody debris,Unknown substrate,Burrow,No visual
Crane Prairie,SE Pond,Pond,11/1/2018,305,165.095,597347,4846475,5,1,Deep water,Marsh/Pond,Herbaceous veg,Unknown substrate,No beaver,No visual
Crane Prairie,SE Pond,Pond,11/5/2018,309,165.095,597345,4846476,6,1,Deep water,Marsh/Pond,Woody debris,Unknown substrate,No beaver,No visual
Crane Prairie,SE Pond,Pond,11/13/2018,317,165.095,597339,4846477,7,1,Deep water,Marsh/Pond,Woody debris,Unknown substrate,No beaver,Visual
Crane Prairie,SE Pond,Pond,11/18/2018,322,165.095,597341,4846471,8,1,Deep water,Marsh/Pond,Herbaceous veg,Unknown substrate,No beaver,Visual
Crane Prairie,SE Pond,Pond,11/26/2018,330,165.095,597337,4846465,9,1,Shallow water,Marsh/Pond,Open,Unknown substrate,No beaver,Visual
Crane Prairie,Cow Camp Pond,Pond,9/28/2018,271,165.120,598349,4851846,0,0,Shallow water,Marsh/Pond,Open,Flocc,No beaver,Captured
Crane Prairie,Cow Camp River,River,10/3/2018,276,165.120,598372,4851868,1,0,Shallow water,Stream/Canal,Herbaceous veg,Flocc,No beaver,No visual
Crane Prairie,Cow Camp River,River,10/10/2018,283,165.120,598366,4851873,2,0,Shallow water,Stream/Canal,Herbaceous veg,Unknown substrate,No beaver,Captured
Crane Prairie,W Res,Reservoir,9/26/2018,269,165.129,596105,4850437,0,0,Shallow water,Reservoir,Herbaceous veg,Flocc,No beaver,Captured
Crane Prairie,W Res,Reservoir,10/3/2018,276,165.129,595996,4850526,1,0,No water,Non-aquatic,Woody veg,Unknown substrate,No beaver,No visual
Crane Prairie,W Res,Reservoir,10/10/2018,283,165.129,595983,4850550,2,0,No water,Non-aquatic,Herbaceous veg,Organic soil,No beaver,Visual
Crane Prairie,SE Pond,Pond,9/28/2018,271,165.209,597353,4846490,0,0,Shallow water,Marsh/Pond,Herbaceous veg,Unknown substrate,No beaver,Captured
Crane Prairie,SE Pond,Pond,10/2/2018,275,165.209,597339,4846455,1,0,Deep water,Marsh/Pond,Open,Organic soil,Channel/runway,Captured
Crane Prairie,SE Pond,Pond,10/9/2018,282,165.209,597371,4846478,2,0,Shallow water,Marsh/Pond,Herbaceous veg,Unknown substrate,No beaver,No visual
Crane Prairie,SE Pond,Pond,10/15/2018,288,165.209,597342,4846455,3,0,Deep water,Marsh/Pond,Woody debris,Unknown substrate,Burrow,No visual
Crane Prairie,SE Pond,Pond,10/22/2018,295,165.209,597339,4846475,4,0,Shallow water,Marsh/Pond,Herbaceous veg,Unknown substrate,Burrow,No visual
Crane Prairie,SE Pond,Pond,11/1/2018,305,165.209,597364,4846486,5,0,No water,Non-aquatic,Woody debris,Organic soil,No beaver,Captured
Crane Prairie,SE Pond,Pond,11/5/2018,309,165.209,597385,4846472,6,0,Deep water,Marsh/Pond,Herbaceous veg,Unknown substrate,No beaver,No visual
Crane Prairie,SE Pond,Pond,11/15/2018,319,165.209,597390,4846476,7,0,Deep water,Marsh/Pond,Herbaceous veg,Unknown substrate,No beaver,Visual
Crane Prairie,SE Pond,Pond,11/18/2018,322,165.209,597386,4846471,8,0,Deep water,Marsh/Pond,Herbaceous veg,Unknown substrate,No beaver,No visual
Crane Prairie,SE Pond,Pond,11/29/2018,333,165.209,597395,4846470,9,0,Deep water,Marsh/Pond,Herbaceous veg,Unknown substrate,No beaver,No visual
Crane Prairie,Cow Camp Pond,Pond,9/12/2018,255,165.496,598346,4851850,0,0,Shallow water,Marsh/Pond,Herbaceous veg,Unknown substrate,No beaver,Visual
Crane Prairie,Cow Camp Pond,Pond,9/18/2018,261,165.496,598341,4851846,1,0,Deep water,Marsh/Pond,Woody debris,Unknown substrate,No beaver,No visual
Crane Prairie,Cow Camp Pond,Pond,9/20/2018,263,165.496,598345,4851840,2,0,Deep water,Marsh/Pond,Woody debris,Unknown substrate,No beaver,No visual
Crane Prairie,Cow Camp Pond,Pond,9/27/2018,270,165.496,598339,4851844,3,0,Unknown water,Marsh/Pond,Woody debris,Unknown substrate,No beaver,No visual
Crane Prairie,Cow Camp Pond,Pond,10/3/2018,276,165.496,598343,4851843,4,0,Unknown water,Marsh/Pond,Woody debris,Unknown substrate,No beaver,No visual
Crane Prairie,Cow Camp Pond,Pond,10/10/2018,283,165.496,598338,4851843,5,0,Unknown water,Marsh/Pond,Woody debris,Organic soil,No beaver,No visual
Crane Prairie,Cow Camp Pond,Pond,10/16/2018,289,165.496,598343,4851838,6,0,No water,Marsh/Pond,Woody debris,Organic soil,No beaver,Visual
