call_sign,frequency,city,licensee,format,state
KEAR,610 AM,San Francisco,"Family Stations, Inc.",Christian radio (Family Radio),California
KEBF-LP,97.3 FM,Morro Bay,Estero Bay Community Radio,Classic Rock/Variety,California
KEBN,94.3 FM,Garden Grove,LBI Radio License LLC,Regional Mexican,California
KEBR,88.1 FM,Sacramento,"Family Stations, Inc.",Christian radio (Family Radio),California
KEBT,96.9 FM,Lost Hills,AGM California,Regional Mexican,California
KEBX-LP,100.1 FM,Pacheco,Golden Gate Society For Coatings Technology,Variety,California
KECG,88.1 FM,El Cerrito,El Cerrito High School,Educational,California
KECR,910 AM,El Cajon,"Family Stations, Inc.",Christian radio (Family Radio),California
KEFC-LP,100.5 FM,Turlock,Evangelical Free Church of Turlock,Contemporary Christian,California
KEFR,89.9 FM,Le Grand,"Family Stations, Inc.",Christian radio (Family Radio),California
KEGE,101.7 FM,Hamilton City,"Independence Rock Media, LLC",Regional Mexican,California
KEGT,106.5 FM,San Miguel,"Hispanic Target Media, Inc.",Regional Mexican,California
KEIB,1150 AM,Los Angeles,"iHM Licenses, LLC",Talk,California
KEJY,790 AM,Eureka,"Eureka Broadcasting Co., Inc.",Travel info,California
KEKA-FM,101.5 FM,Eureka,"Eureka Broadcasting Co., Inc.",Classic country,California
KELR-LP,104.7 FM,Stockton,Eternal Life Radio,Religious Teaching,California
KEPD,104.9 FM,Ridgecrest,"Adelman Broadcasting, Inc.",Spanish Adult hits,California
KEPT-LP,96.9 FM,Hayward,"Calvary Chapel of Hayward, Inc.",Religious Teaching,California
KERI,1410 AM,Bakersfield,"Bob Wilkins Radio Network Broadcasting, Inc.",Christian talk,California
KERN,1180 AM,Wasco-Greenacres,AGM California,News/Talk,California
KERU-FM,88.5 FM,Blythe,KERU-FM,Spanish public radio,California
KERW,101.3 FM,Los Osos-Baywood Par,Santa Monica Community College District,Public radio,California
KESC,99.7 FM,Morro Bay,University of Southern California,Classical,California
KESP,970 AM,Modesto,"Radio License Holding CBC, LLC",Sports (CBS),California
KESQ,1400 AM,Indio,Gulf-California Broadcast Co.,Spanish Christian,California
KESR,107.1 FM,Shasta Lake City,"Results Radio of Redding Licensee, LLC",Adult hits,California
KEST,1450 AM,San Francisco,"Multicultural Radio Broadcasting Licensee, LLC",Multilingual,California
KETQ-LP,93.3 FM,Yuba City,Queens Avenue Community Church,Community radio,California
KEWB,94.7 FM,Anderson,"Results Radio of Redding Licensee, LLC",Rhythmic contemporary,California
KEXA,93.9 FM,King City,"Inspiration Media Network, LLC",Regional Mexican,California
KEXU-LP,96.1 FM,Oakland,Poor Magazine,Variety,California
KEYQ,980 AM,Fresno,"The Association for Community Education, Inc.",Spanish religious,California
KEZR,106.5 FM,San Jose,Alpha Media Licensee LLC,Adult Top 40,California
KEZY,1240 AM,San Bernardino,"Hi-Favor Broadcasting, LLC",Spanish Christian,California
KFAX,1100 AM,San Francisco,"New Inspiration Broadcasting Company, Inc.",Christian talk,California
KFBA-LP,104.9 FM,Bakersfield,Bakersfield Hispanic Education Family Fundation,NA,California
KFBG,100.7 FM,San Diego,"Local Media San Diego Acquisition, LLC",Adult hits,California
KFBK,1530 AM,Sacramento,"iHM Licenses, LLC",News/Talk,California
KFBK-FM,93.1 FM,Pollock Pines,"iHM Licenses, LLC",News/Talk,California
KFBT,103.7 FM,Hanford,"iHM Licenses, LLC",Rhythmic AC,California
KFCF,88.1 FM,Fresno,Fresno Free College Foundation,Variety,California
KFEP-LP,99.1 FM,Los Angeles,Echo Park Film Center,NA,California
KFER,89.9 FM,Santa Cruz,Santa Cruz Educational Broadcasting Foundation,Variety,California
KFFW-LP,107.7 FM,Atwater,Iglesia de Cristo Ministerios Llamada Final Atwater,Spanish Religious,California
KFGD-LP,92.5 FM,Fresno,Fig Garden Police Protection District,Jazz,California
KFGY,92.9 FM,Healdsburg,"Amaturo Sonoma Media Group, LLC",Country,California
KFHL,91.7 FM,Wasco,Mary V. Harris Foundation,Christian talk,California
KFI,640 AM,Los Angeles,"iHM Licenses, LLC",News/Talk,California
KFIA,710 AM,Carmichael,"New Inspiration Broadcasting Company, Inc.",Christian talk,California
KFIG,1430 AM,Fresno,John Ostlund and Katrina Ostlund,Sports (ESPN),California
KFIV,1360 AM,Modesto,"iHM Licenses, LLC",News/Talk,California
KFJC,89.7 FM,Los Altos,Foothill-De Anza Community College District,Educational,California
KFLG-FM,94.7 FM,Big River,"Cameron Broadcasting, Inc.",Country,California
KFLS-FM,96.5 FM,Tulelake,Wynne Enterprises LLC,Country,California
KFMI,96.3 FM,Eureka,"Bicoastal Media Licenses II, LLC",Top 40/CHR,California
KFNO,90.3 FM,Fresno,"Family Stations, Inc.",Christian radio (Family Radio),California
KFOI,90.9 FM,Red Bluff,"Alta California Community Media, Inc.",Variety,California
KFOK-LP,95.1 FM,Georgetown,American River Folk Society,Variety,California
KFOO,1440 AM,Riverside,"iHM Licenses, LLC",News (BIN),California
KFOX,1650 AM,Torrance,"HK Media, Inc.",Korean,California
KFPR,88.9 FM,Redding,"Research Foundation, California State University at Chico",Public radio,California
KFPT,790 AM,Clovis,"Fat Dawgs 7 Broadcasting, LLC",Sports (ESPN),California
KFQM-LP,101.5,Los Angeles,Craft & Folk Art Museum,NA,California
KFRB,91.3 FM,Bakersfield,"Family Stations, Inc.",Christian radio (Family Radio),California
KFRC-FM,106.9 FM,San Francisco,"Audacy License, LLC",News,California
KFRG,95.1 FM,San Bernardino,"Audacy License, LLC",Country,California
KFRN,1280 AM,Long Beach,"Family Stations, Inc.",Christian radio (Family Radio),California
KFRR,104.1 FM,Woodlake,One Putt,Alternative rock,California
KFRS,89.9 FM,Soledad,"Family Stations, Inc.",Christian radio (Family Radio),California
KFSD,1450 AM,Escondido,IHS Media,Spanish Catholic,California
KFSG,1690 AM,Roseville,"Way Broadcasting Licensee, LLC",Multilingual,California
KFSH-FM,95.9 FM,La Mirada,"New Inspiration Broadcasting Company, Inc.",Contemporary Christian,California
KFSO-FM,92.9 FM,Visalia,"iHM Licenses, LLC",Spanish Adult hits,California
KFSR,90.7 FM,Fresno,California State University – Fresno,Variety,California
KFUG-LP,101.1 FM,Crescent City,"KFUG Community Radio, Inc.",Variety,California
KFWB,980 AM,Los Angeles,Lotus Los Angeles Corp.,Regional Mexican,California
KFXM-LP,98.3 FM,Lancaster,The Organization for the Preservation & Cultivation of Radio,Oldies,California
KFYV,105.5 FM,Ojai,Gold Coast Broadcasting LLC,Top 40/CHR,California
KFZR-LP,93.3 FM,Frazier Park,Mountain Radio,Variety,California
KGAM,106.3 FM,Merced,"Lazer Licenses, LLC",Spanish AC,California
KGAP-LP,96.7 FM,Los Angeles,Materials & Applications,NA,California
KGAR-LP,93.3 FM,Lemoore,Lemoore Union High School District,Variety,California
KGAY,1270 AM,Thousand Palms,KGAY PSP,LGBTQ programming,California
KGB,760 AM,San Diego,"iHM Licenses, LLC",Sports (FSR),California
KGB-FM,101.5 FM,San Diego,"iHM Licenses, LLC",Classic rock,California
KGBA,1490 AM,Calexico,"The Voice of International Christian Evangelism, Inc.",Contemporary Christian,California
KGBA-FM,100.1 FM,Holtville,"The Voice of International Christian Evangelism, Inc.",Contemporary Christian,California
KGBB,103.9 FM,Edwards,"Adelman Broadcasting, Inc.",Adult hits,California
KGBN,1190 AM,Anaheim,Korean Gospel Broadcasting Network,Korean,California
KGCE-LP,107.9 FM,Modesto,"Grace Orthodox Presbyterian Church of Modesto, CA",Religious Teaching,California
KGDM-LP,105.3 FM,Merced,Calvary Chapel of Merced,Contemporary Christian,California
KGDP-FM,90.5 FM,Santa Maria,"Family Life Broadcasting, Inc.",Religious (Family Life Radio),California
KGED,1680 AM,Fresno,"Bendita Eucarista Radio, Inc.",Regional Mexican,California
KGEN,1370 AM,Tulare,"JA Ventures, Inc.",Regional Mexican,California
KGEN-FM,94.5 FM,Hanford,"JA Ventures, Inc.",Regional Mexican,California
KGEO,1230 AM,Bakersfield,AGM California,Sports (ESPN),California
KGFI-LP,101.5 FM,Anaheim,G Final Cut Inc,Variety,California
KGFM,101.5 FM,Bakersfield,AGM California,Adult hits,California
KGGI,99.1 FM,Riverside,"iHM Licenses, LLC",Rhythmic contemporary,California
KGGN,102.5 FM,Hemet,First Baptist Church of Hemet,Contemporary Christian,California
KGGV-LP,95.1 FM,Guerneville,Multi Media Educational Foundation,Community radio,California
KGIC-LP,105.5 FM,Corona,Andres Serrano Ministries,Spanish Religious,California
KGIG-LP,106.1 FM,Salida,Fellowship Of The Earth (Fote),Variety,California
KGIL,98.5 FM,Johannesburg,"Adelman Broadcasting, Inc.",Country,California
KGMX,106.3 FM,Lancaster,High Desert Broadcasting LLC,Top 40/CHR,California
KGMZ-FM,95.7 FM,San Francisco,"Audacy License, LLC",Sports (FSR),California
KGO,810 AM,San Francisco,Radio License Holdings LLC,Sports gambling,California
KGOE,1480 AM,Eureka,"Bicoastal Media Licenses II, LLC",News/Talk,California
KGPC-LP,96.9 FM,Oakland,Peralta Community College District,Variety,California
KGRB,94.3 FM,Jackson,"Lazer Licenses, LLC",Regional Mexican,California
KGST,1600 AM,Fresno,Lotus Fresno Corp.,Spanish Sports,California
KGSV,660 AM,Oildale,XL Media (CA) Inc.,Punjabi Music,California
KGUA,88.3 FM,Gualala,Native Media Resource Center,Variety,California
KGXX,100.7 FM,Susanville,"Independence Rock Media, LLC",Country,California
KGXY-LP,99.3 FM,Muir Beach,Galaxy Cat,Variety,California
KGZO,90.9 FM,Shafter,"The Association for Community Education, Inc.",Spanish Christian,California
KHAP,89.1 FM,Chico,"Family Stations, Inc.",Christian radio (Family Radio),California
KHAY,100.7 FM,Ventura,Cumulus Licensing LLC,Country,California
KHCF,89.9 FM,Morgan Hill,"Common Frequency, Inc.",Variety,California
KHCS,91.7 FM,Palm Desert,Educational Media Foundation,Worship music (Air1),California
KHCV,104.3 FM,Mecca,Iglesia Pentecostal Vispera Del Fin,Spanish Contemporary Christian,California
KHDC,90.9 FM,Chualar,"Radio Bilingue, Inc.",Spanish Variety,California
KHDR,96.9 FM,Lenwood,The Drive LLC,Rock,California
KHDZ-LP,104.5 FM,Porterville,Iglesia del Pueblo,Spanish Religious,California
KHEC,91.1 FM,Crescent City,Southern Oregon University,Classical,California
KHEX,100.3 FM,Concow,"Independence Rock Media, LLC",Classic country,California
KHGE,102.7 FM,Fresno,"iHM Licenses, LLC",Country,California
KHHM,101.9 FM,Shingle Springs,"Entravision Holdings, LLC",Bilingual CHR,California
KHHT,98.9 FM,Mettler,Point Five LLC,Silent,California
KHHZ,97.7 FM,Gridley,"Bustos Media Holdings, LLC",Regional Mexican,California
KHIP,104.3 FM,Gonzales,"SMG-Monterey, LLC",Classic rock,California
KHIT-FM,107.1 FM,Madera,Lotus Fresno Corp.,Spanish AC,California
KHJ,930 AM,Los Angeles,"Relevant Radio, Inc.",Ranchero,California
KHKK,104.1 FM,Modesto,"Radio License Holding CBC, LLC",Classic rock,California
KHKL,91.9 FM,Laytonville,Educational Media Foundation,Contemporary Christian (K-Love),California
KHMJ,95.1 FM,Trona,"Hispanic Target Media, Inc.",Regional Mexican,California
KHMS,88.5 FM,Victorville,Faith Communications Corp.,Contemporary Christian,California
KHMU,100.9 FM,Buttonwillow,Hispanic Target Media Inc.,Regional Mexican,California
KHMV-LP,100.9 FM,Half Moon Bay,Community Media Foundation,Variety,California
KHOP,95.1 FM,Oakdale,"Radio License Holding CBC, LLC",Top 40/CHR,California
KHOT,1250 AM,Madera,"Relevant Radio, Inc.",Catholic,California
KHPY,1670 AM,Moreno Valley,El Sembrador Ministries,Catholic (Spanish),California
KHRD,103.1 FM,Redding,"Results Radio of Redding Licensee, LLC",Classic rock,California
KHRI,90.7 FM,Hollister,Educational Media Foundation,Worship music (Air1),California
KHRQ,94.9 FM,Baker,The Drive LLC,Rock,California
KHSF,90.1 FM,Ferndale,Humboldt State University,Public radio,California
KHSG,89.9 FM,Garberville,Humboldt State University,Public radio,California
KHSH-LP,94.3 FM,Redlands,Calvary Chapel of Redlands d/b/a Packinghouse Christian FWP,Religious Teaching,California
KHSL-FM,103.5 FM,Paradise,"Deer Creek Broadcasting, LLC",Country,California
KHSM,103.3 FM,McKinleyville,Humboldt State University,Public radio,California
KHSQ,107.7 FM,Trinidad,Humboldt State University,Spanish,California
KHSR,91.9 FM,Crescent City,Humboldt State University KHSU-FM,Public radio,California
KHSU,90.5 FM,Arcata,Humboldt State University,Public radio,California
KHTH,101.7 FM,Santa Rosa,"Amaturo Sonoma Media Group, LLC",Top 40/CHR,California
KHTI,103.9 FM,Lake Arrowhead,"All Pro Broadcasting, Inc.",Rhythmic Hot AC,California
KHTK,1140 AM,Sacramento,Bonneville International Corporation,Sports (CBS),California
KHTN,104.7 FM,Planada,"SMG-Merced, LLC",Rhythmic contemporary,California
KHTS,1220 AM,Canyon Country,"Jeri Lyn Broadcasting, Inc.",Full service,California
KHTS-FM,93.3 FM,El Cajon,"iHM Licenses, LLC",Top 40/CHR,California
KHTY,970 AM,Bakersfield,"iHM Licenses, LLC",Sports (FSR),California
KHUG-LP,97.5 FM,Castaic,Slaon Canyon Communications,Variety,California
KHUM,104.7 FM,Cutten,"Lost Coast Communications, Inc.",Freeform (radio format),California
KHWA,102.3 FM,Weed,Southern Oregon University,Public radio,California
KHWY,98.9 FM,Essex,Heftel Broadcasting Company LLC,"Hot AC, Travelers info",California
KHYL,101.1 FM,Auburn,"iHM Licenses, LLC",Classic hip hop,California
KHYZ,99.7 FM,Mountain Pass,Heftel Broadcasting Company LLC,"Hot AC, Travelers info",California
KIBC,90.5 FM,Burney,Burney Educational Broadcasting Foundation,Christian radio,California
KIBS,100.7 FM,Bishop,"Great Country Broadcasting, Inc.",Country,California
KIDE,91.3 FM,Hoopa,Hoopa Valley,Community radio,California
KIDI-FM,105.1 FM,Lompoc,Emerald Wave Media,Spanish Contemporary,California
KIFM,1320 AM,West Sacramento,"Audacy License, LLC",Sports (ESPN),California
KIGS,620 AM,Hanford,Akal Broadcasting Corporation,Punjabi Music,California
KIHC,890 AM,Arroyo Grande,"Relevant Radio, Inc.",Catholic,California
KIHH,1400 AM,Eureka,"Relevant Radio, Inc.",Catholic,California
KIHT,104.7 FM,Amboy,Point Five LLC,Silent,California
KIID,1470 AM,Sacramento,"Punjabi American Media, LLC",Punjabi Music,California
KIIS-FM,102.7 FM,Los Angeles,"iHM Licenses, LLC",Top 40/CHR,California
KIIW-LP,93.3 FM,Dobbins,"Gold Country Radio, Inc.",Religious (Radio 74 Internationale),California
KILN-LP,99.1 FM,Alturas,The Art Center,Variety,California
KIMU-LP,98.1 FM,Stockton,"With Our Words, Inc.",Variety,California
KIND-LP,94.1 FM,Oxnard,Mixteco/Indigena Community Organizing Project,"Spanish, Mixteco, Zapoteco, Purepecha and other indigenous languages",California
KINS-FM,106.3 FM,Blue Lake,"Eureka Broadcasting Co., Inc.",News/Talk,California
KIOI,101.3 FM,San Francisco,"iHM Licenses, LLC",Hot AC,California
KION,1460 AM,Salinas,"iHM Licenses, LLC",News/Talk,California
KIOO,99.7 FM,Porterville,Momentum Broadcasting LP,Classic rock,California
KIOZ,105.3 FM,San Diego,"iHM Licenses, LLC",Active rock,California
KIPE,89.7 FM,Pine Hills,"Ink People, Inc.",Variety,California
KIPW-LP,103.1 FM,Salinas,Iglesia Penetecostal Nueva Vida,Spanish Religious,California
KIQI,1010 AM,San Francisco,"Multicultural Radio Broadcasting Licensee, LLC",Spanish brokered,California
KIQQ-FM,103.7 FM,Newberry Springs,"Lazer Licenses, LLC",Regional Mexican,California
KIQS,1560 AM,Willows,"Independence Rock Media, LLC",Regional Mexican,California
KIRN,670 AM,Simi Valley,Lotus Oxnard Corp.,Iranian,California
KIRV,1510 AM,Fresno,"Centro Cristiano Viva Abundante, Inc.",Christian radio,California
KISL,88.7 FM,Avalon,Catalina Island Performing Arts Foundation,Public radio,California
KISQ,98.1 FM,San Francisco,"iHM Licenses, LLC",Soft AC,California
KIST-FM,107.7 FM,Carpinteria,Rincon Broadcasting LS LLC,Regional Mexican,California
KISV,94.1 FM,Bakersfield,AGM California,Rhythmic contemporary,California
KITS,105.3 FM,San Francisco,"Audacy License, LLC",Adult hits,California
KIWI,102.9 FM,Mcfarland,Lotus Bakersfield Corp.,Regional Mexican,California
KIXA,106.5 FM,Lucerne Valley,EDB VV License LLC,Classic rock,California
KIXF,101.5 FM,Baker,Heftel Broadcasting Company LLC,Country,California
KIXW,960 AM,Apple Valley,EDB VV License LLC,News/Talk,California
KIXW-FM,107.3 FM,Lenwood,Heftel Broadcasting Company LLC,Country,California
KJAI,89.5 FM,Ojai,Southern California Public Radio,Christian Hits,California
KJAY,1430 AM,Sacramento,Teresa And Trudi Powell Co-Executors,World Ethnic,California
KJBU-LP,99.1 FM,Oxnard,The Community Advocacy Coalition of Ventura County,Variety,California
KJCN,107.5 FM,Sutter Creek,Sonora Sierra Heritage Foundation,NA,California
KJCU,89.9 FM,Fort Bragg,CSN International,Christian (CSN International),California
KJDJ,1030 AM,San Luis Obispo,"Centro Cristiano Vida Abundante, Inc.",Spanish Christian,California
KJDX,93.3 FM,Susanville,Sierra Broadcasting Corp.,Country,California
KJEE,92.9 FM,Montecito,"Montecito FM, Inc",Alternative rock,California
KJFX,95.7 FM,Fresno,One Putt,Classic rock,California
KJJZ,95.9 FM,Indian Wells,"RM Broadcasting, LLC",Oldies,California
KJLH,102.3 FM,Compton,Taxi License Corp.,Urban adult contemporary,California
KJLV,97.7 FM,Los Altos,Educational Media Foundation,Contemporary Christian (K-Love),California
KJMB-FM,100.3 FM,Blythe,James M. Morris,Adult contemporary,California
KJNI-LP,101.7 FM,Lake Elsinore,Jennifer Smart Foundation,Pre-Teen,California
KJNY,99.1 FM,Ferndale,"Mad River Radio, Inc.",Top 40/CHR,California
KJOI-LP,104.3 FM,Biola,Western Educational Alliance Inc.,Adult standards/Classic hits,California
KJOP,1240 AM,Lemoore,"Relevant Radio, Inc.",Catholic,California
KJOR,104.1 FM,Windsor,"Lazer Licenses, LLC",Spanish Oldies,California
KJOY,99.3 FM,Stockton,"Radio License Holding CBC, LLC",Adult contemporary,California
KJPG,1050 AM,Frazier Park,"Relevant Radio, Inc.",Catholic,California
KJPR,1330 AM,Shasta Lake City,Southern Oregon University,Public radio,California
KJSN,102.3 FM,Modesto,"iHM Licenses, LLC",Adult contemporary,California
KJTZ-LP,96.1 FM,Alameda,Alameda Unified School District,Variety,California
KJUG-FM,106.7 FM,Tulare,Momentum Broadcasting LP,Country,California
KJVA-LP,94.3 FM,San Bernardino,Vida Abundante,Spanish Religious,California
KJVV,101.9 FM,Twentynine Palms,Virtues Communications Network LLC,Christian radio,California
KJWL,99.3 FM,Fresno,John Edward Ostlund,Classic hits,California
KJZY,93.7 FM,Sebastopol,Redwood Empire Stereocasters,Smooth jazz,California
KKAL,92.5 FM,Paso Robles,AGM California,Adult album alternative,California
KKBB,99.3 FM,Bakersfield,Alpha Media Licensee LLC,Rhythmic oldies,California
KKBN,93.5 FM,Twain Harte,Clarke Broadcasting Corp.,Country,California
KKBZ,105.1 FM,Auberry,Lotus Fresno Corp.,Mainstream rock,California
KKCM,92.1 FM,Thermal,Copper Mountain Broadcasting Company,Country,California
KKCY,103.1 FM,Colusa,"Results Radio of Chico Licensee, LLC",Country,California
KKDD,1290 AM,San Bernardino,"Relevant Radio, Inc.",Catholic,California
KKDO,94.7 FM,Fair Oaks,"Audacy License, LLC",Alternative rock,California
KKDS-LP,97.7 FM,Eureka,"Dell' Arte, Inc.",Variety,California
KKDV,92.1 FM,Walnut Creek,Alpha Media Licensee LLC,Country,California
KKFS,103.9 FM,Lincoln,"New Inspiration Broadcasting Company, Inc.",Contemporary Christian,California
KKGO,105.1 FM,Los Angeles,"Mt. Wilson FM Broadcasters, Inc.",Country,California
KKGX,920 AM,Palm Springs,IVox Radio LLC,Talk,California
KKHB,105.5 FM,Eureka,"Bicoastal Media Licenses II, LLC",Oldies,California
KKHK,95.5 FM,Carmel,"SMG-Monterey, LLC",Adult hits,California
KKHP-LP,97.1 FM,Oroville,Blue Feather Media Group,Classic hits,California
KKIQ,101.7 FM,Livermore,Alpha Media Licensee LLC,Adult contemporary,California
KKJD,91.3 FM,Borrego Springs,Borrego Springs Christian Center,Christian radio,California
KKJG,98.1 FM,San Luis Obispo,AGM California,Country,California
KKJL,1400 AM,San Luis Obispo,"Pacific Coast Media, LLC",Adult standards,California
KKJZ,88.1 FM,Long Beach,"California State University, Long Beach Research Foundation",Jazz,California
KKLA-FM,99.5 FM,Los Angeles,"New Inspiration Broadcasting Company, Inc.",Christian talk,California
KKLC,107.9 FM,Fall River Mills,Educational Media Foundation,Contemporary Christian (K-Love),California
KKLJ,100.1 FM,Julian,Educational Media Foundation,Worship music (Air1),California
KKLM,104.1 FM,Murrieta,Educational Media Foundation,Contemporary Christian (K-Love),California
KKLP,91.1 FM,Perris,Educational Media Foundation,Contemporary Christian (K-Love),California
KKLQ,100.3 FM,Los Angeles,Educational Media Foundation,Contemporary Christian (K-Love),California
KKMC,880 AM,Gonzales,El Sembrador Ministries,Christian radio,California
KKRN,88.5 FM,Bella Vista,Acorn Community Enterprises,Variety,California
KKRO,102.7 FM,Red Bluff,Educational Media Foundation,Worship music (Air1),California
KKSF,910 AM,Oakland,"iHM Licenses, LLC",News (BIN),California
KKSM,1320 AM,Oceanside,Palomar Community College District,Variety,California
KKTO,90.5 FM,Tahoe City,"California State University, Sacramento",Public radio,California
KKUP,91.5 FM,Cupertino,"Assurance Science Foundation, Inc.",Variety,California
KKUU,92.7 FM,Indio,Alpha Media Licensee LLC,Rhythmic contemporary,California
KKXS,96.1 FM,Shingletown,"Results Radio of Redding Licensee, LLC",Sports (CBS),California
KKXX,930 AM,Paradise,"Butte Broadcasting Company, Inc.",Christian radio,California
KKXX-FM,93.1 FM,Shafter,AGM California,Top 40/CHR,California
KKZI,1310 AM,Barstow,Jeff Chang,Regional Mexican,California
KKZQ,100.1 FM,Tehachapi,High Desert Broadcasting LLC,Classic rock,California
KLAA,830 AM,Orange,"LAA 1, LLC",Sports (ESPN),California
KLAC,570 AM,Los Angeles,"Los Angeles Broadcasting Partners, LLC",Sports (FSR),California
KLAI,90.3 FM,Laytonville,"Redwood Community Radio, Inc.",Variety,California
KLAX-FM,97.9 FM,East Los Angeles,"KLAX Licensing, Inc.",Regional Mexican,California
KLBN,101.9 FM,Fresno,Lotus Fresno Corp.,Regional Mexican,California
KLBP-LP,99.1 FM,Long Beach,Long Beach Community Television and Media Corporation,Variety,California
KLBS,1330 AM,Los Banos,"Ethnic Radio of Los Banos, Inc.",Portuguese,California
KLCA,96.5 FM,Tahoe City,"Reno Media Group, L.P.",Top 40/CHR,California
KLDB-LP,99.1,Los Angeles,"Future Roots, Inc.",NA,California
KLDD,91.9 FM,McCloud,Southern Oregon University,Classical,California
KLDI-LP,95.5 FM,Lodi,Dream Ahead the Empowerment Initiative,Variety,California
KLFF,89.3 FM,San Luis Obispo,"Family Life Broadcasting, Inc.",Religious (Family Life Radio),California
KLGE,94.1 FM,Hydesville,"Lost Coast Communications, Inc.",Adult standards,California
KLHC,1350 AM,Bakersfield,"Punjabi American Media, LLC",Punjabi,California
KLIB,1110 AM,Roseville,"Way Broadcasting Licensee, LLC",Vietnamese,California
KLIE-LP,90.3 FM,Fountain Valley,International Crusade of the Penny,Spanish/Variety,California
KLIV,1590 AM,San Jose,Pham Radio Communication LLC,Silent,California
KLJR-FM,96.7 FM,Santa Paula,"Lazer Licenses, LLC",Regional Mexican,California
KLLC,97.3 FM,San Francisco,"Audacy License, LLC",Hot AC,California
KLLE,107.9 FM,North Fork,"Univision Radio Illinois, Inc.",Spanish AC,California
KLLG-LP,97.9 FM,Willits,Little Lake Grange #670,Variety,California
KLLI,93.9 FM,Los Angeles,"KXOS Radio Holdings, LLC",Rhythmic Contemporary/Spanish CHR,California
KLLK,1250 AM,Willits,"Bicoastal Media Licenses, LLC",Classic hits,California
KLLY,95.3 FM,Oildale,Alpha Media Licensee LLC,Top 40/CHR,California
KLMG,97.9 FM,Esparto,"Lazer Licenses, LLC",Spanish Hits,California
KLMM,94.1 FM,Oceano,"Lazer Licenses, LLC",Regional Mexican,California
KLNV,106.5 FM,San Diego,"Univision Radio Illinois, Inc.",Regional Mexican,California
KLOA,1240 AM,Ridgecrest,"Adelman Broadcasting, Inc.",Sports (CBS),California
KLOB,94.7 FM,Thousand Palms,"Entravision Holdings, LLC",Spanish Adult hits,California
KLOC,1390 AM,Turlock,"La Favorita Radio Network, Inc.",Spanish Christian,California
KLOK,1170 AM,San Jose,"KLOK Media, Inc.",World Ethnic,California
KLOK-FM,99.5 FM,Greenfield,"Entravision Holdings, LLC",Regional Mexican,California
KLOQ-FM,98.7 FM,Winton,"SMG-Merced, LLC",Regional Mexican,California
KLOS,95.5 FM,Los Angeles,"KLOS Radio Holdings, LLC",Rock,California
KLPC-LP,94.3 FM,Lone Pine,Lone Pine Advent Believers,Religious,California
KLQS-LP,97.5 FM,Agua Dulce,Lancaster Educational Broadcast Service,Variety,California
KLQV,102.9 FM,San Diego,"Univision Radio Illinois, Inc.",Spanish Adult hits,California
KLRD,90.1 FM,Yucaipa,Educational Media Foundation,Worship music (Air1),California
KLRK,95.3 FM,Los Gatos,Educational Media Foundation,Contemporary Christian (K-Love),California
KLRS,89.3 FM,Linden,Educational Media Foundation,Contemporary Christian (K-Love),California
KLSB,97.5 FM,Goleta,Educational Media Foundation,Contemporary Christian (K-Love),California
KLSD,1360 AM,San Diego,"iHM Licenses, LLC",Talk,California
KLTX,1390 AM,Long Beach,"Hi-Favor Broadcasting, LLC",Spanish Christian,California
KLUK,97.9 FM,Needles,"Cameron Broadcasting, Inc.",Classic rock,California
KLUN,103.1 FM,Paso Robles,"Lazer Licenses, LLC",Regional Mexican,California
KLVB,99.5 FM,Citrus Heights,Educational Media Foundation,Contemporary Christian (K-Love),California
KLVC,88.3 FM,Magalia,Educational Media Foundation,Contemporary Christian (K-Love),California
KLVE,107.5 FM,Los Angeles,"Univision Radio Illinois, Inc.",Spanish AC,California
KLVG,103.7 FM,Garberville,Educational Media Foundation,Contemporary Christian (K-Love),California
KLVJ,102.1 FM,Encinitas,Educational Media Foundation,Contemporary Christian (K-Love),California
KLVM,88.9 FM,Santa Cruz,Educational Media Foundation,Contemporary Christian (K-Love),California
KLVN,88.3 FM,Livingston,Educational Media Foundation,Contemporary Christian (K-Love),California
KLVR,91.9 FM,Middletown,Educational Media Foundation,Contemporary Christian (K-Love),California
KLVS,107.3 FM,Livermore,"San Joaquin Broadcasting Co., Non-Profit Corporation",Contemporary Christian (K-Love),California
KLVY,91.1 FM,Fairmead,Educational Media Foundation,Contemporary Christian (K-Love),California
KLWG,88.1 FM,Lompoc,Calvary Chapel of Lompoc,Christian radio,California
KLXB,105.1 FM,Bermuda Dunes,Educational Media Foundation,Contemporary Christian (K-Love),California
KLXD,89.5 FM,Victorville,Educational Media Foundation,Contemporary Christian (K-Love),California
KLXF,90.5 FM,Modesto,Educational Media Foundation,Contemporary Christian (K-Love),California
KLXP,89.7 FM,Randsburg,Educational Media Foundation,Contemporary Christian (K-Love),California
KLXR,1230 AM,Redding,Michael R. Quinn,Catholic religious,California
KLXY,90.5 FM,Woodlake,Educational Media Foundation,Contemporary Christian (K-Love),California
KLYY,97.5 FM,Riverside,"Entravision Holdings, LLC",Spanish adult hits,California
KLZN,1490 AM,Susanville,"Independence Rock Media, LLC",Sports (FSR),California
KMAI-LP,97.9 FM,Alturas,"California, State of",Traffic Info,California
KMAK,100.3 FM,Orange Cove,"KMAK-FM, LLC",Regional Mexican,California
KMBX,700 AM,Soledad,"Entravision Holdings, LLC",Catholic (Spanish),California
