Entity,Code,Year,gini_mi_eq,gini_dhi_eq
South Korea,KOR,2017,NA,0.352
South Korea,KOR,2018,NA,0.342
South Korea,KOR,2019,NA,0.337
South Korea,KOR,2020,NA,0.33
South Korea,KOR,2021,NA,0.332
Spain,ESP,2004,0.472,0.331
Spain,ESP,2005,0.467,0.326
Spain,ESP,2006,0.456,0.318
Spain,ESP,2007,0.451,0.323
Spain,ESP,2008,0.465,0.326
Spain,ESP,2009,0.487,0.332
Spain,ESP,2010,0.507,0.339
Spain,ESP,2011,0.506,0.34
Spain,ESP,2012,0.51,0.334
Spain,ESP,2013,0.524,0.345
Spain,ESP,2014,0.525,0.344
Spain,ESP,2015,0.525,0.345
Spain,ESP,2016,0.518,0.341
Spain,ESP,2017,0.508,0.332
Spain,ESP,2018,0.508,0.33
Spain,ESP,2019,0.491,0.319
Spain,ESP,2020,0.517,0.328
Spain,ESP,2021,0.498,0.318
Spain,ESP,2022,0.481,0.314
Spain,ESP,1980,NA,0.319
Spain,ESP,1985,NA,0.315
Spain,ESP,1990,NA,0.302
Spain,ESP,1993,NA,0.342
Spain,ESP,1994,NA,0.339
Spain,ESP,1995,NA,0.343
Spain,ESP,1996,NA,0.356
Spain,ESP,1997,NA,0.343
Spain,ESP,1998,NA,0.335
Spain,ESP,1999,NA,0.334
Spain,ESP,2000,NA,0.342
Sweden,SWE,1995,0.467,0.221
Sweden,SWE,2000,0.463,0.251
Sweden,SWE,2001,0.447,0.249
Sweden,SWE,2002,0.448,0.245
Sweden,SWE,2003,0.438,0.24
Sweden,SWE,2004,0.442,0.239
Sweden,SWE,2005,0.444,0.243
Sweden,SWE,2006,0.446,0.253
Sweden,SWE,2007,0.442,0.261
Sweden,SWE,2008,0.429,0.26
Sweden,SWE,2009,0.445,0.27
Sweden,SWE,2010,0.441,0.269
Sweden,SWE,2011,0.437,0.275
Sweden,SWE,2012,0.436,0.273
Sweden,SWE,2013,0.45,0.282
Sweden,SWE,2014,0.451,0.279
Sweden,SWE,2015,0.463,0.29
Sweden,SWE,2016,0.464,0.286
Sweden,SWE,2017,0.454,0.291
Sweden,SWE,2018,0.451,0.284
Sweden,SWE,2019,0.452,0.286
Sweden,SWE,2020,0.449,0.279
Sweden,SWE,2021,0.458,0.285
Sweden,SWE,1975,NA,0.216
Sweden,SWE,1981,NA,0.198
Sweden,SWE,1987,NA,0.212
Sweden,SWE,1992,NA,0.229
Switzerland,CHE,1982,0.399,0.316
Switzerland,CHE,1992,0.389,0.31
Switzerland,CHE,2000,0.351,0.281
Switzerland,CHE,2002,0.346,0.273
Switzerland,CHE,2004,0.346,0.267
Switzerland,CHE,2006,0.364,0.3
Switzerland,CHE,2007,0.373,0.308
Switzerland,CHE,2008,0.373,0.306
Switzerland,CHE,2009,0.369,0.297
Switzerland,CHE,2010,0.374,0.297
Switzerland,CHE,2011,0.366,0.289
Switzerland,CHE,2012,0.367,0.286
Switzerland,CHE,2013,0.386,0.296
Switzerland,CHE,2014,0.382,0.299
Switzerland,CHE,2015,0.387,0.297
Switzerland,CHE,2016,0.392,0.301
Switzerland,CHE,2017,0.385,0.301
Switzerland,CHE,2018,0.393,0.301
Switzerland,CHE,2019,0.401,0.31
United Kingdom,GBR,1968,0.332,0.245
United Kingdom,GBR,1969,0.344,0.252
United Kingdom,GBR,1970,0.343,0.254
United Kingdom,GBR,1971,0.357,0.264
United Kingdom,GBR,1972,0.349,0.258
United Kingdom,GBR,1973,0.356,0.26
United Kingdom,GBR,1974,0.36,0.261
United Kingdom,GBR,1975,0.358,0.249
United Kingdom,GBR,1976,0.37,0.249
United Kingdom,GBR,1977,0.368,0.245
United Kingdom,GBR,1978,0.376,0.25
United Kingdom,GBR,1979,0.375,0.252
United Kingdom,GBR,1980,0.387,0.262
United Kingdom,GBR,1981,0.409,0.269
United Kingdom,GBR,1982,0.431,0.273
United Kingdom,GBR,1983,0.431,0.272
United Kingdom,GBR,1984,0.432,0.27
United Kingdom,GBR,1985,0.444,0.285
United Kingdom,GBR,1986,0.455,0.298
United Kingdom,GBR,1987,0.469,0.314
United Kingdom,GBR,1988,0.459,0.323
United Kingdom,GBR,1989,0.448,0.315
United Kingdom,GBR,1990,0.464,0.333
United Kingdom,GBR,1991,0.467,0.329
United Kingdom,GBR,1992,0.479,0.325
United Kingdom,GBR,1993,0.49,0.327
United Kingdom,GBR,1994,0.509,0.341
United Kingdom,GBR,1995,0.511,0.337
United Kingdom,GBR,1996,0.503,0.334
United Kingdom,GBR,1997,0.495,0.337
United Kingdom,GBR,1998,0.505,0.344
United Kingdom,GBR,1999,0.507,0.348
United Kingdom,GBR,2000,0.521,0.362
United Kingdom,GBR,2001,0.509,0.351
United Kingdom,GBR,2002,0.493,0.333
United Kingdom,GBR,2003,0.495,0.328
United Kingdom,GBR,2004,0.494,0.327
United Kingdom,GBR,2005,0.501,0.334
United Kingdom,GBR,2006,0.502,0.339
United Kingdom,GBR,2007,0.489,0.327
United Kingdom,GBR,2008,0.497,0.33
United Kingdom,GBR,2009,0.509,0.331
United Kingdom,GBR,2010,0.501,0.319
United Kingdom,GBR,2011,0.491,0.313
United Kingdom,GBR,2012,0.499,0.312
United Kingdom,GBR,2013,0.484,0.303
United Kingdom,GBR,2014,0.486,0.313
United Kingdom,GBR,2015,0.489,0.315
United Kingdom,GBR,2016,0.482,0.311
United Kingdom,GBR,2017,0.475,0.31
United Kingdom,GBR,2018,0.479,0.317
United Kingdom,GBR,2019,0.469,0.311
United Kingdom,GBR,2020,0.474,0.304
United Kingdom,GBR,2021,0.479,0.302
United States,USA,1970,0.399,0.324
United States,USA,1972,0.41,0.328
United States,USA,1973,0.408,0.322
United States,USA,1974,0.409,0.318
United States,USA,1975,0.422,0.319
United States,USA,1976,0.419,0.318
United States,USA,1977,0.422,0.316
United States,USA,1978,0.417,0.31
United States,USA,1979,0.419,0.313
United States,USA,1980,0.424,0.31
United States,USA,1981,0.429,0.316
United States,USA,1982,0.442,0.329
United States,USA,1983,0.446,0.337
United States,USA,1984,0.44,0.338
United States,USA,1985,0.445,0.341
United States,USA,1986,0.447,0.342
United States,USA,1987,0.449,0.339
United States,USA,1988,0.451,0.344
United States,USA,1989,0.454,0.347
United States,USA,1990,0.453,0.345
United States,USA,1991,0.456,0.345
United States,USA,1992,0.464,0.351
United States,USA,1993,0.489,0.373
United States,USA,1994,0.487,0.369
United States,USA,1995,0.482,0.365
United States,USA,1996,0.483,0.368
United States,USA,1997,0.486,0.372
United States,USA,1998,0.48,0.367
United States,USA,1999,0.48,0.367
United States,USA,2000,0.48,0.37
United States,USA,2001,0.486,0.374
United States,USA,2002,0.484,0.373
United States,USA,2003,0.487,0.379
United States,USA,2004,0.488,0.377
United States,USA,2005,0.491,0.386
United States,USA,2006,0.491,0.392
United States,USA,2007,0.483,0.383
United States,USA,2008,0.492,0.383
United States,USA,2009,0.504,0.377
United States,USA,2010,0.505,0.371
United States,USA,2011,0.513,0.382
United States,USA,2012,0.512,0.383
United States,USA,2013,0.508,0.381
United States,USA,2014,0.508,0.386
United States,USA,2015,0.507,0.383
United States,USA,2016,0.507,0.385
United States,USA,2017,0.506,0.385
United States,USA,2018,0.506,0.391
United States,USA,2019,0.505,0.394
United States,USA,2020,0.521,0.376
United States,USA,2021,0.517,0.371
United States,USA,2022,0.512,0.393
United States,USA,2023,0.507,0.392
United States,USA,1963,NA,0.329
United States,USA,1964,NA,0.334
United States,USA,1965,NA,0.331
United States,USA,1966,NA,0.328
United States,USA,1967,NA,0.325
United States,USA,1968,NA,0.318
United States,USA,1969,NA,0.316
United States,USA,1971,NA,0.329
Uruguay,URY,2004,NA,0.435
Uruguay,URY,2005,NA,0.424
Uruguay,URY,2006,NA,0.431
Uruguay,URY,2007,NA,0.43
Uruguay,URY,2008,NA,0.428
Uruguay,URY,2009,NA,0.421
Uruguay,URY,2010,NA,0.408
Uruguay,URY,2011,NA,0.384
Uruguay,URY,2012,NA,0.358
Uruguay,URY,2013,NA,0.374
Uruguay,URY,2014,NA,0.367
Uruguay,URY,2015,NA,0.369
Uruguay,URY,2016,NA,0.365
Uruguay,URY,2017,NA,0.365
Uruguay,URY,2018,NA,0.366
Uruguay,URY,2019,NA,0.367
Uruguay,URY,2022,NA,0.383
Vietnam,VNM,2005,NA,0.369
Vietnam,VNM,2007,NA,0.401
Vietnam,VNM,2009,NA,0.398
Vietnam,VNM,2011,NA,0.364
Vietnam,VNM,2013,NA,0.35
