response_id,term,probability,order
3631,Almost No Chance,5,15
3631,Better than Even,60,16
3631,Will Happen,80,17
3631,Could Happen,40,18
3631,Probable,50,19
3630,About Even,50,1
3630,May Happen,65,2
3630,Remote Chance,10,3
3630,Little Chance,5,4
3630,Almost Certain,90,5
3630,Realistic Possibility,70,6
3630,Highly Likely,80,7
3630,Likely,75,8
3630,Better than Even,60,9
3630,Unlikely,5,10
3630,Will Happen,95,11
3630,Could Happen,68,12
3630,Improbable,3,13
3630,Almost No Chance,1,14
3630,Might Happen,40,15
3630,Chances are Slight,10,16
3630,Probable,70,17
3630,Very Good Chance,80,18
3630,Highly Unlikely,20,19
3629,Likely,75,1
3629,About Even,55,2
3629,Chances are Slight,40,3
3629,Remote Chance,20,4
3629,Might Happen,25,5
3629,Probable,65,6
3629,Almost Certain,99,7
3629,Little Chance,15,8
3629,Realistic Possibility,65,9
3629,Will Happen,99,10
3629,Unlikely,30,11
3629,Very Good Chance,75,12
3629,Highly Unlikely,5,13
3629,Highly Likely,80,14
3629,May Happen,35,15
3629,Better than Even,65,16
3629,Improbable,25,17
3629,Almost No Chance,5,18
3629,Could Happen,55,19
3628,Remote Chance,1,1
3628,Unlikely,10,2
3628,Highly Unlikely,5,3
3628,Highly Likely,100,4
3628,Will Happen,90,5
3628,Almost No Chance,1,6
3628,Could Happen,50,7
3628,Likely,70,8
3628,Probable,80,9
3628,Chances are Slight,10,10
3628,Almost Certain,90,11
3628,Realistic Possibility,65,12
3628,Little Chance,10,13
3628,Improbable,15,14
3628,About Even,50,15
3628,Better than Even,55,16
3628,Very Good Chance,80,17
3628,May Happen,60,18
3628,Might Happen,55,19
3627,About Even,50,1
3627,May Happen,25,2
3627,Remote Chance,10,3
3627,Little Chance,10,4
3627,Almost Certain,90,5
3627,Realistic Possibility,60,6
3627,Highly Likely,80,7
3627,Likely,75,8
3627,Better than Even,60,9
3627,Unlikely,25,10
3627,Will Happen,100,11
3627,Could Happen,40,12
3627,Improbable,20,13
3627,Almost No Chance,5,14
3627,Might Happen,40,15
3627,Chances are Slight,15,16
3627,Probable,75,17
3627,Very Good Chance,80,18
3627,Highly Unlikely,5,19
3626,Likely,90,1
3626,Probable,75,2
3626,Better than Even,60,3
3626,Highly Likely,99,4
3626,About Even,50,5
3626,Will Happen,80,6
3626,Very Good Chance,75,7
3626,Might Happen,75,8
3626,Chances are Slight,30,9
3626,Little Chance,20,10
3626,Improbable,20,11
3626,May Happen,60,12
3626,Remote Chance,65,13
3626,Highly Unlikely,10,14
3626,Almost Certain,90,15
3626,Could Happen,75,16
3626,Almost No Chance,20,17
3626,Realistic Possibility,75,18
3626,Unlikely,40,19
3625,Unlikely,5,1
3625,Might Happen,25,2
3625,Highly Likely,75,3
3625,Could Happen,30,4
3625,Will Happen,90,5
3625,Realistic Possibility,50,6
3625,Improbable,5,7
3625,May Happen,15,8
3625,Remote Chance,2,9
3625,Very Good Chance,75,10
3625,Almost Certain,90,11
3625,Chances are Slight,2,12
3625,Probable,65,13
3625,Almost No Chance,1,14
3625,Likely,75,15
3625,Little Chance,5,16
3625,Better than Even,60,17
3625,About Even,50,18
3625,Highly Unlikely,5,19
3624,Almost Certain,95,1
3624,Might Happen,50,2
3624,Very Good Chance,75,3
3624,Could Happen,66,4
3624,Highly Likely,85,5
3624,May Happen,50,6
3624,Unlikely,25,7
3624,Improbable,5,8
3624,Will Happen,100,9
3624,Probable,90,10
3624,Likely,85,11
3624,About Even,50,12
3624,Highly Unlikely,10,13
3624,Almost No Chance,1,14
3624,Remote Chance,15,15
3624,Better than Even,55,16
3624,Chances are Slight,25,17
3624,Realistic Possibility,70,18
3624,Little Chance,5,19
3623,Better than Even,51,1
3623,Highly Likely,80,2
3623,Improbable,10,3
3623,Chances are Slight,10,4
3623,Likely,80,5
3623,May Happen,50,6
3623,Almost Certain,90,7
3623,Unlikely,20,8
3623,Little Chance,10,9
3623,Almost No Chance,5,10
3623,Realistic Possibility,70,11
3623,About Even,50,12
3623,Probable,80,13
3623,Remote Chance,5,14
3623,Highly Unlikely,5,15
3623,Very Good Chance,75,16
3623,Could Happen,60,17
3623,Will Happen,90,18
3623,Might Happen,60,19
3622,Chances are Slight,10,1
3622,Almost No Chance,1,2
3622,Remote Chance,2,3
3622,About Even,50,4
3622,Little Chance,15,5
3622,Highly Unlikely,10,6
3622,Better than Even,55,7
3622,Will Happen,100,8
3622,Improbable,20,9
3622,Highly Likely,80,10
3622,Could Happen,40,11
3622,Probable,70,12
3622,Realistic Possibility,60,13
3622,May Happen,30,14
3622,Likely,70,15
3622,Very Good Chance,90,16
3622,Might Happen,30,17
3622,Almost Certain,95,18
3622,Unlikely,10,19
3621,Could Happen,20,1
3621,Almost Certain,90,2
3621,Highly Likely,80,3
3621,Improbable,5,4
3621,Remote Chance,10,5
3621,Realistic Possibility,55,6
3621,Will Happen,90,7
3621,About Even,50,8
3621,Likely,70,9
3621,Very Good Chance,70,10
3621,Little Chance,30,11
3621,Chances are Slight,10,12
3621,Probable,70,13
3621,Better than Even,60,14
3621,Might Happen,55,15
3621,Highly Unlikely,5,16
3621,Almost No Chance,10,17
3621,May Happen,60,18
3621,Unlikely,20,19
3620,Almost Certain,90,1
3620,Might Happen,60,2
3620,Very Good Chance,80,3
3620,Could Happen,60,4
3620,Highly Likely,80,5
3620,May Happen,60,6
3620,Unlikely,30,7
3620,Improbable,20,8
3620,Will Happen,95,9
3620,Probable,70,10
3620,Likely,70,11
3620,About Even,50,12
3620,Highly Unlikely,15,13
3620,Almost No Chance,5,14
3620,Remote Chance,20,15
3620,Better than Even,60,16
3620,Chances are Slight,25,17
3620,Realistic Possibility,70,18
3620,Little Chance,20,19
3619,Very Good Chance,100,1
3619,Highly Unlikely,5,2
3619,Realistic Possibility,80,3
3619,Little Chance,5,4
3619,Unlikely,10,5
3619,Likely,70,6
3619,Might Happen,60,7
3619,Highly Likely,89,8
3619,Chances are Slight,4,9
3619,Probable,60,10
3619,Almost Certain,100,11
3619,Improbable,1,12
3619,Better than Even,60,13
3619,Could Happen,50,14
3619,Will Happen,100,15
3619,May Happen,60,16
3619,About Even,50,17
3619,Remote Chance,20,18
3619,Almost No Chance,5,19
3618,Will Happen,100,1
3618,Almost Certain,80,2
3618,Realistic Possibility,65,3
3618,Very Good Chance,70,4
3618,Almost No Chance,10,5
3618,Could Happen,50,6
3618,Likely,70,7
3618,Probable,75,8
3618,Highly Unlikely,25,9
3618,Little Chance,15,10
3618,About Even,50,11
3618,Chances are Slight,15,12
3618,Might Happen,40,13
3618,Highly Likely,75,14
3618,May Happen,50,15
3618,Remote Chance,20,16
3618,Unlikely,30,17
3618,Improbable,10,18
3618,Better than Even,60,19
3617,Will Happen,100,1
3617,Almost Certain,95,2
3617,Almost No Chance,5,3
3617,Realistic Possibility,50,4
3617,Chances are Slight,5,5
3617,Better than Even,65,6
3617,Highly Unlikely,5,7
3617,About Even,50,8
3617,Improbable,5,9
3617,Little Chance,5,10
3617,Unlikely,5,11
3617,Could Happen,50,12
3617,Remote Chance,5,13
3617,Probable,90,14
3617,May Happen,50,15
3617,Highly Likely,95,16
3617,Very Good Chance,90,17
3617,Might Happen,20,18
3617,Likely,80,19
3616,About Even,50,1
3616,Highly Likely,95,2
3616,Might Happen,15,3
3616,Probable,60,4
3616,Highly Unlikely,5,5
3616,Almost No Chance,1,6
3616,Chances are Slight,20,7
3616,Almost Certain,99,8
3616,Very Good Chance,80,9
3616,Realistic Possibility,35,10
3616,Remote Chance,5,11
3616,May Happen,30,12
3616,Unlikely,20,13
3616,Could Happen,40,14
3616,Likely,65,15
3616,Better than Even,60,16
3616,Improbable,30,17
3616,Little Chance,15,18
3616,Will Happen,100,19
3615,May Happen,20,1
3615,Very Good Chance,70,2
3615,Highly Unlikely,5,3
3615,Might Happen,15,4
3615,Unlikely,35,5
3615,Likely,60,6
3615,Will Happen,100,7
3615,Almost Certain,95,8
3615,Realistic Possibility,85,9
3615,Could Happen,50,10
3615,Chances are Slight,5,11
3615,Little Chance,5,12
3615,About Even,50,13
3615,Better than Even,60,14
3615,Probable,75,15
3615,Almost No Chance,1,16
3615,Highly Likely,95,17
3615,Remote Chance,5,18
3615,Improbable,5,19
3614,Highly Unlikely,10,1
3614,Chances are Slight,20,2
3614,About Even,50,3
3614,Improbable,0,4
3614,Might Happen,60,5
3614,Will Happen,100,6
3614,Probable,75,7
3614,Almost No Chance,10,8
3614,Almost Certain,90,9
3614,Remote Chance,10,10
3614,Could Happen,75,11
3614,May Happen,65,12
3614,Very Good Chance,90,13
3614,Unlikely,10,14
3614,Likely,90,15
3614,Little Chance,10,16
3614,Highly Likely,90,17
3614,Better than Even,60,18
3614,Realistic Possibility,75,19
3613,May Happen,60,1
3613,Improbable,25,2
3613,Probable,75,3
3613,Almost Certain,90,4
3613,Highly Unlikely,10,5
3613,Better than Even,55,6
3613,Unlikely,20,7
3613,Remote Chance,5,8
3613,Very Good Chance,85,9
3613,Likely,80,10
3613,Almost No Chance,2,11
3613,Highly Likely,90,12
3613,About Even,50,13
3613,Little Chance,15,14
3613,Might Happen,55,15
3613,Chances are Slight,10,16
3613,Could Happen,55,17
3613,Realistic Possibility,70,18
3613,Will Happen,99,19
3612,Chances are Slight,10,1
3612,Likely,60,2
3612,Almost No Chance,5,3
3612,Very Good Chance,80,4
3612,Realistic Possibility,55,5
3612,About Even,50,6
3612,Probable,90,7
3612,May Happen,30,8
3612,Unlikely,40,9
3612,Better than Even,55,10
3612,Almost Certain,95,11
3612,Little Chance,10,12
3612,Highly Likely,90,13
3612,Might Happen,15,14
3612,Will Happen,100,15
3612,Improbable,0,16
3612,Remote Chance,1,17
3612,Highly Unlikely,5,18
3612,Could Happen,5,19
3611,Might Happen,25,1
3611,Almost No Chance,4,2
3611,Remote Chance,7,3
3611,Very Good Chance,90,4
3611,Could Happen,35,5
3611,Realistic Possibility,52,6
3611,Little Chance,10,7
3611,Almost Certain,95,8
3611,Highly Unlikely,10,9
3611,Probable,67,10
3611,Will Happen,100,11
3611,Likely,60,12
3611,Highly Likely,80,13
3611,May Happen,50,14
3611,Better than Even,60,15
3611,Chances are Slight,15,16
3611,Unlikely,15,17
3611,Improbable,20,18
3611,About Even,50,19
3610,Almost No Chance,2,1
3610,Highly Unlikely,5,2
3610,About Even,50,3
3610,Improbable,8,4
3610,Will Happen,99,5
3610,Probable,65,6
3610,Realistic Possibility,55,7
3610,Likely,60,8
3610,Might Happen,35,9
3610,Chances are Slight,10,10
3610,Little Chance,10,11
3610,Remote Chance,5,12
3610,Better than Even,55,13
3610,Could Happen,35,14
3610,Almost Certain,90,15
3610,Unlikely,15,16
3610,May Happen,20,17
3610,Very Good Chance,80,18
3610,Highly Likely,85,19
3609,May Happen,40,1
3609,Better than Even,60,2
3609,Highly Likely,90,3
3609,Highly Unlikely,10,4
3609,Unlikely,25,5
3609,Almost Certain,97,6
3609,Improbable,2,7
3609,Likely,75,8
3609,Could Happen,45,9
3609,Probable,65,10
3609,About Even,50,11
3609,Remote Chance,1,12
3609,Realistic Possibility,30,13
3609,Might Happen,35,14
3609,Chances are Slight,5,15
3609,Little Chance,2,16
3609,Almost No Chance,1,17
3609,Will Happen,100,18
3609,Very Good Chance,85,19
3608,May Happen,20,1
3608,Almost No Chance,2,2
3608,Very Good Chance,80,3
3608,Remote Chance,5,4
3608,About Even,50,5
3608,Probable,75,6
3608,Realistic Possibility,60,7
3608,Could Happen,40,8
3608,Unlikely,10,9
3608,Will Happen,100,10
3608,Highly Likely,80,11
3608,Almost Certain,95,12
3608,Better than Even,66,13
3608,Might Happen,33,14
3608,Highly Unlikely,5,15
3608,Likely,75,16
3608,Little Chance,10,17
3608,Chances are Slight,10,18
3608,Improbable,1,19
3607,Probable,60,1
3607,Very Good Chance,80,2
3607,Highly Likely,90,3
3607,Will Happen,100,4
3607,May Happen,70,5
3607,Little Chance,30,6
3607,Chances are Slight,20,7
3607,Remote Chance,10,8
3607,Could Happen,40,9
3607,Highly Unlikely,5,10
3607,Unlikely,45,11
3607,Improbable,30,12
3607,Almost No Chance,5,13
3607,Realistic Possibility,75,14
3607,Better than Even,65,15
3607,About Even,50,16
3607,Almost Certain,80,17
3607,Likely,75,18
3607,Might Happen,65,19
3606,Will Happen,80,1
3606,Almost Certain,95,2
3606,Almost No Chance,10,3
3606,Realistic Possibility,70,4
3606,Chances are Slight,30,5
3606,Better than Even,55,6
3606,Highly Unlikely,20,7
3606,About Even,49,8
3606,Improbable,5,9
3606,Little Chance,15,10
3606,Unlikely,30,11
3606,Could Happen,51,12
3606,Remote Chance,35,13
3606,Probable,65,14
3606,May Happen,45,15
3606,Highly Likely,75,16
3606,Very Good Chance,70,17
3606,Might Happen,48,18
3606,Likely,65,19
3605,Unlikely,20,1
3605,Improbable,2,2
3605,Almost No Chance,1,3
3605,Very Good Chance,90,4
3605,Could Happen,50,5
3605,Might Happen,40,6
3605,Will Happen,100,7
3605,Better than Even,60,8
3605,Likely,80,9
3605,About Even,50,10
3605,Almost Certain,99,11
3605,Probable,90,12
3605,Highly Unlikely,1,13
3605,May Happen,60,14
3605,Realistic Possibility,65,15
3605,Chances are Slight,5,16
3605,Little Chance,5,17
3605,Highly Likely,98,18
3605,Remote Chance,2,19
3604,Will Happen,100,1
3604,Remote Chance,5,2
3604,Might Happen,40,3
3604,Almost Certain,95,4
3604,About Even,50,5
3604,Probable,50,6
3604,Very Good Chance,80,7
3604,Little Chance,20,8
3604,Improbable,0,9
3604,Almost No Chance,1,10
3604,Realistic Possibility,10,11
3604,Highly Likely,90,12
3604,Unlikely,5,13
3604,Chances are Slight,2,14
3604,Highly Unlikely,1,15
3604,Could Happen,40,16
3604,Better than Even,65,17
3604,Likely,70,18
3604,May Happen,20,19
3603,Highly Unlikely,5,1
3603,Highly Likely,90,2
3603,Might Happen,50,3
3603,About Even,50,4
3603,Could Happen,40,5
3603,Likely,70,6
3603,May Happen,60,7
3603,Probable,80,8
3603,Chances are Slight,10,9
3603,Unlikely,20,10
3603,Little Chance,10,11
3603,Better than Even,51,12
3603,Very Good Chance,75,13
3603,Almost Certain,90,14
3603,Will Happen,100,15
3603,Improbable,20,16
3603,Almost No Chance,5,17
3603,Realistic Possibility,75,18
3603,Remote Chance,25,19
3602,Almost No Chance,1,1
3602,Chances are Slight,1,2
3602,Unlikely,1,3
3602,Little Chance,5,4
3602,Likely,5,5
3602,Will Happen,100,6
3602,Realistic Possibility,90,7
3602,Might Happen,10,8
3602,Highly Unlikely,0,9
3602,Probable,10,10
3602,Could Happen,10,11
3602,Almost Certain,90,12
3602,Improbable,0,13
3602,Highly Likely,100,14
3602,About Even,50,15
3602,May Happen,10,16
3602,Very Good Chance,80,17
3602,Remote Chance,1,18
3602,Better than Even,60,19
3601,Very Good Chance,85,1
3601,Highly Unlikely,5,2
3601,Realistic Possibility,60,3
3601,Little Chance,10,4
3601,Unlikely,30,5
3601,Likely,65,6
3601,Might Happen,60,7
3601,Highly Likely,90,8
3601,Chances are Slight,20,9
3601,Probable,75,10
3601,Almost Certain,95,11
3601,Improbable,5,12
3601,Better than Even,55,13
3601,Could Happen,30,14
3601,Will Happen,100,15
3601,May Happen,50,16
3601,About Even,50,17
3601,Remote Chance,5,18
3601,Almost No Chance,1,19
3600,Chances are Slight,5,1
3600,Almost No Chance,1,2
3600,Remote Chance,2,3
3600,About Even,50,4
3600,Little Chance,5,5
3600,Highly Unlikely,1,6
3600,Better than Even,60,7
3600,Will Happen,99,8
3600,Improbable,4,9
3600,Highly Likely,65,10
3600,Could Happen,20,11
3600,Probable,80,12
3600,Realistic Possibility,30,13
3600,May Happen,30,14
3600,Likely,75,15
3600,Very Good Chance,80,16
3600,Might Happen,50,17
3600,Almost Certain,95,18
3600,Unlikely,10,19
3599,Almost No Chance,1,1
3599,About Even,50,2
3599,Almost Certain,99,3
3599,May Happen,10,4
3599,Improbable,20,5
3599,Realistic Possibility,5,6
3599,Better than Even,66,7
3599,Unlikely,15,8
3599,Might Happen,15,9
3599,Chances are Slight,10,10
3599,Remote Chance,3,11
3599,Likely,70,12
3599,Very Good Chance,85,13
3599,Highly Likely,85,14
3599,Could Happen,10,15
3599,Will Happen,100,16
3599,Probable,70,17
3599,Highly Unlikely,5,18
3599,Little Chance,3,19
3598,Highly Likely,80,1
3598,Better than Even,60,2
3598,Chances are Slight,15,3
3598,Could Happen,50,4
3598,Little Chance,20,5
3598,Almost Certain,95,6
3598,Might Happen,65,7
3598,Likely,75,8
3598,Realistic Possibility,70,9
3598,Probable,75,10
3598,Will Happen,100,11
3598,May Happen,60,12
3598,About Even,50,13
3598,Highly Unlikely,15,14
3598,Almost No Chance,5,15
3598,Unlikely,25,16
3598,Improbable,25,17
3598,Remote Chance,10,18
3598,Very Good Chance,90,19
3597,Highly Unlikely,1,1
3597,Little Chance,5,2
3597,Might Happen,50,3
3597,Almost Certain,90,4
3597,About Even,50,5
3597,Almost No Chance,1,6
3597,Chances are Slight,2,7
3597,Very Good Chance,79,8
3597,Unlikely,30,9
3597,Will Happen,100,10
3597,May Happen,40,11
3597,Improbable,5,12
3597,Likely,70,13
3597,Probable,60,14
3597,Highly Likely,90,15
3597,Could Happen,50,16
3597,Remote Chance,2,17
3597,Better than Even,65,18
3597,Realistic Possibility,50,19
3596,Highly Unlikely,1,1
3596,Little Chance,5,2
3596,Might Happen,50,3
3596,Almost Certain,90,4
3596,About Even,50,5
3596,Almost No Chance,1,6
3596,Chances are Slight,2,7
3596,Very Good Chance,79,8
3596,Unlikely,30,9
3596,Will Happen,100,10
3596,May Happen,40,11
3596,Improbable,5,12
3596,Likely,70,13
3596,Probable,60,14
3596,Highly Likely,90,15
3596,Could Happen,50,16
3596,Remote Chance,2,17
3596,Better than Even,65,18
3596,Realistic Possibility,50,19
3595,Highly Unlikely,5,1
3595,Little Chance,10,2
3595,Might Happen,40,3
3595,Almost Certain,90,4
3595,About Even,50,5
3595,Almost No Chance,1,6
3595,Chances are Slight,20,7
3595,Very Good Chance,80,8
3595,Unlikely,0,9
3595,Will Happen,100,10
3595,May Happen,50,11
3595,Improbable,10,12
3595,Likely,80,13
3595,Probable,85,14
3595,Highly Likely,95,15
3595,Could Happen,30,16
3595,Remote Chance,0,17
3595,Better than Even,75,18
3595,Realistic Possibility,80,19
3594,Almost Certain,95,1
3594,Remote Chance,5,2
3594,Chances are Slight,5,3
3594,Improbable,10,4
3594,Will Happen,100,5
3594,Could Happen,80,6
3594,Probable,70,7
3594,Little Chance,10,8
3594,About Even,50,9
3594,Very Good Chance,80,10
3594,Might Happen,40,11
3594,Unlikely,30,12
3594,Highly Unlikely,10,13
3594,Realistic Possibility,70,14
3594,Highly Likely,90,15
3594,May Happen,60,16
3594,Likely,70,17
3594,Better than Even,60,18
3594,Almost No Chance,5,19
3593,Highly Likely,90,1
3593,Remote Chance,10,2
3593,Almost No Chance,5,3
3593,Will Happen,99,4
3593,Might Happen,70,5
3593,Likely,75,6
3593,Improbable,3,7
3593,About Even,50,8
3593,Little Chance,25,9
3593,Could Happen,40,10
3593,Highly Unlikely,30,11
3593,Better than Even,60,12
3593,May Happen,60,13
3593,Unlikely,40,14
3593,Realistic Possibility,80,15
3593,Almost Certain,90,16
3593,Chances are Slight,10,17
3593,Very Good Chance,80,18
3593,Probable,70,19
3592,Unlikely,20,1
3592,Likely,75,2
3592,Highly Unlikely,10,3
3592,Improbable,10,4
3592,Little Chance,20,5
3592,Chances are Slight,15,6
3592,Remote Chance,10,7
3592,May Happen,50,8
3592,About Even,50,9
3592,Realistic Possibility,75,10
3592,Might Happen,50,11
3592,Almost Certain,95,12
3592,Highly Likely,85,13
3592,Very Good Chance,75,14
3592,Almost No Chance,5,15
3592,Better than Even,60,16
3592,Will Happen,100,17
3592,Could Happen,50,18
3592,Probable,65,19
3591,Highly Unlikely,5,1
3591,Very Good Chance,80,2
3591,Remote Chance,20,3
3591,Little Chance,10,4
3591,Unlikely,1,5
3591,Will Happen,100,6
3591,Chances are Slight,50,7
3591,Improbable,5,8
3591,Probable,75,9
3591,About Even,50,10
3591,Realistic Possibility,65,11
3591,Highly Likely,85,12
3591,Could Happen,60,13
3591,May Happen,50,14
3591,Better than Even,55,15
3591,Likely,85,16
3591,Almost No Chance,1,17
3591,Almost Certain,99,18
3591,Might Happen,50,19
3590,Chances are Slight,5,1
3590,Almost No Chance,1,2
3590,Remote Chance,0,3
3590,About Even,50,4
3590,Little Chance,5,5
3590,Highly Unlikely,1,6
3590,Better than Even,60,7
3590,Will Happen,100,8
3590,Improbable,2,9
3590,Highly Likely,90,10
3590,Could Happen,10,11
3590,Probable,69,12
3590,Realistic Possibility,20,13
3590,May Happen,10,14
3590,Likely,80,15
3590,Very Good Chance,89,16
3590,Might Happen,9,17
3590,Almost Certain,90,18
3590,Unlikely,19,19
3589,Highly Unlikely,10,1
3589,Very Good Chance,80,2
3589,Remote Chance,20,3
3589,Little Chance,30,4
3589,Unlikely,0,5
3589,Will Happen,100,6
3589,Chances are Slight,10,7
3589,Improbable,0,8
3589,Probable,90,9
3589,About Even,50,10
3589,Realistic Possibility,60,11
3589,Highly Likely,90,12
3589,Could Happen,20,13
3589,May Happen,90,14
3589,Better than Even,60,15
3589,Likely,90,16
3589,Almost No Chance,10,17
3589,Almost Certain,90,18
3589,Might Happen,70,19
3588,Almost Certain,95,1
3588,Might Happen,70,2
3588,Very Good Chance,85,3
3588,Could Happen,60,4
3588,Highly Likely,90,5
3588,May Happen,65,6
3588,Unlikely,30,7
3588,Improbable,25,8
3588,Will Happen,99,9
3588,Probable,80,10
3588,Likely,75,11
3588,About Even,50,12
3588,Highly Unlikely,5,13
3588,Almost No Chance,5,14
3588,Remote Chance,10,15
3588,Better than Even,60,16
3588,Chances are Slight,25,17
3588,Realistic Possibility,65,18
3588,Little Chance,15,19
3587,Chances are Slight,30,1
3587,Almost No Chance,5,2
3587,Remote Chance,10,3
3587,About Even,50,4
3587,Little Chance,10,5
3587,Highly Unlikely,10,6
3587,Better than Even,55,7
3587,Will Happen,100,8
3587,Improbable,40,9
3587,Highly Likely,80,10
3587,Could Happen,40,11
3587,Probable,80,12
3587,Realistic Possibility,70,13
3587,May Happen,40,14
3587,Likely,70,15
3587,Very Good Chance,70,16
3587,Might Happen,40,17
3587,Almost Certain,95,18
3587,Unlikely,20,19
3586,Almost Certain,90,1
3586,Might Happen,70,2
3586,Very Good Chance,80,3
3586,Could Happen,60,4
3586,Highly Likely,85,5
3586,May Happen,65,6
3586,Unlikely,20,7
3586,Improbable,5,8
3586,Will Happen,50,9
3586,Probable,50,10
3586,Likely,70,11
3586,About Even,50,12
3586,Highly Unlikely,10,13
3586,Almost No Chance,30,14
3586,Remote Chance,5,15
3586,Better than Even,65,16
3586,Chances are Slight,40,17
3586,Realistic Possibility,85,18
3586,Little Chance,25,19
3585,Could Happen,80,1
3585,Almost Certain,70,2
3585,Highly Likely,90,3
3585,Improbable,40,4
3585,Remote Chance,60,5
3585,Realistic Possibility,80,6
3585,Will Happen,90,7
3585,About Even,70,8
3585,Likely,80,9
3585,Very Good Chance,90,10
3585,Little Chance,60,11
3585,Chances are Slight,40,12
3585,Probable,80,13
3585,Better than Even,60,14
3585,Might Happen,90,15
3585,Highly Unlikely,30,16
3585,Almost No Chance,10,17
3585,May Happen,80,18
3585,Unlikely,10,19
3584,Likely,66,1
3584,About Even,50,2
3584,Chances are Slight,8,3
3584,Remote Chance,10,4
3584,Might Happen,20,5
3584,Probable,60,6
3584,Almost Certain,95,7
3584,Little Chance,7,8
3584,Realistic Possibility,40,9
3584,Will Happen,98,10
3584,Unlikely,15,11
3584,Very Good Chance,85,12
3584,Highly Unlikely,5,13
3584,Highly Likely,90,14
3584,May Happen,45,15
3584,Better than Even,55,16
3584,Improbable,30,17
3584,Almost No Chance,3,18
3584,Could Happen,40,19
3583,Highly Likely,90,1
3583,May Happen,50,2
3583,Unlikely,10,3
3583,Could Happen,40,4
3583,Highly Unlikely,1,5
3583,Chances are Slight,10,6
3583,Almost Certain,95,7
3583,Realistic Possibility,60,8
3583,Better than Even,60,9
3583,Likely,75,10
3583,Very Good Chance,90,11
3583,Will Happen,100,12
3583,Might Happen,50,13
3583,Little Chance,20,14
3583,Improbable,5,15
3583,Probable,90,16
3583,Remote Chance,1,17
3583,About Even,50,18
3583,Almost No Chance,1,19
3582,Unlikely,25,1
3582,Likely,75,2
3582,Remote Chance,10,3
3582,Almost Certain,90,4
3582,Might Happen,60,5
3582,Little Chance,10,6
3582,Improbable,5,7
3582,Almost No Chance,2,8
3582,Better than Even,60,9
3582,Could Happen,50,10
3582,Highly Likely,80,11
3582,Chances are Slight,15,12
3582,May Happen,40,13
3582,Will Happen,98,14
3582,Very Good Chance,80,15
3582,About Even,50,16
3582,Probable,75,17
3582,Realistic Possibility,75,18
3582,Highly Unlikely,5,19
3581,Unlikely,2,1
3581,Might Happen,10,2
3581,Highly Likely,90,3
3581,Could Happen,20,4
3581,Will Happen,100,5
3581,Realistic Possibility,60,6
3581,Improbable,0,7
3581,May Happen,5,8
3581,Remote Chance,1,9
3581,Very Good Chance,80,10
3581,Almost Certain,99,11
3581,Chances are Slight,1,12
3581,Probable,75,13
3581,Almost No Chance,0,14
3581,Likely,67,15
3581,Little Chance,5,16
3581,Better than Even,55,17
3581,About Even,50,18
3581,Highly Unlikely,0,19
3580,Almost No Chance,2,1
3580,About Even,50,2
3580,Almost Certain,98,3
3580,May Happen,40,4
3580,Improbable,1,5
3580,Realistic Possibility,70,6
3580,Better than Even,60,7
3580,Unlikely,10,8
3580,Might Happen,25,9
3580,Chances are Slight,5,10
3580,Remote Chance,1,11
3580,Likely,80,12
3580,Very Good Chance,90,13
3580,Highly Likely,99,14
3580,Could Happen,35,15
3580,Will Happen,95,16
3580,Probable,70,17
3580,Highly Unlikely,1,18
3580,Little Chance,7,19
3579,Little Chance,5,1
3579,Could Happen,15,2
3579,Highly Likely,95,3
3579,Highly Unlikely,2,4
3579,Realistic Possibility,1,5
3579,Remote Chance,1,6
3579,Unlikely,20,7
3579,Chances are Slight,3,8
3579,Very Good Chance,80,9
3579,May Happen,30,10
3579,Almost Certain,95,11
3579,Might Happen,35,12
3579,Better than Even,51,13
3579,Probable,80,14
3579,Likely,60,15
3579,Will Happen,100,16
3579,About Even,50,17
3579,Improbable,2,18
3579,Almost No Chance,1,19
3578,Almost No Chance,10,1
3578,Highly Unlikely,5,2
3578,About Even,55,3
3578,Improbable,30,4
3578,Will Happen,90,5
3578,Probable,90,6
3578,Realistic Possibility,75,7
3578,Likely,85,8
3578,Might Happen,55,9
3578,Chances are Slight,10,10
3578,Little Chance,5,11
3578,Remote Chance,3,12
3578,Better than Even,60,13
3578,Could Happen,55,14
3578,Almost Certain,99,15
3578,Unlikely,20,16
3578,May Happen,60,17
3578,Very Good Chance,80,18
3578,Highly Likely,80,19
3577,Realistic Possibility,55,1
3577,Likely,78,2
3577,Almost Certain,98,3
3577,Remote Chance,5,4
3577,Will Happen,85,5
3577,Better than Even,60,6
3577,Very Good Chance,75,7
3577,May Happen,25,8
3577,Improbable,10,9
3577,Chances are Slight,10,10
3577,Could Happen,40,11
3577,Highly Unlikely,5,12
3577,About Even,50,13
3577,Unlikely,17,14
3577,Might Happen,20,15
3577,Probable,65,16
3577,Little Chance,10,17
3577,Highly Likely,88,18
3577,Almost No Chance,5,19
3576,Could Happen,55,1
3576,Chances are Slight,45,2
3576,Almost Certain,99,3
3576,Highly Likely,80,4
3576,About Even,50,5
3576,Realistic Possibility,60,6
3576,Likely,65,7
3576,Highly Unlikely,85,8
3576,May Happen,55,9
3576,Almost No Chance,5,10
3576,Probable,75,11
3576,Better than Even,55,12
3576,Remote Chance,10,13
3576,Little Chance,25,14
3576,Unlikely,35,15
