number,game,release_date,price,owners,developer,publisher,average_playtime,median_playtime,metascore
700,Mondrian - Abstraction in Beauty,"Sep 21, 2015",4.99,"0 .. 20,000",Lantana Games,Lantana Games,0,0,NA
701,The Viceroy,"Jul 28, 2015",19.99,"0 .. 20,000",Goatee Games,Goatee Games,0,0,NA
702,Legends of Pixelia,"Jun 17, 2015",4.99,"0 .. 20,000",SimaGames,SimaGames,0,0,NA
703,PD Howler 9.6 Digital Painter and Visual FX box,"Mar 11, 2015",29.99,"0 .. 20,000","Daniel Ritchie - Squirreldome.com, Philip Staiger - TheBest3D.com",KISS ltd,0,0,NA
704,MadOut Ice Storm,"Sep 4, 2015",6.99,"0 .. 20,000","Nuligine, MadOut Games","Nuligine, MadOut Games",0,0,NA
705,Light Bound,"Apr 23, 2015",9.99,"0 .. 20,000",Garden Knight Games,Garden Knight Games,0,0,NA
706,Tisnart Tiles,"Aug 31, 2015",1.99,"0 .. 20,000",Tisnart,Tisnart,0,0,NA
707,Barbarian Brawl,"Feb 12, 2015",4.99,"0 .. 20,000",Thrillion,Thrillion,0,0,NA
708,Furfly,"Dec 18, 2015",0.99,"0 .. 20,000",SMD Gaming Studio,SMD Gaming Studio,0,0,NA
709,Elements: Epic Heroes,"Dec 21, 2015",6.99,"0 .. 20,000",Zadzen Games Ltd.,Zadzen Games Ltd.,0,0,NA
710,TorqueL,"Jan 22, 2015",9.99,"0 .. 20,000","Nanmo (Takayuki Yanagihara) @ FullPowerSideAttack.com, sanodg (Nobuyoshi Sano), FullPowerSideAttack.com",AGM PLAYISM,0,0,NA
711,Cosplay Maker,"Dec 10, 2015",9.99,"0 .. 20,000",Locked Door Puzzle,Lupus Studios Limited,0,0,NA
712,Ghost Cleaner,"Nov 5, 2015",5.99,"0 .. 20,000",LookAtMyGame,"LookAtMyGame, Plug In Digital",0,0,NA
713,ROGUS - Kingdom of The Lost Souls,"Jun 30, 2015",4.99,"0 .. 20,000",IronDrop Studios,IronDrop Studios,0,0,NA
714,Melter Man,"Sep 18, 2015",1.99,"0 .. 20,000",Husky Swim Team,"RMM Studios, LLC",0,0,NA
715,Threads of Destiny,"Dec 4, 2015",4.99,"0 .. 20,000",Warfare Studios,Aldorlea Games,0,0,NA
717,Wildlife Park - Wild Creatures,"Apr 1, 2015",5.99,"0 .. 20,000",b-alive gmbh,b-alive gmbh,0,0,NA
718,Hot Pinball Thrills,"Jun 26, 2015",3.99,"0 .. 20,000","Fancy Bytes, Reactor",United Independent Entertainment GmbH,0,0,NA
719,Tiki Galore,"Oct 5, 2015",NA,"0 .. 20,000",Abyss Studios,Abyss Studios,0,0,NA
720,Shiny Gauntlet,"Oct 1, 2015",0.99,"0 .. 20,000",Spritewrench,Spritewrench,0,0,NA
722,Chronoclysm,"Nov 12, 2015",4.99,"0 .. 20,000",Zed-ex,Zed-ex,0,0,NA
723,Con Amore,"Nov 28, 2015",4.99,"0 .. 20,000",Team Taju,Wronghut,0,0,NA
724,Dexterity Ball 3D,"Dec 7, 2015",6.99,"0 .. 20,000",Quandary Solutions LTD,Quandary Solutions LTD,0,0,NA
725,Professor Teaches OneNote 2013 & 365,"Jul 22, 2015",14.99,"0 .. 20,000",Individual Software,Individual Software,0,0,NA
726,Legend of Moros,"May 21, 2015",4.99,"0 .. 20,000",Cannibal Interactive,Cannibal Interactive,0,0,NA
727,Nature Defenders,"Dec 21, 2015",4.99,"0 .. 20,000",Nordic Mist Games,Nordic Mist Games,0,0,NA
728,Island Flight Simulator,"Apr 17, 2015",6.99,"0 .. 20,000",Caipirinha Games,Libredia,0,0,NA
729,Exostorm,"May 15, 2015",3.99,"0 .. 20,000","Midnight Oil Games, LLC","Midnight Oil Games, LLC",0,0,NA
730,INIT.,"Aug 19, 2015",1.99,"0 .. 20,000",Narrow Monolith,Narrow Monolith,0,0,NA
731,SuperBike TT,"Feb 25, 2015",12.99,"0 .. 20,000",Ghost Machine,Ghost Machine,0,0,NA
732,Zone 22,"Jun 26, 2015",7.99,"0 .. 20,000",Nordic Legacy,Nordic Legacy,0,0,NA
733,Prison Tycoon Alcatraz,"May 11, 2015",9.99,"0 .. 20,000",ValuSoft,"ValuSoft, Retroism",0,0,NA
734,Unlimited Escape,"Feb 5, 2015",4.99,"0 .. 20,000",Carlo D'Apostoli Projects,Strategy First,0,0,NA
735,Radial Impact,"Jul 31, 2015",0.99,"0 .. 20,000",Devin Sherry,Devin Sherry,0,0,NA
751,BloodLust Shadowhunter,"Sep 21, 2015",12.99,"0 .. 20,000",WRF Studios,WRF Studios,0,0,NA
757,To Be or Not To Be,"Feb 4, 2015",4.99,"0 .. 20,000",Tin Man Games,Tin Man Games,0,0,NA
764,A Study in Steampunk: Choice by Gaslight,"Nov 20, 2015",3.99,"0 .. 20,000",Hosted Games,Hosted Games,0,0,NA
767,Enemy,"Mar 17, 2015",14.99,"0 .. 20,000",Tom Johnson,Tom Johnson,0,0,NA
768,Resilience Wave Survival,"Dec 23, 2015",4.99,"0 .. 20,000",Jimbob Games,Jimbob Games,0,0,NA
769,Psycho Starship Rampage,"Sep 28, 2015",9.99,"0 .. 20,000",Ballistic Frogs,Ballistic Frogs,0,0,NA
770,Sayonara Umihara Kawase,"Oct 6, 2015",14.99,"0 .. 20,000",Studio Saizensen,Degica,0,0,NA
773,Auto Dealership Tycoon,"Oct 23, 2015",5.99,"0 .. 20,000","Diggidy.net, LLC","Diggidy.net, LLC",0,0,NA
775,Tennis in the Face,"Nov 18, 2015",4.99,"0 .. 20,000",10tons Ltd,10tons Ltd,0,0,NA
781,Heroes Never Lose: Professor Puzzler's Perplexing Ploy,"Nov 23, 2015",8.99,"0 .. 20,000",Magic Pants,Spearhead,0,0,NA
782,Crash Dive,"Jul 6, 2015",6.99,"0 .. 20,000",Panic Ensues Software,Panic Ensues Software,0,0,NA
783,Pulut Adventure,"Jul 9, 2015",1.99,"0 .. 20,000",yayapipi,yayapipi,0,0,NA
786,AquaSnap Window Manager,"Dec 18, 2015",18.99,"0 .. 20,000",Nurgo Software,Nurgo Software,0,0,NA
788,Quarries of Scred,"Apr 22, 2015",5.99,"0 .. 20,000",Hammerspace Games,Surprise Attack,0,0,NA
789,Hidden: On the trail of the Ancients,"Aug 5, 2015",9.99,"0 .. 20,000",Lost Spell,Lost Spell,0,0,NA
790,The Ritual on Weylyn Island,"Dec 4, 2015",4.99,"0 .. 20,000",zemaGamez,zemaGamez,0,0,NA
792,Shapes of Gray,"Sep 23, 2015",6.99,"0 .. 20,000",NA,IBOLOGY LLC,0,0,NA
793,Ookibloks,"Oct 8, 2015",1.99,"0 .. 20,000","Studio Work3, Lampert & Sons, Skyboy Games",Skyboy Games,0,0,NA
794,Minimon,"Mar 25, 2015",9.99,"0 .. 20,000",Lunar Labs,Lunar Labs,0,0,NA
795,Akuatica,"Nov 27, 2015",4.99,"0 .. 20,000",Tianyu Studio,Tianyu Studio,0,0,NA
796,Mighty Switch Force! Academy,"Nov 23, 2015",9.99,"0 .. 20,000",WayForward,WayForward,0,0,NA
797,Mighty Switch Force! Hose It Down!,"Jun 4, 2015",2.99,"0 .. 20,000",WayForward,WayForward,0,0,NA
798,Mystery of Neuschwanstein,"Feb 18, 2015",11.99,"0 .. 20,000",Chimera Entertainment,astragon Entertainment,0,0,NA
801,Terraform,"May 8, 2015",2.99,"0 .. 20,000",Holgersson Entertainment,Holgersson Entertainment,0,0,NA
804,Super Sky Arena,"Oct 5, 2015",14.99,"0 .. 20,000",Hammer Labs,"Hammer Labs, Deck13",0,0,NA
806,Attack of the Labyrinth +,"Mar 3, 2015",NA,"0 .. 20,000",Timedrop Studios,Timedrop Studios,0,0,NA
809,Runes of Brennos,"Oct 16, 2015",0.99,"0 .. 20,000",LuGus Studios,LuGus Studios,0,0,NA
810,Autumn Park Mini Golf,"Apr 2, 2015",0.99,"0 .. 20,000",Serious Tangents,Serious Tangents,0,0,NA
811,ASA: A Space Adventure - Remastered Edition,"Mar 4, 2015",9.99,"0 .. 20,000",Simon Says: Play!,Simon Says: Play!,0,0,NA
813,Deathless: The City's Thirst,"Oct 23, 2015",3.99,"0 .. 20,000",Choice of Games,Choice of Games,0,0,NA
814,The Little Crane That Could,"Apr 27, 2015",11.99,"0 .. 20,000",Game Studio Abraham Stolk Inc.,Game Studio Abraham Stolk Inc.,0,0,NA
815,Color Assembler,"Jun 3, 2015",7.99,"0 .. 20,000",Purple Nebula,Purple Nebula,0,0,NA
816,Necromonads,"Oct 27, 2015",3.99,"0 .. 20,000",Gamesare,Clickteam,0,0,NA
817,One Final Breath,"Sep 28, 2015",3.99,"0 .. 20,000",Dark Day Interactive,Dark Day Interactive,0,0,NA
818,Inside Me,"Sep 29, 2015",7.99,"0 .. 20,000",SnowBiteGames,SnowBiteGames,0,0,NA
819,The Prism,"Sep 8, 2015",5.99,"0 .. 20,000","Nikhil T, Gabriel H",The Wanderer,0,0,NA
821,Cheats 4 Hire,"Jun 25, 2015",4.99,"0 .. 20,000",Travian Games GmbH,Travian Games GmbH,0,0,NA
822,Assault Corps 2,"Jul 16, 2015",2.99,"0 .. 20,000",AOS GAME,AOS GAME,0,0,NA
823,Tkl Online,"Jan 27, 2015",7.99,"0 .. 20,000",KURONEKO SOFT,KURONEKO SOFT,0,0,NA
824,10 Years After,"Jan 30, 2015",5.99,"0 .. 20,000",Rock Paper Games,Rock Paper Games,0,0,NA
825,Lucadian Chronicles,"Oct 15, 2015",7.99,"0 .. 20,000",Dark Roast Entertainment,Dark Roast Entertainment,0,0,NA
826,Gamer Simulator,"Sep 22, 2015",0.99,"0 .. 20,000",Punk Games Studio,Punk Games Studio,0,0,NA
827,Kagura Douchuuki,"Oct 22, 2015",13.99,"0 .. 20,000",DebonosuWorks Inc.,DebonosuWorks Inc.,0,0,NA
828,The Eigengrau Menagerie,"Jun 4, 2015",2.99,"0 .. 20,000",Ozzie Sneddon,Librarium Studios,0,0,NA
829,Isaac the Adventurer,"Mar 2, 2015",2.99,"0 .. 20,000","Artisiti, Studio Vrtinec",Artisiti,0,0,NA
830,Daily Espada,"Sep 30, 2015",9.99,"0 .. 20,000",Pidroh,Pidroh,0,0,NA
831,Baseball Riot,"Dec 9, 2015",4.99,"0 .. 20,000",10tons Ltd,10tons Ltd,0,0,NA
832,Naught Reawakening,"Sep 10, 2015",9.99,"0 .. 20,000",Wild Sphere,Genera Games,0,0,NA
833,Paparazzi,"Feb 17, 2015",1.99,"0 .. 20,000",Pringo Dingo Games,Pringo Dingo Games,0,0,NA
834,Caffeine,"Oct 12, 2015",10.99,"0 .. 20,000",Incandescent Imaging,Incandescent Imaging,0,0,NA
835,Quadle,"Jul 23, 2015",7.99,"0 .. 20,000",Gamesare,Clickteam,0,0,NA
836,Martial Law,"May 26, 2015",2.99,"0 .. 20,000",DropDGames,DropDGames,0,0,NA
837,Velocity Stream,"Oct 5, 2015",NA,"0 .. 20,000",Cavelight Entertainment,Cavelight Entertainment,0,0,NA
838,Super Space Meltdown,"Jul 31, 2015",3.99,"0 .. 20,000","Polyquest Games, ZXDigital Ltd",ZXDigital Ltd,0,0,NA
839,Cliffs of War: Fortress Defenders,"Nov 3, 2015",NA,"0 .. 20,000",NA,NA,0,0,NA
840,SkyScrappers,"Oct 15, 2015",9.99,"0 .. 20,000",Ground Shatter,Ground Shatter,0,0,NA
841,In The Dead Of Night - Urszula's Revenge,"Dec 18, 2015",4.99,"0 .. 20,000",Axed Game Studio,Axed Game Studio,0,0,NA
842,Christmas Mahjong 2,"Dec 10, 2015",4.99,"0 .. 20,000",Creobit,8floor,0,0,NA
843,Nirvana: The First Travel,"Jul 31, 2015",3.99,"0 .. 20,000",Jardel Elias,Jardel Elias,0,0,NA
844,Wildlife Creative Studio,"Jan 28, 2015",6.99,"0 .. 20,000",Alternative Software Ltd,Alternative Software Ltd,0,0,NA
845,Actua Golf 3,"Aug 31, 2015",4.99,"0 .. 20,000",Urbanscan,Console Classics,0,0,NA
846,栄冠は君に レジェンドパック,"Jan 8, 2015",34.99,"0 .. 20,000",ARTDINK,Degica,0,0,NA
847,Dungeoncraft,"Jun 5, 2015",9.99,"0 .. 20,000",Zinnusl,Zinnusl,0,0,NA
848,Perfection of Wisdom,"Apr 6, 2015",8.99,"0 .. 20,000",14Dimension Enterprise,14Dimension Enterprise,0,0,NA
849,Professor Teaches Access 2013 & 365,"Jul 14, 2015",14.99,"0 .. 20,000",Individual Software,Individual Software,0,0,NA
868,Relativity Wars - A Science Space RTS,"Apr 10, 2015",5.99,"0 .. 20,000",Fungameco Ltd,Fungameco Ltd,0,0,NA
869,Icebound,"Aug 5, 2015",14.99,"0 .. 20,000",Fastermind Games,Fastermind Games,0,0,NA
870,Diamond Deeps,"Jun 1, 2015",4.99,"0 .. 20,000",BIT-GEN,BIT-GEN,0,0,NA
872,Resume Maker for Windows,"Nov 12, 2015",19.99,"0 .. 20,000",Individual Software,Individual Software,0,0,NA
873,Super Goo Goo,"Apr 16, 2015",2.99,"0 .. 20,000",Greg Lobanov,Donut Games,0,0,NA
874,Containment Protocol,"Aug 31, 2015",3.99,"0 .. 20,000",Xiotex Studios Ltd,Xiotex Studios Ltd,0,0,NA
875,Champions Of Chaos 2,"Aug 24, 2015",1.99,"0 .. 20,000",Epic LLama,Epic LLama,0,0,NA
876,Battletank LOBA,"Mar 17, 2015",9.99,"0 .. 20,000",Five Archers Games,Strategy First,0,0,NA
877,Spheritis,"Jun 4, 2015",4.99,"0 .. 20,000",Bluestrike,Bluestrike,0,0,NA
878,"Rock, the Tree Hugger","Jul 30, 2015",4.99,"0 .. 20,000","Machineman1357, Phanom Games","Machineman1357, Phanom Games",0,0,NA
879,The Makeshifter,"Aug 21, 2015",8.99,"0 .. 20,000",Squirrel Physics,Squirrel Physics,0,0,NA
880,Valzar,"Dec 22, 2015",9.99,"0 .. 20,000",Whale Nebula,Whale Nebula,0,0,NA
881,Zxill: A Legend of Time,"Sep 4, 2015",6.99,"0 .. 20,000","ZXDigital Ltd, Polyquest Games",ZXDigital Ltd,0,0,NA
882,Gremlin Invasion: Survivor,"May 1, 2015",4.99,"0 .. 20,000","CS Squared Games, Among Giants",CS Squared Games,0,0,NA
919,Pony World 3,"Apr 27, 2015",4.99,"0 .. 20,000",Rhema Press,Play sp. z o. o.,0,0,NA
923,Star Command Galaxies,"Sep 17, 2015",14.99,"0 .. 20,000",Warballoon,Warballoon,0,0,NA
926,PANORAMICAL,"Sep 17, 2015",9.99,"0 .. 20,000","Fernando Ramallo, David Kanaga",Finji,0,0,NA
927,Fox & Flock,"Jun 9, 2015",1.99,"0 .. 20,000",Smarter Games,Flying Interactive,0,0,NA
929,Wild Season,"Dec 7, 2015",16.99,"0 .. 20,000",Quickfire Games,Quickfire Games,0,0,NA
934,Militia,"Dec 2, 2015",5.99,"0 .. 20,000",BrainGoodGames,BrainGoodGames,0,0,NA
937,Dead Acres,"Nov 24, 2015",4.99,"0 .. 20,000",Glowstick Entertainment,Glowstick Entertainment,0,0,NA
939,Dustbowl,"May 18, 2015",8.99,"0 .. 20,000",The Pompous Pixel,The Pompous Pixel,0,0,NA
941,Moonshot,"Dec 21, 2015",4.99,"0 .. 20,000",Pump Action Games,Pump Action Games,0,0,NA
942,Transcendence,"Jul 24, 2015",8.99,"0 .. 20,000",Kronosaur Productions,Kronosaur Productions,0,0,NA
944,Supreme: Pizza Empire,"Jan 9, 2015",9.99,"0 .. 20,000",Nexeon Studios,Nexeon Studios,0,0,NA
945,868-HACK,"Jan 27, 2015",5.65,"0 .. 20,000",Michael Brough,Michael Brough,0,0,NA
946,Top Trumps Turbo,"Mar 20, 2015",2.99,"0 .. 20,000","Good Day Games, NYX Digital",Funbox Media Ltd,0,0,NA
947,The Treasures of Montezuma 5,"Dec 28, 2015",6.99,"0 .. 20,000","Wellore, Alawar Entertainment",Buka Entertainment,0,0,NA
948,ALPAGES : THE FIVE BOOKS,"Oct 14, 2015",0.99,"0 .. 20,000",Nicolas Bernard,Microids Indie,0,0,NA
950,Ninjahtic,"Jul 6, 2015",1.99,"0 .. 20,000",Blaze Epic,Blaze Epic,0,0,NA
955,Aces of the Luftwaffe,"May 6, 2015",4.99,"0 .. 20,000",HandyGames,HandyGames,0,0,NA
957,ManaCollect,"Apr 17, 2015",6.99,"0 .. 20,000",Tazigen Clock,Fruitbat Factory,0,0,NA
958,This Starry Midnight We Make,"Jun 1, 2015",9.99,"0 .. 20,000",CAVYHOUSE,Carpe Fulgur LLC,0,0,NA
959,Strania - The Stella Machina -,"Nov 24, 2015",14.99,"0 .. 20,000",G.rev Ltd.,G.rev Ltd.,0,0,NA
962,Ski Park Tycoon,"Feb 3, 2015",9.99,"0 .. 20,000",Jan Zizka,Jan Zizka,0,0,NA
963,Barren Roads,"Jun 1, 2015",8.99,"0 .. 20,000",Forcequitapplicatons,Forcequitapplicatons,0,0,NA
964,Axion,"Dec 11, 2015",NA,"0 .. 20,000",Droog71,Droog71,0,0,NA
965,Samudai,"Feb 9, 2015",2.99,"0 .. 20,000",Geek Sloth Games,Geek Sloth Games,0,0,NA
966,Entropy Rising,"Nov 20, 2015",0.99,"0 .. 20,000",Autotivity Entertainment,Autotivity Entertainment,0,0,NA
967,Cannibal,"Oct 28, 2015",13.99,"0 .. 20,000",Gametek Brasil,Gametek Brasil,0,0,NA
968,Cults and Daggers,"Feb 12, 2015",29.99,"0 .. 20,000",Chaphat,Chaphat,0,0,NA
972,MyRPG Master,"Feb 9, 2015",39.99,"0 .. 20,000",DragonHead Studio,Plug In Digital,0,0,NA
973,Starsphere,"Oct 26, 2015",3.99,"0 .. 20,000",Julia Games,Julia Games,0,0,NA
974,Avaris 2: The Return of the Empress,"Dec 15, 2015",7.99,"0 .. 20,000",StudioGIW,Zoo Corporation,0,0,NA
975,XenoBloom,"Sep 23, 2015",4.99,"0 .. 20,000",IBOLOGY LLC,IBOLOGY LLC,0,0,NA
976,A Sirius Game,"Aug 21, 2015",0.49,"0 .. 20,000","Overcloud9, Phantasm Games",Aldorlea Games,0,0,NA
978,Princess Kaguya: Legend of the Moon Warrior,"Aug 4, 2015",10.99,"0 .. 20,000",Zoo Corporation,Zoo Corporation,0,0,NA
979,Fractured Soul,"Feb 5, 2015",9.99,"0 .. 20,000",Endgame Studios,Endgame Studios,0,0,NA
980,Heroes of Legionwood,"Jul 24, 2015",6.99,"0 .. 20,000",Dark Gaia Studios,Degica,0,0,NA
981,Mars Colony: Frontier,"Sep 25, 2015",9.99,"0 .. 20,000",HyperKat Games,HyperKat Games,0,0,NA
982,Rogue Continuum,"Sep 15, 2015",9.99,"0 .. 20,000",Rocktastic Games,Rocktastic Games,0,0,NA
983,Rise of Keepers,"Dec 4, 2015",12.99,"0 .. 20,000",Samaritan Studios,Samaritan Studios,0,0,NA
984,Gunslugs 2,"Jan 14, 2015",4.99,"0 .. 20,000",Orangepixel,Orangepixel,0,0,NA
985,Farm Mania: Hot Vacation,"Oct 23, 2015",3.99,"0 .. 20,000",Realore,Qumaron,0,0,NA
986,SWR JST DX Selective Memory Erase Effect,"Apr 20, 2015",4.99,"0 .. 20,000",Nekomura Games,Nekomura Games,0,0,NA
987,The Tower,"Aug 15, 2015",2.99,"0 .. 20,000",Narrow Monolith,Narrow Monolith,0,0,NA
988,Sir! I'd Like To Report A Bug!,"Oct 19, 2015",1.99,"0 .. 20,000",Lord Puggington Games,Lord Puggington Games,0,0,NA
989,InnerCube,"Feb 13, 2015",3.99,"0 .. 20,000",Schell Games,Schell Games,0,0,NA
990,Advent,"May 15, 2015",NA,"0 .. 20,000",Omega Games,Omega Games,0,0,NA
991,Hush,"Jul 29, 2015",9.99,"0 .. 20,000",Game Studio 78,Game Studio 78,0,0,NA
992,Lapland Solitaire,"Sep 14, 2015",NA,"0 .. 20,000",Lemon Moose,Nomad Games,0,0,NA
993,The Language Game,"Jul 9, 2015",4.99,"0 .. 20,000",Tap To Win,Tap To Win,0,0,NA
994,CHAOS - In the Darkness,"Oct 7, 2015",7.99,"0 .. 20,000",4Realms,4Realms,0,0,NA
995,SodaCity,"Dec 8, 2015",9.99,"0 .. 20,000",Tochas Studios,Tochas Studios,0,0,NA
996,A-Men 2,"Jun 24, 2015",8.99,"0 .. 20,000",Bloober Team SA,Bloober Team SA,0,0,NA
997,Spud!,"Mar 3, 2015",3.99,"0 .. 20,000",Charybdis Ltd,Alternative Software Ltd,0,0,NA
998,Hunter Gatherer,"Mar 24, 2015",1.99,"0 .. 20,000",Hunter Gatherer Games,Hunter Gatherer Games,0,0,NA
999,Steamalot: Epoch's Journey,"Aug 31, 2015",4.99,"0 .. 20,000",Risen Phoenix Studios,Risen Phoenix Studios,0,0,NA
1028,Unium,"Feb 3, 2015",1.99,"0 .. 20,000",Kittehface Software,Kittehface Software,0,0,NA
1030,Drizzlepath,"Mar 12, 2015",2.99,"0 .. 20,000",Tonguç Bodur,Tonguç Bodur,0,0,NA
1033,VRC PRO,"Mar 24, 2015",44.99,"0 .. 20,000",Virtual Racing Industries Ltd.,Virtual Racing Industries Ltd.,0,0,NA
1036,Without Within 2,"Nov 9, 2015",4.99,"0 .. 20,000",InvertMouse,InvertMouse,0,0,NA
1045,TRIP Steam Edition,"Jun 19, 2015",4.99,"0 .. 20,000",Axel Shokk,Axel Shokk,0,0,NA
1047,001 Game Creator,"Jul 13, 2015",59.99,"0 .. 20,000",SoftWeir Inc.,SoftWeir Inc.,0,0,NA
1050,Battle Chess: Game of Kings,"Dec 11, 2015",29.99,"0 .. 20,000","Olde Sküül, Sculptured Software",Interplay Entertainment Corp.,0,0,NA
1051,Quell Memento,"May 14, 2015",3.99,"0 .. 20,000",Fallen Tree Games Ltd,Green Man Gaming Publishing,0,0,NA
1054,Legacy of Dorn: Herald of Oblivion,"Dec 2, 2015",4.99,"0 .. 20,000",Tin Man Games,Tin Man Games,0,0,NA
1056,ClusterPuck 99,"Jan 23, 2015",9.99,"0 .. 20,000",PHL Collective,PHL Collective,0,0,NA
1057,Littlewitch Romanesque: Editio Regia,"Apr 3, 2015",14.99,"0 .. 20,000",Littlewitch,JAST USA,0,0,NA
1063,Plastiland,"Dec 1, 2015",7.99,"0 .. 20,000","FreshGem, Zillion Whales",Zillion Whales,0,0,NA
1065,Funk of Titans,"Jul 24, 2015",6.99,"0 .. 20,000",A Crowd of Monsters,Merge Games,0,0,NA
1066,The Mystery of a Lost Planet,"Dec 17, 2015",4.99,"0 .. 20,000",AlikArt Studio,AlikArt Studio,0,0,NA
1067,Gigachess,"Dec 15, 2015",3.99,"0 .. 20,000",Drixxel Soft,Drixxel Soft,0,0,NA
1071,The Great Fusion,"Feb 25, 2015",2.99,"0 .. 20,000",Loading Home,Loading Home,0,0,NA
1072,The Lost Heir: The Fall of Daria,"Feb 20, 2015",2.99,"0 .. 20,000",Hosted Games,Hosted Games,0,0,NA
1073,Wait - Extended,"Oct 29, 2015",7.99,"0 .. 20,000",rest.less Games,rest.less Games,0,0,NA
1074,TownCraft,"Feb 25, 2015",9.99,"0 .. 20,000","Flat Earth Games, Epiphany Games",Flat Earth Games,0,0,NA
1076,Toto Temple Deluxe,"Sep 29, 2015",9.99,"0 .. 20,000",Juicy Beast,Juicy Beast,0,0,NA
1078,After Reset RPG,"Mar 9, 2015",49.99,"0 .. 20,000",Black Cloud Studios,Black Cloud Studios,0,0,NA
1079,Starlaxis Supernova Edition,"Feb 11, 2015",8.99,"0 .. 20,000",Spiderwork Games,rokaplay,0,0,NA
1080,ACID Music Studio 10 - Steam Powered,"Jun 2, 2015",NA,"0 .. 20,000",MAGIX Software GmbH,MAGIX Software GmbH,0,0,NA
1081,Cylne,"Mar 5, 2015",8.99,"0 .. 20,000",Cylne,Cylne,0,0,NA
1082,Damnation City of Death,"Mar 3, 2015",3.99,"0 .. 20,000",Antiproto,Antiproto,0,0,NA
1084,Samurai of Hyuga,"Jul 17, 2015",3.99,"0 .. 20,000",Hosted Games,Hosted Games,0,0,NA
1085,Super Slam Dunk Touchdown,"Dec 16, 2015",15,"0 .. 20,000",Tipping Goat LLC,Tipping Goat LLC,0,0,NA
1088,D Series OFF ROAD Driving Simulation,"May 19, 2015",7.99,"0 .. 20,000",devotid,devotid Media,0,0,NA
1089,Star Trek: Judgment Rites,"May 8, 2015",9.99,"0 .. 20,000",Interplay Entertainment Corp.,Interplay Entertainment Corp.,0,0,NA
1090,Gran Vitreous,"May 20, 2015",4.99,"0 .. 20,000",Heliocentric Studios,Heliocentric Studios,0,0,NA
1091,Ancestory,"Oct 13, 2015",14.99,"0 .. 20,000",Kajak Games,Kajak Games,0,0,NA
1092,Polychromatic,"Oct 2, 2015",2.99,"0 .. 20,000",Brushfire Games,Brushfire Games,0,0,NA
1093,Lightbender,"Dec 17, 2015",2.99,"0 .. 20,000","Math Nerd Productions, LLC","Math Nerd Productions, LLC",0,0,NA
1094,Tenshu General,"Dec 1, 2015",5.99,"0 .. 20,000",SmartArt Game Studio,Tenshu General,0,0,NA
1095,Gulf of Aden - Task Force Somalia,"Dec 14, 2015",8.99,"0 .. 20,000",BlewScreen,BlewScreen,0,0,NA
1096,ORBIT,"Sep 30, 2015",6.99,"0 .. 20,000",4Bit Games,4Bit Games,0,0,NA
1097,Forest Warrior,"Jun 25, 2015",3.99,"0 .. 20,000",Inferno Studio,Black Shell Media,0,0,NA
1098,Damned Nation Reborn,"Feb 12, 2015",12.99,"0 .. 20,000",Sinister,Sinister,0,0,NA
1099,High Strangeness,"May 6, 2015",4.99,"0 .. 20,000","Barnyard Intelligence Games, Crystal Labs",Barnyard Intelligence Games,0,0,NA
1100,The Way of the Pixelated Fist,"Apr 27, 2015",0.99,"0 .. 20,000",Blaze Epic,Blaze Epic,0,0,NA
1101,Getsuei Gakuen -kou-,"Nov 3, 2015",24.99,"0 .. 20,000",Arc System Works,Arc System Works,0,0,NA
1102,Pilot Brothers 3: Back Side of the Earth,"Jan 22, 2015",4.99,"0 .. 20,000",1C Wireless,1C Entertainment,0,0,NA
1103,Super Mega Bob,"Dec 3, 2015",4.99,"0 .. 20,000",Jenito,Jenito,0,0,NA
1104,Our Nation's Miner,"Dec 22, 2015",5.99,"0 .. 20,000",Lord Bytesworth,Lord Bytesworth,0,0,NA
1105,Chunky Orbits,"Sep 8, 2015",1.99,"0 .. 20,000",Don Whitaker,Brain Blinks,0,0,NA
1106,Bernie Needs Love,"Aug 21, 2015",2.99,"0 .. 20,000",Protomni Multimedia,Protomni Multimedia,0,0,NA
1108,Daemon Detective Gaiden,"Aug 14, 2015",9.99,"0 .. 20,000",Yal,Degica,0,0,NA
1109,Sun Dogs,"Oct 29, 2015",9.99,"0 .. 20,000",Royal Polygon,Royal Polygon,0,0,NA
1110,MAGIX Music Maker 2016 Live Steam Edition,"Oct 19, 2015",NA,"0 .. 20,000",MAGIX Software GmbH,MAGIX Software GmbH,0,0,NA
1111,Freedom Poopie,"Oct 16, 2015",2.99,"0 .. 20,000",Electroplasmatic Games,Electroplasmatic Games,0,0,NA
1112,Reigning Cats,"Aug 28, 2015",1.99,"0 .. 20,000",Myra D'Ann,Myra D'Ann,0,0,NA
1113,Marble Muse,"Aug 14, 2015",4.99,"0 .. 20,000",Ketos Games,Ketos Games,0,0,NA
1114,NOBUNAGA'S AMBITION: Tenshouki WPK HD Version / 信長の野望・天翔記 with パワーアップキット HD Version,"Nov 11, 2015",54.99,"0 .. 20,000","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",0,0,NA
1115,Troubles Land,"Sep 11, 2015",4.99,"0 .. 20,000",ENKSoft,ENKSoft,0,0,NA
1116,Wicked Witches,"Nov 27, 2015",9.99,"0 .. 20,000",Ectoplasm Studio Inc.,Ectoplasm Studio Inc.,0,0,NA
