subcategory,rank,year,name,show,affiliation,title
Specials,Nominee,2016,Amy Rosner,NA,CBS,CBS Sunday Morning: The Food Issue: Eat Drink & Be Merry
"Television Program, on Location",Nominee,2016,Cynthia Hill,NA,PBS,A Chefâ€™s Life
Documentary,Nominee,2016,Kevin Pang,NA,"Vimeo, iTunes, Amazon, Google Play",For Grace
"Television Program, on Location",Nominee,2016,Nari Kye,NA,PBS,The Mind of a Chef
"Video Webcast, Fixed Location and/or Instructional",Nominee,2016,Brian Egan,NA,foodandwine.com,Mad Genius Tips
Documentary,Nominee,2016,Melanie Wood,NA,MSNBC,Just Eat It: A Food Waste Story
"Video Webcast, On Location",Nominee,2016,Ryan Ffrench,NA,youtube.com/zagat,Seafood at the Source
Visual and Technical Excellence,Nominee,2016,Geoffrey Drummond,NA,Cooking Channel,Avec Eric Season 3
Documentary,Winner,2016,Melody Gilbert,NA,"DirecTV Audience Network, iTunes",The Starfish Throwers
Visual and Technical Excellence,Winner,2016,Eric Freidenberg,NA,Netflix,Chefâ€™s Table
Visual and Technical Excellence,Winner,2016,Ravi Subramanian,NA,Netflix,Chefâ€™s Table
"Television Program, in Studio or Fixed Location",Nominee,2016,Dan Connell,NA,WETA,Patiâ€™s Mexican Table
Visual and Technical Excellence,Nominee,2016,Sarorn R Sim,NA,Cooking Channel,Avec Eric Season 3
"Video Webcast, Fixed Location and/or Instructional",Nominee,2016,Keri Hansen,NA,foodandwine.com,Mad Genius Tips
Documentary,Nominee,2016,Jenny Rustemeyer,NA,MSNBC,Just Eat It: A Food Waste Story
Television Segment,Nominee,2016,Bianca Borges,NA,NBC,TODAY Showâ€™s â€œTODAY Foodâ€
Television Segment,Nominee,2016,Samantha Wender,NA,NBC,TODAY Showâ€™s â€œTODAY Foodâ€
Television Segment,Nominee,2016,Carson Daly,NA,NBC,TODAY Showâ€™s â€œTODAY Foodâ€
Television Segment,Nominee,2016,Rainy Farrell,NA,NBC,TODAY Showâ€™s â€œTODAY Foodâ€
Television Segment,Nominee,2016,Jackie Olensky,NA,NBC,TODAY Showâ€™s â€œTODAY Foodâ€
Specials,Winner,2016,Laurie Donnelly,NA,PBS,Lidia Celebrates America: Home for the Holidays
Television Segment,Nominee,2016,Allison Simpson,NA,NBC,TODAY Showâ€™s â€œTODAY Foodâ€
Visual and Technical Excellence,Winner,2016,Brad Grossman,NA,Netflix,Chefâ€™s Table
Visual and Technical Excellence,Winner,2016,Andrew Fried,NA,Netflix,Chefâ€™s Table
Television Segment,Winner,2016,Allison Aubrey,NA,PBS,"PBS NewsHour's ""Food4Thought"""
"Television Program, on Location",Winner,2016,David Beebe,NA,PBS,Iâ€™ll Have What Philâ€™s Having
"Video Webcast, Fixed Location and/or Instructional",Winner,2016,Jared Jacang Maher,NA,craftsy.com,Indian Curries: The Basics & Beyond
Visual and Technical Excellence,Winner,2016,Clay Jeter,NA,Netflix,Chefâ€™s Table
Documentary,Nominee,2016,Mark Helenowski,NA,"Vimeo, iTunes, Amazon, and Google Play",For Grace
Visual and Technical Excellence,Winner,2016,Adam Bricker,NA,Netflix,Chefâ€™s Table
Specials,Nominee,2016,Rand Morrison,NA,CBS,CBS Sunday Morning: The Food Issue: Eat Drink & Be Merry
Visual and Technical Excellence,Winner,2016,Brian McGinn,NA,Netflix,Chefâ€™s Table
Television Segment,Nominee,2016,Tina DeGraff,NA,NBC,TODAY Showâ€™s â€œTODAY Foodâ€
"Television Program, on Location",Winner,2016,Christopher Collins,NA,PBS,Iâ€™ll Have What Philâ€™s Having
"Television Program, on Location",Winner,2016,Lydia Tenaglia,NA,PBS,Iâ€™ll Have What Philâ€™s Having
"Video Webcast, Fixed Location and/or Instructional",Nominee,2016,Matt Duckor,NA,epicurious.com,3-Ingredient Recipes
"Video Webcast, Fixed Location and/or Instructional",Winner,2016,Raghavan Iyer,NA,www.craftsy.com,Indian Curries: The Basics & Beyond
Specials,Nominee,2016,Rachel Nicole Purnell,NA,Food Network,Christmas at Bobbyâ€™s
"Television Program, in Studio or Fixed Location",Winner,2016,Dan Connell,NA,Cooking Channel,Extra Virgin
Visual and Technical Excellence,Winner,2016,J Santos,NA,Netflix,Chefâ€™s Table
"Television Program, in Studio or Fixed Location",Winner,2016,Sara Porter,NA,Cooking Channel,Extra Virgin
Television Segment,Nominee,2016,Deborah Kosofsky,NA,NBC,TODAY Showâ€™s â€œTODAY Foodâ€
"Television Program, on Location",Nominee,2016,Cynthia Hill,NA,PBS,A Chefâ€™s Life
Documentary,Nominee,2016,Grant Baldwin,NA,MSNBC,Just Eat It: A Food Waste Story
"Television Program, on Location",Winner,2016,Richard Rosenthal,NA,PBS,Iâ€™ll Have What Philâ€™s Having
"Television Program, on Location",Winner,2016,Craig Shepherd,NA,PBS,Iâ€™ll Have What Philâ€™s Having
Podcast,Nominee,2016,Kenzi Wilbur,NA,iTunes and Soundcloud,Burnt Toast
Visual and Technical Excellence,Nominee,2016,Rhiannon Hyde,NA,eatingwell.com and foodforthoughtfilm.com,"Food for Thought, Food for Life"
Television Segment,Nominee,2016,Matt Lauer,NA,NBC,TODAY Showâ€™s â€œTODAY Foodâ€
Television Segment,Nominee,2016,Savannah Guthrie,NA,NBC,TODAY Showâ€™s â€œTODAY Foodâ€
"Video Webcast, On Location",Nominee,2016,James Mulcahy,NA,youtube.com/zagat,Seafood at the Source
"Television Program, on Location",Winner,2016,John Bedolis,NA,PBS,Iâ€™ll Have What Philâ€™s Having
"Video Webcast, Fixed Location and/or Instructional",Nominee,2016,Alexandra Vallis,NA,foodandwine.com,Mad Genius Tips
Visual and Technical Excellence,Nominee,2016,Justin Barocas,NA,Cooking Channel,Avec Eric Season 3
Visual and Technical Excellence,Nominee,2016,Susan Rockefeller,NA,"Food for Thought, Food for Life",NA
Television Segment,Winner,2016,Mary Beth Durkin,NA,PBS,"PBS NewsHour's ""Food4Thought"""
Television Segment,Nominee,2016,Sarah LeTrent,NA,"Airs on: CNN, CNN Airport, and CNN.com","â€œDiving for Maine Sea Urchin,â€ â€œTom the Truffle Dog,â€ â€œAre Vertical Farms the Future?â€"
Television Segment,Nominee,2016,Jeremy Harlan,NA,CNN/CNN Airport/CNN.com,CNN
"Television Program, in Studio or Fixed Location",Nominee,2016,Pati Jinich,NA,"WETA, distributed nationally by American Public Television",Pati's Mexican Table
"Television Program, on Location",Nominee,2016,Vivian Howard,NA,PBS,A Chef's Life
"Television Program, on Location",Winner,2016,Laurie Donnelly,NA,PBS,I'll Have What Phil's Having
"Television Program, in Studio or Fixed Location",Nominee,2016,Jacques Pépin,NA,KQED-TV,Jacques Pepin Heart & Soul
"Television Program, on Location",Nominee,2016,Anthony Bourdain,NA,PBS,The Mind of a Chef
Specials,Winner,2016,Anne Adams,NA,PBS,Lidia Celebrates America: Home for the Holidays
Documentary,Nominee,2016,Kevin Pang,NA,"Vimeo, iTunes, Amazon, Google Play",For Grace
"Television Program, on Location",Nominee,2016,David Kinch,NA,PBS,The Mind of a Chef
Specials,Winner,2016,Shelly Burgess Nicotra,NA,PBS,Lidia Celebrates America: Home for the Holidays
Visual and Technical Excellence,Winner,2016,David Gelb,NA,Netflix,Chef's Table
"Television Program, on Location",Nominee,2016,Anna Chai,NA,PBS,The Mind of a Chef
Documentary,Winner,2016,Jesse Roesler,NA,"DirecTV Audience Network, iTunes",The Starfish Throwers
"Television Program, on Location",Nominee,2016,Siobhan Walshe,NA,PBS,The Mind of a Chef
"Television Program, on Location",Nominee,2016,Gabrielle Hamilton,NA,PBS,The Mind of a Chef
"Video Webcast, On Location",Winner,2016,Elana Schulman,NA,munchies.vice.com,The Sushi Chef: Oona Tempest and Toshio Oguma
"Television Program, in Studio or Fixed Location",Winner,2016,Gabriele Corcos,NA,Cooking Channel,Extra Virgin
Outstanding Personality/Host,Winner,2016,Vivian Howard,NA,PBS,A Chef's Life
Outstanding Personality/Host,Nominee,2016,Andrew Zimmern,NA,Travel Channel,Bizarre Foods
"Video Webcast, On Location",Nominee,2016,Angus Cann,NA,wholefoodsmarket.com/blog,Yellow Barn Biodynamic Farm
Outstanding Personality/Host,Nominee,2016,Pati Jinich,NA,"WETA, distributed nationally by American Public Television",Pati's Mexican Table
"Television Program, on Location",Winner,2016,Phil Rosenthal,NA,PBS,Iâ€™ll Have What Philâ€™s Having
Television Segment,Nominee,2016,Erica Hill,NA,NBC,TODAY Showâ€™s â€œTODAY Foodâ€
"Television Program, on Location",Nominee,2016,Jonathan Cianfrani,NA,PBS,The Mind of a Chef
Podcast,Nominee,2016,Jeremy Cherfas,NA,http://eatthispodcast.com,Eat This Podcast
Radio Show,Nominee,2016,Dan Charles,NA,NPR,Devotion to Food: Two Portraits
"Video Webcast, Fixed Location and/or Instructional",Nominee,2016,Justin Chapple,NA,foodandwine.com,Mad Genius Tips
"Television Program, in Studio or Fixed Location",Winner,2016,Gordon Elliott,NA,Cooking Channel,Extra Virgin
Specials,Winner,2016,Lidia Bastianich,NA,PBS,Lidia Celebrates America: Home for the Holidays
"Television Program, on Location",Nominee,2016,Nari Kye,NA,PBS,The Mind of a Chef
Visual and Technical Excellence,Nominee,2016,Jason Goldwatch,NA,Cooking Channel,Avec Eric Season 3
"Television Program, on Location",Nominee,2016,Joseph Caterini,NA,PBS,The Mind of a Chef
Specials,Nominee,2016,Nora Gerard,NA,CBS,CBS Sunday Morning: The Food Issue: Eat Drink & Be Merry
"Television Program, in Studio or Fixed Location",Winner,2016,Mark Schneider,NA,Cooking Channel,Extra Virgin
Radio Show,Winner,2016,Sarah Stolarz,NA,BBC World Service,The Food Chain â€“ A BBC World Service Co-Production with the Food Programme
Radio Show,Winner,2016,Kent DePinto,NA,BBC World Service,The Food Chain â€“ A BBC World Service Co-Production with the Food Programme
Specials,Nominee,2016,Elina Brown,NA,Food Network,Christmas at Bobbyâ€™s
"Television Program, on Location",Nominee,2016,Michael Steed,NA,PBS,The Mind of a Chef
Specials,Nominee,2016,Charles Osgood,NA,CBS,CBS Sunday Morning: The Food Issue: Eat Drink & Be Merry
Podcast,Nominee,2016,Kristen Miglore,NA,iTunes and Soundcloud,Burnt Toast
Radio Show,Nominee,2016,Jeff Rogers,NA,NPRâ€™s The Salt,Whatâ€™s On Your Plate: The Family Peach Farm That Became a Symbol of the Food Revolution and A Crime of Passion: When the Love of Yogurt Burned Too Bright
"Television Program, on Location",Nominee,2016,Jared Andrukanis,NA,PBS,The Mind of a Chef
Radio Show,Winner,2016,Dan Saladino,NA,BBC World Service,The Food Chain â€“ A BBC World Service Co-Production with the Food Programme
Visual and Technical Excellence,Winner,2016,Will D. Basanta,NA,Netflix,Chefâ€™s Table
Television Segment,Nominee,2016,NBC's TODAY Show,NA,NBC,TODAY Showâ€™s â€œTODAY Foodâ€
Visual and Technical Excellence,Nominee,2016,Jackie French,NA,eatingwell.com and foodforthoughtfilm.com,"Food for Thought, Food for Life"
Podcast,Nominee,2016,Henry Molofsky,NA,iTunes and Soundcloud,Burnt Toast
Specials,Nominee,2016,Nora Gerard,NA,CBS,CBS Sunday Morning: The Food Issue: Eat Drink & Be Merry
Visual and Technical Excellence,Winner,2016,Will D. Basanta,NA,Netflix,Chefâ€™s Table
Podcast,Nominee,2016,Jeremy Cherfas,NA,http://eatthispodcast.com,Eat This Podcast
"Television Program, in Studio or Fixed Location",Nominee,2016,Pati Jinich,NA,"WETA, distributed nationally by American Public Television",Pati's Mexican Table
Visual and Technical Excellence,Nominee,2016,Daniel McKeown,NA,Cooking Channel,Avec Eric Season 3
"Video Webcast, On Location",Nominee,2016,Angus Cann,NA,wholefoodsmarket.com/blog,Yellow Barn Biodynamic Farm
Television Segment,Nominee,2016,Sarah LeTrent,NA,"Airs on: CNN, CNN Airport, and CNN.com","â€œDiving for Maine Sea Urchin,â€ â€œTom the Truffle Dog,â€ â€œAre Vertical Farms the Future?â€"
Visual and Technical Excellence,Nominee,2016,Benjamin Di Giacomo,NA,Cooking Channel,Avec Eric Season 3
Visual and Technical Excellence,Nominee,2016,Matthew Vigil,NA,Cooking Channel,Avec Eric Season 3
Visual and Technical Excellence,Nominee,2016,Robert Featherstone,NA,eatingwell.com and foodforthoughtfilm.com,"Food for Thought, Food for Life"
"Television Program, on Location",Nominee,2015,Andrew Zimmern,NA,Travel Channel,Bizarre Foods
Visual and Technical Excellence,Winner,2015,Reva Keller,NA,chefsteps.com,Wall of Fire: A ChefSteps Story
Visual and Technical Excellence,Winner,2015,Sandy Smolan,NA,chefsteps.com,Wall of Fire: A ChefSteps Story
Visual and Technical Excellence,Nominee,2015,Gab Taraboulsy,NA,tastemade.com,The Grill Iron
Visual and Technical Excellence,Nominee,2015,Clenet Verdi-Rose,NA,tastemade.com,The Grill Iron
"Television Program, in Studio or Fixed Location",Nominee,2015,Bobby Flay,NA,Food Network,Bobby Flay's Barbecue Addiction
"Television Program, in Studio or Fixed Location",Winner,2015,Martha Stewart,NA,PBS,Martha Stewart's Cooking School
"Television Program, in Studio or Fixed Location",Nominee,2015,Sara Moulton,NA,PBS,Sara's Weeknight Meals
"Television Program, on Location",Nominee,2015,Vivian Howard,NA,PBS,A Chef's Life
"Video Webcast, Fixed Location and/or Instructional",Winner,2015,Richard B. Wallace,NA,chefsteps.com,ChefSteps
Special/Documentary (Television or Video Webcast),Nominee,2015,Douglas Tirola,NA,Showtime,Hey Bartender
Visual and Technical Excellence,Winner,2015,Chris Young,NA,chefsteps.com,Wall of Fire: A ChefSteps Story
"Television Program, on Location",Winner,2015,Anthony Bourdain,NA,PBS,The Mind of a Chef
"Video Webcast, Fixed Location and/or Instructional",Winner,2015,Chris Young,NA,chefsteps.com,ChefSteps
"Television Program, on Location",Winner,2015,Michael Steed,NA,PBS,The Mind of a Chef
"Television Program, on Location",Winner,2015,Lydia Tenaglia,NA,PBS,The Mind of a Chef
"Television Program, on Location",Winner,2015,Christopher Collins,NA,PBS,The Mind of a Chef
Television Segment,Winner,2015,Anthony Mason,NA,CBS,"CBS This Morning's ""The Dish"""
Visual and Technical Excellence,Nominee,2015,Rex Miller,NA,PBS,A Chef's Life
Visual and Technical Excellence,Nominee,2015,Tom Vickers,NA,PBS,A Chef's Life
Television Segment,Winner,2015,Vinita Nair,NA,CBS,"CBS This Morning's ""The Dish"""
Television Segment,Winner,2015,Brian Applegate,NA,CBS,"CBS This Morning's ""The Dish"""
"Video Webcast, Fixed Location and/or Instructional",Nominee,2015,Michael Singer,NA,cookingchanneltv.com/wrong,You're Eating It Wrong
"Video Webcast, On Location",Nominee,2015,Daniel Klein,NA,The Perennial Plate: Africa and the Americas,NA
Visual and Technical Excellence,Nominee,2015,Cynthia Hill,NA,PBS,A Chef's Life
Visual and Technical Excellence,Nominee,2015,Ryan Hase,NA,tastemade.com,The Grill Iron
"Video Webcast, Fixed Location and/or Instructional",Nominee,2015,Max Osswald,NA,cookingchanneltv.com/wrong,You're Eating It Wrong
Visual and Technical Excellence,Nominee,2015,Alex Emanuele,NA,tastemade.com,The Grill Iron
"Video Webcast, Fixed Location and/or Instructional",Nominee,2015,Adam Silver,NA,cookingchanneltv.com/wrong,You're Eating It Wrong
Television Segment,Winner,2015,Greg Mirman,NA,CBS,"CBS This Morning's ""The Dish"""
"Video Webcast, On Location",Winner,2015,Liza Deguia,NA,foodcurated.com,food.curated
Visual and Technical Excellence,Winner,2015,Grant Lee Crilly,NA,chefsteps.com,Wall of Fire: A ChefSteps Story
"Television Program, in Studio or Fixed Location",Winner,2015,Kimberly Miller Olko,NA,PBS,Martha Stewart's Cooking School
"Television Program, in Studio or Fixed Location",Winner,2015,Greta Anthony,NA,PBS,Martha Stewart's Cooking School
"Video Webcast, Fixed Location and/or Instructional",Nominee,2015,Eric Slatkin,NA,tastemade.com,Thirsty For...
"Video Webcast, Fixed Location and/or Instructional",Nominee,2015,Joe T. Lin,NA,cookingchanneltv.com/wrong,You're Eating It Wrong
Visual and Technical Excellence,Nominee,2015,Jay Holzer,NA,tastemade.com,The Grill Iron
"Video Webcast, Fixed Location and/or Instructional",Nominee,2015,Alex Lisowski,NA,cookingchanneltv.com/wrong,You're Eating It Wrong
Radio Show,Winner,2015,Davia Nelson,NA,NPR,Hidden Kitchens World
"Television Program, in Studio or Fixed Location",Winner,2015,Calia I. Brencsons-Van Dyk,NA,PBS,Martha Stewart's Cooking School
Special/Documentary (Television or Video Webcast),Winner,2015,Smriti Keshari,NA,iTunes and Netflix,Food Chains
"Television Program, on Location",Nominee,2015,Rex Miller,NA,PBS,A Chef's Life
Special/Documentary (Television or Video Webcast),Winner,2015,Hamilton Fish,NA,iTunes and Netflix,Food Chains
"Television Program, on Location",Nominee,2015,Malinda Maynor Lowery,NA,PBS,A Chef's Life
Television Segment,Nominee,2015,Irit Nayden,NA,ABC 7 Chicago,The Hungry Hound
"Video Webcast, Fixed Location and/or Instructional",Nominee,2015,Dan Pashman,NA,cookingchanneltv.com/wrong,You're Eating It Wrong
Special/Documentary (Television or Video Webcast),Winner,2015,Eva Longoria,NA,iTunes and Netflix,Food Chains
"Video Webcast, On Location",Nominee,2015,Aube Giroux,NA,pbs.org/food/blogs/kitchen-vignettes,Kitchen Vignettes
"Television Program, on Location",Nominee,2015,Selena Lauterer,NA,PBS,A Chef's Life
Special/Documentary (Television or Video Webcast),Winner,2015,Forest Whitaker,NA,iTunes and Netflix,Food Chains
Special/Documentary (Television or Video Webcast),Winner,2015,Eric Schlosser,NA,iTunes and Netflix,Food Chains
Radio Show,Winner,2015,Nikki Silva,NA,NPR,Hidden Kitchens World
"Television Program, in Studio or Fixed Location",Winner,2015,Lisa Wagner,NA,PBS,Martha Stewart's Cooking School
Radio Show,Nominee,2015,Vivian Goodman,NA,WKSU,Quick Bites
"Video Webcast, On Location",Nominee,2015,Mirra Fine,NA,theperennialplate.com,The Perennial Plate: Africa and the Americas
Outstanding Personality/Host,Nominee,2015,Vivian Howard,NA,PBS,A Chef's Life
"Television Program, on Location",Nominee,2015,Ben Knight,NA,PBS,A Chef's Life
Television Segment,Nominee,2015,Jason DeRusha,NA,WCCO,"WCCO This Morning's ""DeRusha Eats"""
"Video Webcast, Fixed Location and/or Instructional",Winner,2015,Grant Lee Crilly,NA,chefsteps.com,ChefSteps
Outstanding Personality/Host,Nominee,2015,Pete Evans,NA,PBS,Moveable Feast with Fine Cooking
"Video Webcast, Fixed Location and/or Instructional",Nominee,2015,Jay Holzer,NA,youtube.com/tastemade,Thirsty For...
"Television Program, on Location",Winner,2015,Jared Andrukanis,NA,PBS,The Mind of a Chef
"Video Webcast, Fixed Location and/or Instructional",Nominee,2015,Fritz Manger,NA,cookingchanneltv.com/wrong,You're Eating It Wrong
"Television Program, in Studio or Fixed Location",Nominee,2015,Natalie Gustafson,NA,PBS,Sara's Weeknight Meals
"Television Program, in Studio or Fixed Location",Nominee,2015,Adrienne Hammel,NA,PBS,Sara's Weeknight Meals
"Television Program, on Location",Nominee,2015,Cynthia Hill,NA,NPR,A Chef's Life
Special/Documentary (Television or Video Webcast),Nominee,2015,Brandon Loper,NA,vimeo.com/ondemand/afilmaboutcoffee,A Film About Coffee
Radio Show,Nominee,2015,Julia Redpath Buckley,NA,NPR,"All Things Considered's ""Found Recipes"""
Radio Show,Nominee,2015,Serri Graslie,NA,NPR,"All Things Considered's ""Found Recipes"""
Special/Documentary (Television or Video Webcast),Nominee,2015,Dalia Burde,NA,vimeo.com/ondemand/afilmaboutcoffee,A Film About Coffee
Special/Documentary (Television or Video Webcast),Nominee,2015,Susan Bedusa,NA,Showtime,Hey Bartender
Podcast,Winner,2015,Matt Cunningham,NA,soundcloud.com/thefeedpodcast,The Feed Podcast
Podcast,Nominee,2015,Jeremy Cherfas,NA,eatthispodcast.com,Eat this Podcast
Podcast,Winner,2015,Steve Dolinsky,NA,soundcloud.com/thefeedpodcast,The Feed Podcast
"Television Program, in Studio or Fixed Location",Nominee,2015,Rachel Nicole Purnell,NA,Food Network,Bobby Flay's Barbecue Addiction
Radio Show,Nominee,2015,Audie Cornish,NA,NPR,"All Things Considered's ""Found Recipes"""
Television Segment,Winner,2015,Marci Waldman,NA,CBS,"CBS This Morning's ""The Dish"""
Radio Show,Nominee,2015,Melissa Block,NA,NPR,"All Things Considered's ""Found Recipes"""
"Video Webcast, Fixed Location and/or Instructional",Nominee,2015,Justin Marshall,NA,cookingchanneltv.com/wrong,You're Eating It Wrong
Television Segment,Nominee,2015,Steve Dolinsky,NA,ABC 7 Chicago,The Hungry Hound
Podcast,Winner,2015,Jennifer Fite,NA,soundcloud.com/thefeedpodcast,The Feed Podcast
"Television Program, on Location",Winner,2015,Joseph Caterini,NA,PBS,The Mind of a Chef
Podcast,Nominee,2015,Tina Antolini,NA,southerfoodways.org/gravy,Gravy
Radio Show,Nominee,2015,Melissa Gray,NA,NPR,"All Things Considered's ""Found Recipes"""
Outstanding Personality/Host,Winner,2015,Rachel Nicole Purnell,NA,Food Network,Barefoot Contessa: Back to Basics
Radio Show,Nominee,2015,Robert Siegel,NA,NPR,"All Things Considered's ""Found Recipes"""
Special/Documentary (Television or Video Webcast),Winner,2015,Sanjay Rawal,NA,iTunes and Netflix,Food Chains
Special/Documentary (Television or Video Webcast),Nominee,2014,Thaddeus Homan,NA,PBS,The Harvey Girls: Opportunity Bound
"Video Webcast, Fixed Location and/or Instructional",Nominee,2014,Sarah Mastracco,NA,upwave.com,Upwave Eat Videos
Outstanding Personality/Host,Nominee,2014,Andrea Immer Robinson,NA,andreawine.com,The 30-Minute Wine Whiz
Special/Documentary (Television or Video Webcast),Nominee,2014,Cathy Lewis,NA,CBS,"CBS Sunday Morning: ""Eat, Drink and be Merry"""
"Television Program, in Studio or Fixed Location",Nominee,2014,John Parry,NA,PBS,Lidia's Kitchen
"Video Webcast, Fixed Location and/or Instructional",Nominee,2014,Ryan Matthew Smith,NA,chefsteps.com,ChefSteps
"Television Show, In Studio or Fixed Location",Winner,2014,Calia I. Brencsons-Van Dyk,NA,PBS,Martha Stewart's Cooking School
Special/Documentary (Television or Video Webcast),Nominee,2014,Robin Sanders,NA,CBS,"CBS Sunday Morning: ""Eat, Drink and be Merry"""
Outstanding Personality/Host,Nominee,2014,Sara Moulton,NA,PBS,Sara's Weeknight Meals
Special/Documentary (Television or Video Webcast),Winner,2014,Bartley Powers,NA,PBS,Eating Alabama
"Television Program, on Location",Nominee,2014,Cynthia Hill,NA,PBS,A Chef's Life
"Video Webcast, On Location",Nominee,2014,Aube Giroux,NA,kitchenvignettes.blogspot.com/PBS,Kitchen Vignettes
"Video Webcast, Fixed Location and/or Instructional",Nominee,2014,Pancho Gatchalian,NA,upwave.com,Upwave Eat Videos
"Television Program, in Studio or Fixed Location",Winner,2014,Christina Deyo,NA,PBS,Martha Stewart's Cooking School
"Television Program, on Location",Winner,2014,Jared Andrukanis,NA,PBS,The Mind of a Chef
Special/Documentary (Television or Video Webcast),Nominee,2014,Michael Parks,NA,PBS,The Harvey Girls: Opportunity Bound
"Video Webcast, Fixed Location and/or Instructional",Nominee,2014,Chris Young,NA,chefsteps.com,ChefSteps
"Television Program, on Location",Winner,2014,Christopher Collins,NA,PBS,The Mind of a Chef
Television Segment,Nominee,2014,Mary Raffalli,NA,CBS,CBS Sunday Morning
Special/Documentary (Television or Video Webcast),Nominee,2014,Amy Rosner,NA,CBS,"CBS Sunday Morning: ""Eat, Drink and be Merry"""
Special/Documentary (Television or Video Webcast),Nominee,2014,Amol Mhatre,NA,CBS,"CBS Sunday Morning: ""Eat, Drink and be Merry"""
Special/Documentary (Television or Video Webcast),Nominee,2014,Katrina Parks,NA,PBS,The Harvey Girls: Opportunity Bound
"Video Webcast, On Location",Nominee,2014,Kelly Le Castre,NA,darkrye.com,Dark Rye
Television Segment,Nominee,2014,Jeremy Harlan,NA,CNN and CNN.com,American Journey
Radio Show,Nominee,2014,Emiko Tawagawa,NA,Public Radio,Here and Now
"Television Program, in Studio or Fixed Location",Winner,2014,Greta Anthony,NA,PBS,Martha Stewart's Cooking School
Television Segment,Winner,2014,Monica Rogozinski,NA,WHYY-TV,"Friday Arts, Art of Food"
Radio Show,Nominee,2014,Jeremy Hobson,NA,Public Radio,Here and Now
Outstanding Personality/Host,Winner,2014,Rachel Nicole Purnell,NA,Food Network,Barefoot Contessa: Back to Basics
"Video Webcast, On Location",Nominee,2014,Matthew Schoch,NA,kitchenvignettes.blogspot.com/PBS,Kitchen Vignettes
"Television Program, on Location",Winner,2014,Lydia Tenaglia,NA,PBS,The Mind of a Chef
Television Segment,Nominee,2014,Sarah LeTrent,NA,CNN and CNN.com,American Journey
Radio Show,Nominee,2014,Sally Swift,NA,Public Radio,The Splendid Table
"Television Program, on Location",Winner,2014,Jared Adrukanis,NA,PBS,The Mind of a Chef
"Video Webcast, Fixed Location and/or Instructional",Winner,2014,Jay Holzer,NA,youtube.com/tastemade,Thirsty For...
"Video Webcast, On Location",Winner,2014,Daniel Klein,NA,theperennialplate.com,The Perennial Plate: Europe and South Asia
Special/Documentary (Television or Video Webcast),Nominee,2014,Jason Sacca,NA,CBS,"CBS Sunday Morning: ""Eat, Drink and be Merry"""
Radio Show,Nominee,2014,Lynne Rossetto Kasper,NA,Public Radio,The Splendid Table
"Television Program, in Studio or Fixed Location",Nominee,2014,Peter Gethers,NA,Food Network,Heartland Table
"Television Program, on Location",Nominee,2014,Rob Tate,NA,PBS,Lidia Celebrates America: Freedom and Independence
"Video Webcast, On Location",Winner,2014,Mirra Fine,NA,theperennialplate.com,The Perennial Plate: Europe and South Asia
"Television Program, in Studio or Fixed Location",Winner,2014,Olivia Schneider,NA,PBS,Martha Stewart's Cooking School
Radio Show,Nominee,2014,Robin Young,NA,Public Radio,Here and Now
"Television Program, on Location",Nominee,2014,Vivian Howard,NA,PBS,A Chef's Life
"Video Webcast, On Location",Nominee,2014,Ira Chute,NA,darkrye.com,Dark Rye
"Television Program, on Location",Nominee,2014,Mimi Adams,NA,PBS,Lidia Celebrates America: Freedom and Independence
"Television Program, on Location",Nominee,2014,Lidia Bastianich,NA,PBS,Lidia Celebrates America: Freedom and Independence
Television Segment,Nominee,2014,Jon Carras,NA,CBS,CBS Sunday Morning
"Video Webcast, Fixed Location and/or Instructional",Nominee,2014,Space Station Media,NA,upwave.com,Upwave Eat Videos
"Television Program, on Location",Nominee,2014,Markay Media,NA,PBS,A Chef's Life
"Video Webcast, Fixed Location and/or Instructional",Nominee,2014,SeeFood Media,NA,upwave.com,Upwave Eat Videos
Special/Documentary (Television or Video Webcast),Winner,2014,Andrew Beck Grace,NA,PBS,Eating Alabama
"Television Program, in Studio or Fixed Location",Nominee,2014,Tanya Bastianich Manuali,NA,PBS,Lidia's Kitchen
Radio Show,Nominee,2014,Jennifer Russell,NA,Public Radio,The Splendid Table
"Video Webcast, Fixed Location and/or Instructional",Nominee,2014,Grant Lee Crilly,NA,chefsteps.com,ChefSteps
"Television Program, in Studio or Fixed Location",Nominee,2014,Amy Thielen,NA,Food Network,Heartland Table
"Television Program, in Studio or Fixed Location",Nominee,2014,Lidia Bastianich,NA,Food Network,Heartland Table
"Television Program, on Location",Nominee,2014,Anne Adams,NA,PBS,Lidia Celebrates America: Freedom and Independence
"Television Program, in Studio or Fixed Location",Winner,2014,Lisa Wagner,NA,PBS,Martha Stewart's Cooking School
"Television Program, in Studio or Fixed Location",Winner,2014,Martha Stewart,NA,PBS,Martha Stewart's Cooking School
Special/Documentary (Television or Video Webcast),Nominee,2014,Rand Morrison,NA,CBS,"CBS Sunday Morning: ""Eat, Drink and be Merry"""
Special/Documentary (Television or Video Webcast),Nominee,2014,Gavin Boyle,NA,CBS,"CBS Sunday Morning: ""Eat, Drink and be Merry"""
"Television Program, in Studio or Fixed Location",Winner,2014,Michael Morrison,NA,PBS,Martha Stewart's Cooking School
