subcategory,rank,year,name,title,publisher
Single Subject,Nominee,2016,Alex Stupak,Tacos: Recipes and Provocations,(Clarkson Potter)
Single Subject,Nominee,2016,Jordana Rothman,Tacos: Recipes and Provocations,(Clarkson Potter)
Single Subject,Nominee,2016,Marc Vetri,"Mastering Pasta: The Art and Practice of Handmade Pasta, Gnocchi, and Risotto",(Ten Speed Press)
Single Subject,Nominee,2016,David Joachim,"Mastering Pasta: The Art and Practice of Handmade Pasta, Gnocchi, and Risotto",(Ten Speed Press)
Vegetable Focused and Vegetarian,Winner,2016,Michael Anthony,V Is for Vegetables: Inspired Recipes & Techniques for Home Cooks,"(Little, Brown and Company)"
Reference and Scholarship,Nominee,2016,Darra Goldstein,The Oxford Companion to Sugar and Sweets,(Oxford University Press)
Reference and Scholarship,Nominee,2016,Angela Jill Cooley,To Live and Dine in Dixie: The Evolution of Urban Food Culture in the Jim Crow South,(University of Georgia Press)
Single Subject,Winner,2016,Diana Henry,A Bird in the Hand: Chicken Recipes for Every Day and Every Mood,(Mitchell Beazley)
Vegetable Focused and Vegetarian,Nominee,2016,Madhur Jaffrey,Vegetarian India: A Journey Through the Best of Indian Home Cooking,(Alfred A. Knopf)
International,Nominee,2016,Nancy Singleton Hachisu,Preserving the Japanese Way,(Andrews McMeel)
Photography,Winner,2016,Heidi Swanson,Near & Far: Recipes Inspired by Home and Travel,(Ten Speed Press)
Photography,Nominee,2016,Darra Goldstein,Fire and Ice: Classic Nordic Cooking,(Ten Speed Press)
Photography,Nominee,2016,Steven F. Satterfield,Root to Leaf: A Southern Chef Cooks Through the Seasons,(Harper Wave)
Writing and Literature,Winner,2016,Marion Nestle,Soda Politics: Taking on Big Soda (and Winning),(Oxford University Press)
Reference and Scholarship,Winner,2016,Toni Tipton-Martin,The Jemima Code: Two Centuries of African American Cookbooks,(University of Texas Press)
International,Winner,2016,Steven Cook,Zahav: A World of Israeli Cooking,(Rux Martin Books/Houghton Mifflin Harcourt)
General Cooking,Nominee,2015,SAVEUR,Saveur: The New Classics Cookbook,(Weldon Owen)
General Cooking,Winner,2015,Sara Kate Gillingham,"The Kitchn Cookbook: Recipes, Kitchens & Tips to Inspire Your Cooking",(Clarkson Potter)
American Cooking,Winner,2015,Sean Brock,Heritage,(Artisan)
Vegetable Focused and Vegetarian,Nominee,2015,Bruce Weinstein,Vegetarian Dinner Parties: 150 Meatless Meals Good Enough to Serve to Company,(Rodale Books)
International,Winner,2015,David Sterling,YucatÃ¡n: Recipes from a Culinary Expedition,(University of Texas Press)
International,Nominee,2015,Ana Sofia Pelaez,"The Cuban Table: A Celebration of Food, Flavors, and History",(St. Martin's Press)
American Cooking,Nominee,2015,Jeremy Sewall,The New England Kitchen: Fresh Takes on Seasonal Recipes,(Rizzoli New York)
General Cooking,Nominee,2015,Marcus Samuelsson,Marcus Off Duty: The Recipes I Cook at Home,(Rux Martin/Houghton Mifflin Harcourt)
Writing and Literature,Nominee,2015,Ted Genoways,"The Chain: Farm, Factory, and the Fate of Our Food",(HarperCollins Publishers)
American Cooking,Nominee,2015,Erin Byers Murray,The New England Kitchen: Fresh Takes on Seasonal Recipes,(Rizzoli New York)
Focus on Health,Nominee,2015,Michelle Tam,Nom Nom Paleo: Food for Humans,(Andrews McMeel Publishing)
Vegetable Focused and Vegetarian,Winner,2015,Amy Chaplin,At Home in the Whole Food Kitchen: Celebrating the Art of Eating Well,(Roost Books)
Single Subject,Nominee,2015,Jeffrey Weiss,CharcuterÃ­a: The Soul of Spain,(Agate Surrey)
Vegetable Focused and Vegetarian,Nominee,2015,Yotam Ottolenghi,Plenty More: Vibrant Vegetable Cooking from London's Ottolenghi,(Ten Speed Press)
Single Subject,Nominee,2015,Michael Ruhlman,Egg: A Culinary Exploration of the World's Most Versatile Ingredient,"(Little, Brown and Company)"
American Cooking,Nominee,2015,Terry Thompson-Anderson,"Texas on the Table: People, Places, and Recipes Celebrating the Flavors of the Lone Star State",(University of Texas Press)
Photography,Nominee,2015,Taylor Peden,A New Napa Cuisine,(Ten Speed Press)
Writing and Literature,Nominee,2015,Dan Jurafsky,The Language of Food: A Linguist Reads the Menu,(W. W. Norton & Company)
Vegetable Focused and Vegetarian,Nominee,2015,Mark Scarborough,Vegetarian Dinner Parties: 150 Meatless Meals Good Enough to Serve to Company,(Rodale Books)
Focus on Health,Nominee,2015,Nancy Singleton Hachisu,Nom Nom Paleo: Food for Humans,(Andrews McMeel Publishing)
International,Nominee,2015,Alex Day,My Paris Kitchen: Recipes and Stories,(Ten Speed Press)
General Cooking,Nominee,2015,Roy Finamore,Marcus Off Duty: The Reipes I Cook at Home,(Rux Martin/Houghton Mifflin Harcourt)
Cookbook Hall of Fame,Winner,2015,Barbara Kafka,NA,NA
General Cooking,Winner,2015,Faith Durand,"The Kitchn Cookbook: Recipes, Kitchens & Tips to Inspire Your Cooking",(Clarkson Potter)
Cookbook of the Year,Winner,2015,David Sterling,Yucatan: Recipes from a Culinary Expedition,(University of Texas Press)
Focus on Health,Winner,2015,Keith Schroeder,Cooking Light Mad Delicious: The Science of Making Healthy Food Taste Amazing,(Oxmoor House)
Focus on Health,Nominee,2015,Diana Henry,A Change of Appetite: Where Delicious Meets Healthy,(Mitchell Beazley)
Cooking from a Professional point of view,Nominee,2015,Christian F Puglisi,RelÃ¦: A Book of Ideas,(Ten Speed Press)
Cooking from a Professional point of view,Winner,2015,Nicolaus Balla,Bar Tartine: Techniques & Recipes,(Chronicle Books)
International,Nominee,2015,Ellen Silverman,"The Cuban Table: A Celebration of Food, Flavors, and History",(St. Martin's Press)
Cooking from a Professional point of view,Nominee,2015,Massimo Bottura,Never Trust A Skinny Italian Chef,(Phaidon Press)
Beverage,Nominee,2015,Alex Day,"Death & Co: Modern Classic Cocktails, with More than 500 Recipes",(Ten Speed Press)
Cooking from a Professional point of view,Winner,2015,Cortney Burns,Bar Tartine: Techniques & Recipes,(Chronicle Books)
Beverage,Nominee,2015,David Kaplan,"Death & Co: Modern Classic Cocktails, with More than 500 Recipes",(Ten Speed Press)
Reference and Scholarship,Nominee,2015,Ian Hemphill,The Spice & Herb Bible (Third Edition),(Robert Rose)
Beverage,Nominee,2015,Nick Fauchald,"Death & Co: Modern Classic Cocktails, with More than 500 Recipes",(Ten Speed Press)
Reference and Scholarship,Nominee,2015,Amy Bentley,"Inventing Baby Food: Taste, Health, and the Industrialization of the American Diet",(University of California Press)
Baking & Desserts,Nominee,2015,Kathleen Weber,"Della Fattoria Bread: 63 Foolproof Recipes for Yeasted, Enriched & Naturally Leavened Breads",(Artisan)
Beverage,Winner,2015,Dave Arnold,Liquid Intelligence: The Art and Science of the Perfect Cocktail,(W.W. Norton & Company)
Reference and Scholarship,Nominee,2015,Kate Hemphill,The Spice & Herb Bible (Third Edition),(Robert Rose)
Baking & Desserts,Winner,2015,Alice Medrich,"Flavor Flours: A New Way to Bake with Teff, Buckwheat, Sorghum, Other Whole & Ancient Grains, Nuts & Non-Wheat Flours",(Artisan)
Photography,Nominee,2015,Ed Anderson,"Sherry: A Modern Guide to the Wine World's Best-Kept Secret, with Cocktails and Recipes",(Ten Speed Press)
Baking & Desserts,Nominee,2015,Dorie Greenspan,Baking Chez Moi: Recipes from My Paris Home to Your Home Anywhere,(Rux Martin/Houghton Mifflin Harcourt)
Beverage,Nominee,2015,Talia Baiocchi,"Sherry: A Modern Guide to the Wine World's Best-Kept Secret, with Cocktails and Recipes",(Ten Speed Press)
Photography,Nominee,2015,Alex Day,A New Napa Cuisine,(Ten Speed Press)
Writing and Literature,Winner,2015,Dan Barber,The Third Plate: Field Notes on the Future of Food,(Penguin Press)
Single Subject,Winner,2015,Jennifer McLagan,"Bitter: A Taste of the World's Most Dangerous Flavor, with Recipes",(Ten Speed Press)
Photography,Winner,2015,Gabriele Galimberti,In Her Kitchen: Stories and Recipes from Grandmas Around the World,(Clarkson Potter)
Reference and Scholarship,Winner,2015,Adam Danforth,"Butchering Poultry, Rabbit, Lamb, Goat, and Pork: The Comprehensive Photographic Guide to Humane Slaughtering and Butchering",(Storey Publishing)
Cooking from a Professional point of view,Nominee,2014,David Kinch,Manresa: An Edible Reflection,(Ten Speed Press)
American Cooking,Nominee,2014,Will Guidara,I Love New York: Ingredients and Recipes,(Ten Speed Press)
Reference and Scholarship,Nominee,2014,William Sitwell,A History of Food in 100 Recipes,"(Little, Brown and Company)"
Focus on Health,Winner,2014,Shauna James Ahern,Gluten-Free Girl Every Day,(Houghton Mifflin Harcourt)
Vegetable Focused and Vegetarian,Nominee,2014,Sarah Copeland,Feast: Generous Vegetarian Meals for Any Eater and Every Appetite,(Chronicle Books)
Single Subject,Winner,2014,James O. Fraioli,Culinary Birds: The Ultimate Poultry Cookbook,(Running Press)
Writing and Literature,Nominee,2014,Luke Barr,"Provence, 1970: M. F. K. Fisher, Julia Child, James Beard, and the Reinvention of American Taste",(Clarkson Potter Publishers)
Photography,Winner,2014,Lars Williams,Rene Redzepi: A Work in Progress,(Phaidon Press)
Cooking from a Professional point of view,Winner,2014,Heston Blumenthal,Historic Heston,(Bloomsbury)
Cookbook of the Year,Winner,2014,Heston Blumenthal,Historic Heston,(Bloomsbury USA)
Reference and Scholarship,Nominee,2014,Helen Zoe Veit,"Modern Food, Moral Food: Self-Control, Science, and the Rise of Modern American Eating in the Early Twentieth Century",(The University of North Carolina Press)
Photography,Nominee,2014,Tuukka Koski,Mast Brothers Chocolate,"(Little, Brown and Company)"
Cooking from a Professional point of view,Nominee,2014,Christine Muhlke,Manresa: An Edible Reflection,(Ten Speed Press)
Baking & Desserts,Winner,2014,Jacquy Pfeiffer,The Art of French Pastry,(Knopf)
Single Subject,Nominee,2014,Cree LeFavour,Fish: 54 Seafood Feasts,(Chronicle Books)
Beverage,Winner,2014,Tony Conigliaro,"The Cocktail Lab: Unraveling the Mysteries of Flavor and Aroma in Drink, with Recipes",(Ten Speed Press)
Baking & Desserts,Nominee,2014,Chad Robertson,Tartine Book No. 3: Modern Ancient Classic Whole,(Chronicle Books)
General Cooking,Nominee,2014,Richard Blais,Try This at Home: Recipes from My Head to Your Plate,()
Focus on Health,Nominee,2014,Ellie Krieger,"Weeknight Wonders: Delicious, Healthy Dinners in 30 Minutes or Less",(Houghton Mifflin Harcourt)
Beverage,Nominee,2014,Jon Bonné,The New California Wine: A Guide to the Producers and Wines Behind a Revolution in Taste,(Ten Speed Press)
International,Nominee,2014,Andrew Blackmore-Dobbyn,Return to the Rivers: Recipes and Memories of the Himalayan River Valleys,(Lake isle Press)
Beverage,Nominee,2014,Amy Stewart,The Drunken Botanist: The Plants That Create the World's Great Drinks,(Algonquin Books)
Photography,Winner,2014,Romas Foord,Historic Heston,(Bloomsbury USA)
Photography,Winner,2014,Ali Kurshat Altinsoy,Rene Redzepi: A Work in Progress,(Phaidon Press)
Reference and Scholarship,Winner,2014,Adrian Miller,Soul Food: The Surprising Story of an American Cuisine One Plate at a Time,(The University of North Carolina Press)
Writing and Literature,Nominee,2014,James Oseland,"A Fork in the Road: Tales of Food, Pleasure and Discovery on the Road",(Lonely Planet)
International,Nominee,2014,Maureen Brown Fant,Sauces & Shapes: Pasta the Italian Way,(W. W. Norton & Company)
Focus on Health,Nominee,2014,Mark Bittman,VB6: Vegan Before 6:00 to Lose Weight and Restore Your Healthy ... for Good,(Clarkson Potter Publishers)
Single Subject,Winner,2014,John Ash,Culinary Birds: The Ultimate Poultry Cookbook,(Running Press)
International,Winner,2014,Fuchsia Dunlop,Every Grain of Rice: Simple Chinese Home Cooking,(W. W. Norton & Company)
General Cooking,Nominee,2014,David F. Tanis,One Good Dish,(Artisan)
Vegetable Focused and Vegetarian,Nominee,2014,Hugh Fearnley-Whittingstall,River Cottage Veg,(Ten Speed Press)
American Cooking,Nominee,2014,John Currence,"Pickles, Pigs & Whiskey: Recipes from My Three Favorite Food Groups and Then Some",(Andrews McMeel Publishing)
Writing and Literature,Winner,2014,Michael Moss,Salt Sugar Fat: How the Food Giants Hooked Us,(Random House)
American Cooking,Winner,2014,Amy Thielen,The New Midwestern Table: 200 Heartland Recipes,(Random House)
Cooking from a Professional point of view,Nominee,2014,Rene Redzepi,Rene Redzepi: A Work in Progress,(Phaidon Press)
Photography,Winner,2014,Rene Redzepi,Rene Redzepi: A Work in Progress,(Phaidon Press)
Cookbook Hall of Fame,Winner,2014,Diana Kennedy,NA,NA
Single Subject,Nominee,2014,Taylor Boetticher,"In the Charcuterie: The Fatted Calf's Guide to Making Sausage, Salumi, Pates, Roasts, Confits, and Other Meaty Goods",(Ten Speed Press)
Baking & Desserts,Winner,2014,Martha Rose Shulman,The Art of French Pastry,(Knopf)
General Cooking,Winner,2014,Tim P. Byres,Smoke: New Firewood Cooking,(Rizzoli New York)
American Cooking,Nominee,2014,Daniel Humm,I Love New York: Ingredients and Recipes,(Ten Speed Press)
Focus on Health,Winner,2014,Shauna James Ahern,Gluten-Free Girl Every Day,(Houghton Mifflin Harcourt)
Single Subject,Nominee,2014,Toponia Miller,"In the Charcuterie: The Fatted Calf's Guide to Making Sausage, Salumi, Pates, Roasts, Confits, and Other Meaty Goods",(Ten Speed Press)
Vegetable Focused and Vegetarian,Winner,2014,Deborah Madison,Vegetable Literacy,(Ten Speed Press)
Writing and Literature,Nominee,2014,Luke Barr,"Provence, 1970: M. F. K. Fisher, Julia Child, James Beard, and the Reinvention of American Taste",(Clarkson Potter Publishers)
Reference and Scholarship,Nominee,2014,William Sitwell,A History of Food in 100 Recipes,"(Little, Brown and Company)"
International,Nominee,2014,Oretta Zanini de Vita,Sauces & Shapes: Pasta the Italian Way,(W. W. Norton & Company)
Photography,Winner,2014,Lars Williams,Rene Redzepi: A Work in Progress,(Phaidon Press)
Focus on Health,Nominee,2013,Sara Forte,The Sprouted Kitchen: A Tastier Take on Whole Foods,(Ten Speed Press)
Cooking from a Professional point of view,Nominee,2013,Cesare Casella,The Fundamental Techniques of Classic Italian Cuisine,(Abrams)
Beverage,Winner,2013,José Vouillamoz,"Wine Grapes: A Complete Guide to 1,368 Vine Varieties, Including Their Origins and Flavours",(Ecco)
Cooking from a Professional point of view,Nominee,2013,Jody Eddy,"Come In, We're Closed: An Invitation to Staff Meals at the World's Best Restaurants",(Running Press)
Single Subject,Nominee,2013,Jesse Griffiths,Afield: A Chef's Guide to Preparing and Cooking Wild Game and Fish,(Welcome Books)
American Cooking,Winner,2013,Cynthia Graubart,Mastering the Art of Southern Cooking,(Gibbs Smith)
Writing and Literature,Nominee,2013,Thomas McNamee,The Man Who Changed the Way We Eat: Craig Claiborne and the American Food Renaissance,(Free Press)
Baking & Desserts,Nominee,2013,Shelley Lance,The Dahlia Bakery Cookbook: Sweetness in Seattle,(William Morrow)
Writing and Literature,Winner,2013,Marcus Samuelsson,"Yes, Chef: A Memoir",(Random House)
American Cooking,Nominee,2013,David Joachim,Fire in My Belly,(Andrews McMeel Publishing)
Single Subject,Nominee,2013,Martha Holmberg,"Modern Sauces: More than 150 Recipes for Every Cook, Every Day",(Chronicle Books)
Photography,Nominee,2013,Dominique Malaterre,Toqu? Creators of a New Quebec Gastronomy,(les editions du passage)
Reference and Scholarship,Nominee,2013,Clark Wolf,101 Classic Cookbooks: 501 Classic Recipes,(Rizzoli New York)
Beverage,Winner,2013,Jancis Robinson,"Wine Grapes: A Complete Guide to 1,368 Vine Varieties, Including Their Origins and Flavours",(Ecco)
General Cooking,Winner,2013,Melissa Hamilton,Canal House Cooks Every Day,(Andrews McMeel Publishing)
Cooking from a Professional point of view,Nominee,2013,Christine Carroll,"Come In, We're Closed: An Invitation to Staff Meals at the World's Best Restaurants",(Running Press)
Cooking from a Professional point of view,Winner,2013,Normand Laprise,ToquÃ©! Creators of a New Quebec Gastronomy,(les Ã©ditions du passage)
International,Nominee,2013,Maricel Presilla,Gran Cocina Latina: The Food of Latin America,(W.W. Norton & Company)
Cookbook of the Year,Winner,2013,Maricel Presilla,Gran Cocina Latina: The Food of Latin America,()
Baking & Desserts,Nominee,2013,Sebastien Rouxel,Bouchon Bakery,(Artisan)
Focus on Health,Nominee,2013,Andrew Weil,"True Food: Seasonal, Sustainable, Simple, Pure","(Little, Brown and Company)"
American Cooking,Nominee,2013,Slade Rushing,Southern Comfort: A New Take on the Recipes We Grew Up With,(Ten Speed Press)
Reference and Scholarship,Nominee,2013,Anne Willan,"The Cookbook Library: Four Centuries of the Cooks, Writers, and Recipes That Made the Modern Cookbook",(University of California Press)
Cookbook Hall of Fame,Winner,2013,Anne Willan,NA,NA
Vegetable Focused and Vegetarian,Winner,2013,Diane Morgan,Roots: The Definitive Compendium with More Than 225 Recipes,(Chronicle Books)
Vegetable Focused and Vegetarian,Nominee,2013,Eddy Leroux,Foraged Flavor: Finding Fabulous Ingredients in Your Backyard or Farmer's Market,(Clarkson Potter Publishers)
American Cooking,Nominee,2013,Allison Vines-Rushing,Southern Comfort: A New Take on the Recipes We Grew Up With,(Ten Speed Press)
Writing and Literature,Nominee,2013,Tracie McMillan,"The American Way of Eating: Undercover at Walmart, Applebee's, Farm Fields and the Dinner Table",(Scribner)
Single Subject,Winner,2013,Nigel Slater,Ripe: A Cook in the Orchard,(Ten Speed Press)
Reference and Scholarship,Winner,2013,Sandor Ellix Katz,The Art of Fermentation: An In-Depth Exploration of Essential Concepts and Processes from Around the World,(Chelsea Green Publishing)
International,Winner,2013,Sami Tamimi,Jerusalem: A Cookbook,(Ten Speed Press)
International,Winner,2013,Yotam Ottolenghi,Jerusalem: A Cookbook,(Ten Speed Press)
Photography,Winner,2013,Katie Quinn Davies,What Katie Ate: Recipes and Other Bits & Pieces,(Viking Studio)
Beverage,Nominee,2013,Eric Asimov,How to Love Wine: A Memoir and Manifesto,(William Morrow)
General Cooking,Nominee,2013,Katie Quinn Davies,What Katie Ate: Recipes and Other Bits & Pieces,(Viking Studio)
Focus on Health,Winner,2013,Ann Taylor Pittman,Cooking Light The New Way to Cook Light: Fresh Food & Bold Flavors for Today's Home Cook,(Oxmoor House)
General Cooking,Nominee,2013,Nathan Myhrvold,Modernist Cuisine at Home,(The Cooking Lab)
General Cooking,Nominee,2013,Maxime Bilet,Modernist Cuisine at Home,(The Cooking Lab)
Vegetable Focused and Vegetarian,Nominee,2013,Tama Matsuoka Wong,Foraged Flavor: Finding Fabulous Ingredients in Your Backyard or Farmer's Market,(Clarkson Potter Publishers)
Beverage,Nominee,2013,Paul Lukacs,Inventing Wine: A New History of One of the World's Most Ancient Pleasures,(W.W. Norton & Company)
Photography,Nominee,2013,Deborah Jones,Bouchon Bakery,(Artisan)
American Cooking,Winner,2013,Nathalie Dupree,Mastering the Art of Southern Cooking,(Gibbs Smith)
Baking & Desserts,Winner,2013,Ken Forkish,Flour Water Salt Yeast: The Fundamentals of Artisan Bread and Pizza,(Ten Speed Press)
Focus on Health,Winner,2013,Scott Mowbray,Cooking Light The New Way to Cook Light: Fresh Food & Bold Flavors for Today's Home Cook,(Oxmoor House)
American Cooking,Nominee,2013,Kevin Gillespie,Fire in My Belly,(Andrews McMeel Publishing)
Focus on Health,Nominee,2013,Michael Stebner,"True Food: Seasonal, Sustainable, Simple, Pure","(Little, Brown and Company)"
Vegetable Focused and Vegetarian,Nominee,2013,Michael Natkin,"Herbivoracious: A Flavor Revolution, with 150 Vibrant and Original Vegetarian Recipes",(The Harvard Common Press)
Focus on Health,Nominee,2013,Sam Fox,"True Food: Seasonal, Sustainable, Simple, Pure","(Little, Brown and Company)"
Reference and Scholarship,Nominee,2013,Marvin J. Taylor,101 Classic Cookbooks: 501 Classic Recipes,(Rizzoli New York)
Reference and Scholarship,Nominee,2013,Mark Cherniavsky,"The Cookbook Library: Four Centuries of the Cooks, Writers, and Recipes That Made the Modern Cookbook",(University of California Press)
Cooking from a Professional point of view,Nominee,2013,Stephanie Lyness,The Fundamental Techniques of Classic Italian Cuisine,(Abrams)
Baking & Desserts,Nominee,2013,Thomas A. Keller,Bouchon Bakery,(Artisan)
Baking & Desserts,Nominee,2013,Christina Ford,The Dahlia Bakery Cookbook: Sweetness in Seattle,(William Morrow)
International,Nominee,2013,Naomi Duguid,Burma: Rivers of Flavor,(Artisan)
Cooking from a Professional point of view,Nominee,2013,The International Culinary Center,The Fundamental Techniques of Classic Italian Cuisine,(Abrams)
Reference and Scholarship,Nominee,2013,Kyri Claflin,"The Cookbook Library: Four Centuries of the Cooks, Writers, and Recipes That Made the Modern Cookbook",(University of California Press)
Beverage,Winner,2013,Julia Harding,"Wine Grapes: A Complete Guide to 1,368 Vine Varieties, Including Their Origins and Flavours",(Ecco)
General Cooking,Winner,2013,Christopher Hirsheimer,Canal House Cooks Every Day,(Andrews McMeel Publishing)
Baking & Desserts,Winner,2012,Jeni Britton Bauer,Jeni's Splendid Ice Creams at Home,(Artisan)
Photography,Winner,2012,Jeff Scott,Notes from a Kitchen: A Journey Inside Culinary Obsession,(Tatroux)
Writing and Literature,Nominee,2012,Annia Ciezadlo,"Day of Honey: A Memoir of Food, Love, and War",(Free Press)
Writing and Literature,Nominee,2012,Tom Mueller,Extra Virginity,(W.W. Norton & Company)
Single Subject,Nominee,2012,Jennifer McLagan,Odd Bits: How to Cook the Rest of the Animal,(Ten Speed Press)
Photography,Winner,2012,Jeff Scott,Notes from a Kitchen: A Journey Inside Culinary Obsession,(Tatroux)
Cookbook of the Year,Winner,2012,Maxime Bilet,Modernist Cuisine,(The Cooking Lab)
Cookbook of the Year,Winner,2012,Chris Young,Modernist Cuisine,(The Cooking Lab)
Reference and Scholarship,Nominee,2012,Kari Underly,The Art of Beef Cutting: A Meat Professional's Guide to Butchering and Merchandising,(John Wiley & Sons)
International,Nominee,2012,Colman Andrews,The Country Cooking of Italy,(Chronicle Books)
International,Nominee,2012,Claudia Roden,The Food of Spain,(Ecco)
Writing and Literature,Nominee,2012,Annia Ciezadlo,"Day of Honey: A Memoir of Food, Love, and War",(Free Press)
Photography,Nominee,2012,Joseph De Leo,The Cheesemonger's Kitchen,(Chronicle Books)
Cooking from a Professional point of view,Winner,2012,Chris Young,Modernist Cuisine,(The Cooking Lab)
Focus on Health,Nominee,2012,Ellie Krieger,Comfort Food Fix: Feel-Good Favorites Made Healthy,(John Wiley & Sons)
Focus on Health,Nominee,2012,Barbara Kafka,The Intolerant Gourmet: Glorious Food without Gluten & Lactose,(Artisan)
Photography,Nominee,2012,Alan Benson,Rustica: A Return to Spanish Home Cooking,(Chronicle Books)
International,Winner,2012,Paula Wolfert,The Food of Morocco,(Ecco)
General Cooking,Nominee,2012,John Besh,My Family Table: A Passionate Plea for Home Cooking,(Andrews McMeel Publishing)
General Cooking,Nominee,2012,Lynne Rossetto Kasper,The Splendid Table's How to Eat Weekends,(Clarkson Potter)
Cooking from a Professional point of view,Winner,2012,Maxime Bilet,Modernist Cuisine,(The Cooking Lab)
General Cooking,Nominee,2012,Sally Swift,The Splendid Table's How to Eat Weekends,(Clarkson Potter)
Cooking from a Professional point of view,Nominee,2012,Daniel Humm,Eleven Madison Park: The Cookbook,"(Little, Brown and Company)"
Cooking from a Professional point of view,Nominee,2012,Will Guidara,Eleven Madison Park: The Cookbook,"(Little, Brown and Company)"
Writing and Literature,Nominee,2012,Tom Mueller,Extra Virginity,(W.W. Norton & Company)
Beverage,Nominee,2012,David Darlington,An Ideal Wine: One Generation's Pursuit of Perfection-and Profit-in California,(Harper)
Baking & Desserts,Nominee,2012,Frederic Bau,Cooking with CHocolate: Essential Recipes and Techniques,(Flammarion)
Writing and Literature,Winner,2012,Gabrielle Hamilton,"Blood, Bones & Butter: The Inadvertent Education of a Reluctant Chef",(Random House)
Beverage,Nominee,2012,Garrett Oliver,The Oxford Companion to Beer,(Oxford University Press)
American Cooking,Nominee,2012,Charlie Burd,Masala Farm: Stories and Recipes from an Uncommon Life in the Country,(Chronicle Books)
Baking & Desserts,Nominee,2012,Lisa Yockelson,"Baking Style: Art, Craft, Recipes",(John Wiley & Sons)
Cooking from a Professional point of view,Nominee,2012,Meredith Erickson,The Art of Living According to Joe Beef: A Cookbook of Sorts,(Ten Speed Press)
American Cooking,Nominee,2012,Andrew Carmellini,American Flavor,(Ecco)
American Cooking,Nominee,2012,Gwen Hyman,American Flavor,(Ecco)
American Cooking,Nominee,2012,Suvir Saran,Masala Farm: Stories and Recipes from an Uncommon Life in the Country,(Chronicle Books)
Single Subject,Winner,2012,Molly Stevens,All About Roasting,(W. W. Norton & Co.)
American Cooking,Nominee,2012,Raquel Pelzel,Masala Farm: Stories and Recipes from an Uncommon Life in the Country,(Chronicle Books)
Cooking from a Professional point of view,Nominee,2012,David McMillan,The Art of Living According to Joe Beef: A Cookbook of Sorts,(Ten Speed Press)
Cooking from a Professional point of view,Winner,2012,Nathan Myhrvold,Modernist Cuisine,(The Cooking Lab)
Cookbook of the Year,Winner,2012,Nathan Myhrvold,Modernist Cuisine,(The Cooking Lab)
Reference and Scholarship,Winner,2012,Andrew P. Haley,"Turning the Tables: Restaurants and the Rise of the American Middle Class, 1880-1920",(The University of North Carolina Press)
Focus on Health,Winner,2012,Heidi Swanson,Super Natural Every Day: Well-Loved Recipes from My Natural Foods Kitchen,(Ten Speed Press)
General Cooking,Winner,2012,Michael Ruhlman,Ruhlman's Twenty,(Chronicle Books)
Beverage,Winner,2012,Brad Thomas Parsons,"Bitters: A Spirited History of a Classic Cure-All, with Cocktails, Recipes & Formulas",(Ten Speed Press)
American Cooking,Winner,2012,Hugh Acheson,A New Turn in the South: Southern Flavors Reinvented for Your Kitchen,(Clarkson Potter)
Cooking from a Professional point of view,Nominee,2012,Frederic Morin,The Art of Living According to Joe Beef: A Cookbook of Sorts,(Ten Speed Press)
Cookbook Hall of Fame,Winner,2012,Laurie Colwin,Home Cooking and More Home Cooking,NA
American Cooking,Nominee,2011,Frank Falcinelli,The Frankies Spuntino Kitchen Companion & Cooking Manual,(Artisan)
International,Nominee,2011,Katie Caldesi,Cook Italy,(Kyle Books)
International,Nominee,2011,Diana Kennedy,Oaxaca Al Gusto: an Infinite Gastronomy,(University of Texas Press)
American Cooking,Nominee,2011,Joseph Dabney,"The Food, Folklore, and Art of Lowcountry Cooking",(Cumberland House)
Beverage,Winner,2011,Jordan Mackay,Secrets of the Sommeliers: How to Think and Drink Like the Word's Top Wine Professionals,(Ten Speed Press)
Writing and Literature,Nominee,2011,Anna Badkhen,Peace Meals: Candy-wrapped Kalashnikovs and Other War Stories,(Free Press)
Cookbook of the Year,Winner,2011,Diana Kennedy,Oaxaca Al Gusto: an Infinite Gastronomy,(University of Texas Press)
Baking & Desserts,Nominee,2011,Rick Rodgers,Sarabeth's Bakery: From My Hands to Yours,(Rizzoli New York)
Single Subject,Winner,2011,James Peterson,Meat: A Kitchen Education,(Ten Speed Press)
Writing and Literature,Nominee,2011,Evan D.G. Fraser,"Empires of Food: Feast, Famine, and the Rise and Fall of Civilizations",(Free Press)
International,Winner,2011,Grace Young,"Stir-Frying to the Sky's Edge: the Ultimate Guide to Mastery, With Authentic Recipes and Stories",(Simon & Schuster)
Writing and Literature,Winner,2011,Paul Greenberg,Four Fish: the Future of the Last Wild Food,(The Penguin Press)
Cookbook Hall of Fame,Winner,2011,Harold McGee,On Food and Cooking: The Science & Lore of the Kitchen,NA
Cooking from a Professional point of view,Nominee,2011,Michael Chiarello,Michael Chiarello's Bottega,(Chronicle Books)
Reference and Scholarship,Nominee,2011,Gil Marks,Encyclopedia of Jewish Food,(John Wiley & Sons)
Reference and Scholarship,Nominee,2011,Peter Menzel,What I Eat: Around the World in 80 Diets,(Material World Books/Ten Speed Press)
General Cooking,Nominee,2011,David F. Tanis,Heart of the Artichoke and Other Kitchen Journeys,(Artisan)
Healthy Focus,Winner,2011,The EatingWell Test Kitchen,The Simple Art of EatingWell Cookbook,(The Countryman Press)
