name,address1,city,zip,country,latitude,longitude,price_level,provider_rating,provider_review_count,review_stats_all_average_score,review_stats_all_count,review_stats_all_total_score,review_stats_community_average_score,review_stats_community_count,review_stats_community_total_score,review_stats_critic_average_score,review_stats_critic_count,review_stats_critic_total_score,review_stats_dave_average_score,review_stats_dave_count,review_stats_dave_total_score
Rossetti's Pizza,114 6th Ave,New York,10013,US,40.7237259,-74.0044625,1,2.5,28,6.2,1,6.2,0,0,0,0,0,0,6.2,1,6.2
Serafina Meatpacking,7 Ninth Ave,New York,10014,US,40.73963300000001,-74.00665699999998,2,3,263,7.6,2,15.2,7.4,1,7.4,0,0,0,7.8,1,7.8
Phil's Pizza,226 Varick St,New York,10014,US,40.7290939,-74.00501700000002,1,4,38,7.45,4,29.8,7.25,2,14.5,7.6,1,7.6,7.7,1,7.7
Saluggi's,325 Church St,New York,10013,US,40.7200998,-74.0035903,2,4,541,7.985185185185182,27,215.6,7.976923076923077,26,207.4,0,0,0,8.2,1,8.2
Artichoke Basille's Pizza,114 10th Ave,New York,10011,US,40.7440765,-74.00655069999998,2,3.5,1454,7.878787878787879,33,260,7.878125,32,252.1,0,0,0,7.9,1,7.9
Brunetti Pizza,626 Hudson St,New York,10014,US,40.7382727,-74.0053786,2,4,272,7.754545454545454,11,85.3,7.709999999999999,10,77.1,0,0,0,8.2,1,8.2
Gaslight Pizzeria,39 9th Ave,New York,10014,US,40.7407714,-74.00582039999998,2,2.5,56,4.9,1,4.9,0,0,0,0,0,0,4.9,1,4.9
Emily - West Village,35 Downing St,New York,10014,US,40.7293862,-74.0037767,2,4,424,7.659999999999997,10,76.6,7.711111111111113,9,69.4,0,0,0,7.2,1,7.2
Starbucks Reserve Roastery,61 9th Ave,New York,10011,US,40.74169439999999,-74.00565970000002,2,4,153,6.8,1,6.8,0,0,0,0,0,0,6.8,1,6.8
Black Square Pizza,44 9th Ave,New York,10011,US,40.7410115,-74.0048657,2,3,29,6.7666666666666675,3,20.3,7.0500000000000025,2,14.1,0,0,0,6.2,1,6.2
Bleecker Street Pizza,69 7th Ave S,New York,10014,US,40.7322097,-74.00337499999998,1,4,2000,7.3191489361702144,47,344,7.328260869565217,46,337.1,0,0,0,6.9,1,6.9
Enzo Bruni La Pizza Gourmet,353 W 14th St,New York,10014,US,40.7409959,-74.0046301,1,4,10,7.985714285714287,7,55.9,8.049999999999999,6,48.3,0,0,0,7.6,1,7.6
Famous Ben's Pizza,177 Spring St,New York,10012,US,40.7249388,-74.00240029999998,1,3,321,7.7862068965517235,29,225.8,7.774999999999999,28,217.7,0,0,0,8.1,1,8.1
John's of Bleecker Street,278 Bleecker St,New York,10014,US,40.73161870000001,-74.00344679999998,2,4,1754,8.883098591549297,568,5045.6,8.882363315696649,567,5036.3,0,0,0,9.3,1,9.3
Filaga Pizzeria,75 9th Ave,New York,10011,US,40.7424509,-74.00595809999999,1,3.5,63,7.542857142857143,7,52.8,7.566666666666666,6,45.4,0,0,0,7.4,1,7.4
Emmett's,50 Macdougal St,New York,10012,US,40.7273153,-74.0024806,2,4,435,7.885714285714287,7,55.2,7.899999999999999,6,47.4,0,0,0,7.8,1,7.8
Numero 28 Pizzeria - West Village,28 Carmine St,New York,10014,US,40.7300735,-74.0027807,2,4,441,8.6,3,25.8,8.8,2,17.6,0,0,0,8.2,1,8.2
Kesté Pizza & Vino,271 Bleecker St,New York,10014,US,40.7315345,-74.00296259999998,2,4,1333,7.211111111111113,9,64.9,7.142857142857142,7,50,8.5,1,8.5,6.4,1,6.4
Jekyll & Hyde,91 7th Ave S,New York,10014,US,40.7327781,-74.0029512,2,2.5,665,1.9,1,1.9,0,0,0,0,0,0,1.9,1,1.9
King's Pizza,325 Coronado Dr,Clearwater,33767,US,27.972532,-82.82823069999998,1,4,125,5.84,5,29.2,6.6999999999999975,4,26.8,0,0,0,2.4,1,2.4
Eddie & Sam's NY Pizza,203 E Twiggs St,Tampa,33602,US,27.9488577,-82.45917270000002,1,4.5,874,7.53695652173913,46,346.7,7.546666666666668,45,339.6,0,0,0,7.1,1,7.1
Home Slice Pizza,501 E 53rd St,Austin,78751,US,30.3159643,-97.71846049999999,2,4.5,203,6.95,14,97.3,7.038461538461537,13,91.5,0,0,0,5.8,1,5.8
Big Lou's Pizza,2048 S Ww White Rd,San Antonio,78222,US,29.3942955,-98.40415949999999,2,3.5,625,6.85,10,68.5,7.0777777777777775,9,63.7,0,0,0,4.8,1,4.8
Pizzarita's,245 E Commerce St,San Antonio,78205,US,29.424703000000004,-98.4899903,1,3,145,6.283333333333334,6,37.7,6.44,5,32.2,0,0,0,5.5,1,5.5
Julian's Italian Pizzeria & Kitchen,6462 N New Braunfels Ave,San Antonio,78209,US,29.489574600000005,-98.4588608,2,4,100,7.810714285714285,28,218.7,7.807407407407408,27,210.8,0,0,0,7.9,1,7.9
Chuck E. Cheese's,2250 Coastal Ln,West Melbourne,32904,US,28.077337300000003,-80.70476509999997,2,3,16,6,1,6,0,0,0,0,0,0,6,1,6
Napoli Pizza,301 N Atlantic Ave,Daytona Beach,32118,US,29.2315464,-81.0107463,1,2.5,70,6.433333333333334,6,38.6,6.8,4,27.2,4.8,1,4.8,6.6,1,6.6
Biggie's Pizza,1333 3rd St N,Jacksonville Beach,32250,US,30.3010239,-81.39398979999999,1,4.5,324,7.604,25,190.1,7.708333333333332,24,185,0,0,0,5.1,1,5.1
Steve's Pizza,12101 Biscayne Blvd,Miami,33181,US,25.8877393,-80.1639536,1,3.5,744,7.5,7,52.5,7.599999999999999,6,45.6,0,0,0,6.9,1,6.9
Lucali,1930 Bay Rd,Miami Beach,33139,US,25.7951979,-80.14397050000002,2,4,443,8.80967741935484,31,273.1,8.858620689655172,29,256.9,8.1,1,8.1,8.1,1,8.1
Mister O1- South Beach,1680 Michigan Ave,Miami Beach,33139,US,25.7917344,-80.1390831,2,4.5,672,8.549999999999999,24,205.2,8.534782608695652,23,196.3,0,0,0,8.9,1,8.9
Pizza Girls WPB,114 S Clematis St,West Palm Beach,33401,US,26.7128713,-80.0502288,1,3.5,215,5.9625,8,47.7,5.828571428571428,7,40.8,0,0,0,6.9,1,6.9
Pizza Al Fresco,14 Via Mizner,Palm Beach,33480,US,26.7009344,-80.04033439999998,2,3.5,111,7.540000000000001,5,37.7,8.875,4,35.5,0,0,0,2.2,1,2.2
Totonno's,1524 Neptune Ave,Brooklyn,11224,US,40.57885419999999,-73.98381789999998,2,4,744,8.776923076923078,39,342.3,8.794736842105262,38,334.2,0,0,0,8.1,1,8.1
L & B Spumoni Gardens,2725 86th St,Brooklyn,11223,US,40.5947441,-73.9813041,1,4,3372,8.337209302325581,86,717,8.348235294117647,85,709.6,0,0,0,7.4,1,7.4
Di Fara Pizza,1424 Ave J,Brooklyn,11230,US,40.6249664,-73.96152590000001,2,4,3213,8.928671328671328,143,1276.8,8.925352112676057,142,1267.4,0,0,0,9.4,1,9.4
Da Nonna Rosa,140 7th Ave,Brooklyn,11215,US,40.6728736,-73.97687340000002,2,4,293,6.533333333333334,6,39.2,6.34,5,31.7,0,0,0,7.5,1,7.5
Ciro's Pizzeria & Beerhouse,536 Market St,San Diego,92101,US,32.7116571,-117.15943190000002,1,3.5,725,6.9870967741935495,31,216.6,6.973333333333333,30,209.2,0,0,0,7.4,1,7.4
Bronx Pizza,111 Washington St,San Diego,92103,US,32.749656800000004,-117.1634597,1,4.5,3233,8.405882352941179,51,428.7,8.412,50,420.6,0,0,0,8.1,1,8.1
Filippi's Pizza Grotto Pacific Beach,962 Garnet Ave,San Diego,92109,US,32.797433000000005,-117.2523779,2,3.5,313,5.55,4,22.2,5.166666666666667,3,15.5,0,0,0,6.7,1,6.7
Manhattan Pizzeria,133 Manhattan Beach Blvd,Manhattan Beach,90266,US,33.884818,-118.411124,1,3.5,285,5.82,5,29.1,5.925,4,23.7,0,0,0,5.4,1,5.4
Joe's Pizza,111 Broadway,Santa Monica,90401,US,34.0132137,-118.4962533,1,3.5,1034,7.855813953488372,43,337.8,7.845238095238094,42,329.5,0,0,0,8.3,1,8.3
Vito's Pizza,2455 Santa Monica Blvd,Santa Monica,90404,US,34.0326451,-118.4755043,2,3.5,246,7.895652173913042,23,181.6,7.881818181818183,22,173.4,0,0,0,8.2,1,8.2
Bonanno's New York Pizzeria,3900 Las Vegas Blvd S,Las Vegas,89109,US,36.09551,-115.1760672,2,3,62,4.5,5,22.5,4.825,4,19.3,0,0,0,3.2,1,3.2
Bonanno's New York Pizzeria,MGM Hotel & Casino Food Court,Las Vegas,89109,US,36.102576,-115.1702533,2,3,115,4.008333333333334,12,48.1,4.081818181818182,11,44.9,0,0,0,3.2,1,3.2
Five50 Pizza Bar,3730 Las Vegas Blvd S,Las Vegas,89109,US,36.1073485,-115.1765836,2,4,716,6.757894736842108,19,128.4,6.788888888888889,18,122.2,0,0,0,6.2,1,6.2
Secret Pizza,3708 Las Vegas Blvd S,Las Vegas,89109,US,36.1099462,-115.17539109999998,1,4,4479,6.051282051282049,39,236,6.121052631578947,38,232.6,0,0,0,3.4,1,3.4
Snacks,3600 S Las Vegas Blvd,Las Vegas,89109,US,36.1125269,-115.175947,2,3,83,5.46,5,27.3,5.7666666666666675,3,17.3,5,1,5,5,1,5
XS Nightclub,3131 Las Vegas Blvd S,Las Vegas,89109,US,36.1271069,-115.1648303,3,4,3187,5.5,2,11,3.2,1,3.2,0,0,0,7.8,1,7.8
Encore Beach Club,3131 Las Vegas Blvd S,Las Vegas,89109,US,36.1271069,-115.1648303,3,3.5,808,1.4,1,1.4,0,0,0,0,0,0,1.4,1,1.4
Naked City Pizza Shop,3240 S Arville St,Las Vegas,89102,US,36.1307814,-115.19882549999998,2,4,591,6.8,3,20.4,7.4,2,14.8,0,0,0,5.6,1,5.6
Good Pie,725 S Las Vegas Blvd,Las Vegas,89101,US,36.1612877,-115.14562990000002,1,4.5,199,8.1,11,89.1,8.190000000000001,10,81.9,0,0,0,7.2,1,7.2
Evel Pie,508 Fremont St,Las Vegas,89101,US,36.1692503,-115.1400711,1,4.5,573,6.2,19,117.8,6.216666666666668,18,111.9,0,0,0,5.9,1,5.9
Pizza Rock,201 N 3rd St,Las Vegas,89101,US,36.17182920000001,-115.1423178,2,4,2219,7.1083333333333325,36,255.9,7.102857142857142,35,248.6,0,0,0,7.3,1,7.3
Acquolina,1600 Stockton St,San Francisco,94133,US,37.8006205,-122.4090769,2,4,426,5.8,4,23.2,5.133333333333333,3,15.4,0,0,0,7.8,1,7.8
Pope's Italian Restaurant,232 Washington St,Saratoga Springs,12866,US,43.07942910000001,-73.8005422,1,3,60,7.7,4,30.8,7.533333333333334,3,22.6,0,0,0,8.2,1,8.2
Nove Italian Restaurant,707 Rt 9,Gansevoort,12831,US,43.1360475,-73.7701491,2,4,80,8.45,4,33.8,8.4,3,25.20000000000001,0,0,0,8.6,1,8.6
Mama Mia's Restaurant,185 Ballston Ave,Saratoga Springs,12866,US,43.0699236,-73.79468790000001,2,3.5,106,6.755555555555558,9,60.8,6.675,8,53.4,0,0,0,7.4,1,7.4
Marino's Pizza,46 W Circular St,Saratoga Springs,12866,US,43.0757068,-73.79036629999997,2,4,59,6.333333333333332,3,19,6.45,2,12.9,0,0,0,6.1,1,6.1
Gennaro's Pizza Parlor,46 Marion Ave,Saratoga Springs,12866,US,43.0913224,-73.7710902,2,4,108,6.863636363636362,11,75.5,6.82,10,68.2,0,0,0,7.3,1,7.3
Pies on Wheels,267 Union Ave,Saratoga Springs,12866,US,43.0739705,-73.76797990000001,0,4,106,6.5,1,6.5,0,0,0,0,0,0,6.5,1,6.5
Caputo's Pizzeria,Home Depot Plz,Saratoga Springs,12866,US,43.1008889,-73.7424231,1,3,70,7.825,16,125.2,7.8066666666666675,15,117.1,0,0,0,8.1,1,8.1
Intrepid Summer Movie Series,Pier 86 W 46th St 12th Ave,New York,10036,US,40.7645266,-73.99960759999998,0,3.5,4,2.7,1,2.7,0,0,0,0,0,0,2.7,1,2.7
42nd Street Pizza,647 W 42nd St,New York,10036,US,40.7619108,-74.00015069999998,2,2.5,76,5.4,2,10.8,0,0,0,5.4,1,5.4,5.4,1,5.4
Corner Slice,600 11th Ave,New York,10036,US,40.7623377,-73.99675789999998,1,4,74,7.45,12,89.4,7.472727272727273,11,82.2,0,0,0,7.2,1,7.2
Francesca's Restaurant & Pizzeria,9 Ponquogue Ave,Hampton Bays,11946,US,40.8778717,-72.52277020000002,2,3.5,74,7.2,4,28.8,7.5,3,22.5,0,0,0,6.3,1,6.3
Café Crust,850 County Rd 39,Southampton,11968,US,40.8920639,-72.425907,2,3.5,101,7.242857142857143,7,50.7,7.25,6,43.5,0,0,0,7.2,1,7.2
Borrelli's,1580 Hempstead Tpke,East Meadow,11554,US,40.7225396,-73.57777020000002,2,3.5,150,7.88157894736842,38,299.5,7.881081081081081,37,291.6,0,0,0,7.9,1,7.9
King Umberto's of Elmont,1343 Hempstead Tpke,Elmont,11003,US,40.7079094,-73.69008740000002,2,4.5,356,8.39,20,167.8,8.405263157894737,19,159.7,0,0,0,8.1,1,8.1
New Park Pizza,15671 Crossbay Blvd,Howard Beach,11414,US,40.6627285,-73.84041309999998,1,4,655,8.349315068493151,73,609.5,8.356944444444443,72,601.7,0,0,0,7.8,1,7.8
Umberto's Pizzeria & Restaurant,633 Jericho Tpke,New Hyde Park,11040,US,40.7323691,-73.68742040000002,2,4,643,8.185714285714285,56,458.4,8.178181818181818,55,449.8,0,0,0,8.6,1,8.6
Dani's House of Pizza,81-28 Lefferts Blvd,Kew Gardens,11415,US,40.7089715,-73.8305343,1,3.5,887,7.6347826086956525,23,175.6,7.645454545454545,22,168.2,0,0,0,7.4,1,7.4
Rosa's Pizza,7559 Metropolitan Ave,Middle Village,11379,US,40.7133121,-73.87542140000002,1,3.5,82,8.38888888888889,9,75.5,8.6,8,68.8,0,0,0,6.7,1,6.7
Brooklyn's Homeslice Pizzeria,567 Vanderbilt Ave,Brooklyn,11238,US,40.6806956,-73.9674607,1,4.5,94,7.7285714285714295,7,54.1,7.783333333333334,6,46.7,0,0,0,7.4,1,7.4
Not Ray's Pizza,690 Fulton St,Brooklyn,11217,US,40.6860591,-73.97421039999998,1,4,184,5.533333333333334,3,16.6,5,2,10,0,0,0,6.6,1,6.6
Roberta's,261 Moore St,Brooklyn,11206,US,40.7050886,-73.93357420000002,2,4,2615,8.549999999999999,22,188.1,8.576190476190476,21,180.1,0,0,0,8,1,8
Little Vincent's Pizza,329 New York Ave,Huntington,11743,US,40.8709751,-73.42644440000002,1,4,337,7.808695652173912,23,179.6,7.854545454545455,22,172.8,0,0,0,6.8,1,6.8
Carmine's Pizzeria,358 Graham Ave,Brooklyn,11211,US,40.7149868,-73.9441688,1,4,406,7.658333333333334,12,91.9,7.645454545454545,11,84.1,0,0,0,7.8,1,7.8
Sal's Pizzeria,544 Lorimer St,Brooklyn,11211,US,40.7132095,-73.94914140000002,1,3.5,171,7.32,5,36.6,7.475,4,29.9,0,0,0,6.7,1,6.7
Tony's Pizza,355 Graham Ave,Brooklyn,11211,US,40.7150459,-73.9447162,1,3.5,150,7.628571428571429,7,53.4,7.583333333333332,6,45.5,0,0,0,7.9,1,7.9
L'industrie Pizzeria,254 S 2nd St,Brooklyn,11211,US,40.7115836,-73.9578707,1,5,399,7.95,22,174.9,7.952380952380952,21,167,0,0,0,7.9,1,7.9
Best Pizza,33 Havemeyer St,Brooklyn,11211,US,40.7156098,-73.9535064,1,3.5,525,8.525925925925925,108,920.8,8.520560747663552,107,911.7,0,0,0,9.1,1,9.1
Grimaldi's,1 Front St,Brooklyn,11201,US,40.70261,-73.9932413,2,3.5,4451,8.421428571428573,28,235.8,8.437037037037038,27,227.8,0,0,0,8,1,8
Juliana's Pizza,19 Old Fulton St,Brooklyn,11201,US,40.7027359,-73.99344789999998,2,4.5,1921,8.211538461538463,26,213.5,8.264,25,206.6,0,0,0,6.9,1,6.9
Ignazio's,4 Water St,Brooklyn,11201,US,40.7031257,-73.99360859999999,2,3,426,8.351612903225806,62,517.8,8.345901639344262,61,509.1,0,0,0,8.7,1,8.7
La Nonna Krispy Krust Pizza,175 Kent Ave,Brooklyn,11211,US,40.717938200000006,-73.9637027,0,5,11,8.25,2,16.5,9.1,1,9.1,0,0,0,7.4,1,7.4
Alphonso's Pizzeria & Trattoria,525 Grand St,New York,10002,US,40.7142926,-73.9817288,1,4,112,5,3,15,4.4,2,8.8,0,0,0,6.2,1,6.2
Paulie Gee's Slice Shop,110 Franklin St,Brooklyn,11222,US,40.72836420000001,-73.95717499999998,0,4,94,7.272727272727272,22,160,7.2666666666666675,21,152.6,0,0,0,7.4,1,7.4
Canal Pizza,89 Canal St,New York,10002,US,40.7155652,-73.9934694,1,4,9,5.815,4,23.26,7.4,2,14.8,6.76,1,6.76,1.7,1,1.7
Melani Pizzeria,170 Rivington St,New York,10002,US,40.719207,-73.98458690000002,1,4,58,7.175,4,28.7,5.9499999999999975,2,11.9,10,1,10,6.8,1,6.8
Paulie Gee's,60 Greenpoint Ave,Brooklyn,11222,US,40.7294956,-73.95856440000001,2,4.5,1156,8.183333333333334,6,49.1,8.36,5,41.8,0,0,0,7.3,1,7.3
Speedy Romeo,63 Clinton St,New York,10002,US,40.719503,-73.98514200000002,2,4,256,7.616666666666667,12,91.4,7.554545454545454,11,83.1,0,0,0,8.3,1,8.3
Rizzo's Fine Pizza,17 Clinton St,New York,10002,US,40.72084,-73.98434,2,4.5,669,8.13125,32,260.2,8.116129032258064,31,251.6,0,0,0,8.6,1,8.6
Stanton Pizza,127 Stanton St,New York,10002,US,40.7207424,-73.98669890000002,1,4,188,3.233333333333333,3,9.7,3.65,2,7.3,0,0,0,2.4,1,2.4
Solo Pizza,27 Avenue B,New York,10009,US,40.7222599,-73.9829462,1,4,175,5.94,5,29.7,5.9,4,23.6,0,0,0,6.1,1,6.1
La Margarita Pizza,168 Ludlow St,New York,10002,US,40.721395,-73.987438900000015,1,4.5,259,7.528571428571429,28,210.8,7.511111111111113,27,202.8,0,0,0,8,1,8
Luna Ristorante,115 Mulberry St,New York,10013,US,40.71769159999999,-73.99840619999998,2,3,132,6.82,5,34.1,7.075,4,28.3,0,0,0,5.8,1,5.8
Rosario's Pizza,173 Orchard St,New York,10002,US,40.7216286,-73.98864920000003,1,3.5,261,6.058333333333334,12,72.7,6.145454545454545,11,67.6,0,0,0,5.1,1,5.1
F & M Slice Pizza,153 Ave C,New York,10009,US,40.7257098,-73.97796389999998,1,3,12,0.2,1,0.2,0,0,0,0,0,0,0.2,1,0.2
Da Gennaro,129 Mulberry St,New York,10013,US,40.71836029999999,-73.99794709999998,2,4,771,6.525,4,26.1,6.633333333333333,3,19.9,0,0,0,6.2,1,6.2
Margherita NYC,197 Grand St,New York,10013,US,40.7190658,-73.99698939999998,2,4,269,8.040000000000001,5,40.2,8.2,4,32.8,0,0,0,7.4,1,7.4
Yankee Pizza,181 Ave C,New York City,10009,US,40.7266819,-73.9772637,1,3,30,4.366666666666666,3,13.1,4.15,2,8.3,0,0,0,4.8,1,4.8
Il Piccolo Bufalo,141 Mulberry St,New York,10013,US,40.71885579999999,-73.9979012,2,3.5,220,6.725,4,26.9,5.25,2,10.5,9,1,9,7.4,1,7.4
Da Nico Ristorante,164 Mulberry St,New York,10013,US,40.719646,-73.9969371,2,3.5,649,6.92,5,34.6,7.2,4,28.8,0,0,0,5.8,1,5.8
Little Gio's Pizza,26 1st Ave,New York,10009,US,40.7236857,-73.9877463,1,3.5,24,4.655555555555555,9,41.9,4.5,8,36,0,0,0,5.9,1,5.9
Lil' Frankie's,19 1st Ave,New York,10003,US,40.723605600000006,-73.98841440000002,2,4,977,7.853333333333333,15,117.8,7.807142857142857,14,109.3,0,0,0,8.5,1,8.5
Sal's Little Italy,384 Broome St,New York,10013,US,40.7206081,-73.9965332,2,3.5,276,7.75,30,232.5,7.7379310344827585,29,224.4,0,0,0,8.1,1,8.1
Ciao Vineria con Cucina,178 Mulberry St,New York,10012,US,40.7206548,-73.99665340000001,2,3,166,7.7,1,7.7,0,0,0,0,0,0,7.7,1,7.7
Gnocco,337 E 10th St,New York,10009,US,40.72713419999999,-73.98027139999998,2,3.5,410,7.866666666666667,3,23.6,8.1,2,16.2,0,0,0,7.4,1,7.4
Pasquale Jones,187 Mulberry St,New York,10012,US,40.7210784,-73.9967554,3,3.5,193,8.114285714285714,7,56.8,8.25,6,49.5,0,0,0,7.3,1,7.3
Lombardi's Pizza,32 Spring St,New York,10012,US,40.7216368,-73.99572049999998,2,4,5797,7.673529411764705,34,260.9,7.718181818181818,33,254.7,0,0,0,6.2,1,6.2
Champion Pizza,17 Cleveland Pl,New York,10012,US,40.7215205,-73.9970345,1,4.5,243,7.25,18,130.5,7.2,17,122.4,0,0,0,8.1,1,8.1
Pomodoro Ristorante & Pizzeria,51 Spring St,New York,10012,US,40.7221166,-73.9963862,1,3.5,323,6.528571428571429,7,45.7,7.3,5,36.5,5,1,5,4.2,1,4.2
Emporio,231 Mott St,New York,10012,US,40.7225943,-73.99526139999998,2,4,716,7.1,1,7.1,0,0,0,0,0,0,7.1,1,7.1
Prince Street Pizza,27 Prince St,New York,10012,US,40.7230533,-73.9945497,1,4.5,2591,8.605633802816902,142,1222,8.605673758865251,141,1213.4,0,0,0,8.6,1,8.6
Rubirosa,235 Mulberry St,New York,10012,US,NA,NA,2,4,1842,8.6875,40,347.5,8.702564102564102,39,339.4,0,0,0,8.1,1,8.1
Proto's Pizza,50 2nd Ave,New York,10003,US,40.7253326,-73.9898267,1,4,86,7.283333333333334,12,87.4,7.290909090909091,11,80.2,0,0,0,7.2,1,7.2
310 Bowery Bar,310 Bowery,New York,10012,US,40.7249939,-73.99271329999998,2,3.5,134,7.899999999999999,3,23.7,7.8,2,15.6,0,0,0,8.1,1,8.1
La Rossa,267 Lafayette St,New York,10012,US,40.72348239999999,-73.99645029999998,0,3.5,15,6.68,5,33.4,7.15,4,28.6,0,0,0,4.8,1,4.8
Stromboli Pizza,83 Saint Marks Pl,New York,10003,US,40.7278516,-73.98536740000002,1,3.5,206,7.57,20,151.4,7.536842105263156,19,143.2,0,0,0,8.2,1,8.2
Baker's Pizza,201 Avenue A,New York,10009,US,40.7294404,-73.98128609999998,1,4.5,175,7.290909090909091,11,80.2,7.290000000000001,10,72.9,0,0,0,7.3,1,7.3
East Village Pizza,145 1st Ave,New York,10003,US,40.72821769999999,-73.98508450000001,1,4,174,8.299999999999999,44,365.2,8.306976744186047,43,357.2,0,0,0,8,1,8
Joe & Pat's Pizzeria,168 1st Ave,New York,10009,US,40.72890599999999,-73.98404140000002,2,4,84,8.664150943396226,53,459.2,8.669230769230769,52,450.8,0,0,0,8.4,1,8.4
Muzzarella Pizza,221 Ave A,New York,10009,US,40.730205,-73.9807302,1,3.5,127,7.375,4,29.5,7.633333333333333,3,22.9,0,0,0,6.6,1,6.6
Sorbillo Pizzeria,334 Bowery,New York,10012,US,40.7260551,-73.9923001,2,4,143,7.92,5,39.6,8.125,4,32.5,0,0,0,7.1,1,7.1
Joey's Pizzeria,197 Lower County Rd,Dennis Port,2639,US,41.6573714,-70.14062679999999,2,3.5,58,6.888888888888888,9,62,6.8375,8,54.7,0,0,0,7.3,1,7.3
Pizza Barbone,390 Main St,Hyannis,2601,US,41.6528616,-70.28404619999999,2,4.5,330,8.077777777777778,9,72.7,8.125,8,65,0,0,0,7.7,1,7.7
Palio Pizzeria,435 Main St,Hyannis,2601,US,41.6519358,-70.2854937,2,4,145,7.575,8,60.6,7.585714285714286,7,53.1,0,0,0,7.5,1,7.5
Oath Pizza - Nantucket,44 Straight Wharf,Nantucket,2554,US,41.28476819999999,-70.09434399999999,2,4,54,8.483333333333334,6,50.90000000000001,8.32,5,41.6,0,0,0,9.3,1,9.3
Steamboat Wharf Pizza,10 Broad St,Nantucket,2554,US,41.2853859,-70.09820490000001,2,2.5,27,7.3375,8,58.7,7.242857142857143,7,50.7,0,0,0,8,1,8
Fusaro's,17 Old S Rd,Nantucket,2554,US,41.2683804,-70.0858313,2,3,57,7.4,2,14.8,7.4,1,7.4,0,0,0,7.4,1,7.4
Pi Pizzeria,11 W Creek Rd,Nantucket,2564,US,41.27213649999999,-70.09099470000001,2,3.5,94,8.266666666666667,3,24.8,8.1,2,16.2,0,0,0,8.6,1,8.6
Sophie T's Pizza,7 Daves St,Nantucket,2554,US,41.2729464,-70.09179979999999,2,3.5,16,7.25,2,14.5,7.3,1,7.3,0,0,0,7.2,1,7.2
Muse Pizza,44 Surfside Rd,Nantucket,2554,US,41.267011,-70.0999493,1,2.5,14,6.1,2,12.2,6.3,1,6.3,0,0,0,5.9,1,5.9
Moto Pizza,8 Merchant's Rd,Sandwich,2563,US,41.7668396,-70.50620359999998,2,4.5,70,7.75,6,46.5,8.059999999999999,5,40.3,0,0,0,6.2,1,6.2
Poopsie's,243 Church St,Pembroke,2359,US,42.107555,-70.762957,1,3.5,112,7.863636363636362,11,86.5,7.8900000000000015,10,78.9,0,0,0,7.6,1,7.6
Monte's Restaurant,141 Eastern Ave,Lynn,1902,US,42.4720842,-70.925399,1,3,86,8.176470588235292,51,417,8.14,50,407,0,0,0,10,1,10
Bianchi's Pizza,322 Revere Beach Blvd,Revere,2151,US,42.41954970000001,-70.986745,1,4,204,8.671428571428573,14,121.4,8.707692307692309,13,113.2,0,0,0,8.2,1,8.2
Giordano's Restaurant,18 Lake Ave,Oak Bluffs,2557,US,41.4571614,-70.55728669999998,2,3.5,139,6.5,4,26,6.4,3,19.2,0,0,0,6.8,1,6.8
Slice Of Edgartown,10 Dock St,Edgartown,2539,US,41.3892499,-70.5120708,1,3.5,11,5.233333333333333,3,15.7,5.9499999999999975,2,11.9,0,0,0,3.8,1,3.8
Isola,19 Church St,Edgartown,2539,US,41.3907962,-70.5145215,2,4,84,5.15,2,10.3,4.2,1,4.2,0,0,0,6.1,1,6.1
Santarpio's Pizza,111 Chelsea St,Boston,2128,US,42.37266,-71.0352918,2,4,1117,8.444516129032257,62,523.56,8.46,60,507.6,7.76,1,7.76,8.2,1,8.2
Rocco's Pizzeria,79 Beach Rd,Vineyard Haven,2568,US,41.4524,-70.5988606,1,4,32,7.2,2,14.4,7.5,1,7.5,0,0,0,6.9,1,6.9
Rinas Pizzeria & Cafe,371 Hanover St,Boston,2113,US,42.364888,-71.05314190000001,1,4,137,6.7368421052631575,19,128,6.738888888888887,18,121.3,0,0,0,6.7,1,6.7
Galleria Umberto,289 Hanover St,Boston,2113,US,42.3637083,-71.0542803,1,4.5,597,8.044444444444443,27,217.2,8.1,26,210.6,0,0,0,6.6,1,6.6
Pushcart Pizzeria,117 Salem St,Boston,2113,US,42.36452420000001,-71.05539689999998,2,3.5,253,7.1625,16,114.6,7.253333333333333,15,108.8,0,0,0,5.8,1,5.8
Regina Pizzeria,11 1/2 Thacher St,Boston,2113,US,42.36544620000001,-71.05706599999998,2,4,1743,8.712755102040816,196,1707.7,8.71076923076923,195,1698.6,0,0,0,9.1,1,9.1
Ducali,289 Causeway St,Boston,2114,US,42.3670789,-71.05811159999998,2,3.5,267,7.58,13,98.54,7.566666666666666,12,90.8,0,0,0,7.74,1,7.74
1000 Degrees Neapolitan Pizzeria,45 Court St,Boston,2108,US,42.3592396,-71.0589677,2,3.5,36,6.9,7,48.3,6.916666666666668,6,41.5,0,0,0,6.8,1,6.8
Halftime Pizza,115 Causeway St,Boston,2114,US,42.3650917,-71.06152709999998,1,3.5,132,7.521951219512196,82,616.8,7.5012345679012356,81,607.6,0,0,0,9.2,1,9.2
Florina Pizzeria & Paninoteca,16 Derne St,Boston,2114,US,42.3595409,-71.0634498,2,4.5,76,7.724,25,193.1,7.7041666666666675,24,184.9,0,0,0,8.2,1,8.2
