polla_qid,answer,votes,pollq_id,question,place,time,total_votes,percent
70,Average,2,70,How was Fiore's?,Fiore's,1548683027,20,0.1
70,Poor,0,70,How was Fiore's?,Fiore's,1548683027,20,0
70,Never Again,0,70,How was Fiore's?,Fiore's,1548683027,20,0
71,Excellent,2,71,How was Previti Pizza?,Previti Pizza,1550061126,26,0.0769
71,Good,4,71,How was Previti Pizza?,Previti Pizza,1550061126,26,0.1538
71,Average,11,71,How was Previti Pizza?,Previti Pizza,1550061126,26,0.4231
71,Poor,7,71,How was Previti Pizza?,Previti Pizza,1550061126,26,0.2692
71,Never Again,2,71,How was Previti Pizza?,Previti Pizza,1550061126,26,0.0769
72,Excellent,6,72,How was Rocco's Pizza Joint?,Rocco's Pizza Joint,1551876993,21,0.2857
72,Good,6,72,How was Rocco's Pizza Joint?,Rocco's Pizza Joint,1551876993,21,0.2857
72,Average,7,72,How was Rocco's Pizza Joint?,Rocco's Pizza Joint,1551876993,21,0.3333
72,Poor,1,72,How was Rocco's Pizza Joint?,Rocco's Pizza Joint,1551876993,21,0.0476
72,Fair,1,72,How was Rocco's Pizza Joint?,Rocco's Pizza Joint,1551876993,21,0.0476
73,Excellent,4,73,How was New York Pizza Suprema?,New York Pizza Suprema,1556550856,23,0.1739
73,Good,9,73,How was New York Pizza Suprema?,New York Pizza Suprema,1556550856,23,0.3913
73,Average,6,73,How was New York Pizza Suprema?,New York Pizza Suprema,1556550856,23,0.2609
73,Poor,4,73,How was New York Pizza Suprema?,New York Pizza Suprema,1556550856,23,0.1739
73,Never Again,0,73,How was New York Pizza Suprema?,New York Pizza Suprema,1556550856,23,0
74,Excellent,0,74,How was Champion Pizza?,Champion Pizza,1557156805,12,0
74,Good,4,74,How was Champion Pizza?,Champion Pizza,1557156805,12,0.3333
74,Average,5,74,How was Champion Pizza?,Champion Pizza,1557156805,12,0.4167
74,Poor,3,74,How was Champion Pizza?,Champion Pizza,1557156805,12,0.25
74,Never Again,0,74,How was Champion Pizza?,Champion Pizza,1557156805,12,0
75,Excellent,2,75,How was Joe's 14th?,Joe's 14th,1559829479,14,0.1429
75,Good,7,75,How was Joe's 14th?,Joe's 14th,1559829479,14,0.5
75,Average,5,75,How was Joe's 14th?,Joe's 14th,1559829479,14,0.3571
75,Poor,0,75,How was Joe's 14th?,Joe's 14th,1559829479,14,0
75,Never Again,0,75,How was Joe's 14th?,Joe's 14th,1559829479,14,0
76,Excellent,1,76,How was Steve's Pizza?,Steve's Pizza,1566499944,6,0.1667
76,Good,1,76,How was Steve's Pizza?,Steve's Pizza,1566499944,6,0.1667
76,Average,2,76,How was Steve's Pizza?,Steve's Pizza,1566499944,6,0.3333
76,Poor,2,76,How was Steve's Pizza?,Steve's Pizza,1566499944,6,0.3333
76,Never Again,0,76,How was Steve's Pizza?,Steve's Pizza,1566499944,6,0
77,Excellent,0,77,How was Il Mattone?,Il Mattone,1568907712,19,0
77,Never Again,1,77,How was Il Mattone?,Il Mattone,1568907712,19,0.0526
77,Poor,2,77,How was Il Mattone?,Il Mattone,1568907712,19,0.1053
77,Average,13,77,How was Il Mattone?,Il Mattone,1568907712,19,0.6842
77,Good,3,77,How was Il Mattone?,Il Mattone,1568907712,19,0.1579
