season,episode_overall,episode_season,title,original_release,guest,guest_appearance_number,finished
17,247,5,Andrew Zimmern Has a Bucket List Moment While Eating Spicy Wings,2022-02-17,Andrew Zimmern,1,TRUE
17,248,6,Dave Grohl Makes a New Friend While Eating Spicy Wings,2022-02-24,Dave Grohl,1,TRUE
17,249,7,Colin Farrell Searches for Meaning in the Pain of Spicy Wings,2022-03-03,Colin Farrell,1,TRUE
17,250,8,Courteney Cox Becomes Friends With Spicy Wings,2022-03-10,Courteney Cox,1,TRUE
17,251,9,Jacob Elordi Feels Euphoric While Eating Spicy Wings,2022-03-17,Jacob Elordi,1,TRUE
17,252,10,Pusha T Has Beef With Spicy Wings,2022-03-24,Pusha T,1,FALSE
17,253,11,Leslie Mann Gets Revenge While Eating Spicy Wings,2022-03-31,Leslie Mann,1,TRUE
17,254,12,Josh Brolin Licks the Palate of Absurdity While Eating Spicy Wings,2022-04-07,Josh Brolin,1,TRUE
18,255,1,Post Malone Has His Brain Hacked By Spicy Wings,2022-05-26,Post Malone,2,TRUE
18,256,2,Millie Bobby Brown Needs a Milkshake While Eating Spicy Wings,2022-06-02,Millie Bobby Brown,1,TRUE
18,257,3,Queen Latifah Sets It Off While Eating Spicy Wings,2022-06-09,Queen Latifah,1,TRUE
18,258,4,Kevin Bacon Needs Six Degrees of Separation From Spicy Wings,2022-06-16,Kevin Bacon,1,TRUE
18,259,5,Khloé Kardashian Holds Back Tears While Eating Spicy Wings,2022-06-23,Khloé Kardashian,1,TRUE
18,260,6,Andrew Callaghan Goes For the Marrow While Eating Spicy Wings,2022-06-30,Andrew Callaghan,1,TRUE
18,261,7,Tessa Thompson Feels Alive While Eating Spicy Wings,2022-07-07,Tessa Thompson,1,TRUE
18,262,8,Daniel Kaluuya Listens to His Ego While Eating Spicy Wings,2022-07-14,Daniel Kaluuya,1,TRUE
18,263,9,Bear Grylls Battles For Survival Against Spicy Wings,2022-07-21,Bear Grylls,1,TRUE
18,264,10,Mark Rober Gives Up on Science While Eating Spicy Wings,2022-07-28,Mark Rober,1,TRUE
18,265,11,Lizzo Earns Her Hot Sauce Crown While Eating Spicy Wings,2022-08-04,Lizzo,1,TRUE
18,266,12,Neil Patrick Harris Needs Magic To Escape Spicy Wings,2022-08-11,Neil Patrick Harris,1,TRUE
19,267,1,David Blaine Does Magic While Eating Spicy Wings,2022-09-29,David Blaine,1,TRUE
19,268,2,Kid Cudi Goes to the Moon While Eating Spicy Wings,2022-10-06,Kid Cudi,1,TRUE
19,269,3,Viola Davis Gives a Master Class While Eating Spicy Wings,2022-10-13,Viola Davis,1,TRUE
19,270,4,Cole Bennett Needs Lemonade While Eating Spicy Wings,2022-10-20,Cole Bennett,1,TRUE
19,271,5,Cate Blanchett Pretends No One's Watching While Eating Spicy Wings,2022-10-27,Cate Blanchett,1,TRUE
19,272,6,Emma Chamberlain Has a Spiritual Awakening While Eating Spicy Wings,2022-11-03,Emma Chamberlain,1,TRUE
19,273,7,James Corden Experiences Mouth Karma While Eating Spicy Wings,2022-11-10,James Corden,1,TRUE
19,274,8,Ramy Youssef Lives on a Prayer While Eating Spicy Wings,2022-11-17,Ramy Youssef,1,TRUE
19,275,9,Israel Adesanya Gives Thanks While Eating Spicy Wings,2022-11-24,Israel Adesanya,1,TRUE
19,276,10,Zoe Saldaña Gets Scorched By Spicy Wings,2022-12-01,Zoe Saldaña,1,TRUE
19,277,11,Kate Hudson Stays Positive While Eating Spicy Wings,2022-12-08,Kate Hudson,1,TRUE
19,278,12,Paul Dano Needs A Burp Cloth While Eating Spicy Wings,2022-12-15,Paul Dano,1,TRUE
20,279,1,Anna Kendrick Gets The Giggles While Eating Spicy Wings,2023-01-26,Anna Kendrick,1,TRUE
20,280,2,Bryan Cranston Fully Commits While Eating Spicy Wings,2023-02-02,Bryan Cranston,1,TRUE
20,281,3,Lenny Kravitz Stays Cool While Eating Spicy Wings,2023-02-09,Lenny Kravitz,1,TRUE
20,282,4,Austin Butler Searches For Comfort While Eating Spicy Wings,2023-02-16,Austin Butler,1,TRUE
20,283,5,LL Cool J Needs Some Milk While Eating Spicy Wings,2023-02-24,LL Cool J,1,TRUE
20,284,6,Jenna Ortega Doesn’t Flinch While Eating Spicy Wings,2023-03-02,Jenna Ortega,1,TRUE
20,285,7,Pedro Pascal Cries From His Head While Eating Spicy Wings,2023-03-09,Pedro Pascal,1,TRUE
20,286,8,Niall Horan Gets The Shakes While Eating Spicy Wings,2023-03-16,Niall Horan,1,TRUE
20,287,9,Bob Odenkirk Has A Fire In His Belly While Eating Spicy Wings,2023-03-23,Bob Odenkirk,1,TRUE
20,288,10,Florence Pugh Sweats From Her Eyebrows While Eating Spicy Wings,2023-03-30,Florence Pugh,1,TRUE
20,289,11,Kieran Culkin Fires Sean While Eating Spicy Wings,2023-04-06,Kieran Culkin,1,TRUE
20,290,12,Jake Gyllenhaal Gets a Leg Cramp While Eating Spicy Wings,2023-04-13,Jake Gyllenhaal,1,TRUE
21,291,1,Jason Sudeikis Embraces Da Bomb While Eating Spicy Wings,2023-05-25,Jason Sudeikis,1,TRUE
21,292,2,Julia Louis-Dreyfus Fires Her Publicist While Eating Spicy Wings,2023-06-01,Julia Louis-Dreyfus,1,TRUE
21,293,3,Rosalía Can’t Stop Laughing While Eating Spicy Wings,2023-06-08,Rosalía,1,TRUE
21,294,4,Melissa McCarthy Prepares For the Worst While Eating Spicy Wings,2023-06-15,Melissa McCarthy,1,TRUE
21,295,5,Jennifer Lawrence Sobs in Pain While Eating Spicy Wings,2023-06-22,Jennifer Lawrence,1,TRUE
21,296,6,John Mulaney Seeks the Truth While Eating Spicy Wings,2023-06-29,John Mulaney,1,TRUE
21,297,7,Lewis Capaldi Grasps for a Lifeline While Eating Spicy Wings,2023-07-06,Lewis Capaldi,1,TRUE
21,298,8,Harry Kane Takes One For the Team While Eating Spicy Wings,2023-07-13,Harry Kane,1,TRUE
21,299,9,John Stamos Falls Out of His Chair While Eating Spicy Wings,2023-07-20,John Stamos,1,TRUE
21,300,10,Stephen Curry Is On Fire While Eating Spicy Wings,2023-07-27,Stephen Curry,1,TRUE
