DoBIH_number,Name,Height_m,Height_ft,xcoord,ycoord,1891,1921,1933,1953,1969,1974,1981,1984,1990,1997,2021,Comments
284,Carn Mor Dearg - Carn Dearg Meadhonach,1179,3868,217596,772686,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,"1974: NN173731 in error, 3870' height is from the 1967 6"" map which is at NN176726. Previous editions give 3873' from the old 6"" map."
307,Carn Mor Dearg - Carn Beag Dearg,1010,3314,217146,773596,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA,NA,NA,NA,NA,"1891-1969 give the 3264.8' trig on the 6"" map. There is no summit here. 1974: 3300' at NN171737. The cairn 140m SSE is 2m higher but does not fit the location."
296,Sgurr Choinnich Mor,1094,3589,222771,771419,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,1891: Sgor a' Choinnich Mor
317,Sgurr Choinnich Mor - Sgurr Choinnich Beag,963,3159,222017,771037,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,"1891: Sgor a' Choinnich Beag. 1974: NN228715 in error; height is from 3270' spot at NN220710 on 1968 6"" map"
289,Stob Coire an Laoigh,1116,3661,223984,772532,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
291,Stob Coire an Laoigh - Caisteal,1106,3629,224664,772938,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,1984-1997: Casteil
297,Stob Coire an Laoigh - Stob Coire Easain,1080,3543,223475,772737,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,1891-1969: Stob Coire an Easain
298,Stob Coire an Laoigh - Stob Coire Cath na Sine,1082.4,3551,225234,773051,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,1891: Stob Coire Cath na Sgine
306,Stob Coire an Laoigh - Beinn na Socaich,1007,3304,223629,773484,Munro Top,NA,NA,NA,NA,NA,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA
285,Stob Choire Claurigh,1177,3862,226196,773878,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
286,Stob Choire Claurigh North Top,1121,3678,226233,774279,NA,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA,NA,NA,NA,NA,"1974: NN262744 but no summit here. Previous 3719' ap. retained in 6"" column although the 1968 6"" map has a 3650' contour."
288,Stob Choire Claurigh - Stob Coire na Ceannain,1123,3684,226780,774590,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,1891:  	Stob Coire nan Ceann
293,Stob Choire Claurigh - Stob a' Choire Leith,1105,3625,225675,773663,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA
318,Stob Choire Claurigh - Stob Coire Gaibhre [Stob Coire na Gaibhre],958,3143,226093,775715,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,1984-1997: Stob Coire na Gaibhre
314,Stob Ban,977,3205,226669,772395,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
290,Stob Coire Easain,1115,3658,230802,773066,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,1891: Stob Choire an Easain Mhoir
292,Stob a' Choire Mheadhoin,1105,3625,231652,773643,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,1891: Stob a' Choire Mheadhonaiche
305,Sgurr Eilde Mor,1010,3314,223054,765788,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,1891: Sgor na h-Eilde
320,Binnein Beag,943,3094,222173,767714,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
287,Binnein Mor,1130,3707,221219,766352,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
300,Binnein Mor South Top,1062,3484,221107,765695,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,1891: Top of Coire nan Laogh
319,Binnein Mor - Sgor Eilde Beag,955.7,3135,221963,765300,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,1891: Sgor na h-Eilde Beag; 1921-1990: Sgurr Eilde Beag
301,Na Gruagaichean,1054.3,3459,220307,765200,Munro Top,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,1891: A' Gruagach
302,Na Gruagaichean NW Top,1038.8,3408,220105,765440,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,1891: A' Gruagach NW Top
312,An Gearanach,981.5,3220,218770,766992,Munro,Munro Top,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,"1933 footnote explains the 1921 move to An Garbhanach as a mistake, and estimates the heights as 3240' and 3230'"
315,An Gearanach - An Garbhanach,974.9,3198,218819,766569,Munro Top,Munro,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA
313,Stob Coire a' Chairn,981.3,3219,218561,766063,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
303,Am Bodach,1031.8,3385,217637,765097,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
308,Sgurr a' Mhaim - Sgurr an Iubhair [Sgor an Iubhair],999.7,3280,216521,765512,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro,Munro,Munro,Munro Top,Munro Top,1891-1997: Sgor an Iubhair
310,Sgurr a' Mhaim - Stob Choire a' Mhail,990,3248,216329,766001,NA,NA,NA,NA,NA,NA,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,1981: Stob a' Choire Mhail
295,Sgurr a' Mhaim,1099,3606,216465,766730,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,1891: Sgor a' Mhaim
309,Stob Ban,999.7,3280,214777,765443,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
321,Mullach nan Coirean,939.3,3082,212233,766243,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
323,Mullach nan Coirean SE Top,917.5,3010,213125,765472,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,1891: Top of Coire Dearg
324,Mullach nan Coirean East Top,916.6,3007,213731,765600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Munro Top,New Munro Top August 2019 following survey
356,Stob Coire Sgriodain,979,3212,235669,774381,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
360,Stob Coire Sgriodain South Top,958,3143,235935,773883,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,1891: Crags above Glac Bhan
351,Chno Dearg,1046,3432,237741,774115,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,1891: Cnoc Dearg
357,Chno Dearg - Meall Garbh (old GR),975,3199,237107,773051,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA,NA,NA,NA,NA,1891-1969: Meall Garbh. Shoulder ¾ mile SW of Chno Dearg. NN371731 in 1974 tables
358,Chno Dearg - Meall Garbh,976,3202,237172,772759,NA,NA,NA,NA,NA,NA,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA
364,Beinn na Lap,935,3068,237616,769585,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
363,Carn Dearg,941,3087,241773,766143,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
361,Sgor Gaibhre,955,3133,244477,767448,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
365,Sgor Gaibhre - Sgor Choinnich,929,3048,244360,768323,Munro,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA
348,Beinn Eibhinn,1103.3,3620,244965,773302,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
366,Beinn Eibhinn - Meall Glas Choire,924,3031,243675,772782,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,1891-1974: Uinneag a' Ghlas-Choire (misprinted Uinneg in 1974)
368,Beinn Eibhinn - Mullach Coire nan Nead,922,3025,243026,773429,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA
347,Aonach Beag,1115.8,3661,245786,774190,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
346,Geal-Charn,1132,3714,246992,774629,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,1981-1997: Geal Charn
353,Geal-Charn - Sgor Iutharn,1028,3373,248969,774386,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,1891: Sgor Iutharna
352,Carn Dearg,1034,3392,250416,776444,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
369,Carn Dearg - Diollaid a' Chairn,925,3035,248715,775779,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA
349,Beinn a' Chlachair,1087,3566,247122,778155,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,1891: Beinn a' Clachair
367,Creag Pitridh,924,3031,248752,781459,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,1891: Creag Peathraich
350,Geal Charn,1049,3442,250432,781181,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,1891-1974: Mullach Coire an Iubhair
355,Geal Charn - Sron Garbh,1023,3356,250933,781075,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA,NA,NA,NA,NA,"1921: misdescribed as ½m S by E of hill 350, corrected to E by S in 1933. 1974: 3357' taken from 1970 6"" map but NN508891 incorrect"
345,Ben Alder,1148,3766,249616,771855,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
354,Beinn Bheoil,1019,3343,251716,771722,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
362,Beinn Bheoil - Sron Coire na h-Iolaire,956,3136,251305,770437,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA
383,Beinn Udlamain,1010.2,3314,257945,773975,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,1891: Beinn Udlaman
385,Sgairneach Mhor (old GR),963,3159,259498,772758,Munro,NA,NA,NA,NA,Munro,NA,NA,NA,NA,NA,"1891: Sgairneach Mor. 1891, 1974: 3160' spot on 1"" map given, but no summit here. 1921: true summit given to NE, hill 384. See named worksheet."
384,Sgairneach Mhor,991,3251,259882,773130,NA,Munro,Munro,Munro,Munro,NA,Munro,Munro,Munro,Munro,Munro,see named worksheet
387,A' Mharconaich - Bruach nan Iomairean,969.8,3182,260142,775883,NA,NA,NA,NA,NA,Munro,NA,NA,NA,NA,NA,"1974: A' Mharconaich. This is the 3174' spot on the 1"" map, footnoted 1891-1969 as being merely a shoulder on A' Mharconaich."
386,A' Mharconaich,973.2,3193,260423,776293,Munro,Munro,Munro,Munro,Munro,NA,Munro,Munro,Munro,Munro,Munro,"1891: Marcaonach. 3185' spot on 6"" map."
392,Geal-charn,917.1,3009,259644,778261,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
388,Meall Chuaich,951,3120,271648,787834,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,1891: Meall na Cuaich
389,Carn na Caim,940.8,3087,267700,782153,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
394,Carn na Caim - Mullach Coire nan Cisteachan [Carn na Caim South Top],914.6,3001,266387,780691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Munro Top,New Munro Top September 2015 following surveys
390,A' Bhuidheanach Bheag,936.1,3071,266059,777594,Munro Top,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,1891: Fuar Bheinn. Listed as a Top below Meall a' Chaorainn (hill 393) despite being correctly recorded as higher.
391,A' Bhuidheanach Bheag - Glas Mheall Mor,927.9,3044,268063,776957,Munro,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA
393,A' Bhuidheanach Bheag - Meall a' Chaorainn,916,3005,264608,777701,Munro,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA,NA,NA,NA,NA,1891-1974: Meall a' Chaoruinn. Given Munro status in 1891 despite being lower than a' Bhuidheanach Bheag on contemporary maps and shown as such in the Tables
406,Beinn Dearg,1008.7,3309,285296,777800,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
412,Beinn Dearg - Beinn Gharbh,930.4,3052,285137,779058,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA,NA,NA,NA,NA,"1974: NN853791 appears to be an estimate from the contour on  the 1"" map. 932m spot on 1971-72 1:10k map from which the height was taken is at the current grid ref."
407,An Sgarsoch,1006.5,3302,293339,783685,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
411,An Sgarsoch - Druim Sgarsoch,954,3130,294500,783600,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA,NA,NA,NA,NA,NA
408,Carn an Fhidhleir [Carn Ealar],994,3261,290476,784195,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
409,Carn a' Chlamain,963.5,3161,291591,775807,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
410,Carn a' Chlamain North Top,952,3123,291373,776137,NA,NA,NA,NA,NA,NA,Munro Top,NA,NA,NA,NA,Listed under deletions in 1984 tables
421,Carn nan Gabhar (Beinn a' Ghlo),1121.9,3681,297116,773314,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
423,Carn nan Gabhar (Beinn a' Ghlo) - Airgiod Bheinn,1061.7,3483,296186,771996,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA
422,Braigh Coire Chruinn-bhalgain (Beinn a' Ghlo),1070,3510,294563,772403,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
429,Carn Liath (Beinn a' Ghlo),976,3202,293607,769830,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
424,Glas Tulaichean,1051,3448,305105,776011,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,1891: Glas Thulachan
426,Carn an Righ,1029,3376,302871,777268,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
425,Beinn Iutharn Mhor,1045,3428,304566,779279,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
427,Beinn Iutharn Mhor - Mam nan Carn,986,3235,304900,777966,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA
430,Beinn Iutharn Mhor - Beinn Iutharn Bheag,953,3127,306522,779124,Munro,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA
432,Carn Bhac,945.1,3101,305104,783225,Munro Top,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,"1891: Top of Coire Bhourneasg; 1921-1974: Carn Bhac, NE Top"
436,Carn Bhac SW Top,918.1,3012,304120,782765,Munro,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,1891: Carn Bhac
440,Carn Bhac - Carn a' Bhutha,905.9,2972,303375,782002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,* Mentioned in 1933 and assigned Top no. 544 in 1953 and 1969 but not included in the totals. See comment in worksheet for A' Mhaighdean
433,An Socach,944,3097,307938,780016,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro,Munro,Munro,Munro,Munro,Munro,1891-1969: An Socach (West End); 1974: An Socach—West End; 1981-1990: An Socach—West summit
434,An Socach East Top,938,3077,309898,780579,Munro,Munro,Munro,Munro,Munro,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,"1891-1969: An Socach (East End) Socach Mor; 1974: An Socach, Socach Mor; 1981: An Socach—East Summit; 1984-1990: An Socach—East Top"
428,Carn a' Gheoidh,975,3199,310703,776700,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,1891: Carn Geoidhe
437,Carn a' Gheoidh - Carn nan Sac,919.5,3017,311948,776955,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA,NA,NA,NA,NA,NA
439,Carn a' Gheoidh - Carn Bhinnein,917,3009,309135,776283,Munro,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA
435,The Cairnwell,933,3061,313486,777360,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
438,Carn Aosda,915.3,3003,313397,779164,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
457,Cac Carn Beag (Lochnagar),1155.7,3792,324372,786140,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
458,Cac Carn Beag (Lochnagar) - Cac Carn Mor,1151.3,3777,324517,785687,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA,NA,"1891-1969:Lochnagar, Cairn"
460,Cac Carn Beag (Lochnagar) - Cuidhe Crom,1083.2,3554,325995,784923,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA
475,Cac Carn Beag (Lochnagar) - Meikle Pap,980,3215,325991,786061,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA
476,Cac Carn Beag (Lochnagar) - Meall Coire na Saobhaidhe,974,3196,324251,787298,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA
481,Cac Carn Beag (Lochnagar) - Little Pap,956,3136,326465,784438,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA,NA,NA,Munro Top,Munro Top,NA
459,Carn a' Choire Bhoidheach,1109.9,3641,322673,784557,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
462,Carn a' Choire Bhoidheach - Creag a' Ghlas-uillt,1066.9,3500,324209,784239,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA
464,Carn a' Choire Bhoidheach - Eagles Rock [Eagle's Rock],1049.2,3442,323712,783854,NA,Munro Top,Munro Top,Munro Top,Munro Top,NA,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,"1921-1969: Stob an Dubh Loch, but not 1¼ miles N of Dubh Loch as given in the Tables; 1981-1990: Top of Eagle's Rock; 1997-2021: Eagle's Rock"
466,Carn a' Choire Bhoidheach - Carn an t-Sagairt Beag,1044.3,3426,321659,784863,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA
465,Carn an t-Sagairt Mor,1047,3435,320810,784280,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
461,Glas Maol,1068,3504,316699,776576,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
477,Glas Maol - Little Glas Maol,973,3192,317590,775960,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA
488,Glas Maol - Meall Odhar,922,3025,315596,777353,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA
472,Creag Leacach,988.2,3242,315468,774548,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
484,Creag Leacach SW Top,943.7,3096,314941,774171,NA,NA,NA,NA,NA,NA,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA
463,Cairn of Claise,1064,3491,318549,778890,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,1891: Cairn na Glasha
478,Cairn of Claise - Druim Mor,961,3153,318999,777147,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA
467,Carn an Tuirc,1019,3343,317454,780482,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
480,Tom Buidhe,957,3140,321367,778774,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
479,Tolmount,958,3143,321051,780018,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,1891: Tolmont
489,Tolmount - Crow Craigies,920,3018,322204,779867,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA
468,Cairn Bannoch,1012,3320,322288,782555,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
469,Cairn Bannoch - Fafernie,1000,3281,321513,782316,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA
482,Cairn Bannoch - Creag Leachdach,957,3140,321010,781628,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA,NA,NA,NA,NA,NA
471,Cairn Bannoch - Cairn of Gowal,991,3251,322671,782088,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA,Munro Top,NA,NA,Munro Top,Munro Top,1981: named as Craig of Gowal but grid reference is for 991m top of Cairn of Gowal; probable error
474,Cairn Bannoch - Cairn of Gowal South Top,983,3225,322789,781668,NA,NA,NA,NA,NA,Munro Top,Munro Top,Munro Top,Munro Top,NA,NA,1974-1990: Cairn of Gowal
487,Cairn Bannoch - Craig of Gowal,927,3041,323194,780900,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA,Munro Top,Munro Top,Munro Top,Munro Top,1891: ¾ mile SW of Broad Cairn; 1921: 1¼ miles SSE of Cairn Bannoch; all give 3027ft (923m). Grid Reference (except 1981) always NO232809
470,Broad Cairn,998,3274,324056,781567,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
473,Broad Cairn - Creag an Dubh-loch,983,3225,323283,782319,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA
486,Mayar,928,3045,324083,773748,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
483,Driesh,947,3107,327116,773588,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
485,Mount Keen,939,3081,340905,786927,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
571,Mullach Clach a' Bhlair,1019,3343,288285,792702,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,1891: Meall Tionail
580,Mullach Clach a' Bhlair - Diollaid Coire Eindart,974,3196,290400,792757,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA,NA,NA,NA,NA,NA
591,Mullach Clach a' Bhlair - Druim nam Bo,918,3012,287388,792129,Munro Top,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1891: misprinted Druim nan Bo in the Table by district. Table by altitude has 'nam' as shown on the 6"" map."
548,Sgor Gaoith,1118,3668,290300,798961,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,"1891: Sgoran Dubh, South"
551,Sgor Gaoith - Sgoran Dubh Mor,1111,3645,290498,800276,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,"1891: Sgoran Dubh, North"
565,Sgor Gaoith - Carn Ban Mor,1052,3451,289378,797203,Munro,Munro,Munro,Munro,Munro,Munro,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,1891: Carn Ban
576,Sgor Gaoith - Meall Dubhag,998,3274,288042,795552,Munro,Munro,Munro,Munro,Munro,Munro,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,1891: Meall Dubh-achaidh
579,Sgor Gaoith - Meall Buidhe,976,3202,289158,800172,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA
589,Sgor Gaoith - Geal-charn,920,3018,288404,801414,Munro,Munro,Munro,Munro,Munro,Munro,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA
519,Braeriach,1296,4252,295328,799916,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
526,Braeriach - Stob Coire an Lochain,1235,4052,294028,799726,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA,NA,NA,NA,NA,"1891: Braeriach, Top above L. Coire an Lochan. Footnote 1891-1969: 'It is difficult to decide what should be considered ""tops"" in the big plateau between Braeriach and Cairntoul'"
522,Braeriach - Carn na Criche,1265,4150,293934,798267,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,"1891-1974: Breariach, South Plateau. Footnote as above."
