INSTITUTION,ENROLLMENT,WOMEN,AMERICAN INDIAN / ALASKA NATIVE,ASIAN,BLACK,HISPANIC,NATIVE HAWAIIAN / PACIFIC ISLANDER,WHITE,TWO OR MORE RACES,UNKNOWN,"NON-
RESIDENT FOREIGN",TOTAL MINORITY
Middlesex County CollegeNew Jersey,"12,059","6,411",37,"1,513","1,364","3,459",94,"3,847",327,"1,135",283,"6,794"
Camden County CollegeNew Jersey,"12,051","6,856",152,598,"2,557","1,772",36,"6,054",82,595,205,"5,197"
U. of Northern ColoradoColorado,"12,050","7,908",38,188,437,"1,772",22,"7,189",377,"1,657",370,"2,834"
Central Connecticut State U.Connecticut,"12,037","6,035",23,429,"1,225","1,359",11,"8,159",290,338,203,"3,337"
Arkansas Tech U.Arkansas,"12,002","6,689",121,154,919,728,8,"9,314",309,0,449,"2,239"
State U. of New York Empire State CollegeNew York,"11,952","7,372",69,242,"1,725","1,280",40,"7,378",225,617,376,"3,581"
U. of Texas at Brownsville and Texas Southmost CollegeTexas,"11,943","6,880",9,121,94,"10,604",5,592,0,34,484,"10,833"
U. of Northern IowaIowa,"11,928","6,945",25,108,339,377,7,"9,967",210,269,626,"1,066"
American InterContinental U. OnlineIllinois,"11,900","8,027",103,107,"5,415",617,72,"4,085",384,"1,110",7,"6,698"
San Diego Miramar CollegeCalifornia,"11,876","5,247",42,"2,673",607,"2,901",104,"4,417",738,351,43,"7,065"
J. Sargeant Reynolds Community CollegeVirginia,"11,861","7,270",63,537,"4,254",589,24,"5,763",414,128,89,"5,881"
Hinds Community CollegeMississippi,"11,839","7,396",39,91,"6,598",199,5,"4,395",236,173,103,"7,168"
U. of DenverColorado,"11,809","6,649",52,390,406,"1,023",14,"7,958",328,376,"1,262","2,213"
Central Washington U.Washington,"11,799","6,147",65,532,365,"1,430",137,"7,327",710,"1,130",103,"3,239"
Union County CollegeNew Jersey,"11,781","7,272",46,451,"3,191","3,936",42,"2,374",92,"1,298",351,"7,758"
U. of Colorado at Colorado SpringsColorado,"11,761","6,208",51,370,419,"1,656",36,"7,875",699,330,325,"3,231"
Marquette U.Wisconsin,"11,745","6,167",29,527,463,950,11,"8,355",329,477,604,"2,309"
U. of IdahoIdaho,"11,702","5,482",113,161,142,925,22,"8,853",376,396,714,"1,739"
U. of Central ArkansasArkansas,"11,698","7,146",55,185,"2,011",452,11,"7,915",352,142,575,"3,066"
Tarleton State U.Texas,"11,681","7,122",68,121,959,"1,783",10,"8,229",342,97,72,"3,283"
U. of Tennessee at ChattanoogaTennessee,"11,670","6,441",27,216,"1,236",387,10,"8,638",854,129,173,"2,730"
U. of Arkansas at Little RockArkansas,"11,645","6,932",44,260,"2,625",713,0,"6,599",823,101,480,"4,465"
Triton CollegeIllinois,"11,577","6,294",23,343,"1,953","4,389",19,"3,784",133,931,2,"6,860"
Lorain County Community CollegeOhio,"11,569","7,214",47,152,"1,171",640,19,"8,548",721,167,104,"2,750"
Valdosta State U.Georgia,"11,563","7,081",33,129,"3,858",485,14,"6,368",341,49,286,"4,860"
Victor Valley CollegeCalifornia,"11,557","6,592",38,256,"1,434","5,595",36,"3,556",536,100,6,"7,895"
Schoolcraft CollegeMichigan,"11,542","6,251",81,426,"1,711",434,13,"7,645",244,853,135,"2,909"
South U.-Savannah Online (Ga.)Georgia,"11,522","9,055",117,214,"3,788","1,037",73,"5,421",0,872,0,"5,229"
City U. of New York Bronx Community CollegeNew York,"11,506","6,482",22,310,"3,223","7,315",38,279,71,0,248,"10,979"
Essex County CollegeNew Jersey,"11,468","6,712",23,344,"5,546","2,825",27,"1,015",72,707,909,"8,837"
Western Illinois U.Illinois,"11,458","5,846",16,109,"1,897",983,10,"7,343",248,341,511,"3,263"
College of CharlestonSouth Carolina,"11,456","7,329",21,181,823,478,13,"9,221",401,150,168,"1,917"
Midlands Technical CollegeSouth Carolina,"11,424","6,785",62,256,"4,128",428,20,"5,933",309,288,0,"5,203"
Savannah College of Art and DesignGeorgia,"11,347","7,305",61,511,"1,270",859,27,"5,851",16,553,"2,199","2,744"
U. of DaytonOhio,"11,343","5,411",9,156,417,310,3,"8,209",126,337,"1,776","1,021"
Tennessee Technological U.Tennessee,"11,339","5,052",17,147,416,252,4,"8,961",250,43,"1,249","1,086"
Massachusetts Institute of TechnologyMassachusetts,"11,319","4,226",18,"1,832",344,"1,087",1,"3,748",415,572,"3,302","3,697"
Ohlone CollegeCalifornia,"11,318","5,322",20,"3,564",452,"2,193",88,"2,180",523,"1,947",351,"6,840"
Rutgers U. at NewarkNew Jersey,"11,314","5,541",14,"2,085","1,785","2,116",90,"3,487",269,642,826,"6,359"
Coastline Community CollegeCalifornia,"11,313","4,655",80,"2,525","1,389","3,057",43,"3,472",416,246,85,"7,510"
U. of MaineMaine,"11,286","5,754",133,144,212,241,2,"8,693",261,"1,054",546,993
Mercy CollegeNew York,"11,272","8,199",26,423,"2,663","3,208",28,"4,107",194,517,106,"6,542"
Southern Methodist U.Texas,"11,272","5,405",31,671,669,"1,172",15,"6,812",291,128,"1,483","2,849"
Pasco-Hernando Community CollegeFlorida,"11,263","6,861",47,246,562,"1,932",34,"7,863",304,249,26,"3,125"
Texas A&M U. at Corpus ChristiTexas,"11,256","6,763",41,272,606,"5,030",4,"4,434",186,129,554,"6,139"
Louisiana Tech U.Louisiana,"11,225","5,481",43,131,"1,441",123,16,"7,768",190,940,573,"1,944"
Arizona State U.-Downtown PhoenixArizona,"11,216","7,582",262,494,698,"2,851",33,"6,138",411,94,235,"4,749"
Murray State U.Kentucky,"11,207","6,571",22,99,776,196,6,"8,937",171,175,825,"1,270"
Santiago Canyon CollegeCalifornia,"11,202","4,590",23,805,197,"5,118",25,"4,102",446,424,62,"6,614"
Bridgewater State U.Massachusetts,"11,187","6,791",27,209,933,617,9,"8,573",290,443,86,"2,085"
Tyler Junior CollegeTexas,"11,168","6,575",68,151,"2,541","1,782",12,"6,214",241,73,86,"4,795"
Northcentral U.Arizona,"11,160","7,003",84,217,"2,844",598,58,"4,567",381,"2,411",0,"4,182"
Truckee Meadows Community CollegeNevada,"11,106","6,156",150,621,240,"2,742",14,"6,745",364,181,49,"4,131"
Chemeketa Community CollegeOregon,"11,101","6,188",193,185,137,"2,397",81,"6,306",385,"1,336",81,"3,378"
U. of Minnesota at DuluthMinnesota,"11,093","5,209",112,332,207,231,10,"9,042",281,583,295,"1,173"
Buffalo State CollegeNew York,"11,083","6,541",46,250,"2,443","1,113",15,"6,206",323,65,622,"4,190"
U. of RochesterNew York,"11,060","5,626",28,915,491,533,5,"5,315",241,922,"2,610","2,213"
Polk State CollegeFlorida,"11,060","7,084",29,286,"1,830","2,012",12,"6,148",256,398,89,"4,425"
Morehead State U.Kentucky,"11,052","6,694",20,41,409,162,12,"9,970",142,155,141,786
William Paterson U. of New JerseyNew Jersey,"11,048","6,357",11,704,"1,483","2,740",25,"5,220",250,505,110,"5,213"
Allan Hancock CollegeCalifornia,"11,047","5,652",74,452,305,"5,896",50,"3,906",339,5,20,"7,116"
Hofstra U.New York,"10,953","6,139",31,893,909,"1,254",78,"5,914",198,604,"1,072","3,363"
Bluegrass Community and Technical CollegeKentucky,"10,952","6,376",33,176,"1,321",476,20,"8,284",303,170,169,"2,329"
ECPI College of TechnologyVirginia,"10,932","6,324",76,338,"4,474",895,23,"4,302",296,524,4,"6,102"
Elgin Community CollegeIllinois,"10,929","5,970",29,691,471,"4,228",7,"4,927",244,296,36,"5,670"
Clark CollegeWashington,"10,911","6,211",83,385,222,944,64,"7,560",834,698,121,"2,532"
Tufts U.Massachusetts,"10,907","5,941",12,"1,353",368,594,4,"5,913",409,"1,078","1,176","2,740"
Waubonsee Community CollegeIllinois,"10,904","6,133",10,353,757,"3,773",3,"5,452",216,340,0,"5,112"
Georgia Gwinnett CollegeGeorgia,"10,828","5,923",15,954,"3,378","1,619",9,"4,150",415,104,184,"6,390"
Southern Connecticut State U.Connecticut,"10,825","6,891",19,271,"1,539","1,114",2,"6,662",230,935,53,"3,175"
Pennsylvania State U.-World CampusPennsylvania,"10,805","5,243",22,470,744,815,17,"7,739",258,415,325,"2,326"
Calhoun Community CollegeAlabama,"10,802","6,045",186,374,"1,942",458,7,"7,170",427,171,67,"3,394"
Park U.Missouri,"10,792","5,158",80,267,"2,014","1,337",48,"6,593",307,0,146,"4,053"
Case Western Reserve U.Ohio,"10,771","5,380",14,"1,543",563,444,5,"5,379",269,532,"2,022","2,838"
North Lake CollegeTexas,"10,744","5,789",40,"1,215","2,074","3,992",20,"2,741",124,483,55,"7,465"
Villanova U.Pennsylvania,"10,735","5,542",12,666,580,699,9,"7,869",209,333,358,"2,175"
North Carolina A&T State U.North Carolina,"10,725","5,878",31,106,"8,560",245,0,644,279,398,462,"9,221"
U. of Wisconsin at Eau ClaireWisconsin,"10,721","6,411",33,384,75,226,5,"9,554",186,12,246,909
Cincinnati State Technical and Community CollegeOhio,"10,707","5,892",45,156,"2,921",211,11,"6,030",267,916,150,"3,611"
Argosy U. Online ProgramsArizona,"10,703","7,642",146,76,"3,687",901,121,"5,092",0,680,0,"4,931"
U. of San FranciscoCalifornia,"10,689","6,724",26,"1,881",464,"1,919",69,"3,492",635,487,"1,716","4,994"
U. of Wisconsin at La CrosseWisconsin,"10,669","6,107",22,256,82,305,7,"9,442",221,14,320,893
College of the SequoiasCalifornia,"10,647","5,973",51,464,276,"6,626",19,"2,712",338,138,23,"7,774"
New Jersey Institute of TechnologyNew Jersey,"10,646","2,665",6,"1,901",899,"1,749",3,"2,934",267,"1,084","1,803","4,825"
West Los Angeles CollegeCalifornia,"10,641","6,210",29,563,"3,187","4,490",25,"1,345",379,403,220,"8,673"
"City Colleges of Chicago, Harry S. Truman CollegeIllinois","10,601","6,193",26,"1,413","2,506","4,200",21,"2,080",105,247,3,"8,271"
Oakton Community CollegeIllinois,"10,589","5,506",17,"1,895",611,"1,675",82,"5,520",295,493,1,"4,575"
El Centro CollegeTexas,"10,549","7,025",39,458,"3,111","4,264",8,"2,198",95,355,21,"7,975"
Laney CollegeCalifornia,"10,548","5,776",32,"2,766","2,665","2,077",51,"1,762",555,556,84,"8,146"
Southwestern Illinois CollegeIllinois,"10,545","5,884",27,128,"2,273",529,20,"6,620",527,419,2,"3,504"
Northampton Community CollegePennsylvania,"10,531","6,286",27,262,"1,184","2,078",21,"6,447",238,186,88,"3,810"
Fox Valley Technical CollegeWisconsin,"10,519","5,053",125,430,236,414,13,"8,035",32,"1,177",57,"1,250"
St. Philip's CollegeTexas,"10,514","5,896",47,283,"1,099","5,414",24,"3,053",334,215,45,"7,201"
New SchoolNew York,"10,477","7,199",10,835,665,"1,055",7,"3,675",355,554,"3,321","2,927"
Del Mar CollegeTexas,"10,439","5,854",29,190,299,"6,620",19,"2,850",326,90,16,"7,483"
Thomas Nelson Community CollegeVirginia,"10,436","6,241",45,313,"3,714",649,37,"5,017",543,107,11,"5,301"
Northeast Wisconsin Technical CollegeWisconsin,"10,406","6,092",249,300,238,539,2,"8,906",170,2,0,"1,498"
Arapahoe Community CollegeColorado,"10,401","5,654",65,346,282,"1,661",22,"6,751",386,803,85,"2,762"
Western Carolina U.North Carolina,"10,382","5,846",87,134,669,496,12,"8,287",320,98,279,"1,718"
Amarillo CollegeTexas,"10,336","6,352",136,304,525,"3,940",0,"5,344",0,86,1,"4,905"
Pensacola State CollegeFlorida,"10,317","6,228",79,276,"1,559",578,40,"7,058",579,114,34,"3,111"
"State College of Florida, Manatee-SarasotaFlorida","10,314","6,359",26,255,919,"1,422",6,"6,864",205,467,150,"2,833"
Illinois Central CollegeIllinois,"10,296","5,634",28,194,"1,088",456,18,"7,741",246,525,0,"2,030"
Community College of DenverColorado,"10,296","5,814",123,535,"1,322","2,598",23,"3,493",446,"1,142",614,"5,047"
Northeastern Illinois U.Illinois,"10,275","5,846",23,905,"1,048","3,260",26,"4,021",167,268,557,"5,429"
Howard U.District of Columbia,"10,265","6,706",103,348,"8,812",86,24,313,0,0,579,"9,373"
Florida A&M U.Florida,"10,241","6,350",24,121,"8,956",245,1,737,19,0,138,"9,366"
Southwest Tennessee Community CollegeTennessee,"10,227","6,306",39,254,"6,085",427,9,"2,981",240,53,139,"7,054"
College of Western IdahoIdaho,"10,217","5,921",109,196,173,"1,472",49,"7,015",213,978,12,"2,212"
Merced CollegeCalifornia,"10,214","5,737",43,"1,010",360,"5,869",45,"2,406",283,112,86,"7,610"
Los Angeles Mission CollegeCalifornia,"10,191","6,128",15,489,341,"7,755",6,"1,169",106,216,94,"8,712"
North Central Texas CollegeTexas,"10,169","5,866",63,213,933,"1,990",18,"6,479",304,42,127,"3,521"
Los Angeles Harbor CollegeCalifornia,"10,145","5,997",21,"1,113","1,153","5,847",96,"1,295",338,180,102,"8,568"
U. ofÊSaint Thomas (Minn.)Minnesota,"10,140","4,934",13,403,372,382,4,"7,931",287,240,508,"1,461"
Austin Peay State U.Tennessee,"10,111","6,110",40,157,"1,902",575,19,"6,637",514,224,43,"3,207"
Northeastern U. Global NetworkMassachusetts,"10,102","5,753",18,515,927,541,4,"4,011",174,"1,305","2,607","2,179"
Pellissippi State Community CollegeTennessee,"10,099","5,317",31,172,636,348,18,"8,397",326,6,165,"1,531"
U. of South DakotaSouth Dakota,"10,061","6,151",168,151,227,232,51,"8,644",232,120,236,"1,061"
Nashville State Community CollegeTennessee,"10,044","6,014",34,328,"2,876",485,19,"5,852",254,108,88,"3,996"
Texas Christian U.Texas,"10,033","5,940",81,277,479,"1,060",29,"7,278",55,253,521,"1,981"
Navarro CollegeTexas,"9,999","5,904",62,74,"2,109","1,795",21,"5,710",97,0,131,"4,158"
Bloomsburg U. of PennsylvaniaPennsylvania,"9,998","5,750",7,112,779,491,11,"8,125",209,145,119,"1,609"
Coastal Carolina U.South Carolina,"9,976","5,495",40,77,"1,904",348,13,"6,998",405,53,138,"2,787"
Spokane Community CollegeWashington,"9,974","5,747",155,147,177,429,23,"6,305",368,"2,323",47,"1,299"
Azusa Pacific U.California,"9,972","6,731",33,"1,013",571,"2,447",88,"4,408",439,680,293,"4,591"
Johnson & Wales U. (R.I.)Rhode Island,"9,955","5,918",15,111,968,999,6,"5,291",557,655,"1,353","2,656"
Chattahoochee Technical CollegeGeorgia,"9,942","5,638",52,219,"2,834",871,20,"5,589",176,96,85,"4,172"
Howard Community CollegeMaryland,"9,920","5,598",26,"1,128","2,835",903,26,"3,881",436,257,428,"5,354"
Dutchess Community CollegeNew York,"9,905","5,337",20,277,"1,110","1,638",6,"6,301",337,115,101,"3,388"
Bellevue U.Nebraska,"9,879","5,254",49,214,"1,168",676,30,"5,640",211,"1,601",290,"2,348"
John Tyler Community CollegeVirginia,"9,875","5,636",52,310,"2,417",707,16,"5,890",370,93,20,"3,872"
Scottsdale Community CollegeArizona,"9,863","5,240",476,276,457,"1,525",30,"5,977",207,789,126,"2,971"
Delta CollegeMichigan,"9,842","5,443",58,81,926,655,4,"7,830",21,247,20,"1,745"
Saginaw Valley State U.Michigan,"9,829","5,804",32,72,950,336,4,"7,035",162,606,632,"1,556"
Solano Community CollegeCalifornia,"9,824","5,816",28,"1,371","1,526","2,546",83,"3,093",912,228,37,"6,466"
Skyline CollegeCalifornia,"9,820","5,157",19,"3,693",330,"2,909",125,"1,930",511,164,139,"7,587"
Hartnell CollegeCalifornia,"9,800","4,774",19,432,199,"6,762",34,"1,397",178,772,7,"7,624"
Mississippi Gulf Coast Community College Perkinston CampusMississippi,"9,799","5,914",39,247,"2,322",279,12,"6,370",269,261,0,"3,168"
Radford U.Virginia,"9,798","5,644",27,143,"1,101",499,20,"7,366",435,123,84,"2,225"
Fashion Institute of TechnologyNew York,"9,764","8,266",16,984,939,"1,573",27,"4,524",332,158,"1,211","3,871"
College of the DesertCalifornia,"9,719","5,167",40,304,288,"6,583",17,"1,933",214,88,252,"7,446"
South Plains CollegeTexas,"9,661","5,333",45,134,607,"3,882",10,"4,924",0,0,59,"4,678"
Duquesne U.Pennsylvania,"9,648","5,850",13,188,459,251,9,"7,769",202,200,557,"1,122"
Seton Hall U.New Jersey,"9,627","5,642",10,688,"1,098","1,364",30,"4,800",189,"1,041",407,"3,379"
Normandale Community CollegeMinnesota,"9,539","5,196",35,779,"1,294",820,16,"5,794",494,219,88,"3,438"
Loyola Marymount U.California,"9,515","5,558",18,"1,054",585,"2,190",8,"4,249",616,118,677,"4,471"
Jackson State U.Mississippi,"9,508","6,145",39,43,"8,491",38,1,524,96,0,276,"8,708"
Purdue U. CalumetIndiana,"9,501","5,348",19,203,"1,079","1,475",18,"4,843",161,843,860,"2,955"
Kalamazoo Valley Community CollegeMichigan,"9,489","4,928",53,134,"1,337",367,1,"6,995",247,267,88,"2,139"
Long Island U.-C.W. PostNew York,"9,486","5,872",6,366,719,908,4,"4,024",111,"2,698",650,"2,114"
Century CollegeMinnesota,"9,478","5,240",35,"1,613",940,640,12,"5,591",442,61,144,"3,682"
Columbia College ChicagoIllinois,"9,440","5,325",33,293,"1,538",901,4,"5,428",435,525,283,"3,204"
Burlington County CollegeNew Jersey,"9,438","5,438",21,340,"1,873",925,21,"5,340",268,491,159,"3,448"
U. of Wisconsin-StoutWisconsin,"9,394","4,626",28,307,156,220,14,"8,089",155,74,351,880
Southeast Community College (Neb.)Nebraska,"9,392","5,021",54,354,515,530,14,"7,685",175,65,0,"1,642"
"City Colleges of Chicago, Harold Washington CollegeIllinois","9,392","5,392",23,881,"2,972","3,629",8,"1,273",171,403,32,"7,684"
Art Institute of Pittsburgh-OnlinePennsylvania,"9,383","5,645",125,110,"1,798","1,048",75,"5,683",0,544,0,"3,156"
U. of Southern IndianaIndiana,"9,364","5,825",23,108,414,206,7,"8,017",179,185,225,937
Chattanooga State Community CollegeTennessee,"9,332","5,552",34,138,"1,456",307,10,"7,056",202,102,27,"2,147"
U. of Wisconsin at Stevens PointWisconsin,"9,330","4,979",36,234,191,275,7,"8,247",166,16,158,909
Norco CollegeCalifornia,"9,304","4,983",27,746,589,"5,240",26,"2,229",339,71,37,"6,967"
Ocean County CollegeNew Jersey,"9,296","5,182",24,166,539,904,22,"7,002",143,425,71,"1,798"
Sonoma State U.California,"9,290","5,844",49,420,202,"2,342",20,"4,819",606,648,184,"3,639"
Mt. Hood Community CollegeOregon,"9,276","4,833",93,595,449,"1,029",62,"5,457",386,"1,179",26,"2,614"
Salem State U.Massachusetts,"9,267","5,853",15,278,697,976,3,"6,373",176,347,402,"2,145"
Colorado State U. Global CampusColorado,"9,259","5,012",80,284,600,"1,049",41,"6,327",76,772,30,"2,130"
Pulaski Technical CollegeArkansas,"9,241","5,938",29,103,"4,429",350,6,"3,728",252,316,28,"5,169"
Minneapolis Community and Technical CollegeMinnesota,"9,237","5,044",154,547,"2,883",919,8,"3,713",735,145,133,"5,246"
Lane Community CollegeOregon,"9,236","4,676",151,187,180,879,56,"6,261",408,857,257,"1,861"
U. of New OrleansLouisiana,"9,234","4,749",33,656,"1,375",840,3,"5,169",289,255,614,"3,196"
Texas Southern U.Texas,"9,233","5,354",42,453,"7,231",680,5,279,0,29,514,"8,411"
Cuesta CollegeCalifornia,"9,221","4,832",54,289,115,"2,697",15,"5,492",452,78,29,"3,622"
Kutztown U. of PennsylvaniaPennsylvania,"9,218","5,292",14,98,702,661,15,"7,261",196,170,101,"1,686"
Regis U.Colorado,"9,208","5,834",57,428,521,"1,392",21,"5,654",234,793,108,"2,653"
Middlesex Community CollegeMassachusetts,"9,205","5,306",21,"1,051",663,"1,611",6,"5,475",180,67,131,"3,532"
Hudson County Community CollegeNew Jersey,"9,203","5,330",21,702,"1,280","5,073",66,"1,088",132,807,34,"7,274"
Bristol Community CollegeMassachusetts,"9,189","5,611",28,178,727,729,2,"6,798",418,302,7,"2,082"
Brown U.Rhode Island,"9,181","4,682",26,"1,099",550,894,13,"3,886",376,798,"1,539","2,958"
Estrella Mountain Community CollegeArizona,"9,164","5,438",108,353,803,"4,322",19,"2,938",204,398,19,"5,809"
Forsyth Technical Community CollegeNorth Carolina,"9,148","5,526",43,173,"2,613",700,11,"5,190",192,164,62,"3,732"
Evergreen Valley CollegeCalifornia,"9,133","4,887",54,"3,522",263,"3,678",43,675,227,634,37,"7,787"
Colorado Mesa U.Colorado,"9,116","4,924",68,126,218,"1,389",55,"6,589",313,306,52,"2,169"
U. of Massachusetts at DartmouthMassachusetts,"9,111","4,402",18,292,973,636,2,"5,717",295,582,596,"2,216"
San Jose City CollegeCalifornia,"9,072","5,058",44,"2,180",627,"3,761",52,"1,547",370,477,14,"7,034"
Cape Fear Community CollegeNorth Carolina,"9,062","4,901",84,89,"1,358",525,17,"6,553",280,149,7,"2,353"
West Valley CollegeCalifornia,"9,062","5,059",18,"1,489",248,"2,281",28,"4,166",465,271,96,"4,529"
California State U-StanislausCalifornia,"9,045","5,905",40,961,228,"4,169",59,"2,475",316,558,239,"5,773"
Quinnipiac U.Connecticut,"9,035","5,574",20,291,463,694,6,"6,864",140,356,201,"1,614"
Tennessee State U.Tennessee,"9,027","5,509",14,91,"5,750",112,0,"1,834",276,72,878,"6,243"
Santa Clara U.California,"9,015","4,511",10,"1,416",238,"1,283",20,"3,691",461,683,"1,213","3,428"
Butler Community College (Kan.)Kansas,"9,003","5,179",113,362,779,986,0,"5,871",0,751,141,"2,240"
Northwestern State U.Louisiana,"9,002","6,220",144,70,"2,383",418,9,"5,338",297,254,89,"3,321"
Edmonds Community CollegeWashington,"8,993","4,692",88,"1,124",494,688,37,"4,167",441,849,"1,105","2,872"
Bucks County Community CollegePennsylvania,"8,979","4,928",84,270,411,488,6,"5,469",208,"2,028",15,"1,467"
Saint Joseph's U. (Pa.)Pennsylvania,"8,974","5,083",10,272,851,425,13,"6,461",143,424,375,"1,714"
West Texas A&M U.Texas,"8,972","5,000",52,155,526,"2,053",10,"5,543",187,208,238,"2,983"
Passaic County Community CollegeNew Jersey,"8,968","5,423",11,482,"1,372","4,638",40,"1,701",56,613,55,"6,599"
Mountain View CollegeTexas,"8,950","5,153",29,326,"2,212","5,083",4,963,81,235,17,"7,735"
Mott Community CollegeMichigan,"8,937","5,287",57,36,"1,577",344,8,"5,547",285,687,396,"2,307"
College of San MateoCalifornia,"8,935","4,454",15,"2,137",298,"2,733",179,"2,657",452,165,299,"5,814"
U. of Michigan at DearbornMichigan,"8,923","4,210",38,566,821,446,5,"5,783",222,286,756,"2,098"
"City Colleges of Chicago, Richard J. Daley CollegeIllinois","8,914","5,456",7,84,"1,552","6,618",2,460,47,144,0,"8,310"
Eastern Illinois U.Illinois,"8,913","5,379",21,80,"1,500",444,6,"6,230",169,190,273,"2,220"
Paradise Valley Community CollegeArizona,"8,909","5,022",134,242,284,"1,502",22,"5,325",135,"1,221",44,"2,319"
U. of Wisconsin at PlattevilleWisconsin,"8,901","3,204",23,110,170,258,9,"7,914",138,30,249,708
Pitt Community CollegeNorth Carolina,"8,872","5,448",31,87,"3,073",264,6,"3,292",75,"1,991",53,"3,536"
Las Positas CollegeCalifornia,"8,835","4,434",18,"1,354",395,"2,535",42,"3,670",586,107,128,"4,930"
NMUMichigan,"8,781","4,855",192,45,204,238,10,"7,495",189,297,111,878
Fairleigh Dickinson U.New Jersey,"8,777","5,163",20,457,878,"1,862",22,"3,541",55,823,"1,119","3,294"
Salisbury U.Maryland,"8,770","5,138",34,216,"1,091",345,10,"6,313",306,301,154,"2,002"
U. of the Incarnate WordTexas,"8,745","5,347",26,360,679,"4,715",17,"1,899",88,479,482,"5,885"
Moreno Valley CollegeCalifornia,"8,731","4,969",18,501,"1,173","5,181",22,"1,358",375,69,34,"7,270"
California State U. at BakersfieldCalifornia,"8,720","5,385",53,564,541,"4,334",5,"1,728",247,986,262,"5,744"
Davenport U.Michigan,"8,715","5,267",36,363,"1,327",200,11,"4,985",202,"1,290",301,"2,139"
Los Medanos CollegeCalifornia,"8,695","4,641",11,799,"1,366","3,250",54,"2,425",651,105,34,"6,131"
Bossier Parish Community CollegeLouisiana,"8,693","5,467",79,49,"3,600",553,17,"3,762",161,455,17,"4,459"
Waukesha County Technical CollegeWisconsin,"8,692","4,046",49,233,585,486,14,"6,947",182,192,4,"1,549"
Winona State U.Minnesota,"8,684","5,431",9,161,199,208,5,"7,501",176,136,289,758
U. of Houston-Clear LakeTexas,"8,665","5,385",76,498,756,"2,291",141,"3,205",202,106,"1,390","3,964"
Jacksonville State U.Alabama,"8,659","4,978",61,50,"2,030",110,7,"5,934",0,256,211,"2,258"
Cuyamaca CollegeCalifornia,"8,644","4,602",37,504,520,"2,849",42,"3,997",529,125,41,"4,481"
Rhode Island CollegeRhode Island,"8,641","5,961",32,249,639,"1,153",10,"5,618",144,781,15,"2,227"
Missouri U. of Science and TechnologyMissouri,"8,640","1,954",30,226,290,256,14,"5,832",167,309,"1,516",983
Virginia Western Community CollegeVirginia,"8,632","4,760",19,231,"1,051",281,11,"6,657",281,57,44,"1,874"
U. of Alaska at FairbanksAlaska,"8,620","4,965","1,069",117,164,387,24,"3,847",323,"2,434",255,"2,084"
U. of Michigan at FlintMichigan,"8,574","5,111",63,170,"1,026",297,6,"5,727",230,392,663,"1,792"
Stockton U.New Jersey,"8,570","5,221",10,439,532,848,12,"6,317",239,143,30,"2,080"
Dixie State College of UtahUtah,"8,570","4,539",114,79,189,798,113,"6,679",230,129,239,"1,523"
Mercer U.Georgia,"8,552","5,302",45,566,"2,550",330,12,"4,120",144,444,341,"3,647"
Barry U.Florida,"8,518","5,589",28,182,"2,090","2,032",12,"1,983",87,"1,534",570,"4,431"
U. of Louisiana at MonroeLouisiana,"8,517","5,446",29,197,"1,936",176,4,"5,524",176,210,265,"2,518"
U. of La VerneCalifornia,"8,517","5,063",33,423,542,"3,542",31,"1,929",197,"1,071",749,"4,768"
Jefferson State Community CollegeAlabama,"8,516","5,224",21,156,"1,750",382,7,"5,904",243,12,41,"2,559"
Slippery Rock U. of PennsylvaniaPennsylvania,"8,495","4,986",13,57,421,175,5,"7,314",222,195,93,893
City U. of New York York CollegeNew York,"8,493","5,530",70,"2,026","3,426","1,955",74,552,72,0,318,"7,623"
Humboldt State U.California,"8,485","4,635",85,293,320,"2,441",21,"4,069",531,605,120,"3,691"
College of Southern IdahoIdaho,"8,473","5,416",66,78,49,"1,400",253,"6,264",118,189,56,"1,964"
Quinsigamond Community CollegeMassachusetts,"8,452","4,844",32,368,"1,038","1,394",9,"4,913",169,508,21,"3,010"
New Mexico State U. Dona Ana Community CollegeNew Mexico,"8,448","4,851",107,50,194,"5,990",8,"1,491",52,277,279,"6,401"
Parkland CollegeIllinois,"8,443","4,299",39,356,"1,299",510,3,"5,044",101,"1,062",29,"2,308"
College of William & MaryVirginia,"8,437","4,699",19,557,603,629,4,"5,161",323,478,663,"2,135"
Mission CollegeCalifornia,"8,435","4,643",11,"3,733",326,"2,166",46,"1,480",353,153,167,"6,635"
Prairie View A&M U.Texas,"8,429","5,159",25,243,"7,087",229,8,401,58,169,209,"7,650"
U. of Southern MaineMaine,"8,428","5,002",76,164,224,147,7,"6,388",169,"1,184",69,787
College of Southern MarylandMaryland,"8,411","5,129",42,224,"2,155",491,27,"4,862",422,154,34,"3,361"
State U. of New York College at FarmingdaleNew York,"8,394","3,600",14,627,844,"1,349",41,"5,080",162,35,242,"3,037"
Palo Alto CollegeTexas,"8,376","5,079",26,89,243,"5,793",14,"1,787",145,274,5,"6,310"
Post U.Connecticut,"8,366","5,110",39,91,"1,810",551,26,"3,015",255,"2,556",23,"2,772"
Metropolitan State U.Minnesota,"8,355","4,709",56,"1,007","1,499",397,9,"4,639",346,220,182,"3,314"
Long Island U. at BrooklynNew York,"8,354","5,828",21,"1,133","2,458","1,151",10,"2,009",138,913,521,"4,911"
