name,state,state_code,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total
East Mississippi Community College,Mississippi,MS,Public,2 Year,4800,3440,8240,6440,11240
East Stroudsburg University of Pennsylvania,Pennsylvania,PA,Public,4 Year,9700,11084,20784,23516,33216
East Tennessee State University,Tennessee,TN,Public,4 Year,8472,9277,17749,28459,36931
East Texas Baptist University,Texas,TX,Private,4 Year,9079,26370,35449,26370,35449
East-West University,Illinois,IL,Private,4 Year,NA,20970,20970,20970,20970
Eastern Arizona College,Arizona,AZ,Public,2 Year,6790,2700,9490,8700,15490
Eastern Connecticut State University,Connecticut,CT,Public,4 Year,13560,11356,24916,22596,36156
Eastern Florida State College,Florida,FL,Public,2 Year,NA,3140,3140,12193,12193
Eastern Gateway Community College,Ohio,OH,Public,2 Year,NA,4040,4040,7280,7280
Eastern Illinois University,Illinois,IL,Public,4 Year,9882,11803,21685,14023,23905
Eastern International College,New Jersey,NJ,For Profit,2 Year,NA,9000,9000,9000,9000
Eastern Kentucky University,Kentucky,KY,Public,4 Year,9018,9296,18314,19074,28092
Eastern Maine Community College,Maine,ME,Public,2 Year,8930,3816,12746,6636,15566
Eastern Mennonite University,Virginia,VA,Private,4 Year,11160,37100,48260,37100,48260
Eastern Michigan University,Michigan,MI,Public,4 Year,9854,13959,23813,13959,23813
Eastern Nazarene College,Massachusetts,MA,Private,4 Year,9624,25598,35222,25598,35222
Eastern New Mexico University,New Mexico,NM,Public,4 Year,7162,6206,13368,8128,15290
Eastern New Mexico University: Roswell,New Mexico,NM,Public,2 Year,NA,2256,2256,5616,5616
Eastern Oklahoma State College,Oklahoma,OK,Public,2 Year,5777,4697,10474,8314,14091
Eastern Oregon University,Oregon,OR,Public,4 Year,10040,8679,18719,20739,30779
Eastern Shore Community College,Virginia,VA,Public,2 Year,NA,4800,4800,10728,10728
Eastern University,Pennsylvania,PA,Private,4 Year,11254,33122,44376,33122,44376
Eastern Washington University,Washington,WA,Public,4 Year,12793,7323,20116,24444,37237
Eastern West Virginia Community and Technical College,West Virginia,WV,Public,2 Year,NA,5160,5160,8651,8651
Eastern Wyoming College,Wyoming,WY,Public,2 Year,6320,3096,9416,7608,13928
Eastfield College,Texas,TX,Public,2 Year,NA,1770,1770,5220,5220
Eastman School of Music of the University of Rochester,New York,NY,Private,4 Year,15862,54584,70446,54584,70446
Ecclesia College,Arkansas,AR,Private,4 Year,5810,15140,20950,15140,20950
Eckerd College,Florida,FL,Private,4 Year,12588,44540,57128,44540,57128
ECPI University,Virginia,VA,For Profit,4 Year,NA,16764,16764,16764,16764
Edgecombe Community College,North Carolina,NC,Public,2 Year,NA,2757,2757,8901,8901
Edgewood College,Wisconsin,WI,Private,4 Year,11020,29500,40520,29500,40520
EDIC College,NA,PR,For Profit,2 Year,NA,7065,7065,7065,7065
Edinboro University of Pennsylvania,Pennsylvania,PA,Public,4 Year,9408,10543,19951,15062,24470
Edison State Community College,Ohio,OH,Public,2 Year,NA,4699,4699,8608,8608
Edmonds Community College,Washington,WA,Public,2 Year,7400,4471,11871,4471,11871
EDP University of Puerto Rico: San Sebastian,NA,PR,For Profit,4 Year,NA,5940,5940,5940,5940
Edward Waters College,Florida,FL,Private,4 Year,7282,13725,21007,13725,21007
El Camino College,California,CA,Public,2 Year,NA,1419,1419,9519,9519
El Centro College,Texas,TX,Public,2 Year,NA,1770,1770,5220,5220
El Paso Community College,Texas,TX,Public,2 Year,NA,3540,3540,6060,6060
Elgin Community College,Illinois,IL,Public,2 Year,NA,3972,3972,14946,14946
Elizabeth City State University,North Carolina,NC,Public,4 Year,8840,3194,12034,7194,16034
Elizabethtown College,Pennsylvania,PA,Private,4 Year,11370,46940,58310,46940,58310
Elizabethtown Community and Technical College,Kentucky,KY,Public,2 Year,NA,5310,5310,18000,18000
Ellsworth Community College,Iowa,IA,Public,2 Year,5970,5970,11940,7140,13110
Elmhurst College,Illinois,IL,Private,4 Year,10366,37055,47421,37055,47421
Elmira Business Institute,New York,NY,For Profit,2 Year,NA,14850,14850,14850,14850
Elmira Business Institute: Vestal,New York,NY,For Profit,2 Year,NA,14850,14850,14850,14850
Elmira College,New York,NY,Private,4 Year,12000,41900,53900,41900,53900
Elms College,Massachusetts,MA,Private,4 Year,13108,35788,48896,35788,48896
Elon University,North Carolina,NC,Private,4 Year,12230,35319,47549,35319,47549
Embry-Riddle Aeronautical University: Daytona Beach Campus,Florida,FL,Private,4 Year,11438,35814,47252,35814,47252
Embry-Riddle Aeronautical University: Prescott Campus,Arizona,AZ,Private,4 Year,11394,35654,47048,35654,47048
Embry-Riddle Aeronautical University: Worldwide Campus,Florida,FL,Private,4 Year,NA,9360,9360,9360,9360
Emerson College,Massachusetts,MA,Private,4 Year,17690,46852,64542,46852,64542
Emmanuel College,Georgia,GA,Private,4 Year,8136,20292,28428,20292,28428
Emmanuel College,Massachusetts,MA,Private,4 Year,14994,39804,54798,39804,54798
Emmaus Bible College,Iowa,IA,Private,4 Year,8500,18400,26900,18400,26900
Emory & Henry College,Virginia,VA,Private,4 Year,12100,35135,47235,35135,47235
Emory University,Georgia,GA,Private,4 Year,14456,51306,65762,51306,65762
Empire College,California,CA,For Profit,2 Year,NA,11070,11070,11070,11070
Emporia State University,Kansas,KS,Public,4 Year,8912,6758,15670,20675,29587
Endicott College,Massachusetts,MA,Private,4 Year,15726,33050,48776,33050,48776
Enterprise State Community College,Alabama,AL,Public,2 Year,NA,4500,4500,8130,8130
Erie Community College,New York,NY,Public,2 Year,NA,5686,5686,10586,10586
Erskine College,South Carolina,SC,Private,4 Year,10900,34560,45460,34560,45460
Escuela de Artes Plasticas de Puerto Rico,NA,PR,Public,4 Year,NA,4002,4002,6702,6702
Essex County College,New Jersey,NJ,Public,2 Year,NA,4995,4995,8790,8790
Estrella Mountain Community College,Arizona,AZ,Public,2 Year,NA,2580,2580,9810,9810
ETI Technical College of Niles,Ohio,OH,For Profit,2 Year,NA,10653,10653,10653,10653
Eugene Lang College The New School for Liberal Arts,New York,NY,Private,4 Year,18000,48191,66191,48191,66191
Eureka College,Illinois,IL,Private,4 Year,9620,25390,35010,25390,35010
Evangel University,Missouri,MO,Private,4 Year,8522,23296,31818,23296,31818
Everett Community College,Washington,WA,Public,2 Year,8500,4417,12917,4417,12917
Everglades University,Florida,FL,Private,4 Year,NA,17145,17145,17145,17145
Evergreen State College,Washington,WA,Public,4 Year,11346,7949,19295,26459,37805
Evergreen Valley College,California,CA,Public,2 Year,NA,1416,1416,8526,8526
Fairfield University,Connecticut,CT,Private,4 Year,14710,48350,63060,48350,63060
Fairleigh Dickinson University: College at Florham,New Jersey,NJ,Private,4 Year,13392,42618,56010,42618,56010
Fairleigh Dickinson University: Metropolitan Campus,New Jersey,NJ,Private,4 Year,13348,40236,53584,40236,53584
Fairmont State University,West Virginia,WV,Public,4 Year,9004,7514,16518,16324,25328
Faith Baptist Bible College and Theological Seminary,Iowa,IA,Private,4 Year,6800,16876,23676,16876,23676
Family of Faith College,Oklahoma,OK,Private,4 Year,2400,6400,8800,6400,8800
Fashion Institute of Technology,New York,NY,Public,4 Year,14480,5740,20220,15520,30000
Faulkner University,Alabama,AL,Private,4 Year,7750,21690,29440,21690,29440
Fayetteville State University,North Carolina,NC,Public,4 Year,8236,4915,13151,16523,24759
Fayetteville Technical Community College,North Carolina,NC,Public,2 Year,NA,2392,2392,8152,8152
Feather River College,California,CA,Public,2 Year,5350,1461,6811,8511,13861
Felician University,New Jersey,NJ,Private,4 Year,12880,34315,47195,34315,47195
Ferris State University,Michigan,MI,Public,4 Year,9894,12630,22524,12630,22524
Ferrum College,Virginia,VA,Private,4 Year,11500,34175,45675,34175,45675
Fiath International University,Washington,WA,Private,4 Year,NA,7650,7650,7650,7650
Finger Lakes Community College,New York,NY,Public,2 Year,9737,5158,14895,7450,17187
Finlandia University,Michigan,MI,Private,4 Year,8800,22758,31558,22758,31558
Fisher College,Massachusetts,MA,Private,4 Year,15926,31384,47310,31384,47310
Fisk University,Tennessee,TN,Private,4 Year,10790,21480,32270,21480,32270
Fitchburg State University,Massachusetts,MA,Public,4 Year,10922,10355,21277,16435,27357
Five Towns College,New York,NY,For Profit,4 Year,12820,21640,34460,21640,34460
Flagler College,Florida,FL,Private,4 Year,11340,18950,30290,18950,30290
Flathead Valley Community College,Montana,MT,Public,2 Year,NA,4638,4638,11778,11778
Florence-Darlington Technical College,South Carolina,SC,Public,2 Year,NA,5540,5540,8210,8210
Florida Agricultural and Mechanical University,Florida,FL,Public,4 Year,10594,5827,16421,17768,28362
Florida Atlantic University,Florida,FL,Public,4 Year,11896,6039,17935,21595,33491
Florida College,Florida,FL,Private,4 Year,8370,17142,25512,17142,25512
Florida Gateway College,Florida,FL,Public,2 Year,NA,3100,3100,11747,11747
Florida Gulf Coast University,Florida,FL,Public,4 Year,10156,6118,16274,25162,35318
Florida Institute of Technology,Florida,FL,Private,4 Year,12880,41850,54730,41850,54730
Florida International University,Florida,FL,Public,4 Year,10882,6558,17440,18956,29838
Florida Keys Community College,Florida,FL,Public,2 Year,10200,3277,13477,13162,23362
Florida Memorial University,Florida,FL,Private,4 Year,7816,15536,23352,15536,23352
Florida National University,Florida,FL,For Profit,2 Year,NA,13800,13800,13800,13800
Florida Southern College,Florida,FL,Private,4 Year,11650,36348,47998,36348,47998
Florida SouthWestern State College,Florida,FL,Public,2 Year,9000,3401,12401,13944,22944
Florida State College at Jacksonville,Florida,FL,Public,2 Year,NA,3146,3146,12038,12038
Florida State University,Florida,FL,Public,4 Year,10816,6516,17332,21683,32499
Folsom Lake College,California,CA,Public,2 Year,NA,1450,1450,9580,9580
Fond du Lac Tribal and Community College,Minnesota,MN,Public,2 Year,3598,5258,8856,5258,8856
Fontbonne University,Missouri,MO,Private,4 Year,10530,26340,36870,26340,36870
Foothill College,California,CA,Public,2 Year,NA,1499,1499,9419,9419
Fordham University,New York,NY,Private,4 Year,17969,52687,70656,52687,70656
Forrest Junior College,South Carolina,SC,For Profit,2 Year,NA,8700,8700,8700,8700
Forsyth Technical Community College,North Carolina,NC,Public,2 Year,NA,2446,2446,8206,8206
Fort Hays State University,Kansas,KS,Public,4 Year,8300,5133,13433,15201,23501
Fort Lewis College,Colorado,CO,Public,4 Year,9878,9040,18918,19696,29574
Fort Peck Community College,Montana,MT,Public,2 Year,6075,2520,8595,2520,8595
Fort Scott Community College,Kansas,KS,Public,2 Year,5770,2880,8650,3330,9100
Fort Valley State University,Georgia,GA,Public,4 Year,8372,6664,15036,19740,28112
Fox Valley Technical College,Wisconsin,WI,Public,2 Year,NA,4565,4565,6578,6578
Framingham State University,Massachusetts,MA,Public,4 Year,12306,10335,22641,16415,28721
Francis Marion University,South Carolina,SC,Public,4 Year,7948,11160,19108,21544,29492
Franciscan University of Steubenville,Ohio,OH,Private,4 Year,8500,27630,36130,27630,36130
Frank Phillips College,Texas,TX,Public,2 Year,5040,2838,7878,3850,8890
Franklin & Marshall College,Pennsylvania,PA,Private,4 Year,14050,56750,70800,56750,70800
Franklin College,Indiana,IN,Private,4 Year,9946,32010,41956,32010,41956
Franklin Pierce University,New Hampshire,NH,Private,4 Year,13345,36900,50245,36900,50245
Franklin University,Ohio,OH,Private,4 Year,NA,15805,15805,15805,15805
Franklin W. Olin College of Engineering,Massachusetts,MA,Private,4 Year,16300,53736,70036,53736,70036
Frederick Community College,Maryland,MD,Public,2 Year,NA,4457,4457,11627,11627
Freed-Hardeman University,Tennessee,TN,Private,4 Year,8260,21950,30210,21950,30210
Fremont College,California,CA,For Profit,2 Year,NA,36400,36400,36400,36400
Fresno City College,California,CA,Public,2 Year,NA,1420,1420,9160,9160
Fresno Pacific University,California,CA,Private,4 Year,8676,31452,40128,31452,40128
Friends University,Kansas,KS,Private,4 Year,7972,28415,36387,28415,36387
Front Range Community College,Colorado,CO,Public,2 Year,NA,3986,3986,15074,15074
Frostburg State University,Maryland,MD,Public,4 Year,10202,9172,19374,22892,33094
Fullerton College,California,CA,Public,2 Year,NA,1445,1445,9185,9185
Fulton-Montgomery Community College,New York,NY,Public,2 Year,11870,5460,17330,10060,21930
Furman University,South Carolina,SC,Private,4 Year,12712,49532,62244,49532,62244
Gadsden State Community College,Alabama,AL,Public,2 Year,3600,4800,8400,8430,12030
Gallaudet University,NA,DC,Private,4 Year,14100,17038,31138,17038,31138
Galveston College,Texas,TX,Public,2 Year,NA,2050,2050,4600,4600
Gannon University,Pennsylvania,PA,Private,4 Year,12650,32136,44786,32136,44786
Garden City Community College,Kansas,KS,Public,2 Year,5450,3120,8570,3690,9140
Gardner-Webb University,North Carolina,NC,Private,4 Year,10390,31220,41610,31220,41610
Garrett College,Maryland,MD,Public,2 Year,8275,4380,12655,9870,18145
Gaston College,North Carolina,NC,Public,2 Year,NA,2386,2386,8146,8146
Gateway Community and Technical College,Kentucky,KY,Public,2 Year,NA,5350,5350,18040,18040
Gateway Community College,Connecticut,CT,Public,2 Year,NA,4404,4404,13644,13644
GateWay Community College,Arizona,AZ,Public,2 Year,NA,2580,2580,9810,9810
Gateway Technical College,Wisconsin,WI,Public,2 Year,NA,4026,4026,6039,6039
Gavilan College,California,CA,Public,2 Year,NA,1418,1418,8408,8408
Genesee Community College,New York,NY,Public,2 Year,8720,4640,13360,5240,13960
Geneva College,Pennsylvania,PA,Private,4 Year,10170,26730,36900,26730,36900
George C. Wallace Community College at Dothan,Alabama,AL,Public,2 Year,NA,4680,4680,8550,8550
George C. Wallace State Community College at Selma,Alabama,AL,Public,2 Year,NA,4440,4440,4440,4440
George Fox University,Oregon,OR,Private,4 Year,11250,36020,47270,36020,47270
George Mason University,Virginia,VA,Public,4 Year,11460,12462,23922,35922,47382
George Washington University,NA,DC,Private,4 Year,13850,55230,69080,55230,69080
Georgetown College,Kentucky,KY,Private,4 Year,9780,38650,48430,38650,48430
Georgetown University,NA,DC,Private,4 Year,16509,54104,70613,54104,70613
Georgia College and State University,Georgia,GA,Public,4 Year,11016,9346,20362,28060,39076
Georgia Gwinnett College,Georgia,GA,Public,4 Year,12870,6124,18994,18552,31422
Georgia Highlands College,Georgia,GA,Public,2 Year,NA,3844,3844,11590,11590
Georgia Institute of Technology,Georgia,GA,Public,4 Year,11884,12424,24308,33020,44904
Georgia Military College,Georgia,GA,Public,2 Year,NA,6120,6120,6120,6120
Georgia Northwestern Technical College,Georgia,GA,Public,2 Year,NA,3460,3460,6258,6258
Georgia Perimeter College,Georgia,GA,Public,2 Year,NA,3860,3860,11606,11606
Georgia Piedmont Technical College,Georgia,GA,Public,2 Year,NA,3454,3454,6124,6124
Georgia Southern University,Georgia,GA,Public,4 Year,10070,7422,17492,20904,30974
Georgia Southwestern State University,Georgia,GA,Public,4 Year,8120,6336,14456,19412,27532
Georgia State University,Georgia,GA,Public,4 Year,11378,10858,22236,29432,40810
Georgian Court University,New Jersey,NJ,Private,4 Year,10808,32876,43684,32876,43684
Germanna Community College,Virginia,VA,Public,2 Year,NA,4913,4913,10841,10841
Gettysburg College,Pennsylvania,PA,Private,4 Year,13010,54480,67490,54480,67490
Glen Oaks Community College,Michigan,MI,Public,2 Year,NA,4440,4440,7350,7350
Glendale Community College,California,CA,Public,2 Year,NA,1451,1451,8381,8381
Glendale Community College,Arizona,AZ,Public,2 Year,NA,2580,2580,9840,9840
Glenville State College,West Virginia,WV,Public,4 Year,NA,7327,7327,16565,16565
Global University,Missouri,MO,Private,4 Year,NA,4770,4770,4770,4770
God's Bible School and College,Ohio,OH,Private,4 Year,NA,4270,4270,4270,4270
Goddard College,Vermont,VT,Private,4 Year,1698,16586,18284,16586,18284
Gogebic Community College,Michigan,MI,Public,2 Year,5600,4924,10524,7373,12973
Golden Gate University,California,CA,Private,4 Year,NA,15840,15840,15840,15840
Golden West College,California,CA,Public,2 Year,NA,1452,1452,9552,9552
Goldey-Beacom College,Delaware,DE,Private,4 Year,6400,24300,30700,24300,30700
Goldfarb School of Nursing at Barnes-Jewish College,Missouri,MO,Private,4 Year,NA,21150,21150,21150,21150
Gonzaga University,Washington,WA,Private,4 Year,11944,43210,55154,43210,55154
Good Samaritan College of Nursing and Health Science,Ohio,OH,Private,2 Year,NA,15959,15959,15959,15959
Goodwin College,Connecticut,CT,Private,2 Year,NA,20888,20888,20888,20888
Gordon College,Massachusetts,MA,Private,4 Year,11070,37400,48470,37400,48470
Gordon State College,Georgia,GA,Public,2 Year,6656,4292,10948,12714,19370
Goshen College,Indiana,IN,Private,4 Year,10650,33700,44350,33700,44350
Goucher College,Maryland,MD,Private,4 Year,14506,44300,58806,44300,58806
Governors State University,Illinois,IL,Public,4 Year,10346,12196,22542,21586,31932
Grace Bible College,Michigan,MI,Private,4 Year,7700,19950,27650,19950,27650
Grace College,Indiana,IN,Private,4 Year,9134,24768,33902,24768,33902
Grace University,Nebraska,NE,Private,4 Year,6912,23030,29942,23030,29942
Graceland University,Iowa,IA,Private,4 Year,8760,29240,38000,29240,38000
Grambling State University,Louisiana,LA,Public,4 Year,7192,7435,14627,16458,23650
Grand Canyon University,Arizona,AZ,For Profit,4 Year,10100,27090,37190,27090,37190
Grand Rapids Community College,Michigan,MI,Public,2 Year,NA,3879,3879,11319,11319
Grand Valley State University,Michigan,MI,Public,4 Year,8690,12484,21174,17762,26452
Grand View University,Iowa,IA,Private,4 Year,9178,27608,36786,27608,36786
Granite State College,New Hampshire,NH,Public,4 Year,NA,9645,9645,10875,10875
Grantham University,Kansas,KS,For Profit,4 Year,NA,6540,6540,6540,6540
Gratz College,Pennsylvania,PA,Private,4 Year,NA,17630,17630,17630,17630
Grays Harbor College,Washington,WA,Public,2 Year,NA,4620,4620,5043,5043
Grayson College,Texas,TX,Public,2 Year,5700,3600,9300,6120,11820
Great Basin College,Nevada,NV,Public,4 Year,3366,3128,6494,9542,12908
Great Bay Community College,New Hampshire,NH,Public,2 Year,NA,7200,7200,15450,15450
Great Falls College Montana State University,Montana,MT,Public,2 Year,NA,3386,3386,10278,10278
Great Lakes Christian College,Michigan,MI,Private,4 Year,8800,17220,26020,17220,26020
Green Mountain College,Vermont,VT,Private,4 Year,11722,37002,48724,37002,48724
Green River College,Washington,WA,Public,4 Year,NA,4581,4581,4581,4581
Greenfield Community College,Massachusetts,MA,Public,2 Year,NA,6932,6932,14582,14582
Greensboro College,North Carolina,NC,Private,4 Year,10800,29140,39940,29140,39940
Greenville Technical College,South Carolina,SC,Public,2 Year,NA,5580,5580,11100,11100
Greenville University,Illinois,IL,Private,4 Year,9048,27152,36200,27152,36200
Grinnell College,Iowa,IA,Private,4 Year,12810,52392,65202,52392,65202
Grossmont College,California,CA,Public,2 Year,NA,1418,1418,9158,9158
Grove City College,Pennsylvania,PA,Private,4 Year,9770,17930,27700,17930,27700
Guam Community College,NA,GU,Public,2 Year,NA,4194,4194,4944,4944
Guilford College,North Carolina,NC,Private,4 Year,11200,38250,49450,38250,49450
Guilford Technical Community College,North Carolina,NC,Public,2 Year,NA,2333,2333,8093,8093
Gulf Coast State College,Florida,FL,Public,2 Year,NA,2963,2963,10791,10791
Gupton Jones College of Funeral Service,Georgia,GA,Private,2 Year,NA,11750,11750,11750,11750
Gustavus Adolphus College,Minnesota,MN,Private,4 Year,9910,45400,55310,45400,55310
Gutenberg College,Oregon,OR,Private,4 Year,5000,13650,18650,13650,18650
Gwinnett College,Georgia,GA,For Profit,2 Year,NA,9850,9850,9850,9850
Gwinnett Technical College,Georgia,GA,Public,2 Year,NA,3506,3506,6176,6176
Gwynedd Mercy University,Pennsylvania,PA,Private,4 Year,12370,35600,47970,35600,47970
Hagerstown Community College,Maryland,MD,Public,2 Year,NA,4050,4050,7920,7920
Halifax Community College,North Carolina,NC,Public,2 Year,NA,2452,2452,8212,8212
Hamilton College,New York,NY,Private,4 Year,13870,54620,68490,54620,68490
Hamline University,Minnesota,MN,Private,4 Year,10358,41298,51656,41298,51656
Hampden-Sydney College,Virginia,VA,Private,4 Year,13558,45746,59304,45746,59304
Hampshire College,Massachusetts,MA,Private,4 Year,13606,51668,65274,51668,65274
Hampton University,Virginia,VA,Private,4 Year,11778,26702,38480,26702,38480
Hannibal-LaGrange University,Missouri,MO,Private,4 Year,8108,22750,30858,22750,30858
Hanover College,Indiana,IN,Private,4 Year,11580,37670,49250,37670,49250
Harcum College,Pennsylvania,PA,Private,2 Year,10200,24200,34400,24200,34400
Hardin-Simmons University,Texas,TX,Private,4 Year,8080,28990,37070,28990,37070
Harding University,Arkansas,AR,Private,4 Year,7044,20135,27179,20135,27179
Harford Community College,Maryland,MD,Public,2 Year,NA,4644,4644,10075,10075
Harper College,Illinois,IL,Public,2 Year,NA,4578,4578,14553,14553
Harris-Stowe State University,Missouri,MO,Public,4 Year,9250,5340,14590,9973,19223
Harrisburg Area Community College,Pennsylvania,PA,Public,2 Year,NA,6683,6683,9135,9135
Harrisburg University of Science and Technology,Pennsylvania,PA,Private,4 Year,6800,23900,30700,23900,30700
Hartnell College,California,CA,Public,2 Year,NA,1400,1400,8870,8870
Hartwick College,New York,NY,Private,4 Year,12460,45510,57970,45510,57970
Harvard College,Massachusetts,MA,Private,4 Year,17160,50420,67580,50420,67580
Harvey Mudd College,California,CA,Private,4 Year,18127,56876,75003,56876,75003
Haskell Indian Nations University,Kansas,KS,Public,4 Year,950,480,1430,480,1430
Hastings College,Nebraska,NE,Private,4 Year,9700,30050,39750,30050,39750
Haverford College,Pennsylvania,PA,Private,4 Year,16402,54592,70994,54592,70994
Hawaii Pacific University,Hawaii,HI,Private,4 Year,14800,25980,40780,25980,40780
Hawaii Tokai International College,Hawaii,HI,Private,2 Year,9000,13485,22485,13485,22485
Hawkeye Community College,Iowa,IA,Public,2 Year,NA,6360,6360,6600,6600
Haywood Community College,North Carolina,NC,Public,2 Year,NA,2383,2383,8143,8143
Hazard Community and Technical College,Kentucky,KY,Public,2 Year,NA,5310,5310,18000,18000
Heartland Community College,Illinois,IL,Public,2 Year,NA,4590,4590,13110,13110
Hebrew Theological College,Illinois,IL,Private,4 Year,12380,12920,25300,12920,25300
Heidelberg University,Ohio,OH,Private,4 Year,10400,31000,41400,31000,41400
Helena College University of Montana,Montana,MT,Public,2 Year,NA,3349,3349,9083,9083
Helene Fuld College of Nursing,New York,NY,Private,2 Year,NA,21286,21286,21286,21286
Hellenic College/Holy Cross,Massachusetts,MA,Private,4 Year,16192,22490,38682,22490,38682
Henderson Community College,Kentucky,KY,Public,2 Year,NA,5550,5550,18000,18000
Henderson State University,Arkansas,AR,Public,4 Year,7504,8436,15940,10086,17590
Hendrix College,Arkansas,AR,Private,4 Year,12284,45790,58074,45790,58074
Hennepin Technical College,Minnesota,MN,Public,2 Year,NA,5119,5119,5119,5119
Henry Ford College,Michigan,MI,Public,2 Year,NA,3850,3850,8380,8380
Heritage Christian University,Alabama,AL,Private,4 Year,5745,12312,18057,12312,18057
Heritage University,Washington,WA,Private,4 Year,NA,18124,18124,18124,18124
Herkimer County Community College,New York,NY,Public,2 Year,10128,5320,15448,7950,18078
Hesston College,Kansas,KS,Private,2 Year,8800,26900,35700,26900,35700
Hibbing Community College,Minnesota,MN,Public,2 Year,3380,5336,8716,5336,8716
High Point University,North Carolina,NC,Private,4 Year,14130,35118,49248,35118,49248
Highland Community College,Illinois,IL,Public,2 Year,NA,5220,5220,8160,8160
Highland Community College,Kansas,KS,Public,2 Year,6528,3030,9558,3510,10038
Highline College,Washington,WA,Public,2 Year,NA,4027,4027,4461,4461
Hilbert College,New York,NY,Private,4 Year,9350,22400,31750,22400,31750
Hill College,Texas,TX,Public,2 Year,3850,2970,6820,4120,7970
Hillsborough Community College,Florida,FL,Public,2 Year,NA,3132,3132,11388,11388
Hillsdale College,Michigan,MI,Private,4 Year,11000,27577,38577,27577,38577
Hinds Community College,Mississippi,MS,Public,2 Year,4120,3130,7250,6170,10290
Hiram College,Ohio,OH,Private,4 Year,10290,34300,44590,34300,44590
Hiwassee College,Tennessee,TN,Private,2 Year,7987,19571,27558,19571,27558
Hobart and William Smith Colleges,New York,NY,Private,4 Year,14785,55255,70040,55255,70040
Hobe Sound Bible College,Florida,FL,Private,4 Year,6170,6490,12660,6490,12660
Hocking College,Ohio,OH,Public,2 Year,8560,4390,12950,8790,17350
Hodges University,Florida,FL,Private,4 Year,NA,17600,17600,17600,17600
Hofstra University,New York,NY,Private,4 Year,15948,46760,62708,46760,62708
Hollins University,Virginia,VA,Private,4 Year,13520,39035,52555,39035,52555
Holmes Community College,Mississippi,MS,Public,2 Year,3080,3110,6190,5690,8770
Holy Apostles College and Seminary,Connecticut,CT,Private,4 Year,NA,9670,9670,9670,9670
Holy Cross College,Indiana,IN,Private,4 Year,11500,30820,42320,30820,42320
Holy Family University,Pennsylvania,PA,Private,4 Year,13576,30346,43922,30346,43922
Holy Names University,California,CA,Private,4 Year,13190,39316,52506,39316,52506
Holy Trinity Orthodox Seminary,New York,NY,Private,4 Year,5290,7700,12990,7700,12990
Holyoke Community College,Massachusetts,MA,Public,2 Year,NA,5760,5760,11940,11940
Hood College,Maryland,MD,Private,4 Year,12700,39492,52192,39492,52192
Hope College,Michigan,MI,Private,4 Year,10310,34010,44320,34010,44320
Hope International University,California,CA,Private,4 Year,10490,33400,43890,33400,43890
Hopkinsville Community College,Kentucky,KY,Public,2 Year,NA,5070,5070,17760,17760
Horizon University,California,CA,Private,4 Year,NA,7700,7700,7700,7700
Horry-Georgetown Technical College,South Carolina,SC,Public,2 Year,NA,5248,5248,10408,10408
Houghton College,New York,NY,Private,4 Year,9288,32488,41776,32488,41776
Housatonic Community College,Connecticut,CT,Public,2 Year,NA,4394,4394,13162,13162
Houston Baptist University,Texas,TX,Private,4 Year,8814,32530,41344,32530,41344
Houston Community College System,Texas,TX,Public,2 Year,NA,2031,2031,4686,4686
Howard College,Texas,TX,Public,2 Year,4834,2560,7394,5420,10254
Howard Community College,Maryland,MD,Public,2 Year,NA,4920,4920,9060,9060
Howard Payne University,Texas,TX,Private,4 Year,8386,28090,36476,28090,36476
Howard University,NA,DC,Private,4 Year,13895,27056,40951,27056,40951
Hudson County Community College,New Jersey,NJ,Public,2 Year,NA,5718,5718,14028,14028
Hudson Valley Community College,New York,NY,Public,2 Year,NA,5640,5640,12915,12915
Huertas College,NA,PR,For Profit,2 Year,NA,6635,6635,6635,6635
Hult International Business School,California,CA,Private,4 Year,15000,40650,55650,40650,55650
Humacao Community College,NA,PR,Private,2 Year,3000,5382,8382,5382,8382
Humboldt State University,California,CA,Public,4 Year,12870,7676,20546,19556,32426
Humphreys College,California,CA,Private,4 Year,NA,14292,14292,14292,14292
Huntingdon College,Alabama,AL,Private,4 Year,9750,27400,37150,27400,37150
Huntington College of Health Sciences,Tennessee,TN,For Profit,2 Year,NA,6635,6635,6635,6635
Huntington University,Indiana,IN,Private,4 Year,8668,26180,34848,26180,34848
Huntsville Bible College,Alabama,AL,Private,4 Year,NA,5390,5390,5390,5390
"Hussian College, School of Art",Pennsylvania,PA,For Profit,2 Year,NA,21990,21990,21990,21990
Husson University,Maine,ME,Private,4 Year,9830,18180,28010,18180,28010
Huston-Tillotson University,Texas,TX,Private,4 Year,7568,14346,21914,14346,21914
Hutchinson Community College,Kansas,KS,Public,2 Year,5800,3000,8800,4230,10030
IBMC College: Fort Collins,Colorado,CO,For Profit,2 Year,NA,13010,13010,13010,13010
ICPR Junior College,NA,PR,For Profit,2 Year,4000,7010,11010,7010,11010
Idaho State University,Idaho,ID,Public,4 Year,7207,7420,14627,22940,30147
Ilisagvik College,Alaska,AK,Public,2 Year,13000,4300,17300,4300,17300
Illinois Central College,Illinois,IL,Public,2 Year,NA,4500,4500,11340,11340
Illinois College,Illinois,IL,Private,4 Year,9280,33090,42370,33090,42370
