season,season_episode,series_episode,episode_name,episode_notes,air_date,judge1,judge2,judge3,appetizer,entree,dessert,contestant1,contestant1_info,contestant2,contestant2_info,contestant3,contestant3_info,contestant4,contestant4_info
7,10,87,"""Nopales, No Problem""",,"July 5, 2011",Geoffrey Zakarian,Amanda Freitag,Marc Murphy," quahog clams, fuyu persimmons, Italian bitters, nopales "," halibut, purple cauliflower, salted duck egg yolks, pork skin "," Mexican chocolate, mostarda, soft tofu, pretzel rods",Chris Rendell, Chef de cuisine  Double Crown  New York  NY , Ronaldo Linares, Chef and Restaurateur  Martino's Cuban Restaurant  Somerville  NJ , Denise Baron, Executive Chef  Burtons Grill  Boston  MA , Miguel Aguilar, Executive Chef  Piquant  New York  NY 
8,1,88,"""Easy Peasy?""",This is the first episode to feature four British chefs as well as the first to have no contestants who are settled in the United States.,"July 12, 2011",Geoffrey Zakarian,Amanda Freitag,Marc Murphy," buffalo hot dogs, carrots, edamame, butterscotch candy "," pork loin, crunchy cheese curls, escarole, chia seeds "," grape flavored gelatin, lemon verbena, brie, shortbread cookies",Tristan Welch, Chef Patron  Launceston Place  Kensington  London  England , Andy Bates, Pastry Chef  Eat My Pies Street Market  East London  England , Lotte Duncan, Chef and Culinary Instructor  English Country Cookery School  Buckinghamshire  England , Jun Tanaka, Executive Chef  Pearl Restaurant  London  England 
8,2,89,"""Ladies First!""","While not the first episode to feature all female competitors, the episode title highlights the fact that there were four female chefs competing.","July 19, 2011",Zakary Pelaccio,Amanda Freitag,Geoffrey Zakarian," brown bread in a can, dried figs, frozen peas, duck white kidneys "," quail, Pedro Ximénez sherry, crosnes, cabbage "," crescent roll dough, dried currants, key lime juice, creamed corn",Katherine See, Executive Chef  Kingfish Hall  Boston  MA , Deirdre Henderson, Executive Chef  BarOnA  New York  NY , Cara Thompson, Executive Chef  The Bayou  Bellmore  NY , Suzanne Vizethann, Chef and Restaurateur  The Hungry Peach  Atlanta  GA 
8,3,90,"""Sweet Second Chance!""","This episode featured four past non-winners. This was the first ""redemption"" episode to feature a non-runner-up as well as the first to feature two chefs from the same previous episode. Chef Magris slipped and fell during the entrée round, spilling boiling water on herself and causing second-degree burns on both her legs. The judges gave Chef Magris the option to bow out of the competition but she elected to continue. Although Chef Nitahara won, he offered to pay for Chef Magris to visit her ill grandmother in France (the main reason she needed the prize money).","July 26, 2011",Geoffrey Zakarian,Amanda Freitag,Marc Murphy," pancake mix, guava nectar, Aleppo peppers, Asian style beef jerky "," fresh wasabi root, crab apples, collard greens, lamb hearts "," duck eggs, Russet potatoes, farmer's cheese, honey herb cough drops",Chris Coombs," Chef and Restaurateur  Dbar  Boston  MA  Episode 4.1 – ""Rattle & Roll"" ", Siggy Sollitto," Chef and Restaurateur  Siggy's Good Food  Brooklyn Heights  NY  Episode 4.1 – ""Rattle & Roll"" ", Yoanne Magris," Chef and Restaurateur  Yo In Yo Out  New York  NY  Episode 5.3 – ""Squashed"" ", Lance Nitahara," Executive Chef  Camp-of-the-Woods  Speculator  NY  Episode 4.12 – ""Crunch Time"" "
8,4,91,"""Chard & True""",,"August 2, 2011",Aarón Sánchez,Alex Guarnaschelli,Geoffrey Zakarian," lime pickle, red chard, baby octopus, Tokyo scallions "," gingersnaps, sweet potatoes, farina, turbot "," cactus pear, soft pretzels, farmhouse cheddar, wheat beer",Ben Sargent, Seafood Chef  Brooklyn  NY , Jay Jones, Caterer  Chateau Noir Catering  New York  NY , Tina Aleandri, Executive Chef  Noche Tequila and Tapas Bar  Atlanta  GA , Elisabeth Weinberg, Caterer  Miss Elisabeth's Catering  New York  NY 
8,5,92,"""My Way""",,"August 9, 2011",Aarón Sánchez,Geoffrey Zakarian,Marc Murphy," smoked oysters, starfruit, jicama, whole calamari "," jumbo shrimp, crème de cassis, black quinoa, pastrami "," matzo, Lady Gala apples, walnuts, borscht",Daniel Moreno, Sous chef  BLT Steak  New York  NY , Jason Marcus, Chef and Restaurateur  Traif  Brooklyn  NY , Kelvin Fernandez, Chef de cuisine  Strand Hotel  New York  NY , Jennifer Cole, Executive Chef  Taberna  New York  NY 
8,6,93,"""A is for Apple. U is for Udon""","This episode was dedicated to the memory of Debra Whiting, who was killed in a car accident June 30, 2011, which was after the episode was filmed but before it aired.","August 16, 2011",Aarón Sánchez,Amanda Freitag,Geoffrey Zakarian," udon noodles, watermelon radish, razor clams, pickled eggplant "," sweet vermouth, leeks, French fingerling potatoes, live diver scallops "," Thai basil, marinated cippolini onions, Black Oxford apples, rolled oats",Denis Weekes, Executive Chef  World Yacht  New York  NY , Debra Whiting, Chef and Restaurateur  Red Newt Cellars Winery and Bistro  Hector  NY , Raffaele Spadavecchia, Executive Chef  Scottadito Osteria Toscana  Brooklyn  NY , Christopher Thames, Caterer  Distinctive Fare Catering  Philadelphia  PA 
8,7,94,"""Trick or Treat, Chicken Feet!""","This was a Halloween-themed episode. The Halloween candy provided in the entrée round was a mixture of traditional Halloween candies, such as candy corn.","October 16, 2011",Chris Santos,Alex Guarnaschelli,Geoffrey Zakarian," pre-cooked chicken feet, poblano peppers, black radishes, fruit-flavored candy "," blood sausage, frog legs, sea beans, Halloween candy "," ossa dei morti, apple cider, ricotta salata, black licorice",Rodney Henry, Pie Maker  Dangerously Delicious Pies  Baltimore  MD / Washington  DC , Cris Spezial, Caterer  Nyack Gourmet  Nyack  NY , Michelle Firlit-Garcia, Pastry Chef  Bleeding Heart Bakery  Chicago  IL , Michael DiIonno, Chef and Restaurateur  Avenue Bistro Pub  Verona  NJ 
8,8,95,"""Give It Your All""",This was a Thanksgiving-themed episode. The chefs were directed to prepare holiday-themed dishes for each course.,"November 15, 2011",Aarón Sánchez,Alex Guarnaschelli,Marc Murphy," pomegranates, polenta log, maple syrup, seafood sausage "," turducken, sugar pumpkin, Concord grape wine, Indian corn "," pumpkin beer, fresh cranberries, pecans, instant potatoes",Allison Sosna, Executive Chef  DC Central Kitchen  Washington  DC , Steve Jackson, Personal Chef  Chicago Bulls  Chicago  IL , Arlene Stewart, Personal Chef  New York  NY , Daniel Bojorquez, Chef de cuisine  Sel de la Terre  Boston  MA 
8,9,96,"""Can't Catch Me, I'm the Gingerbread Lobster!""",This was a holiday-themed episode. The chefs were directed to prepare holiday-themed dishes for each course. Chef Lai cut his palm during the appetizer round but did not tend to the wound because he thought the blood on the plate was a smudge of harissa; the judges did not taste his dish as a result and he was eliminated.,"December 6, 2011",Aarón Sánchez,Alex Guarnaschelli,Marc Murphy," lobster, harissa, candy cane beets, gingerbread house "," rack of lamb, ruby port, brussels sprouts, white chocolate chips "," plums, candy canes, fruitcake, hot cocoa mix",Bun Lai, Chef and Restaurateur  Miya's Sushi  New Haven  CT , Renita Mendonca, Culinary Instructor  Cambridge School of Culinary Arts  Cambridge  MA , Rachel Klein, Executive Chef  Seaport Hotel  Boston  MA , Jonny Giordani, Executive Chef  BOOM  New York  NY 
9,1,97,"""Champions' Tournament: Part 1""","This was the first of a five-part series of episodes, where sixteen past champions competed. The winner of each preliminary round advanced to the finale, where they competed for $50,000.","August 30, 2011",Geoffrey Zakarian,Alex Guarnaschelli,Marcus Samuelsson," Chinese celery, fresh chickpeas, preserved lemons, country style pâté "," rack of antelope, stinging nettles, jicama, port wine cheese "," nopales, sweet potatoes, pie crust, mezcal",Wayne Lyons," Chef and Restaurateur  Soul Flavors  Jersey City  NJ  Episode 7.3 – ""Saying Sayonara"" ", Heather Priest," Personal Chef  Greenwich  CT  Episode 7.6 – ""Get it Together"" ", James Gillespie," Culinary Instructor  New York  NY  Episode 6.4 – ""Doughs and Don'ts"" ", Wade Burch," Executive Chef  South West NY  New York  NY  Episode 5.13 – ""Yes Virginia  There is a Chopping Block""  advances to final round "
9,2,98,"""Champions' Tournament: Part 2""",This is the second part of a five-part tournament where past champions compete.,"September 6, 2011",Geoffrey Zakarian,Maneet Chauhan,Aarón Sánchez," frosted wheat cereal, baby red romaine lettuce, black garlic, quahog clams "," tuna belly, lemon curd, purple cauliflower, dried cuttlefish snack "," cacao beans, masa, pisco, gorgonzola dolce",Shehu Fitzgerald," Chef  Ritz Carlton  New York  NY  Episode 7.1 – ""The Icing on the Steak"" ", Alejandra Padilla," Sous chef  La Fonda del Sol  New York  NY  Episode 6.1 – ""Victory on the Brain"" ", Michael Vignola," Executive Chef  Michael Jordan's Steak House  New York  NY  Episode 2.1 – ""Fright Bites"" ", Danielle Saunders," Private Chef  New York  NY  Episode 7.2 – ""Canned Cheese  Please!""  advances to final round "
9,3,99,"""Champions' Tournament: Part 3""",This is the third part of a five-part tournament where past champions compete.,"September 13, 2011",Marc Murphy,Alex Guarnaschelli,Susan Feniger," Alaskan king crab legs, star fruit, bonito flakes, Mexican chorizo "," tilefish, fig cookies, caperberries, squid ink "," vanilla cognac, guava paste, barley flour, duck fat",Miguel Aguilar," Executive Chef  Piquant  New York  NY  Episode 7.10 – ""Nopales  No Problem"" ", Laura Henry-Zoubir," Culinary Director  Dramshop Hospitality  Boston  MA  Episode 6.3 – ""Marrowly We Roll Along"" ", Jamie Bissonnette," Chef and Restaurateur  Toro and Coppa  Boston  MA  Episode 6.12 – ""Chefs on a Mission"" ", Lauren Gerrie," Caterer  Big Little Get Together  New York  NY  Episode 6.11 – ""A Cornish Mess""  advances to final round "
9,4,100,"""Champions' Tournament: Part 4""",This is the fourth part of a five-part tournament where past champions compete.,"September 20, 2011",Geoffrey Zakarian,Alex Guarnaschelli,Maneet Chauhan," lamb fries, ras el hanout, blood orange syrup, hot cross buns "," wreck fish, sabudana poha, green tomatoes, huitlacoche "," macaroni and cheese, apples, raw cashews, cane syrup",Justin Burdett," Chef de cuisine  Miller Union  Atlanta  GA  Episode 7.4 – ""Have A Heart"" ", Eric Levine," Executive Chef  Encore Catering  East Hanover  NJ  Episode 6.2 – ""Prove it on the Plate"" ", Marie-Claude Mendy," Chef and Restaurateur  Teranga  Boston  MA  Episode 7.9 – ""Thyme Flies"" ", Alan Harding," Chef  The Food Truck @ Hot Bird  Brooklyn  NY  Episode 7.5 – ""Gotta Grill!""  advances to final round "
9,5,101,"""Champions' Tournament: Grand Finale""","This is the final part of a five-part tournament where past champions compete. With her victory in this episode, Chef Saunders became the first female Grand Champion of Chopped, as well as the second black Grand Champion (the first one being Madison Cowan).","September 27, 2011",Marc Murphy,Alex Guarnaschelli,Aarón Sánchez," catfish, daikon radish, cherry soda, boiled peanuts "," kettle corn, chayotes, apple sauce, roasted suckling pig "," araucana eggs, bread flour, turbinado sugar, goat's milk",Alan Harding," Chef  The Food Truck @ Hot Bird  Brooklyn  NY  Episode 7.5 – ""Gotta Grill!"" ", Wade Burch," Executive Chef  South West NY  New York  NY  Episode 5.13 – ""Yes Virginia  There is a Chopping Block"" ", Lauren Gerrie," Caterer  Big Little Get Together  New York  NY  Episode 6.11 – ""A Cornish Mess"" ", Danielle Saunders," Private Chef  New York  NY  Episode 7.2 – ""Canned Cheese  Please!"" "
9,6,102,"""Time & Space""",,"October 4, 2011",Scott Conant,Amanda Freitag,Chris Santo," izote flowers, smoked butter, rhubarb, chicken in a can "," yellow miso, pork shoulder, mountain yam, astronaut ice cream "," margarita mix, quick cook grits, marionberry preserves, vanilla yogurt",Van Dao, Chef and Restaurateur  Biscuit Bender  San Francisco  CA , Ryan Goergen, Executive Chef  New York  NY , Ronnie Vincent, Executive Sous chef  Joe's Stone Crab  Miami  FL , Helen Park, Executive Chef  New York  NY 
9,7,103,"""Everything's Rosy""",,"October 11, 2011",Scott Conant,Maneet Chauhan,Marc Murphy," British piccalilli, biscuit dough, watercress, soft-shell crabs "," rack of wild boar, shishito peppers, posole, organic roses "," falooda glass noodles, oranges, graham crackers, Armenian string cheese",Michael Maroni, Chef and Restaurateur  Maroni Cuisine  Northport  NY , Gina Rodriguez, Executive Chef  Kokopelli Restaurant and Tequila Bar  Philadelphia  PA , Justin Bazdarich, Chef and Restaurateur  Speedy Romeo  Brooklyn  NY , Rob Evans, Chef and Restaurateur  Hugo's  Portland  ME 
9,8,104,"""Make A Splash!""",,"October 25, 2011",Marc Murphy,Amanda Freitag,Seamus Mullen," broccoflower, unsweetened cranberry juice, madeleines, sea urchin "," canned mandarin oranges, red pearl onions, chicken thighs, pork hock "," gingerbread cookie dough, goat cheese, garam masala, strawberry syrup",Kayne Raymond, Private Chef  Palo Alto  CA , Wayne Cafariella, Sous chef  Tellers Chop House  Islip  NY , Adrianne Calvo, Chef and Restaurateur  Chef Adrianne's  Miami  FL , Lish Steiling, Assistant Food Stylist  Today  New York  NY 
9,9,105,"""One in a Hundred""",Chef Baldassari has also competed on season 11 of Hell's Kitchen.,"November 1, 2011",Chris Santos,Maneet Chauhan,Marc Murphy," duck prosciutto, purple asparagus, Korean melon, Greek Easter bread "," barramundi, ramps, sun-dried tomatoes, unripened green almonds "," Kirby cucumbers, beignet mix, lemon-lime soda, nata de coco",Tiffany Jeffries, Caterer  Sunday Dinner Catering Service  Brooklyn  NY , Jackie Baldassari, Roundsman  Olde York Country Club  Chesterfield  NJ , Dave Cusato, Sous chef  X2O Xaviars on the Hudson  Yonkers  NY , Matt Lambert, Chef de cuisine  Musket Room  New York  NY 
9,10,106,"""Blood Orange Sorbet, Sweat, & Tears""",,"November 8, 2011",Scott Conant,Alex Guarnaschelli,Chris Santo," breakfast sausage, cantaloupe, potato rolls, coconut flakes "," fiddlehead ferns, sablefish, vadouvan, blood orange sorbet "," sour beer, cherimoya, raspberries, brown bread in a can",Shawn Fralin, Private Chef  Miami  FL , Arthur Saks III, Executive Chef  Marina Cafe  Staten Island  NY , Sonia El-Nawal, Chef Consultant  New York  NY , Charles Lopez, Sous chef  Tastings Catering Company  New York  NY 
9,11,107,"""Class Acts""",The contestants in this episode are school cafeteria workers.[1] Judge Sam Kass is an assistant chef in the White House as well a senior policy advisor on healthy food initiatives.[1] This episode was part of a Food Network initiative with Share Our Strength to promote children's nutrition and to combat hunger in children.[2],"November 22, 2011",Marc Murphy,Amanda Freitag,Sam Ka," canned tuna fish, wonton wrappers, spinach, dill pickles "," collard greens, chicken breasts, anchovies, quinoa "," sunflower seeds, grapes, cream cheese, canned pineapple",Rhonda Deloach, Head Chef / Food Service Director  Common Ground High School  New Haven  CT , Arlene Leggio, Cook Manager  Islip High School  Islip  NY , Dianne Houlihan, Assistant Cook Manager  Great Neck Elementary School  Waterford  CT , Cheryl Barbara, Head Cook  High School in the Community  New Haven  CT 
9,12,108,"""Yakety Yak, Yak, Yak""",,"November 29, 2011",Scott Conant,Geoffrey Zakarian,Marcus Samuelsson," wax beans, mandarinquats, sardines, rice cakes "," mangosteens, mustard greens, dried shrimp, yak strip steaks "," black pepper crackers, plums, kefir, chamomile flowers",Jill Nicolson, Caterer and Entrepreneur  Cuisine with Jill Nicolson  Torrington  CT , Nicholas Porcelli, Executive Chef  Shhh  New York  NY , Kate Lee Squibb, Sous chef  158 Café  South Portland  ME , Vinson Petrillo, Executive Sous chef  Caviar Russe  New York  NY 
9,13,109,"""Duck for Dinner""",ach basket included an ingredient from a duck.,"December 13, 2011",Scott Conant,Alex Guarnaschelli,Zakary Pelaccio," duck confit, red cherry peppers, frozen naan, vanilla beans "," duck breast, champagne mango, morel mushrooms, ranch dressing "," chocolate chips, chestnuts, dried strawberries, duck eggs",Larry Baldwin, Executive Chef  David Burke Fromagerie  Rumson  NJ , Megan Johnson, Executive Chef  Elsewhere / Casellula Cheese & Wine Café  New York  NY , Al Nappo, Executive Chef  Founding Farmers  Georgetown  DC , Neela Paniz, Chef and Restaurateur  Neela's  Napa  CA 
10,1,110,"""The Big Scoop""",,"December 20, 2011",Chris Santos,Alex Guarnaschelli,Marcus Samuelsson," boudin blanc, chanterelle mushrooms, baby artichokes, orange marmalade "," rainbow chard, tonic water, malanga coco, rabbit "," fino sherry, granola, dried persimmon, vanilla ice cream",Joseph Arcarola, Chef  Highline Ballroom  New York  NY , Jeremy Spector, Chef and Restaurateur  The Brindle Room  New York  NY , Holly Sheppard, Chef de cuisine  Silkstone Catering Events  New York  NY , Walter D'Rozario, Chef de cuisine  Junoon  New York  NY 
10,2,111,"""Chop on Through""","Chef Nichols is a chef at Landmarc, owned by Chopped judge Marc Murphy.","January 3, 2012",Scott Conant,Geoffrey Zakarian,Marcus Samuelsson," wasabi root, blueberries, cocktail blinis, guanciale "," Bloody Mary mix, green seedless grapes, cashews, chicken steak "," cinnamon toast cereal, Asian pears, chocolate covered raisins, camembert",Dave Ward, Executive Chef  Thomas Preti Catering  Long Island  NY , Johnny McLaughlin, Chef and Restaurateur  Heartbreaking Dawns  Rosendale  NY , David Nichols, Executive Sous chef  Landmarc Time Warner Center  New York  NY , Elise Kornack, Sous chef  Aquavit  New York  NY 
10,3,112,"""Far Far Out!""",,"January 10, 2012",Chris Santos,Alex Guarnaschelli,Maneet Chauhan," Canadian bacon, roasted piquillo peppers, tomatillos, instant noodle soup "," cactus pears, squab, frozen lima beans, far far "," corn flakes cereal, sweet chili sauce, golden raspberries, labne",David Seigal, Executive Chef  The Tangled Vine  New York  NY , Faye Hess," Cooking Teacher and Blogger  ""FayeFood"" food blog  New York  NY ", Joe Simon, Executive Sous chef  David Burke Fromagerie  Rumson  NJ , Giorgio Rapicavoli, Executive Chef  660 at the Angler's  Miami Beach  FL 
10,4,113,"""Frozen Fries with That?""",,"January 17, 2012",Chris Santos,Amanda Freitag,Maneet Chauhan," cube steak, salsa, queso fresco, frozen french fries "," blue foot chicken, broccolini, tequila, dried limes "," white balsamic vinegar, chocolate covered peanuts, dried cranberries, masa harina",Ian Friedman, Executive Chef  Rainwater Grill  New York  NY , Clark Barlowe, Sous chef  Clyde's Tower Oaks Lodge  Rockville  MD , Dan Giusti, Executive Chef  1789 Restaurant  Washington  DC , Adrienne Grenier, Sous chef  1500 Degrees  Miami Beach  FL 
10,5,114,"""Redemption Competition""","This episode featured four past runners-up competing again for another chance at $10,000. There was animosity between Chef Tryg and Chef Sammy, particularly going into the final round, that was noticeable enough to be commented on by Ted and the judges.","January 24, 2012",Chris Santos,Amanda Freitag,Marc Murphy," sweetbreads, dried dates, red malabar spinach, strawberry popsicles "," leg of lamb, kochujang, rainbow carrots, root beer schnapps "," fresh pasta sheets, plum tomatoes, basil, white chocolate",Anna Maria Santorelli," Chef and Restaurateur  Anna Maria's  Larchmont  NY  Episode 4.1 – ""Doughs and Don'ts"" ", Michelle Firlit-Garcia," Pastry Chef  Bleeding Heart Bakery  Chicago  IL  Episode 8.7 – ""Trick or Treat  Chicken Feet!"" ", Tryg Siverson," Chef and Restaurateur  Friedman's Lunch  New York  NY  Episode 7.1 – ""The Icing on the Steak"" ", Sammy Davis Jr.," Executive Chef  CR Lounge  Baltimore  MD  Episode 6.1 – ""Victory on the Brain"" "
10,6,115,"""On the Line""",This is the first episode to feature four chefs who are natives of different countries.,"January 31, 2012",Marc Murphy,Missy Robbins,Aarón Sánchez," mahi-mahi, candy cane beets, verjus, olive loaf "," red mullet, peach palm fruit, haricots verts, licorice candy "," clove candies, loquats, kaiser rolls, cheese wedges",Marcus Lepke, Personal Chef  European Epicurean  Voorhees  NJ ,  Dewey Losasso, Executive Chef  The Forge  Miami Beach  FL ,  Ronit Penso, Private Chef and Author  New York  NY ,  Sylvain Harribey, Executive Chef  Sofitel New York  New York  NY 
10,7,116,"""Viewers' Choice!""",This is the first episode where viewers got to decide on the basket ingredients as determined via online poll.,"April 3, 2012",Geoffrey Zakarian,Alex Guarnaschelli,Chris Santo," artichoke hearts, truffle honey, corn nuts, scrapple "," fenugreek, new potatoes, bison short ribs, cheese spread in a jar "," dried black licorice root, pork rinds, macadamia nuts, limoncello",Amy Johnson, Private Chef  New York  NY , Virginia Monaco, Chef  The Vanderbilt  Brooklyn  NY , Ian Muntzert, Chef de cuisine  Commonwealth  San Francisco  CA , Ivan Dorvil, Private Chef  Miami  FL 
10,8,117,"""All-Stars: Iron Chefs Do Battle""","This was the first of a five-part series of episodes in which categorical groups of celebrity chefs competed to win $50,000 for charity. This heat featured Iron Chefs from Iron Chef America.","April 8, 2012",Scott Conant,Geoffrey Zakarian,Aarón Sánchez," crawfish, lemon cucumber, purple wax beans, pre-cooked beef tendon "," octopus, dandelion greens, aged gouda, sour trahana "," plums, coconut rum, black beans, queso fresco",Jose Garces ,Charity: St. Christopher Foundation for Children – Philadelphia  PA , Cat Cora ,Charity: Chefs for Humanity – New York  NY , Marc Forgione ,Charity: Feeding America – Chicago  IL , Michael Symon ,Charity: Autism Speaks – New York  NY  advances to final round 
10,9,118,"""All-Stars: Prime Time vs. Day Time""",This is the second part of a five-part tournament featuring celebrity chefs competing for charity. This heat featured celebrity chefs who have hosted cooking shows on Food Network.,"April 15, 2012",Geoffrey Zakarian,Amanda Freitag,Aarón Sánchez," pancake mix, strawberry papaya, blue foot mushrooms, pre-cooked chicken feet "," maraschino cherries, peas in the pod, parsley root, tripe "," ostrich eggs, plantains, dried strawberries, galangal",Keegan Gerhard ,Food Network Challenge  Charity: Make-A-Wish Foundation – Phoenix  AZ , Aarti Sequeira ,Aarti Party  The Next Food Network Star  Season 6  Charity: Harvest Home – Santa Monica  CA , Marcela Valladolid ,Mexican Made Easy  Charity: Fundación Internacional de la Comunidad  A. C.- Tijuana  Mexico , Jeffrey Saad ,United Tastes of America  The Next Food Network Star  Season 5  Charity: Alexandria House – Los Angeles  CA  advances to final round 
10,10,119,"""All-Stars: Food Network Star Contestants""",This is the third part of a five-part tournament featuring celebrity chefs competing for charity. This heat featured former contestants from season 7 of The Next Food Network Star.,"April 22, 2012",Scott Conant,Amanda Freitag,Aarón Sánchez," razor clams, breakfast radishes, green grape tomatoes, shrimp paste "," culotte steak, Okinawa sweet potatoes, turnips, strawberry leather "," mango chutney, white apricots, blue cornmeal, bacon bits",Chris Nirschel ,TNFNS season 7 eighth place  Charity: The Initiative to Educate Afghan Women , Justin Balmes ,TNFNS season 7 eleventh place  Charity: SafePath Children's Advocacy Center – Marietta  GA ," Vic ""Vegas"" Moea ",TNFNS season 7 third place  Charity: St. Jude's Ranch for Children – Boulder City  NV , Penny Davidi ,TNFNS season 7 seventh place  Charity: PATH Gramercy  People Assisting the Homeless – Los Angeles  CA  advances to final round 
10,11,120,"""All-Stars: Judge Remix""",This is the fourth part of a five-part tournament featuring celebrity chefs competing for charity. This heat featured Chopped judges (none of whom had competed in the season 6 All-Stars Tournam,"April 29, 2012",Geoffrey Zakarian,Amanda Freitag,Aarón Sánchez," potato pancakes, purple kohlrabi, Korean melon, goat brains "," rack of Berkshire pork, kusa, grape molasses, preserved duck eggs "," cake flour, farmer's cheese, baby beets, cola",Chris Santos ,Charity: Rett Syndrome Research Trust – Trumbull  CT , Marc Murphy ,Charity: City Harvest – New York  NY , Alex Guarnaschelli ,Charity: St. Jude Children's Research Hospital – Memphis  TN , Marcus Samuelsson ,Charity: C-Cap  Careers through Culinary Arts Program – New York  NY  advances to final round 
10,12,121,"""All-Stars: Grand Finale""","This is the fifth and final part of a five-part tournament featuring celebrity chefs competing for charity. The winners of the four previous heats competed head to head for a chance at $50,000 for their charity. Michael Symon forgot a basket ingredient (Chinese okra) in the entrée round, leading to him being eliminated. Marcus Samuelsson was the first Chopped judge to win Chopped.","May 6, 2012",Amanda Freitag,Chris Santos,Anne Burrell," galia melon, Chinese okra, pistachios, beef heart "," rainbow chard, bonito, hard cider, couscous "," panforte, pancetta, pink currants, crème fraîche",Michael Symon ,Charity: Autism Speaks – New York  NY , Penny Davidi ,Charity: PATH Gramercy  People Assisting the Homeless – Los Angeles  CA , Jeffrey Saad ,Charity: Alexandria House – Los Angeles  CA , Marcus Samuelsson ,Charity: C-Cap  Careers through Culinary Arts Program – New York  NY 
10,13,122,"""Grilltastic!""","This was a grilling-themed episode. The stovetops were outfitted with grill sheets and two other burners. In contrast to the previous two grilling-themed episodes, the ovens were kept on and the chefs were allowed to use them.","May 29, 2012",Chris Santos,Elizabeth Karmel,Marc Murphy," sweet tea vodka, Asian steamed buns, baby romanesco, extra-firm tofu "," wagyu rib-eye steaks, baby corn, watermelon, coleslaw dressing "," stout beer, empanada wrappers, peaches, marshmallow spread",Sean Brasel, Executive Chef  Meat Market  Miami  FL , Melissa Cookston, Professional Barbecue Competitor  Nesbit  MS , Richard Park, Chef and Entrepreneur  Cat Heads BBQ  San Francisco  CA , Jay Lippin, Executive Chef  Southern Hospitality BBQ  New York  NY 
11,1,123,"""I'm Your Huckleberry""","During the entrée round, the chefs were given a hammer to open the coconut. Chef Anderson works at Landmarc, which is owned by Chopped judge Marc Murphy.","February 7, 2012",Scott Conant,Maneet Chauhan,Seamus Mullen," huckleberries, black beans, green plantains, octopus "," champagne, skirt steak, yuca, coconut "," chicha morada, Cotija cheese, mangoes, shoestring potato sticks",Jeff O'Neill, Executive Chef  The Villa by Barton G  Miami Beach  FL , Frederik De Pue, Executive Chef  Smith Commons and 42˚ Catering  Washington  DC , Chai Trivedi, Sous chef  Buddakan  New York  NY , Reggie Anderson, Executive Pastry Chef  Landmarc Restaurants  New York  NY 
11,2,124,"""Chewing the Caul Fat""",,"February 14, 2012",Scott Conant,Marcus Samuelsson,Aarón Sánchez," sea scallops, guaje beans, aged cheddar, pickle juice "," black bass, raspberry lavender risotto, savoy cabbage, caul fat "," cosmopolitan mix, dried apples, biscotti, edible flowers",Nancy Caballes, Private Chef  Montclair  NJ , René Stein, Sous chef  Seasonal  New York  NY , Danni Bleil, Food Stylist  Ottsville  PA , Lester Walker, Executive Chef  Copia  New York  NY 
11,3,125,"""Good Chop, Bad Chop?""",,"February 21, 2012",Scott Conant,Zakary Pelaccio,Aarón Sánchez," quail eggs, white asparagus, hibiscus flowers in syrup, canned spiced ham "," lake perch, tomatoes on the vine, avocados, rolled oats "," sour cherries, croissants, clotted cream, lemongrass",Angela Karegeannes, Caterer  A Fork Full of Earth Organic Catering  Fairfax  CA , Vaughn Crenshaw, Executive Sous chef  Khloe Bistrot  Fort Lee  NJ , Noureddine Elgheur, Caterer  Sweet Savories Catering  Brooklyn  NY , Justin Werner, Executive Sous chef  Colicchio & Sons  New York  NY 
11,4,126,"""Leftovers Extravaganza!""",This was a leftovers competition. The white wine used in the entrée round was Chardonnay.,"March 6, 2012",Chris Santos,Amanda Freitag,Marcus Samuelsson," leftover pizza, leftover beer, graffiti eggplant, dried plums "," leftover pot roast, leftover steamed rice, escarole, 1/2 bottle of white wine "," leftover vanilla milkshake, leftover refried beans, butter crackers, kiwi",Ryan McLaughlin, Chef de cuisine  The Vanderbilt  Brooklyn  NY , Lee Farrington, Chef and Restaurateur  Figa  Portland  ME , Jeff Eng, Executive Chef  Clyde's Tower Oaks Lodge  Rockville  MD , Natalie Jacocks, Line Chef  Fette Sau  New York  NY 
11,5,127,"""Plenty of Fish""",,"March 13, 2012",Scott Conant,Geoffrey Zakarian,Aarón Sánchez," amber ale, salmon fillets, frisée, kantola "," lutefisk, hazelnuts, pinot noir, dried lobster mushrooms "," baby eggplants, gooseberries, eggroll skins, lapchang",Michael Jacobs, Food Consultant and Caterer  Miami Heat  Miami  FL , Shanna Horner O’Hea, Chef and Innkeeper  The Kennebunk Inn / Academe Brasserie and Tavern  Kennebunk  ME , Anthony Ricco, Chef de cuisine  Spice Market Restaurant  New York  NY , Corwin Kave, Executive Chef  Fatty Crab / Fatty 'Cue  New York  NY / St. John  VI 
