tconst,parent_tconst,season_number,episode_number,primary_title,original_title,year,runtime_minutes,genres,simple_title,average_rating,num_votes,parent_title_type,parent_primary_title,parent_original_title,parent_start_year,parent_end_year,parent_runtime_minutes,parent_genres,parent_simple_title,parent_average_rating,parent_num_votes,christmas,hanukkah,kwanzaa,holiday
tt0578500,tt0111958,2,11,A Christmassy Ted,A Christmassy Ted,1996,55,Comedy,a christmassy ted,8.8,837,tvSeries,Father Ted,Father Ted,1995,1998,25,Comedy,father ted,8.7,42882,TRUE,FALSE,FALSE,FALSE
tt0578610,tt0278191,4,19,Christmas Fear Factor,Christmas Fear Factor,2003,NA,"Game-Show,Reality-TV,Thriller",christmas fear factor,6.8,28,tvSeries,Fear Factor,Fear Factor,2001,2012,60,"Game-Show,Reality-TV,Thriller",fear factor,5.7,7122,TRUE,FALSE,FALSE,FALSE
tt0580153,tt0053502,5,15,Christmas Flintstone,Christmas Flintstone,1964,30,"Adventure,Animation,Comedy",christmas flintstone,8,327,tvSeries,The Flintstones,The Flintstones,1960,1966,26,"Adventure,Animation,Comedy",the flintstones,7.5,40108,TRUE,FALSE,FALSE,FALSE
tt0581860,tt0044263,2,24,Detective's Holiday,Detective's Holiday,1954,30,"Comedy,Crime,Drama",detectives holiday,7.8,31,tvSeries,Four Star Playhouse,Four Star Playhouse,1952,1956,30,"Comedy,Crime,Drama",four star playhouse,7.6,228,FALSE,FALSE,FALSE,TRUE
tt0582425,tt0106004,11,11,High Holidays,High Holidays,2003,23,Comedy,high holidays,8.6,959,tvSeries,Frasier,Frasier,1993,2004,22,Comedy,frasier,8.2,92615,FALSE,FALSE,FALSE,TRUE
tt0582450,tt0106004,8,8,Mary Christmas,Mary Christmas,2000,22,Comedy,mary christmas,7,778,tvSeries,Frasier,Frasier,1993,2004,22,Comedy,frasier,8.2,92615,TRUE,FALSE,FALSE,FALSE
tt0582452,tt0106004,6,10,"Merry Christmas, Mrs. Moskowitz","Merry Christmas, Mrs. Moskowitz",1998,22,Comedy,merry christmas mrs moskowitz,8.7,1131,tvSeries,Frasier,Frasier,1993,2004,22,Comedy,frasier,8.2,92615,TRUE,FALSE,FALSE,FALSE
tt0582473,tt0106004,5,9,Perspectives on Christmas,Perspectives on Christmas,1997,23,Comedy,perspectives on christmas,8.5,976,tvSeries,Frasier,Frasier,1993,2004,22,Comedy,frasier,8.2,92615,TRUE,FALSE,FALSE,FALSE
tt0582526,tt0106004,7,11,The Fight Before Christmas,The Fight Before Christmas,1999,30,Comedy,the fight before christmas,8.3,845,tvSeries,Frasier,Frasier,1993,2004,22,Comedy,frasier,8.2,92615,TRUE,FALSE,FALSE,FALSE
tt0582725,tt0460640,1,9,I'll Be Homeless for Christmas,I'll Be Homeless for Christmas,2005,NA,Comedy,ill be homeless for christmas,7.5,14,tvSeries,Freddie,Freddie,2005,2006,30,Comedy,freddie,6.1,1402,TRUE,FALSE,FALSE,FALSE
tt0582883,tt0092355,NA,NA,Celebrity Christmas Puddings,Celebrity Christmas Puddings,2002,40,Comedy,celebrity christmas puddings,8,20,tvSeries,French and Saunders,French and Saunders,1987,2017,30,Comedy,french and saunders,7.6,3671,TRUE,FALSE,FALSE,FALSE
tt0582884,tt0092355,NA,NA,Christmas Celebrity Special,Christmas Celebrity Special,2005,40,Comedy,christmas celebrity special,7.1,28,tvSeries,French and Saunders,French and Saunders,1987,2017,30,Comedy,french and saunders,7.6,3671,TRUE,FALSE,FALSE,FALSE
tt0582885,tt0092355,NA,NA,Christmas Special,Christmas Special,1988,39,Comedy,christmas special,7.5,28,tvSeries,French and Saunders,French and Saunders,1987,2017,30,Comedy,french and saunders,7.6,3671,TRUE,FALSE,FALSE,FALSE
tt0582955,tt0098800,2,13,Christmas Show,Christmas Show,1991,24,Comedy,christmas show,7.5,743,tvSeries,The Fresh Prince of Bel-Air,The Fresh Prince of Bel-Air,1990,1996,22,Comedy,the fresh prince of belair,7.9,142528,TRUE,FALSE,FALSE,FALSE
tt0583518,tt0108778,9,10,The One with Christmas in Tulsa,The One with Christmas in Tulsa,2002,22,"Comedy,Romance",the one with christmas in tulsa,7.2,4365,tvSeries,Friends,Friends,1994,2004,5280,"Comedy,Romance",friends,8.9,1061078,TRUE,FALSE,FALSE,FALSE
tt0583613,tt0108778,7,10,The One with the Holiday Armadillo,The One with the Holiday Armadillo,2000,22,"Comedy,Romance",the one with the holiday armadillo,8.4,4747,tvSeries,Friends,Friends,1994,2004,5280,"Comedy,Romance",friends,8.9,1061078,FALSE,FALSE,FALSE,TRUE
tt0584185,tt0092359,2,9,Our Very First Christmas Show,Our Very First Christmas Show,1988,25,"Comedy,Drama,Family",our very first christmas show,7.3,364,tvSeries,Full House,Full House,1987,1995,22,"Comedy,Drama,Family",full house,6.8,61982,TRUE,FALSE,FALSE,FALSE
tt0584465,tt0149460,2,8,Xmas Story,Xmas Story,1999,23,"Adventure,Animation,Comedy",xmas story,8.1,3086,tvSeries,Futurama,Futurama,1999,NA,22,"Adventure,Animation,Comedy",futurama,8.5,256378,TRUE,FALSE,FALSE,FALSE
tt0585894,tt0061254,1,10,Thieves' Holiday,Thieves' Holiday,1967,NA,"Adventure,Drama,War",thieves holiday,7.8,12,tvSeries,Garrison's Gorillas,Garrison's Gorillas,1967,1968,60,"Adventure,Drama,War",garrisons gorillas,7.8,348,FALSE,FALSE,FALSE,TRUE
tt0586366,tt0045395,6,11,The Trail to Christmas,The Trail to Christmas,1957,30,Drama,the trail to christmas,6.1,19,tvSeries,General Electric Theater,General Electric Theater,1953,1962,30,Drama,general electric theater,6.9,424,TRUE,FALSE,FALSE,FALSE
tt0587060,tt0088523,1,12,Christmas Carol II: The Sequel,Christmas Carol II: The Sequel,1985,NA,Comedy,christmas carol ii the sequel,8.9,17,tvSeries,George Burns Comedy Week,George Burns Comedy Week,1985,1985,30,Comedy,george burns comedy week,8.1,77,TRUE,FALSE,FALSE,FALSE
tt0587182,tt0310460,3,12,Christmas Punch,Christmas Punch,2003,22,"Comedy,Drama",christmas punch,7.7,61,tvSeries,George Lopez,George Lopez,2002,2007,30,"Comedy,Drama",george lopez,6.9,12991,TRUE,FALSE,FALSE,FALSE
tt0587298,tt0073995,4,7,On the Second Day of Christmas,On the Second Day of Christmas,1978,25,Comedy,on the second day of christmas,7.3,49,tvSeries,George & Mildred,George & Mildred,1976,1979,30,Comedy,george  mildred,7.2,1655,TRUE,FALSE,FALSE,FALSE
tt0587328,tt0059987,1,6,Merry Christmas,Merry Christmas,1966,NA,Comedy,merry christmas,7.7,15,tvSeries,George and the Dragon,George and the Dragon,1966,1968,30,Comedy,george and the dragon,7.6,99,TRUE,FALSE,FALSE,FALSE
tt0588310,tt0081869,4,13,The Spirit of Christmas,The Spirit of Christmas,1984,NA,Comedy,the spirit of christmas,7.1,23,tvSeries,Gimme a Break!,Gimme a Break!,1981,1987,30,Comedy,gimme a break,6.4,3602,TRUE,FALSE,FALSE,FALSE
tt0588609,tt0247102,4,11,Merry Exmas,Merry Exmas,2003,NA,Comedy,merry exmas,8.5,35,tvSeries,Girlfriends,Girlfriends,2000,2008,30,Comedy,girlfriends,7.4,4920,TRUE,FALSE,FALSE,FALSE
tt0589703,tt0088526,2,11,'Twas the Nightmare Before Christmas,'Twas the Nightmare Before Christmas,1986,30,"Comedy,Drama",twas the nightmare before christmas,7.8,560,tvSeries,The Golden Girls,The Golden Girls,1985,1992,30,"Comedy,Drama",the golden girls,8.2,45854,TRUE,FALSE,FALSE,FALSE
tt0589756,tt0088526,5,12,Have Yourself a Very Little Christmas,Have Yourself a Very Little Christmas,1989,30,"Comedy,Drama",have yourself a very little christmas,7.5,392,tvSeries,The Golden Girls,The Golden Girls,1985,1992,30,"Comedy,Drama",the golden girls,8.2,45854,TRUE,FALSE,FALSE,FALSE
tt0589886,tt0103426,1,12,It's Beginning to Look a Lot (Less) Like Christmas,It's Beginning to Look a Lot (Less) Like Christmas,1992,NA,Comedy,its beginning to look a lot less like christmas,7.3,92,tvSeries,The Golden Palace,The Golden Palace,1992,1993,30,Comedy,the golden palace,7.2,2702,TRUE,FALSE,FALSE,FALSE
tt0590890,tt0070991,5,12,Penny's Christmas,Penny's Christmas,1977,25,Comedy,pennys christmas,7.5,72,tvSeries,Good Times,Good Times,1974,1979,30,Comedy,good times,7.4,7856,TRUE,FALSE,FALSE,FALSE
tt0590935,tt0070991,6,12,The Traveling Christmas,The Traveling Christmas,1978,25,Comedy,the traveling christmas,7,66,tvSeries,Good Times,Good Times,1974,1979,30,Comedy,good times,7.4,7856,TRUE,FALSE,FALSE,FALSE
tt0591003,tt0065296,9,5,Holidays,Holidays,1982,NA,Comedy,holidays,7.1,31,tvSeries,The Goodies,The Goodies,1970,1982,30,Comedy,the goodies,7.7,1846,FALSE,FALSE,FALSE,TRUE
tt0591677,tt0106017,4,12,A Holly Jolly Christmas,A Holly Jolly Christmas,1996,23,"Comedy,Romance",a holly jolly christmas,9,83,tvSeries,Grace Under Fire,Grace Under Fire,1993,1998,30,"Comedy,Romance",grace under fire,6.4,4401,TRUE,FALSE,FALSE,FALSE
tt0591736,tt0106017,5,4,Mother Christmas,Mother Christmas,1997,22,"Comedy,Romance",mother christmas,8.6,80,tvSeries,Grace Under Fire,Grace Under Fire,1993,1998,30,"Comedy,Romance",grace under fire,6.4,4401,TRUE,FALSE,FALSE,FALSE
tt0591767,tt0106017,2,12,The Holidays,The Holidays,1994,23,"Comedy,Romance",the holidays,7.7,60,tvSeries,Grace Under Fire,Grace Under Fire,1993,1998,30,"Comedy,Romance",grace under fire,6.4,4401,FALSE,FALSE,FALSE,TRUE
tt0592671,tt0058808,2,13,An Old-Fashioned Christmas,An Old-Fashioned Christmas,1966,26,"Comedy,Family",an oldfashioned christmas,8,121,tvSeries,Green Acres,Green Acres,1965,1971,30,"Comedy,Family",green acres,7.3,7445,TRUE,FALSE,FALSE,FALSE
tt0592976,tt0292800,1,12,Big Trouble in Billy's Basement/Christmas Con Carne/Tickle Me Mandy,Big Trouble in Billy's Basement/Christmas Con Carne/Tickle Me Mandy,2002,22,"Adventure,Animation,Comedy",big trouble in billys basementchristmas con carnetickle me mandy,7.5,77,tvSeries,The Grim Adventures of Billy & Mandy,Grim & Evil,2001,2007,30,"Adventure,Animation,Comedy",the grim adventures of billy  mandy,7.7,25869,TRUE,FALSE,FALSE,FALSE
tt0592980,tt0292800,5,7,Billy and Mandy Save Christmas,Billy and Mandy Save Christmas,2005,43,"Adventure,Animation,Comedy",billy and mandy save christmas,8.3,149,tvSeries,The Grim Adventures of Billy & Mandy,Grim & Evil,2001,2007,30,"Adventure,Animation,Comedy",the grim adventures of billy  mandy,7.7,25869,TRUE,FALSE,FALSE,FALSE
tt0593211,tt0088527,1,12,A Christmas Story,A Christmas Story,1985,25,"Comedy,Family",a christmas story,7.1,88,tvSeries,Growing Pains,Growing Pains,1985,1992,30,"Comedy,Family",growing pains,6.6,16066,TRUE,FALSE,FALSE,FALSE
tt0594302,tt0047736,17,15,P.S. Murry Christmas,P.S. Murry Christmas,1971,60,Western,ps murry christmas,8.6,252,tvSeries,Gunsmoke,Gunsmoke,1955,1975,60,Western,gunsmoke,8.1,8389,TRUE,FALSE,FALSE,FALSE
tt0594914,tt0318220,11,20,'Surviving Christmas': Unwrapping the Comedy,'Surviving Christmas': Unwrapping the Comedy,2004,NA,"Documentary,Short",surviving christmas unwrapping the comedy,3.6,18,tvSeries,HBO First Look,HBO First Look,1992,NA,13,"Documentary,Short",hbo first look,6.3,475,TRUE,FALSE,FALSE,FALSE
tt0595185,tt0320024,2,11,The Big How the Ex Stole Christmas Episode,The Big How the Ex Stole Christmas Episode,2003,21,Comedy,the big how the ex stole christmas episode,7.4,22,tvSeries,Half & Half,Half & Half,2002,2006,30,Comedy,half  half,7.2,2036,TRUE,FALSE,FALSE,FALSE
tt0595664,tt0124703,2,1,The Alpine Holiday,The Alpine Holiday,1957,NA,Comedy,the alpine holiday,7.8,37,tvSeries,Hancock's Half Hour,Hancock's Half Hour,1956,1960,30,Comedy,hancocks half hour,8.5,578,FALSE,FALSE,FALSE,TRUE
tt0595832,tt0103435,4,11,Christmas '95,Christmas '95,1995,21,"Comedy,Family,Sport",christmas 95,8,26,tvSeries,Hangin' with Mr. Cooper,Hangin' with Mr. Cooper,1992,1997,30,"Comedy,Family,Sport",hangin with mr cooper,6.4,3497,TRUE,FALSE,FALSE,FALSE
tt0595833,tt0103435,3,12,Christmas Show,Christmas Show,1994,22,"Comedy,Family,Sport",christmas show,6.3,16,tvSeries,Hangin' with Mr. Cooper,Hangin' with Mr. Cooper,1992,1997,30,"Comedy,Family,Sport",hangin with mr cooper,6.4,3497,TRUE,FALSE,FALSE,FALSE
tt0596147,tt0070992,10,10,All I Want for Christmas,All I Want for Christmas,1982,30,"Comedy,Family,Music",all i want for christmas,6.3,91,tvSeries,Happy Days,Happy Days,1974,1984,30,"Comedy,Family,Music",happy days,7.4,20532,TRUE,FALSE,FALSE,FALSE
tt0596171,tt0070992,6,16,Christmas Time,Christmas Time,1978,NA,"Comedy,Family,Music",christmas time,7.5,137,tvSeries,Happy Days,Happy Days,1974,1984,30,"Comedy,Family,Music",happy days,7.4,20532,TRUE,FALSE,FALSE,FALSE
tt0596222,tt0070992,2,11,Guess Who's Coming to Christmas,Guess Who's Coming to Christmas,1974,30,"Comedy,Family,Music",guess whos coming to christmas,8.7,350,tvSeries,Happy Days,Happy Days,1974,1984,30,"Comedy,Family,Music",happy days,7.4,20532,TRUE,FALSE,FALSE,FALSE
tt0597092,tt0108796,2,7,Harry Enfield and Christmas Chums,Harry Enfield and Christmas Chums,1997,NA,Comedy,harry enfield and christmas chums,8.1,31,tvSeries,Harry Enfield and Chums,Harry Enfield and Chums,1994,1999,40,Comedy,harry enfield and chums,7.5,3396,TRUE,FALSE,FALSE,FALSE
tt0597201,tt0078622,4,10,A Christmas Hart,A Christmas Hart,1982,60,"Action,Adventure,Crime",a christmas hart,7.3,97,tvSeries,Hart to Hart,Hart to Hart,1979,1984,60,"Action,Adventure,Crime",hart to hart,6.7,8550,TRUE,FALSE,FALSE,FALSE
tt0598318,tt0052472,1,1,Malihini Holiday,Malihini Holiday,1959,60,"Action,Adventure,Crime",malihini holiday,8.1,42,tvSeries,Hawaiian Eye,Hawaiian Eye,1959,1963,60,"Action,Adventure,Crime",hawaiian eye,7.7,655,FALSE,FALSE,FALSE,TRUE
tt0598505,tt0054545,1,12,Hazel's Christmas Shopping,Hazel's Christmas Shopping,1961,30,Comedy,hazels christmas shopping,8.6,65,tvSeries,Hazel,Hazel,1961,1966,30,Comedy,hazel,7.2,2051,TRUE,FALSE,FALSE,FALSE
tt0598513,tt0054545,4,15,Just 86 Shopping Minutes to Christmas,Just 86 Shopping Minutes to Christmas,1964,30,Comedy,just 86 shopping minutes to christmas,8.6,50,tvSeries,Hazel,Hazel,1961,1966,30,Comedy,hazel,7.2,2051,TRUE,FALSE,FALSE,FALSE
tt0599012,tt0101114,13,6,The Holiday's Over,The Holiday's Over,2003,48,"Comedy,Crime,Drama",the holidays over,7.6,19,tvSeries,Heartbeat,Heartbeat,1992,2010,50,"Comedy,Crime,Drama",heartbeat,6.9,3888,FALSE,FALSE,FALSE,TRUE
tt0599169,tt0103437,1,12,Everyday's a Holiday,Everyday's a Holiday,1992,23,"Comedy,Romance",everydays a holiday,8.3,13,tvSeries,Hearts Afire,Hearts Afire,1992,1995,30,"Comedy,Romance",hearts afire,7,473,FALSE,FALSE,FALSE,TRUE
tt0599774,tt0111999,3,3,Love Takes a Holiday,Love Takes a Holiday,1996,44,"Action,Adventure,Drama",love takes a holiday,7.2,340,tvSeries,Hercules: The Legendary Journeys,Hercules: The Legendary Journeys,1995,1999,44,"Action,Adventure,Drama",hercules the legendary journeys,6.5,31311,FALSE,FALSE,FALSE,TRUE
tt0599842,tt0062569,1,11,A Christmas Place,A Christmas Place,1968,60,"Adventure,Western",a christmas place,7.6,38,tvSeries,Here Come the Brides,Here Come the Brides,1968,1970,60,"Adventure,Western",here come the brides,7.6,993,TRUE,FALSE,FALSE,FALSE
tt0600738,tt0115200,1,11,Arnold's Christmas,Arnold's Christmas,1996,25,"Animation,Comedy,Family",arnolds christmas,9.3,510,tvSeries,Hey Arnold!,Hey Arnold!,1996,2004,15,"Animation,Comedy,Family",hey arnold,7.6,35929,TRUE,FALSE,FALSE,FALSE
tt0601530,tt0086730,1,13,Another Song for Christmas,Another Song for Christmas,1984,60,"Drama,Fantasy",another song for christmas,8.4,183,tvSeries,Highway to Heaven,Highway to Heaven,1984,1989,60,"Drama,Fantasy",highway to heaven,6.8,6295,TRUE,FALSE,FALSE,FALSE
tt0601570,tt0086730,5,13,Merry Christmas from Grandpa,Merry Christmas from Grandpa,1989,60,"Drama,Fantasy",merry christmas from grandpa,8.5,107,tvSeries,Highway to Heaven,Highway to Heaven,1984,1989,60,"Drama,Fantasy",highway to heaven,6.8,6295,TRUE,FALSE,FALSE,FALSE
tt0602451,tt0058812,3,21,War Takes a Holiday,War Takes a Holiday,1968,30,"Comedy,War",war takes a holiday,8.6,237,tvSeries,Hogan's Heroes,Hogan's Heroes,1965,1971,25,"Comedy,War",hogans heroes,7.8,11885,FALSE,FALSE,FALSE,TRUE
tt0602461,tt0184122,3,8,A Christmas Carol: Part 1,A Christmas Carol: Part 1,2000,60,Drama,a christmas carol part 1,8.9,12,tvSeries,Holby City,Holby City,1999,2022,60,Drama,holby city,5.8,2464,TRUE,FALSE,FALSE,FALSE
tt0602462,tt0184122,3,9,A Christmas Carol: Part 2,A Christmas Carol: Part 2,2000,60,Drama,a christmas carol part 2,8.9,12,tvSeries,Holby City,Holby City,1999,2022,60,Drama,holby city,5.8,2464,TRUE,FALSE,FALSE,FALSE
tt0603404,tt0101120,3,12,'Twas the Blight Before Christmas,'Twas the Blight Before Christmas,1993,24,"Comedy,Family",twas the blight before christmas,7.8,269,tvSeries,Home Improvement,Home Improvement,1991,1999,22,"Comedy,Family",home improvement,7.2,48105,TRUE,FALSE,FALSE,FALSE
tt0603405,tt0101120,5,12,'Twas the Flight Before Christmas,'Twas the Flight Before Christmas,1995,23,"Comedy,Family",twas the flight before christmas,8.1,263,tvSeries,Home Improvement,Home Improvement,1991,1999,22,"Comedy,Family",home improvement,7.2,48105,TRUE,FALSE,FALSE,FALSE
tt0603438,tt0101120,7,11,Bright Christmas,Bright Christmas,1997,23,"Comedy,Family",bright christmas,7.5,211,tvSeries,Home Improvement,Home Improvement,1991,1999,22,"Comedy,Family",home improvement,7.2,48105,TRUE,FALSE,FALSE,FALSE
tt0603476,tt0101120,8,11,Home for the Holidays,Home for the Holidays,1998,23,"Comedy,Family",home for the holidays,7.5,206,tvSeries,Home Improvement,Home Improvement,1991,1999,22,"Comedy,Family",home improvement,7.2,48105,FALSE,FALSE,FALSE,TRUE
tt0603479,tt0101120,2,12,I'm Scheming of a White Christmas,I'm Scheming of a White Christmas,1992,30,"Comedy,Family",im scheming of a white christmas,7.7,321,tvSeries,Home Improvement,Home Improvement,1991,1999,22,"Comedy,Family",home improvement,7.2,48105,TRUE,FALSE,FALSE,FALSE
tt0604624,tt0042114,1,13,'Twas the Night Before Christmas,'Twas the Night Before Christmas,1955,30,"Comedy,Family",twas the night before christmas,9,421,tvSeries,The Honeymooners,The Honeymooners,1955,1956,30,"Comedy,Family",the honeymooners,8.6,6036,TRUE,FALSE,FALSE,FALSE
tt0604811,tt0366025,3,11,Christmas Time,Christmas Time,2005,30,"Comedy,Family",christmas time,5.8,23,tvSeries,Hope & Faith,Hope & Faith,2003,2006,30,"Comedy,Family",hope  faith,5.5,4866,TRUE,FALSE,FALSE,FALSE
tt0604839,tt0366025,1,9,Phone Home for the Holidays,Phone Home for the Holidays,2003,30,"Comedy,Family",phone home for the holidays,6.8,29,tvSeries,Hope & Faith,Hope & Faith,2003,2006,30,"Comedy,Family",hope  faith,5.5,4866,FALSE,FALSE,FALSE,TRUE
tt0605481,tt0460648,1,10,It's a Wonderful Christmas Carol on 34th Street,It's a Wonderful Christmas Carol on 34th Street,2005,NA,Comedy,its a wonderful christmas carol on 34th street,8,19,tvSeries,Hot Properties,Hot Properties,2005,2005,30,Comedy,hot properties,6,296,TRUE,FALSE,FALSE,FALSE
tt0605694,tt0085032,1,11,Christmas,Christmas,1983,NA,"Drama,Romance",christmas,7.9,33,tvSeries,Hotel,Hotel,1983,1988,60,"Drama,Romance",hotel,6.4,1833,TRUE,FALSE,FALSE,FALSE
tt0608103,tt0409570,1,9,Christmas Is Ruined,Christmas Is Ruined,2005,52,"Comedy,Drama",christmas is ruined,7.7,66,tvSeries,Huff,Huff,2004,2006,55,"Comedy,Drama",huff,7.9,3598,TRUE,FALSE,FALSE,FALSE
tt0608124,tt0168337,1,12,A Multi-Culti Christmas,A Multi-Culti Christmas,1998,NA,Comedy,a multiculti christmas,6,13,tvSeries,The Hughleys,The Hughleys,1998,2002,30,Comedy,the hughleys,6.1,857,TRUE,FALSE,FALSE,FALSE
tt0608424,tt0086734,7,11,Acapulco Holiday,Acapulco Holiday,1990,60,"Action,Crime,Drama",acapulco holiday,7.6,68,tvSeries,Hunter,Hunter,1984,1991,48,"Action,Crime,Drama",hunter,6.9,5458,FALSE,FALSE,FALSE,TRUE
tt0609659,tt0366027,1,10,The Greatest Christmas Story Ever Told,The Greatest Christmas Story Ever Told,2003,22,Comedy,the greatest christmas story ever told,6.8,41,tvSeries,I'm with Her,I'm with Her,2003,2004,30,Comedy,im with her,7,426,TRUE,FALSE,FALSE,FALSE
tt0609987,tt0417332,1,9,The Christmas Special,The Christmas Special,2005,NA,Comedy,the christmas special,7.9,31,tvSeries,Ideal,Ideal,2005,2011,30,Comedy,ideal,8.2,2928,TRUE,FALSE,FALSE,FALSE
tt0610459,tt0088541,1,7,Christmas Special,Christmas Special,1985,NA,Comedy,christmas special,8,24,tvSeries,In Sickness and in Health,In Sickness and in Health,1985,1992,30,Comedy,in sickness and in health,6.9,699,TRUE,FALSE,FALSE,FALSE
tt0610702,tt0112015,2,10,Christmas Story,Christmas Story,1995,22,Comedy,christmas story,7.4,11,tvSeries,In the House,In the House,1995,1999,30,Comedy,in the house,6.8,1369,TRUE,FALSE,FALSE,FALSE
tt0612665,tt0081878,6,6,Holidays at Home,Holidays at Home,1978,29,"Comedy,War",holidays at home,7.1,25,tvSeries,It Ain't Half Hot Mum,It Ain't Half Hot Mum,1974,1981,30,"Comedy,War",it aint half hot mum,7.2,1733,FALSE,FALSE,FALSE,TRUE
tt0612837,tt0090459,2,8,It's Garry Shandling's Christmas Show,It's Garry Shandling's Christmas Show,1987,NA,Comedy,its garry shandlings christmas show,7.7,32,tvSeries,It's Garry Shandling's Show.,It's Garry Shandling's Show.,1986,1990,30,Comedy,its garry shandlings show,7.7,1705,TRUE,FALSE,FALSE,FALSE
tt0613194,tt0112022,9,11,A Merry Little Christmas,A Merry Little Christmas,2003,60,"Action,Crime,Drama",a merry little christmas,7.9,141,tvSeries,JAG,JAG,1995,2005,60,"Action,Crime,Drama",jag,6.7,19631,TRUE,FALSE,FALSE,FALSE
tt0613271,tt0112022,5,11,Ghosts of Christmas Past,Ghosts of Christmas Past,1999,60,"Action,Crime,Drama",ghosts of christmas past,7.5,189,tvSeries,JAG,JAG,1995,2005,60,"Action,Crime,Drama",jag,6.7,19631,TRUE,FALSE,FALSE,FALSE
tt0613409,tt0112022,2,9,Washington Holiday,Washington Holiday,1997,NA,"Action,Crime,Drama",washington holiday,7.6,176,tvSeries,JAG,JAG,1995,2005,60,"Action,Crime,Drama",jag,6.7,19631,FALSE,FALSE,FALSE,TRUE
tt0613543,tt0042116,9,8,Christmas Gift Exchange,Christmas Gift Exchange,1958,30,Comedy,christmas gift exchange,8.8,17,tvSeries,The Jack Benny Program,The Jack Benny Program,1950,1965,30,Comedy,the jack benny program,8.6,1602,TRUE,FALSE,FALSE,FALSE
tt0613544,tt0042116,12,10,Christmas Party,Christmas Party,1961,30,Comedy,christmas party,8.2,18,tvSeries,The Jack Benny Program,The Jack Benny Program,1950,1965,30,Comedy,the jack benny program,8.6,1602,TRUE,FALSE,FALSE,FALSE
tt0613545,tt0042116,8,7,Christmas Shopping Show,Christmas Shopping Show,1957,25,Comedy,christmas shopping show,8.8,98,tvSeries,The Jack Benny Program,The Jack Benny Program,1950,1965,30,Comedy,the jack benny program,8.6,1602,TRUE,FALSE,FALSE,FALSE
tt0613546,tt0042116,11,9,Christmas Show,Christmas Show,1960,30,Comedy,christmas show,7.8,41,tvSeries,The Jack Benny Program,The Jack Benny Program,1950,1965,30,Comedy,the jack benny program,8.6,1602,TRUE,FALSE,FALSE,FALSE
tt0613613,tt0042116,5,6,Jack Does Christmas Shopping,Jack Does Christmas Shopping,1954,30,Comedy,jack does christmas shopping,9,73,tvSeries,The Jack Benny Program,The Jack Benny Program,1950,1965,30,Comedy,the jack benny program,8.6,1602,TRUE,FALSE,FALSE,FALSE
tt0613910,tt0259141,3,10,A Jolly J-Team X-Mas,A Jolly J-Team X-Mas,2002,22,"Action,Adventure,Animation",a jolly jteam xmas,7.8,91,tvSeries,Jackie Chan Adventures,Jackie Chan Adventures,2000,2005,30,"Action,Adventure,Animation",jackie chan adventures,7.4,21050,TRUE,FALSE,FALSE,FALSE
tt0614013,tt0044272,NA,NA,The Honeymooners: The Christmas Party,The Honeymooners: The Christmas Party,1953,NA,Comedy,the honeymooners the christmas party,7.7,26,tvSeries,The Jackie Gleason Show,The Jackie Gleason Show,1952,1973,60,Comedy,the jackie gleason show,8.5,507,TRUE,FALSE,FALSE,FALSE
tt0614186,tt0092381,1,11,Have Yourself a Merry Little Christmas,Have Yourself a Merry Little Christmas,1987,NA,"Crime,Drama",have yourself a merry little christmas,7,32,tvSeries,Jake and the Fatman,Jake and the Fatman,1987,1992,120,"Crime,Drama",jake and the fatman,6.4,3160,TRUE,FALSE,FALSE,FALSE
tt0614329,tt0115221,3,10,Christmas Day-Ja Vu,Christmas Day-Ja Vu,1998,23,Comedy,christmas dayja vu,7.9,30,tvSeries,The Jamie Foxx Show,The Jamie Foxx Show,1996,2023,30,Comedy,the jamie foxx show,6.8,3552,TRUE,FALSE,FALSE,FALSE
tt0614746,tt0112025,2,10,"Merry Christmas, Y'All","Merry Christmas, Y'All",1996,22,"Comedy,Family",merry christmas yall,8,10,tvSeries,The Jeff Foxworthy Show,The Jeff Foxworthy Show,1995,1997,30,"Comedy,Family",the jeff foxworthy show,5.6,754,TRUE,FALSE,FALSE,FALSE
tt0614807,tt0072519,7,8,All I Want for Christmas,All I Want for Christmas,1980,30,Comedy,all i want for christmas,7.3,80,tvSeries,The Jeffersons,The Jeffersons,1975,1985,30,Comedy,the jeffersons,7.5,10323,TRUE,FALSE,FALSE,FALSE
tt0614833,tt0072519,10,10,Father Christmas,Father Christmas,1983,25,Comedy,father christmas,7.7,71,tvSeries,The Jeffersons,The Jeffersons,1975,1985,30,Comedy,the jeffersons,7.5,10323,TRUE,FALSE,FALSE,FALSE
tt0614968,tt0072519,3,12,The Christmas Wedding,The Christmas Wedding,1976,25,Comedy,the christmas wedding,7.3,109,tvSeries,The Jeffersons,The Jeffersons,1975,1985,30,Comedy,the jeffersons,7.5,10323,TRUE,FALSE,FALSE,FALSE
tt0615394,tt0156196,2,9,The Christmas Party,The Christmas Party,1999,NA,Comedy,the christmas party,5.6,15,tvSeries,Jesse,Jesse,1998,2000,30,Comedy,jesse,6,1326,TRUE,FALSE,FALSE,FALSE
tt0616274,tt0054552,1,23,Very Warm for Christmas,Very Warm for Christmas,1962,30,Comedy,very warm for christmas,7.9,18,tvSeries,The Joey Bishop Show,The Joey Bishop Show,1961,1965,30,Comedy,the joey bishop show,6.6,351,TRUE,FALSE,FALSE,FALSE
