rcid,session,importantvote,date,unres,amend,para,short,descr
1102,24,0,1969-12-04,R/24/2590,0,0,NEW GUINEA AND PAUPA,TO ADOPT DRAFT RESOL. (A/7895) CALLING UPON THE ADMINISTERING POWER TO TRANSFER FULL EXECUTIVE AND LEGISLATIVE GOVERNMENTAL POWER TO THE ELECTED REPRESENTATIVES OF THE PEOPLES OF NEW GUINEA AND PAPUA; TO ACCELERATE THE EDUCATION AND TECHNICAL A
1103,24,0,1969-12-04,,0,0,DISARMAMENT DECADE,TO ADOPT THE DRAFT RESOLUTION (A/7902) DECLARING THE 1970'S AS A DISARMAMENT DECADE; CALLING UPON ALL GOVERNMENTS TO INTENSIFY THEIR EFFORTS FOR A TREATY ON COMPLETE DISARMAMENT; REQUESTING THE CONFERENCE OF THE COMMITTEE ON DISARMAMENT TO CONT
1104,24,0,1969-12-04,R/24/2603,0,0,"CHEMICAL, BIOLOGICAL WEAPONS",TO ADOPT DRAFT RESOLUTION (A/7890) DECLARING THE USE IN INTERNATIONAL ARMED CONFLICTS OF ANY CHEMICAL OR BIOLOGICAL AGENTS OF WARFARE AS CONTRARY TO GENERALLY RECOGNIZED RULES OF INTERNATIONAL LAW AS EMBODIED IN THE GENEVA PROTOCOL.
1105,24,0,1969-12-04,,0,0,NUCLEAR PROJECTS,"TO ADOPT THE DRAFT RESOLUTION (A/7887) RECOMMENDING THE IAEA AND VARIOUS INTERNATIONAL AND REGIONAL FINANCING INSTITUTIONS TO COOPERATE IN FINANCING MERITORIOUS NUCLEAR PROJECTS, AND REQUESTING THE SECRETARY-GENERAL TO REPORT ON THE PROGRESS IN"
1106,24,0,1969-12-04,,0,0,"NUCLEAR ENERGY, PEACEFUL USES",TO ADOPT THE DRAFT RESOLUTION (A/7887) INVITING THE IAEA TO GIVE THE WIDEST EXCHANGE OF INFORMATION RE THE TECHNOLOGY OF PEACEFUL USES OF NUCLEAR EXPLOSIONS AND REQUESTING THE SECRETARY-GENERAL TO INCLUDE IN THE AGENDA OF THE 25TH REGULAR SESSI
1107,24,0,1969-12-05,,0,0,MAURITIUS,TO ADOPT THE MOTION FOR A PRIORITY OF VOTE ON THE DRAFT RESOLUTION CONCERNING MAURITIUS (A/L. 590).
1108,24,0,1969-12-05,,0,0,COMMEMORATIVE MEDALS,"TO ADOPT THE SAUDI ARABIAN DRAFT RESOL. (A/6. 587/REV. 1) DECIDING THAT COMMEMORATIVE MEDALS BE STRUCK BEARING THE EMBLEM, \PEACE, JUSTICE AND PROGRESS\\ IN HONOR OF THE 25TH ANNIVERSARY OF THE UN; THAT STAMPS WITH THE THEME, \\""PEACE AND PROGRE"""
1109,24,0,1969-12-05,,0,0,BUDGET INCREASES,TO ADOPT DRAFT RESOLUTION (A/7916) REGARDING THE STUDY OF THE NATURE OF THE INCREASES IN THE LEVEL OF EXPENDITURES IN THE UN REGULAR BUDGET.
1110,25,0,1970-09-01,R/25/2668A,0,0,KOREA,"TO ADOPT THE PROPOSAL FOR THE INCLUSION OF SUB-ITEM (C), THE REPORT OF THE UNCURK - IN THE AGENDA (A/8100)."
1111,25,0,1970-09-01,R/25/2668B,0,0,KOREA,"TO RETAIN THE TITLE, \QUESTION OF KOREA\\ (A/8100).\"""""
1112,25,0,1970-10-06,R/25/2621,0,0,"SOUTH AFRICA, RHODESIA, PORTUGAL",TO ADOPT THE DRAFT RESOL. (A/8086) SETTING THE PROGRAM OF ACTION FOR THE FULL IMPLEMENTATION OF THE DECLARATION ON THE GRANTING OF INDEPENDENCE TO COLONIAL COUNTRIES AND PEOPLES.
1113,25,0,1970-10-07,R/25/2624A,0,1,"SOUTH AFRICA, ARMS EMBARGO","TO ADOPT OPERATIVE PARAG. 1 OF DRAFT RESOL. (A/8106) RE APARTHEID, SAID PARAGRAPH CALLING UPON ALL STATES TO TAKE IMMEDIATE STEPS TO IMPLEMENT FULLY THE PROVISIONS OF SECURITY COUNCIL RESOL. 282 (1970) CONCERNING THE STRENGTHENING OF THE ARMS E"
1114,25,0,1970-10-07,R/25/2624B,0,0,APARTHEID,TO ADOPT THE DRAFT RESOL. (A/8106) CALLING UPON ALL STATES TO TAKE IMMEDIATE STEPS TO IMPLEMENT FULLY THE THE PROVISIONS OF SECURITY COUNCIL RESOL. 282 (1970) REGARDING THE STRENGTHENING OF THE ARMS EMBARGO AGAINST SOUTH AFRICA AND REQUESTING T
1115,25,0,1970-10-07,,0,1,"NAMIBIA, RHODESIA, ANGOLA, MOZAMBIQUE, GUINEA","TO ADOPT THE PORTUGUESE PROPOSAL FOR A SEPARATE ROLL CALL VOTE ON THE NEW PARAGRAPH 6 OF THE \DECLARATION ON THE OCCASION OF THE 25TH ANNIVERSARY OF THE UN\\ (A/8103/ADD.2).\"""""
1116,25,0,1970-11-04,R/25/2628A,0,0,MIDDLE EAST,TO ADOPT THE DRAFT RESOL. (A/L. 602/REV. 2 & ADD.1) AFFIRMING THAT ACQUISITION OF TERRITORIES BY FORCE IS INADMISSIBLE; THAT RESPECT FOR THE RIGHTS OF PALESTINIANS IS INDISPENSABLE IN ESTABLISHING PEACE (IN THE MIDDLE EAST); CALLING UPON PARTIE
1117,25,0,1970-11-04,R/25/2628B,0,0,MIDDLE EAST,TO ADOPT THE DRAFT RESOL. (A/L. 604) REQUESTING THE PARTIES CONCERNED (IN THE MIDDLE EAST QUESTION) TO RESUME DISCUSSION WITH THE SECRETARY-GENERAL'S SPECIAL REPRESENTATIVE IN THE MIDDLE EAST; RECOMMENDING SCRUPULOUS OBSERVANCE AND EXTENSION OF
1118,25,0,1970-11-06,R/25/2636,1,1,"SOUTH AFRICA, CREDENTIALS COMMITTEE","TO ADOPT THE AMENDMENT (A/L. 608/REV.1) ADDING THE WORDS, \EXCEPT WITH REGARD TO THE CREDENTIALS OF THE REPRESENTATIVES OF THE GOVERNMENT OF SOUTH AFRICA\\, AT THE END OF DRAFT RESOL. (A/8142, PARA. 19) RE THE CREDENTIALS OF REPRESENTATIVES TO """
1119,25,0,1970-11-06,R/25/2642A,0,0,CHINA REPRESENTATION,"TO ADOPT THE DRAFT RESOL. (A/L.599 & ADD.1) AFFIRMING AGAIN THAT THE VALIDITY OF THE GENERAL ASSEMBLY'S 1961 DECISION THAT ANY PROPOSAL TO CHANGE THE REPRESENTATION OF CHINA IN THE UN IS AN \IMPORTANT QUESTION\\ (AND THEREFORE REQUIRING A 2/3 M"""
1120,25,0,1970-11-06,R/25/2642B,0,0,CHINA REPRESENTATION,"TO ADOPT THE DRAFT RESOL. (A/L.605) DECIDING TO RECOGNIZE THE PEOPLE'S REPUBLIC OF CHINA REPRESENTATIVES AS THE ONLY LAWFUL REPRESENTATIVES OF CHINA TO THE UN, AND TO EXPEL FORTHWITH CHIANG-KAI-SHEK'S REPRESENTATIVES FROM THE UN."
1121,25,0,1970-11-02,R/25/2647,0,0,RACIAL DISCRIMINATION,"TO ADOPT DRAFT RESOL. (A/8163) CONDEMNING ALL FORMS OF RACIAL DISCRIMINATION AND REAFFIRMING INTENTION TO TAKE THE OPPORTUNITY OF \INTERNATIONAL YEAR FOR ACTION TO COMBAT RACISM\\ TO PROMOTE THROUGHOUT THE WORLD SOCIAL JUSTICE BASED ON ABSOLUTE"""
1122,25,0,1970-11-02,R/25/2649,0,1,"PALESTINE, SELF-DETERMINATION","TO RETAIN THE WORDS, \AND PALESTINE\\, IN OPERATIVE PARAG. 5 OF DRAFT RESOL. (A/8163) RE THE IMPORTANCE OF THE UNIVERSAL REALIZATION OF SELF-DETERMINATION.\"""""
1123,25,0,1970-12-07,R/25/2652,0,0,RHODESIA,TO ADOPT THE DRAFT RESOL. (A/8188) CONDEMNING THE UK'S FAILURE TO END THE ILLEGAL REGIME IN SOUTHERN RHODESIA AND THE INTERVENTION OF SOUTH AFRICAN ARMED FORCES IN SOUTHERN RHODESIA AND THE INTERVENTION OF SOUTH AFRICAN ARMED FORCES IN SOUTHERN
1124,25,0,1970-12-04,R/25/2659,0,1,U.N. VOLUNTEERS FOR DEVELOPMENT,TO ADOPT OPERATIVE PARAG. 3 OF DRAFT RESOL. (A/8195) RE A UN CONFERENCE ON HUMAN ENVIRONMENT; SAID PARAGRAPH RECOMMENDS THAT THE PREPARATORY COMMITTEE FOR THE 1972 CONFERENCE CONSIDER FINANCING POSSIBLE ACTION TO ENSURE THAT ADDITIONAL RESOURCE
1125,25,0,1970-12-04,R/25/2660,0,0,"NUCLEAR WEAPONS, SEA-BED",TO ADOPT THE DRAFT RESOL. (A/8198) RECOMMENDING THE TREATY ON PROHIBITION OF EMPLACEMENT OF NUCLEAR WEAPONS AND OTHER WEAPONS OF MASS DESTRUCTION ON THE SEA-BED AND ... IN SUBSOIL THEREOF (TEXT ANNEXED); REQUESTING THE DEPOSITARY GOVERNMENTS TO
1126,25,0,1970-12-04,R/25/2663,0,0,DISARMAMENT,TO ADOPT THE DRAFT RESOL. (A/8198) URGING GOVERNMENTS OF NUCLEAR-WEAPON POWERS TO BRING ABOUT AN IMMEDIATE HALT TO THE NUCLEAR ARMS RACE AND TO CEASE ALL TESTING AND DEPLOYMENT OF NUCLEAR-WEAPON SYSTEMS.
1127,25,0,1970-12-04,R/25/2664,0,0,DISARMAMENT,TO ADOPT THE DRAFT RESOL. (A/8198) URGING THE CONFERENCE OF THE COMMITTEE ON DISARMAMENT (CCD) TO MAKE MORE INTENSIVE EFFORTS TO ACCELERATE ACHIEVEMENT OF MEASURES OF DISARMAMENT AND EXPRESSING APPRECIATION FOR IMPORT AND CONSTRUCTIVE DOCUMENTS
1128,25,0,1970-12-04,R/25/2666,0,0,"DENUCLEARIZATION, LATIN AMERICA",TO ADOPT DRAFT RESOL. (A/8181) REAFFIRMING APPEALS TO THE NUCLEAR-WEAPON STATES TO SIGN AND RATIFY ADDITIONAL PROTOCOL II OF THE TREATY OF TLATELOLCO.
1129,25,0,1970-12-04,R/25/2668C,0,0,KOREA,"TO ADOPT THE DRAFT RESOL. (A/8185) REAFFIRMING UN OBJECTIVES IN KOREA, REQUESTING THE UNCURK TO CONTINUE ITS WORK AND NOTING THAT THE GREATER PART OF UN FORCES HAVE ALREADY WITHDRAWN FROM KOREA."
1130,25,0,1970-12-05,R/25/2669,0,0,INTERNATIONAL WATERCOURSES,"TO ADOPT DRAFT RESOL. (A/8202) RECOMMENDING THAT THE INTERNATIONAL LAW COMMISSION SHOULD, AS A FIRST STEP IN THE CODIFICATION OF RULES OF INTERNATIONAL LAW CONCERNING INTERNATIONAL WATER COURSES, STUDY THE LAW OF NON-NAVIGATIONAL USES OF INTERN"
1131,25,0,1970-12-05,R/25/2671A,0,0,APARTHEID,"TO ADOPT THE ORAL PROPOSAL FOR A PRIORITY VOTE ON THE SOMALI PROPOSAL THAT DRAFT RESOL. C RECOMMENDED FOR ADOPTION X BY THE SPECIAL POLITICAL COMMITTEE (A/8204/ADD.1) COMES WITHIN THE CATEGORY OF \OTHER QUESTIONS\\ AND REQUIRES ONLY A SIMPLE MA"""
1132,25,0,1970-12-05,R/25/2671B,0,0,APARTHEID,"TO ADOPT THE SOMALI PROPOSAL THAT DRAFT RESOL. C RECOMMENDED FOR ADOPTION BY THE SPECIAL POLITICAL COMMITTEE (A/8204/ADD. 1) COMES WITHIN THE CATEGORY OF \OTHER QUESTIONS\\ AND REQUIRES ONLY A SIMPLE MAJORITY FOR ADOPTION.\"""""
1133,25,0,1970-12-05,R/25/2671C,0,0,APARTHEID,TO ADOPT DRAFT RESOL. C (A/8204/ADD. 1) RECOMMENDED BY THE SPECIAL POLITICAL COMMITTEE; DRAFT RESOL. C RECOGNIZES THAT THE PEOPLE OF PALESTINE ARE ENTITLED TO EQUAL RIGHTS AND SELF-DETERMINATION IN ACCORDANCE WITH THE UN CHARTER AND THAT FULL R
1134,25,0,1970-12-05,R/25/2672,0,0,"MIDDLE EAST, REFUGEES",TO ADOPT DRAFT RESOL. D (A/8204/ADD. 1) CONSIDERING THAT THE PLIGHT OF DISPLACED PERSONS CONTINUES IN THE MIDDLE EAST; CALLING ONCE MORE UPON THE GOVERNMENT OF ISRAEL TO IMMEDIATELY TAKE EFFECTIVE STEPS FOR THE RETURN OF THESE DISPLACED PERSONS
1135,25,0,1970-12-05,R/25/2671D,0,0,APARTHEID,TO ADOPT THE DRAFT RESOL (A/8106/ADD.1) REQUESTING THE SECRETARY-GENERAL TO ENSURE THE WIDEST DISSEMINATION OF INFORMATION CONCERNING THE EVILS AND DANGERS OF APARTHEID AND AUTHORIZING THE SECRETARY-GENERAL TO ENCOURAGE AND ASSIST ANTI-APARTHEI
1136,25,0,1970-12-05,R/25/2671E,0,1,"APARTHEID, BANTUSTANS","TO ADOPT OPERATIVE PARAG. 3 OF DRAFT RESOL. (A/8106/ADD.1) RE APARTHEID; SAID PARAGRAPH CONDEMNING THE ESTABLISHMENT BY THE GOVERNMENT OF SOUTH AFRICA OF \BANTUSTANS\\ IN SO-CALLED AFRICAN RESERVES AS FRAUDULENT AND A VIOLATION OF THE PRINCIPLE"""
1137,25,0,1970-12-05,R/25/2671F,0,0,"APARTHEID, BANTUSTANS","TO ADOPT THE DRAFT RESOL. (A/8106/ADD.1) CONDEMNING THE ESTABLISHMENT OF \BANTUSTANS\\ BY THE GOVERNMENT OF SOUTH AFRICA; URGING ALL STATES TO TERMINATE THEIR DIPLOMATIC, MILITARY, ECONOMIC AND OTHER COOPERATION AND TO SUSPEND THEIR CULTURAL, E"""
1138,25,0,1970-12-06,R/25/2677A,0,1,"HUMAN RIGHTS, ARMED CONFLICTS",TO ADOPT PREAMBULAR PARAGRAPHS 7 AND 8 OF DRAFT RESOL. (A/8178) ON RESPECT FOR HUMAN RIGHTS IN ARMED CONFLICTS.
1139,25,0,1970-12-06,R/25/2677B,0,1,"HUMAN RIGHTS, ARMED CONFLICTS","TO ADOPT THE LAST PART OF OPERATIVE PARAG. 3 OF THE DRAFT RESOL. (A/8178) ON RESPECT FOR HUMAN RIGHTS IN ARMED CONFLICTS; THE LAST PART READS: \.... IN SO FAR AS THEY ARE APPLICABLE, IN PARTICULAR, TO WAR CORRESPONDENTS WHO ACCOMPANY ARMED FORC"
1140,25,0,1970-12-06,R/25/2677C,0,1,"HUMAN RIGHTS, ARMED CONFLICTS","TO ADOPT THE FOLLOWING WORDS IN OPERATIVE PARAG. 4 OF THE DRAFT RESOL. (A/8178) ON RESPECT FOR HUMAN RIGHTS IN ARMED CONFLICTS: \...AND PROVIDING, INTER ALIA, FOR THE CREATION OF A UNVIVERSALLY RECOGNIZED AND GUARANTEED IDENTIFICATION DOCUMENT."
1141,25,0,1970-12-06,R/25/2677D,0,1,"HUMAN RIGHTS, ARMED CONFLICTS","TO ADOPT THE FOLLOWING WORDS IN OPERATIVE PARAG. 5 OF THE DRAFT RESOL. (A/8178) ON RESPECT FOR HUMAN INTERNATIONAL AGREEMENT MIGHT BE ADOPTED AS SOON AS POSSIBLE BY THE GENERAL ASSEMBLY OR BY SOME OTHER APPROPRIATE INTERNATIONAL BODY\.\""	0	0	0	1	0	0"
1142,25,0,1970-12-06,R/25/2677E,0,1,"HUMAN RIGHTS, ARMED CONFLICTS","TO ADOPT OPERATIVE PARAG. 6 OF DRAFT RESOL. (A/8178) ON RESPECT FOR HUMAN RIGHTS IN ARMED CONFLICTS; SAID PARAGRAPH REQUESTS THE SECRETARY-GENERAL, IN CONSULTATION WITH THE INTERNATIONAL COMMITTEE OF THE RED CROSS AND OTHER APPROPRIATE INTERNAT"
1143,25,0,1970-12-06,R/25/2673,0,0,"JOURNALISTS, ARMED CONFLICT",TO ADOPT DRAFT RESOL. (A/8178) EXPRESSING GRAVE CONCERN OVER THE FATE OF PRESS CORRESPONDENTS IN AREAS OF ARMED CONFLICT; INVITING PARTIES TO CONFLICT TO RESPECT THE GENEVA CONVENTIONS OF 12 AUG. 1949 AND INVITING THE ECOSOC TO REQUEST THE HUMA
1144,25,0,1970-12-06,,0,0,AGGRESSIVE WARS,TO ADOPT THE DRAFT RESOL. (A/8178) CONDEMNING ACTIONS OF COUNTRIES CONDUCTING AGGRESSIVE WARS IN VIOLATION OF THE UN CHARTER AND THE 1925 GENEVA PROTOCOL AND 1949 GENEVA CONVENTION; RECOGNIZING THE NEED FOR ADDITIONAL INSTRUMENTS FOR THE PROTEC
1145,25,0,1970-12-06,,0,0,PRISONERS OF WAR,TO ADOPT THE DRAFT RESOL. (A/8178) CALLING UPON ALL PARTIES TO ARMED CONFLICTS TO COMPLY WITH 1949 GENEVA CONVENTION REGARDING THE TREATMENT OF PRISONERS-OF-WAR; URGING THAT COMBATANTS NOT COVERED BY ARTICLE 4 OF THE 1949 GENEVA CONVENTION BE A
1146,25,0,1970-12-06,R/25/2678B,0,0,NAMIBIA,"TO ADOPT THE DRAFT RESOL. (A/8186) CONDEMNING THE GOVERNMENT OF SOUTH AFRICA FOR, AND DRAWING THE SECURITY COUNCIL'S ATTENTION TO THE NEED FOR TAKING MEASURES TO DEAL WITH, THAT GOVERNMENT'S PERSISTENT REFUSAL TO WITHDRAW ITS ADMINISTRATION FRO"
1147,25,0,1970-12-06,R/25/2679,0,0,"NAMIBIA, U.N. BUDGET",TO ADOPT THE DRAFT RESOL. (A/8186) DECIDING THAT A COMPREHENSIVE UN FUND FOR NAMIBIA SHOULD BE ESTABLISHED; REQUESTING THE SECRETARY-GENERAL TO MAKE A DETAILED STUDY THEREON AND REPORT TO THE 26TH GENERAL ASSEMBLY SESSION; AUTHORIZING THE SECRE
1148,25,0,1970-12-01,R/25/2692,1,1,"SOVEREIGNTY, NATURAL RESOURCES",TO ADOPT THE AMENDMENT REPLACING PREAMBULAR PARAG. 7 OF THE COMMITTEE 2 DRAFT RESOL. ON PERMANENT SOVEREIGNTY OVER NATURAL RESOURCES BY A NEW TEXT (A/L.620 & ADD.1).
1149,25,0,1970-12-01,,0,0,TRAVEL GRANTS,TO ADOPT DRAFT RESOL. (A/8213) AUTHORIZING THE SECRETARY-GENERAL TO CARRY OUT IN 1971 ACTIVITIES SPECIFIED IN HIS REPORT (A/8103 & CORR.1) AND TO PROVIDE TRAVEL GRANTS TO CERTAIN PARTICIPANTS FROM THE LESS-DEVELOPED COUNTRIES; THANKING GHANA FO
1150,25,0,1970-12-01,,0,0,CHARTER REVIEW,TO ADOPT DRAFT RESOL. (A/8219) REQUESTING THE SECRETARY-GENERAL TO INVITE MEMBER-STATES TO COMMUNICATE THEIR VIEWS AND SUGGESTIONS CONCERNING A REVIEW OF THE UN CHARTER BY 1 JULY 1972 AND FOR THE SECRETARY-GENERAL TO REPORT THEREON TO THE 27TH
1151,25,0,1970-12-04,R/25/2703,0,0,"EXPLOITATION, COLONIAL TERRITORIES","TO ADOPT THE DRAFT RESOL. (A/8243) CONDEMNING THE EXPLOITATION OF COLONIAL TERRITORIES, PARTICULARLY THE CONSTRUCTION OF THE CABORA BASSA PROJECT; REQUESTING ADMINISTERING POWERS TO PUT AN END TO ALL SUCH PRACTICES."
1152,25,0,1970-12-04,R/25/2707,0,0,PORTUGESE TERRITORIES,"TO ADOPT DRAFT RESOL. (A/8187) CONDEMNING PORTUGAL'S COLONIAL POLICY; APPEALING TO ALL STATES, ESPECIALLY THOSE IN NATO, TO WITHHOLD THEIR ASSISTANCE TO PORTUGAL WHICH ENABLES HER TO PURSUE A COLONIAL WAR IN THE TERRITORIES; RECOMMENDING THE SE"
1153,25,0,1970-12-04,R/25/2701A,0,1,"NON SELF GOVERNING TERRITORIES, INFORMATION",TO ADOPT THE MOTION FOR A SEPARATE VOTE ON OPERATIVE PARAG. 4 OF DRAFT RESOL. (A/8241) RE THE TRANSMISSION OF INFORMATION ON NON-SELF-GOVERNING TERRITORIES UNDER CHARTER ARTICLE 73E; SAID PARAGRAPH CONSIDERING THAT THE UK SHOULD CONTINUE TO TRA
1154,25,0,1970-12-04,R/25/2701B,0,0,"NON SELF GOVERNING TERRITORIES, INFORMATION",TO ADOPT DRAFT RESOL. (A/8241) DEPLORING THE FAILURE OF SOME MEMBER STATES TO TRANSMIT PROPERLY THE NECESSARY INFORMATION REQUIRED UNDER CHARTER ARTICLE 73E; CONDEMNING THE GOVERNMENT OF PORTUGAL IN THIS REGARD AND AGAIN URGING ADMINISTERING PO
1155,25,0,1970-12-04,R/25/2704,0,0,"COLONIAL RULE, INDEPENDENCE",TO ADOPT THE DRAFT RESOL. (A/8244) APPEALING FOR FULL COOPERATION TO ACHIEVE UN OBJECTIVES RE THE DECLARATION ON THE GRANTING OF INDEPENDENCE TO COLONIAL COUNTRIES AND PEOPLES; URGING DISCONTINUANCE OF ALL COLLABORATION WITH THE GOVERNMENTS OF
1156,25,0,1970-12-04,R/25/2700,0,0,NEW GUINEA AND PAUPA,"TO ADOPT DRAFT RESOL. (A/8240) CALLING UPON THE ADMINISTERING POWER OF PAPUA AND NEW GUINEA TO PRESCRIBE A SPECIFIC TIME-TABLE FOR THE FREE EXERCISE BY THE PEOPLE OF THESE TERRITORIES OF THEIR RIGHT TO SELF-DETERMINATION AND INDEPENDENCE, AND R"
1157,25,0,1970-12-04,R/25/2702,0,0,"OMAN, SELF-DETERMINATION",TO ADOPT DRAFT RESOL. (A/8242) REAFFIRMING THE INALIENABLE RIGHTS OF THE PEOPLE OF OMAN TO SELF-DETERMINATION; URGING THE UK TO IMPLEMENT FULLY ASSEMBLY RESOL. 1514 (XV) AND OTHER RELEVANT RESOLUTIONS; RECOMMENDING SPECIALIZED AGENCIES AND OTHE
1158,25,0,1970-12-04,R/25/2706,0,0,U.N. EDUCATIONAL AND TRAINING PROGRAM,"TO ADOPT DRAFT RESOL. (A/8228) APPEALING TO ALL STATES TO MAKE GENEROUS CONTRIBUTIONS TO THE UN EDUCATIONAL AND TRAINING PROGRAM FOR SOUTHERN AFRICA, AND REQUESTING THE SECRETARY-GENERAL TO TAKE ALL POSSIBLE MEASURES TO PROMOTE ADEQUATE CONTRIB"
1159,25,0,1970-12-04,,0,0,HIGH COMMISSIONER FOR HUMAN RIGHTS,TO ADOPT THE RECOMMENDATION (A/8231) TO DEFER CONSIDERATION OF THE ITEM RE CREATION OF THE POST OF UN HIGH COMMISSIONER FOR HUMAN RIGHTS TO THE 26TH GENERAL ASSEMBLY SESSION.
1160,25,0,1970-12-04,R/25/2711,0,0,SPANISH SAHARA,TO ADOPT DRAFT RESOL. (A/8248) AGAIN INVITING THE ADMINISTERING POWER CONCERNED TO DETERMINE PROCEDURES FOR HOLDING A REFERENDUM IN THE TERRITORY OF SPANISH SAHARA; INVITING ALL STATES TO REFRAIN FROM MAKING INVESTMENTS IN THE TERRITORY; REQUES
1161,25,0,1970-12-04,R/25/2708A,1,1,"COLONIAL RULE, INDEPENDENCE","TO ADOPT THE AMENDMENT (A/L.622) INSERTING THE WORDS, \AND PEOPLES UNDER ALIEN DOMINATION\\ AFTER THE WORDS \\""COLONIAL PEOPLES\\"", IN OPERATIVE PARAG. 5 OF DRAFT RESOL. (A/L. 621 & ADD. 1 & 2) RE THE DECLARATION ON THE GRANTING OF INDEPENDENCE T"""
1162,25,0,1970-12-04,R/25/2708B,0,0,SELF-DETERMINATION,"TO ADOPT DRAFT RESOL. (A/L.621 & ADD.1 & 2) REAFFIRMING THE LEGITIMACY OF COLONIAL PEOPLES TO EXERCISE THE RIGHT OF SELF-DETERMINATION; URGING ALL STATES, SPECIALIZED AGENCIES AND OTHER ORGANIZATIONS TO ASSIST THE NATIONAL LIBERATION MOVEMENTS"
1163,25,0,1970-12-04,R/25/2708C,0,1,SELF-DETERMINATION,"TO RETAIN THE WORDS, \ANTIGUA, DOMINICA, GRENADA, ST. KITTS-NEVIS-ANGUILLA, ST. LUCIA, ST. VINCENT\\, IN THE TITLE AND PREAMBULAR PARAG. 1 OF DRAFT RESOL. (A/8248) CONCERNING THE TWENTY-FIVE TERRITORIES.\"""""
1164,25,0,1970-12-04,R/25/2709,0,0,"NON SELF GOV. TERRITORIES, MILITARY INSTALLATIONS",TO ADOPT DRAFT RESOL. (A/8248) REITERATING THE DECLARATION AGAINST THE DISRUPTION OF NATIONAL UNITY AND THE ESTABLISHMENT OF MILITARY BASES IN THE 25 TERRITORIES; STRONGLY URGING THAT THE ADMINISTERING POWERS CONCERNED ALLOW UN MISSIONS TO VISI
1165,25,0,1970-12-04,R/25/2710,0,0,CARIBBEAN TERRITORIES,"TO ADOPT THE DRAFT RESOL. (A/8248) NOTING THE CHAPTER OF THE SPECIAL COMMITTEE'S REPORT REGARDING ANTIGUA, DOMINICA, GRENADA, ST. KITTS-NEVIS-ANGUILLA, ST. LUCIA AND ST. VINCENT, AND REQUESTING THE SPECIAL COMMITTEE TO GIVE URGENT CONSIDERATION"
1166,25,0,1970-12-05,R/25/2713A,0,1,RACIAL DISCRIMINATION,"TO RETAIN THE WORD \NEO-NAZI\\ IN PREAMBULAR PARAG. 5 OF DRAFT RESOL. (A/8252 & CORR. 1) RE MEASURES TO BE TAKEN AGAINST NAZISM AND RACIAL INTOLERANCE.\"""""
1167,25,0,1970-12-05,R/25/2713B,1,1,RACIAL DISCRIMINATION,TO ADOPT THE AMENDMENT DELETING OPERATIVE PARAG. 4 OF THE DRAFT RESOL. (A/8252 & CORR. 1) ON MEASURES TO BE TAKEN AGAINST NAZISM AND RACIAL INTOLERANCE; AFORESAID PARAGRAPH REQUESTS THE SECRETARY-GENERAL TO PUBLISH A BROCHURE ON MEASURES TAKE A
1168,25,0,1970-12-05,R/25/2713C,1,1,RACIAL DISCRIMINATION,TO ADOPT THE AMENDMENT DELETING OPERATIVE PARAG. 5 OF THE DRAFT RESOL. (A/8252 & CORR.1) ON MEASURES TO BE TAKEN AGAINST NAZISM AND RACIAL INTOLERANCE; AFORESAID PARAGRAPH REQUESTS THE SECRETARY-GENERAL TO EXPLORE THE POSSIBILITY OF HOLDING IN
1169,25,0,1970-12-05,R/25/2713D,1,1,RACIAL DISCRIMINATION,"TO ADOPT THE AMENDMENT TO DRAFT RESOL. (A/8252 & CORR.1) ON MEASURES TO BE TAKEN AGAINST NAZISM AND RACIAL INTOLERANCE; SAID AMENDMENT REPLACES OPERATIVE PARAGRAPH 6 WITH THE WORDS, \DECIDES TO RETAIN THIS ITEM ON THE AGENDA\\.\"""""
1170,25,0,1970-12-05,R/25/2714A,0,0,HUMAN RIGHTS VIOLATIONS,"TO ADOPT DRAFT RESOL. (A/8173/ADD.1) CONDEMNING GOVERNMENTS OF SOUTH AFRICA, SOUTHERN RHODESIA AND PORTUGAL FOR THEIR INHUMAN TREATMENT OF POLITICAL PRISONERS AND DETAINEES; CONDEMNING GOVERNMENTS STILL MAINTAINING DIPLOMATIC, ECONOMIC, CULTURA"
1171,25,0,1970-12-05,R/25/2727,0,0,"ISRAEL, HUMAN RIGHTS",TO ADOPT THE DRAFT RESOL. (A/8237) CALLING UPON THE GOVERNMENT OF ISRAEL TO IMMEDIATELY IMPLEMENT THE RECOMMENDATIONS OF THE SPECIAL COMMITTEE TO INVESTIGATE ISRAELI PRACTICES RE HUMAN RIGHTS IN OCCUPIED TERRITORIES; TO COMPLY WITH THE 1949 GEN
1172,25,0,1970-12-05,R/25/2725A,0,1,INTERNATIONAL DEVELOPMENT,"TO ADOPT OPERATIVE PARAG. 6 OF DRAFT RESOL. (A/8259) RE THE UNCTAD III, WHICH PARAGRAPH REQUESTS THE TRADE AND DEVELOPMENT BOARD TO CONSIDER, IN THE LIGHT OF THE INTERNATIONAL DEVELOPMENT STRATEGY FOR THE SECOND UN DEVELOPMENT DECADE, ASSEMBLY"
