ParentCoFinal,HDPE,LDPE,O,PET,PP,PS,PVC,Grand Total,number of events,number of volunteers
Thank You,0,3,0,0,0,0,0,3,145,1416
Kaufland,0,0,2,1,0,0,0,3,145,1416
Blenz,0,0,2,1,0,0,0,3,145,1416
The Scotts Company LLC,0,3,0,0,0,0,0,3,145,1416
Truly,0,0,3,0,0,0,0,3,145,1416
Bicycle,0,0,3,0,0,0,0,3,145,1416
USB drive,0,0,3,0,0,0,0,3,145,1416
VSOP Brandy,0,0,3,0,0,0,0,3,145,1416
Vigoro,0,2,0,0,0,0,1,3,145,1416
Lady B water,0,3,0,0,0,0,0,3,145,1416
Run,0,0,0,0,0,3,0,3,145,1416
Shri Disnau Shakti Dham Foods,0,3,0,0,0,0,0,3,145,1416
PENACOVA,0,0,0,3,0,0,0,3,145,1416
Nagaraya,0,3,0,0,0,0,0,3,145,1416
Earth Grow,0,3,0,0,0,0,0,3,145,1416
Niagra,0,0,0,3,0,0,0,3,145,1416
El Real Spaghetti 400gm,0,0,3,0,0,0,0,3,145,1416
Nissin Pancit Canton,0,3,0,0,0,0,0,3,145,1416
Mnt Dew,0,0,1,2,0,0,0,3,145,1416
Mimosa,0,0,2,0,0,1,0,3,145,1416
Nutrisystem,0,0,3,0,0,0,0,3,145,1416
Miller,0,0,3,0,0,0,0,3,145,1416
1839,0,1,2,0,0,0,0,3,145,1416
De Sap water,0,3,0,0,0,0,0,3,145,1416
Dawny 10ml,0,3,0,0,0,0,0,3,145,1416
Dannon,0,0,0,3,0,0,0,3,145,1416
DART,0,1,0,0,0,2,0,3,145,1416
Shapes,0,0,3,0,0,0,0,3,145,1416
Paraclete water,0,0,0,3,0,0,0,3,145,1416
Pauls,0,0,3,0,0,0,0,3,145,1416
Euro shopper,0,0,3,0,0,0,0,3,145,1416
Extra mile,0,0,2,1,0,0,0,3,145,1416
Mamon,0,3,0,0,0,0,0,3,145,1416
Core Power Milk,2,0,0,1,0,0,0,3,145,1416
Choco water,0,0,0,3,0,0,0,3,145,1416
Republic Biscuit Corporation,0,3,0,0,0,0,0,3,145,1416
Chi Exotic,0,0,0,3,0,0,0,3,145,1416
Ballygowen,0,0,0,3,0,0,0,3,145,1416
Long White,0,0,3,0,0,0,0,3,145,1416
Chase,0,0,1,2,0,0,0,3,145,1416
Celocoxib,0,0,3,0,0,0,0,3,145,1416
Jever,0,0,3,0,0,0,0,3,145,1416
ESTRELA,0,0,0,3,0,0,0,3,145,1416
silka,0,0,3,0,0,0,0,3,145,1416
Indomie noodles,0,3,0,0,0,0,0,3,145,1416
vimeiro,0,0,0,3,0,0,0,3,145,1416
Aldi,0,0,1,2,0,0,0,3,145,1416
bandida do pomar,0,0,3,0,0,0,0,3,145,1416
Intercontinental distillers,0,3,0,0,0,0,0,3,145,1416
bread clips,0,0,3,0,0,0,0,3,145,1416
nil,0,0,3,0,0,0,0,3,145,1416
up,0,0,0,3,0,0,0,3,145,1416
avonmore,0,0,3,0,0,0,0,3,145,1416
Aryzta,0,3,0,0,0,0,0,3,145,1416
sumol,0,0,0,3,0,0,0,3,145,1416
Hannaford's,1,1,1,0,0,0,0,3,145,1416
Argus,0,0,3,0,0,0,0,3,145,1416
Hormel Foods Corporation,1,0,0,1,1,0,0,3,145,1416
pabst blue ribbon,0,0,3,0,0,0,0,3,145,1416
woodstock,0,0,3,0,0,0,0,3,145,1416
ventil,0,0,3,0,0,0,0,3,145,1416
çŽ‹è€å‰,0,0,0,2,1,0,0,3,145,1416
Highland Spring,0,0,0,3,0,0,0,3,145,1416
just drink,1,1,0,1,0,0,0,3,145,1416
Ganda,0,0,3,0,0,0,0,3,145,1416
Hipp,0,0,3,0,0,0,0,3,145,1416
YOGGI,3,0,0,0,0,0,0,3,145,1416
hyga,0,0,3,0,0,0,0,3,145,1416
"Home Depot Product Authority, LLC",0,3,0,0,0,0,0,3,145,1416
Cry Baby,0,0,2,0,0,0,0,2,145,1416
no.8,0,0,2,0,0,0,0,2,145,1416
Richoco 52gm,0,0,2,0,0,0,0,2,145,1416
Pepe,0,0,2,0,0,0,0,2,145,1416
Rio,0,0,1,1,0,0,0,2,145,1416
Pingo Doce,0,0,2,0,0,0,0,2,145,1416
organix,0,0,2,0,0,0,0,2,145,1416
Cumberland Packing Corporation,0,0,2,0,0,0,0,2,145,1416
River Rock,0,0,0,2,0,0,0,2,145,1416
pedras,0,0,1,1,0,0,0,2,145,1416
Aldi's,0,0,0,2,0,0,0,2,145,1416
Crispy Fry,0,2,0,0,0,0,0,2,145,1416
Coastal Bay Confections,0,0,2,0,0,0,0,2,145,1416
Cravendale,2,0,0,0,0,0,0,2,145,1416
Chobani,0,0,0,0,2,0,0,2,145,1416
Cowbell milk,0,2,0,0,0,0,0,2,145,1416
Coruja,0,0,2,0,0,0,0,2,145,1416
Revo,0,0,2,0,0,0,0,2,145,1416
American Barley,0,0,2,0,0,0,0,2,145,1416
nice & yummy,0,0,2,0,0,0,0,2,145,1416
Choey Choco,0,2,0,0,0,0,0,2,145,1416
Commercial Electric,0,1,0,0,0,0,1,2,145,1416
"Columbia International Food Products, Inc",0,0,2,0,0,0,0,2,145,1416
Amanhacer,0,0,0,2,0,0,0,2,145,1416
Colombina,0,0,2,0,0,0,0,2,145,1416
Ratsherrn,0,0,2,0,0,0,0,2,145,1416
Parmalat,0,0,2,0,0,0,0,2,145,1416
BP,0,0,0,0,0,2,0,2,145,1416
Aid First envelope,0,0,2,0,0,0,0,2,145,1416
Dithmarschen,0,0,2,0,0,0,0,2,145,1416
Docks match box,0,0,2,0,0,0,0,2,145,1416
Nikolai,0,0,0,2,0,0,0,2,145,1416
xtra,0,0,2,0,0,0,0,2,145,1416
Nike,0,0,2,0,0,0,0,2,145,1416
Abbott Laboratories,1,0,0,0,1,0,0,2,145,1416
Netto,0,0,0,2,0,0,0,2,145,1416
Dolphin Bihon,0,0,2,0,0,0,0,2,145,1416
Donuts,0,0,0,0,0,2,0,2,145,1416
ç´”æ‚…,0,0,0,2,0,0,0,2,145,1416
Dopaco,0,1,0,0,0,1,0,2,145,1416
Dutch Masters,0,0,2,0,0,0,0,2,145,1416
Dynarex,0,0,2,0,0,0,0,2,145,1416
My Essentials,0,0,0,2,0,0,0,2,145,1416
Dynarex antiseptic towel,0,0,2,0,0,0,0,2,145,1416
ç‡Ÿå„ª,0,0,0,2,0,0,0,2,145,1416
whitakers,0,0,2,0,0,0,0,2,145,1416
Disney,0,2,0,0,0,0,0,2,145,1416
Daim,0,0,2,0,0,0,0,2,145,1416
utz,0,0,2,0,0,0,0,2,145,1416
rainbow mints,0,0,2,0,0,0,0,2,145,1416
Pabst Blue RIbbon,0,0,2,0,0,0,0,2,145,1416
Danedar,0,0,2,0,0,0,0,2,145,1416
Dank Vapes,0,1,1,0,0,0,0,2,145,1416
sainsbury's,0,1,1,0,0,0,0,2,145,1416
sandugo,0,0,2,0,0,0,0,2,145,1416
Rome Bidco Ltd,0,0,0,2,0,0,0,2,145,1416
softee,0,2,0,0,0,0,0,2,145,1416
stihl chainsaw,0,0,0,1,1,0,0,2,145,1416
Olde English,0,0,2,0,0,0,0,2,145,1416
Old Trapper,0,0,2,0,0,0,0,2,145,1416
tinsel,0,0,2,0,0,0,0,2,145,1416
Oasis,0,0,0,2,0,0,0,2,145,1416
Delta,0,0,1,0,1,0,0,2,145,1416
Dia,0,0,2,0,0,0,0,2,145,1416
Romanoff,0,0,1,0,1,0,0,2,145,1416
jim beam,0,0,0,2,0,0,0,2,145,1416
Chick Fill A,0,0,2,0,0,0,0,2,145,1416
calypso,0,0,2,0,0,0,0,2,145,1416
BigBang,0,2,0,0,0,0,0,2,145,1416
Birchtree 33gm,0,0,2,0,0,0,0,2,145,1416
The Topps Company,0,0,1,1,0,0,0,2,145,1416
beirÃ£o,0,0,2,0,0,0,0,2,145,1416
Board's Head,0,0,2,0,0,0,0,2,145,1416
bundaberg,0,0,2,0,0,0,0,2,145,1416
Tequila Flavored,0,0,2,0,0,0,0,2,145,1416
Bon Appetit,0,0,2,0,0,0,0,2,145,1416
American blend,0,0,2,0,0,0,0,2,145,1416
chick fill A,0,0,2,0,0,0,0,2,145,1416
choco Chum,0,0,2,0,0,0,0,2,145,1416
Sweetheart,0,1,0,0,0,1,0,2,145,1416
Svedka Vodka,0,0,0,2,0,0,0,2,145,1416
ciroc,0,0,2,0,0,0,0,2,145,1416
coldmint,0,2,0,0,0,0,0,2,145,1416
Mr. Clean,0,2,0,0,0,0,0,2,145,1416
Tobacco House,0,0,2,0,0,0,0,2,145,1416
Too,0,0,0,2,0,0,0,2,145,1416
Toros Taqueria,0,0,2,0,0,0,0,2,145,1416
Trader Joe's,0,0,0,1,1,0,0,2,145,1416
Bachman Chips,0,0,2,0,0,0,0,2,145,1416
Wellsley Farms,0,0,0,2,0,0,0,2,145,1416
YOUR COFFEE,0,0,2,0,0,0,0,2,145,1416
Waste Management,0,0,2,0,0,0,0,2,145,1416
Bar S,0,0,2,0,0,0,0,2,145,1416
Barr,0,0,0,2,0,0,0,2,145,1416
Bazzini,0,0,2,0,0,0,0,2,145,1416
Bear Brand 33gm,0,0,2,0,0,0,0,2,145,1416
Yi Pin Soy Sauce,0,0,1,0,1,0,0,2,145,1416
Velveeta,0,0,2,0,0,0,0,2,145,1416
alcafaz,0,0,0,2,0,0,0,2,145,1416
VITALIS,0,0,0,2,0,0,0,2,145,1416
amanhacer,0,0,2,0,0,0,0,2,145,1416
Beryl’s Chocolate and Confectionery Sdn. Bhd.,0,0,2,0,0,0,0,2,145,1416
Aushin,0,0,2,0,0,0,0,2,145,1416
Brooklyn Lager,0,0,2,0,0,0,0,2,145,1416
Bulmers,0,0,2,0,0,0,0,2,145,1416
compal,0,0,2,0,0,0,0,2,145,1416
Sisters,0,0,2,0,0,0,0,2,145,1416
Caprison,0,2,0,0,0,0,0,2,145,1416
Silka,0,0,2,0,0,0,0,2,145,1416
Signature Farms,0,1,1,0,0,0,0,2,145,1416
Anastasia,0,0,2,0,0,0,0,2,145,1416
Signature,0,0,2,0,0,0,0,2,145,1416
Carling,0,0,2,0,0,0,0,2,145,1416
havaianas,0,0,2,0,0,0,0,2,145,1416
Carrick Glen,0,0,0,2,0,0,0,2,145,1416
SeaRena,0,2,0,0,0,0,0,2,145,1416
Sanicare,0,0,2,0,0,0,0,2,145,1416
Sainsbury's,0,0,0,0,2,0,0,2,145,1416
illy,0,0,2,0,0,0,0,2,145,1416
Babydream,0,0,2,0,0,0,0,2,145,1416
Chewy,0,0,2,0,0,0,0,2,145,1416
lite beer,0,0,2,0,0,0,0,2,145,1416
CapriSun,0,0,2,0,0,0,0,2,145,1416
Skin White,0,0,2,0,0,0,0,2,145,1416
Sun light,0,2,0,0,0,0,0,2,145,1416
Skyns,0,0,2,0,0,0,0,2,145,1416
Sumol,0,0,2,0,0,0,0,2,145,1416
costa,0,0,2,0,0,0,0,2,145,1416
cristaline,0,0,0,2,0,0,0,2,145,1416
Stonyfield,0,0,2,0,0,0,0,2,145,1416
danedar,0,0,2,0,0,0,0,2,145,1416
Applegate,0,0,2,0,0,0,0,2,145,1416
Sqwincher Sqweeze,0,0,2,0,0,0,0,2,145,1416
Spinx,0,0,0,0,0,2,0,2,145,1416
don simon,0,0,0,2,0,0,0,2,145,1416
Special Mamon,0,2,0,0,0,0,0,2,145,1416
CandyMan Inc.,0,2,0,0,0,0,0,2,145,1416
Capri Sun Group Holding,0,0,0,2,0,0,0,2,145,1416
edeka,0,0,1,0,1,0,0,2,145,1416
Small Victory Cafe,0,0,1,0,1,0,0,2,145,1416
eristoff,0,0,2,0,0,0,0,2,145,1416
Guava Classic series,0,0,2,0,0,0,0,2,145,1416
Mi Pod,0,1,1,0,0,0,0,2,145,1416
Kefir,0,0,2,0,0,0,0,2,145,1416
Mixery,0,0,2,0,0,0,0,2,145,1416
Jimmy Deen,0,0,2,0,0,0,0,2,145,1416
John Player Special,0,0,2,0,0,0,0,2,145,1416
Fosters,0,0,2,0,0,0,0,2,145,1416
Extreme,0,0,2,0,0,0,0,2,145,1416
Heartland Consumer Products,0,0,2,0,0,0,0,2,145,1416
Estrela,0,0,0,0,1,1,0,2,145,1416
Mark Anthony International,0,0,2,0,0,0,0,2,145,1416
Health Canada,0,0,2,0,0,0,0,2,145,1416
Hasbro,0,0,2,0,0,0,0,2,145,1416
Marshmallow,0,2,0,0,0,0,0,2,145,1416
Jumbo,2,0,0,0,0,0,0,2,145,1416
Masters Energy water,0,0,0,2,0,0,0,2,145,1416
Materne GoGo Squeez,0,0,2,0,0,0,0,2,145,1416
Enlightened,0,0,2,0,0,0,0,2,145,1416
L&D,0,0,2,0,0,0,0,2,145,1416
JÃ¤germeister,0,0,2,0,0,0,0,2,145,1416
KP Crisps,0,0,2,0,0,0,0,2,145,1416
Millville,0,0,2,0,0,0,0,2,145,1416
Hannaford,0,2,0,0,0,0,0,2,145,1416
Family Dollar,0,2,0,0,0,0,0,2,145,1416
Lampien,0,0,2,0,0,0,0,2,145,1416
Magic Chew,0,2,0,0,0,0,0,2,145,1416
Honey Stinger,0,0,2,0,0,0,0,2,145,1416
JAB Holding Company,0,1,0,0,0,1,0,2,145,1416
In-N-Out,0,0,2,0,0,0,0,2,145,1416
First Street,0,0,0,2,0,0,0,2,145,1416
Icehouse,0,0,0,2,0,0,0,2,145,1416
Lutti,2,0,0,0,0,0,0,2,145,1416
Golden Bowl,0,0,2,0,0,0,0,2,145,1416
Hung Fook Tong Group,0,0,0,0,2,0,0,2,145,1416
Funyuns,0,1,1,0,0,0,0,2,145,1416
Honest kids,0,0,2,0,0,0,0,2,145,1416
Magic Bucks,0,2,0,0,0,0,0,2,145,1416
Jack Links (Pepperami),0,0,0,0,2,0,0,2,145,1416
Funky 25gm,0,0,2,0,0,0,0,2,145,1416
Lemon Square,0,0,2,0,0,0,0,2,145,1416
Made Good,0,0,2,0,0,0,0,2,145,1416
Home Depot,0,1,1,0,0,0,0,2,145,1416
Holsten,0,0,2,0,0,0,0,2,145,1416
Lays Chips,0,2,0,0,0,0,0,2,145,1416
Fruit Shoot,0,0,0,2,0,0,0,2,145,1416
Miracle Noodle,0,0,2,0,0,0,0,2,145,1416
J.M. Smuckers,0,1,0,1,0,0,0,2,145,1416
Kong Strong,0,0,2,0,0,0,0,2,145,1416
Green Mountain Coffee,0,0,0,2,0,0,0,2,145,1416
Koffee Cup Bakery,0,0,2,0,0,0,0,2,145,1416
Monginis,0,0,2,0,0,0,0,2,145,1416
Katjes,0,0,0,2,0,0,0,2,145,1416
Gurley's,0,0,2,0,0,0,0,2,145,1416
Morinaga & Company,0,0,2,0,0,0,0,2,145,1416
HP,0,0,1,1,0,0,0,2,145,1416
Klaustaler,0,0,2,0,0,0,0,2,145,1416
Kopiko 78 Â°C,0,0,2,0,0,0,0,2,145,1416
Greggs,0,0,0,2,0,0,0,2,145,1416
Freiberger,0,0,2,0,0,0,0,2,145,1416
Monarch lemon juice,0,0,2,0,0,0,0,2,145,1416
Mr. Chef,0,2,0,0,0,0,0,2,145,1416
Morning Fresh,0,0,0,2,0,0,0,2,145,1416
Kind,0,0,2,0,0,0,0,2,145,1416
Kabir's Bakery,0,0,2,0,0,0,0,2,145,1416
Kinder pinguin,0,0,2,0,0,0,0,2,145,1416
Bait tech,0,0,1,0,0,0,0,1,145,1416
The Sazerac Company,0,0,0,1,0,0,0,1,145,1416
Yari Ka,0,1,0,0,0,0,0,1,145,1416
Bang,0,0,1,0,0,0,0,1,145,1416
Black and mild,0,0,1,0,0,0,0,1,145,1416
BFY,0,0,1,0,0,0,0,1,145,1416
Black Ice,0,0,1,0,0,0,0,1,145,1416
BFY Snacks,0,0,1,0,0,0,0,1,145,1416
Bandida do Pomar,0,0,1,0,0,0,0,1,145,1416
Yacult,0,0,0,1,0,0,0,1,145,1416
Kari-Out Co.,0,0,1,0,0,0,0,1,145,1416
Japan Tobacco International,0,0,1,0,0,0,0,1,145,1416
Fremantle,0,0,1,0,0,0,0,1,145,1416
Backwoods Cigar's,0,1,0,0,0,0,0,1,145,1416
Ballantines,0,0,1,0,0,0,0,1,145,1416
Wunderbar,0,0,1,0,0,0,0,1,145,1416
BKC Dog,0,0,1,0,0,0,0,1,145,1416
Full protrein,0,0,1,0,0,0,0,1,145,1416
Yogurt land,0,0,1,0,0,0,0,1,145,1416
Bakenets,0,0,1,0,0,0,0,1,145,1416
Wiener FeinbÃ¤cker,0,0,1,0,0,0,0,1,145,1416
Woodgate,0,0,1,0,0,0,0,1,145,1416
Baby mum mum,0,0,1,0,0,0,0,1,145,1416
Jack's surfboards,0,0,1,0,0,0,0,1,145,1416
Jameson,0,0,1,0,0,0,0,1,145,1416
GKC Dog,0,0,1,0,0,0,0,1,145,1416
Fridge raiders,0,0,1,0,0,0,0,1,145,1416
Yum yum,0,0,1,0,0,0,0,1,145,1416
Zywiec,0,0,1,0,0,0,0,1,145,1416
auto zone rewards card,0,0,1,0,0,0,0,1,145,1416
australian gold,1,0,0,0,0,0,0,1,145,1416
auchan,0,0,0,1,0,0,0,1,145,1416
artiach,0,0,1,0,0,0,0,1,145,1416
Keeblers,0,1,0,0,0,0,0,1,145,1416
aptonia,0,0,0,1,0,0,0,1,145,1416
anis,0,0,1,0,0,0,0,1,145,1416
angry orchard,0,0,1,0,0,0,0,1,145,1416
Aviionbacarxi,0,0,1,0,0,0,0,1,145,1416
Gamesa,0,0,1,0,0,0,0,1,145,1416
alteza,0,0,0,1,0,0,0,1,145,1416
almonds,0,0,1,0,0,0,0,1,145,1416
Gallo Family,0,0,1,0,0,0,0,1,145,1416
alardo,0,0,0,1,0,0,0,1,145,1416
Zooper Dooper,0,0,1,0,0,0,0,1,145,1416
B&G Foods,0,0,1,0,0,0,0,1,145,1416
Aviva crackers,0,0,1,0,0,0,0,1,145,1416
Kean coffee,0,0,0,0,0,1,0,1,145,1416
The Clorox Group,0,0,1,0,0,0,0,1,145,1416
ZigZag's,0,0,1,0,0,0,0,1,145,1416
Blue bunny,0,0,1,0,0,0,0,1,145,1416
ZigZag Snacks,0,0,1,0,0,0,0,1,145,1416
Ayran,0,0,0,1,0,0,0,1,145,1416
Zaxby's,0,1,0,0,0,0,0,1,145,1416
Zapps Potato Chips,0,0,1,0,0,0,0,1,145,1416
Zapp's Potato Chips,0,0,1,0,0,0,0,1,145,1416
Zalando,0,0,1,0,0,0,0,1,145,1416
Wedco,0,0,1,0,0,0,0,1,145,1416
"Yummy Earth, Inc.",0,0,1,0,0,0,0,1,145,1416
Yummy,0,0,1,0,0,0,0,1,145,1416
Fulfill,0,0,1,0,0,0,0,1,145,1416
Warheads Candy,0,0,1,0,0,0,0,1,145,1416
Black Forest Snacks,0,0,1,0,0,0,0,1,145,1416
Webcol Coviden,0,0,1,0,0,0,0,1,145,1416
Up & up,0,0,1,0,0,0,0,1,145,1416
Belo,1,0,0,0,0,0,0,1,145,1416
Tina's,0,0,1,0,0,0,0,1,145,1416
Benson and Hedges,0,0,1,0,0,0,0,1,145,1416
Berentsen,1,0,0,0,0,0,0,1,145,1416
Kanelia,0,0,1,0,0,0,0,1,145,1416
Berliner Kindel,0,0,1,0,0,0,0,1,145,1416
Ultra,0,0,1,0,0,0,0,1,145,1416
Fritito,0,1,0,0,0,0,0,1,145,1416
Twister,0,0,1,0,0,0,0,1,145,1416
Tipperary Water,0,0,0,1,0,0,0,1,145,1416
Better Homes and Gardens,0,1,0,0,0,0,0,1,145,1416
Twisted,0,0,1,0,0,0,0,1,145,1416
Tulip,0,0,1,0,0,0,0,1,145,1416
Tuff,0,0,1,0,0,0,0,1,145,1416
Titus Sardin,0,0,0,1,0,0,0,1,145,1416
Just water,0,0,1,0,0,0,0,1,145,1416
Bifon,0,0,1,0,0,0,0,1,145,1416
Tuaman Playing Card case,0,0,1,0,0,0,0,1,145,1416
Frijj,0,0,1,0,0,0,0,1,145,1416
Trader Joeâ€™s,0,0,1,0,0,0,0,1,145,1416
Trader Joes,0,0,0,0,0,1,0,1,145,1416
Toyota,0,0,1,0,0,0,0,1,145,1416
Toyo Suisan,0,0,0,0,0,1,0,1,145,1416
Tower Misua,0,0,1,0,0,0,0,1,145,1416
Total,0,0,1,0,0,0,0,1,145,1416
Tosi,0,0,1,0,0,0,0,1,145,1416
Big Win,0,0,0,1,0,0,0,1,145,1416
French fries,0,0,1,0,0,0,0,1,145,1416
Ur-Kostitzer,0,0,1,0,0,0,0,1,145,1416
Time,0,0,1,0,0,0,0,1,145,1416
Julie's Organic,0,1,0,0,0,0,0,1,145,1416
WATT Energy Drink LLC,0,0,0,1,0,0,0,1,145,1416
Jhonson's Baby Powder,1,0,0,0,0,0,0,1,145,1416
Black Forest,0,0,1,0,0,0,0,1,145,1416
Warsteiner,0,0,1,0,0,0,0,1,145,1416
Big Lots,0,1,0,0,0,0,0,1,145,1416
Barato,0,0,1,0,0,0,0,1,145,1416
Wahoos,0,0,0,0,1,0,0,1,145,1416
Think!,0,0,0,0,1,0,0,1,145,1416
WMF Camden,0,0,1,0,0,0,0,1,145,1416
Thomas Farms,1,0,0,0,0,0,0,1,145,1416
Thomas Foods,1,0,0,0,0,0,0,1,145,1416
Barefoot,0,0,0,1,0,0,0,1,145,1416
Biscoteria,0,0,0,1,0,0,0,1,145,1416
WIlson,0,0,1,0,0,0,0,1,145,1416
Barnstormer,0,0,1,0,0,0,0,1,145,1416
Jules Organic,0,0,1,0,0,0,0,1,145,1416
Vuse,0,0,1,0,0,0,0,1,145,1416
John Player,0,0,1,0,0,0,0,1,145,1416
Vivat,0,0,0,1,0,0,0,1,145,1416
Vitamix Labs,0,0,1,0,0,0,0,1,145,1416
Bee's Candy,0,0,1,0,0,0,0,1,145,1416
Visa,0,0,1,0,0,0,0,1,145,1416
Vimto,0,0,1,0,0,0,0,1,145,1416
aviva crackers,0,0,1,0,0,0,0,1,145,1416
Fritz Kola,0,0,1,0,0,0,0,1,145,1416
Venhl,0,0,1,0,0,0,0,1,145,1416
Kanto Boys,0,1,0,0,0,0,0,1,145,1416
Vendange wine,0,0,0,0,0,1,0,1,145,1416
Fritt,0,0,0,1,0,0,0,1,145,1416
Beiersdorf Global AG,0,1,0,0,0,0,0,1,145,1416
MrChok,0,0,0,1,0,0,0,1,145,1416
b!,0,0,1,0,0,0,0,1,145,1416
popcorners,0,0,1,0,0,0,0,1,145,1416
Grabba Leaf,0,0,1,0,0,0,0,1,145,1416
Great Northern,0,0,1,0,0,0,0,1,145,1416
Agus,0,0,1,0,0,0,0,1,145,1416
roses,0,0,1,0,0,0,0,1,145,1416
Grecian Formula,1,0,0,0,0,0,0,1,145,1416
Grecian Forumla,0,0,1,0,0,0,0,1,145,1416
santal,0,0,1,0,0,0,0,1,145,1416
Adirondack Bev Co.,0,0,0,1,0,0,0,1,145,1416
Adidas,0,0,1,0,0,0,0,1,145,1416
serrana,0,0,0,1,0,0,0,1,145,1416
sesame snaps,0,0,1,0,0,0,0,1,145,1416
shepps,1,0,0,0,0,0,0,1,145,1416
Hanuta,0,0,1,0,0,0,0,1,145,1416
Acqua Pana,0,0,0,1,0,0,0,1,145,1416
Hannaford (milk),1,0,0,0,0,0,0,1,145,1416
Alasia,1,0,0,0,0,0,0,1,145,1416
Gorrila Glue,0,0,1,0,0,0,0,1,145,1416
sonic,0,0,1,0,0,0,0,1,145,1416
planet organic,0,1,0,0,0,0,0,1,145,1416
Amcor,1,0,0,0,0,0,0,1,145,1416
muirheads,1,0,0,0,0,0,0,1,145,1416
Herr's Chips,0,0,1,0,0,0,0,1,145,1416
nice & natural,0,0,1,0,0,0,0,1,145,1416
Herr Food's,0,0,1,0,0,0,0,1,145,1416
Herb,0,0,1,0,0,0,0,1,145,1416
Hell,0,0,1,0,0,0,0,1,145,1416
o.p.m.s.,0,0,1,0,0,0,0,1,145,1416
Alta dela,0,0,0,1,0,0,0,1,145,1416
Gorilla Glue,0,1,0,0,0,0,0,1,145,1416
panda,0,0,1,0,0,0,0,1,145,1416
paracetemol,0,0,0,0,1,0,0,1,145,1416
peanut chews,0,0,1,0,0,0,0,1,145,1416
Alpro,0,0,1,0,0,0,0,1,145,1416
petco,0,0,1,0,0,0,0,1,145,1416
somersby,0,0,1,0,0,0,0,1,145,1416
soy sauce container,0,0,1,0,0,0,0,1,145,1416
b&m,0,0,1,0,0,0,0,1,145,1416
Gutshaus,0,0,1,0,0,0,0,1,145,1416
Gut und gÃ¼nstig,0,0,0,1,0,0,0,1,145,1416
yorkie,0,0,1,0,0,0,0,1,145,1416
zig zag,0,0,1,0,0,0,0,1,145,1416
"Ð¢ÐžÐ’ ""ÐÐ°Ð¿Ð¾Ñ— Ð¿Ð»ÑŽÑ""",0,0,1,0,0,0,0,1,145,1416
ç¢§æ¡‚åœ’,0,0,0,1,0,0,0,1,145,1416
Gusto Caffe,0,0,1,0,0,0,0,1,145,1416
çµ±ä¸€,0,0,0,1,0,0,0,1,145,1416
ALMONDS,0,0,1,0,0,0,0,1,145,1416
Guidos milk carton,0,0,1,0,0,0,0,1,145,1416
ç‡Ÿé¤Šå¿«ç·š,0,0,0,1,0,0,0,1,145,1416
2T,1,0,0,0,0,0,0,1,145,1416
è’™ç‰›,0,0,0,1,0,0,0,1,145,1416
Guidas milk carton,0,0,1,0,0,0,0,1,145,1416
é’å¨,0,0,0,1,0,0,0,1,145,1416
é’èŠè€é…’,0,0,0,1,0,0,0,1,145,1416
yo yo bear,0,0,1,0,0,0,0,1,145,1416
HB,0,0,1,0,0,0,0,1,145,1416
squish,0,0,1,0,0,0,0,1,145,1416
Grupo modelo,0,0,1,0,0,0,0,1,145,1416
strandlaken,0,1,0,0,0,0,0,1,145,1416
Green Gourmet,0,0,1,0,0,0,0,1,145,1416
t & t,0,0,1,0,0,0,0,1,145,1416
tates,0,0,1,0,0,0,0,1,145,1416
tesco,0,1,0,0,0,0,0,1,145,1416
trojan,0,0,1,0,0,0,0,1,145,1416
twister,0,1,0,0,0,0,0,1,145,1416
Gristedes,0,1,0,0,0,0,0,1,145,1416
vegware,0,0,1,0,0,0,0,1,145,1416
vidal,0,0,0,1,0,0,0,1,145,1416
HOP,0,0,1,0,0,0,0,1,145,1416
Absolut,0,0,1,0,0,0,0,1,145,1416
vocera,0,0,1,0,0,0,0,1,145,1416
waitrose,0,0,1,0,0,0,0,1,145,1416
warheads,0,0,1,0,0,0,0,1,145,1416
mobil,1,0,0,0,0,0,0,1,145,1416
mintai,1,0,0,0,0,0,0,1,145,1416
Gordons Gin,0,0,1,0,0,0,0,1,145,1416
Art Bomb,0,0,1,0,0,0,0,1,145,1416
Hustinetten,0,0,1,0,0,0,0,1,145,1416
Goldkrone,0,0,1,0,0,0,0,1,145,1416
Arabian Delights,0,0,1,0,0,0,0,1,145,1416
Hovis,0,0,1,0,0,0,0,1,145,1416
Hot off the grill,0,0,1,0,0,0,0,1,145,1416
crunchie,0,0,1,0,0,0,0,1,145,1416
Hot Hands hand warmers,0,0,0,0,1,0,0,1,145,1416
del taco,1,0,0,0,0,0,0,1,145,1416
dfhgjhg,0,0,1,0,0,0,0,1,145,1416
Hot Hands Hand Warmers,0,0,1,0,0,0,0,1,145,1416
GolÃŸener Spreewaldhof,0,0,0,1,0,0,0,1,145,1416
Annie Candy Manufacturing,0,1,0,0,0,0,0,1,145,1416
Anlene,0,0,1,0,0,0,0,1,145,1416
egyptian cotton,0,0,1,0,0,0,0,1,145,1416
elixyr,0,0,1,0,0,0,0,1,145,1416
cofresh,0,1,0,0,0,0,0,1,145,1416
chuck it,0,0,1,0,0,0,0,1,145,1416
milk bottles by sainsbury's,0,1,0,0,0,0,0,1,145,1416
GlacÃ©au Vitaminwater,0,0,0,1,0,0,0,1,145,1416
August TÃ¶pfer,0,1,0,0,0,0,0,1,145,1416
