x,qx,lx,dx,Lx,Tx,ex,sex,year
29,0.00206,83609,172,83523,3656693,43.74,M,1920
30,0.00213,83437,178,83348,3573169,42.82,M,1920
31,0.00222,83259,185,83167,3489821,41.92,M,1920
32,0.00227,83074,189,82980,3406655,41.01,M,1920
33,0.00232,82886,193,82789,3323675,40.1,M,1920
34,0.0023,82693,190,82598,3240886,39.19,M,1920
35,0.00243,82503,200,82403,3158288,38.28,M,1920
36,0.00256,82303,210,82198,3075885,37.37,M,1920
37,0.00288,82093,236,81975,2993687,36.47,M,1920
38,0.00311,81857,254,81729,2911712,35.57,M,1920
39,0.00337,81602,275,81465,2829983,34.68,M,1920
40,0.00375,81327,305,81175,2748518,33.8,M,1920
41,0.00411,81022,333,80856,2667343,32.92,M,1920
42,0.00451,80689,364,80507,2586488,32.05,M,1920
43,0.00501,80325,402,80124,2505981,31.2,M,1920
44,0.00557,79923,445,79700,2425856,30.35,M,1920
45,0.00608,79478,483,79236,2346156,29.52,M,1920
46,0.00681,78994,538,78725,2266920,28.7,M,1920
47,0.00746,78456,585,78164,2188195,27.89,M,1920
48,0.00842,77871,656,77543,2110031,27.1,M,1920
49,0.00904,77216,698,76867,2032487,26.32,M,1920
50,0.00972,76518,744,76146,1955620,25.56,M,1920
51,0.01033,75774,783,75383,1879474,24.8,M,1920
52,0.01125,74991,844,74570,1804091,24.06,M,1920
53,0.01196,74148,887,73704,1729522,23.33,M,1920
54,0.01272,73261,932,72795,1655818,22.6,M,1920
55,0.0134,72329,969,71844,1583023,21.89,M,1920
56,0.01422,71359,1015,70852,1511179,21.18,M,1920
57,0.01495,70344,1052,69819,1440327,20.48,M,1920
58,0.01598,69293,1107,68739,1370508,19.78,M,1920
59,0.01702,68186,1160,67606,1301769,19.09,M,1920
60,0.01844,67025,1236,66408,1234163,18.41,M,1920
61,0.01955,65790,1286,65147,1167756,17.75,M,1920
62,0.0209,64504,1348,63829,1102609,17.09,M,1920
63,0.02277,63155,1438,62436,1038780,16.45,M,1920
64,0.02459,61717,1517,60959,976344,15.82,M,1920
65,0.02656,60200,1599,59401,915385,15.21,M,1920
66,0.02839,58601,1664,57769,855984,14.61,M,1920
67,0.03025,56937,1723,56076,798215,14.02,M,1920
68,0.03234,55215,1785,54322,742139,13.44,M,1920
69,0.03397,53429,1815,52522,687817,12.87,M,1920
70,0.03617,51615,1867,50681,635295,12.31,M,1920
71,0.03867,49748,1924,48786,584613,11.75,M,1920
72,0.04202,47824,2010,46819,535828,11.2,M,1920
73,0.0459,45814,2103,44763,489008,10.67,M,1920
74,0.04795,43712,2096,42664,444245,10.16,M,1920
75,0.05184,41616,2157,40537,401581,9.65,M,1920
76,0.05578,39459,2201,38358,361044,9.15,M,1920
77,0.05989,37258,2231,36142,322686,8.66,M,1920
78,0.06478,35026,2269,33892,286544,8.18,M,1920
79,0.07083,32757,2320,31597,252652,7.71,M,1920
80,0.07576,30437,2306,29284,221055,7.26,M,1920
81,0.08171,28131,2298,26982,191771,6.82,M,1920
82,0.09118,25832,2355,24655,164790,6.38,M,1920
83,0.09965,23477,2339,22307,140135,5.97,M,1920
84,0.10968,21138,2318,19979,117827,5.57,M,1920
85,0.12086,18819,2275,17682,97849,5.2,M,1920
86,0.13313,16545,2203,15443,80167,4.85,M,1920
87,0.1465,14342,2101,13292,64723,4.51,M,1920
88,0.16098,12241,1971,11256,51432,4.2,M,1920
89,0.17651,10270,1813,9364,40176,3.91,M,1920
90,0.19307,8458,1633,7641,30812,3.64,M,1920
91,0.21059,6825,1437,6106,23171,3.4,M,1920
92,0.22904,5388,1234,4771,17065,3.17,M,1920
93,0.24838,4154,1032,3638,12294,2.96,M,1920
94,0.26858,3122,838,2703,8656,2.77,M,1920
95,0.28845,2283,659,1954,5954,2.61,M,1920
96,0.30765,1625,500,1375,4000,2.46,M,1920
97,0.32584,1125,367,942,2625,2.33,M,1920
98,0.34266,758,260,628,1683,2.22,M,1920
99,0.35777,499,178,409,1055,2.12,M,1920
100,0.37351,320,120,260,645,2.02,M,1920
101,0.3899,201,78,161,385,1.92,M,1920
102,0.40699,122,50,97,224,1.83,M,1920
103,0.42481,73,31,57,126,1.74,M,1920
104,0.4434,42,19,32,69,1.65,M,1920
105,0.46279,23,11,18,36,1.57,M,1920
106,0.48302,12,6,9,19,1.49,M,1920
107,0.50413,6,3,5,9,1.41,M,1920
108,0.52617,3,2,2,4,1.34,M,1920
109,0.54913,2,1,1,2,1.26,M,1920
110,0.5731,1,0,0,1,1.2,M,1920
111,0.59814,0,0,0,0,1.13,M,1920
112,0.62429,0,0,0,0,1.06,M,1920
113,0.65158,0,0,0,0,1,M,1920
114,0.6801,0,0,0,0,0.94,M,1920
115,0.70987,0,0,0,0,0.89,M,1920
116,0.74096,0,0,0,0,0.83,M,1920
117,0.77342,0,0,0,0,0.78,M,1920
118,0.80734,0,0,0,0,0.73,M,1920
119,0.84276,0,0,0,0,0.68,M,1920
0,0.06773,100000,6773,94964,6922257,69.22,F,1920
1,0.01418,93227,1322,92566,6827293,73.23,F,1920
2,0.0065,91905,597,91606,6734727,73.28,F,1920
3,0.00521,91308,476,91070,6643121,72.76,F,1920
4,0.0035,90832,318,90673,6552051,72.13,F,1920
5,0.00267,90514,242,90393,6461378,71.39,F,1920
6,0.00225,90272,203,90171,6370985,70.58,F,1920
7,0.00178,90069,160,89989,6280814,69.73,F,1920
8,0.00156,89909,140,89839,6190825,68.86,F,1920
9,0.00134,89769,120,89709,6100986,67.96,F,1920
10,0.00116,89649,104,89597,6011277,67.05,F,1920
11,0.00117,89545,105,89492,5921680,66.13,F,1920
12,0.00116,89440,104,89388,5832188,65.21,F,1920
13,0.00124,89336,111,89280,5742800,64.28,F,1920
14,0.00143,89225,128,89161,5653519,63.36,F,1920
15,0.00161,89097,144,89026,5564358,62.45,F,1920
16,0.00187,88954,167,88871,5475332,61.55,F,1920
17,0.00195,88787,173,88701,5386462,60.67,F,1920
18,0.00191,88614,169,88530,5297761,59.78,F,1920
19,0.00187,88446,166,88363,5209231,58.9,F,1920
20,0.00191,88280,168,88196,5120868,58.01,F,1920
21,0.00192,88112,169,88027,5032672,57.12,F,1920
22,0.0019,87943,167,87859,4944645,56.23,F,1920
23,0.0019,87776,167,87692,4856786,55.33,F,1920
24,0.00182,87609,159,87530,4769093,54.44,F,1920
25,0.00171,87450,149,87375,4681564,53.53,F,1920
26,0.00163,87301,142,87230,4594188,52.62,F,1920
27,0.00156,87159,136,87091,4506959,51.71,F,1920
28,0.00145,87023,126,86960,4419868,50.79,F,1920
29,0.00142,86897,124,86835,4332909,49.86,F,1920
30,0.00143,86773,124,86711,4246074,48.93,F,1920
31,0.00146,86649,126,86586,4159363,48,F,1920
32,0.00148,86523,128,86459,4072777,47.07,F,1920
33,0.00149,86395,129,86330,3986318,46.14,F,1920
34,0.00149,86266,129,86202,3899988,45.21,F,1920
35,0.00158,86137,136,86069,3813786,44.28,F,1920
36,0.00166,86001,143,85930,3727717,43.34,F,1920
37,0.00188,85858,161,85778,3641787,42.42,F,1920
38,0.00196,85697,168,85614,3556009,41.49,F,1920
39,0.00208,85530,178,85441,3470396,40.58,F,1920
40,0.00235,85351,200,85251,3384955,39.66,F,1920
41,0.00246,85151,209,85046,3299704,38.75,F,1920
42,0.00273,84942,232,84826,3214657,37.85,F,1920
43,0.00301,84710,255,84582,3129832,36.95,F,1920
44,0.00324,84454,274,84317,3045250,36.06,F,1920
45,0.00359,84180,302,84029,2960933,35.17,F,1920
46,0.00393,83878,329,83714,2876903,34.3,F,1920
47,0.00422,83549,352,83373,2793190,33.43,F,1920
48,0.00467,83197,389,83002,2709817,32.57,F,1920
49,0.00487,82808,403,82606,2626815,31.72,F,1920
50,0.00528,82405,435,82187,2544209,30.87,F,1920
51,0.00556,81969,456,81741,2462022,30.04,F,1920
52,0.00577,81514,471,81278,2380280,29.2,F,1920
53,0.00624,81043,506,80790,2299002,28.37,F,1920
54,0.00652,80537,525,80275,2218212,27.54,F,1920
55,0.00686,80012,549,79738,2137937,26.72,F,1920
56,0.00726,79463,577,79175,2058199,25.9,F,1920
57,0.0076,78887,599,78587,1979024,25.09,F,1920
58,0.00813,78287,637,77969,1900438,24.28,F,1920
59,0.00862,77651,670,77316,1822469,23.47,F,1920
60,0.00954,76981,735,76614,1745153,22.67,F,1920
61,0.0103,76247,785,75854,1668539,21.88,F,1920
62,0.01112,75462,839,75042,1592685,21.11,F,1920
63,0.01218,74622,909,74168,1517643,20.34,F,1920
64,0.01314,73713,968,73229,1443475,19.58,F,1920
65,0.01423,72745,1035,72227,1370246,18.84,F,1920
66,0.01551,71709,1112,71153,1298019,18.1,F,1920
67,0.01666,70597,1176,70009,1226865,17.38,F,1920
68,0.0176,69421,1222,68810,1156856,16.66,F,1920
69,0.01886,68199,1286,67556,1088046,15.95,F,1920
70,0.02032,66913,1360,66233,1020490,15.25,F,1920
71,0.02207,65553,1447,64830,954257,14.56,F,1920
72,0.02413,64107,1547,63333,889427,13.87,F,1920
73,0.02659,62560,1664,61728,826094,13.2,F,1920
74,0.02868,60896,1746,60023,764366,12.55,F,1920
75,0.03149,59150,1862,58218,704343,11.91,F,1920
76,0.0345,57287,1977,56299,646125,11.28,F,1920
77,0.03748,55310,2073,54274,589826,10.66,F,1920
78,0.04127,53237,2197,52139,535552,10.06,F,1920
79,0.04622,51040,2359,49861,483413,9.47,F,1920
80,0.05102,48681,2484,47439,433552,8.91,F,1920
81,0.05613,46198,2593,44901,386113,8.36,F,1920
82,0.06343,43604,2766,42221,341212,7.83,F,1920
83,0.07024,40839,2868,39404,298990,7.32,F,1920
84,0.07814,37970,2967,36487,259586,6.84,F,1920
85,0.08701,35003,3046,33480,223099,6.37,F,1920
86,0.09691,31958,3097,30409,189619,5.93,F,1920
87,0.10801,28860,3117,27302,159210,5.52,F,1920
88,0.12038,25743,3099,24194,131908,5.12,F,1920
89,0.13401,22645,3035,21127,107714,4.76,F,1920
90,0.14886,19610,2919,18150,86587,4.42,F,1920
91,0.16486,16691,2752,15315,68437,4.1,F,1920
92,0.18192,13939,2536,12671,53122,3.81,F,1920
93,0.2,11403,2281,10263,40450,3.55,F,1920
94,0.21903,9123,1998,8124,30188,3.31,F,1920
95,0.23808000000000001,7124,1696,6276,22064,3.1,F,1920
96,0.25681,5428,1394,4731,15788,2.91,F,1920
97,0.2749,4034,1109,3480,11056,2.74,F,1920
98,0.29199,2925,854,2498,7577,2.59,F,1920
99,0.3077,2071,637,1752,5078,2.45,F,1920
100,0.32423,1434,465,1201,3326,2.32,F,1920
101,0.34161,969,331,803,2125,2.19,F,1920
102,0.3599,638,230,523,1321,2.07,F,1920
103,0.37917,408,155,331,798,1.95,F,1920
104,0.39944,254,101,203,467,1.84,F,1920
105,0.42079,152,64,120,264,1.74,F,1920
106,0.44327,88,39,69,144,1.63,F,1920
107,0.467,49,23,38,75,1.53,F,1920
108,0.49196,26,13,20,38,1.44,F,1920
109,0.5182,13,7,10,18,1.35,F,1920
110,0.54586,6,3,5,8,1.26,F,1920
111,0.57501,3,2,2,3,1.18,F,1920
112,0.60573,1,1,1,1,1.1,F,1920
113,0.6381,0,0,0,1,1.03,F,1920
114,0.67224,0,0,0,0,0.96,F,1920
115,0.7082,0,0,0,0,0.89,F,1920
116,0.74096,0,0,0,0,0.83,F,1920
117,0.77342,0,0,0,0,0.78,F,1920
118,0.80734,0,0,0,0,0.73,F,1920
119,0.84276,0,0,0,0,0.68,F,1920
0,0.06495,100000,6495,94826,6608935,66.09,M,1930
1,0.01013,93505,947,93031,6514109,69.67,M,1930
2,0.00467,92558,432,92341,6421078,69.37,M,1930
3,0.00341,92125,314,91968,6328737,68.7,M,1930
4,0.00293,91811,269,91676,6236769,67.93,M,1930
5,0.00222,91542,203,91440,6145092,67.13,M,1930
6,0.00191,91338,175,91251,6053652,66.28,M,1930
7,0.00157,91164,143,91092,5962401,65.4,M,1930
8,0.00124,91021,113,90964,5871309,64.51,M,1930
9,0.00107,90908,98,90859,5780345,63.58,M,1930
10,0.00102,90811,93,90764,5689485,62.65,M,1930
11,9.8e-4,90718,89,90674,5598721,61.72,M,1930
12,9.8e-4,90630,88,90585,5508047,60.78,M,1930
13,0.00113,90541,102,90490,5417461,59.83,M,1930
14,0.00133,90439,120,90379,5326971,58.9,M,1930
15,0.00146,90319,132,90253,5236592,57.98,M,1930
16,0.00158,90187,143,90116,5146339,57.06,M,1930
17,0.00158,90045,143,89973,5056223,56.15,M,1930
18,0.00165,89902,148,89828,4966250,55.24,M,1930
19,0.00171,89754,153,89677,4876423,54.33,M,1930
20,0.0018,89600,161,89519,4786746,53.42,M,1930
21,0.00199,89439,178,89350,4697226,52.52,M,1930
22,0.00214,89260,191,89165,4607877,51.62,M,1930
23,0.00217,89069,193,88973,4518712,50.73,M,1930
24,0.00198,88876,176,88788,4429739,49.84,M,1930
25,0.00189,88700,168,88616,4340951,48.94,M,1930
26,0.00177,88532,157,88454,4252335,48.03,M,1930
27,0.00172,88375,152,88299,4163881,47.12,M,1930
28,0.00167,88223,148,88150,4075582,46.2,M,1930
29,0.00176,88076,155,87998,3987433,45.27,M,1930
30,0.00183,87920,160,87840,3899435,44.35,M,1930
31,0.0018600000000000001,87760,164,87678,3811594,43.43,M,1930
32,0.00197,87596,173,87510,3723916,42.51,M,1930
33,0.00214,87424,187,87330,3636406,41.6,M,1930
34,0.00238,87237,207,87133,3549076,40.68,M,1930
35,0.00255,87029,222,86919,3461943,39.78,M,1930
36,0.00278,86808,241,86687,3375024,38.88,M,1930
37,0.00307,86566,266,86433,3288337,37.99,M,1930
38,0.00341,86300,295,86153,3201904,37.1,M,1930
39,0.00375,86006,322,85845,3115751,36.23,M,1930
40,0.00402,85684,344,85511,3029906,35.36,M,1930
41,0.00422,85339,360,85159,2944395,34.5,M,1930
42,0.00455,84979,387,84785,2859236,33.65,M,1930
43,0.0049,84592,414,84385,2774450,32.8,M,1930
44,0.0052,84178,438,83959,2690065,31.96,M,1930
45,0.00549,83740,459,83510,2606106,31.12,M,1930
46,0.00586,83281,488,83037,2522596,30.29,M,1930
47,0.00619,82793,512,82537,2439559,29.47,M,1930
48,0.00664,82281,546,82007,2357023,28.65,M,1930
49,0.00713,81734,583,81443,2275015,27.83,M,1930
50,0.00774,81151,628,80837,2193572,27.03,M,1930
51,0.00825,80523,664,80191,2112735,26.24,M,1930
52,0.00871,79859,695,79511,2032544,25.45,M,1930
53,0.00941,79164,745,78791,1953032,24.67,M,1930
54,0.01017,78419,797,78020,1874241,23.9,M,1930
55,0.01115,77621,865,77188,1796221,23.14,M,1930
56,0.01177,76756,903,76304,1719033,22.4,M,1930
57,0.01261,75852,956,75374,1642729,21.66,M,1930
58,0.01376,74896,1031,74381,1567354,20.93,M,1930
59,0.01477,73866,1091,73320,1492973,20.21,M,1930
60,0.01576,72775,1147,72201,1419653,19.51,M,1930
61,0.01683,71628,1206,71025,1347452,18.81,M,1930
62,0.01778,70422,1252,69796,1276427,18.13,M,1930
63,0.01947,69170,1347,68496,1206631,17.44,M,1930
64,0.02093,67823,1419,67113,1138134,16.78,M,1930
65,0.02239,66404,1487,65660,1071021,16.13,M,1930
66,0.02406,64917,1562,64136,1005360,15.49,M,1930
67,0.02588,63355,1639,62535,941225,14.86,M,1930
68,0.02748,61716,1696,60868,878689,14.24,M,1930
69,0.02931,60020,1759,59140,817822,13.63,M,1930
70,0.03125,58261,1821,57350,758681,13.02,M,1930
71,0.03341,56440,1885,55497,701331,12.43,M,1930
72,0.03655,54554,1994,53557,645834,11.84,M,1930
73,0.03918,52561,2059,51531,592276,11.27,M,1930
74,0.04201,50501,2121,49441,540746,10.71,M,1930
75,0.04523,48380,2188,47286,491305,10.16,M,1930
76,0.04902,46192,2264,45059,444019,9.61,M,1930
77,0.05332,43927,2342,42756,398960,9.08,M,1930
78,0.05816,41585,2419,40376,356203,8.57,M,1930
79,0.06363,39167,2492,37921,315827,8.06,M,1930
80,0.06978,36675,2559,35395,277907,7.58,M,1930
81,0.07671,34116,2617,32807,242512,7.11,M,1930
82,0.08453,31499,2662,30167,209705,6.66,M,1930
83,0.09336,28836,2692,27490,179537,6.23,M,1930
84,0.10327,26144,2700,24794,152047,5.82,M,1930
85,0.11424,23444,2678,22105,127253,5.43,M,1930
86,0.1262,20766,2621,19455,105149,5.06,M,1930
87,0.13909,18145,2524,16883,85693,4.72,M,1930
88,0.15284,15621,2388,14427,68810,4.4,M,1930
89,0.16744,13234,2216,12126,54383,4.11,M,1930
90,0.18289,11018,2015,10010,42257,3.84,M,1930
91,0.19919,9003,1793,8106,32247,3.58,M,1930
92,0.21638,7209,1560,6429,24140,3.35,M,1930
93,0.23447,5649,1325,4987,17711,3.13,M,1930
94,0.25348,4325,1096,3777,12724,2.94,M,1930
95,0.27216,3229,879,2789,8947,2.77,M,1930
96,0.2902,2350,682,2009,6158,2.62,M,1930
97,0.30727,1668,513,1412,4149,2.49,M,1930
98,0.32302,1155,373,969,2737,2.37,M,1930
99,0.33712,782,264,650,1768,2.26,M,1930
100,0.35183,519,182,427,1118,2.16,M,1930
101,0.3672,336,123,274,691,2.06,M,1930
102,0.38326,213,82,172,416,1.96,M,1930
103,0.40001,131,52,105,244,1.86,M,1930
104,0.41752,79,33,62,140,1.77,M,1930
105,0.4358,46,20,36,77,1.69,M,1930
106,0.45488,26,12,20,41,1.6,M,1930
107,0.47481,14,7,11,21,1.52,M,1930
108,0.49564,7,4,6,11,1.44,M,1930
109,0.51738,4,2,3,5,1.36,M,1930
110,0.54009,2,1,1,2,1.29,M,1930
111,0.56381,1,0,1,1,1.22,M,1930
112,0.58858,0,0,0,0,1.15,M,1930
113,0.61446,0,0,0,0,1.09,M,1930
114,0.64148,0,0,0,0,1.03,M,1930
115,0.66972,0,0,0,0,0.96,M,1930
116,0.6992,0,0,0,0,0.91,M,1930
117,0.73001,0,0,0,0,0.85,M,1930
118,0.7622,0,0,0,0,0.8,M,1930
119,0.7958,0,0,0,0,0.74,M,1930
0,0.05179,100000,5179,95945,7284649,72.85,F,1930
1,0.00908,94821,861,94391,7188704,75.81,F,1930
2,0.00409,93960,384,93768,7094313,75.5,F,1930
3,0.00303,93577,284,93435,7000544,74.81,F,1930
4,0.00261,93293,243,93171,6907110,74.04,F,1930
5,0.00195,93049,181,92959,6813939,73.23,F,1930
6,0.00157,92868,146,92795,6720980,72.37,F,1930
7,0.00122,92723,113,92666,6628184,71.48,F,1930
8,9.6e-4,92609,89,92565,6535518,70.57,F,1930
9,7.6e-4,92520,70,92485,6442954,69.64,F,1930
10,7.3e-4,92450,67,92416,6350469,68.69,F,1930
11,6.8e-4,92382,63,92351,6258053,67.74,F,1930
12,6.4e-4,92319,59,92290,6165702,66.79,F,1930
13,7.7e-4,92260,71,92225,6073412,65.83,F,1930
14,8.3e-4,92189,76,92151,5981187,64.88,F,1930
15,9e-4,92113,83,92071,5889036,63.93,F,1930
16,9.2e-4,92030,85,91988,5796965,62.99,F,1930
17,9.8e-4,91945,90,91901,5704977,62.05,F,1930
18,9.7e-4,91856,89,91811,5613076,61.11,F,1930
19,9.2e-4,91766,85,91724,5521265,60.17,F,1930
20,9.2e-4,91682,84,91640,5429541,59.22,F,1930
21,9.1e-4,91597,84,91556,5337902,58.28,F,1930
22,9e-4,91514,82,91473,5246346,57.33,F,1930
23,8.4e-4,91432,77,91393,5154874,56.38,F,1930
24,8.2e-4,91355,75,91317,5063480,55.43,F,1930
25,8.5e-4,91280,77,91241,4972163,54.47,F,1930
26,8.5e-4,91203,77,91164,4880921,53.52,F,1930
27,9.2e-4,91125,84,91083,4789757,52.56,F,1930
28,9.4e-4,91041,86,90998,4698674,51.61,F,1930
29,0.001,90956,91,90910,4607675,50.66,F,1930
30,0.00106,90865,96,90817,4516765,49.71,F,1930
31,0.00112,90769,102,90718,4425948,48.76,F,1930
32,0.0012,90667,109,90612,4335230,47.81,F,1930
33,0.00131,90558,119,90499,4244618,46.87,F,1930
34,0.00146,90439,132,90373,4154119,45.93,F,1930
35,0.00157,90307,141,90237,4063746,45,F,1930
36,0.00165,90166,149,90091,3973509,44.07,F,1930
37,0.00183,90017,165,89935,3883418,43.14,F,1930
38,0.00202,89852,182,89761,3793483,42.22,F,1930
39,0.00219,89671,196,89572,3703722,41.3,F,1930
40,0.00232,89474,207,89371,3614149,40.39,F,1930
41,0.0025,89267,223,89156,3524778,39.49,F,1930
42,0.00266,89044,237,88926,3435623,38.58,F,1930
43,0.00282,88807,251,88682,3346697,37.68,F,1930
44,0.00296,88557,262,88426,3258015,36.79,F,1930
45,0.00307,88294,271,88159,3169589,35.9,F,1930
46,0.00324,88023,285,87881,3081430,35.01,F,1930
47,0.00341,87738,299,87589,2993549,34.12,F,1930
48,0.00367,87440,321,87279,2905960,33.23,F,1930
49,0.0038,87118,331,86953,2818681,32.35,F,1930
50,0.00418,86787,362,86606,2731728,31.48,F,1930
51,0.00446,86425,386,86232,2645122,30.61,F,1930
52,0.00467,86039,402,85838,2558890,29.74,F,1930
53,0.00518,85637,444,85415,2473052,28.88,F,1930
54,0.00553,85194,471,84958,2387636,28.03,F,1930
55,0.00603,84722,511,84467,2302678,27.18,F,1930
56,0.00632,84211,532,83945,2218212,26.34,F,1930
57,0.00692,83679,579,83389,2134267,25.51,F,1930
58,0.00773,83100,642,82779,2050877,24.68,F,1930
59,0.00825,82458,680,82118,1968099,23.87,F,1930
60,0.00891,81777,728,81413,1885981,23.06,F,1930
61,0.00961,81049,779,80660,1804568,22.27,F,1930
62,0.01023,80270,821,79860,1723908,21.48,F,1930
63,0.01131,79449,899,79000,1644048,20.69,F,1930
64,0.01213,78551,953,78074,1565048,19.92,F,1930
65,0.01314,77598,1020,77088,1486974,19.16,F,1930
66,0.01428,76578,1094,76032,1409886,18.41,F,1930
67,0.01533,75485,1157,74906,1333854,17.67,F,1930
68,0.01675,74327,1245,73705,1258948,16.94,F,1930
69,0.01825,73082,1334,72415,1185243,16.22,F,1930
70,0.01981,71749,1421,71038,1112828,15.51,F,1930
71,0.02142,70327,1506,69574,1041790,14.81,F,1930
72,0.02372,68821,1632,68005,972215,14.13,F,1930
73,0.02578,67189,1732,66323,904210,13.46,F,1930
74,0.02803,65457,1835,64540,837887,12.8,F,1930
75,0.03066,63622,1951,62647,773348,12.16,F,1930
76,0.0337,61671,2078,60632,710701,11.52,F,1930
77,0.03707,59593,2209,58489,650069,10.91,F,1930
78,0.04078,57384,2340,56214,591580,10.31,F,1930
79,0.04491,55044,2472,53808,535366,9.73,F,1930
80,0.04965,52572,2610,51267,481557,9.16,F,1930
81,0.05502,49962,2749,48588,430290,8.61,F,1930
82,0.06094,47213,2877,45775,381702,8.08,F,1930
83,0.06745,44336,2991,42841,335927,7.58,F,1930
84,0.07476,41346,3091,39800,293086,7.09,F,1930
85,0.08303,38255,3176,36667,253286,6.62,F,1930
86,0.09239,35078,3241,33458,216619,6.18,F,1930
87,0.10288,31837,3276,30200,183161,5.75,F,1930
88,0.1145,28562,3270,26927,152961,5.36,F,1930
89,0.12722,25292,3218,23683,126035,4.98,F,1930
90,0.141,22074,3112,20518,102352,4.64,F,1930
91,0.15582,18962,2955,17484,81834,4.32,F,1930
92,0.17166,16007,2748,14633,64350,4.02,F,1930
93,0.1885,13259,2499,12010,49716,3.75,F,1930
94,0.20635,10760,2220,9650,37707,3.5,F,1930
95,0.2242,8540,1915,7582,28057,3.29,F,1930
96,0.24176,6625,1602,5824,20475,3.09,F,1930
97,0.25872,5023,1300,4374,14650,2.92,F,1930
98,0.27471,3724,1023,3212,10277,2.76,F,1930
99,0.28936,2701,781,2310,7065,2.62,F,1930
100,0.30481,1919,585,1627,4755,2.48,F,1930
101,0.32109,1334,428,1120,3128,2.34,F,1930
102,0.33823,906,306,753,2008,2.22,F,1930
103,0.35631,599,214,493,1255,2.09,F,1930
104,0.37537,386,145,313,763,1.98,F,1930
105,0.39545,241,95,193,449,1.86,F,1930
106,0.41662,146,61,115,256,1.75,F,1930
107,0.43894,85,37,66,140,1.65,F,1930
108,0.46245000000000003,48,22,37,74,1.55,F,1930
109,0.48726,26,12,19,37,1.46,F,1930
110,0.51339,13,7,10,18,1.37,F,1930
111,0.54093,6,3,5,8,1.28,F,1930
112,0.56997,3,2,2,4,1.19,F,1930
113,0.60059,1,1,1,1,1.11,F,1930
114,0.63288,1,0,0,1,1.04,F,1930
115,0.6669,0,0,0,0,0.97,F,1930
116,0.6992,0,0,0,0,0.91,F,1930
117,0.73001,0,0,0,0,0.85,F,1930
118,0.7622,0,0,0,0,0.8,F,1930
119,0.7958,0,0,0,0,0.74,F,1930
0,0.05286,100000,5286,95590,6955084,69.55,M,1940
1,0.00552,94714,523,94453,6859494,72.42,M,1940
2,0.00248,94191,234,94075,6765042,71.82,M,1940
3,0.00199,93958,187,93864,6670967,71,M,1940
4,0.00145,93771,135,93703,6577103,70.14,M,1940
5,0.00128,93636,120,93576,6483399,69.24,M,1940
6,0.00106,93515,99,93466,6389824,68.33,M,1940
7,8.5e-4,93416,79,93377,6296358,67.4,M,1940
8,7.4e-4,93337,69,93302,6202981,66.46,M,1940
9,7e-4,93268,65,93235,6109678,65.51,M,1940
10,6e-4,93203,55,93175,6016443,64.55,M,1940
11,6e-4,93147,56,93119,5923268,63.59,M,1940
12,6.3e-4,93091,59,93062,5830149,62.63,M,1940
13,7.4e-4,93033,69,92998,5737087,61.67,M,1940
14,8.3e-4,92963,77,92925,5644089,60.71,M,1940
15,0.00103,92886,96,92838,5551165,59.76,M,1940
16,0.00121,92790,112,92734,5458327,58.82,M,1940
17,0.00144,92678,134,92611,5365593,57.9,M,1940
18,0.00147,92544,136,92476,5272982,56.98,M,1940
19,0.0016,92408,148,92334,5180506,56.06,M,1940
20,0.00167,92261,154,92183,5088171,55.15,M,1940
21,0.00175,92106,161,92025,4995988,54.24,M,1940
22,0.00185,91945,170,91860,4903962,53.34,M,1940
23,0.00187,91774,171,91689,4812103,52.43,M,1940
24,0.0018600000000000001,91603,170,91518,4720414,51.53,M,1940
25,0.00185,91432,169,91348,4628897,50.63,M,1940
26,0.00187,91263,171,91178,4537549,49.72,M,1940
27,0.00189,91092,172,91006,4446372,48.81,M,1940
28,0.00198,90920,180,90830,4355365,47.9,M,1940
29,0.00206,90740,187,90647,4264535,47,M,1940
30,0.00209,90554,190,90459,4173887,46.09,M,1940
31,0.00212,90364,192,90268,4083428,45.19,M,1940
32,0.00222,90173,200,90073,3993160,44.28,M,1940
33,0.0023,89973,207,89869,3903087,43.38,M,1940
34,0.00232,89766,208,89662,3813218,42.48,M,1940
35,0.00237,89558,212,89452,3723557,41.58,M,1940
36,0.00239,89346,214,89239,3634105,40.67,M,1940
37,0.00258,89132,230,89017,3544866,39.77,M,1940
38,0.00272,88903,242,88782,3455849,38.87,M,1940
39,0.00282,88661,250,88536,3367067,37.98,M,1940
40,0.00302,88410,267,88277,3278531,37.08,M,1940
41,0.00321,88144,283,88002,3190254,36.19,M,1940
42,0.00329,87861,289,87716,3102252,35.31,M,1940
43,0.00354,87572,310,87417,3014535,34.42,M,1940
44,0.00388,87262,338,87093,2927119,33.54,M,1940
45,0.00424,86923,368,86739,2840026,32.67,M,1940
46,0.00456,86555,395,86358,2753287,31.81,M,1940
47,0.00496,86160,427,85947,2666929,30.95,M,1940
48,0.00543,85733,465,85501,2580983,30.1,M,1940
49,0.00587,85268,500,85018,2495482,29.27,M,1940
50,0.00625,84768,529,84503,2410465,28.44,M,1940
51,0.00663,84238,559,83959,2325961,27.61,M,1940
52,0.00716,83680,599,83380,2242002,26.79,M,1940
53,0.00791,83081,657,82752,2158622,25.98,M,1940
54,0.00851,82424,701,82073,2075869,25.19,M,1940
55,0.00909,81723,743,81351,1993796,24.4,M,1940
