id,image_url,imdb_rating,imdb_votes,number_in_season,number_in_series,original_air_date,original_air_year,production_code,season,title,us_viewers_in_millions,video_url,views
586,http://static-media.fxx.com/img/FX_Networks_-_FXX/550/898/Simpsons_27_12.jpg,6.7,271,12,586,2016-01-17,2016,VABF05,27,Much Apu About Something,3.95,http://www.simpsonsworld.com/video/770449475567,170
561,http://static-media.fxx.com/img/FX_Networks_-_FXX/947/871/TheSimpsons_TABF03_2500_1280x720_368211523850.jpg,6.8,432,9,561,2014-12-07,2014,TABF03,26,I Won't Be Home for Christmas,6.52,http://www.simpsonsworld.com/video/368212547872,37064
556,http://static-media.fxx.com/img/FX_Networks_-_FXX/628/699/TheSimpsons_SABF21_2500_1280x720_344252483550.jpg,7.3,612,4,556,2014-10-19,2014,SABF21,26,Treehouse of Horror XXV,7.76,http://www.simpsonsworld.com/video/344255555880,65425
566,http://static-media.fxx.com/img/FX_Networks_-_FXX/980/875/TheSimpsons_TABF07_2500_1280x720_399381571566.jpg,6.7,360,14,566,2015-02-15,2015,TABF07,26,My Fare Lady,2.67,http://www.simpsonsworld.com/video/399385667625,35846
591,http://static-media.fxx.com/img/FX_Networks_-_FXX/974/722/Simpsons_27_17.jpg,6.5,246,17,591,2016-04-03,2016,VABF10,27,The Burns Cage,2.32,http://www.simpsonsworld.com/video/770893891557,190
574,http://static-media.fxx.com/img/FX_Networks_-_FXX/999/75/TheSimpsons_TABF16_1280x720_446647875723.jpg,6.9,335,22,574,2015-05-17,2015,TABF16,26,Mathlete's Feat,2.82,http://www.simpsonsworld.com/video/446649411760,47429
589,http://static-media.fxx.com/img/FX_Networks_-_FXX/553/827/simp_VABF08_Sc_1043_hires2.jpg,6.3,233,15,589,2016-03-06,2016,VABF08,27,Lisa the Veterinarian,3.09,http://www.simpsonsworld.com/video/770452547696,174
582,http://static-media.fxx.com/img/FX_Networks_-_FXX/524/1022/Simpsons_27_08.jpg,7.1,305,8,582,2015-12-06,2015,VABF01,27,Paths of Glory,5.53,http://www.simpsonsworld.com/video/770422339536,170
577,http://static-media.fxx.com/img/FX_Networks_-_FXX/80/527/TheSimpsons_TABF19b_1280x720_546148419631.jpg,7.2,404,3,577,2015-10-11,2015,TABF19,27,Puffless,3.31,http://www.simpsonsworld.com/video/772103747997,160
495,http://static-media.fxx.com/img/FX_Networks_-_FXX/702/979/HolidaysofFuturePassed.jpg,8.2,905,9,495,2011-12-11,2011,NABF18,23,Holidays of Future Passed,6.43,http://www.simpsonsworld.com/video/230516803889,69460
558,http://static-media.fxx.com/img/FX_Networks_-_FXX/177/186/Simpsons_26_06.jpg,7.9,977,6,558,2014-11-09,2014,SABF16,26,Simpsorama,6.7,http://www.simpsonsworld.com/video/355593283530,48223
578,http://static-media.fxx.com/img/FX_Networks_-_FXX/528/427/TheSimpsons_TABF22_1280x720_546469443783.jpg,7.5,462,4,578,2015-10-18,2015,TABF22,27,Halloween of Horror,3.69,http://www.simpsonsworld.com/video/770425923947,196
594,http://static-media.fxx.com/img/FX_Networks_-_FXX/79/51/fox_TheSimpsons_VABF14_hulu.jpg,6.7,193,20,594,2016-05-08,2016,VABF14,27,To Courier with Love,2.52,http://www.simpsonsworld.com/video/772102211921,192
458,http://static-media.fxx.com/img/FX_Networks_-_FXX/312/895/American_History_X-Cellent.jpg,6.7,482,17,458,2010-04-11,2010,MABF08,21,American History X-cellent,5.65,http://www.simpsonsworld.com/video/250508867924,44645
460,http://static-media.fxx.com/img/FX_Networks_-_FXX/323/131/The_Squirt_and_the_Whale.jpg,6.9,511,19,460,2010-04-25,2010,MABF14,21,The Squirt and the Whale,5.94,http://www.simpsonsworld.com/video/250519619700,40632
468,http://static-media.fxx.com/img/FX_Networks_-_FXX/487/783/Treehouse_of_Horror.jpg,7.1,680,4,468,2010-11-07,2010,MABF16,22,Treehouse of Horror XXI,8.19,http://www.simpsonsworld.com/video/263577155794,61954
493,http://static-media.fxx.com/img/FX_Networks_-_FXX/182/731/TheManintheBlueFlannel.jpg,6.8,493,7,493,2011-11-27,2011,PABF01,23,The Man in the Blue Flannel Pants,5.61,http://www.simpsonsworld.com/video/233192515983,41687
524,http://static-media.fxx.com/img/FX_Networks_-_FXX/16/467/Dark_Knight_Court.jpg,7.1,417,16,524,2013-03-17,2013,RABF10,24,Dark Knight Court,4.89,http://www.simpsonsworld.com/video/257714243647,44170
529,http://static-media.fxx.com/img/FX_Networks_-_FXX/54/54/The_Saga_of_Carl.jpg,7.2,460,21,529,2013-05-19,2013,RABF14,24,The Saga of Carl,4.01,http://www.simpsonsworld.com/video/257753667515,42996
546,http://static-media.fxx.com/img/FX_Networks_-_FXX/592/875/you_dont_have_to_live.jpg,6.9,430,16,546,2014-03-30,2014,SABF11,25,You Don't Have to Live Like a Referee,3.91,http://www.simpsonsworld.com/video/304489539783,42080
567,http://static-media.fxx.com/img/FX_Networks_-_FXX/276/239/TheSimpsons_TABF08_2500_1280x720_406150723868.jpg,6.6,372,15,567,2015-03-01,2015,TABF08,26,The Princess Guide,3.93,http://www.simpsonsworld.com/video/406163011894,34137
592,http://static-media.fxx.com/img/FX_Networks_-_FXX/974/723/fox_TheSimpsons_VABF11_hulu.jpg,6.4,228,18,592,2016-04-10,2016,VABF11,27,How Lisa Got Her Marge Back,2.55,http://www.simpsonsworld.com/video/770893891750,188
596,http://static-media.fxx.com/img/FX_Networks_-_FXX/88/335/fox_TheSimpsons_VABF15_hulu.jpg,6.9,210,22,596,2016-05-22,2016,VABF15,27,Orange Is the New Yellow,2.54,http://www.simpsonsworld.com/video/772111939897,276
597,http://static-media.fxx.com/img/FX_Networks_-_FXX/605/927/Simpsons_2720_MontyCircus_Sc1064_hires2_hires2_1280x720_772657731562.jpg,6.6,104,1,597,2016-09-25,2016,VABF20,28,Monty Burns' Fleeing Circus,3.36,http://www.simpsonsworld.com/video/772654659902,994
486,http://static-media.fxx.com/img/FX_Networks_-_FXX/596/775/Simpsons_22_22.jpg,7,492,22,486,2011-05-22,2011,NABF15,22,The Ned-Liest Catch,5.25,http://www.simpsonsworld.com/video/255101507699,43681
500,http://static-media.fxx.com/img/FX_Networks_-_FXX/726/903/Simpsons_23_14_1280x720_279065667661.jpg,7,580,14,500,2012-02-19,2012,PABF07,23,At Long Last Leave,5.77,http://www.simpsonsworld.com/video/230541891832,45226
502,http://static-media.fxx.com/img/FX_Networks_-_FXX/779/630/HowIWetYourMother.jpg,7.3,541,16,502,2012-03-11,2012,PABF08,23,How I Wet Your Mother,4.97,http://www.simpsonsworld.com/video/230597187582,44818
511,http://static-media.fxx.com/img/FX_Networks_-_FXX/476/11/Adventures_in_Baby_Getting.jpg,6.9,460,3,511,2012-11-04,2012,PABF18,24,Adventures in Baby-Getting,5.65,http://www.simpsonsworld.com/video/221688899646,39687
542,http://static-media.fxx.com/img/FX_Networks_-_FXX/208/635/Diggs.jpg,6.4,473,12,542,2014-03-09,2014,SABF08,25,Diggs,2.69,http://www.simpsonsworld.com/video/310529091639,39292
548,http://static-media.fxx.com/img/FX_Networks_-_FXX/973/851/days_of_future_future.jpg,7,504,18,548,2014-04-13,2014,SABF13,25,Days of Future Future,3.64,http://www.simpsonsworld.com/video/310257731892,55742
