timestamp,how_old_are_you,industry,job_title,additional_context_on_job_title,annual_salary,other_monetary_comp,currency,currency_other,additional_context_on_income,country,state,city,overall_years_of_professional_experience,years_of_experience_in_field,highest_level_of_education_completed,gender,race
4/27/2021 11:26:02,35-44,"Marketing, Advertising & PR",Marketing Executive,NA,35000,0,GBP,NA,NA,Northern Ireland,NA,Belfast,11 - 20 years,8 - 10 years,College degree,Woman,White
4/27/2021 11:26:03,25-34,Law,Associate,NA,65000,5000,GBP,NA,NA,United Kingdom,NA,London,5-7 years,2 - 4 years,College degree,Woman,Another option not listed here or prefer not to answer
4/27/2021 11:26:03,45-54,Government and Public Administration,Programmer Analyst,Mainframe application programmer,88000,NA,USD,NA,NA,USA,Alabama,Montgomery,21 - 30 years,21 - 30 years,College degree,Woman,"Hispanic, Latino, or Spanish origin"
4/27/2021 11:26:04,35-44,"Accounting, Banking & Finance",Account Administrator,NA,34840,700,USD,NA,Part time - I make half of amount listed above,USA,Montana,Billings,11 - 20 years,1 year or less,College degree,Woman,White
4/27/2021 11:26:07,35-44,Engineering or Manufacturing,Process Engineer,NA,75000,10000,USD,NA,NA,United States,Arizona,Chandler,5-7 years,2 - 4 years,College degree,Woman,White
4/27/2021 11:26:07,35-44,Education (Higher Education),Director of Operations,NA,78000,NA,USD,NA,NA,United States,Michigan,Ann Arbor,11 - 20 years,11 - 20 years,Master's degree,Man,White
4/27/2021 11:26:08,25-34,Computing or Tech,Senior Researcher,Performs academic-style research in machine learning for biology and healthcare at a major tech company.,168000,50000,USD,NA,NA,United States,Massachusetts,Cambridge,8 - 10 years,5-7 years,PhD,Man,Asian or Asian American
4/27/2021 11:26:11,25-34,Government and Public Administration,Director of Communications,NA,102000,0,USD,NA,NA,United States,Florida,Jacksonville,8 - 10 years,8 - 10 years,Master's degree,Man,White
4/27/2021 11:26:14,25-34,Law,Legal Assistant,NA,45000,8000,USD,NA,NA,USA,Kentucky,Louisville,5-7 years,2 - 4 years,Some college,Woman,White
4/27/2021 11:26:15,18-24,Academic/nonprofit research,Database Specialist,NA,37440,0,USD,NA,"I work part-time, $18/hour",USA,Massachusetts,"NA (remote). Live near Boston, work is based in upstate NY",1 year or less,1 year or less,College degree,Woman,White
4/27/2021 11:26:17,35-44,Computing or Tech,Senior Product Manager,NA,115000,20000,USD,NA,NA,United States,North Carolina,Raleigh,11 - 20 years,5-7 years,College degree,Woman,White
4/27/2021 11:26:17,35-44,Government and Public Administration,Urban Planner,NA,78500,NA,CAD,NA,NA,Canada,NA,Halifax,11 - 20 years,2 - 4 years,Master's degree,Woman,White
4/27/2021 11:26:19,35-44,Public health,HIV/STD/Viral Hepatitis Surveillance Program Manager,This is a very fancy way of saying that I’m an infectious disease epidemiologist in a supervisory role.,65949,NA,USD,NA,NA,USA,New Hampshire,Concord,11 - 20 years,5-7 years,Master's degree,Non-binary,White
4/27/2021 11:26:19,35-44,Hospitality & Events,Project Manager,NA,155000,1000,USD,NA,NA,US,Georgia,Atlanta,11 - 20 years,5-7 years,Master's degree,Woman,Black or African American
4/27/2021 11:26:19,35-44,"Accounting, Banking & Finance",BSA/AML/OFAC Admin,NA,35000,0,USD,NA,NA,USA,Texas,El Paso,8 - 10 years,2 - 4 years,Some college,Woman,"Hispanic, Latino, or Spanish origin"
4/27/2021 11:26:20,35-44,Synthetic Chemical Manufacturing,Information Senior Scientist,Corporate/Research Librarian,103000,5000,USD,NA,NA,United States of America,Delaware,Wilmington,11 - 20 years,11 - 20 years,Master's degree,Woman,Another option not listed here or prefer not to answer
4/27/2021 11:26:22,25-34,Education (Higher Education),Assistant Professor,assistant professor at a university but I also perform clinical service in our institution's tertiary-care veterinary hospital,114000,2000,CAD,NA,"base salary for assistant professor (specific tiers based on years worked at the institution as per our union, increases yearly) as well as an additional ""market differential"" due to transferable skills (i.e. what would a specialist veterinarian make in private practice vs. the institution's ""going rate"" for a professor)",Canada,NA,Charlottetown,5-7 years,5-7 years,PhD,Woman,White
4/27/2021 11:26:23,35-44,Transport or Logistics,Region Vice President,Engineering department,175000,30000,USD,NA,NA,United States,Georgia,Atlanta,11 - 20 years,11 - 20 years,College degree,Woman,White
4/27/2021 11:26:25,55-64,Nonprofits,Records Coordinator/Auditor,NA,50000,0,USD,NA,NA,USA,New York,Syracuse,31 - 40 years,31 - 40 years,College degree,Woman,White
4/27/2021 11:26:26,45-54,Education (Primary/Secondary),District Data Manager,district = public school district,53000,NA,USD,NA,NA,United States,Vermont,Woodstock,11 - 20 years,5-7 years,College degree,Woman,White
4/27/2021 11:26:28,25-34,Social Work,Clinical Case Manager,LMSW,54000,0,USD,NA,NA,United States,Texas,Austin,5-7 years,2 - 4 years,Master's degree,Woman,White
4/27/2021 11:26:29,25-34,"Accounting, Banking & Finance",Sr Data Analyst,NA,64000,2100,USD,NA,NA,US,New York,Buffalo,8 - 10 years,41 years or more,College degree,Woman,White
4/27/2021 11:26:29,25-34,Nonprofits,Education Advisor,Providing technical advice,78000,0,CAD,NA,NA,Canada,NA,"Ottawa, Ontario",8 - 10 years,8 - 10 years,Master's degree,Woman,White
4/27/2021 11:26:30,25-34,Law,Assistant Attorney General,NA,93000,0,USD,NA,NA,USA,Michigan,"Detroit, MI",8 - 10 years,8 - 10 years,PhD,Woman,White
4/27/2021 11:26:30,35-44,Business or Consulting,Research Analyst,Note: job is location-independent within U.S.,100000,12000,USD,NA,NA,USA,Massachusetts,Boston,11 - 20 years,8 - 10 years,Master's degree,Woman,"Asian or Asian American, White"
4/27/2021 11:26:31,35-44,Law,Shareholder,Junior equity shareholder,160000,45000,USD,NA,NA,u.s.,Wisconsin,Milwaukee,11 - 20 years,11 - 20 years,Master's degree,Woman,White
4/27/2021 11:26:32,18-24,Retail,Floor Manager,NA,55000,10000,USD,NA,NA,United States,California,Los Angeles,5-7 years,2 - 4 years,Some college,Woman,White
4/27/2021 11:26:32,45-54,Education (Higher Education),Senior Associate Director,I'm a middle manager in Development/Advancement,110000,0,USD,NA,NA,United States,Massachusetts,Boston,21 - 30 years,21 - 30 years,Master's degree,Woman,White
4/27/2021 11:26:33,55-64,Library (its a non-profit and its a govt job - how would I list that? Not all libraries are govt jobs),Library Assistant,NA,41394,0,USD,NA,NA,United States,Florida,Boca Raton,8 - 10 years,8 - 10 years,Master's degree,Woman,White
4/27/2021 11:26:34,35-44,Engineering or Manufacturing,Supply Network Planner,NA,89000,0,USD,NA,NA,USA,Minnesota,Saint Paul,11 - 20 years,8 - 10 years,College degree,Woman,White
4/27/2021 11:26:36,35-44,Business or Consulting,Digital Project Manager,NA,55000,250,USD,NA,NA,United States,New York,New York,11 - 20 years,5-7 years,College degree,Woman,White
4/27/2021 11:26:36,35-44,publishing,senior production coordinator,NA,58350,0,USD,NA,NA,USA,Massachusetts,Boston,11 - 20 years,8 - 10 years,Master's degree,Woman,White
4/27/2021 11:26:38,55-64,Education (Primary/Secondary),Registrar,Also Testing & AP Coordinator,54000,0,USD,NA,Private school,USA,Massachusetts,Boston suburbs,11 - 20 years,8 - 10 years,College degree,Woman,White
4/27/2021 11:26:39,35-44,Government and Public Administration,Learning Specialist,Curriculum Designer,85000,0,CAD,NA,NA,Canada,NA,Ottawa,11 - 20 years,8 - 10 years,College degree,Woman,White
4/27/2021 11:26:39,25-34,Government and Public Administration,Economist,NA,107146,2500,USD,NA,NA,USA,District of Columbia,Washington,5-7 years,5-7 years,Master's degree,Woman,White
4/27/2021 11:26:41,25-34,"Marketing, Advertising & PR",Jr. Producer,Post Production - Video,52000,NA,USD,NA,NA,US,Colorado,Boulder,2 - 4 years,2 - 4 years,College degree,Woman,White
4/27/2021 11:26:43,35-44,Education (Primary/Secondary),Operations Manager,I'm an administrative staff member at a private school in a west-coast city. I oversee the main office and numerous schoolwide projects.,67500,NA,USD,NA,NA,United States,Washington,Seattle,11 - 20 years,5-7 years,College degree,Woman,White
4/27/2021 11:26:45,35-44,Law,Director of Delivery,eDiscovery service provider - one level below VP,90000,18000,USD,NA,NA,United States,District of Columbia,Washington,11 - 20 years,8 - 10 years,Master's degree,Woman,White
4/27/2021 11:26:45,25-34,Hospitality & Events,Head baker,NA,38000,2500,USD,NA,NA,United States,Rhode Island,Providence,11 - 20 years,8 - 10 years,College degree,Woman,White
4/27/2021 11:26:48,45-54,Utilities & Telecommunications,Project Manager,NA,65000,8000,GBP,NA,NA,UK,NA,Slough,21 - 30 years,11 - 20 years,College degree,Woman,White
4/27/2021 11:26:48,25-34,Nonprofits,Research Fellow,research & data analysis for nonprofit,64000,1500,USD,NA,NA,USA,Ohio,Cleveland,11 - 20 years,8 - 10 years,Master's degree,Woman,White
4/27/2021 11:26:49,35-44,Government and Public Administration,Governance Manager,NA,37000,500,GBP,NA,NA,United Kingdom,NA,Birmingham,21 - 30 years,2 - 4 years,Master's degree,Woman,White
4/27/2021 11:26:49,45-54,"Accounting, Banking & Finance",Senior/Project Accountant,NA,80000,NA,USD,NA,NA,United States,California,Larkspur,11 - 20 years,11 - 20 years,College degree,Woman,White
4/27/2021 11:26:50,25-34,Government and Public Administration,Deputy Director,"Political appointee, large statewide government agency",150000,0,USD,NA,NA,United States,NA,Sacramento,8 - 10 years,8 - 10 years,Master's degree,Woman,White
4/27/2021 11:26:50,35-44,Government and Public Administration,Program Analyst,NA,113000,NA,USD,NA,NA,United States,Ohio,Dayton,21 - 30 years,11 - 20 years,Master's degree,Woman,White
4/27/2021 11:26:51,25-34,Law,Legal assistant,NA,46000,2000,CAD,NA,NA,Canada,NA,Hamilton,8 - 10 years,8 - 10 years,Some college,Woman,White
4/27/2021 11:26:52,25-34,Nonprofits,Client Service Advocate,NA,36500,0,USD,NA,NA,USA,New Hampshire,N/a,5-7 years,5-7 years,Master's degree,Non-binary,White
4/27/2021 11:26:53,35-44,"Accounting, Banking & Finance","Manager, Procurement Operations",NA,113400,12000,USD,NA,NA,United States of America,California,San Francisco,11 - 20 years,2 - 4 years,Some college,Woman,"Black or African American, White"
4/27/2021 11:26:54,25-34,Education (Higher Education),Research Integrity Officer,NA,31170,0,GBP,NA,NA,United Kingdom,NA,Birmingham,5-7 years,2 - 4 years,PhD,Woman,White
4/27/2021 11:26:55,25-34,"Marketing, Advertising & PR",Vice President,NA,155000,NA,USD,NA,NA,United States,New York,New York City,5-7 years,5-7 years,College degree,Woman,White
4/27/2021 11:26:56,25-34,Real estate services,Title Review Attorney,NA,47500,3000,USD,NA,NA,USA,Kentucky,Bowling Green,8 - 10 years,8 - 10 years,Master's degree,Woman,White
4/27/2021 11:26:58,65 or over,"Accounting, Banking & Finance",Human Resources Manager,NA,91500,9500,USD,NA,NA,U.S.,Wisconsin,Muskego,41 years or more,21 - 30 years,Master's degree,Woman,White
4/27/2021 11:26:58,35-44,Computing or Tech,Software Engineer,NA,70662,NA,USD,NA,Income based on living in a lower COL area,USA,Texas,Amarillo,8 - 10 years,8 - 10 years,College degree,Woman,White
4/27/2021 11:26:58,35-44,Government and Public Administration,Senior HRIS Analyst,NA,103000,0,USD,NA,NA,United States,Washington,Seattle,8 - 10 years,5-7 years,Master's degree,Woman,White
4/27/2021 11:27:01,25-34,"Accounting, Banking & Finance",Senior Business Analyst,NA,70000,10000,CAD,NA,NA,Canada,NA,Toronto,8 - 10 years,8 - 10 years,College degree,Woman,White
4/27/2021 11:27:02,25-34,Health care,Audiologist,NA,82500,7000,USD,NA,NA,USA,New Mexico,Albuquerque,5-7 years,2 - 4 years,PhD,Woman,White
4/27/2021 11:27:03,18-24,Retail,Office Admin,NA,34000,NA,USD,NA,NA,US,Rhode Island,Narragansett,5-7 years,1 year or less,College degree,Woman,White
4/27/2021 11:27:03,45-54,Health care,Outpatient hospital social worker,Provide psychotherapy,85000,0,USD,NA,NA,United States,NA,Boston,21 - 30 years,11 - 20 years,Master's degree,Woman,White
4/27/2021 11:27:07,55-64,Law,Law Firm Administrator,HR & Accounting,90000,7500,USD,NA,NA,USA,California,Fresno,31 - 40 years,11 - 20 years,Some college,Woman,White
4/27/2021 11:27:07,35-44,Utilities & Telecommunications,Executive Assistant to the CEO,NA,71000,6500,USD,NA,NA,United States,Indiana,Indianapolis,11 - 20 years,11 - 20 years,College degree,Woman,White
4/27/2021 11:27:08,35-44,Health care,Sr. Communications Specialist,NA,85000,2000,USD,NA,Non-profit healthcare system,U.S.,California,Los Angeles,11 - 20 years,5-7 years,College degree,Woman,"Hispanic, Latino, or Spanish origin"
4/27/2021 11:27:08,35-44,Nonprofits,Development Manager,NA,53000,NA,USD,NA,NA,USA,New Mexico,Santa Fe,5-7 years,5-7 years,College degree,Woman,"Hispanic, Latino, or Spanish origin"
4/27/2021 11:27:09,25-34,Art & Design,graphic designer,NA,45000,2000,USD,NA,NA,USA,Connecticut,Hartford,8 - 10 years,2 - 4 years,College degree,Woman,White
4/27/2021 11:27:09,25-34,Engineering or Manufacturing,Aerospace engineer,NA,95000,10000,USD,NA,NA,USA,Maryland,Washington DC,8 - 10 years,8 - 10 years,Master's degree,Man,White
4/27/2021 11:27:10,35-44,Health care,Customer Solutions Manager,NA,100000,5000,CAD,NA,Bonuses vary by year,Canada,NA,"Toronto, Ontario",11 - 20 years,8 - 10 years,Master's degree,Woman,White
4/27/2021 11:27:11,35-44,Law,Associate Attorney,Small firm,60000,2000,USD,NA,NA,USA,Kansas,Kansas City,11 - 20 years,11 - 20 years,PhD,Woman,White
4/27/2021 11:27:13,35-44,Education (Higher Education),Assistant Controller,NA,74000,0,USD,NA,NA,USA,Minnesota,Prefer not to answer,21 - 30 years,8 - 10 years,College degree,Woman,White
4/27/2021 11:27:13,35-44,Automotive finance and insurance,Marketing communications manager,NA,87500,2000,USD,NA,NA,US,North Carolina,Norcross,11 - 20 years,5-7 years,College degree,Woman,White
4/27/2021 11:27:13,25-34,Health care,Pharmacist,Staff pharmacist in specialty mail order pharmacy,143520,9000,USD,NA,overtime + on-call bonus,United States,Massachusetts,Boston,8 - 10 years,8 - 10 years,Master's degree,Woman,Asian or Asian American
4/27/2021 11:27:13,35-44,Media & Digital,Associate Publicity DIrector,NA,94000,3000,USD,NA,Bonus varies from year to year but is usually between $2k and $5k.,United States,New York,New York,11 - 20 years,11 - 20 years,College degree,Woman,White
4/27/2021 11:27:15,35-44,Engineering or Manufacturing,Database Analyst,Manage databases and create queries and reports to analyze data,67500,5000,USD,NA,bonus varies based on company performance during the year,United States,Oregon,Portland,21 - 30 years,5-7 years,Master's degree,Woman,White
4/27/2021 11:27:15,25-34,Government and Public Administration,Program Director,NA,93583,0,USD,NA,NA,US,Massachusetts,Boston,11 - 20 years,11 - 20 years,Master's degree,Woman,White
4/27/2021 11:27:15,35-44,Education (Higher Education),Internship Coordinator,NA,51000,NA,USD,NA,NA,US,Michigan,East Lansing,11 - 20 years,2 - 4 years,Master's degree,Woman,White
4/27/2021 11:27:16,25-34,Retail,Bakery manager,NA,62000,NA,CAD,NA,NA,Canada,NA,Edmonton,8 - 10 years,8 - 10 years,NA,Man,White
4/27/2021 11:27:18,25-34,Social Work,Employment and Income Assistance Case Counsellor,NA,52000,0,CAD,NA,NA,Canada,NA,"Steinbach, Manitoba",11 - 20 years,2 - 4 years,College degree,Woman,White
4/27/2021 11:27:19,35-44,Property or Construction,Project Manager,NA,63000,10000,USD,NA,"I am 1% owner, family business, so I get some proceeds. I get commissions for job profitability.",USA,Wisconsin,Madison,11 - 20 years,8 - 10 years,College degree,Woman,White
4/27/2021 11:27:20,35-44,Government and Public Administration,Attorney,NA,130000,2500,USD,NA,NA,United States,Illinois,Peoria,11 - 20 years,11 - 20 years,PhD,Woman,White
4/27/2021 11:27:22,25-34,Nonprofits,Program Coordinator,NA,50000,1550,USD,NA,"I'm not expected to work overtime, but my annual salary is low enough that I am a full time, non exempt employee and thus do need to receive overtime pay anytime I log more than 35 hours of work a week.",United States,New York,New York,5-7 years,5-7 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin, White"
4/27/2021 11:27:22,25-34,Hospitality & Events,Sr. Manager - Digital Marketing,NA,82000,5000,USD,NA,NA,United States,California,Irvine,8 - 10 years,8 - 10 years,College degree,Woman,"Hispanic, Latino, or Spanish origin"
4/27/2021 11:27:24,25-34,Nonprofits,Development Associate,NA,51000,8000,USD,NA,NA,USA,NA,Boston,2 - 4 years,2 - 4 years,College degree,Woman,White
4/27/2021 11:27:26,55-64,Nonprofits,Human Resources Generalist,NA,31824,NA,USD,NA,NA,USA,Arizona,Apache Junction,31 - 40 years,5-7 years,College degree,Woman,Middle Eastern or Northern African
4/27/2021 11:27:26,25-34,Nonprofits,Managing Editor,NA,64500,0,USD,NA,Not sure about additional compensation - recently started,United States of America,North Carolina,Durham,8 - 10 years,5-7 years,College degree,Woman,White
4/27/2021 11:27:27,25-34,Nonprofits,Program Manager,NA,59800,2000,CAD,NA,NA,Canada,NA,BC,5-7 years,5-7 years,Master's degree,Woman,White
4/27/2021 11:27:28,25-34,Media & Digital,Associate Social Producer,Anything similar to Social Media Manager or any Audience Engagement/Development title,58000,0,USD,NA,Full medical coverage + 20 days PTO,USA,New York,Remote but NYC,5-7 years,2 - 4 years,College degree,Woman,White
4/27/2021 11:27:28,25-34,Nonprofits,Production Specialist,For digital production,87000,6000,USD,NA,NA,USA,Massachusetts,Boston,11 - 20 years,11 - 20 years,College degree,Woman,White
4/27/2021 11:27:28,35-44,Computing or Tech,Conversion Manager,Database conversion,125000,36000,USD,NA,NA,U.S.,California,Merced,11 - 20 years,5-7 years,High School,Other or prefer not to answer,"Native American or Alaska Native, White"
4/27/2021 11:27:30,25-34,Nonprofits,Member Data Specialist,I run background checks and manage member accounts for a yout-focused nonprofit,38000,0,USD,NA,NA,United States,Oklahoma,Tulsa,2 - 4 years,2 - 4 years,College degree,Woman,White
4/27/2021 11:27:34,25-34,Nonprofits,Fundraising Manager,Gifts in Wills fundraising,36200,0,GBP,NA,NA,UK,NA,London,11 - 20 years,5-7 years,Master's degree,Woman,White
4/27/2021 11:27:35,45-54,Computing or Tech,Sr Product Manager,NA,183000,30000,USD,NA,NA,United States,NA,Chicago,11 - 20 years,11 - 20 years,Master's degree,Man,White
4/27/2021 11:27:38,45-54,Media & Digital,Senior director of project managment,NA,104000,25000,USD,NA,NA,USA,California,San Jose,21 - 30 years,21 - 30 years,Master's degree,Woman,White
4/27/2021 11:27:38,55-64,Business or Consulting,Lead designer,NA,65000,0,USD,NA,NA,US,Rhode Island,Providence,31 - 40 years,31 - 40 years,College degree,Woman,White
4/27/2021 11:27:39,25-34,Nonprofits,Programme Manager,NA,47000,0,EUR,NA,NA,Ireland,NA,Dublin,8 - 10 years,5-7 years,College degree,Woman,White
4/27/2021 11:27:40,35-44,Computing or Tech,Instructional Designer,NA,81000,0,USD,NA,NA,United States,Colorado,Denver,11 - 20 years,11 - 20 years,Master's degree,Woman,"Native American or Alaska Native, White"
4/27/2021 11:27:40,25-34,Gambling,Commercial Finance Analyst,NA,66820,6682,USD,NA,"10% bonus for the year if sales are good. If sales are not, they'll change the % (last year it was 3%.",USA,Illinois,Chicago,11 - 20 years,2 - 4 years,College degree,Woman,White
4/27/2021 11:27:42,35-44,Education (Higher Education),Assistant Professor,Tenure Track - STEM,117000,0,CAD,NA,NA,Canada,NA,"Kelowna, BC",11 - 20 years,11 - 20 years,PhD,Woman,White
4/27/2021 11:27:42,18-24,Education (Higher Education),Editor,I copy-edit short course material.,216000,NA,ZAR,NA,NA,South Africa,NA,Cape Town,2 - 4 years,2 - 4 years,Some college,Woman,Asian or Asian American
4/27/2021 11:27:43,45-54,Engineering or Manufacturing,Operations Specialist,Jack of all trades - whatever isn't on someone else's job description,46000,3000,USD,NA,NA,United States,Michigan,Kalamazoo,21 - 30 years,11 - 20 years,College degree,Man,"Hispanic, Latino, or Spanish origin, White"
4/27/2021 11:27:43,35-44,Education (Higher Education),Associate Director,NA,60000,15,USD,NA,additional adjunct teaching salary,USA,New York,White Plains,11 - 20 years,11 - 20 years,Master's degree,Woman,White
4/27/2021 11:27:44,25-34,Museums: Nonprofit,Digitization Specialist,I work in the Museum's archive.,42000,450,USD,NA,NA,United States,Missouri,Kansas City,8 - 10 years,8 - 10 years,Master's degree,Woman,White
4/27/2021 11:27:44,25-34,Public Library,Customer Service Assistant,NA,47000,0,CAD,NA,NA,Canada,NA,Brockville,2 - 4 years,2 - 4 years,College degree,Woman,White
4/27/2021 11:27:45,35-44,Business or Consulting,Service Manager,NA,130000,12000,USD,NA,NA,USA,Massachusetts,Boston,11 - 20 years,11 - 20 years,Master's degree,Man,White
4/27/2021 11:27:45,25-34,Computing or Tech,Software engineer,NA,223000,NA,USD,NA,Does not include equity compensation at private company,USA,Washington,Seattle,5-7 years,5-7 years,College degree,Woman,Asian or Asian American
4/27/2021 11:27:46,55-64,Computing or Tech,Consultant,Digital marketing project management,250000,NA,USD,NA,NA,US,Washington,Seattle,21 - 30 years,21 - 30 years,Master's degree,Woman,White
4/27/2021 11:27:49,25-34,"Marketing, Advertising & PR",Content Manager & Copywriter,"Part project management, part copywriting",62000,0,USD,NA,NA,USA,Vermont,Burlington,8 - 10 years,8 - 10 years,Master's degree,Woman,White
4/27/2021 11:27:49,45-54,Pharma,Senior Medical Writer I,NA,135000,0,USD,NA,NA,US,Wisconsin,Madison,21 - 30 years,5-7 years,Master's degree,Woman,"Asian or Asian American, White"
4/27/2021 11:27:51,35-44,Health care,Program Manager,NA,84000,0,CAD,NA,NA,Canada,NA,Toronto,8 - 10 years,8 - 10 years,PhD,Woman,White
4/27/2021 11:27:52,25-34,Business or Consulting,Instructional Designer,I analyze organizational performance gaps and design learning to improve performance,70000,3000,USD,NA,NA,United States,Minnesota,Minneapolis,8 - 10 years,8 - 10 years,College degree,Woman,White
4/27/2021 11:27:52,35-44,Education (Higher Education),Associate Professor,In Humanities,70000,2000,USD,NA,NA,U.S.,Florida,Orlando,8 - 10 years,8 - 10 years,PhD,Woman,White
4/27/2021 11:27:53,25-34,"Marketing, Advertising & PR",Marketing project manager,NA,40000,NA,GBP,NA,NA,United Kingdom,NA,Leeds,8 - 10 years,8 - 10 years,College degree,Woman,White
4/27/2021 11:27:53,35-44,Health care,"Manager, Quality & Operations Improvement",NA,106000,22000,USD,NA,NA,United States,Pennsylvania,Philadelphia,11 - 20 years,11 - 20 years,Master's degree,Woman,White
4/27/2021 11:27:57,25-34,Education (Higher Education),Test Officer,NA,63000,NA,USD,NA,NA,US,California,Monterey,5-7 years,2 - 4 years,College degree,Woman,White
4/27/2021 11:27:57,25-34,Libraries and Archives (Academic),Processing Archivist,"""other duties as assigned""",53000,1500,USD,NA,"We generally get bonuses, rather than actual increases, and not every year.",United States,Virginia,Richmond,11 - 20 years,11 - 20 years,Master's degree,Woman,White
4/27/2021 11:27:59,25-34,Computing or Tech,Product Manager,NA,145000,10150,USD,NA,NA,United States,New York,NYC,5-7 years,2 - 4 years,College degree,Woman,White
4/27/2021 11:27:59,55-64,Pharma,Scientist,NA,107000,12000,USD,NA,NA,USA,Pennsylvania,Philadelphia,31 - 40 years,31 - 40 years,College degree,NA,Another option not listed here or prefer not to answer
4/27/2021 11:27:59,35-44,Archaeology,Senior Project Archaeologist,NA,55000,1500,USD,NA,NA,US,Colorado,Western Slope,11 - 20 years,11 - 20 years,Master's degree,Woman,White
4/27/2021 11:28:03,25-34,Media & Digital,Managing Editor,NA,35500,2000,USD,NA,NA,USA,Michigan,Niles,5-7 years,2 - 4 years,College degree,Woman,White
4/27/2021 11:28:03,45-54,Engineering or Manufacturing,Marketing Services Manager,NA,97000,14000,USD,NA,NA,United States,Pennsylvania,Easton,31 - 40 years,21 - 30 years,Master's degree,Woman,White
4/27/2021 11:28:04,18-24,Health care,Medical scribe,NA,31000,0,USD,NA,NA,United States,Massachusetts,Worcester,5-7 years,2 - 4 years,College degree,Woman,White
4/27/2021 11:28:05,25-34,Computing or Tech,Risk Operations Analyst,NA,73000,7000,USD,NA,NA,United States,Washington,Seattle,8 - 10 years,5-7 years,Master's degree,Woman,White
4/27/2021 11:28:06,25-34,"Marketing, Advertising & PR",Senior SEO Strategist,NA,70000,3000,USD,NA,NA,United States,New York,New York City,8 - 10 years,5-7 years,College degree,Man,White
4/27/2021 11:28:08,25-34,Business or Consulting,Director / Senior Manager (Customer Strategy),advisory consulting,214000,15000,USD,NA,variable comp ranges 10-30k,USA,New Jersey,"Primary WFH or NYC; however travel to client site weekly in the ""before times""",11 - 20 years,5-7 years,Master's degree,Woman,White
4/27/2021 11:28:09,25-34,Scientific Research,Post Doctorate Researcher,NA,76000,0,USD,NA,National Lab salaries are higher for this position than average university salaries,United States,Washington,Richland,8 - 10 years,5-7 years,PhD,Woman,White
4/27/2021 11:28:09,35-44,"Accounting, Banking & Finance",Administrative assistant/ client service specialist,NA,52000,0,USD,NA,NA,United States,Pennsylvania,Philadelphia,11 - 20 years,11 - 20 years,College degree,Woman,White
4/27/2021 11:28:10,45-54,Computing or Tech,Senior IT Software Developer,NA,112000,10000,USD,NA,NA,USA,North Carolina,Cary,21 - 30 years,11 - 20 years,College degree,Woman,White
4/27/2021 11:28:11,35-44,Education (Higher Education),Careers Consultant,NA,39000,0,GBP,NA,NA,United Kingdom,NA,Leeds,11 - 20 years,11 - 20 years,PhD,Woman,White
4/27/2021 11:28:12,45-54,Health care,Business Intelligence Analyst,NA,100300,5000,USD,NA,NA,USA,Nebraska,Omaha,31 - 40 years,21 - 30 years,Some college,Man,White
4/27/2021 11:28:13,35-44,Engineering or Manufacturing,Senior Optical Engineer,NA,86700,NA,GBP,NA,NA,UK,NA,Milton Keynes,11 - 20 years,11 - 20 years,PhD,Man,White
4/27/2021 11:28:16,35-44,Insurance,Technical Support Executive,NA,39140,2000,GBP,NA,NA,United Kingdom,NA,Caterham,21 - 30 years,11 - 20 years,Some college,Woman,"Asian or Asian American, Black or African American, White"
4/27/2021 11:28:17,35-44,Sales,Western Sales Manager,NA,73500,8000,CAD,NA,Includes a monthly car allowance,Canada,NA,Vancouver,11 - 20 years,11 - 20 years,College degree,Woman,White
4/27/2021 11:28:17,35-44,Business or Consulting,Senior Manager,NA,172000,50000,USD,NA,Bonus is variable but is a percentage of base comp,United States,District of Columbia,DC,11 - 20 years,11 - 20 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin"
4/27/2021 11:28:18,25-34,Health care,Executive Assistant,NA,45000,1500,USD,NA,NA,USA,Michigan,Northern Michigan,8 - 10 years,5-7 years,College degree,Woman,White
4/27/2021 11:28:18,25-34,Law,Certified Paralegal,NA,34840,1000,USD,NA,NA,United States,Kentucky,Paducah,8 - 10 years,8 - 10 years,College degree,Woman,White
4/27/2021 11:28:19,25-34,"Marketing, Advertising & PR",Technical Writer,NA,77250,0,USD,NA,NA,United States,Minnesota,Chanhassen,2 - 4 years,2 - 4 years,College degree,Non-binary,White
4/27/2021 11:28:20,25-34,NA,Commissioning Editor,NA,36000,NA,GBP,NA,NA,UK,NA,London,11 - 20 years,8 - 10 years,Master's degree,Woman,"Asian or Asian American, White"
4/27/2021 11:28:20,45-54,Government and Public Administration,data coordinator,NA,105000,800,USD,NA,NA,USA,Maryland,Silver Spring,11 - 20 years,11 - 20 years,Master's degree,Woman,White
4/27/2021 11:28:22,25-34,Education (Higher Education),Executive Assistant to the AVPs,"I support two Associate Vice Presidents, who together run the Office of University Advancement.",52000,0,USD,NA,NA,United States of America,California,La Mirada,11 - 20 years,2 - 4 years,College degree,Woman,White
4/27/2021 11:28:23,25-34,Agriculture or Forestry,Chief Data Scientist,NA,130,0,USD,NA,NA,USA,New Mexico,Santa Fe,8 - 10 years,8 - 10 years,PhD,Woman,White
4/27/2021 11:28:24,25-34,Education (Higher Education),Data Manager,NA,75000,NA,USD,NA,NA,USA,NA,MCOL New England,5-7 years,5-7 years,Master's degree,Woman,White
