town11cd,town11nm,population_2011,size_flag,rgn11nm,coastal,coastal_detailed,ttwa11cd,ttwa11nm,ttwa_classification,job_density_flag,income_flag,university_flag,level4qual_residents35_64_2011,ks4_2012_2013_counts,key_stage_2_attainment_school_year_2007_to_2008,key_stage_4_attainment_school_year_2012_to_2013,level_2_at_age_18,level_3_at_age_18,activity_at_age_19_full_time_higher_education,activity_at_age_19_sustained_further_education,activity_at_age_19_appprenticeships,activity_at_age_19_employment_with_earnings_above_0,activity_at_age_19_employment_with_earnings_above_10_000,activity_at_age_19_out_of_work,highest_level_qualification_achieved_by_age_22_less_than_level_1,highest_level_qualification_achieved_by_age_22_level_1_to_level_2,highest_level_qualification_achieved_by_age_22_level_3_to_level_5,highest_level_qualification_achieved_by_age_22_level_6_or_above,highest_level_qualification_achieved_b_age_22_average_score,education_score
E34002432,Willington (County Durham) BUA,6633,Small Towns,North East,Non-coastal,Smaller non-coastal town,E30000203,Durham and Bishop Auckland,Majority rural,Residential,Higher deprivation towns,No university,Low,69,68.42105263157895,65.21739130434783,94.20289855072464,43.47826086956522,21.73913043478261,30.434782608695656,20.28985507246377,30.434782608695656,NA,24.637681159420293,NA,31.4,45.7,NA,3.2753623188405796,-1.466742587
E34002433,South Molton BUA,5108,Small Towns,South West,Non-coastal,Smaller non-coastal town,E30000162,Barnstaple,Majority rural,Working,Higher deprivation towns,No university,Low,62,57.6271186440678,41.935483870967744,70.96774193548387,33.87096774193548,24.193548387096776,29.03225806451613,NA,45.16129032258064,24.193548387096776,NA,NA,41.9,40.3,NA,2.9838709677419355,-6.711417914
E34002446,Honiton BUA,11483,Small Towns,South West,Non-coastal,Smaller non-coastal town,E30000206,Exeter,Majority town and city (Large Towns),Working,Mid deprivation towns,No university,Low,135,70,48.148148148148145,87.31343283582089,43.28358208955223,25.925925925925924,20,17.037037037037038,62.22222222222222,28.14814814814815,NA,NA,28.4,47.8,22.4,3.3407407407407406,-2.805766898
E34002470,Chippenham (Wiltshire) BUA,35800,Medium Towns,South West,Non-coastal,Large non-coastal town,E30000280,Trowbridge,Majority town and city (small),Working,Lower deprivation towns,No university,Medium,507,75.66462167689161,64.29980276134121,85.4043392504931,53.4516765285996,35.50295857988166,16.370808678500985,10.453648915187378,50.09861932938856,27.021696252465482,5.522682445759369,3.7,22,43.8,30.5,3.575936883629191,1.023815376
E34002474,Gillingham (North Dorset) BUA,11278,Small Towns,South West,Non-coastal,Smaller non-coastal town,E30000172,Blandford Forum and Gillingham,Majority rural,Mixed,Lower deprivation towns,No university,Low,140,74.82993197278913,65,86.42857142857143,58.57142857142858,32.142857142857146,16.428571428571427,14.285714285714285,54.285714285714285,35,NA,NA,22.5,51.4,25.4,3.5285714285714285,1.321650638
E34002475,Redbourn BUA,5113,Small Towns,East of England,Non-coastal,Smaller non-coastal town,E30000237,Luton,Majority town and city (Large Towns),Residential,Lower deprivation towns,No university,High,56,74.50980392156863,76.78571428571429,92.85714285714286,75,62.5,NA,NA,37.5,NA,NA,NA,NA,29.8,61.4,4.696428571428571,7.172221185
E34002505,West Mersea BUA,7057,Small Towns,East of England,Coastal,Smaller seaside town,E30000193,Colchester,Majority town and city (Large Towns),Residential,Lower deprivation towns,No university,Medium,67,67.64705882352942,65.67164179104478,80.59701492537313,58.2089552238806,37.3134328358209,25.37313432835821,17.91044776119403,49.25373134328358,22.388059701492537,NA,NA,25.4,44.8,NA,3.5970149253731343,0.701730546
E34002511,Tring BUA,11929,Small Towns,East of England,Non-coastal,Smaller non-coastal town,E30000237,Luton,Majority town and city (Large Towns),Mixed,Lower deprivation towns,No university,High,141,86.01398601398601,69.50354609929079,87.94326241134752,69.50354609929079,53.191489361702125,11.347517730496454,NA,42.5531914893617,17.02127659574468,NA,NA,16.1,36.4,45.5,4.099290780141844,5.649712778
E34002512,Guisborough BUA,16979,Small Towns,North East,Non-coastal,Smaller non-coastal town,E30000093,Middlesbrough and Stockton,Majority town and city (Large Towns),Residential,Mid deprivation towns,No university,Medium,201,78.04878048780488,59.20398009950249,75.62189054726367,45.77114427860697,39.800995024875625,24.378109452736318,17.412935323383085,42.78606965174129,12.935323383084576,13.432835820895523,NA,22.9,39.8,34.8,3.7512437810945274,0.599919251
E34002528,Olney BUA,6477,Small Towns,South East,Non-coastal,Smaller non-coastal town,E30000243,Milton Keynes,Majority town and city (Large Towns),Working,Lower deprivation towns,No university,High,69,93.42105263157895,86.95652173913044,95.65217391304348,81.15942028985508,65.21739130434783,NA,NA,37.68115942028986,15.942028985507244,NA,NA,NA,31.9,58,4.6231884057971016,10.74972706
E34002529,New Alresford BUA,5431,Small Towns,South East,Non-coastal,Smaller non-coastal town,E30000267,Southampton,Majority town and city (Large Towns),Mixed,Lower deprivation towns,No university,High,55,75.43859649122807,65.45454545454545,90.9090909090909,61.81818181818181,45.45454545454545,21.818181818181817,NA,43.63636363636363,20,NA,NA,NA,50.9,NA,3.8363636363636364,2.585660421
E34002540,Marchwood BUA,6141,Small Towns,South East,Non-coastal,Smaller non-coastal town,E30000267,Southampton,Majority town and city (Large Towns),Mixed,Lower deprivation towns,No university,Medium,69,69.33333333333334,66.66666666666666,89.85507246376811,65.21739130434783,36.231884057971016,20.28985507246377,NA,62.31884057971014,26.08695652173913,NA,NA,14.7,55.9,NA,3.739130434782609,2.021652879
E34002554,Rugeley BUA,24033,Medium Towns,West Midlands,Non-coastal,Large non-coastal town,E30000271,Stafford,Majority town and city (small),Mixed,Higher deprivation towns,No university,Low,292,64.59016393442623,58.56164383561644,77.05479452054794,35.61643835616438,20.54794520547945,22.26027397260274,16.095890410958905,56.5068493150685,35.273972602739725,8.904109589041095,3.4,34.7,43,18.9,3.106164383561644,-3.750785762
E34002562,Saffron Walden BUA,15210,Small Towns,East of England,Non-coastal,Smaller non-coastal town,E30000186,Cambridge,Majority town and city (Large Towns),Working,Lower deprivation towns,No university,Medium,174,85.79881656804734,70.11494252873564,86.20689655172413,60.91954022988506,43.103448275862064,16.666666666666664,12.068965517241379,50,24.71264367816092,NA,NA,20.5,39.8,36.9,3.7528735632183907,3.951955622
E34002605,Knutsford BUA,13191,Small Towns,North West,Non-coastal,Smaller non-coastal town,E30000197,Crewe,Majority town and city (small),Working,Lower deprivation towns,No university,High,129,77.51937984496125,66.66666666666666,89.92248062015504,62.7906976744186,50.3875968992248,13.178294573643413,8.527131782945736,43.41085271317829,21.705426356589147,NA,NA,18.3,32.8,45.8,4.0852713178294575,3.730134
E34002608,Shepley BUA,5444,Small Towns,Yorkshire and The Humber,Non-coastal,Smaller non-coastal town,E30000219,Huddersfield,Majority conurbation,Residential,Lower deprivation towns,No university,Medium,58,68.96551724137932,70.6896551724138,94.82758620689656,67.24137931034483,51.724137931034484,17.24137931034483,NA,55.172413793103445,20.689655172413794,NA,NA,NA,54.4,NA,4,3.283891891
E34002609,Biggleswade BUA,16551,Small Towns,East of England,Non-coastal,Smaller non-coastal town,E30000272,Stevenage and Welwyn Garden City,Majority town and city (Large Towns),Mixed,Lower deprivation towns,No university,Low,222,73.568281938326,53.6036036036036,80.63063063063063,48.64864864864865,33.78378378378378,16.666666666666664,11.711711711711711,50.9009009009009,27.47747747747748,6.306306306306306,NA,30.6,37.4,29.3,3.4504504504504503,-1.06055732
E34002624,Ripon BUA,16363,Small Towns,Yorkshire and The Humber,Non-coastal,Smaller non-coastal town,E30000214,Harrogate,Majority town and city (Large Towns),Mixed,Lower deprivation towns,No university,Medium,176,76.8361581920904,76.70454545454545,82.95454545454545,55.68181818181818,36.93181818181818,22.727272727272727,14.204545454545455,54.54545454545454,31.818181818181817,NA,NA,26.4,44.9,28.1,3.528409090909091,2.456561847
E34002637,Selsey BUA,10550,Small Towns,South East,Coastal,Smaller seaside town,E30000191,Chichester and Bognor Regis,Majority town and city (small),Residential,Mid deprivation towns,No university,Low,111,64.70588235294117,53.153153153153156,69.36936936936937,36.93693693693694,18.01801801801802,14.414414414414415,NA,50.45045045045045,27.027027027027028,9.90990990990991,NA,38.4,40.2,NA,2.990990990990991,-4.474723195
E34002653,Ilfracombe BUA,11184,Small Towns,South West,Coastal,Smaller seaside town,E30000162,Barnstaple,Majority rural,Mixed,Higher deprivation towns,No university,Low,133,85.9375,60.150375939849624,84.21052631578947,45.11278195488722,30.075187969924812,15.789473684210526,NA,42.857142857142854,18.796992481203006,7.518796992481203,NA,31.8,39.4,26.5,3.3909774436090228,0.559264105
E34002678,Saltburn-by-the-Sea BUA,5958,Small Towns,North East,Coastal,Smaller seaside town,E30000093,Middlesbrough and Stockton,Majority town and city (Large Towns),Residential,Higher deprivation towns,No university,Medium,72,74.64788732394366,59.72222222222222,84.72222222222221,47.22222222222222,34.72222222222222,30.555555555555557,19.444444444444446,37.5,18.055555555555554,NA,NA,26,45.2,NA,3.4722222222222223,-0.395280266
E34002686,Ventnor BUA,5976,Small Towns,South East,Coastal,Smaller seaside town,E30000070,Isle of Wight,Majority town and city (small),Residential,Higher deprivation towns,No university,Medium,53,69.84126984126983,49.056603773584904,75.47169811320755,43.39622641509434,18.867924528301888,22.641509433962266,NA,45.28301886792453,20.754716981132077,NA,NA,25.9,53.7,NA,3.188679245283019,-3.147683679
E34002689,Newton Aycliffe BUA,25964,Medium Towns,North East,Non-coastal,Large non-coastal town,E30000203,Durham and Bishop Auckland,Majority rural,Working,Higher deprivation towns,No university,Low,325,67.98780487804879,61.846153846153854,85.23076923076923,45.53846153846154,27.692307692307693,24.307692307692307,18.461538461538463,44.30769230769231,22.153846153846153,17.846153846153847,NA,26.9,47.7,22.9,3.3415384615384616,-1.482598265
E34002694,Newbiggin-by-the-Sea BUA,6308,Small Towns,North East,Coastal,Smaller seaside town,E30000173,Blyth and Ashington,Majority town and city (small),Residential,Higher deprivation towns,No university,Low,72,49.152542372881356,33.33333333333333,83.33333333333334,30.555555555555557,13.88888888888889,22.22222222222222,16.666666666666664,41.66666666666667,23.61111111111111,NA,NA,47.2,44.4,NA,2.7083333333333335,-9.622821465
E34002712,Filey BUA,6530,Small Towns,Yorkshire and The Humber,Coastal,Smaller seaside town,E30000259,Scarborough,Majority town and city (small),Residential,Higher deprivation towns,No university,Low,64,75,43.75,75,48.4375,31.25,23.4375,NA,42.1875,17.1875,NA,NA,30.2,42.9,NA,3.359375,-2.13977095
E34002717,Hoo St Werburgh BUA,6113,Small Towns,South East,Non-coastal,Smaller non-coastal town,E30000242,Medway,Majority town and city (Large Towns),Residential,Mid deprivation towns,No university,Low,93,72.97297297297297,53.76344086021505,90.32258064516128,30.107526881720432,16.129032258064516,20.43010752688172,12.903225806451612,56.98924731182796,36.55913978494624,10.75268817204301,NA,45.3,35.8,NA,2.860215053763441,-4.418054903
E34002727,Arlesey BUA,5584,Small Towns,East of England,Non-coastal,Smaller non-coastal town,E30000272,Stevenage and Welwyn Garden City,Majority town and city (Large Towns),Residential,Lower deprivation towns,No university,Low,51,67.3469387755102,56.86274509803921,94.11764705882352,43.13725490196079,19.607843137254903,27.450980392156865,23.52941176470588,54.90196078431373,37.254901960784316,NA,NA,37.3,41.2,NA,3.176470588235294,-2.725592731
E34002729,South Woodham Ferrers BUA,16453,Small Towns,East of England,Non-coastal,Smaller non-coastal town,E30000188,Chelmsford,Majority town and city (Large Towns),Mixed,Lower deprivation towns,No university,Low,245,81.81818181818183,59.183673469387756,90.20408163265307,59.591836734693885,34.69387755102041,19.183673469387756,16.3265306122449,60,35.91836734693877,NA,NA,22,44.7,32.5,3.706122448979592,2.153188205
E34002730,Earls Barton BUA,5387,Small Towns,East Midlands,Non-coastal,Smaller non-coastal town,E30000224,Kettering and Wellingborough,Majority town and city (small),Mixed,Lower deprivation towns,No university,Medium,64,73.01587301587301,71.875,84.375,54.6875,39.0625,18.75,17.1875,43.75,25,NA,NA,28.1,40.6,NA,3.625,1.709309858
E34002733,Lichfield BUA,32877,Medium Towns,West Midlands,Non-coastal,Large non-coastal town,E30000288,Wolverhampton and Walsall,Majority conurbation,Working,Mid deprivation towns,No university,Medium,384,79.83870967741935,66.66666666666666,84.375,51.822916666666664,39.0625,19.270833333333336,12.5,49.21875,19.53125,5.989583333333334,NA,24.1,38.1,36.3,3.78125,2.174353696
E34002746,Calverton BUA,6868,Small Towns,East Midlands,Non-coastal,Smaller non-coastal town,E30000249,Nottingham,Majority conurbation,Residential,Lower deprivation towns,No university,Low,88,91.46341463414635,65.9090909090909,87.5,44.31818181818182,28.40909090909091,22.727272727272727,NA,48.86363636363637,26.136363636363637,NA,NA,20.2,56.2,NA,3.4318181818181817,1.821299858
E34002766,Blackfield BUA,13712,Small Towns,South East,Coastal,Smaller other coastal town,E30000267,Southampton,Majority town and city (Large Towns),Mixed,Mid deprivation towns,No university,Low,162,70.80745341614907,51.23456790123457,76.5432098765432,35.18518518518518,21.604938271604937,25.925925925925924,14.814814814814813,55.55555555555556,32.098765432098766,6.790123456790123,6.2,28,47.2,18.6,3.074074074074074,-3.872906722
E34002796,Yaxley BUA,9174,Small Towns,East of England,Non-coastal,Smaller non-coastal town,E30000108,Peterborough,Majority town and city (Large Towns),Residential,Lower deprivation towns,No university,Low,113,74.10714285714286,63.716814159292035,81.25,47.32142857142857,30.973451327433626,12.389380530973451,10.619469026548673,49.557522123893804,23.893805309734514,NA,NA,30.4,41.7,26.1,3.353982300884956,-0.383765608
E34002801,Lymm BUA,11608,Small Towns,North West,Non-coastal,Smaller non-coastal town,E30000284,Warrington and Wigan,Majority conurbation,Residential,Lower deprivation towns,No university,High,147,91.04477611940298,73.46938775510205,89.1156462585034,76.87074829931973,57.82312925170068,10.884353741496598,6.802721088435375,38.095238095238095,11.564625850340136,6.802721088435375,NA,11,35.2,51.7,4.401360544217687,8.134159931
E34002816,Dereham BUA,20651,Medium Towns,East of England,Non-coastal,Large non-coastal town,E30000248,Norwich,Majority town and city (Large Towns),Mixed,Mid deprivation towns,No university,Low,229,64.52991452991454,51.52838427947598,79.91266375545851,39.737991266375545,26.200873362445414,20.52401746724891,16.157205240174672,54.14847161572053,29.257641921397383,6.986899563318777,NA,40.5,37,19.8,3.074235807860262,-4.173643774
E34002820,Shrewsbury BUA,71715,Medium Towns,West Midlands,Non-coastal,Large non-coastal town,E30000262,Shrewsbury,Majority town and city (Large Towns),Working,Mid deprivation towns,No university,Medium,705,75.97222222222221,64.25531914893618,83.97163120567376,51.34751773049645,33.33333333333333,18.581560283687942,12.76595744680851,52.198581560283685,21.98581560283688,8.794326241134751,1.6,26.4,45.1,27,3.4709219858156026,0.574837261
E34002826,Witley BUA,6437,Small Towns,South East,Non-coastal,Smaller non-coastal town,E30000212,Guildford and Aldershot,Majority town and city (Large Towns),Residential,Lower deprivation towns,No university,Medium,79,79.06976744186046,67.08860759493672,89.87341772151899,55.69620253164557,44.303797468354425,13.924050632911392,NA,46.835443037974684,18.9873417721519,NA,NA,19.5,41.6,39,4,3.081454678
E34002854,Newport (Telford and Wrekin) BUA,12741,Small Towns,West Midlands,Non-coastal,Smaller non-coastal town,E30000278,Telford,Majority town and city (Large Towns),Residential,Lower deprivation towns,No university,Medium,145,80.27210884353741,71.03448275862068,90.3448275862069,57.24137931034483,44.827586206896555,16.551724137931036,12.413793103448276,42.06896551724138,21.379310344827587,8.275862068965518,NA,15.3,45.8,38.2,4.0137931034482754,3.790062821
E34002872,Beaconsfield BUA,13797,Small Towns,South East,Non-coastal,Smaller non-coastal town,E30000218,High Wycombe and Aylesbury,Majority town and city (Large Towns),Working,Lower deprivation towns,No university,High,126,87.06896551724138,79.36507936507937,93.65079365079364,78.57142857142857,59.523809523809526,7.936507936507936,NA,38.88888888888889,15.873015873015872,NA,NA,10.9,37.5,50.8,4.357142857142857,8.2794322910000009
E34002877,Croesowallt BUA,18743,Small Towns,West Midlands,Non-coastal,Smaller non-coastal town,K01000014,Oswestry,Majority rural,Working,Higher deprivation towns,No university,Low,161,72.15189873417721,54.037267080745345,84.472049689441,37.88819875776397,31.05590062111801,18.012422360248447,10.559006211180124,54.6583850931677,25.465838509316768,10.559006211180124,NA,41.1,28.8,27.6,3.2857142857142856,-2.606345723
E34002878,Chapel-en-le-Frith BUA,6598,Small Towns,East Midlands,Non-coastal,Smaller non-coastal town,E30000185,Buxton,Majority town and city (small),Mixed,Lower deprivation towns,No university,Medium,82,80.76923076923077,70.73170731707317,85.36585365853658,59.756097560975604,30.48780487804878,18.29268292682927,13.414634146341465,58.536585365853654,32.926829268292686,NA,NA,21,51.9,NA,3.475609756097561,2.545779792
E34002906,Longridge BUA,7526,Small Towns,North West,Non-coastal,Smaller non-coastal town,E30000255,Preston,Majority town and city (Large Towns),Mixed,Lower deprivation towns,No university,Medium,80,86.07594936708861,63.74999999999999,90,52.5,31.25,21.25,18.75,60,30,NA,NA,22.5,52.5,NA,3.55,2.03595631
E34002917,Verwood BUA,13360,Small Towns,South West,Non-coastal,Smaller non-coastal town,E30000175,Bournemouth,Majority town and city (Large Towns),Residential,Lower deprivation towns,No university,Medium,172,77.24550898203593,55.81395348837209,80.23255813953489,54.06976744186046,37.7906976744186,14.534883720930234,12.209302325581394,54.06976744186046,29.069767441860467,NA,NA,23.7,43.9,31.8,3.6569767441860463,0.650819418
E34002927,Whitchurch (Shropshire) BUA,9710,Small Towns,West Midlands,Non-coastal,Smaller non-coastal town,E30000262,Shrewsbury,Majority town and city (Large Towns),Mixed,Higher deprivation towns,No university,Low,113,63.39285714285714,57.52212389380531,69.02654867256636,46.902654867256636,39.823008849557525,19.469026548672566,13.274336283185843,51.32743362831859,23.008849557522122,NA,NA,30.1,30.1,35.4,3.566371681415929,-1.702726769
E34002963,Tidworth BUA,9174,Small Towns,South West,Non-coastal,Smaller non-coastal town,E30000258,Salisbury,Majority rural,Residential,Lower deprivation towns,No university,Low,87,60.22727272727273,42.5287356321839,88.50574712643679,28.735632183908045,22.988505747126435,NA,NA,65.51724137931035,40.229885057471265,NA,NA,51.7,23.6,NA,2.9885057471264367,-6.794033365
E34002971,Bracebridge Heath BUA,5656,Small Towns,East Midlands,Non-coastal,Smaller non-coastal town,E30000231,Lincoln,Majority town and city (Large Towns),Residential,Lower deprivation towns,No university,Medium,70,81.66666666666667,85.71428571428571,97.14285714285714,71.42857142857143,50,25.71428571428571,18.571428571428573,60,27.142857142857142,NA,NA,NA,46.5,42.3,4.171428571428572,7.11604934
E34002993,Barton-upon-Humber BUA,11066,Small Towns,Yorkshire and The Humber,Coastal,Smaller other coastal town,E30000260,Scunthorpe,Majority town and city (Large Towns),Working,Higher deprivation towns,No university,Low,124,74.4186046511628,50.806451612903224,93.54838709677419,42.74193548387097,36.29032258064516,19.35483870967742,10.483870967741936,38.70967741935484,20.967741935483872,8.870967741935484,NA,27,43.4,28.7,3.596774193548387,-1.359109482
E34003008,Aylsham BUA,6016,Small Towns,East of England,Non-coastal,Smaller non-coastal town,E30000248,Norwich,Majority town and city (Large Towns),Residential,Mid deprivation towns,No university,Medium,53,62.745098039215684,66.0377358490566,90.56603773584906,43.39622641509434,18.867924528301888,NA,NA,47.16981132075472,NA,NA,NA,27.3,52.7,NA,3.1320754716981134,-2.459003441
E34003021,Poringland BUA,5132,Small Towns,East of England,Non-coastal,Smaller non-coastal town,E30000248,Norwich,Majority town and city (Large Towns),Residential,Lower deprivation towns,No university,Medium,48,68.88888888888889,66.66666666666666,87.2340425531915,53.191489361702125,31.25,NA,NA,41.66666666666667,20.833333333333336,NA,NA,29.8,46.8,NA,3.3125,-0.295070798
E34003024,Manningtree BUA,5696,Small Towns,East of England,Non-coastal,Smaller non-coastal town,E30000193,Colchester,Majority town and city (Large Towns),Mixed,Lower deprivation towns,No university,Medium,61,78.125,54.09836065573771,80.32786885245902,49.18032786885246,32.78688524590164,22.950819672131146,16.39344262295082,47.540983606557376,26.229508196721312,NA,NA,31.7,43.3,NA,3.377049180327869,-0.632590012
E34003029,Keynsham BUA,15641,Small Towns,South West,Non-coastal,Smaller non-coastal town,E30000180,Bristol,Majority town and city (Large Towns),Working,Mid deprivation towns,No university,Medium,177,82.02247191011236,67.2316384180791,89.26553672316385,54.23728813559322,33.89830508474576,20.33898305084746,15.819209039548024,47.45762711864407,27.683615819209038,NA,NA,16.6,53.7,28.6,3.672316384180791,2.400008357
E34003071,Sleaford BUA,17359,Small Towns,East Midlands,Non-coastal,Smaller non-coastal town,E30000231,Lincoln,Majority town and city (Large Towns),Working,Mid deprivation towns,No university,Low,226,79.06976744186046,57.07964601769911,87.16814159292035,49.557522123893804,33.1858407079646,18.58407079646018,9.734513274336283,46.46017699115044,22.566371681415927,10.619469026548673,NA,26.5,43.8,26.5,3.4513274336283186,0.01403388
E34003078,Barrow-in-Furness BUA,45865,Medium Towns,North West,Coastal,Large other coastal town,E30000163,Barrow-in-Furness,Majority town and city (small),Working,Higher deprivation towns,No university,Low,561,68.45878136200717,48.484848484848484,71.65775401069519,35.82887700534759,16.93404634581105,39.037433155080215,26.737967914438503,44.563279857397504,25.13368983957219,16.93404634581105,4.1,28.6,52.1,15.2,3.0427807486631018,-4.450589183
E34003082,Wellesbourne BUA,5849,Small Towns,West Midlands,Non-coastal,Smaller non-coastal town,E30000228,Leamington Spa,Majority town and city (small),Mixed,Lower deprivation towns,No university,Medium,49,90.38461538461539,75.51020408163265,91.83673469387756,61.224489795918366,30.612244897959183,22.448979591836736,NA,63.26530612244898,24.489795918367346,NA,NA,NA,49,NA,3.693877551020408,4.888089933
E34003098,Clowne BUA,7590,Small Towns,East Midlands,Non-coastal,Smaller non-coastal town,E30000190,Chesterfield,Majority town and city (Large Towns),Residential,Higher deprivation towns,No university,Low,79,86.81318681318682,60.75949367088608,89.87341772151899,46.835443037974684,31.645569620253166,18.9873417721519,NA,45.56962025316456,24.050632911392405,16.455696202531644,NA,25.6,46.2,NA,3.481012658227848,1.12736806
E34003102,Chatteris BUA,10298,Small Towns,East of England,Non-coastal,Smaller non-coastal town,E30000221,Huntingdon,Majority rural,Residential,Higher deprivation towns,No university,Low,120,73.63636363636363,55.833333333333336,87.5,46.666666666666664,20.833333333333336,15,10,52.5,24.166666666666668,11.666666666666666,NA,32.2,49.2,NA,3.1416666666666666,-1.868861258
E34003104,Brixham BUA,16693,Small Towns,South West,Coastal,Smaller seaside town,E30000279,Torquay and Paignton,Majority town and city (small),Residential,Higher deprivation towns,No university,Low,174,41.76470588235294,56.896551724137936,79.88505747126436,47.12643678160919,31.60919540229885,25.287356321839084,12.068965517241379,48.85057471264368,21.26436781609195,8.620689655172415,NA,18.8,54.5,25.6,3.528735632183908,-4.391985684
E34003109,Murton (County Durham) BUA,7413,Small Towns,North East,Non-coastal,Smaller non-coastal town,E30000275,Sunderland,Majority conurbation,Residential,Higher deprivation towns,No university,Low,56,67.24137931034483,64.28571428571429,85.71428571428571,35.714285714285715,26.785714285714285,NA,NA,33.92857142857143,NA,NA,NA,29.1,49.1,NA,3.1964285714285716,-2.61264338
E34003112,Tiverton BUA,19544,Small Towns,South West,Non-coastal,Smaller non-coastal town,E30000206,Exeter,Majority town and city (Large Towns),Working,Higher deprivation towns,No university,Low,218,66.51785714285714,51.8348623853211,75.22935779816514,38.53211009174312,20.642201834862387,27.522935779816514,15.59633027522936,59.174311926605505,30.275229357798167,10.091743119266056,NA,30,48.4,18.4,3.1422018348623855,-3.828427778
E34003124,Hurstpierpoint BUA,12730,Small Towns,South East,Non-coastal,Smaller non-coastal town,E30000196,Crawley,Majority town and city (Large Towns),Residential,Lower deprivation towns,No university,High,109,70.43478260869566,69.72477064220183,93.57798165137615,57.798165137614674,41.284403669724774,16.51376146788991,NA,44.95412844036697,18.34862385321101,NA,NA,14.8,51.9,32.4,3.8440366972477062,2.081328337
E34003129,South Hayling BUA,15485,Small Towns,South East,Coastal,Smaller seaside town,E30000254,Portsmouth,Majority town and city (Large Towns),Residential,Mid deprivation towns,No university,Medium,128,74.04580152671755,49.21875,82.03125,45.3125,27.34375,16.40625,7.8125,56.25,21.09375,8.59375,NA,25.8,53.9,19.5,3.265625,-2.251562259
E34003154,Egremont BUA,6222,Small Towns,North West,Non-coastal,Smaller non-coastal town,E30000286,Whitehaven,Majority rural,Residential,Higher deprivation towns,No university,Low,82,85.39325842696628,57.3170731707317,79.26829268292683,47.5609756097561,12.195121951219512,47.5609756097561,39.02439024390244,63.41463414634146,40.243902439024396,18.29268292682927,NA,28.4,58,NA,3.1951219512195124,-0.110993506
E34003165,Swaffham BUA,7258,Small Towns,East of England,Non-coastal,Smaller non-coastal town,E30000225,King's Lynn,Majority rural,Mixed,Higher deprivation towns,No university,Low,64,55.38461538461539,57.8125,73.4375,42.1875,31.25,15.625,NA,56.25,26.5625,NA,NA,27.3,42.4,NA,3.5625,-3.048500521
E34003168,Ledbury BUA,8862,Small Towns,West Midlands,Non-coastal,Smaller non-coastal town,E30000216,Hereford,Majority rural,Mixed,Lower deprivation towns,No university,Medium,91,70.37037037037037,57.14285714285714,76.92307692307693,35.16483516483517,27.472527472527474,20.87912087912088,NA,52.74725274725275,23.076923076923077,NA,NA,33.3,37.6,26.9,3.340659340659341,-2.599414593
E34003174,Skipton BUA,14623,Small Towns,Yorkshire and The Humber,Non-coastal,Smaller non-coastal town,E30000039,Skipton,Majority rural,Working,Mid deprivation towns,No university,Medium,148,78.52760736196319,56.75675675675676,88.51351351351352,46.62162162162162,40.54054054054054,17.56756756756757,10.135135135135135,41.891891891891895,18.91891891891892,8.108108108108109,NA,30.9,34.9,33.6,3.6621621621621623,0.242248857
E34003178,Bradford on Avon BUA,9149,Small Towns,South West,Non-coastal,Smaller non-coastal town,E30000280,Trowbridge,Majority town and city (small),Mixed,Lower deprivation towns,No university,High,94,68.75,62.76595744680851,85.1063829787234,58.51063829787234,47.87234042553192,18.085106382978726,10.638297872340425,40.42553191489361,19.148936170212767,NA,NA,19.1,41.5,37.2,3.797872340425532,1.129926322
E34003196,Oundle BUA,5735,Small Towns,East Midlands,Non-coastal,Smaller non-coastal town,E30000108,Peterborough,Majority town and city (Large Towns),Working,Lower deprivation towns,No university,High,59,75.47169811320755,57.6271186440678,88.13559322033898,57.6271186440678,42.3728813559322,16.94915254237288,NA,47.45762711864407,23.728813559322035,NA,NA,19.7,45.9,NA,3.6779661016949152,0.998725151
E34003205,Sherburn in Elmet BUA,6657,Small Towns,Yorkshire and The Humber,Non-coastal,Smaller non-coastal town,E30000294,York,Majority town and city (Large Towns),Working,Lower deprivation towns,No university,Low,70,84.61538461538461,52.85714285714286,85.71428571428571,35.714285714285715,28.57142857142857,27.142857142857142,18.571428571428573,57.14285714285714,34.285714285714285,NA,NA,29,49.3,NA,3.4285714285714284,-1.054967497
E34003206,Ludlow BUA,10515,Small Towns,West Midlands,Non-coastal,Smaller non-coastal town,E30000236,Ludlow,Majority rural,Mixed,Higher deprivation towns,No university,Low,106,66.66666666666666,54.71698113207547,82.0754716981132,36.79245283018868,23.58490566037736,16.9811320754717,11.320754716981133,63.20754716981132,30.18867924528302,NA,NA,36.8,43.4,NA,3.1226415094339623,-3.735958141
E34003218,Bingham BUA,9131,Small Towns,East Midlands,Non-coastal,Smaller non-coastal town,E30000249,Nottingham,Majority conurbation,Residential,Lower deprivation towns,No university,Medium,113,83.33333333333334,81.41592920353983,96.46017699115043,63.716814159292035,44.24778761061947,17.699115044247787,13.274336283185843,47.78761061946903,23.008849557522122,NA,NA,20.7,38.7,40.5,4.070796460176991,5.9158806330000004
E34003222,Lewes BUA,17297,Small Towns,South East,Non-coastal,Smaller non-coastal town,E30000204,Eastbourne,Majority town and city (Large Towns),Working,Mid deprivation towns,No university,High,190,82.8125,73.15789473684211,85.26315789473684,61.05263157894737,44.73684210526316,13.157894736842104,NA,41.578947368421055,14.210526315789473,7.368421052631578,NA,16.3,44.2,36.8,3.8263157894736843,4.118350123
