Breed,2013 Rank,2014 Rank,2015 Rank,2016 Rank,2017 Rank,2018 Rank,2019 Rank,2020 Rank,links,Image
Sealyham Terriers,158,169,158,155,150,164,156,148,https://www.akc.org/dog-breeds/sealyham-terrier/,https://www.akc.org/wp-content/uploads/2017/11/Sealyham-Terrier-Illo-3.jpg
Spanish Water Dogs,NA,NA,NA,NA,NA,NA,NA,149,https://www.akc.org/dog-breeds/spanish-water-dog/,https://www.akc.org/wp-content/uploads/2017/11/Spanish-Water-Dog-Illo-2.jpg
Briards,127,132,130,132,127,132,137,150,https://www.akc.org/dog-breeds/briard/,https://www.akc.org/wp-content/uploads/2017/11/Briard-Illo-2.jpg
Berger Picards,NA,NA,NA,NA,NA,NA,NA,151,https://www.akc.org/dog-breeds/berger-picard/,https://www.akc.org/wp-content/uploads/2017/11/Berger-Picard-illustration.jpg
Entlebucher Mountain Dogs,155,153,159,161,152,157,169,152,https://www.akc.org/dog-breeds/entlebucher-mountain-dog/,https://www.akc.org/wp-content/uploads/2017/11/Entlebucher-Mountain-Dog-illustration.jpg
Treeing Walker Coonhounds,101,112,117,137,131,137,131,153,https://www.akc.org/dog-breeds/treeing-walker-coonhound/,https://www.akc.org/wp-content/uploads/2017/11/Treeing-Walker-Coonhound-Illo.jpg
Icelandic Sheepdogs,142,146,140,153,144,155,134,154,https://www.akc.org/dog-breeds/icelandic-sheepdog/,https://www.akc.org/wp-content/uploads/2017/11/Icelandic-Sheepdog-Illo-2.jpg
Wirehaired Vizslas,NA,NA,NA,NA,NA,NA,NA,155,https://www.akc.org/dog-breeds/wirehaired-vizsla/,https://www.akc.org/wp-content/uploads/2017/11/Wirehaired-Vizsla-Illo-2.jpg
Pumik,NA,NA,NA,NA,NA,NA,NA,156,https://www.akc.org/dog-breeds/pumi/,https://www.akc.org/wp-content/uploads/2017/11/Pumi-Illo-2.jpg
Portuguese Podengo Pequenos,153,166,153,160,159,154,149,157,https://www.akc.org/dog-breeds/portuguese-podengo/,https://www.akc.org/wp-content/uploads/2017/11/Pumi-Illo-2.jpg
Spaniels (American Water),144,160,157,156,167,166,166,158,https://www.akc.org/dog-breeds/american-water-spaniel/,https://www.akc.org/wp-content/uploads/2017/11/American-Water-Spaniel-Illo-2.jpg
Retrievers (Curly-Coated),163,163,151,164,171,162,165,159,https://www.akc.org/dog-breeds/curly-coated-retriever/,https://www.akc.org/wp-content/uploads/2017/11/Curly-Coated-Retriever-illustration.jpg
Spaniels (Field),140,137,145,147,145,149,155,160,https://www.akc.org/dog-breeds/field-spaniel/,https://www.akc.org/wp-content/uploads/2017/11/Field-Spaniel-Illo-2.jpg
Lowchen,154,165,161,171,169,168,160,161,https://www.akc.org/dog-breeds/lowchen/,https://www.akc.org/wp-content/uploads/2017/11/Lowchen-Illo.jpg
Nederlandse Kooikerhondjes,NA,NA,NA,NA,NA,NA,NA,162,https://www.akc.org/dog-breeds/nederlandse-kooikerhondje/,https://www.akc.org/wp-content/uploads/2017/11/nederlandse_kooikerhondje_illustration.jpg
Affenpinschers,143,144,136,149,147,148,152,163,https://www.akc.org/dog-breeds/affenpinscher/,https://www.akc.org/wp-content/uploads/2017/11/Affenpinscher-illustration.jpg
Petits Bassets Griffons Vendeens,138,150,143,148,160,156,154,164,https://www.akc.org/dog-breeds/petit-basset-griffon-vendeen/,https://www.akc.org/wp-content/uploads/2017/11/Petit-Basset-Griffon-Vendee-Illo.jpg
Finnish Lapphunds,171,173,169,173,173,161,167,165,https://www.akc.org/dog-breeds/finnish-lapphund/,https://www.akc.org/wp-content/uploads/2017/11/Finnish-Lapphund-Illo-2.jpg
Scottish Deerhounds,165,157,152,154,168,158,151,166,https://www.akc.org/dog-breeds/scottish-deerhound/,https://www.akc.org/wp-content/uploads/2017/11/Scottish-Deerhound-Illo-2.jpg
Plott Hounds,NA,NA,NA,NA,NA,NA,NA,167,https://www.akc.org/dog-breeds/plott-hound/,https://www.akc.org/wp-content/uploads/2017/11/Plott-Illo-2.jpg
Norwegian Buhunds,166,172,165,174,170,165,171,168,https://www.akc.org/dog-breeds/norwegian-buhund/,https://www.akc.org/wp-content/uploads/2017/11/Norwegian-Buhund-Illo-2.jpg
Glen of Imaal Terriers,167,162,168,180,158,174,170,169,https://www.akc.org/dog-breeds/glen-of-imaal-terrier/,https://www.akc.org/wp-content/uploads/2017/11/Glen-of-Imaal-Terrier-Illo-2.jpg
Setters (Irish Red and White),145,155,148,142,154,146,157,170,https://www.akc.org/dog-breeds/irish-red-and-white-setter/,https://www.akc.org/wp-content/uploads/2017/11/Irish-Red-and-White-Setter-Illo-2.jpg
Ibizan Hounds,151,159,160,152,165,152,173,171,https://www.akc.org/dog-breeds/ibizan-hound/,https://www.akc.org/wp-content/uploads/2017/11/Ibizan-Hound-Illo-2.jpg
Spaniels (Sussex),162,175,173,172,161,180,178,172,https://www.akc.org/dog-breeds/sussex-spaniel/,https://www.akc.org/wp-content/uploads/2017/11/Sussex-Spaniel-Illo-2.jpg
Bergamasco Sheepdogs,NA,NA,NA,NA,NA,NA,NA,173,https://www.akc.org/dog-breeds/bergamasco-sheepdog/,https://www.akc.org/wp-content/uploads/2017/11/Bergamasco-Illo.jpg
Spaniels (Irish Water),141,152,144,150,164,159,172,174,https://www.akc.org/dog-breeds/irish-water-spaniel/,https://www.akc.org/wp-content/uploads/2017/11/Irish-Water-Spaniel-illustration.jpg
Polish Lowland Sheepdogs,157,170,164,169,176,170,175,175,https://www.akc.org/dog-breeds/polish-lowland-sheepdog/,https://www.akc.org/wp-content/uploads/2017/11/Polish-Lowland-Sheepdog-Illo-2.jpg
Otterhounds,172,179,180,166,186,182,174,176,https://www.akc.org/dog-breeds/otterhound/,https://www.akc.org/wp-content/uploads/2017/11/Otterhound-Illo-2.jpg
Kuvaszok,150,161,150,165,157,163,168,177,https://www.akc.org/dog-breeds/kuvasz/,https://www.akc.org/wp-content/uploads/2017/11/Kuvasz-Illo-2.jpg
Komondorok,159,168,163,177,163,173,183,178,https://www.akc.org/dog-breeds/komondor/,https://www.akc.org/wp-content/uploads/2017/11/Komondor-Illo-2.jpg
Cirnechi dell Etna,NA,NA,NA,NA,NA,NA,NA,179,https://www.akc.org/dog-breeds/cirneco-delletna/,https://www.akc.org/wp-content/uploads/2017/11/Cirneco-Dell-Etna-Illo.jpg
Pharaoh Hounds,160,164,171,168,174,172,163,180,https://www.akc.org/dog-breeds/pharaoh-hound/,https://www.akc.org/wp-content/uploads/2017/11/Pharaoh-Hound-Illo-2.jpg
Dandie Dinmont Terriers,168,167,172,167,182,176,176,181,https://www.akc.org/dog-breeds/dandie-dinmont-terrier/,https://www.akc.org/wp-content/uploads/2017/11/Dandie-Dinmont-Terrier-Illo-2.jpg
Pyrenean Shepherds,169,178,176,176,180,181,184,182,https://www.akc.org/dog-breeds/pyrenean-shepherd/,https://www.akc.org/wp-content/uploads/2017/11/Pyrenean-Shepherd-Illo-2.jpg
Skye Terriers,161,177,175,178,172,178,189,183,https://www.akc.org/dog-breeds/skye-terrier/,https://www.akc.org/wp-content/uploads/2017/11/Skye-Terrier-Illo.jpg
Canaan Dogs,164,176,170,181,175,179,181,184,https://www.akc.org/dog-breeds/canaan-dog/,https://www.akc.org/wp-content/uploads/2017/11/Caanan-Dog-Illo.jpg
American English Coonhounds,146,156,166,170,178,175,177,185,https://www.akc.org/dog-breeds/american-english-coonhound/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12133614/American-English-Coonhound-illustration.jpg
Chinooks,156,171,177,175,179,190,186,186,https://www.akc.org/dog-breeds/chinook/,https://www.akc.org/wp-content/uploads/2017/11/Chinook.21.jpg
Finnish Spitz,170,174,178,179,177,184,185,187,https://www.akc.org/dog-breeds/finnish-spitz/,https://www.akc.org/wp-content/uploads/2017/11/Finnish-Spitz-Illo-2.jpg
Grand Basset Griffon Vendeens,NA,NA,NA,NA,NA,NA,NA,188,https://www.akc.org/dog-breeds/grand-basset-griffon-vendeen/,https://www.akc.org/wp-content/uploads/2017/11/GBGV-illustration.jpg
Sloughis,NA,NA,NA,NA,NA,NA,NA,189,https://www.akc.org/dog-breeds/sloughi/,https://www.akc.org/wp-content/uploads/2017/11/Sloughi-Illo.jpg
Harriers,173,181,183,186,183,189,188,190,https://www.akc.org/dog-breeds/harrier/,https://www.akc.org/wp-content/uploads/2017/11/Harrier-Illo-2.jpg
Cesky Terriers,174,182,179,182,185,185,190,191,https://www.akc.org/dog-breeds/cesky-terrier/,https://www.akc.org/wp-content/uploads/2017/11/Cesky-Terrier-Illo-2.jpg
American Foxhounds,176,180,181,189,187,186,191,192,https://www.akc.org/dog-breeds/american-foxhound/,https://www.akc.org/wp-content/uploads/2017/11/American-Foxhound-Illo-2.jpg
Azawakhs,NA,NA,NA,NA,NA,NA,NA,193,https://www.akc.org/dog-breeds/azawakh/,https://www.akc.org/wp-content/uploads/2017/11/Azawakh_illustration.bw_.1.jpg
English Foxhounds,177,183,184,187,189,188,195,194,https://www.akc.org/dog-breeds/english-foxhound/,https://www.akc.org/wp-content/uploads/2017/11/English-Foxhound-Illo-2.jpg
Norwegian Lundehunds,175,184,182,188,190,191,194,195,https://www.akc.org/dog-breeds/norwegian-lundehund/,https://www.akc.org/wp-content/uploads/2017/11/Norwegian-Lundehund-Illo-2.jpg
