State,Year,Total Employed RN,Employed Standard Error (%),Hourly Wage Avg,Hourly Wage Median,Annual Salary Avg,Annual Salary Median,Wage/Salary standard error (%),Hourly 10th Percentile,Hourly 25th Percentile,Hourly 75th Percentile,Hourly 90th Percentile,Annual 10th Percentile,Annual 25th Percentile,Annual 75th Percentile,Annual 90th Percentile,Location Quotient,Total Employed (National)_Aggregate,"Total Employed (Healthcare, National)_Aggregate","Total Employed (Healthcare, State)_Aggregate",Yearly Total Employed (State)_Aggregate
Delaware,2013,9740,5.9,33.97,33.79,70660,70280,2,25.45,29.52,39.2,44,52930,61400,81540,91520,1.18,133614660,7807260,26800,412140
District of Columbia,2013,11030,5.4,37.28,36.69,77550,76310,1.8,27.59,32.01,42.83,47.43,57400,66570,89090,98650,0.83,133614660,7807260,31360,665850
Florida,2013,162530,2.1,29.84,29.05,62060,60420,0.5,21.65,25.04,34.23,39.13,45040,52070,71210,81380,1.09,133614660,7807260,465460,7453230
Georgia,2013,66080,2.5,29.63,29.79,61630,61950,0.7,20.99,25,34.35,38.11,43660,52000,71450,79270,0.85,133614660,7807260,217120,3879660
Hawaii,2013,10300,10.6,41.05,41.32,85380,85940,2.4,28.81,33.81,49.77,55.11,59920,70330,103530,114640,0.85,133614660,7807260,28420,602200
Idaho,2013,12150,2.5,28.74,28.36,59770,58980,1.2,20.69,24.4,33.43,37.09,43040,50760,69530,77150,0.99,133614660,7807260,34490,613000
Illinois,2013,109480,2,32.08,31.2,66730,64890,1,21.29,25.58,37.61,44.78,44270,53210,78220,93140,0.96,133614660,7807260,324350,5704700
Indiana,2013,59730,2.6,28.04,27.58,58320,57370,0.8,19.81,22.91,33.03,36.87,41200,47650,68700,76690,1.04,133614660,7807260,180780,2854250
Iowa,2013,32100,3.9,25.73,25.3,53520,52610,1.1,19.09,21.35,29.54,34.46,39700,44410,61430,71670,1.07,133614660,7807260,83660,1491600
Kansas,2013,26940,7.1,27.12,26.82,56410,55780,1.1,19.58,22.28,31.88,35.55,40730,46340,66320,73940,1,133614660,7807260,77480,1336460
Kentucky,2013,42400,4.8,27.65,27.25,57520,56680,0.8,20.19,23.16,32.15,35.78,42000,48170,66870,74420,1.18,133614660,7807260,117860,1782820
Louisiana,2013,40600,2.6,29.7,29.03,61780,60380,1,20.52,24.3,34.52,40.24,42670,50540,71800,83700,1.07,133614660,7807260,120510,1885310
Maine,2013,13890,2.4,30.12,29.66,62640,61680,1.6,21.74,25.16,34.88,40.45,45210,52320,72560,84130,1.19,133614660,7807260,39940,582430
Maryland,2013,46070,5.6,34.18,34.04,71100,70810,0.7,24.76,28.65,40.3,44.7,51500,59590,83830,92970,0.91,133614660,7807260,153240,2534480
Massachusetts,2013,79270,2.4,40.25,38.4,83720,79880,1.7,25.7,30.98,48.53,60.56,53470,64440,100950,125960,1.21,133614660,7807260,230520,3257870
Michigan,2013,91840,1.2,31.64,31.27,65820,65050,0.7,23.78,26.66,35.52,41.39,49460,55460,73890,86080,1.14,133614660,7807260,262450,3998790
Minnesota,2013,57920,2.4,34.21,33.92,71160,70560,1.3,23.89,27.86,40.77,45.64,49690,57960,84790,94920,1.07,133614660,7807260,158240,2688580
Mississippi,2013,27590,3.6,27.18,26.41,56530,54920,1,19.16,21.89,31.88,36.67,39850,45540,66320,76260,1.27,133614660,7807260,73870,1083560
Missouri,2013,64870,3.8,27.9,27.26,58040,56690,1.1,19.39,22.16,33.25,37.97,40330,46090,69160,78980,1.22,133614660,7807260,181210,2639120
Montana,2013,9040,5.8,29.18,28.29,60700,58840,1.1,22.13,25.06,33.41,38.18,46030,52130,69490,79420,1.03,133614660,7807260,28100,439110
Nebraska,2013,19550,2,27.37,26.84,56920,55820,0.8,19.83,22.46,32.05,36.21,41250,46720,66660,75310,1.05,133614660,7807260,56320,927150
Nevada,2013,17160,5.3,37.89,37.62,78800,78240,1.6,27.62,32.03,43.98,50.75,57450,66630,91490,105570,0.74,133614660,7807260,48270,1151970
New Hampshire,2013,12180,3.8,31.03,30.13,64540,62680,1.3,21.78,25.37,36.89,43.02,45300,52760,76730,89470,0.98,133614660,7807260,34800,620190
New Jersey,2013,75410,2,37.19,37.2,77360,77380,0.8,27.49,31.85,43,47.08,57180,66240,89430,97920,0.98,133614660,7807260,211110,3821070
New Mexico,2013,14540,13.8,31.2,30.81,64900,64070,1.4,23.81,26.41,35.46,41.43,49530,54930,73760,86180,0.92,133614660,7807260,43400,783980
New York,2013,169820,2.1,36.29,35.75,75470,74370,0.9,24.38,29.48,43.37,50.98,50700,61310,90210,106050,0.98,133614660,7807260,502290,8635400
North Carolina,2013,88350,1.9,28.51,28.12,59290,58490,0.6,20.32,23.63,33.38,36.99,42260,49150,69430,76930,1.11,133614660,7807260,248150,3947030
North Dakota,2013,7750,14.1,26.94,26.64,56030,55400,1,20.42,23.5,29.93,34.48,42470,48880,62260,71720,0.91,133614660,7807260,23560,422930
Ohio,2013,124400,2.7,29.69,29.1,61750,60530,0.7,22.81,25.36,34.05,37.81,47440,52760,70830,78650,1.21,133614660,7807260,342310,5125850
Oklahoma,2013,25960,3.5,27.47,27.34,57130,56870,1,19.51,22.78,32.43,36.01,40580,47370,67460,74900,0.83,133614660,7807260,92320,1558860
Oregon,2013,28490,4.3,38.67,38.64,80440,80360,1.3,27.98,32.64,44.29,50.82,58200,67890,92130,105710,0.87,133614660,7807260,85570,1640300
Pennsylvania,2013,124750,2.1,31.74,31.17,66010,64830,0.8,22.68,26.11,36.43,43.21,47170,54310,75770,89870,1.11,133614660,7807260,357690,5616820
Rhode Island,2013,11570,5.1,35.62,35.71,74080,74280,1.3,25.65,30.21,41.64,45.21,53360,62830,86610,94040,1.26,133614660,7807260,30400,456100
South Carolina,2013,41950,2.1,28.69,27.99,59670,58220,1.6,19.28,23.53,33.39,37.34,40100,48950,69450,77670,1.14,133614660,7807260,113520,1826120
South Dakota,2013,11540,1.2,25.51,24.51,53050,50980,1,19.11,20.95,29.58,34.55,39750,43580,61530,71860,1.43,133614660,7807260,28230,402990
Tennessee,2013,57760,1.8,27.27,26.96,56730,56080,0.7,19.94,23.01,31.7,35.53,41470,47850,65940,73900,1.07,133614660,7807260,185740,2700050
Texas,2013,190090,1.8,32.62,32.36,67860,67310,0.6,23.25,26.91,37.97,43.93,48350,55970,78970,91360,0.87,133614660,7807260,574980,10913950
Utah,2013,18550,3.6,28.89,28.38,60090,59040,0.8,21.51,24.74,33.24,36.56,44740,51450,69140,76050,0.74,133614660,7807260,59960,1242690
Vermont,2013,6710,6.7,30.41,28.93,63260,60180,2.5,22.37,25.12,35.43,41.92,46530,52250,73690,87190,1.12,133614660,7807260,19390,298290
Virginia,2013,60120,3.8,30.36,30.17,63150,62750,0.9,20.45,24.43,35.64,42.26,42530,50810,74140,87910,0.82,133614660,7807260,190370,3631440
Washington,2013,53060,4.9,36.74,36.3,76420,75500,0.9,24.9,30.28,43.57,51.16,51780,62970,90620,106410,0.93,133614660,7807260,151530,2827200
West Virginia,2013,18440,5.1,26.56,26.06,55240,54210,1.4,18.71,21.7,31.12,35.97,38920,45130,64720,74820,1.29,133614660,7807260,54440,709430
Wisconsin,2013,56870,5.9,30.99,30.41,64460,63260,0.9,23.75,26.22,35.27,41.21,49410,54540,73350,85710,1.05,133614660,7807260,155260,2704840
Wyoming,2013,4500,2.4,29.56,29.06,61480,60450,0.9,22.93,25.53,33.94,37.53,47690,53100,70590,78060,0.8,133614660,7807260,13530,278910
Guam,2013,520,1.7,25.22,24.75,52450,51480,1.6,16.46,19.52,30.42,35.32,34230,40600,63280,73470,0.43,133614660,7807260,1840,59500
Puerto Rico,2013,18890,2.4,15.77,14.73,32800,30650,2.2,11.82,12.94,17.4,20.97,24580,26920,36180,43620,1.01,133614660,7807260,48580,927460
Virgin Islands,2013,300,20.2,21.56,20.82,44830,43300,6.7,12.23,13.77,27.22,33.28,25440,28630,56610,69220,0.38,133614660,7807260,1000,38860
Alabama,2012,43760,2.5,26.57,26.02,55270,54120,0.7,19.44,21.97,30.49,35.23,40440,45700,63420,73270,1.19,131331400,7698450,118100,1824400
Alaska,2012,5350,6.2,38.93,38.73,80970,80570,1.2,28.99,32.9,44.46,50.95,60290,68440,92480,105970,0.83,131331400,7698450,15730,318700
Arizona,2012,45600,4,34.32,34.24,71390,71210,0.8,24.99,29.3,40.18,44.6,51980,60950,83570,92760,0.93,131331400,7698450,134010,2414340
Arkansas,2012,23480,3.5,26.62,26.16,55360,54410,1.1,19.07,21.78,31.11,35.67,39660,45300,64720,74200,1.01,131331400,7698450,72970,1155020
California,2012,249980,1.9,45.25,43.88,94120,91270,1,30.52,35.84,54.7,65.56,63490,74550,113780,136360,0.86,131331400,7698450,721930,14303630
Colorado,2012,41380,2.6,32.66,32.22,67920,67010,0.6,23.96,27.1,38.01,43.79,49840,56370,79070,91080,0.92,131331400,7698450,117610,2226160
Connecticut,2012,34820,2.6,36.37,35.86,75660,74580,0.9,26.23,31.05,42.39,47.07,54550,64570,88180,97900,1.06,131331400,7698450,99270,1620620
Delaware,2012,9660,7.3,34.05,33.62,70820,69920,2.2,25.09,29.41,38.74,44.45,52190,61170,80570,92460,1.18,131331400,7698450,26620,405750
District of Columbia,2012,11310,6,36.44,36.31,75790,75520,2.3,25.87,31.41,42.63,47.3,53810,65330,88670,98390,0.86,131331400,7698450,29850,653760
Florida,2012,163720,2.4,29.7,28.88,61780,60060,0.6,21.46,24.92,34.12,39.05,44630,51830,70980,81230,1.11,131331400,7698450,459410,7273850
Georgia,2012,64180,2.8,29.22,29.42,60770,61190,0.4,20.7,24.71,34,37.12,43050,51390,70730,77220,0.83,131331400,7698450,209410,3815530
Hawaii,2012,10060,13.5,40.74,40.96,84750,85200,2.1,28.07,33.36,49.65,55.08,58390,69400,103270,114570,0.85,131331400,7698450,26990,588210
Idaho,2012,11420,2.2,28.42,28.01,59100,58260,1.2,20.37,24.2,33.07,36.82,42370,50330,68790,76590,0.94,131331400,7698450,33270,598540
Illinois,2012,114730,2.3,31.86,31.34,66260,65200,0.9,21.43,25.76,36.95,43.72,44580,53580,76860,90930,1.01,131331400,7698450,323310,5640740
Indiana,2012,58430,3.6,27.65,27.22,57520,56620,0.8,19.61,22.67,32.56,36.38,40790,47150,67730,75680,1.03,131331400,7698450,178640,2811920
Iowa,2012,32170,3.2,25.26,24.85,52540,51700,1.2,18.63,20.96,29.05,34.08,38760,43590,60430,70880,1.08,131331400,7698450,83190,1470740
Kansas,2012,26380,6.1,26.94,26.64,56040,55400,1.1,19.51,22.27,31.55,35.38,40590,46320,65620,73590,0.99,131331400,7698450,74730,1320920
Kentucky,2012,42920,4.2,27.65,27.2,57510,56580,0.7,20.23,23.21,32.07,35.86,42080,48270,66710,74600,1.2,131331400,7698450,116370,1764750
Louisiana,2012,40180,2.3,29.45,28.73,61260,59760,1,20.61,24.25,34.2,39.78,42870,50440,71130,82740,1.06,131331400,7698450,121810,1868210
Maine,2012,14260,13,29.18,28.75,60700,59790,1.2,21.65,25.02,33.56,36.92,45030,52040,69790,76800,1.21,131331400,7698450,40270,581110
Maryland,2012,45630,4.1,34.18,33.8,71090,70310,0.8,24.51,28.35,40.25,45.03,50980,58970,83710,93650,0.9,131331400,7698450,154920,2510680
Massachusetts,2012,79570,2.6,40.08,38.23,83370,79520,1.7,25.66,31.01,48.26,60.03,53370,64500,100380,124860,1.23,131331400,7698450,227840,3202080
Michigan,2012,90540,1.3,30.97,30.69,64430,63840,0.7,23.36,26.24,34.92,39.76,48580,54590,72630,82700,1.14,131331400,7698450,259910,3918120
Minnesota,2012,54940,2.4,34.03,33.96,70780,70630,1.3,23.96,28.04,40.36,44.91,49840,58310,83950,93410,1.03,131331400,7698450,153280,2641110
Mississippi,2012,28200,3.4,27.76,26.53,57740,55180,2.1,19.26,22,32.35,38.87,40050,45760,67280,80860,1.29,131331400,7698450,74920,1080420
Missouri,2012,65260,3.2,27.4,26.68,56990,55500,1.2,19.11,21.76,32.63,37.17,39750,45260,67880,77300,1.24,131331400,7698450,179390,2605910
Montana,2012,8400,4.5,28.81,27.99,59920,58220,1,21.84,24.65,32.98,37.25,45420,51280,68610,77480,0.96,131331400,7698450,26520,432380
Nebraska,2012,18590,1.5,27.09,26.54,56350,55210,0.8,19.76,22.31,31.68,36.01,41100,46400,65890,74900,1.01,131331400,7698450,54630,914830
Nevada,2012,16790,4.8,37.44,37.33,77870,77640,1.3,27.84,32.01,43.23,48.57,57900,66580,89920,101020,0.74,131331400,7698450,47770,1127160
New Hampshire,2012,12530,3.7,30.73,29.89,63920,62180,1.3,21.86,25.39,36.04,42.31,45470,52810,74950,87990,1.01,131331400,7698450,35430,612710
New Jersey,2012,74700,3.3,36.45,36.49,75820,75890,0.5,27.12,31.47,42.19,45.74,56410,65460,87740,95150,0.97,131331400,7698450,205760,3793720
New Mexico,2012,14780,2.7,32.07,31.72,66710,65980,1.4,23.69,26.8,36.65,43.13,49280,55750,76240,89710,0.94,131331400,7698450,44870,773860
New York,2012,166950,2.4,35.63,35.16,74100,73130,0.8,23.97,29.06,42.6,49.58,49860,60450,88620,103130,0.97,131331400,7698450,494330,8542280
North Carolina,2012,86240,2.7,28.25,27.88,58760,57990,0.5,20.33,23.59,32.98,36.45,42290,49070,68600,75830,1.1,131331400,7698450,238220,3878800
North Dakota,2012,7580,14.9,25.73,25.61,53520,53260,1.2,19.6,22.2,28.83,33.64,40760,46170,59970,69970,0.93,131331400,7698450,23360,403290
Ohio,2012,120460,3,29.31,28.85,60970,60010,0.7,22.2,25.16,33.67,37,46170,52330,70020,76950,1.18,131331400,7698450,337410,5054250
Oklahoma,2012,26850,4.4,26.91,26.78,55980,55690,1,19.18,22.28,31.7,35.56,39890,46350,65940,73970,0.87,131331400,7698450,92150,1529900
Oregon,2012,28840,4.6,37.75,37.9,78530,78830,1.1,27.4,32.02,43.43,48.44,56990,66600,90340,100750,0.89,131331400,7698450,84580,1609900
Pennsylvania,2012,125220,2.4,31.25,30.57,65000,63590,0.7,21.87,25.63,35.89,42.73,45480,53300,74660,88880,1.11,131331400,7698450,351870,5596480
Rhode Island,2012,11840,3.9,35.13,35.06,73070,72920,1.5,25.37,29.69,41.25,45.25,52760,61760,85790,94130,1.29,131331400,7698450,30890,453020
South Carolina,2012,41870,1.7,28.33,27.76,58940,57730,1.2,19.31,23.18,33.02,36.52,40150,48220,68670,75960,1.15,131331400,7698450,113690,1796550
South Dakota,2012,11030,1.2,25.39,24.24,52800,50420,1.2,19.15,20.88,29.39,34.48,39840,43430,61130,71710,1.37,131331400,7698450,27650,398680
Tennessee,2012,55580,2.7,26.83,26.49,55800,55110,0.7,19.71,22.72,30.82,35.12,40990,47270,64120,73060,1.03,131331400,7698450,180850,2657280
Texas,2012,187290,2.3,31.9,31.6,66350,65740,0.6,22.52,26.27,36.96,43.44,46850,54640,76880,90350,0.88,131331400,7698450,567220,10579400
Utah,2012,17920,2.6,28.76,28.22,59810,58690,0.8,21.55,24.66,33.02,36.34,44820,51280,68670,75580,0.74,131331400,7698450,58670,1200850
Vermont,2012,6310,5.3,30.46,29.36,63350,61060,2.6,21.53,25.03,35.54,42.01,44780,52070,73930,87390,1.06,131331400,7698450,19190,294090
Virginia,2012,58650,2.5,30.31,30.11,63050,62630,0.9,20.55,24.53,35.56,41.97,42740,51020,73970,87300,0.81,131331400,7698450,187410,3597100
Washington,2012,51060,6.2,36.22,35.72,75350,74290,0.9,24.92,29.75,42.8,49.62,51820,61880,89020,103210,0.91,131331400,7698450,149560,2764080
West Virginia,2012,17440,3.9,26.2,25.51,54490,53070,1.7,17.99,21.05,30.35,35.83,37410,43790,63130,74530,1.21,131331400,7698450,52620,710540
Wisconsin,2012,54640,3.3,30.77,30.28,64000,62990,0.9,23.59,26.05,35.12,40.76,49060,54180,73060,84790,1.01,131331400,7698450,158140,2673280
Wyoming,2012,4460,2.9,29.18,28.67,60690,59640,1,21.65,24.98,33.75,37.54,45040,51950,70210,78080,0.79,131331400,7698450,13360,278040
Guam,2012,460,2.3,25.75,25.45,53560,52940,1.6,17.05,20.02,30.81,35.73,35470,41630,64080,74310,0.38,131331400,7698450,1710,60970
Puerto Rico,2012,17550,2.7,15.83,14.73,32930,30650,2.4,11.82,12.92,17.37,21.16,24590,26870,36120,44010,0.92,131331400,7698450,45640,942080
Virgin Islands,2012,330,13.3,24.49,25.37,50940,52780,3.8,13.64,20.12,29.04,34.06,28360,41850,60410,70840,0.4,131331400,7698450,1200,40660
Alabama,2019,49190,1.5,28.96,28.27,60230,58800,0.7,20.84,24.02,33.4,38.26,43350,49960,69480,79590,1.23,147838700,8727310,129690,1974170
Alaska,2019,6210,11.4,43.51,43.54,90500,90550,1.2,29.36,35,52.35,58.85,61060,72790,108880,122400,0.96,147838700,8727310,17530,317090
Arizona,2019,54590,3.6,37.66,36.93,78330,76820,0.9,26.93,31.71,43.62,48.97,56020,65950,90730,101870,0.94,147838700,8727310,167590,2866820
Arkansas,2019,25210,3.7,29.49,29.01,61330,60340,1.3,20.69,24.78,34.21,38.39,43030,51530,71160,79850,1.02,147838700,8727310,80540,1217420
California,2019,302770,2.1,54.44,53.18,113240,110620,0.9,34.24,42.59,66.22,78.76,71230,88590,137730,163830,0.86,147838700,8727310,844930,17382400
Colorado,2019,52510,2.5,36.65,36.1,76230,75100,0.6,26.41,30.53,42.81,48.75,54940,63500,89040,101390,0.97,147838700,8727310,144680,2678490
Connecticut,2019,34740,7.6,40.12,39.24,83440,81630,0.9,28.85,33.54,46.81,53.62,60010,69760,97370,111520,1.03,147838700,8727310,105800,1665100
Delaware,2019,11730,2.4,35.63,35.01,74100,72830,2.7,26.01,29.64,40.49,47.62,54110,61650,84220,99050,1.28,147838700,8727310,31410,451900
District of Columbia,2019,10890,2.1,45.59,43.98,94820,91470,4.2,29.58,35.88,51.51,64.43,61520,74620,107150,134020,0.74,147838700,8727310,30310,723510
Florida,2019,181670,1.9,32.5,31.65,67610,65830,0.7,23.09,27.02,37.36,44,48020,56210,77700,91510,1.02,147838700,8727310,547060,8794050
Georgia,2019,75430,2,33.46,32.89,69590,68410,0.8,24,27.56,38.73,45.96,49910,57320,80560,95600,0.83,147838700,8727310,245700,4471860
Hawaii,2019,11330,2.4,50.03,53.22,104060,110700,1.8,33.09,42.67,59.29,63.16,68820,88760,123310,131360,0.88,147838700,8727310,30770,635500
Idaho,2019,14110,4.9,33.4,33.33,69480,69320,1.3,24.95,28.23,38.24,44.71,51890,58720,79540,93000,0.96,147838700,8727310,42100,727160
Illinois,2019,129530,1.7,35.34,34.43,73510,71620,0.9,24.81,28.55,41.32,48.65,51610,59390,85950,101200,1.06,147838700,8727310,354470,6025790
Indiana,2019,67510,2.7,32,30.61,66560,63670,0.8,23.9,26.75,36.59,42.79,49710,55640,76100,89010,1.08,147838700,8727310,193730,3073680
Iowa,2019,32980,2.5,29.13,28.6,60590,59490,1,21.82,25.46,32.65,37.72,45390,52960,67900,78450,1.05,147838700,8727310,85780,1549460
Kansas,2019,30370,3.6,30.02,29.23,62450,60800,1.1,21.68,25.37,34.67,39.21,45090,52770,72120,81570,1.07,147838700,8727310,86100,1392480
Kentucky,2019,43840,3.5,30.65,29.89,63750,62180,0.9,21.47,25.66,35.58,39.93,44660,53370,74010,83060,1.14,147838700,8727310,122100,1896900
Louisiana,2019,40870,2.1,31.66,30.79,65850,64040,0.8,22.65,26.47,36.48,41.3,47120,55060,75890,85910,1.05,147838700,8727310,129270,1921950
Maine,2019,14490,2.7,33.54,33.14,69760,68940,1.3,25.31,28.21,38.26,44.62,52650,58680,79580,92810,1.17,147838700,8727310,42390,611170
Maryland,2019,53150,3.5,37.46,36.92,77910,76780,0.8,26.63,31.27,44.05,49.28,55400,65030,91620,102490,0.97,147838700,8727310,169210,2701010
Massachusetts,2019,81020,4.4,44.79,42.09,93160,87540,1.7,28.93,34.23,54.23,68.17,60180,71190,112800,141800,1.1,147838700,8727310,238920,3619640
Michigan,2019,96900,3.6,35.19,34.74,73200,72260,0.9,26.33,29.86,39.59,46.33,54770,62100,82340,96370,1.1,147838700,8727310,279500,4344230
Minnesota,2019,71000,8.2,38.52,37.77,80130,78560,1.3,27.44,32.33,45.15,50.48,57070,67250,93920,105010,1.21,147838700,8727310,190800,2880650
Mississippi,2019,29550,4.8,28.73,28.17,59750,58590,1.3,20.21,23.77,33.48,38.5,42040,49440,69640,80080,1.29,147838700,8727310,78860,1128280
Missouri,2019,68840,3.2,30.85,30.03,64160,62470,1.1,20.76,24.89,36.57,42.99,43170,51770,76070,89430,1.2,147838700,8727310,186610,2820610
Montana,2019,10310,6.7,33.34,32.65,69340,67920,1,25.52,28.13,37.92,43.96,53070,58500,78870,91430,1.08,147838700,8727310,30080,468000
Nebraska,2019,23800,2.5,32.04,31.25,66640,65010,0.6,24.69,27.28,36.71,41.72,51350,56750,76360,86770,1.19,147838700,8727310,62390,982040
Nevada,2019,22940,6.7,42.49,42.02,88380,87400,1.7,31.34,35.34,49.31,57.35,65190,73520,102560,119290,0.81,147838700,8727310,64510,1392680
New Hampshire,2019,14320,2,35.52,34.95,73880,72690,1.1,25.81,29.27,41.51,47.63,53680,60880,86340,99060,1.07,147838700,8727310,40290,660480
New Jersey,2019,80140,3.9,40.52,40.35,84280,83920,0.7,29.98,34.37,46.94,52.5,62360,71480,97630,109210,0.97,147838700,8727310,239800,4087950
New Mexico,2019,17350,2.3,35.24,35.18,73300,73180,1.3,26.14,30.4,39.81,46.07,54370,63230,82810,95820,1.04,147838700,8727310,47530,823570
New York,2019,178320,2,42.23,41.99,87840,87330,1.1,27.39,33.39,49.71,59.55,56980,69450,103400,123860,0.92,147838700,8727310,546900,9522980
North Carolina,2019,99960,0.9,31.94,31.06,66440,64600,0.6,23.08,26.67,37.01,42.83,48010,55470,76970,89080,1.1,147838700,8727310,276020,4462800
North Dakota,2019,9750,8,31.87,31.1,66290,64680,1,25.27,27.49,36.31,40.27,52550,57170,75530,83770,1.14,147838700,8727310,27090,422520
Ohio,2019,125470,3.3,32.8,31.63,68220,65790,0.6,25.13,27.56,37.18,43.31,52260,57330,77340,90090,1.13,147838700,8727310,363390,5447780
Oklahoma,2019,31350,3,31.15,30.6,64800,63650,0.8,22.34,26.42,35.96,39.7,46460,54950,74800,82580,0.95,147838700,8727310,99790,1617390
Oregon,2019,36660,6.3,44.69,44.89,92960,93370,1,32.77,38.44,51.46,59.06,68160,79950,107040,122850,0.95,147838700,8727310,100720,1905860
Pennsylvania,2019,148040,1.9,34.33,33.91,71410,70540,0.7,25.31,28.7,39.14,46.32,52640,59690,81400,96340,1.24,147838700,8727310,406110,5901590
Rhode Island,2019,12630,5.4,39.57,39.97,82310,83140,1.7,28.36,33.35,46.04,49.89,58990,69370,95770,103770,1.29,147838700,8727310,33940,483580
South Carolina,2019,46860,1.4,31.17,30.65,64840,63750,0.9,22.52,26.55,35.97,39.57,46830,55220,74820,82310,1.09,147838700,8727310,128110,2107760
South Dakota,2019,12950,1.4,28.63,28.21,59540,58670,1,20.91,24.26,32.98,37.61,43500,50460,68600,78220,1.5,147838700,8727310,31410,425140
Tennessee,2019,63330,3.8,30.08,29.42,62570,61200,0.8,21.24,25.07,35.06,39.16,44180,52140,72920,81450,1.04,147838700,8727310,199730,3007710
Texas,2019,218090,1.5,35.84,35.29,74540,73400,0.6,25.75,29.68,41.68,48.02,53560,61740,86700,99880,0.86,147838700,8727310,676860,12431200
Utah,2019,21650,2.2,32.68,31.36,67970,65240,0.8,24.95,27.41,37.19,43.16,51900,57010,77350,89770,0.71,147838700,8727310,68350,1504070
Vermont,2019,7020,3.8,33.77,32.39,70240,67370,1.6,25.24,27.77,38.82,45.87,52490,57770,80740,95410,1.13,147838700,8727310,19930,306300
Virginia,2019,66040,2.6,34.56,33.77,71870,70230,0.9,24.47,28.08,39.88,47.53,50890,58410,82950,98860,0.84,147838700,8727310,214200,3878770
Washington,2019,58000,5.8,41.43,40.14,86170,83490,1.2,28.37,33.63,48.9,57.7,59000,69940,101720,120010,0.86,147838700,8727310,171440,3318510
West Virginia,2019,19830,2.6,30.39,29.55,63220,61450,1,21.45,25.81,35.45,40.57,44610,53690,73740,84390,1.39,147838700,8727310,58590,702100
Wisconsin,2019,61930,2.8,34.91,34.4,72610,71560,0.7,26.45,29.8,39.11,45.95,55020,61990,81350,95570,1.06,147838700,8727310,175730,2870050
Wyoming,2019,5120,2.2,33.03,31.87,68690,66290,1.1,24.59,27.34,37.53,43.4,51160,56870,78060,90270,0.92,147838700,8727310,14390,273340
Guam,2019,680,3,27.92,27.1,58070,56360,3.3,18.47,21.85,33.63,38.71,38410,45450,69940,80520,0.53,147838700,8727310,2180,63630
Puerto Rico,2019,19510,1.4,16.85,15.9,35040,33070,2.2,11.67,13.43,18.57,23.29,24260,27930,38620,48430,1.11,147838700,8727310,50620,865160
Virgin Islands,2019,460,7.9,32.93,33.87,68500,70440,1.9,22.07,29.54,37.62,43.39,45900,61430,78240,90260,0.66,147838700,8727310,1360,34420
Alabama,2009,42880,2,27.82,26.48,57860,55070,0.8,19.22,22.25,31.23,37.62,39980,46290,64950,78250,,131713800,7250140,113520,1863620
Alaska,2009,5010,6.9,36.04,35.33,74970,73480,1.2,26.05,29.89,40.88,48.37,54180,62170,85030,100620,,131713800,7250140,14110,308140
Arizona,2009,38570,3.9,32.27,31.78,67130,66100,2,20.84,26.63,37.88,43.15,43340,55380,78790,89740,,131713800,7250140,123660,2479120
Arkansas,2009,23050,4.3,27.42,25.1,57040,52210,1.7,17.84,21.01,30.12,36.4,37100,43710,62640,75720,,131713800,7250140,69110,1147660
California,2009,233030,2.2,40.9,39.86,85080,82910,0.9,28.46,33.52,48.11,56.41,59200,69720,100080,117330,,131713800,7250140,656080,14532640
Colorado,2009,41750,3,32.12,31.74,66800,66010,0.7,22.87,26.72,37.32,42.18,47560,55580,77620,87730,,131713800,7250140,112440,2234250
Connecticut,2009,35790,2.9,34.58,34.14,71930,71000,1,24.9,29.27,39.75,45.05,51800,60880,82680,93690,,131713800,7250140,93880,1648950
Delaware,2009,10220,2.4,34.02,33.45,70770,69570,1.7,25.65,28.92,38.01,41.41,53350,60160,79050,86140,,131713800,7250140,25650,412570
District of Columbia,2009,8890,9.8,35.6,35.36,74040,73550,2.3,25.53,29.61,40.98,48.02,53100,61590,85240,99880,,131713800,7250140,25320,637180
Florida,2009,150940,2.8,29.94,28.82,62270,59950,0.7,20.77,24.3,34.14,40.35,43190,50550,71020,83940,,131713800,7250140,423920,7355940
Georgia,2009,65370,2.1,29.3,29.14,60940,60610,0.8,20.62,24.52,33.94,38.89,42880,51010,70590,80900,,131713800,7250140,196040,3889160
Hawaii,2009,8930,6.9,38.47,39.34,80020,81830,1.6,26.79,32.71,46,50.48,55710,68030,95680,105000,,131713800,7250140,25060,587810
Idaho,2009,10540,5.8,29.48,28.07,61320,58380,2,20.9,24.1,32.82,39.97,43470,50120,68270,83140,,131713800,7250140,30280,614520
Illinois,2009,116340,2.4,31.46,30.7,65440,63850,1.1,20.55,25.54,37.05,43.37,42740,53130,77060,90210,,131713800,7250140,317690,5704240
Indiana,2009,57880,2.9,27.84,27.12,57910,56400,0.9,19.39,22.54,32.36,37.91,40320,46890,67300,78850,,131713800,7250140,167000,2787780
Iowa,2009,30750,3.9,24.97,24.15,51930,50220,1.2,17.44,20.63,28.64,32.74,36280,42910,59570,68100,,131713800,7250140,76640,1471130
Kansas,2009,26320,3.5,26.79,25.52,55730,53070,1.1,19.01,21.75,30.48,35.61,39540,45250,63400,74070,,131713800,7250140,72820,1348710
Kentucky,2009,43250,4.6,27.94,27,58110,56160,0.9,19.66,22.59,31.43,37.06,40890,46990,65370,77080,,131713800,7250140,111080,1748610
