cheese,url,milk,country,region,family,type,fat_content,calcium_content,texture,rind,color,flavor,aroma,vegetarian,vegan,synonyms,alt_spellings,producers
Blue Ledge La Luna,https://www.cheese.com/blue-ledge-la-luna/,goat,United States,Vermont,Gouda,"semi-hard, artisan",NA,NA,"firm, smooth",waxed,white,"creamy, milky, tangy",grassy,FALSE,FALSE,La Luna,NA,Blue Ledge
Blue Lupine,https://www.cheese.com/blue-lupine/,goat,United States,California,Blue,"semi-soft, blue-veined",NA,NA,"creamy, dense",natural,NA,tangy,goaty,NA,NA,NA,NA,Weirauch Farm and Creamery
Blue Rathgore,https://www.cheese.com/blue-rathgore/,goat,Ireland,County Antrim,Blue,"semi-soft, artisan",NA,NA,"creamy, crumbly",natural,ivory,"buttery, spicy",NA,TRUE,FALSE,NA,NA,NA
Blue Vein (Australian),https://www.cheese.com/blue-vein-australian/,cow,Australia,NA,Blue,"semi-soft, blue-veined",NA,NA,"creamy, dense",natural,blue,"salty, sharp","stinky, strong",NA,NA,NA,NA,NA
Blue Wensleydale,https://www.cheese.com/blue-wensleydale/,cow,England,North Yorkshire,Blue,"hard, blue-veined",NA,NA,close,cloth wrapped,blue,"acidic, salty, savory, sharp, strong",rich,TRUE,FALSE,NA,NA,Wensleydale Creamery
Blue Yonder,https://www.cheese.com/blue-yonder/,cow,United States,NY,Blue,"semi-soft, blue-veined",NA,NA,creamy,natural,white,subtle,rich,TRUE,FALSE,NA,NA,Lively Run Goat Dairy
Bluebell,https://www.cheese.com/bluebell/,cow,Scotland,NA,NA,semi-soft,NA,NA,soft,natural,blue-grey,sweet,mushroom,TRUE,FALSE,NA,NA,The Ethical Dairy
Bluebell Falls Cygnus,https://www.cheese.com/bluebell-falls-cygnus/,goat,Ireland,Co. Cork,NA,"fresh soft, artisan",NA,NA,"creamy, smooth",natural,white,"garlicky, herbaceous, sweet",NA,TRUE,FALSE,"Cygnus Goats Cheese, Cygnus Honey Garlic and Thyme Goats Cheese, Cygnus Pepper and Garlic Goats Cheese",NA,Bluebell Falls Goats Cheese
Blythedale Camembert Vermont™,https://www.cheese.com/blythedale-camembert/,cow,United States,Vermont,Camembert,"soft, artisan",NA,NA,"creamy, dense",natural,ivory,"earthy, mushroomy",mild,TRUE,FALSE,Camembert Vermont,NA,Blythedale Farm Cheeses
Bocconcini,https://www.cheese.com/bocconcini/,"cow, goat, water buffalo",Italy,NA,Mozzarella,"semi-soft, brined",NA,NA,creamy,rindless,white,"buttery, mild, sweet",NA,NA,NA,"bocconcino di bufala campana, bocconcini alla panna di bufala, Bocconcino Di Langa",NA,La Casa Del Formaggio
Boeren-Leidse met sleutels,https://www.cheese.com/boeren-leidse-met-sleutels/,cow,Netherlands,Leiden,Gouda,"hard, artisan",30-40%,NA,"crumbly, firm",waxed,yellow,"fruity, spicy","aromatic, rich",FALSE,FALSE,"Farmers Leiden, Leidse kaas, Leyden cheese, Boeren-Leidse kaas, Boeren-Leidse, cumin cheese, Leyden, Boeren-Leidse met sleutels, Boeren Leidenkaas",NA,NA
Bohemian Blue,https://www.cheese.com/bohemian-blue/,sheep,United States,Southwestern Wisconsin,Blue,"firm, artisan",NA,NA,"creamy, crumbly, dry",rindless,white,"piquant, sour, sweet",sweet,FALSE,FALSE,NA,NA,Hidden Springs Company
Boivin Extra Aged Cheddar,https://www.cheese.com/boivin-extra-aged-cheddar/,cow,Canada,Quebec,Cheddar,hard,NA,NA,"firm, smooth",rindless,straw,"acidic, buttery",NA,NA,NA,NA,NA,La Fromagerie Boivin
Boivin Marbled Cheddar,https://www.cheese.com/boivin-marbled-cheddar/,cow,Canada,Quebec,Cheddar,"semi-soft, processed",31%,NA,"firm, smooth",rindless,golden orange,"mild, salty, sweet",buttery,NA,NA,NA,NA,La Fromagerie Boivin
Boivin Medium Cheddar,https://www.cheese.com/boivin-medium-cheddar/,cow,Canada,Quebec,Cheddar,semi-hard,NA,NA,"firm, smooth",rindless,pale yellow,"acidic, buttery",NA,NA,NA,NA,NA,La Fromagerie Boivin
Bonchester,https://www.cheese.com/bonchester/,cow,"Scotland, United Kingdom",Roxburghshire,NA,"soft, artisan",20%,NA,"close, smooth",natural,yellow,mild,grassy,FALSE,FALSE,NA,NA,NA
Bonifaz,https://www.cheese.com/bonifaz/,cow,Germany,NA,NA,soft,43.3 g/100g,430 mg/100g,"creamy, soft",natural,cream,"creamy, garlicky, herbaceous, mild, milky, mushroomy, spicy",NA,FALSE,FALSE,NA,NA,Bergader Privatkäserei GmbH
Bonne Bouche,https://www.cheese.com/bonne-bouche/,goat,United States,Vermont,NA,soft,21%,NA,"creamy, fluffy, smooth",mold ripened,ivory,"citrusy, grassy",yeasty,TRUE,FALSE,NA,NA,Vermont Creamery
Boo Boo Baby Swiss,https://www.cheese.com/boo-boo-baby-swiss/,cow,United States,Utah,Swiss Cheese,"hard, artisan",NA,NA,"crumbly, firm, open",natural,yellow,"nutty, sweet","milky, pleasant",FALSE,FALSE,NA,NA,Rockhill Creamery
Bootlegger,https://www.cheese.com/bootlegger/,"cow, sheep","Canada, Italy",Lombardy,NA,"hard, artisan",NA,NA,"crumbly, firm",natural,pale yellow,"fruity, full-flavored, strong",floral,NA,NA,NA,NA,Fifth Town Artisan Cheese
Bossa,https://www.cheese.com/bossa/,sheep,United States,Missouri,NA,"semi-soft, artisan",NA,NA,"creamy, firm, spreadable",washed,cream,"floral, meaty",stinky,TRUE,FALSE,NA,NA,Green Dirt Farm
Bosworth,https://www.cheese.com/bosworth/,goat,United Kingdom,NA,NA,"soft, artisan",NA,NA,crumbly,mold ripened,white,"mild, salty, sweet",goaty,NA,NA,"Bosworth Leaf, Bosworth Ash Log",NA,Highfields Farm Dairy
Bothwell Black Truffle Cheddar,https://www.cheese.com/bothwell-black-truffle-cheddar/,cow,Canada,Manitoba,Cheddar,semi-hard,NA,NA,firm,rindless,pale yellow,"earthy, fruity","buttery, rich",NA,NA,NA,NA,Bothwell Cheese Inc.
Bougon,https://www.cheese.com/bougon/,goat,France,NA,NA,"soft, artisan",50%,NA,firm,bloomy,white,acidic,fresh,FALSE,FALSE,NA,NA,NA
Boulder Chevre,https://www.cheese.com/boulder-chevre/,goat,United States,NA,NA,"semi-soft, artisan",NA,NA,"creamy, crumbly, firm",NA,white,"citrusy, tangy","clean, fresh",TRUE,FALSE,NA,NA,Haystack Mountain Creamery
Boule Du Roves,https://www.cheese.com/boule-du-roves/,goat,France,NA,NA,"soft, artisan",NA,NA,creamy,natural,white,NA,fresh,FALSE,FALSE,NA,NA,NA
Boulette d'Avesnes,https://www.cheese.com/boulette-davesnes/,cow,France,Avesnes,NA,fresh soft,45%,NA,"creamy, smooth",washed,NA,spicy,stinky,TRUE,FALSE,NA,NA,NA
Bouncing Berry,https://www.cheese.com/bouncing-berry/,cow,United Kingdom,NA,NA,hard,NA,NA,creamy,waxed,pale yellow,fruity,NA,NA,NA,NA,NA,NA
Bourdin Goat Log,https://www.cheese.com/bourdin-goat-log/,goat,France,NA,Cottage,soft,NA,NA,"creamy, soft",rindless,NA,"creamy, tangy",fresh,NA,NA,"Bourdin Chevre, Chevre by Bourdin",NA,NA
Boursault,https://www.cheese.com/boursault/,cow,France,NA,Brie,"soft, soft-ripened",NA,NA,"creamy, spreadable",bloomy,NA,buttery,NA,NA,NA,NA,NA,NA
Boursin,https://www.cheese.com/boursin/,cow,France,Croisy-sur-Eure,NA,"soft, processed",60%,NA,"creamy, crumbly, spreadable",rindless,white,"buttery, full-flavored, herbaceous, smooth","fresh, strong",TRUE,FALSE,Gournay cheese,NA,Boursin Bel UK Ltd
Bouyguette,https://www.cheese.com/bouyguette/,goat,France,NA,NA,fresh soft,NA,NA,"creamy, crumbly, soft",edible,white,"lemony, milky, smooth","floral, fresh, goaty, grassy",FALSE,FALSE,NA,NA,NA
Bouyssou,https://www.cheese.com/bouyssou/,cow,France,Aveyron,NA,soft,NA,NA,,NA,NA,fruity,NA,FALSE,FALSE,NA,NA,NA
Boyne Valley Bán,https://www.cheese.com/boyne-valley-ban/,goat,Ireland,NA,NA,hard,NA,NA,"creamy, crumbly",natural,ivory,"earthy, full-flavored, garlicky, grassy, lemony, mushroomy, umami","barnyardy, buttery, earthy, goaty, musty",TRUE,FALSE,Boyne Valley Ban,NA,Boyne Valley Cheese
Bra Duro DOP,https://www.cheese.com/bra/,cow,Italy,Piedmont,NA,hard,35%,NA,firm,natural,pale yellow,"salty, savory",NA,FALSE,FALSE,Bra Duro DOP,NA,NA
Braudostur,https://www.cheese.com/braudostur/,cow,Iceland,NA,NA,semi-hard,25%,NA,,NA,NA,sweet,strong,FALSE,FALSE,NA,NA,NA
Breakfast Cheese,https://www.cheese.com/breakfast-cheese/,cow,United States,California,NA,"fresh firm, soft-ripened",7 g/100g,90 mg/100g,"dense, firm",rindless,white,"citrusy, tangy",fresh,TRUE,FALSE,Petite Breakfast,NA,Marin French Cheeese Co.
Brebirousse d'Argental,https://www.cheese.com/brebirousse-dargental/,sheep,France,NA,Brie,soft,NA,NA,"creamy, smooth",washed,orange,"creamy, sweet","grassy, milky",TRUE,FALSE,NA,NA,NA
Brebis d'Azure,https://www.cheese.com/brebis-dazure/,sheep,"Canada, Italy",Lombardy,Blue,"semi-hard, artisan, blue-veined",NA,NA,soft,natural,pale yellow,sharp,aromatic,NA,NA,NA,NA,Fifth Town Artisan Cheese
Brebis du Lavort,https://www.cheese.com/brebis-du-lavort/,sheep,France,Auvergne,NA,"semi-hard, artisan",NA,1050 mg/100g,"creamy, open",natural,ivory,"mild, nutty",earthy,FALSE,FALSE,NA,"Lavort, Guillaume de Lavort",Fromagerie De Terre Dieu
Brebis du Puyfaucon,https://www.cheese.com/brebis-du-puyfaucon/,sheep,France,Haute Vienne,NA,"soft, artisan",NA,NA,smooth,natural,NA,sweet,grassy,FALSE,FALSE,NA,NA,NA
Bree,https://www.cheese.com/vegan-bree/,plant-based,United Kingdom,NA,NA,soft,NA,NA,"creamy, soft-ripened",bloomy,white,"buttery, earthy, mushroomy","earthy, mild",TRUE,TRUE,NA,NA,Honestly Tasty
Brefu Bach,https://www.cheese.com/brefu-bach/,sheep,Wales,NA,NA,soft,NA,NA,soft,NA,golden yellow,NA,NA,NA,NA,NA,NA,NA
Bresse Bleu,https://www.cheese.com/bresse-bleu/,cow,France,NA,Blue,"soft, blue-veined",NA,NA,creamy,NA,white,creamy,"milky, mushroom",FALSE,FALSE,Bleu de Bresse,NA,NA
Brewer's Gold,https://www.cheese.com/brewers-gold/,cow,Ireland,Stoneyford,NA,"semi-soft, artisan",NA,NA,creamy,washed,pale yellow,NA,NA,TRUE,FALSE,NA,NA,Knockdrinna Farmhouse Cheese
Brick,https://www.cheese.com/brick/,cow,United States,Wisconsin,NA,"semi-hard, smear-ripened",NA,NA,"open, smooth",washed,ivory,"mild, nutty, sweet, tangy","pungent, rich",FALSE,FALSE,NA,NA,NA
Brick Lane Bree,https://www.cheese.com/vegan-brick-lane-bree-cheese/,plant-based,United Kingdom,NA,NA,soft,NA,NA,"buttery, creamy, gooey, soft",mold ripened,cream,"buttery, mild, mushroomy","buttery, mild, mushroom",TRUE,TRUE,NA,NA,La Fauxmagerie
Bridgewater,https://www.cheese.com/bridgewater/,cow,United States,"Ann Arbor, Michigan",NA,"soft, soft-ripened",NA,NA,"creamy, soft-ripened",bloomy,ivory,"citrusy, mushroomy, piquant, spicy","mushroom, spicy",FALSE,FALSE,NA,NA,Zingerman's Creamery
Brie,https://www.cheese.com/brie/,cow,France,NA,Brie,"soft, artisan",NA,NA,"buttery, soft-ripened",bloomy,cream,mild,"buttery, mild",FALSE,FALSE,NA,NA,NA
Brie au poivre (Brie with pepper),https://www.cheese.com/brie-au-poivre-brie-with-pepper/,cow,France,NA,Brie,"soft, soft-ripened",NA,NA,creamy,bloomy,NA,"creamy, spicy",spicy,NA,NA,NA,NA,NA
Brie Coco,https://www.cheese.com/brie-coco/,cow,Canada,Québec,Brie,"soft, soft-ripened",NA,NA,"buttery, creamy, smooth, soft-ripened",bloomy,pale yellow,"acidic, buttery, creamy, salty","mushroom, nutty",NA,NA,NA,NA,La Maison Alexis de Portneuf Inc.
Brie d'Alexis,https://www.cheese.com/brie-dalexis/,cow,Canada,Quebec,Brie,"soft, soft-ripened",NA,NA,"buttery, creamy, supple",bloomy,cream,"creamy, nutty",nutty,NA,NA,NA,NA,La Maison Alexis de Portneuf Inc.
Brie de Meaux,https://www.cheese.com/brie-de-meaux/,cow,France,Ile de France,Brie,"soft, artisan, soft-ripened",NA,NA,"creamy, smooth",bloomy,straw,milky,"buttery, sweet",NA,NA,NA,NA,NA
Brie de Melun,https://www.cheese.com/brie-de-melun/,cow,France,Ile de France,Brie,"semi-soft, soft-ripened",45%,NA,firm,bloomy,yellow,"salty, sharp, sour, strong","grassy, musty",NA,NA,Brie Noir,NA,NA
Brie de Portneuf,https://www.cheese.com/brie-de-portneuf/,cow,Canada,Quebec,Brie,"soft, soft-ripened",NA,NA,"buttery, creamy, supple",bloomy,cream,creamy,fruity,NA,NA,NA,NA,La Maison Alexis de Portneuf Inc.
Brie de Portneuf Double Cream,https://www.cheese.com/brie-de-portneuf-double-cream/,cow,Canada,Quebec,Brie,"soft, soft-ripened",NA,NA,"buttery, creamy, supple",bloomy,cream,creamy,nutty,NA,NA,NA,NA,La Maison Alexis de Portneuf Inc.
Brightwell Ash,https://www.cheese.com/brightwell-ash/,goat,United Kingdom,South East England,NA,"semi-firm, artisan",NA,NA,smooth,ash coated,pale white,"citrusy, nutty, tangy",mild,TRUE,FALSE,NA,NA,NA
Brillat-Savarin,https://www.cheese.com/brillat-savarin/,cow,France,Ile de France,NA,"soft, artisan",75%,NA,"creamy, dense",mold ripened,white,"buttery, nutty, sour",milky,FALSE,FALSE,NA,NA,NA
Brillo di Treviso,https://www.cheese.com/brillo-di-treviso/,cow,Italy,Veneto,NA,soft,NA,NA,compact,natural,ivory,"fruity, tangy","aromatic, subtle",FALSE,FALSE,NA,NA,La Casearia Carpenedo S.r.l.
Brimstone,https://www.cheese.com/brimstone/,cow,United States,Missouri,Gouda,"semi-hard, artisan",NA,NA,crumbly,rindless,pale yellow,"smooth, spicy",spicy,TRUE,FALSE,NA,NA,Heartland Creamery
Brin,https://www.cheese.com/brin/,cow,France,Rhone-Alps,NA,"semi-soft, artisan",40%,NA,"creamy, spreadable",washed,golden orange,"buttery, sweet","aromatic, nutty, yeasty",TRUE,FALSE,NA,NA,Fromagerie GUILLOTEAU
Brin d'Amour,https://www.cheese.com/brin-damour/,sheep,France,NA,NA,"semi-soft, artisan",NA,NA,"creamy, firm",NA,white,"citrusy, mild",herbal,NA,NA,NA,NA,NA
Brinza - Feta style,https://www.cheese.com/brinza---feta-style/,sheep,New Zealand,Queenstown,Feta,"soft, brined",NA,NA,"creamy, crumbly, open",natural,white,"citrusy, salty, sweet, tangy",NA,FALSE,FALSE,Briza Feta,NA,The Gibbston Valley Cheese Company
Briquette de Brebis,https://www.cheese.com/briquette-de-brebis/,sheep,France,Averyon,NA,soft,NA,NA,creamy,natural,white,nutty,nutty,NA,NA,NA,NA,NA
Briquette du Forez,https://www.cheese.com/briquette-du-forez/,"cow, goat",France,Auvergne,Brie,"soft, soft-ripened",NA,NA,creamy,natural,white,smooth,"goaty, pleasant",FALSE,FALSE,NA,NA,NA
Briscola,https://www.cheese.com/briscola/,cow,Italy,Veneto,NA,semi-hard,NA,NA,"firm, open",natural,ivory,"fruity, savory, spicy, strong","milky, pleasant, spicy",FALSE,FALSE,NA,NA,La Casearia Carpenedo S.r.l.
Brise du Matin,https://www.cheese.com/brise-du-matin/,cow,Canada,Quebec,Brie,"soft, soft-ripened",30%,NA,"buttery, creamy, runny, soft, soft-ripened",bloomy,cream,"buttery, mushroomy, nutty, pronounced",fresh,NA,NA,Légère Brise du Matin,NA,La Maison Alexis de Portneuf Inc.
Brixton Blue,https://www.cheese.com/vegan-brixton-blue-cheese/,plant-based,United Kingdom,NA,NA,semi-firm,NA,NA,"creamy, semi firm, soft-ripened",mold ripened,blue,"creamy, full-flavored, piquant, tangy, umami","earthy, fermented, pungent, strong",TRUE,TRUE,NA,NA,La Fauxmagerie
Brocciu,https://www.cheese.com/brocciu/,"goat, sheep",France,Corsica,Cottage,"fresh soft, whey",40-50%,NA,"creamy, crumbly, smooth",rindless,white,"milky, sweet",sweet,NA,NA,"Brocciu AOC, Brocciu AOP",NA,NA
Broncha,https://www.cheese.com/broncha/,"cow, goat",United States,California,NA,"semi-hard, artisan",NA,NA,creamy,mold ripened,straw,"creamy, mild",NA,FALSE,FALSE,NA,NA,Achadinha Cheese Company
Brousse du Rove,https://www.cheese.com/brousse-du-rove/,"cow, goat, sheep",France,"Bas-Languedoc, Comtat Venaissin",NA,"soft, artisan",NA,NA,creamy,NA,white,"mild, sweet",milky,FALSE,FALSE,NA,NA,NA
Brown’s Gulch,https://www.cheese.com/browns-gulch/,goat,United States,Oregon,Parmesan,"hard, artisan",NA,NA,crumbly,natural,pale yellow,"herbaceous, salty, sharp",strong,FALSE,FALSE,NA,NA,Pholia Farm
Bruder Basil,https://www.cheese.com/bruder-basil/,cow,Germany,Bavaria,NA,"semi-soft, artisan",45%,NA,"creamy, open, smooth",washed,pale yellow,"mild, savory, smokey","rich, smokey",FALSE,FALSE,NA,NA,Bergader Private Cheese Dairy
Brunost,https://www.cheese.com/brunost/,"cow, goat","Denmark, Finland, Germany, Iceland, Norway, Sweden",NA,NA,"semi-soft, whey",27 g/100g,360 mg/100g,dense,natural,brown,"caramel, sweet",NA,NA,NA,"mysost, mesost, meesjuusto, mysuostur, myseost, Braunkäse, geitost, Ekte Geitost, Gudbrandsdalsost",NA,NA
Brusselae Kaas (Fromage de Bruxelles),https://www.cheese.com/brusselae-kaas-fromage-de-bruxelles/,cow,Belgium,NA,NA,"soft, artisan",NA,NA,smooth,washed,pale yellow,"salty, sharp",strong,FALSE,FALSE,NA,NA,NA
Brutal Blue,https://www.cheese.com/brutal-blue/,cow,United States,Oregon,Blue,"semi-soft, artisan",NA,NA,creamy,NA,cream,"creamy, spicy, strong, woody",strong,TRUE,FALSE,NA,NA,Rogue Creamery
Bryndza,https://www.cheese.com/bryndza/,sheep,"Hungary, Poland, Slovakia",NA,NA,"soft, artisan",NA,NA,spreadable,rindless,white,"mild, salty",NA,NA,NA,"Slovenská bryndza, Bryndza Podhalańska, Liptauer, Brinza, brynza","ovčia bryndza, Slovenska bryndza, Bryndza Podhalanska",NA
Brânză de Burduf,https://www.cheese.com/branza-de-burduf/,sheep,Romania,Romanian Carpathians,NA,"soft, artisan",NA,NA,,natural,white,"salty, spicy",woody,FALSE,FALSE,"Brinza (Burduf Brinza), Brânză frământată",NA,NA
Buche de Chevre,https://www.cheese.com/buche-de-chevre/,goat,France,NA,NA,"soft, soft-ripened",NA,NA,creamy,NA,white,sweet,NA,NA,NA,"Bûche de chèvre, Buche de chèvre",NA,NA
Bucheret,https://www.cheese.com/bucheret/,goat,United States,California,Brie,"soft, artisan, soft-ripened",10%,NA,"buttery, chalky, dense, smooth, soft-ripened",bloomy,white,"buttery, mushroomy, nutty, tangy",rich,TRUE,FALSE,NA,NA,Redwood Hill Farm & Creamery
Buchette d'Anjou,https://www.cheese.com/buchette-danjou/,goat,France,Loire,NA,soft,45%,NA,"firm, grainy",artificial,ivory,"acidic, citrusy",aromatic,FALSE,FALSE,NA,NA,Various
Buchette de Manon,https://www.cheese.com/buchette-de-manon/,goat,France,NA,NA,soft,NA,NA,creamy,natural,cream,mild,clean,FALSE,FALSE,NA,NA,NA
Bufala Soldier,https://www.cheese.com/bufala-soldier/,"cow, goat, water buffalo",United States,Colorado,Camembert,"soft, artisan, soft-ripened",NA,NA,"buttery, creamy",bloomy,pale yellow,"acidic, buttery, creamy, earthy, sweet",rich,TRUE,FALSE,NA,NA,Haystack Mountain Creamery
Bufalino,https://www.cheese.com/bufalino/,buffalo,Italy,NA,NA,soft,NA,NA,"creamy, soft",NA,white,"creamy, strong",buttery,NA,NA,NA,NA,Casa Madaio
Bufarolo,https://www.cheese.com/bufarolo/,water buffalo,Italy,Lombardy,Cottage,"fresh soft, artisan",NA,NA,"chalky, crumbly",rindless,white,"mild, milky, subtle","fresh, mild, milky, pleasant",FALSE,FALSE,NA,NA,Azienda Agricola Gritti Bruno E Alfio S.s. Societa Agricola
Buff Blue,https://www.cheese.com/buff-blue/,buffalo,United States,Southern California,Blue,"firm, blue-veined",NA,NA,,natural,blue,smokey,"earthy, smokey",NA,NA,NA,NA,Bleating Heart Cheese
Burgos,https://www.cheese.com/burgos/,"cow, sheep",Spain,Castille-Leon,NA,fresh soft,46-60%,NA,creamy,rindless,white,"mild, milky",fresh,FALSE,FALSE,"Queso de Burgos, Fromage Burgos, Burgos käse",NA,NA
Burrata,https://www.cheese.com/burrata/,water buffalo,"Italy, United States",Apulia,Mozzarella,"fresh soft, artisan",NA,NA,"creamy, stringy",leaf wrapped,white,"buttery, milky","fresh, milky",FALSE,FALSE,NA,NA,NA
Burwash Rose,https://www.cheese.com/burwash-rose/,cow,"England, Great Britain, United Kingdom","Stonegate, East Sussex",NA,"semi-soft, artisan",NA,NA,"creamy, springy",washed,cream,creamy,"aromatic, floral",TRUE,FALSE,NA,NA,Traditional Cheese Dairy
Burwood Bole,https://www.cheese.com/burwood-bole/,cow,"England, Great Britain, United Kingdom",Dorset,NA,"semi-hard, artisan",NA,NA,firm,washed,pale yellow,"lemony, nutty, sweet",NA,TRUE,FALSE,NA,NA,James’s Cheese
Butte,https://www.cheese.com/butte/,cow,France,NA,NA,"soft, soft-ripened",NA,NA,smooth,washed,yellow,"bitter, salty","rich, ripe",FALSE,FALSE,NA,NA,NA
Buttercup,https://www.cheese.com/buttercup/,"cow, goat",United States,Colorado,Monterey Jack,"semi-soft, artisan",NA,NA,"creamy, firm, open",waxed,pale yellow,"buttery, creamy",NA,TRUE,FALSE,NA,NA,Haystack Mountain Creamery
Butterkase,https://www.cheese.com/butterkase/,cow,"Austria, Germany",NA,NA,semi-soft,50%,NA,"creamy, smooth, spreadable",natural,pale yellow,"buttery, mild",NA,FALSE,FALSE,"butter cheese, Butterkäse",NA,NA
Buttermilk Blue,https://www.cheese.com/buttermilk-blue/,cow,United States,Wisconsin,NA,"semi-hard, blue-veined",8 g/100g,NA,"creamy, crumbly",natural,pale yellow,"piquant, tangy",fresh,NA,NA,NA,NA,Emmi Roth USA
Buttermilk Blue Affinee,https://www.cheese.com/buttermilk-blue-affinee/,cow,United States,Wisconsin,Blue,"semi-soft, blue-veined",NA,NA,creamy,natural,ivory,"earthy, piquant, strong",rich,TRUE,FALSE,Blue Affinee Cheese,Buttermilk Bleu Affinee,Emmi Roth USA
Buttermilk Gorgonzola,https://www.cheese.com/buttermilk-gorgonzola/,cow,United States,Wisconsin,Blue,"semi-soft, blue-veined",NA,NA,crumbly,natural,pale yellow,"piquant, spicy",rich,TRUE,FALSE,NA,NA,Emmi Roth USA
Butternut,https://www.cheese.com/butternut/,cow,United States,Vermont,NA,"semi-hard, artisan",NA,NA,"creamy, firm",natural,pale yellow,"buttery, nutty","earthy, mushroom",FALSE,FALSE,NA,NA,Willow Hill Farm
Buxton Blue,https://www.cheese.com/buxton-blue/,cow,"England, United Kingdom","Buxton, Derbyshire",Blue,"soft, artisan, blue-veined",45%,NA,crumbly,natural,yellow,tangy,NA,TRUE,FALSE,NA,NA,NA
Byaslag,https://www.cheese.com/byaslag/,yak,Mongolia,NA,NA,"fresh soft, artisan",NA,NA,firm,natural,pale yellow,"creamy, mild, salty",aromatic,NA,NA,NA,NA,NA
Bûchette à la Sarriette,https://www.cheese.com/buchette-la-sarriette/,goat,France,NA,NA,"soft, processed",45%,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cabecou,https://www.cheese.com/cabecou/,goat,France,Midi-Pyrenees,NA,"soft, artisan",NA,NA,"creamy, smooth",leaf wrapped,white,"smooth, tangy",aromatic,FALSE,FALSE,NA,NA,NA
Cabecou Feuille D'Armagnac,https://www.cheese.com/cabecou-feuille-darmagnac/,goat,France,NA,NA,"fresh soft, artisan",NA,NA,smooth,natural,white,"fruity, spicy, tangy",aromatic,FALSE,FALSE,NA,NA,NA
Caboc,https://www.cheese.com/caboc/,cow,Scotland,NA,NA,soft,NA,NA,"creamy, smooth",natural,white,"buttery, creamy","buttery, fresh",NA,NA,NA,NA,Highland Fine Cheeses Limited
Cabot Clothbound,https://www.cheese.com/cabot-clothbound/,cow,United States,Vermont,Cheddar,"hard, artisan",NA,NA,"crumbly, flaky",natural,yellow,"nutty, savory, sweet, tangy",NA,FALSE,FALSE,Cheddar Clothbound,NA,"Cabot Creamery , Jasper Hill Farm"
Cabrales,https://www.cheese.com/cabrales/,cow,Spain,NA,Blue,"semi-hard, artisan, blue-veined",NA,NA,"creamy, firm",NA,NA,"acidic, salty, sharp",strong,NA,NA,"Cabrales DOP, Cabrales PDO",Queso de Cabrales,NA
Cachaille,https://www.cheese.com/cachaille/,goat,France,Puimichel in Provence Alpes,NA,soft,NA,NA,,NA,NA,NA,NA,FALSE,FALSE,"wrestling, fuorte, toupina",NA,NA
Cacio De Roma®,https://www.cheese.com/cacio-de-roma/,sheep,Italy,NA,NA,"semi-soft, artisan",20%,NA,semi firm,NA,ivory,mild,sweet,FALSE,FALSE,Rustico Red Pepper Pecorino,NA,NA
Cacio di Bosco al Tartufo,https://www.cheese.com/cacio-di-bosco-al-tartufo/,"cow, sheep",Italy,Tuscany,NA,"semi-firm, artisan",55%,NA,"crumbly, firm",NA,ivory,"nutty, sour, sweet",strong,NA,NA,NA,NA,Cooperativa Agricola IL FORTETO
Caciobarricato,https://www.cheese.com/caciobarricato/,cow,Italy,Veneto,Pasta filata,semi-soft,NA,NA,"elastic, soft, stringy, supple",natural,ivory,"pronounced, sharp, tangy","clean, mild",FALSE,FALSE,NA,NA,La Casearia Carpenedo S.r.l.
Caciobirraio,https://www.cheese.com/caciobirraio/,cow,Italy,Veneto,NA,soft,NA,NA,compact,natural,straw,"bitter, subtle","aromatic, toasty",FALSE,FALSE,NA,NA,La Casearia Carpenedo S.r.l.
Caciobufala,https://www.cheese.com/caciobufala/,water buffalo,Italy,Campania,NA,semi-hard,NA,NA,compact,NA,ivory,sweet,"aromatic, buttery, pleasant",FALSE,FALSE,NA,NA,Casa Madaio
Caciocavallo,https://www.cheese.com/caciocavallo/,cow,Italy,NA,Pasta filata,semi-hard,NA,NA,"elastic, firm",natural,NA,NA,earthy,NA,NA,NA,NA,NA
Caciocavallo di Bufala,https://www.cheese.com/caciocavallo-di-bufala/,water buffalo,Italy,NA,Pasta filata,"semi-hard, artisan",NA,NA,smooth,NA,NA,savory,earthy,NA,NA,NA,NA,NA
Caciocavallo Podolico Vetus,https://www.cheese.com/caciocavallo-podolico-vetus/,cow,Italy,NA,Pasta filata,soft,NA,NA,firm,natural,NA,"buttery, sweet",earthy,NA,NA,Caciocavallo Vetus,NA,Casa Madaio
Cacioradicchio,https://www.cheese.com/cacioradicchio/,,Italy,Veneto,NA,soft,NA,NA,creamy,leaf wrapped,white,"bitter, herbaceous, subtle","aromatic, fresh",FALSE,FALSE,NA,NA,La Casearia Carpenedo S.r.l.
Caciotta,https://www.cheese.com/caciotta/,"cow, goat, sheep, water buffalo",Italy,NA,NA,"semi-soft, artisan",NA,NA,"compact, firm",NA,NA,mild,NA,NA,NA,NA,NA,NA
Caciotta Al Tartufo,https://www.cheese.com/caciotta-al-tartufo/,"cow, sheep",Italy,"Umbria, Lazio",Caciotta,"semi-soft, artisan",NA,NA,firm,natural,ivory,"spicy, tangy",earthy,NA,NA,NA,Caciotta Al Tartufo with Black Truffles,NA
