ref,company_manufacturer,company_location,review_date,country_of_bean_origin,specific_bean_origin_or_bar_name,cocoa_percent,ingredients,most_memorable_characteristics,rating
48,Cote d' Or (Kraft),Belgium,2006,Blend,Sensations Intense,70%,,this is not chocolate,1
971,Cravve,Australia,2012,Tanzania,"Tanzania, batch a1",75%,"3- B,S,C","spice, roasty, off fatty note",3.25
975,Cravve,Australia,2012,Brazil,"Bahia, batch a1213",65%,"3- B,S,C","sandy, sweet, smokey",3.25
975,Cravve,Australia,2012,Fiji,"Namau Village, N. Taileva P., batch a2812",67%,"3- B,S,C","acidic, sweet, cucumber",3.25
975,Cravve,Australia,2012,Vanuatu,"Vanuatu, batch 2410",64%,"3- B,S,C","sandy, sweet, spicy, roasty",3.25
975,Cravve,Australia,2012,Papua New Guinea,"Djual Island, batch 1712",75%,"3- B,S,C","sandy, sweet, nutty",3.5
1283,Cravve,Australia,2014,Papua New Guinea,"New Ireland, batch 1702",70%,"3- B,S,C","true to sugar, molasses",2.5
1335,Cravve,Australia,2014,Vanuatu,"Vanuatu, batch 2410",83%,"3- B,S,C",banana nut,2.75
1736,Creo,U.S.A.,2016,Ecuador,"""heirloom"", Arriba Nacional",85%,"3- B,S,C","oily, mild bitter, nutty, fruit",3.25
1736,Creo,U.S.A.,2016,Ecuador,"""heirloom"", Arriba Nacional",73%,"3- B,S,C","creamy, complex, fruity",3.75
2466,Crow and Moss,U.S.A.,2020,Dominican Republic,"Zorzal, batch 40",70%,"2- B,S","deep cherry, earthy, rubbery",3.25
2466,Crow and Moss,U.S.A.,2020,Colombia,"Aruaca, batch 39",70%,"2- B,S","nutty, citrus",3.25
2502,Crow and Moss,U.S.A.,2020,Ecuador,"Camino Verde, batch 84",70%,"2- B,S","bold, black tea, floral, banana",3.25
2466,Crow and Moss,U.S.A.,2020,Honduras,"Wampusirpi, batch 41",70%,"2- B,S","banana, spicy, grassy",3.5
2656,Crow and Moss,U.S.A.,2021,India,"Anamalai, Pollachi City, batch 148",70%,"2- B,S","sticky, cocoa, honey",3.75
2526,Cultura,U.S.A.,2020,Guatemala,"Lachua, Cacao Verapaz, 2018 harvest, batch 20092",70%,"3- B,S,C","sandy, sweet, basic cocoa base",3.25
2522,Cultura,U.S.A.,2020,Haiti,"Pisa, 2020 harvest, batch 20111",70%,"3- B,S,C",rich malt,3.5
2522,Cultura,U.S.A.,2020,Belize,"Maya Mountain, 2020 harvest, batch 20107",75%,"3- B,S,C","raspberry, cocoa",3.5
2526,Cultura,U.S.A.,2020,Mexico,"Tabasco, Agrofloresta Cacao, 2020 h., batch 20098",70%,"3- B,S,C","raisins, honey, molassses",3.5
2622,Cuna de Piedra,Mexico,2021,Mexico,"Comalcalco, Tabasco, b. 2370003, 2019 harvest",73%,"2- B,S","deep cocoa, fruit, melon",3.75
785,Daintree,Australia,2011,Australia,"Daintree Estates, N. Queensland",70%,"5- B,S,C,V,L","vanilla, banana, citrus",3.25
1654,Daintree,Australia,2015,Australia,Goodman Estate,70%,"3- B,S,C","sandy, candy like vanilla, off",2.75
1928,Dalloway,U.S.A.,2017,Dominican Republic,"Dominican Republic, batch 7",72%,"2- B,S","hammy, sour, astringent",2.75
1666,Damson,U.K.,2015,Grenada,Crayfish Bay aka Non Pariel Estate,70%,"3- B,S,C","off, pungent, intense",2.25
1666,Damson,U.K.,2015,Nicaragua,O'Payo,70%,"3- B,S,C","oily, grapes, pungent",2.75
1610,Damson,U.K.,2015,Trinidad,Robson Estate,70%,"3- B,S,C","floral, sour, synthetic, off",3
1610,Damson,U.K.,2015,Ecuador,Los Rios,70%,"3- B,S,C","floral, banana",3.5
2064,Damson,U.K.,2018,Blend,"Angel Bar, Nicaragua, Madagascar",65%,"4- B,S,C,L","sweet, vinegar",2.5
2574,Dancing Lion,U.S.A.,2021,Puerto Rico,"Puerto Rico, collab w/ USDA (Juan Echevarria)",68%,"4- B,S,C,L","harsh woody/green, cocoa base",2.5
2574,Dancing Lion,U.S.A.,2021,India,Anamalai,72%,"4- B,S,C,L","fresh fruit, sour cherry, roasty",3
2574,Dancing Lion,U.S.A.,2021,Peru,"Ucayali, collab w/ USAID & Alanzo Cacao",72%,"4- B,S,C,L","raisiny, slight anise, roasty",3.5
805,Dandelion,U.S.A.,2012,Costa Rica,Upala,70%,"2- B,S","dried fruit, tannic",3
805,Dandelion,U.S.A.,2012,Colombia,Colombian,70%,"2- B,S","grassy, green, candy spice",3.25
915,Dandelion,U.S.A.,2012,Dominican Republic,"Elvesia, 2011",70%,"2- B,S","spicy, fudgey",3.75
1026,Dandelion,U.S.A.,2013,Venezuela,"Cumboto, farmer Jose Lugo, batch 1",70%,"2- B,S","acidic, sour, cocoa",2.75
1026,Dandelion,U.S.A.,2013,Venezuela,"Patanemo, batch 3",70%,"2- B,S","licorice, sour, rich cocoa",3.25
1085,Dandelion,U.S.A.,2013,Venezuela,"Mantuano, 2012, batch 1",70%,"2- B,S","roasty, oreo shell, coffee",3.5
1153,Dandelion,U.S.A.,2013,Papua New Guinea,"Papua New Guinea, batch 1",70%,"2- B,S","mild smoke, raspberry,cocoa",3.5
1303,Dandelion,U.S.A.,2014,Liberia,Buto,70%,"2- B,S","roasty, spicy, nutty",2.75
1219,Dandelion,U.S.A.,2014,Belize,Maya Mountain,70%,"2- B,S","heavy roast, blackberry",3.5
1295,Dandelion,U.S.A.,2014,Ecuador,"Camino Verde P., Balao, Guayas, 2013",70%,"2- B,S","gummy, nutty, bourbon",3.5
1387,Dandelion,U.S.A.,2014,Dominican Republic,"San Francisco de Macoris, Cibao region",70%,"2- B,S","cherry, rich choco",3.75
1446,Dandelion,U.S.A.,2015,Belize,"Maya Mtn., Break Bar- Snark",70%,"2- B,S","intense, roasty, coffee, raisin",3
1816,Dandelion,U.S.A.,2016,Dominican Republic,"Zorzal Reserva, 2015 H., Kerchner",70%,"2- B,S","cherry, rich choco",3.75
2024,Dandelion,U.S.A.,2017,Costa Rica,"Hacienda Azul, 2016 Harvest",70%,"2- B,S","cocoa, sour, toffee, earthy",3
2178,Dandelion,U.S.A.,2018,Sierra Leone,"Gola Rainforest, 2017 harvest",70%,"2- B,S","vegetal, high astringency",3
2178,Dandelion,U.S.A.,2018,Honduras,"WAMPU, La Mosquitia, 2017 harvest",70%,"2- B,S","nutty, moderate acidity",3.25
2178,Dandelion,U.S.A.,2018,India,"Anamalai, 2017 harvest",70%,"2- B,S","ripe orange, citrus",3.5
2386,Dandelion,U.S.A.,2019,Vietnam,"Ben Tre, 2018 Harvest",70%,"2- B,S","green apple, sticky",3.5
2602,Dandelion,U.S.A.,2021,Guatemala,"Cahabon, Cacao Verapaz, ADIOESMAC, batch 1",70%,"2- B,S","pungent, woody, choco pudding",2.75
2602,Dandelion,U.S.A.,2021,India,"Anamalai, 2018 H., batch 1",70%,"2- B,S","pungent, sour, tart, intense",2.75
2550,Dandelion,U.S.A.,2021,Peru,"Piura Blanco, 2015 h.,Norandino Coop, batch 1",70%,"2- B,S","grape, pungent",3.25
2602,Dandelion,U.S.A.,2021,India,"Anamalai, 2019 H., batch 1, nutmeg fermentation",70%,"2- B,S","orange soda, sour",3.25
2546,Dandelion,U.S.A.,2021,Tanzania,"Kokoa Kamili, 2017 h., batch 2",70%,"2- B,S","dairy, honey, cocoa",3.5
2550,Dandelion,U.S.A.,2021,Dominican Republic,"Zorzal Estate, 2016 h., batch 1",70%,"2- B,S","faint fruit, basic fudgey",3.5
2546,Dandelion,U.S.A.,2021,Brazil,"Vale Potumuju, 2019 h., batch 1",70%,"2- B,S",distinct choco and graham,4
654,Dandelion (aka Brower Ave),U.S.A.,2011,Dominican Republic,Dominican Republic,70%,"2- B,S","grassy, fruity, brownie",3.25
654,Dandelion (aka Brower Ave),U.S.A.,2011,Madagascar,Madagascar,70%,"2- B,S","brownie, red berry",3.25
654,Dandelion (aka Brower Ave),U.S.A.,2011,Tanzania,Tanzania,70%,"2- B,S",cocoa flavor dominates,3.25
2550,Dandelion (Japan),U.S.A.,2021,Dominican Republic,"Zorzal Estate, 2017 h.",70%,"2- B,S","light caramel, sl. dry, earthy",3
423,Danta,Guatemala,2009,Guatemala,Las Acacias E.,75%,"4- B,S,C,V","dark woody, plum, astringent",3
423,Danta,Guatemala,2009,Guatemala,Las Acacias E.,60%,"4- B,S,C,V","wood, holiday spice, soap",3.25
661,Danta,Guatemala,2011,Guatemala,Los Ujuxtes,60%,"4- B,S,C,V","oily, dried fruit, vanilla",3.5
987,Danta,Guatemala,2012,Venezuela,Chuao,75%,"4- B,S,C,V","gummy, fatty, caramel",3
991,Danta,Guatemala,2012,Guatemala,"Oscuro, Finca Chimelb",70%,"2- B,S","nutty, ashey, spicy pepper",3.25
987,Danta,Guatemala,2012,Guatemala,Los Ujuxtes,70%,"2- B,S",spicy,3.75
987,Danta,Guatemala,2012,Madagascar,Sambirano,70%,"2- B,S","oily, toffee, hints of fruit",3.75
987,Danta,Guatemala,2012,Guatemala,Las Acacias E.,70%,"2- B,S","sweet spice, floral",4
1223,Danta,Guatemala,2014,Guatemala,Los Ujuxtes,82%,"4- B,S,C,V","fatty, sunflower, peanutbutter",3.25
1920,DAR,U.S.A.,2016,Venezuela,"Venezuela, batch 122",72%,"2- B,S","nut, tobacco, burnt, off notes",2.75
1920,DAR,U.S.A.,2016,Vietnam,Vietnam,72%,"2- B,S","raisins, astringent",3
1920,DAR,U.S.A.,2016,Blend,"DUO, batch 002, Ecuador, Costa Rica",70%,"2- B,S","floral, licorice, roasty",3.25
2342,Darcis,Belgium,2019,Peru,Piura,72%,"4- B,S,C,L","muted, creamy, grapes, fatty",3
2342,Darcis,Belgium,2019,Vietnam,Mekong Delta,70%,"4- B,S,C,L","muted, creamy, basic cocoa",3.25
1550,Dark Forest,U.S.A.,2015,Madagascar,Madagascar,70%,"3- B,S,C","sweet, strong sour, acidic",3
1554,Dark Forest,U.S.A.,2015,Tanzania,Tanzania,70%,"3- B,S,C","intense, sweet, brownie",3
1550,Dark Forest,U.S.A.,2015,Venezuela,Ocumare,70%,"3- B,S,C","roasty, nutty, sweet",3.25
1554,Dark Forest,U.S.A.,2015,Ecuador,Ecuador,70%,"3- B,S,C","bold, floral, rum",3.25
1708,Dark Forest,U.S.A.,2016,Bolivia,Bolivia,75%,"3- B,S,C","mild cherry, fatty",3.25
907,Davis,U.S.A.,2012,Blend,West Africa,58%,"4- B,S,C,L","nice melt, odd rubber notes",3.25
1093,Davis,U.S.A.,2013,Ghana,Ghana,70%,"4- B,S,C,L","vanilla, fatty, basic cocoa",2.5
1093,Davis,U.S.A.,2013,Dominican Republic,Rainforest,70%,"4- B,S,C,L","chalky, vanilla, caramel",2.75
1093,Davis,U.S.A.,2013,Venezuela,Venezuela,70%,"4- B,S,C,L","fatty, powdery, nut, sl. Burnt",2.75
1462,De Mendes,Brazil,2015,Brazil,"Nativo, Varzea",72%,"3- B,S,C","texture issues, brownie",3.5
1462,De Mendes,Brazil,2015,Brazil,"Selvagem, Jari",65%,"3- B,S,C","one dimensional, brownie",3.5
1832,De Villiers,South Africa,2016,Uganda,Bundibugyo District,70%,"3- B,S,C","high roast, intense, fatty",2.5
1832,De Villiers,South Africa,2016,Madagascar,"Sambirano Valley, batch 2477",70%,"3- B,S,C","high roast, fruit",3
170,Dean and Deluca (Belcolade),U.S.A.,2007,Madagascar,Madagascar,66%,"4- B,S,C,V","sandy, cloying, rich cocoa",2.5
175,Dean and Deluca (Belcolade),U.S.A.,2007,Costa Rica,Costa Rica,64%,"4- B,S,C,V","dark coffee, cocoa",3
175,Dean and Deluca (Belcolade),U.S.A.,2007,Ecuador,Ecuador,71%,"4- B,S,C,V","cinamon, nutmeg, coffee",3
175,Dean and Deluca (Belcolade),U.S.A.,2007,Ghana,Ghana,60%,"4- B,S,C,V","nutty, simple, sweet",3
180,Dean and Deluca (Belcolade),U.S.A.,2007,Papua New Guinea,Papua New Guinea,64%,"4- B,S,C,V","waxy, tobacco, smokey",3
180,Dean and Deluca (Belcolade),U.S.A.,2007,Peru,Peru,64%,"4- B,S,C,V","mild mint, basic cocoa",3
263,Debauve & Gallais (Michel Cluizel),France,2008,Venezuela,Venezuela,66%,"4- B,S,C,V","fatty, rich cocoa, roasty",3.75
423,Debauve & Gallais (Michel Cluizel),France,2009,Papua New Guinea,Papua New Guinea,64%,"4- B,S,C,V","smokey,chalky,berry,caramel",3
2222,Definite,Dominican Republic,2018,Dominican Republic,Elvesia,70%,"2- B,S","metallic, dirt/ earthy",2.5
2222,Definite,Dominican Republic,2018,Dominican Republic,Duarte Province,70%,"2- B,S","dirty, floral, unrefined",2.5
2222,Definite,Dominican Republic,2018,Dominican Republic,Duarte Province,80%,"2- B,S","mild bitter, fatty, grassy",3
1916,Desbarres,Canada,2016,Tanzania,"Kilombero, batch 41",72%,"2- B,S","vanilla, chemical, rubber",2.5
2422,Desbarres,Canada,2019,Guatemala,"Monte Grande, batch 178",72%,"2- B,S","smokey, roasty, acidic, rich",3
166,DeVries,U.S.A.,2007,Costa Rica,Costa Rica,77%,"2- B,S","red berry, lingering coffee",3.5
166,DeVries,U.S.A.,2007,Dominican Republic,Dominican Republic,77%,"2- B,S","sticky, woodsy, rum",3.5
241,DeVries,U.S.A.,2008,Bolivia,Bolivian,80%,"2- B,S","intense fruit, bitter ending",2.75
661,Dick Taylor,U.S.A.,2011,Madagascar,Sambirano,80%,"2- B,S","sandy, flat, hint of berry",2.75
682,Dick Taylor,U.S.A.,2011,Venezuela,Mantuano,75%,"2- B,S","sticky, very roasty, nutty",2.75
769,Dick Taylor,U.S.A.,2011,Dominican Republic,La Red,74%,"2- B,S","earthy, tart, sour",3
769,Dick Taylor,U.S.A.,2011,Ecuador,Ecuador,70%,"2- B,S","grassy, tea, late sour",3.25
895,Dick Taylor,U.S.A.,2012,Bolivia,Bolivia,75%,"2- B,S","dry, mint, medicinal",2.75
1034,Dick Taylor,U.S.A.,2013,Ecuador,"Ecuador, Choc. Garage Exclusive",70%,"2- B,S","oily, black pepper, roasty",3.25
1193,Dick Taylor,U.S.A.,2013,Ecuador,Camino Verde,76%,"2- B,S","butter, floral, rum",3.5
1235,Dick Taylor,U.S.A.,2014,Dominican Republic,Elvesia,74%,"2- B,S","mild fruit and spice, roasty",3.5
1634,Dick Taylor,U.S.A.,2015,Bolivia,"Alto Beni, Wild Harvest, Limited Ed.",70%,"2- B,S","sticky, rich, cherry",3.75
1864,Dick Taylor,U.S.A.,2016,Vietnam,Tien Giang,78%,"2- B,S","tropical berry, intense",3.5
1952,Dick Taylor,U.S.A.,2017,Guatemala,Lanquin Estate,70%,"2- B,S","blackberry, raisns",3.75
1972,Dick Taylor,U.S.A.,2017,Brazil,"Fazenda Camboa, Bahia, batch 17009",75%,"2- B,S","sticky, roasty nibs, grapes",3.75
2016,Dick Taylor,U.S.A.,2017,Solomon Islands,"Solomon Is.,batch 17158, N.Vela",72%,"2- B,S","well defined, creamy, cherry",4
2258,Dick Taylor,U.S.A.,2018,Fiji,"Vanua Levu, Matasawalevu",80%,"2- B,S","cocoa, tea, malt",3.75
2434,Dick Taylor,U.S.A.,2019,Madagascar,"Akesson P., Sambirano",72%,"2- B,S","sticky, dried fruit, toast, cocoa",3.75
2270,Dick Taylor,U.S.A.,2019,Belize,"Maya Mtn, Toledo",72%,"2- B,S","creamy, sticky, dried fruit",4
2466,Dick Taylor,U.S.A.,2020,Blend,"Northerner, Madagascar and Brazil",73%,"2- B,S","burnt honey, earthy",3.5
2554,Dick Taylor,U.S.A.,2021,Jamaica,"Bachelor's Hall, batch 20240",75%,"2- B,S","sl. bitter, black licorice, dried fig",3.75
2656,Dick Taylor,U.S.A.,2021,Mexico,"Soconusco, Rayen Cacao Co-op, batch 21154",72%,"2- B,S","dried fruit, fig, astringent, sticky",4
2406,Diogo Vaz,Sao Tome & Principe,2019,Sao Tome,"Sao Tome, Grand Cru Plantation, amelonado",75%,"4- B,S,C,L","late cocoa, harsh, off notes",2.5
2402,Diogo Vaz,Sao Tome & Principe,2019,Sao Tome,"Sao Tome, unroasted, batch UNR-18-003",70%,"4- B,S,C,L","cocoa, raw, dirty, chemical",2.75
2402,Diogo Vaz,Sao Tome & Principe,2019,Sao Tome,"Sao Tome, batch OST-18-01",65%,"4- B,S,C,L","complex, sweet, sour, grassy",3
2406,Diogo Vaz,Sao Tome & Principe,2019,Sao Tome,"Sao Tome, batch TRI-18-002, trinitario",75%,"4- B,S,C,L","bland, fatty, fruit",3
1371,Doble & Bignall,U.K.,2014,Panama,"Panama, Raven",72%,"3- B,S,C","mild cherry, earthy",3.25
1371,Doble & Bignall,U.K.,2014,Venezuela,"Puerto Cabello, Mantuano",72%,"3- B,S,C","fatty, rasin, nutty",3.25
1407,Doble & Bignall,U.K.,2014,Nicaragua,Johe,72%,"3- B,S,C","nutty, caramel, toffee",3.5
1688,Doble & Bignall,U.K.,2015,Venezuela,Puerto Cabello,85%,"3- B,S,C","intense, spicy, floral",3
311,Dole (Guittard),U.S.A.,2009,U.S.A.,"O'ahu Island, N. Shore, Waialua Estate",70%,,"creamy, nutty, fruity",3.75
63,Dolfin (Belcolade),Belgium,2006,Blend,Noir,70%,"3- B,S,L","acidic, astringent, unpleasant",1.5
304,Dolfin (Belcolade),Belgium,2008,Blend,"Africa, West Africa",88%,"3- B,S,L","sticky, floral",3
87,Domori,Italy,2006,Venezuela,Sur del Lago Classificado,70%,"2- B,S","long lasting, fruit",3
87,Domori,Italy,2006,Peru,Apurimac,70%,"2- B,S","floral, olive",3.25
87,Domori,Italy,2006,Venezuela,Carenero Superior,70%,"2- B,S","creamy, basic cocoa",3.5
129,Domori,Italy,2007,Venezuela,"Ocumare 61, Puertomar",75%,"2- B,S","sticky, smoke, ham, earthy",3.25
135,Domori,Italy,2007,Venezuela,Granella,60%,"2- B,S","mild spice, licorice",3.25
135,Domori,Italy,2007,Madagascar,Madagascar,70%,"2- B,S","fruity, basic cocoa",3.5
192,Domori,Italy,2007,Madagascar,Madagared,70%,"2- B,S","smooth, banana, cocoa",3.5
192,Domori,Italy,2007,Indonesia,"Java, Javablond",70%,"2- B,S","creamy, smokey, tobacco",3.75
111,Domori,Italy,2007,Venezuela,Porcelana,70%,"2- B,S","creamy, complex, coffee",4
192,Domori,Italy,2007,Ecuador,Ecuador,70%,"2- B,S","creamy, nuts, woody, cocoa",4
192,Domori,Italy,2007,Venezuela,"Ocumare 67, Puertofino",70%,"2- B,S","creamy, mint, tobacco, olive",4
227,Domori,Italy,2008,Venezuela,"Carupano, H. San Jose",70%,"2- B,S","cucumber, hot spices",3
272,Domori,Italy,2008,Colombia,Teyuna,70%,"2- B,S","creamy, woody, earthy",3
272,Domori,Italy,2008,Blend,Blend No. 1,78%,"2- B,S","sticky, grassy, coffee",3.5
272,Domori,Italy,2008,Blend,Ilblend,70%,"2- B,S","sticky, olive",3.75
470,Domori,Italy,2010,Venezuela,"Chuao, Hacienda San Jose",70%,"2- B,S","subtle, caramel, sour milk",3
693,Domori,Italy,2011,Venezuela,"Canoabo, Hacienda San Jose",70%,"2- B,S","smooth, intense, smoke, nut",3.5
863,Domori,Italy,2012,Tanzania,Morogoro,70%,"2- B,S","sticky, nutty",3.5
863,Domori,Italy,2012,Venezuela,Guasare,70%,"2- B,S","creamy, coffee, caramel",3.75
1109,Domori,Italy,2013,Venezuela,"IL100, H. San Jose, batch NDL3A01",100%,,"smooth, fruit, coffee, bitter",3
1672,Domori,Italy,2015,Ecuador,Hacienda Victoria,70%,"2- B,S","floral, well developed, creamy",3.75
1672,Domori,Italy,2015,Venezuela,Ocumare 77,70%,"2- B,S","nutty, strawberry, creamy",3.75
2040,Domori,Italy,2018,Tanzania,Tanzania,70%,"2- B,S","creamy, sticky, fruit",4
1672,Dormouse,U.K.,2015,Venezuela,"Rio Caribe, Batch 7",70%,"3- B,S,C","burnt rubber, molasses",2.5
1676,Dormouse,U.K.,2015,Colombia,"Colombia, Batch 9",80%,"3- B,S,C","bitter,molasses,marshmallow",2.75
1676,Dormouse,U.K.,2015,Madagascar,"Madagascar, Batch 8",77%,"3- B,S,C","fruity, molasses",2.75
1880,Dormouse,U.K.,2016,Grenada,Non Pariel Estate,75%,"3- B,S*,C","licorice, molasses, rubber",2.75
2052,Dormouse,U.K.,2018,Philippines,"Kablon Farm, batch 242",71.50%,"3- B,S*,C",molasses notes from sugar,2.75
2052,Dormouse,U.K.,2018,Guatemala,"Verapaz, batch 254",72%,"3- B,S*,C","near perfect shine, cocoa",3.5
2096,Dormouse,U.K.,2018,Peru,"Piura, batch 274",80%,"2- B,S*","molasses, fruit",3.5
2696,Dormouse,U.K.,2021,Belize,"Trio Reserve, 2020 h. batch D002",78%,"3- B,S,C",molasses notes dominate,3.25
2390,Double Spiral,U.S.A.,2019,Dominican Republic,Oko Caribe,75%,"2- B,S","dry, earthy, walnut",2.5
2390,Double Spiral,U.S.A.,2019,Tanzania,Kokoa Kamili,70%,"2- B,S","dry, sour, sweet, mild fruit",2.75
2390,Double Spiral,U.S.A.,2019,Dominican Republic,Hispaniola,75%,"2- B,S","dry, cocoa, grassy, spicy",3
523,Duffy's,U.K.,2010,Ecuador,Star of Ecuador,70%,"3- B,S,C","chalky, bread, dirt",2.5
516,Duffy's,U.K.,2010,Panama,Panama,70%,"3- B,S,C",caramel and cocoa,3.5
516,Duffy's,U.K.,2010,Ecuador,"Corazon del Ecuador, Calceta beans",72%,"3- B,S,C","rich cocoa, fruity, strong floral",3.75
523,Duffy's,U.K.,2010,Peru,Star of Peru,70%,"3- B,S,C","dark forest berry, spice",3.75
697,Duffy's,U.K.,2011,Panama,"Bocas del Toro, Tierra Oscura",72%,"3- B,S,C","licorice, leathery",3
697,Duffy's,U.K.,2011,Nicaragua,"Nicaliso, Xoco",71%,"3- B,S,C","intense, almond, coffee",3.25
661,Duffy's,U.K.,2011,Dominican Republic,Dominican Republic,65%,"3- B,S,C","heavy roast, woody, berry",3.5
765,Duffy's,U.K.,2011,Venezuela,Ocumare,71%,"3- B,S,C",intense cocoa,3.5
623,Duffy's,U.K.,2011,Honduras,"Indio Rojo, Xoco",72%,"3- B,S,C","dried fruit, grapes, sour",3.75
923,Duffy's,U.K.,2012,Venezuela,Ocumare,72%,"3- B,S,C","creamy, nutty",3.75
1331,Duffy's,U.K.,2014,Nicaragua,"Chuno, Xoco",70%,"4- B,S,C,L","sandy, full bodied, spicy",3.5
1331,Duffy's,U.K.,2014,Nicaragua,"Rico Rugoso, Xoco",76%,"4- B,S,C,L","black pepper, rich, intense",3.75
1662,Duffy's,U.K.,2015,Guatemala,"Rio Dulce, Xoco",70%,"4- B,S,C,L","intense, spicy, butterscotch",4
1964,Duffy's,U.K.,2017,Nigeria,Eti-Oni,70%,"4- B,S,C,L",candy like off flavor,2.75
2100,Duffy's,U.K.,2018,Guatemala,Mayan Red,80%,"4- B,S,C,L","intense earthy, cocoa, roasty",3.25
2366,Duffy's,U.K.,2019,Philippines,South Cotabato,70%,"4- B,S,C,L","cocoa, honey, watery, sweet",3.5
2648,Duffy's,U.K.,2021,Nicaragua,"Juno, batch 201006",70%,"4- B,S,C,L","fruit, holiday spice",3.5
1506,Dulcinea,U.S.A.,2015,Dominican Republic,"Dominican Republic, batch 1507",70%,"2- B,S","coarse, earthy, mild banana",3.25
841,Durand,France,2012,Madagascar,Madagascar,82%,,"fatty, muted",2.75
1630,Durci,U.S.A.,2015,Dominican Republic,Taino Secret,70%,"3- B,S,C","dates, acidic, rich cocoa",3.25
1630,Durci,U.S.A.,2015,Venezuela,"Carenero, Empyrean Sabor",70%,"3- B,S,C","cherry, earthy, tobacco",3.25
1626,Durci,U.S.A.,2015,Peru,"Maranon, Joya Rara",70%,"3- B,S,C","sandy, orange, butterscotch",3.5
1626,Durci,U.S.A.,2015,Venezuela,"Rio Caribe, Tepui Treasure",70%,"3- B,S,C","fatty, roasty, intense brownie",3.5
1630,Durci,U.S.A.,2015,Ecuador,Corona Arriba,70%,"3- B,S,C",blackberry and cinnamon,4
2040,Durci,U.S.A.,2018,Peru,Piura Blanco,70%,"3- B,S,C","smoth, dense, grape",4
1343,East Van Roasters,Canada,2014,Peru,"Peru, batch P116",70%,"3- B,S,C","waxy, spicy, tobacco",3.25
1343,East Van Roasters,Canada,2014,Madagascar,"Madagascar, batch M132",70%,"3- B,S,C",ultra fruity,3.5
1343,East Van Roasters,Canada,2014,Dominican Republic,"Dominican Republic, batch DR113",70%,"3- B,S,C","spicy, cocoa",3.75
1812,Eau de Rose,Canada,2016,Colombia,Tumaco,70%,"3- B,S,C","dried fruit, strong floral",3.25
1812,Eau de Rose,Canada,2016,Colombia,Arauca,70%,"3- B,S,C","mild, dried fruit, chocolate",3.25
919,Eclat (Felchlin),U.S.A.,2012,Peru,"Maranon, Good & Evil, w/ nibs",72%,"3- B,S,C","buttery, burlap",2.75
2358,Eclat (Fruition),U.S.A.,2019,Peru,"NOE, nacional/criollo, batch 1",80%,"2- B,S","nutty, almond butter",3.5
1876,Edelmond,Germany,2016,Venezuela,Porcelana,68%,"2- B,S","dry, gritty, cardboard, nutty",3
2534,El Buen,U.S.A.,2020,Madagascar,"Akessons, Sambirano Valley",70%,"2- B,S","molasses, red fruit, astringent",3
2534,El Buen,U.S.A.,2020,Colombia,Tumaco,70%,"2- B,S","cocoa, spice, alcohol, dirty",3
252,El Ceibo,Bolivia,2008,Bolivia,Alto Beni,71%,"4- B,S,C,L","lemon, tart, burnt, chemical",2.75
709,El Ceibo,Bolivia,2011,Bolivia,"Alto Beni, Covendo Region",75%,"4- B,S,C,L","nutty, rich, red berry",3.75
32,El Rey,Venezuela,2006,Venezuela,"Carenero Superior, Gran Saman",70%,"5- B,S,C,V,L","gritty, chalky, earthy, sour",2.75
206,El Rey,Venezuela,2008,Venezuela,"Carenero Superior, Apamate",74%,"5- B,S,C,V,L","sandy, banana, sour",2.5
206,El Rey,Venezuela,2008,Venezuela,"Carenero Superior, Bucare",58%,"5- B,S,C,V,L","gritty, sweet, banana, smoke",2.5
206,El Rey,Venezuela,2008,Venezuela,"Carenero Superior, Mijao",61%,"5- B,S,C,V,L","muted, cherry, banana",3
439,El Rey,Venezuela,2009,Venezuela,"Rio Caribe, Cariaco",60.5%,"5- B,S,C,V,L","very sweet, marshmallow",2.75
439,El Rey,Venezuela,2009,Venezuela,"Rio Caribe, Macuro",70%,"5- B,S,C,V,L","sandy,bold,cherry,peanut butter",3
1662,El Rey,Venezuela,2015,Venezuela,San Joaquin,70%,"5- B,S,C,V,L","spicy, caramel, vanilla",3.75
2382,Eldora,U.S.A.,2019,Guatemala,"Polochic, batch 711",70%,"3- B,S,C","cocoa, fig notes",3.5
1137,Emerald Estate,St. Lucia,2013,St. Lucia,Emerald Estate,60%,"2- B,S","low refinement, too sweet",2.75
1137,Emerald Estate,St. Lucia,2013,St. Lucia,Emerald Estate,70%,"2- B,S","sandy, tannic, earthy",3.25
1450,Emily's,Japan,2015,Venezuela,Patanemo,79%,"3- B,S,C","coarse, woody, roasty",3
1454,Emily's,Japan,2015,Peru,Peru,78%,"3- B,S,C","brownine, nutty",3.5
2114,Encuentro,France,2018,Dominican Republic,Oko Caribe,70%,"2- B,S","earthy, floral, cocoa",3.25
2108,Encuentro,France,2018,Haiti,Pisa w/ nibs,70%,"2- B,S","simple, mild cocoa, fruit",3.5
2108,Encuentro,France,2018,Guatemala,Asochivite,70%,"2- B,S","spicy, sweet,",3.5
2118,Encuentro,France,2018,Madagascar,Bejofo,70%,"2- B,S","fruity, roasty",3.5
1916,ENNA,U.S.A.,2016,Honduras,"Wampusirpi, batch 007",75%,"2- B,S","carrots, heavy roast",3.25
2198,ENNA,U.S.A.,2018,Vietnam,"Ben Tre, batch 77",72%,"2- B,S","intens, brownie, spicy, metal",3
