name,contact_name,contact_url,description,title,provider_name,service_name,license_name,license_url,terms_of_service
amazonaws.com:ec2,Mike Ralphson,https://github.com/mermade/aws2openapi,"<fullname>Amazon Elastic Compute Cloud</fullname> <p>Amazon Elastic Compute Cloud (Amazon EC2) provides secure and resizable computing capacity in the Amazon Web Services Cloud. Using Amazon EC2 eliminates the need to invest in hardware up front, so you can develop and deploy applications faster. Amazon Virtual Private Cloud (Amazon VPC) enables you to provision a logically isolated section of the Amazon Web Services Cloud where you can launch Amazon Web Services resources in a virtual network that you've defined. Amazon Elastic Block Store (Amazon EBS) provides block level storage volumes for use with EC2 instances. EBS volumes are highly available and reliable storage volumes that can be attached to any running instance and used like a hard drive.</p> <p>To learn more, see the following resources:</p> <ul> <li> <p>Amazon EC2: <a href=""http://aws.amazon.com/ec2"">Amazon EC2 product page</a>, <a href=""https://docs.aws.amazon.com/ec2/index.html"">Amazon EC2 documentation</a> </p> </li> <li> <p>Amazon EBS: <a href=""http://aws.amazon.com/ebs"">Amazon EBS product page</a>, <a href=""https://docs.aws.amazon.com/ebs/index.html"">Amazon EBS documentation</a> </p> </li> <li> <p>Amazon VPC: <a href=""http://aws.amazon.com/vpc"">Amazon VPC product page</a>, <a href=""https://docs.aws.amazon.com/vpc/index.html"">Amazon VPC documentation</a> </p> </li> <li> <p>VPN: <a href=""http://aws.amazon.com/vpn"">VPN product page</a>, <a href=""https://docs.aws.amazon.com/vpn/index.html"">VPN documentation</a> </p> </li> </ul>",Amazon Elastic Compute Cloud,amazonaws.com,ec2,Apache 2.0 License,http://www.apache.org/licenses/,https://aws.amazon.com/service-terms/
amazonaws.com:ec2-instance-connect,Mike Ralphson,https://github.com/mermade/aws2openapi,"Amazon EC2 Instance Connect enables system administrators to publish one-time use SSH public keys to EC2, providing users a simple and secure way to connect to their instances.",AWS EC2 Instance Connect,amazonaws.com,ec2-instance-connect,Apache 2.0 License,http://www.apache.org/licenses/,https://aws.amazon.com/service-terms/
amazonaws.com:ecr,Mike Ralphson,https://github.com/mermade/aws2openapi,"<fullname>Amazon Elastic Container Registry</fullname> <p>Amazon Elastic Container Registry (Amazon ECR) is a managed container image registry service. Customers can use the familiar Docker CLI, or their preferred client, to push, pull, and manage images. Amazon ECR provides a secure, scalable, and reliable registry for your Docker or Open Container Initiative (OCI) images. Amazon ECR supports private repositories with resource-based permissions using IAM so that specific users or Amazon EC2 instances can access repositories and images.</p> <p>Amazon ECR has service endpoints in each supported Region. For more information, see <a href=""https://docs.aws.amazon.com/general/latest/gr/ecr.html"">Amazon ECR endpoints</a> in the <i>Amazon Web Services General Reference</i>.</p>",Amazon EC2 Container Registry,amazonaws.com,ecr,Apache 2.0 License,http://www.apache.org/licenses/,https://aws.amazon.com/service-terms/
amazonaws.com:ecr-public,Mike Ralphson,https://github.com/mermade/aws2openapi,"<fullname>Amazon Elastic Container Registry Public</fullname> <p>Amazon Elastic Container Registry Public (Amazon ECR Public) is a managed container image registry service. Amazon ECR provides both public and private registries to host your container images. You can use the Docker CLI or your preferred client to push, pull, and manage images. Amazon ECR provides a secure, scalable, and reliable registry for your Docker or Open Container Initiative (OCI) images. Amazon ECR supports public repositories with this API. For information about the Amazon ECR API for private repositories, see <a href=""https://docs.aws.amazon.com/AmazonECR/latest/APIReference/Welcome.html"">Amazon Elastic Container Registry API Reference</a>.</p>",Amazon Elastic Container Registry Public,amazonaws.com,ecr-public,Apache 2.0 License,http://www.apache.org/licenses/,https://aws.amazon.com/service-terms/
amazonaws.com:ecs,Mike Ralphson,https://github.com/mermade/aws2openapi,"<fullname>Amazon Elastic Container Service</fullname> <p>Amazon Elastic Container Service (Amazon ECS) is a highly scalable, fast, container management service. It makes it easy to run, stop, and manage Docker containers. You can host your cluster on a serverless infrastructure that's managed by Amazon ECS by launching your services or tasks on Fargate. For more control, you can host your tasks on a cluster of Amazon Elastic Compute Cloud (Amazon EC2) or External (on-premises) instances that you manage.</p> <p>Amazon ECS makes it easy to launch and stop container-based applications with simple API calls. This makes it easy to get the state of your cluster from a centralized service, and gives you access to many familiar Amazon EC2 features.</p> <p>You can use Amazon ECS to schedule the placement of containers across your cluster based on your resource needs, isolation policies, and availability requirements. With Amazon ECS, you don't need to operate your own cluster management and configuration management systems. You also don't need to worry about scaling your management infrastructure.</p>",Amazon EC2 Container Service,amazonaws.com,ecs,Apache 2.0 License,http://www.apache.org/licenses/,https://aws.amazon.com/service-terms/
amazonaws.com:eks,Mike Ralphson,https://github.com/mermade/aws2openapi,"<p>Amazon Elastic Kubernetes Service (Amazon EKS) is a managed service that makes it easy for you to run Kubernetes on Amazon Web Services without needing to stand up or maintain your own Kubernetes control plane. Kubernetes is an open-source system for automating the deployment, scaling, and management of containerized applications. </p> <p>Amazon EKS runs up-to-date versions of the open-source Kubernetes software, so you can use all the existing plugins and tooling from the Kubernetes community. Applications running on Amazon EKS are fully compatible with applications running on any standard Kubernetes environment, whether running in on-premises data centers or public clouds. This means that you can easily migrate any standard Kubernetes application to Amazon EKS without any code modification required.</p>",Amazon Elastic Kubernetes Service,amazonaws.com,eks,Apache 2.0 License,http://www.apache.org/licenses/,https://aws.amazon.com/service-terms/
amazonaws.com:elastic-inference,Mike Ralphson,https://github.com/mermade/aws2openapi,"<p> Elastic Inference public APIs. </p> <p> February 15, 2023: Starting April 15, 2023, AWS will not onboard new customers to Amazon Elastic Inference (EI), and will help current customers migrate their workloads to options that offer better price and performance. After April 15, 2023, new customers will not be able to launch instances with Amazon EI accelerators in Amazon SageMaker, Amazon ECS, or Amazon EC2. However, customers who have used Amazon EI at least once during the past 30-day period are considered current customers and will be able to continue using the service. </p>",Amazon Elastic  Inference,amazonaws.com,elastic-inference,Apache 2.0 License,http://www.apache.org/licenses/,https://aws.amazon.com/service-terms/
amazonaws.com:elasticache,Mike Ralphson,https://github.com/mermade/aws2openapi,"<fullname>Amazon ElastiCache</fullname> <p>Amazon ElastiCache is a web service that makes it easier to set up, operate, and scale a distributed cache in the cloud.</p> <p>With ElastiCache, customers get all of the benefits of a high-performance, in-memory cache with less of the administrative burden involved in launching and managing a distributed cache. The service makes setup, scaling, and cluster failure handling much simpler than in a self-managed cache deployment.</p> <p>In addition, through integration with Amazon CloudWatch, customers get enhanced visibility into the key performance statistics associated with their cache and can receive alarms if a part of their cache runs hot.</p>",Amazon ElastiCache,amazonaws.com,elasticache,Apache 2.0 License,http://www.apache.org/licenses/,https://aws.amazon.com/service-terms/
amazonaws.com:elasticbeanstalk,Mike Ralphson,https://github.com/mermade/aws2openapi,"<fullname>AWS Elastic Beanstalk</fullname> <p>AWS Elastic Beanstalk makes it easy for you to create, deploy, and manage scalable, fault-tolerant applications running on the Amazon Web Services cloud.</p> <p>For more information about this product, go to the <a href=""http://aws.amazon.com/elasticbeanstalk/"">AWS Elastic Beanstalk</a> details page. The location of the latest AWS Elastic Beanstalk WSDL is <a href=""https://elasticbeanstalk.s3.amazonaws.com/doc/2010-12-01/AWSElasticBeanstalk.wsdl"">https://elasticbeanstalk.s3.amazonaws.com/doc/2010-12-01/AWSElasticBeanstalk.wsdl</a>. To install the Software Development Kits (SDKs), Integrated Development Environment (IDE) Toolkits, and command line tools that enable you to access the API, go to <a href=""http://aws.amazon.com/tools/"">Tools for Amazon Web Services</a>.</p> <p> <b>Endpoints</b> </p> <p>For a list of region-specific endpoints that AWS Elastic Beanstalk supports, go to <a href=""https://docs.aws.amazon.com/general/latest/gr/rande.html#elasticbeanstalk_region"">Regions and Endpoints</a> in the <i>Amazon Web Services Glossary</i>.</p>",AWS Elastic Beanstalk,amazonaws.com,elasticbeanstalk,Apache 2.0 License,http://www.apache.org/licenses/,https://aws.amazon.com/service-terms/
amazonaws.com:elasticfilesystem,Mike Ralphson,https://github.com/mermade/aws2openapi,"<fullname>Amazon Elastic File System</fullname> <p>Amazon Elastic File System (Amazon EFS) provides simple, scalable file storage for use with Amazon EC2 Linux and Mac instances in the Amazon Web Services Cloud. With Amazon EFS, storage capacity is elastic, growing and shrinking automatically as you add and remove files, so that your applications have the storage they need, when they need it. For more information, see the <a href=""https://docs.aws.amazon.com/efs/latest/ug/api-reference.html"">Amazon Elastic File System API Reference</a> and the <a href=""https://docs.aws.amazon.com/efs/latest/ug/whatisefs.html"">Amazon Elastic File System User Guide</a>.</p>",Amazon Elastic File System,amazonaws.com,elasticfilesystem,Apache 2.0 License,http://www.apache.org/licenses/,https://aws.amazon.com/service-terms/
amazonaws.com:elasticloadbalancing,Mike Ralphson,https://github.com/mermade/aws2openapi,"<fullname>Elastic Load Balancing</fullname> <p>A load balancer can distribute incoming traffic across your EC2 instances. This enables you to increase the availability of your application. The load balancer also monitors the health of its registered instances and ensures that it routes traffic only to healthy instances. You configure your load balancer to accept incoming traffic by specifying one or more listeners, which are configured with a protocol and port number for connections from clients to the load balancer and a protocol and port number for connections from the load balancer to the instances.</p> <p>Elastic Load Balancing supports three types of load balancers: Application Load Balancers, Network Load Balancers, and Classic Load Balancers. You can select a load balancer based on your application needs. For more information, see the <a href=""https://docs.aws.amazon.com/elasticloadbalancing/latest/userguide/"">Elastic Load Balancing User Guide</a>.</p> <p>This reference covers the 2012-06-01 API, which supports Classic Load Balancers. The 2015-12-01 API supports Application Load Balancers and Network Load Balancers.</p> <p>To get started, create a load balancer with one or more listeners using <a>CreateLoadBalancer</a>. Register your instances with the load balancer using <a>RegisterInstancesWithLoadBalancer</a>.</p> <p>All Elastic Load Balancing operations are <i>idempotent</i>, which means that they complete at most one time. If you repeat an operation, it succeeds with a 200 OK response code.</p>",Elastic Load Balancing,amazonaws.com,elasticloadbalancing,Apache 2.0 License,http://www.apache.org/licenses/,https://aws.amazon.com/service-terms/
amazonaws.com:elasticloadbalancingv2,Mike Ralphson,https://github.com/mermade/aws2openapi,"<fullname>Elastic Load Balancing</fullname> <p>A load balancer distributes incoming traffic across targets, such as your EC2 instances. This enables you to increase the availability of your application. The load balancer also monitors the health of its registered targets and ensures that it routes traffic only to healthy targets. You configure your load balancer to accept incoming traffic by specifying one or more listeners, which are configured with a protocol and port number for connections from clients to the load balancer. You configure a target group with a protocol and port number for connections from the load balancer to the targets, and with health check settings to be used when checking the health status of the targets.</p> <p>Elastic Load Balancing supports the following types of load balancers: Application Load Balancers, Network Load Balancers, Gateway Load Balancers, and Classic Load Balancers. This reference covers the following load balancer types:</p> <ul> <li> <p>Application Load Balancer - Operates at the application layer (layer 7) and supports HTTP and HTTPS.</p> </li> <li> <p>Network Load Balancer - Operates at the transport layer (layer 4) and supports TCP, TLS, and UDP.</p> </li> <li> <p>Gateway Load Balancer - Operates at the network layer (layer 3).</p> </li> </ul> <p>For more information, see the <a href=""https://docs.aws.amazon.com/elasticloadbalancing/latest/userguide/"">Elastic Load Balancing User Guide</a>.</p> <p>All Elastic Load Balancing operations are idempotent, which means that they complete at most one time. If you repeat an operation, it succeeds.</p>",Elastic Load Balancing,amazonaws.com,elasticloadbalancingv2,Apache 2.0 License,http://www.apache.org/licenses/,https://aws.amazon.com/service-terms/
amazonaws.com:elasticmapreduce,Mike Ralphson,https://github.com/mermade/aws2openapi,"Amazon EMR is a web service that makes it easier to process large amounts of data efficiently. Amazon EMR uses Hadoop processing combined with several Amazon Web Services services to do tasks such as web indexing, data mining, log file analysis, machine learning, scientific simulation, and data warehouse management.",Amazon EMR,amazonaws.com,elasticmapreduce,Apache 2.0 License,http://www.apache.org/licenses/,https://aws.amazon.com/service-terms/
amazonaws.com:elastictranscoder,Mike Ralphson,https://github.com/mermade/aws2openapi,<fullname>AWS Elastic Transcoder Service</fullname> <p>The AWS Elastic Transcoder Service.</p>,Amazon Elastic Transcoder,amazonaws.com,elastictranscoder,Apache 2.0 License,http://www.apache.org/licenses/,https://aws.amazon.com/service-terms/
amazonaws.com:email,Mike Ralphson,https://github.com/mermade/aws2openapi,"<fullname>Amazon Simple Email Service</fullname> <p> This document contains reference information for the <a href=""https://aws.amazon.com/ses/"">Amazon Simple Email Service</a> (Amazon SES) API, version 2010-12-01. This document is best used in conjunction with the <a href=""https://docs.aws.amazon.com/ses/latest/DeveloperGuide/Welcome.html"">Amazon SES Developer Guide</a>. </p> <note> <p> For a list of Amazon SES endpoints to use in service requests, see <a href=""https://docs.aws.amazon.com/ses/latest/DeveloperGuide/regions.html"">Regions and Amazon SES</a> in the <a href=""https://docs.aws.amazon.com/ses/latest/DeveloperGuide/Welcome.html"">Amazon SES Developer Guide</a>.</p> </note>",Amazon Simple Email Service,amazonaws.com,email,Apache 2.0 License,http://www.apache.org/licenses/,https://aws.amazon.com/service-terms/
amazonaws.com:emr-containers,Mike Ralphson,https://github.com/mermade/aws2openapi,"<p>Amazon EMR on EKS provides a deployment option for Amazon EMR that allows you to run open-source big data frameworks on Amazon Elastic Kubernetes Service (Amazon EKS). With this deployment option, you can focus on running analytics workloads while Amazon EMR on EKS builds, configures, and manages containers for open-source applications. For more information about Amazon EMR on EKS concepts and tasks, see <a href=""https://docs.aws.amazon.com/emr/latest/EMR-on-EKS-DevelopmentGuide/emr-eks.html"">What is shared id=""EMR-EKS""/&gt;</a>.</p> <p> <i>Amazon EMR containers</i> is the API name for Amazon EMR on EKS. The <code>emr-containers</code> prefix is used in the following scenarios: </p> <ul> <li> <p>It is the prefix in the CLI commands for Amazon EMR on EKS. For example, <code>aws emr-containers start-job-run</code>.</p> </li> <li> <p>It is the prefix before IAM policy actions for Amazon EMR on EKS. For example, <code>""Action"": [ ""emr-containers:StartJobRun""]</code>. For more information, see <a href=""https://docs.aws.amazon.com/emr/latest/EMR-on-EKS-DevelopmentGuide/security_iam_service-with-iam.html#security_iam_service-with-iam-id-based-policies-actions"">Policy actions for Amazon EMR on EKS</a>.</p> </li> <li> <p>It is the prefix used in Amazon EMR on EKS service endpoints. For example, <code>emr-containers.us-east-2.amazonaws.com</code>. For more information, see <a href=""https://docs.aws.amazon.com/emr/latest/EMR-on-EKS-DevelopmentGuide/service-quotas.html#service-endpoints"">Amazon EMR on EKSService Endpoints</a>.</p> </li> </ul>",Amazon EMR Containers,amazonaws.com,emr-containers,Apache 2.0 License,http://www.apache.org/licenses/,https://aws.amazon.com/service-terms/
amazonaws.com:entitlement.marketplace,Mike Ralphson,https://github.com/mermade/aws2openapi,"<fullname>AWS Marketplace Entitlement Service</fullname> <p>This reference provides descriptions of the AWS Marketplace Entitlement Service API.</p> <p>AWS Marketplace Entitlement Service is used to determine the entitlement of a customer to a given product. An entitlement represents capacity in a product owned by the customer. For example, a customer might own some number of users or seats in an SaaS application or some amount of data capacity in a multi-tenant database.</p> <p> <b>Getting Entitlement Records</b> </p> <ul> <li> <p> <i>GetEntitlements</i>- Gets the entitlements for a Marketplace product.</p> </li> </ul>",AWS Marketplace Entitlement Service,amazonaws.com,entitlement.marketplace,Apache 2.0 License,http://www.apache.org/licenses/,https://aws.amazon.com/service-terms/
amazonaws.com:es,Mike Ralphson,https://github.com/mermade/aws2openapi,"<fullname>Amazon Elasticsearch Configuration Service</fullname> <p>Use the Amazon Elasticsearch Configuration API to create, configure, and manage Elasticsearch domains.</p> <p>For sample code that uses the Configuration API, see the <a href=""https://docs.aws.amazon.com/elasticsearch-service/latest/developerguide/es-configuration-samples.html"">Amazon Elasticsearch Service Developer Guide</a>. The guide also contains <a href=""https://docs.aws.amazon.com/elasticsearch-service/latest/developerguide/es-request-signing.html"">sample code for sending signed HTTP requests to the Elasticsearch APIs</a>.</p> <p>The endpoint for configuration service requests is region-specific: es.<i>region</i>.amazonaws.com. For example, es.us-east-1.amazonaws.com. For a current list of supported regions and endpoints, see <a href=""http://docs.aws.amazon.com/general/latest/gr/rande.html#elasticsearch-service-regions"" target=""_blank"">Regions and Endpoints</a>.</p>",Amazon Elasticsearch Service,amazonaws.com,es,Apache 2.0 License,http://www.apache.org/licenses/,https://aws.amazon.com/service-terms/
amazonaws.com:eventbridge,Mike Ralphson,https://github.com/mermade/aws2openapi,"<p>Amazon EventBridge helps you to respond to state changes in your Amazon Web Services resources. When your resources change state, they automatically send events to an event stream. You can create rules that match selected events in the stream and route them to targets to take action. You can also use rules to take action on a predetermined schedule. For example, you can configure rules to:</p> <ul> <li> <p>Automatically invoke an Lambda function to update DNS entries when an event notifies you that Amazon EC2 instance enters the running state.</p> </li> <li> <p>Direct specific API records from CloudTrail to an Amazon Kinesis data stream for detailed analysis of potential security or availability risks.</p> </li> <li> <p>Periodically invoke a built-in target to create a snapshot of an Amazon EBS volume.</p> </li> </ul> <p>For more information about the features of Amazon EventBridge, see the <a href=""https://docs.aws.amazon.com/eventbridge/latest/userguide"">Amazon EventBridge User Guide</a>.</p>",Amazon EventBridge,amazonaws.com,eventbridge,Apache 2.0 License,http://www.apache.org/licenses/,https://aws.amazon.com/service-terms/
amazonaws.com:events,Mike Ralphson,https://github.com/mermade/aws2openapi,"<p>Amazon EventBridge helps you to respond to state changes in your Amazon Web Services resources. When your resources change state, they automatically send events to an event stream. You can create rules that match selected events in the stream and route them to targets to take action. You can also use rules to take action on a predetermined schedule. For example, you can configure rules to:</p> <ul> <li> <p>Automatically invoke an Lambda function to update DNS entries when an event notifies you that Amazon EC2 instance enters the running state.</p> </li> <li> <p>Direct specific API records from CloudTrail to an Amazon Kinesis data stream for detailed analysis of potential security or availability risks.</p> </li> <li> <p>Periodically invoke a built-in target to create a snapshot of an Amazon EBS volume.</p> </li> </ul> <p>For more information about the features of Amazon EventBridge, see the <a href=""https://docs.aws.amazon.com/eventbridge/latest/userguide"">Amazon EventBridge User Guide</a>.</p>",Amazon CloudWatch Events,amazonaws.com,events,Apache 2.0 License,http://www.apache.org/licenses/,https://aws.amazon.com/service-terms/
amazonaws.com:finspace,Mike Ralphson,https://github.com/mermade/aws2openapi,The FinSpace management service provides the APIs for managing FinSpace environments.,FinSpace User Environment Management service,amazonaws.com,finspace,Apache 2.0 License,http://www.apache.org/licenses/,https://aws.amazon.com/service-terms/
amazonaws.com:finspace-data,Mike Ralphson,https://github.com/mermade/aws2openapi, The FinSpace APIs let you take actions inside the FinSpace.,FinSpace Public API,amazonaws.com,finspace-data,Apache 2.0 License,http://www.apache.org/licenses/,https://aws.amazon.com/service-terms/
amazonaws.com:firehose,Mike Ralphson,https://github.com/mermade/aws2openapi,"<fullname>Amazon Kinesis Data Firehose API Reference</fullname> <p>Amazon Kinesis Data Firehose is a fully managed service that delivers real-time streaming data to destinations such as Amazon Simple Storage Service (Amazon S3), Amazon OpenSearch Service, Amazon Redshift, Splunk, and various other supportd destinations.</p>",Amazon Kinesis Firehose,amazonaws.com,firehose,Apache 2.0 License,http://www.apache.org/licenses/,https://aws.amazon.com/service-terms/
amazonaws.com:fis,Mike Ralphson,https://github.com/mermade/aws2openapi,"Fault Injection Simulator is a managed service that enables you to perform fault injection experiments on your Amazon Web Services workloads. For more information, see the <a href=""https://docs.aws.amazon.com/fis/latest/userguide/"">Fault Injection Simulator User Guide</a>.",AWS Fault Injection Simulator,amazonaws.com,fis,Apache 2.0 License,http://www.apache.org/licenses/,https://aws.amazon.com/service-terms/
amazonaws.com:fms,Mike Ralphson,https://github.com/mermade/aws2openapi,"<p>This is the <i>Firewall Manager API Reference</i>. This guide is for developers who need detailed information about the Firewall Manager API actions, data types, and errors. For detailed information about Firewall Manager features, see the <a href=""https://docs.aws.amazon.com/waf/latest/developerguide/fms-chapter.html"">Firewall Manager Developer Guide</a>.</p> <p>Some API actions require explicit resource permissions. For information, see the developer guide topic <a href=""https://docs.aws.amazon.com/waf/latest/developerguide/fms-security_iam_service-with-iam.html#fms-security_iam_service-with-iam-roles-service"">Service roles for Firewall Manager</a>. </p>",Firewall Management Service,amazonaws.com,fms,Apache 2.0 License,http://www.apache.org/licenses/,https://aws.amazon.com/service-terms/
amazonaws.com:forecast,Mike Ralphson,https://github.com/mermade/aws2openapi,Provides APIs for creating and managing Amazon Forecast resources.,Amazon Forecast Service,amazonaws.com,forecast,Apache 2.0 License,http://www.apache.org/licenses/,https://aws.amazon.com/service-terms/
amazonaws.com:forecastquery,Mike Ralphson,https://github.com/mermade/aws2openapi,Provides APIs for creating and managing Amazon Forecast resources.,Amazon Forecast Query Service,amazonaws.com,forecastquery,Apache 2.0 License,http://www.apache.org/licenses/,https://aws.amazon.com/service-terms/
amazonaws.com:frauddetector,Mike Ralphson,https://github.com/mermade/aws2openapi,"<p>This is the Amazon Fraud Detector API Reference. This guide is for developers who need detailed information about Amazon Fraud Detector API actions, data types, and errors. For more information about Amazon Fraud Detector features, see the <a href=""https://docs.aws.amazon.com/frauddetector/latest/ug/"">Amazon Fraud Detector User Guide</a>.</p> <p>We provide the Query API as well as AWS software development kits (SDK) for Amazon Fraud Detector in Java and Python programming languages.</p> <p>The Amazon Fraud Detector Query API provides HTTPS requests that use the HTTP verb GET or POST and a Query parameter <code>Action</code>. AWS SDK provides libraries, sample code, tutorials, and other resources for software developers who prefer to build applications using language-specific APIs instead of submitting a request over HTTP or HTTPS. These libraries provide basic functions that automatically take care of tasks such as cryptographically signing your requests, retrying requests, and handling error responses, so that it is easier for you to get started. For more information about the AWS SDKs, see <a href=""https://docs.aws.amazon.com/https:/aws.amazon.com/tools/"">Tools to build on AWS</a>. </p>",Amazon Fraud Detector,amazonaws.com,frauddetector,Apache 2.0 License,http://www.apache.org/licenses/,https://aws.amazon.com/service-terms/
amazonaws.com:fsx,Mike Ralphson,https://github.com/mermade/aws2openapi,Amazon FSx is a fully managed service that makes it easy for storage and application administrators to launch and use shared file storage.,Amazon FSx,amazonaws.com,fsx,Apache 2.0 License,http://www.apache.org/licenses/,https://aws.amazon.com/service-terms/
amazonaws.com:gamelift,Mike Ralphson,https://github.com/mermade/aws2openapi,"<p>Amazon GameLift provides solutions for hosting session-based multiplayer game servers in the cloud, including tools for deploying, operating, and scaling game servers. Built on Amazon Web Services global computing infrastructure, GameLift helps you deliver high-performance, high-reliability, low-cost game servers while dynamically scaling your resource usage to meet player demand. </p> <p> <b>About Amazon GameLift solutions</b> </p> <p>Get more information on these Amazon GameLift solutions in the <a href=""https://docs.aws.amazon.com/gamelift/latest/developerguide/"">Amazon GameLift Developer Guide</a>.</p> <ul> <li> <p>Amazon GameLift managed hosting -- Amazon GameLift offers a fully managed service to set up and maintain computing machines for hosting, manage game session and player session life cycle, and handle security, storage, and performance tracking. You can use automatic scaling tools to balance player demand and hosting costs, configure your game session management to minimize player latency, and add FlexMatch for matchmaking.</p> </li> <li> <p>Managed hosting with Realtime Servers -- With Amazon GameLift Realtime Servers, you can quickly configure and set up ready-to-go game servers for your game. Realtime Servers provides a game server framework with core Amazon GameLift infrastructure already built in. Then use the full range of Amazon GameLift managed hosting features, including FlexMatch, for your game.</p> </li> <li> <p>Amazon GameLift FleetIQ -- Use Amazon GameLift FleetIQ as a standalone service while hosting your games using EC2 instances and Auto Scaling groups. Amazon GameLift FleetIQ provides optimizations for game hosting, including boosting the viability of low-cost Spot Instances gaming. For a complete solution, pair the Amazon GameLift FleetIQ and FlexMatch standalone services.</p> </li> <li> <p>Amazon GameLift FlexMatch -- Add matchmaking to your game hosting solution. FlexMatch is a customizable matchmaking service for multiplayer games. Use FlexMatch as integrated with Amazon GameLift managed hosting or incorporate FlexMatch as a standalone service into your own hosting solution.</p> </li> </ul> <p> <b>About this API Reference</b> </p> <p>This reference guide describes the low-level service API for Amazon GameLift. With each topic in this guide, you can find links to language-specific SDK guides and the Amazon Web Services CLI reference. Useful links:</p> <ul> <li> <p> <a href=""https://docs.aws.amazon.com/gamelift/latest/developerguide/reference-awssdk.html"">Amazon GameLift API operations listed by tasks</a> </p> </li> <li> <p> <a href=""https://docs.aws.amazon.com/gamelift/latest/developerguide/gamelift-components.html""> Amazon GameLift tools and resources</a> </p> </li> </ul>",Amazon GameLift,amazonaws.com,gamelift,Apache 2.0 License,http://www.apache.org/licenses/,https://aws.amazon.com/service-terms/
amazonaws.com:glacier,Mike Ralphson,https://github.com/mermade/aws2openapi,"<p> Amazon S3 Glacier (Glacier) is a storage solution for ""cold data.""</p> <p>Glacier is an extremely low-cost storage service that provides secure, durable, and easy-to-use storage for data backup and archival. With Glacier, customers can store their data cost effectively for months, years, or decades. Glacier also enables customers to offload the administrative burdens of operating and scaling storage to AWS, so they don't have to worry about capacity planning, hardware provisioning, data replication, hardware failure and recovery, or time-consuming hardware migrations.</p> <p>Glacier is a great storage choice when low storage cost is paramount and your data is rarely retrieved. If your application requires fast or frequent access to your data, consider using Amazon S3. For more information, see <a href=""http://aws.amazon.com/s3/"">Amazon Simple Storage Service (Amazon S3)</a>.</p> <p>You can store any kind of data in any format. There is no maximum limit on the total amount of data you can store in Glacier.</p> <p>If you are a first-time user of Glacier, we recommend that you begin by reading the following sections in the <i>Amazon S3 Glacier Developer Guide</i>:</p> <ul> <li> <p> <a href=""https://docs.aws.amazon.com/amazonglacier/latest/dev/introduction.html"">What is Amazon S3 Glacier</a> - This section of the Developer Guide describes the underlying data model, the operations it supports, and the AWS SDKs that you can use to interact with the service.</p> </li> <li> <p> <a href=""https://docs.aws.amazon.com/amazonglacier/latest/dev/amazon-glacier-getting-started.html"">Getting Started with Amazon S3 Glacier</a> - The Getting Started section walks you through the process of creating a vault, uploading archives, creating jobs to download archives, retrieving the job output, and deleting archives.</p> </li> </ul>",Amazon Glacier,amazonaws.com,glacier,Apache 2.0 License,http://www.apache.org/licenses/,https://aws.amazon.com/service-terms/
