title,url,rating,subtitle,author,published,claim
Are Drug-Laced Suckers Being Handed Out to Children?,https://www.snopes.com/fact-check/suckered/,mixture,It appears a valid report about drugs confiscated by the police fell into the hands of someone with an active imagination.,Barbara Mikkelson,2004-10-19,Drug-laced suckers are being handed out to children in Arkansas.
Home Intruder Poses as Clown Statue,https://www.snopes.com/fact-check/statue-of-limitations-2/,legend,Remember this tale about a babysitter who makes an unfortunate discovery?,Barbara Mikkelson,2004-10-10,A clown statue that spooked a babysitter turns out to be a knife-wielding intruder hiding in the house.
Fake Execution Heart Attack Death,https://www.snopes.com/fact-check/lethal-indirection/,legend,Man fooled into thinking he has been executed dies of a heart attack?,Barbara Mikkelson,2004-04-04,Man fooled into thinking he has been executed dies of a heart attack.
Lightning Telephone Deaths,https://www.snopes.com/fact-check/bolt-action/,true,Have lightning strikes killed people who were talking on the phone?,Barbara Mikkelson,2004-02-01,Lightning strikes have killed people who were talking on the telephone.
Have People Died Laughing?,https://www.snopes.com/fact-check/the-last-laughs-on-him/,true,"Is the phrase ""I just about died laughing"" as much about accuracy as it is hyperbole?",Barbara Mikkelson,2004-01-02,People have died laughing.
College Scurvy,https://www.snopes.com/fact-check/sole-food/,legend,Did a college student who restricted himself to only one foodstuff contract scurvy?,Barbara Mikkelson,2003-11-12,College student who restricts himself to only one foodstuff contracts scurvy.
Was 'The Texas Chainsaw Massacre' Based on a True Story?,https://www.snopes.com/fact-check/texas-chainsaw-massacre/,mostly false,"A remake of 'The Texas Chainsaw Massacre' was promoted with the tagline, ""Inspired by a true story,"" prompting fans to wonder about the origin of this horror classic.",David Mikkelson,2003-10-15,The film The Texas Chainsaw Massacre was based on a true story.
Was a Houston Doctor Decapitated by a Malfunctioning Elevator?,https://www.snopes.com/fact-check/houston-elevator-death/,true,"We'd like to think beheadings happen only in campfire tales and low-budget thrillers, but they take place in real life too.",Barbara Mikkelson,2003-09-13,A Houston doctor was decapitated by a malfunctioning elevator.
Walking Stick,https://www.snopes.com/fact-check/walking-stick/,undetermined,Texas dog has unfortunate encounter with a walkingstick from Belize?,David Mikkelson,2003-09-11,Texas dog has unfortunate encounter with a walkingstick from Belize.
Drill Bit Accident,https://www.snopes.com/fact-check/bit-of-trouble/,true,Did a man survive an accident that poked an drill bit through one eye and out the side of his skull?,David Mikkelson,2003-09-05,A construction worker survived an accident that poked an 18-inch-long drill bit through one eye and out the side of his skull.
Las Vegas Tourist Electrocution,https://www.snopes.com/fact-check/electric-avenue/,true,Was a tourist electrocuted crossing a street in Las Vegas?,Barbara Mikkelson,2003-08-22,A tourist was electrocuted while crossing a street in Las Vegas.
Death of John Howard Griffin,https://www.snopes.com/fact-check/dead-like-me/,false,Did the author of 'Black Like Me' die from skin cancer caused by the treatment he underwent to darken his skin?,David Mikkelson,2003-07-27,"John Howard Griffin, the author of Black Like Me, died from skin cancer caused by the treatment he underwent to darken his skin."
Fly Boy,https://www.snopes.com/fact-check/fly-boy/,undetermined,Did an Indian boy experience a rare condition in which flies emerged from his groin?,David Mikkelson,2003-07-26,An Indian boy experienced a rare condition in which beetles bred in his body and emerged from his groin as full-grown flies.
Hospital Cell Phone Death,https://www.snopes.com/fact-check/sick-call/,false,Did a child die during an operation because someone used a cell phone in a hospital?,Barbara Mikkelson,2003-07-23,A child died during a routine operation because someone used a cell phone in a hospital.
Origin of 'Baby on Board' Signs,https://www.snopes.com/fact-check/baby-on-board/,false,Rumor: The death of an infant in an auto accident led to the invention of 'Baby on Board' signs.,Barbara Mikkelson,2003-07-01,The death of an infant in an automobile accident led to the invention of 'Baby on Board' signs.
Broom Death,https://www.snopes.com/fact-check/broom-hilda/,legend,Did a coed die pleasuring herself with a broom?,Barbara Mikkelson,2003-04-03,A coed fatally skewers herself while masturbating with a broom handle.
Evian and Cow's Blood,https://www.snopes.com/fact-check/blood-sport/,false,Is Evian brand drinking water filtered with cow's blood?,David Mikkelson,2003-03-10,Evian brand drinking water is filtered with cow's blood.
Child Falls on Knife in Dishwasher,https://www.snopes.com/fact-check/dishwasher-demise/,true,Child falls on knife in dishwasher and dies?,Barbara Mikkelson,2003-02-04,Child falls on knife in open dishwasher and dies.
Smashed Fingers,https://www.snopes.com/fact-check/fingered/,false,"Enraged father punishes 3-year-old by smashing his fingers, then commits suicide out of remorse?",Barbara Mikkelson,2003-01-08,"Enraged father punishes 3-year-old by smashing his fingers, then commits suicide out of remorse."
SpongeBob SquarePants Death,https://www.snopes.com/fact-check/drown-by-the-sea/,false,Did a child drown after jumping into ocean to see SpongeBob SquarePants?,David Mikkelson,2003-01-03,A child drowned after jumping into the ocean to see SpongeBob SquarePants.
Worm in the Eye,https://www.snopes.com/fact-check/get-out-the-mote/,true,Was the larva of a human botfly was removed from a child's eye?,David Mikkelson,2002-12-08,The larva of a human botfly was removed from a child's eye.
Siblings Die in Traffic Accident,https://www.snopes.com/fact-check/family-resemblance/,true,Siblings are coincidentally killed in related automobile accidents.,David Mikkelson,2002-11-24,Siblings are coincidentally killed in related automobile accidents.
Man Dies of Hypothermia in an Unplugged Freezer,https://www.snopes.com/fact-check/deadly-imaginings/,legend,A man locked in an unplugged freezer imagined himself freezing to death and died as a result.,Barbara Mikkelson,2002-04-30,A man locked in an unplugged freezer imagined himself freezing to death and died as a result.
Ghostly Rescue,https://www.snopes.com/fact-check/ghostly-rescue/,legend,Did the ghost of a woman killed in a car crash direct rescuers to her injured child?,Barbara Mikkelson,2002-03-15,"The ghost of a woman killed in a car crash directs rescuers to the wreck to save her still-living baby, who is trapped within."
Lollipop Death,https://www.snopes.com/fact-check/sucker-bete/,false,"Did a man eating a lollipop choke to death when his car's airbag deployed, forcing the candy down his throat?",Barbara Mikkelson,2002-01-04,"A man eating a lollipop choked to death when his car's airbag deployed, forcing the candy down his throat."
Have Women Been Killed by Poisoned Perfume Samples?,https://www.snopes.com/fact-check/poison-perfume-samples/,false,"A warning from ""Glen Eagles"" hospital about the deaths of women who sniffed poisoned perfume samples is an old hoax.",Barbara Mikkelson,2001-11-03,Glen Eagles hospital issued an urgent warning because seven women have died after sniffing perfume samples received in the mail.
Cats Sacrificed at Halloween?,https://www.snopes.com/fact-check/cat-o-nine-tales/,legend,Rumor has it that black cats are subjected to all sorts of unkind and even cruel activity around Halloween.,David Mikkelson,2001-10-30,"Black cats are routinely sacrificed by ""satanic cults"" at Halloween."
Child Abduction from Theme Park Thwarted by Shoes,https://www.snopes.com/fact-check/child-abduction-shoes/,false,"Urban legend holds that an attempted abduction of a child from a big box store, mall, or amusement park was thwarted because the kidnappers neglected to change the child's shoes.",David Mikkelson,2001-10-12,An attempted abduction of a child from a mall or amusement park was thwarted because the kidnappers forgot to change the child's shoes.
Penis in Fruit Punch,https://www.snopes.com/fact-check/a-good-stiff-drink/,false,Was a human penis found in a jar of fruit punch?,Barbara Mikkelson,2001-10-08,A human penis was found in a jar of fruit punch.
Highway Deception,https://www.snopes.com/fact-check/highway-deception/,true,Woman fabricates claim of being detained by a man pretending to be a policeman.,Barbara Mikkelson,2001-09-08,Woman fabricates story about being detained by a man pretending to be a police officer.
Urine in Outback Steak,https://www.snopes.com/fact-check/p-bone-steak/,false,Customer sickened after eating at a chain restaurant afterwards discovers human urine in what she ate?,David Mikkelson,2001-09-07,Customer becomes sick after eating a steak at a chain restaurant; analysis of her meal reveals the presence of human urine in the meat.
Kidney Theft,https://www.snopes.com/fact-check/youve-got-to-be-kidneying/,false,The legend of unwary travellers drugged and used as unwilling kidney donors by bands of organ thieves.,Barbara Mikkelson,2001-09-05,Drugged travelers awaken in ice-filled bathtubs only to discover one of their kidneys has been harvested by organ thieves.
Exploding Lighters,https://www.snopes.com/fact-check/the-lighter-side-of-death/,false,Can disposable cigarette lighters explode?,Barbara Mikkelson,2001-06-10,"Spark from a welding arc reaches disposable lighter in worker's pocket, causing it to explode and kill him."
Amusement Park Scalping,https://www.snopes.com/fact-check/hell-toupee/,true,Girl on an amusement park ride is scalped when her hair gets caught in the attraction's machinery?,Barbara Mikkelson,2001-05-21,A girl on an amusement park ride was scalped when her hair got caught in the attraction's machinery.
Contact Lenses Fused to Eyes,https://www.snopes.com/fact-check/cornea-cope-eee-ah/,false,"Warning about a man who was blinded for life when his contact lenses fused to his eyes while he was barbecuing. Real-life incident, or more Internet scaremongering?",Barbara Mikkelson,2001-05-21,A man was blinded for life when his contact lenses fused to his eyes while he was barbecuing.
Cremains Mistaken for Cocaine,https://www.snopes.com/fact-check/cremainlining/,legend,Thieves steal 'cocaine' which turns out to be the cremated remains of a householder's relative.,Barbara Mikkelson,2001-05-07,Thieves steal what they believe to be cocaine but what is in reality the cremated remains of the householder's relative.
Did Houdini Die from a Punch to the Stomach?,https://www.snopes.com/fact-check/death-of-houdini/,unproven,"Nearly everyone familiar with world-famous magician and escape artist Harry Houdini, no matter how little they know about his life, knows one thing about his death.",David Mikkelson,2001-05-02,Escape artist Harry Houdini died from a ruptured appendix caused by his being punched in the stomach.
Is the Bloody Mary Story True?,https://www.snopes.com/fact-check/bloody-mary-story/,legend,Will chanting 'Bloody Mary' 13 times in front of a darkened mirror summon a vengeful ghost?,Barbara Mikkelson,2001-04-27,"Chanting ""Bloody Mary!"" thirteen times in front of a candlelit mirror will summon a vengeful spirit."
Do People Swallow Eight Spiders Per Year?,https://www.snopes.com/fact-check/swallow-spiders/,false,One of the most widely-circulated bits of misinformation to be found on the internet.,David Mikkelson,2001-04-22,The average person swallows eight spiders per year.
Deaths of Children Left in Cars,https://www.snopes.com/fact-check/the-unlovin-oven/,true,Baby left in car by forgetful parent dies?,Barbara Mikkelson,2001-03-27,Baby left in car by forgetful parent dies.
Spiders Eggs in Bubble Yum,https://www.snopes.com/fact-check/bubble-yuck/,false,Does Bubble Yum contain spider eggs?,Barbara Mikkelson,2001-03-26,Bubble Yum chewing gum contains spider eggs.
The Replaced Rabbit,https://www.snopes.com/fact-check/replaced-rabbit/,legend,A family legendarily replaced their neighbor's dead rabbit after mistakenly believing their own dog had killed it.,Snopes Staff,2001-03-25,A family replaced their neighbor's dead rabbit after mistakenly believing their own dog killed it.
Quieting Children with Gas,https://www.snopes.com/fact-check/gashouse-lullaby/,legend,A babysitter quiets her charges by gassing them.,Barbara Mikkelson,2001-03-23,A babysitter quiets her charges by gassing them.
Baby High Chair Death,https://www.snopes.com/fact-check/high-chair-to-heaven/,legend,Was a baby left in a high chair to await the sitter discovered dead when his vacationing parents returned weeks later?,Barbara Mikkelson,2001-03-22,Baby left in a high chair to await the coming of the sitter is discovered dead by the vacationing parents when they return weeks later.
Man Dies at His Desk,https://www.snopes.com/fact-check/working-stiff/,false,Did a man who die at his desk and remain undiscovered until 5 days later?,David Mikkelson,2001-03-17,A man who died at his office desk went unnoticed by his co-workers for five days.
Student AIDS,https://www.snopes.com/fact-check/student-aids/,false,Blood drive at the local high school reveals 20% of the students were HIV positive?,Barbara Mikkelson,2001-03-17,"When the Red Cross conducted a volunteer blood drive at a local high school recently, they uncovered a shocking truth: 20% of the student donors were HIV-positive."
Dead Body on Car,https://www.snopes.com/fact-check/bar-and-grille/,legend,Drunk driver discovers body of little girl stuck to the front of his car.,David Mikkelson,2001-03-11,"The morning after an all-night drinking binge, a man discovers the body of a little girl embedded in his car's grille."
Cockroach Eggs,https://www.snopes.com/fact-check/cockroach-eggs/,false,The cause of swelling in a girl's jaw is determined to be cockroach eggs she ingested from eating a Taco Bell taco or licking envelopes. Real medical case or hoax?,David Mikkelson,2001-03-04,The cause of swelling in a girl's jaw was determined to be cockroach eggs she ingested from eating a Taco Bell taco or licking envelopes.
Are These the Final Words of the Challenger Crew?,https://www.snopes.com/fact-check/challenger-crew-tape/,false,Reports of a secret tape recorded aboard the doomed space shuttle Challenger that captured the final panic-stricken moments of the crew raised suspicions of a cover-up.,Brooke Binkowski,2001-02-22,A secret tape recorded aboard the doomed space shuttle Challenger captured the final panic-stricken moments of the crew.
Self-Mutilation While on Drugs,https://www.snopes.com/fact-check/slice-appeal/,undetermined,Man high on drugs slices off pieces of his face and feeds them to his dogs?,David Mikkelson,2001-02-21,Man high on drugs slices off pieces of his face and feeds them to his dogs.
Needle in Pepsi,https://www.snopes.com/fact-check/hypo-hype/,false,Did a 1993 instance of product tampering result in syringes in cans of Pepsi?,Barbara Mikkelson,2001-02-11,A 1993 instance of product tampering resulted in syringes being found in cans of Pepsi.
MagiCan Death,https://www.snopes.com/fact-check/canned-response/,false,Did the contents of a prize-bearing Coca-Cola 'MagiCan' kill a child?,Barbara Mikkelson,2001-02-07,A child died from drinking the contents of a prize-bearing Coca-Cola 'MagiCan.'
Cycle Lops,https://www.snopes.com/fact-check/cycle-lops/,legend,Was a motorcyclist beheaded by a sheet of metal that flew off a truck?,Barbara Mikkelson,2001-02-06,Motorcyclist is decapitated by a sheet of metal which falls from a passing truck.
Bear Mauls Honey-Smeared Child,https://www.snopes.com/fact-check/bear-mauls-honey-smeared-child/,legend,Urban legend about a photo opportunity involving a bear and a honey-smeared kid going horribly wrong.,Barbara Mikkelson,2001-02-05,A photo opportunity involving a bear and a honey-smeared child resulted in a terrible mauling.
The Boyfriend's Death,https://www.snopes.com/fact-check/the-boyfriends-death/,legend,Was the boyfriend who went for gasoline murdered by a madman?,Barbara Mikkelson,2001-01-29,"Hours after sending her boyfriend in search of gasoline, a girl is rescued from her stranded car by police. Though cautioned not to turn around, she does...and sees her boyfriend's lifeless body hanging from a tree branch above the car."
The Microwaved Workman,https://www.snopes.com/fact-check/nuke-of-earl/,legend,Was a worker who stood too close to microwave emissions cooked by the rays?,Barbara Mikkelson,2001-01-29,A worker who stood too close to microwave radiation was cooked by its rays.
Floor Polisher Hospital Deaths,https://www.snopes.com/fact-check/polished-off/,false,Did a hospital janitor accidentally cause several deaths by unknowingly unplugging patients' life-support systems?,Barbara Mikkelson,2001-01-15,An inattentive janitor caused several deaths in a hospital when he disconnected patients' life support systems to plug in a floor polisher.
Menudo Finger,https://www.snopes.com/fact-check/just-a-menudo/,false,Was a human finger found in a can of menudo?,David Mikkelson,2001-01-04,A human finger was found in a can of menudo.
Death of Diane Linkletter,https://www.snopes.com/fact-check/the-scarlet-linkletter/,false,"Did Art Linkletter's daughter, Diane, jump out a window while high on LSD?",Barbara Mikkelson,2000-12-27,"Thinking she could fly, Diane Linkletter accidentally jumped to her death while high on LSD."
Granny on the Roof Rack,https://www.snopes.com/fact-check/my-mother-the-cargo/,legend,Did a car thief steal an automobile with a dead body in it?,Barbara Mikkelson,2000-12-17,"An old woman traveling in a car filled with relatives dies during a long journey. The surviving family members place her corpse on the car's roof rack, cover it with a tarp, and continue on. Upon reaching the nearest town, the family stops for a coffee and something to eat, leaving Granny's remains tied to the roof rack. They return to the parking lot to find their vehicle — and their dead relative — gone."
HIV Needles in Coin Returns,https://www.snopes.com/fact-check/slots-of-fun/,false,Are drug users dropping discarded needles into pay phone coin returns?,David Mikkelson,2000-11-24,"Drug users are disposing of their used needles by putting them into the coin return slots of public telephones, thereby infecting unsuspecting victims with hepatitis and HIV."
Did a Statue Called Black Agnes Kill a Teenage Girl?,https://www.snopes.com/fact-check/black-agnes/,legend,Horror legend holds that a teenage girl was found dead in the arms of a graveyard statue.,Barbara Mikkelson,2000-11-05,A teenage girl who bets her friends she can spend the night in a cemetery is found dead in the arms of a graveyard statue.
Getting the Strap,https://www.snopes.com/fact-check/getting-the-strap/,false,Women beheaded by purse snatchers?,Barbara Mikkelson,2000-11-03,Women who wear their purses strapped across their bodies running the risk of being beheaded by purse snatchers.
Did a Man Die Demonstrating a Window's Strength?,https://www.snopes.com/fact-check/window-strength-death/,true,A Toronto lawyer demonstrating the safety of window panes in a skyscraper ironically plunged through a window to his death.,Snopes Staff,2000-11-02,A Toronto lawyer demonstrating the safety of window panes in a skyscraper plunged through a window to his death.
Poisoned Halloween Candy,https://www.snopes.com/fact-check/halloween-non-poisonings/,false,Police have never documented actual cases of people randomly distributing poisoned goodies to children on Halloween.,Snopes Staff,2000-11-01,Police have documented cases of people randomly distributing poisoned goodies to children on Halloween.
Pins and Needles in Halloween Candy,https://www.snopes.com/fact-check/pins-and-needles/,true,"Pins, needles and razor blades been occasionally been found in trick-or-treaters' loot over the years.",Snopes Staff,2000-11-01,"Pins, needles, and razor blades have been found in trick-or-treaters' loot."
LSD Tattoos,https://www.snopes.com/fact-check/blue-star-acid/,false,Drug dealers hand out LSD-laced tattoos of cartoon characters to schoolchildren?,Barbara Mikkelson,2000-10-16,"Rub-on ""tattoos"" of cartoon characters laced with LSD are handed out to children by unscrupulous drug dealers."
Beheaded Child on Schoolbus,https://www.snopes.com/fact-check/head-of-the-class/,legend,Was a little girl hanging out of a school bus window decapitated by a road sign?,Barbara Mikkelson,2000-10-11,A little girl whose habit it was to hang her head out the school bus window was decapitated by a road sign.
Toilets Boobytrapped by Zero Population Growth Terrorists?,https://www.snopes.com/fact-check/the-salami-slicer/,false,Rumor: Zero Population Growth terrorists are boobytrapping men's toilets with razors.,Barbara Mikkelson,2000-10-05,Zero Population Growth terrorists are boobytrapping men's toilers with razors.
Death by Playing Cards,https://www.snopes.com/fact-check/solitaire/,legend,Legend holds that a prisoner killed himself using a deck of playing cards.,Snopes Staff,2000-09-28,A prisoner killed himself using a deck of playing cards.
AIDS Mary,https://www.snopes.com/fact-check/aids-mary/,legend,"A long-circulating urban legend, ""AIDS Mary,"" holds that a woman seduces men with the intent of infecting them with HIV.",Barbara Mikkelson,2000-09-27,"The morning after a one-night fling, a man walks into his bathroom and finds the words “WELCOME TO THE WORLD OF AIDS” scrawled on the mirror in lipstick."
The Killer in the Backseat,https://www.snopes.com/fact-check/the-killer-in-the-backseat/,legend,A crazed killer is discovered hiding in the back seat of woman's car at a gas station.,David Mikkelson,2000-09-26,A good Samaritan warns a female driver about the armed and dangerous man hiding in the back seat of her car.
Slavemaster,https://www.snopes.com/fact-check/slavemaster/,was true; now outdated,Is someone called 'Slavemaster' or 'MonkeyMan935' luring women to death over the Internet?,David Mikkelson,2000-09-12,A man using the screen name 'Slavemaster' is luring women to their deaths over the Internet.
DreamWeaverGrey Warning,https://www.snopes.com/fact-check/dreamweavergrey-warning/,false,Online alert warns that someone using the screen name 'DreamWeaverGrey' is luring women to their deaths over the Internet.,David Mikkelson,2000-09-11,A man using the screen name 'DreamWeaverGrey' is luring women to their deaths over the Internet.
Aren't You Glad You Didn't Turn on the Light?,https://www.snopes.com/fact-check/arent-you-glad-you-didnt-turn-on-the-light/,legend,A college student makes a horrifying discovery.,David Mikkelson,2000-09-08,A female college student returns to her dorm room late one evening and discovers her roommate has been murdered.
Mutilated Boy,https://www.snopes.com/fact-check/mutilated-boy/,legend,Did a gang lure a little boy into a washroom and chop off his penis?,Barbara Mikkelson,2000-08-28,A gang lures a little boy into a washroom and chops off his penis.
Severed Fingers,https://www.snopes.com/fact-check/fingered-2/,legend,Motorist who has a run-in with ruffians afterwards find the severed fingers of his assailants on his car.,Barbara Mikkelson,2000-08-01,A motorist who has a run-in with ruffians afterwards finds the severed fingers of his assailants caught on his car.
Did Pop Rocks and Soda Kill 'Little Mikey'?,https://www.snopes.com/fact-check/pop-rocks-soda/,false,A longtime rumor is still bubbling up.,Barbara Mikkelson,2000-07-31,Little Mikey of LIFE cereal fame died from the explosive effects of mixing Pop Rocks candy with soda pop.
Death by Saguaro,https://www.snopes.com/fact-check/man-killed-saguaro-cactus/,true,Rumor has it a saguaro cactus crushed the same man who damaged it.,Barbara Mikkelson,2000-07-25,A damaged saguaro cactus fell onto the man who had harmed it and killed him.
Heroin Needle in the Ballpit,https://www.snopes.com/fact-check/false-needlepointless-tragedy/,false,A boy named Kevin Archer did not die of a heroin overdose after being stuck with a syringe in a playground ball pit.,Barbara Mikkelson,2000-07-14,A little boy dies after being pricked by a heroin-filled syringe in a playground ball pit.
Did Cher Have Ribs Removed To Make Her Waist Smaller?,https://www.snopes.com/fact-check/getting-waisted/,false,Did Cher have ribs removed to make her waist smaller? Did anybody?,Barbara Mikkelson,2000-06-22,Cher had her lowest pair of ribs surgically removed to achieve an ultra-small waist.
Are Robbers Subduing Victims with Perfume?,https://www.snopes.com/fact-check/perfume-robbers/,false,Long-standing crime warning holds that thieves are trolling parking lots and rendering their victims unconscious with perfume samples.,David Mikkelson,2000-06-12,Robbers in shopping mall parking lots are using ether-filled perfume bottles to render their victims unconscious.
Car Thief Dies in Earthquake,https://www.snopes.com/fact-check/the-fair-shake/,false,"After the 1989 Loma Prieta earthquake, a car thief was found crushed to death in the vehicle he'd stolen.",Barbara Mikkelson,2000-06-07,"After the 1989 Loma Prieta earthquake, a car thief was found crushed to death under a collapsed freeway overpass in the vehicle he'd stolen."
Was Calvin Coolidge's Son Killed by His Socks?,https://www.snopes.com/fact-check/too-young-to-dye/,false,Did President Calvin Coolidge's son die from blood poisoning caused by the dye in his black socks?,David Mikkelson,2000-05-24,President Calvin Coolidge's son was killed by a poisonous dye in his black socks.
The Microwaved Pet,https://www.snopes.com/fact-check/the-microwaved-pet/,legend,"In this classic urban legend, an elderly pet owner attempts to dry her beloved pet in a microwave oven, with heart-rending results.",Barbara Mikkelson,2000-05-21,An elderly pet owner accidentally kills her animal companion by attempting to dry it in a microwave oven.
Devil in the Dancehall,https://www.snopes.com/fact-check/satans-choice/,legend,A young girl dancing with a handsome stranger notices his cloven hooves.,Barbara Mikkelson,2000-05-14,Horrified onlookers notice that the enthralling stranger dancing with a pretty girl from the village has cloven hooves.
Do Dealers Smuggle Drugs in Dead Babies?,https://www.snopes.com/fact-check/drugs-smuggled-in-dead-babies/,false,Cautionary drug tale posits that dealers use hollowed-out bodies of dead children to smuggle cocaine into the U.S.,Barbara Mikkelson,2000-05-12,Drug dealers use hollowed-out bodies of dead children to smuggle cocaine into the U.S.
Urine in Corona Beer,https://www.snopes.com/fact-check/urine-in-corona-beer/,false,Does Corona beer contain urine?,Barbara Mikkelson,2000-04-14,Workers at the Corona brewery urinate into the beer.
Mall Abductions,https://www.snopes.com/fact-check/mall-grab/,false,Are women being lured out of malls and into dangerous situations for television commericals?,Barbara Mikkelson,2000-04-06,Women are being lured out of malls and into dangerous situations with the promise of appearing in television commericals.
Snakes in the Ball Pit,https://www.snopes.com/fact-check/culprit-in-the-ball-pit/,false,Are venomous snakes lurking in the ball pits at fast food restaurants?,Barbara Mikkelson,2000-03-17,Venomous snakes lurk in the ball pits of fast food restaurants.
Faked Hanging,https://www.snopes.com/fact-check/getting-the-hang-of-it/,legend,Sometimes faking your own hanging can be beneficial.,Barbara Mikkelson,2000-03-17,"A miscreant who attempted to rip off the home of a dead man paid for the crime with his life when the shock of being kicked by the ""corpse"" was enough to bring on a fatal heart attack."
Bicycle Pump Death,https://www.snopes.com/fact-check/thai-die/,mixture,"A purported thrill in Thailand, pumping air into the rectum with a bicycle pump to get high, was said to be claiming victims at an alarming rate.",Barbara Mikkelson,2000-03-17,A 13-year-old boy in Thailand died from pumping air up his rectum to get high.
Laundry Machine Death,https://www.snopes.com/fact-check/a-slight-case-of-laundricide/,false,Was a Virginia man washing machined to death?,Barbara Mikkelson,2000-03-16,A Virginia man was washing machined to death.
Crocodile Eats Golfer,https://www.snopes.com/fact-check/whos-saurian-now/,false,Was a Palm Beach golfer devoured by a resident crocodile?,David Mikkelson,2000-01-29,A Palm Beach golfer was devoured by a large crocodile right on the links.
Menu Shouldn't Trust,https://www.snopes.com/fact-check/menu-shouldnt-trust/,undetermined,Burglars target women who fill out room service breakfast orders which indicate they're traveling alone?,Barbara Mikkelson,1999-12-28,A woman traveling on business almost becomes a crime statistic because she filled out a room service menu.
Leper in Chesterfield Cigarette Factory,https://www.snopes.com/fact-check/the-leper-who-changes-spots/,false,Was a leper found working in a Chesterfield cigarette factory?,Barbara Mikkelson,1999-12-17,A leper was found working in a Chesterfield cigarette factory.
Was a Woman Fatally Bitten by a Snake in Her Coat Pocket?,https://www.snopes.com/fact-check/coat-of-armed/,legend,You never know when you may come across your worst fears.,Barbara Mikkelson,1999-12-03,A woman was fatally bitten by a snake found in the pocket of her new winter coat.
Red Meat Impacts Feces in Colon,https://www.snopes.com/fact-check/meat-your-maker-2/,false,Did John Wayne's autopsy reveal 40 pounds of impacted feces in his colon?,David Mikkelson,1999-11-28,John Wayne's autopsy revealed 40 pounds of impacted fecal matter lodged in his colon.
Slasher Under the Car,https://www.snopes.com/fact-check/the-unkindest-cut/,false,Do thieves hid under people's cars to slash their ankles?,Barbara Mikkelson,1999-11-19,"Thieves lie in wait under victims' cars, then render their victims helpless by slashing their ankles."
Letter of Intent,https://www.snopes.com/fact-check/letter-of-intent/,legend,Woman narrowly misses becoming the latest victim of a gang of murderers in WWII Berlin.,Barbara Mikkelson,1999-10-17,A woman becomes suspicious of the contents of a letter a blind man asks her to deliver when she sees him scurry away without the aid of his cane.
Did a Cursed Mummy Sink with the Titanic?,https://www.snopes.com/fact-check/mummy-titantic/,false,The ancient artifact that inspired this ghost story can still be seen at the British Museum.,Barbara Mikkelson,1999-10-09,The Titanic went to a watery grave carrying a cursed mummy in its hold.
Hoover Dam Entombments,https://www.snopes.com/fact-check/hoover-dam-bodies/,false,"The myth of the concrete pour too important to halt to fish out a mere body is just that, a myth.",Snopes Staff,1999-10-01,Bodies of workmen are entombed in Hoover Dam.
Room for One More,https://www.snopes.com/fact-check/room-for-one-more/,legend,Did a menacing dream about a creepy coachman save a woman's life?,Barbara Mikkelson,1999-09-19,A menacing dream prevents a woman from being killed in an accident.
The Vanishing Hitchhiker,https://www.snopes.com/fact-check/the-vanishing-hitchhiker/,legend,The tale of a ghostly hitchhiker who disappears from a car.,Barbara Mikkelson,1999-09-17,A man turns to bid his unusual hitchhiker goodbye and discovers that she has disappeared from the car. He later learns that his mysterious passenger had died several years earlier.
Motorcycle Coat Worn Backwards,https://www.snopes.com/fact-check/enough-to-turn-your-head/,legend,Did a motorcyclist's coat worn backwards lead to his demise?,Barbara Mikkelson,1999-09-13,A motorcyclist's coat worn backwards leads to his demise.
Cyanide-Laced Deposit Envelopes,https://www.snopes.com/fact-check/dial-atm-for-murder/,false,Is the glue on ATM deposit envelopes being laced with cyanide?,Barbara Mikkelson,1999-08-23,People have been killed by cyanide-laced ATM deposit envelopes.
The Blair Witch Project,https://www.snopes.com/fact-check/the-blair-witch-hunt/,false,Is the film 'The Blair Witch Project' really a film shot by students who mysteriously disappeared?,David Mikkelson,1999-07-31,The movie The Blair Witch Project is based on footage shot by three student filmmakers who mysteriously disappeared while making a documentary about the legend of the Blair Witch.
Beheaded Lover,https://www.snopes.com/fact-check/beheaded-for-trouble/,true,"In December of 1993, Gregory Glover paid the ultimate penalty for messing with another fellow's wife.",Barbara Mikkelson,1999-07-28,A cuckolded husband presented his wife with the head of her lover.
The Dead Cat in the Package,https://www.snopes.com/fact-check/the-dead-cat-in-the-package/,legend,Thief makes off with a package containing a dead cat.,Barbara Mikkelson,1999-07-28,A package containing a dead cat is stolen by a thief who thinks she's making off with something of value.
Halloween Trickery Turns Deadly,https://www.snopes.com/fact-check/halloween-hanging/,true,These Halloween hanging stunts went terribly wrong.,David Mikkelson,1999-07-11,Halloween hanging stunt goes wrong and hangs a man for real.
Tanning Bed Death,https://www.snopes.com/fact-check/brown-betty/,false,Bride cooks herself to death with too many tanning salon visits?,Barbara Mikkelson,1999-07-11,A woman intent upon looking her best for a big day treats herself to far too many tanning sessions and cooks herself to death.
Can Alligators Live in Sewers?,https://www.snopes.com/fact-check/alligators-sewers/,false,It's amazing what a little digging will uncover.,Barbara Mikkelson,1999-07-10,A thriving colony of large alligators lives deep within the bowels of the New York City sewer system.
