voyage_id,ship_name,port_origin,place_of_purchase,port_arrival,year_arrival,n_slaves_arrived,captains_name
20492,Peace,Liverpool,"Africa., port unspecified","Barbados, port unspecified",1718,141,"Tarleton, John"
20494,NA,"Barbados, port unspecified","Africa., port unspecified","Barbados, port unspecified",1718,NA,NA
20502,John and Elizabeth,"Barbados, port unspecified","Africa., port unspecified","Barbados, port unspecified",1718,104,"Coleman, Isaac"
20503,John and Elizabeth,"Barbados, port unspecified",Cape Coast Castle,"Barbados, port unspecified",1718,161,"Carlton, William"
20504,Greyhound,"Barbados, port unspecified","Africa., port unspecified","Barbados, port unspecified",1718,109,"Steward, Thomas"
20506,Success,Liverpool,"Africa., port unspecified","Barbados, port unspecified",1718,214,"Mashiter, Thomas"
20509,Owner's Adventure,Liverpool,"Africa., port unspecified","Barbados, port unspecified",1718,143,"Thorne, Christopher"
20511,Industry,"Barbados, port unspecified","Africa., port unspecified","Barbados, port unspecified",1718,104,"Cocker, John<br/> Baines, Charles"
20514,Three Sisters,Liverpool,"Africa., port unspecified","Barbados, port unspecified",1718,110,"Hughes, John"
20516,Prince George,"Barbados, port unspecified","Africa., port unspecified","Barbados, port unspecified",1718,112,"Norton, Thomas"
20517,Express,"Barbados, port unspecified","Africa., port unspecified","Barbados, port unspecified",1718,101,"Elliott, William"
20518,Prosperity,Limerick,"Gold Coast, port unspecified",Santiago de Cuba,1718,96,Houragan
20522,Martha,"Barbados, port unspecified","Africa., port unspecified","Barbados, port unspecified",1718,110,"Wordy, Alexander<br/> Fenn, James"
20523,Pearle Gally,"Antigua, port unspecified","Gold Coast, port unspecified","Barbados, port unspecified",1718,93,"Clements, Samuel"
20525,Greyhound,"Barbados, port unspecified","Africa., port unspecified","Barbados, port unspecified",1719,67,"Mayo, Joseph"
20526,Peace,Liverpool,"Africa., port unspecified","Barbados, port unspecified",1719,104,"Rigby, Thomas"
20528,Two Friends,"Barbados, port unspecified",Cape Coast Castle,"Barbados, port unspecified",1719,156,"Elliot, William"
20529,Loyalty,Glasgow,Sierra Leone estuary,"Barbados, port unspecified",1719,51,"Graham, Mungo<br/> Cheape, Patrick"
20531,John and Elizabeth,"Barbados, port unspecified","Gold Coast, port unspecified","Barbados, port unspecified",1720,119,"Burgeson, Jacob"
20532,Prince Eugene,Liverpool,Bights,"Barbados, port unspecified",1720,153,"Robinson, William"
20533,Thomas and Sarah,"Barbados, port unspecified","Africa., port unspecified","Barbados, port unspecified",1720,90,"Slades, William"
20535,Antelope,"Barbados, port unspecified","Africa., port unspecified","Barbados, port unspecified",1720,126,"Coleman, Isaac"
20536,Expedition,Liverpool,"Africa., port unspecified","Barbados, port unspecified",1720,30,"Blevin, James"
20540,Joseph,"Barbados, port unspecified","Gold Coast, port unspecified","Barbados, port unspecified",1720,96,"French, John"
20541,Henry and Temperance,"Barbados, port unspecified","Africa., port unspecified","Barbados, port unspecified",1720,123,"Owen, Henry"
20542,Dolphin,"Barbados, port unspecified","Africa., port unspecified","Barbados, port unspecified",1721,110,"Newton, Thomas"
20551,Martha,London,"Africa., port unspecified",Kingston,1709,100,"Tuder, Thos"
20552,Adventure,London,Gambia,Kingston,1709,120,"Boys, Thomas"
20562,Neptune,"Jamaica, port unspecified","Gold Coast, port unspecified",Kingston,1710,126,"Martin, Thomas"
20565,Amey Gally,London,Whydah,Kingston,1710,NA,"Prince, Lawrence"
20586,Sarah Gally,London,"Africa., port unspecified",Kingston,1711,NA,"Sorrell, Paul"
20587,Patience,Liverpool,"Africa., port unspecified",Kingston,1711,200,"Brownbill, Thomas"
20593,Alexander Gally,"Jamaica, port unspecified","Gold Coast, port unspecified","Jamaica, port unspecified",1710,160,"Mackley, Thomas"
20596,Dover Gally,NA,"Africa., port unspecified","Jamaica, port unspecified",1711,304,"Kenah, Wm"
20598,Sarah Gally,London,"Africa., port unspecified","Jamaica, port unspecified",1711,220,"Mearst, Richard"
20602,Abraham and Isaac,NA,"Africa., port unspecified","Jamaica, port unspecified",1712,NA,"White, Igna"
20603,Richard and William,NA,"Africa., port unspecified","Jamaica, port unspecified",1712,65,"Beckham, George"
20604,Hallifax,NA,"Africa., port unspecified",Kingston,1713,200,"Heartsease, Samuel"
20605,Dover Gally,NA,"Africa., port unspecified",Kingston,1712,240,"Kenah, Wm"
20606,Recovery Gally,London,"Africa., port unspecified","Jamaica, port unspecified",1712,239,"Love, John"
20607,Swallow Gally,London,"Gold Coast, port unspecified","Jamaica, port unspecified",1712,238,"Hayes, John"
20608,Dolphin,London,"Africa., port unspecified",Kingston,1712,230,"Cassells, James"
20609,Raper Gally,London,"Africa., port unspecified",Kingston,1712,280,"Bonham, Samuel"
20610,New Providence,London,"Africa., port unspecified",Kingston,1712,231,"Fleming, Henry"
20611,Falcon,London,"Africa., port unspecified",Kingston,1712,120,"Blake, John"
20612,Joseph Galley,London,"Africa., port unspecified",Kingston,1712,300,"Rogers, Thomas"
20613,Amey Gally,London,"Africa., port unspecified",Kingston,1712,450,"Prince, Lawrence"
20615,Mermaid,London,"Gold Coast, port unspecified","Jamaica, port unspecified",1713,170,"Glynn, Henry"
20617,Heroine Gally,NA,Whydah,"Jamaica, port unspecified",1713,450,"Lovell, Bowyer"
20619,New Providence,NA,Gambia,"Jamaica, port unspecified",1713,200,"Williams, J"
20620,Swallow Gally,NA,"Gold Coast, port unspecified","Jamaica, port unspecified",1713,216,"Hayes, John"
20621,Kent Gally,London,"Africa., port unspecified","Jamaica, port unspecified",1713,170,"Plumb, Abraham"
20622,Raper Gally,London,"Africa., port unspecified","Jamaica, port unspecified",1713,284,"Bonham, Samuel"
20624,Oxford,London,Whydah,Port Royal,1714,426,"Peck, Sam"
20627,Pearl,NA,"Africa., port unspecified",Port Royal,1715,240,"Tizard, Ed"
20628,NA,NA,"Africa., port unspecified",Port Royal,1713,80,NA
20629,Dolphin,London,"Gold Coast, port unspecified",Kingston,1714,260,"Tibbington<br/> Gordon, John"
20630,Dove (a) Hanover,NA,"Africa., port unspecified",Port Royal,1714,198,"Cheeves, Thomas (a) Cleever"
20632,Sarah Gally,London,"Africa., port unspecified",Kingston,1714,98,"Sorrell, Paul<br/> Creed, Thomas"
20633,Sarah Gally,London,Whydah,Kingston,1714,162,"Mearst, Richard<br/> Nolbrough, W"
20634,Saint Mark,London,Cape Coast Castle,Kingston,1714,261,"Solgard, Peter"
20635,Windsor,London,Whydah,Kingston,1714,193,"Marshall, George<br/> Buck, John"
20637,Antelope,London,Whydah,Kingston,1714,174,"Deavese, Ed"
20638,Diligence,NA,"West Central Africa and St. Helena, port unspecified",Kingston,1714,296,"Morgan, Francis"
20639,Davers Gall,London,"Gold Coast, port unspecified",Port Royal,1714,250,"Roberts, Peter"
20640,Sarah Gally,London,Whydah,Kingston,1714,350,"Prince, John<br/> Clinch, William"
20641,Mopsey,NA,"West Central Africa and St. Helena, port unspecified",Kingston,1714,318,"Selwood, John"
20642,Hamilton,NA,Whydah,Kingston,1714,330,"Burnham, Charles"
20643,Heroine Gally,London,Whydah,Kingston,1715,364,"Blincko, Richard"
20650,Windsor,London,"Africa., port unspecified",Kingston,1719,NA,Buck
20653,Sarah,Liverpool,"Africa., port unspecified",Kingston,1719,100,"Fletcher, Benjamin"
20656,Elizabeth,Liverpool,"Africa., port unspecified",Kingston,1719,109,"Barton, Henry<br/> Starkey, Henry"
20657,Tyrer Gally,Liverpool,"Africa., port unspecified",Kingston,1719,150,"Parke, Thos"
20662,Elizabeth,Liverpool,Madagascar,Kingston,1719,385,"Webster, Jno"
20667,Tildesley,Liverpool,"Gold Coast, port unspecified",Kingston,1720,219,"Molyneux, Richard"
20675,Crawley,London,"Africa., port unspecified",Kingston,1728,360,"Clarke, Robert"
20680,Argyle,London,"Africa., port unspecified","Spanish Circum-Caribbean,unspecified",1728,436,"Hamilton, George"
20682,Sunbridge,NA,"Africa., port unspecified",Kingston,1729,300,NA
20689,Italian Gally,London,"Africa., port unspecified",Kingston,1729,500,"Clinch, William"
20691,John and Betty,NA,"Africa., port unspecified",Kingston,1729,120,"Denton, William"
20695,Barbados Merchant,London,"Africa., port unspecified",Kingston,1729,286,"Shannon, John"
20706,Angola,Liverpool,Loango,Kingston,1742,269,"Needham, Val<br/> Lloyd, Gabriel"
20741,Planter,Liverpool,Gambia,Kingston,1744,156,"Clarkson, Thomas<br/> Folkes, Thomas"
20745,New Foster,Liverpool,"Africa., port unspecified",Kingston,1744,294,"White, Henry"
20758,Doddington,Liverpool,"West Central Africa and St. Helena, port unspecified",Kingston,1744,165,"Wyatt, Will<br/> Threlfall, Jn"
20762,Windsor,London,Bonny,Kingston,1744,300,"Chaffers, William"
20766,Berkeley Castle,NA,Sierra Leone estuary,Newcastle (Nevis),1688,102,NA
20767,Mary,NA,Whydah,Saint John (Antigua),1687,178,"Gilbert, Richard<br/> Muscombe"
20768,Roebuck,NA,Whydah,"Montserrat, port unspecified",1687,164,"Crookshank, James"
20769,Sherbrow,London,Whydah,Saint John (Antigua),1689,NA,"Lomax, John"
20770,George Sloop,"Barbados, port unspecified","Gold Coast, port unspecified",NA,1687,NA,"Blyth, Joseph"
20771,Saint George,London,"West Central Africa and St. Helena, port unspecified","Barbados, port unspecified",1688,589,"Low, John"
20772,Expedition,London,Whydah,"Barbados, port unspecified",1689,220,"Killinglow, William<br/> Strutt, Abnigoe"
20775,John,London,"West Central Africa and St. Helena, port unspecified","Jamaica, port unspecified",1692,240,"Thering, Sam"
20776,Thomas and Elizabeth,"Barbados, port unspecified",Accra,"Jamaica, port unspecified",1693,69,"Foxley, George<br/> Rawlings, Benjamin"
20777,John and Thomas,London,"Africa., port unspecified","Jamaica, port unspecified",1691,195,"Tennant, Henry"
20778,Bonadventure,"Jamaica, port unspecified",Gambia,"Jamaica, port unspecified",1691,59,"Taylor, John"
20779,Ann,"Jamaica, port unspecified",Gambia,"Jamaica, port unspecified",1691,65,"Plowman, Donald"
20781,Laurel,London,Alampo,Saint John (Antigua),1700,NA,"Marsh, Stephen"
20782,Barbados Merchant,London,NA,NA,1707,NA,"Russell, John"
20783,Raper Gally,London,Anomabu,"Jamaica, port unspecified",1707,330,"Bonham, Samuel"
20784,Raper Gally,London,"Africa., port unspecified","Jamaica, port unspecified",1709,340,"Bonham, Samuel"
20785,Martin Gally,London,"Gold Coast, port unspecified","Jamaica, port unspecified",1708,252,"Brethaver, John"
20786,Martin Gally,London,"Gold Coast, port unspecified","Jamaica, port unspecified",1708,264,"Brethaver, John"
20787,Dorsett,"British Caribbean, colony unspecified",Anomabu,"Jamaica, port unspecified",1708,164,"Hayes, John"
20788,Joseph Gally,London,Whydah,"Jamaica, port unspecified",1708,351,"Rogers, Thomas"
20789,Annie Gally,London,"Africa., port unspecified","Jamaica, port unspecified",1708,556,NA
20790,Sidney,London,Anomabu,"Jamaica, port unspecified",1708,349,"Corbin, Francis"
20791,Samuel and Elizabeth,London,NA,NA,1707,NA,"Hamlin, Richard"
20792,Amiable,"Barbados, port unspecified",NA,"Jamaica, port unspecified",1707,NA,"Porter, James"
20793,Dolphin Gally,London,Calabar,"Virginia, port unspecified",1707,290,"Taylor, Nevison"
20794,Mary,London,"Africa., port unspecified","French Caribbean, colony unspecified",1708,440,"Thirticle, William"
20795,NA,"Jamaica, port unspecified","Africa., port unspecified","Jamaica, port unspecified",1708,200,NA
20796,NA,"Jamaica, port unspecified","Africa., port unspecified","Jamaica, port unspecified",1708,97,"Gething, William"
20797,Greswold Gally,London,"Gold Coast, port unspecified","Jamaica, port unspecified",1708,228,"Imping, Phillip"
20798,Charles,London,Whydah,"Jamaica, port unspecified",1708,350,"King, John"
20799,Sarah,London,Whydah,"Jamaica, port unspecified",1708,400,"Sorrell, Paul"
20800,Neptune,London,NA,NA,1707,NA,"Love, John"
20801,Wishart Gally,London,"Gold Coast, port unspecified","Jamaica, port unspecified",1708,274,"Cassells, James"
20802,Fanteen Gally,London,"Gold Coast, port unspecified","Jamaica, port unspecified",1708,330,"Hudson, Kendall (a) Huttson"
20803,Antelope,London,"Africa., port unspecified","Jamaica, port unspecified",1708,177,"Sadler, John"
20804,William,London,"Gold Coast, port unspecified","Jamaica, port unspecified",1707,140,"Collingwood, John"
20805,NA,London,"Africa., port unspecified","Jamaica, port unspecified",1708,130,NA
20806,Young Margaret,London,Gambia,"Maryland, port unspecified",1707,265,"Frisby, James"
20807,Mary,London,"Gold Coast, port unspecified","Maryland, port unspecified",1708,274,"Crookshank, Robert"
20808,Delight Gally,London,"Africa., port unspecified","Maryland, port unspecified",1708,114,"Herle, Digory"
20809,Prosperous,London,Gambia,"Maryland, port unspecified",1708,110,"Hinton, Richard"
20810,Deering,London,"Africa., port unspecified","Virginia, port unspecified",1708,290,"Deering, Henry"
20811,John and Constance,London,"Africa., port unspecified","Virginia, port unspecified",1708,297,"Parker, Samuel"
20812,Camwood Merchant,London,Sherbro,Newcastle (Nevis),1708,75,"Tozer, John<br/> Dodd, John"
20813,NA,"Antigua, port unspecified","Africa., port unspecified",Saint John (Antigua),1708,130,NA
20814,NA,"Antigua, port unspecified","Africa., port unspecified",Saint John (Antigua),1708,130,NA
20815,Elizabeth and Hannah,London,"West Central Africa and St. Helena, port unspecified","Jamaica, port unspecified",1709,220,"Hereford, Nurse"
20816,John and Thomas,London,"Africa., port unspecified","Jamaica, port unspecified",1709,440,NA
20818,Alexander,London,"Africa., port unspecified","Virginia, port unspecified",1708,250,"Love, Giles"
20819,Industry,London,"Africa., port unspecified",Saint John (Antigua),1708,150,"Gordon, William"
20820,Prince of Mindelheim,London,"Gold Coast, port unspecified","French Caribbean, colony unspecified",1709,240,"Gordon, John"
20821,Bridgewater,London,Gambia,"French Caribbean, colony unspecified",1709,200,"Monck, Edward"
20822,Deering,London,NA,NA,1707,NA,"Deering, Henry"
20825,Hester Gally,"Great Britain, port unspecified",NA,NA,1708,NA,NA
20826,John Gally,London,NA,NA,1707,NA,"Shubrick, Richard"
20827,Robert Adventure,"Great Britain, port unspecified","Africa., port unspecified","British Caribbean, colony unspecified",1708,NA,NA
20828,Bonadventure,"Great Britain, port unspecified","Africa., port unspecified","British Caribbean, colony unspecified",1708,NA,NA
20830,Valentine and Elizabt,"Great Britain, port unspecified","Africa., port unspecified","British Caribbean, colony unspecified",1708,NA,NA
20831,Animaboe,"Great Britain, port unspecified","Africa., port unspecified","British Caribbean, colony unspecified",1708,NA,NA
20833,NA,NA,"Africa., port unspecified","Jamaica, port unspecified",1708,236,NA
20834,Three Brothers,London,Gambia,"French Caribbean, colony unspecified",1695,NA,"Hudson, Daniel"
20835,NA,NA,"Gold Coast, port unspecified",NA,1692,NA,Bell
20836,Paragon,Exeter,"Gold Coast, port unspecified",NA,1661,NA,"Bariford, John"
20837,Katherine,NA,Ardra,"Virginia, port unspecified",1678,376,"Allen, John<br/> Bessenger"
20838,NA,NA,Ardra,"Barbados, port unspecified",1679,93,NA
20839,NA,NA,"Bight of Biafra and Gulf of Guinea Islands, port unspecified","Barbados, port unspecified",1679,140,Golding
20840,NA,NA,"Africa., port unspecified","Jamaica, port unspecified",1679,60,NA
20841,NA,NA,"Africa., port unspecified",Newcastle (Nevis),1679,80,NA
20842,NA,NA,"Gold Coast, port unspecified","Barbados, port unspecified",1680,185,NA
20843,Ann and Mary,"Barbados, port unspecified",Cape Coast Castle,"Barbados, port unspecified",1709,136,"Harris, Tobias"
20844,Olive Branch,"Barbados, port unspecified",Cape Coast Castle,"Barbados, port unspecified",1709,159,"Newton, Thomas"
20845,Crowe,"Barbados, port unspecified",Anomabu,"Barbados, port unspecified",1710,115,"Thirtickle, William"
20846,Ann and Mary,"Barbados, port unspecified","Africa., port unspecified","Barbados, port unspecified",1710,121,"Harris, Tobias"
20848,Sarah,London,"Gold Coast, port unspecified","Barbados, port unspecified",1712,200,"Sorrell, Paul"
20849,Thomas,NA,"Africa., port unspecified","Barbados, port unspecified",1713,68,"Collings, Onward"
20850,Pearl,"Antigua, port unspecified","Gold Coast, port unspecified","Barbados, port unspecified",1713,137,"Green, John"
20851,Olive Branch,NA,"Gold Coast, port unspecified","Barbados, port unspecified",1713,107,"Newton, Thomas"
20852,Swift,Whitehaven,"Gold Coast, port unspecified","Barbados, port unspecified",1713,122,"Rumball, Thomas"
20853,London Gally,London,Gambia,"Barbados, port unspecified",1713,348,"Hallifax, Charles"
20854,Express,NA,Gambia,"Barbados, port unspecified",1713,77,"Hyton, Thomas"
20855,Macklesfield Gally,London,Whydah,"Barbados, port unspecified",1713,530,"Barlow, Samuel"
20856,Fanteen Gally,London,Whydah,"Barbados, port unspecified",1713,270,"Foster, John<br/> Miller, David"
20857,Pindar Gally,London,Cape Coast Castle,"Barbados, port unspecified",1713,293,"Randes, Richard"
20858,Newport Gally,London,"Africa., port unspecified","Barbados, port unspecified",1713,210,"Falkingham, John"
20859,Saint Paul,NA,"Africa., port unspecified","Barbados, port unspecified",1680,75,Cock
20860,NA,NA,"Africa., port unspecified","Barbados, port unspecified",1680,NA,NA
20861,NA,NA,"Africa., port unspecified",Newcastle (Nevis),1680,80,Thorneburgh
20862,NA,NA,"Africa., port unspecified","Barbados, port unspecified",1680,NA,NA
20863,NA,NA,"Africa., port unspecified","Barbados, port unspecified",1680,NA,NA
20864,Speedwell,NA,"Africa., port unspecified","Barbados, port unspecified",1680,44,"Thomas, John"
20866,NA,NA,"Africa., port unspecified",Newcastle (Nevis),1681,190,NA
20867,NA,NA,Calabar,Saint John (Antigua),1681,200,Andrews
20868,NA,NA,"Gold Coast, port unspecified","Barbados, port unspecified",1681,220,Davis
20869,NA,NA,"Africa., port unspecified",Newcastle (Nevis),1681,50,Blake
20870,NA,NA,"Africa., port unspecified","Jamaica, port unspecified",1681,111,NA
20871,Lewis,"Jamaica, port unspecified",NA,NA,1708,NA,NA
20872,Flying Fame,"Antigua, port unspecified",NA,NA,1709,NA,"Hobart, Daniel"
20873,Rogers,"Antigua, port unspecified",Cape Coast Castle,Saint John (Antigua),1710,NA,"Green, Jonathan"
20874,Nightingale,"Antigua, port unspecified",Cape Coast Castle,Saint John (Antigua),1713,95,"Taylor, Thomas"
20875,Elizabeth,"Antigua, port unspecified",Whydah,Saint John (Antigua),1713,130,"Hall, Joseph"
20877,Phoenix,"Barbados, port unspecified","Gold Coast, port unspecified","Barbados, port unspecified",1714,160,"Warner, Henry"
20878,Betty,"Barbados, port unspecified","Gold Coast, port unspecified","Barbados, port unspecified",1714,184,"Steward, Thomas"
20880,Union,Saint John (Antigua),Cape Coast Castle,"Antigua, port unspecified",1714,164,"Maxwell, James<br/> Clements, Samuel"
20881,Royal Africa,London,"Gold Coast, port unspecified",Newcastle (Nevis),1713,250,"Foot, Samuel"
20882,Catherine,London,Whydah,Newcastle (Nevis),1713,124,"Brent<br/> Wheeler, Joseph"
20883,Happy Return,Bristol,"Gold Coast, port unspecified","Jamaica, port unspecified",1706,158,"Hood, Jaspar<br/> Normanton"
20884,Phoenix,"Antigua, port unspecified","Gold Coast, port unspecified",NA,1705,NA,"Fowles, Zachary"
20885,Cabbaretta,"Jamaica, port unspecified","Gold Coast, port unspecified","Jamaica, port unspecified",1706,82,"Hubbard, Abraham"
20886,London Gally,London,"Gold Coast, port unspecified","Jamaica, port unspecified",1706,245,"Maxwell, John<br/> Battel, Abraham"
20887,Grand Content,"Antigua, port unspecified",NA,NA,1706,NA,"Keeble, Robert"
20888,Indigo Merchant,London,"Gold Coast, port unspecified","Jamaica, port unspecified",1706,152,"Mullington, Richard"
20889,Mappan,London,NA,NA,1706,NA,"Foster, John"
20890,Greswold,London,"Africa., port unspecified","Jamaica, port unspecified",1706,200,"Imping, Phillip"
20891,Sidney Gally,London,"Gold Coast, port unspecified","Jamaica, port unspecified",1706,260,"Corbin, Francis"
20892,John Bonadventure,London,Whydah,"Jamaica, port unspecified",1707,480,"Ford, Anthony"
20893,Valentine and Elizabeth,London,"Gold Coast, port unspecified","Jamaica, port unspecified",1707,204,"Marshall, William"
20894,Roberts Bonadventure,London,"Gold Coast, port unspecified","Jamaica, port unspecified",1707,274,"Smith Robert<br/> Williams, Stephen"
20895,Adventure,London,"Africa., port unspecified","Maryland, port unspecified",1707,92,"Lewis, Daniel"
20896,Bridgewater,"Barbados, port unspecified",Gambia,"Virginia, port unspecified",1707,165,"Cooke, William"
20898,Portmorant Merchant,London,Calabar,"Jamaica, port unspecified",1674,NA,"Taylor, James"
20899,Industry,London,Cape Coast Castle,Newcastle (Nevis),1675,319,"Polgreen, Humphrey"
20900,NA,NA,"Gold Coast, port unspecified","Barbados, port unspecified",1674,NA,Cooke
20901,NA,NA,Accra,"Barbados, port unspecified",1674,NA,Parris
20902,Sherbrow Frigate,London,Gambia,"British Caribbean, colony unspecified",1697,NA,"Burnham, William"
20905,Whidah Merchant,NA,Cape Coast Castle,Cape Coast Castle,1708,NA,Owen
20906,Lamb Frigate,London,"Africa., port unspecified","Barbados, port unspecified",1674,NA,"Green, William"
20907,Dover Dogger,London,"Gold Coast, port unspecified",Newcastle (Nevis),1674,NA,Sabine
20908,Providence,London,Gambia,"Virginia, port unspecified",1674,NA,NA
1,Pastora de Lima,Rio de Janeiro,Mozambique,"Bahia, port unspecified",1817,290,"Dias, Manoel José"
2,Tibério,"Bahia, port unspecified",Mozambique,"Bahia, port unspecified",1817,223,"Mata, José Maria da"
3,Paquete Real,"Bahia, port unspecified",Cabinda,"Bahia, port unspecified",1817,350,"Ferreira, José dos Santos"
4,Bom Caminho,"Bahia, port unspecified",Quilimane,"Bahia, port unspecified",1817,342,"Dias, Domingos Francisco"
5,Benigretta,"Bahia, port unspecified",Cabinda,"Bahia, port unspecified",1817,516,NA
6,Voador,"Bahia, port unspecified",Mozambique,"Bahia, port unspecified",1817,515,NA
7,Formiga,"Bahia, port unspecified",Malembo,"Bahia, port unspecified",1817,204,"Viana, Isidoro Antônio"
8,Vigilante Africano,"Pernambuco, port unspecified",Luanda,"Bahia, port unspecified",1817,374,"Amorim, José Gomes de"
9,Constante,"Bahia, port unspecified",Cabinda,"Bahia, port unspecified",1817,345,"Narciso, Antônio"
10,Comerciante,"Bahia, port unspecified",Cabinda,"Bahia, port unspecified",1817,478,"Braga, Isidoro Martins"
11,Diligente,"Bahia, port unspecified",Cabinda,"Bahia, port unspecified",1817,180,NA
12,Bonfim,"Bahia, port unspecified",Cabinda,"Bahia, port unspecified",1817,542,"Coelho, João Batista"
13,Triunfo,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1817,503,NA
14,S Lourenço,"Bahia, port unspecified",Cabinda,"Bahia, port unspecified",1817,471,"Vilasboas, João da Silveira"
15,Paquete da Bahia,"Bahia, port unspecified",Cabinda,"Bahia, port unspecified",1817,478,"Almeida, Manoel Joaquim de"
16,Sociedade,"Bahia, port unspecified",Cabinda,"Bahia, port unspecified",1817,393,"Alves, João Luís"
17,Famoso Ateneu,Rio de Janeiro,Cabinda,Rio de Janeiro,1817,545,"Fogaça, Antônio Gomes"
18,Trajano,Rio de Janeiro,Cabinda,Rio de Janeiro,1817,459,"Silva, Joaquim Rodrigues da"
19,Maria,Rio de Janeiro,Cabinda,Rio de Janeiro,1817,457,"Silva, Joaquim Henriques da"
20,Bonfim,Rio de Janeiro,Benguela,Rio de Janeiro,1817,598,"Batalha, Luís Antônio"
21,Esgueira,Rio de Janeiro,Quilimane,Rio de Janeiro,1817,521,"Domingues, Jerônimo"
22,Caçador,Rio de Janeiro,Luanda,Rio de Janeiro,1817,570,"Santos, Félix José dos<br/> Fontes, João Joaquim de Souza"
23,Flor do Rio,"Southeast Brazil, port unspecified",Cabinda,Rio de Janeiro,1817,388,"Teodoro, Teotônio José"
24,Pastora,"Southeast Brazil, port unspecified","Africa., port unspecified",Rio de Janeiro,1817,114,NA
25,Emília,Rio de Janeiro,Cabinda,Rio de Janeiro,1817,415,"Amorim, Domingos Fernandes de"
26,S Pedro do Sul,Rio de Janeiro,Benguela,Rio de Janeiro,1817,428,"Siqueira, João Inácio de"
27,Diligente,Rio de Janeiro,Cabinda,Rio de Janeiro,1817,129,"Castro, Alexandre José de<br/> Rodrigues, Custódio"
28,S João Americano,Rio de Janeiro,Cabinda,Rio de Janeiro,1817,524,"Teixeira, José de Souza"
29,Grão Penedo,Rio de Janeiro,Cabinda,Rio de Janeiro,1817,487,"Pina, Antônio de"
30,Mariana Dáfne,Rio de Janeiro,Luanda,Rio de Janeiro,1817,307,"Oliveira, José Malaquias de"
31,Resolução,Rio de Janeiro,Mozambique,Rio de Janeiro,1817,354,"Gomes, Manoel José"
32,Serpente,Rio de Janeiro,Cabinda,Rio de Janeiro,1817,429,"Sá, Teodoro José de<br/> Santos, Manoel Pereira dos"
33,Lusitânia,Rio de Janeiro,Cabinda,Rio de Janeiro,1817,649,"Lopes, Francisco da Silva"
34,Reino do Brasil,Rio de Janeiro,Cabinda,Rio de Janeiro,1817,352,"Silva, José Leite da<br/> Fogaça, José Joaquim"
35,Maria Tomásia,"Southeast Brazil, port unspecified",Cabinda,Rio de Janeiro,1817,368,"Melo, Francisco Xavier Álvares de"
36,S José Diligente Vulcano,Rio de Janeiro,Luanda,Rio de Janeiro,1817,409,"Ferreira, Francisco Pedro"
37,General Silveira,Rio de Janeiro,Benguela,Rio de Janeiro,1817,436,"Souza, Manoel Pereira de"
38,NS do Livramento Telêmaco,Rio de Janeiro,Cabinda,Rio de Janeiro,1817,481,"Nunes, José Antônio"
39,Amália,Rio de Janeiro,Luanda,Rio de Janeiro,1817,776,"Camizão, José Maria de Araújo<br/> Pereira, José Marques"
40,Diligente,Rio de Janeiro,Cabinda,Rio de Janeiro,1817,393,"Caldas, Manoel José"
41,Tejo,Rio de Janeiro,Luanda,Rio de Janeiro,1817,417,"Oliveira, Antônio Xavier de"
42,Flor do Mar,Rio de Janeiro,Luanda,Rio de Janeiro,1817,456,"Alcântara, Marcelino José de"
43,Feliz Dias,"Bahia, port unspecified",Luanda,Rio de Janeiro,1817,214,"Estrela, Francisco Luís da Cunha"
44,Leopoldina,Rio de Janeiro,Cabinda,Rio de Janeiro,1817,441,"Rubim, Teodoro de Souza"
45,S Rosa,Rio de Janeiro,Cabinda,Rio de Janeiro,1817,439,"Viana, Pedro José Correa"
46,Golfinho,Rio de Janeiro,Cabinda,Rio de Janeiro,1817,399,"Fonseca, Manoel Joaquim da"
47,Bonfim,Rio de Janeiro,Benguela,Rio de Janeiro,1817,574,"Batalha, Luís Antônio"
48,Caçador,Rio de Janeiro,Luanda,Rio de Janeiro,1817,557,"Fontes, João Joaquim de Souza"
49,Mercúrio,Rio de Janeiro,Benguela,Rio de Janeiro,1817,489,"Martins, Francisco José"
50,Patrocínio,Rio de Janeiro,Cabinda,Rio de Janeiro,1817,302,"Sá, Joaquim Manoel de<br/> Silva, Manoel Francisco da"
51,Voador,Rio de Janeiro,Cabinda,Rio de Janeiro,1817,376,"Pacheco, José dos Santos"
52,Pequena Aventura,Rio de Janeiro,Cabinda,Rio de Janeiro,1817,214,"Dias, Manoel José"
53,NS dos Remédios,Rio de Janeiro,Cabinda,Rio de Janeiro,1817,215,"Magalhães, Francisco José Pereira de"
54,Maria,"Southeast Brazil, port unspecified",Cabinda,Rio de Janeiro,1817,500,"Silva, Joaquim Henriques da"
55,Duque de Bragança,Rio de Janeiro,Mozambique,Rio de Janeiro,1817,537,"Souza, Luís Inácio de"
56,S Pedro do Sul,Rio de Janeiro,Benguela,Rio de Janeiro,1817,435,"Siqueira, João Inácio de"
57,Triunfo do Brasil,Lisbon,Luanda,Rio de Janeiro,1817,611,"Carrilho, João Rodrigues"
58,Protetor General,Rio de Janeiro,Mozambique,Rio de Janeiro,1817,468,"Silva, José dos Santos Almeida e"
59,Trajano,Rio de Janeiro,Cabinda,Rio de Janeiro,1818,417,"Silva, Joaquim Rodrigues da"
