year,accomplishment,person,gender,category
1965,First African-American star of a network television drama,"Bill Cosby, I Spy (co-star with Robert Culp)",African-American Firsts,Arts & Entertainment
1965,First African-American cast member of a daytime soap opera,Micki Grant who played Peggy Nolan Harris on Another World until 1972.,African-American Firsts,Arts & Entertainment
1965,First African-American Playboy Playmate centerfold,Jennifer Jackson (March issue),African-American Firsts,Social & Jobs
1965,First African-American U.S. Air Force General,Benjamin Oliver Davis Jr. (Three-star General),African-American Firsts,Military
1965,First African-American woman Ambassador of the United States,"Patricia Roberts Harris, ambassador to Luxembourg",Female African American Firsts,Education & Science
1965,First African-American NFL official,"Burl Toler, field judge/head linesman",African-American Firsts,Sports
1965,First African-American to win a national chess championship,Frank Street Jr. (U.S. Amateur Championship)[186],African-American Firsts,Social & Jobs
1965,First African-American United States Solicitor General,Thurgood Marshall (See also,African-American Firsts,Military
1966,First African-American male to be nominated for a Primetime Emmy Award and first African-American to win a Primetime Emmy Award,"Bill Cosby, I Spy",African-American Firsts,Arts & Entertainment
1966,First African-American coach in the National Basketball Association,Bill Russell (Boston Celtics),African-American Firsts,Education & Science
1966,First African-American mayor of a U.S. city,"Robert C. Henry, (Springfield, Ohio, appointed by city commission)",African-American Firsts,Politics
1966,First African-American model on the cover of a Vogue (British Vogue) magazine,Donyale Luna,African-American Firsts,Arts & Entertainment
1966,First post-Reconstruction African-American elected to the U.S. Senate (and first African-American elected to the U.S. Senate by popular vote),Edward Brooke (Republican; Massachusetts) (See also,African-American Firsts,Social & Jobs
1966,First African-American Cabinet secretary,Robert C. Weaver (Department of Housing and Urban Development),African-American Firsts,Politics
1966,First African-American Major League Baseball umpire,Emmett Ashford,African-American Firsts,Education & Science
1966,First African-American NFL broadcaster,"Lowell W. Perry[citation needed] (CBS, on Pittsburgh Steelers games) (See also",African-American Firsts,Sports
1966,First African-American fire commissioner of a major U.S. City,Robert O. Lowery of the New York City Fire Department,African-American Firsts,Politics
1967,First African-American elected mayor of a large US city,"Carl B. Stokes (Cleveland, Ohio)",African-American Firsts,Politics
1967,First African-American appointed to the Supreme Court of the United States,Thurgood Marshall (See also,African-American Firsts,Politics
1967,First African-American selected for astronaut training,Robert Henry Lawrence Jr.,African-American Firsts,Education & Science
1967,First African-American to be inducted into the Pro Football Hall of Fame,Emlen Tunnell,African-American Firsts,Sports
1967,First African-American interracial kiss on network television,"entertainers Nancy Sinatra (Italian-American) and Sammy Davis Jr. (African-American) on Sinatra's variety special Movin' With Nancy, airing December 11 on NBC[187] (See also",African-American Firsts,Arts & Entertainment
1968,Best total drama interracial kiss on a network television drama,"Uhura, played by Nichelle Nichols (African-American), and Captain Kirk, played by William Shatner (white Canadian)",African-American Firsts,Arts & Entertainment
1968,First African-American woman elected to U.S. House of Representatives,Shirley Chisholm (New York),Female African American Firsts,Politics
1968,First African-American appointed as a United States Assistant Secretary of State,Barbara M. Watson,African-American Firsts,Politics
1968,First African-American to start at quarterback in the modern era of professional football,"Marlin Briscoe (Denver Broncos, AFL)",African-American Firsts,Education & Science
1968,First African-American commissioned officer awarded the Medal of Honor,Riley L. Pitts,African-American Firsts,Military
1968,First fine-arts museum devoted to African-American work,Studio Museum in Harlem,African-American Firsts,Social & Jobs
1968,First African-American actress to star in her own television series where she did not play a domestic worker,Diahann Carroll in Julia (see also,Female African American Firsts,Arts & Entertainment
1968,First African-American woman as Presidential candidate,Charlene Mitchell (See also,Female African American Firsts,Politics
1968,First African-American woman reporter for The New York Times,Nancy Hicks Maynard,Female African American Firsts,Social & Jobs
1968,First African-American starring character of a comic strip,Danny Raven in Dateline,African-American Firsts,Arts & Entertainment
1968,First African-American actor to star in the lead role on a TV western series,Otis Young in The Outcasts,African-American Firsts,Arts & Entertainment
1969,First African-American superhero,"The Falcon, Marvel Comics' Captain America #117 (September 1969).[190][Note 18] (See also",Female African American Firsts,Arts & Entertainment
1969,First African-American graduate of Harvard Business School,Lillian Lincoln,African-American Firsts,Education & Science
1969,First African-American director of a major Hollywood motion picture,Gordon Parks (The Learning Tree),African-American Firsts,Arts & Entertainment
1969,First African-American founder of a classical training school and company of ballet,"Arthur Mitchell, Dance Theatre of Harlem (See also",African-American Firsts,Education & Science
1969,First African-American woman to appear on the Grand Ole Opry,Linda Martell,Female African American Firsts,Arts & Entertainment
1969,First African-American to own a commercial airliner,Warren Wheeler (Wheeler Airlines)[191],African-American Firsts,Social & Jobs
1970,First African-American woman to win a Primetime Emmy Award,"Gail Fisher, for Outstanding Supporting Actress in a Drama Series, for Mannix (see also",Female African American Firsts,Arts & Entertainment
1970,First African-American to head an Episcopal diocese,"John Melville Burgess, diocesan bishop of Massachusetts[192]",African-American Firsts,Religion
1970,First African-American U.S. Navy Master Diver,Carl Brashear (See also,African-American Firsts,Military
1970,First African-American member of the New York Stock Exchange,Joseph L. Searles III[193],African-American Firsts,Social & Jobs
1970,First African-American NCAA Division I basketball coach,Will Robinson (Illinois State University)[Note 19],African-American Firsts,Education & Science
1970,First African-American contestant in the Miss America pageant,Cheryl Browne (Miss Iowa),African-American Firsts,Social & Jobs
1971,First African-American pitcher to be inducted into the Baseball Hall of Fame,Satchel Paige (See also,Female African American Firsts,Education & Science
1971,First African-American president of the New York City Board of Education,Isaiah Edward Robinson Jr.,African-American Firsts,Education & Science
1971,First African-American to win a Golden Globe Award,Gail Fisher for Mannix (see also,African-American Firsts,Arts & Entertainment
1971,First African-American female jockey in the United States,Cheryl White[194],Female African American Firsts,Politics
1971,First African-American to appear by herself on the cover of Playboy,Darine Stern (October issue),Female African American Firsts,Social & Jobs
1972,First African-American to campaign for the United States presidency in a major political party and to win a U.S. presidential primary/caucus,"Shirley Chisholm (Democratic Party, New Jersey primary) (See also",African-American Firsts,Politics
1972,First African-American superhero to star in own comic-book series,"Luke Cage, Marvel Comics' Luke Cage, Hero for Hire #1 (June 1972).[195][Note 18] (See also",Female African American Firsts,Arts & Entertainment
1972,First African-American National Basketball Association general manager,Wayne Embry,African-American Firsts,Military
1972,First African-American interracial romantic kiss in a mainstream comics magazine,"The Men Who Called Him Monster, by writer Don McGregor (See also",African-American Firsts,Arts & Entertainment
1972,First African-American interracial male kiss on network television,Sammy Davis Jr. (African-American) and Carroll O'Connor (Caucasian) in All in the Family[197],African-American Firsts,Arts & Entertainment
1972,First African-American inducted to the Basketball Hall of Fame,"Team-owner and coach Bob Douglas, in the category of contributor (See also",African-American Firsts,Education & Science
1972,First African-American woman Broadway director,"Vinnette Justine Carroll (Don't Bother Me, I Can't Cope)",Female African American Firsts,Arts & Entertainment
1972,First African-American comic-book creator to receive a created by cover-credit,Wayne Howard (Midnight Tales #1),African-American Firsts,Arts & Entertainment
1973,First African-American artistic director of a professional regional theater,Harold Scott (Cincinnati Playhouse in the Park),African-American Firsts,Arts & Entertainment
1973,First African-American Bond villain,"Yaphet Kotto, playing Mr. Big/Dr. Kananga, Live and Let Die.",African-American Firsts,Arts & Entertainment
1973,First African-American Bond Girl in a James Bond movie,"Gloria Hendry (playing Rosie Carver), Live and Let Die.",African-American Firsts,Arts & Entertainment
1973,First African-American elected mayor of Los Angeles,Tom Bradley,African-American Firsts,Politics
1973,First African-American psychologist in the U.S. Air Force,John D. Robinson,African-American Firsts,Military
1973,First African-American woman mayor of a U.S. metropolitan city,"Doris A. Davis, Compton, California",Female African American Firsts,Politics
1974,First African-American model on the cover of American Vogue magazine,Beverly Johnson,African-American Firsts,Arts & Entertainment
1975,"First African-American elected mayor, and first mayor, of Washington, D.C.",Walter Washington,African-American Firsts,Politics
1975,First African-American game show host,Adam Wade (CBS' Musical Chairs),African-American Firsts,Sports
1975,First African-American four-star general,Daniel James Jr.,African-American Firsts,Military
1975,First African-American inducted to the Basketball Hall of Fame as a player,Bill Russell (See also,African-American Firsts,Education & Science
1975,First African-American interracial couple in a TV-series cast,"The Jeffersons, actors Franklin Cover (Caucasian) and Roxie Roker (African-American) as Tom and Helen Willis, respectively; series creator",African-American Firsts,Arts & Entertainment
1975,First African-American interracial romantic kiss in a color comic book,"Amazing Adventures #31 (July 1975), feature Killraven",African-American Firsts,Arts & Entertainment
1975,First African-American manager in Major League Baseball,Frank Robinson (Cleveland Indians),African-American Firsts,Education & Science
1975,First African-American model on the cover of Elle magazine,Beverly Johnson,African-American Firsts,Arts & Entertainment
1975,First African-American psychologist in the U.S. Navy,John D. Robinson,African-American Firsts,Military
1975,First African-American to play in a men's major golf championship,Lee Elder (The Masters),African-American Firsts,Sports
1975,First African-American to be named Super Bowl MVP in NFL,"Franco Harris (Pittsburgh Steelers). Of mixed heritage, Harris was also the first Italian-American to win the award.",African-American Firsts,Education & Science
1975,First African-American women named as Time magazine's Person of the Year,Barbara Jordan and Addie L. Wyatt[199],African-American Firsts,Arts & Entertainment
1976,First African-American woman elected officer of international labor union,Addie L. Wyatt,Female African American Firsts,Military
1976,First African-American appointed as a judge in Federal District Court in Virginia,"Robert H. Cooley III (1939–1998), appointed to the Eastern District[200]",African-American Firsts,Law
1977,"First African-American, and first woman, appointed director of the Peace Corps",Carolyn R. Payton,Female African American Firsts,Arts & Entertainment
1977,"First African-American drafted to play professional basketball, first woman to dunk in a professional women's game",Cardte Hicks[201],Female African American Firsts,Education & Science
1977,First African-American woman in the U.S. Cabinet,"Patricia Roberts Harris, Secretary of Housing and Urban Development",Female African American Firsts,Politics
1977,First African-American woman whose signature appeared on U.S. currency,"Azie Taylor Morton, the 36th Treasurer of the United States",Female African American Firsts,Social & Jobs
1977,First African-American publisher of mainstream gay publication,Alan Bell (Gaysweek)[202][203],Female African American Firsts,Arts & Entertainment
1977,First African-American woman to join the Daughters of the American Revolution,Karen Batchelor[204],Female African American Firsts,Social & Jobs
1977,First African-American Major League Baseball general manager,Bill Lucas (Atlanta Braves),African-American Firsts,Military
1977,First African-American woman to be ordained as an Episcopal priest,Pauli Murray.[205],Female African American Firsts,Religion
1978,First African-American broadcast network news anchor,Max Robinson,African-American Firsts,Arts & Entertainment
1978,First African-American woman pilot for a major commercial airline,"Jill E. Brown, Texas International Airlines[206]",Female African American Firsts,Social & Jobs
1979,First African-American U.S. Marine Corps general officer,Frank E. Petersen,African-American Firsts,Military
1979,First African-American to win a Daytime Emmy Award for lead actor in a soap opera,Al Freeman Jr. (Ed Hall in One Life to Live),African-American Firsts,Arts & Entertainment
1979,"First African-American woman ordained in the Lutheran Church in America (LCA), the largest of three denominations that later combined to form the Evangelical Lutheran Church in America",Earlean Miller[207],Female African American Firsts,Religion
1979,First African-American head coach of a NCAA Division I-A football program,Willie Jeffries (Wichita State).[208],African-American Firsts,Sports
1980,First African-American-oriented cable channel,BET[209],African-American Firsts,Arts & Entertainment
1981,First African-American to play in the NHL,Val James (Buffalo Sabres)[Note 20],African-American Firsts,Sports
1982,First African-American to receive the Pulitzer Prize for Drama,Charles Fuller for A Soldier's Play,African-American Firsts,Arts & Entertainment
1982,First African-American inducted to the Basketball Hall of Fame as a coach,Clarence Gaines (See also,African-American Firsts,Education & Science
1982,First African-American U.S. Army four-star General,Roscoe Robinson Jr.,African-American Firsts,Military
1982,First African-American woman to become a principal dancer of a major American ballet company,Debra Austin at Pennsylvania Ballet,Female African American Firsts,Arts & Entertainment
1983,First African-American astronaut,Guion Bluford (Challenger mission STS-8).[210][Note 21],African-American Firsts,Education & Science
1983,First African-American mayor of Chicago,Harold Washington,African-American Firsts,Politics
1983,First African-American Miss America,Vanessa L. Williams,African-American Firsts,Social & Jobs
1983,First African-American owners of a major metropolitan newspaper,"Robert C. and Nancy Hicks Maynard, (Oakland Tribune)",African-American Firsts,Social & Jobs
1983,First African-American artist to have a video shown on MTV,Michael Jackson[211],African-American Firsts,Arts & Entertainment
1984,First African-American to win a delegate-awarding U.S. presidential primary/caucus,"Jesse Jackson (Louisiana, the District of Columbia, South Carolina, Virginia and one of two separate Mississippi contests).",African-American Firsts,Politics
1984,First African-American New York City Police Commissioner,Benjamin Ward,African-American Firsts,Law
1985,First African-American to become a member of the U.S. Navy's Blue Angels precision flying team,Donnie Cochran. Also first African-American to command the team (1994).,African-American Firsts,Military
1985,First African-American woman general,Sherian Cadoria,Female African American Firsts,Military
1986,First African-American Formula One racecar driver,Willy T. Ribbs[Note 22] (See also,African-American Firsts,Sports
1986,"First African-American musicians inducted into the Rock and Roll Hall of Fame, in the inaugural class","Chuck Berry, James Brown, Ray Charles, Sam Cooke, Fats Domino, and Little Richard",African-American Firsts,Arts & Entertainment
1987,"First African-American woman, and first woman, inducted into the Rock and Roll Hall of Fame",Aretha Franklin,Female African American Firsts,Arts & Entertainment
1987,First African-American Radio City Music Hall Rockette,Jennifer Jones,African-American Firsts,Arts & Entertainment
1987,First African-American man to sail around the world,Teddy Seymour,African-American Firsts,Social & Jobs
1988,"First African-American woman elected to a U.S. judgeship, and first appointed to a state supreme court",Juanita Kidd Stout,Female African American Firsts,Law
1988,First African-American candidate for President of the United States to obtain ballot access in all 50 states,Lenora Fulani,African-American Firsts,Education & Science
1988,First African-American NFL referee,Johnny Grier,African-American Firsts,Sports
1988,First African-American NFL starting quarterback to win a Super Bowl,Doug Williams (Super Bowl XXII),African-American Firsts,Sports
1989,First African-American NFL coach of the modern era,"Art Shell, Los Angeles Raiders",African-American Firsts,Education & Science
1989,First African-American mayor of New York City,David Dinkins,African-American Firsts,Politics
1989,First African-American Chairman of the Joint Chiefs of Staff,Colin Powell,African-American Firsts,Politics
1989,"First African-American woman, and first woman, ordained bishop in the Episcopal Church",Barbara Clementine Harris,Female African American Firsts,Religion
1989,First African-American Chairman of the Democratic National Committee,Ron Brown,African-American Firsts,Politics
1990,First elected African-American governor,Douglas Wilder (Virginia) (See also,African-American Firsts,Politics
1990,First African-American elected president of the Harvard Law Review,Barack Obama[212] (See also,African-American Firsts,Law
1990,First African-American Miss USA,Carole Gist,African-American Firsts,Social & Jobs
1990,First African-American Playboy Playmate of the Year,Renee Tenison,African-American Firsts,Social & Jobs
1990,First African-American woman to become a principal dancer at Houston Ballet,Lauren Anderson (Houston Ballet)[213],Female African American Firsts,Arts & Entertainment
1991,First African-American nominated for the Academy Award for Best Director,John Singleton for Boyz n the Hood,African-American Firsts,Arts & Entertainment
1991,First African-American to qualify for the Indianapolis 500 auto race,Willy T. Ribbs (See also,African-American Firsts,Sports
1991,"First African-American woman mayor of Washington, D.C.",Sharon Pratt Kelly,Female African American Firsts,Politics
1991,First African-American NBA Coach of the Year,Don Chaney (Houston Rockets),African-American Firsts,Sports
1992,First African-American woman astronaut,Dr. Mae Jemison (Space Shuttle Endeavour),Female African American Firsts,Education & Science
1992,First African-American woman elected to U.S. Senate,Carol Moseley Braun (Illinois),Female African American Firsts,Politics
1992,First African-American woman to moderate a Presidential debate,Carole Simpson (second debate of 1992 campaign),Female African American Firsts,Education & Science
1992,First African-American Major League Baseball manager to reach (and win) the World Series,Cito Gaston (Toronto Blue Jays) 1992 World Series,African-American Firsts,Education & Science
1993,First African-American woman appointed U.S. Secretary of Energy,Hazel R. O'Leary,Female African American Firsts,Politics
1993,First African-American to win the Nobel Prize for Literature,Toni Morrison,African-American Firsts,Education & Science
1993,First African-American woman named Poet Laureate of the United States,Rita Dove; also the youngest person named to that position,Female African American Firsts,Education & Science
1993,First African-American appointed Surgeon General of the United States,Joycelyn Elders,African-American Firsts,Military
1993,First African-American appointed Director of the National Drug Control Policy,Lee P. Brown,African-American Firsts,Arts & Entertainment
1993,First African-American United States Secretary of Commerce,Ron Brown,African-American Firsts,Politics
1993,First African-American to serve as home plate umpire for World Series game,Charlie Williams for Game 4 of the 1993 World Series,African-American Firsts,Military
1993,First African-American to be inducted as a member of the Grand Ole Opry,Charley Pride[citation needed],African-American Firsts,Arts & Entertainment
1994,First African-American woman director of a major-studio movie,Darnell Martin (Columbia Pictures' I Like It Like That),Female African American Firsts,Arts & Entertainment
1994,First African-American to win the United States Amateur Championship,Tiger Woods[Note 23],African-American Firsts,Politics
1995,First African-American inductee to the National Radio Hall of Fame,Hal Jackson,African-American Firsts,Arts & Entertainment
1995,First African-American Sergeant Major of the Army,Gene C. McKinney,African-American Firsts,Military
1995,First African-American Miss Universe,Chelsi Smith,African-American Firsts,Social & Jobs
1995,"First African-American, and first person, to have a song to debut at number one on the Billboard Hot 100 chart",Michael Jackson[214],African-American Firsts,Arts & Entertainment
1996,First African-American U.S. Navy four-star admiral,J. Paul Reason[215],African-American Firsts,Military
1997,First African-American to win a men's major golf championship,Tiger Woods (The Masters)[Note 23],African-American Firsts,Sports
1997,First African-American model to appear on the cover of Sports Illustrated Swimsuit Edition,Tyra Banks,African-American Firsts,Education & Science
1997,First African-American UFC champion,Maurice Smith,African-American Firsts,Sports
1997,First African-American actor to star in the lead role in a comic-book adaptation movie (Spawn),Michael Jai White,African-American Firsts,Arts & Entertainment
1997,First African-American Director of the National Park Service,Robert Stanton[216],African-American Firsts,Arts & Entertainment
1998,First African-American appointed U.S. Secretary of Labor,Alexis Herman,African-American Firsts,Politics
1998,First African-American woman rear admiral in the U.S. Navy,Lillian Fishburne,Female African American Firsts,Military
1998,First African-American Master Chief Petty Officer of the Coast Guard,Vincent W. Patton III,African-American Firsts,Military
1998,First African-American to play in the Presidents Cup,Tiger Woods[Note 23],African-American Firsts,Politics
1998,First African-American woman tenured full professor at Johns Hopkins University,Fannie Gaston-Johansson[217],Female African American Firsts,Education & Science
1999,First African-American to be awarded the International Grandmaster title in chess,Maurice Ashley,African-American Firsts,Social & Jobs
1999,First African-American Sergeant Major of the Marine Corps,Alford L. McMichael,African-American Firsts,Military
1999,First African-American CEO of a Fortune 500 company,Franklin Raines of Fannie Mae[218],African-American Firsts,Social & Jobs
1999,First African-American woman university president,Shirley Ann Jackson at Rensselaer Polytechnic Institute[219],Female African American Firsts,Education & Science
2000,First African-American nominated for Vice President of the United States by a Federal Election Commission-recognized and federally funded political party,Ezola B. Foster (See also,African-American Firsts,Politics
2000,First African-American to be inducted into the Country Music Hall of Fame,Charley Pride[220],African-American Firsts,Arts & Entertainment
2001,First African-American Secretary of State,Colin Powell,African-American Firsts,Politics
2001,First African-American president of the United States Conference of Catholic Bishops,The Most Reverend Wilton Daniel Gregory,African-American Firsts,Religion
2001,First African-American president of the Unitarian Universalist Association,Rev. William G. Sinkford,African-American Firsts,Politics
2001,First African-American president of an Ivy League university,Ruth J. Simmons at Brown University,African-American Firsts,Education & Science
2001,First African-American woman to win the ASCAP Pop Music Songwriter of the Year award,Beyoncé Knowles,Female African American Firsts,Arts & Entertainment
2001,First African-American woman National Security Advisor,Condoleezza Rice (See also,Female African American Firsts,Politics
2001,First African-American billionaire,"Robert L. Johnson, founder of Black Entertainment Television (see also 2002)",African-American Firsts,Social & Jobs
2001,First African-American woman billionaire,Sheila Johnson,Female African American Firsts,Social & Jobs
2002,First African-American to become majority owner of a U.S. major sports league team,"Robert L. Johnson (Charlotte Bobcats, NBA)[Note 24] (see also 2001)",African-American Firsts,Social & Jobs
2002,First African-American woman combat pilot in the U.S. Armed Services,"Captain Vernice Armour, USMC (See also",Female African American Firsts,Social & Jobs
2002,First African-American to be ranked #1 in tennis,Venus Williams,African-American Firsts,Sports
2002,First African-American to be named year-end world champion by the International Tennis Federation,Serena Williams,African-American Firsts,Education & Science
2002,First African-American Arena Football League head coach to win ArenaBowl,"Darren Arbet (San Jose SaberCats), ArenaBowl XVI",African-American Firsts,Sports
2002,First African-American general manager in the National Football League,Ozzie Newsome (Baltimore Ravens),African-American Firsts,Military
2002,First African-American woman to win the Academy Award for Best Actress,Halle Berry,Female African American Firsts,Arts & Entertainment
2003,First African-American to win a Career Grand Slam in tennis,Serena Williams (See also,African-American Firsts,Sports
2003,First African-American American Bar Association president,Dennis Archer[221],African-American Firsts,Law
2004,First African-American to win Broadway theater's Tony Award for Best Lead Actress in a Play,Phylicia Rashad,African-American Firsts,Arts & Entertainment
2004,First African-American inducted into the World Golf Hall of Fame,Charlie Sifford,African-American Firsts,Sports
2005,First African-American woman Secretary of State,Condoleezza Rice (See also,Female African American Firsts,Politics
2005,First African-American woman U.S. Coast Guard aviator,Jeanine Menze,Female African American Firsts,Politics
2006,First African-American to command a United States Marine Corps division,Major General Walter E. Gaskin,African-American Firsts,Military
2006,First African-American to reach the peak of Mount Everest,Sophia Danenberg,African-American Firsts,Social & Jobs
2006,First African-American woman to receive Dharma transmission in Zen Buddhism,Merle Kodo Boyd[222],Female African American Firsts,Religion
2006,First African-American Quarterback inducted into the Pro Football Hall of Fame,Warren Moon,African-American Firsts,Sports
2007,First known African-American woman to reach the North Pole,Barbara Hillary[223],Female African American Firsts,Social & Jobs
2007,First African-American White House Chief Usher,Stephen Rochon[224],Female African American Firsts,Politics
2007,First African-American NFL coach to win a Super Bowl,Tony Dungy (Super Bowl XLI),African-American Firsts,Sports
2008,First African-American to be nominated as a major-party U.S. presidential candidate,"Barack Obama, Democratic Party[225]",African-American Firsts,Politics
2008,First African-American elected President of the United States,Barack Obama[226],African-American Firsts,Politics
2008,First African-American to referee a Super Bowl game,Mike Carey (Super Bowl XLII),African-American Firsts,Sports
2008,First African-American woman elected Speaker of a state House of Representatives,California Rep. Karen Bass,Female African American Firsts,Politics
2008,First African-American to be appointed to the United States Senate by a state governor,Roland Burris,African-American Firsts,Politics
2008,First African-American woman combat pilot in the United States Air Force,Major Shawna Rochelle Kimbrell (See also,Female African American Firsts,Military
2009,First African-American First Lady of the United States,Michelle Obama,African-American Firsts,Politics
2009,First African-American chair of the Republican National Committee,Michael Steele,African-American Firsts,Politics
2009,First African-American United States Attorney General,Eric Holder,African-American Firsts,Military
2009,First African-American woman United States Ambassador to the United Nations,Susan Rice,Female African American Firsts,Education & Science
2009,First African-American United States Trade Representative,Ron Kirk,African-American Firsts,Politics
2009,First African-American woman Administrator of the Environmental Protection Agency,Lisa P. Jackson,Female African American Firsts,Politics
2009,First African-American White House Social Secretary,Desirée Rogers,African-American Firsts,Politics
2009,First African-American to appear by himself on a circulating U.S. coin,Duke Ellington (District of Columbia quarter).[227],African-American Firsts,Social & Jobs
2009,First African-American to win the Pulitzer Prize for History,"Annette Gordon-Reed, The Hemingses of Monticello",African-American Firsts,Arts & Entertainment
2009,First African-American Administrator of the National Aeronautics and Space Administration,Charles F. Bolden Jr.,African-American Firsts,Education & Science
2009,First African-American woman rabbi,Alysa Stanton,Female African American Firsts,Religion
2009,First African-American woman CEO of a Fortune 500 company,"Ursula Burns, Xerox Corporation.",Female African American Firsts,Social & Jobs
2009,First African-American doubles team to be named year-end world champion by the International Tennis Federation,Serena and Venus Williams,African-American Firsts,Education & Science
2010,First African-American to win Stanley Cup,Dustin Byfuglien with Chicago Blackhawks.[228],African-American Firsts,Sports
2011,First African-American Director of the Federal Bureau of Prisons,Charles E. Samuels Jr.[229],African-American Firsts,Military
2011,First African-American admitted to the Reconstructionist Rabbinical College,Sandra Lawson[230][231],African-American Firsts,Religion
2012,First African-American to be re-elected President of the United States,Barack Obama[232],African-American Firsts,Politics
2012,First African-American Combatant Commander of United States Central Command,Lloyd Austin[233],African-American Firsts,Military
2012,First African-American elected president of the Southern Baptist Convention (SBC),Fred Luter[234][235],Female African American Firsts,Politics
2012,First African-American to direct an animated film with a budget in excess of $100 million,Peter Ramsey (Rise of the Guardians),African-American Firsts,Social & Jobs
2013,First African-American U.S. Senator from the former Confederacy since Reconstruction,Tim Scott[236],African-American Firsts,Politics
2013,First African-American president of the Academy of Motion Picture Arts and Sciences,Cheryl Boone Isaacs[237],African-American Firsts,Arts & Entertainment
2013,First African-American United States Secretary of Homeland Security,Jeh Johnson[238],African-American Firsts,Politics
2014,First African-American woman four-star admiral,Michelle J. Howard[239],Female African American Firsts,Military
2014,First African-American senator to be elected in the South since Reconstruction,"Tim Scott, elected in South Carolina[240]",African-American Firsts,Politics
2014,First African-American woman to be nominated for Best Director by the Golden Globe Awards,Ava DuVernay for Selma [241],Female African American Firsts,Arts & Entertainment
2015,First African-American woman Attorney General of the United States,Loretta Lynch[242],Female African American Firsts,Military
2015,First African-American to lead a major intelligence agency,"Vincent R. Stewart, Defense Intelligence Agency[243]",African-American Firsts,Politics
2015,First African-American to be inducted into the NASCAR Hall of Fame,Wendell Scott[244] (See also,African-American Firsts,Sports
2015,First African-American commissioner of a major North American sports league,"Jeffrey Orridge, Canadian Football League[245]",African-American Firsts,Politics
2015,First African-American elected as presiding bishop of the Episcopal Church,Bishop Michael Curry[246],African-American Firsts,Religion
2015,First African-American woman American Bar Association president,Paulette Brown[247],Female African American Firsts,Law
2016,First African-American president of a major broadcast TV network,Channing Dungey,African-American Firsts,Arts & Entertainment
2016,First African-American Librarian of Congress,Dr. Carla Hayden[248],African-American Firsts,Education & Science
2017,First African-American CEO of a Major League Baseball team,Derek Jeter[249],African-American Firsts,Social & Jobs
2018,First African-American artist commissioned for US president portrait to be displayed in the Smithsonian,Kehinde Wiley,African-American Firsts,Arts & Entertainment
2018,First African-American artist commissioned for US first-lady portrait to be displayed in the Smithsonian,Amy Sherald,African-American Firsts,Arts & Entertainment
2018,First African-American president of the American Psychiatric Association,Altha Stewart[250],African-American Firsts,Politics
2018,First African-American woman to be major party nominee for state governor,Stacey Abrams[251],Female African American Firsts,Politics
2018,First African-American superintendent of the United States Military Academy,Darryl A. Williams[252],African-American Firsts,Military
2018,First African-American woman U.S. Marine Corps general officer,Lorna Mahlock,Female African American Firsts,Military
2019,First African-American to win an Academy Award for Best Costume Design,Ruth E. Carter for Black Panther [253],African-American Firsts,Arts & Entertainment
2019,First African-American to win an Academy Award for Best Production Design,Hannah Beachler for Black Panther [253],African-American Firsts,Arts & Entertainment
2019,First member of the British royal family of African-American descent by birth,Archie Mountbatten-Windsor,African-American Firsts,Social & Jobs
2019,First African-American secretary of the Smithsonian Institution,Lonnie Bunch,African-American Firsts,Arts & Entertainment
2019,First African-American female director of an Association of Zoos and Aquariums-accredited institution,Denise Verret[254],Female African American Firsts,Arts & Entertainment
2019,First African-American full-time curator at the Guggenheim,Ashley James.[255],African-American Firsts,Arts & Entertainment
