city,state,city_size,mode,n,percent,moe,state_abb,state_region
Maryland Heights city,Missouri,Small,Bike,0,0,0.2,MO,North Central
Marysville city,Ohio,Small,Bike,5,0.1,0.1,OH,North Central
Marysville city,Washington,Small,Bike,63,0.2,0.2,WA,West
Maryville city,Tennessee,Small,Bike,37,0.3,0.3,TN,South
Mason City city,Iowa,Small,Bike,138,1,0.6,IA,North Central
Mason city,Ohio,Small,Bike,11,0.1,0.1,OH,North Central
Massillon city,Ohio,Small,Bike,12,0.1,0.1,OH,North Central
Matthews town,North Carolina,Small,Bike,14,0.1,0.2,NC,South
Mauldin city,South Carolina,Small,Bike,0,0,0.3,SC,South
Maywood city,California,Small,Bike,177,1.6,0.9,CA,West
Maywood village,Illinois,Small,Bike,0,0,0.3,IL,North Central
McDonough city,Georgia,Small,Bike,40,0.5,0.7,GA,South
McHenry city,Illinois,Small,Bike,13,0.1,0.2,IL,North Central
McMinnville city,Oregon,Small,Bike,283,2.1,1.3,OR,West
Medford city,Massachusetts,Small,Bike,542,1.7,0.5,MA,Northeast
Medford city,Oregon,Small,Bike,349,1.1,0.5,OR,West
Medina city,Ohio,Small,Bike,25,0.2,0.2,OH,North Central
Melbourne city,Florida,Small,Bike,258,0.8,0.4,FL,South
Melrose city,Massachusetts,Small,Bike,157,1.1,0.7,MA,Northeast
Melrose Park village,Illinois,Small,Bike,25,0.2,0.3,IL,North Central
Menifee city,California,Small,Bike,95,0.3,0.3,CA,West
Menlo Park city,California,Small,Bike,1186,7.6,1.6,CA,West
Menomonee Falls village,Wisconsin,Small,Bike,0,0,0.1,WI,North Central
Mentor city,Ohio,Small,Bike,31,0.1,0.2,OH,North Central
Mequon city,Wisconsin,Small,Bike,32,0.3,0.4,WI,North Central
Merced city,California,Small,Bike,165,0.6,0.3,CA,West
Mercer Island city,Washington,Small,Bike,84,0.8,0.6,WA,West
Meriden city,Connecticut,Small,Bike,49,0.2,0.2,CT,Northeast
Meridian city,Idaho,Small,Bike,85,0.3,0.2,ID,West
Meridian city,Mississippi,Small,Bike,0,0,0.2,MS,South
Merrillville town,Indiana,Small,Bike,14,0.1,0.1,IN,North Central
Methuen Town city,Massachusetts,Small,Bike,11,0,0.1,MA,Northeast
Miami Beach city,Florida,Small,Bike,2449,5.1,1.2,FL,South
Miami Lakes town,Florida,Small,Bike,0,0,0.3,FL,South
Miamisburg city,Ohio,Small,Bike,0,0,0.3,OH,North Central
Michigan City city,Indiana,Small,Bike,36,0.3,0.4,IN,North Central
Middletown city,Connecticut,Small,Bike,44,0.2,0.2,CT,Northeast
Middletown city,New York,Small,Bike,48,0.4,0.4,NY,Northeast
Middletown city,Ohio,Small,Bike,20,0.1,0.1,OH,North Central
Midland city,Michigan,Small,Bike,265,1.4,0.6,MI,North Central
Midvale city,Utah,Small,Bike,28,0.2,0.2,UT,West
Midwest City city,Oklahoma,Small,Bike,127,0.5,0.3,OK,South
Milford city (balance),Connecticut,Small,Bike,28,0.1,0.1,CT,Northeast
Millbrae city,California,Small,Bike,20,0.2,0.2,CA,West
Millville city,New Jersey,Small,Bike,50,0.4,0.4,NJ,Northeast
Milpitas city,California,Small,Bike,39,0.1,0.1,CA,West
Milton city,Georgia,Small,Bike,0,0,0.3,GA,South
Milwaukie city,Oregon,Small,Bike,82,0.8,0.5,OR,West
Minnetonka city,Minnesota,Small,Bike,138,0.5,0.2,MN,North Central
Minot city,North Dakota,Small,Bike,128,0.6,0.4,ND,North Central
Mint Hill town,North Carolina,Small,Bike,0,0,0.4,NC,South
Mishawaka city,Indiana,Small,Bike,133,0.6,0.3,IN,North Central
Mission city,Texas,Small,Bike,40,0.1,0.2,TX,South
Mission Viejo city,California,Small,Bike,70,0.2,0.1,CA,West
Missoula city,Montana,Small,Bike,2160,6.2,0.9,MT,West
Missouri City city,Texas,Small,Bike,0,0,0.1,TX,South
Moline city,Illinois,Small,Bike,88,0.4,0.3,IL,North Central
Monroe city,Louisiana,Small,Bike,71,0.4,0.3,LA,South
Monroe city,Michigan,Small,Bike,24,0.3,0.3,MI,North Central
Monroe city,North Carolina,Small,Bike,19,0.1,0.2,NC,South
Monroeville municipality,Pennsylvania,Small,Bike,0,0,0.2,PA,Northeast
Monrovia city,California,Small,Bike,133,0.7,0.5,CA,West
Montclair city,California,Small,Bike,56,0.4,0.4,CA,West
Montebello city,California,Small,Bike,64,0.3,0.2,CA,West
Monterey city,California,Small,Bike,477,3.1,1,CA,West
Monterey Park city,California,Small,Bike,113,0.4,0.3,CA,West
Moore city,Oklahoma,Small,Bike,22,0.1,0.1,OK,South
Mooresville town,North Carolina,Small,Bike,13,0.1,0.2,NC,South
Moorhead city,Minnesota,Small,Bike,177,0.9,0.4,MN,North Central
Moorpark city,California,Small,Bike,29,0.2,0.2,CA,West
Morgan Hill city,California,Small,Bike,142,0.8,0.5,CA,West
Morgantown city,West Virginia,Small,Bike,72,0.6,0.5,WV,South
Morristown city,Tennessee,Small,Bike,13,0.1,0.2,TN,South
Morrisville town,North Carolina,Small,Bike,62,0.6,0.5,NC,South
Morton Grove village,Illinois,Small,Bike,60,0.5,0.4,IL,North Central
Moscow city,Idaho,Small,Bike,581,5,1.6,ID,West
Moses Lake city,Washington,Small,Bike,10,0.1,0.2,WA,West
Mount Juliet city,Tennessee,Small,Bike,0,0,0.3,TN,South
Mount Pleasant city,Michigan,Small,Bike,373,3.4,1.2,MI,North Central
Mount Pleasant town,South Carolina,Small,Bike,261,0.8,0.4,SC,South
Mount Pleasant village,Wisconsin,Small,Bike,0,0,0.2,WI,North Central
Mount Prospect village,Illinois,Small,Bike,160,0.6,0.3,IL,North Central
Mount Vernon city,New York,Small,Bike,0,0,0.1,NY,Northeast
Mount Vernon city,Washington,Small,Bike,70,0.5,0.5,WA,West
Mountain Brook city,Alabama,Small,Bike,35,0.4,0.4,AL,South
Mountain View city,California,Small,Bike,1707,4.2,0.8,CA,West
Mountlake Terrace city,Washington,Small,Bike,41,0.4,0.3,WA,West
Mukilteo city,Washington,Small,Bike,31,0.3,0.3,WA,West
Muncie city,Indiana,Small,Bike,452,1.6,0.5,IN,North Central
Mundelein village,Illinois,Small,Bike,29,0.2,0.2,IL,North Central
Munster town,Indiana,Small,Bike,14,0.1,0.2,IN,North Central
Murray city,Utah,Small,Bike,127,0.5,0.3,UT,West
Murrysville municipality,Pennsylvania,Small,Bike,23,0.2,0.3,PA,Northeast
Muscatine city,Iowa,Small,Bike,9,0.1,0.1,IA,North Central
Muskego city,Wisconsin,Small,Bike,0,0,0.2,WI,North Central
Muskegon city,Michigan,Small,Bike,63,0.5,0.4,MI,North Central
Muskogee city,Oklahoma,Small,Bike,5,0,0.1,OK,South
Myrtle Beach city,South Carolina,Small,Bike,189,1.5,0.9,SC,South
Nacogdoches city,Texas,Small,Bike,108,0.8,0.6,TX,South
Nampa city,Idaho,Small,Bike,88,0.3,0.2,ID,West
Napa city,California,Small,Bike,320,0.9,0.5,CA,West
Naples city,Florida,Small,Bike,121,2,1.2,FL,South
Nashua city,New Hampshire,Small,Bike,71,0.2,0.2,NH,Northeast
National City city,California,Small,Bike,161,0.6,0.4,CA,West
Naugatuck borough,Connecticut,Small,Bike,0,0,0.2,CT,Northeast
Neenah city,Wisconsin,Small,Bike,73,0.6,0.4,WI,North Central
New Albany city,Indiana,Small,Bike,29,0.2,0.2,IN,North Central
New Bedford city,Massachusetts,Small,Bike,119,0.3,0.2,MA,Northeast
New Berlin city,Wisconsin,Small,Bike,70,0.3,0.3,WI,North Central
New Bern city,North Carolina,Small,Bike,18,0.2,0.2,NC,South
New Braunfels city,Texas,Small,Bike,56,0.2,0.2,TX,South
New Brighton city,Minnesota,Small,Bike,36,0.3,0.3,MN,North Central
New Britain city,Connecticut,Small,Bike,54,0.2,0.2,CT,Northeast
New Brunswick city,New Jersey,Small,Bike,240,1,0.4,NJ,Northeast
New Castle city,Pennsylvania,Small,Bike,68,0.8,0.9,PA,Northeast
New Hope city,Minnesota,Small,Bike,61,0.6,0.4,MN,North Central
New Iberia city,Louisiana,Small,Bike,48,0.4,0.4,LA,South
New Lenox village,Illinois,Small,Bike,12,0.1,0.2,IL,North Central
New London city,Connecticut,Small,Bike,16,0.1,0.1,CT,Northeast
New Rochelle city,New York,Small,Bike,30,0.1,0.1,NY,Northeast
New Smyrna Beach city,Florida,Small,Bike,44,0.5,0.5,FL,South
Newark city,California,Small,Bike,79,0.4,0.3,CA,West
Newark city,Delaware,Small,Bike,328,2.4,0.7,DE,South
Newark city,Ohio,Small,Bike,134,0.6,0.4,OH,North Central
Newberg city,Oregon,Small,Bike,173,1.6,1,OR,West
Newburgh city,New York,Small,Bike,67,0.6,0.7,NY,Northeast
Newnan city,Georgia,Small,Bike,16,0.1,0.2,GA,South
Newport Beach city,California,Small,Bike,378,0.9,0.4,CA,West
Newport city,Rhode Island,Small,Bike,333,2.4,1.1,RI,Northeast
Newton city,Massachusetts,Small,Bike,470,1.1,0.3,MA,Northeast
Niagara Falls city,New York,Small,Bike,72,0.3,0.2,NY,Northeast
Nicholasville city,Kentucky,Small,Bike,0,0,0.3,KY,South
Niles village,Illinois,Small,Bike,116,0.9,0.8,IL,North Central
Noblesville city,Indiana,Small,Bike,26,0.1,0.1,IN,North Central
Nogales city,Arizona,Small,Bike,8,0.1,0.2,AZ,West
Norco city,California,Small,Bike,14,0.1,0.2,CA,West
Norfolk city,Nebraska,Small,Bike,55,0.5,0.4,NE,North Central
Normal town,Illinois,Small,Bike,317,1.2,0.4,IL,North Central
Norristown borough,Pennsylvania,Small,Bike,182,1.1,0.8,PA,Northeast
North Augusta city,South Carolina,Small,Bike,24,0.3,0.3,SC,South
North Chicago city,Illinois,Small,Bike,9,0.1,0.1,IL,North Central
North Lauderdale city,Florida,Small,Bike,98,0.5,0.5,FL,South
North Little Rock city,Arkansas,Small,Bike,38,0.1,0.2,AR,South
North Miami Beach city,Florida,Small,Bike,103,0.5,0.4,FL,South
North Miami city,Florida,Small,Bike,0,0,0.2,FL,South
North Olmsted city,Ohio,Small,Bike,20,0.1,0.1,OH,North Central
North Plainfield borough,New Jersey,Small,Bike,136,1.1,0.9,NJ,Northeast
North Platte city,Nebraska,Small,Bike,37,0.3,0.3,NE,North Central
North Port city,Florida,Small,Bike,139,0.6,0.2,FL,South
North Richland Hills city,Texas,Small,Bike,42,0.1,0.1,TX,South
North Ridgeville city,Ohio,Small,Bike,17,0.1,0.2,OH,North Central
North Royalton city,Ohio,Small,Bike,42,0.3,0.2,OH,North Central
North Tonawanda city,New York,Small,Bike,28,0.2,0.2,NY,Northeast
Northampton city,Massachusetts,Small,Bike,473,3.1,0.9,MA,Northeast
Northbrook village,Illinois,Small,Bike,27,0.2,0.2,IL,North Central
Northfield city,Minnesota,Small,Bike,212,1.9,0.7,MN,North Central
Northglenn city,Colorado,Small,Bike,48,0.3,0.3,CO,West
Northport city,Alabama,Small,Bike,6,0.1,0.1,AL,South
Norton Shores city,Michigan,Small,Bike,62,0.6,0.5,MI,North Central
Norwalk city,Connecticut,Small,Bike,81,0.2,0.1,CT,Northeast
Norwich city,Connecticut,Small,Bike,6,0,0.1,CT,Northeast
Novato city,California,Small,Bike,133,0.5,0.4,CA,West
Novi city,Michigan,Small,Bike,100,0.4,0.3,MI,North Central
Oak Creek city,Wisconsin,Small,Bike,12,0.1,0.1,WI,North Central
Oak Forest city,Illinois,Small,Bike,0,0,0.2,IL,North Central
Oak Harbor city,Washington,Small,Bike,12,0.1,0.2,WA,West
Oak Lawn village,Illinois,Small,Bike,37,0.1,0.1,IL,North Central
Oak Park city,Michigan,Small,Bike,47,0.4,0.4,MI,North Central
Oak Park village,Illinois,Small,Bike,462,1.7,0.6,IL,North Central
Oak Ridge city,Tennessee,Small,Bike,13,0.1,0.1,TN,South
Oakdale city,California,Small,Bike,81,1,0.7,CA,West
Oakdale city,Minnesota,Small,Bike,43,0.3,0.2,MN,North Central
Oakland Park city,Florida,Small,Bike,166,0.8,0.5,FL,South
Oakley city,California,Small,Bike,90,0.6,0.4,CA,West
Ocala city,Florida,Small,Bike,210,1,0.5,FL,South
Ocoee city,Florida,Small,Bike,0,0,0.2,FL,South
O'Fallon city,Illinois,Small,Bike,20,0.1,0.2,IL,North Central
O'Fallon city,Missouri,Small,Bike,41,0.1,0.1,MO,North Central
Ogden city,Utah,Small,Bike,223,0.6,0.3,UT,West
Olive Branch city,Mississippi,Small,Bike,0,0,0.2,MS,South
Olympia city,Washington,Small,Bike,950,4.1,1.2,WA,West
Opelika city,Alabama,Small,Bike,24,0.2,0.1,AL,South
Oregon City city,Oregon,Small,Bike,52,0.4,0.3,OR,West
Oregon city,Ohio,Small,Bike,0,0,0.3,OH,North Central
Orem city,Utah,Small,Bike,539,1.3,0.4,UT,West
Orland Park village,Illinois,Small,Bike,42,0.2,0.1,IL,North Central
Ormond Beach city,Florida,Small,Bike,161,1,0.5,FL,South
Oro Valley town,Arizona,Small,Bike,62,0.4,0.3,AZ,West
Oshkosh city,Wisconsin,Small,Bike,380,1.2,0.5,WI,North Central
Ossining village,New York,Small,Bike,7,0.1,0.1,NY,Northeast
Oswego village,Illinois,Small,Bike,13,0.1,0.1,IL,North Central
Ottumwa city,Iowa,Small,Bike,75,0.7,0.6,IA,North Central
Oviedo city,Florida,Small,Bike,39,0.2,0.3,FL,South
Owasso city,Oklahoma,Small,Bike,43,0.3,0.3,OK,South
Owatonna city,Minnesota,Small,Bike,90,0.7,0.5,MN,North Central
Owensboro city,Kentucky,Small,Bike,144,0.6,0.3,KY,South
Oxford city,Alabama,Small,Bike,4,0,0.1,AL,South
Oxford city,Mississippi,Small,Bike,108,1.3,1,MS,South
Oxford city,Ohio,Small,Bike,158,1.8,1,OH,North Central
Pacifica city,California,Small,Bike,22,0.1,0.1,CA,West
Paducah city,Kentucky,Small,Bike,41,0.4,0.4,KY,South
Palatine village,Illinois,Small,Bike,124,0.3,0.3,IL,North Central
Palm Beach Gardens city,Florida,Small,Bike,68,0.3,0.2,FL,South
Palm Coast city,Florida,Small,Bike,57,0.2,0.2,FL,South
Palm Desert city,California,Small,Bike,105,0.6,0.4,CA,West
Palm Springs city,California,Small,Bike,179,0.9,0.5,CA,West
Palm Springs village,Florida,Small,Bike,8,0.1,0.1,FL,South
Palmetto Bay village,Florida,Small,Bike,32,0.3,0.3,FL,South
Palo Alto city,California,Small,Bike,2562,8.5,1.1,CA,West
Panama City city,Florida,Small,Bike,213,1.3,0.8,FL,South
Papillion city,Nebraska,Small,Bike,14,0.1,0.2,NE,North Central
Paradise town,California,Small,Bike,92,1,1,CA,West
Paragould city,Arkansas,Small,Bike,0,0,0.3,AR,South
Paramount city,California,Small,Bike,173,0.8,0.4,CA,West
Paramus borough,New Jersey,Small,Bike,0,0,0.3,NJ,Northeast
Paris city,Texas,Small,Bike,79,0.8,0.7,TX,South
Park Forest village,Illinois,Small,Bike,23,0.2,0.3,IL,North Central
Park Ridge city,Illinois,Small,Bike,30,0.2,0.2,IL,North Central
Parker town,Colorado,Small,Bike,40,0.2,0.2,CO,West
Parkersburg city,West Virginia,Small,Bike,59,0.5,0.4,WV,South
Parkland city,Florida,Small,Bike,0,0,0.4,FL,South
Parma city,Ohio,Small,Bike,0,0,0.1,OH,North Central
Parma Heights city,Ohio,Small,Bike,10,0.1,0.2,OH,North Central
Pascagoula city,Mississippi,Small,Bike,47,0.5,0.5,MS,South
Pasco city,Washington,Small,Bike,0,0,0.1,WA,West
Passaic city,New Jersey,Small,Bike,234,0.9,0.6,NJ,Northeast
Patterson city,California,Small,Bike,98,1.3,1.2,CA,West
Pawtucket city,Rhode Island,Small,Bike,208,0.6,0.3,RI,Northeast
Peabody city,Massachusetts,Small,Bike,71,0.3,0.2,MA,Northeast
Peachtree City city,Georgia,Small,Bike,41,0.3,0.3,GA,South
Pearl city,Mississippi,Small,Bike,12,0.1,0.2,MS,South
Pearland city,Texas,Small,Bike,0,0,0.1,TX,South
Peekskill city,New York,Small,Bike,31,0.3,0.4,NY,Northeast
Pekin city,Illinois,Small,Bike,54,0.4,0.3,IL,North Central
Pelham city,Alabama,Small,Bike,0,0,0.3,AL,South
Pensacola city,Florida,Small,Bike,227,0.9,0.5,FL,South
Perris city,California,Small,Bike,20,0.1,0.1,CA,West
Perrysburg city,Ohio,Small,Bike,8,0.1,0.1,OH,North Central
Perth Amboy city,New Jersey,Small,Bike,33,0.2,0.2,NJ,Northeast
Petaluma city,California,Small,Bike,437,1.5,0.5,CA,West
Petersburg city,Virginia,Small,Bike,32,0.3,0.3,VA,South
Pflugerville city,Texas,Small,Bike,40,0.2,0.3,TX,South
Pharr city,Texas,Small,Bike,35,0.2,0.2,TX,South
Phenix City city,Alabama,Small,Bike,54,0.4,0.4,AL,South
Pico Rivera city,California,Small,Bike,255,1,0.4,CA,West
Pine Bluff city,Arkansas,Small,Bike,28,0.2,0.1,AR,South
Pinellas Park city,Florida,Small,Bike,165,0.8,0.5,FL,South
Piqua city,Ohio,Small,Bike,27,0.3,0.3,OH,North Central
Pittsburg city,California,Small,Bike,52,0.2,0.2,CA,West
Pittsburg city,Kansas,Small,Bike,133,1.5,0.7,KS,North Central
Pittsfield city,Massachusetts,Small,Bike,185,0.9,0.4,MA,Northeast
Placentia city,California,Small,Bike,274,1.2,0.5,CA,West
Plainfield city,New Jersey,Small,Bike,288,1.1,0.5,NJ,Northeast
Plainfield town,Indiana,Small,Bike,9,0.1,0.1,IN,North Central
Plainfield village,Illinois,Small,Bike,0,0,0.2,IL,North Central
Plainview city,Texas,Small,Bike,14,0.2,0.2,TX,South
Plant City city,Florida,Small,Bike,112,0.7,0.4,FL,South
Plantation city,Florida,Small,Bike,65,0.1,0.1,FL,South
Pleasant Grove city,Utah,Small,Bike,22,0.2,0.2,UT,West
Pleasant Hill city,California,Small,Bike,119,0.7,0.5,CA,West
Pleasant Prairie village,Wisconsin,Small,Bike,0,0,0.2,WI,North Central
Pleasanton city,California,Small,Bike,277,0.8,0.4,CA,West
Pleasantville city,New Jersey,Small,Bike,18,0.2,0.3,NJ,Northeast
Plum borough,Pennsylvania,Small,Bike,0,0,0.2,PA,Northeast
Plymouth city,Minnesota,Small,Bike,197,0.5,0.3,MN,North Central
Pocatello city,Idaho,Small,Bike,362,1.4,0.5,ID,West
Ponca City city,Oklahoma,Small,Bike,6,0.1,0.1,OK,South
Pontiac city,Michigan,Small,Bike,31,0.1,0.2,MI,North Central
Pooler city,Georgia,Small,Bike,47,0.5,0.6,GA,South
Port Arthur city,Texas,Small,Bike,126,0.6,0.4,TX,South
Port Chester village,New York,Small,Bike,53,0.3,0.4,NY,Northeast
Port Hueneme city,California,Small,Bike,112,1.2,0.9,CA,West
Port Huron city,Michigan,Small,Bike,218,1.9,1.1,MI,North Central
Port Orange city,Florida,Small,Bike,67,0.3,0.3,FL,South
Portage city,Indiana,Small,Bike,27,0.2,0.3,IN,North Central
Portage city,Michigan,Small,Bike,37,0.2,0.1,MI,North Central
Porterville city,California,Small,Bike,231,1.2,0.7,CA,West
Portland city,Maine,Small,Bike,660,1.8,0.6,ME,Northeast
Portsmouth city,New Hampshire,Small,Bike,199,1.6,0.9,NH,Northeast
Portsmouth city,Ohio,Small,Bike,21,0.3,0.4,OH,North Central
Portsmouth city,Virginia,Small,Bike,269,0.6,0.2,VA,South
Post Falls city,Idaho,Small,Bike,58,0.5,0.6,ID,West
Pottstown borough,Pennsylvania,Small,Bike,55,0.5,0.4,PA,Northeast
Poughkeepsie city,New York,Small,Bike,107,0.8,0.5,NY,Northeast
Poway city,California,Small,Bike,180,0.8,0.5,CA,West
Prairie Village city,Kansas,Small,Bike,40,0.3,0.3,KS,North Central
Prattville city,Alabama,Small,Bike,0,0,0.2,AL,South
Prescott city,Arizona,Small,Bike,200,1.4,0.9,AZ,West
Prescott Valley town,Arizona,Small,Bike,131,0.8,0.8,AZ,West
Prichard city,Alabama,Small,Bike,10,0.1,0.2,AL,South
Prior Lake city,Minnesota,Small,Bike,10,0.1,0.1,MN,North Central
Pullman city,Washington,Small,Bike,321,2.4,1,WA,West
Puyallup city,Washington,Small,Bike,94,0.5,0.4,WA,West
Queen Creek town,Arizona,Small,Bike,0,0,0.3,AZ,West
Quincy city,Illinois,Small,Bike,31,0.2,0.2,IL,North Central
Quincy city,Massachusetts,Small,Bike,70,0.1,0.1,MA,Northeast
Racine city,Wisconsin,Small,Bike,89,0.3,0.3,WI,North Central
Radcliff city,Kentucky,Small,Bike,7,0.1,0.1,KY,South
Rahway city,New Jersey,Small,Bike,13,0.1,0.1,NJ,Northeast
Ramsey city,Minnesota,Small,Bike,17,0.1,0.2,MN,North Central
Rancho Cordova city,California,Small,Bike,229,0.8,0.4,CA,West
Rancho Palos Verdes city,California,Small,Bike,24,0.1,0.2,CA,West
Rancho Santa Margarita city,California,Small,Bike,47,0.2,0.2,CA,West
Rapid City city,South Dakota,Small,Bike,225,0.7,0.3,SD,North Central
Raytown city,Missouri,Small,Bike,0,0,0.2,MO,North Central
Reading city,Pennsylvania,Small,Bike,186,0.6,0.3,PA,Northeast
Redding city,California,Small,Bike,349,1,0.4,CA,West
Redlands city,California,Small,Bike,426,1.4,0.7,CA,West
Redmond city,Oregon,Small,Bike,64,0.6,0.6,OR,West
Redmond city,Washington,Small,Bike,359,1.2,0.5,WA,West
Redondo Beach city,California,Small,Bike,482,1.3,0.5,CA,West
Redwood City city,California,Small,Bike,642,1.7,0.6,CA,West
Reedley city,California,Small,Bike,76,0.8,0.6,CA,West
Renton city,Washington,Small,Bike,71,0.1,0.1,WA,West
Revere city,Massachusetts,Small,Bike,27,0.1,0.1,MA,Northeast
Rexburg city,Idaho,Small,Bike,486,4.5,1.6,ID,West
Reynoldsburg city,Ohio,Small,Bike,18,0.1,0.2,OH,North Central
Richfield city,Minnesota,Small,Bike,158,0.8,0.4,MN,North Central
Richland city,Washington,Small,Bike,175,0.8,0.4,WA,West
Richmond city,Indiana,Small,Bike,62,0.4,0.4,IN,North Central
Richmond city,Kentucky,Small,Bike,278,1.9,1.4,KY,South
Ridgecrest city,California,Small,Bike,195,1.6,0.8,CA,West
Ridgeland city,Mississippi,Small,Bike,17,0.1,0.2,MS,South
Ridgewood village,New Jersey,Small,Bike,11,0.1,0.2,NJ,Northeast
Rio Rancho city,New Mexico,Small,Bike,153,0.4,0.2,NM,West
Riverbank city,California,Small,Bike,8,0.1,0.2,CA,West
Riverside city,Ohio,Small,Bike,0,0,0.3,OH,North Central
Riverton city,Utah,Small,Bike,21,0.1,0.1,UT,West
Riviera Beach city,Florida,Small,Bike,53,0.4,0.4,FL,South
Roanoke city,Virginia,Small,Bike,72,0.2,0.1,VA,South
Rochester city,New Hampshire,Small,Bike,1,0,0.1,NH,Northeast
Rochester Hills city,Michigan,Small,Bike,122,0.3,0.2,MI,North Central
Rock Hill city,South Carolina,Small,Bike,107,0.3,0.3,SC,South
Rock Island city,Illinois,Small,Bike,93,0.5,0.4,IL,North Central
Rock Springs city,Wyoming,Small,Bike,14,0.1,0.2,WY,West
Rockledge city,Florida,Small,Bike,70,0.6,0.4,FL,South
Rocklin city,California,Small,Bike,59,0.2,0.2,CA,West
Rockville Centre village,New York,Small,Bike,7,0.1,0.1,NY,Northeast
Rockville city,Maryland,Small,Bike,161,0.5,0.3,MD,South
Rockwall city,Texas,Small,Bike,0,0,0.2,TX,South
Rocky Mount city,North Carolina,Small,Bike,23,0.1,0.1,NC,South
Rocky River city,Ohio,Small,Bike,16,0.2,0.3,OH,North Central
Rogers city,Arkansas,Small,Bike,39,0.1,0.1,AR,South
Rohnert Park city,California,Small,Bike,504,2.5,1.2,CA,West
Rolling Meadows city,Illinois,Small,Bike,50,0.4,0.4,IL,North Central
Rome city,Georgia,Small,Bike,154,1.1,0.7,GA,South
Rome city,New York,Small,Bike,19,0.1,0.2,NY,Northeast
Romeoville village,Illinois,Small,Bike,0,0,0.2,IL,North Central
Romulus city,Michigan,Small,Bike,0,0,0.3,MI,North Central
Roseburg city,Oregon,Small,Bike,280,3.4,1.8,OR,West
Roselle borough,New Jersey,Small,Bike,18,0.2,0.2,NJ,Northeast
Roselle village,Illinois,Small,Bike,14,0.1,0.2,IL,North Central
Rosemead city,California,Small,Bike,193,0.8,0.5,CA,West
Rosemount city,Minnesota,Small,Bike,16,0.1,0.2,MN,North Central
Rosenberg city,Texas,Small,Bike,72,0.5,0.7,TX,South
Roseville city,Michigan,Small,Bike,104,0.5,0.3,MI,North Central
Roseville city,Minnesota,Small,Bike,301,1.8,0.7,MN,North Central
Roswell city,Georgia,Small,Bike,31,0.1,0.1,GA,South
Roswell city,New Mexico,Small,Bike,58,0.3,0.2,NM,West
Round Lake Beach village,Illinois,Small,Bike,0,0,0.2,IL,North Central
Rowlett city,Texas,Small,Bike,39,0.1,0.2,TX,South
Roy city,Utah,Small,Bike,49,0.3,0.3,UT,West
Royal Oak city,Michigan,Small,Bike,122,0.4,0.2,MI,North Central
Royal Palm Beach village,Florida,Small,Bike,154,1,0.6,FL,South
Russellville city,Arkansas,Small,Bike,70,0.5,0.5,AR,South
Ruston city,Louisiana,Small,Bike,36,0.4,0.5,LA,South
Saginaw city,Michigan,Small,Bike,98,0.6,0.6,MI,North Central
Saginaw city,Texas,Small,Bike,13,0.1,0.2,TX,South
Sahuarita town,Arizona,Small,Bike,9,0.1,0.1,AZ,West
Salem city,Massachusetts,Small,Bike,155,0.7,0.4,MA,Northeast
Salem city,Virginia,Small,Bike,34,0.3,0.3,VA,South
Salina city,Kansas,Small,Bike,89,0.4,0.3,KS,North Central
Salisbury city,Maryland,Small,Bike,97,0.8,0.6,MD,South
Salisbury city,North Carolina,Small,Bike,83,0.7,0.5,NC,South
Sammamish city,Washington,Small,Bike,69,0.3,0.2,WA,West
San Angelo city,Texas,Small,Bike,122,0.3,0.2,TX,South
San Benito city,Texas,Small,Bike,42,0.5,0.6,TX,South
San Bruno city,California,Small,Bike,66,0.3,0.4,CA,West
San Carlos city,California,Small,Bike,127,0.9,0.4,CA,West
San Clemente city,California,Small,Bike,189,0.6,0.3,CA,West
San Dimas city,California,Small,Bike,143,0.9,0.7,CA,West
San Fernando city,California,Small,Bike,109,1.1,1,CA,West
San Gabriel city,California,Small,Bike,158,0.9,0.4,CA,West
San Jacinto city,California,Small,Bike,83,0.6,0.5,CA,West
San Juan Capistrano city,California,Small,Bike,304,2,1.8,CA,West
San Juan city,Texas,Small,Bike,19,0.2,0.3,TX,South
San Leandro city,California,Small,Bike,201,0.5,0.2,CA,West
San Luis city,Arizona,Small,Bike,24,0.4,0.6,AZ,West
San Luis Obispo city,California,Small,Bike,1506,6.6,1.3,CA,West
San Marcos city,California,Small,Bike,9,0,0.1,CA,West
San Marcos city,Texas,Small,Bike,164,0.8,0.5,TX,South
San Mateo city,California,Small,Bike,896,1.8,0.5,CA,West
San Pablo city,California,Small,Bike,110,0.9,0.9,CA,West
San Rafael city,California,Small,Bike,516,1.8,0.9,CA,West
San Ramon city,California,Small,Bike,155,0.4,0.3,CA,West
Sandusky city,Ohio,Small,Bike,106,1,0.6,OH,North Central
Sandy city,Utah,Small,Bike,198,0.5,0.3,UT,West
Sandy Springs city,Georgia,Small,Bike,10,0,0.1,GA,South
Sanford city,Florida,Small,Bike,94,0.4,0.3,FL,South
Sanford city,North Carolina,Small,Bike,22,0.2,0.2,NC,South
Sanger city,California,Small,Bike,58,0.6,0.6,CA,West
Santa Barbara city,California,Small,Bike,2650,5.8,1.1,CA,West
Santa Cruz city,California,Small,Bike,2697,9.2,1.7,CA,West
Santa Fe city,New Mexico,Small,Bike,516,1.6,0.5,NM,West
Santa Monica city,California,Small,Bike,1514,3.1,0.6,CA,West
Santa Paula city,California,Small,Bike,100,0.8,0.9,CA,West
Santee city,California,Small,Bike,24,0.1,0.1,CA,West
