song,artist,featuring,entered_top_30_in,lyrics,writers,producer,rough_order
Little Red Wagon,Miranda Lambert,NA,2015,"You only love me for my big sun glasses And my Tony Lomas And my Dodge Dart classic You said ""I'll be Johnny and you'll be June I'll ride with you to the moon"" But guess what? [Chorus:] You can't ride in my little red wagon The front seat's broken and the axle's draggin' You can't step to this backyard swagger You know it ain't my fault when I'm walkin' jaws droppin' like Ooh, ah, ooh, ah Oh, heaven help me I've been sowing wildflower seeds And chasing tumble weeds But that's just who I be And you're just trying to slow this rolling stone But I'm on to you baby So guess what? [Chorus:] You can't ride in my little red wagon The front seat's broken and the axle's draggin' No you can't step to this backyard swagger You know it ain't my fault when I'm walkin' jaws droppin' like Ooh, ah, ooh, ah Oh, you only love me for my big sun glasses And my Tony Lomas I live in Oklahoma And I've got long, blonde hair And I play guitar, and I go on the road And I do all the shit you wanna do And my dog does tricks And I ain't about drama, y'all And I love my apron But I ain't your mama! So guess what?","Audra Mae, Joe Ginsberg","Frank Liddell, Chuck Ainlay, Glenn Worf",108
Hard To Be Cool,Joe Nichols,NA,2015,"She's such a beautiful handful Might be more than I can handle She's a wild child running down a Friday night Got me wrapped around her finger and holding on tight She's so hot, hey, what's not to love Heaven's little devil's got me all messed up She's a little heart breaker, and I'm her fool She's so hot, it's hard to be cool Hard to be cool She's like a ten, but better She leads me on, but I let her Might be a spring fling heartache headed my way And I may be crazy, but all I can say is She's so hot, hey, what's not to love Heaven's little devil's got me all messed up She's a little heart breaker, and I'm her fool She's so hot, it's hard to be cool Hard to be cool And I ain't never seen anything like her In that sexy little sundress, man, she's on fire She's so hot Mmm, yeah, she's hot, son She's so hot, hey, what's not to love Heaven's little devil's got me all messed up She's a little heart breaker, and I'm her fool She's so hot, it's hard to be cool Yeah, it's hard to be cool Yeah, it's hard to be cool She's so hot","Rob Hatch, Jason Sellers","Mickey Jack Cones, Derek George",109
Raise Em Up,Keith Urban,Eric Church,2015,"Raise em' up I'm talkin' 'bout lighter on a Saturday night The band plays a song you like And you sing along Raise em' up I'm talkin' 'bout daddy's old pick-up truck Shotgun seat there's the one you love And you're kissin' on Get those white sails sailin' down in Mexico It's just a whiskey glass If you ain't makin' a toast Lift your tear-filled eyes Up to the sky Comin' home you've been gone too long Tonight we're gonna Raise em' up Raise em' up You've got a voice, you've got a choice Go make some noise Don't ever let em' tell you Who you are Raise em' up Fist black and blue Fight for the truth It's what you do Hand on your heart For the stripes and stars Black umbrellas in the pourin' rain Sunday morning coming down Amazing Grace Lift those tear-filled eyes up to the sky And as the flag flies say goodbye Tonight we're gonna raise em' up So you meet someone The only one You take her by the hand Make a stand Buy some land Make some love And then babies come Raise em' up Raise em' up Raise em' up Trophy high Raise em' up To the sky Raise em' up Show everybody that new born smile Raise em' up Tall and strong Raise em' up Right from wrong Raise em' up so damn high they can hear God singing along","Tom Douglas, Jaren Johnston, Jeffrey Steele","Keith Urban, Nathan Chapman",110
Lay Low,Josh Turner,NA,2015,"I wanna drive until my cell phone Runs out of range and every bar is gone Cut through the woods another hundred miles And disappear for a while I wanna hear raindrops fallin' down on an old tin roof I wanna find a front porch rail and prop up my travelin' boots See your silhouette in that firelight Feel your body lyin' next to mine Spend a few days together alone And just lay low I wanna end up nowhere on a map A little cabin sittin' so far back Out in the country just the moon and stars Are gonna know where we are I wanna hear raindrops fallin' down on an old tin roof I wanna find a front porch rail and prop up my travelin' boots See your silhouette in that firelight Feel your body lyin' next to mine Spend a few days together alone And just lay low Just lay low, slow it down Girl, let's go and get outta town I wanna hear raindrops fallin' down I wanna hear raindrops fallin' down on an old tin roof I wanna find a front porch rail and prop up my travelin' boots See your silhouette in that firelight Feel your body lyin' next to mine Spend a few days together alone And just lay low Oh and just lay low Just lay low","Tony Martin, Mark Nesler, Ross Copperman",Frank Rogers,111
Diamond Rings and Old Bar Stools,Tim McGraw,Catherine Dunn,2015,"Diamond rings and old barstools One's for queens and one's for fools One's the future and one's the past One's forever and one won't last It ain't like midnight and cigarette smoke It ain't like watered down whiskey and coke I guess some things just don't mix like you hoped Like me and you And diamond rings and old barstools The wrongs and rights, the highs and lows The ""I love you's,"" the ""I told you so's"" Past few miles to wherever's home Another morning waking up alone We ain't like midnight and cigarette smoke Nothing like watered down whiskey and coke I guess some things just don't mix like you hoped Like me and you And diamond rings and old barstools","Barry Dean, Luke Laird, Jonathan Singleton","Byron Gallimore, Tim McGraw",112
Wild Child,Kenny Chesney,Grace Potter,2015,"Looks like royal in a thrift store dress Keeps my heart and her hair a mess She goes where the wind suggests she goes, who knows Got a spirit that can't be tamed She's a calico pony on an open plain I know I'll never be the same no more, for sure She's a wild child Got a rebel soul with a whole lot of gypsy wild style She can't be tied down but for a while I'll be falling free and so alive Might break my heart but God she drives me wild child You've never heard of her favorite band unless you Been to Bonnaroo or Burning Man She's Penny Lane in a Chevy van, she loves to love She loves me wild child Got a rebel soul with a whole lot of gypsy wild style She can't be tied down but for a while I'll be falling free and so alive Might break my heart but God she drives me wild child She'll be here until she runs Some just have to chase the sun She's a wild child Got a rebel soul with a whole lot of gypsy wild style She can't be tied down but for a while I'll be falling free and so alive Might break my heart but God she drives me wild child A kaleidoscope of colors in her mind child A touch of crazy hides behind her wild smile So simple yet experimental Innocent but still a little wild child","Kenny Chesney, Shane McAnally, Josh Osborne","Buddy Cannon, Kenny Chesney",113
Love You Like That,Canaan Smith,NA,2015,"Hey, girl, I'm just a small town run around I get my kicks out on the outskirts of town I could never do it like a pretty city boy I'm more a fishin' in the dark nitty gritty boy So lay back and let me paint you a picture The way I wanna kiss you is... Slow as the Mississippi Strong as a fifth of whiskey Steady as a Tom Petty track I wanna love, wanna love you like that Deeper than a sunset sky Sweeter than muscadine wine All night 'til the sun comes back I wanna love, wanna love, wanna love you like that When I'm with you I can see down the road, girl Not just the gravel when we're travelin' on, girl And I'm bettin' that it's gonna be a wild ride But I promise that I'm gonna be there by your side I think we got another memory in the makin' So, baby, let's take it, take it... I ain't gonna do it like a pretty city boy I'm a fishin' in the dark nitty gritty boy So let me love you... Baby, I wanna love, wanna love, wanna love you like that Yeah I could never do it like a pretty city boy I'm a fishin' in the dark nitty gritty boy","Canaan Smith, Brett Beavers, Jim Beavers","Brett Beavers, Jimmy Robbins",114
Crushin It,Brad Paisley,NA,2015,"I sure could use an “Atta boy” or a big ol' high five I'd love to hear “You're killin' it dude”, it's been a long time Since I hit one out of the park or nailed it as they say I guess I've been in a dry spell but that's about to change ‘cause Every week has a weekend By this time Friday night I'll be done with my third can of cold Bud Light And I'll be crushin' it Yeah, I'll be crushin' it Let's say your baby's mad ‘cause you told her that you'd hang some pictures for her You know the ones she framed from late last spring of you and her in Florida You're up on the ladder when it shatters into smithereens She shakes her head and looks at you and says “Ain't you good for anything?” And you say Every week has a weekend By this time Friday night If you want a margarita I'll get tequila and ice And I'll be crushin' it With a cold one in my other hand And I'll be crushin' it When I'm finished with my can I can stomp it with my boot Punch it with my fist Smash it on my forehead Yeah, I got this I'll be crushin' it Oh, I'll be crushin' it I figured this out in college walking past them Gothic columns That I was gonna probably wind up somewhere near the bottom I was never gonna be the best or brightest guy around But like the great George freaking Strait, I'm the king of gettin' unwound And every week has a weekend By this time Friday night I'll be done with my third can of cold Bud Light And I'll be crushin' it Every week has a weekend Yeah, I'll be crushin' it By this time Friday night Oh, I'll be crushin' it I'll be done with my third can Oh, I'll be crushin' it Of cold Bud Light And I'll be crushin' it I'll be crushin' it","Brad Paisley, Kelley Lovelace, Lee Thomas Miller","Brad Paisley, Luke Wooten",115
Girl Crush,Little Big Town,NA,2015,"I gotta girl crush, hate to admit it but I gotta heart rush, ain’t slowin’ down I got it real bad, want everything she has That smile and that midnight laugh she’s giving you now I wanna taste her lips, yeah, ‘cause they taste like you I wanna drown myself in a bottle of her perfume I want her long blonde hair, I want her magic touch Yeah, ‘cause maybe then you’d want me just as much I gotta girl crush, I gotta girl crush I don’t get no sleep, I don’t get no peace Thinkin’ about her under your bed sheets The way that she’s whisperin’, the way that she’s pullin’ you in Lord knows I’ve tried, I can’t get her off my mind I wanna taste her lips, yeah, ‘cause they taste like you I wanna drown myself in a bottle of her perfume I want her long blonde hair, I want her magic touch Yeah, ‘cause maybe then you’d want me just as much I gotta girl crush I gotta girl crush, hate to admit it but I gotta heart rush, it ain’t slowin’ down","Lori McKenna, Hillary Lindsey, Liz Rose",Jay Joyce,116
Trouble,Gloriana,NA,2015,"I can be strong like a burning whiskey I can be sweet like Tennessee Honey, honey Pretty as a daisy, careful if you pick me This wildflower can get a little crazy, baby... If you're running around, you better run from me Pack up your bags and get gone, get gone You wreck my heart, I'll wreck everything And anything I can get my hands on If you lie, lie, lie with those wandering eyes Better find one hell of a place to hide If you mess with me, you best believe That you're gonna be asking for trouble.... You got too many holes in your story And I'll get down to the truth- Don't you worry, worry. Piece by piece I'll put it all together You cross that line, you cross me forever...baby... If you're running around, you better run from me Pack up your bags and get gone, get gone You wreck my heart, I'll wreck everything And anything I can get my hands on If you lie, lie, lie with those wandering eyes Better find one hell of a place to hide If you mess with me, you best believe That you're gonna be asking for trouble Woah- Woah- Trouble- Woah- Woah If you're running around, you better run from me Pack up your bags and get gone, get gone You wreck my heart, I'll wreck everything And anything I can get my hands on If you lie, lie, lie with those wandering eyes Better find one hell of a place to hide If you mess with me, you best believe Oh you best believe, baby Ya you're fooling around, you ain't fooling me Pack up your shit and get gone, get gone. You wreck my heart, I'll wreck everything And anything I can get my hands on. Lie, lie, lie, with those wandering eyes Better find one hell of a place to hide If you mess with me, you best believe That you're gonna be asking for trouble...","Rachel Reinert, Mike Gossin, Ross Copperman, Jon Nite",Matt Serletic,117
Young and Crazy,Frankie Ballard,NA,2015,"One day, I'll slow and lay down, Spend my weekends in a swing out on the wraparound. Oh but these days, I'm on a mission To get these wild oats out of my system. Yeah I might stay out all night, I've gotta do a little wrong so I know what's right. I wanna sit out on the porch Telling stories 'bout my glory days when I'm pushing eighty. How am I ever gonna get to be old and wise If I ain't ever young and crazy? Now I might have to kiss no telling how many lips Before I ever really figure out what love is. Go through some heartbreaks, wake up with headaches, Don't learn nothing 'til you make a lot of mistakes. How will I know where to draw the line If I don't cross it a few hundred times? I wanna sit out on the porch Telling stories 'bout my glory days when I'm pushing eighty. How am I ever gonna get to be old and wise If I ain't ever young and crazy? Yeah I'm gonna stay out all night, I've gotta do a little wrong so I know what's right I've gotta live a lot of life if I'm gonna give good advice When I'm talking to my grand-babies How am I ever gonna get to be old and wise If I ain't ever young and crazy? I wanna sit out on the porch Telling stories 'bout my glory days when I'm pushing eighty. How am I ever gonna get to be old and wise If I ain't ever young and crazy? If I ain't ever young and crazy?","Rhett Akins, Ashley Gorley, Shane McAnally",Marshall Altman,118
Sippin' On Fire,Florida Georgia Line,NA,2015,"Girl, you melt me like ice in whiskey With those blue flame looks that you give me You can't hide what's inside And it's killing me right now to see you wanna slip off with me again Why should we go round and round the truth, like we've been doin' Every time we lie girl we're losin' So why should we spend Saturday night alone When I can call you on the phone, pick you up Make it up as we go along Pull an all nighter chasing that desire Sparks flying in her eyes like lighters (like lighters) Get a little higher (get a little higher) Sippin' on fire (sippin' on fire) Yeah, you act like you don't know what you're missing Every time you end up back with him Cause it's safe, and you're scared Of everything you're feelin' when we're burning the midnight down again Why should we go round and round the truth, like we've been doin' Every time we lie girl we're losin' So why should we spend Saturday night alone When I can call you on the phone, pick you up Make it up as we go along Pull an all nighter chasing that desire Sparks flying in her eyes like lighters (like lighters) Get a little higher (get a little higher) Sippin' on fire (sippin' on fire) Every goodbye is bittersweet So why should we fight what we both need? Why should we go round and round the truth, like we've been doin' Every time we lie girl we're losin' So why should we spend Saturday night alone When I can call you on the phone, pick you up Make it up as we go along Pull an all nighter chasing that desire Sparks flying in her eyes like lighters (like lighters) Get a little higher (get a little higher) Sippin' on fire (sippin' on fire) Girl, you melt me like ice in whiskey With those blue flame looks that you give me You can't hide what's inside And it's killing me right now to see you wanna slip off with me","Rodney Clawson, Matt Dragstrem, Cole Taylor",Joey Moi,119
Kiss You in the Morning,Michael Ray,NA,2015,"Them jeans are faded In all the right places You got me hanging on tight to your curves like little E races Girl your funky little back beat has got me Feel like I'm tipsy And I ain't even had a drink I wanna kiss you in the parking lot Under the moonlight Kiss you running red lights Baby set the mood right Just like everything you're doing to me right now's Making me crazy I wanna kiss you on the dance floor Kiss you like a let's go, come on Baby let me hear you say oh, oh I wanna kiss you with the neon lights in your eyes glowing Then I wanna kiss you in the morning Yeah I wanna kiss you in the morning Oh you little outlaw Stealing my heart and all When you drop it down low Touch your toes girl You know you just show it off That little tattoo on your tan line, oh my Pretty little butterfly What else have you got to hide? I wanna kiss you in the parking lot Under the moonlight Kiss you running red lights Baby set the mood right Just like everything you're doing to me right now's Making me crazy I wanna kiss you on the dance floor Kiss you like a let's go, come on Baby let me hear you say oh, oh I wanna kiss you with the neon lights in your eyes glowing Then I wanna kiss you in the morning Yeah I wanna kiss you in the morning I wanna kiss you in the parking lot Under the moonlight Kiss you running red lights Baby set the mood right Just like everything you're doing to me right now's Making me crazy I wanna kiss you on the dance floor Kiss you like a let's go, come on Baby let me hear you say oh, oh I wanna kiss you with the neon lights in your eyes glowing Then I wanna kiss you in the morning Yeah I wanna kiss you in the morning, morning Yeah I wanna kiss you in the morning","Justin Wilson, Michael White",Scott Hendricks,120
One Hell of an Amen,Brantley Gilbert,NA,2015,"Preacher said he died too young Over there totin' that gun For Uncle Sam and our freedom Mom and Daddy dressed in black They folded up that flag Handed it to dad Started prayin' Yeah he went out 21 guns blazin' An' that's One Hell of an Amen That's the only way to go Fightin' the good fight Til the Good Lord calls you home And so be well my friend Til' I see you again This is our last goodbye But it's a Hell of an Amen, Amen Doctor said he ain't got long He just smiled said bring it on If you think I'm scared You got me all wrong A little cancer can't break me My heart's right and I believe We all hit our knees Started prayin' Naw he never gave up Said the Good Lord's waitin' An' that's One Hell of an Amen That's the only way to go Fightin' the good fight Til the Good Lord calls you home So be well my friend Til' I see you again Yeah this is our last goodbye But it's a Hell of an Amen So be well my friend Til' I see you again This is our last goodbye But it's a Hell of an Amen","Brantley Gilbert, Mike Dekle, Brian Davis",Dann Huff,121
Like A Wrecking Ball,Eric Church,NA,2015,"I've, I've been gone, I've been gone too long Singin' my songs on the road, another town One more show then I'm coming home Don't give a damn what these keys are for I'm gonna knock down that front door and I'm gonna find out what that house is made of Been too many nights since it's felt us make love I wanna rock some sheet rock Knock some pictures off the wall Love you baby like a wrecking ball You, look at you, send me one more shot Sittin' on a bathroom sink Damn, you really turn me on Painting your toenails pink Easy baby for you to say But if I can make it just one more day That whole house is gonna be shakin' I hope those bricks and boards can take it But I won't be surprised If the whole damn place just falls Wanna rock you baby like a wrecking ball And that old house is gonna be shakin' Rafter rockin', foundation quakin' Crash right through the front door Back you up against the wall Love you baby Take it right there baby Rock you baby like a wrecking ball","Eric Church, Casey Beathard",Jay Joyce,122
Riot,Rascal Flatts,NA,2015,"I'd be ridin' in a cab goin' downtown Findin' faces I know in a big crowd Tryin' to drink the pain away, mhmm And I'd be stayin' out all night, never goin' home Girl you know I'd lose all control If I lost you There would be a riot Breakin' of my heart, I'd try to fight it I could go out every night but I'd be lyin' If I said I could live and breathe Without you There'd be a lot of lonely Wishin' and prayin' that you would hold me I would do most anything baby If only you would come back to me Come back to me There would be a riot Oh yeah, oooh I'd be checkin' on my phone every minute Waitin' 'round for it to start ringin' And prayin' it would be you I don't know what I'd do There would be a riot Breakin' of my heart, I'd try to fight it I could go out every night but I'd be lyin' If I said I could live and breathe Without you There'd be a lot of lonely Wishin' and prayin' that you would hold me I would do most anything baby if only You would come back to me Come back to me There would be a riot If I ever lost you If I ever lost you There would be a riot Breakin' of my heart, I'd try to fight it I could go out every night but I'd be lyin' If I said I could live and breathe There'd be a lot of lonely Wishin' and prayin' that you would hold me I would do most anything baby if only You would come back to me Come back to me There would be a riot If I ever lost you There would be, there would be a riot Breakin' of my heart, I'd try to fight it There would be a riot If I ever lost you","Jaron Boyer, Sara Haze",Rascal Flatts,123
Tonight Looks Good On You,Jason Aldean,NA,2015,"You ain't got a dress that I don't like You ain't got a pair of jeans that don't fit you just right There's not a minute in the day That you don't knock me out, you don't blow me away But, girl, now that the sun's gone down (whoa-oh-oh) Looking at you right here and now, baby Somethin' 'bout that southern sky Sittin' back behind that moon It goes perfect with your eyes Girl tonight looks good on you Somethin' 'bout the way you're smiling Makin' them stars fall right on cue I just gotta tell you baby Tonight looks good on you I can taste the midnight on your lips Makes me just wanna lean in for another kiss Wind blowing your hair around Girl, it makes me want to lay you down You've been beautiful a million times But I've never seen you look like this, no Somethin' 'bout that southern sky Sittin' back behind that moon It goes perfect with your eyes Girl tonight looks good on you Somethin' 'bout the way you're smiling Makin' them stars fall right on cue I just gotta tell you baby Tonight looks good on you Looks so good on your skin I don't ever, no, I never, I don't ever, ever want to end, baby Somethin' 'bout that southern sky Sittin' back behind that moon It goes perfect with your eyes Girl tonight looks good on you Somethin' 'bout the way you're smiling Makin' them stars fall right on cue I just gotta tell you baby Tonight looks good on you Tonight looks good on you I just gotta tell you, baby You look good at the party Good at the bar Somethin' 'bout underneath these stars You look good at the house Good in the car You're lookin' so good anywhere you are Tonight, tonight looks good on you Tonight looks good on you I just gotta tell you, baby, yeah","Dallas Davidson, Rhett Akins, Ashley Gorley",Michael Knox,124
Little Toy Guns,Carrie Underwood,NA,2015,"In between the coats in the closet She held on to that heart-shaped locket Staring at a family, flawless But it ain't a pretty picture tonight Mom and daddy just won't stop it Fighting at the drop of a faucet Cuts through the walls, catastrophic She's caught in the crossfire Puts her hands over her ears Starts talking through the tears And she's saying, and she's praying I wish words were like little toy guns No sting, no hurting no one Just a bang, bang rolling off your tongue (I wish words were like little toy guns) Yeah, no smoke, no bullets No kick from the trigger when you pull it No pain, no damage done (I wish words were like little toy guns) And just a bang, bang rolling off your tongue (I wish words were like little toy guns) Wish there was a white flag waving Or that they were both just faking And it was just a game they were playing Like shoot-'em-up cowboys Leave the plastic pistols in the front yard Throw away the scorecard And just turn off all the noise I wish words were like little toy guns No sting, no hurting no one Just a bang, bang rolling off your tongue (I wish words were like little toy guns) Yeah, no smoke, no bullets No kick from the trigger when you pull it No pain, no damage done (I wish words like were little toy guns) And just a bang, bang rolling off your tongue (I wish words were like little toy guns) Toy guns Oh, I wish they didn't cut like a knife I wish they didn't break you inside I wish they didn't bang, bang Make you wanna run... Yeah, like little toy guns No sting, no hurting no one Just a bang, bang rolling off your tongue (I wish words were like little toy guns) Yeah, no smoke, no bullets No shot from the trigger when you pull it No pain, no damage done (I wish words were like little toy guns) And just a bang, bang rolling off your tongue (I wish words were like little toy guns) Toy guns","Carrie Underwood, Chris DeStefano, Hillary Lindsey",Mark Bright,125
Sangria,Blake Shelton,NA,2015,"You're crashing into me like waves on the coast Every time we talk, you move in close I don't want you to stop, I don't want you to stop tonight We've got the last two glasses on a straw hut bar Trying to remember what number we are String of white lights making your eyes shine tonight We're buzzing like that no vacancy sign out front Your skin is begging to be kissed by a little more than the sun You take my hand in yours, you lean in And your lips taste like sangria, your lips taste like sangria Wrecking ball dancing down the hallway You're holding your shoes, wearing my shades We fall against the door, we fall into a wild warm kiss We're buzzing like that no vacancy sign out front Your skin is begging to be kissed by a little more than the sun You take my hand in yours, you lean in And your lips taste like sangria, your lips taste like sangria Only thing I want to do tonight is drink you like a Spanish wine Let you let this head of mine keep spinning, spinning around We're buzzing like that no vacancy sign out front Your skin is begging to be kissed by a little more than the sun You take my hand in yours, you lean in And your lips taste like sangria, your lips taste like sangria Your lips taste like sangria, your lips taste like sangria Oh Only thing I want to do tonight is drink you like a Spanish wine Let you let this head of mine keep spinning, spinning around","J. T. Harding, Josh Osborne, Trevor Rosen",Scott Hendricks,126
Fly,Maddie & Tae,NA,2015,"Baby blue staring in the window pane Just counting drops of rain Wondering if she's got the guts to take it Running down her dreams in a dirty dress, Now her heart's a mess Praying she will find a way to make it So keep on climbing, though the ground might shake Just keep on reaching though the limb might break We've come this far, don't you be scared now 'Cause you can learn to fly on the way down Searching for a sign in the night even like a lonely string of lights That'll burn just long enough for you to see it The road's been long and lonely and you feel like giving up There's more to this than just the breath you're breathing So keep on climbing, though the ground might shake Just keep on reaching though the limb might break We've come this far, don't you be scared now 'Cause you can learn to fly on the way down On the way down You won't forget the heavy steps it took to let it go Close your eyes, count to ten, hold your breath and fly Keep on climbing, though the ground might shake Just keep on reaching though the limb might break We've come this far, don't you be scared now 'Cause you can learn to fly on the way down","Taylor Dye, Maddie Marlow, Tiffany Vartanyan",Dann Huff,127
Hell of a Night,Dustin Lynch,NA,2015,"All we need is a July hot Saturday night A couple cans on cool and the needle on full and a countryside Yeah, a hot little playlist of your favorite songs And when I get you climbing up in the cab of this truck Yeah you know it's on, know it's on Show you a side of these two lanes you've never seen Heatin' it up behind the high beams Oooh, baby you and me, just runnin' down crazy Flyin' high, living careless, on the edge of wild and reckless Hold on tight, I'm 'bout to show you one hell of a night So gimme that aww yeah, and take me there look I'm a sucker for your kiss, wanna steal 'em from your lips baby, like a crook Foot heavy on the floorboard, everywhere we go I'm talking once in a lifetime, blowin' your mind Burnin' down these back roads Show you a side of these two lanes you've never seen Heatin' it up behind the high beams Oooh, baby you and me, just runnin' down crazy Flyin' high, livin' careless, on the edge of wild and reckless Hold on tight, I'm 'bout to show you one hell of a night So gimme that aww yeah, and I'll give you that all night Girl, gimme that ""let's go"", and I'll give you that good good time Show you a side of these two lanes you've never seen Heatin' it up behind a high beams Oooh, baby you and me, just runnin' down crazy Flyin' high, livin' careless, on the edge of wild and reckless Hold on tight, I'm 'bout to show you one hell of a night Yeah, a once in a lifetime night Mmm girl, if you're down to ride one hell of a night I'm 'bout to show you one hell of a night","Zach Crowell, Adam Sanders, Jaron Boyer",Mickey Jack Cones,128
Loving You Easy,Zac Brown Band,NA,2015,"Every morning when you come downstairs Hair’s a mess but I don’t care No make up on, shining so bright My old sweatshirt never fit so right Dancing around to the radio Humming the words that you don’t know Cross out finding an angel off my list Thinking it don’t get no better than this You make loving you easy You make loving you all I wanna do Every little smile, every single touch Reminds me just how much it all makes Loving you easy Wrapped around me late at night Pillow talk by candlelight Come slow this down and make it last The best things fly by so fast You make loving you easy You make loving you all I wanna do Every little smile and every single touch Reminds me just how much it all makes Oh, I wanna say it again… You make loving you easy You make loving you all I wanna do Every little smile, every single touch Reminds me just how much it all makes Loving you easy Easy Easy","Zac Brown, Niko Moon, Al Anderson",In The Arena,129
Crash and Burn,Thomas Rhett,NA,2015,"So I guess it's over baby Déjà vu again Who'd have thought that time don't stop And somehow girl, the world keeps spinning I guess I've turned myself into a solitary man Ain't like I'm the only one That's in the shoes that I am Do you hear that I'm right back At the sound of lonely calling Do you hear that It's where I'm at It's the sound of teardrops falling down, down A slamming door and a lesson learned I let another lover crash and burn I know that it might sound jaded And I have to say I think love is overrated But I don't like throwing it away I know you could probably tell me Right where I went wrong Some guys can't have all the luck If others don't sing sad songs Do you hear that I'm right back At the sound of lonely calling Do you hear that It's where I'm at It's the sound of teardrops falling down, down A slamming door and a lesson learned I let another lover crash and burn That's right Another lover Another lover crash and burn Ooooh yeah Do you hear that I'm right back At the sound of lonely calling Do you hear that It's where I'm at It's the sound of teardrops falling down, down A slamming door and a lesson learned I let another lover crash and burn Yeah, I let another lover crash and burn","Jesse Frasure, Chris Stapleton","Dann Huff, Jesse Frasure",130
Games,Luke Bryan,NA,2015,"You know the one where you call But you act like you never called me When you see me at a bar But you act like you never saw me When you're dancing with him, and you're looking at me Or I'm holding her, and I'm hoping you see Or the one where you don't kiss me Then you tell me that you miss me All of these games, we play I can't even keep 'em all straight Do we mean what we say We got lines crossed all over the place, yeah I can't tell if I'm winning or losing Somebody tell me what are we doing Nobody ever comes out on top Tell me are we ever gonna stop Playing these games The one where you act all surprised Like you didn't know I'd be at the party The way you make sure it gets back to me That you got with somebody The way you wake up, say it was just a mistake But you always leave something over at my place So I gotta bring it back Now baby why you gotta be like that All of these games, we play I can't even keep 'em all straight Do we mean what we say We got lines crossed all over the place, yeah I can't tell if I'm winning or losing Somebody tell me what are we doing Nobody ever comes out on top Tell me are we ever gonna stop Playing these games This break-up, make-up,hot and cold thing got me dizzy You don't want me til I got somebody with me It's gonna kill me Baby tell me, What am I supposed to do with you And all of these games, we play I can't even keep 'em all straight Do we mean what we say We got lines crossed all over the place, yeah I can't tell if I'm winning or losing Somebody tell me what are we doing Nobody ever comes out on top Tell me are we ever gonna stop Playing these games All of these games","Luke Bryan, Ashley Gorley",Jeff Stevens,131
Buy Me A Boat,Chris Janson,NA,2015,"I ain’t rich, but I damn sure wanna be Working like a dog all day, ain’t working for me I wish I had a rich uncle that’d kick the bucket And that I was sitting on a pile like Warren Buffett I know everybody says Money can’t buy happiness But it could buy me a boat, it could buy me a truck to pull it It could buy me a Yeti 110 iced down with some silver bullets Yeah, and I know what they say, Money can’t buy everything Well, maybe so, But it could buy me a boat They call me redneck, white trash and blue collar But I could change all that if I had a couple million dollars I keep hearing that money is the root of all evil And you can’t fit a camel through the eye of a needle I’m sure that’s probably true, But it still sounds pretty cool ‘Cause it could buy me a boat, it could buy me a truck to pull it It could buy me a Yeti 110 iced down with some silver bullets Yeah, and I know what they say, Money can’t buy everything Well, maybe so, But it could buy me a boat To float down on the water with a beer… I hear the Powerball Lotto is a-sitting’ on a hundred mill… Well, that would buy me a brand new rod and reel… And it could buy me a boat, it could buy me a truck to pull it It could buy me a Yeti 110 iced down with some Silver Bullets Yeah, and I know what they say, Money can’t buy everything Well, maybe so, But it could buy me a boat Yeah, and I know what they say, Money can’t buy everything Well, maybe so, But it could buy me a boat It could buy me a boat.","Chris DuBois, Chris Janson","Brent Anderson, Chris DuBois, Byron Gallimore, Chris Janson",132
Lose My Mind,Brett Eldredge,NA,2015,"You put me on a roller coaster, fly me on a plane You send me to another planet, get inside my brain I knew right when I met you I would never be the same But I let you take me over, girl, so I'm the one to blame, oh You… make all my screws come… loose Got me perfectly con… fused Always find a way to mess me up and drive me wild I love the way you make me lose my mind Lose my mind You make me crazy and I kinda like it You show me that apple, girl, and I wanna bite it So crazy that I gotta have it And I never wanna get out of this straitjacket You… make all my screws come… loose Got me perfectly con… fused Always find a way to mess me up and drive me wild I love the way you make me lose my… I feel the walls closing in inside this padded room Only good thing about it is I'm locked in here with you, yeah I'm always watching you, wondering what you'll do next But my favorite part about it is I always have to guess (you know I do) You… you make all my screws come… loose Got me perfectly con… fused Always find a way to mess me up and drive me wild I love the way you make me lose my mind Make me lose my mind Lose my mind","Ross Copperman, Brett Eldredge, Heather Morgan, Brian Burton, Thomas Callaway, Gian Franco Reverberi, Gian Piero Reverberi","Ross Copperman, Brett Eldredge",133
I'm To Blame,Kip Moore,NA,2015,"If it ain’t broke, you can bet that I’m gonna break it If there’s a wrong road, I’m damn sure gonna take it Where there’s smoke, my pocket lighter sparked the fire Where there’s blue lights, just read me my rights No, they don’t make guys like me, you get exactly what you see I come from a long line of bloodline that ain’t gonna change So, take your pistol pointing finger right off of the trigger I know where to aim, hell, I’m to blame Where there’s a love, I tell ya, girl, I love to hate it Where there’s a do not touch, my finger print done stained it Where there’s a train wreck, sit on back and watch me crash Where there’s a what, you say, damn right I said it No, they don’t make guys like me, you get exactly what you see I come from a long line of bloodline that ain’t gonna change So, take your pistol pointing finger right off of the trigger I know where to aim, hell, I’m to blame For breaking your heart, taking this living a little too hard Drinking too much and playing too loud, where there’s a scar I carved it out No, they don’t make guys like me, you get exactly what you see I come from a long line of bloodline that ain’t gonna change So, take your pistol pointing finger right off of the trigger I know where to aim, hell, I’m to blame","Kip Moore, Justin Weaver, Weston Davis",Brett James,134
