category,logo,production,type,title,distributor,producer,year,page,page_id
Outstanding Guest Actress In A Comedy Series - 2018,https://www.emmys.com/sites/default/files/styles/show_search/public/jane-lynch-bio-450x600.jpg?itok=CP_gk8PH,NA,Nominee,The Marvelous Mrs. Maisel,Prime Video,Amazon Studios,2018,233,3
Outstanding Guest Actress In A Comedy Series - 2018,https://www.emmys.com/sites/default/files/styles/show_search/public/bios/maya-rudolph-2021-450x600_0.jpg?itok=EnF5-1xv,NA,Nominee,The Good Place,NBC,"Universal Television, Fremulon, 3 Arts Entertainment",2018,233,4
Outstanding Guest Actress In A Comedy Series - 2018,https://www.emmys.com/sites/default/files/styles/show_search/public/2013/08/MOLLY-SHANNON_0.jpg?itok=wa1zsKM-,NA,Nominee,Will & Grace,NBC,Universal Television,2018,233,5
Outstanding Guest Actress In A Comedy Series - 2018,https://www.emmys.com/sites/default/files/styles/show_search/public/Wanda-Sykes-bio-450x600.jpg?itok=jeeeKNOu,NA,Nominee,black-ish,ABC,ABC Studios,2018,233,6
Outstanding Guest Actress In A Drama Series - 2018,https://www.emmys.com/sites/default/files/styles/show_search/public/Viola-Davis-bio-450x600.jpg?itok=lcdzAosu,NA,Nominee,Scandal,ABC,ABC Studios,2018,233,7
Outstanding Guest Actress In A Drama Series - 2018,https://www.emmys.com/sites/default/files/styles/show_search/public/bios/kelly-jenrette-2018-nom-450x600.jpg?itok=9KR-4Jw_,NA,Nominee,The Handmaid's Tale,Hulu,"MGM, Hulu, The Littlefield Company, White Oak Pictures, Daniel Wilson Productions",2018,233,8
Outstanding Guest Actress In A Drama Series - 2018,https://www.emmys.com/sites/default/files/styles/show_search/public/2013/08/Cherry-Jones-160x200_0.jpg?itok=ckpKbsen,NA,Nominee,The Handmaid's Tale,Hulu,"MGM, Hulu, The Littlefield Company, White Oak Pictures, Daniel Wilson Productions",2018,233,9
Outstanding Guest Actress In A Drama Series - 2018,https://www.emmys.com/sites/default/files/styles/show_search/public/bios/diana-rigg-450x600.jpg?itok=Pyl7BeWA,NA,Nominee,Game Of Thrones,HBO,"HBO Entertainment in association with Bighead, Littlehead; 360 Television/Startling Television",2018,233,10
Outstanding Guest Actress In A Drama Series - 2018,https://www.emmys.com/sites/default/files/styles/show_search/public/bios/Tyson-Cicely-450x600.jpg?itok=c4JlvKNZ,NA,Nominee,How To Get Away With Murder,ABC,ABC Studios,2018,234,1
Outstanding Guest Actress In A Drama Series - 2018,https://www.emmys.com/sites/default/files/styles/show_search/public/bios/samira-wiley-2021-450x600_0.jpg?itok=uKgxdLDg,NA,Winner,The Handmaid's Tale,Hulu,"MGM, Hulu, The Littlefield Company, White Oak Pictures, Daniel Wilson Productions",2018,234,2
Outstanding Actor In A Short Form Comedy Or Drama Series - 2018,https://www.emmys.com/sites/default/files/styles/show_search/public/james-corden-bio-450x600.jpg?itok=XRqovrAN,NA,Winner,James Corden's Next James Corden,CBS (CBS on Snapchat),CBS Television Studios / CBS Interactive / Fulwell 73,2018,234,3
Outstanding Actor In A Short Form Comedy Or Drama Series - 2018,https://www.emmys.com/sites/default/files/styles/show_search/public/bios/alexis-denisof-2018-nom-450x600.jpg?itok=g-JkiiqB,NA,Nominee,I Love Bekka & Lucy,Stage13.com,"Stage 13, Haven, Abigail Holder Productions",2018,234,4
Outstanding Actor In A Short Form Comedy Or Drama Series - 2018,https://www.emmys.com/sites/default/files/styles/show_search/public/bios/melvin-jackson-jr-2018-nom-450x600.jpg?itok=1WMUh-LJ,NA,Nominee,"This Eddie Murphy Role Is Mine, Not Yours",YouTube,Urban Vision Entertainment,2018,234,5
Outstanding Actor In A Short Form Comedy Or Drama Series - 2018,https://www.emmys.com/sites/default/files/styles/show_search/public/bios/destorm-power-2018-nom-450x600.jpg?itok=jpGM9THD,NA,Nominee,Caught The Series,YouTube,"Wuz Up World, Inc. in association with Zeus Studios",2018,234,6
Outstanding Actor In A Short Form Comedy Or Drama Series - 2018,https://www.emmys.com/sites/default/files/styles/show_search/public/bios/miles-tagtmeyer-2018-nom-450x600.jpg?itok=cCyfrBmG,NA,Nominee,Broken,Vimeo,"1157 Productions, LLC",2018,234,7
Outstanding Actress In A Short Form Comedy Or Drama Series - 2018,https://www.emmys.com/sites/default/files/styles/show_search/public/bios/megan-amram-2018-nom-450x600.jpg?itok=ASkzRARV,NA,Nominee,An Emmy For Megan,anemmyformegan.com,Abso Lutely Productions,2018,234,8
Outstanding Actress In A Short Form Comedy Or Drama Series - 2018,https://www.emmys.com/sites/default/files/styles/show_search/public/bios/lee-garlington-2018-nom-450x600.jpg?itok=3vAp2SPP,NA,Nominee,Broken,Vimeo,"1157 Productions, LLC",2018,234,9
Outstanding Actress In A Short Form Comedy Or Drama Series - 2018,https://www.emmys.com/sites/default/files/styles/show_search/public/bios/naomi-grossman-2018-nom-450x600.jpg?itok=eV17P0jM,NA,Nominee,Ctrl Alt Delete,Facebook.com,Small & Mighty Productions,2018,234,10
Outstanding Actress In A Short Form Comedy Or Drama Series - 2018,https://www.emmys.com/sites/default/files/styles/show_search/public/bios/diarra-kilpatrick-2018-nom-450x600.jpg?itok=5dbO5RnR,NA,Nominee,American Koko,ABC,Juvee Productions,2018,235,1
Outstanding Actress In A Short Form Comedy Or Drama Series - 2018,https://www.emmys.com/sites/default/files/styles/show_search/public/bios/kelli-o-hara-2018-nom-450x600.jpg?itok=I3yZAiG8,NA,Nominee,The Accidental Wolf,theaccidentalwolf.com,A Waterwell Films Production in association with Franklin Theatrical Group and Mom's Money Productions,2018,235,2
Outstanding Actress In A Short Form Comedy Or Drama Series - 2018,https://www.emmys.com/sites/default/files/styles/show_search/public/bios/christina-pickles-2018-nom-450x600.jpg?itok=6UHrU2SC,NA,Winner,Break A Hip,Vimeo,"Shut Up, Charlie Productions",2018,235,3
Outstanding Narrator - 2018,https://www.emmys.com/sites/default/files/styles/show_search/public/bios/sir-david-attenborough-2018-nom-450x600.jpg?itok=QQd97ufS,NA,Winner,Blue Planet II,BBC America,"BBC Studios and The Natural History Unit in co-production with BBC America, Tencent, WDR, France Télévisions, CCTV9",2018,235,4
Outstanding Narrator - 2018,https://www.emmys.com/sites/default/files/styles/show_search/public/bios/charles-dance-2018-nom-450x600.jpg?itok=PjMjL9jY,NA,Nominee,Savage Kingdom,Nat Geo WILD,Icon Films in association with Natural History Film Unit Botswana,2018,235,5
Outstanding Narrator - 2018,https://www.emmys.com/sites/default/files/styles/show_search/public/bios/morgan-freeman-2021-450x600_0.jpg?itok=Z9HFM9Gh,NA,Nominee,March Of The Penguins 2: The Next Step,Hulu,"A Bonne Pioche Cinema Production, Paprika Films, Wild-Touch Production, The Walt Disney Company France, Wild Bunch, OCS, France 3",2018,235,6
Outstanding Narrator - 2018,https://www.emmys.com/sites/default/files/styles/show_search/public/bios/carl-reiner-v2-450x600.jpg?itok=1-oDLyIM,NA,Nominee,"If You're Not In The Obit, Eat Breakfast",HBO,HBO Documentary Films in association with Shapiro/West Productions,2018,235,7
Outstanding Narrator - 2018,https://www.emmys.com/sites/default/files/styles/show_search/public/liev-schreiber-bio-450x600.jpg?itok=wnTEMixW,NA,Nominee,24/7,HBO,HBO Sports,2018,235,8
Outstanding Host For A Reality Or Reality-Competition Program - 2018,https://www.emmys.com/sites/default/files/styles/show_search/public/W-Kamau-Bell-bio-450x600.jpg?itok=RMCO8bl9,NA,Nominee,United Shades Of America With W. Kamau Bell,CNN,"CNN Original Series, All3Media America, Main Event Media",2018,235,9
Outstanding Host For A Reality Or Reality-Competition Program - 2018,https://www.emmys.com/sites/default/files/styles/show_search/public/bios/ellen-degeneres-2018-450x600.jpg?itok=0njInyXk,NA,Nominee,Ellen's Game Of Games,NBC,Warner Horizon Unscripted & Alternative Television in association with Telepictures and A Very Good Production,2018,235,10
Outstanding Host For A Reality Or Reality-Competition Program - 2018,https://www.emmys.com/sites/default/files/styles/show_search/public/heidi-klum-tim-gunn-450x600.jpg?itok=ke4n-qJf,NA,Nominee,Project Runway,Lifetime,"Bunim/Murray Productions, Full Picture Entertainment, Heidi Klum Company",2018,236,1
Outstanding Host For A Reality Or Reality-Competition Program - 2018,https://www.emmys.com/sites/default/files/styles/show_search/public/jane-lynch-bio-450x600.jpg?itok=CP_gk8PH,NA,Nominee,Hollywood Game Night,NBC,Universal Television with Hazy Mills and Mission Control Media,2018,236,2
Outstanding Host For A Reality Or Reality-Competition Program - 2018,https://www.emmys.com/sites/default/files/styles/show_search/public/Ru-Paul-Charles-bio-450x600.jpg?itok=_TXyMHpT,NA,Winner,RuPaul's Drag Race,VH1,World of Wonder Productions,2018,236,3
Outstanding Comedy Series - 2018,https://www.emmys.com/sites/default/files/styles/show_search/public/logos/logo-atlanta-300x300.jpg?itok=AXKQUctc,"Donald Glover, Executive Producer",Nominee,Atlanta,FX Networks,FX Productions,2018,236,4
Outstanding Comedy Series - 2018,https://www.emmys.com/sites/default/files/styles/show_search/public/logos/logo-atlanta-300x300.jpg?itok=AXKQUctc,"Paul Simms, Executive Producer",Nominee,Atlanta,FX Networks,FX Productions,2018,236,4
Outstanding Comedy Series - 2018,https://www.emmys.com/sites/default/files/styles/show_search/public/logos/logo-atlanta-300x300.jpg?itok=AXKQUctc,"Dianne McGunigle, Executive Producer",Nominee,Atlanta,FX Networks,FX Productions,2018,236,4
Outstanding Comedy Series - 2018,https://www.emmys.com/sites/default/files/styles/show_search/public/logos/logo-atlanta-300x300.jpg?itok=AXKQUctc,"Stephen Glover, Executive Producer",Nominee,Atlanta,FX Networks,FX Productions,2018,236,4
Outstanding Comedy Series - 2018,https://www.emmys.com/sites/default/files/styles/show_search/public/logos/logo-atlanta-300x300.jpg?itok=AXKQUctc,"Hiro Murai, Co-Executive Producer",Nominee,Atlanta,FX Networks,FX Productions,2018,236,4
Outstanding Comedy Series - 2018,https://www.emmys.com/sites/default/files/styles/show_search/public/logos/logo-atlanta-300x300.jpg?itok=AXKQUctc,"Stefani Robinson, Producer",Nominee,Atlanta,FX Networks,FX Productions,2018,236,4
Outstanding Comedy Series - 2018,https://www.emmys.com/sites/default/files/styles/show_search/public/logos/logo-atlanta-300x300.jpg?itok=AXKQUctc,"Alex Orr, Produced by",Nominee,Atlanta,FX Networks,FX Productions,2018,236,4
Outstanding Comedy Series - 2018,https://www.emmys.com/sites/default/files/styles/show_search/public/logos/barry-logo-600x600.jpg?itok=UHDemAOC,"Alec Berg, Executive Producer",Nominee,Barry,HBO,HBO Entertainment in association with Alec Berg and Hanarply,2018,236,5
Outstanding Comedy Series - 2018,https://www.emmys.com/sites/default/files/styles/show_search/public/logos/barry-logo-600x600.jpg?itok=UHDemAOC,"Bill Hader, Executive Producer",Nominee,Barry,HBO,HBO Entertainment in association with Alec Berg and Hanarply,2018,236,5
Outstanding Comedy Series - 2018,https://www.emmys.com/sites/default/files/styles/show_search/public/logos/barry-logo-600x600.jpg?itok=UHDemAOC,"Emily Heller, Producer",Nominee,Barry,HBO,HBO Entertainment in association with Alec Berg and Hanarply,2018,236,5
Outstanding Comedy Series - 2018,https://www.emmys.com/sites/default/files/styles/show_search/public/logos/barry-logo-600x600.jpg?itok=UHDemAOC,"Aida Rodgers, Produced by",Nominee,Barry,HBO,HBO Entertainment in association with Alec Berg and Hanarply,2018,236,5
Outstanding Comedy Series - 2018,https://www.emmys.com/sites/default/files/styles/show_search/public/logos/barry-logo-600x600.jpg?itok=UHDemAOC,"Liz Sarnoff, Consulting Producer",Nominee,Barry,HBO,HBO Entertainment in association with Alec Berg and Hanarply,2018,236,5
Outstanding Comedy Series - 2018,https://www.emmys.com/sites/default/files/styles/show_search/public/logos/logo-black-ish-2021-600x600.jpg?itok=9rdoPqFk,"Kenya Barris, Executive Producer",Nominee,black-ish,ABC,ABC Studios,2018,236,6
Outstanding Comedy Series - 2018,https://www.emmys.com/sites/default/files/styles/show_search/public/logos/logo-black-ish-2021-600x600.jpg?itok=9rdoPqFk,"Anthony Anderson, Executive Producer",Nominee,black-ish,ABC,ABC Studios,2018,236,6
Outstanding Comedy Series - 2018,https://www.emmys.com/sites/default/files/styles/show_search/public/logos/logo-black-ish-2021-600x600.jpg?itok=9rdoPqFk,"Laurence Fishburne, Executive Producer",Nominee,black-ish,ABC,ABC Studios,2018,236,6
Outstanding Comedy Series - 2018,https://www.emmys.com/sites/default/files/styles/show_search/public/logos/logo-black-ish-2021-600x600.jpg?itok=9rdoPqFk,"Helen Sugland, Executive Producer",Nominee,black-ish,ABC,ABC Studios,2018,236,6
Outstanding Comedy Series - 2018,https://www.emmys.com/sites/default/files/styles/show_search/public/logos/logo-black-ish-2021-600x600.jpg?itok=9rdoPqFk,"E. Brian Dobbins, Executive Producer",Nominee,black-ish,ABC,ABC Studios,2018,236,6
Outstanding Comedy Series - 2018,https://www.emmys.com/sites/default/files/styles/show_search/public/logos/logo-black-ish-2021-600x600.jpg?itok=9rdoPqFk,"Jonathan Groff, Executive Producer",Nominee,black-ish,ABC,ABC Studios,2018,236,6
Outstanding Comedy Series - 2018,https://www.emmys.com/sites/default/files/styles/show_search/public/logos/logo-black-ish-2021-600x600.jpg?itok=9rdoPqFk,"Corey Nickerson, Executive Producer",Nominee,black-ish,ABC,ABC Studios,2018,236,6
Outstanding Comedy Series - 2018,https://www.emmys.com/sites/default/files/styles/show_search/public/logos/logo-black-ish-2021-600x600.jpg?itok=9rdoPqFk,"Stacy Traub, Executive Producer",Nominee,black-ish,ABC,ABC Studios,2018,236,6
Outstanding Comedy Series - 2018,https://www.emmys.com/sites/default/files/styles/show_search/public/logos/logo-black-ish-2021-600x600.jpg?itok=9rdoPqFk,"Gail Lerner, Co-Executive Producer",Nominee,black-ish,ABC,ABC Studios,2018,236,6
Outstanding Comedy Series - 2018,https://www.emmys.com/sites/default/files/styles/show_search/public/logos/logo-black-ish-2021-600x600.jpg?itok=9rdoPqFk,"Courtney Lilly, Co-Executive Producer",Nominee,black-ish,ABC,ABC Studios,2018,236,6
Outstanding Comedy Series - 2018,https://www.emmys.com/sites/default/files/styles/show_search/public/logos/logo-black-ish-2021-600x600.jpg?itok=9rdoPqFk,"Jenifer Rice-Genzuk Henry, Co-Executive Producer",Nominee,black-ish,ABC,ABC Studios,2018,236,6
Outstanding Comedy Series - 2018,https://www.emmys.com/sites/default/files/styles/show_search/public/logos/logo-black-ish-2021-600x600.jpg?itok=9rdoPqFk,"Laura Gutin-Peterson, Co-Executive Producer",Nominee,black-ish,ABC,ABC Studios,2018,236,6
Outstanding Comedy Series - 2018,https://www.emmys.com/sites/default/files/styles/show_search/public/logos/logo-black-ish-2021-600x600.jpg?itok=9rdoPqFk,"Lindsey Shockley, Co-Executive Producer",Nominee,black-ish,ABC,ABC Studios,2018,236,6
Outstanding Comedy Series - 2018,https://www.emmys.com/sites/default/files/styles/show_search/public/logos/logo-black-ish-2021-600x600.jpg?itok=9rdoPqFk,"Peter Saji, Co-Executive Producer",Nominee,black-ish,ABC,ABC Studios,2018,236,6
Outstanding Comedy Series - 2018,https://www.emmys.com/sites/default/files/styles/show_search/public/logos/logo-black-ish-2021-600x600.jpg?itok=9rdoPqFk,"Sam Laybourne, Co-Executive Producer",Nominee,black-ish,ABC,ABC Studios,2018,236,6
Outstanding Comedy Series - 2018,https://www.emmys.com/sites/default/files/styles/show_search/public/logos/logo-black-ish-2021-600x600.jpg?itok=9rdoPqFk,"Christian Lander, Supervising Producer",Nominee,black-ish,ABC,ABC Studios,2018,236,6
Outstanding Comedy Series - 2018,https://www.emmys.com/sites/default/files/styles/show_search/public/logos/logo-black-ish-2021-600x600.jpg?itok=9rdoPqFk,"Michael Petok, Produced by",Nominee,black-ish,ABC,ABC Studios,2018,236,6
Outstanding Comedy Series - 2018,https://www.emmys.com/sites/default/files/styles/show_search/public/2013/08/Curb-Your-Enthusiasm-w0718_0.jpg?itok=BDDhIdyZ,"Larry David, Executive Producer",Nominee,Curb Your Enthusiasm,HBO,HBO Entertainment,2018,236,7
Outstanding Comedy Series - 2018,https://www.emmys.com/sites/default/files/styles/show_search/public/2013/08/Curb-Your-Enthusiasm-w0718_0.jpg?itok=BDDhIdyZ,"Jeff Garlin, Executive Producer",Nominee,Curb Your Enthusiasm,HBO,HBO Entertainment,2018,236,7
Outstanding Comedy Series - 2018,https://www.emmys.com/sites/default/files/styles/show_search/public/2013/08/Curb-Your-Enthusiasm-w0718_0.jpg?itok=BDDhIdyZ,"Jeff Schaffer, Executive Producer",Nominee,Curb Your Enthusiasm,HBO,HBO Entertainment,2018,236,7
Outstanding Comedy Series - 2018,https://www.emmys.com/sites/default/files/styles/show_search/public/2013/08/Curb-Your-Enthusiasm-w0718_0.jpg?itok=BDDhIdyZ,"Justin Hurwitz, Supervising Producer",Nominee,Curb Your Enthusiasm,HBO,HBO Entertainment,2018,236,7
Outstanding Comedy Series - 2018,https://www.emmys.com/sites/default/files/styles/show_search/public/2013/08/Curb-Your-Enthusiasm-w0718_0.jpg?itok=BDDhIdyZ,"Jon Hayman, Producer",Nominee,Curb Your Enthusiasm,HBO,HBO Entertainment,2018,236,7
Outstanding Comedy Series - 2018,https://www.emmys.com/sites/default/files/styles/show_search/public/2013/08/Curb-Your-Enthusiasm-w0718_0.jpg?itok=BDDhIdyZ,"Laura Streicher, Producer",Nominee,Curb Your Enthusiasm,HBO,HBO Entertainment,2018,236,7
Outstanding Comedy Series - 2018,https://www.emmys.com/sites/default/files/styles/show_search/public/2013/08/Curb-Your-Enthusiasm-w0718_0.jpg?itok=BDDhIdyZ,"Mychelle Deschamps, Produced by",Nominee,Curb Your Enthusiasm,HBO,HBO Entertainment,2018,236,7
Outstanding Comedy Series - 2018,https://www.emmys.com/sites/default/files/styles/show_search/public/shows/glow-logo-600x600.jpg?itok=IokwtOXM,"Jenji Kohan, Executive Producer",Nominee,GLOW,Netflix,"Glitter Pictures, LLC",2018,236,8
Outstanding Comedy Series - 2018,https://www.emmys.com/sites/default/files/styles/show_search/public/shows/glow-logo-600x600.jpg?itok=IokwtOXM,"Liz Flahive, Executive Producer",Nominee,GLOW,Netflix,"Glitter Pictures, LLC",2018,236,8
Outstanding Comedy Series - 2018,https://www.emmys.com/sites/default/files/styles/show_search/public/shows/glow-logo-600x600.jpg?itok=IokwtOXM,"Carly Mensch, Executive Producer",Nominee,GLOW,Netflix,"Glitter Pictures, LLC",2018,236,8
Outstanding Comedy Series - 2018,https://www.emmys.com/sites/default/files/styles/show_search/public/shows/glow-logo-600x600.jpg?itok=IokwtOXM,"Tara Herrmann, Executive Producer",Nominee,GLOW,Netflix,"Glitter Pictures, LLC",2018,236,8
Outstanding Comedy Series - 2018,https://www.emmys.com/sites/default/files/styles/show_search/public/shows/glow-logo-600x600.jpg?itok=IokwtOXM,"Mark A. Burley, Co-Executive Producer",Nominee,GLOW,Netflix,"Glitter Pictures, LLC",2018,236,8
Outstanding Comedy Series - 2018,https://www.emmys.com/sites/default/files/styles/show_search/public/shows/glow-logo-600x600.jpg?itok=IokwtOXM,"Nick Jones, Supervising Producer",Nominee,GLOW,Netflix,"Glitter Pictures, LLC",2018,236,8
Outstanding Comedy Series - 2018,https://www.emmys.com/sites/default/files/styles/show_search/public/shows/glow-logo-600x600.jpg?itok=IokwtOXM,"Sascha Rothchild, Producer",Nominee,GLOW,Netflix,"Glitter Pictures, LLC",2018,236,8
Outstanding Comedy Series - 2018,https://www.emmys.com/sites/default/files/styles/show_search/public/shows/glow-logo-600x600.jpg?itok=IokwtOXM,"Leanne Moore, Produced by",Nominee,GLOW,Netflix,"Glitter Pictures, LLC",2018,236,8
Outstanding Comedy Series - 2018,https://www.emmys.com/sites/default/files/styles/show_search/public/logos/maisel-20-600x600.jpg?itok=9xzpcHbK,"Amy Sherman-Palladino, Executive Producer",Winner,The Marvelous Mrs. Maisel,Prime Video,Amazon Studios,2018,236,9
Outstanding Comedy Series - 2018,https://www.emmys.com/sites/default/files/styles/show_search/public/logos/maisel-20-600x600.jpg?itok=9xzpcHbK,"Daniel Palladino, Executive Producer",Winner,The Marvelous Mrs. Maisel,Prime Video,Amazon Studios,2018,236,9
Outstanding Comedy Series - 2018,https://www.emmys.com/sites/default/files/styles/show_search/public/logos/maisel-20-600x600.jpg?itok=9xzpcHbK,"Sheila Lawrence, Co-Executive Producer",Winner,The Marvelous Mrs. Maisel,Prime Video,Amazon Studios,2018,236,9
Outstanding Comedy Series - 2018,https://www.emmys.com/sites/default/files/styles/show_search/public/logos/maisel-20-600x600.jpg?itok=9xzpcHbK,"Dhana Rivera Gilbert, Produced by",Winner,The Marvelous Mrs. Maisel,Prime Video,Amazon Studios,2018,236,9
Outstanding Comedy Series - 2018,https://www.emmys.com/sites/default/files/styles/show_search/public/silicon-valley-600x600_0.jpg?itok=hgzmReJ4,"Mike Judge, Executive Producer",Nominee,Silicon Valley,HBO,"HBO Entertainment in association with Judgemental Films, Alec Berg, 3 Arts Entertainment",2018,236,10
Outstanding Comedy Series - 2018,https://www.emmys.com/sites/default/files/styles/show_search/public/silicon-valley-600x600_0.jpg?itok=hgzmReJ4,"Alec Berg, Executive Producer",Nominee,Silicon Valley,HBO,"HBO Entertainment in association with Judgemental Films, Alec Berg, 3 Arts Entertainment",2018,236,10
Outstanding Comedy Series - 2018,https://www.emmys.com/sites/default/files/styles/show_search/public/silicon-valley-600x600_0.jpg?itok=hgzmReJ4,"Clay Tarver, Executive Producer",Nominee,Silicon Valley,HBO,"HBO Entertainment in association with Judgemental Films, Alec Berg, 3 Arts Entertainment",2018,236,10
Outstanding Comedy Series - 2018,https://www.emmys.com/sites/default/files/styles/show_search/public/silicon-valley-600x600_0.jpg?itok=hgzmReJ4,"Jim Kleverweis, Executive Producer",Nominee,Silicon Valley,HBO,"HBO Entertainment in association with Judgemental Films, Alec Berg, 3 Arts Entertainment",2018,236,10
Outstanding Comedy Series - 2018,https://www.emmys.com/sites/default/files/styles/show_search/public/silicon-valley-600x600_0.jpg?itok=hgzmReJ4,"Jamie Babbit, Executive Producer",Nominee,Silicon Valley,HBO,"HBO Entertainment in association with Judgemental Films, Alec Berg, 3 Arts Entertainment",2018,236,10
Outstanding Comedy Series - 2018,https://www.emmys.com/sites/default/files/styles/show_search/public/silicon-valley-600x600_0.jpg?itok=hgzmReJ4,"Anthony King, Co-Executive Producer",Nominee,Silicon Valley,HBO,"HBO Entertainment in association with Judgemental Films, Alec Berg, 3 Arts Entertainment",2018,236,10
Outstanding Comedy Series - 2018,https://www.emmys.com/sites/default/files/styles/show_search/public/silicon-valley-600x600_0.jpg?itok=hgzmReJ4,"Graham Wagner, Co-Executive Producer",Nominee,Silicon Valley,HBO,"HBO Entertainment in association with Judgemental Films, Alec Berg, 3 Arts Entertainment",2018,236,10
Outstanding Comedy Series - 2018,https://www.emmys.com/sites/default/files/styles/show_search/public/silicon-valley-600x600_0.jpg?itok=hgzmReJ4,"Ron Weiner, Co-Executive Producer",Nominee,Silicon Valley,HBO,"HBO Entertainment in association with Judgemental Films, Alec Berg, 3 Arts Entertainment",2018,236,10
Outstanding Comedy Series - 2018,https://www.emmys.com/sites/default/files/styles/show_search/public/shows/unbreakable-kimmy-schmidt-600x600.png?itok=f8fKfU8O,"Tina Fey, Executive Producer",Nominee,Unbreakable Kimmy Schmidt,Netflix,"Universal Television, Little Stranger, Inc., 3 Arts Entertainment, Bevel Gears",2018,237,1
Outstanding Comedy Series - 2018,https://www.emmys.com/sites/default/files/styles/show_search/public/shows/unbreakable-kimmy-schmidt-600x600.png?itok=f8fKfU8O,"Robert Carlock, Executive Producer",Nominee,Unbreakable Kimmy Schmidt,Netflix,"Universal Television, Little Stranger, Inc., 3 Arts Entertainment, Bevel Gears",2018,237,1
Outstanding Comedy Series - 2018,https://www.emmys.com/sites/default/files/styles/show_search/public/shows/unbreakable-kimmy-schmidt-600x600.png?itok=f8fKfU8O,"Jeff Richmond, Executive Producer",Nominee,Unbreakable Kimmy Schmidt,Netflix,"Universal Television, Little Stranger, Inc., 3 Arts Entertainment, Bevel Gears",2018,237,1
Outstanding Comedy Series - 2018,https://www.emmys.com/sites/default/files/styles/show_search/public/shows/unbreakable-kimmy-schmidt-600x600.png?itok=f8fKfU8O,"David Miner, Executive Producer",Nominee,Unbreakable Kimmy Schmidt,Netflix,"Universal Television, Little Stranger, Inc., 3 Arts Entertainment, Bevel Gears",2018,237,1
Outstanding Comedy Series - 2018,https://www.emmys.com/sites/default/files/styles/show_search/public/shows/unbreakable-kimmy-schmidt-600x600.png?itok=f8fKfU8O,"Sam Means, Executive Producer",Nominee,Unbreakable Kimmy Schmidt,Netflix,"Universal Television, Little Stranger, Inc., 3 Arts Entertainment, Bevel Gears",2018,237,1
Outstanding Comedy Series - 2018,https://www.emmys.com/sites/default/files/styles/show_search/public/shows/unbreakable-kimmy-schmidt-600x600.png?itok=f8fKfU8O,"Dan Rubin, Co-Executive Producer",Nominee,Unbreakable Kimmy Schmidt,Netflix,"Universal Television, Little Stranger, Inc., 3 Arts Entertainment, Bevel Gears",2018,237,1
Outstanding Comedy Series - 2018,https://www.emmys.com/sites/default/files/styles/show_search/public/shows/unbreakable-kimmy-schmidt-600x600.png?itok=f8fKfU8O,"Leila Strachan, Co-Executive Producer",Nominee,Unbreakable Kimmy Schmidt,Netflix,"Universal Television, Little Stranger, Inc., 3 Arts Entertainment, Bevel Gears",2018,237,1
Outstanding Comedy Series - 2018,https://www.emmys.com/sites/default/files/styles/show_search/public/shows/unbreakable-kimmy-schmidt-600x600.png?itok=f8fKfU8O,"Eric Gurian, Co-Executive Producer",Nominee,Unbreakable Kimmy Schmidt,Netflix,"Universal Television, Little Stranger, Inc., 3 Arts Entertainment, Bevel Gears",2018,237,1
Outstanding Comedy Series - 2018,https://www.emmys.com/sites/default/files/styles/show_search/public/shows/unbreakable-kimmy-schmidt-600x600.png?itok=f8fKfU8O,"Meredith Scardino, Co-Executive Producer",Nominee,Unbreakable Kimmy Schmidt,Netflix,"Universal Television, Little Stranger, Inc., 3 Arts Entertainment, Bevel Gears",2018,237,1
Outstanding Comedy Series - 2018,https://www.emmys.com/sites/default/files/styles/show_search/public/shows/unbreakable-kimmy-schmidt-600x600.png?itok=f8fKfU8O,"Jerry Kupfer, Produced by",Nominee,Unbreakable Kimmy Schmidt,Netflix,"Universal Television, Little Stranger, Inc., 3 Arts Entertainment, Bevel Gears",2018,237,1
Outstanding Drama Series - 2018,https://www.emmys.com/sites/default/files/styles/show_search/public/the-americans-v2-600x600.png?itok=I1IYw4tg,"Joe Weisberg, Executive Producer",Nominee,The Americans,FX Networks,Fox 21 Television Studios and FX Productions,2018,237,2
Outstanding Drama Series - 2018,https://www.emmys.com/sites/default/files/styles/show_search/public/the-americans-v2-600x600.png?itok=I1IYw4tg,"Joel Fields, Executive Producer",Nominee,The Americans,FX Networks,Fox 21 Television Studios and FX Productions,2018,237,2
Outstanding Drama Series - 2018,https://www.emmys.com/sites/default/files/styles/show_search/public/the-americans-v2-600x600.png?itok=I1IYw4tg,"Chris Long, Executive Producer",Nominee,The Americans,FX Networks,Fox 21 Television Studios and FX Productions,2018,237,2
Outstanding Drama Series - 2018,https://www.emmys.com/sites/default/files/styles/show_search/public/the-americans-v2-600x600.png?itok=I1IYw4tg,"Graham Yost, Executive Producer",Nominee,The Americans,FX Networks,Fox 21 Television Studios and FX Productions,2018,237,2
Outstanding Drama Series - 2018,https://www.emmys.com/sites/default/files/styles/show_search/public/the-americans-v2-600x600.png?itok=I1IYw4tg,"Justin Falvey, Executive Producer",Nominee,The Americans,FX Networks,Fox 21 Television Studios and FX Productions,2018,237,2
Outstanding Drama Series - 2018,https://www.emmys.com/sites/default/files/styles/show_search/public/the-americans-v2-600x600.png?itok=I1IYw4tg,"Darryl Frank, Executive Producer",Nominee,The Americans,FX Networks,Fox 21 Television Studios and FX Productions,2018,237,2
