prize_year,category,prize,motivation,prize_share,laureate_id,laureate_type,full_name,birth_date,birth_city,birth_country,gender,organization_name,organization_city,organization_country,death_date,death_city,death_country
1936,Peace,The Nobel Peace Prize 1936,NA,1/1,501,Individual,Carlos Saavedra Lamas,1878-11-01,Buenos Aires,Argentina,Male,NA,NA,NA,1959-05-05,Buenos Aires,Argentina
1936,Physics,The Nobel Prize in Physics 1936,"""for his discovery of cosmic radiation""",1/2,42,Individual,Victor Franz Hess,1883-06-24,Peggau,Austria,Male,Innsbruck University,Innsbruck,Austria,1964-12-17,"Mount Verno, NY",United States of America
1936,Physics,The Nobel Prize in Physics 1936,"""for his discovery of the positron""",1/2,43,Individual,Carl David Anderson,1905-09-03,"New York, NY",United States of America,Male,California Institute of Technology (Caltech),"Pasadena, CA",United States of America,1991-01-11,"San Marino, CA",United States of America
1937,Chemistry,The Nobel Prize in Chemistry 1937,"""for his investigations on carbohydrates and vitamin C""",1/2,196,Individual,Walter Norman Haworth,1883-03-19,Chorley,United Kingdom,Male,Birmingham University,Birmingham,United Kingdom,1950-03-19,Birmingham,United Kingdom
1937,Chemistry,The Nobel Prize in Chemistry 1937,"""for his investigations on carotenoids, flavins and vitamins A and B2""",1/2,197,Individual,Paul Karrer,1889-04-21,Moscow,Russia,Male,University of Zurich,Zurich,Switzerland,1971-06-18,Zurich,Switzerland
1937,Literature,The Nobel Prize in Literature 1937,"""for the artistic power and truth with which he has depicted human conflict as well as some fundamental aspects of contemporary life in his novel-cycle <I>Les Thibault</I>""",1/1,609,Individual,Roger Martin du Gard,1881-03-23,Neuilly-sur-Seine,France,Male,NA,NA,NA,1958-08-22,Bellême,France
1937,Medicine,The Nobel Prize in Physiology or Medicine 1937,"""for his discoveries in connection with the biological combustion processes, with special reference to vitamin C and the catalysis of fumaric acid""",1/1,332,Individual,Albert von Szent-Györgyi Nagyrápolt,1893-09-16,Budapest,Austria-Hungary (Hungary),Male,Szeged University,Szeged,Hungary,1986-10-22,"Woods Hole, MA",United States of America
1937,Peace,The Nobel Peace Prize 1937,NA,1/1,502,Individual,"Cecil of Chelwood, Viscount (Lord Edgar Algernon Robert Gascoyne Cecil)",1864-09-14,London,United Kingdom,Male,NA,NA,NA,1958-11-24,Tunbridge Wells,United Kingdom
1937,Physics,The Nobel Prize in Physics 1937,"""for their experimental discovery of the diffraction of electrons by crystals""",1/2,44,Individual,Clinton Joseph Davisson,1881-10-22,"Bloomington, IL",United States of America,Male,Bell Telephone Laboratories,"New York, NY",United States of America,1958-02-01,"Charlottesville, VA",United States of America
1937,Physics,The Nobel Prize in Physics 1937,"""for their experimental discovery of the diffraction of electrons by crystals""",1/2,45,Individual,George Paget Thomson,1892-05-03,Cambridge,United Kingdom,Male,London University,London,United Kingdom,1975-09-10,Cambridge,United Kingdom
1938,Chemistry,The Nobel Prize in Chemistry 1938,"""for his work on carotenoids and vitamins""",1/1,198,Individual,Richard Kuhn,1900-12-03,Vienna,Austria-Hungary (Austria),Male,Kaiser-Wilhelm-Institut (now Max-Planck Institut) für Medizinische Forschung,Heidelberg,Germany,1967-07-31,Heidelberg,West Germany (Germany)
1938,Chemistry,The Nobel Prize in Chemistry 1938,"""for his work on carotenoids and vitamins""",1/1,198,Individual,Richard Kuhn,1900-12-03,Vienna,Austria-Hungary (Austria),Male,University of Heidelberg,Heidelberg,Germany,1967-07-31,Heidelberg,West Germany (Germany)
1938,Literature,The Nobel Prize in Literature 1938,"""for her rich and truly epic descriptions of peasant life in China and for her biographical masterpieces""",1/1,610,Individual,Pearl Buck,1892-06-26,"Hillsboro, WV",United States of America,Female,NA,NA,NA,1973-03-06,"Danby, VT",United States of America
1938,Medicine,The Nobel Prize in Physiology or Medicine 1938,"""for the discovery of the role played by the sinus and aortic mechanisms in the regulation of respiration""",1/1,333,Individual,Corneille Jean François Heymans,1892-03-28,Ghent,Belgium,Male,Ghent University,Ghent,Belgium,1968-07-18,Knokke,Belgium
1938,Peace,The Nobel Peace Prize 1938,NA,1/1,503,Organization,Office international Nansen pour les Réfugiés (Nansen International Office for Refugees),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1938,Physics,The Nobel Prize in Physics 1938,"""for his demonstrations of the existence of new radioactive elements produced by neutron irradiation, and for his related discovery of nuclear reactions brought about by slow neutrons""",1/1,46,Individual,Enrico Fermi,1901-09-29,Rome,Italy,Male,Rome University,Rome,Italy,1954-11-28,"Chicago, IL",United States of America
1939,Chemistry,The Nobel Prize in Chemistry 1939,"""for his work on sex hormones""",1/2,199,Individual,Adolf Friedrich Johann Butenandt,1903-03-24,Bremerhaven-Lehe,Germany,Male,Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Biochemie,Berlin-Dahlem,Germany,1995-01-18,Munich,Germany
1939,Chemistry,The Nobel Prize in Chemistry 1939,"""for his work on sex hormones""",1/2,199,Individual,Adolf Friedrich Johann Butenandt,1903-03-24,Bremerhaven-Lehe,Germany,Male,Berlin University,Berlin,Germany,1995-01-18,Munich,Germany
1939,Chemistry,The Nobel Prize in Chemistry 1939,"""for his work on polymethylenes and higher terpenes""",1/2,200,Individual,Leopold Ruzicka,1887-09-13,Vukovar,Austria-Hungary (Croatia),Male,Eidgenössische Technische Hochschule (Swiss Federal Institute of Technology),Zurich,Switzerland,1976-09-26,Zurich,Switzerland
1939,Literature,The Nobel Prize in Literature 1939,"""for his deep understanding of his country's peasantry and the exquisite art with which he has portrayed their way of life and their relationship with Nature""",1/1,613,Individual,Frans Eemil Sillanpää,1888-09-16,Hämeenkyrö,Russian Empire (Finland),Male,NA,NA,NA,1964-06-03,Helsinki,Finland
1939,Medicine,The Nobel Prize in Physiology or Medicine 1939,"""for the discovery of the antibacterial effects of prontosil""",1/1,334,Individual,Gerhard Domagk,1895-10-30,Lagow,Germany (Poland),Male,Munster University,Munster,Germany,1964-04-24,Burgberg,West Germany (Germany)
1939,Physics,The Nobel Prize in Physics 1939,"""for the invention and development of the cyclotron and for results obtained with it, especially with regard to artificial radioactive elements""",1/1,47,Individual,Ernest Orlando Lawrence,1901-08-08,"Canton, SD",United States of America,Male,University of California,"Berkeley, CA",United States of America,1958-08-27,"Palo Alto, CA",United States of America
1943,Chemistry,The Nobel Prize in Chemistry 1943,"""for his work on the use of isotopes as tracers in the study of chemical processes""",1/1,201,Individual,George de Hevesy,1885-08-01,Budapest,Austria-Hungary (Hungary),Male,Stockholm University,Stockholm,Sweden,1966-07-05,Freiburg im Breisgau,West Germany (Germany)
1943,Medicine,The Nobel Prize in Physiology or Medicine 1943,"""for his discovery of vitamin K""",1/2,335,Individual,Henrik Carl Peter Dam,1895-02-21,Copenhagen,Denmark,Male,Polytechnic Institute,Copenhagen,Denmark,1976-04-17,Copenhagen,Denmark
1943,Medicine,The Nobel Prize in Physiology or Medicine 1943,"""for his discovery of the chemical nature of vitamin K""",1/2,336,Individual,Edward Adelbert Doisy,1893-11-13,"Hume, IL",United States of America,Male,Saint Louis University,"St. Louis, MO",United States of America,1986-10-23,"St. Louis, MO",United States of America
1943,Physics,The Nobel Prize in Physics 1943,"""for his contribution to the development of the molecular ray method and his discovery of the magnetic moment of the proton""",1/1,48,Individual,Otto Stern,1888-02-17,Sorau (Zory),Germany (Poland),Male,Carnegie Institute of Technology,"Pittsburgh, PA",United States of America,1969-08-17,"Berkeley, CA",United States of America
1944,Chemistry,The Nobel Prize in Chemistry 1944,"""for his discovery of the fission of heavy nuclei""",1/1,202,Individual,Otto Hahn,1879-03-08,Frankfurt-on-the-Main,Germany,Male,Kaiser-Wilhelm-Institut (now Max-Planck Institut) für Chemie,Berlin-Dahlem,Germany,1968-07-28,Göttingen,West Germany (Germany)
1944,Literature,The Nobel Prize in Literature 1944,"""for the rare strength and fertility of his poetic imagination with which is combined an intellectual curiosity of wide scope and a bold, freshly creative style""",1/1,614,Individual,Johannes Vilhelm Jensen,1873-01-20,Farsø,Denmark,Male,NA,NA,NA,1950-11-25,Copenhagen,Denmark
1944,Medicine,The Nobel Prize in Physiology or Medicine 1944,"""for their discoveries relating to the highly differentiated functions of single nerve fibres""",1/2,337,Individual,Joseph Erlanger,1874-01-05,"San Francisco, CA",United States of America,Male,Washington University,"St. Louis, MO",United States of America,1965-12-05,"St. Louis, MO",United States of America
1944,Medicine,The Nobel Prize in Physiology or Medicine 1944,"""for their discoveries relating to the highly differentiated functions of single nerve fibres""",1/2,338,Individual,Herbert Spencer Gasser,1888-07-05,"Platteville, WI",United States of America,Male,Rockefeller Institute for Medical Research,"New York, NY",United States of America,1963-05-11,"New York, NY",United States of America
1944,Peace,The Nobel Peace Prize 1944,NA,1/1,482,Organization,Comité international de la Croix Rouge (International Committee of the Red Cross),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1944,Physics,The Nobel Prize in Physics 1944,"""for his resonance method for recording the magnetic properties of atomic nuclei""",1/1,49,Individual,Isidor Isaac Rabi,1898-07-29,Rymanow,Austria-Hungary (Poland),Male,Columbia University,"New York, NY",United States of America,1988-01-11,"New York, NY",United States of America
1945,Chemistry,The Nobel Prize in Chemistry 1945,"""for his research and inventions in agricultural and nutrition chemistry, especially for his fodder preservation method""",1/1,203,Individual,Artturi Ilmari Virtanen,1895-01-15,Helsinki,Russian Empire (Finland),Male,University of Helsinki,Helsinki,Finland,1973-11-11,Helsinki,Finland
1945,Literature,The Nobel Prize in Literature 1945,"""for her lyric poetry which, inspired by powerful emotions, has made her name a symbol of the idealistic aspirations of the entire Latin American world""",1/1,615,Individual,Gabriela Mistral,1889-04-07,Vicuña,Chile,Female,NA,NA,NA,1957-01-10,"Hempstead, NY",United States of America
1945,Medicine,The Nobel Prize in Physiology or Medicine 1945,"""for the discovery of penicillin and its curative effect in various infectious diseases""",1/3,339,Individual,Sir Alexander Fleming,1881-08-06,Lochfield,Scotland,Male,London University,London,United Kingdom,1955-03-11,London,United Kingdom
1945,Medicine,The Nobel Prize in Physiology or Medicine 1945,"""for the discovery of penicillin and its curative effect in various infectious diseases""",1/3,340,Individual,Ernst Boris Chain,1906-06-19,Berlin,Germany,Male,University of Oxford,Oxford,United Kingdom,1979-08-12,Mulrany,Ireland
1945,Medicine,The Nobel Prize in Physiology or Medicine 1945,"""for the discovery of penicillin and its curative effect in various infectious diseases""",1/3,341,Individual,Sir Howard Walter Florey,1898-09-24,Adelaide,Australia,Male,University of Oxford,Oxford,United Kingdom,1968-02-21,Oxford,United Kingdom
1945,Peace,The Nobel Peace Prize 1945,NA,1/1,505,Individual,Cordell Hull,1871-10-02,"Olympus, TN",United States of America,Male,NA,NA,NA,1955-07-23,"Bethesda, MD",United States of America
1945,Physics,The Nobel Prize in Physics 1945,"""for the discovery of the Exclusion Principle, also called the Pauli Principle""",1/1,50,Individual,Wolfgang Pauli,1900-04-25,Vienna,Austria,Male,Princeton University,"Princeton, NJ",United States of America,1958-12-15,Zurich,Switzerland
1946,Chemistry,The Nobel Prize in Chemistry 1946,"""for his discovery that enzymes can be crystallized""",1/2,204,Individual,James Batcheller Sumner,1887-11-19,"Canton, MA",United States of America,Male,Cornell University,"Ithaca, NY",United States of America,1955-08-12,"Buffalo, NY",United States of America
1946,Chemistry,The Nobel Prize in Chemistry 1946,"""for their preparation of enzymes and virus proteins in a pure form""",1/4,205,Individual,John Howard Northrop,1891-07-05,"Yonkers, NY",United States of America,Male,Rockefeller Institute for Medical Research,"Princeton, NJ",United States of America,1987-05-27,"Wickenberg, AZ",United States of America
1946,Chemistry,The Nobel Prize in Chemistry 1946,"""for their preparation of enzymes and virus proteins in a pure form""",1/4,206,Individual,Wendell Meredith Stanley,1904-08-16,"Ridgeville, IN",United States of America,Male,Rockefeller Institute for Medical Research,"Princeton, NJ",United States of America,1971-06-15,Salamanca,Spain
1946,Literature,The Nobel Prize in Literature 1946,"""for his inspired writings which, while growing in boldness and penetration, exemplify the classical humanitarian ideals and high qualities of style""",1/1,617,Individual,Hermann Hesse,1877-07-02,Calw,Germany,Male,NA,NA,NA,1962-08-09,Montagnola,Switzerland
1946,Medicine,The Nobel Prize in Physiology or Medicine 1946,"""for the discovery of the production of mutations by means of X-ray irradiation""",1/1,342,Individual,Hermann Joseph Muller,1890-12-21,"New York, NY",United States of America,Male,Indiana University,"Bloomington, IN",United States of America,1967-04-05,NA,NA
1946,Peace,The Nobel Peace Prize 1946,NA,1/2,506,Individual,Emily Greene Balch,1867-01-08,"Jamaica Plain, MA (Boston)",United States of America,Female,NA,NA,NA,1961-01-09,"Cambridge, MA",United States of America
1946,Peace,The Nobel Peace Prize 1946,NA,1/2,507,Individual,John Raleigh Mott,1865-05-25,"Livingston Manor, NY",United States of America,Male,NA,NA,NA,1955-01-31,NA,United States of America
1946,Physics,The Nobel Prize in Physics 1946,"""for the invention of an apparatus to produce extremely high pressures, and for the discoveries he made therewith in the field of high pressure physics""",1/1,51,Individual,Percy Williams Bridgman,1882-04-21,"Cambridge, MA",United States of America,Male,Harvard University,"Cambridge, MA",United States of America,1961-08-20,"Randolph, NH",United States of America
1947,Chemistry,The Nobel Prize in Chemistry 1947,"""for his investigations on plant products of biological importance, especially the alkaloids""",1/1,207,Individual,Sir Robert Robinson,1886-09-13,"Rufford, near Chesterfield",United Kingdom,Male,University of Oxford,Oxford,United Kingdom,1975-02-08,Great Missenden,United Kingdom
1947,Literature,The Nobel Prize in Literature 1947,"""for his comprehensive and artistically significant writings, in which human problems and conditions have been presented with a fearless love of truth and keen psychological insight""",1/1,618,Individual,André Paul Guillaume Gide,1869-11-22,Paris,France,Male,NA,NA,NA,1951-02-19,Paris,France
1947,Medicine,The Nobel Prize in Physiology or Medicine 1947,"""for their discovery of the course of the catalytic conversion of glycogen""",1/4,343,Individual,Carl Ferdinand Cori,1896-12-05,Prague,Austria-Hungary (Czech Republic),Male,Washington University,"St. Louis, MO",United States of America,1984-10-20,"Cambridge, MA",United States of America
1947,Medicine,The Nobel Prize in Physiology or Medicine 1947,"""for their discovery of the course of the catalytic conversion of glycogen""",1/4,344,Individual,"Gerty Theresa Cori, née Radnitz",1896-08-15,Prague,Austria-Hungary (Czech Republic),Female,Washington University,"St. Louis, MO",United States of America,1957-10-26,"St. Louis, MO",United States of America
1947,Medicine,The Nobel Prize in Physiology or Medicine 1947,"""for his discovery of the part played by the hormone of the anterior pituitary lobe in the metabolism of sugar""",1/2,345,Individual,Bernardo Alberto Houssay,1887-04-10,Buenos Aires,Argentina,Male,Instituto de Biologia y Medicina Experimental (Institute for Biology and Experimental Medicine),Buenos Aires,Argentina,1971-09-21,Buenos Aires,Argentina
1947,Peace,The Nobel Peace Prize 1947,NA,1/2,508,Organization,Friends Service Council (The Quakers),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1947,Peace,The Nobel Peace Prize 1947,NA,1/2,509,Organization,American Friends Service Committee (The Quakers),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1947,Physics,The Nobel Prize in Physics 1947,"""for his investigations of the physics of the upper atmosphere especially for the discovery of the so-called Appleton layer""",1/1,52,Individual,Sir Edward Victor Appleton,1892-09-06,Bradford,United Kingdom,Male,Department of Scientific and Industrial Research,London,United Kingdom,1965-04-21,Edinburgh,Scotland
1948,Chemistry,The Nobel Prize in Chemistry 1948,"""for his research on electrophoresis and adsorption analysis, especially for his discoveries concerning the complex nature of the serum proteins""",1/1,208,Individual,Arne Wilhelm Kaurin Tiselius,1902-08-10,Stockholm,Sweden,Male,Uppsala University,Uppsala,Sweden,1971-10-29,Uppsala,Sweden
1948,Literature,The Nobel Prize in Literature 1948,"""for his outstanding, pioneer contribution to present-day poetry""",1/1,619,Individual,Thomas Stearns Eliot,1888-09-26,"St. Louis, MO",United States of America,Male,NA,NA,NA,1965-01-04,London,United Kingdom
1948,Medicine,The Nobel Prize in Physiology or Medicine 1948,"""for his discovery of the high efficiency of DDT as a contact poison against several arthropods""",1/1,346,Individual,Paul Hermann Müller,1899-01-12,Olten,Switzerland,Male,Laboratorium der Farben-Fabriken J.R. Geigy A.G. (Laboratory of the J.R. Geigy Dye-Factory Co.),Basel,Switzerland,1965-10-12,Basel,Switzerland
1948,Physics,The Nobel Prize in Physics 1948,"""for his development of the Wilson cloud chamber method, and his discoveries therewith in the fields of nuclear physics and cosmic radiation""",1/1,53,Individual,Patrick Maynard Stuart Blackett,1897-11-18,London,United Kingdom,Male,Victoria University,Manchester,United Kingdom,1974-07-13,London,United Kingdom
1949,Chemistry,The Nobel Prize in Chemistry 1949,"""for his contributions in the field of chemical thermodynamics, particularly concerning the behaviour of substances at extremely low temperatures""",1/1,209,Individual,William Francis Giauque,1895-05-12,Niagara Falls,Canada,Male,University of California,"Berkeley, CA",United States of America,1982-03-28,"Berkeley, CA",United States of America
1949,Literature,The Nobel Prize in Literature 1949,"""for his powerful and artistically unique contribution to the modern American novel""",1/1,620,Individual,William Faulkner,1897-09-25,"New Albany, MS",United States of America,Male,NA,NA,NA,1962-07-06,"Byhalia, MS",United States of America
1949,Medicine,The Nobel Prize in Physiology or Medicine 1949,"""for his discovery of the functional organization of the interbrain as a coordinator of the activities of the internal organs""",1/2,347,Individual,Walter Rudolf Hess,1881-03-17,Frauenfeld,Switzerland,Male,University of Zurich,Zurich,Switzerland,1973-08-12,Ascona,Switzerland
1949,Medicine,The Nobel Prize in Physiology or Medicine 1949,"""for his discovery of the therapeutic value of leucotomy in certain psychoses""",1/2,348,Individual,Antonio Caetano de Abreu Freire Egas Moniz,1874-11-29,Avanca,Portugal,Male,University of Lisbon,Lisbon,Portugal,1955-12-13,Lisbon,Portugal
1949,Medicine,The Nobel Prize in Physiology or Medicine 1949,"""for his discovery of the therapeutic value of leucotomy in certain psychoses""",1/2,348,Individual,Antonio Caetano de Abreu Freire Egas Moniz,1874-11-29,Avanca,Portugal,Male,Neurological Institute,Lisbon,Portugal,1955-12-13,Lisbon,Portugal
1949,Peace,The Nobel Peace Prize 1949,NA,1/1,510,Individual,Lord (John) Boyd Orr of Brechin,1880-09-23,Kilmaurs,Scotland,Male,NA,NA,NA,1971-06-25,Edzell,Scotland
1949,Physics,The Nobel Prize in Physics 1949,"""for his prediction of the existence of mesons on the basis of theoretical work on nuclear forces""",1/1,54,Individual,Hideki Yukawa,1907-01-23,Tokyo,Japan,Male,Kyoto Imperial University,Kyoto,Japan,1981-09-08,Kyoto,Japan
1949,Physics,The Nobel Prize in Physics 1949,"""for his prediction of the existence of mesons on the basis of theoretical work on nuclear forces""",1/1,54,Individual,Hideki Yukawa,1907-01-23,Tokyo,Japan,Male,Columbia University,"New York, NY",United States of America,1981-09-08,Kyoto,Japan
1950,Chemistry,The Nobel Prize in Chemistry 1950,"""for their discovery and development of the diene synthesis""",1/2,210,Individual,Otto Paul Hermann Diels,1876-01-23,Hamburg,Germany,Male,Kiel University,Kiel,Federal Republic of Germany,1954-03-07,Kiel,West Germany (Germany)
1950,Chemistry,The Nobel Prize in Chemistry 1950,"""for their discovery and development of the diene synthesis""",1/2,211,Individual,Kurt Alder,1902-07-10,Königshütte (Chorzów),Prussia (Poland),Male,Cologne University,Cologne,Federal Republic of Germany,1958-06-20,Cologne,West Germany (Germany)
1950,Literature,The Nobel Prize in Literature 1950,"""in recognition of his varied and significant writings in which he champions humanitarian ideals and freedom of thought""",1/1,621,Individual,Earl (Bertrand Arthur William) Russell,1872-05-18,Trelleck,United Kingdom,Male,NA,NA,NA,1970-02-02,Penrhyndeudraeth,United Kingdom
1950,Medicine,The Nobel Prize in Physiology or Medicine 1950,"""for their discoveries relating to the hormones of the adrenal cortex, their structure and biological effects""",1/3,349,Individual,Edward Calvin Kendall,1886-03-08,"South Norwalk, CT",United States of America,Male,Mayo Clinic,"Rochester, MN",United States of America,1972-05-04,"Princeton, NJ",United States of America
1950,Medicine,The Nobel Prize in Physiology or Medicine 1950,"""for their discoveries relating to the hormones of the adrenal cortex, their structure and biological effects""",1/3,350,Individual,Tadeus Reichstein,1897-07-20,Wloclawek,Poland,Male,Basel University,Basel,Switzerland,1996-08-01,Basel,Switzerland
1950,Medicine,The Nobel Prize in Physiology or Medicine 1950,"""for their discoveries relating to the hormones of the adrenal cortex, their structure and biological effects""",1/3,351,Individual,Philip Showalter Hench,1896-02-28,"Pittsburgh, PA",United States of America,Male,Mayo Clinic,"Rochester, MN",United States of America,1965-03-30,Ocho Rios,Jamaica
1950,Peace,The Nobel Peace Prize 1950,NA,1/1,511,Individual,Ralph Bunche,1904-08-07,"Detroit, MI",United States of America,Male,Harvard University,"Cambridge, MA",United States of America,1971-12-09,"New York, NY",United States of America
1950,Physics,The Nobel Prize in Physics 1950,"""for his development of the photographic method of studying nuclear processes and his discoveries regarding mesons made with this method""",1/1,55,Individual,Cecil Frank Powell,1903-12-05,Tonbridge,United Kingdom,Male,Bristol University,Bristol,United Kingdom,1969-08-09,NA,Italy
1951,Chemistry,The Nobel Prize in Chemistry 1951,"""for their discoveries in the chemistry of the transuranium elements""",1/2,212,Individual,Edwin Mattison McMillan,1907-09-18,"Redondo Beach, CA",United States of America,Male,University of California,"Berkeley, CA",United States of America,1991-09-07,"El Cerrito, CA",United States of America
1951,Chemistry,The Nobel Prize in Chemistry 1951,"""for their discoveries in the chemistry of the transuranium elements""",1/2,213,Individual,Glenn Theodore Seaborg,1912-04-19,"Ishpeming, MI",United States of America,Male,University of California,"Berkeley, CA",United States of America,1999-02-25,"Lafayette, CA",United States of America
1951,Literature,The Nobel Prize in Literature 1951,"""for the artistic vigour and true independence of mind with which he endeavours in his poetry to find answers to the eternal questions confronting mankind""",1/1,622,Individual,Pär Fabian Lagerkvist,1891-05-23,Växjö,Sweden,Male,NA,NA,NA,1974-07-11,Stockholm,Sweden
1951,Medicine,The Nobel Prize in Physiology or Medicine 1951,"""for his discoveries concerning yellow fever and how to combat it""",1/1,352,Individual,Max Theiler,1899-01-30,Pretoria,South Africa,Male,"Laboratories of the Division of Medicine and Public Health, Rockefeller Foundation","New York, NY",United States of America,1972-08-11,"New Haven, CT",United States of America
1951,Peace,The Nobel Peace Prize 1951,NA,1/1,512,Individual,Léon Jouhaux,1879-07-01,Paris,France,Male,NA,NA,NA,1954-04-28,Paris,France
1951,Physics,The Nobel Prize in Physics 1951,"""for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles""",1/2,56,Individual,Sir John Douglas Cockcroft,1897-05-27,Todmorden,United Kingdom,Male,Atomic Energy Research Establishment,"Harwell, Berkshire",United Kingdom,1967-09-18,Cambridge,United Kingdom
1951,Physics,The Nobel Prize in Physics 1951,"""for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles""",1/2,57,Individual,Ernest Thomas Sinton Walton,1903-10-06,Dungarvan,Ireland,Male,Trinity College,Dublin,Ireland,1995-06-25,Belfast,Northern Ireland
1952,Chemistry,The Nobel Prize in Chemistry 1952,"""for their invention of partition chromatography""",1/2,214,Individual,Archer John Porter Martin,1910-03-01,London,United Kingdom,Male,National Institute for Medical Research,London,United Kingdom,2002-07-28,Llangarron,United Kingdom
1952,Chemistry,The Nobel Prize in Chemistry 1952,"""for their invention of partition chromatography""",1/2,215,Individual,Richard Laurence Millington Synge,1914-10-28,Liverpool,United Kingdom,Male,Rowett Research Institute,Bucksburn (Scotland),United Kingdom,1994-08-18,Norwich,United Kingdom
1952,Literature,The Nobel Prize in Literature 1952,"""for the deep spiritual insight and the artistic intensity with which he has in his novels penetrated the drama of human life""",1/1,623,Individual,François Mauriac,1885-10-11,Bordeaux,France,Male,NA,NA,NA,1970-09-01,Paris,France
1952,Medicine,The Nobel Prize in Physiology or Medicine 1952,"""for his discovery of streptomycin, the first antibiotic effective against tuberculosis""",1/1,353,Individual,Selman Abraham Waksman,1888-07-22,Priluka (Nova Pryluka),Russian Empire (Ukraine),Male,Rutgers University,"New Brunswick, NJ",United States of America,1973-08-16,"Hyannis, MA",United States of America
1952,Peace,The Nobel Peace Prize 1952,NA,1/1,513,Individual,Albert Schweitzer,1875-01-14,Kaysersberg,Germany (France),Male,NA,NA,NA,1965-09-04,Lambaréné,Gabon
1952,Physics,The Nobel Prize in Physics 1952,"""for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith""",1/2,58,Individual,Felix Bloch,1905-10-23,Zurich,Switzerland,Male,Stanford University,"Stanford, CA",United States of America,1983-09-10,Zurich,Switzerland
1952,Physics,The Nobel Prize in Physics 1952,"""for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith""",1/2,59,Individual,Edward Mills Purcell,1912-08-30,"Taylorville, IL",United States of America,Male,Harvard University,"Cambridge, MA",United States of America,1997-03-07,"Cambridge, MA",United States of America
1953,Chemistry,The Nobel Prize in Chemistry 1953,"""for his discoveries in the field of macromolecular chemistry""",1/1,216,Individual,Hermann Staudinger,1881-03-23,Worms,Germany,Male,University of Freiburg,Breisgau,Federal Republic of Germany,1965-09-08,Freiburg im Breisgau,West Germany (Germany)
1953,Chemistry,The Nobel Prize in Chemistry 1953,"""for his discoveries in the field of macromolecular chemistry""",1/1,216,Individual,Hermann Staudinger,1881-03-23,Worms,Germany,Male,"Staatliches Institut für makromolekulare Chemie (State Research Institute for Macromolecular Chemistry), Freiburg",Breisgau,Federal Republic of Germany,1965-09-08,Freiburg im Breisgau,West Germany (Germany)
1953,Literature,The Nobel Prize in Literature 1953,"""for his mastery of historical and biographical description as well as for brilliant oratory in defending exalted human values""",1/1,624,Individual,Sir Winston Leonard Spencer Churchill,1874-11-30,Woodstock,United Kingdom,Male,NA,NA,NA,1965-01-24,London,United Kingdom
1953,Medicine,The Nobel Prize in Physiology or Medicine 1953,"""for his discovery of the citric acid cycle""",1/2,354,Individual,Hans Adolf Krebs,1900-08-25,Hildesheim,Germany,Male,Sheffield University,Sheffield,United Kingdom,1981-11-22,Oxford,United Kingdom
1953,Medicine,The Nobel Prize in Physiology or Medicine 1953,"""for his discovery of co-enzyme A and its importance for intermediary metabolism""",1/2,355,Individual,Fritz Albert Lipmann,1899-06-12,Koenigsberg (Kaliningrad),Germany (Russia),Male,Harvard Medical School,"Boston, MA",United States of America,1986-07-24,"Poughkeepsie, NY",United States of America
1953,Medicine,The Nobel Prize in Physiology or Medicine 1953,"""for his discovery of co-enzyme A and its importance for intermediary metabolism""",1/2,355,Individual,Fritz Albert Lipmann,1899-06-12,Koenigsberg (Kaliningrad),Germany (Russia),Male,Massachusetts General Hospital,"Boston, MA",United States of America,1986-07-24,"Poughkeepsie, NY",United States of America
1953,Peace,The Nobel Peace Prize 1953,NA,1/1,514,Individual,George Catlett Marshall,1880-12-31,"Uniontown, PA",United States of America,Male,NA,NA,NA,1959-10-16,"Washington, DC",United States of America
1953,Physics,The Nobel Prize in Physics 1953,"""for his demonstration of the phase contrast method, especially for his invention of the phase contrast microscope""",1/1,60,Individual,Frits Zernike,1888-07-16,Amsterdam,Netherlands,Male,Groningen University,Groningen,Netherlands,1966-03-10,Groningen,Netherlands
1954,Chemistry,The Nobel Prize in Chemistry 1954,"""for his research into the nature of the chemical bond and its application to the elucidation of the structure of complex substances""",1/1,217,Individual,Linus Carl Pauling,1901-02-28,"Portland, OR",United States of America,Male,California Institute of Technology (Caltech),"Pasadena, CA",United States of America,1994-08-19,"Big Sur, CA",United States of America
1954,Literature,The Nobel Prize in Literature 1954,"""for his mastery of the art of narrative, most recently demonstrated in <I>The Old Man and the Sea,</I> and for the influence that he has exerted on contemporary style""",1/1,625,Individual,Ernest Miller Hemingway,1899-07-21,"Oak Park, IL",United States of America,Male,NA,NA,NA,1961-07-02,"Ketchum, ID",United States of America
1954,Medicine,The Nobel Prize in Physiology or Medicine 1954,"""for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue""",1/3,356,Individual,John Franklin Enders,1897-02-10,"West Hartford, CT",United States of America,Male,Harvard Medical School,"Boston, MA",United States of America,1985-09-08,"Waterford, CT",United States of America
