license_issue_date,license_number,animals_name,species,primary_breed,secondary_breed,zip_code
February 07 2017,S127581,Oscar,Dog,"Terrier, Welsh",NA,98103
September 06 2017,271790,Joey,Dog,"Chihuahua, Short Coat",Mix,98115
October 25 2016,S122805,Rochi,Dog,Dalmatian,NA,98199
November 17 2017,S135406,Flint,Dog,German Shepherd,NA,98109
December 02 2016,S125674,Spike,Dog,"Terrier, Jack Russell","Chihuahua, Short Coat",98116
September 17 2018,8000983,Lucy,Dog,"Retriever, Flat-Coated",NA,98144
June 27 2018,356360,Brigsby,Dog,"Retriever, Labrador",NA,98115
January 22 2018,S127446,Luna,Dog,"Poodle, Miniature",NA,98136
June 05 2018,S112241,Siyah,Cat,Domestic Shorthair,Mix,98109
January 10 2017,29941,Marshawn,Dog,"Bulldog, French",NA,98115
January 24 2018,S109789,Cayenne,Dog,"Terrier, Boston",NA,98117
July 11 2017,215747,Jasper Jett,Dog,"Chihuahua, Long Coat",NA,98146
August 15 2017,S134199,Jetta,Dog,Shepherd,Rottweiler,98117
January 06 2018,S109800,Pontus,Dog,"Terrier, Fox, Toy",NA,98103
November 07 2017,S103444,Reshi,Cat,Domestic Medium Hair,Mix,98115
August 31 2018,724558,Garrison,Cat,Domestic Medium Hair,NA,98116
August 07 2017,584668,Buster,Dog,Doberman Pinscher,Shepherd,98105
January 19 2018,S127384,Sadie,Dog,Great Dane,NA,98144
October 01 2018,8001466,Caroline,Cat,Domestic Longhair,Mix,98125
March 08 2018,75889,Ginger,Dog,Australian Kelpie,NA,98136
July 07 2018,S145013,NA,Cat,Domestic Medium Hair,Mix,98101
April 12 2018,S114197,Zoe,Dog,"Terrier, Pit Bull",NA,98146-1067
April 19 2018,S110415,Gojiberry,Dog,Shih Tzu,NA,98126
May 29 2018,278186,Ozzie,Dog,Australian Shepherd,"Collie, Smooth",98126
September 16 2017,S134235,Angel,Cat,Domestic Shorthair,NA,98122
November 14 2017,577597,Zoe,Cat,Domestic Medium Hair,NA,98109
December 21 2017,S138893,Didi,Dog,Siberian Husky,Mix,98125
September 11 2018,8000842,Bailey Reese,Dog,Hound,NA,98109
February 24 2018,75132,Diva,Cat,Domestic Shorthair,NA,98115
December 19 2017,S138986,Brody,Dog,German Shepherd,NA,98115
May 09 2017,284989,Sparrow,Cat,Maine Coon,Domestic Shorthair,98103
August 29 2018,8000440,Perrie,Dog,Pug,NA,98117
September 04 2018,8000633,Lil' Bit,Cat,Domestic Medium Hair,NA,98144
October 07 2018,S115029,Ein,Dog,"Welsh Corgi, Pembroke",NA,98109
December 13 2017,S137466,Ruby,Dog,Xoloitzcuintli,NA,98112
September 10 2018,8000826,Stella,Cat,Domestic Shorthair,Mix,98122
July 11 2018,S143294,Benny,Dog,Terrier,Mix,98199
December 06 2017,S107488,Esther,Dog,"Welsh Corgi, Pembroke",NA,98117
January 16 2018,284710,Autumn,Cat,Domestic Shorthair,NA,98102
March 21 2018,899803,Bronson,Dog,"Terrier, Rat",Miniature Pinscher,98106
February 22 2018,83733,Godric,Dog,"Terrier, Soft Coated Wheaten",NA,98107
July 16 2018,S147036,Ladybug,Dog,"Chihuahua, Short Coat",Pug,98119
March 21 2018,S140823,Cha Cha,Dog,Pomeranian,Mix,98122
October 14 2018,S121867,Yoda,Cat,American Shorthair,NA,98112
July 07 2018,350285,Fanta,Cat,Domestic Shorthair,NA,98177
July 17 2018,S147088,Nikka Su,Dog,Pug,NA,98103
March 20 2018,S114620,Bacon,Dog,"Retriever, Labrador",NA,98122
March 23 2017,S128772,Nora,Dog,"Retriever, Labrador","Terrier, Pit Bull",98109
November 09 2017,S138239,Porter,Dog,"Retriever, Labrador",NA,98117
February 05 2018,S140375,Phoebe,Dog,"Retriever, Golden",NA,98117
March 18 2017,S128290,Boo,Cat,Domestic Shorthair,Mix,98105
May 20 2017,276839,Princess,Cat,Domestic Shorthair,NA,98108
July 05 2017,349865,NA,Cat,Siamese,Mix,98106
December 14 2017,897332,Muffin,Cat,Domestic Shorthair,NA,98133
June 05 2018,133891,Pepper,Cat,Bombay,NA,98136
May 28 2017,S130488,Buddy,Cat,Domestic Shorthair,Mix,98119
May 17 2018,S127967,Joe,Dog,Coonhound,NA,98115
December 12 2017,26010,Luna,Dog,"Poodle, Miniature","Chihuahua, Short Coat",98118
April 27 2018,S101654,Milo,Dog,"Mixed Breed, Medium (up to 44 lbs fully grown)",Mix,98105
May 07 2018,132290,Chloe,Dog,"Terrier, Soft Coated Wheaten",NA,98106
April 12 2017,216673,Toby,Dog,Australian Shepherd,NA,98105
June 19 2018,S144724,Finn,Dog,"Australian Shepherd, Miniature",NA,98122
August 29 2018,8000442,Ginger,Dog,Australian Cattle Dog,Mix,98108
April 25 2018,214029,Gus,Dog,Australian Cattle Dog,NA,98118
April 27 2018,S143233,Rocky,Dog,"Poodle, Miniature","Retriever, Golden",98117
May 08 2018,S143534,Apollo,Cat,Domestic Longhair,NA,98107
May 15 2018,S115525,Chiana,Cat,Domestic Medium Hair,NA,98121
January 19 2018,24766,Bella,Dog,Beagle,Basset Hound,98117
March 01 2018,S141152,Gustaf,Cat,Domestic Shorthair,NA,98115
January 09 2017,16011,Ellie,Dog,Pug,NA,98177
June 18 2018,123275,Gumby,Cat,Domestic Longhair,NA,98117
April 18 2018,S103315,Mischa,Dog,"Retriever, Labrador",NA,98116
April 17 2018,S113521,Ginger,Dog,"Australian Shepherd, Miniature",NA,98103
January 28 2018,S139672,Koda,Dog,Terrier,"Chihuahua, Short Coat",98104
August 15 2017,S134123,Koa Walker,Dog,Shepherd,Terrier,98177
April 17 2018,282510,Violet,Cat,Domestic Medium Hair,NA,98144
June 14 2017,345477,Kuro,Cat,Domestic Medium Hair,NA,98106
March 12 2018,284576,Sweet Pea,Dog,"Chihuahua, Short Coat",NA,98107
May 30 2018,S115681,Lilith Lightning,Cat,Siamese,Russian Blue,98107
September 08 2018,8000757,Taki,Cat,Domestic Medium Hair,Mix,98125
September 21 2018,8001143,Mateo,Cat,Domestic Shorthair,Mix,98102
January 31 2018,24832,Maggie,Dog,"Terrier, Yorkshire",NA,98122
September 28 2017,S102846,Fritz,Dog,"Schnauzer, Miniature","Poodle, Miniature",98125
April 03 2018,S112245,Rocky,Dog,Terrier,Mix,98117
April 06 2018,833056,Mars,Cat,Domestic Shorthair,NA,98107
March 23 2018,128336,Onyx,Cat,Domestic Shorthair,NA,98112
November 01 2016,24363,Yuki,Dog,Bichon Frise,NA,98178
June 29 2017,284669,Olmo,Dog,Border Collie,"Retriever, Labrador",98199
April 13 2017,203693,Hamilton,Cat,Domestic Medium Hair,NA,98112
December 17 2017,S100847,Bella,Cat,Domestic Shorthair,Mix,98126
August 19 2017,208090,Issabella,Cat,American Shorthair,NA,98125
April 19 2018,85006,Manny,Cat,Domestic Shorthair,NA,98146
September 14 2018,S136185,Belle,Cat,Domestic Shorthair,NA,98119
September 05 2017,S135217,Rocketman,Dog,Portuguese Water Dog,NA,98125
August 18 2018,8000174,Mabel,Dog,"Dachshund, Miniature Long Haired",NA,98122
June 22 2018,206858,Cinnamon,Dog,Terrier,"Poodle, Miniature",98103
August 07 2017,S102106,Leia,Dog,Boxer,"Terrier, American Pit Bull",98117
July 18 2018,S147135,Logan,Dog,Border Collie,NA,98118
May 30 2018,273575,Pinefur,Cat,LaPerm,NA,98126
December 14 2017,S106841,Joshua,Dog,Hound,NA,98144
November 15 2016,S124507,Wilbur,Dog,Basset Hound,NA,98105
September 13 2017,17375,Tiger,Cat,LaPerm,NA,98133
May 06 2017,S130177,Willow,Cat,Domestic Shorthair,Mix,98107
September 25 2018,8001263,Little Grey,Cat,Domestic Shorthair,NA,98112
October 09 2017,824973,Zoie,Cat,Domestic Medium Hair,NA,98117
January 12 2016,S109290,Zuko,Dog,Rottweiler,Mix,98116
September 23 2018,8001208,Hendrix,Dog,Pomeranian,NA,98126
October 13 2018,8001830,Monty,Dog,"Bulldog, French",NA,98121
May 11 2018,S143608,Haku,Dog,Shiba Inu,NA,98125
January 16 2018,28573,Lucy,Cat,Domestic Medium Hair,NA,98177
June 04 2018,284544,Abby,Cat,American Shorthair,NA,98103
June 28 2018,S145352,Juniper Luna,Dog,"Terrier, American Staffordshire","Brittany, French",98119
May 30 2018,358791,Maya,Dog,Italian Greyhound,NA,98117
November 16 2017,S104073,Vanessa,Dog,"Bulldog, English",Mix,98136
December 05 2017,954532,Pixie,Cat,Domestic Shorthair,NA,98125
April 24 2018,83587,Nellie,Cat,Domestic Shorthair,NA,98116
September 26 2017,579080,Obi,Cat,American Shorthair,NA,98133
August 10 2018,432438,Pucchi,Dog,"Chihuahua, Short Coat",Miniature Pinscher,98144
March 16 2018,S141534,Annie  (Tabby),Cat,Domestic Shorthair,NA,98103
October 26 2017,S137519,Bean,Cat,Domestic Shorthair,Mix,98107
September 19 2018,S118603,Dorian,Dog,Coton de Tulear,NA,98108
May 16 2018,S143829,Patton,Dog,"Terrier, Bull",NA,98109
April 13 2017,S129525,Ringo,Dog,Lhasa Apso,NA,98112
April 20 2018,S128086,Charlie,Dog,"Terrier, Parson Russell",Mix,98112
December 15 2016,957195,Sadie Mae,Dog,"Retriever, Golden",NA,98101
March 27 2018,139919,Quinn,Dog,Alaskan Malamute,NA,98126
October 31 2017,820462,Sarah,Dog,Bichon Frise,NA,98133
September 19 2017,S135926,Betty,Dog,Boxer,NA,98107
October 31 2017,S137761,Poppy,Dog,"Dachshund, Standard Smooth Haired","Terrier, Fox, Smooth",98103
December 19 2016,953254,Benny,Cat,Domestic Shorthair,NA,98112
December 05 2017,956893,Tucker,Dog,"Welsh Corgi, Pembroke",NA,98117
July 31 2018,S120482,Penne,Cat,Domestic Shorthair,NA,98115
October 07 2018,731035,Abby,Dog,"Retriever, Golden",NA,98116
February 16 2018,S110706,Kiki,Dog,"Terrier, Pit Bull",NA,98116
June 26 2018,438716,K D,Dog,"Terrier, Cairn",NA,98112
May 25 2017,S131401,Murphy,Dog,"Retriever, Golden","Poodle, Standard",98115
March 02 2018,77277,Shane,Cat,Domestic Shorthair,NA,98115
March 20 2018,127157,Zucca,Dog,"Dachshund, Standard Smooth Haired",NA,98121
December 16 2017,S108463,Charlotte,Cat,Domestic Shorthair,Mix,98125
June 12 2018,279435,Ruth,Dog,"Retriever, Labrador",Australian Shepherd,98115
March 12 2017,134736,Tucker,Cat,Domestic Shorthair,NA,98144
June 29 2018,S145304,Bowie,Dog,Australian Shepherd,Maltese,98115
May 16 2017,276729,Malcolm,Cat,Domestic Shorthair,NA,98116
January 31 2018,904590,Benny,Dog,"Terrier, Australian",NA,98115
March 21 2017,122944,Sazjha,Cat,Domestic Longhair,NA,98103
July 20 2018,S128860,Lulu,Dog,"Bulldog, English",NA,98101
October 26 2017,819930,Pepper,Dog,"Schnauzer, Miniature","Dachshund, Standard Smooth Haired",98115
October 06 2018,8001566,Thea,Dog,"Poodle, Miniature",Mix,98136
January 31 2018,S109736,Bailey,Dog,Boxer,NA,98107
December 13 2016,961163,Penny,Dog,Bichon Frise,Shih Tzu,98136
April 05 2018,S141944,Akari,Cat,Persian,NA,98121
April 10 2017,215683,Dixie,Dog,Shepherd,NA,98117
November 28 2017,S138435,Nobu,Cat,Siamese,NA,98144
June 27 2018,S145349,Scooter,Dog,"Retriever, Golden","Poodle, Miniature",98112
June 19 2018,359306,Lola,Dog,Lhasa Apso,NA,98117
July 14 2017,S131494,Maddie,Dog,"Terrier, American Staffordshire",Mix,98118
October 02 2018,S136392,Chico,Dog,Beagle,Spaniel,98109
August 16 2018,8000130,Lilly,Cat,Domestic Shorthair,Mix,98121
March 01 2018,S141112,Bubu,Dog,"Chihuahua, Short Coat",Pug,98146
April 20 2018,S111113,Oliver,Dog,"Retriever, Labrador","Terrier, American Pit Bull",98112
June 06 2017,S145926,Scout,Dog,German Shepherd,Mix,98115
February 13 2018,S140509,Luna,Cat,American Shorthair,NA,98133
June 21 2018,S144960,Lua,Dog,"Retriever, Labrador",Chow Chow,98115
September 13 2018,581331,Jet,Dog,"Chihuahua, Short Coat",Mix,98126
January 30 2018,959632,Dresden,Dog,"Retriever, Labrador",NA,98122
June 25 2018,S145134,Roo,Cat,Domestic Shorthair,NA,98122
September 17 2018,584008,Charlie,Dog,"Spaniel, Cavalier King Charles",NA,98115
May 11 2017,272516,Isabel,Cat,Domestic Shorthair,NA,98117
July 17 2018,S116410,Luka,Dog,Canaan,Mix,98117
May 10 2018,136871,Delo,Dog,Maltese,"Poodle, Miniature",98107
June 26 2018,S117416,Benji,Cat,Domestic Shorthair,Mix,98107
May 14 2018,277287,Touchdown,Cat,Ragdoll,NA,98115
June 15 2018,S128856,Simba Alan,Dog,"Chihuahua, Short Coat",Mix,98117
November 14 2017,S106609,Jax,Dog,"Chihuahua, Short Coat",Beagle,98144
April 15 2017,196471,Holly,Dog,"Dachshund, Standard Smooth Haired",NA,98199
April 15 2017,204950,Quincy,Cat,Ragdoll,NA,98177
March 01 2017,74433,Mr Darcy,Cat,Domestic Shorthair,NA,98199
May 19 2017,277186,Micky,Cat,Domestic Medium Hair,NA,98115
December 26 2017,S107570,Wedge,Cat,Domestic Shorthair,NA,98102
August 16 2018,S145952,Yana,Dog,"Vizsla, Smooth Haired",Mix,98199
December 07 2017,905292,Kali,Cat,Domestic Shorthair,NA,98133
August 15 2017,904707,Boomer,Dog,Australian Shepherd,NA,98106
January 31 2018,19515,Fulita Flavia,Dog,"Chihuahua, Short Coat",NA,98119
June 13 2017,S132325,Barley,Dog,Catahoula Leopard dog,Australian Cattle Dog,98126
July 25 2017,S133315,Marley,Dog,Shih Tzu,NA,98115
July 26 2018,730907,Nala,Dog,Terrier,NA,98122
September 23 2018,S121340,Tarty,Cat,Domestic Shorthair,Mix,98112
August 24 2017,S100295,Abby Cookie,Cat,Domestic Medium Hair,Balinese,98126
June 13 2017,358591,Frejol,Dog,Xoloitzcuintli,NA,98125
July 21 2017,S132809,Chara,Dog,"Bulldog, English",NA,98109
April 17 2018,211702,Sophia,Dog,"Schnauzer, Giant",NA,98103
July 20 2017,83049,Gifford,Dog,Basenji,Mix,98199
August 16 2018,586433,Annie,Dog,"Poodle, Toy",NA,98199
January 30 2018,27542,Sugar,Dog,"Retriever, Labrador",NA,98118
July 21 2017,77885,Savannah,Dog,"Retriever, Labrador",NA,98177
April 11 2018,S129679,Zorro,Dog,"Poodle, Standard",NA,98109
April 11 2017,142671,Oliver,Dog,"Retriever, Golden",NA,98125
July 09 2018,S145775,Rio,Dog,"Retriever, Nova Scotia Duck Tolling",NA,98105
June 29 2018,359342,Ron,Dog,"Retriever, Golden",NA,98103
July 31 2018,582954,Jupiter,Dog,"Retriever, Labrador","Poodle, Miniature",98117
December 27 2017,S138545,Chad Michael Purray,Cat,Exotic Shorthair,Mix,98102
January 27 2017,S101179,Gaby,Dog,"Terrier, American Pit Bull",Mix,98108
October 09 2017,S142387,Nugget,Dog,"Cur, Black-Mouth",NA,98118
January 17 2018,18551,Bat Kitty,Cat,Domestic Shorthair,NA,98102
September 03 2018,8000587,Gyro,Dog,"Retriever, Labrador",NA,98177
October 07 2018,S123587,Suess,Cat,American Shorthair,NA,98103
June 18 2018,S144780,Edie,Dog,"Chihuahua, Short Coat","Dachshund, Standard Smooth Haired",98102
August 22 2017,S135111,Derby Snooper Swanson,Dog,"Poodle, Miniature","Terrier, Russell",98117
December 19 2017,S109167,Harper,Dog,"Terrier, Scottish",Terrier,98116
April 17 2018,141357,Penny,Dog,Pointer,Dalmatian,98103
June 09 2018,278571,Nico,Dog,Australian Shepherd,NA,98115
February 17 2017,74068,Eleanor,Cat,Domestic Shorthair,NA,98103
April 22 2018,S117700,Storm,Cat,Domestic Medium Hair,Mix,98117
November 30 2015,584440,Felix,Cat,LaPerm,NA,98103
September 17 2018,S135690,Whiskey,Dog,Australian Cattle Dog,NA,98116
April 04 2018,S142039,Poppy,Dog,Australian Cattle Dog,NA,98108
January 29 2018,S140133,Rusty,Dog,Havanese,NA,98107
February 09 2018,S140615,Ransom,Dog,"Terrier, Bull",NA,98106
August 23 2018,S146108,Zoey,Dog,"Schnauzer, Miniature",NA,98144
June 26 2018,443502,Max,Dog,Havanese,NA,98117
September 23 2018,S126441,Milly May Fillmore,Cat,Domestic Shorthair,Mix,98103
January 19 2018,S126046,Cali,Cat,Domestic Shorthair,Mix,98122
June 14 2018,S144759,Tyson,Dog,Portuguese Water Dog,NA,98109
May 18 2018,273853,Monster,Cat,Domestic Shorthair,NA,98118
November 02 2017,S135826,Lebowski,Dog,German Shepherd,Mix,98125
October 04 2017,585889,Molli,Dog,"Chihuahua, Short Coat",NA,98112
May 18 2018,S143482,Pablo,Dog,"Retriever, Labrador",Mix,98119
January 16 2018,21347,Eddie,Dog,Havanese,NA,98136
March 30 2018,S101742,Chula,Dog,"Chihuahua, Short Coat",Mix,98103
April 11 2018,S146267,Carnegie,Dog,Schipperke,NA,98119
March 28 2018,S141394,Baddy,Dog,"Retriever, Golden",Mix,98117
May 30 2017,S131301,Henley,Dog,Whippet,NA,98109
August 15 2017,28784,Edward,Cat,Burmese,NA,98144
July 05 2017,S132969,Parker,Dog,"Griffon, Brussels",NA,98101
October 17 2017,S137344,Onyx,Cat,Domestic Shorthair,NA,98112
April 27 2018,S141689,Rio,Dog,Portuguese Water Dog,NA,NA
June 27 2018,435477,Hamilton LeRoy,Dog,Rhodesian Ridgeback,Terrier,98103
January 12 2017,S125800,Kona,Cat,Domestic Shorthair,Mix,98107
January 31 2018,S140208,Erie,Dog,"Dachshund, Standard Smooth Haired",Catahoula Leopard dog,98112
November 03 2017,S137988,Kai,Cat,Ocicat,Mix,98105
May 10 2018,26165,Snickers,Dog,"Retriever, Labrador",NA,98199
September 12 2017,S104674,Armi,Dog,Keeshond,NA,98103
January 17 2017,S126822,Guinness,Cat,Domestic Shorthair,NA,98115
July 05 2017,S133161,Beebe,Cat,Domestic Shorthair,NA,98136
March 20 2018,S113208,Echo,Cat,Bombay,American Shorthair,98133
March 04 2018,S136769,Uno,Cat,Domestic Longhair,Mix,98055
November 20 2017,S138365,Lexi,Cat,Domestic Shorthair,Siamese,98144
October 10 2018,S105145,Ralph,Dog,"Retriever, Labrador",NA,98117
May 29 2018,S144266,Milo,Dog,"Schnauzer, Miniature",NA,98108
July 24 2018,S147276,Chloe,Dog,Maltese,"Poodle, Miniature",98199
January 18 2017,29094,Abby,Dog,Terrier,Mix,98115
September 23 2018,730232,Whiskers,Cat,Domestic Shorthair,NA,98117
November 07 2017,905110,Rusty,Dog,"Terrier, Silky",NA,98117
September 30 2018,S102061,Calliope,Dog,"Retriever, Labrador",Pointer,98177
February 28 2018,358232,Bambi,Dog,"Dachshund, Miniature Long Haired",NA,98125
December 28 2016,211185,Coco,Dog,Havanese,NA,98102
August 09 2017,584791,Eddie,Dog,"Retriever, Labrador","Poodle, Standard",98136
December 20 2017,S139041,Lola,Dog,Rhodesian Ridgeback,"Retriever, Labrador",98126
February 11 2018,S140678,Okmar,Cat,Domestic Shorthair,Mix,98133
May 24 2017,S131105,Flash,Dog,Rhodesian Ridgeback,NA,98119
June 12 2018,S132919,Cooper,Dog,"Poodle, Miniature","Spaniel, American Cocker",98122
March 08 2017,137269,Sassy,Dog,"Dachshund, Standard Smooth Haired",NA,98103
June 11 2018,S144638,Cyrus,Dog,"Dachshund, Standard Long Haired",NA,98119
April 10 2018,S114256,Zoey,Dog,Mix,NA,98122
January 16 2018,28579,Sid,Cat,British Shorthair,NA,98112
January 26 2018,S121086,Rebound,Dog,"Poodle, Miniature",Maltese,98119
March 22 2018,S140941,Baymax,Dog,Terrier,Mix,98102
June 04 2018,S114782,Pumpkin,Cat,Domestic Shorthair,Mix,98101
August 10 2017,359632,Louis,Dog,"Pointer, German Shorthaired",NA,98117
November 02 2017,436269,Barry,Dog,"Terrier, American Pit Bull","Pointer, German Shorthaired",98118
February 16 2017,S126297,Topper,Dog,Havanese,NA,98109
November 29 2017,S103979,Little One,Cat,Domestic Shorthair,NA,98107
September 18 2018,S120187,Jimmy Choo,Dog,Shih Tzu,NA,98136
July 13 2018,S144512,Calvin,Cat,Domestic Shorthair,Mix,98103
April 05 2016,217650,Ava,Cat,American Shorthair,NA,98117
April 19 2017,S130078,Mochi,Dog,"Terrier, American Pit Bull",NA,98109
August 09 2017,S134023,Bob,Dog,Mix,"Retriever, Labrador",98107
March 20 2018,129774,NA,Cat,Domestic Shorthair,NA,98112
June 16 2017,353387,Tristan,Cat,Domestic Shorthair,Mix,98103
October 24 2017,S105214,Duke,Dog,Boxer,NA,98103
February 14 2017,74420,Cole,Cat,Domestic Longhair,NA,98117
September 11 2018,8000838,Larry,Dog,"Mixed Breed, Large (over 44 lbs fully grown)","Retriever, Labrador",98103
July 05 2018,S116328,Chase,Dog,"Retriever, Golden",NA,98112
December 26 2017,S139124,Olive,Dog,"Terrier, American Staffordshire","Terrier, American Pit Bull",98117
July 11 2017,731648,Pinky Sanchez,Dog,Italian Greyhound,Terrier,98144
October 12 2018,S146085,Poundbury,Cat,European Shorthair,Mix,98103
September 12 2017,S135774,Lola,Dog,"Bulldog, French",NA,98107
August 02 2017,359728,Bonkers,Dog,"Welsh Corgi, Pembroke",NA,98119
February 27 2018,S141057,Fitz,Cat,Domestic Medium Hair,Domestic Shorthair,98103
December 27 2016,S125150,Ricky,Dog,Miniature Pinscher,"Chihuahua, Short Coat",98126
April 12 2018,S121099,Zoe,Dog,"Terrier, Staffordshire Bull",Mix,98177
May 24 2018,S144159,Layla,Dog,"Retriever, Golden","Poodle, Miniature",98118
January 19 2018,S139657,Riza,Cat,Domestic Shorthair,NA,98105
October 09 2018,S152111,Koa,Dog,Pomeranian,Siberian Husky,98117
July 03 2018,443620,Orca,Cat,American Shorthair,NA,98112
May 03 2017,210049,Gypsy,Dog,Bearded Collie,Siberian Husky,98118
April 12 2017,142497,Tsunami,Cat,Domestic Shorthair,NA,98115
April 18 2017,S130091,Sonny,Cat,Domestic Shorthair,NA,98103
June 29 2017,S133197,Lexie,Dog,"Poodle, Miniature","Retriever, Labrador",98117
May 23 2017,276586,Rocko,Cat,Domestic Shorthair,NA,98144
July 28 2018,S117739,Ferbert,Cat,Mix,Domestic Longhair,98125
September 07 2018,S118942,Horchata,Cat,Domestic Shorthair,Mix,98115
May 15 2018,S116040,Thunder,Dog,Alaskan Klee Kai,NA,98103
July 24 2018,433748,Flocca,Cat,Persian,NA,98125
December 13 2017,964076,Horseshack,Cat,Domestic Shorthair,NA,98103
April 24 2018,S136788,Oliver,Cat,Domestic Shorthair,Mix,98116
July 03 2018,S118225,Pentti,Dog,"Bulldog, French",NA,98102
July 03 2018,S112884,Korra,Cat,Domestic Shorthair,Mix,98106
February 13 2018,S124238,Orkney,Dog,"Retriever, Labrador",NA,98112
August 02 2017,S132159,Cooper,Dog,"Retriever, Labrador",NA,98119
July 24 2018,S120269,Gray 1,Cat,Domestic Shorthair,Mix,98103
October 21 2016,84221,Daisy,Dog,Maltese,NA,98103
June 13 2017,358753,Zelda,Dog,Beagle,NA,98115
June 04 2018,S144413,Koshka,Dog,Shepherd,"Retriever, Labrador",98125
May 01 2018,S143339,Sparky,Dog,Australian Cattle Dog,Canaan,98144
September 23 2018,720521,Chief,Cat,Domestic Shorthair,NA,98103
June 22 2018,211105,Mia,Cat,Maine Coon,NA,98117
July 26 2018,S147416,Ajax,Dog,"Retriever, Golden","Retriever, Labrador",98199
March 15 2017,S129085,NA,Cat,Domestic Medium Hair,NA,98103
February 21 2018,S110348,Charlie,Dog,"Terrier, Jack Russell","Dachshund, Miniature Smooth Haired",98112
April 12 2017,207872,Avadax,Dog,"Terrier, Jack Russell",NA,98125
August 11 2017,898454,Stinker,Cat,Domestic Shorthair,NA,98126
April 15 2017,142989,Fiddlesticks,Cat,Domestic Shorthair,NA,98102
July 03 2018,S133897,Jenkins,Cat,Domestic Medium Hair,NA,98116
July 24 2018,732183,Kevin,Cat,LaPerm,NA,98126
June 28 2018,S135160,NA,Cat,Domestic Shorthair,Mix,98125
August 25 2018,8000353,Jezebel,Dog,German Shepherd,NA,98118
March 16 2018,S141533,Mery,Dog,Basenji,NA,98112
July 01 2018,S116543,Lucy,Dog,"Griffon, Brussels",Maltese,98125
June 04 2018,S144470,Maggie,Dog,Brittany,NA,98115
August 28 2018,8000425,Max,Dog,"Poodle, Miniature",Mix,98122
August 24 2018,586622,Lumi,Cat,Domestic Shorthair,NA,98115
June 28 2017,S133235,Frankie,Dog,Shepherd,Boxer,98106
April 02 2018,S142079,Kei,Dog,Siberian Husky,NA,98103
January 30 2018,S127321,Raleigh,Dog,"Retriever, Golden","Poodle, Miniature",98105
June 18 2018,349642,Tobey,Cat,Domestic Shorthair,NA,98102
July 26 2017,442907,Patch Bandit,Dog,Italian Greyhound,NA,98118
December 12 2017,956658,Tully,Dog,Xoloitzcuintli,NA,98103
June 05 2017,359783,Angel,Dog,Cane Corso,NA,98103
August 01 2017,438714,Moe,Dog,"Terrier, Jack Russell",Mix,98144
June 04 2018,S144417,Maverick,Dog,Terrier,Chinese Shar-Pei,98144
March 27 2018,133664,Mango,Cat,Domestic Shorthair,NA,98107
April 14 2017,S129801,Paige,Dog,Border Collie,"Retriever, Labrador",98146
December 13 2017,S137441,Marchello,Dog,German Shepherd,NA,98178
February 06 2018,S140380,Josie,Dog,Shepherd,Mix,98102
July 05 2017,273441,Baloo,Cat,Domestic Shorthair,NA,98117
January 06 2017,17140,Poppy,Cat,Domestic Longhair,NA,98103
December 16 2017,S121516,Cookie,Dog,Border Collie,Mix,98107
June 12 2018,356165,Kodiak,Dog,Australian Shepherd,NA,98103
June 28 2018,348646,Barley,Dog,"Chihuahua, Short Coat",NA,98116
January 24 2017,18085,Ursa,Dog,Terrier,Mix,98133
February 01 2018,S134991,Henry,Dog,Beagle,NA,98133
January 25 2017,S127046,Bhima,Dog,Alaskan Husky,"Terrier, Staffordshire Bull",98122
April 20 2018,S128481,Mickey,Dog,"Mixed Breed, Medium (up to 44 lbs fully grown)",Mix,98108
June 26 2018,429688,Lucy,Cat,Domestic Shorthair,NA,98122
May 26 2017,208103,Ziggy,Cat,Domestic Shorthair,NA,98125
June 29 2017,S133051,Hazel,Dog,"Terrier, Lakeland",NA,98199
January 15 2018,S134424,Pi,Cat,Domestic Shorthair,Mix,98103
May 22 2018,281597,Ari,Dog,German Shepherd,NA,NA
October 27 2017,585244,Barry,Dog,"Dachshund, Miniature Smooth Haired",NA,98122
March 08 2017,130488,Fionn,Dog,Border Collie,NA,98117
April 10 2018,82887,Bluff,Dog,"Retriever, Labrador","Collie, Rough",98119
April 30 2018,S114746,Henry,Dog,Boxer,NA,98115
February 14 2017,S127829,Posie,Cat,American Shorthair,NA,98107
June 01 2018,S144334,Leela,Dog,"Dachshund, Standard Smooth Haired",Terrier,98118
July 05 2017,275766,Puma,Cat,Domestic Shorthair,NA,98115
March 16 2018,S141513,Duke,Dog,"Spaniel, English Cocker",NA,98199
May 02 2017,212878,Oscar,Dog,"Terrier, Rat",NA,98115
March 22 2018,S141753,Pumba,Cat,Mix,NA,98126
July 21 2018,S133200,Bessie,Dog,Pug,NA,98101
July 03 2017,S133001,Scruffy,Dog,Shih Tzu,"Poodle, Miniature",98112
July 26 2017,278825,Sadie,Dog,Coonhound,Mix,98118
January 09 2017,S126119,Sheba,Dog,Shepherd,Mix,98118
July 05 2017,434826,Katrina,Cat,Domestic Longhair,NA,98115
August 01 2018,S146263,Dragnus,Dog,"Terrier, Jack Russell",Mix,98122
August 01 2018,586473,Dart,Dog,"Schnauzer, Miniature","Poodle, Miniature",98115
January 17 2018,S111197,Buddy,Cat,Domestic Shorthair,NA,98146
May 03 2018,215047,Lilly,Dog,"Poodle, Toy",NA,98116
