gamename,year,month,avg,gain,peak,avg_peak_perc
Russian Fishing 4,2020,June,3555.51,-713.35,6487,54.8098%
Fallout 76,2020,June,7983.75,-6491.57,15386,51.8897%
Mount & Blade: Warband,2020,June,4206.01,-1161,6983,60.2321%
SCP: Secret Laboratory,2020,June,3611.58,97.97,5341,67.6199%
Total War: ROME II - Emperor Edition,2020,June,5615.96,-1599.69,9846,57.038%
Squad,2020,June,3002.12,-1010.85,5545,54.141%
Hollow Knight,2020,June,3735.5,-1356.46,7525,49.6412%
Grim Dawn,2020,June,4579.88,-289.17,9901,46.2567%
BeamNG.drive,2020,June,3120.83,-168.06,4672,66.7986%
Killing Floor 2,2020,June,8250.38,3886.41,35962,22.9419%
Shop Titans,2020,June,5287.99,533.85,7981,66.2572%
Black Desert,2020,June,4836.36,-1746.05,7189,67.2744%
Warhammer: Vermintide 2,2020,June,3448.27,106.81,7819,44.1012%
Prison Architect,2020,June,2339.09,-132.51,6444,36.2987%
Planet Zoo,2020,June,3215.94,-1353.7,6896,46.6349%
Borderlands 3,2020,June,7133.96,-7839.2,18514,38.5328%
Kerbal Space Program,2020,June,5703.4,1250.81,10160,56.1358%
Dota Underlords,2020,June,6059.79,-1436.37,9553,63.4334%
Total War: MEDIEVAL II - Definitive Edition,2020,June,3272.29,-873.77,5582,58.6222%
MORDHAU,2020,June,3750.56,-694.56,6946,53.996%
Clicker Heroes,2020,June,3466.41,226.2,4887,70.9312%
theHunter: Call of the Wild,2020,June,5325.34,2808.8,17809,29.9025%
Hell Let Loose,2020,June,1259.04,-177.1,2997,42.01%
AdVenture Capitalist,2020,June,1302.91,-122.5,2025,64.3412%
Starbound,2020,June,2961.98,254.85,6506,45.5269%
Crossout,2020,June,3424.64,-408.89,7094,48.2752%
Warface,2020,June,2154.7,-836.57,3359,64.1471%
For Honor,2020,June,4004.39,541.5,9750,41.0707%
Crusader Kings II,2020,June,6943.96,-1953.11,11677,59.467%
House Flipper,2020,June,2596.53,-878.03,5546,46.8181%
XCOM 2,2020,June,3881.39,-4509.86,6603,58.7822%
Lords Mobile,2020,June,3566.76,87.1,5295,67.3609%
Blender,2020,June,2497.25,9.87,3345,74.6562%
Ori and the Will of the Wisps,2020,June,1321.49,321.15,3631,36.3947%
STAR WARS Battlefront II,2020,June,2418.88,NA,3755,64.4176%
Far Cry 5,2020,June,2377.98,-960.55,5911,40.2297%
The Isle,2020,June,4483.34,143.76,11795,38.0105%
Assetto Corsa Competizione,2020,June,1423.26,-192.13,3368,42.2583%
Borderlands 2,2020,June,4549.83,-1073.13,8398,54.1775%
Kenshi,2020,June,2885.38,-824.85,4012,71.9187%
Heroes & Generals,2020,June,2267.33,-690.32,3808,59.5412%
Eco,2020,June,572.83,-551.5,1242,46.1216%
People Playground,2020,June,880.79,228.49,1717,51.2982%
Shakes and Fidget,2020,June,2273.02,-341.33,4094,55.5208%
Subnautica,2020,June,2621.78,-653.83,4605,56.9333%
Insurgency: Sandstorm,2020,June,2533.88,777.8,5714,44.3451%
Total War: EMPIRE - Definitive Edition,2020,June,2627.1,-510.95,4438,59.1956%
The Sims(TM) 3,2020,June,3652.22,-960.48,5318,68.6766%
Transformice,2020,June,1007.52,-138.11,1690,59.6166%
Total War: ATTILA,2020,June,2047.43,-713.87,3571,57.3349%
Transport Fever 2,2020,June,2298.63,-259.67,4707,48.8343%
eFootball PES 2020,2020,June,10825.52,-894.29,18057,59.9519%
Darkest Dungeon®,2020,June,5309.09,1051.14,17363,30.577%
Total War: SHOGUN 2,2020,June,4386.41,-7772.77,7120,61.6069%
HITMAN 2,2020,June,2072.33,-130.18,4821,42.9855%
Need for Speed Heat,2020,June,3605.3,NA,6365,56.6426%
Portal 2,2020,June,2677.32,-283.13,6905,38.7736%
YoloMouse,2020,June,72.9,40.24,150,48.6%
Kingdom Come: Deliverance,2020,June,2958.08,269.45,8153,36.2821%
They Are Billions,2020,June,2470.45,-435.76,4394,56.2233%
Totally Accurate Battle Simulator,2020,June,1767.66,-101.96,3067,57.6348%
ATLAS,2020,June,1401.14,-453.92,2666,52.5559%
Assassin's Creed Origins,2020,June,1549.75,-1582.81,4810,32.2193%
STAR WARS Jedi: Fallen Order,2020,June,2241.44,-335.19,5805,38.6122%
Battlefield V,2020,June,1163.34,NA,2034,57.1947%
Fishing Planet,2020,June,1911.33,-832.71,3300,57.9191%
DiRT Rally 2.0,2020,June,988.56,-245.33,1930,51.2207%
Mortal Kombat 11,2020,June,2630.65,-13.3,4847,54.2738%
Middle-earth: Shadow of War,2020,June,1622.94,-166.32,4422,36.7015%
Soundpad Demo,2020,June,966.72,-2.17,1605,60.2318%
DOOM Eternal,2020,June,1991.55,-1239.68,7551,26.3747%
Star Trek Online,2020,June,1442.81,-169.71,3064,47.0891%
Catan Universe,2020,June,1741.76,-1112.83,3298,52.8126%
Men of War: Assault Squad 2,2020,June,1758.58,106.39,3306,53.1936%
Trove,2020,June,2672.79,-1154.16,4423,60.4293%
Football Manager 2018,2020,June,3199.36,-759.65,5282,60.571%
DARK SOULS II: Scholar of the First Sin,2020,June,2449.37,-564.9,4325,56.6328%
DRAGON BALL FighterZ,2020,June,1748.04,-431.69,2824,61.8994%
Gems of War,2020,June,1725.87,-78.39,2626,65.7224%
Aseprite,2020,June,1559.93,-17.6,1985,78.5859%
The Crew 2,2020,June,1792.94,292.92,4596,39.0109%
CarX Drift Racing Online,2020,June,335.74,-35,685,49.0131%
Beat Saber,2020,June,1475.97,-167.81,2519,58.5935%
Battlefield 1 ,2020,June,870.49,NA,1646,52.8852%
KovaaK 2.0,2020,June,1659.95,-113.57,2499,66.4246%
Neverwinter,2020,June,1936.49,-438.64,3407,56.8386%
Will To Live Online,2020,June,984.6,-261.39,1653,59.5644%
Street Fighter V,2020,June,1594.89,-113.19,2493,63.9747%
DARK SOULS: REMASTERED,2020,June,1807.78,-278.03,2773,65.1922%
PlanetSide 2,2020,June,2333.24,-408.13,4004,58.2727%
Planet Coaster,2020,June,2122.44,-382.5,4745,44.73%
Pathfinder: Kingmaker,2020,June,1466.48,-389.76,3311,44.2912%
The Long Dark,2020,June,1869,-420.24,3289,56.8258%
Disco Elysium,2020,June,613.58,-606.54,1714,35.7981%
Stormworks: Build and Rescue,2020,June,1202.53,-119.75,1969,61.0731%
Knight Online,2020,June,2173.22,-607.38,3278,66.2971%
Project Zomboid,2020,June,1027.82,-204.65,1766,58.2005%
Noita,2020,June,616.59,-107.68,1223,50.4162%
Northgard,2020,June,1451.17,-709.3,3093,46.9179%
Realm of the Mad God Exalt,2020,June,1837.61,-865.27,2779,66.1249%
Persona 4 Golden,2020,June,19589.92,NA,29984,65.3346%
X-Plane 11,2020,June,2010.26,-301.95,3301,60.8985%
RISK: Global Domination,2020,June,1818.51,-877.81,3789,47.9945%
METAL GEAR SOLID V: THE PHANTOM PAIN,2020,June,2180.53,-1279.22,4774,45.6751%
Jurassic World Evolution,2020,June,1767.68,-264.34,4810,36.7501%
BATTLETECH,2020,June,2334.64,-556.98,3911,59.6942%
theHunter Classic,2020,June,850.06,-334.79,1542,55.1271%
ASTRONEER,2020,June,2204.79,117.2,6839,32.2385%
Microsoft Flight Simulator X: Steam Edition,2020,June,2470.02,-517.86,3877,63.7096%
EVGA Precision X1,2020,June,1655.91,-118.22,2144,77.2346%
Robocraft,2020,June,573.11,-118.36,909,63.0484%
Don't Starve,2020,June,2488.48,177.15,4928,50.4968%
Firestone Idle RPG,2020,June,1967.83,-219.69,2594,75.8608%
Age of Mythology: Extended Edition,2020,June,1608.81,-348.26,3564,45.1406%
Train Simulator,2020,June,1203.94,-195.31,2459,48.9606%
Call of Duty: Black Ops III,2020,June,3623.99,-1174.33,6321,57.3325%
Subnautica: Below Zero,2020,June,864.05,-1084.78,2181,39.6171%
Heroes of Might & Magic III - HD Edition,2020,June,1080.63,-437.83,1895,57.0253%
Total War: NAPOLEON - Definitive Edition,2020,June,1401.66,-127.89,2432,57.634%
Foundation,2020,June,353.15,-36.5,813,43.4379%
Yakuza 0,2020,June,944.99,-331.29,2216,42.644%
Black Squad,2020,June,2480.82,-720.89,4002,61.9895%
Shadowverse,2020,June,3967.7,400.15,19070,20.806%
Black Desert Online SA,2020,June,2659.72,-257.12,4151,64.0742%
State of Decay 2,2020,June,2007.22,-838.33,4160,48.2505%
ROMANCE OF THE THREE KINGDOMS XIV,2020,June,1870.81,-343.26,4011,46.642%
Company of Heroes,2020,June,1335.07,-271.67,2361,56.5468%
Grand Theft Auto IV: The Complete Edition,2020,June,1223.29,-267.47,2707,45.1899%
Football Manager 2017,2020,June,2050.67,-506.7,3410,60.137%
Super Animal Royale,2020,June,209.24,-25.53,491,42.6151%
Sniper Elite 4,2020,June,1036.13,-25.25,3038,34.1057%
Granado Espada,2020,June,2082.72,876.03,2620,79.4931%
Tom Clancy's Ghost Recon® Wildlands,2020,June,1019.99,-56.21,2885,35.3549%
DEAD OR ALIVE Xtreme Venus Vacation,2020,June,2078.43,-60.06,6701,31.0167%
Rome: Total War,2020,June,1244.72,-287.44,2176,57.2022%
Tree of Savior (English Ver.),2020,June,2738.79,-446.17,3733,73.367%
Beasts of Bermuda,2020,June,658.27,9.8,1099,59.8972%
FaceRig,2020,June,1460.99,-57.03,2768,52.7814%
Endless Space® 2,2020,June,671.15,-100.25,1820,36.8764%
Battlefield 4,2020,June,830.02,NA,1203,68.9958%
Assassin's Creed IV Black Flag,2020,June,938.09,-719.43,1899,49.3992%
For The King,2020,June,812.97,-579.55,1752,46.4024%
Stay Out,2020,June,907.48,-173.01,1627,55.7763%
March of Empires,2020,June,1174.24,-88.24,1955,60.0634%
Plants vs. Zombies: Game of the Year,2020,June,3651.73,1620.73,6962,52.4523%
Plague Inc: Evolved,2020,June,326.49,-120.06,979,33.3493%
Total War: WARHAMMER,2020,June,1374.39,-247.19,2796,49.1556%
Amazing Cultivation Simulator,2020,June,3199.9,2061.07,8246,38.8055%
Workers & Resources: Soviet Republic,2020,June,777.66,-143.18,1549,50.204%
X4: Foundations,2020,June,1363.01,-653.97,2590,52.6259%
Stronghold Crusader HD,2020,June,755.37,-277.1,1446,52.2386%
Sid Meier's Civilization IV: Beyond the Sword,2020,June,1286.25,-154.57,1963,65.5247%
Frostpunk,2020,June,2163.23,630.5,5273,41.0247%
Tomb Raider,2020,June,1958.09,-798.98,3748,52.2436%
MapleStory,2020,June,3026.96,116.4,4683,64.6372%
Nioh: Complete Edition,2020,June,602.56,-212.82,1332,45.2372%
NBA 2K19,2020,June,1934.78,-285.41,3670,52.7188%
Command & Conquer Remastered Collection,2020,June,7597.04,NA,29136,26.0744%
Onmyoji,2020,June,1493.65,190.69,3113,47.981%
Titan Quest Anniversary Edition,2020,June,1165.66,81.99,2549,45.7301%
Assassin's Creed Unity,2020,June,453.74,-296.91,955,47.512%
DRAGON BALL Z: KAKAROT,2020,June,866.57,-177.22,2517,34.4287%
Dragon Age Inquisition,2020,June,1115.05,NA,1844,60.4691%
Brick Rigs,2020,June,760.06,-22.06,1324,57.4063%
Resident Evil 7 Biohazard,2020,June,935.87,500.34,2294,40.7964%
Two Point Hospital,2020,June,1127.38,-759.44,2608,43.2278%
Sid Meier's Civilization III: Complete,2020,June,1186.63,-154.43,1917,61.9004%
DCS World Steam Edition,2020,June,987.43,-259.03,1700,58.0841%
Last Oasis,2020,June,3523.76,-4876.09,7361,47.8707%
My Summer Car,2020,June,671.79,-30.57,1364,49.2515%
Banished,2020,June,1129.12,-29.17,2000,56.456%
XCOM: Enemy Unknown,2020,June,863.47,-845.95,1488,58.0289%
OMSI 2,2020,June,734.76,-52.95,1620,45.3556%
The Elder Scrolls IV: Oblivion,2020,June,1429.74,140.98,2957,48.351%
A Dance of Fire and Ice,2020,June,406.26,-143.53,982,41.3707%
Crusaders of the Lost Idols,2020,June,1387.25,-41.58,1733,80.049%
Farming Simulator 17,2020,June,1082.95,-288.21,2059,52.5959%
Barotrauma,2020,June,696.94,259.64,1553,44.877%
Spore,2020,June,989.7,374.29,1887,52.4483%
Insurgency,2020,June,1009.57,-77.88,2300,43.8943%
Enter the Gungeon,2020,June,1536.31,-12.45,2598,59.1343%
Minion Masters,2020,June,1192.97,74.15,2177,54.7988%
Source Filmmaker,2020,June,1282.64,-73.55,1829,70.1279%
NARUTO SHIPPUDEN: Ultimate Ninja STORM 4,2020,June,799.4,-31.29,2086,38.3221%
The Lord of the Rings Online,2020,June,1082.89,-118.95,2207,49.0662%
Tropico 6,2020,June,752.55,-162.65,2127,35.3808%
Realm Grinder,2020,June,1110.47,-172.39,1446,76.796%
Realm Royale,2020,June,1422.61,-423.56,2435,58.4234%
Victoria II,2020,June,876.17,-303.3,1542,56.8204%
BioShock Remastered,2020,June,480.18,68.51,1393,34.4709%
Undertale,2020,June,979,56.32,2060,47.5243%
DOOM,2020,June,1132.76,-271.33,3323,34.0885%
Just Cause 3,2020,June,1113.12,-292.05,2064,53.9302%
Naval Action,2020,June,694.93,-76.81,1256,55.3288%
Age of Empires: Definitive Edition,2020,June,555.3,-143.44,1112,49.9371%
Age of History II,2020,June,713.76,-70.42,1101,64.8283%
Football Manager 2016,2020,June,1167.09,-351.02,2014,57.9489%
Temtem,2020,June,853.6,-206.84,1356,62.9499%
Ironsight,2020,June,216.94,-26.4,455,47.6791%
Fallout Shelter,2020,June,1132,-236.21,1603,70.6176%
CODE VEIN,2020,June,1038.91,-70.7,3297,31.5108%
Battle Brothers,2020,June,669.92,-137.05,1137,58.92%
Cossacks 3,2020,June,546.32,-142.57,1210,45.1504%
Rising Storm 2: Vietnam,2020,June,1152.78,-65.78,2138,53.9186%
KARDS - The WWII Card Game,2020,June,1138.4,-178.18,2047,55.6131%
Surviving Mars,2020,June,1079.4,-284.78,2280,47.3421%
Game of Thrones Winter is Coming,2020,June,880.83,-14.65,1275,69.0847%
Project CARS 2,2020,June,1528.36,232.52,3676,41.5767%
Governor of Poker 3,2020,June,722.29,-117.84,1272,56.7838%
Outward,2020,June,962.14,439.24,3470,27.7274%
FTL: Faster Than Light,2020,June,1143.58,-99.61,1853,61.7151%
Out of the Park Baseball 21,2020,June,1226.08,-37.83,1768,69.3484%
Metin2,2020,June,909.24,-539.08,1610,56.4745%
Rocksmith® 2014 Edition - Remastered,2020,June,967.58,-139.98,1571,61.5901%
War Robots,2020,June,703.56,-84.94,1006,69.9364%
Mass Effect: Andromeda,2020,June,936.25,NA,1632,57.3683%
Half-Life 2,2020,June,772.74,-204.45,1603,48.2059%
TERA,2020,June,821.25,-250.26,1801,45.5997%
Cell to Singularity - Evolution Never Ends,2020,June,1217.06,-165.03,1607,75.7349%
Half-Life: Alyx,2020,June,889.56,-230.81,2026,43.9072%
PC Building Simulator,2020,June,1053.44,425.32,3439,30.6322%
Cuphead,2020,June,913.44,47.61,1926,47.4268%
Divinity: Original Sin Enhanced Edition,2020,June,817.55,-156.83,1996,40.9594%
War Selection,2020,June,531.95,-137.04,975,54.559%
Dawn of Man,2020,June,890.54,-418.24,1710,52.0784%
Wolcen: Lords of Mayhem,2020,June,567.34,-430,1186,47.8364%
F1 2019,2020,June,3292.2,-1146.32,7838,42.0031%
Trailmakers,2020,June,197.86,-68.46,420,47.1095%
Monster Train,2020,June,5736.48,-4661.81,11569,49.5849%
Football Manager 2015,2020,June,940.78,-252.26,1618,58.1446%
FINAL FANTASY XV WINDOWS EDITION,2020,June,851.29,-883.89,1993,42.714%
Batman: Arkham Knight,2020,June,897.76,-41.06,1835,48.9243%
Pro Cycling Manager 2020,2020,June,1041.64,NA,2258,46.1311%
Golf It!,2020,June,588.72,-2.42,1704,34.5493%
Deadside,2020,June,1188.68,-1155.88,2757,43.115%
Mafia III: Definitive Edition,2020,June,926.23,-463.9,2060,44.9626%
Fallout: New Vegas RU,2020,June,462.99,-112.19,941,49.2019%
Wreckfest,2020,June,791.68,-278.39,2188,36.1828%
The Witcher 2: Assassins of Kings Enhanced Edition,2020,June,1004.24,-224.8,2008,50.012%
Wargame: Red Dragon,2020,June,758.9,-17.39,1409,53.8609%
Deceit,2020,June,1917.26,-1038.39,3738,51.2911%
Idling to Rule the Gods,2020,June,730.73,-48.67,854,85.5656%
Pillars of Eternity II: Deadfire,2020,June,959.08,-383.33,1788,53.6398%
Crush Crush,2020,June,1455.82,-41.47,2302,63.2415%
"Warhammer 40,000: Dawn of War - Soulstorm",2020,June,839.36,7.57,1494,56.1821%
Ravenfield,2020,June,733.96,70.65,1204,60.9601%
Avorion,2020,June,803.2,-613.53,1372,58.5423%
Far Cry 4,2020,June,509.42,-171.55,955,53.3424%
Black Mesa,2020,June,612.49,-250.56,1684,36.3711%
Pavlov VR,2020,June,697.93,54.91,1383,50.4649%
Life is Feudal: Your Own,2020,June,436.9,-118.56,874,49.9886%
The Witcher: Enhanced Edition,2020,June,1132.22,-235.37,2447,46.2697%
BioShock Infinite,2020,June,602.47,17.08,1470,40.9844%
Bloons TD Battles,2020,June,546.33,-48.15,778,70.2224%
RPG Maker MV,2020,June,1095.05,-243.01,1450,75.5207%
STAR WARS Knights of the Old Republic II: The Sith Lords,2020,June,642.08,-363.03,1172,54.785%
Resident Evil 3,2020,June,920.14,-112.32,2181,42.1889%
Resident Evil 4,2020,June,588.28,-85.3,1088,54.0699%
UBOAT,2020,June,510.95,15.36,1149,44.4691%
Far Cry New Dawn,2020,June,523.51,-153.46,1372,38.1567%
GTFO,2020,June,1145.94,452.06,3443,33.2832%
This War of Mine,2020,June,1497.18,798.17,5268,28.4203%
RaceRoom Racing Experience,2020,June,522.05,-188.22,1284,40.6581%
Tree of Savior (Japanese Ver.),2020,June,1190.08,-204.8,1890,62.9672%
Post Scriptum,2020,June,789.28,-334.81,1893,41.6947%
Far Cry® 3,2020,June,507.75,-224.35,1016,49.9754%
Graveyard Keeper,2020,June,659.32,-429.22,2065,31.9283%
CRSED,2020,June,1319.85,-41.45,3332,39.6113%
Terraforming Mars,2020,June,381.82,-108.55,796,47.9673%
Steel Division 2,2020,June,569.8,197.46,1639,34.7651%
Ultimate Epic Battle Simulator,2020,June,98.53,-56.26,227,43.4053%
Resident Evil 6,2020,June,626.43,-51.19,1406,44.5541%
Dishonored 2,2020,June,733.12,24.39,1948,37.6345%
Blood Bowl 2,2020,June,703.14,-7.36,1974,35.6201%
OVR Advanced Settings,2020,June,156.36,55.68,233,67.1073%
Motorsport Manager,2020,June,866.76,-353.23,1826,47.4677%
A Way Out,2020,June,424.01,NA,925,45.8389%
Tom Clancy's The Division,2020,June,513.41,-157.29,1080,47.538%
Steep,2020,June,147.4,54.22,348,42.3563%
Sins of a Solar Empire: Rebellion,2020,June,726.16,-43.58,2986,24.3188%
rFactor 2,2020,June,723.04,3.34,1642,44.0341%
Rise of Nations: Extended Edition,2020,June,676.1,-145.95,1185,57.0549%
Danganronpa 2: Goodbye Despair,2020,June,552.79,-86.25,956,57.8232%
Ori and the Blind Forest: Definitive Edition,2020,June,751.56,231.08,2043,36.7871%
Borderlands: The Pre-Sequel,2020,June,708.83,-108.93,1423,49.8124%
Unrailed!,2020,June,284.32,35.31,932,30.5064%
Idle Wizard,2020,June,962.73,-57.59,1154,83.4255%
Stick Fight: The Game,2020,June,775.02,117.39,2707,28.6302%
Mindustry,2020,June,332.65,-315.27,488,68.166%
Yakuza Kiwami 2,2020,June,286.85,-72.78,620,46.2661%
Citadel: Forged With Fire,2020,June,102.76,-34.19,199,51.6382%
Stream Avatars,2020,June,490.02,33.9,652,75.1564%
Digimon Masters Online,2020,June,700.5,-284.56,1193,58.7175%
DJMAX RESPECT V,2020,June,502.94,-99.94,1469,34.2369%
Dead Frontier 2,2020,June,415.59,-22.69,686,60.5816%
MudRunner,2020,June,536.06,-323.16,1457,36.792%
Middle-earth: Shadow of Mordor,2020,June,457.61,-80.73,827,55.3337%
ShareX,2020,June,655.08,-77.03,838,78.1718%
Counter-Strike Nexon: Studio,2020,June,559.42,-203.15,993,56.3364%
Mad Max,2020,June,620.63,-108.37,1249,49.6902%
<U+55DC><U+8840><U+5370> Bloody Spell,2020,June,117.79,87.77,504,23.371%
Golf With Your Friends,2020,June,918.03,-450.54,2433,37.7324%
Lobotomy Corporation,2020,June,772.3,-49.21,1951,39.5848%
Friday the 13th: The Game,2020,June,589.32,-580.14,1116,52.8065%
<U+592A><U+543E><U+7ED8><U+5377> The Scroll Of Taiwu,2020,June,1299.87,-202.91,2419,53.7358%
Left 4 Dead,2020,June,474.51,-8.92,1096,43.2947%
Ultimate Chicken Horse,2020,June,390.69,23.84,1491,26.2032%
Feed and Grow: Fish,2020,June,341.25,-51.08,504,67.7083%
Fisher Online,2020,June,199.78,-105.49,398,50.196%
Sands of Salzaar,2020,June,219.32,-102.37,673,32.5884%
Doki Doki Literature Club,2020,June,762.75,-7.26,961,79.3704%
Clone Drone in the Danger Zone,2020,June,230.16,-5.89,371,62.0377%
TerraTech,2020,June,652.04,-5.69,1029,63.3664%
Cyber Hunter,2020,June,535.36,NA,1026,52.1793%
Little Nightmares,2020,June,169.94,-81.1,412,41.2476%
Sniper Ghost Warrior Contracts,2020,June,390.09,-17.86,1207,32.319%
Bloons Monkey City,2020,June,543.15,-193.61,813,66.8081%
Subsistence,2020,June,293.21,-29.55,623,47.0642%
Gears 5,2020,June,228.67,-104.21,479,47.739%
Quake Champions,2020,June,503.64,-145.68,1034,48.7079%
Age of Wonders III,2020,June,709.55,-111.27,1247,56.9006%
Stronghold Kingdoms,2020,June,506.63,-125.61,776,65.2874%
Baldur's Gate II: Enhanced Edition,2020,June,572.57,-174.86,960,59.6427%
Railway Empire,2020,June,404.52,-265.19,867,46.6574%
Resident Evil 5,2020,June,587.91,-56.95,1107,53.1084%
Imperator: Rome,2020,June,706.73,-495.31,1386,50.9906%
Football Manager 2012,2020,June,471.78,-105.31,901,52.3618%
Borderless Gaming,2020,June,539.33,-29.5,706,76.3924%
Mass Effect,2020,June,532.21,258.22,1326,40.1365%
The Elder Scrolls III: Morrowind,2020,June,542.96,-21.26,1057,51.368%
SimCity 4 Deluxe,2020,June,470.8,-14.52,758,62.1108%
Dungeon Defenders II,2020,June,617.77,-174.62,1065,58.0066%
F1 2012,2020,June,72.05,-18.32,156,46.1859%
Farming Simulator 2013,2020,June,35.36,-10.12,75,47.1467%
Football Manager 2014,2020,June,681.27,-178.28,1179,57.7837%
F1 2014,2020,June,37.52,-11.06,98,38.2857%
Construction-Simulator 2015,2020,June,120.39,-77.99,274,43.938%
Car Mechanic Simulator 2015,2020,June,137.52,40.34,284,48.4225%
F1 2015,2020,June,80.86,-17.86,221,36.5882%
Pro Evolution Soccer 2016,2020,June,63.07,-16.91,120,52.5583%
F1 2016,2020,June,60.97,-12.81,147,41.4762%
Pro Evolution Soccer 2017,2020,June,160.83,-26.21,288,55.8438%
F1 2017,2020,June,163.54,-25.66,368,44.4402%
F1 2018,2020,June,333.89,-49.94,728,45.864%
Farm Manager 2018,2020,June,95.75,7.98,298,32.1309%
Deus Ex: Mankind Divided,2020,June,598.9,-146.86,1318,45.4401%
SYNTHETIK,2020,June,402.68,43.25,748,53.8342%
Lost Castle,2020,June,498.22,246.08,2745,18.1501%
Digimon Story Cyber Sleuth: Complete Edition,2020,June,462.77,-139.78,1424,32.4979%
Sven Co-op,2020,June,346.84,-88.59,532,65.1955%
Marvel Puzzle Quest,2020,June,395.34,-18.16,610,64.8098%
Torchlight II,2020,June,755.81,-26.12,1379,54.8086%
Sleeping Dogs: Definitive Edition,2020,June,478.83,-132.26,962,49.7744%
Wolfenstein II: The New Colossus,2020,June,310.54,23.41,1215,25.5588%
OCTOPATH TRAVELER,2020,June,231.43,-186.97,485,47.7175%
S.T.A.L.K.E.R.: Shadow of Chernobyl,2020,June,242.57,-37.31,603,40.2272%
Call of Duty: Modern Warfare 2,2020,June,415.7,-144.14,700,59.3857%
Getting Over It with Bennett Foddy,2020,June,400.91,21.18,1246,32.1758%
DC Universe Online,2020,June,549.23,-107.39,859,63.9383%
NBA 2K18,2020,June,380.1,-45.94,770,49.3636%
Danganronpa: Trigger Happy Havoc,2020,June,502.52,-113.51,1345,37.3621%
Outlast,2020,June,245.68,39.55,778,31.5784%
Curious Expedition 2,2020,June,39.63,NA,97,40.8557%
The Elder Scrolls: Legends,2020,June,371.6,-42.21,559,66.4758%
Hacknet,2020,June,498.32,55.18,1852,26.9071%
Farming Simulator 15,2020,June,178.47,-56.16,319,55.9467%
Plants vs. Zombies: Battle for Neighborville,2020,June,313.94,NA,857,36.6324%
Desperados III,2020,June,2701.73,NA,5997,45.0514%
Terraria,2020,June,75803.88,-54004.75,157919,48.0017%
Left 4 Dead 2,2020,June,11295.42,-656.96,23371,48.3309%
The Witcher 3: Wild Hunt,2020,June,19000.83,-2433.65,35118,54.1057%
Life is Strange,2020,June,578.1,-63.4,1504,38.4375%
Z1 Battle Royale,2020,June,182.71,-49.67,369,49.5149%
Don't Starve Together,2020,June,17332.93,3478.22,41440,41.8266%
Counter-Strike: Source,2020,June,4135.51,-922.71,7341,56.3344%
Monster Hunter: World,2020,June,24145.61,-19558.09,51086,47.2646%
Cities: Skylines,2020,June,12138.89,-2929.9,21358,56.8353%
Fallout: New Vegas,2020,June,3503.47,-391.47,5809,60.3111%
No Man's Sky,2020,June,6562.3,-92.48,11736,55.916%
Space Engineers,2020,June,6648.5,-707.09,11962,55.5802%
Saints Row IV,2020,June,423.82,-14.22,902,46.9867%
Age of Empires II (2013),2020,June,7090.85,-3010.76,13105,54.108%
Killing Floor,2020,June,393.86,2.92,656,60.0396%
Portal,2020,June,534.12,-5.85,1438,37.1433%
Chivalry: Medieval Warfare,2020,June,190.5,-26.09,375,50.8%
Castle Crashers,2020,June,546.63,51.46,1583,34.5313%
Rise of the Tomb Raider,2020,June,1518.49,-224.42,3688,41.1738%
No More Room in Hell,2020,June,394.55,-99.96,609,64.7865%
BattleBlock Theater,2020,June,321.4,47.32,2337,13.7527%
Goat Simulator,2020,June,126.23,-4.51,240,52.5958%
Hotline Miami,2020,June,137.64,-5.18,428,32.1589%
Saints Row: The Third,2020,June,589.51,-23.39,1228,48.0057%
Divinity: Original Sin 2,2020,June,11258.09,-1444.23,20039,56.1809%
Dirty Bomb,2020,June,258.39,-79.05,518,49.8822%
The Binding of Isaac,2020,June,246.33,-39.42,370,66.5757%
To the Moon,2020,June,38.57,3.32,151,25.543%
Dishonored,2020,June,564.85,60.18,1654,34.1505%
Battlerite,2020,June,439.41,-188.59,960,45.7719%
Ring of Elysium,2020,June,1342.67,-271.5,2826,47.5113%
NieR:Automata,2020,June,934.06,-254.07,1526,61.2097%
POSTAL 2,2020,June,327.78,64.06,773,42.4036%
South Park: The Stick of Truth,2020,June,234.85,-54.27,752,31.2301%
PAYDAY: The Heist,2020,June,37.83,-10.28,80,47.2875%
Just Cause 2,2020,June,227.3,-60.81,414,54.9034%
Firewatch,2020,June,121.36,61.8,768,15.8021%
Spec Ops: The Line,2020,June,87.51,-49.24,201,43.5373%
Brothers - A Tale of Two Sons,2020,June,27.13,3.68,74,36.6622%
The Stanley Parable,2020,June,76.53,-17.51,212,36.0991%
Mafia II (Classic),2020,June,426.97,-268.27,1017,41.9833%
Everlasting Summer,2020,June,467.6,-22.09,828,56.4734%
Broforce,2020,June,239.35,-42.02,506,47.3024%
LIMBO,2020,June,70.14,1.32,240,29.225%
DARK SOULS II,2020,June,234.4,-90.41,386,60.7254%
"Star Wars: Battlefront 2 (Classic, 2005)",2020,June,431.66,-397.06,748,57.7086%
Metro 2033 Redux,2020,June,330.71,8.75,759,43.5718%
Bastion,2020,June,57.18,-30.07,138,41.4348%
Half-Life,2020,June,563.89,-70.09,1408,40.049%
Game Dev Tycoon,2020,June,239.83,4.35,564,42.523%
Rising Storm/Red Orchestra 2 Multiplayer,2020,June,303.23,-55.11,596,50.8775%
