name,sex,event,equipment,age,age_class,division,bodyweight_kg,weight_class_kg,best3squat_kg,best3bench_kg,best3deadlift_kg,place,date,federation,meet_name
Robert Rogers,M,SBD,Raw,25.5,24-34,Open,82.62,83,235,152.5,262.5,11,2015-06-05,IPF,World Classic Powerlifting Championships
Mark Hodgett,M,SBD,Raw,35,35-39,Open,82.09,83,220,147.5,280,12,2015-06-05,IPF,World Classic Powerlifting Championships
Tsuyoshi Hidaka,M,SBD,Raw,28.5,24-34,Open,81.41,83,232.5,150,255,13,2015-06-05,IPF,World Classic Powerlifting Championships
Sergey Asaturov,M,SBD,Raw,30.5,24-34,Open,81.26,83,190,180,220,14,2015-06-05,IPF,World Classic Powerlifting Championships
Alexey Kuzmin,M,SBD,Raw,32.5,24-34,Open,82.04,83,NA,177.5,302.5,DQ,2015-06-05,IPF,World Classic Powerlifting Championships
José Castillo,M,SBD,Raw,28.5,24-34,Open,81.93,83,290,182.5,315,DD,2015-06-05,IPF,World Classic Powerlifting Championships
Krzysztof Wierzbicki,M,SBD,Raw,24.5,24-34,Open,92.52,93,290,187.5,355,1,2015-06-05,IPF,World Classic Powerlifting Championships
Layne Norton,M,SBD,Raw,33,24-34,Open,91.48,93,303,172.5,322.5,2,2015-06-05,IPF,World Classic Powerlifting Championships
LS McClain,M,SBD,Raw,36,35-39,Open,92.48,93,265,212.5,307.5,3,2015-06-05,IPF,World Classic Powerlifting Championships
Quentin Gilbert,M,SBD,Raw,31.5,24-34,Open,92.85,93,287.5,195,302.5,4,2015-06-05,IPF,World Classic Powerlifting Championships
Borislav Adov,M,SBD,Raw,27.5,24-34,Open,92.48,93,275,207.5,300,5,2015-06-05,IPF,World Classic Powerlifting Championships
Jakub Sedláček,M,SBD,Raw,26.5,24-34,Open,91.38,93,290,215,270,6,2015-06-05,IPF,World Classic Powerlifting Championships
Francesco Virzi,M,SBD,Raw,31,24-34,Open,92.76,93,277.5,190,287.5,7,2015-06-05,IPF,World Classic Powerlifting Championships
Lauris Danilevic,M,SBD,Raw,32.5,24-34,Open,92.07,93,270,172.5,300,8,2015-06-05,IPF,World Classic Powerlifting Championships
Mikko Muttonen,M,SBD,Raw,27.5,24-34,Open,91.33,93,257.5,175,285,9,2015-06-05,IPF,World Classic Powerlifting Championships
Pierre Shillingford,M,SBD,Raw,26.5,24-34,Open,91.39,93,250,160,295,10,2015-06-05,IPF,World Classic Powerlifting Championships
Siim Sammalkivi,M,SBD,Raw,27.5,24-34,Open,92.39,93,247.5,175,275,11,2015-06-05,IPF,World Classic Powerlifting Championships
Peter Horvath,M,SBD,Raw,23.5,24-34,Open,90.58,93,252.5,162.5,272.5,12,2015-06-05,IPF,World Classic Powerlifting Championships
Rait Veski,M,SBD,Raw,31.5,24-34,Open,90.33,93,225,167.5,285,13,2015-06-05,IPF,World Classic Powerlifting Championships
Andrew Lutzuk,M,SBD,Raw,28.5,24-34,Open,91.11,93,230,155,290,14,2015-06-05,IPF,World Classic Powerlifting Championships
Johnathan Watson,M,SBD,Raw,24.5,24-34,Open,91.76,93,215,147.5,280,15,2015-06-05,IPF,World Classic Powerlifting Championships
Balazs Dr Budai,M,SBD,Raw,35.5,35-39,Open,92.36,93,182.5,137.5,230,16,2015-06-05,IPF,World Classic Powerlifting Championships
Mourad Kaanane,M,SBD,Raw,26.5,24-34,Open,91.89,93,NA,155,290,DQ,2015-06-05,IPF,World Classic Powerlifting Championships
Aron Lee Du Teitsson,M,SBD,Raw,27.5,24-34,Open,92.39,93,257.5,190,NA,DQ,2015-06-05,IPF,World Classic Powerlifting Championships
David Coimbra,M,SBD,Raw,31.5,24-34,Open,92.01,93,285,180,322.5,DD,2015-06-05,IPF,World Classic Powerlifting Championships
Sofiane Belkesir,M,SBD,Raw,30.5,24-34,Open,104.49,105,290,207.5,330,1,2015-06-05,IPF,World Classic Powerlifting Championships
Nicholas Tylutki,M,SBD,Raw,36.5,35-39,Open,103.79,105,305,187.5,330,2,2015-06-05,IPF,World Classic Powerlifting Championships
Stephen Manuel,M,SBD,Raw,26.5,24-34,Open,103,105,295,200,307.5,3,2015-06-05,IPF,World Classic Powerlifting Championships
Ernst Gross,M,SBD,Raw,27.5,24-34,Open,103.85,105,310,197.5,295,4,2015-06-05,IPF,World Classic Powerlifting Championships
Rait Sagor,M,SBD,Raw,25,24-34,Open,104.7,105,285,187.5,330,5,2015-06-05,IPF,World Classic Powerlifting Championships
Yusuke Takeda,M,SBD,Raw,29.5,24-34,Open,103.69,105,295,212.5,292.5,6,2015-06-05,IPF,World Classic Powerlifting Championships
Mateusz Grzesik,M,SBD,Raw,25.5,24-34,Open,104.05,105,280,202.5,300,7,2015-06-05,IPF,World Classic Powerlifting Championships
Kachouei Mostafa Yazdani,M,SBD,Raw,26.5,24-34,Open,101.25,105,275,167.5,330,8,2015-06-05,IPF,World Classic Powerlifting Championships
Laurent Fontaine,M,SBD,Raw,26.5,24-34,Open,104.07,105,285,185,290,9,2015-06-05,IPF,World Classic Powerlifting Championships
Teemu Mutikainen,M,SBD,Raw,26.5,24-34,Open,104.09,105,275,172.5,312.5,10,2015-06-05,IPF,World Classic Powerlifting Championships
Luis Zouein,M,SBD,Raw,23.5,24-34,Open,102.71,105,255,182.5,302.5,11,2015-06-05,IPF,World Classic Powerlifting Championships
Henry Tosh,M,SBD,Raw,34.5,24-34,Open,100.15,105,242.5,182.5,307.5,12,2015-06-05,IPF,World Classic Powerlifting Championships
Alexey Pankrashev,M,SBD,Raw,24.5,24-34,Open,104.37,105,275,172.5,277.5,13,2015-06-05,IPF,World Classic Powerlifting Championships
Mohamed Bouafia,M,SBD,Raw,38.5,35-39,Open,119.48,120,350,212.5,365,1,2015-06-05,IPF,World Classic Powerlifting Championships
Ivaylo Hristov,M,SBD,Raw,35.5,35-39,Open,119.93,120,342.5,222.5,362.5,2,2015-06-05,IPF,World Classic Powerlifting Championships
Tony Cliffe,M,SBD,Raw,30.5,24-34,Open,118.51,120,327.5,230,342.5,3,2015-06-05,IPF,World Classic Powerlifting Championships
Michael Tuchscherer,M,SBD,Raw,30,24-34,Open,119.72,120,325,200,335,4,2015-06-05,IPF,World Classic Powerlifting Championships
Jared Martin #1,M,SBD,Raw,25.5,24-34,Open,118.75,120,327.5,190,335,5,2015-06-05,IPF,World Classic Powerlifting Championships
Cameron McKenzie,M,SBD,Raw,21.5,20-23,Open,119.78,120,307.5,195,335,6,2015-06-05,IPF,World Classic Powerlifting Championships
Viktor Marynenko,M,SBD,Raw,27,24-34,Open,118.96,120,317.5,192.5,315,7,2015-06-05,IPF,World Classic Powerlifting Championships
Māris Juzups,M,SBD,Raw,26.5,24-34,Open,118.26,120,302.5,227.5,285,8,2015-06-05,IPF,World Classic Powerlifting Championships
Adam Haavik,M,SBD,Raw,26.5,24-34,Open,116.94,120,290,200,320,9,2015-06-05,IPF,World Classic Powerlifting Championships
Oleksandr Dubovoy,M,SBD,Raw,34,24-34,Open,107.29,120,315,200,280,10,2015-06-05,IPF,World Classic Powerlifting Championships
Pavol Demčák,M,SBD,Raw,37.5,35-39,Open,117.87,120,285,222.5,280,11,2015-06-05,IPF,World Classic Powerlifting Championships
Brody Laybolt,M,SBD,Raw,26.5,24-34,Open,118.66,120,270,195,322.5,12,2015-06-05,IPF,World Classic Powerlifting Championships
Michael Schrems,M,SBD,Raw,30.5,24-34,Open,118.28,120,275,207.5,270,13,2015-06-05,IPF,World Classic Powerlifting Championships
Rob Murrell,M,SBD,Raw,33,24-34,Open,118.94,120,270,165,275,14,2015-06-05,IPF,World Classic Powerlifting Championships
Majid Delir,M,SBD,Raw,30.5,24-34,Open,119.26,120,280,NA,NA,DD,2015-06-05,IPF,World Classic Powerlifting Championships
Ray Williams #1,M,SBD,Raw,28,24-34,Open,171.65,120+,425.5,235,340,1,2015-06-05,IPF,World Classic Powerlifting Championships
Blaine Sumner,M,SBD,Raw,27,24-34,Open,167.02,120+,410,232.5,335,2,2015-06-05,IPF,World Classic Powerlifting Championships
Kelly Branton,M,SBD,Raw,28.5,24-34,Open,149.81,120+,387.5,250,332.5,3,2015-06-05,IPF,World Classic Powerlifting Championships
Jezza Uepa,M,SBD,Raw,35,35-39,Open,168.15,120+,410,242.5,317.5,4,2015-06-05,IPF,World Classic Powerlifting Championships
Martins Kruze,M,SBD,Raw,26.5,24-34,Open,156.15,120+,390,222.5,337.5,5,2015-06-05,IPF,World Classic Powerlifting Championships
Artem Kovalchuk,M,SBD,Raw,32.5,24-34,Open,142.29,120+,365,205,362.5,6,2015-06-05,IPF,World Classic Powerlifting Championships
Mojtaba Maleki,M,SBD,Raw,32,24-34,Open,156.85,120+,392.5,215,320,7,2015-06-05,IPF,World Classic Powerlifting Championships
Martin Borgland Rønning,M,SBD,Raw,30.5,24-34,Open,163.5,120+,330,252.5,325,8,2015-06-05,IPF,World Classic Powerlifting Championships
Siim Rast,M,SBD,Raw,26.5,24-34,Open,182.5,120+,327.5,225,342.5,9,2015-06-05,IPF,World Classic Powerlifting Championships
Michael Jones,M,SBD,Raw,26.5,24-34,Open,174.25,120+,335,225,332.5,10,2015-06-05,IPF,World Classic Powerlifting Championships
Ilyes Boughalem,M,SBD,Raw,27.5,24-34,Open,143.72,120+,310,270.5,295,11,2015-06-05,IPF,World Classic Powerlifting Championships
Tony Reinmuth,M,SBD,Raw,25,24-34,Open,153.33,120+,332.5,205,312.5,12,2015-06-05,IPF,World Classic Powerlifting Championships
Steve Ringoot,M,SBD,Raw,25.5,24-34,Open,141.3,120+,305,215,312.5,13,2015-06-05,IPF,World Classic Powerlifting Championships
Antti Tommila,M,SBD,Raw,25.5,24-34,Open,145.45,120+,312.5,215,300,14,2015-06-05,IPF,World Classic Powerlifting Championships
Kim Gustafsson,M,SBD,Raw,28.5,24-34,Open,146.2,120+,285,170,360,15,2015-06-05,IPF,World Classic Powerlifting Championships
Christophe Rebreyend,M,SBD,Raw,26.5,24-34,Open,145.06,120+,302.5,180,325,16,2015-06-05,IPF,World Classic Powerlifting Championships
Philipp Gramlich,M,SBD,Raw,27,24-34,Open,131.85,120+,285,200,317.5,17,2015-06-05,IPF,World Classic Powerlifting Championships
Daniel Nacle,M,SBD,Raw,36.5,35-39,Open,136.33,120+,295,212.5,290,18,2015-06-05,IPF,World Classic Powerlifting Championships
Dave Napper,M,SBD,Raw,27.5,24-34,Open,125.69,120+,300,165,320,19,2015-06-05,IPF,World Classic Powerlifting Championships
Kyle Noonan,M,SBD,Raw,24.5,24-34,Open,126,120+,260,180,325,20,2015-06-05,IPF,World Classic Powerlifting Championships
Vagi Henry,M,SBD,Raw,26.5,24-34,Open,136,120+,275,165,300,21,2015-06-05,IPF,World Classic Powerlifting Championships
Conrad Davies,M,SBD,Raw,23.5,24-34,Open,130.12,120+,260,170,275,22,2015-06-05,IPF,World Classic Powerlifting Championships
Fredrik Smulter,M,SBD,Raw,31.5,24-34,Open,153.3,120+,235,270,175,23,2015-06-05,IPF,World Classic Powerlifting Championships
Boris Komissarov,M,SBD,Raw,16.5,16-17,Sub-Juniors,52.48,53,165,110,175,1,2015-06-05,IPF,World Classic Powerlifting Championships
Egidijus Valčiukas,M,SBD,Raw,16.5,16-17,Sub-Juniors,52.18,53,190,115,142.5,2,2015-06-05,IPF,World Classic Powerlifting Championships
Sergey Chizhikov,M,SBD,Raw,17.5,18-19,Sub-Juniors,58.93,59,192.5,105,180,1,2015-06-05,IPF,World Classic Powerlifting Championships
Deniss Koltisevs,M,SBD,Raw,17.5,18-19,Sub-Juniors,58.42,59,147.5,100,175,2,2015-06-05,IPF,World Classic Powerlifting Championships
Edgars Jurkans,M,SBD,Raw,16.5,16-17,Sub-Juniors,58.98,59,137.5,105,180,3,2015-06-05,IPF,World Classic Powerlifting Championships
Rin Tsuzaki,M,SBD,Raw,16.5,16-17,Sub-Juniors,58.18,59,150,70,190,4,2015-06-05,IPF,World Classic Powerlifting Championships
Darcy Ducharme,M,SBD,Raw,17.5,18-19,Sub-Juniors,57.22,59,152.5,80,152.5,5,2015-06-05,IPF,World Classic Powerlifting Championships
Kanstantsin Shabunevich,M,SBD,Raw,13.5,13-15,Sub-Juniors,56.54,59,130,75,150,6,2015-06-05,IPF,World Classic Powerlifting Championships
Atte Korhonen,M,SBD,Raw,15.5,16-17,Sub-Juniors,58.97,59,117.5,75,145,7,2015-06-05,IPF,World Classic Powerlifting Championships
Timo Mikkonen,M,SBD,Raw,16.5,16-17,Sub-Juniors,57.8,59,102.5,70,122.5,8,2015-06-05,IPF,World Classic Powerlifting Championships
Tomi Kuusisto,M,SBD,Raw,17.5,18-19,Sub-Juniors,65.44,66,195,102.5,221.5,1,2015-06-05,IPF,World Classic Powerlifting Championships
Anuar Amirtaev,M,SBD,Raw,16.5,16-17,Sub-Juniors,65.35,66,195,110,207.5,2,2015-06-05,IPF,World Classic Powerlifting Championships
Andreas Nilsson #1,M,SBD,Raw,16.5,16-17,Sub-Juniors,65.48,66,172.5,120,207.5,3,2015-06-05,IPF,World Classic Powerlifting Championships
Petr Korolev,M,SBD,Raw,17.5,18-19,Sub-Juniors,65.5,66,185,105,200,4,2015-06-05,IPF,World Classic Powerlifting Championships
Teemu Sippola,M,SBD,Raw,17.5,18-19,Sub-Juniors,65.38,66,175,107.5,195,5,2015-06-05,IPF,World Classic Powerlifting Championships
Kacper Drochomirecki,M,SBD,Raw,16.5,16-17,Sub-Juniors,65.46,66,155,90,182.5,6,2015-06-05,IPF,World Classic Powerlifting Championships
Bartlomiej Kiersikowski,M,SBD,Raw,16.5,16-17,Sub-Juniors,65.57,66,142.5,95,190,7,2015-06-05,IPF,World Classic Powerlifting Championships
Vladislav Sheruntaev,M,SBD,Raw,17.5,18-19,Sub-Juniors,73.62,74,210,142.5,237.5,1,2015-06-05,IPF,World Classic Powerlifting Championships
Viktor Beilmann,M,SBD,Raw,18,18-19,Sub-Juniors,73.78,74,205,135,240,2,2015-06-05,IPF,World Classic Powerlifting Championships
James Kondilos,M,SBD,Raw,17.5,18-19,Sub-Juniors,73.38,74,192.5,107.5,232.5,3,2015-06-05,IPF,World Classic Powerlifting Championships
Noah Ukrainetz,M,SBD,Raw,15.5,16-17,Sub-Juniors,70.61,74,197.5,112.5,210,4,2015-06-05,IPF,World Classic Powerlifting Championships
Mikko Aulapalo,M,SBD,Raw,17.5,18-19,Sub-Juniors,73.39,74,195,105,215,5,2015-06-05,IPF,World Classic Powerlifting Championships
Harold Chow,M,SBD,Raw,16.5,16-17,Sub-Juniors,73.92,74,182.5,115,215,6,2015-06-05,IPF,World Classic Powerlifting Championships
Patryk Zaniewski,M,SBD,Raw,16.5,16-17,Sub-Juniors,73.17,74,177.5,115,215,7,2015-06-05,IPF,World Classic Powerlifting Championships
Juho Naapuri,M,SBD,Raw,17.5,18-19,Sub-Juniors,73.58,74,165,117.5,217.5,8,2015-06-05,IPF,World Classic Powerlifting Championships
Marcus Naillon,M,SBD,Raw,17.5,18-19,Sub-Juniors,72.25,74,145,95,190,9,2015-06-05,IPF,World Classic Powerlifting Championships
Taiga Murakami,M,SBD,Raw,17.5,18-19,Sub-Juniors,71.18,74,150,92.5,180,10,2015-06-05,IPF,World Classic Powerlifting Championships
Cornell Schoonraad,M,SBD,Raw,17.5,18-19,Sub-Juniors,72.52,74,112.5,115,165,11,2015-06-05,IPF,World Classic Powerlifting Championships
Jerome Aymon,M,SBD,Raw,17.5,18-19,Sub-Juniors,73.89,74,100,150,140,12,2015-06-05,IPF,World Classic Powerlifting Championships
Shin Tanaka,M,SBD,Raw,16.5,16-17,Sub-Juniors,71.74,74,120,90,155,13,2015-06-05,IPF,World Classic Powerlifting Championships
Szymon Glowienke,M,SBD,Raw,17.5,18-19,Sub-Juniors,80.3,83,220,147.5,235,1,2015-06-05,IPF,World Classic Powerlifting Championships
Maxim Yarusov,M,SBD,Raw,17.5,18-19,Sub-Juniors,77.81,83,230,132.5,220,2,2015-06-05,IPF,World Classic Powerlifting Championships
Kamil Struck,M,SBD,Raw,17.5,18-19,Sub-Juniors,82.34,83,225.5,127.5,225,3,2015-06-05,IPF,World Classic Powerlifting Championships
Serhii Babenko,M,SBD,Raw,17.5,18-19,Sub-Juniors,82.18,83,202.5,130,230,4,2015-06-05,IPF,World Classic Powerlifting Championships
Naoto Ito,M,SBD,Raw,17.5,18-19,Sub-Juniors,77.56,83,200,140,210,5,2015-06-05,IPF,World Classic Powerlifting Championships
Jake Navarra,M,SBD,Raw,16.5,16-17,Sub-Juniors,90.52,93,230,150,297.5,1,2015-06-05,IPF,World Classic Powerlifting Championships
Uldis Ronalds Kiploks,M,SBD,Raw,17.5,18-19,Sub-Juniors,92.43,93,245,145,287.5,2,2015-06-05,IPF,World Classic Powerlifting Championships
Andrey Moiseev,M,SBD,Raw,16.5,16-17,Sub-Juniors,92.03,93,247.5,155,250,3,2015-06-05,IPF,World Classic Powerlifting Championships
Adam Hamdan,M,SBD,Raw,17.5,18-19,Sub-Juniors,92.2,93,262.5,160,227.5,4,2015-06-05,IPF,World Classic Powerlifting Championships
Kalle Närhi,M,SBD,Raw,17.5,18-19,Sub-Juniors,87.51,93,235,130,250,5,2015-06-05,IPF,World Classic Powerlifting Championships
Peetu Heikkinen,M,SBD,Raw,17.5,18-19,Sub-Juniors,92.66,93,200,125,232.5,6,2015-06-05,IPF,World Classic Powerlifting Championships
Farris Collins,M,SBD,Raw,17,16-17,Sub-Juniors,88.18,93,180,117.5,200,7,2015-06-05,IPF,World Classic Powerlifting Championships
Daniel Saber,M,SBD,Raw,17.5,18-19,Sub-Juniors,99.9,105,252.5,157.5,300,1,2015-06-05,IPF,World Classic Powerlifting Championships
Ty Hennen,M,SBD,Raw,17.5,18-19,Sub-Juniors,100.96,105,245,137.5,252.5,2,2015-06-05,IPF,World Classic Powerlifting Championships
Roni Peltonen,M,SBD,Raw,16.5,16-17,Sub-Juniors,102.77,105,230,127.5,260,3,2015-06-05,IPF,World Classic Powerlifting Championships
Andrey Zubenko,M,SBD,Raw,17.5,18-19,Sub-Juniors,103.87,105,230,160,270,DD,2015-06-05,IPF,World Classic Powerlifting Championships
Isaac Maldonado,M,SBD,Raw,17.5,18-19,Sub-Juniors,115.6,120,262.5,140,300,1,2015-06-05,IPF,World Classic Powerlifting Championships
Ryan Spiecha,M,SBD,Raw,16.5,16-17,Sub-Juniors,116.24,120,263,160,250,2,2015-06-05,IPF,World Classic Powerlifting Championships
Alexandr Zagrevskiy,M,SBD,Raw,16.5,16-17,Sub-Juniors,117.76,120,250,142.5,230,3,2015-06-05,IPF,World Classic Powerlifting Championships
Maxim Tusov,M,SBD,Raw,15.5,16-17,Sub-Juniors,115.26,120,230,140,242.5,4,2015-06-05,IPF,World Classic Powerlifting Championships
Liam Schultz,M,SBD,Raw,17.5,18-19,Sub-Juniors,116.65,120,232.5,95,255,5,2015-06-05,IPF,World Classic Powerlifting Championships
Andrzej Wozniak,M,SBD,Raw,16.5,16-17,Sub-Juniors,109.83,120,225,120,217.5,6,2015-06-05,IPF,World Classic Powerlifting Championships
Joseph Peña #1,M,SBD,Raw,16,16-17,Sub-Juniors,145.24,120+,327.5,172.5,272.5,1,2015-06-05,IPF,World Classic Powerlifting Championships
Alexander Dmitriev,M,SBD,Raw,17.5,18-19,Sub-Juniors,148.27,120+,250,130,210,2,2015-06-05,IPF,World Classic Powerlifting Championships
Dalton LaCoe,M,SBD,Raw,19,18-19,Juniors,52.26,53,157.5,115,230,1,2015-06-05,IPF,World Classic Powerlifting Championships
Nicholas Viet,M,SBD,Raw,19.5,20-23,Juniors,52.44,53,135,95,172.5,2,2015-06-05,IPF,World Classic Powerlifting Championships
Yuki Tan,M,SBD,Raw,21.5,20-23,Juniors,52.5,53,127.5,90,177.5,3,2015-06-05,IPF,World Classic Powerlifting Championships
Azamat Alymbek Uulu,M,SBD,Raw,23,20-23,Juniors,58.87,59,165,125,240.5,1,2015-06-05,IPF,World Classic Powerlifting Championships
Marcus Yap Zhe Mian,M,SBD,Raw,20.5,20-23,Juniors,58.57,59,185,115,223,2,2015-06-05,IPF,World Classic Powerlifting Championships
Aleksandr Gusev,M,SBD,Raw,22.5,20-23,Juniors,58.53,59,180,127.5,192.5,3,2015-06-05,IPF,World Classic Powerlifting Championships
Amrik Mehta,M,SBD,Raw,21.5,20-23,Juniors,58.6,59,160,105,205,4,2015-06-05,IPF,World Classic Powerlifting Championships
Ilkka Ala-Luopa,M,SBD,Raw,21.5,20-23,Juniors,58.86,59,165,100,200,5,2015-06-05,IPF,World Classic Powerlifting Championships
Jordan Lam,M,SBD,Raw,21.5,20-23,Juniors,58.41,59,162.5,100,200,6,2015-06-05,IPF,World Classic Powerlifting Championships
Pavel Zayats,M,SBD,Raw,19.5,20-23,Juniors,58.54,59,150,115,180,7,2015-06-05,IPF,World Classic Powerlifting Championships
Toirzhan Marif,M,SBD,Raw,18.5,18-19,Juniors,58.49,59,140,117.5,180,8,2015-06-05,IPF,World Classic Powerlifting Championships
Kevin Rodríguez Ríos,M,SBD,Raw,21.5,20-23,Juniors,58.8,59,160,90,187.5,9,2015-06-05,IPF,World Classic Powerlifting Championships
Shingo Yamamoto,M,SBD,Raw,21,20-23,Juniors,58.44,59,157.5,82.5,190,10,2015-06-05,IPF,World Classic Powerlifting Championships
Jason Luo,M,SBD,Raw,19.5,20-23,Juniors,58.22,59,NA,95,185,DQ,2015-06-05,IPF,World Classic Powerlifting Championships
John Paul Cauchi,M,SBD,Raw,22.5,20-23,Juniors,65.64,66,225.5,115,275,1,2015-06-05,IPF,World Classic Powerlifting Championships
Jesse Moores,M,SBD,Raw,22.5,20-23,Juniors,65.74,66,215,142.5,245,2,2015-06-05,IPF,World Classic Powerlifting Championships
Eddie Berglund,M,SBD,Raw,20,20-23,Juniors,64.48,66,215,182.5,200,3,2015-06-05,IPF,World Classic Powerlifting Championships
Tomáš Juříček,M,SBD,Raw,22.5,20-23,Juniors,65.83,66,202.5,142.5,222.5,4,2015-06-05,IPF,World Classic Powerlifting Championships
Akseli Lintulaakso,M,SBD,Raw,22.5,20-23,Juniors,65.98,66,215,125,212.5,5,2015-06-05,IPF,World Classic Powerlifting Championships
Frédéric Mannequin,M,SBD,Raw,21,20-23,Juniors,65.32,66,195,127.5,222.5,6,2015-06-05,IPF,World Classic Powerlifting Championships
Yasutaka Fuchigami,M,SBD,Raw,22.5,20-23,Juniors,64.78,66,212.5,115,200,7,2015-06-05,IPF,World Classic Powerlifting Championships
Ole Martin Hofseth,M,SBD,Raw,21.5,20-23,Juniors,65.28,66,190,137.5,190,8,2015-06-05,IPF,World Classic Powerlifting Championships
Jack Suljevic,M,SBD,Raw,18.5,18-19,Juniors,65.23,66,177.5,105,230,9,2015-06-05,IPF,World Classic Powerlifting Championships
Paweł Mazij,M,SBD,Raw,20.5,20-23,Juniors,65.09,66,170,142.5,197.5,10,2015-06-05,IPF,World Classic Powerlifting Championships
David Carleton,M,SBD,Raw,19.5,20-23,Juniors,64.24,66,175,112.5,215,11,2015-06-05,IPF,World Classic Powerlifting Championships
Kamil Dec,M,SBD,Raw,18.5,18-19,Juniors,65.36,66,175,112.5,195,12,2015-06-05,IPF,World Classic Powerlifting Championships
Koichiro Hayashi,M,SBD,Raw,20.5,20-23,Juniors,64.66,66,162.5,115,202.5,13,2015-06-05,IPF,World Classic Powerlifting Championships
Brandon Choo,M,SBD,Raw,22.5,20-23,Juniors,65.6,66,75,117.5,125,14,2015-06-05,IPF,World Classic Powerlifting Championships
Ihar Yuzapchuk,M,SBD,Raw,18.5,18-19,Juniors,65.31,66,NA,142.5,NA,DQ,2015-06-05,IPF,World Classic Powerlifting Championships
Pavel Agarkov,M,SBD,Raw,19.5,20-23,Juniors,73.45,74,235,137.5,255,1,2015-06-05,IPF,World Classic Powerlifting Championships
Bastien Poyet,M,SBD,Raw,19.5,20-23,Juniors,72.45,74,212.5,175.5,235,2,2015-06-05,IPF,World Classic Powerlifting Championships
Paulius Pupinis,M,SBD,Raw,20.5,20-23,Juniors,72.9,74,205,142.5,250,3,2015-06-05,IPF,World Classic Powerlifting Championships
Ikki Oshima,M,SBD,Raw,22.5,20-23,Juniors,73.06,74,185,145,250,4,2015-06-05,IPF,World Classic Powerlifting Championships
Arthur Bui,M,SBD,Raw,22.5,20-23,Juniors,73.18,74,205,132.5,242.5,5,2015-06-05,IPF,World Classic Powerlifting Championships
Harri Olak,M,SBD,Raw,22.5,20-23,Juniors,73.49,74,210,122.5,245,6,2015-06-05,IPF,World Classic Powerlifting Championships
Ali Sayed,M,SBD,Raw,20.5,20-23,Juniors,72.98,74,195,130,237.5,7,2015-06-05,IPF,World Classic Powerlifting Championships
Pedro Lins,M,SBD,Raw,21.5,20-23,Juniors,73.71,74,195,120,232.5,8,2015-06-05,IPF,World Classic Powerlifting Championships
Ladislav Přibilík,M,SBD,Raw,21.5,20-23,Juniors,72.3,74,192.5,117.5,230,9,2015-06-05,IPF,World Classic Powerlifting Championships
Tomoki Maegawa,M,SBD,Raw,20.5,20-23,Juniors,73.49,74,195,117.5,200,10,2015-06-05,IPF,World Classic Powerlifting Championships
Teemu Hällfors,M,SBD,Raw,19.5,20-23,Juniors,73.02,74,NA,155,220,DQ,2015-06-05,IPF,World Classic Powerlifting Championships
Josh Hancott,M,SBD,Raw,21.5,20-23,Juniors,73.66,74,242.5,171.5,NA,DQ,2015-06-05,IPF,World Classic Powerlifting Championships
Owen Hubbard,M,SBD,Raw,22.5,20-23,Juniors,81.44,83,270,205,270,1,2015-06-05,IPF,World Classic Powerlifting Championships
Jonnie Candito,M,SBD,Raw,22.5,20-23,Juniors,81.77,83,260,157.5,287.5,2,2015-06-05,IPF,World Classic Powerlifting Championships
Joshua Tukua,M,SBD,Raw,22.5,20-23,Juniors,81.58,83,230,157.5,292.5,3,2015-06-05,IPF,World Classic Powerlifting Championships
Joris Quai,M,SBD,Raw,22.5,20-23,Juniors,81.93,83,250,152.5,277.5,4,2015-06-05,IPF,World Classic Powerlifting Championships
Michael Previdsa,M,SBD,Raw,22.5,20-23,Juniors,82.45,83,242.5,142.5,280,5,2015-06-05,IPF,World Classic Powerlifting Championships
Anatoliy Zhavoronkov,M,SBD,Raw,19.5,20-23,Juniors,82.6,83,242.5,167.5,242.5,6,2015-06-05,IPF,World Classic Powerlifting Championships
Ossi Sahlberg,M,SBD,Raw,22.5,20-23,Juniors,82.36,83,230,150,270,7,2015-06-05,IPF,World Classic Powerlifting Championships
Khashayar Farzam,M,SBD,Raw,21.5,20-23,Juniors,79.96,83,215,175,250,8,2015-06-05,IPF,World Classic Powerlifting Championships
Kevin Boateng,M,SBD,Raw,22.5,20-23,Juniors,82.36,83,222.5,150,265,9,2015-06-05,IPF,World Classic Powerlifting Championships
Nicki Lentz,M,SBD,Raw,22.5,20-23,Juniors,82.72,83,245,150,235,10,2015-06-05,IPF,World Classic Powerlifting Championships
Alex Pinnow,M,SBD,Raw,21.5,20-23,Juniors,79.13,83,232.5,150,245,11,2015-06-05,IPF,World Classic Powerlifting Championships
Jun Furukawa,M,SBD,Raw,18.5,18-19,Juniors,81.72,83,230,120,275,12,2015-06-05,IPF,World Classic Powerlifting Championships
Radomil Vašík,M,SBD,Raw,20.5,20-23,Juniors,81.69,83,227.5,127.5,265,13,2015-06-05,IPF,World Classic Powerlifting Championships
Lauri Tamminen,M,SBD,Raw,22.5,20-23,Juniors,82.32,83,220,150,240,14,2015-06-05,IPF,World Classic Powerlifting Championships
Byron White,M,SBD,Raw,21.5,20-23,Juniors,82.74,83,210,142.5,242.5,15,2015-06-05,IPF,World Classic Powerlifting Championships
Alexander Cochrane-Davis,M,SBD,Raw,22.5,20-23,Juniors,82.7,83,215,150,175,16,2015-06-05,IPF,World Classic Powerlifting Championships
