Entity,Code,Year,Aquaculture production (metric tons),Capture fisheries production (metric tons)
Denmark,DNK,1971,11910,1388991
Denmark,DNK,1972,13914,1429007
Denmark,DNK,1973,13176,1430486
Denmark,DNK,1974,12190,1823180
Denmark,DNK,1975,15188,1751851
Denmark,DNK,1976,14149,1905048
Denmark,DNK,1977,13633,1792979
Denmark,DNK,1978,16060,1734709
Denmark,DNK,1979,17118,1724138
Denmark,DNK,1980,18555,2013518
Denmark,DNK,1981,21202,1838243
Denmark,DNK,1982,21655,1909718
Denmark,DNK,1983,25363,1845546
Denmark,DNK,1984,23609,1827875
Denmark,DNK,1985,24244,1772745
Denmark,DNK,1986,24402,1825356
Denmark,DNK,1987,25851,1681965
Denmark,DNK,1988,28659,1945755
Denmark,DNK,1989,33059,1896338
Denmark,DNK,1990,41946,1475700
Denmark,DNK,1991,42098,1751238
Denmark,DNK,1992,43264,1953946
Denmark,DNK,1993,39739,1618738
Denmark,DNK,1994,42892,1877765
Denmark,DNK,1995,44730,2006033
Denmark,DNK,1996,41924,1681518
Denmark,DNK,1997,39697,1826852
Denmark,DNK,1998,42368,1562541
Denmark,DNK,1999,42670,1409227
Denmark,DNK,2000,43609,1538238
Denmark,DNK,2001,41573,1514581
Denmark,DNK,2002,32026,1442348
Denmark,DNK,2003,37772,1031221
Denmark,DNK,2004,42814,1090596
Denmark,DNK,2005,39012,910598
Denmark,DNK,2006,37188,867721
Denmark,DNK,2007,31168,653053
Denmark,DNK,2008,36066,690584
Denmark,DNK,2009,35130.3984375,777752
Denmark,DNK,2010,36175,828089
Denmark,DNK,2011,35918,716387
Denmark,DNK,2012,34585.5390625,502790
Denmark,DNK,2013,37707.19921875,668480
Denmark,DNK,2014,34382.19921875,745146
Denmark,DNK,2015,35866.69921875,869013
Denmark,DNK,2016,36337,670328
Denmark,DNK,2017,37498,904572
Denmark,DNK,2018,36453,789284
Djibouti,DJI,1960,,900
Djibouti,DJI,1961,,800
Djibouti,DJI,1962,,900
Djibouti,DJI,1963,,1000
Djibouti,DJI,1964,,300
Djibouti,DJI,1965,,300
Djibouti,DJI,1966,,300
Djibouti,DJI,1967,,300
Djibouti,DJI,1968,,300
Djibouti,DJI,1969,,300
Djibouti,DJI,1970,,300
Djibouti,DJI,1971,,300
Djibouti,DJI,1972,,100
Djibouti,DJI,1973,,200
Djibouti,DJI,1974,,380
Djibouti,DJI,1975,,300
Djibouti,DJI,1976,,230
Djibouti,DJI,1977,,230
Djibouti,DJI,1978,,230
Djibouti,DJI,1979,,231
Djibouti,DJI,1980,,251
Djibouti,DJI,1981,,385
Djibouti,DJI,1982,,426
Djibouti,DJI,1983,,409
Djibouti,DJI,1984,,409
Djibouti,DJI,1985,,380
Djibouti,DJI,1986,,409
Djibouti,DJI,1987,,426
Djibouti,DJI,1988,,454
Djibouti,DJI,1989,,399
Djibouti,DJI,1990,,360
Djibouti,DJI,1991,,252
Djibouti,DJI,1992,,275
Djibouti,DJI,1993,,300
Djibouti,DJI,1994,,320
Djibouti,DJI,1995,,350
Djibouti,DJI,1996,,400
Djibouti,DJI,1997,,500
Djibouti,DJI,1998,,600
Djibouti,DJI,1999,,700
Djibouti,DJI,2000,,800
Djibouti,DJI,2001,,900
Djibouti,DJI,2002,,1000
Djibouti,DJI,2003,,1100
Djibouti,DJI,2004,,1200
Djibouti,DJI,2005,,1571
Djibouti,DJI,2006,,1299
Djibouti,DJI,2007,,1229
Djibouti,DJI,2008,,1206
Djibouti,DJI,2009,,1058
Djibouti,DJI,2010,,1590
Djibouti,DJI,2011,,1667
Djibouti,DJI,2012,,2167
Djibouti,DJI,2013,,1702
Djibouti,DJI,2014,,2298
Djibouti,DJI,2015,,2012
Djibouti,DJI,2016,,2220
Djibouti,DJI,2017,,2022
Djibouti,DJI,2018,,2102
Dominica,DMA,1984,0,700
Dominica,DMA,1985,0,640
Dominica,DMA,1986,0,644
Dominica,DMA,1987,0,500
Dominica,DMA,1988,0,500
Dominica,DMA,1989,0,500
Dominica,DMA,1990,0,458
Dominica,DMA,1991,0,552
Dominica,DMA,1992,6,711
Dominica,DMA,1993,3,794
Dominica,DMA,1994,3,882
Dominica,DMA,1995,4,950
Dominica,DMA,1996,4,1030
Dominica,DMA,1997,5,1079
Dominica,DMA,1998,5,1212
Dominica,DMA,1999,5,1200
Dominica,DMA,2000,7,1200
Dominica,DMA,2001,12,1200
Dominica,DMA,2002,13,1198
Dominica,DMA,2003,13,950
Dominica,DMA,2004,18,700
Dominica,DMA,2005,19,579
Dominica,DMA,2006,24,694
Dominica,DMA,2007,24,677
Dominica,DMA,2008,24,699
Dominica,DMA,2009,24,772
Dominica,DMA,2010,11,700
Dominica,DMA,2011,6,662
Dominica,DMA,2012,6,625
Dominica,DMA,2013,6,527
Dominica,DMA,2014,6,1029
Dominica,DMA,2015,6,990
Dominica,DMA,2016,6,809
Dominica,DMA,2017,0,784
Dominica,DMA,2018,0,762
Dominica,DMA,1960,,500
Dominica,DMA,1961,,500
Dominica,DMA,1962,,600
Dominica,DMA,1963,,600
Dominica,DMA,1964,,600
Dominica,DMA,1965,,500
Dominica,DMA,1966,,500
Dominica,DMA,1967,,500
Dominica,DMA,1968,,600
Dominica,DMA,1969,,600
Dominica,DMA,1970,,500
Dominica,DMA,1971,,600
Dominica,DMA,1972,,700
Dominica,DMA,1973,,800
Dominica,DMA,1974,,900
Dominica,DMA,1975,,1001
Dominica,DMA,1976,,1024
Dominica,DMA,1977,,1047
Dominica,DMA,1978,,1070
Dominica,DMA,1979,,642
Dominica,DMA,1980,,1445
Dominica,DMA,1981,,1514
Dominica,DMA,1982,,1545
Dominica,DMA,1983,,800
Dominican Republic,DOM,1970,0,5200
Dominican Republic,DOM,1971,0,4600
Dominican Republic,DOM,1972,0,5600
Dominican Republic,DOM,1973,0,9200
Dominican Republic,DOM,1974,0,6810
Dominican Republic,DOM,1975,0,5906
Dominican Republic,DOM,1976,0,7053
Dominican Republic,DOM,1977,0,4594
Dominican Republic,DOM,1978,0,5086
Dominican Republic,DOM,1979,0,7885
Dominican Republic,DOM,1980,0,10658
Dominican Republic,DOM,1981,0,12003
Dominican Republic,DOM,1982,0,13169
Dominican Republic,DOM,1983,3,12849
Dominican Republic,DOM,1984,50,13875
Dominican Republic,DOM,1985,193,17009.900390625
Dominican Republic,DOM,1986,301,16988.099609375
Dominican Republic,DOM,1987,323,20129
Dominican Republic,DOM,1988,277,12663
Dominican Republic,DOM,1989,221,21663
Dominican Republic,DOM,1990,280,19495
Dominican Republic,DOM,1991,615,16839
Dominican Republic,DOM,1992,815,12846
Dominican Republic,DOM,1993,1347,12857
Dominican Republic,DOM,1994,3982,22832
Dominican Republic,DOM,1995,2206,17874
Dominican Republic,DOM,1996,789,12894
Dominican Republic,DOM,1997,677,14535
Dominican Republic,DOM,1998,810,10171
Dominican Republic,DOM,1999,748,8418
Dominican Republic,DOM,2000,2125,11015
Dominican Republic,DOM,2001,2647,13217
Dominican Republic,DOM,2002,3554,17261
Dominican Republic,DOM,2003,1944,18097
Dominican Republic,DOM,2004,2000,14223
Dominican Republic,DOM,2005,980,11193
Dominican Republic,DOM,2006,980,12956
Dominican Republic,DOM,2007,1080,13709
Dominican Republic,DOM,2008,1080,15382
Dominican Republic,DOM,2009,1230,14233
Dominican Republic,DOM,2010,1280,14490
Dominican Republic,DOM,2011,2147.89990234375,14005
Dominican Republic,DOM,2012,1031.80004882813,13663
Dominican Republic,DOM,2013,1505,13188
Dominican Republic,DOM,2014,2180.5,13782
Dominican Republic,DOM,2015,2235,11893
Dominican Republic,DOM,2016,1985,14640
Dominican Republic,DOM,2017,2450,15715
Dominican Republic,DOM,2018,2500,13542
Dominican Republic,DOM,1960,,1300
Dominican Republic,DOM,1961,,1600
Dominican Republic,DOM,1962,,1700
Dominican Republic,DOM,1963,,3200
Dominican Republic,DOM,1964,,4200
Dominican Republic,DOM,1965,,4100
Dominican Republic,DOM,1966,,3500
Dominican Republic,DOM,1967,,3200
Dominican Republic,DOM,1968,,4600
Dominican Republic,DOM,1969,,4800
Early-demographic dividend,,1960,250769,8283323
Early-demographic dividend,,1961,264503,10188578
Early-demographic dividend,,1962,274795,12053524
Early-demographic dividend,,1963,283773,12368883
Early-demographic dividend,,1964,298833,15287986
Early-demographic dividend,,1965,310648,13986004
Early-demographic dividend,,1966,328116,15705300
Early-demographic dividend,,1967,345670,17575364
Early-demographic dividend,,1968,381834,18671798
Early-demographic dividend,,1969,397948,17309427
Early-demographic dividend,,1970,420188,20553998
Early-demographic dividend,,1971,450596,18859277
Early-demographic dividend,,1972,477248,13150461
Early-demographic dividend,,1973,516505,11608727
Early-demographic dividend,,1974,571545,13782064
Early-demographic dividend,,1975,605367,13003372
Early-demographic dividend,,1976,654852,13900406
Early-demographic dividend,,1977,724927,12654923
Early-demographic dividend,,1978,843439,14270668
Early-demographic dividend,,1979,939054,14884224
Early-demographic dividend,,1980,1087010,14211304
Early-demographic dividend,,1981,1210130,14550116.578125
Early-demographic dividend,,1982,1339509,15429303.640625
Early-demographic dividend,,1983,1512887,13542548.2585449
Early-demographic dividend,,1984,1630186,15970626.2768555
Early-demographic dividend,,1985,1770821,17609285.5993652
Early-demographic dividend,,1986,1894107,19440668.3742676
Early-demographic dividend,,1987,2191506,19279117.5871582
Early-demographic dividend,,1988,2435714,21795265.4389648
Early-demographic dividend,,1989,2627883,22033689.3452148
Early-demographic dividend,,1990,2791389,21909889.6064453
Early-demographic dividend,,1991,3090311,22417966.7524414
Early-demographic dividend,,1992,3382563,23902526.9375
Early-demographic dividend,,1993,3533318,26368697
Early-demographic dividend,,1994,3770609,29778392.8164063
Early-demographic dividend,,1995,4115852,27671114.5976563
Early-demographic dividend,,1996,4530410,28486953.0976563
Early-demographic dividend,,1997,4686566,27458528.8867188
Early-demographic dividend,,1998,4889276,23578559.390625
Early-demographic dividend,,1999,5430792,28412646.9648438
Early-demographic dividend,,2000,5564256,31249727.4804688
Early-demographic dividend,,2001,6123486,29576343.7363281
Early-demographic dividend,,2002,6603444,30598923.6386719
Early-demographic dividend,,2003,7231296,28441413.78125
Early-demographic dividend,,2004,8564267.19995117,32164435.25
Early-demographic dividend,,2005,9819611.91880035,32474858.40625
Early-demographic dividend,,2006,10882328.7999763,31002623.8945313
Early-demographic dividend,,2007,11753229.0511513,31424021.1640625
Early-demographic dividend,,2008,13644283.7624283,31894308.2617188
Early-demographic dividend,,2009,14777544.3070374,31489341.8046875
Early-demographic dividend,,2010,17091668.7720296,29397161.09375
Early-demographic dividend,,2011,19113309.0808604,32963117.0351563
Early-demographic dividend,,2012,21660016.0692434,30520827.1992188
Early-demographic dividend,,2013,25921159.5903168,31348291.875
Early-demographic dividend,,2014,27657542.8507047,30267228.609375
Early-demographic dividend,,2015,29589034.7761625,31630212.453125
Early-demographic dividend,,2016,30754529.8186321,30906646.6796875
Early-demographic dividend,,2017,31810228.2080774,32113903.8720703
Early-demographic dividend,,2018,31937306.9307833,35708302.4980469
East Asia & Pacific,,1960,1566799,11523975
East Asia & Pacific,,1961,1452098,12589954
East Asia & Pacific,,1962,1466861,13118594
East Asia & Pacific,,1963,1683131,13163580
East Asia & Pacific,,1964,1832605,13186114
East Asia & Pacific,,1965,1998775,14105562
East Asia & Pacific,,1966,2244844,14736372
East Asia & Pacific,,1967,2337102,15844517
East Asia & Pacific,,1968,2451890,17263531
East Asia & Pacific,,1969,2615775,17489643
East Asia & Pacific,,1970,2749797,18176863
East Asia & Pacific,,1971,3192508,19490317
East Asia & Pacific,,1972,3442637,20823624
East Asia & Pacific,,1973,3592384,21778154
East Asia & Pacific,,1974,3994769,22115001
East Asia & Pacific,,1975,4142412,22207647
East Asia & Pacific,,1976,4339126,22883601
East Asia & Pacific,,1977,5232585,23734040
East Asia & Pacific,,1978,5527637,24044423
East Asia & Pacific,,1979,5611121,23444287
East Asia & Pacific,,1980,6159881,23802495
East Asia & Pacific,,1981,6350455,24907607
East Asia & Pacific,,1982,6548808,25645813.8125
East Asia & Pacific,,1983,7319570,26666317.3808594
East Asia & Pacific,,1984,8243774.5,27775412.0878906
East Asia & Pacific,,1985,9212426.70600128,27695633.3339844
East Asia & Pacific,,1986,10227915.1040039,29939253.4121094
East Asia & Pacific,,1987,11245675.25,30973557.6523438
East Asia & Pacific,,1988,12687780,31207834.7578125
East Asia & Pacific,,1989,13496780.125,31521439.2773438
East Asia & Pacific,,1990,13661964,31305666.0625
East Asia & Pacific,,1991,15084800.625,30866619.3457031
East Asia & Pacific,,1992,18036081.8999023,31900243.9121094
East Asia & Pacific,,1993,21465491.0810547,32745607.9797363
East Asia & Pacific,,1994,24543360.960022,34007253.6757813
East Asia & Pacific,,1995,27555654.1989746,35520711.1485596
East Asia & Pacific,,1996,29850397.1300049,36927635.8693848
East Asia & Pacific,,1997,29870753.6879883,37760402.0095215
East Asia & Pacific,,1998,31579620.1260376,37992259.6125488
East Asia & Pacific,,1999,34341529.5915527,38203140.8149414
East Asia & Pacific,,2000,36251912.7919922,37940634.4272461
East Asia & Pacific,,2001,38122884.7739624,37637528.8613281
East Asia & Pacific,,2002,40939011.9660645,37474963.1323242
East Asia & Pacific,,2003,43277144.5579834,38608794.9414063
East Asia & Pacific,,2004,46744171.7529297,38849455.0664063
East Asia & Pacific,,2005,49825070.1281738,39234956.9781494
East Asia & Pacific,,2006,52929419.0010498,39658945.8476563
East Asia & Pacific,,2007,56027453.6668701,40176326.74646
East Asia & Pacific,,2008,58888680.2092285,39698486.6022949
East Asia & Pacific,,2009,62189965.3441734,39315459.1601563
East Asia & Pacific,,2010,65743207.4106731,39437810.453125
East Asia & Pacific,,2011,68724358.4514923,39674976.1257935
East Asia & Pacific,,2012,73955125.4058928,39949521.9960938
East Asia & Pacific,,2013,80212468.0402313,40530469.8125
East Asia & Pacific,,2014,83707629.1496312,42131869.34375
East Asia & Pacific,,2015,87376740.269578,42123453.421875
East Asia & Pacific,,2016,90804819.4852112,40945529.8671875
East Asia & Pacific,,2017,93732055.0535982,40718597.78125
East Asia & Pacific,,2018,94599208.2446256,40691750.6772461
East Asia & Pacific (IDA & IBRD),,1960,1177040,4552198
East Asia & Pacific (IDA & IBRD),,1961,1015286,4976592
East Asia & Pacific (IDA & IBRD),,1962,987739,5307497
East Asia & Pacific (IDA & IBRD),,1963,1115637,5493725
East Asia & Pacific (IDA & IBRD),,1964,1284686,5752628
East Asia & Pacific (IDA & IBRD),,1965,1434323,6041928
East Asia & Pacific (IDA & IBRD),,1966,1624474,6346800
East Asia & Pacific (IDA & IBRD),,1967,1636224,6602702
East Asia & Pacific (IDA & IBRD),,1968,1663695,7141914
East Asia & Pacific (IDA & IBRD),,1969,1885170,7312838
East Asia & Pacific (IDA & IBRD),,1970,1872439,7413662
East Asia & Pacific (IDA & IBRD),,1971,2200895,7942129
East Asia & Pacific (IDA & IBRD),,1972,2371815,8595396
East Asia & Pacific (IDA & IBRD),,1973,2225366,8962526
East Asia & Pacific (IDA & IBRD),,1974,2430751,9015540
East Asia & Pacific (IDA & IBRD),,1975,2636144,9134963
East Asia & Pacific (IDA & IBRD),,1976,2652117,9450791
East Asia & Pacific (IDA & IBRD),,1977,3414502,10235340
East Asia & Pacific (IDA & IBRD),,1978,3683799,10149584
East Asia & Pacific (IDA & IBRD),,1979,3648303,9737635
East Asia & Pacific (IDA & IBRD),,1980,3988044,9746735
East Asia & Pacific (IDA & IBRD),,1981,3967025,10159549
East Asia & Pacific (IDA & IBRD),,1982,4197280,10829004
East Asia & Pacific (IDA & IBRD),,1983,4701328,11649699.96875
East Asia & Pacific (IDA & IBRD),,1984,5387166,11796937.1132813
East Asia & Pacific (IDA & IBRD),,1985,6210952,12294882.1210938
East Asia & Pacific (IDA & IBRD),,1986,6825517,13486778.5996094
East Asia & Pacific (IDA & IBRD),,1987,7708798,14595944.6523438
East Asia & Pacific (IDA & IBRD),,1988,8918031,14949199.6328125
East Asia & Pacific (IDA & IBRD),,1989,9765046,15726825.5273438
East Asia & Pacific (IDA & IBRD),,1990,10205589,16552965.3125
East Asia & Pacific (IDA & IBRD),,1991,11619043,17674097.9707031
East Asia & Pacific (IDA & IBRD),,1992,14241777.8999023,19177103.6621094
East Asia & Pacific (IDA & IBRD),,1993,17550438.0340576,20551637.4797363
East Asia & Pacific (IDA & IBRD),,1994,20841586,22574290.1132813
East Asia & Pacific (IDA & IBRD),,1995,24017122,24659144.1485596
East Asia & Pacific (IDA & IBRD),,1996,26434974,26282855.3444824
East Asia & Pacific (IDA & IBRD),,1997,26613067,27059913.9257813
East Asia & Pacific (IDA & IBRD),,1998,28624634,28089472.75
East Asia & Pacific (IDA & IBRD),,1999,31369747.0195313,28413493.4648438
East Asia & Pacific (IDA & IBRD),,2000,33437798,28625206.2070313
East Asia & Pacific (IDA & IBRD),,2001,35197219.4,28569768.2363281
East Asia & Pacific (IDA & IBRD),,2002,37766373,28991039.9667969
East Asia & Pacific (IDA & IBRD),,2003,40126141,29809970.5820313
East Asia & Pacific (IDA & IBRD),,2004,43543317.6999512,30609045.3320313
East Asia & Pacific (IDA & IBRD),,2005,46533578.3000488,30883797.5093994
East Asia & Pacific (IDA & IBRD),,2006,49426614.3999756,31355385.8476563
East Asia & Pacific (IDA & IBRD),,2007,52328970.0999756,31570185.3590088
East Asia & Pacific (IDA & IBRD),,2008,55283466.9499512,31203005.3991699
East Asia & Pacific (IDA & IBRD),,2009,58627465.5035973,31394074.6289063
East Asia & Pacific (IDA & IBRD),,2010,62193528.3474884,31582428.09375
East Asia & Pacific (IDA & IBRD),,2011,65284671.7300854,32060881.6101685
East Asia & Pacific (IDA & IBRD),,2012,70321062.6659026,32532537.9492188
East Asia & Pacific (IDA & IBRD),,2013,76602593.8574921,33204259.75
East Asia & Pacific (IDA & IBRD),,2014,80023080.8623387,34512198.984375
East Asia & Pacific (IDA & IBRD),,2015,83533724.4134989,34939628.453125
East Asia & Pacific (IDA & IBRD),,2016,86786276.9887512,34495545.4296875
East Asia & Pacific (IDA & IBRD),,2017,89245024.0800875,34290566.375
East Asia & Pacific (IDA & IBRD),,2018,90159290.1289029,34317267.75
East Asia & Pacific (excluding high income),,1960,1182276,4850888
East Asia & Pacific (excluding high income),,1961,1021573,5317192
East Asia & Pacific (excluding high income),,1962,995295,5653897
East Asia & Pacific (excluding high income),,1963,1124866,5857925
East Asia & Pacific (excluding high income),,1964,1296096,6111662
East Asia & Pacific (excluding high income),,1965,1448466,6423458
East Asia & Pacific (excluding high income),,1966,1642315,6755314
East Asia & Pacific (excluding high income),,1967,1660914,7035496
East Asia & Pacific (excluding high income),,1968,1703913,7585058
East Asia & Pacific (excluding high income),,1969,1941014,7753276
East Asia & Pacific (excluding high income),,1970,1944182,7789680
East Asia & Pacific (excluding high income),,1971,2289028,8367086
East Asia & Pacific (excluding high income),,1972,2477078,9060977
East Asia & Pacific (excluding high income),,1973,2348823,9433376
East Asia & Pacific (excluding high income),,1974,2573889,9557914
East Asia & Pacific (excluding high income),,1975,2801752,9699910
East Asia & Pacific (excluding high income),,1976,2845006,10074648
East Asia & Pacific (excluding high income),,1977,3638066,10845539
East Asia & Pacific (excluding high income),,1978,3941805,11085045
East Asia & Pacific (excluding high income),,1979,3946264,10644989
East Asia & Pacific (excluding high income),,1980,4335343,10592227
East Asia & Pacific (excluding high income),,1981,4371379,11195286
East Asia & Pacific (excluding high income),,1982,4668197,11880923
East Asia & Pacific (excluding high income),,1983,5250711,12387630.96875
East Asia & Pacific (excluding high income),,1984,6081966,12547902.1132813
East Asia & Pacific (excluding high income),,1985,6955852,13033646.1210938
East Asia & Pacific (excluding high income),,1986,7680617,14258677.5996094
East Asia & Pacific (excluding high income),,1987,8788798,15548665.6523438
East Asia & Pacific (excluding high income),,1988,10008031,15679884.6328125
East Asia & Pacific (excluding high income),,1989,10965043,16492400.5273438
East Asia & Pacific (excluding high income),,1990,11105587,17029752.3125
East Asia & Pacific (excluding high income),,1991,12569046,18049860.9707031
East Asia & Pacific (excluding high income),,1992,15341780.8999023,19538282.6621094
East Asia & Pacific (excluding high income),,1993,18680441.0340576,20947333.84375
East Asia & Pacific (excluding high income),,1994,21658627,22944793.1132813
East Asia & Pacific (excluding high income),,1995,24755441,24984504.0585938
East Asia & Pacific (excluding high income),,1996,27217452,26534671.8945313
East Asia & Pacific (excluding high income),,1997,27102391,27295467.9257813
East Asia & Pacific (excluding high income),,1998,29106138,28316706.75
East Asia & Pacific (excluding high income),,1999,31851251.0195313,28632682.4648438
East Asia & Pacific (excluding high income),,2000,33905501,28837251.2070313
East Asia & Pacific (excluding high income),,2001,35705322,28778491.2363281
East Asia & Pacific (excluding high income),,2002,38274474,29201609.9667969
East Asia & Pacific (excluding high income),,2003,40634242,30018670.5820313
East Asia & Pacific (excluding high income),,2004,44051427.6999512,30816707.3320313
East Asia & Pacific (excluding high income),,2005,47041758.3000488,31091055.609375
East Asia & Pacific (excluding high income),,2006,49934806.5999756,31564397.8476563
East Asia & Pacific (excluding high income),,2007,52837220.0999756,31780142.5390625
East Asia & Pacific (excluding high income),,2008,55792014.9499512,31410786.1992188
East Asia & Pacific (excluding high income),,2009,59136101.6235962,31604454.6289063
East Asia & Pacific (excluding high income),,2010,62703306.2374878,31803682.09375
East Asia & Pacific (excluding high income),,2011,65794468.1500854,32283242.4101563
East Asia & Pacific (excluding high income),,2012,70831655.7549033,32750749.9492188
East Asia & Pacific (excluding high income),,2013,77114268.8624916,33415122.75
East Asia & Pacific (excluding high income),,2014,80579616.2363385,34739383.984375
East Asia & Pacific (excluding high income),,2015,84090467.9234983,35161388.453125
East Asia & Pacific (excluding high income),,2016,87406022.8887501,34706378.4296875
East Asia & Pacific (excluding high income),,2017,89870083.0800867,34501966.375
East Asia & Pacific (excluding high income),,2018,90788346.9289021,34527696.75
Ecuador,ECU,1960,0,44300
Ecuador,ECU,1961,0,38600
Ecuador,ECU,1962,0,42500
Ecuador,ECU,1963,0,49700
Ecuador,ECU,1964,0,46300
Ecuador,ECU,1965,0,53500
Ecuador,ECU,1966,0,48200
Ecuador,ECU,1967,0,57500
Ecuador,ECU,1968,0,68900
Ecuador,ECU,1969,10,64890
Ecuador,ECU,1970,50,90970
Ecuador,ECU,1971,50,102530
Ecuador,ECU,1972,200,106840
Ecuador,ECU,1973,513,151565
Ecuador,ECU,1974,1030,175470
Ecuador,ECU,1975,1591,214198
Ecuador,ECU,1976,2155,280638
Ecuador,ECU,1977,3552,421954
Ecuador,ECU,1978,4113,610399
Ecuador,ECU,1979,5009,600266
Ecuador,ECU,1980,9565,629977
Ecuador,ECU,1981,12554,526740
Ecuador,ECU,1982,22016,585911
Ecuador,ECU,1983,36273,336156
Ecuador,ECU,1984,34225,849180
Ecuador,ECU,1985,30876,1056800
Ecuador,ECU,1986,44339,959932
Ecuador,ECU,1987,70099,610035
Ecuador,ECU,1988,75631,800393
Ecuador,ECU,1989,71211,611582
Ecuador,ECU,1990,77730,288913
Ecuador,ECU,1991,107145,330525
Ecuador,ECU,1992,116694,226817
Ecuador,ECU,1993,87763,290394
Ecuador,ECU,1994,89096,330475
Ecuador,ECU,1995,106223,508578
Ecuador,ECU,1996,108880,702974
Ecuador,ECU,1997,134497,536887
Ecuador,ECU,1998,145790,322348
Ecuador,ECU,1999,126575,503032
Ecuador,ECU,2000,61311,596489
Ecuador,ECU,2001,57587,587770
Ecuador,ECU,2002,77636,319169
Ecuador,ECU,2003,95278,399526
Ecuador,ECU,2004,108673,356774
Ecuador,ECU,2005,138562,464387
Ecuador,ECU,2006,169588,469060
Ecuador,ECU,2007,171020,408926
Ecuador,ECU,2008,173222,505571
Ecuador,ECU,2009,219463,498679
Ecuador,ECU,2010,272720.8125,399874
Ecuador,ECU,2011,309702,506430
Ecuador,ECU,2012,322655,512308
Ecuador,ECU,2013,332382,513347
Ecuador,ECU,2014,368457,662356
Ecuador,ECU,2015,426660.40625,643280
Ecuador,ECU,2016,451339.875,715496
Ecuador,ECU,2017,469755,623300
Ecuador,ECU,2018,539755,598807
Egypt,EGY,1960,4600,83900
Egypt,EGY,1961,5200,86800
Egypt,EGY,1962,5200,112800
Egypt,EGY,1963,6000,109000
Egypt,EGY,1964,7000,128000
Egypt,EGY,1965,6200,96200
Egypt,EGY,1966,5900,93100
Egypt,EGY,1967,5600,74700
Egypt,EGY,1968,5600,74900
Egypt,EGY,1969,5900,74100
Egypt,EGY,1970,6000,70758
Egypt,EGY,1971,7000,77268
Egypt,EGY,1972,8000,71209
Egypt,EGY,1973,9000,78514
Egypt,EGY,1974,9000,89344
Egypt,EGY,1975,9000,97574
Egypt,EGY,1976,11000,91764
Egypt,EGY,1977,13000,91541
Egypt,EGY,1978,15000,84915
Egypt,EGY,1979,17000,120481
Egypt,EGY,1980,19000,121397
Egypt,EGY,1981,21000,120715.578125
Egypt,EGY,1982,24000,131732.640625
Egypt,EGY,1983,25000,132306.390625
Egypt,EGY,1984,27000,136839.53125
Egypt,EGY,1985,41846,174109.765625
Egypt,EGY,1986,45500,183653.96875
Egypt,EGY,1987,46400,184712.890625
Egypt,EGY,1988,52200,232128.796875
Egypt,EGY,1989,60500,233105.796875
Egypt,EGY,1990,61916,251036
Egypt,EGY,1991,61617,284431
Egypt,EGY,1992,63895,282401.8125
Egypt,EGY,1993,51210,302830.6875
Egypt,EGY,1994,56603,311601.59375
Egypt,EGY,1995,71815,335301.5
Egypt,EGY,1996,91137,340435.40625
Egypt,EGY,1997,85704,371333.1875
Egypt,EGY,1998,139389,406205
Egypt,EGY,1999,226276,422666
Egypt,EGY,2000,340093,384315
Egypt,EGY,2001,342864,428634
Egypt,EGY,2002,376296,425163
Egypt,EGY,2003,445181,431124
Egypt,EGY,2004,471535,393495
Egypt,EGY,2005,539748,349554
Egypt,EGY,2006,595030,375895
Egypt,EGY,2007,635516,372492
Egypt,EGY,2008,693815,373816
Egypt,EGY,2009,705490,387399
Egypt,EGY,2010,919585,385210
Egypt,EGY,2011,986820,375355
Egypt,EGY,2012,1017738,354174
Egypt,EGY,2013,1097544,356858
Egypt,EGY,2014,1137091,344792
Egypt,EGY,2015,1174831,344113
Egypt,EGY,2016,1370660,335614
Egypt,EGY,2017,1451841,370960
Egypt,EGY,2018,1561457,373286
El Salvador,SLV,1984,10,12179
El Salvador,SLV,1985,676,15422
El Salvador,SLV,1986,760,19686
El Salvador,SLV,1987,790,20744
El Salvador,SLV,1988,718,11015
El Salvador,SLV,1989,711,9926
El Salvador,SLV,1990,632,8527
El Salvador,SLV,1991,117,11210
El Salvador,SLV,1992,539,12076
El Salvador,SLV,1993,628,12451
El Salvador,SLV,1994,1324,13559
El Salvador,SLV,1995,518,15072
El Salvador,SLV,1996,358,14433
El Salvador,SLV,1997,384,11897
El Salvador,SLV,1998,399,10978
El Salvador,SLV,1999,279,9915
El Salvador,SLV,2000,261,9590
El Salvador,SLV,2001,395,19609
El Salvador,SLV,2002,781,35943
El Salvador,SLV,2003,1131,35484
El Salvador,SLV,2004,2219,42415
El Salvador,SLV,2005,2203,41114
El Salvador,SLV,2006,3078,43218
El Salvador,SLV,2007,3734,54664
El Salvador,SLV,2008,3817,53287
El Salvador,SLV,2009,4355.7099609375,48424
El Salvador,SLV,2010,4499.93017578125,39583
El Salvador,SLV,2011,4883.7001953125,54281
El Salvador,SLV,2012,5322,49414
El Salvador,SLV,2013,3278,51723
El Salvador,SLV,2014,1663,63211
El Salvador,SLV,2015,6742.7099609375,50441
El Salvador,SLV,2016,7955.68017578125,54084
El Salvador,SLV,2017,8300,51281
El Salvador,SLV,2018,8600,53697
El Salvador,SLV,1960,,7300
El Salvador,SLV,1961,,8000
El Salvador,SLV,1962,,8200
El Salvador,SLV,1963,,8400
El Salvador,SLV,1964,,9200
El Salvador,SLV,1965,,9600
