Entity,Code,Year,Capture fisheries production (metric tons)
East Asia & Pacific,,1996,36927635.8693848
East Asia & Pacific,,1997,37760402.0095215
East Asia & Pacific,,1998,37992259.6125488
East Asia & Pacific,,1999,38203140.8149414
East Asia & Pacific,,2000,37940634.4272461
East Asia & Pacific,,2001,37637528.8613281
East Asia & Pacific,,2002,37474963.1323242
East Asia & Pacific,,2003,38608794.9414063
East Asia & Pacific,,2004,38849455.0664063
East Asia & Pacific,,2005,39234956.9781494
East Asia & Pacific,,2006,39658945.8476563
East Asia & Pacific,,2007,40176326.74646
East Asia & Pacific,,2008,39698486.6022949
East Asia & Pacific,,2009,39315459.1601563
East Asia & Pacific,,2010,39437810.453125
East Asia & Pacific,,2011,39674976.1257935
East Asia & Pacific,,2012,39949521.9960938
East Asia & Pacific,,2013,40530469.8125
East Asia & Pacific,,2014,42131869.34375
East Asia & Pacific,,2015,42123453.421875
East Asia & Pacific,,2016,40945529.8671875
East Asia & Pacific,,2017,40718597.78125
East Asia & Pacific,,2018,40691750.6772461
East Asia & Pacific (IDA & IBRD),,1960,4552198
East Asia & Pacific (IDA & IBRD),,1961,4976592
East Asia & Pacific (IDA & IBRD),,1962,5307497
East Asia & Pacific (IDA & IBRD),,1963,5493725
East Asia & Pacific (IDA & IBRD),,1964,5752628
East Asia & Pacific (IDA & IBRD),,1965,6041928
East Asia & Pacific (IDA & IBRD),,1966,6346800
East Asia & Pacific (IDA & IBRD),,1967,6602702
East Asia & Pacific (IDA & IBRD),,1968,7141914
East Asia & Pacific (IDA & IBRD),,1969,7312838
East Asia & Pacific (IDA & IBRD),,1970,7413662
East Asia & Pacific (IDA & IBRD),,1971,7942129
East Asia & Pacific (IDA & IBRD),,1972,8595396
East Asia & Pacific (IDA & IBRD),,1973,8962526
East Asia & Pacific (IDA & IBRD),,1974,9015540
East Asia & Pacific (IDA & IBRD),,1975,9134963
East Asia & Pacific (IDA & IBRD),,1976,9450791
East Asia & Pacific (IDA & IBRD),,1977,10235340
East Asia & Pacific (IDA & IBRD),,1978,10149584
East Asia & Pacific (IDA & IBRD),,1979,9737635
East Asia & Pacific (IDA & IBRD),,1980,9746735
East Asia & Pacific (IDA & IBRD),,1981,10159549
East Asia & Pacific (IDA & IBRD),,1982,10829004
East Asia & Pacific (IDA & IBRD),,1983,11649699.96875
East Asia & Pacific (IDA & IBRD),,1984,11796937.1132813
East Asia & Pacific (IDA & IBRD),,1985,12294882.1210938
East Asia & Pacific (IDA & IBRD),,1986,13486778.5996094
East Asia & Pacific (IDA & IBRD),,1987,14595944.6523438
East Asia & Pacific (IDA & IBRD),,1988,14949199.6328125
East Asia & Pacific (IDA & IBRD),,1989,15726825.5273438
East Asia & Pacific (IDA & IBRD),,1990,16552965.3125
East Asia & Pacific (IDA & IBRD),,1991,17674097.9707031
East Asia & Pacific (IDA & IBRD),,1992,19177103.6621094
East Asia & Pacific (IDA & IBRD),,1993,20551637.4797363
East Asia & Pacific (IDA & IBRD),,1994,22574290.1132813
East Asia & Pacific (IDA & IBRD),,1995,24659144.1485596
East Asia & Pacific (IDA & IBRD),,1996,26282855.3444824
East Asia & Pacific (IDA & IBRD),,1997,27059913.9257813
East Asia & Pacific (IDA & IBRD),,1998,28089472.75
East Asia & Pacific (IDA & IBRD),,1999,28413493.4648438
East Asia & Pacific (IDA & IBRD),,2000,28625206.2070313
East Asia & Pacific (IDA & IBRD),,2001,28569768.2363281
East Asia & Pacific (IDA & IBRD),,2002,28991039.9667969
East Asia & Pacific (IDA & IBRD),,2003,29809970.5820313
East Asia & Pacific (IDA & IBRD),,2004,30609045.3320313
East Asia & Pacific (IDA & IBRD),,2005,30883797.5093994
East Asia & Pacific (IDA & IBRD),,2006,31355385.8476563
East Asia & Pacific (IDA & IBRD),,2007,31570185.3590088
East Asia & Pacific (IDA & IBRD),,2008,31203005.3991699
East Asia & Pacific (IDA & IBRD),,2009,31394074.6289063
East Asia & Pacific (IDA & IBRD),,2010,31582428.09375
East Asia & Pacific (IDA & IBRD),,2011,32060881.6101685
East Asia & Pacific (IDA & IBRD),,2012,32532537.9492188
East Asia & Pacific (IDA & IBRD),,2013,33204259.75
East Asia & Pacific (IDA & IBRD),,2014,34512198.984375
East Asia & Pacific (IDA & IBRD),,2015,34939628.453125
East Asia & Pacific (IDA & IBRD),,2016,34495545.4296875
East Asia & Pacific (IDA & IBRD),,2017,34290566.375
East Asia & Pacific (IDA & IBRD),,2018,34317267.75
East Asia & Pacific (excluding high income),,1960,4850888
East Asia & Pacific (excluding high income),,1961,5317192
East Asia & Pacific (excluding high income),,1962,5653897
East Asia & Pacific (excluding high income),,1963,5857925
East Asia & Pacific (excluding high income),,1964,6111662
East Asia & Pacific (excluding high income),,1965,6423458
East Asia & Pacific (excluding high income),,1966,6755314
East Asia & Pacific (excluding high income),,1967,7035496
East Asia & Pacific (excluding high income),,1968,7585058
East Asia & Pacific (excluding high income),,1969,7753276
East Asia & Pacific (excluding high income),,1970,7789680
East Asia & Pacific (excluding high income),,1971,8367086
East Asia & Pacific (excluding high income),,1972,9060977
East Asia & Pacific (excluding high income),,1973,9433376
East Asia & Pacific (excluding high income),,1974,9557914
East Asia & Pacific (excluding high income),,1975,9699910
East Asia & Pacific (excluding high income),,1976,10074648
East Asia & Pacific (excluding high income),,1977,10845539
East Asia & Pacific (excluding high income),,1978,11085045
East Asia & Pacific (excluding high income),,1979,10644989
East Asia & Pacific (excluding high income),,1980,10592227
East Asia & Pacific (excluding high income),,1981,11195286
East Asia & Pacific (excluding high income),,1982,11880923
East Asia & Pacific (excluding high income),,1983,12387630.96875
East Asia & Pacific (excluding high income),,1984,12547902.1132813
East Asia & Pacific (excluding high income),,1985,13033646.1210938
East Asia & Pacific (excluding high income),,1986,14258677.5996094
East Asia & Pacific (excluding high income),,1987,15548665.6523438
East Asia & Pacific (excluding high income),,1988,15679884.6328125
East Asia & Pacific (excluding high income),,1989,16492400.5273438
East Asia & Pacific (excluding high income),,1990,17029752.3125
East Asia & Pacific (excluding high income),,1991,18049860.9707031
East Asia & Pacific (excluding high income),,1992,19538282.6621094
East Asia & Pacific (excluding high income),,1993,20947333.84375
East Asia & Pacific (excluding high income),,1994,22944793.1132813
East Asia & Pacific (excluding high income),,1995,24984504.0585938
East Asia & Pacific (excluding high income),,1996,26534671.8945313
East Asia & Pacific (excluding high income),,1997,27295467.9257813
East Asia & Pacific (excluding high income),,1998,28316706.75
East Asia & Pacific (excluding high income),,1999,28632682.4648438
East Asia & Pacific (excluding high income),,2000,28837251.2070313
East Asia & Pacific (excluding high income),,2001,28778491.2363281
East Asia & Pacific (excluding high income),,2002,29201609.9667969
East Asia & Pacific (excluding high income),,2003,30018670.5820313
East Asia & Pacific (excluding high income),,2004,30816707.3320313
East Asia & Pacific (excluding high income),,2005,31091055.609375
East Asia & Pacific (excluding high income),,2006,31564397.8476563
East Asia & Pacific (excluding high income),,2007,31780142.5390625
East Asia & Pacific (excluding high income),,2008,31410786.1992188
East Asia & Pacific (excluding high income),,2009,31604454.6289063
East Asia & Pacific (excluding high income),,2010,31803682.09375
East Asia & Pacific (excluding high income),,2011,32283242.4101563
East Asia & Pacific (excluding high income),,2012,32750749.9492188
East Asia & Pacific (excluding high income),,2013,33415122.75
East Asia & Pacific (excluding high income),,2014,34739383.984375
East Asia & Pacific (excluding high income),,2015,35161388.453125
East Asia & Pacific (excluding high income),,2016,34706378.4296875
East Asia & Pacific (excluding high income),,2017,34501966.375
East Asia & Pacific (excluding high income),,2018,34527696.75
Ecuador,ECU,1960,44300
Ecuador,ECU,1961,38600
Ecuador,ECU,1962,42500
Ecuador,ECU,1963,49700
Ecuador,ECU,1964,46300
Ecuador,ECU,1965,53500
Ecuador,ECU,1966,48200
Ecuador,ECU,1967,57500
Ecuador,ECU,1968,68900
Ecuador,ECU,1969,64890
Ecuador,ECU,1970,90970
Ecuador,ECU,1971,102530
Ecuador,ECU,1972,106840
Ecuador,ECU,1973,151565
Ecuador,ECU,1974,175470
Ecuador,ECU,1975,214198
Ecuador,ECU,1976,280638
Ecuador,ECU,1977,421954
Ecuador,ECU,1978,610399
Ecuador,ECU,1979,600266
Ecuador,ECU,1980,629977
Ecuador,ECU,1981,526740
Ecuador,ECU,1982,585911
Ecuador,ECU,1983,336156
Ecuador,ECU,1984,849180
Ecuador,ECU,1985,1056800
Ecuador,ECU,1986,959932
Ecuador,ECU,1987,610035
Ecuador,ECU,1988,800393
Ecuador,ECU,1989,611582
Ecuador,ECU,1990,288913
Ecuador,ECU,1991,330525
Ecuador,ECU,1992,226817
Ecuador,ECU,1993,290394
Ecuador,ECU,1994,330475
Ecuador,ECU,1995,508578
Ecuador,ECU,1996,702974
Ecuador,ECU,1997,536887
Ecuador,ECU,1998,322348
Ecuador,ECU,1999,503032
Ecuador,ECU,2000,596489
Ecuador,ECU,2001,587770
Ecuador,ECU,2002,319169
Ecuador,ECU,2003,399526
Ecuador,ECU,2004,356774
Ecuador,ECU,2005,464387
Ecuador,ECU,2006,469060
Ecuador,ECU,2007,408926
Ecuador,ECU,2008,505571
Ecuador,ECU,2009,498679
Ecuador,ECU,2010,399874
Ecuador,ECU,2011,506430
Ecuador,ECU,2012,512308
Ecuador,ECU,2013,513347
Ecuador,ECU,2014,662356
Ecuador,ECU,2015,643280
Ecuador,ECU,2016,715496
Ecuador,ECU,2017,623300
Ecuador,ECU,2018,598807
Egypt,EGY,1960,83900
Egypt,EGY,1961,86800
Egypt,EGY,1962,112800
Egypt,EGY,1963,109000
Egypt,EGY,1964,128000
Egypt,EGY,1965,96200
Egypt,EGY,1966,93100
Egypt,EGY,1967,74700
Egypt,EGY,1968,74900
Egypt,EGY,1969,74100
Egypt,EGY,1970,70758
Egypt,EGY,1971,77268
Egypt,EGY,1972,71209
Egypt,EGY,1973,78514
Egypt,EGY,1974,89344
Egypt,EGY,1975,97574
Egypt,EGY,1976,91764
Egypt,EGY,1977,91541
Egypt,EGY,1978,84915
Egypt,EGY,1979,120481
Egypt,EGY,1980,121397
Egypt,EGY,1981,120715.578125
Egypt,EGY,1982,131732.640625
Egypt,EGY,1983,132306.390625
Egypt,EGY,1984,136839.53125
Egypt,EGY,1985,174109.765625
Egypt,EGY,1986,183653.96875
Egypt,EGY,1987,184712.890625
Egypt,EGY,1988,232128.796875
Egypt,EGY,1989,233105.796875
Egypt,EGY,1990,251036
Egypt,EGY,1991,284431
Egypt,EGY,1992,282401.8125
Egypt,EGY,1993,302830.6875
Egypt,EGY,1994,311601.59375
Egypt,EGY,1995,335301.5
Egypt,EGY,1996,340435.40625
Egypt,EGY,1997,371333.1875
Egypt,EGY,1998,406205
Egypt,EGY,1999,422666
Egypt,EGY,2000,384315
Egypt,EGY,2001,428634
Egypt,EGY,2002,425163
Egypt,EGY,2003,431124
Egypt,EGY,2004,393495
Egypt,EGY,2005,349554
Egypt,EGY,2006,375895
Egypt,EGY,2007,372492
Egypt,EGY,2008,373816
Egypt,EGY,2009,387399
Egypt,EGY,2010,385210
Egypt,EGY,2011,375355
Egypt,EGY,2012,354174
Egypt,EGY,2013,356858
Egypt,EGY,2014,344792
Egypt,EGY,2015,344113
Egypt,EGY,2016,335614
Egypt,EGY,2017,370960
Egypt,EGY,2018,373286
El Salvador,SLV,1960,7300
El Salvador,SLV,1961,8000
El Salvador,SLV,1962,8200
El Salvador,SLV,1963,8400
El Salvador,SLV,1964,9200
El Salvador,SLV,1965,9600
El Salvador,SLV,1966,10600
El Salvador,SLV,1967,9900
El Salvador,SLV,1968,10200
El Salvador,SLV,1969,10300
El Salvador,SLV,1970,11100
El Salvador,SLV,1971,10700
El Salvador,SLV,1972,10400
El Salvador,SLV,1973,12400
El Salvador,SLV,1974,9654
El Salvador,SLV,1975,8730
El Salvador,SLV,1976,7201
El Salvador,SLV,1977,6368
El Salvador,SLV,1978,9540
El Salvador,SLV,1979,12738
El Salvador,SLV,1980,13958
El Salvador,SLV,1981,20770
El Salvador,SLV,1982,12916
El Salvador,SLV,1983,7603
El Salvador,SLV,1984,12179
El Salvador,SLV,1985,15422
El Salvador,SLV,1986,19686
El Salvador,SLV,1987,20744
El Salvador,SLV,1988,11015
El Salvador,SLV,1989,9926
El Salvador,SLV,1990,8527
El Salvador,SLV,1991,11210
El Salvador,SLV,1992,12076
El Salvador,SLV,1993,12451
El Salvador,SLV,1994,13559
El Salvador,SLV,1995,15072
El Salvador,SLV,1996,14433
El Salvador,SLV,1997,11897
El Salvador,SLV,1998,10978
El Salvador,SLV,1999,9915
El Salvador,SLV,2000,9590
El Salvador,SLV,2001,19609
El Salvador,SLV,2002,35943
El Salvador,SLV,2003,35484
El Salvador,SLV,2004,42415
El Salvador,SLV,2005,41114
El Salvador,SLV,2006,43218
El Salvador,SLV,2007,54664
El Salvador,SLV,2008,53287
El Salvador,SLV,2009,48424
El Salvador,SLV,2010,39583
El Salvador,SLV,2011,54281
El Salvador,SLV,2012,49414
El Salvador,SLV,2013,51723
El Salvador,SLV,2014,63211
El Salvador,SLV,2015,50441
El Salvador,SLV,2016,54084
El Salvador,SLV,2017,51281
El Salvador,SLV,2018,53697
Equatorial Guinea,GNQ,1960,900
Equatorial Guinea,GNQ,1961,500
Equatorial Guinea,GNQ,1962,800
Equatorial Guinea,GNQ,1963,1000
Equatorial Guinea,GNQ,1964,1000
Equatorial Guinea,GNQ,1965,600
Equatorial Guinea,GNQ,1966,1200
Equatorial Guinea,GNQ,1967,1100
Equatorial Guinea,GNQ,1968,3700
Equatorial Guinea,GNQ,1969,3500
Equatorial Guinea,GNQ,1970,4000
Equatorial Guinea,GNQ,1971,4000
Equatorial Guinea,GNQ,1972,4000
Equatorial Guinea,GNQ,1973,4000
Equatorial Guinea,GNQ,1974,4000
Equatorial Guinea,GNQ,1975,4000
Equatorial Guinea,GNQ,1976,4000
Equatorial Guinea,GNQ,1977,4000
Equatorial Guinea,GNQ,1978,4000
Equatorial Guinea,GNQ,1979,4000
Equatorial Guinea,GNQ,1980,2500
Equatorial Guinea,GNQ,1981,2500
Equatorial Guinea,GNQ,1982,2019
Equatorial Guinea,GNQ,1983,2341
Equatorial Guinea,GNQ,1984,4000
Equatorial Guinea,GNQ,1985,3600
Equatorial Guinea,GNQ,1986,4400
Equatorial Guinea,GNQ,1987,4000
Equatorial Guinea,GNQ,1988,4000
Equatorial Guinea,GNQ,1989,4000
Equatorial Guinea,GNQ,1990,3700
Equatorial Guinea,GNQ,1991,3500
Equatorial Guinea,GNQ,1992,3600
Equatorial Guinea,GNQ,1993,3507
Equatorial Guinea,GNQ,1994,5069
Equatorial Guinea,GNQ,1995,2306
Equatorial Guinea,GNQ,1996,5040
Equatorial Guinea,GNQ,1997,6090
Equatorial Guinea,GNQ,1998,6005
Equatorial Guinea,GNQ,1999,7001
Equatorial Guinea,GNQ,2000,3634
Equatorial Guinea,GNQ,2001,3600
Equatorial Guinea,GNQ,2002,3550
Equatorial Guinea,GNQ,2003,3550
Equatorial Guinea,GNQ,2004,3500
Equatorial Guinea,GNQ,2005,3750
Equatorial Guinea,GNQ,2006,4000
Equatorial Guinea,GNQ,2007,4533
Equatorial Guinea,GNQ,2008,5400
Equatorial Guinea,GNQ,2009,7669
Equatorial Guinea,GNQ,2010,7376
Equatorial Guinea,GNQ,2011,7115
Equatorial Guinea,GNQ,2012,7834
Equatorial Guinea,GNQ,2013,6940
Equatorial Guinea,GNQ,2014,6068
Equatorial Guinea,GNQ,2015,6420
Equatorial Guinea,GNQ,2016,6451
Equatorial Guinea,GNQ,2017,6380
Equatorial Guinea,GNQ,2018,6410
Eritrea,ERI,1993,475
Eritrea,ERI,1994,2706
Eritrea,ERI,1995,3559
Eritrea,ERI,1996,3252
Eritrea,ERI,1997,1038
Eritrea,ERI,1998,1852.90002441406
Eritrea,ERI,1999,6997.0498046875
Eritrea,ERI,2000,12712
Eritrea,ERI,2001,8880
Eritrea,ERI,2002,7852
Eritrea,ERI,2003,6689
Eritrea,ERI,2004,7404
Eritrea,ERI,2005,4027
Eritrea,ERI,2006,8813
Eritrea,ERI,2007,2232
Eritrea,ERI,2008,1965
Eritrea,ERI,2009,3330
Eritrea,ERI,2010,3586
Eritrea,ERI,2011,2939
Eritrea,ERI,2012,4452
Eritrea,ERI,2013,4300
Eritrea,ERI,2014,4300
Eritrea,ERI,2015,4300
Eritrea,ERI,2016,4300
Eritrea,ERI,2017,4300
Eritrea,ERI,2018,4300
Estonia,EST,1988,397381
Estonia,EST,1989,374222
Estonia,EST,1990,345147
Estonia,EST,1991,327876
Estonia,EST,1992,128996
Estonia,EST,1993,147185
Estonia,EST,1994,124091
Estonia,EST,1995,132576
Estonia,EST,1996,108720
Estonia,EST,1997,126057
Estonia,EST,1998,121594
Estonia,EST,1999,113112
Estonia,EST,2000,113347
Estonia,EST,2001,105492
Estonia,EST,2002,102365
Estonia,EST,2003,80208
Estonia,EST,2004,88625
Estonia,EST,2005,99581
Estonia,EST,2006,86884
Estonia,EST,2007,99444
Estonia,EST,2008,102580
Estonia,EST,2009,98504
Estonia,EST,2010,95731
Estonia,EST,2011,81580
Estonia,EST,2012,67744
Estonia,EST,2013,69781
Estonia,EST,2014,69160
Estonia,EST,2015,73616
Estonia,EST,2016,76054
Estonia,EST,2017,82821
Estonia,EST,2018,87462
Eswatini,SWZ,1968,50
Eswatini,SWZ,1969,50
Eswatini,SWZ,1970,50
Eswatini,SWZ,1971,50
Eswatini,SWZ,1972,50
Eswatini,SWZ,1973,50
Eswatini,SWZ,1974,50
Eswatini,SWZ,1975,50
Eswatini,SWZ,1976,50
Eswatini,SWZ,1977,53
Eswatini,SWZ,1978,44
Eswatini,SWZ,1979,60
Eswatini,SWZ,1980,70
Eswatini,SWZ,1981,70
Eswatini,SWZ,1982,80
Eswatini,SWZ,1983,80
Eswatini,SWZ,1984,82
Eswatini,SWZ,1985,78
Eswatini,SWZ,1986,82
Eswatini,SWZ,1987,81
Eswatini,SWZ,1988,90
Eswatini,SWZ,1989,70
Eswatini,SWZ,1990,65
Eswatini,SWZ,1991,60
Eswatini,SWZ,1992,60
Eswatini,SWZ,1993,68
Eswatini,SWZ,1994,60
Eswatini,SWZ,1995,50
Eswatini,SWZ,1996,50
Eswatini,SWZ,1997,50
Eswatini,SWZ,1998,50
Eswatini,SWZ,1999,50
Eswatini,SWZ,2000,50
Eswatini,SWZ,2001,50
Eswatini,SWZ,2002,60
Eswatini,SWZ,2003,60
Eswatini,SWZ,2004,60
Eswatini,SWZ,2005,60
Eswatini,SWZ,2006,60
Eswatini,SWZ,2007,60
Eswatini,SWZ,2008,60
Eswatini,SWZ,2009,60
Eswatini,SWZ,2010,60
Eswatini,SWZ,2011,60
Eswatini,SWZ,2012,60
Eswatini,SWZ,2013,60
Eswatini,SWZ,2014,65
Eswatini,SWZ,2015,65
Eswatini,SWZ,2016,65
Eswatini,SWZ,2017,65
Eswatini,SWZ,2018,65
Ethiopia,ETH,1960,8300
Ethiopia,ETH,1961,8600
Ethiopia,ETH,1962,9100
Ethiopia,ETH,1963,9600
Ethiopia,ETH,1964,12000
Ethiopia,ETH,1965,15900
Ethiopia,ETH,1966,16200
Ethiopia,ETH,1967,16200
Ethiopia,ETH,1968,14600
Ethiopia,ETH,1969,14400
Ethiopia,ETH,1970,17200
Ethiopia,ETH,1971,19100
Ethiopia,ETH,1972,14800
Ethiopia,ETH,1973,4700
Ethiopia,ETH,1974,5900
Ethiopia,ETH,1975,3930
Ethiopia,ETH,1976,2970
Ethiopia,ETH,1977,2472
Ethiopia,ETH,1978,2515
Ethiopia,ETH,1979,2800
Ethiopia,ETH,1980,3507
Ethiopia,ETH,1981,3828
Ethiopia,ETH,1982,3750
Ethiopia,ETH,1983,3900
Ethiopia,ETH,1984,4300
Ethiopia,ETH,1985,4000
Ethiopia,ETH,1986,4100
Ethiopia,ETH,1987,4000
Ethiopia,ETH,1988,4066
Ethiopia,ETH,1989,4236
Ethiopia,ETH,1990,14265
Ethiopia,ETH,1991,6335
Ethiopia,ETH,1992,4590
Ethiopia,ETH,1993,4769
Ethiopia,ETH,1994,5287
Ethiopia,ETH,1995,8330
Ethiopia,ETH,1996,8770
Ethiopia,ETH,1997,10370
Ethiopia,ETH,1998,14000
Ethiopia,ETH,1999,16849
Ethiopia,ETH,2000,15725
Ethiopia,ETH,2001,15432
Ethiopia,ETH,2002,12520
Ethiopia,ETH,2003,10113
Ethiopia,ETH,2004,10451
Ethiopia,ETH,2005,9797
Ethiopia,ETH,2006,10617
Ethiopia,ETH,2007,13794
Ethiopia,ETH,2008,17262
Ethiopia,ETH,2009,17050
Ethiopia,ETH,2010,18062
Ethiopia,ETH,2011,24118
Ethiopia,ETH,2012,29352
Ethiopia,ETH,2013,38371
Ethiopia,ETH,2014,50119
Ethiopia,ETH,2015,45525
Ethiopia,ETH,2016,50007
Ethiopia,ETH,2017,56005
Ethiopia,ETH,2018,57166
Euro area,,1960,3521471
Euro area,,1961,3649449
Euro area,,1962,3634345
Euro area,,1963,3821693.125
Euro area,,1964,4050216.125
Euro area,,1965,4225906.375
Euro area,,1966,4278249.75
Euro area,,1967,4506355
Euro area,,1968,4649885
Euro area,,1969,4444173
Euro area,,1970,4475609
Euro area,,1971,4350386
Euro area,,1972,4296136
Euro area,,1973,4483313
Euro area,,1974,4474673
Euro area,,1975,4306558
Euro area,,1976,4173109
Euro area,,1977,3854946
Euro area,,1978,3843286.09375
Euro area,,1979,3631548.71875
Euro area,,1980,3775424.875
Euro area,,1981,3963250.6484375
Euro area,,1982,4050248.078125
Euro area,,1983,4010582.63818359
Euro area,,1984,4105620.578125
Euro area,,1985,4107066.2421875
Euro area,,1986,4144069.01293945
Euro area,,1987,4133518.21875
Euro area,,1988,5518193.734375
Euro area,,1989,5405795.9375
Euro area,,1990,4968976.21875
Euro area,,1991,4894696.8125
Euro area,,1992,4217534.171875
Euro area,,1993,4272904.03125
Euro area,,1994,4167182.59375
Euro area,,1995,4363878.03125
Euro area,,1996,4206004.578125
Euro area,,1997,4149190.4375
Euro area,,1998,4195719.8359375
Euro area,,1999,4085011.53125
Euro area,,2000,3953915.171875
Euro area,,2001,4107923.0234375
Euro area,,2002,3849375.4921875
Euro area,,2003,3841392.2734375
Euro area,,2004,3794467.2109375
Euro area,,2005,3812967.53125
Euro area,,2006,3839835.55957031
Euro area,,2007,3677791.50085449
Euro area,,2008,3542235.19836426
Euro area,,2009,3456693.6809082
Euro area,,2010,3577800.421875
Euro area,,2011,3415348.49963379
Euro area,,2012,3156033.16845703
Euro area,,2013,3284246.24334717
Euro area,,2014,3524910.19921875
Euro area,,2015,3304453.99356079
Euro area,,2016,3376806.31588745
Euro area,,2017,3495374.60125732
Euro area,,2018,3456669.22937012
Europe & Central Asia,,1960,8074060
Europe & Central Asia,,1961,8485100
Europe & Central Asia,,1962,8612989
Europe & Central Asia,,1963,8980319.125
Europe & Central Asia,,1964,9803489.125
Europe & Central Asia,,1965,10903547.375
Europe & Central Asia,,1966,11694728.75
Europe & Central Asia,,1967,12296627
Europe & Central Asia,,1968,11960442
Europe & Central Asia,,1969,11486515
Europe & Central Asia,,1970,12205944
Europe & Central Asia,,1971,12314374
Europe & Central Asia,,1972,12413438
Europe & Central Asia,,1973,12707100
Europe & Central Asia,,1974,12842434
Europe & Central Asia,,1975,12622538
Europe & Central Asia,,1976,13579672
Europe & Central Asia,,1977,13494078
Europe & Central Asia,,1978,12767852.09375
Europe & Central Asia,,1979,12713889.71875
Europe & Central Asia,,1980,12856675.875
Europe & Central Asia,,1981,12960107.6484375
Europe & Central Asia,,1982,12511506.078125
Europe & Central Asia,,1983,12938000.6381836
Europe & Central Asia,,1984,13309362.640625
Europe & Central Asia,,1985,13030806.3671875
Europe & Central Asia,,1986,12776007.1506348
Europe & Central Asia,,1987,12887861.6191406
Europe & Central Asia,,1988,24113763.5341797
Europe & Central Asia,,1989,23192392.6503906
Europe & Central Asia,,1990,20967140.9121094
Europe & Central Asia,,1991,20098837.8125
Europe & Central Asia,,1992,19216172.4499512
Europe & Central Asia,,1993,17853354.3046875
Europe & Central Asia,,1994,17214412.6015625
Europe & Central Asia,,1995,18610279.3850098
Europe & Central Asia,,1996,18794113.2741699
Europe & Central Asia,,1997,19158452.7296753
Europe & Central Asia,,1998,18329130.4140625
Europe & Central Asia,,1999,17533061.6225586
Europe & Central Asia,,2000,17630773.4160156
Europe & Central Asia,,2001,17298188.3483887
Europe & Central Asia,,2002,16751845.8312988
Europe & Central Asia,,2003,15888640.9086914
Europe & Central Asia,,2004,15301763.8476563
Europe & Central Asia,,2005,15133984.6210938
Europe & Central Asia,,2006,14804618.7922363
Europe & Central Asia,,2007,14840563.5335693
Europe & Central Asia,,2008,14370515.2764893
Europe & Central Asia,,2009,14562089.3808594
Europe & Central Asia,,2010,15099474.322876
Europe & Central Asia,,2011,14607607.3623047
Europe & Central Asia,,2012,14232911.1483154
Europe & Central Asia,,2013,14680994.5870972
Europe & Central Asia,,2014,14872926.0992432
Europe & Central Asia,,2015,15315699.3092346
Europe & Central Asia,,2016,14864776.5160828
Europe & Central Asia,,2017,16107113.3607788
Europe & Central Asia,,2018,16294046.6651611
Europe & Central Asia (IDA & IBRD),,1960,298411
Europe & Central Asia (IDA & IBRD),,1961,292822
Europe & Central Asia (IDA & IBRD),,1962,264216
Europe & Central Asia (IDA & IBRD),,1963,380537
Europe & Central Asia (IDA & IBRD),,1964,407931
Europe & Central Asia (IDA & IBRD),,1965,465971
Europe & Central Asia (IDA & IBRD),,1966,491057
Europe & Central Asia (IDA & IBRD),,1967,589875
Europe & Central Asia (IDA & IBRD),,1968,615626
Europe & Central Asia (IDA & IBRD),,1969,680442
Europe & Central Asia (IDA & IBRD),,1970,774029
Europe & Central Asia (IDA & IBRD),,1971,821315
Europe & Central Asia (IDA & IBRD),,1972,875967
Europe & Central Asia (IDA & IBRD),,1973,890832
Europe & Central Asia (IDA & IBRD),,1974,1011497
Europe & Central Asia (IDA & IBRD),,1975,1172822
Europe & Central Asia (IDA & IBRD),,1976,1148240
Europe & Central Asia (IDA & IBRD),,1977,1065084
Europe & Central Asia (IDA & IBRD),,1978,1015943
Europe & Central Asia (IDA & IBRD),,1979,1168372
Europe & Central Asia (IDA & IBRD),,1980,1318916
Europe & Central Asia (IDA & IBRD),,1981,1334949
Europe & Central Asia (IDA & IBRD),,1982,1401652
Europe & Central Asia (IDA & IBRD),,1983,1607417
Europe & Central Asia (IDA & IBRD),,1984,1562449.0625
Europe & Central Asia (IDA & IBRD),,1985,1531357.125
Europe & Central Asia (IDA & IBRD),,1986,1536910.13769531
Europe & Central Asia (IDA & IBRD),,1987,1610305.40039063
Europe & Central Asia (IDA & IBRD),,1988,11197980.7998047
Europe & Central Asia (IDA & IBRD),,1989,10726715.7128906
Europe & Central Asia (IDA & IBRD),,1990,9664069.69335938
Europe & Central Asia (IDA & IBRD),,1991,8718759
Europe & Central Asia (IDA & IBRD),,1992,7250131.27807617
Europe & Central Asia (IDA & IBRD),,1993,5902372.2734375
Europe & Central Asia (IDA & IBRD),,1994,5238877.0078125
Europe & Central Asia (IDA & IBRD),,1995,5981029.35375977
Europe & Central Asia (IDA & IBRD),,1996,6130201.69604492
Europe & Central Asia (IDA & IBRD),,1997,6005953.29217529
Europe & Central Asia (IDA & IBRD),,1998,5804779.578125
Europe & Central Asia (IDA & IBRD),,1999,5549513.09130859
Europe & Central Asia (IDA & IBRD),,2000,5306078.24414063
Europe & Central Asia (IDA & IBRD),,2001,4842590.32495117
Europe & Central Asia (IDA & IBRD),,2002,4449225.33911133
Europe & Central Asia (IDA & IBRD),,2003,4383961.63525391
Europe & Central Asia (IDA & IBRD),,2004,4054332.63671875
Europe & Central Asia (IDA & IBRD),,2005,4213483.08984375
