state,race,type,all_workers_n,artists_n,artists_share,location_quotient
District of Columbia,African-American,"Fine Artists, Art Directors, And Animators",149480,385,0.002575595397377576,5.368614542806637
Florida,African-American,"Fine Artists, Art Directors, And Animators",1569980,515,3.2802965642874434e-4,0.6837505556067951
Georgia,African-American,"Fine Artists, Art Directors, And Animators",1613775,490,3.036358848042633e-4,0.6329037660720589
Hawaii,African-American,"Fine Artists, Art Directors, And Animators",16455,0,NA,NA
Idaho,African-American,"Fine Artists, Art Directors, And Animators",5195,0,NA,NA
Illinois,African-American,"Fine Artists, Art Directors, And Animators",848255,430,5.069230361153191e-4,1.056638937367007
Indiana,African-American,"Fine Artists, Art Directors, And Animators",292355,145,4.959723623676694e-4,1.0338131680730327
Iowa,African-American,"Fine Artists, Art Directors, And Animators",56060,25,4.459507670353193e-4,0.9295473100003427
Kansas,African-American,"Fine Artists, Art Directors, And Animators",83690,NA,NA,NA
Kentucky,African-American,"Fine Artists, Art Directors, And Animators",176080,80,4.5433893684688776e-4,0.9470317528145247
Louisiana,African-American,"Fine Artists, Art Directors, And Animators",656860,435,6.622415735468745e-4,1.3803875198002231
Maine,African-American,"Fine Artists, Art Directors, And Animators",8410,NA,NA,NA
Maryland,African-American,"Fine Artists, Art Directors, And Animators",957780,525,5.481425797155923e-4,1.1425576501607924
Massachusetts,African-American,"Fine Artists, Art Directors, And Animators",260415,120,4.608029491388745e-4,0.9605054491998244
Michigan,African-American,"Fine Artists, Art Directors, And Animators",624375,190,3.043043043043043e-4,0.634297030966176
Minnesota,African-American,"Fine Artists, Art Directors, And Animators",171180,NA,NA,NA
Mississippi,African-American,"Fine Artists, Art Directors, And Animators",488460,55,1.1259877983867666e-4,0.23470279825771265
Missouri,African-American,"Fine Artists, Art Directors, And Animators",340530,130,0.00038175784806037647,0.7957425056025019
Montana,African-American,"Fine Artists, Art Directors, And Animators",2855,0,NA,NA
Nebraska,African-American,"Fine Artists, Art Directors, And Animators",45795,0,NA,NA
Nevada,African-American,"Fine Artists, Art Directors, And Animators",125635,115,9.15350021888805e-4,1.907971044005639
New Hampshire,African-American,"Fine Artists, Art Directors, And Animators",9675,0,NA,NA
New Jersey,African-American,"Fine Artists, Art Directors, And Animators",584190,300,5.135315565141478e-4,1.0704138488906532
New Mexico,African-American,"Fine Artists, Art Directors, And Animators",19190,NA,NA,NA
New York,African-American,"Fine Artists, Art Directors, And Animators",1375735,930,6.760022824163084e-4,1.4090705737577625
North Carolina,African-American,"Fine Artists, Art Directors, And Animators",1079195,165,1.5289173874971624e-4,0.31869012227714816
North Dakota,African-American,"Fine Artists, Art Directors, And Animators",12445,0,NA,NA
Ohio,African-American,"Fine Artists, Art Directors, And Animators",680665,270,3.96670902720134e-4,0.8268275285861438
Oklahoma,African-American,"Fine Artists, Art Directors, And Animators",134195,NA,NA,NA
Oregon,African-American,"Fine Artists, Art Directors, And Animators",39020,85,0.002178370066632496,4.540631355082147
Pennsylvania,African-American,"Fine Artists, Art Directors, And Animators",636035,445,6.996470320029558e-4,1.4583560891073954
Rhode Island,African-American,"Fine Artists, Art Directors, And Animators",31000,0,NA,NA
South Carolina,African-American,"Fine Artists, Art Directors, And Animators",638810,205,3.2090919052613456e-4,0.6689085362293603
South Dakota,African-American,"Fine Artists, Art Directors, And Animators",8670,0,NA,NA
Tennessee,African-American,"Fine Artists, Art Directors, And Animators",554550,40,7.213055630691552e-5,0.15035014970298577
Texas,African-American,"Fine Artists, Art Directors, And Animators",1699445,1175,6.914021930689136e-4,1.4411704075948932
Utah,African-American,"Fine Artists, Art Directors, And Animators",16855,0,NA,NA
Vermont,African-American,"Fine Artists, Art Directors, And Animators",4210,NA,NA,NA
Virginia,African-American,"Fine Artists, Art Directors, And Animators",837445,350,4.1793789442888784e-4,0.8711568052596519
Washington,African-American,"Fine Artists, Art Directors, And Animators",147305,45,3.0548861206340584e-4,0.6367656220597713
West Virginia,African-American,"Fine Artists, Art Directors, And Animators",29055,0,NA,NA
Wisconsin,African-American,"Fine Artists, Art Directors, And Animators",160610,NA,NA,NA
Wyoming,African-American,"Fine Artists, Art Directors, And Animators",2975,0,NA,NA
Puerto Rico,African-American,"Fine Artists, Art Directors, And Animators",1405,0,NA,NA
Alabama,Asian,"Fine Artists, Art Directors, And Animators",33515,NA,NA,NA
Alaska,Asian,"Fine Artists, Art Directors, And Animators",26420,NA,NA,NA
Arizona,Asian,"Fine Artists, Art Directors, And Animators",120580,165,0.0013683861336871786,0.9053073033661403
Arkansas,Asian,"Fine Artists, Art Directors, And Animators",24295,0,NA,NA
California,Asian,"Fine Artists, Art Directors, And Animators",3008795,6025,0.0020024627799501127,1.3248045524423069
Colorado,Asian,"Fine Artists, Art Directors, And Animators",97015,NA,NA,NA
Connecticut,Asian,"Fine Artists, Art Directors, And Animators",89425,55,6.150405367626502e-4,0.4069031950047122
Delaware,Asian,"Fine Artists, Art Directors, And Animators",19880,NA,NA,NA
District of Columbia,Asian,"Fine Artists, Art Directors, And Animators",19090,NA,NA,NA
Florida,Asian,"Fine Artists, Art Directors, And Animators",292825,240,8.196021514556477e-4,0.5422386235148908
Georgia,Asian,"Fine Artists, Art Directors, And Animators",217095,215,9.903498468412447e-4,0.6552031821727585
Hawaii,Asian,"Fine Artists, Art Directors, And Animators",290190,390,0.001343947069161584,0.8891387212256294
Idaho,Asian,"Fine Artists, Art Directors, And Animators",12030,15,0.0012468827930174563,0.8249221993492721
Illinois,Asian,"Fine Artists, Art Directors, And Animators",378055,305,8.06760921030009e-4,0.5337430246467457
Indiana,Asian,"Fine Artists, Art Directors, And Animators",76575,80,0.0010447273914462945,0.6911786916127889
Iowa,Asian,"Fine Artists, Art Directors, And Animators",40760,NA,NA,NA
Kansas,Asian,"Fine Artists, Art Directors, And Animators",46470,NA,NA,NA
Kentucky,Asian,"Fine Artists, Art Directors, And Animators",33565,NA,NA,NA
Louisiana,Asian,"Fine Artists, Art Directors, And Animators",41430,45,0.0010861694424330196,0.7185962388248911
Maine,Asian,"Fine Artists, Art Directors, And Animators",8235,45,0.00546448087431694,3.6152328080771383
Maryland,Asian,"Fine Artists, Art Directors, And Animators",213470,305,0.0014287721928139786,0.9452579715314819
Massachusetts,Asian,"Fine Artists, Art Directors, And Animators",249930,165,6.601848517584924e-4,0.4367701141915304
Michigan,Asian,"Fine Artists, Art Directors, And Animators",163870,135,8.238237627387565e-4,0.5450315892081876
Minnesota,Asian,"Fine Artists, Art Directors, And Animators",143550,180,0.0012539184952978055,0.8295769327625283
Mississippi,Asian,"Fine Artists, Art Directors, And Animators",14850,NA,NA,NA
Missouri,Asian,"Fine Artists, Art Directors, And Animators",63375,115,0.001814595660749507,1.2005139952028936
Montana,Asian,"Fine Artists, Art Directors, And Animators",4980,0,NA,NA
Nebraska,Asian,"Fine Artists, Art Directors, And Animators",24515,NA,NA,NA
Nevada,Asian,"Fine Artists, Art Directors, And Animators",131920,165,0.001250758035172832,0.8274860115212945
New Hampshire,Asian,"Fine Artists, Art Directors, And Animators",20330,NA,NA,NA
New Jersey,Asian,"Fine Artists, Art Directors, And Animators",450385,450,9.991451757940428e-4,0.6610220627799601
New Mexico,Asian,"Fine Artists, Art Directors, And Animators",16455,NA,NA,NA
New York,Asian,"Fine Artists, Art Directors, And Animators",864770,2820,0.003260982689038704,2.157425723529133
North Carolina,Asian,"Fine Artists, Art Directors, And Animators",154710,65,4.2014090879710425e-4,0.27796001714225044
North Dakota,Asian,"Fine Artists, Art Directors, And Animators",6855,NA,NA,NA
Ohio,Asian,"Fine Artists, Art Directors, And Animators",136125,205,0.001505968778696051,0.9963302758127739
Oklahoma,Asian,"Fine Artists, Art Directors, And Animators",44710,NA,NA,NA
Oregon,Asian,"Fine Artists, Art Directors, And Animators",98010,265,0.0027038057341087643,1.7888043569809289
Pennsylvania,Asian,"Fine Artists, Art Directors, And Animators",227500,170,7.472527472527472e-4,0.4943731545462847
Rhode Island,Asian,"Fine Artists, Art Directors, And Animators",18645,60,0.0032180209171359607,2.1290027477976388
South Carolina,Asian,"Fine Artists, Art Directors, And Animators",41915,95,0.002266491709411905,1.499482819239438
South Dakota,Asian,"Fine Artists, Art Directors, And Animators",7135,0,NA,NA
Tennessee,Asian,"Fine Artists, Art Directors, And Animators",62925,NA,NA,NA
Texas,Asian,"Fine Artists, Art Directors, And Animators",712575,450,6.315124723713293e-4,0.4178008234152929
Utah,Asian,"Fine Artists, Art Directors, And Animators",40990,50,0.0012198097096852891,0.807010983017951
Vermont,Asian,"Fine Artists, Art Directors, And Animators",6080,0,NA,NA
Virginia,Asian,"Fine Artists, Art Directors, And Animators",304945,280,9.181983636393448e-4,0.6074686552849615
Washington,Asian,"Fine Artists, Art Directors, And Animators",355135,460,0.001295282075830318,0.8569425648948527
West Virginia,Asian,"Fine Artists, Art Directors, And Animators",7825,0,NA,NA
Wisconsin,Asian,"Fine Artists, Art Directors, And Animators",85760,25,2.915111940298507e-4,0.1928601923618576
Wyoming,Asian,"Fine Artists, Art Directors, And Animators",2835,0,NA,NA
Puerto Rico,Asian,"Fine Artists, Art Directors, And Animators",1335,0,NA,NA
Alabama,Other,"Fine Artists, Art Directors, And Animators",43075,0,NA,NA
Alaska,Other,"Fine Artists, Art Directors, And Animators",71330,240,0.0033646432076265245,1.831603675248008
Arizona,Other,"Fine Artists, Art Directors, And Animators",182520,540,0.0029585798816568047,1.6105558451114448
Arkansas,Other,"Fine Artists, Art Directors, And Animators",37895,NA,NA,NA
California,Other,"Fine Artists, Art Directors, And Animators",688910,2290,0.003324091681061387,1.809528726877474
Colorado,Other,"Fine Artists, Art Directors, And Animators",87510,90,0.0010284538909838875,0.5598572598364775
Connecticut,Other,"Fine Artists, Art Directors, And Animators",41230,50,0.001212709192335678,0.6601599268101728
Delaware,Other,"Fine Artists, Art Directors, And Animators",10885,NA,NA,NA
District of Columbia,Other,"Fine Artists, Art Directors, And Animators",11085,0,NA,NA
Florida,Other,"Fine Artists, Art Directors, And Animators",214840,150,6.981940048408116e-4,0.38007438720513054
Georgia,Other,"Fine Artists, Art Directors, And Animators",102865,265,0.0025761920964370777,1.4023962187977652
Hawaii,Other,"Fine Artists, Art Directors, And Animators",198250,235,0.0011853720050441362,0.6452784402380937
Idaho,Other,"Fine Artists, Art Directors, And Animators",25710,NA,NA,NA
Illinois,Other,"Fine Artists, Art Directors, And Animators",112345,145,0.001290667141394811,0.7025977299293419
Indiana,Other,"Fine Artists, Art Directors, And Animators",61485,80,0.0013011303569976417,0.7082935683794985
Iowa,Other,"Fine Artists, Art Directors, And Animators",27340,NA,NA,NA
Kansas,Other,"Fine Artists, Art Directors, And Animators",43715,80,0.001830035456936978,0.9962125140526928
Kentucky,Other,"Fine Artists, Art Directors, And Animators",36080,60,0.0016629711751662971,0.9052680858885837
Louisiana,Other,"Fine Artists, Art Directors, And Animators",42460,55,0.0012953367875647669,0.7051397352949073
Maine,Other,"Fine Artists, Art Directors, And Animators",14700,60,0.004081632653061225,2.221909696521096
Maryland,Other,"Fine Artists, Art Directors, And Animators",85910,165,0.0019206145966709344,1.04552088792766
Massachusetts,Other,"Fine Artists, Art Directors, And Animators",97815,135,0.0013801564177273423,0.7513128171797294
Michigan,Other,"Fine Artists, Art Directors, And Animators",120390,165,0.0013705457263892347,0.7460810655524982
Minnesota,Other,"Fine Artists, Art Directors, And Animators",83065,100,0.0012038764822729189,0.6553516831970967
Mississippi,Other,"Fine Artists, Art Directors, And Animators",17430,0,NA,NA
Missouri,Other,"Fine Artists, Art Directors, And Animators",70070,50,7.135721421435707e-4,0.3884457511400516
Montana,Other,"Fine Artists, Art Directors, And Animators",37130,60,0.0016159439806086725,0.87966799188958
Nebraska,Other,"Fine Artists, Art Directors, And Animators",24240,NA,NA,NA
Nevada,Other,"Fine Artists, Art Directors, And Animators",69460,120,0.0017276130146847107,0.94045702674518
New Hampshire,Other,"Fine Artists, Art Directors, And Animators",12270,0,NA,NA
New Jersey,Other,"Fine Artists, Art Directors, And Animators",85410,95,0.0011122819341997424,0.6054905536415934
New Mexico,Other,"Fine Artists, Art Directors, And Animators",91840,405,0.004409843205574913,2.4005769777581194
New York,Other,"Fine Artists, Art Directors, And Animators",234265,605,0.0025825454079781442,1.4058547575047031
North Carolina,Other,"Fine Artists, Art Directors, And Animators",145630,105,7.210052873721075e-4,0.3924921166174907
North Dakota,Other,"Fine Artists, Art Directors, And Animators",23305,0,NA,NA
Ohio,Other,"Fine Artists, Art Directors, And Animators",121180,220,0.0018154811024921605,0.9882895910421443
Oklahoma,Other,"Fine Artists, Art Directors, And Animators",242885,370,0.0015233546740226855,0.8292653477556757
Oregon,Other,"Fine Artists, Art Directors, And Animators",93460,215,0.0023004493901134177,1.2522907475310154
Pennsylvania,Other,"Fine Artists, Art Directors, And Animators",104810,145,0.0013834557771205038,0.7531088824435828
Rhode Island,Other,"Fine Artists, Art Directors, And Animators",16140,0,NA,NA
South Carolina,Other,"Fine Artists, Art Directors, And Animators",46335,65,0.0014028272364303442,0.7636540825962759
South Dakota,Other,"Fine Artists, Art Directors, And Animators",32695,60,0.0018351429882244993,0.9989928900094847
Tennessee,Other,"Fine Artists, Art Directors, And Animators",60575,85,0.0014032191498142795,0.7638674276525268
Texas,Other,"Fine Artists, Art Directors, And Animators",261190,325,0.00124430491213293,0.6773596216757618
Utah,Other,"Fine Artists, Art Directors, And Animators",57995,75,0.001293214932321752,0.7039846654638353
Vermont,Other,"Fine Artists, Art Directors, And Animators",5900,NA,NA,NA
Virginia,Other,"Fine Artists, Art Directors, And Animators",128845,170,0.0013194148007295587,0.7182470321712415
Washington,Other,"Fine Artists, Art Directors, And Animators",214925,420,0.0019541700593230195,1.0637874038479502
West Virginia,Other,"Fine Artists, Art Directors, And Animators",10700,NA,NA,NA
Wisconsin,Other,"Fine Artists, Art Directors, And Animators",66920,105,0.0015690376569037657,0.8541336960998981
Wyoming,Other,"Fine Artists, Art Directors, And Animators",10830,0,NA,NA
Puerto Rico,Other,"Fine Artists, Art Directors, And Animators",2275,0,NA,NA
Alabama,Hispanic,Designers,88165,175,0.001984914648670107,0.5122075633501678
Alaska,Hispanic,Designers,26875,NA,NA,NA
Arizona,Hispanic,Designers,1033370,2805,0.002714419810909936,0.7004564947853721
Arkansas,Hispanic,Designers,101405,135,0.0013312953010206597,0.3435409793021544
California,Hispanic,Designers,7470730,31960,0.0042780290547242365,1.1039461266153956
Colorado,Hispanic,Designers,594525,1735,0.002918296118750263,0.7530668107673155
Connecticut,Hispanic,Designers,288845,925,0.0032024095968425973,0.8263823422064723
Delaware,Hispanic,Designers,41365,60,0.0014505016318143355,0.3743021932781065
District of Columbia,Hispanic,Designers,44885,300,0.0066837473543500045,1.724742143806269
Florida,Hispanic,Designers,2752995,13445,0.004883772037362945,1.260258206513498
Georgia,Hispanic,Designers,467240,1500,0.0032103415803441484,0.828429191900783
Hawaii,Hispanic,Designers,69470,220,0.0031668346048654094,0.8172022094642177
Idaho,Hispanic,Designers,101285,260,0.0025670138717480374,0.6624183670643411
Illinois,Hispanic,Designers,1100445,3505,0.003185075128697936,0.8219091797476749
Indiana,Hispanic,Designers,212120,945,0.004455025457288328,1.1496200784600452
Iowa,Hispanic,Designers,90730,55,6.061942025790808e-4,0.15642851728061063
Kansas,Hispanic,Designers,167495,260,0.0015522851428400848,0.40056744564382096
Kentucky,Hispanic,Designers,76325,200,0.002620373403209957,0.6761878032513975
Louisiana,Hispanic,Designers,113925,490,0.004301075268817204,1.109893206089525
Maine,Hispanic,Designers,10935,80,0.007315957933241884,1.887884191427999
Maryland,Hispanic,Designers,321570,1255,0.003902727244456884,1.0070994305185412
Massachusetts,Hispanic,Designers,401715,1120,0.002788046251695854,0.7194558103772881
Michigan,Hispanic,Designers,236520,990,0.004185692541856925,1.0801186737343835
Minnesota,Hispanic,Designers,149745,490,0.00327222945674313,0.844399368952213
Mississippi,Hispanic,Designers,38780,80,0.002062919030428056,0.5323366073559868
Missouri,Hispanic,Designers,121550,695,0.005717811600164541,1.4754822578279811
Montana,Hispanic,Designers,19215,NA,NA,NA
Nebraska,Hispanic,Designers,99485,275,0.0027642358144443885,0.7133115229868725
Nevada,Hispanic,Designers,430565,1250,0.002903162124185663,0.7491614808908484
New Hampshire,Hispanic,Designers,25860,65,0.0025135344160866204,0.6486179844171673
New Jersey,Hispanic,Designers,928940,3805,0.004096066484380046,1.0569906543287777
New Mexico,Hispanic,Designers,459615,1415,0.003078663664153694,0.7944496831878368
New York,Hispanic,Designers,1819490,11305,0.006213279545367109,1.6033378455230771
North Carolina,Hispanic,Designers,451040,1535,0.003403245831855268,0.8782081668771625
North Dakota,Hispanic,Designers,14510,NA,NA,NA
Ohio,Hispanic,Designers,204545,845,0.004131120291378425,1.066036295198432
Oklahoma,Hispanic,Designers,187725,280,0.0014915434811559462,0.3848930494948892
Oregon,Hispanic,Designers,266060,1180,0.004435089829361798,1.144475686276258
Pennsylvania,Hispanic,Designers,423215,1280,0.0030244674692532164,0.7804643458578798
Rhode Island,Hispanic,Designers,78695,445,0.005654742995107694,1.459207393545174
South Carolina,Hispanic,Designers,134610,205,0.001522918059579526,0.3929892648038184
South Dakota,Hispanic,Designers,15565,50,0.0032123353678124,0.8289436890967381
Tennessee,Hispanic,Designers,167595,345,0.002058533965810436,0.5312050406841257
Texas,Hispanic,Designers,5220455,17015,0.003259294448472403,0.841061487863622
Utah,Hispanic,Designers,213410,880,0.004123518110678975,1.064074551173407
Vermont,Hispanic,Designers,6470,NA,NA,NA
Virginia,Hispanic,Designers,427525,1550,0.0036255189754985087,0.9355657894731596
Washington,Hispanic,Designers,448570,1700,0.00378982098669104,0.9779639514610536
West Virginia,Hispanic,Designers,12005,0,0,0
Wisconsin,Hispanic,Designers,186120,585,0.0031431334622823983,0.8110861255816222
Wyoming,Hispanic,Designers,27680,205,0.0074060693641618495,1.9111374615333088
Puerto Rico,Hispanic,Designers,1208905,3565,0.0029489496693288555,NA
Alabama,White,Designers,1496830,7025,0.004693251738674398,0.7107340388707086
Alaska,White,Designers,253950,840,0.0033077377436503247,0.5009153433422461
Arizona,White,Designers,1857110,12230,0.006585501128096882,0.9972914463953122
Arkansas,White,Designers,1014735,4715,0.0046465333313623755,0.703659122764065
California,White,Designers,7686845,83575,0.010872471085341255,1.6464992114768149
Colorado,White,Designers,2172170,17105,0.007874613865397275,1.192511382029953
Connecticut,White,Designers,1329540,9625,0.007239345939197016,1.0963080321792045
Delaware,White,Designers,307920,1655,0.005374772668225513,0.8139418252426358
District of Columbia,White,Designers,183365,1770,0.009652878139230497,1.461807175201694
Florida,White,Designers,5285390,33525,0.00634295671653369,0.9605611410900792
Georgia,White,Designers,2773560,17435,0.00628614488238942,0.951957702241002
Hawaii,White,Designers,177700,1110,0.0062464828362408555,0.9459513834201395
Idaho,White,Designers,688065,3805,0.005530000799343085,0.8374491763754147
Illinois,White,Designers,4224420,28330,0.006706246064548506,1.0155767507292512
Indiana,White,Designers,2724985,12280,0.004506446824477933,0.6824447804757924
Iowa,White,Designers,1463250,6745,0.004609601913548608,0.6980663233138027
Kansas,White,Designers,1178420,6730,0.005711036812002512,0.864864807077301
Kentucky,White,Designers,1787115,7105,0.003975681475450656,0.602067033614652
Louisiana,White,Designers,1337315,7545,0.005641901870539103,0.854395188375949
Maine,White,Designers,658985,3625,0.005500883935142682,0.8330397929362371
Maryland,White,Designers,1690500,11205,0.006628216503992901,1.0037601536632998
Massachusetts,White,Designers,2791055,21235,0.007608234162350795,1.1521715211485766
Michigan,White,Designers,3807850,24870,0.006531244665624959,0.9890749864961469
Minnesota,White,Designers,2524705,18180,0.007200841286407719,1.09047698604828
Mississippi,White,Designers,787155,2825,0.0035888738558479587,0.5434898770814207
Missouri,White,Designers,2479115,13475,0.005435407393364164,0.8231241929256828
Montana,White,Designers,472695,2225,0.0047070521160579235,0.7128239327229619
Nebraska,White,Designers,845465,4035,0.004772521630108875,0.7227384684724288
Nevada,White,Designers,749805,4840,0.006455011636358787,0.97753045153348606
New Hampshire,White,Designers,690940,4305,0.0062306423133701916,0.9435525351536131
New Jersey,White,Designers,2640925,18470,0.006993761655480561,1.0591173764104884
New Mexico,White,Designers,374900,1985,0.0052947452654041076,0.8018226800540473
New York,White,Designers,5774960,55810,0.00966413620180919,1.4635120674026552
North Carolina,White,Designers,3309215,19165,0.0057914037014820735,0.8770353632570592
North Dakota,White,Designers,363175,1370,0.0037722860879741173,0.5712653563814372
Ohio,White,Designers,4775955,25545,0.005348668486198048,0.8099886746858671
Oklahoma,White,Designers,1276415,5010,0.003925055722472707,0.5944003990745982
Oregon,White,Designers,1600140,11890,0.00743059982251553,1.1252710310783574
Pennsylvania,White,Designers,5161830,27050,0.0052403895517674935,0.7935911898123662
Rhode Island,White,Designers,423445,3095,0.007309095632254484,1.1068707472895445
South Carolina,White,Designers,1586190,8690,0.005478536619194421,0.829655572569163
South Dakota,White,Designers,398225,1870,0.004695837780149413,0.7111256623770889
Tennessee,White,Designers,2455855,12735,0.00518556673744989,0.78528896303831
Texas,White,Designers,6162190,41825,0.0067873596886821085,1.027860390495014
Utah,White,Designers,1227970,9475,0.007715986546902612,1.1684892666552544
Vermont,White,Designers,319270,1815,0.0056848435493469475,0.860898166378064
Virginia,White,Designers,2778485,16740,0.006024866069098808,0.91239030705716
Washington,White,Designers,2668545,19555,0.007327963365804211,1.1097280285982862
West Virginia,White,Designers,734535,2545,0.003464777035811772,0.5246969720709083
Wisconsin,White,Designers,2597700,16210,0.006240135504484737,0.9449901597342452
Wyoming,White,Designers,260685,930,0.0035675240232464467,0.5402567130410081
Puerto Rico,White,Designers,13370,100,0.0074794315632011965,NA
Alabama,African-American,Designers,581200,385,6.62422573984859e-4,0.3065291344871363
Alaska,African-American,Designers,13760,0,NA,NA
Arizona,African-American,Designers,152575,210,0.0013763722759298706,0.6369019098109971
Arkansas,African-American,Designers,200385,215,0.0010729346008932804,0.49648929171401646
California,African-American,Designers,1066265,5035,0.004722090662265008,2.185098184330545
Colorado,African-American,Designers,118415,240,0.002026770257146476,0.9378667894575408
Connecticut,African-American,Designers,191785,495,0.0025810151993117293,1.1943378535304134
Delaware,African-American,Designers,105485,270,0.0025596056311323885,1.1844307992398593
District of Columbia,African-American,Designers,149480,605,0.004047364195879048,1.8728755520118887
Florida,African-American,Designers,1569980,2215,0.0014108459980381916,0.65285426502263455
Georgia,African-American,Designers,1613775,3545,0.0021967126767981904,1.0165058709959671
Hawaii,African-American,Designers,16455,60,0.003646308113035552,1.6872910342390568
Idaho,African-American,Designers,5195,NA,NA,NA
Illinois,African-American,Designers,848255,1610,0.001898014158478288,0.8782862482219363
Indiana,African-American,Designers,292355,645,0.0022062218877734264,1.0209061591569824
Iowa,African-American,Designers,56060,40,7.135212272565109e-4,0.330174503132402
Kansas,African-American,Designers,83690,90,0.0010753972995578922,0.4976288798256126
Kentucky,African-American,Designers,176080,230,0.0013062244434348025,0.6044417322365635
Louisiana,African-American,Designers,656860,795,0.0012103035654477362,0.5600553467730548
Maine,African-American,Designers,8410,0,NA,NA
Maryland,African-American,Designers,957780,2225,0.0023230804568898917,1.0749812427296837
Massachusetts,African-American,Designers,260415,660,0.0025344162202638096,1.1727746621832094
Michigan,African-American,Designers,624375,1280,0.0020500500500500495,0.9486392707255712
Minnesota,African-American,Designers,171180,285,0.0016649141254819488,0.7704216400859767
Mississippi,African-American,Designers,488460,370,7.574827007329156e-4,0.35051721629575133
Missouri,African-American,Designers,340530,710,0.0020849851701759026,0.9648051330556588
Montana,African-American,Designers,2855,0,NA,NA
Nebraska,African-American,Designers,45795,NA,NA,NA
Nevada,African-American,Designers,125635,610,0.004855334898714529,2.24675556449586
New Hampshire,African-American,Designers,9675,0,NA,NA
New Jersey,African-American,Designers,584190,2035,0.0034834557250209694,1.6119327908643162
New Mexico,African-American,Designers,19190,65,0.0033871808233454925,1.5673825846328289
New York,African-American,Designers,1375735,5550,0.0040342071692586155,1.8667872752218564
North Carolina,African-American,Designers,1079195,1825,0.0016910752922317098,0.7825274470374787
North Dakota,African-American,Designers,12445,0,NA,NA
Ohio,African-American,Designers,680665,930,0.0013663108871471282,0.6322461071309045
Oklahoma,African-American,Designers,134195,175,0.0013040724319087894,0.6034459113566879
Oregon,African-American,Designers,39020,80,0.002050230650948232,0.9487228419068402
Pennsylvania,African-American,Designers,636035,1295,0.0020360514751546687,0.9421615762519033
Rhode Island,African-American,Designers,31000,40,0.0012903225806451613,0.5970833111484662
South Carolina,African-American,Designers,638810,880,0.0013775614032341384,0.6374521660638592
South Dakota,African-American,Designers,8670,NA,NA,NA
Tennessee,African-American,Designers,554550,745,0.0013434316112163015,0.6216589609130749
Texas,African-American,Designers,1699445,3725,0.0021918920588780456,1.0142751803510726
Utah,African-American,Designers,16855,NA,NA,NA
Vermont,African-American,Designers,4210,NA,NA,NA
Virginia,African-American,Designers,837445,1520,0.0018150445700911705,0.8398929368888622
Washington,African-American,Designers,147305,440,0.0029869997623977462,1.3822029741123991
West Virginia,African-American,Designers,29055,0,NA,NA
Wisconsin,African-American,Designers,160610,165,0.0010273332918249176,0.47538776174030334
Wyoming,African-American,Designers,2975,0,NA,NA
Puerto Rico,African-American,Designers,1405,0,NA,NA
Alabama,Asian,Designers,33515,80,0.002386990899597195,0.2942602727388138
Alaska,Asian,Designers,26420,35,0.0013247539742619228,0.16331124925692989
Arizona,Asian,Designers,120580,770,0.006385801957206834,0.7872203559304854
Arkansas,Asian,Designers,24295,145,0.005968306235850998,0.7357528765805694
California,Asian,Designers,3008795,32545,0.010816622601406875,1.3334371393455748
Colorado,Asian,Designers,97015,460,0.0047415348142039885,0.5845205894432586
Connecticut,Asian,Designers,89425,430,0.004808498741962539,0.5927756789994099
Delaware,Asian,Designers,19880,75,0.003772635814889336,0.46507795401351915
District of Columbia,Asian,Designers,19090,275,0.014405447878470404,1.77585554362976
Florida,Asian,Designers,292825,1610,0.005498164432681636,0.6777953639441033
Georgia,Asian,Designers,217095,1460,0.006725166401805661,0.8290560722050464
Hawaii,Asian,Designers,290190,1330,0.004583204107653606,0.56500210828763
Idaho,Asian,Designers,12030,NA,NA,NA
Illinois,Asian,Designers,378055,2285,0.006044094113290393,0.7450957532079483
Indiana,Asian,Designers,76575,410,0.005354227881162259,0.6600513461875532
Iowa,Asian,Designers,40760,45,0.0011040235525024535,0.13610033943751856
Kansas,Asian,Designers,46470,105,0.0022595222724338285,0.2785463657435822
Kentucky,Asian,Designers,33565,70,0.002085505735140772,0.257094187717449
Louisiana,Asian,Designers,41430,25,6.034274680183442e-4,0.07438852462618682
Maine,Asian,Designers,8235,NA,NA,NA
Maryland,Asian,Designers,213470,1205,0.005644821286363424,0.6958747314736158
Massachusetts,Asian,Designers,249930,1675,0.006701876525427119,0.8261849739631721
Michigan,Asian,Designers,163870,1445,0.00881796546042595,1.087049356503306
Minnesota,Asian,Designers,143550,895,0.0062347614071752,0.7686005809433126
Mississippi,Asian,Designers,14850,0,NA,NA
Missouri,Asian,Designers,63375,305,0.004812623274161736,0.5932841375654063
Montana,Asian,Designers,4980,NA,NA,NA
Nebraska,Asian,Designers,24515,85,0.0034672649398327557,0.4274328515559424
Nevada,Asian,Designers,131920,670,0.005078835657974529,0.6261019118939225
New Hampshire,Asian,Designers,20330,125,0.006148548942449582,0.7579725959820266
New Jersey,Asian,Designers,450385,4225,0.009380863039399624,1.15644149165588
New Mexico,Asian,Designers,16455,35,0.002127013065937405,0.26221107294853163
New York,Asian,Designers,864770,10990,0.012708581472530268,1.5666715155308113
North Carolina,Asian,Designers,154710,715,0.004621549996768147,0.5697292615378419
North Dakota,Asian,Designers,6855,NA,NA,NA
Ohio,Asian,Designers,136125,780,0.005730027548209366,0.7063786751015838
