id,contact_city,contact_state,description,found,manual,remove,still_there
39823687,Cedar Rapids,IA,"You can fill out an adoption application online on our official website.Hi! I am Barclay. I traveled all the way from Egypt to find my forever home in Iowa. I like it here at the adoption center where I'v called home for a few years now. I had a pretty rough time before I came to Iowa. I am missing some hair on my back end, it happen Egypt and we don't know what happened but could be the reason it takes time for Barclay to warm up to new people. I am all healed up and would love home with understanding people. I would do best in a quiet home with my few people that understand and love me. I will need on going care for my skin so I don't get sores. The volunteers keep my skin nice and moisturized and away from the sun so I don't get sun burns. I know lots of commands, sit, down, shake and I am crate trained. I love to play with toys too! I like playing with other dogs but I need a home with no kids. Everyone says I am a very handsome boy.

If you are interested in Barclay we ask you to become a volunteers at the Last Hope Adoption Center so he can get to know you! Barclay has stranger danger and takes time to warm up to new people.

Barclay will need an owner who has previous experience with dogs who have behavioral issues.

Barcaly's adoption free is $250 and includes his neuter, microchip and current vaccinations as well as a basic obedience class at Cedar Run in Hiawatha. Last Hope requires that all animals be kept as indoor pets only, altered, current on vaccinations and year round preventatives. Our adoption process includes reference and background checks, a vet check and a home visit",Egypt,NA,NA,NA
45851842,Carmel,NY,"[Meet me in Patterson NY]
 
Hi my name isFifi and I came to NY from Puerto Rico with 11 puppies, yes you read that right ELEVENand we are soexcited to be here in NY hoping to meet you. My pups are the\""F\"" named pups that are listed as well. I am gentle, kind and really want to get to know you. I ride well in the car, walk great on a leash, seem to be house trained (I keep my kennel run clean)and now I am ready to find my forever people and start on my forever journey, will you be my forever?
 
[Check me out in my video:https://www.youtube.com/watch?v=1WpnnhNpraA]",ELEVENand,Puerto Rico,NA,NA
44715789,Stephens City,VA,"You can fill out an adoption application online on our official website.I was rescued from a high kill shelter in Texas along with my companion, Elijah. We'd love to be adopted together. I'm a super sweet older gentleman, who has a touch of arthritis in my elbow, but hey, who wouldn't with the miles I've put on these paws! I am also heartworm positive, but will be treated by SSR. If you are an approved adopter and are interested in this dog, please let your case worker know. If you are not yet an approved adopter but are interested, please complete an adoption application!
You can review our adoption process, www.shenandoahrescue.org/adoption-process if interested. Donations can be made at shenandoahrescue.org/donate or on PayPal to info@shenandoahrescue.org",Elijah,Texas,NA,NA
38419326,Elkton,MD,"LEROY, above all the other animals in our care, embodies the spirit of CompAnimals Pet Rescue and the level of commitment we give to our animals for their entire lives. Here is his story:

About 10 years ago I got a call from a senior citizen who was trying to catch a stray pit bull in her neighborhood in Elkton. The dog would follow children around but eluded adults. She was worried the SPCA would pick him up and euthanize him. The Cecil Co SPCA had a \""no pit bulls\"" policy at the time. So for 3 weeks I tried to catch him, make friends with him, bribe him and for 3 weeks the SPCA was bent on catching him as well. Luckily, with the help of a butcher (who lived in the same neighborhood and had been giving him fresh beef) I was able to capture him. He was super friendly and hopped right in my car. We had him vetted and aside from a hairless patch on the top of his head he recovered from his ordeal pretty quickly.

I fostered him myself. He had a distinct hate of cats and for that reason I wasn't able to keep him permanently. He did get along with other dogs and was a well mannered guest. It was probably a year or so before he found his \""forever\"" home. Leroy seemed to have lucked out - he had a boy of his own and a big grassy yard. We didn't hear much from him after the initial settling in. There were other dogs to rescue and Leroy was starting his new life.

Fast forward about 4 years - tragedy struck and Leroy's family fell apart. His mom was sick, the house was in foreclosure, Leroy was living in an empty house. We got a call that the family could no longer care for him. Leroy came back.

Due to the family's lack of finances and the stress of it all, Leroy was in horrible shape. His skin condition which, looking back through vet records, had never been fully addressed. He was bald, scabby, bloody and thin. His head was sunken in. His hair loss was so great that you couldn't even distinguish what color he was. He wagged his tail.

Antibiotics and prednisone kicked back the skin a notch but again it never fully recovered. He developed demodex, a type of mange, due to the pred suppressing his immune system. We sent him to a foster home hoping to boost his spirits and give him more 1-on-1 care. Another vet was added to his repertoire. More antibiotics, supplements, shampoos but still his skin was slow to recover. Some prickly hair poked through but not as much as we had hoped for. He developed a sore on his ear and one on his toe which was so painful he didn't want to walk. A culture was done and revealed not one, but 3, drug resistant bacteria. One was resistant to ALL antibiotics. The drugs that we had been giving him were slowly killing him.

Fast forward to a year ago, stopped all Western medicine and enlisted the help of Always Helpful Veterinary Services & Dr Judith Shoemaker. The first visit was hours long as she worked up a plan and refining of supplements, powders and remedies. I noticed her lack of concern at the \""flesh eating bacteria\"" - a condition so bad that one vet wanted to amputate part of his ear and toe and another felt it was hopeless and he should be euthanized. She was most concerned with his painful eyes. He has a condition called entropean where the eyelids roll in and the lashes rub against the eye.

Leroy responded quickly under the watchful eye of Dr. Shoemaker. His coat came in glossy and now covers about 2/3 of his body. His skin still has flare ups but not more drug resistant bacteria. He was tested for food allergies and put on an appropriate diet. To someone meeting Leroy today, for the first time, he looks like a wreck - like he was just rescued. But to those of us who have seen him in the road to recovery, he looks beautiful.

Leroy has a pan pal who has him out every week for his medicated bath and some R&R. This same wonderful pen pal is covering most of his medical expenses (thankfully Always Helpful has a monthly payment plan!). She has offered to continue with his support even after he is adopted.

Leroy is now pushing 10 years of age. We would love for him to find his special home but if not, he is welcome to live his life out with us. Somewhere along the line he decided he didn't want to get along with other dogs - his Dr thinks it is because he felt so crappy. He has never lost his love of people - especially children. Leroy adores kids! He is currently getting a break from shelter life and is in a \""vacation\"" foster home for a few weeks. Check out the video his foster mom made for him.

If you can be Leroy's guardian angel please fill out an application at www.companimals.org",Elkton,Maryland,NA,NA
45906416,Ellicott City,MD,"Sparky is looking for a foster home (would be perfect if that foster home might be looking for a dog to adopt as well). Sparky is one year old hound mix, possibly with some cattle dog mixed in, 50 pounds, an active boy (a fenced yard would be most ideal), loves playing with his 50 pound active foster brother (but no small dogs, so probably no cats either). Also a big snuggler, Looking for a dog savvy foster home who can help work on some manners (pulling on leash, jumping etc) so no kids under 12 either. We are located in Ellicott City, Md, trying to set up this lovebug for success. We supply everything you might need to foster. If you think you can help us with Sparky, we would love to speak to you. 443-750-2833 or go to almosthomedogs.org and click on foster for application. PLEASE HELP US.

Please note-an application is required prior to any meet and greets.  There is no fee or obligation. Go to Almosthomedogs.org, click on \""Adopt\"" tab at top

Because our dogs are in foster homes, applications are required prior to setting up any appointments.  Calling or emailing may delay your consideration.  Find our application on our website, almosthomedogs.org or click link below to find our application. https://docs.google.com/forms/d/12OTN3QBcNJEXlyQM0GzTMrb5ErkjpgWV3MiSlUP0L64/edit?ts=5a7f738f

Adoption Fee is $350. All dogs older than six months will be spayed/neutered prior to adoption. Dogs also have vaccines that are age appropriate, fecal check, treatment if needed, a vet physical, flea/tick treatment,  All of our dogs will be microchipped.

We are a non profit no kill 501 (c)3 rescue. Please understand that we do our best to describe our dogs but often we rescue them with virtually no information about them and often our best educated guess can be challenging. Currently check or cash is preferred payment. 

",Ellicott City,Maryland,NA,NA
44260705,Killingworth,CT,"Ellis #2 is about 1 year old and 41 lbs. He has had a prolapsed anus so he had surgery to tack his colon to his body internally. It has worked well and he is doing fine. Ellis is a sweet and goofy boy. He cannot climb a fence, but has climbed the gate when he sees a dog on the other side he wants to play with or he sees me. He normally does not try to get out, but would need to be supervised. He has a great personality and gets along really well with other dogs. He loves humans too. If you are interested in Ellis please fill out an application at labs4rescue.com.

September 15, 2019 Update from Ellis's Foster Mom in Connecticut: As soon as the Vet in Norwalk does his final exam, I think we will be taking Ellis to play with a neighbor chocolate lab. He wants to play so much when he meets other dogs. We have started dog obedience classes yesterday through our Park & Rec Dept. After all the initial craziness (6 dogs in class), he ended up doing pretty good. He is so friendly with people and children. Loves to be petted and loves to give kisses too. Rides well in the car. Is relatively calm and quiet in the house - until the doorbell rings. There is not an aggressive bone in his body. Likes to keep tabs on his people. Likes to lie at or under your feet.

Ellis's day is up at 6:30, Todd takes him out to potty. Back in for breakfast. Then a long walk around the property. Todd and I take him on walks around the yard. He seems to like laying outdoors. Does not bark at cars or bike riders. Late afternoon is a walk at the beach or the state park for an hour. Loves his dinner! And loves to chew his rawhide chew bone while in the living room with us. We go down to the barn to put the horses in and he loves gobbling up any grain they miss. Also he likes carrots. Around 9:30 he is tired and goes to sleep on his dog bed but will go into his crate at night when we go to bed. Boy oh boy, can that boy snore!

For additional information about Ellis #2 please email Marla Cox at mclabs4rescue@gmail.com. 

Ellis #2 is being fostered in Connecticut.

IMPORTANT INFORMATION: We receive many questions about our adoption process from potential adopters, most of which can be answered by viewing our \""Adopt a Lab\"" page on our full service website, https://labs4rescue.dog/.   To expedite the process, please follow the step-by-step instructions outlined and submit an adoption application listing 3-5 dogs of interest. Please hurry as your new best friend is waiting for you!",Ellis,Connecticut,NA,NA
45976829,Elyria,OH,"Kennel #7
Intake 9/11/19  - from Lorain 
Available 9/17/19  if not claimed.


Breed info is a best guess, many times a dog is listed at the kennel as a mix.

LCDK cannot cat or kid test, as they do not have either on staff. We encourage you to bring your family and pets (cats can be brought in a carrier) to the kennel and the kennel staff will help with introductions. Just because one of our dogs does well with another dog here does not mean your dog and our dog will get along. You can meet a dog prior to itâs available date - just know that an owner can still come for it.
All adoptions are first come, first serve on the available date (no deposits taken to hold a dog). Show ID, pay fee of $66 (cash or 2 checks) - if already fixed, the dog will leave with you. If not - more info below on that. 
In the case of multiple potential adopters at the same time, a lottery system has been put in place (effective 3/29/17): Potential adopters can begin gathering in the parking lot 10 minutes prior to open. Doors open at 10am - all adopters will be given a ticket and staff will draw a winner. That person must have ID, the fee and be completing paperwork in their own name.

DOGS THAT ARENâT ALREADY FIXED:
Upon adoption, the dog will stay here until the next vet run, get fixed (included in the fee, along with a current year license) - and you pick the dog up from one of 2 places after the fix (see below). 
Dogs adopted Friday and Saturday: Pick up from Friendship APL in Elyria on Tuesday afternoon.
Dogs adopted Tuesday, Wednesday or Thursday: Pick up from Doudâs Veterinary Hospital in Oberlin on Friday afternoon.",Elyria,NA,TRUE,NA
45903262,Elyria,OH,"Kennel #15 
Intake 9/5/19 from Lorain 
Available 9/11/19 if not claimed.


Breed info is a best guess, many times a dog is listed at the kennel as a mix.

LCDK cannot cat or kid test, as they do not have either on staff. We encourage you to bring your family and pets (cats can be brought in a carrier) to the kennel and the kennel staff will help with introductions. Just because one of our dogs does well with another dog here does not mean your dog and our dog will get along. You can meet a dog prior to itâs available date - just know that an owner can still come for it.
All adoptions are first come, first serve on the available date (no deposits taken to hold a dog). Show ID, pay fee of $66 (cash or 2 checks) - if already fixed, the dog will leave with you. If not - more info below on that. 
In the case of multiple potential adopters at the same time, a lottery system has been put in place (effective 3/29/17): Potential adopters can begin gathering in the parking lot 10 minutes prior to open. Doors open at 10am - all adopters will be given a ticket and staff will draw a winner. That person must have ID, the fee and be completing paperwork in their own name.

DOGS THAT ARENâT ALREADY FIXED:
Upon adoption, the dog will stay here until the next vet run, get fixed (included in the fee, along with a current year license) - and you pick the dog up from one of 2 places after the fix (see below). 
Dogs adopted Friday and Saturday: Pick up from Friendship APL in Elyria on Tuesday afternoon.
Dogs adopted Tuesday, Wednesday or Thursday: Pick up from Doudâs Veterinary Hospital in Oberlin on Friday afternoon.",Elyria,NA,TRUE,NA
45903242,Elyria,OH,"Kennel #17 
Intake 9/5/19  - from Elyria 
Available 9/11/19 if not claimed.


Breed info is a best guess, many times a dog is listed at the kennel as a mix.

LCDK cannot cat or kid test, as they do not have either on staff. We encourage you to bring your family and pets (cats can be brought in a carrier) to the kennel and the kennel staff will help with introductions. Just because one of our dogs does well with another dog here does not mean your dog and our dog will get along. You can meet a dog prior to itâs available date - just know that an owner can still come for it.
All adoptions are first come, first serve on the available date (no deposits taken to hold a dog). Show ID, pay fee of $66 (cash or 2 checks) - if already fixed, the dog will leave with you. If not - more info below on that. 
In the case of multiple potential adopters at the same time, a lottery system has been put in place (effective 3/29/17): Potential adopters can begin gathering in the parking lot 10 minutes prior to open. Doors open at 10am - all adopters will be given a ticket and staff will draw a winner. That person must have ID, the fee and be completing paperwork in their own name.

DOGS THAT ARENâT ALREADY FIXED:
Upon adoption, the dog will stay here until the next vet run, get fixed (included in the fee, along with a current year license) - and you pick the dog up from one of 2 places after the fix (see below). 
Dogs adopted Friday and Saturday: Pick up from Friendship APL in Elyria on Tuesday afternoon.
Dogs adopted Tuesday, Wednesday or Thursday: Pick up from Doudâs Veterinary Hospital in Oberlin on Friday afternoon.",Elyria,NA,TRUE,NA
45836319,Elyria,OH,"Kennel #2
Intake 8/24/19  - from Lorain 
Available 8/30/19  if not claimed.


Breed info is a best guess, many times a dog is listed at the kennel as a mix.

LCDK cannot cat or kid test, as they do not have either on staff. We encourage you to bring your family and pets (cats can be brought in a carrier) to the kennel and the kennel staff will help with introductions. Just because one of our dogs does well with another dog here does not mean your dog and our dog will get along. You can meet a dog prior to itâs available date - just know that an owner can still come for it.
All adoptions are first come, first serve on the available date (no deposits taken to hold a dog). Show ID, pay fee of $66 (cash or 2 checks) - if already fixed, the dog will leave with you. If not - more info below on that. 
In the case of multiple potential adopters at the same time, a lottery system has been put in place (effective 3/29/17): Potential adopters can begin gathering in the parking lot 10 minutes prior to open. Doors open at 10am - all adopters will be given a ticket and staff will draw a winner. That person must have ID, the fee and be completing paperwork in their own name.

DOGS THAT ARENâT ALREADY FIXED:
Upon adoption, the dog will stay here until the next vet run, get fixed (included in the fee, along with a current year license) - and you pick the dog up from one of 2 places after the fix (see below). 
Dogs adopted Friday and Saturday: Pick up from Friendship APL in Elyria on Tuesday afternoon.
Dogs adopted Tuesday, Wednesday or Thursday: Pick up from Doudâs Veterinary Hospital in Oberlin on Friday afternoon.",Elyria,NA,TRUE,NA
45757394,Elyria,OH,"Kennel #14
Intake 8/21/19  - from Lorain 
Available 8/27/19  if not claimed.


Breed info is a best guess, many times a dog is listed at the kennel as a mix.

LCDK cannot cat or kid test, as they do not have either on staff. We encourage you to bring your family and pets (cats can be brought in a carrier) to the kennel and the kennel staff will help with introductions. Just because one of our dogs does well with another dog here does not mean your dog and our dog will get along. You can meet a dog prior to itâs available date - just know that an owner can still come for it.
All adoptions are first come, first serve on the available date (no deposits taken to hold a dog). Show ID, pay fee of $66 (cash or 2 checks) - if already fixed, the dog will leave with you. If not - more info below on that. 
In the case of multiple potential adopters at the same time, a lottery system has been put in place (effective 3/29/17): Potential adopters can begin gathering in the parking lot 10 minutes prior to open. Doors open at 10am - all adopters will be given a ticket and staff will draw a winner. That person must have ID, the fee and be completing paperwork in their own name.

DOGS THAT ARENâT ALREADY FIXED:
Upon adoption, the dog will stay here until the next vet run, get fixed (included in the fee, along with a current year license) - and you pick the dog up from one of 2 places after the fix (see below). 
Dogs adopted Friday and Saturday: Pick up from Friendship APL in Elyria on Tuesday afternoon.
Dogs adopted Tuesday, Wednesday or Thursday: Pick up from Doudâs Veterinary Hospital in Oberlin on Friday afternoon.",Elyria,NA,TRUE,NA
45721533,Elyria,OH,"Kennel #8
Intake 8/20/19  - from Lorain
Available 8/24/19  if not claimed.


Breed info is a best guess, many times a dog is listed at the kennel as a mix.

LCDK cannot cat or kid test, as they do not have either on staff. We encourage you to bring your family and pets (cats can be brought in a carrier) to the kennel and the kennel staff will help with introductions. Just because one of our dogs does well with another dog here does not mean your dog and our dog will get along. You can meet a dog prior to itâs available date - just know that an owner can still come for it.
All adoptions are first come, first serve on the available date (no deposits taken to hold a dog). Show ID, pay fee of $66 (cash or 2 checks) - if already fixed, the dog will leave with you. If not - more info below on that. 
In the case of multiple potential adopters at the same time, a lottery system has been put in place (effective 3/29/17): Potential adopters can begin gathering in the parking lot 10 minutes prior to open. Doors open at 10am - all adopters will be given a ticket and staff will draw a winner. That person must have ID, the fee and be completing paperwork in their own name.

DOGS THAT ARENâT ALREADY FIXED:
Upon adoption, the dog will stay here until the next vet run, get fixed (included in the fee, along with a current year license) - and you pick the dog up from one of 2 places after the fix (see below). 
Dogs adopted Friday and Saturday: Pick up from Friendship APL in Elyria on Tuesday afternoon.
Dogs adopted Tuesday, Wednesday or Thursday: Pick up from Doudâs Veterinary Hospital in Oberlin on Friday afternoon.",Elyria,NA,TRUE,NA
45721490,Elyria,OH,"Kennel #19
Intake 8/18/19  - from Wellington 
Available 8/23/19 if not claimed.


Breed info is a best guess, many times a dog is listed at the kennel as a mix.

LCDK cannot cat or kid test, as they do not have either on staff. We encourage you to bring your family and pets (cats can be brought in a carrier) to the kennel and the kennel staff will help with introductions. Just because one of our dogs does well with another dog here does not mean your dog and our dog will get along. You can meet a dog prior to itâs available date - just know that an owner can still come for it.
All adoptions are first come, first serve on the available date (no deposits taken to hold a dog). Show ID, pay fee of $66 (cash or 2 checks) - if already fixed, the dog will leave with you. If not - more info below on that. 
In the case of multiple potential adopters at the same time, a lottery system has been put in place (effective 3/29/17): Potential adopters can begin gathering in the parking lot 10 minutes prior to open. Doors open at 10am - all adopters will be given a ticket and staff will draw a winner. That person must have ID, the fee and be completing paperwork in their own name.

DOGS THAT ARENâT ALREADY FIXED:
Upon adoption, the dog will stay here until the next vet run, get fixed (included in the fee, along with a current year license) - and you pick the dog up from one of 2 places after the fix (see below). 
Dogs adopted Friday and Saturday: Pick up from Friendship APL in Elyria on Tuesday afternoon.
Dogs adopted Tuesday, Wednesday or Thursday: Pick up from Doudâs Veterinary Hospital in Oberlin on Friday afternoon.",Elyria,NA,TRUE,NA
45599055,Elyria,OH,"Kennel #13
Intake 8/11/19- from Carlisle Township
Available 8/16/19 if not claimed.


Breed info is a best guess, many times a dog is listed at the kennel as a mix.

LCDK cannot cat or kid test, as they do not have either on staff. We encourage you to bring your family and pets (cats can be brought in a carrier) to the kennel and the kennel staff will help with introductions. Just because one of our dogs does well with another dog here does not mean your dog and our dog will get along. You can meet a dog prior to itâs available date - just know that an owner can still come for it.
All adoptions are first come, first serve on the available date (no deposits taken to hold a dog). Show ID, pay fee of $66 (cash or 2 checks) - if already fixed, the dog will leave with you. If not - more info below on that. 
In the case of multiple potential adopters at the same time, a lottery system has been put in place (effective 3/29/17): Potential adopters can begin gathering in the parking lot 10 minutes prior to open. Doors open at 10am - all adopters will be given a ticket and staff will draw a winner. That person must have ID, the fee and be completing paperwork in their own name.

DOGS THAT ARENâT ALREADY FIXED:
Upon adoption, the dog will stay here until the next vet run, get fixed (included in the fee, along with a current year license) - and you pick the dog up from one of 2 places after the fix (see below). 
Dogs adopted Friday and Saturday: Pick up from Friendship APL in Elyria on Tuesday afternoon.
Dogs adopted Tuesday, Wednesday or Thursday: Pick up from Doudâs Veterinary Hospital in Oberlin on Friday afternoon.",Elyria,NA,TRUE,NA
45597676,Elyria,OH,"Kennel #9
Intake 8/7/19- from Lorain 
Available 8/13/19 if not claimed.


Breed info is a best guess, many times a dog is listed at the kennel as a mix.

LCDK cannot cat or kid test, as they do not have either on staff. We encourage you to bring your family and pets (cats can be brought in a carrier) to the kennel and the kennel staff will help with introductions. Just because one of our dogs does well with another dog here does not mean your dog and our dog will get along. You can meet a dog prior to itâs available date - just know that an owner can still come for it.
All adoptions are first come, first serve on the available date (no deposits taken to hold a dog). Show ID, pay fee of $66 (cash or 2 checks) - if already fixed, the dog will leave with you. If not - more info below on that. 
In the case of multiple potential adopters at the same time, a lottery system has been put in place (effective 3/29/17): Potential adopters can begin gathering in the parking lot 10 minutes prior to open. Doors open at 10am - all adopters will be given a ticket and staff will draw a winner. That person must have ID, the fee and be completing paperwork in their own name.

DOGS THAT ARENâT ALREADY FIXED:
Upon adoption, the dog will stay here until the next vet run, get fixed (included in the fee, along with a current year license) - and you pick the dog up from one of 2 places after the fix (see below). 
Dogs adopted Friday and Saturday: Pick up from Friendship APL in Elyria on Tuesday afternoon.
Dogs adopted Tuesday, Wednesday or Thursday: Pick up from Doudâs Veterinary Hospital in Oberlin on Friday afternoon.",Elyria,NA,TRUE,NA
45340712,Elyria,OH,"Kennel #4
Intake 7/13/19  - from Lorain 
Available 7/27/19  if not claimed.


Breed info is a best guess, many times a dog is listed at the kennel as a mix.

LCDK cannot cat or kid test, as they do not have either on staff. We encourage you to bring your family and pets (cats can be brought in a carrier) to the kennel and the kennel staff will help with introductions. Just because one of our dogs does well with another dog here does not mean your dog and our dog will get along. You can meet a dog prior to itâs available date - just know that an owner can still come for it.
All adoptions are first come, first serve on the available date (no deposits taken to hold a dog). Show ID, pay fee of $66 (cash or 2 checks) - if already fixed, the dog will leave with you. If not - more info below on that. 
In the case of multiple potential adopters at the same time, a lottery system has been put in place (effective 3/29/17): Potential adopters can begin gathering in the parking lot 10 minutes prior to open. Doors open at 10am - all adopters will be given a ticket and staff will draw a winner. That person must have ID, the fee and be completing paperwork in their own name.

DOGS THAT ARENâT ALREADY FIXED:
Upon adoption, the dog will stay here until the next vet run, get fixed (included in the fee, along with a current year license) - and you pick the dog up from one of 2 places after the fix (see below). 
Dogs adopted Friday and Saturday: Pick up from Friendship APL in Elyria on Tuesday afternoon.
Dogs adopted Tuesday, Wednesday or Thursday: Pick up from Doudâs Veterinary Hospital in Oberlin on Friday afternoon.",Elyria,NA,TRUE,NA
45672302,Keene,NH,"Hi, I'm Leon!

I came all the way from England just to brighten your day. I'm a real world traveler - I was born in Ireland, raced in the UK, and now I've retired to America. 

I love to walk, and I've perfected my leash manners so I can go out as much as possible. My favorite thing is when the volunteers come to walk me and give me so much undivided attention!

I'm such a happy, outgoing lad that I make friends wherever I go. I hope you'll be one of them.


* Fast Friends adopts in the New England area only. If you are interested in one of our dogs, please fill out an application at www.helpinggreyhounds.org/adopt-a-greyhound *",England,NA,NA,NA
39608594,Sarasota,FL,"Jax is a CAUTIOUS boy around men. He was pulled from Hillsborough County in HORRIBLE condition, and Saved from Euthanasia. Unsocialized or Feral, they were not sure. He is Selective with his people but with slow and proper introduction, we feel he will be a wonderful (but protective) Companion dog. He is a Handsome, Sleek, High energy baby, looking for the PERFECT Furever home and family.",Euthanasia,Florida,NA,NA
38281402,Tonka Bay,MN,"Every minute matters when it comes to rescuing a Shih Tzu. We may get a short notice that someone needs to surrender their dog or a puppy mill dog needs a temporary home. We can't help if we don't have families willing to foster, and we are always in need of more foster homes!

If you live in the Minneapolis/Saint Paul, Rockford or Chicago, IL areas and want to help save lives, please complete either our online Foster Sign-Up or download a word version here:

http://www.northstarshihtzurescue.org/foster/

(please note: neither dog pictured are available to foster or adopt, both are in their forever homes)

NorthStar Shih Tzu Rescue exists to benefit both Shih Tzu and Shih Tzu blend dogs and the people of our community. We operate as a no-kill rescue that provides rescue and adoption services, and meaningful outreach programs in order to advance the welfare of these companion animals, to serve and educate our community, and to make a positive, loving impact on the lives of both.

NorthStar, located in Excelsior, MN, actively works to rescue Shih Tzu and Shih Tzu blend dogs from dangerous environments and shelters with the ultimate goal of placing them in loving, permanent, adoptive homes. We rescue unwanted, abandoned, and abused dogs. We have them vaccinated, micro-chipped, spayed or neutered, provide other medical care, and rehabilitate them in carefully selected foster homes.

We also serve as a resource to our community and all pet owners by providing education and information on the benefits of adopting an animal in need as well as responsible pet ownership, including the importance of spay/neuter, good nutrition, and positive behavior training. We strive to increase public awareness about companion animal overpopulation, commercial breeders, and to offer solutions to end the killing of adoptable animals.

We work in alliance with local animal shelters, pounds, other rescue groups, and humane society organizations to ensure these animals are not forgotten.

9/7/19 7:24 PM",Excelsior,Minnesota,NA,NA
46007929,Fairfax,VA,"Jenny is a small female terrier who is estimated to be about two year old.  She is about 8 lbs, and is looking for a forever family who will not abandon her anymore. 

In a very remote part of southeast part of Korea, Jenny was found on the street abandoned by her human family.  We do not know how long she has been living on the street, but she was very thin, and also tested positive for heartworm.  She was relocated to a near by shelter, but we had to rescue her out when it was time for her to be euthanized to a nice foster home who was willing to take her in while she was being treated for HW,  Her personality was really blossoming while she was with the foster family, and we realized she is just another loving pup who likes to be petted, loves going for a walk, and plays with her toys.  She also loves people, and furry friends at the foster home.  We were told she is not much of a barker, which would make her a perfect city dog where she can live in an apartment, and gets to go to a nearby dog park to play with other dogs!  Now, she has to take is the monthly HW meds just like any other dogs, but other than that, she received thumbs up from the vet, and she is ready for his forever home!

We believe people who adopt rescue animals because they are willing to accept a bit of imperfection, and willing to embrace, work/ train and love them no matter what baggage the animal had in the past. It can be challenging, but extremely rewarding. We have seen amazing transformation in our adopted dogs who have been with loving families, and it is our goal to provide all of them with the opportunity. We are at our happiest when we see photos of our adopted animals smile with the new adoptive family, and we hope to find Jenny a loving family who would do the same. 

Please consider adopting Jenny and making her part of your family! If you would like to apply to adopt Jenny, you can download an application here: 

https://docs.google.com/forms/d/1u_YTSKWFVkNYLUcJbCVvfyQnguL-gHi8JGG59XOIIog/edit 

You can MEET Jenny upon request or at one of our adoption event in the near future.  We will post the exact date once we finalize the plan.  Please refer to our facebook page for more info:

https://www.facebook.com/Band4Animal/

 *NOTE* We have a 30-mile radius limit from Fairfax, VA for adoption.  We require a completed application & home check to adopt. An adoption fee o$500 applies. All dogs are spay/neutered and have all shots prior to adoption. We will not respond to anyone who has not filled out the application, but request to meet the dogs. Thank you!",Fairfax,South Korea,NA,NA
46007790,Fairfax,VA,"Tom is a male Maltese who is estimated to be about two year old.  He is about 11 lbs, and is looking for a forever family who will not abandon him anymore. 

In a very remote part of southeast part of Korea, Tom was abandoned in a crate along with his playmate, a small 7lbs Pomeranian by his previous owner near a high kill shelter.  We do not know why, but incidents like this happen all the time to our furbabies in Korea, where the dogs have been part of the family for some time, and one day, they become disposable.  Tom and his friend were rescued out of the kill shelter when it was time to be euthanized, and now that he feels that he is safe with us, his personality is really blossoming.  He loves people, and loves getting petted.  He does not like it when other dogs try to take the attention away while he is sitting on your lap, and would growl, but he never attacks.  He is relatively very calm, and not hyper.  He plays well with other calm dogs but stays away from dogs that are more jumpy.  When he was rescued, he tested positive for heartworm, but he has been treated for HW since then.  Now, all he has to take is the monthly HW meds just like any other dogs, but other than that, he received thumbs up from the vet, and he is ready for his forever home!

We believe people who adopt rescue animals because they are willing to accept a bit of imperfection, and willing to embrace, work/ train and love them no matter what baggage the animal had in the past. It can be challenging, but extremely rewarding. We have seen amazing transformation in our adopted dogs who have been with loving families, and it is our goal to provide all of them with the opportunity. We are at our happiest when we see photos of our adopted animals smile with the new adoptive family, and we hope to find Tom a loving family who would do the same. 

Please consider adopting Tom and making him part of your family! If you would like to apply to adopt Tom, you can download an application here: 

https://docs.google.com/forms/d/1u_YTSKWFVkNYLUcJbCVvfyQnguL-gHi8JGG59XOIIog/edit 

You can MEET Tom upon request or at one of our adoption event in the near future.  We will post the exact date once we finalize the plan.  Please refer to our facebook page for more info:

https://www.facebook.com/Band4Animal/

 *NOTE* We have a 30-mile radius limit from Fairfax, VA for adoption.  We require a completed application & home check to adopt. An adoption fee o$500 applies. All dogs are spay/neutered and have all shots prior to adoption. We will not respond to anyone who has not filled out the application, but request to meet the dogs. Thank you!",Fairfax,South Korea,NA,NA
