id,number,nationwide_number,name,original_name,sex,year_of_birth,nationality,military_civilian,selection,year_of_selection,mission_number,total_number_of_missions,occupation,year_of_mission,mission_title,ascend_shuttle,in_orbit,descend_shuttle,hours_mission,total_hrs_sum,field21,eva_hrs_mission,total_eva_hrs
246,122,58,"Thagard, Norman E.","Thagard, Norman E.",male,1943,U.S.,civilian,1978 NASA group,1978,4,5,MSP,1992,STS-42,STS-42,STS-42,STS-42,192,3373.4,0,0,0
247,122,58,"Thagard, Norman E.","Thagard, Norman E.",male,1943,U.S.,civilian,1978 NASA group,1978,5,5,MSP,1995,18,Soyuz-TM21,Mir,STS-71,2760,3373.4,0,0,0
248,123,55,"Aleksandrov, Aleksandr",Александр Павлович Александров,male,1943,U.S.S.R/Russia,civilian,NPOE-4,1978,1,2,flight engineer,1983,Salyut 7,Soyuz T­9,Salyut 7,Soyuz T­9,3586,7434.03,2,5.86,5.86
249,123,55,"Aleksandrov, Aleksandr",Александр Павлович Александров,male,1943,U.S.S.R/Russia,civilian,NPOE-4,1978,2,2,flight engineer,1987,2,Soyuz TM­3,Mir,Soyuz TM­3,3847,7434.03,0,0,5.86
250,124,59,"Brandenstein, Daniel C.","Brandenstein, Daniel C.",male,1943,U.S.,military,NASA- 8,1978,1,4,pilot,1983,STS-8,STS-8,STS-8,STS-8,145,789,0,0,0
251,124,59,"Brandenstein, Daniel C.","Brandenstein, Daniel C.",male,1943,U.S.,military,NASA- 8,1978,2,4,commander,1985,STS-51-G,STS-51-G,STS-51-G,STS-51-G,170,789,0,0,0
252,124,59,"Brandenstein, Daniel C.","Brandenstein, Daniel C.",male,1943,U.S.,military,NASA- 8,1978,3,4,commander,1990,STS-32,STS-32,STS-32,STS-32,261,789,0,0,0
253,124,59,"Brandenstein, Daniel C.","Brandenstein, Daniel C.",male,1943,U.S.,military,NASA- 8,1978,4,4,commander,1992,STS-49,STS-49,STS-49,STS-49,213,789,0,0,0
254,125,60,"Bluford, Guion S., Jr.","Bluford, Guion S., Jr.",male,1942,U.S.,military,NASA- 8,1978,1,4,MSP,1983,STS-8,STS-8,STS-8,STS-8,31,688,0,0,0
255,125,60,"Bluford, Guion S., Jr.","Bluford, Guion S., Jr.",male,1942,U.S.,military,NASA- 8,1978,2,4,MSP,1985,STS-61-A,STS-61-A,STS-61-A,STS-61-A,168,688,0,0,0
256,125,60,"Bluford, Guion S., Jr.","Bluford, Guion S., Jr.",male,1942,U.S.,military,NASA- 8,1978,3,4,MSP,1991,STS-39,STS-39,STS-39,STS-39,199,688,0,0,0
257,125,60,"Bluford, Guion S., Jr.","Bluford, Guion S., Jr.",male,1942,U.S.,military,NASA- 8,1978,4,4,MSP,1992,STS-53,STS-53,STS-53,STS-53,175,688,0,0,0
258,126,61,"Gardner, Dale A.","Gardner, Dale A.",male,1948,U.S.,military,NASA Astronaut Group 8,1978,1,2,MSP,1983,STS-8,STS-8,"STS-8, INSAT-1B",STS-8,145,336,0,0,12
259,126,61,"Gardner, Dale A.","Gardner, Dale A.",male,1948,U.S.,military,NASA Astronaut Group 8,1978,2,2,MSP,1984,STS-51A,STS-51A,STS-51A,STS-51A,191,336,2,12,12
260,127,62,"Thornton, William E.","Thornton, William E.",male,1929,U.S.,civilian,1967 NASA group,1967,1,2,MSP,1983,STS-8,STS-8,STS-8,STS-8,145,313.26,0,0,0
261,127,62,"Thornton, William E.","Thornton, William E.",male,1929,U.S.,civilian,1967 NASA group,1967,2,2,MSP,1985,STS-51-B,STS-51-B,STS-51-B,STS-51-B,169,313.26,0,0,0
262,128,63,"Shaw, Brewster H., Jr.","Shaw, Brewster H., Jr.",male,1945,U.S.,military,1978 NASA group 8,1978,1,3,pilot,1983,STS-9,STS-9,STS-9,STS-9,247.75,533.75,0,0,0
263,128,63,"Shaw, Brewster H., Jr.","Shaw, Brewster H., Jr.",male,1945,U.S.,military,1979 NASA group 8,1978,2,3,commander,1985,STS-61-B,STS-61-B,STS-61-B,STS-61-B,165,533.75,0,0,0
264,128,63,"Shaw, Brewster H., Jr.","Shaw, Brewster H., Jr.",male,1945,U.S.,military,1980 NASA group 8,1978,3,3,commander,1989,STS-28,STS-28,STS-28,STS-28,121,533.75,0,0,0
265,129,64,"Parker, Robert A. R.","Parker, Robert A. R.",male,1936,U.S.,civilian,NASA-6,1967,1,2,MSP,1983,STS-9,STS-9,STS-9,STS-9,248,463,0,0,0
266,129,64,"Parker, Robert A. R.","Parker, Robert A. R.",male,1936,U.S.,civilian,NASA-6,1967,2,2,MSP,1990,STS-35,STS-35,STS-35,STS-35,215,463,0,0,0
267,130,65,"Lichtenberg, Byron Kurt","Lichtenberg, Byron Kurt",male,1948,U.S.,military,NASA-9,1982,1,2,PSP,1983,Spacelab 1,STS-9,STS-9,STS-9,247.94,462.31,0,0,0
268,130,65,"Lichtenberg, Byron Kurt","Lichtenberg, Byron Kurt",male,1948,U.S.,military,NASA-9,1982,2,2,PSP,1992,Atlas-1,STS-45,STS-45,STS-45,214.37,462.31,0,0,0
269,131,1,"Merbold, Ulf","Merbold, Ulf",male,1941,Germany,civilian,ESA-1,1978,1,3,PSP,1983,STS-9,STS-9,STS-9,STS-9,248,1197.6,0,0,0
270,131,1,"Merbold, Ulf","Merbold, Ulf",male,1941,Germany,civilian,ESA-1,1978,2,3,PSP,1992,STS-42,STS-42,STS-42,STS-42,193,1197.6,0,0,0
271,131,1,"Merbold, Ulf","Merbold, Ulf",male,1941,Germany,civilian,ESA-1,1978,3,3,MSP,1994,Euromir 94,Soyuz TM-20,Euromir 94,Soyuz TM-19,756.6,1197.6,0,0,0
272,132,66,"Gibson, Robert L.","Gibson, Robert L.",male,1946,U.S.,military,NASA Astronaut Group 8,1978,1,5,pilot,1984,STS-41-B,STS-41-B,STS-41-B,STS-41-B,191.25,868.13,0,0,0
273,132,66,"Gibson, Robert L.","Gibson, Robert L.",male,1946,U.S.,military,NASA Astronaut Group 8,1978,2,5,commander,1986,STS-61-C,STS-61-C,STS-61-C,STS-61-C,146,868.13,0,0,0
274,132,66,"Gibson, Robert L.","Gibson, Robert L.",male,1946,U.S.,military,NASA Astronaut Group 8,1978,3,5,commander,1988,STS-27,STS-27,STS-27,STS-27,105,868.13,0,0,0
275,132,66,"Gibson, Robert L.","Gibson, Robert L.",male,1946,U.S.,military,NASA Astronaut Group 8,1978,4,5,commander,1992,STS-47,STS-47,STS-47,STS-47,190.5,868.13,0,0,0
276,132,66,"Gibson, Robert L.","Gibson, Robert L.",male,1946,U.S.,military,NASA Astronaut Group 8,1978,5,5,commander,1995,STS-71,STS-71,STS-71,STS-71,235.38,868.13,0,0,0
277,133,67,"McNair, Ronald E.","McNair, Ronald E.",male,1950,U.S.,civilian,NASA- 8,1978,1,2,MSP,1984,STS-41-B,STS-41-B,STS-41-B,STS-41-B,191,191,2,12.02,12.02
278,133,67,"McNair, Ronald E.","McNair, Ronald E.",male,1950,U.S.,civilian,NASA- 8,1978,2,2,MSP,1986,STS-51-L,STS-51-L,explosion,explosion,0,191,0,0,12.02
279,134,68,"Stewart, Robert L.","Stewart, Robert L.",male,1942,U.S.,military,1978 NASA group,1978,1,2,MSP,1984,STS-41 B,STS-41 B,STS-41 B,STS-41 B,191.5,289.2,2,11.95,11.95
280,134,68,"Stewart, Robert L.","Stewart, Robert L.",male,1942,U.S.,military,1978 NASA group,1978,2,2,MSP,1985,STS-51 J,STS-51 J,STS-51 J,STS-51 J,97.7,289.2,0,0,11.95
281,135,69,"McCandless, Bruce, II","McCandless, Bruce, II",male,1937,U.S.,military,NASA- 5,1966,1,2,MSP,1984,STS-41-B,STS-41-B,STS-41-B,STS-41-B,191,312,2,11.95,11.95
282,135,69,"McCandless, Bruce, II","McCandless, Bruce, II",male,1937,U.S.,military,NASA- 5,1966,2,2,MSP,1990,STS-31,STS-31,STS-31,STS-31,121,312,0,0,11.95
283,136,56,"Solovyov, Vladimir",Владимир Алексеевич Соловьёв,male,1946,U.S.S.R/Russia,civilian,NPOE-4,1978,1,2,flight engineer,1984,Salyut 7,Soyuz T­10,Salyut 7,Soyuz T­11,5686,8686.82,6,22.83,31.67
284,136,56,"Solovyov, Vladimir",Владимир Алексеевич Соловьёв,male,1946,U.S.S.R/Russia,civilian,NPOE-4,1978,2,2,flight engineer,1986,1,Soyuz T­15,Mir/Salyut 7,Soyuz T­15,3000,8686.82,2,8.83,31.67
285,137,57,"Atkov, Oleg",Олег Юрьевич Атьков,male,1949,U.S.S.R/Russia,civilian,AMN,1983,1,1,MSP,1984,Salyut 7,Soyuz T-10,Salyut 7,Soyuz T-11,5686,5686.82,0,0,0
286,138,1,Rakesh Sharma,राकेश शर्मा,male,1949,India,military,1982 Soviet Intercosmos Space Program,1982,1,1,pilot,1984,Salyut 7,Soyuz T-10,Salyut 7,Soyuz T-11,4365.8,4365.8,0,0,0
287,139,70,"Scobee, Francis R.","Scobee, Francis R.",male,1939,U.S.,military,1978 NASA group 8,1978,1,2,pilot,1984,STS-41-C,STS-41-C,STS-41-C,STS-41-C,168,168,0,0,0
288,139,70,"Scobee, Francis R.","Scobee, Francis R.",male,1939,U.S.,military,1978 NASA group 8,1978,2,2,commander,1986,STS-51-L,STS-51-L,explosion,explosion,0,168,0,0,0
289,140,71,"Hart, Terry J.","Hart, Terry J.",male,1946,U.S.,civilian,NASA Astronaut Group 8,1978,1,1,MSP,1984,STS-41-C,STS-41-C,STS-41-C,STS-41-C,167.67,167.67,0,0,0
290,141,72,"Van Hoften, James D. A.","Van Hoften, James D. A.",male,1944,U.S.,civilian,1978 NASA group,1978,1,2,MSP,1984,STS-41 C,STS-41 C,STS-41 C,STS-41 C,167,337.95,2,10.13,21.89
291,141,72,"Van Hoften, James D. A.","Van Hoften, James D. A.",male,1944,U.S.,civilian,1978 NASA group,1978,2,2,MSP,1985,STS-51I,STS-51I,STS-51I,STS-51I,171,337.95,2,11.76,21.89
292,142,73,"Nelson, George D.","Nelson, George D.",male,1950,U.S.,civilian,NASA-8,1978,1,3,MSP,1984,STS-41C,STS-41C,STS-41C,STS-41C,168,411,2,10.1,10.1
293,142,73,"Nelson, George D.","Nelson, George D.",male,1950,U.S.,civilian,NASA-8,1978,2,3,MSP,1986,STS-61C,STS-61C,STS-61C,STS-61C,146,411,0,0,10.1
294,142,73,"Nelson, George D.","Nelson, George D.",male,1950,U.S.,civilian,NASA-8,1978,3,3,MSP,1988,STS-26,STS-26,STS-26,STS-26,97,411,0,0,10.1
295,143,58,"Volk, Igor",Игорь Петрович Волк,male,1937,U.S.S.R/Russia,military,LII-1,1977,1,1,MSP,1984,Salyut 7,Soyuz T­12,Salyut 7,Soyuz T­12,283,283.23,0,0,0
296,144,74,"Coats, Michael L.","Coats, Michael L.",male,1952,U.S.,military,NASA- 8,1978,1,3,pilot,1984,STS-41-D,STS-41-D,STS-41-D,STS-41-D,145,464,0,0,0
297,144,74,"Coats, Michael L.","Coats, Michael L.",male,1952,U.S.,military,NASA- 8,1978,2,3,commander,1989,STS-29,STS-29,STS-29,STS-29,120,464,0,0,0
298,144,74,"Coats, Michael L.","Coats, Michael L.",male,1952,U.S.,military,NASA- 8,1978,3,3,commander,1991,STS-39,STS-39,STS-39,STS-39,199,464,0,0,0
299,145,75,"Mullane, Richard M.","Mullane, Richard M.",male,1945,U.S.,military,NASA-8,1978,1,3,MSP,1984,STS-41D,STS-41D,STS-41D,STS-41D,145,356,0,0,0
300,145,75,"Mullane, Richard M.","Mullane, Richard M.",male,1945,U.S.,military,NASA-8,1978,2,3,MSP,1988,STS-27,STS-27,STS-27,STS-27,105,356,0,0,0
301,145,75,"Mullane, Richard M.","Mullane, Richard M.",male,1945,U.S.,military,NASA-8,1978,3,3,MSP,1990,STS-36,STS-36,STS-36,STS-36,106,356,0,0,0
302,146,76,"Hawley, Steven A.","Hawley, Steven A.",male,1951,U.S.,civilian,NASA Astronaut Group 8,1978,1,5,MSP,1984,STS-41-D,STS-41-D,STS-41-D,STS-41-D,144,768,0,0,0
303,146,76,"Hawley, Steven A.","Hawley, Steven A.",male,1951,U.S.,civilian,NASA Astronaut Group 8,1978,2,5,MSP,1986,STS-61-C,STS-61-C,STS-61-C,STS-61-C,146,768,0,0,0
304,146,76,"Hawley, Steven A.","Hawley, Steven A.",male,1951,U.S.,civilian,NASA Astronaut Group 8,1978,3,5,MSP,1990,STS-31,STS-31,STS-31,STS-31,121,768,0,0,0
305,146,76,"Hawley, Steven A.","Hawley, Steven A.",male,1951,U.S.,civilian,NASA Astronaut Group 8,1978,4,5,MSP,1997,STS-82,STS-82,STS-82,STS-82,239,768,0,0,0
306,146,76,"Hawley, Steven A.","Hawley, Steven A.",male,1951,U.S.,civilian,NASA Astronaut Group 8,1978,5,5,MSP,1999,STS-93,STS-93,STS-93,STS-93,118,768,0,0,0
307,147,77,"Resnik, Judith A.","Resnik, Judith A.",female,1949,U.S.,civilian,NASA-8,1978,1,2,MSP,1984,STS-41-D,STS-41-D,STS-41-D,STS-41-D,144,144,0,0,0
308,147,77,"Resnik, Judith A.","Resnik, Judith A.",female,1949,U.S.,civilian,NASA-9,1978,2,2,MSP,1985,STS-51-L,STS-51-L,explosion,explosion,0,144,0,0,0
309,148,78,"Walker, Charles David","Walker, Charles David",male,1948,U.S.,civilian,PS,1983,1,3,PSP,1984,STS-41D,STS-41D,STS-41D,STS-41D,144.98,478.29,0,0,0
310,148,78,"Walker, Charles David","Walker, Charles David",male,1948,U.S.,civilian,PS,1983,2,3,PSP,1985,STS-51D,STS-51D,STS-51D,STS-51D,168.15,478.29,0,0,0
311,148,78,"Walker, Charles David","Walker, Charles David",male,1948,U.S.,civilian,PS,1983,3,3,PSP,1985,STS-61B,STS-61B,STS-61B,STS-61B,165.16,478.29,0,0,0
312,149,79,"McBride, Jon A.","McBride, Jon A.",male,1943,U.S.,military,NASA- 8,1978,1,1,pilot,1984,STS-41-G,STS-41-G,STS-41-G,STS-41-G,197,197,0,0,0
313,150,80,"Sullivan, Kathryn D.","Sullivan, Kathryn D.",female,1951,U.S.,civilian,1978 NASA group,1978,1,3,MSP,1984,STS-41-G,STS-41-G,STS-41-G,STS-41-G,197.5,532,1,3.45,3.45
314,150,80,"Sullivan, Kathryn D.","Sullivan, Kathryn D.",female,1951,U.S.,civilian,1978 NASA group,1978,2,3,MSP,1990,STS-31,STS-31,STS-31,STS-31,121,532,0,0,3.45
315,150,80,"Sullivan, Kathryn D.","Sullivan, Kathryn D.",female,1951,U.S.,civilian,1978 NASA group,1978,3,3,MSP,1992,STS-45,STS-45,STS-45,STS-45,213.5,532,0,0,3.45
316,151,81,"Leestma, David C.","Leestma, David C.",male,1949,U.S.,military,NASA- 9,1980,1,3,MSP,1984,STS-41-G,STS-41-G,STS-41-G,STS-41-G,197,532,1,1,3.5
317,151,81,"Leestma, David C.","Leestma, David C.",male,1949,U.S.,military,NASA- 9,1980,2,3,MSP,1989,STS-28,STS-28,STS-28,STS-28,121,532,0,0,3.5
318,151,81,"Leestma, David C.","Leestma, David C.",male,1949,U.S.,military,NASA- 9,1980,3,3,MSP,1992,STS-45,STS-45,STS-45,STS-45,214,532,0,0,3.5
319,152,82,"Scully-Power, Paul Desmond","Scully-Power, Paul Desmond",male,1944,U.S.,civilian,PS,1984,1,1,PSP,1984,STS-41-G,STS-41-G,STS-41-G,STS-41-G,197.67,197.67,0,0,0
320,153,1,"Garneau, Marc Joseph Jean-Pierre","Garneau, Marc Joseph Jean-Pierre",male,1949,Canada,military,1983 NRC Group,1983,1,3,PSP,1984,STS-41-G,STS-41-G,STS-41-G,STS-41-G,197,697.67,0,0,0
321,153,1,"Garneau, Marc Joseph Jean-Pierre","Garneau, Marc Joseph Jean-Pierre",male,1949,Canada,military,1983 NRC Group,1983,2,3,MSP,1996,STS-77,STS-77,STS-77,STS-77,240.67,697.67,0,0,0
322,153,1,"Garneau, Marc Joseph Jean-Pierre","Garneau, Marc Joseph Jean-Pierre",male,1949,Canada,military,1983 NRC Group,1983,3,3,MSP,2000,STS-97,STS-97,STS-97,STS-97,260,697.67,0,0,0
323,154,83,"Walker, David Mathieson","Walker, David Mathieson",male,1944,U.S.,military,1978 NASA group 8,1978,1,4,pilot,1984,STS-51-A,STS-51-A,STS-51-A,STS-51-A,191,724.45,0,0,0
324,154,83,"Walker, David Mathieson","Walker, David Mathieson",male,1944,U.S.,military,1978 NASA group 8,1978,2,4,commander,1989,STS-30,STS-30,STS-30,STS-30,96,724.45,0,0,0
325,154,83,"Walker, David Mathieson","Walker, David Mathieson",male,1944,U.S.,military,1978 NASA group 8,1978,3,4,commander,1992,STS-53,STS-53,STS-53,STS-53,175,724.45,0,0,0
326,154,83,"Walker, David Mathieson","Walker, David Mathieson",male,1944,U.S.,military,1978 NASA group 8,1978,4,4,commander,1995,STS-69,STS-69,STS-69,STS-69,44,724.45,0,0,0
327,155,84,"Fisher, Anna L.","Fisher, Anna L.",female,1949,U.S.,civilian,NASA- 8,1978,1,1,MSP,1984,STS-51-A,STS-51-A,STS-51-A,STS-51-A,191,191,0,0,0
328,156,85,"Shriver, Loren J.","Shriver, Loren J.",male,1944,U.S.,military,1978 NASA group,1978,1,3,pilot,1985,STS-51-C,STS-51-C,STS-51-C,STS-51-C,73.5,386,0,0,0
329,156,85,"Shriver, Loren J.","Shriver, Loren J.",male,1944,U.S.,military,1978 NASA group,1978,2,3,commander,1990,STS-31,STS-31,STS-31,STS-31,121,386,0,0,0
330,156,85,"Shriver, Loren J.","Shriver, Loren J.",male,1944,U.S.,military,1978 NASA group,1978,3,3,commander,1992,STS-46,STS-46,STS-46,STS-46,191,386,0,0,0
331,157,86,"Onizuka, Ellison S.","Onizuka, Ellison S.",male,1946,U.S.,military,NASA-8,1978,1,2,MSP,1985,STS 51-C,STS 51-C,STS 51-C,STS 51-C,74,74,0,0,0
332,157,86,"Onizuka, Ellison S.","Onizuka, Ellison S.",male,1946,U.S.,military,NASA-8,1978,2,2,MSP,1986,STS 51-L,STS 51-L,explosion,explosion,0,74,0,0,0
333,158,87,"Buchli, James F.","Buchli, James F.",male,1945,U.S.,military,NASA- 8,1978,1,4,MSP,1985,STS-51-C,STS-51-C,STS-51-C,STS-51-C,73.5,490,0,0,0
334,158,87,"Buchli, James F.","Buchli, James F.",male,1945,U.S.,military,NASA- 8,1978,2,4,MSP,1985,STS-61-A,STS-61-A,STS-61-A,STS-61-A,168,490,0,0,0
335,158,87,"Buchli, James F.","Buchli, James F.",male,1945,U.S.,military,NASA- 8,1978,3,4,MSP,1989,STS-29,STS-29,STS-29,STS-29,120,490,0,0,0
336,158,87,"Buchli, James F.","Buchli, James F.",male,1945,U.S.,military,NASA- 8,1978,4,4,MSP,1991,STS-48,STS-48,STS-48,STS-48,128.5,490,0,0,0
337,159,88,"Payton, Gary Eugene","Payton, Gary Eugene",male,1948,U.S.,military,1979 USAF group,1979,1,1,PSP,1985,STS-51C,STS-51C,STS-51C,STS-51C,73.675,73.675,0,0,0
338,160,89,"Williams, Donald E.","Williams, Donald E.",male,1942,U.S.,military,1981 NASA group 8,1978,1,2,pilot,1985,STS-51-D,STS-51-D,STS-51-D,STS-51-D,167,286,0,0,0
339,160,89,"Williams, Donald E.","Williams, Donald E.",male,1942,U.S.,military,1981 NASA group 8,1978,2,2,commander,1989,STS-34,STS-34,STS-34,STS-34,119,286,0,0,0
340,161,90,"Seddon, Margaret Rhea","Seddon, Margaret Rhea",female,1947,U.S.,civilian,NASA-8,1978,1,3,MSP,1985,STS-51-D,STS-51-D,STS-51-D,STS-51-D,168,722,0,0,0
341,161,90,"Seddon, Margaret Rhea","Seddon, Margaret Rhea",female,1947,U.S.,civilian,NASA-8,1978,2,3,MSP,1991,STS-40,STS-40,STS-40,STS-40,218,722,0,0,0
342,161,90,"Seddon, Margaret Rhea","Seddon, Margaret Rhea",female,1947,U.S.,civilian,NASA-8,1978,3,3,MSP,1993,STS-58,STS-58,STS-58,STS-58,336,722,0,0,0
343,162,91,"Griggs, S. David","Griggs, S. David",male,1947,U.S.,civilian,NASA Astronaut Group 8,1978,1,1,MSP,1985,STS-51-D,STS-51-D,STS-51-D,STS-51-D,168,168,1,3.17,3.17
344,163,92,"Hoffman, Jeffrey A.","Hoffman, Jeffrey A.",male,1944,U.S.,civilian,NASA- 8,1978,1,5,MSP,1985,STS-51-D,STS-51-D,STS-51-D,STS-51-D,167,1211.9,1,3.17,25.2
345,163,92,"Hoffman, Jeffrey A.","Hoffman, Jeffrey A.",male,1944,U.S.,civilian,NASA- 8,1978,2,5,MSP,1990,STS-35,STS-35,STS-35,STS-35,215,1211.9,0,0,25.2
346,163,92,"Hoffman, Jeffrey A.","Hoffman, Jeffrey A.",male,1944,U.S.,civilian,NASA- 8,1978,3,5,MSP,1992,STS-46,STS-46,STS-46,STS-46,191,1211.9,0,0,25.2
347,163,92,"Hoffman, Jeffrey A.","Hoffman, Jeffrey A.",male,1944,U.S.,civilian,NASA- 8,1978,4,5,MSP,1993,STS-61,STS-61,STS-61,STS-61,259,1211.9,3,22.03,25.2
348,163,92,"Hoffman, Jeffrey A.","Hoffman, Jeffrey A.",male,1944,U.S.,civilian,NASA- 8,1978,5,5,MSP,1996,STS-75,STS-75,STS-75,STS-75,377,1211.9,0,0,25.2
349,164,93,"Garn, Edwin Jacob","Garn, Edwin Jacob",male,1932,U.S.,military,PS,1985,1,1,PSP,1985,STS-51D,STS-51D,STS-51D,STS-51D,168.15,168.15,0,0,0
350,165,94,"Gregory, Frederick D.","Gregory, Frederick D.",male,1941,U.S.,military,NASA Astronaut Group 8,1978,1,3,pilot,1985,STS-51-B,STS-51-B,STS-51-B,STS-51-B,168,455,0,0,0
351,165,94,"Gregory, Frederick D.","Gregory, Frederick D.",male,1941,U.S.,military,NASA Astronaut Group 8,1978,2,3,commander,1989,STS-33,STS-33,STS-33,STS-33,120,455,0,0,0
352,165,94,"Gregory, Frederick D.","Gregory, Frederick D.",male,1941,U.S.,military,NASA Astronaut Group 8,1978,3,3,commander,1991,STS-44,STS-44,STS-44,STS-44,166,455,0,0,0
353,166,95,"Lind, Don L.","Lind, Don L.",male,1930,U.S.,military,NASA- 5,1966,1,1,MSP,1985,STS-51-B,STS-51-B,STS-51-B,STS-51-B,168,168,0,0,0
354,167,96,"Lodewijk, van der Berg","Lodewijk, van der Berg",male,1932,U.S.,civilian,PS,1983,1,1,PSP,1985,Spacelab-3,STS-51-B,STS-51-B,STS-51-B,168.525,168.525,0,0,0
355,168,97,"Wang, Taylor Gun-Jin",王赣骏,male,1940,U.S.,civilian,Spacelab-3 mission payload specialist,1984,1,1,PSP,1985,spacelab-3,STS-51B,STS-51B,STS-51B,168.525,168.525,0,0,0
356,169,98,"Creighton, John O.","Creighton, John O.",male,1943,U.S.,military,NASA- 8,1978,1,3,pilot,1985,STS-51-G,STS-51-G,STS-51-G,STS-51-G,170,404,0,0,0
357,169,98,"Creighton, John O.","Creighton, John O.",male,1943,U.S.,military,NASA- 8,1978,2,3,commander,1990,STS-36,STS-36,STS-36,STS-36,106,404,0,0,0
358,169,98,"Creighton, John O.","Creighton, John O.",male,1943,U.S.,military,NASA- 8,1978,3,3,commander,1991,STS-48,STS-48,STS-48,STS-48,128,404,0,0,0
359,170,99,"Nagel, Steven R.","Nagel, Steven R.",male,1946,U.S.,military,NASA-8,1978,1,4,MSP,1985,STS-51G,STS-51G,STS-51G,STS-51G,170,522,0,0,0
360,170,99,"Nagel, Steven R.","Nagel, Steven R.",male,1946,U.S.,military,NASA-8,1978,2,4,pilot,1985,STS-61A,STS-61A,STS-61A,STS-61A,169,522,0,0,0
361,170,99,"Nagel, Steven R.","Nagel, Steven R.",male,1946,U.S.,military,NASA-8,1978,3,4,commander,1991,STS-37,STS-37,STS-37,STS-37,143,522,0,0,0
362,170,99,"Nagel, Steven R.","Nagel, Steven R.",male,1946,U.S.,military,NASA-8,1978,4,4,commander,1993,STS-55,STS-55,STS-55,STS-55,240,522,0,0,0
363,171,100,"Lucid, Shannon W.","Lucid, Shannon W.",female,1943,U.S.,civilian,NASA- 8,1978,1,5,MSP,1985,STS-51-G,STS-51-G,STS-51-G,STS-51-G,169,5353,0,0,0
364,171,100,"Lucid, Shannon W.","Lucid, Shannon W.",female,1943,U.S.,civilian,NASA- 8,1978,2,5,MSP,1989,STS-34,STS-34,STS-34,STS-34,119,5353,0,0,0
365,171,100,"Lucid, Shannon W.","Lucid, Shannon W.",female,1943,U.S.,civilian,NASA- 8,1978,3,5,MSP,1991,STS-43,STS-43,STS-43,STS-43,213,5353,0,0,0
366,171,100,"Lucid, Shannon W.","Lucid, Shannon W.",female,1943,U.S.,civilian,NASA- 8,1978,4,5,MSP,1993,STS-58,STS-58,STS-58,STS-58,336,5353,0,0,0
367,171,100,"Lucid, Shannon W.","Lucid, Shannon W.",female,1943,U.S.,civilian,NASA- 8,1978,5,5,MSP,1996,22,STS-79,Mir,STS-76,4516,5353,0,0,0
368,172,2,"Baudry, Patrick","Baudry, Patrick",male,1946,France,military,CNES-1,1980,1,1,PSP,1985,STS-51G,STS-51G,STS-51G,STS-51G,169.63,169.63,0,0,0
369,173,1,"Al-saud, Sultan bin Salman",NA,male,1956,Saudi Arabia,civilian,Saudi-Arabia,1985,1,1,PSP,1985,STS-51G,STS-51G,STS-51G,STS-51G,170,170,0,0,0
370,174,101,"Bridges, Roy D., Jr.","Bridges, Roy D., Jr.",male,1943,U.S.,military,NASA- 9,1980,1,1,pilot,1985,STS-51-F,STS-51-F,STS-51-F,STS-51-F,190,190,0,0,0
371,175,102,"Henize, Karl G.","Henize, Karl G.",male,1926,U.S.,civilian,NASA- 6,1967,1,1,MSP,1985,STS-51-F,STS-51-F,STS-51-F,STS-51-F,190,190.75,0,0,0
372,176,103,"England, Anthony W.","England, Anthony W.",male,1942,U.S.,civilian,NASA- 6,1967,1,1,MSP,1985,STS-51-F,STS-51-F,STS-51-F,STS-51-F,190,190,0,0,0
373,177,104,"Acton, Loren Wilbur","Acton, Loren Wilbur",male,1936,U.S.,civilian,PS for Spacelab-2,1978,1,1,PSP,1978,Spacelab-2,STS-51-F,STS-51-F,STS-51-F,190.94,190.94,0,0,0
374,178,105,"Bartoe, John-David Francis","Bartoe, John-David Francis",male,1944,U.S.,civilian,PS for Spacelab-2,1978,1,1,PSP,1978,STS-51-F,STS-51-F,STS-51-F,STS-51-F,190.94,190.94,0,0,0
375,179,106,"Covey, Richard O.","Covey, Richard O.",male,1946,U.S.,military,NASA- 8,1978,1,4,pilot,1985,STS-51-I,STS-51-I,STS-51-I,STS-51-I,170,645,0,0,0
376,179,106,"Covey, Richard O.","Covey, Richard O.",male,1946,U.S.,military,NASA- 8,1978,2,4,pilot,1988,STS-26,STS-26,STS-26,STS-26,97,645,0,0,0
377,179,106,"Covey, Richard O.","Covey, Richard O.",male,1946,U.S.,military,NASA- 8,1978,3,4,commander,1990,STS-38,STS-38,STS-38,STS-38,118,645,0,0,0
378,179,106,"Covey, Richard O.","Covey, Richard O.",male,1946,U.S.,military,NASA- 8,1978,4,4,commander,1993,STS-61,STS-61,STS-61,STS-61,260,645,0,0,0
379,180,107,"Lounge, John M.","Lounge, John M.",male,1946,U.S.,civilian,NASA- 9,1980,1,3,MSP,1985,STS-51-I,STS-51-I,STS-51-I,STS-51-I,170,482,0,0,0
380,180,107,"Lounge, John M.","Lounge, John M.",male,1946,U.S.,civilian,NASA- 9,1980,2,3,MSP,1988,STS-26,STS-26,STS-26,STS-26,97,482,0,0,0
381,180,107,"Lounge, John M.","Lounge, John M.",male,1946,U.S.,civilian,NASA- 9,1980,3,3,MSP,1990,STS-35,STS-35,STS-35,STS-35,215,482,0,0,0
