"","year","icpsr_state_code","alphanumeric_state_code","state","votes","eligible_voters"
"590",1992,32,17,"Kansas",1161044,1810750
"591",1992,51,18,"Kentucky",NA,2772600
"592",1992,45,19,"Louisiana",1799596,2997301
"593",1992,2,20,"Maine",NA,915082
"594",1992,52,21,"Maryland",1999486,3440015
"595",1992,3,22,"Massachusetts",2822962,4346897
"596",1992,23,23,"Michigan",4341909,6786593
"597",1992,33,24,"Minnesota",2355796,3187255
"598",1992,46,25,"Mississippi",1008019,1854797
"599",1992,34,26,"Missouri",NA,3792675
"600",1992,64,27,"Montana",417564,593345
"601",1992,35,28,"Nebraska",744548,1149525
"602",1992,65,29,"Nevada",513387,940066
"603",1992,4,30,"New Hampshire",545197,814160
"604",1992,12,31,"New Jersey",3348312,5398559
"605",1992,66,32,"New Mexico",590901,1073421
"606",1992,13,33,"New York",7068630,12227775
"607",1992,47,34,"North Carolina",NA,5077494
"608",1992,36,35,"North Dakota",315199,462631
"609",1992,24,36,"Ohio",5043094,8063595
"610",1992,53,37,"Oklahoma",1455635,2293931
"611",1992,72,38,"Oregon",1498959,2144867
"612",1992,14,39,"Pennsylvania",NA,9010940
"613",1992,5,40,"Rhode Island",NA,721593
"614",1992,48,41,"South Carolina",1234712,2610725
"615",1992,37,42,"South Dakota",NA,503759
"616",1992,54,43,"Tennessee",NA,3726024
"617",1992,49,44,"Texas",NA,11356487
"618",1992,67,45,"Utah",784988,1162363
"619",1992,6,46,"Vermont",292797,419810
"620",1992,40,47,"Virginia",NA,4622125
"621",1992,73,48,"Washington",2324907,3575852
"622",1992,56,49,"West Virginia",NA,1365368
"623",1992,25,50,"Wisconsin",NA,3619273
"624",1992,68,51,"Wyoming",203602,324253
"625",1990,0,0,"United States",NA,176629259
"626",1990,41,1,"Alabama",NA,2956385
"627",1990,81,2,"Alaska",197540,364419
"628",1990,61,3,"Arizona",1094735,2523614
"629",1990,42,4,"Arkansas",NA,1710799
"630",1990,71,5,"California",7899131,18156500
"631",1990,62,6,"Colorado",1046139,2366650
"632",1990,1,7,"Connecticut",1159361,2383795
"633",1990,11,8,"Delaware",183977,486760
"634",1990,55,9,"District of Columbia",171677,441742
"635",1990,43,10,"Florida",NA,9145312
"636",1990,44,11,"Georgia",NA,4588953
"637",1990,82,12,"Hawaii",354144,770836
"638",1990,63,13,"Idaho",328340,690154
"639",1990,21,14,"Illinois",3420720,8029525
"640",1990,22,15,"Indiana",1566371,4080236
"641",1990,31,16,"Iowa",1004908,2030935
"642",1990,32,17,"Kansas",805251,1783412
"643",1990,51,18,"Kentucky",NA,2722356
"644",1990,45,19,"Louisiana",NA,2959148
"645",1990,2,20,"Maine",NA,910982
"646",1990,52,21,"Maryland",1170867,3397126
"647",1990,3,22,"Massachusetts",2424579,4384671
"648",1990,23,23,"Michigan",2641649,6693069
"649",1990,33,24,"Minnesota",1843104,3136830
"650",1990,46,25,"Mississippi",NA,1824156
"651",1990,34,26,"Missouri",NA,3740308
"652",1990,64,27,"Montana",326652,573045
"653",1990,35,28,"Nebraska",604195,1131746
"654",1990,65,29,"Nevada",325959,858018
"655",1990,4,30,"New Hampshire",307700,814549
"656",1990,12,31,"New Jersey",1998894,5429251
"657",1990,66,32,"New Mexico",429509,1026902
"658",1990,13,33,"New York",4290261,12271903
"659",1990,47,34,"North Carolina",NA,4938968
"660",1990,36,35,"North Dakota",240301,461711
"661",1990,24,36,"Ohio",3620469,7975680
"662",1990,53,37,"Oklahoma",929639,2251719
"663",1990,72,38,"Oregon",1133125,2057833
"664",1990,14,39,"Pennsylvania",NA,8962083
"665",1990,5,40,"Rhode Island",375188,725084
"666",1990,48,41,"South Carolina",793614,2537384
"667",1990,37,42,"South Dakota",NA,494849
"668",1990,54,43,"Tennessee",NA,3624940
"669",1990,49,44,"Texas",NA,11034190
"670",1990,67,45,"Utah",457983,1086050
"671",1990,6,46,"Vermont",217384,415564
"672",1990,40,47,"Virginia",NA,4512504
"673",1990,73,48,"Washington",1362651,3421256
"674",1990,56,49,"West Virginia",NA,1347723
"675",1990,25,50,"Wisconsin",NA,3541548
"676",1990,68,51,"Wyoming",164309,312961
"677",1988,0,0,"United States",NA,173579281
"678",1988,41,1,"Alabama",NA,2901744
"679",1988,81,2,"Alaska",203433,355023
"680",1988,61,3,"Arizona",1204169,2454254
"681",1988,42,4,"Arkansas",NA,1689491
"682",1988,71,5,"California",10194539,17738700
"683",1988,62,6,"Colorado",1416265,2327768
"684",1988,1,7,"Connecticut",1461962,2379699
"685",1988,11,8,"Delaware",254973,472441
"686",1988,55,9,"District of Columbia",197135,453636
"687",1988,43,10,"Florida",NA,8777510
"688",1988,44,11,"Georgia",NA,4459739
"689",1988,82,12,"Hawaii",368567,739890
"690",1988,63,13,"Idaho",421213,667345
"691",1988,21,14,"Illinois",4697192,7950848
"692",1988,22,15,"Indiana",2222811,3996319
"693",1988,31,16,"Iowa",1240854,2021793
"694",1988,32,17,"Kansas",NA,1774451
"695",1988,51,18,"Kentucky",NA,2680364
"696",1988,45,19,"Louisiana",NA,2941023
"697",1988,2,20,"Maine",NA,888612
"698",1988,52,21,"Maryland",1747350,3325582
"699",1988,3,22,"Massachusetts",2689857,4385728
"700",1988,23,23,"Michigan",3745751,6608812
"701",1988,33,24,"Minnesota",2125119,3087194
"702",1988,46,25,"Mississippi",NA,1792847
"703",1988,34,26,"Missouri",NA,3696905
"704",1988,64,27,"Montana",378981,568014
"705",1988,35,28,"Nebraska",678669,1125252
"706",1988,65,29,"Nevada",354261,768131
"707",1988,4,30,"New Hampshire",462503,800468
"708",1988,12,31,"New Jersey",3102502,5435008
"709",1988,66,32,"New Mexico",535694,1002876
"710",1988,13,33,"New York",6636310,12300666
"711",1988,47,34,"North Carolina",NA,4794041
"712",1988,36,35,"North Dakota",309100,466684
"713",1988,24,36,"Ohio",4505284,7869099
"714",1988,53,37,"Oklahoma",1192815,2245785
"715",1988,72,38,"Oregon",1235199,1982355
"716",1988,14,39,"Pennsylvania",NA,8892826
"717",1988,5,40,"Rhode Island",415963,721773
"718",1988,48,41,"South Carolina",1041846,2453644
"719",1988,37,42,"South Dakota",NA,494034
"720",1988,54,43,"Tennessee",NA,3551452
"721",1988,49,44,"Texas",NA,10833436
"722",1988,67,45,"Utah",661546,1043170
"723",1988,6,46,"Vermont",270148,404795
"724",1988,40,47,"Virginia",NA,4396900
"725",1988,73,48,"Washington",1923043,3282173
"726",1988,56,49,"West Virginia",NA,1347692
"727",1988,25,50,"Wisconsin",NA,3489742
"728",1988,68,51,"Wyoming",186417,315073
"729",1986,0,0,"United States",NA,170396029
"730",1986,41,1,"Alabama",NA,2869652
"731",1986,81,2,"Alaska",182526,351841
"732",1986,61,3,"Arizona",889668,2319046
"733",1986,42,4,"Arkansas",NA,1681564
"734",1986,71,5,"California",7617142,17166275
"735",1986,62,6,"Colorado",1096867,2309652
"736",1986,1,7,"Connecticut",1025605,2344327
"737",1986,11,8,"Delaware",165563,455609
"738",1986,55,9,"District of Columbia",134158,465993
"739",1986,43,10,"Florida",NA,8384015
"740",1986,44,11,"Georgia",NA,4300049
"741",1986,82,12,"Hawaii",344416,715459
"742",1986,63,13,"Idaho",392909,663126
"743",1986,21,14,"Illinois",3322657,7912733
"744",1986,22,15,"Indiana",1619005,3943714
"745",1986,31,16,"Iowa",922094,2020678
"746",1986,32,17,"Kansas",NA,1757001
"747",1986,51,18,"Kentucky",NA,2661218
"748",1986,45,19,"Louisiana",NA,3014498
"749",1986,2,20,"Maine",NA,858200
"750",1986,52,21,"Maryland",1161136,3216833
"751",1986,3,22,"Massachusetts",1777276,4326264
"752",1986,23,23,"Michigan",2468009,6520661
"753",1986,33,24,"Minnesota",1456579,3024070
"754",1986,46,25,"Mississippi",NA,1782721
"755",1986,34,26,"Missouri",NA,3655213
"756",1986,64,27,"Montana",326436,572113
"757",1986,35,28,"Nebraska",577916,1123099
"758",1986,65,29,"Nevada",264365,700192
"759",1986,4,30,"New Hampshire",257410,760526
"760",1986,12,31,"New Jersey",1639330,5396487
"761",1986,66,32,"New Mexico",408621,987220
"762",1986,13,33,"New York",4481718,12263480
"763",1986,47,34,"North Carolina",NA,4653016
"764",1986,36,35,"North Dakota",295177,473962
"765",1986,24,36,"Ohio",3628870,7781083
"766",1986,53,37,"Oklahoma",934447,2290182
"767",1986,72,38,"Oregon",1088140,1928782
"768",1986,14,39,"Pennsylvania",NA,8820459
"769",1986,5,40,"Rhode Island",322724,711034
"770",1986,48,41,"South Carolina",763493,2393329
"771",1986,37,42,"South Dakota",NA,492333
"772",1986,54,43,"Tennessee",NA,3478867
"773",1986,49,44,"Texas",NA,10786533
"774",1986,67,45,"Utah",445499,1024337
"775",1986,6,46,"Vermont",211709,389843
"776",1986,40,47,"Virginia",NA,4240797
"777",1986,73,48,"Washington",1358160,3151152
"778",1986,56,49,"West Virginia",449249,1370305
"779",1986,25,50,"Wisconsin",NA,3432034
"780",1986,68,51,"Wyoming",168615,328971
"781",1984,0,0,"United States",NA,167701904
"782",1984,41,1,"Alabama",NA,2831099
"783",1984,81,2,"Alaska",213173,343030
"784",1984,61,3,"Arizona",1051339,2151391
"785",1984,42,4,"Arkansas",NA,1668136
"786",1984,71,5,"California",9796375,16618345
"787",1984,62,6,"Colorado",1343437,2267668
"788",1984,1,7,"Connecticut",1490946,2300533
"789",1984,11,8,"Delaware",258182,442354
"790",1984,55,9,"District of Columbia",219193,471669
"791",1984,43,10,"Florida",NA,7976805
"792",1984,44,11,"Georgia",NA,4119852
"793",1984,82,12,"Hawaii",349253,694187
"794",1984,63,13,"Idaho",421935,662771
"795",1984,21,14,"Illinois",4969352,7922605
"796",1984,22,15,"Indiana",2268493,3916362
"797",1984,31,16,"Iowa",1339886,2057482
"798",1984,32,17,"Kansas",NA,1751223
"799",1984,51,18,"Kentucky",NA,2643027
"800",1984,45,19,"Louisiana",NA,3019930
"801",1984,2,20,"Maine",NA,840251
"802",1984,52,21,"Maryland",1695924,3113967
"803",1984,3,22,"Massachusetts",2595054,4273437
"804",1984,23,23,"Michigan",3884854,6407156
"805",1984,33,24,"Minnesota",2115317,2982015
"806",1984,46,25,"Mississippi",NA,1766654
"807",1984,34,26,"Missouri",NA,3617948
"808",1984,64,27,"Montana",395006,578925
"809",1984,35,28,"Nebraska",670781,1135012
"810",1984,65,29,"Nevada",294413,656862
"811",1984,4,30,"New Hampshire",406608,718967
"812",1984,12,31,"New Jersey",3215941,5318696
"813",1984,66,32,"New Mexico",522328,956246
"814",1984,13,33,"New York",7000828,12232120
"815",1984,47,34,"North Carolina",NA,4512013
"816",1984,36,35,"North Dakota",324179,482655
"817",1984,24,36,"Ohio",4664223,7732456
"818",1984,53,37,"Oklahoma",1290555,2324445
"819",1984,72,38,"Oregon",1265824,1906880
"820",1984,14,39,"Pennsylvania",NA,8790815
"821",1984,5,40,"Rhode Island",422851,697537
"822",1984,48,41,"South Carolina",1018701,2329080
"823",1984,37,42,"South Dakota",NA,494651
"824",1984,54,43,"Tennessee",NA,3415760
"825",1984,49,44,"Texas",NA,10582774
"826",1984,67,45,"Utah",641846,998820
"827",1984,6,46,"Vermont",235140,381479
"828",1984,40,47,"Virginia",NA,4100160
"829",1984,73,48,"Washington",1931546,3072714
"830",1984,56,49,"West Virginia",NA,1391427
"831",1984,25,50,"Wisconsin",NA,3409202
"832",1984,68,51,"Wyoming",196153,338733
"833",1982,0,0,"United States (Excl. Louisiana)",NA,160466919
"834",1982,41,1,"Alabama",NA,2780689
"835",1982,81,2,"Alaska",199458,307558
"836",1982,61,3,"Arizona",742923,2017098
"837",1982,42,4,"Arkansas",NA,1639482
"838",1982,71,5,"California",8064314,16161555
"839",1982,62,6,"Colorado",1037774,2196263
"840",1982,1,7,"Connecticut",1112428,2253328
"841",1982,11,8,"Delaware",195726,430257
"842",1982,55,9,"District of Columbia",NA,470719
"843",1982,43,10,"Florida",NA,7565499
"844",1982,44,11,"Georgia",NA,3945107
"845",1982,82,12,"Hawaii",325459,671172
"846",1982,63,13,"Idaho",332237,650534
"847",1982,21,14,"Illinois",3856875,7908220
"848",1982,22,15,"Indiana",1834225,3879314
"849",1982,31,16,"Iowa",1050495,2068844
"850",1982,32,17,"Kansas",NA,1736298
"851",1982,51,18,"Kentucky",NA,2615445
"852",1982,45,19,"Louisiana",NA,2982702
"853",1982,2,20,"Maine",NA,817814
"854",1982,52,21,"Maryland",1190011,3034834
"855",1982,3,22,"Massachusetts",2103780,4184146
"856",1982,23,23,"Michigan",3135928,6357552
"857",1982,33,24,"Minnesota",1834737,2943169
"858",1982,46,25,"Mississippi",NA,1743267
"859",1982,34,26,"Missouri",NA,3567803
"860",1982,64,27,"Montana",328082,569629
"861",1982,35,28,"Nebraska",559422,1128918
"862",1982,65,29,"Nevada",242578,621060
"863",1982,4,30,"New Hampshire",289057,686264
"864",1982,12,31,"New Jersey",2286925,5224732
"865",1982,66,32,"New Mexico",417945,919311
"866",1982,13,33,"New York",5437367,12118685
"867",1982,47,34,"North Carolina",NA,4347870
"868",1982,36,35,"North Dakota",272876,476851
"869",1982,24,36,"Ohio",3551995,7692059
"870",1982,53,37,"Oklahoma",901488,2302670
"871",1982,72,38,"Oregon",1063913,1895706
"872",1982,14,39,"Pennsylvania",NA,8749931
"873",1982,5,40,"Rhode Island",370928,684977
"874",1982,48,41,"South Carolina",688300,2260577
"875",1982,37,42,"South Dakota",NA,489474
"876",1982,54,43,"Tennessee",NA,3357236
"877",1982,49,44,"Texas",NA,10228820
"878",1982,67,45,"Utah",537207,962724
"879",1982,6,46,"Vermont",172084,372982
"880",1982,40,47,"Virginia",NA,3960296
"881",1982,73,48,"Washington",1404831,2999997
"882",1982,56,49,"West Virginia",NA,1399303
"883",1982,25,50,"Wisconsin",NA,3372875
"884",1982,68,51,"Wyoming",172065,344218
"885",1980,0,0,"United States",NA,159635102
"886",1980,41,1,"Alabama",NA,2726249
"887",1980,81,2,"Alaska",162653,270122
"888",1980,61,3,"Arizona",898183,1890167
"889",1980,42,4,"Arkansas",NA,1610104
"890",1980,71,5,"California",8775459,15610966
"891",1980,62,6,"Colorado",1225549,2071959
"892",1980,1,7,"Connecticut",1423403,2201356
"893",1980,11,8,"Delaware",239136,421344
"894",1980,55,9,"District of Columbia",178434,470956
"895",1980,43,10,"Florida",NA,7088658
"896",1980,44,11,"Georgia",NA,3791652
"897",1980,82,12,"Hawaii",318026,646583
"898",1980,63,13,"Idaho",446045,633624
"899",1980,21,14,"Illinois",4868890,7868300
"900",1980,22,15,"Indiana",2275433,3846321
"901",1980,31,16,"Iowa",1314258,2070935
"902",1980,32,17,"Kansas",NA,1704420
"903",1980,51,18,"Kentucky",NA,2562572
"904",1980,45,19,"Louisiana",NA,2868792
"905",1980,2,20,"Maine",NA,799746
"906",1980,52,21,"Maryland",1557709,2964704
"907",1980,3,22,"Massachusetts",2566807,4110721
"908",1980,23,23,"Michigan",3978647,6374955
"909",1980,33,24,"Minnesota",2079451,2882406
"910",1980,46,25,"Mississippi",NA,1704163
"911",1980,34,26,"Missouri",NA,3529489
"912",1980,64,27,"Montana",371976,554636
"913",1980,35,28,"Nebraska",651281,1115142
"914",1980,65,29,"Nevada",297318,573118
"915",1980,4,30,"New Hampshire",402415,660560
"916",1980,12,31,"New Jersey",2999879,5123773
"917",1980,66,32,"New Mexico",464848,873515
"918",1980,13,33,"New York",6359218,12006100
"919",1980,47,34,"North Carolina",NA,4203817
"920",1980,36,35,"North Dakota",314525,462223
"921",1980,24,36,"Ohio",4378937,7637813
"922",1980,53,37,"Oklahoma",1172303,2162051
"923",1980,72,38,"Oregon",1209691,1880863
"924",1980,14,39,"Pennsylvania",NA,8664166
"925",1980,5,40,"Rhode Island",423349,675067
"926",1980,48,41,"South Carolina",922397,2176721
"927",1980,37,42,"South Dakota",NA,484328
"928",1980,54,43,"Tennessee",NA,3285608
"929",1980,49,44,"Texas",NA,9572904
"930",1980,67,45,"Utah",609691,915484
"931",1980,6,46,"Vermont",215500,363143
"932",1980,40,47,"Virginia",NA,3830887
"933",1980,73,48,"Washington",1772904,2923670
"934",1980,56,49,"West Virginia",742150,1387231
"935",1980,25,50,"Wisconsin",NA,3322053
"936",1980,68,51,"Wyoming",181004,326644
