vegetable,variety,date,weight,units
tomatoes,Big Beef,2020-09-06,1649,grams
tomatoes,grape,2020-09-06,615,grams
zucchini,Romanesco,2020-09-07,3284,grams
zucchini,Romanesco,2020-09-08,1300,grams
potatoes,yellow,2020-09-09,843,grams
broccoli,Main Crop Bravado,2020-09-09,102,grams
Swiss chard,Neon Glow,2020-09-09,228,grams
tomatoes,Amish Paste,2020-09-10,692,grams
tomatoes,Old German,2020-09-10,674,grams
tomatoes,Better Boy,2020-09-10,1392,grams
tomatoes,Mortgage Lifter,2020-09-10,316,grams
tomatoes,Jet Star,2020-09-10,754,grams
tomatoes,volunteers,2020-09-10,413,grams
tomatoes,grape,2020-09-10,509,grams
kale,Heirloom Lacinto,2020-09-12,108,grams
tomatoes,grape,2020-09-15,258,grams
tomatoes,volunteers,2020-09-15,725,grams
potatoes,Russet,2020-09-16,629,grams
broccoli,Main Crop Bravado,2020-09-16,219,grams
lettuce,Lettuce Mixture,2020-09-16,8,grams
carrots,King Midas,2020-09-17,160,grams
carrots,Bolero,2020-09-17,168,grams
kohlrabi,Crispy Colors Duo,2020-09-17,191,grams
tomatoes,volunteers,2020-09-17,212,grams
tomatoes,Brandywine,2020-09-18,714,grams
tomatoes,Amish Paste,2020-09-18,228,grams
tomatoes,Better Boy,2020-09-18,670,grams
tomatoes,Bonny Best,2020-09-18,1052,grams
tomatoes,Old German,2020-09-18,1631,grams
raspberries,perrenial,2020-09-18,137,grams
tomatoes,volunteers,2020-09-19,2934,grams
tomatoes,Big Beef,2020-09-19,304,grams
tomatoes,grape,2020-09-19,1058,grams
squash,delicata,2020-09-19,307,grams
squash,delicata,2020-09-19,397,grams
squash,delicata,2020-09-19,537,grams
squash,delicata,2020-09-19,314,grams
squash,delicata,2020-09-19,494,grams
squash,delicata,2020-09-19,484,grams
squash,delicata,2020-09-19,454,grams
squash,delicata,2020-09-19,480,grams
squash,delicata,2020-09-19,252,grams
squash,delicata,2020-09-19,294,grams
squash,delicata,2020-09-19,437,grams
squash,Waltham Butternut,2020-09-19,1834,grams
squash,Waltham Butternut,2020-09-19,1655,grams
squash,Waltham Butternut,2020-09-19,1927,grams
squash,Waltham Butternut,2020-09-19,1558,grams
squash,Waltham Butternut,2020-09-19,1183,grams
squash,Red Kuri,2020-09-19,1178,grams
squash,Red Kuri,2020-09-19,706,grams
squash,Red Kuri,2020-09-19,1686,grams
squash,Red Kuri,2020-09-19,1785,grams
squash,Blue (saved),2020-09-19,1923,grams
squash,Blue (saved),2020-09-19,2120,grams
squash,Blue (saved),2020-09-19,2325,grams
squash,Blue (saved),2020-09-19,1172,grams
pumpkins,Cinderella's Carraige,2020-09-19,1311,grams
pumpkins,Cinderella's Carraige,2020-09-19,6250,grams
pumpkins,saved,2020-09-19,1154,grams
pumpkins,saved,2020-09-19,1208,grams
pumpkins,saved,2020-09-19,2882,grams
pumpkins,saved,2020-09-19,2689,grams
pumpkins,saved,2020-09-19,3441,grams
pumpkins,saved,2020-09-19,7050,grams
pumpkins,New England Sugar,2020-09-19,1109,grams
pumpkins,New England Sugar,2020-09-19,1028,grams
pumpkins,New England Sugar,2020-09-19,1131,grams
pumpkins,New England Sugar,2020-09-19,1302,grams
pumpkins,New England Sugar,2020-09-19,1570,grams
pumpkins,New England Sugar,2020-09-19,1359,grams
pumpkins,New England Sugar,2020-09-19,1608,grams
pumpkins,New England Sugar,2020-09-19,2277,grams
pumpkins,New England Sugar,2020-09-19,1743,grams
pumpkins,New England Sugar,2020-09-19,2931,grams
kale,Heirloom Lacinto,2020-09-20,163,grams
tomatoes,Bonny Best,2020-09-21,714,grams
tomatoes,volunteers,2020-09-21,95,grams
tomatoes,Bonny Best,2020-09-25,477,grams
tomatoes,Amish Paste,2020-09-25,2738,grams
tomatoes,Black Krim,2020-09-25,236,grams
tomatoes,Old German,2020-09-25,1823,grams
tomatoes,grape,2020-09-25,819,grams
tomatoes,Mortgage Lifter,2020-09-25,2006,grams
tomatoes,Big Beef,2020-09-25,659,grams
tomatoes,Better Boy,2020-09-25,1239,grams
tomatoes,volunteers,2020-09-25,1978,grams
kale,Heirloom Lacinto,2020-09-25,28,grams
Swiss chard,Neon Glow,2020-09-25,24,grams
broccoli,Main Crop Bravado,2020-09-25,75,grams
peppers,variety,2020-09-25,84,grams
apple,unknown,2020-09-26,156,grams
lettuce,Lettuce Mixture,2020-09-26,95,grams
beans,Bush Bush Slender,2020-09-27,94,grams
beans,Classic Slenderette,2020-09-27,81,grams
lettuce,Lettuce Mixture,2020-09-27,139,grams
broccoli,Main Crop Bravado,2020-09-27,134,grams
carrots,Dragon,2020-09-27,883,grams
carrots,Bolero,2020-09-27,449,grams
Swiss chard,Neon Glow,2020-09-27,232,grams
Swiss chard,Neon Glow,2020-09-30,88,grams
peppers,green,2020-09-30,92,grams
tomatoes,Amish Paste,2020-09-30,1447,grams
tomatoes,Better Boy,2020-09-30,494,grams
tomatoes,grape,2020-09-30,678,grams
tomatoes,volunteers,2020-09-30,70,grams
tomatoes,Mortgage Lifter,2020-09-30,327,grams
kale,Heirloom Lacinto,2020-10-01,127,grams
potatoes,Russet,2020-10-02,1596,grams
potatoes,yellow,2020-10-02,101,grams
kale,Heirloom Lacinto,2020-10-02,145,grams
tomatoes,Amish Paste,2020-10-03,252,grams
tomatoes,Mortgage Lifter,2020-10-03,213,grams
tomatoes,Jet Star,2020-10-03,346,grams
kale,Heirloom Lacinto,2020-10-04,39,grams
tomatoes,Mortgage Lifter,2020-10-07,254,grams
tomatoes,Old German,2020-10-07,363,grams
tomatoes,Amish Paste,2020-10-07,715,grams
tomatoes,Big Beef,2020-10-07,272,grams
tomatoes,volunteers,2020-10-07,64,grams
lettuce,Lettuce Mixture,2020-10-07,17,grams
peppers,green,2020-10-07,169,grams
potatoes,Russet,2020-10-08,372,grams
potatoes,yellow,2020-10-08,436,grams
tomatoes,grape,2020-10-10,1377,grams
tomatoes,volunteers,2020-10-10,1977,grams
jalapeño,giant,2020-10-10,258,grams
Swiss chard,Neon Glow,2020-10-10,23,grams
tomatoes,Amish Paste,2020-10-11,2478,grams
tomatoes,Mortgage Lifter,2020-10-11,200,grams
tomatoes,Black Krim,2020-10-11,375,grams
tomatoes,Big Beef,2020-10-11,316,grams
tomatoes,Old German,2020-10-11,898,grams
tomatoes,Better Boy,2020-10-11,526,grams
tomatoes,Bonny Best,2020-10-11,386,grams
tomatoes,volunteers,2020-10-11,230,grams
peppers,variety,2020-10-11,84,grams
jalapeño,giant,2020-10-11,119,grams
peppers,green,2020-10-11,144,grams
broccoli,Main Crop Bravado,2020-10-11,437,grams
peppers,green,2020-10-12,1031,grams
jalapeño,giant,2020-10-12,2322,grams
squash,Red Kuri,2020-10-12,296,grams
squash,delicata,2020-10-12,312,grams
squash,Waltham Butternut,2020-10-12,709,grams
squash,Waltham Butternut,2020-10-12,2143,grams
squash,Red Kuri,2020-10-12,1950,grams
squash,Blue (saved),2020-10-12,1291,grams
squash,Blue (saved),2020-10-12,1627,grams
pumpkins,saved,2020-10-12,4372,grams
pumpkins,saved,2020-10-12,5000,grams
pumpkins,New England Sugar,2020-10-12,2990,grams
pumpkins,New England Sugar,2020-10-12,1300,grams
squash,Red Kuri,2020-10-12,2710,grams
kale,Heirloom Lacinto,2020-10-12,137,grams
tomatoes,Mortgage Lifter,2020-10-14,859,grams
tomatoes,Big Beef,2020-10-14,791,grams
tomatoes,Amish Paste,2020-10-14,1175,grams
tomatoes,Brandywine,2020-10-14,418,grams
tomatoes,Old German,2020-10-14,484,grams
tomatoes,Cherokee Purple,2020-10-14,219,grams
tomatoes,Better Boy,2020-10-14,646,grams
tomatoes,volunteers,2020-10-14,2838,grams
carrots,Bolero,2020-10-14,1500,grams
carrots,King Midas,2020-10-14,1023,grams
peppers,green,2020-10-14,328,grams
jalapeño,giant,2020-10-14,175,grams
peppers,variety,2020-10-14,89,grams
zucchini,Romanesco,2020-10-15,3800,grams
zucchini,Romanesco,2020-10-15,5700,grams
zucchini,Romanesco,2020-10-15,3600,grams
potatoes,Russet,2020-10-15,1527,grams
potatoes,yellow,2020-10-15,272,grams
potatoes,red,2020-10-15,1718,grams
potatoes,purple,2020-10-15,295,grams
rutabaga,Improved Helenor,2020-10-16,883,grams
rutabaga,Improved Helenor,2020-10-16,740,grams
Swiss chard,Neon Glow,2020-10-17,310,grams
rutabaga,Improved Helenor,2020-10-17,932,grams
rutabaga,Improved Helenor,2020-10-17,1096,grams
rutabaga,Improved Helenor,2020-10-17,1101,grams
potatoes,red,2020-10-17,293,grams
onions,Long Keeping Rainbow,2020-10-17,183,grams
onions,Delicious Duo,2020-10-17,77,grams
rutabaga,Improved Helenor,2020-10-18,2001,grams
rutabaga,Improved Helenor,2020-10-18,673,grams
rutabaga,Improved Helenor,2020-10-18,144,grams
rutabaga,Improved Helenor,2020-10-18,366,grams
rutabaga,Improved Helenor,2020-10-18,1393,grams
rutabaga,Improved Helenor,2020-10-18,903,grams
rutabaga,Improved Helenor,2020-10-18,419,grams
rutabaga,Improved Helenor,2020-10-18,1026,grams
rutabaga,Improved Helenor,2020-10-18,1350,grams
rutabaga,Improved Helenor,2020-10-18,297,grams
rutabaga,Improved Helenor,2020-10-18,52,grams
rutabaga,Improved Helenor,2020-10-18,114,grams
